[00:00:00.069 --> 00:00:03.832]  You're watching the American Journal with Harrison Smith.
[01:30:23.152 --> 01:30:25.954]  It's already 1984 for three billion users.
[01:30:27.215 --> 01:30:30.898]  Facebook and new internal documents a few days ago came out.
[01:30:31.478 --> 01:30:41.325]  Project Veritas with two whistleblowers and one of them, Morgan Common, has gone public before he was just blacked out in the studio to protect his identity.
[01:30:41.365 --> 01:30:49.250]  But they went ahead and called him in and discovered and figured out who had dared mention the guidelines, the orders, that anything
[01:30:50.291 --> 01:30:58.875]  True event or a fact where someone's been hurt by a vaccine or has questions or is telling people that they have a right to basically not be forced to do it.
[01:30:59.295 --> 01:31:02.637]  Anything critical in any way is not allowed, but of course they didn't want you to know that.
[01:31:03.037 --> 01:31:09.040]  A member of parliament in Australia a few weeks ago who said that you shouldn't have forced inoculations, he's banned on Facebook.
[01:31:09.440 --> 01:31:21.069]  Facebook's now announced that anyone that questioned the election results in Congress, which the Democrats did four years ago, five years ago for Biden, that they won't be allowed to engage in political activity on Facebook, including Senator Ted Cruz.
[01:31:21.109 --> 01:31:23.211]  So the tyranny is here.
[01:31:24.832 --> 01:31:25.413]  It's not coming.
[01:31:25.433 --> 01:31:27.854]  But I love their response that, oh, this wasn't secret.
[01:31:28.115 --> 01:31:29.496]  We let employees know about it.
[01:31:29.976 --> 01:31:31.958]  But if they talk about it to anybody, they're
[01:31:32.538 --> 01:31:32.918]  Fired!
[01:31:33.078 --> 01:31:34.099]  Morgan Common joins us.
[01:31:34.619 --> 01:31:37.741]  GoSendGo.com forward slash expose.
[01:31:37.982 --> 01:31:41.364]  Facebook everybody needs our support who's doing this.
[01:31:41.384 --> 01:31:45.026]  This is the real war and people tell the truth to the frontline soldiers.
[01:31:45.046 --> 01:31:45.927]  So this is one of the biggest
[01:31:46.935 --> 01:31:49.077]  Censorship stories ever it's incredible.
[01:31:49.378 --> 01:31:50.479]  Thanks for joining us Morgan.
[01:31:50.499 --> 01:32:02.171]  This is a just broke in the last 48 hours And I guess you've just been discovered recently as the pro-human mole Inside Facebook give us give us your gestalt of what's happening and other points.
[01:32:02.211 --> 01:32:06.175]  You'd like to add basically you've got the floor All right, thank you Alex.
[01:32:06.216 --> 01:32:08.258]  So basically after Facebook
[01:32:09.616 --> 01:32:12.799]  I saw the story where I came out and my identity was hidden.
[01:32:13.960 --> 01:32:24.049]  I went back to work after I got back from producing that story and I was working and they basically said, hey we need you to stop all your work and immediately come bring all your personal stuff and all your work equipment to this meeting.
[01:32:24.591 --> 01:32:24.811]  Yeah.
[01:32:41.551 --> 01:32:47.934]  Basically said, yeah, you know, and they put me on the phone with a third party representative who was in contact with Facebook who informed me, yes, you're under investigation.
[01:32:47.954 --> 01:32:51.535]  We're going to file a request for a meeting on this date.
[01:32:52.116 --> 01:32:53.596]  And then I was like, OK, sounds good.
[01:32:53.616 --> 01:32:56.097]  And then the security guard walked me out to my car.
[01:32:56.538 --> 01:32:59.319]  And, you know, after that is when I decided to go public.
[01:33:00.879 --> 01:33:03.020]  What do you make of their public response to it?
[01:33:03.040 --> 01:33:04.001]  I've got the quotes here.
[01:33:04.101 --> 01:33:05.221]  Talk about Orwellian.
[01:33:05.241 --> 01:33:06.922]  They're like, oh, this is no big deal.
[01:33:06.942 --> 01:33:08.022]  We tell employees we do this.
[01:33:08.042 --> 01:33:08.923]  There's nothing happening here.
[01:33:10.390 --> 01:33:12.571]  Yeah, I honestly expected this response from them.
[01:33:12.912 --> 01:33:17.134]  A lot of times their public, well, most of it, their public policy and their private policy is written very differently.
[01:33:17.515 --> 01:33:31.604]  Their public policy is written in a way that is, it makes it very easy to defend, it's very ambiguous, it's very flip-floppy and smoky, and that way if it's questioned they can just come up with, you know, whatever the new term of the day is to say, well, this is just reducing harm and we're just helping people out.
[01:33:32.144 --> 01:33:34.205]  But internally things are much more specific.
[01:33:34.265 --> 01:33:37.127]  Obviously, you know, you look at these documents and they have very specific things on here.
[01:33:38.892 --> 01:33:40.813]  They know exactly what they're doing, and yeah.
[01:33:43.275 --> 01:33:47.858]  And now here you are sitting in Project Veritas Studios, I guess, in New York.
[01:33:49.339 --> 01:33:50.799]  This has been quite a week for you, hasn't it?
[01:33:52.080 --> 01:33:52.481]  Yeah, yeah.
[01:33:52.501 --> 01:33:53.141]  Very little sleep.
[01:33:53.181 --> 01:33:58.905]  It's kind of surreal for me, but I know that despite all the hardships I'm going through now, this has to get out.
[01:33:58.985 --> 01:34:00.005]  You know, people had to see this.
[01:34:01.086 --> 01:34:01.826]  I couldn't really...
[01:34:03.519 --> 01:34:05.620]  Not releasing this does not align with my moral compass.
[01:34:05.660 --> 01:34:08.542]  There's no way that I could have not released this and lived with myself.
[01:34:08.622 --> 01:34:10.103]  I mean, this is not just about me.
[01:34:10.143 --> 01:34:11.304]  It's not just about the United States.
[01:34:11.324 --> 01:34:12.224]  It's not just about Facebook.
[01:34:12.244 --> 01:34:13.225]  It's about the entire world.
[01:34:13.265 --> 01:34:17.627]  These people really are creating a model and have created, really, a model that's live right now.
[01:34:18.088 --> 01:34:24.411]  They've created a model for vaccine hesitancy now, but this could actually expand to include really any topic.
[01:34:24.552 --> 01:34:29.935]  And I think that maybe it will still, but had I not come out with this, it certainly would have.
[01:34:30.882 --> 01:34:32.604]  Well we know that there's similar systems.
[01:34:32.625 --> 01:34:35.008]  We know during the election they were blocking pro-Trump stuff.
[01:34:36.029 --> 01:34:38.653]  What else did you witness while you were inside Facebook?
[01:34:40.175 --> 01:34:43.981]  So one thing that was kind of disconcerting is when I actually discovered this document it was posted on
[01:34:44.406 --> 01:34:44.466]  And
[01:35:03.320 --> 01:35:03.640]  I don't know.
[01:35:28.049 --> 01:35:30.771]  There are so many different facets to this, so many angles.
[01:35:31.151 --> 01:35:36.955]  Imagine, this is your chance, like talking to 5 million people last night, talking to Carlson, probably 2 million people conservatively are tuned in right now.
[01:35:37.496 --> 01:35:39.337]  What else do you want the public to know?
[01:35:39.357 --> 01:35:42.059]  I want the public to know that
[01:35:42.782 --> 01:35:43.683]  I'm just a normal person.
[01:35:44.063 --> 01:35:56.114]  I come from a town that has way less than 10,000 people in the middle of nowhere, and just because you don't have notoriety, just because you're not, you know, you don't think that you're somebody doesn't mean that if you have access to information like this that could help people that you can bring it out.
[01:35:56.154 --> 01:35:57.095]  You can definitely bring it out.
[01:35:57.415 --> 01:35:58.676]  There are people like Project Veritas.
[01:35:58.696 --> 01:36:00.778]  You can go to VeritasTipsAtProtonMail.com.
[01:36:01.218 --> 01:36:01.979]  They will help you out.
[01:36:02.059 --> 01:36:05.042]  They do this kind of thing for, you know, this is one of their sticks, you know.
[01:36:05.703 --> 01:36:07.204]  And they will take care of you.
[01:36:07.224 --> 01:36:09.565]  There's a lot of people that are on your side.
[01:36:09.605 --> 01:36:13.107]  You know, it's the silent majority, but it's really hard for the average person because of the consequences.
[01:36:13.147 --> 01:36:16.429]  I mean, Facebook is a very, very powerful company.
[01:36:16.449 --> 01:36:19.531]  They're not even really beholden to, you know, the U.S.
[01:36:19.551 --> 01:36:19.851]  government.
[01:36:21.612 --> 01:36:22.333]  Well, absolutely.
[01:36:22.353 --> 01:36:22.773]  The U.S.
[01:36:22.813 --> 01:36:28.215]  government, I'm sure you saw the news, that members of Congress that were going to have a 10-day investigation, which is totally legal.
[01:36:28.235 --> 01:36:29.856]  Again, Democrats did it five years ago.
[01:36:29.896 --> 01:36:33.918]  They challenged Trump's election, if you remember, and tried to not even get the delegates to be seated.
[01:36:35.158 --> 01:36:43.922]  They're trying to say anybody that was trying to hold a vote on January 6th, before the riot, that they don't get to be political or promote themselves on Facebook.
[01:36:44.202 --> 01:36:46.503]  I mean, that's directly interfering in our election.
[01:36:48.035 --> 01:36:55.498]  Yes, totally Orwellian, and I think that the comparison by the Microsoft CEO to 1984, yeah, that's certainly correct.
[01:36:56.118 --> 01:37:11.024]  And I think that what they're trying to do, you know, they know the power they're wielding, and I think a lot of times, too, especially with the internal employees and the software engineers, they take advantage of people's good nature, where then they try to say, you know, you guys are helping out, and the world needs this, and you guys are heroes.
[01:37:11.084 --> 01:37:17.266]  And one of their stated goals, even, in one of the documents says that they want people to know that they did this, and then they want to take credit for their work.
[01:37:18.010 --> 01:37:30.003]  And I think that if people need to, you know, go in and see these kind of things and they need to follow their more moral compass and say, yeah, even though I'm an exec at Facebook, this is wrong and we should not be doing this.
[01:37:30.163 --> 01:37:33.207]  And if, you know, you receive opposition, make it public.
[01:37:34.284 --> 01:37:36.685]  Morgan Common is a major whistleblower.
[01:37:37.185 --> 01:37:38.626]  We really appreciate him joining us.
[01:37:38.646 --> 01:37:39.646]  We've got one more segment with him.
[01:37:40.067 --> 01:37:41.267]  How do people reach out to you?
[01:37:41.307 --> 01:37:49.611]  How do other IT companies that might want you to work with them, who are moral, how do people reach out to you for employment or how do people reach out to you for interviews?
[01:37:51.345 --> 01:37:55.969]  All right, if you guys want to reach out for me to interview, the best way to do that and fastest would probably be just to go through Project Veritas.
[01:37:56.710 --> 01:37:58.111]  You can contact them on their website.
[01:37:58.171 --> 01:38:07.119]  And then if you want to support me personally, we set up a fundraiser on givesendgo.com slash expose Facebook.
[01:38:07.840 --> 01:38:09.341]  And you can go there and donate there.
[01:38:09.361 --> 01:38:13.045]  And then I also included some cryptocurrency links to some addresses in there you can use as well.
[01:38:14.025 --> 01:38:20.108]  Well, it's important to build our own community and to support and celebrate people that expose the criminal activity of Facebook.
[01:38:20.148 --> 01:38:22.669]  I mean, they're not going to like this information coming out.
[01:38:22.849 --> 01:38:28.572]  They're not very happy right now because they say right here, we want to suppress the truth, true events and facts.
[01:38:29.392 --> 01:38:30.173]  That is amazing.
[01:38:31.573 --> 01:38:32.994]  Yeah, I have a feeling that they're scrambling.
[01:38:33.514 --> 01:38:34.495]  Damage control mode right now.
[01:38:36.209 --> 01:38:38.512]  How do you think Facebook got to be the most powerful?
[01:38:38.532 --> 01:38:40.335]  I think more powerful than Google, more powerful than Apple.
[01:38:40.876 --> 01:38:45.783]  Hands down, worldwide, involved in all these elections, politics, telling countries what they can and can't do.
[01:38:45.843 --> 01:38:48.046]  I mean, who died and made Mark Zuckerberg God?
[01:38:49.707 --> 01:38:56.572]  I think that honestly, Mark Zuckerberg had his own ideas in the beginning and yeah, he's still a part of it now, so he's certainly not to escape blame.
[01:38:56.992 --> 01:38:59.494]  But I think that this is something that has grown way out of his control.
[01:38:59.534 --> 01:39:05.539]  I think there's a group of people behind the scenes that are, you know, kind of like a board or something, that are making all the calls and stuff like that.
[01:39:05.719 --> 01:39:06.379]  Bingo!
[01:39:06.519 --> 01:39:06.820]  Exactly.
[01:39:06.860 --> 01:39:11.463]  Just like Henry Ford was one thing and then another group took over his foundation, it's the same thing.
[01:39:11.503 --> 01:39:14.646]  Gates took over IBM's foundation, most folks don't know that, through his mother.
[01:39:15.466 --> 01:39:16.267]  But exactly.
[01:39:17.007 --> 01:39:22.611]  You have the Southern Poverty Law Center and other groups that are now taking over the board of Facebook and are in control.
[01:39:22.631 --> 01:39:30.777]  So the left, who is in control of a three billion person army, they could influence, bully, and control in a giant brainwashing gulag.
[01:39:31.518 --> 01:39:34.000]  We've got a lot of news on that as well coming up.
[01:39:34.020 --> 01:39:36.141]  We've got Major Whistleblower Morgan Common.
[01:39:36.161 --> 01:39:36.582]  Stay with us.
[01:39:36.762 --> 01:39:41.065]  You know, we've got some big breaking news next segment, but this news is just as important.
[01:39:42.691 --> 01:39:45.354]  But wait till you see what we're going to cover next segment.
[01:39:46.135 --> 01:39:47.336]  Alex Jones here back live.
[01:39:47.996 --> 01:39:57.126]  Morgan Common is our guest Facebook insider that chose to come forward with Facebook internal company documents detailing a plan to quote curb vaccine hesitancy.
[01:39:58.254 --> 01:40:00.334]  It's not even a vaccine, it's a GMO thing they've cooked up.
[01:40:00.414 --> 01:40:09.376]  On a global scale, the stated goal of the feature is to drastically reduce user exposure to vaccine-hesitant comments, like people dying.
[01:40:09.977 --> 01:40:13.057]  Like the BBC presenter that just died from a blood clot in her brain after she took it.
[01:40:13.677 --> 01:40:18.818]  I mean, it's just an everyday occurrence that some famous person dies, and they've pulled a bunch of these vaccines around the world.
[01:40:19.178 --> 01:40:23.059]  When you even try to share that fact, they block it.
[01:40:23.099 --> 01:40:25.920]  So what is it like for these content moderators, sir?
[01:40:27.315 --> 01:40:35.837]  When you see a doctor, you know, talking to a legislature in Florida, and I remember Facebook censored that, and Twitter censored it, and so did YouTube.
[01:40:36.337 --> 01:40:45.819]  Or you see congressional hearings, where they gave testimony, I remember six months ago, about Wuhan Lab being probably where it came from, and I remember seeing where YouTube took that down.
[01:40:45.899 --> 01:40:55.342]  It's not just Facebook, it's Google, sub-companies, I mean, they're all doing it, where now legislature testimony we can't see?
[01:40:55.402 --> 01:40:56.782]  I mean, this is outrageous!
[01:41:00.430 --> 01:41:18.082]  Yeah, Alex, it's absolutely outrageous and these people, to think that they even have the power to do this and totally get away with it is one of the things that really rubs me the wrong way where they're like, yeah, this is totally normal and we're going to do this and you're not going to ask any questions, you're just going to keep going and as long as we let you have your Facebook and your Instagram, then you'll say okay.
[01:41:20.319 --> 01:41:25.244]  Well, I would expect more people to go public, and whistleblowers are watching.
[01:41:25.825 --> 01:41:33.374]  I know that Project Veritas is a great network, and they've been helping whistleblowers that come forward get other jobs, get support up front, because it's hard.
[01:41:34.582 --> 01:41:35.183]  We're good to go.
[01:41:56.576 --> 01:41:58.097]  Other people were absolutely concerned.
[01:41:58.678 --> 01:42:04.082]  I had many, many conversations with many different people on this, both on the internal platform and in person.
[01:42:04.523 --> 01:42:05.924]  And yeah, people are very concerned about this.
[01:42:05.944 --> 01:42:11.669]  You know, they're concerned that Facebook even cares what your personal medical choices are, and that they would moderate your content based on that.
[01:42:12.529 --> 01:42:15.272]  And they also don't get, you know, they're like, what's the big deal?
[01:42:15.532 --> 01:42:16.653]  Like, what's the whole thing behind this?
[01:42:16.713 --> 01:42:17.213]  But you know what?
[01:42:17.233 --> 01:42:18.114]  They never get a straight answer.
[01:42:18.823 --> 01:42:19.763]  Never get a straight answer on that.
[01:42:19.783 --> 01:42:29.507]  And I think that's one of the things where people, even if they don't know a lot about the vaccines and the efficacy and all the hubbub, at least when they see, well, why can't we talk about it?
[01:42:30.187 --> 01:42:32.348]  That's a huge red flag, even to the average person, I think.
[01:42:33.385 --> 01:42:38.948]  And again, you have the Microsoft president saying AI is 1984 when it censors and controls you.
[01:42:39.669 --> 01:42:52.456]  Is it the act of censoring somebody even before it's posted, which I see is in the report about you and others, that you and others said we have to do something because they're even suppressing stuff before it ever makes it on the platform?
[01:42:54.198 --> 01:42:54.778]  Yeah, yeah.
[01:42:54.858 --> 01:42:57.099]  They'll suppress things before it even makes it to your page.
[01:42:57.140 --> 01:42:59.461]  And then they'll actually also suppress recommendations.
[01:42:59.541 --> 01:43:05.204]  If a content is found to be facts and hesitant, they'll make it so that it can't even be recommended to other people.
[01:43:05.704 --> 01:43:08.985]  So they're absolutely trying to stifle the spread.
[01:43:09.005 --> 01:43:10.446]  They're trying to stifle the free speech.
[01:43:12.047 --> 01:43:19.871]  And honestly, like I said, this facts and hesitancy thing is just, you know, small change compared to what this model could be applied to, which is literally anything.
[01:43:20.271 --> 01:43:23.573]  They could apply this to any topic they want on their platform.
[01:43:24.386 --> 01:43:27.167]  So we think about Iran as a threat, and I agree, it's a threat.
[01:43:27.207 --> 01:43:29.567]  And we think about Russia could be a threat.
[01:43:29.607 --> 01:43:31.588]  China definitely is a major threat to America.
[01:43:31.628 --> 01:43:39.530]  But if we become, and let companies become, far worse than even they are, then we've already lost the war of our own choosing.
[01:43:39.810 --> 01:43:42.171]  We've already run up the white flag to evil.
[01:43:44.096 --> 01:43:46.617]  Yeah, it's the arrogance of the human intellect.
[01:43:46.637 --> 01:43:55.919]  You know, we think that we are so great and we discover these and create these technological marvels, and then we say, yes, we can control this and we know everything about this in and out.
[01:43:56.339 --> 01:43:59.460]  And people don't even think about the fact that, well, maybe we don't know this.
[01:43:59.500 --> 01:44:01.120]  Maybe we're playing with fire.
[01:44:01.780 --> 01:44:07.402]  Well, look, if my wife posts a photo of me on my birthday and it gets 20,000 likes,
[01:44:10.558 --> 01:44:11.418]  Twitter takes it down.
[01:44:12.458 --> 01:44:16.499]  I remember a couple years ago when I said Biden's got cognitive problems, probably had another stroke.
[01:44:16.559 --> 01:44:17.299]  Just speculation.
[01:44:17.579 --> 01:44:19.020]  Most doctors agreed with me at the time.
[01:44:19.040 --> 01:44:22.460]  A bunch of them that were questioned said, it looks like he has that other stroke.
[01:44:22.781 --> 01:44:25.901]  We know he had major brain surgery, you know, 20 years ago, almost died.
[01:44:26.601 --> 01:44:31.882]  And Facebook came out and said, Jones is in a special area of dangerous persons.
[01:44:32.302 --> 01:44:34.723]  And so you may not mention him unless it's negative.
[01:44:35.243 --> 01:44:38.484]  And then they went on to say, but it's okay to organize violence against him.
[01:44:38.784 --> 01:44:39.524]  Did you see that?
[01:44:41.491 --> 01:44:44.852]  Oh yeah, and this is classic Facebook behavior.
[01:44:44.892 --> 01:44:46.753]  They're just going to say, well, they won't give you a straight answer.
[01:44:46.773 --> 01:44:51.155]  They'll say, well, he's being harmful or he's doing this and we're doing this in your best interest.
[01:44:51.195 --> 01:44:56.797]  But isn't that what all, you know, people who are, you know, con artists, isn't that what they always say?
[01:44:57.077 --> 01:44:58.338]  We're doing this in your best interest.
[01:44:58.358 --> 01:44:58.978]  This is for you.
[01:44:59.768 --> 01:45:02.652]  Uh, when really, if you look behind the scenes, it's like, okay, then, well, why can't I have the information?
[01:45:02.693 --> 01:45:03.674]  Why didn't you make this public?
[01:45:03.774 --> 01:45:11.285]  If this is my profile and my data, and they even have a feature where you can download the data they have on you, allegedly, all the data, then why can't we see it?
[01:45:12.262 --> 01:45:13.303]  And they won't answer that question.
[01:45:13.883 --> 01:45:15.724]  And I think we all know why.
[01:45:16.425 --> 01:45:18.967]  Well, the left wants to take over Facebook to control it.
[01:45:19.027 --> 01:45:23.630]  And so Facebook went ahead and just gave them control so that Congress wouldn't do it officially.
[01:45:24.010 --> 01:45:27.072]  And I think that's an even more dangerous perfect storm.
[01:45:27.412 --> 01:45:28.974]  What do you think should be done to Facebook?
[01:45:29.034 --> 01:45:30.715]  I mean, broken up into what, six different parts?
[01:45:32.287 --> 01:45:32.887]  This is what I think.
[01:45:32.907 --> 01:45:38.290]  I don't think there should be government regulation because I think that has the same potential to get out of hand as Facebook's power that they have now.
[01:45:38.350 --> 01:45:43.472]  I think what should happen is we need to rise up as individuals to say, we are not going to use Facebook.
[01:45:43.532 --> 01:45:43.892]  This is it.
[01:45:43.912 --> 01:45:46.254]  This is how it's going to be because you are their product.
[01:45:46.594 --> 01:45:54.878]  And so if you get up and walk out and say, I'm not using it anymore because if you, unless you guys tell me exactly what's going on with my content that I post on your platform, I'm not, I'm not doing it anymore.
[01:45:55.218 --> 01:45:56.558]  I don't think government regulation is going to help.
[01:45:56.598 --> 01:45:59.700]  I don't think trying to get other companies involved is going to help that much ultimately.
[01:46:00.120 --> 01:46:01.402]  Because there's too much of a vested interest.
[01:46:01.462 --> 01:46:02.663]  It's too powerful of a tool.
[01:46:03.184 --> 01:46:08.651]  But people like us as individuals on an individual level, we can't control that like, you know, a corporate board can.
[01:46:09.131 --> 01:46:11.054]  And so we can say, I'm not using it.
[01:46:12.349 --> 01:46:15.150]  Well, sir, all I can say is I'm impressed with what you've done.
[01:46:15.190 --> 01:46:16.111]  You are a hero.
[01:46:16.551 --> 01:46:20.613]  In the beginning, when a patriot is a scarce man, he's hated, feared, and scorned.
[01:46:20.933 --> 01:46:25.255]  But in time, when his cause succeeds, the timid join him, because then it costs nothing to be a patriot.
[01:46:25.275 --> 01:46:28.697]  Well, you're doing this way before the avalanche happens against tyranny.
[01:46:28.737 --> 01:46:30.298]  But we're looking for that avalanche.
[01:46:30.318 --> 01:46:31.639]  We're looking for that chain reaction.
[01:46:32.259 --> 01:46:33.980]  We're looking for that huge wake-up call, and you're right.
[01:46:34.300 --> 01:46:36.121]  It's going to happen with the people.
[01:46:36.861 --> 01:46:38.722]  In 1984, it's going to happen with the proles.
[01:46:39.322 --> 01:46:54.366]  It's going to happen when the common person has a revolution of the mind and realizes that they've been made the product, that they're being dehumanized through that process and take control of their identity and themselves again and realize you wouldn't let your wife or husband know all this about you that Facebook knows.
[01:46:54.626 --> 01:47:01.708]  You wouldn't let your wife or husband or your boss know any of the stuff that Google knows about you or your smart TV or your iPhone.
[01:47:01.828 --> 01:47:05.189]  Why did we let ourselves ever get in this position?
[01:47:06.980 --> 01:47:20.512]  I think that if you look at the old movie, The Network, there's a speech in that movie by the main anchor and he says, you know, as long as you just leave me alone with my steel-belted radio and my TV and my toaster and I won't say anything and I'll be quiet and I won't do anything.
[01:47:20.532 --> 01:47:23.354]  And I think, you know, that's a position that a lot of people take and I don't blame them for that.
[01:47:23.374 --> 01:47:24.795]  There's a lot of risk to coming out here.
[01:47:25.376 --> 01:47:29.159]  But at the same time, it's, you know, weigh the risk and weigh the benefit.
[01:47:29.219 --> 01:47:31.481]  Would you rather live your life as essentially a slave
[01:47:32.379 --> 01:47:33.660]  In all ways, but the most obvious.
[01:47:34.021 --> 01:47:43.269]  Or would you rather stand up for what's right and be able to say, I don't care how my life was, even if I was destitute until the day I died, I did the right thing and I can be comfortable knowing I did the right thing.
[01:47:43.289 --> 01:47:45.231]  And that attitude builds a beautiful civilization.
[01:47:45.251 --> 01:47:47.193]  The one of groveling builds a total tyranny.
[01:47:47.573 --> 01:47:48.814]  Morgan Common, thank you.
[01:47:48.854 --> 01:47:49.495]  Very impressed.
[01:47:50.116 --> 01:47:52.718]  Go, send go.com forward slash expose Facebook.
[01:47:52.738 --> 01:47:53.759]  People should support him there.
[01:47:54.119 --> 01:47:55.741]  Thank you so much and we salute you, my friend.
[01:47:56.522 --> 01:47:56.762]  Thank you.
[01:47:57.532 --> 01:47:59.133]  Arrest Fauci!
[01:47:59.594 --> 01:48:01.335]  Arrest Bill Gates!
[01:48:29.216 --> 01:48:30.137]  So understand this.
[01:48:30.817 --> 01:48:33.920]  The attack on America is bigger than Donald Trump.
[01:48:33.980 --> 01:48:35.801]  It's bigger than all of you individually.
[01:48:36.302 --> 01:48:41.346]  It's the true story of America and the idea of liberty against all the different tyrannies in the world.
[01:48:41.606 --> 01:48:48.051]  So never forget, no matter how bad it gets, this is the beginning of the end of the New World Order!
[01:48:51.508 --> 01:48:53.851]  Your soul's already with God forever!
[01:48:53.871 --> 01:48:56.894]  You've got free will, and you made that decision!
[01:48:57.134 --> 01:49:01.079]  So fear not the world and the Antichrist, because you are with Christ!
[01:49:03.251 --> 01:49:14.837]  Bill Gates and Klaus Schwab and the globalists are the parasites that are enslaving China and enslaving Europe and enslaving Africa and enslaving all the rest of the world.
[01:49:15.258 --> 01:49:26.724]  And as soon as we start calling out the COVID-19 hoax lockdown, and as soon as we start exposing the Great Reset, the sooner these globalists start going to prison!
[01:49:30.527 --> 01:49:35.955]  The Great Reset is a psychological warfare program to scare you into submission.
[01:49:36.375 --> 01:49:40.221]  The masks are the symbol of the permanent lockdown and the slavery.
[01:49:40.721 --> 01:49:45.308]  Tens of millions have already starved to death in the third world during the Great Lockdown.
[01:49:45.828 --> 01:49:46.369]  The U.S.
[01:49:46.449 --> 01:49:47.511]  is being collapsed.
[01:49:48.031 --> 01:49:51.512]  It is a public plan called the Great Reset!
[01:49:51.912 --> 01:49:53.353]  The Great Reset!
[01:49:53.673 --> 01:49:55.053]  The Great Reset!
[01:49:55.554 --> 01:49:57.514]  You are in grave danger!
[01:49:57.994 --> 01:49:59.795]  You are in grave danger!
[01:50:00.315 --> 01:50:05.057]  Phase 2 of the Great Reset is a bioweapon release!
[01:50:05.497 --> 01:50:08.178]  COVID-19 was only a drill!
[01:50:08.878 --> 01:50:14.626]  COVID-19 was only a drill for the real attack Bill Gates says is coming!
[01:50:15.006 --> 01:50:17.229]  Because Bill Gates and the U.N.
[01:50:17.529 --> 01:50:21.594]  and Klaus Schwab are behind the Great Reset!
[01:50:22.736 --> 01:50:24.458]  You are in grave danger!
[01:50:25.456 --> 01:50:28.139]  The next attack will be a real bioweapon attack!
[01:50:28.799 --> 01:50:30.080]  Prepare your families!
[01:50:30.641 --> 01:50:32.283]  You're in grave danger!
[01:50:32.583 --> 01:50:34.325]  You are under globalist attack!
[01:50:34.485 --> 01:50:38.248]  You are under globalist depopulation!
[01:50:38.288 --> 01:50:41.591]  The Great Reset is preparing you for a real bioweapon attack!
[01:50:42.092 --> 01:50:44.254]  COVID-19 was only the test drill!
[01:50:46.187 --> 01:50:47.508]  I told you this a year ago.
[01:50:47.969 --> 01:50:51.172]  Now they admit it's only a test drill.
[01:50:52.053 --> 01:50:57.498]  They're going to tell you next your dogs and cats have a deadly virus and you've got to euthanize them.
[01:50:57.958 --> 01:51:00.901]  And you will euthanize your dogs and cats en masse.
[01:51:01.382 --> 01:51:08.729]  That's one of the plans Gates has to say your dogs and cats will have the next virus and you will kill them as a sacrament as a leftist.
[01:51:09.329 --> 01:51:17.475]  Just as you kill your children, remember you will kill your dogs and cats when you are ordered to when Bill Gates says they have a virus in them.
[01:51:17.996 --> 01:51:21.859]  Gates will launch that attack, in my approximation, within 24 months.
[01:51:22.439 --> 01:51:25.842]  Giant bio-weapons attacks are coming!
[01:51:26.502 --> 01:51:29.584]  Giant bio-weapon attacks are coming!
[01:51:30.065 --> 01:51:33.047]  COVID-19 was only the test drill.
[01:51:33.507 --> 01:51:35.109]  You are in grave danger.
[01:51:35.809 --> 01:51:37.550]  You are in grave danger!
[01:51:38.130 --> 01:51:39.851]  You are in grave danger!
[01:51:40.411 --> 01:51:41.992]  You are in grave danger!
[01:51:42.632 --> 01:51:50.056]  The Great Reset is a plan to put you under martial law before they release the real bioweapons.
[01:51:50.536 --> 01:51:56.138]  Please look into the Great Reset for yourself before it's too late.
[01:51:56.539 --> 01:51:59.620]  The terrorist is Bill Gates and his controllers.
[01:52:00.180 --> 01:52:03.422]  We have lived in the bosom of freedom for so long.
[01:52:04.540 --> 01:52:08.804]  That Americans have no idea how much danger they are in.
[01:52:09.484 --> 01:52:15.309]  The Great Reset is a plan to bankrupt you, lock you down, release a real bioweapon on you, and kill you.
[01:52:16.610 --> 01:52:27.760]  Once you've taken the vaccine, it's a binary weapon that programs your cells with a repressor protein, that once that comes in contact with the next virus, you will die very quickly.
[01:52:28.712 --> 01:52:31.974]  They are implanting you and murder you with phase 2.
[01:52:33.074 --> 01:52:35.915]  The mRNA vaccine is a binary weapon.
[01:52:36.295 --> 01:52:37.796]  On record, top scientists have said it.
[01:52:38.036 --> 01:52:40.077]  I've met with top scientists, billionaires on this.
[01:52:40.597 --> 01:52:47.080]  They said it will kill you when they release the next virus because the cells will be programmed with the protein inside.
[01:52:47.901 --> 01:52:51.302]  The Great Reset is upon us.
[01:52:51.322 --> 01:52:52.903]  You are in grave danger.
[01:52:54.119 --> 01:52:55.741]  The Great Reset is upon us.
[01:52:55.761 --> 01:52:57.782]  Research the Great Reset.
[01:52:57.862 --> 01:52:58.763]  Research the Great Reset.
[01:52:59.003 --> 01:53:04.448]  COVID-19 is an overblown hoax designed to destroy the economy and put us all on welfare.
[01:53:05.149 --> 01:53:08.712]  Alright folks, that is video from last April and May.
[01:53:15.731 --> 01:53:17.471]  Different demonstrations that we engage in.
[01:53:17.511 --> 01:53:18.272]  It goes on and on.
[01:53:18.292 --> 01:53:25.253]  We've posted it at BAN.VIDEO just to show people that are new viewers and listeners what we were out exposing a long time ago.
[01:53:25.313 --> 01:53:26.973]  Now you hear Arrest Fauci, Arrest Gates.
[01:53:27.433 --> 01:53:33.255]  So great job to the listeners being supporters of this broadcast which is the tip of the spear so we can get this information out.
