[00:00:00.149 --> 00:00:02.290]  We're live, October 31st.
[00:48:40.137 --> 00:48:44.982]  Not inject a cocktail of metallic nanotech into the entire food supply.
[00:48:46.303 --> 00:48:48.466]  For InfoWars.com, this is Greg Reese.
[00:48:52.330 --> 00:48:54.330]  [Music]
[00:48:54.330 --> 00:48:56.330]  [Music]
[00:48:56.330 --> 00:49:02.330]   Coming to you from deep in the heart of Texas. Broadcasting world wide.
[00:49:02.330 --> 00:49:09.330]  [Music]
[00:49:09.330 --> 00:49:14.330]   If you are receiving this transmission, you are the resistance.
[00:49:14.521 --> 00:49:19.225]  Live from the InfoWars.com studios, it's Alex Jones.
[00:49:21.487 --> 00:49:23.228]  Revolution in their hearts.
[00:49:23.809 --> 00:49:25.530]  The children start to march.
[00:49:29.874 --> 00:49:34.117]  Here we are into our number two as we broadcast worldwide.
[00:49:36.399 --> 00:49:37.060]  Okay, so.
[00:49:38.237 --> 00:49:59.415]  As I said earlier, the deep state globalist combine that's occupied this country, that's been selling us out and dividing us and conquering us and running us in the ground, they have had a conniption fit since last Wednesday when Tucker Carlson put out the first trailer for his new documentary three-part miniseries, The Plot Against the People.
[00:49:59.876 --> 00:50:00.917]  And that's what this is.
[00:50:01.877 --> 00:50:05.700]  The plot against the people and the alarm we've all been raising here.
[00:50:05.740 --> 00:50:12.466]  Well, Jim Acosta, Mr. Fake News himself, I mean, if you had to emblematically define fake news, it'd be Jim Acosta.
[00:50:13.267 --> 00:50:27.239]  If you had to define just being creepy and somebody you wouldn't let near your children, that's the other CNN host over there that gatekeeps us and tells us what our speech should be and what should be on air and what shouldn't be.
[00:50:27.679 --> 00:50:29.241]  Oh, the guy with the lowest ratings on cable TV?
[00:50:30.450 --> 00:50:32.872]  The guy with 50,000 viewers, you know his name.
[00:50:34.353 --> 00:50:37.336]  Brian Stelter!
[00:50:39.078 --> 00:50:40.038]  So here's all the headlines.
[00:50:40.118 --> 00:50:41.239]  Who needs Alex Jones?
[00:50:41.279 --> 00:50:42.000]  Tucker Carlson.
[00:50:42.100 --> 00:50:43.641]  Upcoming special coming January 6th.
[00:50:43.682 --> 00:50:43.922]  Attack.
[00:50:43.942 --> 00:50:44.382]  False flag.
[00:50:44.722 --> 00:50:45.043]  Tross.
[00:50:45.203 --> 00:50:45.623]  Outrage.
[00:50:45.663 --> 00:50:46.284]  London Independent.
[00:50:46.864 --> 00:50:47.905]  And it goes on and on.
[00:50:48.005 --> 00:50:48.486]  ABC.
[00:50:48.566 --> 00:50:49.026]  NBC.
[00:50:49.226 --> 00:50:49.447]  Every.
[00:50:49.487 --> 00:50:50.948]  I mean, local newspapers.
[00:50:51.588 --> 00:50:52.009]  Everything.
[00:50:53.442 --> 00:51:00.725]  And then when the Lincoln Project with the Democrats gets caught staging a false flag with a fake white supremacist, well they come on and are the experts that respond to it on CNN.
[00:51:01.325 --> 00:51:03.306]  I mean, that's gaslighting to the next level.
[00:51:05.327 --> 00:51:11.709]  So they're so scared of us thinking who's actually behind a lot of the violence when it's been them over and over again.
[00:51:11.749 --> 00:51:19.332]  So I thought, this is a seven and a half minute clip, it was hard for me to watch this morning, but let's go over it in this segment and the next and let's just stop and start it.
[00:51:20.293 --> 00:51:22.615]  And just analyze some of the lies.
[00:51:22.635 --> 00:51:26.259]  Because if I try to analyze them all, we could teach a college course on this.
[00:51:26.539 --> 00:51:27.540]  He's reading off a teleprompter.
[00:51:28.881 --> 00:51:30.743]  Got it right up there by his face.
[00:51:31.224 --> 00:51:38.611]  Jeff Zucker wrote this for the CEO, his boss at AT&T that says, quote, white people are the problem.
[00:51:38.971 --> 00:51:41.213]  Re-educate them in re-education programs.
[00:51:41.594 --> 00:51:43.095]  Being white genetically is evil.
[00:51:44.739 --> 00:51:58.909]  These are the folks telling you that they're protecting you from white supremacists when they're just trying to brand any opposition to foreign corporations, looting the country, devaluing the dollar, locking us in our houses, starving the third world to death.
[00:51:59.509 --> 00:52:04.032]  Well, if that's white supremacist, I mean, that's what I see as supremacist.
[00:52:04.472 --> 00:52:05.413]  It's not white supremacist.
[00:52:05.473 --> 00:52:08.355]  It's a bunch of megacorporations engaging in depopulation.
[00:52:09.608 --> 00:52:15.253]  And if fighting eugenics and racism and all that is Nazi, well then I guess I am.
[00:52:15.273 --> 00:52:33.487]  And when Acosta also attacks Senator Ted Cruz with like a five second clip of him explaining parents did a Nazi salute to say sarcastically, like Monty Python or the Blues Brothers or anybody, we support masks and forced inoculations and lockdowns.
[00:52:33.527 --> 00:52:34.188]  Heil Hitler!
[00:52:35.680 --> 00:52:38.402]  You know, like, this is what Hitler would do?
[00:52:38.462 --> 00:52:39.762]  It doesn't mean you're for Hitler?
[00:52:40.043 --> 00:52:42.204]  When Charlie Chaplin posed as Hitler?
[00:52:43.185 --> 00:52:46.787]  Oh, but see, only the left can do a Hitler joke, you see.
[00:52:48.007 --> 00:52:57.433]  Parents can't come and say, oh, I love what the school board's doing, shutting down our free speech, teaching pedophile drag queen story time, and teaching that white people are inherently evil.
[00:52:57.673 --> 00:53:02.516]  I mean, teaching people a race is inherently bad, that's what Hitler did, so what do they say?
[00:53:02.536 --> 00:53:03.357]  Heil Hitler!
[00:53:04.394 --> 00:53:07.437]  They'll probably edit me out saying that and say, look Jones just howled Hitler!
[00:53:08.258 --> 00:53:10.159]  Because they're deceiving everyone.
[00:53:10.279 --> 00:53:16.365]  I'm saying that I'm repeating what people have said to be sarcastic as satire.
[00:53:17.206 --> 00:53:17.946]  But they don't care.
[00:53:19.248 --> 00:53:27.195]  They don't care because they love deception and all they've got left is deception because they've been caught in deception so many times.
[00:53:28.376 --> 00:53:28.997]  This guy right here.
[00:53:30.376 --> 00:53:31.257]  That's all he knows.
[00:53:31.277 --> 00:53:35.639]  So he can just keep playing scams and tricks because that's the team he's on.
[00:53:37.000 --> 00:53:39.261]  So now Ted Cruz thinks Nazis are okay.
[00:53:39.762 --> 00:53:44.084]  No, Ted Cruz said angry, frustrated parents are like, Heil Hitler!
[00:53:44.384 --> 00:53:45.265]  I love the tyranny!
[00:53:45.325 --> 00:53:47.246]  That means they don't like the tyranny.
[00:53:48.507 --> 00:53:51.288]  You know, like Disney back in World War II had Daffy Duck?
[00:53:52.129 --> 00:53:53.910]  That was not Daffy Duck.
[00:53:54.590 --> 00:53:56.651]  Daffy Duck is the one with Warner Brothers.
[00:53:58.412 --> 00:53:59.073]  Donald Duck.
[00:54:00.034 --> 00:54:02.756]  Tucker Carlson is releasing his big blockbuster movie on Monday.
[00:54:02.776 --> 00:54:05.939]  While the kids have been calling for a sequel to Dune, Tucker thought they said Loon.
[00:54:05.759 --> 00:54:11.739]   This is how they try to deceive their viewers and their listeners.
[00:54:11.739 --> 00:54:13.597]  So let's go ahead and start.
[00:54:13.597 --> 00:54:16.518]  Here is Acosta, Acosta and the Truth.
[00:54:16.518 --> 00:54:19.958]   Tucker Carlson is releasing his big blockbuster movie on Monday.
[00:54:19.958 --> 00:54:24.958]   While the kids have been calling for a sequel to Dune, Tucker thought they said Loon, as
[00:54:24.958 --> 00:54:26.798]  in crazy as a loon.
[00:54:26.798 --> 00:54:28.679]  Alright, pause there.
[00:54:28.679 --> 00:54:30.039]  As in crazy and a loon.
[00:54:30.097 --> 00:54:33.579]  Oh, you're gonna call us conspiracy theorists and crazy and white supremacists.
[00:54:34.059 --> 00:54:36.080]  No facts, no evidence, no proof.
[00:54:36.500 --> 00:54:41.462]  Just loon attacks, conspiracy theorists, white supremacists.
[00:54:41.482 --> 00:54:42.263]  I mean, you're about to hear it.
[00:54:42.283 --> 00:54:42.663]  Here it is.
[00:54:44.544 --> 00:54:46.645]  The domestic war on terror is here.
[00:54:47.425 --> 00:54:48.246]  It's coming after.
[00:54:51.883 --> 00:55:06.856]  No Zendaya?
[00:55:07.476 --> 00:55:07.816]  Darn.
[00:55:08.377 --> 00:55:10.939]  But it is about global domination, I guess in Tucker's eyes.
[00:55:10.999 --> 00:55:14.602]  And yes, Tucker sees himself as kind of a Timothee Chalamet-style messiah.
[00:55:15.222 --> 00:55:20.627]  But the comparisons end there, as Tucker attempts to whitewash the white supremacists at the Capitol on January 6th.
[00:55:21.613 --> 00:55:22.874]  And it gets more sinister than that.
[00:55:22.994 --> 00:55:29.139]  Tucker is peddling some deeply dangerous propaganda that the insurrection was actually a false flag operation.
[00:55:29.219 --> 00:55:30.400]  He has floated this before.
[00:55:31.041 --> 00:55:34.023]  It's a ridiculous conspiracy theory that the government was really behind it.
[00:55:34.043 --> 00:55:34.624]  Alright, pause again.
[00:55:35.965 --> 00:55:39.868]  It's a ridiculous conspiracy theory that the government was involved.
[00:55:41.249 --> 00:55:46.754]  Just like it's been involved in many other big events and been caught doing it.
[00:55:49.557 --> 00:55:51.838]  I mean, again, all he uses is hyperbole.
[00:55:51.918 --> 00:55:58.502]  All he uses is words like stupid, dumb, conspiracy theorist, white supremacist.
[00:55:58.842 --> 00:55:59.522]  That's all he's got.
[00:56:00.122 --> 00:56:06.046]  Even though Tucker hasn't even aired this yet, but I can tell you it presents the names of the FBI agents, their informants.
[00:56:06.506 --> 00:56:09.307]  It's already all come out, but it's going to be put together in a very professional format.
[00:56:10.048 --> 00:56:14.310]  CNN paying the main antifa leader who was trying to get the crowd to burn the building down.
[00:56:15.293 --> 00:56:16.815]  Acosta knows that's going to come out.
[00:56:17.456 --> 00:56:20.159]  He's doing damage control so he won't go watch it.
[00:56:20.239 --> 00:56:20.580]  Here it is.
[00:56:22.222 --> 00:56:26.387]  But there are plot holes big enough for Alex Jones to drive a monster truck through.
[00:56:26.986 --> 00:56:31.709]  Now, as for flags, there were plenty of Trump flags and Confederate flags on display at the insurrection.
[00:56:31.729 --> 00:56:34.651]  Just to pause again, yeah, nothing wrong with the Confederate flag.
[00:56:34.691 --> 00:56:41.255]  It's a symbol of Southern heritage and it's a battle flag and you guys are the ones that say it's racist when it's not, but I was there.
[00:56:41.555 --> 00:56:46.038]  There might have been one rebel flag for every thousand American flags.
[00:56:46.798 --> 00:56:53.342]  So you're now demonizing a million people that contested an election because there was a few Johnny Reb flags there.
[00:56:53.382 --> 00:56:56.643]  That's all he's got to claim this was a giant white supremacist event.
[00:56:56.663 --> 00:56:57.224]  Let's continue.
[00:56:57.764 --> 00:57:05.648]  Former Republican Congressman Demer Riggleman, who was working for the January 6th committee, has said at least seven white nationalist groups were involved in the rioting.
[00:57:06.108 --> 00:57:10.651]  Forget Universal Pre-K, some of these guys at the Capitol wanted Universal KKK.
[00:57:10.671 --> 00:57:11.711]  Alright, pause again.
[00:57:12.672 --> 00:57:15.994]  The KKK, all this, even Texas Monthly did reports on it decades ago.
[00:57:16.514 --> 00:57:21.096]  Almost every KKK bus they have, them planning violence, is led by the FBI.
[00:57:21.536 --> 00:57:29.559]  And the FBI goes and creates the Klan group, and then advertises, and then pays short bus type folks, literally, to be part of it.
[00:57:31.199 --> 00:57:39.582]  I mean that's, so of course there were seven white supremacist groups that came there working with the Southern Poverty Law Center, ADL, and the Democratic Party to do that.
[00:57:39.622 --> 00:57:40.443]  That's their M.O.
[00:57:40.483 --> 00:57:41.043]  Let's continue.
[00:57:41.561 --> 00:57:43.122]  There are other problems with Tucker's premise.
[00:57:43.143 --> 00:57:49.369]  Don't forget, Tucker already has rejected the notion that there was any serious violence at the Capitol on January 6th.
[00:57:49.809 --> 00:57:51.130]  He said this back in September.
[00:57:51.150 --> 00:57:52.111]  Hey, pause.
[00:57:52.131 --> 00:57:54.854]  We're going to come back to that, but here's the deal.
[00:57:54.874 --> 00:57:55.354]  We're on a break.
[00:57:57.136 --> 00:57:58.617]  They tried to make it much worse.
[00:57:59.698 --> 00:58:06.174]   And the feds running the different militia groups they were able to manipulate We're telling them we're going to go arrest Pelosi.
[00:58:06.234 --> 00:58:07.054]  We're going to attack.
[00:58:07.514 --> 00:58:12.496]  And that's why the feds have had to back off and go, OK, there was no coordination by Alex Jones or Trump or Roger Stone.
[00:58:12.916 --> 00:58:14.056]  Because that's true.
[00:58:14.657 --> 00:58:22.719]  And because they don't want an investigation into the fact that there was coordination and attacks.
[00:58:22.779 --> 00:58:24.060]  But it leads back to the Democrats.
[00:58:24.560 --> 00:58:26.141]  And I'm not saying the whole FBI is involved.
[00:58:26.161 --> 00:58:32.326]  The average FBI agent's like, you know, kidnap kids and bank robberies and money laundering and, you know, stuff like that.
[00:58:32.766 --> 00:58:42.954]  But the Democrat group up at the top of the Justice Department, they 100% wanted to say it was a big plot by Republicans, but they don't want the details of who actually ran these groups coming out.
[00:58:43.315 --> 00:58:51.161]  They want to put a bunch of innocent people and, you know, patsies in prison because they don't want a real investigation because it leads right back to Obama.
[00:58:55.017 --> 00:58:57.198]  Tucker Carlson is not a Republican.
[00:58:57.218 --> 00:58:58.958]  Tucker Carlson is not a Democrat.
[00:58:58.998 --> 00:58:59.779]  He's an American.
[00:59:00.539 --> 00:59:01.960]  And he wants to fight tyranny.
[00:59:03.660 --> 00:59:06.381]  He really wants to defeat the New World Order.
[00:59:07.962 --> 00:59:15.965]  And he grew up in an establishment family, but a family of people that were American patriots.
[00:59:17.025 --> 00:59:22.547]  And so he projected his family's own goodness onto the rest of the world.
[00:59:24.244 --> 00:59:25.825]  And then he later learned he was naive.
[00:59:27.285 --> 00:59:28.886]  The world wasn't nice like his dad.
[00:59:29.826 --> 00:59:30.466]  Or stepmom.
[00:59:31.426 --> 00:59:32.007]  Or his family.
[00:59:32.227 --> 00:59:32.687]  Or his brother.
[00:59:33.627 --> 00:59:34.908]  There were bad people in charge.
[00:59:36.288 --> 00:59:36.888]  How do I know that?
[00:59:37.889 --> 00:59:39.369]  Well, Tucker's told me that to my face.
[00:59:40.429 --> 00:59:41.490]  But I already knew his story.
[00:59:41.910 --> 00:59:43.130]  It's like so many other people's.
[00:59:43.511 --> 00:59:44.151]  Including mine.
[00:59:45.171 --> 00:59:47.192]  You gotta stop being naive, ladies and gentlemen.
[00:59:47.272 --> 00:59:47.932]  We've all been there.
[00:59:48.932 --> 00:59:50.453]  You gotta admit how much trouble we're in.
[00:59:51.693 --> 00:59:53.394]  We gotta recognize who our enemies are.
[00:59:54.454 --> 00:59:56.235]  And stop listening to him.
[00:59:56.815 --> 00:59:57.796]  Stop even debating him.
[00:59:58.416 --> 00:59:59.057]  But here I am.
[01:00:00.418 --> 01:00:03.139]  Breaking my own rule here.
[01:00:04.720 --> 01:00:07.442]  And that is giving attention to the system.
[01:00:08.493 --> 01:00:16.699]  But Jim Acosta, again, is the mouth of AT&T, the mouth of one of the most evil corporations out there that seeks to divide us while they engage in all their different crimes.
[01:00:17.459 --> 01:00:18.580]  That's the owners of CNN.
[01:00:18.620 --> 01:00:29.788]  So here's Jim Acosta, while AT&T is funding Black Lives Matter, racial division, whites are inherently bad, CRT, hardcore curriculum, to their own employees.
[01:00:31.429 --> 01:00:36.092]  Saying Tucker's insane, none of this exists, and there's no establishment move to divide America.
[01:00:36.332 --> 01:00:41.516]   There's no establishment move to Declare the American people as terrorists.
[01:00:44.318 --> 01:00:49.201]  That's in the official executive order signed in June by the puppet president.
[01:00:50.341 --> 01:00:51.142]  That's the reality.
[01:00:51.762 --> 01:00:53.083]  All right, so just go back to Acosta.
[01:00:53.123 --> 01:01:00.647]  It's hard to listen to, and he just said, oh, this has got plot holes big enough you can drive an Alex Jones-sized monster truck through.
[01:01:00.667 --> 01:01:06.650]  Ho, ho, ho, ho, ho, says the guy with no viewers and no support, who's the definition of fake news.
[01:01:07.665 --> 01:01:15.169]  I know the plot holes are your claim, that a million people that came to hear Trump speak and protest the election tried to attack or take that Capitol.
[01:01:15.349 --> 01:01:17.690]  If they'd have done that, we would have overthrown you right now.
[01:01:18.031 --> 01:01:22.153]  But see, that's what they want, is a violent attack, because they can beat that, they think.
[01:01:22.393 --> 01:01:25.575]  They can't beat an intellectual awakening where we withdraw our support from them.
[01:01:26.115 --> 01:01:29.316]  That's why they're pushing for violence and preparing real false flags.
[01:01:29.656 --> 01:01:34.296]  Not just guys dressed up like white nationalists to discredit the Republican gubernatorial candidate in Virginia.
[01:01:34.737 --> 01:01:35.897]  But violence, my friends.
[01:01:36.177 --> 01:01:39.837]  And that's why they're freaking out because that's the card they want to play.
[01:01:40.097 --> 01:01:43.218]  That's the point we've gotten to in the stage of the game.
[01:01:44.018 --> 01:01:45.338]  And so what is Carlson doing?
[01:01:45.618 --> 01:01:48.439]  He's striking right at the root of the power structure.
[01:01:48.879 --> 01:01:50.579]  The thing they came after me for.
[01:01:51.039 --> 01:01:53.540]  Pointing out that false flags even exist.
[01:01:53.820 --> 01:01:54.200]  Continue.
[01:01:55.230 --> 01:02:03.015]  You don't see people hiding bombs, or using bayonets, or firing weapons, trying to take over the country in an insurrection.
[01:02:03.515 --> 01:02:05.677]  You see people walking around and taking pictures.
[01:02:05.717 --> 01:02:07.558]  They don't look like terrorists, they look like tourists.
[01:02:07.878 --> 01:02:09.439]  And all of them, by the way, are American.
[01:02:10.689 --> 01:02:13.770]  Tucker has already described the insurrectionists as tourists.
[01:02:14.391 --> 01:02:18.352]  So they were just tourists while also carrying out a false flag attack on the Capitol.
[01:02:18.392 --> 01:02:20.493]  Sorry, you can't have it both ways.
[01:02:21.053 --> 01:02:21.574]  Pause again.
[01:02:22.454 --> 01:02:24.715]  You can't have it both ways, you little liar?
[01:02:25.635 --> 01:02:29.697]  Where you take a 10-second clip out of a 45-minute show he did and then misrepresent it?
[01:02:30.057 --> 01:02:30.958]  I watch those shows.
[01:02:31.618 --> 01:02:33.499]  Hell, some of my reporters were on those shows.
[01:02:35.019 --> 01:02:36.180]  Anybody go back and pull those up.
[01:02:36.883 --> 01:02:42.769]  He said a very small group of people got roped into a riot and then the police were ordered to stand down.
[01:02:43.509 --> 01:02:47.393]  And so then when that small group went in, then the people behind him didn't know what was happening.
[01:02:47.473 --> 01:02:51.517]  I was there and got waved in by the police who didn't want any more fights.
[01:02:53.365 --> 01:03:00.671]  And so it's those 600 people that have been arrested, over 400 were non-violent, some of them are still in jail in solitary confinement.
[01:03:01.051 --> 01:03:02.512]  That's what Tucker was talking about.
[01:03:02.772 --> 01:03:16.083]  So, he's saying the Feds tried a false flag, they tried to make this much more violent than it was, they provocateur groups on record, CNN paid a guy to go lead Antifa in, posing as Trump supporters to try to burn the place down.
[01:03:16.343 --> 01:03:17.844]  It's all on record, CNN!
[01:03:19.705 --> 01:03:28.100]   The globalist heir to the New World Order, Anderson Cooper had Jade Nexon bragging about it the day after.
[01:03:28.120 --> 01:03:30.042]  They paid money.
[01:03:30.702 --> 01:03:36.346]  Gemma Costa's company, AT&T, paid money to one of the ringleaders of the operation.
[01:03:36.366 --> 01:03:38.087]  It's come out.
[01:03:40.548 --> 01:03:42.029]  You know, you can't have it both ways, Tucker.
[01:03:42.069 --> 01:03:45.451]  Is it a false flag, or was it just people that were terrorists?
[01:03:45.811 --> 01:03:49.554]  Well, the people that got roped in outside and waved in, they are innocent.
[01:03:50.356 --> 01:03:52.877]  Guys that pooped on Pelosi's desk or drank her beer?
[01:03:53.357 --> 01:03:58.619]  Okay, you gave Democrats charges dropped for burning down federal buildings.
[01:03:58.999 --> 01:03:59.759]  I don't think that's right.
[01:04:00.079 --> 01:04:04.261]  But if you let them go for burning down federal buildings, you gotta let somebody go for pooping on Pelosi's desk.
[01:04:04.601 --> 01:04:06.602]  Especially when he's been in solitary confinement for eight months.
[01:04:06.702 --> 01:04:08.402]  I think that's Senate serve, don't you?
[01:04:08.762 --> 01:04:11.063]  I don't think he'll be crapping on Pelosi's desk anytime soon.
[01:04:13.464 --> 01:04:16.145]  Crap on Pelosi's desk, eight plus months solitary confinement.
[01:04:17.711 --> 01:04:19.232]  Burned down a federal building in Portland.
[01:04:19.932 --> 01:04:20.572]  Charges dropped.
[01:04:20.752 --> 01:04:21.873]  Two days after, you're arrested.
[01:04:22.453 --> 01:04:27.856]  Hell, the vice presidential candidate, now the vice president, she raised millions of dollars for those people!
[01:04:28.116 --> 01:04:30.397]  It doesn't hold water, you little monster!
[01:04:30.557 --> 01:04:47.916]  Acosta, continue.
[01:04:48.030 --> 01:04:49.931]  Legislative, Executive, and Judicial.
[01:04:50.692 --> 01:04:59.800]  All three bodies of government on the Constitution do not have to turn over all their information or private information to another branch of the government.
[01:04:59.820 --> 01:05:06.525]  I mean, imagine if Trump said, I want Eric Swallowswell's contents of his cell phone.
[01:05:06.545 --> 01:05:10.849]  Swallowswell would say, I have legislative immunity, you can't ask for that.
[01:05:11.741 --> 01:05:12.862]  Okay, so it's the same thing.
[01:05:12.882 --> 01:05:16.444]  So, oh, Trump is covering up what happened on January 6th.
[01:05:17.305 --> 01:05:17.845]  B.S.
[01:05:18.585 --> 01:05:21.647]  Trump is saying, we don't have to come testify at your witch hunt.
[01:05:21.847 --> 01:05:23.488]  They go, oh, you're scared of investigation.
[01:05:23.949 --> 01:05:26.310]  They don't let the Republicans have their members on it.
[01:05:26.830 --> 01:05:28.231]  They have Liz Cheney on there.
[01:05:28.532 --> 01:05:30.193]  They wouldn't let Jim Jordan or Nunes.
[01:05:30.233 --> 01:05:30.733]  I mean, come on.
[01:05:32.691 --> 01:05:36.254]  But he sits there rattling off lie after lie after lie.
[01:05:36.454 --> 01:05:37.935]  I mean, every three seconds is a new lie.
[01:05:38.135 --> 01:05:38.856]  Here, let's hear the rest.
[01:05:40.557 --> 01:05:48.824]  As well as White House visitor records, which is a reminder that, oh yeah, this alleged false flag operation happened when Trump was in office.
[01:05:48.944 --> 01:05:49.665]  Oh, let's pause again.
[01:05:50.565 --> 01:05:51.827]  Trump was completely cut off.
[01:05:51.987 --> 01:05:53.568]  No one was even giving him any advice.
[01:05:53.968 --> 01:05:55.550]  He couldn't get his executive orders implemented.
[01:05:55.570 --> 01:05:57.291]  They threw him in the trash.
[01:05:57.511 --> 01:06:01.835]  99% of his staff had already quit or left because they were being threatened by people like Acosta.
[01:06:02.782 --> 01:06:04.603]  So now Trump was in charge.
[01:06:04.663 --> 01:06:07.005]  No, Trump asked for 10,000 National Guard.
[01:06:07.385 --> 01:06:11.248]  The Democratic Party refused them two weeks before January 6.
[01:06:12.849 --> 01:06:14.109]  Trump walked into a trap.
[01:06:14.550 --> 01:06:15.610]  I walked into a trap.
[01:06:16.091 --> 01:06:16.811]  I was there.
[01:06:17.131 --> 01:06:19.713]  We were there to peaceful protest like all the Trump events.
[01:06:20.774 --> 01:06:25.757]  But you had Jaden X, your captain, leading that squad of anti-fan to that building.
[01:06:26.157 --> 01:06:27.318]  He had over 40 men with him.
[01:06:28.507 --> 01:06:31.308]  He's on camera bragging, telling the girl, I told you we're going to take the Capitol.
[01:06:31.629 --> 01:06:33.410]  Now we're going to burn this mother-effer down.
[01:06:34.050 --> 01:06:35.110]  I told you, I told you.
[01:06:35.330 --> 01:06:36.711]  She goes, I know, I know.
[01:06:36.791 --> 01:06:37.612]  I couldn't believe it.
[01:06:37.672 --> 01:06:38.532]  How did you know?
[01:06:39.152 --> 01:06:40.393]  As he wears his Trump hat.
[01:06:44.335 --> 01:06:45.135]  Unbelievable.
[01:06:45.155 --> 01:06:51.939]  And when it became so obvious, they finally indicted Jaden X because he was running around free bragging about it.
[01:06:52.910 --> 01:06:54.091]  But what about all the other feds?
[01:06:54.111 --> 01:06:54.992]  They haven't indicted them yet.
[01:06:55.272 --> 01:06:56.373]  But we're going to expose them.
[01:06:56.693 --> 01:06:58.135]  You can bet your bottom dollar on that.
[01:06:58.435 --> 01:06:59.696]  So see how I'm just, I'm stopping.
[01:06:59.736 --> 01:07:00.997]  I'm sorry it's obnoxious, but I'm doing it.
[01:07:01.598 --> 01:07:03.539]  I'm stopping every part of this.
[01:07:03.559 --> 01:07:06.322]  You could teach a whole college course on the seven and a half minute report.
[01:07:07.262 --> 01:07:08.724]  Because every five seconds is a lie.
[01:07:09.625 --> 01:07:11.987]  That you can refute in real time.
[01:07:13.188 --> 01:07:14.369]  Trump said, I'm worried about violence.
[01:07:14.389 --> 01:07:15.630]  We need 10,000 National Guard.
[01:07:18.069 --> 01:07:18.249]  No.
[01:07:18.909 --> 01:07:23.591]  And then they sent two-thirds of the Capitol Police away that day to traffic control miles away.
[01:07:24.471 --> 01:07:31.194]  I mean, the average Capitol Police officers weren't involved in it, but the Democrats in control and the city of D.C.
[01:07:31.234 --> 01:07:33.974]  that was in control of the Capitol Police, they did this whole thing.
[01:07:34.155 --> 01:07:36.935]  They even wrote a Time Magazine article bragging about how they set Trump up.
[01:07:40.017 --> 01:07:46.919]  I've got some big COVID-19 news, but I tend to start the shows with that, so I'm going to end the broadcast next segment with it.
[01:07:48.780 --> 01:07:49.861]  Some big news just broke.
[01:07:51.602 --> 01:07:54.504]  InfoWars, the Alex Jones Show.
[01:07:54.565 --> 01:07:58.565]  Because there is a war on for your mind.
[01:07:58.565 --> 01:08:02.565]  (Groaning)
[01:08:02.565 --> 01:08:08.565]  Breaking! Vaccinated Jim Psaki test positive for COVID-19.
[01:08:09.155 --> 01:08:14.178]  And I got a big British study saying you're more likely to get COVID-19 or be hospitalized or die.
[01:08:14.799 --> 01:08:22.501]   And then now the Royal College has come out Saying that the vaccine basically doesn't protect you.
[01:08:24.022 --> 01:08:24.882]  At all, period.
[01:08:24.942 --> 01:08:28.023]  You see, you've been conned, you've been lied to the whole time.
[01:08:30.063 --> 01:08:33.324]  I know our audience knows that, but that story just broke on InfoWars.com.
[01:08:33.805 --> 01:08:41.287]  So look, I don't normally, again, spend 30 minutes, an hour, or whatever we've already spent, probably 45 minutes, on Jim Acosta.
[01:08:42.472 --> 01:08:50.123]  But you have to understand, again, he is the mouth, just like Oliver Darcy and Ryan Stelter, of Jeff Zucker.
[01:08:50.223 --> 01:08:52.507]  That's come out in leaks, that's come out from whistleblowers.
[01:08:53.883 --> 01:08:56.985]  That this is literally what AT&T wants.
[01:08:57.386 --> 01:09:00.408]  Race-baiting, division, to play Americans off against each other.
[01:09:00.448 --> 01:09:04.130]  A classic tactic of corrupt ruling classes is divide and conquer.
[01:09:04.911 --> 01:09:07.413]  And I keep harping on that because that's the key to understanding this.
[01:09:07.773 --> 01:09:09.454]  That doesn't mean there aren't racist white people.
[01:09:09.474 --> 01:09:10.835]  It doesn't mean there aren't racist black people.
[01:09:11.156 --> 01:09:12.657]  It doesn't mean there aren't racist brown people.
[01:09:12.677 --> 01:09:18.060]  It doesn't mean that black people didn't do something to white people or white people didn't do something to black people.
[01:09:18.681 --> 01:09:23.466]   The point is, Is that usually it's the corrupt establishment doing something to all of us.
[01:09:23.767 --> 01:09:26.270]  You like paying double for gas what you were paying a year ago?
[01:09:26.290 --> 01:09:27.572]  It's about to get a lot worse.
[01:09:27.672 --> 01:09:29.455]  It's up to $7 a gallon in California.
[01:09:29.475 --> 01:09:32.339]  Doesn't matter what damn color you are, you're getting screwed, aren't you?
[01:09:33.921 --> 01:09:36.885]  What color we are is the least of our issues, ladies and gentlemen.
[01:09:37.884 --> 01:09:41.506]  It literally, literally is a distraction, like what color an automobile is.
[01:09:42.267 --> 01:09:50.171]  Except it's got all that baggage coming with it, and they know that, and so they want to, again, focus on that, so you're not focusing on how you're getting screwed.
[01:09:50.892 --> 01:09:52.253]  And I want to beat these people, man.
[01:09:52.613 --> 01:09:53.453]  I hate the globalists.
[01:09:54.894 --> 01:09:58.236]  I don't hate white people, or brown people, or red people, or brown people.
[01:09:59.397 --> 01:10:01.598]  But I do hate Satanists.
[01:10:02.179 --> 01:10:05.701]  And they come in every shape and color and size, and I hate their guts.
[01:10:06.766 --> 01:10:07.986]  All right, let's get back to Acosta.
[01:10:10.187 --> 01:10:11.128]  He is such a monster.
[01:10:11.348 --> 01:10:14.229]  He runs around events we're at trying to get our reporters thrown out.
[01:10:15.830 --> 01:10:18.151]  He doesn't just censor people on the internet.
