[00:00:00.449 --> 00:00:01.751]  Texas is under attack.
[00:50:16.962 --> 00:50:19.544]  So I went down and got the crew some food, I got some potato chips.
[00:50:21.903 --> 00:50:22.763]  Some candy bars.
[00:50:23.144 --> 00:50:30.427]  That's about all we get right now because the power's off because the government shut the power off by shutting the power plants down.
[00:50:32.248 --> 00:50:33.048]  And so that's where we are.
[00:50:33.448 --> 00:50:34.669]  Learning to live with less.
[00:50:36.109 --> 00:50:39.211]  Learning that if somebody else gets something, we lose something.
[00:50:39.271 --> 00:50:42.972]  Learning from Bill Gates that if you want to hire ten teachers, well, what do you do?
[00:50:43.012 --> 00:50:44.313]  You kill an old person!
[00:50:48.248 --> 00:50:48.929]  All that's a lie.
[00:50:49.729 --> 00:50:53.792]  If you really think you kill an old person and you get advanced by Bill Gates, think again.
[00:50:54.453 --> 00:51:01.819]  The minute you give up on standing up for humanity, the minute you give up on morals and justice, the minute you give up on what's written on the code of your soul,
[00:51:03.820 --> 00:51:10.563]  You give up who you are and then that vacuum is created and all that corruption and all that evil comes in.
[00:51:11.103 --> 00:51:28.190]  Oh, the left tells you evil and corruption doesn't exist because they don't want you to have a will and a differential and a gauge, a sight, as you drive down the road of life and make your own decisions about what's best for you and in the collective what you'd like to do with your greater self.
[00:51:29.711 --> 00:51:30.411]  That communion.
[00:51:31.308 --> 00:51:36.472]  The globalists always tell you they're the collectivists, they're the Great Communion, but they're really not.
[00:51:36.872 --> 00:51:49.142]  They're actually waging war against the individual and war against a collective that the individual that is very pure on average would create together in a shared vision that is that free market of ideas.
[00:51:51.243 --> 00:52:11.975]  It's always the robber barons, the islands unto themselves, the there-will-be-blood villain types that are the real David Rockefellers that don't want to see all this diversity, that don't want to see all these ideas, that don't want to see all this literature and art and culture and humans teeming with understanding because that leaves them in the dust.
[00:52:13.436 --> 00:52:18.319]  And so everything they do is about waging war on humanity and bringing us down.
[00:52:19.505 --> 00:52:22.906]  And their great modern war against humanity is the Great Reset.
[00:52:23.006 --> 00:52:25.706]  It is the declaration of war against you and your family.
[00:52:26.066 --> 00:52:27.587]  It is Operation Lockstep.
[00:52:27.867 --> 00:52:28.787]  It is Event 201.
[00:52:29.227 --> 00:52:31.428]  It is their New World Order.
[00:52:34.968 --> 00:52:37.429]  I've said this before and I'll say it again because it's the truth.
[00:52:38.129 --> 00:52:47.551]  There are so many political diversions, so many rabbit trails, so many lies, so many distractions, all financed by the globalists, but then there's the truth of the world.
[00:52:49.650 --> 00:52:53.291]  The conquest economy and the renaissance economy.
[00:52:54.072 --> 00:52:57.833]  And those types of systems, a mix of those systems throughout history.
[00:52:58.854 --> 00:53:09.118]  And the war taking place against your free will to be able to make your own decisions because it doesn't comport with the globalists and what they're trying to establish and what they're trying to set up.
[00:53:10.419 --> 00:53:18.762]  And so I'm metaphysically here to let you know that you've got a choice because God loves you and wants you to be involved in your own future.
[00:53:19.963 --> 00:53:26.347]  And so whatever happens in the course of events is up to you and up to me and up to all of us when we decide.
[00:53:27.187 --> 00:53:28.228]  So stop living in guilt.
[00:53:29.349 --> 00:53:30.369]  Stop backing the globalists.
[00:53:31.130 --> 00:53:32.190]  Stop going along with their lies.
[00:53:32.230 --> 00:53:33.711]  Stop feeling like you're dirty and bad.
[00:53:34.271 --> 00:53:40.195]  And realize that the minute you start actually being who you really are is the minute their system starts to fail.
[00:53:42.048 --> 00:53:49.930]  I come to you from the once great state of Texas, with its energy cut off, with its stores closed, with the governor saying, wear a mask over your face.
[00:53:51.131 --> 00:54:04.074]  As just like California a decade ago, 20 years ago, when under Enron control, as we are exploiting the squeeze as well, as we're taught to have less, as we're taught to devolve, as we're taught to become poor.
[00:54:05.055 --> 00:54:10.276]  And I just hope that humanity will find its spirit again and rise up in a great awakening
[00:54:13.609 --> 00:54:14.469]  We're good to go.
[00:54:39.397 --> 00:54:41.479]  That thinks there's too many people, and that they're culling us.
[00:54:42.219 --> 00:54:46.882]  And their argument is, the public's dumb, they don't care, you can't save them, Jones, they don't want to be saved.
[00:54:48.063 --> 00:54:54.708]  But I see a huge awakening happening worldwide to globalism, and people saying no in Brazil, and the US, and Europe, and the UK.
[00:54:55.329 --> 00:54:59.372]  It doesn't matter if our leaders are corrupt, or our leaders are double-dealing, or our leaders fail.
[00:54:59.592 --> 00:55:06.317]  What matters is we do the right thing, we stand up for justice, and in the end, that's the only thing in history that's made things better.
[00:55:07.344 --> 00:55:09.586]  So I know we're going to win this fight.
[00:55:09.627 --> 00:55:10.507]  We don't have a choice.
[00:55:11.148 --> 00:55:15.272]  These evil people have a desire to commit corruption because it's their spirit.
[00:55:15.873 --> 00:55:26.484]  Well, you've got to tune into your spirit that God gave you a desire to create justice and freedom and innovation and not submit to their tyranny, not be a victim, but overcome it!
[00:55:27.345 --> 00:55:30.747]  Now is the time to overcome the New World Order!
[00:55:31.207 --> 00:55:38.691]  Now is the time as they strike against us to remember who we are and come together and defeat their New World Order!
[00:55:54.641 --> 00:55:58.753]  InfoWars, the most banned network in the world.
[00:56:06.240 --> 00:56:07.461]  This is the American dream.
[00:56:07.921 --> 00:56:10.603]  Independent companies supplying the American people.
[00:56:10.643 --> 00:56:16.327]  Behind me is the 400,000 square foot facility for MyPatriotSupply, one of our biggest supporters.
[00:56:16.828 --> 00:56:18.709]  They have so many Americans working for them.
[00:56:19.009 --> 00:56:22.952]  The food, the products, it's all right here from America, right to your door.
[00:56:23.292 --> 00:56:26.394]  We're not funded by Bill Gates or George Soros, the globalist.
[00:56:26.414 --> 00:56:32.519]  We are funded by you supporting us at Infowarsstore.com with amazing American companies like MyPatriotSupply.
[00:56:32.819 --> 00:56:37.585]  Hi, I'm Joe Reek, the Vice President of Sales, and here we are in our main factory here in Salt Lake City, Utah.
[00:56:37.845 --> 00:56:40.248]  As you can see behind me, we have our automatic conveyor systems.
[00:56:40.668 --> 00:56:45.093]  We have all of our finished goods, our racking right here, as well as our manufacturing arm of MyPatriotSupply.
[00:56:45.213 --> 00:56:50.059]  Here out of this facility, we're fulfilling up to 1,400 individual orders just from this facility alone.
[00:56:50.399 --> 00:56:54.301]  So this section right here is where all of our raw goods are brought in from across the country.
[00:56:54.441 --> 00:56:55.982]  All the raw ingredients are brought in here.
[00:56:56.082 --> 00:56:56.762]  It's sourced.
[00:56:57.002 --> 00:56:57.583]  We come here.
[00:56:57.823 --> 00:56:58.803]  We blend it all together.
[00:56:58.823 --> 00:56:59.784]  We put everything together.
[00:56:59.824 --> 00:57:01.045]  We package it and ship it all out.
[00:57:01.085 --> 00:57:02.866]  So all these racks are full of food 24-7.
[00:57:04.446 --> 00:57:05.727]  It's a continuous motion.
[00:57:05.767 --> 00:57:08.108]  It's like a symphony of things coming in and coming out.
[00:57:08.388 --> 00:57:10.309]  It's pretty incredible to watch on a really busy day.
[00:57:10.730 --> 00:57:14.812]  People pulling product down, blending it, packaging it, getting raw products in.
[00:57:15.012 --> 00:57:16.293]  The finished goods out the door.
[00:57:16.393 --> 00:57:17.113]  It's really amazing.
[00:57:17.513 --> 00:57:20.375]  And what's amazing is, again, most of the companies just buy stuff from other companies.
[00:57:20.395 --> 00:57:22.616]  Sometimes it's old, sometimes it's not high quality.
[00:57:22.636 --> 00:57:25.778]  With you guys, you want a long-term relationship, and I know because I've reasoned with what you do.
[00:57:26.399 --> 00:57:30.421]  This stuff gets tested before it gets here, but you guys go an extra step, you test it again.
[00:57:30.461 --> 00:57:31.842]  I saw your testing facility.
[00:57:32.202 --> 00:57:34.984]  We test it four or five times before it actually leaves our facility.
[00:57:35.024 --> 00:57:43.429]  So the minute the raws show up, it gets tested before it gets produced, it gets tested during production, it gets tested after production, and it gets tested before it gets put inside of the buckets.
[00:57:43.649 --> 00:57:46.690]  So I just asked Joe to open up a few of these packages for us.
[00:57:46.970 --> 00:57:49.671]  And once he opened it up, he had trouble putting it all back inside.
[00:57:49.711 --> 00:57:50.831]  That's how jam-packed these are.
[00:57:51.112 --> 00:57:54.373]  This isn't like a Doritos bag where it's 80% air.
[00:57:54.613 --> 00:57:59.795]  These things are jam-packed with high-quality product, with all those great calories for you and your family.
[00:58:00.195 --> 00:58:03.136]  And again, even this packaging is proprietary and really tough.
[00:58:03.176 --> 00:58:03.756]  Tell us about this.
[00:58:04.136 --> 00:58:11.148]  Well, what this packaging is, it's a really thick mylar and one of the things that separates us from some of the other brands is going to be this built-in Ziploc right here.
[00:58:11.548 --> 00:58:14.653]  Let's say, for instance, you're going to have your maple grove over, but you're not going to eat the whole thing.
[00:58:17.558 --> 00:58:21.961]  Zip lock that, throw that back in the bucket, use it within the next 7-10 days, and you're good to go.
[00:58:22.161 --> 00:58:22.921]  And it's not flimsy?
[00:58:23.301 --> 00:58:24.522]  It's definitely not flimsy, no.
[00:58:24.562 --> 00:58:27.124]  I mean, you'll find some of these other brands that are super, super thin.
[00:58:27.544 --> 00:58:28.745]  It feels like a burrito sack.
[00:58:29.065 --> 00:58:30.246]  This is super, super durable.
[00:58:30.266 --> 00:58:31.206]  You can't rip that.
[00:58:31.246 --> 00:58:32.167]  You can't break that.
[00:58:32.247 --> 00:58:33.327]  You can't demolish that.
[00:58:33.688 --> 00:58:34.448]  Your food is protected.
[00:58:34.608 --> 00:58:36.508]  You guys have the best packaging and I'm just the best food.
[00:58:36.849 --> 00:58:37.409]  So look at this.
[00:58:37.769 --> 00:58:38.989]  And it just goes on and on.
[00:58:39.029 --> 00:58:41.670]  This whole thing is just jam-packed product.
[00:58:42.070 --> 00:58:45.310]  But again, if you ever take it out of there, you're going to have to go put it back in because it's so full.
[00:58:45.550 --> 00:58:47.751]  Right here is a 30-day food supply.
[00:58:47.771 --> 00:58:48.591]  Bucket 1 and Bucket 2.
[00:58:49.231 --> 00:58:50.972]  You got this, you are taken care of.
[00:58:51.452 --> 00:58:56.773]  Whether you're out doing a survival trip or camping or whether the apocalypse comes or the Great Reset.
[00:58:57.473 --> 00:59:00.337]  One person is set with 2,000 calorie meals.
[00:59:00.678 --> 00:59:04.523]  A lot of the competitors aren't just low quality, they're not even close to 2,000 calories.
[00:59:04.803 --> 00:59:06.625]  So this is great for beginners.
[00:59:06.986 --> 00:59:11.852]  Stick your toe in the water at mfulworthstore.com with the one month food supply, bucket one and bucket two.
[00:59:12.233 --> 00:59:13.074]  Everybody should have this.
[00:59:13.334 --> 00:59:15.836]  I'm telling you, everybody needs high-quality, storable foods.
[00:59:16.417 --> 00:59:17.558]  This is the place to get it.
[00:59:17.998 --> 00:59:20.881]  And nobody's got quality anywhere near the price.
[00:59:21.721 --> 00:59:23.062]  And that's why they're my sponsor.
[00:59:23.082 --> 00:59:25.064]  That's why they're going to be my sponsor, hopefully in 10 years.
[00:59:25.324 --> 00:59:27.106]  They've been our sponsor for more than 10 years.
[00:59:27.506 --> 00:59:30.549]  We are so excited to be associated with Ready Hour and MyPatriot.
[00:59:30.729 --> 00:59:32.490]  Their entire selection ready to ship to you.
[00:59:32.891 --> 00:59:34.412]  Available at Infoworkstore.com.
[00:59:34.792 --> 00:59:38.135]  By purchasing it there, you don't keep us on the air in the face of wobbles.
[00:59:38.496 --> 00:59:39.476]  And I salute you all.
[00:59:39.537 --> 00:59:39.837]  Thank you.
[00:59:46.781 --> 00:59:49.668]  Delivering all your food, ladies and gentlemen, right here in America.
[00:59:50.109 --> 00:59:51.231]  And it funds the InfoWars.
[00:59:51.251 --> 00:59:53.496]  Go to InfoWarsStore.com today and get prepared.
