[00:00:00.309 --> 00:00:00.991]  Wednesday live.
[01:26:39.304 --> 01:26:40.445]  I can't look at him.
[01:26:40.465 --> 01:26:41.065]  Just look at him.
[01:26:41.285 --> 01:26:42.706]  He knows he's a piece of garbage.
[01:26:45.268 --> 01:26:46.189]  We'll start the next hour.
[01:26:46.209 --> 01:26:47.210]  We've got a ton of news.
[01:26:47.710 --> 01:26:50.052]  The plan to cut off all our energy coming up next.
[01:26:50.912 --> 01:26:51.453]  That's right.
[01:26:52.233 --> 01:26:54.675]  Eric Clapton barely survived the Pfizer shot.
[01:26:55.452 --> 01:27:01.657]  But the Pfizer CEO says you better shut your mouth or he'll sic the CIA and FBI on ya!
[01:27:02.677 --> 01:27:05.339]  Freedom came my way one day!
[01:27:05.360 --> 01:27:13.926]  For what I don't know, Bill Gates wants to kill us.
[01:27:13.946 --> 01:27:19.290]  Here he comes.
[01:27:23.053 --> 01:27:24.254]  Oh, they kill it before it grows.
[01:27:26.806 --> 01:27:27.966]  Yeah, I shot the sheriff.
[01:27:30.747 --> 01:27:31.768]  But I didn't shoot the deputy.
[01:27:34.929 --> 01:27:36.029]  If I'm guilty, I will pay.
[01:27:37.890 --> 01:27:38.290]  But I didn't.
[01:27:39.030 --> 01:27:40.431]  All right, let's get back to these clips.
[01:27:40.731 --> 01:27:41.751]  Let's play Rittenhouse.
[01:27:41.971 --> 01:27:50.834]  We got the judge chewing them out, but here's Kyle starting to break down in tears on the stand as he recounts being cornered by Kaminsky and Rosenbaum.
[01:27:50.874 --> 01:27:51.414]  Here it is.
[01:27:51.855 --> 01:28:07.706]   And I stepped I stepped towards the Duramax and as I'm stepping forward, I believe his name is now Joshua Zeminski, he steps towards me with a pistol in his hand and as I'm
[01:28:09.639 --> 01:28:16.681]  As I'm walking towards to put out the fire, I drop the fire extinguisher and I take a step back.
[01:28:17.141 --> 01:28:17.442]  Okay.
[01:28:18.082 --> 01:28:22.483]  When you step back from Mr. Zeminski, what's your plan?
[01:28:23.524 --> 01:28:33.647]  My plan is to get out of that situation and go back north down Sheridan Road to where the car source lot number two was.
[01:28:37.820 --> 01:28:40.441]  Were you able to go in a northerly direction?
[01:28:41.041 --> 01:28:41.622]  I wasn't.
[01:28:42.002 --> 01:28:42.822]  Describe what happened.
[01:28:44.583 --> 01:29:09.859]   I, once I take that step back, I look over my shoulder and Mr. Rosenbaum, Mr. Rosenbaum was now running from my right side and I was cornered from in front of me with Mr. Zeminski >> There were.
[01:29:09.859 --> 01:29:16.859]  [BLANK_AUDIO]
[01:29:16.859 --> 01:29:19.859]  Being stopped by a pedophile.
[01:29:19.859 --> 01:29:21.359]  People right there.
[01:29:21.359 --> 01:29:33.359]  [BLANK_AUDIO]
[01:29:33.359 --> 01:29:34.859]  That's what I.
[01:29:34.859 --> 01:29:37.859]  [BLANK_AUDIO]
[01:29:37.859 --> 01:29:39.859]  prosecutors have had a pedophile got killed.
[01:29:39.681 --> 01:29:40.241]  Make no mistake.
[01:29:41.943 --> 01:29:42.644]  That's their God.
[01:29:42.664 --> 01:29:45.286]  Boy rapers are who they worship.
[01:29:48.528 --> 01:29:52.289]  So you see the emotional breakdown there of 18-year-old Kyle Rittenhouse on trial for shooting three people.
[01:29:52.309 --> 01:29:55.750]  Two of them died during protests after a police shooting in Kenosha, Wisconsin.
[01:29:55.570 --> 01:29:58.050]  He killed a boy raper, that's not allowed.
[01:29:58.050 --> 01:30:03.890]   So you see the emotional breakdown there of 18 year old Kyle Rittenhouse on trial for
[01:30:03.890 --> 01:30:10.770]   shooting three people, two of them died during protests after a police shooting in Kenosha,
[01:30:10.770 --> 01:30:11.769]  Wisconsin.
[01:30:11.769 --> 01:30:15.449]  It was August 25th, 2020 and we have been following this.
[01:30:15.536 --> 01:30:16.477]  We got up to clip three.
[01:30:16.497 --> 01:30:22.082]  Here's the judge in the Rittenhouse trial that's not happy with the prosecution, with the George Soros rat pack.
[01:30:22.202 --> 01:30:22.722]  Here it is.
[01:30:23.363 --> 01:30:24.824]  ...provoke a mistrial on this matter.
[01:30:25.344 --> 01:30:28.967]  He knows he can't go into this, and he's asking the questions.
[01:30:29.768 --> 01:30:36.313]  I ask the court to strongly admonish him, and the next time it happens, I'll be asking for a mistrial with prejudice.
[01:30:36.513 --> 01:30:38.995]  He's an experienced attorney, and he knows better.
[01:30:43.168 --> 01:30:45.970]  First of all, Your Honor, this was the subject of a motion.
[01:30:46.050 --> 01:30:47.031]  I'm well aware of that.
[01:30:48.052 --> 01:30:51.294]  And the court left the door open.
[01:30:51.314 --> 01:30:52.856]  For me, not for you!
[01:30:56.078 --> 01:30:57.939]  My understanding is... You should have come and asked!
[01:30:59.597 --> 01:31:05.361]  For reconsideration, you did on the one motion, and in fact I granted your motion for reconsideration.
[01:31:05.422 --> 01:31:07.943]  That was not a motion.
[01:31:08.364 --> 01:31:10.105]  Excuse me.
[01:31:10.806 --> 01:31:11.486]  I did, I granted.
[01:31:11.746 --> 01:31:12.947]  We did not move for reconsideration.
[01:31:12.967 --> 01:31:13.648]  That was their motion.
[01:31:13.968 --> 01:31:16.050]  We have not filed any motions to reconsider in this case.
[01:31:16.130 --> 01:31:18.371]  That was their motion for reconsideration, which I denied.
[01:31:18.952 --> 01:31:27.178]   But I said, I denied it, or I indicated a bias towards denial is what I did.
[01:31:27.679 --> 01:31:28.980]  Held it open with a bias towards denial.
[01:31:29.000 --> 01:31:30.821]  So this is a disaster for that scumbag Jared Soros.
[01:31:30.841 --> 01:31:32.963]  Why would you think that that made it okay for him to say that?
[01:31:33.263 --> 01:31:33.884]  We're going to go to break.
[01:31:33.904 --> 01:31:35.185]  We're going to come back with the big news.
[01:31:35.205 --> 01:31:36.546]  They're planning to cut your power off.
[01:31:37.026 --> 01:31:38.588]  We'll see if the Republicans will stop them.
[01:31:39.818 --> 01:31:43.182]  It comes at the end of October every year and only runs for two weeks.
[01:31:43.582 --> 01:31:48.067]  It's what I call the Black Friday comes early super blowout sale.
[01:31:48.387 --> 01:31:53.813]  With store-wide free shipping, double Patriot points, and up to 60% off on our best-selling products.
[01:31:54.134 --> 01:31:58.658]  Brain Force Plus, sold out for almost eight months, back in stock, 50% off.
[01:31:59.019 --> 01:32:00.440]  Ultimate Bone Broth Plus!
[01:32:01.181 --> 01:32:05.962]  It's even better than the last formula with chaga mushrooms and turmeric and just everything.
[01:32:06.022 --> 01:32:08.283]  It's so good, it's now available again.
[01:32:08.303 --> 01:32:09.543]  20% off.
[01:32:10.023 --> 01:32:11.683]  Ultra 12, 60% off.
[01:32:11.903 --> 01:32:13.504]  Alpha Power, 40% off.
[01:32:13.684 --> 01:32:14.884]  Knockout, 50% off.
[01:32:15.104 --> 01:32:16.304]  Living Defense, 50% off.
[01:32:16.524 --> 01:32:18.205]  Pure Turmeric Extract Bodies, 40% off.
[01:32:18.285 --> 01:32:22.125]  Activated Charcoal Toothpaste and Mouthwash, 50% off.
[01:32:22.385 --> 01:32:23.466]  And it goes on and on and on.
[01:32:23.666 --> 01:32:27.247]   Storable Foods, 10% off last time of the year that deal's happening.
[01:32:27.467 --> 01:32:31.268]  It's all available now at InfoWarsStore.com.
[01:32:31.308 --> 01:32:33.889]  The Black Friday sale comes early.
[01:32:34.149 --> 01:32:37.770]  It's going right now for the next two weeks and it supports the InfoWar.
[01:32:37.990 --> 01:32:39.450]  Take action now and get prepared.
[01:32:40.670 --> 01:32:46.092]  Isolate, contain and control, and then abuse.
[01:32:47.993 --> 01:32:52.934]  Isolate, then contain and control, then abuse or kill.
[01:32:54.005 --> 01:33:00.769]  That's been the model of oppressors and tyrants and cults since human history began to be recorded over 7,000 years ago.
[01:33:02.090 --> 01:33:13.237]  And now here we are today with the Davos Group representing the most powerful corporations on earth, the most powerful families, including royalty, literally saying they're setting up a world government to depopulate us.
[01:33:14.378 --> 01:33:20.782]  Literally teaching children that they are non-essential and that they can't have running water or electricity.
[01:33:21.622 --> 01:33:32.578]   That's what Obama went to Africa Six years ago before he left office and told them on record, these are the greatest oppressors the world has ever seen.
[01:33:32.999 --> 01:33:34.320]  They don't care about the environment.
[01:33:34.840 --> 01:33:43.748]  When you read deeper into their documents, they're basically mad scientists or transhumanists that believe they're going to transcend carbon-based life and overwrite the entire planet.
[01:33:44.408 --> 01:33:46.250]  This is delusions of grandeur.
[01:33:46.610 --> 01:33:49.413]  All of the top Davos high priests are called high priests.
[01:33:51.044 --> 01:33:57.771]  And they say that they are transcending humanity and that they're going to basically absorb us in that transformation.
[01:33:58.612 --> 01:34:07.261]  The lockdowns, the vaccine passports are all the global social credit score world tracking system they've now announced a month ago.
[01:34:07.962 --> 01:34:10.404]  I told you decades ago this was coming because it was in their documents.
[01:34:10.505 --> 01:34:12.427]  Now it's not theoretical.
[01:34:13.499 --> 01:34:20.702]  It's gone from beta to operational and it doesn't matter whether you're a conservative, doesn't matter whether you're a liberal, a Christian, a Buddhist, an atheist.
[01:34:21.022 --> 01:34:42.335]   This is a scientific dictatorship taking over and targeting you and you need to get out of the prison of the mind that you let them build for you, out of the constructs and break free and transcend and get back your human roots and use your basic instincts in you With your intellect to decide that you are not going to be a slave of this and you're taking control of your destiny.
[01:34:42.715 --> 01:34:50.999]  Coming in December, I'm going to release the most powerful information ever, not just from Alex Jones, but period, when it comes to transcending tyranny.
[01:34:52.020 --> 01:34:54.641]  You'll find more information at BandopVideo and InfoWars.com.
[01:34:55.061 --> 01:34:59.163]  If you are watching this transmission, never forget, you are the hope of the universe.
[01:34:59.224 --> 01:35:00.244]  You are the seed of the universe.
[01:35:00.444 --> 01:35:19.003]  You are the resistance.
[01:35:19.024 --> 01:35:23.405]  I know Merle Haggard was from Oklahoma, which is North Texas around here.
[01:35:24.526 --> 01:35:30.868]  But I remember growing up with all the grandpas and great grandmas and all those people are dead now.
[01:35:32.708 --> 01:35:35.049]  And they weren't trying to sound and talk like that.
[01:35:35.089 --> 01:35:35.889]  That's what they sounded like.
[01:35:36.744 --> 01:35:41.766]  Like, I have this raspy, you know, blown-out voice, and I talk fast because I grew up in the modern world.
[01:35:42.526 --> 01:35:44.287]  But none of them talked fast.
[01:35:44.367 --> 01:35:47.948]  They just all had such pretty voices, like Merle Haggard.
[01:35:49.488 --> 01:35:50.769]  And they're all gone.
[01:35:55.250 --> 01:35:56.430]  They were all really funny, too.
[01:35:57.351 --> 01:35:58.571]  They were good, good people.
[01:36:00.992 --> 01:36:03.873]  I can't imagine them seeing a world like this today and what they'd think of it.
[01:36:05.259 --> 01:36:07.060]  This country did used to be really great.
[01:36:09.761 --> 01:36:12.842]  But now it's it's been poisoned by the New World Order.
[01:36:14.462 --> 01:36:21.725]  I know it's our job to try to save it, but we've got to reach out to God because only God can make that happen.
[01:36:25.547 --> 01:36:27.607]  All right, you talk about walking on the fighting side.
[01:36:30.288 --> 01:36:42.112]   When I was given this about a week ago or more than a week ago now by Rob Doob, And I read it one time and I said, listen, we got to do a special broadcast about this because then millions will pay attention.
[01:36:42.452 --> 01:36:45.955]  Millions are tuned in, but then millions will say, hey, this is important.
[01:36:46.095 --> 01:36:47.736]  I might want to tell somebody about this.
[01:36:49.377 --> 01:36:54.841]  And then I was scanning back over this earlier and it made me think of so many things I need to get to add to this.
[01:36:56.523 --> 01:37:00.385]  Because if I only show you part of this.
[01:37:03.187 --> 01:37:10.499]   I will be Basically just doing them a favor because let me describe how this works.
[01:37:12.180 --> 01:37:26.750]  They do these different global drills and it's like see-through overlays like you'd have in the old-fashioned schools with the projector on the wall where you put down questions and then there's blank spots you put down later another and it's got the answers there.
[01:37:27.450 --> 01:37:31.073]  It's like coded but very lightly coded.
[01:37:32.554 --> 01:37:34.953]  Like maybe one word out of 50 is missing.
[01:37:34.953 --> 01:37:41.153]  Here's an example.
[01:37:41.277 --> 01:37:47.063]  We really need to take over the system and cut off the resources so that there's a smaller population.
[01:37:47.463 --> 01:37:52.308]  And now we're going to carry it, and they leave the word, out, out.
[01:37:52.568 --> 01:38:00.576]  I mean, that's an oversimplification, but when you look at the different UN documents, they all tell you 99% of what they're going to do.
[01:38:00.616 --> 01:38:01.677]  I mean, they state it.
[01:38:03.661 --> 01:38:08.305]  And then when you read other documents, you go, oh my God, that one fits exactly in with this one.
[01:38:08.565 --> 01:38:11.207]  And then they've got footnotes mentioning the other document.
[01:38:12.308 --> 01:38:20.694]  So this is a big, long-term, strategic plan that we warned everybody about, that we told everybody about, that's now here.
[01:38:20.714 --> 01:38:22.776]  I mean, I remember I made the Obama deception.
[01:38:25.158 --> 01:38:25.538]  Gosh.
[01:38:29.701 --> 01:38:29.941]  Yeah.
[01:38:30.762 --> 01:38:31.603]  Over 12 years ago.
[01:38:32.341 --> 01:38:33.941]  It came out right when he first got elected.
[01:38:36.302 --> 01:38:43.724]  And we say, here's the UN plan to bring in a world carbon tax and only let you have meat a few times a year.
[01:38:43.864 --> 01:38:45.625]  And it's from the plan.
[01:38:45.945 --> 01:38:48.186]  And people are like, come on, Alex, that's never going to happen.
[01:38:49.206 --> 01:38:51.707]  And then, of course, now they're on TV everywhere saying, do it.
[01:38:52.667 --> 01:39:16.455]   They have a plan to shut down every part of the US economy until you're totally dependent on them Living in a 200 square foot building, getting half the calories you need, no vitamins and minerals, filled with deadly shots to get self-driving 18-wheelers that'll make deliveries of synthetic foodstuffs to you that are designed to poison you.
[01:39:18.816 --> 01:39:23.858]  This is a reclamation program to absorb us and kill us and phase us out.
[01:39:26.758 --> 01:39:28.779]  And so I've got the UN document right here.
[01:39:32.125 --> 01:39:40.447]  And it's such a paradox that if I tell you the name of the document, then no one will care.
[01:39:41.787 --> 01:39:48.329]  But if I say I'm not gonna do it like Q does and make it esoteric, well then everyone will want to know what's in the folder.
[01:39:49.529 --> 01:39:49.989]  That's weird.
[01:39:50.009 --> 01:39:51.029]  See, I don't operate like that.
[01:39:51.329 --> 01:39:52.710]  I just tell you straight up what's going on.
[01:39:52.730 --> 01:39:54.830]  Instead of all this creeping around business.
[01:39:55.610 --> 01:39:59.610]  But this is a declaration of war against humanity.
[01:39:59.610 --> 01:40:09.369]  And I really need to do a good job bringing it down.
[01:40:09.429 --> 01:40:11.389]  In fact, maybe I won't do an emergency broadcast.
[01:40:13.490 --> 01:40:16.691]  Maybe I'll just do like a 10-minute report on it and just boil it down.
[01:40:17.511 --> 01:40:20.912]  But I don't know how you cover this in just 10 minutes.
[01:40:20.771 --> 01:40:34.851]   I mean, every page is a freaking criminal admission of total genocide.
[01:40:34.851 --> 01:40:40.532]   And then I can show you all of the articles in the news promoting each bit of this, and
[01:40:40.532 --> 01:40:42.931]  now it's being implemented.
[01:40:42.931 --> 01:40:52.931]  [BLANK_AUDIO]
[01:40:44.610 --> 01:40:52.372]  You know, folks, they're not just trying to censor us because they want to get Donald Trump out of office or because they, you know, want control.
[01:40:52.493 --> 01:40:53.813]  They want to kill you.
[01:40:57.599 --> 01:41:04.298]   And they've war-gamed the whole plan out how to incrementally cut off all the resources while they pose as the savior,
[01:41:04.298 --> 01:41:08.298]   and while they get more power through each phase of the takeover.
[01:41:08.298 --> 01:41:20.797]   And then I sit here, governing this, and it's just...
[01:41:20.797 --> 01:41:30.798]  [BLANK_AUDIO]
[01:41:22.020 --> 01:41:28.223]  It's so amazing to be under attack in a war that's declared and we've got all the documents.
[01:41:28.263 --> 01:41:29.904]  I mean, have you read Klaus Schwab's book?
[01:41:30.484 --> 01:41:31.785]  I've read four of his damn books.
[01:41:32.205 --> 01:41:32.945]  Every book he's written.
[01:41:34.666 --> 01:41:36.147]  You'll own nothing, you'll have nothing.
[01:41:36.167 --> 01:41:37.607]  We're gonna get rid of the family unit.
[01:41:38.088 --> 01:41:39.468]  We're gonna sterilize everybody.
[01:41:39.488 --> 01:41:43.590]  We're gonna put microchips in you to buy and sell using the threat of a virus.
[01:41:44.471 --> 01:41:47.012]  And then he's on TV saying all this as well!
[01:41:50.956 --> 01:41:52.697]  They're devaluing the currency.
[01:41:52.937 --> 01:41:54.339]  They're collapsing the borders.
[01:41:54.639 --> 01:42:02.605]  They've already shut off most of the power plants in the United States, where we have no redundancy, and now they're saying, get ready for a dark winter.
[01:42:05.006 --> 01:42:12.132]  Oh, and I love how I just threw Klaus Schwab's book, The Great Reset, COVID-19, Great Reset, on the ground, and I'd forgotten it's got a bunch of Zimbabwe notes in it.
[01:42:13.172 --> 01:42:24.984]   You know, $100 trillion, $10 trillion notes, that by the end of their inflation, you would need $10 trillion just to get a loaf of bread.
[01:42:25.004 --> 01:42:29.148]  $100 trillion to stay in a hotel.
[01:42:33.732 --> 01:42:35.674]  That brings us to the big subject when we come back.
[01:42:37.376 --> 01:42:49.109]   I'll hit it all, all the inflation announcements, everything and what it means, but it's all... Remember the UN at a World Food Summit in Beijing Was it like 1993?
[01:42:49.269 --> 01:42:50.310]  I can't remember the exact date.
[01:42:50.330 --> 01:42:50.950]  You can pull it up.
[01:42:51.210 --> 01:42:55.813]  That's what I want to dig up and get all the past stuff on this to give you the current stuff when I do the report.
[01:42:56.553 --> 01:43:02.097]  And the head of the UN Food Program said, we're going to use food as a weapon to bring in global government.
[01:43:02.297 --> 01:43:04.558]  I mean, they've told you, but here's the plan.
[01:43:06.499 --> 01:43:12.963]  All war gamed out to collapse the world food supply, and now they've done it with the global lockdowns that are still ongoing in the third world.
[01:43:14.002 --> 01:43:15.783]  And then they're the saviors and the U.N.
[01:43:15.803 --> 01:43:16.343]  takes over.
[01:43:16.904 --> 01:43:22.126]  I mean, every aspect of food production run by the U.N., not just the medical system and the U.N.
[01:43:22.166 --> 01:43:29.971]  telling you publicly what you can talk about concerning COVID-19 or the so-called vaccine.
[01:43:30.291 --> 01:43:33.953]  I mean, you just wake up and you're under corporate world government run by the U.N.
[01:43:33.973 --> 01:43:37.655]  But here is the name of the document, one of the documents that no one's talked about.
[01:43:37.875 --> 01:43:40.136]  This is a war game just like lockstep of how they'll take over.
[01:43:41.540 --> 01:43:45.405]  Food chain reaction, a global food security game.
[01:43:45.425 --> 01:43:56.778]  And they describe how it's going to collapse, what they're going to do during that, how the UN will take control using it, and really it's a war game battle plan of the takeover of society.
[01:43:56.798 --> 01:43:58.059]  So I don't care about breaking this.
[01:43:58.851 --> 01:44:04.376]  And really nobody else, except a few obscure shows I want to get on and give credit to, have even known about this.
[01:44:04.456 --> 01:44:13.404]  And of course, we've seen all the policies in the real world, and we've seen the statements and all that, but this all explains how they do it years ago, and now they're doing it in live time.
[01:44:16.047 --> 01:44:30.940]   Speaking of live time, when we come back on the other side, I am going to go right into The war that America's under and the Democratic Party cutting our energy off right now as we speak.
[01:44:30.960 --> 01:44:31.400]  Stay with us.
[01:44:32.781 --> 01:44:32.981]  All right.
[01:44:33.001 --> 01:44:34.262]  Welcome back, ladies and gentlemen.
[01:44:35.303 --> 01:44:37.284]  What did I say at the start of the broadcast today?
[01:44:38.545 --> 01:44:40.346]  Globalism is the disease.
[01:44:40.567 --> 01:44:43.629]  Everything else bad happening is a symptom of that.
[01:44:44.709 --> 01:44:45.950]  So let's talk about inflation.
[01:44:45.970 --> 01:44:47.371]  Let's talk about our energy being cut off.
[01:44:47.391 --> 01:44:49.933]  Let's talk about where that's taking us and why.
[01:44:50.874 --> 01:44:56.195]  The private run-for-profit Federal Reserve and other companies it controls, like BlackRock, are doing this.
[01:44:56.735 --> 01:44:57.716]  Well, here's an example.
[01:44:58.316 --> 01:45:09.678]  Here is, going back more than a decade ago, Zimbabwe Reserve Bank with $10 trillion and $100 trillion banknotes.
[01:45:11.979 --> 01:45:14.560]  Now, why did the dictator do that?
[01:45:14.620 --> 01:45:20.021]  Well, because over time, he could issue money to himself and buy up real things.
[01:45:21.789 --> 01:45:25.690]  But over time, because he overprinted money, it became worthless.
[01:45:25.770 --> 01:45:28.870]  It became not even worth the paper it's written on.
[01:45:31.611 --> 01:45:38.052]  And so the private central banks of the world have been rapidly devaluing currencies while they buy up all the real infrastructure.
[01:45:38.432 --> 01:45:44.953]  Then they leave us holding the devalued dollar and the inflation.
[01:45:44.973 --> 01:45:50.814]  You know, there's footage out of Zimbabwe with wheelbarrows, just like happened in Weimar, Germany in the 20s.
[01:45:52.205 --> 01:45:52.745]  Early 30s.
[01:45:53.846 --> 01:45:54.627]  Happening yet again.
[01:45:54.827 --> 01:45:59.611]  So, let's just go over some headlines that tie into this, then I'll go back into them.
[01:45:59.971 --> 01:46:08.017]  Millionaire with many homes calls for you to pay a lot of money and make major sacrifices to save the planet.
[01:46:08.638 --> 01:46:14.042]  And he's at one foot above sea level at Martha's Vineyard, which he said would be flooded over a decade ago, but it didn't.
[01:46:14.242 --> 01:46:14.682]  All lies.
[01:46:16.484 --> 01:46:17.064]  That's Obama.
[01:46:18.085 --> 01:46:19.846]  CPI preview.
[01:46:19.966 --> 01:46:25.498]   Brace for the highest number In decades of inflation.
[01:46:28.280 --> 01:46:28.801]  Here's another one.
[01:46:28.901 --> 01:46:29.241]  U.S.
[01:46:29.341 --> 01:46:34.365]  food banks struggle to feed hungry amid surging prices, Associated Press.
[01:46:36.207 --> 01:46:36.427]  U.S.
[01:46:36.467 --> 01:46:39.910]  consumer prices soared 6.2% in the past year, most since 1990.
[01:46:40.431 --> 01:46:42.853]  And that's click numbers that they heavily manipulate.
[01:46:42.873 --> 01:46:44.934]  And I won't go into how they do that, but most of you know.
[01:46:46.536 --> 01:46:47.877]  They change what's in the index.
[01:46:47.917 --> 01:46:49.979]  They play a bunch of games.
[01:46:51.247 --> 01:47:00.733]  Biden starts to freak out about soaring inflation, orders Economic Council to reduce energy costs, and I'm not joking, by shutting down more pipelines.
[01:47:01.433 --> 01:47:20.024]  They already shut down the Keystone that took over a decade to build, $14 billion, and now they're shutting down thousands of other support lines and other major pipelines, thousands, hundreds of big ones, thousands of spurs, ending all new oil and gas drilling permits, and it gets worse.
[01:47:21.127 --> 01:47:34.294]  One of the main lines out of Canada that supplies oil, gasoline, and natural gas to Michigan that then refines it and sends it all over the Midwest, particularly Illinois.
[01:47:36.115 --> 01:47:38.437]  It, ladies and gentlemen, is to be closed.
[01:47:39.397 --> 01:47:45.020]  Biden draws criticism over possible plan to shut down oil pipeline as winter approaches MSN.
[01:47:45.260 --> 01:47:46.401]  Now he said he was going to do it.
[01:47:47.771 --> 01:47:50.714]  Biden shutting down Pipeline 5 could send gas prices surging.
[01:47:50.974 --> 01:47:52.836]  But don't worry, he's gonna fix it.
[01:47:52.876 --> 01:47:53.877]  That's why they've already doubled.
[01:47:54.178 --> 01:47:55.299]  He's on the job.
[01:47:57.181 --> 01:47:58.782]  It's his job to shut the country down.
[01:47:59.083 --> 01:48:02.206]  How shutting down a key pipeline could worsen Biden's fuel crisis?
[01:48:02.246 --> 01:48:02.827]  Think so?
[01:48:04.588 --> 01:48:07.391]  It's like, here, if I put a bag over your head or strangle you, you might die.
[01:48:07.411 --> 01:48:08.592]  I have incredible information.
[01:48:09.353 --> 01:48:10.935]  If I run over you with a truck, it might hurt you.
[01:48:11.696 --> 01:48:16.239]  Biden might close Michigan pipeline, White House admits after calling report bogus.
[01:48:16.259 --> 01:48:17.639]  That's what they always do, it's psych warfare.
[01:48:18.600 --> 01:48:19.120]  But it gets better.
[01:48:19.140 --> 01:48:19.761]  We have a clip of this.
[01:48:19.781 --> 01:48:20.281]  Let's cue it up.
[01:48:20.621 --> 01:48:25.324]  Biden comptroller nominee, who's a communist, on oil and gas industry.
[01:48:25.384 --> 01:48:30.286]  We want them to go bankrupt if we want to tackle climate change.
[01:48:30.727 --> 01:48:32.307]  We're talking about bankrupting America.
[01:48:32.348 --> 01:48:40.741]   You see India and Mexico and China and 160 plus other countries don't make any climate cuts.
[01:48:40.781 --> 01:48:41.641]  It's not about the climate.
[01:48:42.662 --> 01:48:45.065]  They're allowed to operate because the global authority control them.
[01:48:45.445 --> 01:48:50.169]  It's the first world they're capturing under an embargo, under siege, under war.
[01:48:51.491 --> 01:48:53.793]  Joe Biden's nominee for comptroller of the currency.
[01:48:56.229 --> 01:49:05.976]  Said the quiet part out loud during a seminar earlier this year, admitting that the oil, coal, and gas industries must go bankrupt to implement their Green New Deal agenda.
[01:49:06.896 --> 01:49:11.560]  This is just communists cutting off the infrastructure, and I have trouble pronouncing her name.
[01:49:11.620 --> 01:49:14.181]  It's Solly Amarova.
[01:49:15.082 --> 01:49:22.579]   So, here is the communist Solyansky Cloward and Piven operative doing damn well what she's doing.
[01:49:22.899 --> 01:49:24.600]  Something foreign countries couldn't do.
[01:49:24.660 --> 01:49:27.882]  Something foreign navies couldn't block our goods coming in.
[01:49:27.922 --> 01:49:39.689]  But now our own system, that's run by globalists, is literally destroying the country's currency, its name worldwide, dissolving its borders, cutting off the energy, and they're saying, massive power outages this winter.
[01:49:40.009 --> 01:49:44.872]  Get ready for it again, because the feds don't let the states go above a certain amount of coal use.
[01:49:45.333 --> 01:49:47.214]  And they're shutting down the final plants as we speak.
[01:49:47.774 --> 01:49:53.497]  So Texas, this year, remember in February, said, we got a big blizzard coming, we need permission to up our power.
[01:49:53.517 --> 01:49:55.439]  You could be arrested if you don't get authorization.
[01:49:55.719 --> 01:49:56.839]  And the feds said, no.
[01:49:58.560 --> 01:50:02.262]  You are not allowed to up your power because the earth all made up crap.
[01:50:02.623 --> 01:50:03.623]  And you saw the power go out.
[01:50:03.883 --> 01:50:07.385]  It's all an exercise of will and control over us.
[01:50:07.445 --> 01:50:13.429]  And now a record arctic blast is coming and the feds are saying again to Texas and other states, you can't up your power.
[01:50:14.602 --> 01:50:16.003]  An act of war.
[01:50:16.544 --> 01:50:16.984]  War.
[01:50:17.044 --> 01:50:18.185]  This isn't an accident.
[01:50:18.605 --> 01:50:22.568]  He approves a Russian pipeline, says no to an American pipeline that's already built.
[01:50:25.030 --> 01:50:26.531]  So here is this monstrous communist.
[01:50:26.551 --> 01:50:27.993]  Here it is.
[01:50:28.013 --> 01:50:32.216]  For certain troubled industries and firms that are in transitioning.
[01:50:32.656 --> 01:50:36.980]  And here what I'm thinking about is primarily coal industry and oil and gas industry.
[01:50:37.440 --> 01:50:43.745]  A lot of the smaller players in that industry are going to probably go bankrupt.
[01:50:44.858 --> 01:50:49.279]  In short order, at least we want them to go bankrupt if we want to tackle climate change, right?
[01:50:49.959 --> 01:50:52.579]  Yeah, it's really about getting rid of all the small players.
[01:50:53.260 --> 01:50:56.660]  You know BP's the main funder of all this, along with Saudi Arabia.
[01:50:56.780 --> 01:50:57.520]  Oh, why is that?
[01:50:57.960 --> 01:51:00.541]  Because they're global and they ain't shutting crap down.
[01:51:01.181 --> 01:51:05.422]  But in the United States, we were the number one energy producer in the world because we have what?
[01:51:05.942 --> 01:51:06.822]  Small companies.
[01:51:07.202 --> 01:51:12.903]  Thousands and thousands and thousands and thousands of small oil companies and gas companies.
[01:51:13.851 --> 01:51:23.254]  Probably a third of my family in Texas has worked in wildcatting and for big companies, small companies.
[01:51:23.294 --> 01:51:24.494]  I mean, that's why I know about the business.
[01:51:24.914 --> 01:51:25.795]  And so I understand it.
[01:51:26.095 --> 01:51:30.696]  And so it's the big multinational companies that want to shut it all down.
[01:51:31.488 --> 01:51:36.211]  And you've got a dirty little communist who came to America so she can re-enact communism.
[01:51:36.231 --> 01:51:38.012]  She's admitted Marx is Leninist, Maoist.
[01:51:38.633 --> 01:51:41.575]  And she's just so excited about, she decides who goes bankrupt.
[01:51:41.635 --> 01:51:42.876]  She decides who doesn't exist.
[01:51:43.156 --> 01:51:44.397]  She decides who goes away.
[01:51:44.937 --> 01:51:45.478]  She decides.
[01:51:47.179 --> 01:51:47.719]  She decides.
[01:51:48.379 --> 01:51:50.781]  And this is how this world works, ladies and gentlemen.
[01:51:50.821 --> 01:51:52.122]  She'll starve you to death in a minute.
[01:51:52.542 --> 01:51:54.283]  Just like the kulaks in Russia.
