[00:00:00.134 --> 00:00:00.955]  This is our chance
[01:36:36.025 --> 01:36:37.365]  And it's been love ever since.
[01:36:37.445 --> 01:36:40.766]  Well, let's be clear, the Republicans have always been bad, just not as bad as the Democrats.
[01:36:41.066 --> 01:36:43.147]  With Trump, it's a populist insurrection.
[01:36:43.847 --> 01:36:44.067]  Yes.
[01:36:44.547 --> 01:36:47.748]  Yes, Trump is completely different from the Republicans, and that's what I loved.
[01:36:47.788 --> 01:36:53.329]  You know, it was pretty much anti-establishment, he was going after the swamp, so on and so forth.
[01:36:53.629 --> 01:36:59.270]  But I came on your channel before, and I spoke about the silent majority, and I said, in order for America to get better,
[01:36:59.930 --> 01:37:02.951]  It's going to take more than a solid majority to speak up.
[01:37:03.071 --> 01:37:04.632]  And we're starting to see that now.
[01:37:04.852 --> 01:37:05.812]  People are stepping up.
[01:37:05.853 --> 01:37:06.613]  People are talking.
[01:37:06.653 --> 01:37:07.893]  That's where I was going next.
[01:37:07.913 --> 01:37:13.276]  If they steal this successfully, I see it only supercharging things from a sick Machiavellian perspective.
[01:37:13.336 --> 01:37:15.877]  I mean, nobody believes Joe Biden got elected.
[01:37:17.117 --> 01:37:17.817]  Oh, absolutely not.
[01:37:18.198 --> 01:37:18.818]  Absolutely not.
[01:37:19.538 --> 01:37:21.699]  He couldn't garner a crowd of five people.
[01:37:21.719 --> 01:37:24.220]  He couldn't fill a high school auditorium.
[01:37:25.634 --> 01:37:27.415]  And Trump was pulling out thousands.
[01:37:27.575 --> 01:37:29.995]  You know, Trump is like a pop star.
[01:37:30.215 --> 01:37:32.096]  When you look at some of these crowds he was drawing.
[01:37:32.136 --> 01:37:32.716]  It was insane.
[01:37:32.736 --> 01:37:33.576]  There's no way.
[01:37:33.816 --> 01:37:35.476]  I'm not believing the election results.
[01:37:35.816 --> 01:37:36.116]  I can't.
[01:37:36.216 --> 01:37:36.817]  There's no way.
[01:37:37.057 --> 01:37:38.717]  Even when we saw election night, we covered it.
[01:37:39.757 --> 01:37:40.277]  Trump was up.
[01:37:40.417 --> 01:37:40.897]  He was winning.
[01:37:40.937 --> 01:37:42.878]  It looked like he just had a trajectory to win.
[01:37:43.018 --> 01:37:46.539]  And then we woke up the next morning and it was like, Georgia flipped and all these other stuff.
[01:37:46.559 --> 01:37:47.219]  I'm like, what?
[01:37:47.939 --> 01:37:48.239]  How?
[01:37:48.799 --> 01:37:52.580]  And they all flipped the exact same way in the middle of the night with these magic suitcases.
[01:37:53.280 --> 01:37:55.821]  What do you think the power structure is thinking right now, Hotep?
[01:37:59.783 --> 01:38:00.523]  What are they thinking?
[01:38:00.883 --> 01:38:02.964]  Absolute dominant control.
[01:38:03.444 --> 01:38:08.046]  When I think about communism, socialism, I describe it as centralization of power under the state.
[01:38:08.746 --> 01:38:16.729]  And that's what's happening here, along with the transhumanism that's taking place, you know, COVID, so on and so forth.
[01:38:17.944 --> 01:38:19.546]  But it's about total control.
[01:38:19.706 --> 01:38:20.928]  And they're flexing their powers now.
[01:38:20.988 --> 01:38:21.648]  Consolidation.
[01:38:21.669 --> 01:38:21.889]  Great reset.
[01:38:21.909 --> 01:38:22.169]  That's right.
[01:38:22.209 --> 01:38:23.130]  They're definitely flexing.
[01:38:23.211 --> 01:38:25.293]  Uncle Hotep, when we come back, I got a thousand questions.
[01:38:25.313 --> 01:38:27.616]  You guys, I watch your show at least once a week.
[01:38:27.656 --> 01:38:28.037]  I love it.
[01:38:28.057 --> 01:38:28.838]  You make great points.
[01:38:29.238 --> 01:38:31.301]  I want you guys to kind of, you know, feel like you're at home.
[01:38:31.321 --> 01:38:32.042]  Do whatever you want.
[01:38:32.062 --> 01:38:33.323]  Show me what you're covering.
[01:38:33.624 --> 01:38:34.845]  What do you want to hit when we come back?
[01:38:34.885 --> 01:38:35.807]  What's front and center for you?
[01:38:39.030 --> 01:38:44.774]  The government reaction, you know, you just mentioned they're trying to lock down D.C.
[01:38:44.854 --> 01:38:46.876]  They don't want the big crowds there.
[01:38:46.916 --> 01:38:50.438]  They're trying to reject the crowd, make people not want to come.
[01:38:50.778 --> 01:38:56.222]  You know, and we got to talk about how the people that are coming down there, we have to make our voices heard.
[01:38:56.582 --> 01:38:58.163]  You know, I mean, you don't want to do violence.
[01:38:58.183 --> 01:39:00.505]  You don't want to do Black Lives Matter, breaking everything.
[01:39:00.865 --> 01:39:05.528]  You want to make your voices heard to the government to say, hey, let's do the right thing here.
[01:39:05.548 --> 01:39:07.629]  We're doing the wrong thing.
[01:39:07.910 --> 01:39:08.650]  Let's get it right.
[01:39:09.070 --> 01:39:09.491]  That's right.
[01:39:09.571 --> 01:39:11.132]  And it shows how they steal the election.
[01:39:11.172 --> 01:39:14.054]  They don't want our speech because voting is another form of speech.
[01:39:14.454 --> 01:39:15.294]  They don't want us to speak.
[01:39:15.314 --> 01:39:16.115]  Well, that shows who they are.
[01:39:16.135 --> 01:39:19.197]  We'll be right back with Jotep Jesus and Uncle Jotep.
[01:39:19.217 --> 01:39:19.577]  Stay with us.
[01:39:20.778 --> 01:39:22.439]  We're on the eve of destiny.
[01:39:25.261 --> 01:39:29.944]  I mentioned this earlier, just like I told you last week, Trump was speaking at high noon on the Ellipse.
[01:39:31.423 --> 01:39:32.624]  He reported that on Sunday.
[01:39:33.104 --> 01:39:34.685]  I'm giving you the inside scoop here.
[01:39:35.265 --> 01:39:40.588]  The Secret Service is tracking hotels, they've got computer programs that do this, and flights.
[01:39:40.688 --> 01:39:41.608]  All the flights are booked.
[01:39:42.749 --> 01:39:48.352]  They are tracking at least 2 million reservations and flights and buses.
[01:39:48.752 --> 01:39:50.853]  They estimate another half will be on car.
[01:39:51.213 --> 01:39:54.155]  They're bracing for 4 million, the low end's 2 million.
[01:39:57.731 --> 01:39:59.172]  Now, will the Globals pull a false flag?
[01:39:59.192 --> 01:39:59.972]  That's their problem.
[01:40:00.012 --> 01:40:03.415]  We're coming in non-violently to show our numbers and say we don't buy the fraud.
[01:40:03.855 --> 01:40:10.499]  Hotep Jesus and of course your compadre there, Uncle Hotep, a great talk show host and a researcher in your own right.
[01:40:11.840 --> 01:40:15.563]  You were getting into that, Uncle Ho-Tep, of them trying to say, oh, we're going to have the National Guard out.
[01:40:17.244 --> 01:40:18.264]  So D.C.'
[01:40:18.244 --> 01:40:21.607]  's calling out its own little National Guard, saying you better not be violent.
[01:40:21.627 --> 01:40:26.010]  We will not allow people to incite violence, intimidate our residents, and cause destruction.
[01:40:26.030 --> 01:40:28.872]  They're going to say we'll arrest anybody that causes a problem.
[01:40:29.792 --> 01:40:31.514]  That's total projection, is it not?
[01:40:31.534 --> 01:40:34.956]  What's your take on and gut level on what's about to happen?
[01:40:37.118 --> 01:40:39.539]  Gut level is what I think is going to happen.
[01:40:41.334 --> 01:40:44.879]  The people are going to come out, but we have to come out strong.
[01:40:45.260 --> 01:40:46.642]  You know, we have to take a page.
[01:40:46.702 --> 01:40:52.411]  We all, you know, we dislike Black Lives Matter, you know Soros and a whole nine, but they showed up.
[01:40:53.365 --> 01:40:56.607]  This is our chance to show up and they're trying to deter that.
[01:40:56.787 --> 01:40:57.467]  You know what I'm saying?
[01:40:57.867 --> 01:41:00.108]  So they don't want the filming.
[01:41:00.589 --> 01:41:02.630]  They don't want the people, the mass and people.
[01:41:02.750 --> 01:41:05.411]  If you can't get a flight, you got to drive down.
[01:41:05.751 --> 01:41:10.654]  You know, they're going to try to put the you know, they're going to try to block off most of the intersections.
[01:41:10.934 --> 01:41:13.455]  They're going to try to have the mainstream media have like
[01:41:13.755 --> 01:41:14.716]  By the way, I totally agree with you.
[01:41:14.736 --> 01:41:15.817]  I meant to start the show today.
[01:41:37.076 --> 01:41:46.078]  Because, you know, I'm working out in the morning, my mind's really clear, and you're pumping that blood through your brain, I'm like, I gotta tell people they're all as important as I am, or more important, they've all got a videotape, they've all got to post what they're doing.
[01:41:46.238 --> 01:41:50.419]  Because we get millions of people showing the millions, there's no way they can override that, can they?
[01:41:51.999 --> 01:41:52.659]  There's no way.
[01:41:52.999 --> 01:42:02.541]  You know, if people's co-workers and their friends, and they see them going down there, they're like, hey, oh my gosh, the people actually are upset, you know what I'm saying?
[01:42:02.901 --> 01:42:05.542]  Like, that's what we need to do, is, you know,
[01:42:06.312 --> 01:42:09.353]  Sometimes you have to work through your friends and your co-workers.
[01:42:09.773 --> 01:42:16.816]  You show them with your eyes, and they look at it, and they're like, hey, oh man, maybe there is something to this.
[01:42:17.336 --> 01:42:20.537]  But if you don't show them, they're not going to believe it at all.
[01:42:21.984 --> 01:42:22.645]  Absolutely.
[01:42:22.665 --> 01:42:36.555]  You know, I've got a family that's apolitical and just runs their ranch or whatever, but when they saw me speaking a few months ago at that first November rally, and they saw that 100,000, 500,000 people, whatever it was, it totally politically got them engaged.
[01:42:36.595 --> 01:42:44.541]  They need to, at a primitive level, we're all the same, they need to see that their own family, their own co-worker, their own people are putting skin in the game.
[01:42:44.742 --> 01:42:45.622]  They want to see that first.
[01:42:45.662 --> 01:42:46.243]  That's leadership.
[01:42:47.364 --> 01:42:50.326]  Yeah, you know, the one thing I'm worried about is people's safety.
[01:42:51.248 --> 01:42:54.830]  I saw a rally in the past, Antifa and Proud Boys.
[01:42:55.530 --> 01:42:57.091]  Proud Boys were protecting people.
[01:42:57.511 --> 01:43:02.753]  But I saw some people walking back to their car, police didn't help, and people were attacked by Antifa.
[01:43:03.134 --> 01:43:12.878]  So I just want to put the message out there, practice the buddy system, walk in large groups, walk everybody back to their car, hotel, modes of transportation.
[01:43:12.998 --> 01:43:13.558]  That's great.
[01:43:13.598 --> 01:43:15.439]  Yeah, these people are cowards, folks.
[01:43:15.459 --> 01:43:16.520]  They'll attack women and children.
[01:43:17.120 --> 01:43:17.641]  Exactly.
[01:43:17.721 --> 01:43:19.725]  And they do it to videotape it to scare others later.
[01:43:19.945 --> 01:43:20.907]  You gotta stay in groups.
[01:43:21.989 --> 01:43:23.231]  Yeah, stay in groups.
[01:43:23.972 --> 01:43:26.918]  And, you know, I know the conservatives are not violent people.
[01:43:27.098 --> 01:43:27.539]  We know that.
[01:43:28.335 --> 01:43:29.135]  Very peaceful people.
[01:43:29.955 --> 01:43:32.696]  Proud Boys, we appreciate.
[01:43:32.716 --> 01:43:41.258]  I want to say I appreciate Proud Boys for going out there and being that military arm of conservatism and fighting for the people because somebody had to stand up to Antifa.
[01:43:41.298 --> 01:43:42.919]  You know, Antifa reminds me of the Pinkertons.
[01:43:43.399 --> 01:43:47.680]  This is what the establishment have used in the past to fight everyday citizens.
[01:43:48.800 --> 01:43:52.201]  So, you know, shout out to Proud Boys, but everybody just be safe when you go out there.
[01:43:52.261 --> 01:43:52.901]  Do show up.
[01:43:53.021 --> 01:43:53.961]  Show up in large numbers.
[01:43:54.121 --> 01:43:56.682]  We got to show that we have the numbers because we do have the numbers.
[01:43:58.344 --> 01:44:03.152]  This election is completely fraudulent and people need to know how we feel about that.
[01:44:04.824 --> 01:44:07.225]  I don't know how they're going to hide millions of people, because it's going to be millions.
[01:44:07.405 --> 01:44:09.146]  Let me ask you this, Uncle Hotep.
[01:44:09.206 --> 01:44:10.367]  I love the pictures behind you.
[01:44:10.407 --> 01:44:16.810]  JFK, Trump, Malcolm X. I love Malcolm X, because his whole process, how well spoken he was, how informed he was.
[01:44:17.070 --> 01:44:19.651]  But as he learned more things, he admitted he was wrong about some things.
[01:44:19.992 --> 01:44:20.672]  That's when they killed him.
[01:44:20.692 --> 01:44:21.472]  He was so effective.
[01:44:22.173 --> 01:44:24.014]  But he wasn't scared until the time he died.
[01:44:24.394 --> 01:44:26.055]  And he was bigger after that happened.
[01:44:26.095 --> 01:44:28.256]  But he talked about any means necessary.
[01:44:28.296 --> 01:44:31.457]  But what do you think Malcolm X would think about what's happening today?
[01:44:31.477 --> 01:44:32.598]  And what side do you think he'd be on?
[01:44:34.830 --> 01:44:35.191]  I don't
[01:44:53.786 --> 01:45:05.589]  He wanted, you know, black Americans to be more politically active, you know, increase their political, I mean, the political knowledge, you know, but definitely he would want the people to stand up for what's right.
[01:45:06.209 --> 01:45:07.610]  That's what he was always about.
[01:45:07.950 --> 01:45:16.152]  He was never afraid to march in the streets, you know, to confront, you know, anyone that was doing wrong to his people, to his group.
[01:45:16.872 --> 01:45:17.993]  And this is what we have to do.
[01:45:18.033 --> 01:45:18.913]  We have to follow that.
[01:45:19.628 --> 01:45:20.789]  We have to get out in the streets.
[01:45:21.090 --> 01:45:22.231]  We have to stand strong.
[01:45:22.491 --> 01:45:23.552]  We have to be together.
[01:45:23.592 --> 01:45:24.574]  We have to be smart.
[01:45:24.954 --> 01:45:33.243]  You know, that's all the things that I admire about Malcolm X was his ability to stand strong in front of the face of adversity.
[01:45:34.821 --> 01:45:41.023]  Not to get anyone wrong, not to deter anybody, but you know, they're going to have the National Guard, you know, the police is going to be out there.
[01:45:41.343 --> 01:45:43.784]  They're going to make it hard for the people out there.
[01:45:43.804 --> 01:45:45.085]  They're going to make it hard for you.
[01:45:45.125 --> 01:45:50.306]  It's not going to be when they let Black Lives Matter just destroy cities all across America.
[01:45:50.526 --> 01:45:52.787]  They're going to make it hard for you from the jump.
[01:45:53.247 --> 01:45:54.048]  You got to be careful.
[01:45:54.308 --> 01:45:57.689]  And that's why we know, though, we're on the right side, because the system's not for us.
[01:45:59.233 --> 01:46:06.059]  If Malcolm X was around today, I think he'd be in complete alignment with Uncle HOTEP and myself, HOTEP Nation.
[01:46:06.099 --> 01:46:09.863]  You know, he's one of the founding fathers of what we call HOTEPism or HOTEP.
[01:46:10.423 --> 01:46:11.885]  He'd be in complete alignment with us.
[01:46:12.886 --> 01:46:20.173]  I'm not sure how much in alignment with MAGA he would be, but he damn sure would not be in alignment with Biden and the administration or that fake administration.
[01:46:20.193 --> 01:46:21.674]  And again, he lived in the time he was in.
[01:46:22.555 --> 01:46:23.876]  And now we live in the time we live in.
[01:46:24.276 --> 01:46:26.416]  He was getting people to have self-confidence, stand up for themselves.
[01:46:26.456 --> 01:46:27.477]  That was good in that time.
[01:46:27.977 --> 01:46:33.679]  Now it's about the machines taking over and the true unification of this is a post-human world they're building.
[01:46:33.919 --> 01:46:35.359]  We better get together or it's over.
[01:46:37.720 --> 01:46:39.101]  Yeah, all we got is us, man.
[01:46:39.481 --> 01:46:41.121]  That's why I stick so close to Uncle Hotel.
[01:46:44.804 --> 01:46:45.465]  We're going to go to break.
[01:46:45.485 --> 01:46:46.505]  A longer segment's coming up.
[01:46:46.525 --> 01:46:52.030]  I want to ask you both, think about during the break, what should Trump do with 16 days of assurity being the president in?
[01:46:52.771 --> 01:46:54.372]  What would you do if you were President Trump?
[01:46:54.392 --> 01:46:55.593]  Because I know a lot of this gets to Trump.
[01:46:56.093 --> 01:46:59.216]  I mean, the more he doesn't have the system, they've all evacuated.
[01:46:59.636 --> 01:47:01.218]  He's down about 5% of his staff.
[01:47:01.758 --> 01:47:06.101]  Which makes him even more powerful because finally he's actually in charge for this limited window.
[01:47:06.161 --> 01:47:08.762]  It's kind of like we're ready to launch but he's got to do it right now.
[01:47:08.782 --> 01:47:13.025]  What do you want to say to President Trump when we come back with Uncle Ho-Tep and Ho-Tep Jesus?
[01:47:13.305 --> 01:47:17.827]  Find them both at Uncle Ho-Tep on Twitter and of course HoTepNation.com.
[01:47:18.388 --> 01:47:20.569]  They're doing a great job here today with us but they're being a little subdued.
[01:47:20.589 --> 01:47:22.190]  They're pretty wild in their own show like I am.
[01:47:22.650 --> 01:47:23.150]  Very good.
[01:47:24.051 --> 01:47:27.133]  I watch it sometimes twice a week, sometimes once a week whenever I run into it.
[01:47:27.933 --> 01:47:30.255]  It's great stuff, and it's just good to know these guys are out there.
[01:47:30.275 --> 01:47:31.356]  They're getting more and more popular.
[01:47:31.716 --> 01:47:34.918]  That's what this is all about, is true leaders that aren't controlled by the system.
[01:47:35.399 --> 01:47:38.341]  And it's good to know they bust a cap in my ass the next couple days.
[01:47:38.721 --> 01:47:41.263]  There's a bunch of other people out there that are going to keep on fighting, ladies and gentlemen.
[01:47:41.543 --> 01:47:42.944]  Because that's really what this is all about.
[01:47:43.184 --> 01:47:44.145]  We're never giving up.
[01:47:44.425 --> 01:47:45.226]  I'm worried about myself.
[01:47:45.246 --> 01:47:47.448]  I'm worried about humanity falling to evil.
[01:47:47.788 --> 01:47:48.669]  We can't let it happen.
[01:47:48.789 --> 01:47:49.909]  Infowars.com.
[01:47:50.290 --> 01:47:51.010]  Newswars.com.
[01:47:52.071 --> 01:47:53.731]  Bandod video is there.
[01:47:54.132 --> 01:47:59.753]  Millions of viewers a day, and if you just tell your friends and family, it'll be tens of millions a day, and that'll stop the globalists.
[01:48:01.354 --> 01:48:02.734]  All right, Alex Jones here, back live.
[01:48:02.774 --> 01:48:05.135]  Let's go right to Uncle Hotep and Hotep Jesus.
[01:48:05.595 --> 01:48:07.695]  Talk show host, media analyst, you name it.
[01:48:08.396 --> 01:48:17.918]  Gentlemen, whoever wants to take it first, what should Trump do if he is going to be removed through fraud, hypothetically, in the next 16 days, or what could he do to counter that?
[01:48:18.318 --> 01:48:20.539]  If you were talking to President Trump right now, what would you say to him?
[01:48:21.798 --> 01:48:23.619]  Anything to piss off the liberals.
[01:48:23.799 --> 01:48:25.679]  Anything to piss off the Democrats.
[01:48:26.559 --> 01:48:30.861]  I would start releasing all types of information and dirt.
[01:48:31.561 --> 01:48:32.481]  I'd lock up Hillary.
[01:48:32.521 --> 01:48:33.501]  That's one thing I would do.
[01:48:33.922 --> 01:48:35.962]  Lock Hillary up ASAP.
[01:48:36.862 --> 01:48:39.123]  His son, Hunter, gotta lock him up.
[01:48:40.764 --> 01:48:42.424]  There's a lot of people that need to be behind bars.
[01:48:42.504 --> 01:48:45.765]  There's human trafficking that needs attending to.
[01:48:46.145 --> 01:48:47.506]  Start locking these people up, man.
[01:48:47.526 --> 01:48:48.266]  What was you gonna say, Unc?
[01:48:48.306 --> 01:48:48.606]  My bad.
[01:48:50.663 --> 01:49:02.352]  What I was going to say, I think he has to help out small businesses as best he can, because I think Kamala and Biden are going to drop the hammer on them.
[01:49:02.472 --> 01:49:04.093]  They're trying to erase small business.
[01:49:04.513 --> 01:49:08.576]  They want everybody working for Amazon, working for Walmart.
[01:49:08.797 --> 01:49:10.698]  They're going to really tighten the grip on them.
[01:49:10.818 --> 01:49:11.979]  So if any help
[01:49:12.927 --> 01:49:19.408]  And he can give these guys before Biden and them to before Kamala takes over, excuse me, before Kamala takes over.
[01:49:19.529 --> 01:49:22.189]  I think that's what that's what I would hope he would do.
[01:49:22.449 --> 01:49:25.290]  I totally agree because they're going to give trillions to foreign countries.
[01:49:25.770 --> 01:49:27.730]  Trump's like, no, how about 2000 each family?
[01:49:27.750 --> 01:49:28.511]  They went, no, no, no.
[01:49:28.771 --> 01:49:30.071]  They really showed their hand right there.
[01:49:31.791 --> 01:49:34.592]  They definitely did, you know, and it was.
[01:49:35.387 --> 01:49:37.368]  You know, a lot of people were disappointed with that.
[01:49:37.408 --> 01:49:43.052]  And you know, that woke up... No, I thought that one thing woke up a lot of Americans.
[01:49:44.697 --> 01:49:49.682]  $600, and then they saw the budget, and it was going to Pakistan, it was going to these other countries.
[01:49:49.702 --> 01:49:51.203]  They were like, what is going on here?
[01:49:51.243 --> 01:49:54.125]  They were, people were, normies were really upset.
[01:49:54.165 --> 01:49:55.667]  They were like, what is going on?
[01:49:56.007 --> 01:50:00.891]  You know, I think that woke up a lot of people, and I think Trump should take advantage of that.
[01:50:00.931 --> 01:50:02.933]  And he tried to, you know, he tried to do the right thing.
[01:50:02.973 --> 01:50:05.155]  He was like, no, they need more money there.
[01:50:05.215 --> 01:50:07.337]  They need more, they need more help.
[01:50:07.898 --> 01:50:11.522]  By the way, I don't raise this to you guys because you happen to have pigment in your skin, but
[01:50:27.919 --> 01:50:32.281]  She got less than 1% with general Democrat voters, less than half a percent with black voters.
[01:50:33.041 --> 01:50:33.341]  Why?
[01:50:33.602 --> 01:50:34.662]  Because I totally reject her.
[01:50:34.682 --> 01:50:35.642]  I think she's totally fake.
[01:50:35.682 --> 01:50:37.323]  You know, Trump comes off genuine, others do.
[01:50:37.603 --> 01:50:39.204]  Hillary comes off fake, I hate her too.
[01:50:39.704 --> 01:50:44.406]  How the hell did she come up with less than half a percent with black voters, which makes me admire black folks.
[01:50:44.426 --> 01:50:47.207]  They see through her, and then now she's being force-fed to us.
[01:50:47.267 --> 01:50:49.508]  Why did black folks reject Kamala Harris?
[01:50:50.169 --> 01:50:51.649]  Because Kamala Harris ain't black!
[01:50:52.710 --> 01:50:53.070]  She's been...
[01:50:54.227 --> 01:50:55.928]  She's been Indian her whole life.
[01:50:56.468 --> 01:51:02.132]  She picked up blackness as, you know, this is what the Democrats do.
[01:51:02.252 --> 01:51:06.594]  They pick up blackness when they need it, and when they don't need it, they drop it.
[01:51:06.894 --> 01:51:08.295]  We saw that with the last election.
[01:51:08.775 --> 01:51:10.276]  We saw that with Black Lives Matter.
[01:51:10.476 --> 01:51:16.700]  They picked up Black Lives Matter, and when the election was over, Black Lives Matter couldn't get a meeting with Joe Biden.
[01:51:16.860 --> 01:51:30.149]  We saw it out in Oregon, where they didn't want to condemn Antifa, but who was it, the governor or whatever out there, the mayor, whoever it was, now suddenly he wants to condemn Antifa after they, you know, created all that destruction, destroyed black business.
[01:51:31.771 --> 01:51:33.031]  Right?
[01:51:33.051 --> 01:51:34.292]  100% use people and then drop them.
[01:51:35.193 --> 01:51:35.413]  Right.
[01:51:35.513 --> 01:51:37.935]  And then now he wants to condemn them after the fact.
[01:51:38.115 --> 01:51:46.521]  This is straight out of a movie where you say, you know what, we're going to allow these terrorists to destroy and terrorize our communities just to win an election.
[01:51:47.421 --> 01:51:48.642]  This is straight out of Hollywood.
[01:51:48.722 --> 01:51:51.024]  This is how you know Hollywood is controlling some of this stuff.
[01:51:51.064 --> 01:51:52.285]  Because it's straight out of a movie.
[01:51:52.345 --> 01:51:53.746]  Oh, you're right.
[01:51:53.766 --> 01:51:54.327]  Please continue.
[01:51:55.948 --> 01:51:56.548]  It's terrible.
[01:51:57.069 --> 01:52:01.392]  I mean, I don't understand how people don't see it.
[01:52:01.652 --> 01:52:06.136]  It's amazing that Trump is able to operate in such a sleazy swamp.
[01:52:06.516 --> 01:52:10.680]  We saw on camera Lindsey Graham high-fiving Kamala Harris.
[01:52:11.140 --> 01:52:13.562]  But on Twitter they're acting like they're enemies.
[01:52:14.142 --> 01:52:15.804]  But they're high-fiving in Congress.
[01:52:16.471 --> 01:52:19.632]  How is, and the people, you know, sometimes I'm like, yo, you can't come down on Trump.
[01:52:19.672 --> 01:52:25.853]  You gotta work with snakes like Mitch, and snakes like Pelosi, and snakes like Lindsey Graham.
[01:52:25.873 --> 01:52:27.653]  The man's practically alone.
[01:52:27.673 --> 01:52:40.115]  Let me tell you, just trying to do Trump's events, because he's got to have private donors do it, the snakes and the lying and the attacks, and then you'll be in a meeting and they tell you, you know Trump's an idiot, and they want to see if you're in the club, and you're like, it's crazy.
[01:52:43.256 --> 01:52:45.676]  Man, that's crazy, but yeah, Bob Kamala,
[01:52:46.209 --> 01:52:53.717]  You know, I think one thing that, you know, Black American scene, she's a try hard, you know, she tries to be too cool.
[01:52:54.018 --> 01:52:56.600]  And I think, you know, I don't know, we can see through that.
[01:52:57.261 --> 01:53:05.150]  Evidently, you know, you know, her record when she was the attorney general, you know, that it spoke for itself.
[01:53:05.643 --> 01:53:07.184]  You know, a lot of people didn't like her.
[01:53:07.244 --> 01:53:09.805]  You know, they were saying she's the top cop and stuff like that.
[01:53:09.845 --> 01:53:10.766]  That's what they're saying.
[01:53:10.806 --> 01:53:13.507]  She went after black people like a piranha goes after a piece of meat.
[01:53:13.927 --> 01:53:14.848]  Which made no sense.
[01:53:14.908 --> 01:53:21.471]  Like, she just literally, when somebody was innocent, and she knew they were innocent, if they were black particularly, she would go after them even more.
[01:53:21.771 --> 01:53:23.472]  Like, she was trying to prove something to somebody.
[01:53:25.013 --> 01:53:28.435]  Yeah, she's definitely... Hey, if they get in office,
[01:53:29.400 --> 01:53:32.362]  Y'all better be careful, because she's coming to lock people up.
[01:53:32.382 --> 01:53:34.584]  She's going to do the same thing she did out in California.
[01:53:34.904 --> 01:53:43.631]  I mean, I've tried to warn people, people like, no, we can get, you know, this person of color, a female president, you know, all these adjectives.
[01:53:43.891 --> 01:53:51.997]  Instead of worrying about her record, worrying about her ability, we got these identity politics that forced down her throat.
[01:53:52.037 --> 01:53:53.919]  And some people bought into it.
[01:53:53.959 --> 01:53:55.080]  You know, a lot of us didn't.
[01:53:56.487 --> 01:53:57.348]  I don't know.
[01:53:57.488 --> 01:53:58.108]  I can't stand it.
[01:53:58.128 --> 01:53:58.808]  You know what I mean?
[01:53:58.828 --> 01:53:59.749]  Well, you know what they say.
[01:54:00.149 --> 01:54:03.971]  Somebody's previous behavior is the biggest sign of what they're going to do in the future.
[01:54:04.791 --> 01:54:14.456]  Yeah, this coming administration is going to be guilty of what the media has labeled Trump of being guilty of.
[01:54:15.217 --> 01:54:16.577]  Attacking the black community.
[01:54:17.117 --> 01:54:19.999]  When we look at their history, we know Kamala's history.
[01:54:20.501 --> 01:54:30.844]  We know about Biden not being pro-integration with the buses, the Eagleton Amendment, 84 Crime Bill, 91 Crime Bill, 94 Crime Bill.
[01:54:31.624 --> 01:54:33.644]  Don't listen to what they say.
[01:54:34.185 --> 01:54:35.045]  See what they do.
[01:54:35.465 --> 01:54:38.126]  And when you look at their policies, they hurt the black community.
[01:54:38.446 --> 01:54:45.988]  So again, I'm telling you, exactly what the media accused Trump of is what this coming administration is going to be guilty of.
[01:54:46.348 --> 01:54:47.368]  The black community
[01:54:48.479 --> 01:54:56.644]  I mean, it's thankful that maybe, you know, the media helped us get together a little bit, because we're going to need it when you got Joe Biden and Kamala coming in.
[01:54:57.344 --> 01:55:00.125]  I'm afraid we might go back to slavery with these two.
[01:55:03.447 --> 01:55:08.830]  It's really crazy that the system would... Why do you think the power structure wants to put two phonies in like this?
[01:55:09.310 --> 01:55:10.151]  To demoralize us?
[01:55:10.211 --> 01:55:11.592]  Or what is the point?
[01:55:12.412 --> 01:55:13.873]  Because they'll sell out quick.
[01:55:14.960 --> 01:55:17.901]  Because they're quick to sell out and do whatever the establishment tells them.
[01:55:17.941 --> 01:55:20.562]  You see, Trump has kahunas.
[01:55:21.202 --> 01:55:22.823]  He's going to do what he knows is right.
[01:55:23.543 --> 01:55:25.664]  And he doesn't work for anybody, right?
[01:55:25.984 --> 01:55:27.485]  These people are their puppets.
[01:55:28.325 --> 01:55:28.885]  That's right.
[01:55:28.905 --> 01:55:29.905]  It's all about power.
[01:55:29.925 --> 01:55:32.126]  Trump made mistakes, but he was actually making the decisions.
[01:55:32.626 --> 01:55:33.447]  And they didn't like that.
[01:55:33.667 --> 01:55:35.207]  For four years, we haven't actually had a president.
[01:55:36.528 --> 01:55:36.908]  Yeah.
[01:55:38.088 --> 01:55:39.149]  But Kamala and Bobby?
[01:55:39.169 --> 01:55:40.049]  Yeah, first time in a long time.
[01:55:41.610 --> 01:55:42.050]  What did you say, hunk?
[01:55:43.303 --> 01:55:46.104]  No, I say the first time in a long time we've had a president.
[01:55:46.124 --> 01:55:48.166]  Oh yeah, even Reagan meant well, but he wasn't running anything.
[01:55:49.606 --> 01:55:50.847]  Yeah.
[01:55:50.867 --> 01:55:53.828]  The last time somebody tried to be president was Kennedy and they blew his head off.
[01:55:55.009 --> 01:55:55.189]  Right.
[01:55:56.009 --> 01:55:56.190]  Right.
[01:55:56.270 --> 01:55:58.551]  Executive order quadruple one zero.
[01:55:59.551 --> 01:56:00.612]  To get rid of the Federal Reserve.
[01:56:01.564 --> 01:56:01.964]  Bingo.
