[00:00:00.289 --> 00:00:01.090]  Thursday Live!
[01:24:25.529 --> 01:24:31.731]  Viruses that eat the brain, so you quote, don't like drugs, that kills receptors that are associated with high consciousness and joy.
[01:24:31.971 --> 01:24:35.133]  Well, yeah, the drug artificially does that, but we already naturally have it.
[01:24:35.293 --> 01:24:36.833]  They're admittedly going to take joy from us.
[01:24:37.173 --> 01:24:40.695]  And that's what people that take the vaccine are becoming like robots, people are saying.
[01:24:41.604 --> 01:24:45.325]  How much joy have they taken from the human race since the Covid hoax was sprayed?
[01:24:45.525 --> 01:24:49.526]  I mean, look, I mean, it's... The depression, the death, the suicide.
[01:24:50.386 --> 01:24:50.886]  Exactly.
[01:24:51.006 --> 01:24:52.047]  That's what's equal.
[01:24:52.747 --> 01:24:56.168]  So they're trying to... So at the end of the day, we overcalculate.
[01:24:56.208 --> 01:24:59.448]  They just want us depressed and killing ourselves because they get off on it.
[01:24:59.688 --> 01:25:00.689]  That's their energy source.
[01:25:00.749 --> 01:25:01.169]  It's simple.
[01:25:02.129 --> 01:25:05.610]  Yeah, but they want us in a low vibrational state.
[01:25:06.707 --> 01:25:20.434]  Because then we enter their vibrational state, and this attachment can happen, and then Watiko becomes you, and dictates your entire perception.
[01:25:20.454 --> 01:25:22.095]  It's like you said, it's like you said, Avatar.
[01:25:22.916 --> 01:25:28.979]  Yeah, so you look at Bill Gates, you look at Anthony Fauci, you look at the similar characters in Britain.
[01:25:29.500 --> 01:25:35.444]  You look at your clown swabs, I tell you... You can see how evil and alien they look.
[01:25:35.464 --> 01:25:36.585]  They look so evil.
[01:25:37.525 --> 01:25:41.128]  Yeah, but they are Wateko incarnate.
[01:25:42.329 --> 01:25:48.613]  All their traits are Wateko or Archontic, whatever name you want to use.
[01:25:49.033 --> 01:25:58.880]  So you look at one of the great manifestations of the Wateko consciousness, what Christians call the devil, demons, etc.
[01:25:59.907 --> 01:26:03.348]  And you're looking at no empathy and no compassion.
[01:26:03.608 --> 01:26:09.569]  This Wateco state of inversion and chaos does not have the capacity to express that.
[01:26:10.089 --> 01:26:22.112]  So then you look at your Klaus Schwab's and you look at your Bill Gates's and you see what they have done to the human race in their billions since the start of this at the start of 2020.
[01:26:23.492 --> 01:26:28.333]  Now consciousness that is not Wateco could not
[01:26:29.312 --> 01:26:39.420]  Could not do that because we have the fail-safe mechanism of human behavior which is empathy, compassion, being able to put yourself in the feelings of people that you're affecting.
[01:26:39.761 --> 01:26:41.242]  They do not have that.
[01:26:41.942 --> 01:26:51.370]  So Bill Gates will have created this catastrophe for the human race on every bloody level with so much more planned.
[01:26:52.228 --> 01:26:57.250]  And he will have had no emotional consequence for that whatsoever.
[01:26:57.290 --> 01:27:01.031]  Well, I don't want to disagree with you, but he gets lethal talking about death and shutdowns.
[01:27:01.611 --> 01:27:05.132]  You say no emotion, that they actually like the evil, it seems.
[01:27:05.893 --> 01:27:15.196]  Well, they get off on it, but I mean, they don't have an empathetic consequence for it, because they have no empathy.
[01:27:15.976 --> 01:27:21.338]  If you can abuse a child, if you can sacrifice a child, then
[01:27:22.586 --> 01:27:26.572]  You don't have the capacity for empathy, or you couldn't even begin to do it.
[01:27:26.852 --> 01:27:27.353]  Think about it.
[01:27:27.613 --> 01:27:30.337]  Let's talk about how to fight back in two more short segments with David Icke.
[01:27:30.357 --> 01:27:31.458]  I'm gonna have him on for 10 hours.
[01:27:31.618 --> 01:27:32.019]  Amazing.
[01:27:32.059 --> 01:27:33.421]  David Icke, Iconic.com.
[01:27:33.441 --> 01:27:35.764]  He's launching a new show, The Sun, Friday mornings.
[01:27:35.784 --> 01:27:36.745]  I'll be on there with him tomorrow.
[01:27:36.765 --> 01:27:37.346]  We'll be right back.
[01:27:37.346 --> 01:27:41.307]  Well, I gotta tell you, it's the best of times, worst of times, as they say in a tale of two cities.
[01:27:59.110 --> 01:28:05.674]  I'm really upset about what's happening, but I'm also so empowered, and I'm so close to all the great people out there that are awake together.
[01:28:06.515 --> 01:28:10.238]  This is amazing, and I can see the enemy's operations clearer than ever.
[01:28:10.558 --> 01:28:12.559]  This is a short segment, one long segment after that.
[01:28:12.619 --> 01:28:14.220]  David Ike joins us.
[01:28:14.260 --> 01:28:17.703]  David, let's do 35,000 foot view here, or a million mile view.
[01:28:19.484 --> 01:28:27.970]  How do you, because you've been very accurate for 30 years predicting what happens since the top of your head blew off, and you've been proven absolutely on target more than anybody else out there, even me.
[01:28:28.909 --> 01:28:29.110]  What?
[01:28:29.872 --> 01:28:30.052]  What?
[01:28:30.774 --> 01:28:33.681]  I mean obviously we've got to wake up, we've got to say no, that's the answer but...
[01:28:34.867 --> 01:28:35.867]  I know we're going to win in the end.
[01:28:35.887 --> 01:28:38.328]  The question is, how horrible is this going to be going through this process?
[01:28:39.348 --> 01:28:40.749]  What do you see happening?
[01:28:40.789 --> 01:28:44.750]  Is there some way to shortcut this and short-circuit these demons?
[01:28:44.850 --> 01:28:46.270]  Or is this going to have to play out?
[01:28:46.530 --> 01:28:49.051]  I mean, gut level, you've got children, you've got a family, I know you love them.
[01:28:49.371 --> 01:28:52.132]  I know you know the body transcends, so you have peace at the end of the day.
[01:28:52.172 --> 01:28:55.652]  But, I mean, it just seems so ridiculous for those of us that are awake.
[01:28:55.993 --> 01:28:57.333]  It should be so easy to beat this.
[01:28:57.393 --> 01:28:59.373]  But those that aren't awake are sleeping.
[01:28:59.774 --> 01:29:01.094]  So how do you get them out of that sleep?
[01:29:03.550 --> 01:29:05.411]  Well, a lot of them you won't.
[01:29:06.511 --> 01:29:21.436]  But if you look at, because they're just too, you know, in a concrete state of perception, and there's these vaccines, as they're called, will be massively increasing that.
[01:29:22.116 --> 01:29:29.499]  But if you look at any tyranny in history, it's never been overthrown by the majority.
[01:29:30.541 --> 01:29:40.909]  It's the minority that will not bow to it, that bring it to an end, to a finish.
[01:29:41.729 --> 01:29:50.636]  And it's going to be the same now, because most of humanity will just go wherever society goes.
[01:29:51.357 --> 01:29:55.059]  But at what level you know humanity will transcend the New World Order?
[01:29:57.975 --> 01:30:00.158]  The answer is staring us in the face.
[01:30:00.298 --> 01:30:07.928]  The question is, how long is it going to take for enough people, and it won't be anything like half the population, nothing like.
[01:30:08.542 --> 01:30:18.926]  To bring this to an end, you know, if you just look at the 74 million who were said to have voted for Trump at the last election.
[01:30:19.346 --> 01:30:27.209]  Now I have my issues with Trump, yeah, but most of those, the overwhelming, if not all of those 74 million, will be what I call pushbackers.
[01:30:27.810 --> 01:30:29.290]  They won't want this woke crap.
[01:30:29.670 --> 01:30:31.091]  They won't want this imposition.
[01:30:31.111 --> 01:30:32.392]  They won't want this censorship.
[01:30:32.412 --> 01:30:33.452]  They don't want this control.
[01:30:35.023 --> 01:30:39.146]  And what people can do is organise protests.
[01:30:39.506 --> 01:30:48.132]  OK, that's all right, because, you know, I've been to a lot myself, because it's a visual representation of public feeling, OK?
[01:30:48.172 --> 01:30:52.255]  And it shows other people, hey, you've sussed it, but your family haven't.
[01:30:52.415 --> 01:30:53.575]  You're not alone here.
[01:30:53.816 --> 01:30:54.556]  Look at these people.
[01:30:54.816 --> 01:30:55.377]  So that's good.
[01:30:56.077 --> 01:31:03.702]  But protesting alone is irrelevant if it's not supported by non-cooperation.
[01:31:04.508 --> 01:31:14.656]  Imagine if those 74 million people refused to wear masks, refused to follow all these COVID rules, refused to close their businesses.
[01:31:14.996 --> 01:31:17.998]  Our problems would be over right there, so we have to put it into action.
[01:31:18.879 --> 01:31:19.219]  Gone!
[01:31:20.960 --> 01:31:24.423]  And so the answer is there, it's staring us in the face.
[01:31:24.623 --> 01:31:32.869]  You cannot not see the answer when you've got closing in now on 8 billion people.
[01:31:33.624 --> 01:31:35.605]  Being controlled by a freaking handful.
[01:31:36.266 --> 01:31:37.446]  I mean, that's ridiculous.
[01:31:38.327 --> 01:31:42.029]  You put all the law enforcement together who are just doing what they're told.
[01:31:42.649 --> 01:31:49.593]  You know, the inner core of the cult says we want them all wearing face nappies or face diapers.
[01:31:50.662 --> 01:32:01.727]  And then the World Health Organization says, oh, we face diapers, and the individual countries and their medical systems and then their politicians, we're just following the science, we've got to all wear face diapers.
[01:32:02.147 --> 01:32:08.170]  Oh, you, the police, you've got to wear a face diaper, and then you've got to go and tell the public to wear a face diaper.
[01:32:08.290 --> 01:32:11.271]  Exactly, and you're participating in your own enslavement destruction.
[01:32:11.611 --> 01:32:14.253]  Back in 60 seconds with the icon, David Icke.
[01:32:14.273 --> 01:32:14.833]  Stay with us.
[01:32:16.132 --> 01:32:17.953]  All right, David Icke's been with us for the last hour.
[01:32:17.973 --> 01:32:19.133]  We've got one more segment with him.
[01:32:19.153 --> 01:32:20.274]  I'll be on his new show.
[01:32:20.294 --> 01:32:20.994]  He's doing it with his son.
[01:32:21.034 --> 01:32:23.075]  He's a really smart guy, a filmmaker.
[01:32:23.095 --> 01:32:24.136]  8 a.m.
[01:32:24.156 --> 01:32:24.556]  tomorrow.
[01:32:25.336 --> 01:32:29.918]  David, we only got 10 minutes left here, and it's been amazing, but I want to ask you this.
[01:32:30.639 --> 01:32:39.823]  Since the top of your head blew off 31 years ago, when you really figured all this out and really had a vision, a revelation, as I've gotten older, I've had some of those big epiphanies.
[01:32:40.771 --> 01:32:42.994]  Not the big giant download at once, but massive ones.
[01:32:43.575 --> 01:32:46.179]  And I've learned as you go with that information, it turns out to be very accurate.
[01:32:47.501 --> 01:32:49.163]  I just feel sorry for those under...
[01:32:50.475 --> 01:32:59.559]  This evil transmission, this interdimensional takeover, should we worry about trying to wake up people already infected or just worry about those that we can probably get fully activated?
[01:32:59.680 --> 01:33:04.602]  Because I really feel sorry, actually, for the Brian Stelters and the Bill Gateses.
[01:33:04.622 --> 01:33:07.103]  But then I look at them, there's clearly no one there.
[01:33:07.143 --> 01:33:10.845]  I mean, they look like some demon that's jumped into a human suit.
[01:33:11.345 --> 01:33:13.206]  As I get more awake, I can't even look at them.
[01:33:13.406 --> 01:33:13.927]  They are so evil.
[01:33:15.895 --> 01:33:18.919]  Look, I've said this so many times in the last year, mate.
[01:33:19.639 --> 01:33:20.941]  Look at Bill Gates.
[01:33:21.701 --> 01:33:22.502]  Look at his eyes.
[01:33:22.582 --> 01:33:27.808]  I call him, you know, the vacant one.
[01:33:28.669 --> 01:33:29.750]  You look at his eyes.
[01:33:30.330 --> 01:33:31.492]  There's no life.
[01:33:32.333 --> 01:33:33.574]  There's no vibrance.
[01:33:33.934 --> 01:33:36.077]  Mr. Dead Eyes, I call him as well.
[01:33:36.557 --> 01:33:37.598]  There's no one home.
[01:33:41.798 --> 01:33:42.059]  Thank you.
[01:33:54.437 --> 01:33:58.659]  Where his eyes turned absolutely black, and I'm talking the whites as well.
[01:33:58.679 --> 01:34:07.143]  By the way, I confronted Janet Reno at a speech at UT, it's on video, but her eyes went from light brown to black, and she started sticking her tongue out like a snake.
[01:34:07.443 --> 01:34:11.985]  She went, actually, I felt a chill go over me, she went like, and the eyes went black.
[01:34:12.865 --> 01:34:13.626]  In front of people!
[01:34:14.686 --> 01:34:21.529]  Yeah, and as Heath's eyes went black, and like I say, the whites, everything, it was just black holes.
[01:34:22.089 --> 01:34:23.050]  That's what it looked like.
[01:34:23.823 --> 01:34:25.183]  I was looking through his eyes.
[01:34:25.223 --> 01:34:26.104]  So what is that?
[01:34:26.764 --> 01:34:28.644]  Like, whatever's behind it fully takes over?
[01:34:29.505 --> 01:34:29.785]  Yes.
[01:34:30.545 --> 01:34:35.786]  See, what happens is, you know, you can meet these people in everyday situations.
[01:34:36.186 --> 01:34:43.428]  I've actually met people, I mean, staggeringly, you won't believe this, but I have, who actually said, I met Tony Blair and he was very nice.
[01:34:44.168 --> 01:34:50.270]  But the thing is that this possessing consciousness, this Watiko that controls these people,
[01:34:51.876 --> 01:34:57.778]  It can withdraw, and people have a certain kind of personality as they interact with the world.
[01:34:58.178 --> 01:35:01.999]  And then when it wants something to happen, it imposes itself.
[01:35:02.420 --> 01:35:20.085]  And that's why, you know, when I talk to people who've taken part in satanic rituals with some of the most famous people in the world, they talk about the fact that once you see these people in the ritual, they are absolutely nothing like the person you see on the television.
[01:35:20.794 --> 01:35:24.126]  Because this Wetiko in the ritual completely takes them over.
[01:35:25.089 --> 01:35:26.414]  And what they want to do...
[01:35:27.344 --> 01:35:41.218]  Like I said, is to bring humanity into a low state of consciousness via low vibrational emotion, fear, anxiety, depression, so that this attachment can take place.
[01:35:41.358 --> 01:35:51.108]  And this vaccine is part of that, because if we are interacting with our DNA, receiving and transmitting information,
[01:35:51.889 --> 01:35:59.252]  You change that through these synthetic potions, and you change what it's receiving and transmitting.
[01:35:59.272 --> 01:36:11.118]  And you've been driving that Prime Minister at the BBC Green Room, and I've been in some of the same Green Rooms, looked at you, it was like he was scanning you, all of a sudden the eyes go pure black, he looks you up and down like a machine, like zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz
[01:36:11.621 --> 01:36:11.901]  Yeah.
[01:36:12.762 --> 01:36:16.964]  What happened, this guy Ted Heath, he was the guy that took Britain to the European Union, by the way.
[01:36:17.285 --> 01:36:17.785]  Evil man.
[01:36:17.945 --> 01:36:18.906]  Absolute paedophile.
[01:36:19.486 --> 01:36:21.787]  I exposed him in a book called The Biggest Secret as a paedophile.
[01:36:21.827 --> 01:36:24.029]  And it came out 20 years later he was a paedophile with Savelle.
[01:36:25.309 --> 01:36:28.551]  Yeah, yeah, he's a big friend of Jimmy.
[01:36:28.591 --> 01:36:41.820]  So, I mean, it's just, I mean, you look at some of the things that you know to be true and how long they take to come out in the public arena, it's really pathetic.
[01:36:42.241 --> 01:36:49.625]  But what happened was that I was brought into a makeup room on Sky Television, actually, when I was talking for the Green Party in the 1980s.
[01:36:50.959 --> 01:36:55.942]  And the lady brought me in and she said, oh, just just sit here and there'll be someone in a minute.
[01:36:55.982 --> 01:36:56.623]  She walks out.
[01:36:57.263 --> 01:37:04.648]  Now, the door was open, obviously, when I walked in and I didn't know there was someone behind the door sitting in one of the other seats in this makeup room.
[01:37:04.688 --> 01:37:15.815]  So I'm looking across and it's Ted Heath, Prime Minister of Britain, former Prime Minister of Britain, who was sitting there to have his makeup taken off because he'd just been on the programme I'm about to go on.
[01:37:17.105 --> 01:37:19.527]  And he never said a word to me, not a bloody word.
[01:37:19.967 --> 01:37:22.229]  He just turned and looked at me.
[01:37:23.390 --> 01:37:32.317]  And his eyes started at the top of my head, and literally, I described it, he scanned me to the bottom of my feet, and then his eyes went back to the top.
[01:37:32.357 --> 01:37:36.000]  And he had this curious look on his face, like, ooh, what's this?
[01:37:36.800 --> 01:37:39.542]  And then he turned and looked back at the mirror of the makeup room.
[01:37:39.562 --> 01:37:40.623]  That's what I was going to tell you.
[01:37:40.783 --> 01:37:44.186]  I've talked to two national talk show hosts who separately heard you.
[01:37:44.226 --> 01:37:45.667]  They both brought you up years ago.
[01:37:45.687 --> 01:37:47.388]  I mean, one like 10 years ago, one about five years ago.
[01:37:47.649 --> 01:37:48.469]  These are big names.
[01:37:49.090 --> 01:37:50.791]  They said, listen, David Icke told that story.
[01:37:50.931 --> 01:37:52.913]  I was in a room with this, that person.
[01:37:53.653 --> 01:37:54.854]  And one was a big executive.
[01:37:54.914 --> 01:37:57.036]  Another was a religious leader, a major pastor.
[01:37:57.437 --> 01:37:59.158]  And they called him in rooms both times.
[01:37:59.698 --> 01:38:01.200]  And literally their eyes went black.
[01:38:02.156 --> 01:38:07.084]  And they tried to scare the hell out of them, and in one case, they literally turned into a big lizard.
[01:38:07.504 --> 01:38:09.928]  And I mean, these are national figures telling me this, David.
[01:38:10.909 --> 01:38:14.575]  Yeah, see, when you think that the body is a hologram,
[01:38:15.356 --> 01:38:19.241]  And the hologram is an expression of an information field.
[01:38:19.741 --> 01:38:22.625]  And what these people have is a dual information field.
[01:38:23.025 --> 01:38:25.849]  Part of it is the human field, which is what we see.
[01:38:25.989 --> 01:38:27.511]  So they just turn that on to scare you?
[01:38:27.571 --> 01:38:28.211]  I mean, what is it?
[01:38:28.231 --> 01:38:30.114]  Because all the ancients said that would happen too.
[01:38:30.154 --> 01:38:31.735]  Like, you see that over and over again.
[01:38:32.875 --> 01:38:38.596]  Again, when you look at ancient accounts in all the different cultures, they're describing modern phenomena.
[01:38:39.756 --> 01:38:44.937]  They knew about this all those centuries and even more thousands of years ago.
[01:38:45.337 --> 01:38:52.399]  But the point was that when Heath was scanning me, his eyes, that's when his eyes turned black, the whole of his eyes turned black.
[01:38:53.399 --> 01:38:58.540]  And so what you're looking at in those circumstances, the examples you've just given,
[01:38:59.700 --> 01:39:04.342]  That's when this Wateco consciousness, this pure evil, what is evil?
[01:39:04.522 --> 01:39:07.764]  In my definition of evil, it's the absence of love.
[01:39:08.384 --> 01:39:15.027]  So you look at evil people like Bill Gates, they've got the... So it's another dimension opening up?
[01:39:15.687 --> 01:39:16.548]  The absence of love.
[01:39:16.848 --> 01:39:23.170]  Yeah, well basically this Wateco then imposes itself and starts to manifest.
[01:39:23.210 --> 01:39:23.431]  You see,
[01:39:25.414 --> 01:39:30.118]  You've got the hologram, and they've got a dual information field.
[01:39:30.359 --> 01:39:30.919]  One's human.
[01:39:31.500 --> 01:39:36.644]  So the human field is what's presenting it to the world as a matter of course.
[01:39:37.304 --> 01:39:47.253]  But when that other field becomes the dominant one, it starts to impact on the hologram to the point where, because it's a completely different... Oh, I get it.
[01:39:47.293 --> 01:39:49.575]  They totally step in, then you see their real form.
[01:39:50.393 --> 01:40:01.260]  Well, yeah, as the information field becomes the dominant one, the non-human one, its information starts to impose itself upon the hologram.
[01:40:01.620 --> 01:40:13.988]  So the hologram, which is simply an expression of the information field, the hologram changes when the information field changes, and that's what we call shape-shifting.
[01:40:14.809 --> 01:40:18.671]  People say to me, oh, people can't go from a solid form to a solid form, that's mad.
[01:40:18.751 --> 01:40:19.632]  No, no, they can't!
[01:40:20.052 --> 01:40:23.075]  But that's not what's happening because there is no solidity to this world.
[01:40:23.115 --> 01:40:25.098]  It's holographic as more and more mainstream.
[01:40:25.418 --> 01:40:27.380]  You got to go but I'm going to twist your arm and do one more segment.
[01:40:27.400 --> 01:40:28.401]  I want to talk about Prince Philip.
[01:40:28.421 --> 01:40:33.687]  I want to talk about that because I've also interviewed a couple of national talk show hosts who don't want to be said on air.
[01:40:34.187 --> 01:40:35.088]  Well one of them is Man Cow.
[01:40:35.108 --> 01:40:35.789]  He's actually told the story.
[01:40:35.809 --> 01:40:37.691]  The other national host doesn't want to know.
[01:40:37.751 --> 01:40:38.532]  He went to a
[01:40:39.733 --> 01:40:41.834]  He went to Costa Rica.
[01:40:42.314 --> 01:40:43.374]  Medical doctors ran it.
[01:40:43.494 --> 01:40:44.775]  Over 50 people were involved.
[01:40:45.435 --> 01:40:49.337]  40 plus saw the same hallucination of devil demons come out of the woods.
[01:40:49.397 --> 01:40:52.258]  They did it at a ceremonial center, which we know those things are attracted to.
[01:40:52.698 --> 01:40:54.379]  But they all had the same hallucination.
[01:40:54.419 --> 01:40:55.799]  Well, that's impossible.
[01:40:55.819 --> 01:40:57.120]  It was opening a veil.
[01:40:57.160 --> 01:40:59.400]  They were seeing this real thing.
[01:40:59.460 --> 01:41:02.121]  So let's talk about it with David Icke on the other side.
[01:41:02.141 --> 01:41:04.282]  The other national talk show saw something even crazier.
[01:41:06.343 --> 01:41:09.667]  I'm not going to say the names, folks, but I mean, I'm not going to take DMT.
[01:41:09.707 --> 01:41:11.529]  I'm not opening myself up to this or ayahuasca.
[01:41:11.849 --> 01:41:13.891]  But we'll ask David about that, what he thinks of ayahuasca.
[01:41:13.911 --> 01:41:16.795]  When we come back, one more segment with the iconic David Ike.
[01:41:17.275 --> 01:41:19.317]  Iconic.com and DavidIke.com.
[01:41:19.357 --> 01:41:23.422]  And he is hosting a new show with his son, which starts on Fridays tomorrow.
[01:41:23.442 --> 01:41:24.062]  We'll be right back.
[01:41:24.443 --> 01:41:24.883]  Stay with us.
[01:41:24.963 --> 01:41:27.026]  Infowars.com and Newswars.com.
[01:41:28.433 --> 01:41:32.616]  Alright, final segment with David Icke, and I had some personal things happen when I was a teenager.
[01:41:32.636 --> 01:41:52.368]  I've never told anybody on air, never told even family or anybody else, but one time I was on drugs, I was totally healthy, totally sober, and I'd gotten in some trouble and these cops took me into a room and they said, you think you're tough, you think you're badass, and I saw a little bit of what David Icke was talking about.
[01:41:52.448 --> 01:41:53.129]  It wasn't like
[01:41:53.911 --> 01:41:55.873]  Full on dude like a lizard or anything like that.
[01:41:55.913 --> 01:41:59.057]  But it was like this freaking cop's eyes went like green.
[01:41:59.577 --> 01:42:01.860]  I was like, yeah, punk, you better watch your ass.
[01:42:02.360 --> 01:42:05.544]  So let me tell you, man, this planet is overrun with entities.
[01:42:05.584 --> 01:42:06.385]  I don't know what it is.
[01:42:06.405 --> 01:42:07.406]  I don't know what's going on.
[01:42:08.427 --> 01:42:09.808]  But everybody knows it deep down.
[01:42:09.848 --> 01:42:10.749]  I'll just put it out there.
[01:42:11.190 --> 01:42:12.972]  And Bill Gates and all of them are possessed by it.
[01:42:12.992 --> 01:42:13.813]  They're coming after us.
[01:42:13.853 --> 01:42:14.433]  Prince Philip.
[01:42:15.094 --> 01:42:18.775]  All the dead bodies they dig up on the property, taking the blood of the children.
[01:42:19.455 --> 01:42:22.115]  All of it is just par for the course.
[01:42:22.515 --> 01:42:25.996]  And David Icke was really, 30 years ago, the first to say the BBC's run by pedophiles.
[01:42:26.356 --> 01:42:27.556]  They're killing kids in dungeons.
[01:42:27.616 --> 01:42:28.256]  It all came out.
[01:42:28.296 --> 01:42:33.037]  He named the names of them, taking like little girls that slit their throats in the Prime Minister's office.
[01:42:33.857 --> 01:42:37.238]  And like, it all sounds insane, but it's what the Bible tells us is going on.
[01:42:37.258 --> 01:42:38.558]  You know, take Prince Philip.
[01:42:38.578 --> 01:42:40.018]  Pull up those last photos of him in February.
[01:42:40.338 --> 01:42:43.659]  Headline, Prince Philip photo shock world after his release from hospital.
[01:42:44.559 --> 01:42:48.722]  I guess, you know, as he prepared to leave this realm, it was really obvious.
[01:42:49.363 --> 01:42:51.044]  But, I mean, this is something all the ancients saw.
[01:42:51.064 --> 01:42:52.024]  The Bible talks about it.
[01:42:52.104 --> 01:42:52.585]  It's real.
[01:42:53.085 --> 01:43:03.952]  David, closing eight minutes on all of this, and Ayahuasca, and Prince Philip, and the veil, and how people are going and taking Ayahuasca together and seeing the same group hallucination.
[01:43:04.192 --> 01:43:10.957]  I mean, that proves this is going on, because if you're all having different hallucinations, that's the brain, but if they're all seeing the veil part and this happening, this is big.
[01:43:13.433 --> 01:43:18.858]  Yeah, and veil is basically what we're talking about.
[01:43:19.739 --> 01:43:34.692]  This force that's behind this global network, this global cult, death cult, wants to put a veil between five sense awareness and the greater self.
[01:43:35.359 --> 01:43:37.420]  That's its whole modus operandi.
[01:43:38.441 --> 01:43:47.085]  And then it can isolate us, like I said earlier, and program the perceptions of people, isolated consciousness.
[01:43:47.585 --> 01:43:49.466]  And they'll get them to do whatever they want.
[01:43:50.006 --> 01:44:01.272]  And their goal is to connect the human brain and genetic receiver transmission structure to AI.
[01:44:02.415 --> 01:44:08.665]  So AI then becomes the human mind and they've then got complete assimilation.
[01:44:09.046 --> 01:44:11.249]  So that's where it's going.
[01:44:11.930 --> 01:44:13.292]  And these people are
[01:44:18.051 --> 01:44:19.672]  Hijacking human society.
[01:44:19.712 --> 01:44:23.696]  They're a non-human force seeking to hijack human society.
[01:44:23.716 --> 01:44:24.697]  Let me ask you this question.
[01:44:24.857 --> 01:44:27.579]  Why do they like to get people in a quasi-dark room?
[01:44:27.599 --> 01:44:29.200]  I've been told this by two national talk show hosts.
[01:44:29.240 --> 01:44:31.843]  It happened to me a little bit, and I thought I was going crazy.
[01:44:31.983 --> 01:44:33.004]  Why do they like to do that?
[01:44:33.044 --> 01:44:33.484]  What is that?
[01:44:35.025 --> 01:44:38.128]  Well, first of all, it's part of a power trip, isn't it?
[01:44:38.989 --> 01:44:41.251]  And also, it's to frighten people.
[01:44:41.812 --> 01:44:47.917]  You know, if you think you're dealing with a non-human force, then it's like, oh my God, what could we do against that?
[01:44:47.937 --> 01:44:49.478]  Well, I'll tell you what we can do against that.
[01:44:49.518 --> 01:44:50.559]  We can bring an end to it.
[01:44:51.079 --> 01:44:55.703]  This force, let me say this, this force is not all-powerful.
[01:44:56.383 --> 01:45:00.066]  This force is a little boy in short trousers.
[01:45:01.187 --> 01:45:07.132]  What it has to do to control us, who are much more powerful than it,
[01:45:08.960 --> 01:45:17.647]  is to create a situation which can be described as, in the kingdom of the blind, the one-eyed man is king.
[01:45:18.448 --> 01:45:27.455]  Because of its nature, because of its inversion, its chaos, its state, it is not all-powerful.
[01:45:28.156 --> 01:45:34.501]  So what it has to do is to put humanity into a lower state of awareness than it's in.
[01:45:35.316 --> 01:45:37.077]  That's what they've got to make us falsely nominate.
[01:45:37.097 --> 01:45:41.999]  So closing with Prince Philip, because they trick people and go, oh, the left doesn't like Philip, so he must be good.
[01:45:42.019 --> 01:45:44.561]  I mean, the British royal house, that is a mess, isn't it?
[01:45:44.781 --> 01:45:45.901]  But are they at the top of the pyramid?
[01:45:46.982 --> 01:45:47.722]  Don't start me.
[01:45:47.762 --> 01:45:50.224]  Well, they're kind of, they're kind of up there.
[01:45:50.624 --> 01:45:53.225]  But, you know, just a very quick one on this.
[01:45:53.866 --> 01:46:04.411]  I've said in my last book, The Answer, that I feel that in this great reset, that there's not a place for the royal family.
[01:46:05.271 --> 01:46:07.673]  And if you look at it, he's gone now.
[01:46:08.733 --> 01:46:10.534]  The Queen ain't going to be around forever.
[01:46:10.574 --> 01:46:12.775]  She's 94, coming up 95 this month.
[01:46:13.696 --> 01:46:14.497]  And then what's left?
[01:46:15.677 --> 01:46:21.701]  Prince Charles, very unpopular, total, you know, great reset clone.
[01:46:22.501 --> 01:46:27.624]  And then there's Prince William, had a bit of a personality bypass.
[01:46:28.084 --> 01:46:28.845]  And then there's no one.
[01:46:29.682 --> 01:46:49.219]  So it seems to me that if you are going to transform Western society, which is what this is all about, it's to Chinese in effect, Western society, then you will target the dominant by number racial group in that society.
[01:46:49.259 --> 01:46:54.564]  So this is why you can say anything about white people, doesn't matter, but anything else about anyone else, it's racist.
[01:46:55.265 --> 01:47:11.491]  You will target the Christian religion, and I'm not a Christian, but if you look at the history of the Christian religion, its fabric is weaved into the fabric and the structure of Western society and the way Western society works.
[01:47:11.851 --> 01:47:13.332]  So you want to destroy that,
[01:47:14.144 --> 01:47:16.787]  Because that will start to bring the house down.
[01:47:17.468 --> 01:47:21.413]  And so you can say what you like about Christianity, but any other religion?
[01:47:21.433 --> 01:47:24.477]  Ooh, no, that's not acceptable.
[01:47:24.837 --> 01:47:29.163]  And then you look in British society, in the wider Commonwealth, in Canada and Australia and
[01:47:29.787 --> 01:47:39.014]  New Zealand and stuff, and weaved in the, well in fact in Britain, the whole structure of British society is the royal family.
[01:47:39.254 --> 01:47:42.937]  We don't have a government, we have Her Majesty's government.
[01:47:43.297 --> 01:47:44.298]  We don't have an opposition.
[01:47:44.318 --> 01:47:48.061]  Sure, so it's the newer update of the old New World Order erasing the last update.
[01:47:48.701 --> 01:47:53.064]  Yeah, so the royal family has played its part.
