[00:00:00.169 --> 00:00:06.154]  And so I got up at 2 a.m., and I've been up since 2 a.m., and I read this whole document.
[01:22:26.894 --> 01:22:30.436]  We have a pandemic because we're unvaccinated and there's so many enormous opportunities.
[01:22:30.496 --> 01:22:39.002]  And the more we learn, the more we learn about this virus and the result of this variation, the more we have to be worried and concerned.
[01:22:39.042 --> 01:22:47.647]  And then only one thing we know for sure, if those other 100 million people got vaccinated, we'd be in a very difficult world.
[01:22:47.807 --> 01:22:49.888]  And get vaccinated.
[01:22:50.889 --> 01:22:54.291]  If you haven't, you're not getting as far as I said.
[01:23:00.572 --> 01:23:01.953]  Look at this beautiful city of Fairfield.
[01:23:02.453 --> 01:23:03.733]  Multicultural hub of Sydney.
[01:23:03.973 --> 01:23:08.355]  It's crawling with military now.
[01:23:08.375 --> 01:23:10.196]  The military of Australia.
[01:23:10.216 --> 01:23:12.056]  We've got troops walking around.
[01:23:12.116 --> 01:23:14.337]  What do you reckon?
[01:23:14.477 --> 01:23:16.258]  It's in the Constable Bay woods.
[01:23:24.001 --> 01:23:24.361]  Night call?
[01:23:24.821 --> 01:23:26.422]  Yeah.
[01:23:26.442 --> 01:23:26.742]  Love me?
[01:23:28.763 --> 01:23:29.043]  All good?
[01:23:29.704 --> 01:23:30.204]  Not yet, mate.
[01:23:30.584 --> 01:23:36.087]  Before, when you pulled over, I know we were to ask if you, before you pulled over to put your mask on.
[01:23:36.107 --> 01:23:37.128]  I said I don't need to.
[01:23:37.148 --> 01:23:40.670]  But then you didn't speak to us any further and you drove off, mate.
[01:23:40.790 --> 01:23:43.491]  I wasn't detained, was I?
[01:23:43.952 --> 01:23:44.592]  Was I detained?
[01:23:45.032 --> 01:23:45.172]  Huh?
[01:23:45.312 --> 01:23:46.393]  I wasn't detaining you.
[01:23:46.633 --> 01:23:48.134]  Well, I drove off because I wasn't detained.
[01:23:48.154 --> 01:23:50.335]  So now you're detaining me.
[01:23:50.355 --> 01:23:52.736]  So now you need to show me your medical exemption, okay?
[01:23:54.437 --> 01:23:55.138]  Knock yourself out.
[01:23:55.338 --> 01:23:55.698]  Thank you.
[01:23:57.479 --> 01:23:58.980]  They say beat the cops at their own game.
[01:23:59.180 --> 01:23:59.460]  Oh, he does.
[01:24:05.693 --> 01:24:06.334]  Look at these cops.
[01:24:17.544 --> 01:24:19.966]  Welcome to the police state.
[01:24:20.086 --> 01:24:21.808]  I think you're playing games.
[01:24:22.008 --> 01:24:23.950]  I think you're wasting police resources.
[01:24:23.990 --> 01:24:25.171]  You're wasting police resources.
[01:24:25.191 --> 01:24:25.771]  Mate, you're inciting.
[01:24:25.811 --> 01:24:26.592]  There you go, that's how you win.
[01:24:30.424 --> 01:24:31.945]  That's how you win, ladies and gentlemen.
[01:24:32.125 --> 01:24:45.474]  In France, anyone entering a venue with more than 50 people inside will need to present this health pass and what it is is either proof of full vaccination, a negative COVID-19 test result or proof that you have recently recovered from infection.
[01:24:45.974 --> 01:24:46.594]  We are now in two.
[01:25:15.091 --> 01:25:18.472]  Hour number three on this Tuesday, August 10th broadcast.
[01:25:18.552 --> 01:25:19.592]  I'm your host, Alex Jones.
[01:25:20.213 --> 01:25:22.113]  Some of the wild stuff breaking.
[01:25:22.153 --> 01:25:28.435]  New York Governor Andrew Cuomo resigns in disgrace over all of the sexual harassment allegations.
[01:25:28.475 --> 01:25:29.836]  And I think that's a good thing.
[01:25:30.856 --> 01:25:36.178]  But why aren't they going after Joe Biden or Bill Clinton, who are clearly way worse than he is?
[01:25:36.238 --> 01:25:38.959]  And why aren't they getting in trouble for sending COVID
[01:25:39.975 --> 01:25:47.438]  Infected, really flu and pneumonia infected patients into those nursing homes and we now know suppressing the numbers.
[01:25:47.458 --> 01:25:48.518]  20,000 dead.
[01:25:48.558 --> 01:25:55.161]  He did that with Leticia James, the George Soros appointed Attorney General there.
[01:25:55.201 --> 01:25:56.021]  He installed her.
[01:25:56.041 --> 01:25:56.661]  She was elected.
[01:25:57.402 --> 01:25:59.882]  So you got that news and then this news on InfoWars.com.
[01:25:59.942 --> 01:26:00.403]  You in!
[01:26:01.533 --> 01:26:07.014]  To consider spraying sulfate aerosols, chemtrails, above the Earth's surface to reduce global temperatures.
[01:26:07.254 --> 01:26:11.915]  Oh, the UN's going to run our health care and tell us how to live our lives and so much more.
[01:26:11.935 --> 01:26:14.355]  Because they try to scare us.
[01:26:15.736 --> 01:26:19.516]  And now this huge piece of news that dovetails with our special guest.
[01:26:21.917 --> 01:26:26.018]  National Strategy for Countering Domestic Terrorism, June 2021.
[01:26:29.522 --> 01:26:39.906]  And it says, if you question the elections or question open borders or question COVID lockdowns, you are a quote, white supremacist.
[01:26:40.506 --> 01:26:49.029]  And as he says, if you are then a white supremacist, you are then a terrorist and the Pentagon should be used against you as a domestic terror threat.
[01:26:50.430 --> 01:26:56.712]  And they've said that Ashley Babbitt, a veteran, a patriot who did nothing violent,
[01:26:57.591 --> 01:26:59.252]  That day on January 6th.
[01:27:00.573 --> 01:27:04.235]  Well, they say that some people said that everyone was horrible and everybody deserved to be shot.
[01:27:04.255 --> 01:27:08.118]  In fact, some Republicans have said that she deserved what happened to her.
[01:27:08.158 --> 01:27:16.963]  We've got her husband here, who I've seen in a lot of interviews, very impressive, smart fellow, a veteran himself, met her on deployments overseas.
[01:27:18.744 --> 01:27:21.046]  Or no, I guess he met her doing security at a nuclear power plant.
[01:27:21.086 --> 01:27:21.706]  Let me get that right.
[01:27:21.766 --> 01:27:22.947]  I was watching the other night.
[01:27:23.647 --> 01:27:25.349]  And so Aaron Babbitt joins us.
[01:27:26.499 --> 01:27:28.540]  And I really appreciate him coming on.
[01:27:28.780 --> 01:27:29.780]  Also, they're suing.
[01:27:30.540 --> 01:27:32.061]  We can't get into the identity of the officer.
[01:27:32.081 --> 01:27:32.901]  That's part of the suit.
[01:27:32.921 --> 01:27:34.462]  I understand that with these court cases.
[01:27:34.482 --> 01:27:36.223]  But we can get into everything else.
[01:27:36.263 --> 01:27:37.043]  So he's here with us.
[01:27:37.603 --> 01:27:41.264]  GiveSendGo.com forward slash JusticeForAshley.
[01:27:41.765 --> 01:27:47.146]  GiveSendGo.com forward slash JusticeForAshley and at ForAshley on Twitter.
[01:27:47.527 --> 01:27:50.568]  So Aaron Babbitt, thank you so much for coming on with us.
[01:27:51.168 --> 01:27:53.789]  And I'd just like to try to give you the floor to go wherever you want because I've got
[01:27:54.369 --> 01:27:57.530]  So many questions, but you're the guy that's really got the answer.
[01:27:57.570 --> 01:28:01.611]  So give us your take on Ashley, her memory, and what's currently unfolding.
[01:28:03.652 --> 01:28:04.853]  First off, thanks for having me, Alex.
[01:28:04.933 --> 01:28:08.394]  I truly do appreciate the opportunity to talk about my wife, any chance I get.
[01:28:08.814 --> 01:28:09.814]  So thank you.
[01:28:11.595 --> 01:28:12.655]  It's just been a whirlwind.
[01:28:13.315 --> 01:28:18.337]  You know, every day still feels like January 7th with complete silence coming out of D.C.
[01:28:19.558 --> 01:28:20.738]  I have to wake up every day.
[01:28:21.744 --> 01:28:24.867]  You know, knowing that I'm going to go through that day without my best friend.
[01:28:26.649 --> 01:28:30.112]  And then when I go to bed at night, I go to bed with a gut punch knowing that nobody in D.C.
[01:28:30.152 --> 01:28:31.133]  gives a damn about it.
[01:28:31.453 --> 01:28:42.564]  So, I watch these sham, you know, committee hearings and, you know, the questions that I have are, why these four officers?
[01:28:42.804 --> 01:28:45.407]  You know, they were clearly selected a long time ago.
[01:28:45.467 --> 01:28:46.908]  They were clearly reading off a script.
[01:28:47.489 --> 01:28:49.371]  Price Lakes, one of the guys read the word coop.
[01:28:49.951 --> 01:28:51.733]  I mean, you're literally reading this.
[01:28:52.193 --> 01:29:04.564]  And then you got the crying, and the tears, and the crocodile tears, and then you got the big guy, whatever his name is, I can't even remember, but um... Saying everybody was calling him the n-word even though they have no footage of it.
[01:29:05.646 --> 01:29:11.808]  Yeah, there's zero footage of it, but look, they weren't even smart enough to scrub his social media before they put him up in front of the world.
[01:29:12.148 --> 01:29:15.209]  He's got his Black Power fist up, he's got his Black Lives Matter, everything.
[01:29:15.569 --> 01:29:20.551]  I don't understand how this guy still has a job, because he clearly has a political bias.
[01:29:21.471 --> 01:29:30.374]  If he's talking all this smack of trash on the conservative Republican side, how can he be expected to defend them as needed?
[01:29:30.394 --> 01:29:34.655]  I mean, he even was joking about the fact that Trump had to get Rushaw staged
[01:29:35.253 --> 01:29:36.334]  They're on an active shooter.
[01:29:36.575 --> 01:29:37.936]  He was joking about that.
[01:29:38.337 --> 01:29:40.139]  And that's when Donald Trump was still president.
[01:29:40.499 --> 01:29:42.201]  Donald Trump still had to go to the House.
[01:29:42.601 --> 01:29:45.324]  This guy was charged with being outside of Secret Service.
[01:29:45.384 --> 01:29:47.727]  This guy was going to have to protect him.
[01:29:48.228 --> 01:29:50.290]  How can he still be on the job?
[01:29:52.099 --> 01:29:54.501]  The Capitol Police, they got a big problem.
[01:29:54.601 --> 01:29:55.862]  Well, that's where I was going to go.
[01:29:55.882 --> 01:29:58.303]  I mean, I was going to bring up those horrible hearings last week.
[01:29:58.323 --> 01:30:03.527]  They're going to have more hearings, the crying, the reading off the scripts, the suppressing 14,000 hours of footage.
[01:30:03.907 --> 01:30:06.649]  And then because I was in that crowd, I know those people.
[01:30:07.109 --> 01:30:08.550]  Nobody was screaming N-word.
[01:30:08.850 --> 01:30:11.852]  My gosh, if you're a black guy at a Trump rally, you're getting loved on.
[01:30:11.872 --> 01:30:13.733]  I mean, that is a load of BS.
[01:30:15.875 --> 01:30:16.575]  Absolutely is.
[01:30:16.915 --> 01:30:20.037]  And I feel like once all these, you know, it's going to take discovery.
[01:30:21.480 --> 01:30:35.304]  Once we start getting all this surveillance footage and once it all comes out, they're going to have to either fire two-thirds of their department, or we're going to get into where now we're opening up these satellite offices around the country.
[01:30:35.344 --> 01:30:42.806]  And to me, that is because they know that they can't have these guys sitting in public eye and public view once they open that house back up.
[01:30:43.226 --> 01:30:44.907]  So they're going to have to move them somewhere.
[01:30:44.967 --> 01:30:46.287]  So that's, I mean, obviously,
[01:30:47.202 --> 01:30:49.063]  There's other reasons, overreach of power.
[01:30:49.504 --> 01:30:55.528]  But I truly believe that these satellite offices are being opened up to push these guys so you don't see them at the Capitol anymore.
[01:30:56.069 --> 01:30:56.909]  That was another thing.
[01:30:57.009 --> 01:31:00.532]  Since when can the CDC say nobody has to pay rent anymore?
[01:31:00.552 --> 01:31:04.335]  And since when can the Capitol Police announce jurisdiction nationwide?
[01:31:04.355 --> 01:31:05.475]  I mean, this is wild.
[01:31:06.716 --> 01:31:07.977]  Yeah, it's insane.
[01:31:08.257 --> 01:31:10.279]  We're living in Wonderland, man.
[01:31:10.539 --> 01:31:11.580]  Up is down, left is right.
[01:31:13.308 --> 01:31:16.629]  Well, you notice that they never want to talk about Ashley, and I'm sure you saw it.
[01:31:16.649 --> 01:31:22.350]  I don't know if you want to give the guy any attention, but the Republican that basically said, you know, good job to the officer that killed your wife.
[01:31:22.730 --> 01:31:24.550]  I mean, why do they have to rub it in like that?
[01:31:26.051 --> 01:31:26.431]  I don't know.
[01:31:27.391 --> 01:31:27.771]  I don't know.
[01:31:27.911 --> 01:31:38.313]  I mean, you have three or four congressmen, Marjorie Taylor Greene, Dr. Kosar, you know, Louie Gohmert.
[01:31:38.333 --> 01:31:41.234]  They're actively supporting my wife and supporting our family.
[01:31:42.461 --> 01:31:45.967]  But that's 90, you know, that's half of a percent of the 100%.
[01:31:46.128 --> 01:31:50.074]  You know, so the other 99 and a half, they don't give a damn.
[01:31:50.295 --> 01:31:54.823]  And, you know, I get tired of hearing them say all the time, you know, who shot Ashley Babbitt?
[01:31:55.416 --> 01:31:57.257]  You sit in that house every single day.
[01:31:57.277 --> 01:32:01.778]  The guy that shot my wife is supposedly the commander of that area.
[01:32:02.198 --> 01:32:05.419]  You're gonna try and tell me you haven't seen him at work in 216 days?
[01:32:05.880 --> 01:32:08.781]  Everybody knows who the hell did it, but they just won't talk about it.
[01:32:09.521 --> 01:32:10.261]  It's disgusting.
[01:32:10.321 --> 01:32:17.623]  Well, it's very dangerous to have secret police that can kill people like 007, kill one of their own citizens, and then their name is withheld.
[01:32:17.904 --> 01:32:19.144]  Again, it's all part of the power grab.
[01:32:19.164 --> 01:32:21.945]  It's all part of the power grab, and...
[01:32:22.557 --> 01:32:28.182]  I mean, I have the benefit of, you know, I carried a gun, Alex, for 10 years at the nuclear power plant.
[01:32:28.783 --> 01:32:31.906]  I was bound to the same use of force continuum that this guy is.
[01:32:32.306 --> 01:32:33.427]  I know where he got trained.
[01:32:33.467 --> 01:32:34.888]  He was down in Glynco, Georgia.
[01:32:35.269 --> 01:32:41.775]  I know they follow the same exact use of force continuum, and he skipped every single step and put a bullet in my wife.
[01:32:42.135 --> 01:32:43.977]  There was no announcement of his presence.
[01:32:44.317 --> 01:32:47.160]  There was no, you know, physical presence, less than physical force.
[01:32:47.720 --> 01:32:47.820]  Wow.
[01:33:12.858 --> 01:33:17.602]  We're going to go to break here in a moment, but let's talk about Justice for Ashley, because that's justice for us all.
[01:33:18.002 --> 01:33:24.628]  If they can forget her, if they can bury her, if they can then play like they were the victims that day, it's very important to get justice.
[01:33:24.648 --> 01:33:25.829]  I know it takes a lot of money to do it.
[01:33:25.849 --> 01:33:28.091]  I know you didn't want to bring this up, but how do people donate?
[01:33:28.131 --> 01:33:33.195]  And if they do donate at JusticeForAshleyItGivesThemGo.com, what does that go towards?
[01:33:34.556 --> 01:33:37.479]  It goes directly to my lawyer, Robertson Wood.
[01:33:38.263 --> 01:33:39.684]  Uh, it goes directly to the firm.
[01:33:39.864 --> 01:33:42.106]  So every dollar that's donated, it goes directly to the firm.
[01:33:42.126 --> 01:33:44.027]  We're going to have, this is David versus Goliath.
[01:33:44.487 --> 01:33:47.249]  I mean, we, we, we need every, all the help that we can get.
[01:33:47.409 --> 01:33:47.930]  Oh yeah.
[01:33:47.990 --> 01:33:50.832]  Even when lawyers do what it costs, they got to pay for hotels.
[01:33:50.852 --> 01:33:53.133]  They got to pay for all the transcripts.
[01:33:53.473 --> 01:33:54.854]  I mean, I've been involved in a lot of lawsuits.
[01:33:54.894 --> 01:33:58.877]  Just the transcripts cost hundreds of thousands of dollars for a big battle over a year or two.
[01:33:59.177 --> 01:34:00.018]  And this is going to be a battle.
[01:34:00.038 --> 01:34:02.559]  So you guys, I mean, I think 500,000 is a low goal.
[01:34:02.840 --> 01:34:04.220]  You guys have only raised 30,000.
[01:34:04.641 --> 01:34:07.863]  I would like to see that, you know, go up a hundred thousand during the show folks.
[01:34:08.223 --> 01:34:09.925]  Because, you know, it takes money to win a war.
[01:34:09.985 --> 01:34:12.166]  This is definitely an important fight for all of us.
[01:34:14.128 --> 01:34:15.269]  This is a fight for everybody.
[01:34:15.929 --> 01:34:17.891]  My wife gave her life for this country.
[01:34:18.652 --> 01:34:21.874]  She wrote a blank check multiple times going overseas to war for her life.
[01:34:22.315 --> 01:34:25.477]  And in the end, ultimately, she gave her life at the people's house.
[01:34:25.597 --> 01:34:27.459]  So we need all the help we can get.
[01:34:27.499 --> 01:34:30.441]  And this is for every single American, whether you support my wife or not.
[01:34:30.821 --> 01:34:32.943]  You don't even know that this is for you, too.
[01:34:33.063 --> 01:34:34.785]  This is for your liberties and freedoms.
[01:34:36.015 --> 01:34:38.257]  Well, I understand why she was mad that day in protesting, too.
[01:34:38.277 --> 01:34:39.998]  I mean, the Democrats take over buildings all the time.
[01:34:40.359 --> 01:34:43.842]  She didn't even do it violently, but they don't get killed, and I don't think they should be killed.
[01:34:43.862 --> 01:34:46.324]  We'll be right back to talk about Ashley Babbitt with Aaron Babbitt.
[01:34:46.664 --> 01:34:48.005]  Straight ahead, I'm Alex Jones.
[01:34:50.107 --> 01:34:52.709]  I know it's gotta be hard of Aaron Babbitt.
[01:34:53.700 --> 01:35:00.145]  The husband of late Ashley Babbitt to talk about what happened, but he's doing it so that she doesn't die in vain and that's important.
[01:35:00.685 --> 01:35:13.935]  But I saw you as a guest on Sunday Live here on the InfoWars Network, Sunday night after I did my two hours and I watched and listened to the whole interview and it really touched my heart talking about Ashley and meeting her and why she wanted to go to D.C.
[01:35:13.955 --> 01:35:16.437]  and I thought it might be important to repeat that to this audience.
[01:35:18.357 --> 01:35:20.318]  Yeah, so it was back in 2015.
[01:35:20.459 --> 01:35:24.181]  I was working security at a nuclear power plant.
[01:35:25.102 --> 01:35:30.065]  Actually, I had been there for about eight and a half, nine years at that point.
[01:35:30.245 --> 01:35:39.311]  Ashley had gotten on with the new class and I was down in like the bowels of this place and it's just 120, 130 degrees.
[01:35:39.331 --> 01:35:40.952]  You know, I'd been down there for like an hour.
[01:35:41.012 --> 01:35:41.933]  I came upstairs but
[01:35:42.543 --> 01:35:47.988]  To the alarm station to get, you know, a drink and the new class was in there and that's the last thing I wanted to deal with.
[01:35:48.608 --> 01:35:57.695]  So I just walked around, put my gun away and, you know, was getting a drink and here comes little old Ashley over, you know, just, hey, you look like you're grumpy.
[01:35:57.996 --> 01:35:59.097]  I'm going to make you talk to me.
[01:35:59.737 --> 01:36:01.439]  And I'll be damned if she did.
[01:36:01.639 --> 01:36:10.386]  And so as the months went on, you know, she ended up on my shift and, you know, we just, we just hit it off and fast forward to
[01:36:11.494 --> 01:36:15.155]  2017, you know, we decided to make life changes.
[01:36:15.815 --> 01:36:19.257]  Her brother was, you know, her whole family's out here, so in San Diego.
[01:36:20.037 --> 01:36:24.698]  So her brother was working for this pool company and he called talking about how they were selling the business.
[01:36:25.399 --> 01:36:28.400]  He was interested in just buying this small little portion.
[01:36:29.060 --> 01:36:33.461]  And of course, Ashley, you know, always, you know, 110% on everything she does.
[01:36:33.481 --> 01:36:37.843]  She's like, well, why don't we look at it and see if we can buy the whole business?
[01:36:39.187 --> 01:36:42.528]  She said it was one of the hardest questions she's ever had to ask me in her life.
[01:36:43.129 --> 01:36:50.591]  I came home from work, and she sat me down, and she's like, I want to buy a business, and I've done the numbers, and I think we can do this.
[01:36:51.532 --> 01:36:54.513]  And I just, you know, I looked at her, and I was like, you know what?
[01:36:55.453 --> 01:36:56.954]  Let's go for it, you know?
[01:36:57.834 --> 01:37:07.518]  At that point, you know, I had already been through a dumpster fire of a marriage earlier, you know, when I was in the military, and I swore I'd never get married again.
[01:37:08.987 --> 01:37:12.128]  This girl comes around and just completely changed my life.
[01:37:12.348 --> 01:37:19.051]  So we uprooted, drove across the country, moved out here to San Diego and bought our small business.
[01:37:19.331 --> 01:37:22.312]  We were living a very idyllic life.
[01:37:22.832 --> 01:37:24.673]  It was, you know, it was beautiful.
[01:37:24.793 --> 01:37:28.954]  We lived three blocks from the beach, going to work every day.
[01:37:29.495 --> 01:37:35.757]  When I say we literally spend 20 hours a day together, it's not an underestimation.
[01:37:35.817 --> 01:37:36.017]  I mean,
[01:37:37.091 --> 01:37:42.838]  If we were together, if we were apart for four hours, even that was kind of stretched without, you know, I got to work sometime.
[01:37:42.858 --> 01:37:44.900]  Yeah, I mean, she was my best friend.
[01:37:44.920 --> 01:37:46.542]  She's the love of my life.
[01:37:53.117 --> 01:37:59.001]  Well, I know it's hard for you to talk about, but you know those cops sat up there and cried and called her by terrorists and white supremacist total lies.
[01:37:59.902 --> 01:38:01.003]  And it was just disgraceful.
[01:38:01.303 --> 01:38:04.205]  You're holding it together here, but I can tell you really loved her.
[01:38:04.225 --> 01:38:06.106]  I think it's important to humanize her.
[01:38:06.146 --> 01:38:06.947]  What was it like?
[01:38:07.267 --> 01:38:07.928]  How did you learn?
[01:38:07.948 --> 01:38:11.130]  I'm sorry to have to ask this, but we have to humanize her because they want to dehumanize her.
[01:38:11.430 --> 01:38:12.471]  What was it like for you, Aaron?
[01:38:12.491 --> 01:38:14.933]  How did you find out they'd shot your wife?
[01:38:17.083 --> 01:38:19.565]  So, uh, it was back, you know, in January.
[01:38:19.605 --> 01:38:23.747]  We're still heavily locked down for COVID here in Columbia, California.
[01:38:24.668 --> 01:38:28.210]  Um, so we had to make, I had to make a gym reservation only go at a certain hour.
[01:38:28.230 --> 01:38:33.654]  So I made one for one o'clock and it was like somewhere in the 11 o'clock hour of my time.
[01:38:33.674 --> 01:38:35.275]  I got a call.
[01:38:35.535 --> 01:38:36.836]  It was kind of random.
[01:38:36.856 --> 01:38:41.819]  I don't normally really talk to this person, but called saying his wife had seen
[01:38:43.069 --> 01:38:43.490]  We're good to go.
[01:39:01.816 --> 01:39:09.019]  Um, my original, my original thought was, you know, there's no way somebody fired a live round inside the Capitol.
[01:39:09.099 --> 01:39:12.521]  Maybe it was a rubber bullet that hit her in the wrong way, you know?
[01:39:12.761 --> 01:39:22.866]  Um, but I was forced at that point, cause I started calling all these hospitals, um, trying to find her and nobody would tell me anything.
[01:39:23.046 --> 01:39:29.589]  Even to the point where, uh, my brother had called the DC Metro, uh, dispatch and they yelled at him.
[01:39:31.058 --> 01:39:34.320]  Uh, the exact words were, we didn't effin' shoot her.
[01:39:34.940 --> 01:39:35.740]  Stop calling.
[01:39:35.900 --> 01:39:37.921]  And they hung up on her.
[01:39:37.981 --> 01:39:49.346]  Uh, so I was locked in and forced to watch these graphic images over and over and over again because I was getting no calls from anybody in D.C.
[01:39:49.386 --> 01:39:50.006]  at that point.
[01:39:50.746 --> 01:39:51.767]  I had to watch it.
[01:39:52.587 --> 01:39:58.630]  That's the only place I was getting updates, um, or any could get an update on what had happened to Ashley.
[01:39:58.830 --> 01:39:59.430]  Um, and then
[01:40:00.353 --> 01:40:08.058]  I heard the voice, and I'll hear it for the rest of my life, came over and said the woman that had been shot at the Capitol had passed away.
[01:40:09.079 --> 01:40:13.061]  And everything went black after that.
[01:40:13.262 --> 01:40:22.207]  You know, I talked to my neighbors after, and they said it sounded like a wounded, dying animal was inside my house, which I don't remember much of it.
[01:40:22.227 --> 01:40:28.972]  You know, people, I looked up, and there were friends that were in my house, and I don't even remember them coming in.
[01:40:30.157 --> 01:40:33.639]  So yeah, I watched my wife die on TV.
[01:40:34.420 --> 01:40:41.144]  And for a man to see, like I said, the absolute love of my life.
[01:40:43.265 --> 01:40:52.150]  It's been 3,000 miles away, but the TV was like a window to me that I couldn't get my hands through to comfort her.
[01:40:52.911 --> 01:40:59.435]  To see the cameras in her face, and the people in her face, and I know
[01:41:00.748 --> 01:41:05.935]  The last view that she had out of her eyes before the life was drained out was of strangers.
[01:41:06.916 --> 01:41:13.185]  And I just wanted my face to be there to let her know, you're going to be okay.
[01:41:13.525 --> 01:41:14.166]  Your love, babe.
[01:41:15.640 --> 01:41:17.142]  Well, that's powerful testimony, Aaron.
[01:41:17.162 --> 01:41:20.727]  I appreciate you doing that for America and your wife who lives on.
[01:41:21.247 --> 01:41:23.330]  We all know that hopefully we do the right thing.
[01:41:23.370 --> 01:41:25.673]  We'll be with our friends and family again.
[01:41:26.014 --> 01:41:27.376]  We know that God's real.
[01:41:27.996 --> 01:41:30.039]  But what would you like to see come out of this now?
[01:41:30.880 --> 01:41:35.144]  Because, you know, at first I'm like, it's wrong that this happened, but who knows what else went on.
[01:41:35.204 --> 01:41:36.265]  And it's hysteria.
[01:41:36.305 --> 01:41:42.510]  But then to watch him attack her and call her names and see this Republican congressman say the cop did a good job and all that.
[01:41:42.830 --> 01:41:43.931]  They're really rubbing it in.
[01:41:44.211 --> 01:41:46.013]  I mean, I'd like to see the people that did this.
[01:41:46.433 --> 01:41:48.315]  I'd like to see the guy that did this sent to prison.
[01:41:48.335 --> 01:41:50.957]  I mean, I think you premeditatedly executed your wife.
[01:41:51.177 --> 01:41:54.040]  And I know you don't want to get into the case itself, but what are you hoping to see here?
[01:41:55.612 --> 01:41:59.093]  Well, I mean, they've already taken away the ability to charge you criminally at this point.
[01:41:59.293 --> 01:42:12.518]  And if you go back to February, there was a Wall Street Journal article that came out that said that, you know, the investigation of the shooting of my wife was ongoing, but they probably weren't going to be recommending charges.
[01:42:13.099 --> 01:42:15.940]  And DC Metro never came out and squashed that leak, you know.
[01:42:17.850 --> 01:42:28.638]  Fast forward to April, that's when we got the official call from the Internal Affairs Detective at DC Metro telling me and my attorney that they weren't pressing charges.
[01:42:28.698 --> 01:42:35.003]  And I'm just like, you leaked this out back in February, so why did you string it along this long?
[01:42:36.004 --> 01:42:40.147]  So at this point, it's going to have to come down to, you know, at a minimum,
[01:42:40.862 --> 01:42:42.663]  Termination of this officer.
[01:42:42.723 --> 01:42:44.124]  I mean, he's not fit for duty.
[01:42:45.205 --> 01:42:48.047]  A lot of big foundations and groups should be supporting you.
[01:42:48.107 --> 01:42:51.209]  We don't want police getting away with executing people.
[01:42:51.510 --> 01:42:52.770]  Where's all the Black Lives Matter?
[01:42:52.791 --> 01:42:54.252]  Where's all the cop-hating organizations?
[01:42:54.272 --> 01:42:56.293]  I mean, this is a clear execution right here.
[01:42:57.114 --> 01:42:58.895]  But, oh, because it's a veteran, they don't care.
[01:42:58.915 --> 01:43:04.319]  Yeah, well, the National Police Association came out and called it a bad shoot.
[01:43:04.719 --> 01:43:06.200]  You have that going on.
[01:43:06.680 --> 01:43:09.582]  Somebody needs to take notice of that, for Christ's sake.
[01:43:11.064 --> 01:43:11.925]  Stay there, Aaron Babbitt.
[01:43:11.965 --> 01:43:13.246]  Let's come back and talk about that.
[01:43:13.486 --> 01:43:15.768]  The fact that there are a lot of good police that are actually against what happened.
[01:43:15.788 --> 01:43:16.809]  We're not attacking all police.
[01:43:16.829 --> 01:43:20.812]  We're attacking these political special officers, these leftist officers.
[01:43:20.852 --> 01:43:22.333]  A bunch of them are basically like Antifa.
[01:43:24.235 --> 01:43:28.799]  America is being held hostage by corporate interests that are manipulating the left.
[01:43:30.020 --> 01:43:31.261]  And they're spoiling for a war.
[01:43:32.422 --> 01:43:35.825]  And just off what happened to the Capitol, a million people came for Trump's rally.
[01:43:36.886 --> 01:43:38.027]  Yeah, it's a provocateur.
[01:43:38.127 --> 01:43:39.148]  Some police scuffles.
[01:43:39.508 --> 01:43:41.830]  Then the police opened up the gates.
[01:43:42.030 --> 01:43:43.091]  500, 600 people went in.
[01:43:43.131 --> 01:43:44.252]  Maybe 20 were violent.
[01:43:45.173 --> 01:43:46.254]  And then other people got...
[01:43:47.267 --> 01:43:47.927]  We're good to go.
[01:44:17.881 --> 01:44:26.068]  I mean, I'm not naive to the fact that had my wife not been murdered, I'd be standing right alongside these other families.
[01:44:26.148 --> 01:44:31.272]  Ashley would probably be in jail right now, which is what it is.
[01:44:31.292 --> 01:44:32.453]  They killed her.
[01:44:32.733 --> 01:44:35.455]  So to have these guys locked up,
[01:44:37.310 --> 01:44:37.830]  I don't know.
[01:44:55.635 --> 01:44:57.815]  Without being charged with insurrection.
[01:44:57.916 --> 01:45:08.818]  To me, every talking head out there, every person that's calling these people insurrectionists, they should be immediately sued for slander and defamation of character.
[01:45:09.158 --> 01:45:13.799]  That's no different than, you know, my neighbor calling the news and saying Aaron Babbitt's a murderer.
[01:45:14.219 --> 01:45:15.219]  Well, did he kill anybody?
[01:45:15.619 --> 01:45:16.020]  I don't know.
[01:45:16.760 --> 01:45:22.561]  I don't understand how you can keep calling these people insurrectionists without them being charged with insurrection.
[01:45:24.141 --> 01:45:30.605]  Well, I got up on the chairs, the stacks of chairs there, and I said, listen, folks, don't go in the Capitol.
[01:45:30.685 --> 01:45:32.025]  We're going to get another Kent State.
[01:45:32.686 --> 01:45:35.467]  And not that people deserve to get shot or even arrested, the ones that were peaceful.
[01:45:35.988 --> 01:45:37.809]  But I had a bad feeling.
[01:45:37.829 --> 01:45:39.069]  I'm like, don't go in.
[01:45:39.109 --> 01:45:42.171]  But obviously, almost no one could hear me because the crowd was so huge.
[01:45:42.591 --> 01:45:46.593]  And by the time the officers opened the doors up and let people in,
