[00:00:00.329 --> 00:00:01.449]  So there's today's headline.
[01:19:11.684 --> 01:19:20.164]   to Jeffrey Epstein. I'll let him dig down from here. Is there a lesson for you for
[01:19:20.164 --> 01:19:23.164]  Anyone else looking at this?
[01:19:23.507 --> 01:19:28.589]  Well, he's dead, so, you know, in general you always have to be careful.
[01:19:32.471 --> 01:19:36.993]  You always have to be careful when you're running giant, scientific blackmail rings with kidnapped children.
[01:19:38.994 --> 01:19:43.697]  So just remember when it seems dark and it seems horrible, that's one of their main kingpins.
[01:19:44.753 --> 01:19:52.676]  Even gets henpecked on his own programs, because they've told Gates, who's a high-level member of it, and for a while was the quarterback, they've said, go away, stop, stop it.
[01:19:53.557 --> 01:19:54.417]  And he won't go away.
[01:19:54.897 --> 01:19:56.378]  And so now they're telling him, go away.
[01:19:57.418 --> 01:19:57.858]  Go away.
[01:19:59.239 --> 01:19:59.899]  You're hurting us.
[01:20:00.640 --> 01:20:01.440]  But he won't go away.
[01:20:02.280 --> 01:20:04.681]  So, you know, there's a lot of competition with these guys.
[01:20:04.701 --> 01:20:10.123]  They all want, like, it's a shark feeding frenzy to kill us and disease us and make money off us while they kill us.
[01:20:10.143 --> 01:20:15.870]   They have nothing but just Yeah, there he is with another now convicted pedo.
[01:20:17.792 --> 01:20:21.174]  So, TV viewers get to look at Bill Gates and all his little buddies.
[01:20:21.634 --> 01:20:26.477]  I mean, these are just pathetic, monstrous men who suck the energy out of children.
[01:20:26.957 --> 01:20:28.338]  They're vampires, psychic vampires.
[01:20:28.798 --> 01:20:30.879]  Okay, who's up next here?
[01:20:31.780 --> 01:20:34.642]  Let's go ahead and go to Nadia in North Carolina.
[01:20:35.222 --> 01:20:36.283]  Nadia, you're on the air, go ahead.
[01:20:37.176 --> 01:20:40.737]  Yes, the reason why I'm calling is about remdesivir.
[01:20:41.177 --> 01:20:42.458]  The people are afraid.
[01:20:42.858 --> 01:20:48.860]  They think it's so deadly to get this COVID because when they go into the hospital, they start giving them remdesivir.
[01:20:49.480 --> 01:20:50.801]  If they could, if they're on it.
[01:20:50.901 --> 01:20:54.062]  Remdesivir turns your kidneys and your lungs off and kills you.
[01:20:54.702 --> 01:21:02.491]  That's right and my sister was in the hospital and I kept calling and calling and they they were like very nasty to me but I just kept doing it.
[01:21:02.511 --> 01:21:08.537]  Oh that's part of the plan is to lock you out so they can carry out the operation the extermination.
[01:21:08.557 --> 01:21:18.608]   She's handicapped you know she couldn't really speak for herself and so I just said check my sister's kidneys get her off the remdesivir And I did that over and over again.
[01:21:18.668 --> 01:21:26.257]  In three days after she was removed, they took her off the remdesivir at Advent Health in Altamont Springs, Florida.
[01:21:26.638 --> 01:21:30.562]  And when they took her off of it, in three days she was out of ICU.
[01:21:31.103 --> 01:21:32.464]  And I'm hearing this all over.
[01:21:33.806 --> 01:21:38.829]  Oh yeah, and then they try to block Regeneron, that is basically a miracle drug.
[01:21:39.209 --> 01:21:39.569]  Absolutely.
[01:21:39.609 --> 01:21:42.631]  Block the real thing that works, give me the poison, and who said do that?
[01:21:42.971 --> 01:21:47.414]  The little hitman whose name means the Grim Reaper in Italian, Fauci.
[01:21:48.574 --> 01:21:55.058]  Yep, and I had COVID as early as August of 2019, and I just used natural remedies and I got rid of it.
[01:21:56.617 --> 01:21:58.517]  Absolutely, it was around years before that.
[01:21:58.557 --> 01:22:00.078]  They've been releasing these for a while.
[01:22:00.738 --> 01:22:14.720]  What do you make of, because nobody's responded to this, all the documents coming out that they indeed cooked it up, wanted to release it on the Chinese public, that it was COVID-19 specifically made by Fauci and Bill Gates.
[01:22:15.060 --> 01:22:16.841]  What do you make of that huge news coming out?
[01:22:17.081 --> 01:22:17.721]  Fourteen.
[01:22:17.981 --> 01:22:24.302]  I read something in 2014 in the NASA documents that they were planning on this to hit the elderly.
[01:22:25.359 --> 01:22:26.519]  To take out the elderly.
[01:22:26.679 --> 01:22:27.060]  That's right.
[01:22:27.080 --> 01:22:32.221]  They've been talking about getting rid of people for a long, long time, and there are saviors.
[01:22:32.281 --> 01:22:32.962]  I appreciate your call.
[01:22:33.002 --> 01:22:39.344]  The guy that released it on us, the guy that made it, he now tells us what we're allowed to hear and see on the internet and on TV.
[01:22:39.424 --> 01:22:40.284]  He's our boss.
[01:22:40.324 --> 01:22:41.905]  Of course, you're the big megabanks.
[01:22:41.925 --> 01:22:43.245]  You're about to carry out this extermination.
[01:22:43.745 --> 01:22:45.666]  The guy quarterbacking the op is the expert.
[01:22:45.726 --> 01:22:46.446]  He's the savior.
[01:22:47.506 --> 01:22:48.407]  Too evil to fail.
[01:22:49.517 --> 01:22:51.218]  The irony is just incredible.
[01:22:51.738 --> 01:22:56.060]  So I guess we'll all just slowly keep getting new variants and new shots and they'll remove our immune systems.
[01:22:56.080 --> 01:22:57.801]  We'll all die because we can't say no.
[01:22:58.422 --> 01:22:59.302]  We have to submit.
[01:22:59.362 --> 01:23:01.303]  We love to submit to little demonic men.
[01:23:01.823 --> 01:23:02.504]  We love it.
[01:23:02.544 --> 01:23:03.824]  We enjoy it so much.
[01:23:03.864 --> 01:23:05.205]  It's so liberal.
[01:23:05.565 --> 01:23:06.606]  Tim in Missouri.
[01:23:06.646 --> 01:23:07.326]  Thanks for calling.
[01:23:09.627 --> 01:23:10.147]  Hi, Alex.
[01:23:10.968 --> 01:23:11.268]  Welcome.
[01:23:13.621 --> 01:23:15.846]  I got a lot, so I want to say thank you to begin with.
[01:23:15.926 --> 01:23:20.095]  Second of all, I'm a truck driver, so I've been traveling Ohio, Texas since this thing started.
[01:23:22.236 --> 01:23:22.676]  Two things.
[01:23:22.716 --> 01:23:28.160]  Have you looked into the patents for the coronavirus, COVID-19 specifically?
[01:23:28.700 --> 01:23:29.320]  Yes, I have.
[01:23:29.861 --> 01:23:37.265]  Okay, so you know the World Health Organization holds all the patents on any research into the origins.
[01:23:37.486 --> 01:23:43.409]  They hold all the patents into any research on a cure, on vaccines, on anything.
[01:23:44.070 --> 01:23:46.571]  Yes, it's a giant UN World Government tax.
[01:23:46.651 --> 01:23:47.432]  It's the COVID tax.
[01:23:48.283 --> 01:23:50.424]  Okay, so China does the same thing.
[01:23:50.484 --> 01:23:59.288]  China has their own patents on the COVID-19 virus, and there was a video about 18 months ago, and I'm digging through my phone trying to find it.
[01:23:59.568 --> 01:24:05.711]  Yeah, for those who don't know, the CDC holds patents and makes money off of it, and then Fauci and Gates get part of the money.
[01:24:06.351 --> 01:24:07.592]  But there's no conflict of interest.
[01:24:07.612 --> 01:24:12.736]  We have CEO Moderna says even young will need to take vaccine booster shots indefinitely.
[01:24:13.016 --> 01:24:13.797]  So now it's official.
[01:24:14.097 --> 01:24:15.017]  It doesn't protect you.
[01:24:15.258 --> 01:24:19.481]  It erases your immune system, hurts you, and is indefinite from the companies that make money.
[01:24:19.841 --> 01:24:20.982]  Total conflict of interest.
[01:24:22.003 --> 01:24:22.183]  Right.
[01:24:22.763 --> 01:24:28.327]  So Fauci, Gates, and what's his name?
[01:24:28.748 --> 01:24:29.608]  The Philip guy.
[01:24:30.089 --> 01:24:31.890]  Barricks or Daschuk.
[01:24:32.717 --> 01:24:34.398]  Their names are all over those patents.
[01:24:34.418 --> 01:24:34.938]  Of course they are!
[01:24:34.958 --> 01:24:48.303]  And here's the thing, the video that was out that I can't find, it was a UK patent scientist and another female scientist that was on there talking about the injection that they were going to put out.
[01:24:48.723 --> 01:25:00.487]  So this guy said, okay, if it's a naturally occurring virus, it's illegal in the patent office to hold a patent on it if it's natural, because you can't patent something natural.
[01:25:00.968 --> 01:25:08.220]   So if it's Engineered in a lab, it's considered a bioweapon, which is also illegal to patent.
[01:25:08.501 --> 01:25:12.744]  So either way, the patents are illegal on both sides, from the WHO and the CDC.
[01:25:12.824 --> 01:25:18.369]  Absolutely, but the FBI at the top and the federal judges are coddled, snot-nosed rats.
[01:25:19.110 --> 01:25:26.356]  And so they would literally, the average FBI agent at the top would put gasoline on their daughter and light them on fire, I'm told, too.
[01:25:27.017 --> 01:25:28.338]  Just like these Australian police.
[01:25:28.739 --> 01:25:38.908]  And so the shield's gone, we kill our babies, we kill our old people, and we're just, I mean, if we don't have a total repent to God and stop this, it's all over.
[01:25:38.928 --> 01:25:51.699]  I just want to ask everybody in the government, I'm not their enemies, I don't want to have some war with our hijacked government, but you guys are run by the most psychotic killers on earth, and they have a green light, a free hand, to just do all this to us.
[01:25:51.739 --> 01:25:52.640]  So, I mean, okay!
[01:25:53.260 --> 01:25:58.263]  I guess we just are all so afraid of saying no and having to push back that we're all going to die instead.
[01:25:58.283 --> 01:26:01.865]  What's crazy is you lose everything by not standing up.
[01:26:01.905 --> 01:26:04.987]  They should be scared of not standing up, but they just can't do it.
[01:26:05.127 --> 01:26:05.948]  It's a spiritual thing.
[01:26:07.009 --> 01:26:11.692]  I've been screaming from the rooftop since the first day they started this two-week lockdown.
[01:26:11.792 --> 01:26:16.915]  My wife couldn't understand why I was so upset and I was like, they're going to try and exterminate us.
[01:26:18.501 --> 01:26:19.702]  You know, I told people that.
[01:26:19.842 --> 01:26:20.622]  I told everybody.
[01:26:20.642 --> 01:26:23.364]  Some of my family are smart and they're like, oh, come on, it's not going to be.
[01:26:23.424 --> 01:26:24.025]  I'm like, it's over.
[01:26:24.305 --> 01:26:25.045]  This is the takeover.
[01:26:25.105 --> 01:26:25.726]  Here's the documents.
[01:26:26.066 --> 01:26:26.446]  Exactly.
[01:26:26.506 --> 01:26:27.187]  I appreciate your call.
[01:26:27.587 --> 01:26:29.188]  And again, it's that people are good.
[01:26:29.228 --> 01:26:30.649]  Your family are nice people, I'm sure.
[01:26:30.669 --> 01:26:32.831]  And they just they're like, why would you want to do this?
[01:26:32.851 --> 01:26:34.172]  Well, because you're not a psychotic killer.
[01:26:34.192 --> 01:26:34.612]  That's why.
[01:26:35.673 --> 01:26:36.674]  And so they better wake up.
[01:26:37.514 --> 01:26:39.075]  The next round is going to kill so many people.
[01:26:39.095 --> 01:26:40.256]  They're going to blame the unvaccinated.
[01:26:40.276 --> 01:26:40.897]  It's going to be hellish.
[01:26:41.917 --> 01:26:46.701]  I personally am boosting my immune system and everything I can drinking more water, getting more sunlight, eating healthier foods.
[01:26:47.731 --> 01:26:55.380]  And taking X2 Deep Earth Crystal Iodine, it's one of the biggest missing links, one of the biggest elements that you've got to have that's essential that people are deficient in.
[01:26:55.641 --> 01:27:01.728]  We have the best you're going to find anywhere, X2 Deep Earth Crystal Iodine, discounted at InfoWareStore.com, and we have...
[01:27:02.779 --> 01:27:05.520]  Wintersun, highest quality vitamin D3, 50% off.
[01:27:05.940 --> 01:27:07.361]  And Ultra 12, highest quality B12.
[01:27:07.421 --> 01:27:08.741]  I'll take it under the tongue.
[01:27:09.222 --> 01:27:10.342]  It's 50% off.
[01:27:10.442 --> 01:27:14.204]  Infowarestore.com, and that funds this operation.
[01:27:14.244 --> 01:27:15.664]  And on Sunday, these sales end.
[01:27:16.104 --> 01:27:18.405]  Also, t-shirts and apparel at cost.
[01:27:18.866 --> 01:27:19.226]  All of it.
[01:27:20.006 --> 01:27:28.290]  Ball caps, sweaters, short sleeves, women's specialty clothing, gold foil, bow on lobby, women's shirt, I think it's the best looking shirt out there.
[01:27:28.690 --> 01:27:30.511]  Infowarrestore.com, all at cost.
[01:27:31.151 --> 01:27:34.693]  We'll be right back with more of your calls and a special guest as well.
[01:27:35.073 --> 01:27:36.654]  Hour number three, straight ahead.
[01:27:38.126 --> 01:27:42.609]  All right, we got a special guest joining us, and then... Go ahead and just cut that audio, thank you.
[01:27:43.109 --> 01:27:46.391]  Yeah, whenever I... I'm just gonna give a cue to the guys in there, because they do a great job.
[01:27:46.411 --> 01:27:49.093]  Whenever I come in hot, you know, we're gonna get rid of the bumper music.
[01:27:49.133 --> 01:27:53.836]  I made that decision to just have kind of intros like that, because we don't need it.
[01:27:55.897 --> 01:27:59.339]  And so if I jump the gun and start talking over the music, just kill it.
[01:28:00.460 --> 01:28:01.381]  If there's a liner coming up.
[01:28:03.442 --> 01:28:05.824]  You know, I'm already pretty mad right now.
[01:28:06.772 --> 01:28:15.237]  I'm gonna need to take a break for a second because I'm not gonna sit here and just watch these people murder us anymore.
[01:28:15.277 --> 01:28:17.138]  Can we put an article up from InfoWars.com?
[01:28:18.839 --> 01:28:20.660]  It's a top story on InfoWars.com.
[01:28:20.780 --> 01:28:28.044]  It's about Mark Zuckerberg and Facebook and it says right there something really important.
[01:28:28.064 --> 01:28:29.285]  I'll just show it off on the phone.
[01:28:29.305 --> 01:28:33.794]   Facebook blocks Aussie orange vest From live streaming protests.
[01:28:33.834 --> 01:28:36.375]  I mean, you see, that's the final martial law.
[01:28:36.475 --> 01:28:46.838]  Not let you communicate, not let the Tiananmen Square events that are happening, where they've killed people in Australia, beating them, running them over with cars, attacking them, splitting their heads open.
[01:28:47.558 --> 01:28:52.079]  And then big tech doesn't just block Senator Rand Paul when he talks about national immunity being better, which is a fact.
[01:28:52.878 --> 01:28:59.121]  They now block the Tiananmen Square level stuff going on because now they're going to get outright violence for killing the Aussies.
[01:28:59.662 --> 01:29:00.122]  And you know what?
[01:29:00.162 --> 01:29:02.743]  When the Aussies kill them, they're going to say it's terrorism.
[01:29:02.763 --> 01:29:07.406]  They've already said it's terrorism to protest and they're going to treat you like terrorists.
[01:29:07.446 --> 01:29:08.446]  Well, you're the terrorist.
[01:29:09.567 --> 01:29:11.928]  And so here's what I'm going to do.
[01:29:12.248 --> 01:29:22.328]   We have a guest coming up and we're going to be talking to that guest about solutions and where
[01:29:22.328 --> 01:29:24.408]  all this is going.
[01:29:24.602 --> 01:29:28.765]  But then I may just cancel guests tomorrow and open the phones up to Australia.
[01:29:29.265 --> 01:29:30.505]  Because they don't want these people hurt.
[01:29:31.506 --> 01:29:34.728]  And we need to make it a big deal every clip you see to share however you can.
[01:29:34.748 --> 01:29:39.570]  Because already CNN said three years ago they want to censor what you email and what you text message.
[01:29:39.850 --> 01:29:40.611]  That's already started.
[01:29:40.951 --> 01:29:42.132]  They've had congressional hearings about it.
[01:29:43.345 --> 01:29:44.786]  The globalists are making their move.
[01:29:44.806 --> 01:29:48.870]  They don't want authoritarian control so they can have the biggest jet airplanes and the biggest houses.
[01:29:49.230 --> 01:29:51.712]  They're a eugenics-based cult that want to kill.
[01:29:53.173 --> 01:30:13.765]   And I can sit here all day and I can talk about this, but when I look at Zuckerberg or any of these people and just how damn evil they are, and then I think about our Congress that even lets themselves be censored by big tech, And it's just disgusting.
[01:30:15.086 --> 01:30:23.907]  And so I don't like Xi Jinping, but I do like him standing up to big tech, just because he realizes they're just as predatory as he is.
[01:30:23.967 --> 01:30:28.428]  And he has some sense of state control because you can say, oh, you're a libertarian.
[01:30:28.448 --> 01:30:40.491]  But what do you do when corporations are bigger than governments and have more power than that and have more members and are coming after your freedom and blacklisting you and attacking you and making alliances with all the other companies that you can't buy and sell and that you can't live?
[01:30:42.128 --> 01:30:43.589]  What are you going to do at that point?
[01:30:45.731 --> 01:30:46.812]  How are you going to operate?
[01:30:49.114 --> 01:30:50.075]  And the answer is you're not.
[01:30:50.095 --> 01:30:58.362]  You're either going to submit and let them slowly kill you or fight back and win and take the country back and take the world back.
[01:30:58.422 --> 01:31:01.224]  But, you know, that's just where we are, folks.
[01:31:02.645 --> 01:31:07.613]   And it's a very, very Hard road.
[01:31:08.674 --> 01:31:09.814]  But that's the way it is.
[01:31:09.834 --> 01:31:20.537]  You know, it's not fun that Hitler gets in power and launches a big war and kills a bunch of people, or Mao Zedong takes over and kills a hundred million, or, you know, or what the Soviets did to their own people and everybody else.
[01:31:20.597 --> 01:31:23.278]  I mean, it's not fun that humans act like this.
[01:31:23.338 --> 01:31:25.799]  And the Christian ethos tries to stop that.
[01:31:25.819 --> 01:31:29.280]  And that's why, where you have real Christianity going on, you have such freedom and prosperity.
[01:31:29.520 --> 01:31:30.981]  But we've turned our back on that.
[01:31:31.041 --> 01:31:35.602]  And we think, you know, the devilish stuff is cute and funny now, so we're in trouble.
[01:31:38.050 --> 01:31:39.631]  After our guest leaves us, we have time.
[01:31:39.671 --> 01:31:42.273]  I really want to take your phone calls and I'll try to take those calls from you.
[01:31:44.055 --> 01:32:02.228]  We've got a lot of other news here we're also going to be hitting, but you know that the average person is so dumbed down and so hypnotized and so conceited and so demoralized that they're going to join in on killing us, even as they're dying.
[01:32:03.649 --> 01:32:07.212]  Because the one thing they never do is admit to themselves they've been lied to or conned.
[01:32:08.223 --> 01:32:11.744]  There is an invincible ignorance about the proletariat.
[01:32:13.225 --> 01:32:15.766]  And I can't join the globalists in killing them and enslaving them.
[01:32:17.006 --> 01:32:21.848]  But at the same time, it's very sad for the proletariat.
[01:32:21.888 --> 01:32:23.188]  But they will all die.
[01:32:24.149 --> 01:32:25.169]  And so will most of us.
[01:32:25.569 --> 01:32:26.449]  I don't mean to be negative.
[01:32:26.469 --> 01:32:28.290]  I just want you to know you and your family are all dead.
[01:32:29.030 --> 01:32:30.291]  Fauci's going to kill you and your family.
[01:32:30.967 --> 01:32:50.139]  We are joined by Paul Wittenberg, a well-known, successful filmmaker who did a great job on this new documentary that drops just in a few weeks, which is, of course, Covered Land, The Lockdown, and Liberty Man, who will not go named, who helped finance the film for no profit of his own.
[01:32:50.199 --> 01:32:51.800]  In fact, he's even taken the expenses.
[01:32:52.240 --> 01:32:53.421]  He 100% financed it.
[01:32:53.982 --> 01:33:01.423]   And now Paul Wittenberg and others are getting Their money back for working on it for the last really year.
[01:33:02.084 --> 01:33:03.446]  And there's going to be five parts.
[01:33:03.566 --> 01:33:04.287]  Very well done.
[01:33:04.307 --> 01:33:06.330]  Interviewed everybody under the sun.
[01:33:06.451 --> 01:33:07.452]  Really, really amazing.
[01:33:08.433 --> 01:33:12.920]  And I want to play today for viewers in this hour.
[01:33:14.198 --> 01:33:17.759]  A lot of great clips from the film, a lot of stuff that hasn't been seen yet.
[01:33:18.519 --> 01:33:19.699]  And yeah, there it is on screen.
[01:33:19.719 --> 01:33:22.320]  You get a copy of COVID Land Part 1 for $19.95.
[01:33:22.760 --> 01:33:23.800]  You're authorized to make copies.
[01:33:23.840 --> 01:33:35.423]  We hope you do with a free copy of Endgame Blueprint for Global Enslavement because it's the backstory on how they were planning it, their admissions, how they'd use a virus scare to set up world government in a cashless society control grid that I made 14 years ago.
[01:33:35.843 --> 01:33:36.383]  It's evergreen.
[01:33:36.423 --> 01:33:38.604]  We sell more Endgame today than we sold when I released it.
[01:33:39.623 --> 01:33:43.743]   but I'm giving you a copy with COVIDLAND part one 'cause I want you to have it.
[01:33:43.743 --> 01:33:46.224]  Everybody that pre-orders gets a free copy of "Endgame."
[01:33:46.224 --> 01:33:48.103]  There will not be a free copy of "Endgame"
[01:33:48.103 --> 01:33:51.344]  when the pre-orders end in two weeks.
[01:33:51.344 --> 01:33:55.023]  Then it starts shipping, but there you go.
[01:33:55.023 --> 01:33:59.384]   So we're gonna be going over this and we got Robert Kennedy Jr. clips.
[01:33:59.384 --> 01:34:04.143]   We've got Andrew Wakefield, Sherry Tinpenny, Dr. Lee Merritt, Adele Bigtree,
[01:34:04.143 --> 01:34:05.302]  and so many others.
[01:34:05.302 --> 01:34:09.583]  We'll let the director introduce these as we go.
[01:34:09.571 --> 01:34:10.912]  And again, we also have Liberty Man here.
[01:34:11.253 --> 01:34:15.936]  Great job on part one, and I know that we're getting ready to finish up part two.
[01:34:15.956 --> 01:34:19.559]  These are going to come out every few months after each other, and it's really key.
[01:34:19.619 --> 01:34:20.659]  These films are powerful.
[01:34:20.699 --> 01:34:26.644]  They're very good to watch, but also they're designed, I like the fact, to educate people that have been in a trance.
[01:34:26.684 --> 01:34:32.027]  So congratulations on the great work that you've done here, Paul Wittenberg and Liberty Man.
[01:34:32.628 --> 01:34:36.430]   So which one of you guys wants to Give us your take on the film and the world first.
[01:34:38.170 --> 01:34:40.911]  Well, I appreciate you having us on the show, Alex.
[01:34:41.831 --> 01:34:47.673]  This film is the most important film that we've ever made at Framing the World.
[01:34:47.873 --> 01:35:00.897]  And, you know, I really appreciate you partnering with us to make this film because, you know, with all the censorship, there's no better outlet than InfoWars to get this out there to the masses.
[01:35:00.997 --> 01:35:05.754]   And so we really appreciate You helping us spread this important message.
[01:35:06.375 --> 01:35:08.897]  Well, I mean, we're all in this globalist trap together.
[01:35:08.977 --> 01:35:09.778]  So thank you.
[01:35:10.859 --> 01:35:12.320]  Let's talk about the impetus of the film.
[01:35:12.680 --> 01:35:18.305]  I mean, I'd like to get both your takes first on Wow, about what's unfolding.
[01:35:18.325 --> 01:35:19.345]  This is a work in progress.
[01:35:19.365 --> 01:35:21.027]  You guys were just finishing this a few weeks ago.
[01:35:21.487 --> 01:35:24.289]  You know, and then as you progress to the five parts, it's in real time.
[01:35:25.891 --> 01:35:28.753]  How have things changed since you guys started this this project?
[01:35:29.334 --> 01:35:30.775]  And then now where we are here today?
[01:35:34.380 --> 01:35:38.964]  Well, this project has just been changing the whole time.
[01:35:39.405 --> 01:35:48.614]  As you know, new information has been coming out this whole time, so it's hard to keep up with everything and get it out there.
[01:35:48.694 --> 01:35:50.916]  But honestly, I think we've done a great job.
[01:35:50.956 --> 01:35:54.720]  We have a crew of four people that have been working full-time.
[01:35:55.487 --> 01:35:55.867]  Absolutely.
[01:35:55.907 --> 01:35:57.288]  This film is a weapon against tyrants.
[01:35:57.148 --> 01:36:02.307]   get all the best clips out there and really make it impactful, powerful,
[01:36:02.307 --> 01:36:06.268]   and just straight to the point and just wake up the everyday person.
[01:36:06.268 --> 01:36:10.387]  Absolutely, this film is a weapon against tyrants.
[01:36:10.387 --> 01:36:15.846]   Liberty Man, what is it like to be in the middle of this, experiencing all of this together
[01:36:15.846 --> 01:36:18.427]  and to be on the tip of the spear fighting this?
[01:36:18.427 --> 01:36:24.448]  Well, you really feel like you're living your life.
[01:36:25.667 --> 01:36:29.807]   You step outside of the plastic culture and you get on the battlefield
[01:36:29.807 --> 01:36:31.307]  and it's a really good feeling.
[01:36:32.314 --> 01:36:33.154]  It's exhilarating.
[01:36:34.194 --> 01:36:38.935]  And you just nailed it when you said the name InfoWars.
[01:36:38.955 --> 01:36:40.115]  There's a war on for your mind.
[01:36:41.556 --> 01:36:42.616]  It's truly what we're facing.
[01:36:42.656 --> 01:36:50.218]  I'm part of some legal groups where people are trying to take action and file injunctions and lawsuits and things like this.
[01:36:51.038 --> 01:36:52.518]  And they're bulletproof to it right now.
[01:36:53.138 --> 01:36:55.179]  It's a giant con game.
[01:36:55.765 --> 01:36:59.947]  And they're, they're keeping us on our heels just by, you know, flooding the zone.
[01:37:00.948 --> 01:37:17.738]  And so when you really get down into it, you know, for us to have any sort of resistance, you know, when you read that book, Total Resistance, they talk about how any effective guerrilla warfare, you've got to have a decent support of the local population to wage guerrilla warfare.
[01:37:18.550 --> 01:37:20.411]  But, well, how do you get that support?
[01:37:20.431 --> 01:37:21.551]  Well, that's Information War.
[01:37:21.651 --> 01:37:22.952]  It's winning over hearts and minds.
[01:37:23.072 --> 01:37:31.216]  So, I felt that myself, personally, 10, 11 years ago, it was your documentary films that really woke me up.
[01:37:31.956 --> 01:37:35.658]  And documentaries are pretty powerful.
[01:37:36.318 --> 01:37:43.281]  And, you know, you haven't made one in a while, so it was really great to partner with you and to get this, you know, as an InfoWars original series.
[01:37:43.361 --> 01:37:49.919]   And I think, Alex, it's going to It's going to really help us build the numbers of people that understand what's going on.
[01:37:50.979 --> 01:38:05.365]  One thing I want to say is, as we've made this, it was startling when Paul and I would be talking about, you know, some clip that we saw last summer when the lockdowns first launched, you know, and you go to find it and it's all so much of it's now scrubbed.
[01:38:05.845 --> 01:38:11.387]  So the memory holing of information is very, very aggressive now.
[01:38:12.438 --> 01:38:18.761]  And it hit us that, you know, we need to put this true history, the true narrative of what's going on, it has to be captured.
[01:38:19.742 --> 01:38:24.104]  Because in five, 10 years, people are going to be going, well, how did this all happen?
[01:38:24.144 --> 01:38:25.025]  How did we get here?
[01:38:25.685 --> 01:38:37.071]  You know, why did you know what were people told at that period of time that the proper context of it, we know that the history books, the school textbooks are going to give their narrative, we had to capture the correct narrative.
[01:38:38.291 --> 01:38:41.153]  And so that was also a big motivation and putting this piece together.
[01:38:42.475 --> 01:38:45.916]  Wow, you guys are better spoken than I am.
[01:38:45.956 --> 01:38:59.561]  I love our conversations together and also making the film and you're absolutely dead on that they now, not just memory hole and live time with the Google searches and others, but now even on YouTube and everywhere else, they just disappeared things where you can't ever find it.
[01:38:59.581 --> 01:39:01.822]  So you can't see their lies day to day.
[01:39:01.842 --> 01:39:12.848]   And that's literally 1984 where they would go back and reedit the newspapers and then destroy the old newspapers show that The only place truth existed was in people's memories, and now they're actually doing it.
[01:39:13.068 --> 01:39:24.097]  And so that's why this five-part series for police departments and churches and universities and everywhere is going to be so critical because it's going to have the compendium of how this takeover took place and who these criminals are.
[01:39:24.137 --> 01:39:34.345]  I mean, I can't wait to see the later parts where, what do you guys make of it all coming out that they did make the virus at the lab, they approached the Pentagon about releasing it in China, and then that's just a minor footnote.
[01:39:34.365 --> 01:39:35.366]  I mean, that is wild.
[01:39:40.191 --> 01:39:40.571]  It is.
[01:39:41.612 --> 01:39:52.839]  I think, you know, when we look at the five-part series that we're building out here, when Paul was initially working on this project, the title was The Great Reset.
[01:39:53.620 --> 01:40:02.406]  And when we looked at the outline, all the content, the topics we needed to address, it became very clear that it was going to be a three-hour documentary.
[01:40:02.426 --> 01:40:08.250]  And then as we talked, there was just more and more things that had to be, you know, brought in into the scope.
[01:40:08.470 --> 01:40:09.991]  And so that's how it became a five-part.
[01:40:10.823 --> 01:40:24.784]   Um, in the whole strategy, what we want to do is really an episode one through three is provide Um, people, something that's geared toward for normies, really, uh, that they can look at and go, yeah, I remember seeing that.
[01:40:24.824 --> 01:40:25.485]  Yeah, that's right.
[01:40:25.525 --> 01:40:25.985]  That's right.
[01:40:26.365 --> 01:40:31.929]  Nothing's too startling, but it's, we've connected the dots for people so they can, they can see it properly.
[01:40:31.949 --> 01:40:39.873]  Um, so we don't really go too deep down the rabbit hole in these first three episodes, but number four is all about the propaganda.
[01:40:39.913 --> 01:40:43.316]  And we felt that that was really important to show people how the media works.
[01:40:43.516 --> 01:40:52.473]   And in particular, the behavior sciences that's behind this, the The Freudian, the Pavlovian, you know, psychology that's gone on.
[01:40:52.493 --> 01:40:57.275]  You know, it's not an accident that they're constantly contradicting themselves and that they're changing the narrative.
[01:40:57.295 --> 01:40:58.015]  They're flip-flopping.
[01:40:58.075 --> 01:41:08.039]  It's not an accident that they, you know, this ratcheting effect where they clamp down and then they ease off a little bit and then they, you know, drop the hammer again and then ease it off.
[01:41:08.079 --> 01:41:09.180]  That's all conditioning.
[01:41:09.740 --> 01:41:24.203]   But episode five, Alex, is where we go real deep down the rabbit hole and When I say real deep down the rabbit hole, it's to get into the true origins of this crisis and the real agenda that they're driving towards.
[01:41:24.503 --> 01:41:27.444]  We believe it's more than just a depopulation event.
[01:41:27.965 --> 01:41:37.030]  We believe that there's something a little bit more sinister at play that ties into the whole, you know, smart grid, if you will, the sustainable development agenda.
[01:41:37.310 --> 01:41:38.550]  Oh, I totally agree with you.
[01:41:38.610 --> 01:41:39.671]  I totally agree with you.
[01:41:40.191 --> 01:41:41.692]  They want to make us merge with machines.
[01:41:41.732 --> 01:41:42.973]  This is very alien.
[01:41:43.593 --> 01:41:47.476]  I mean, I talk to people at the Pentagon that are high-level, and they go, no, this looks like an alien takeover.
[01:41:47.936 --> 01:41:49.418]  I mean, they don't know what's running.
[01:41:49.738 --> 01:41:52.420]  These people want to end humanity, but make something new.
[01:41:52.960 --> 01:41:56.303]  So I haven't seen what you guys are doing on Part 5 yet.
[01:41:56.323 --> 01:41:57.384]  I can't wait to be involved in it.
