[00:00:00.229 --> 00:00:01.850]  The world is rejecting the globalists.
[01:24:18.249 --> 01:24:23.713]  But oh, if they say something about the vaccines that Twitter doesn't like, then they get banned.
[01:24:24.493 --> 01:24:24.894]  Isn't that fun?
[01:24:28.157 --> 01:24:34.181]  And then the La Jolla Police Department, apparently months behind InfoWars, they don't even know what's going on in their own city.
[01:24:34.201 --> 01:24:37.824]  That should shock you, if you're in La Jolla, that your police are that inept.
[01:24:38.304 --> 01:24:39.765]  But that's just the truth.
[01:24:40.185 --> 01:24:47.711]  La Jolla Police say Hotel is housing migrants with COVID-19 that have been released by Border Patrol, and they say they had no idea it was going on.
[01:24:49.116 --> 01:24:58.806]  Uh, how can the La Jolla police have no idea this is going on when InfoWars broke this news months ago and I was on the ground in the southern border in the Rio Grande Valley?
[01:24:58.826 --> 01:25:04.873]  I mean, how many hotels did we go to that were filled up with COVID positive people that were released by?
[01:25:06.052 --> 01:25:06.572]  Border Patrol?
[01:25:06.592 --> 01:25:06.572]  5, 6, 7, 8?
[01:25:07.813 --> 01:25:09.414]  I mean, we lost count.
[01:25:09.454 --> 01:25:10.095]  There were so many.
[01:25:10.135 --> 01:25:18.880]  We were following the buses all around town, filling up hotels, entire hotels, with COVID-19 positive illegal immigrants that had been released.
[01:25:19.300 --> 01:25:29.026]  And remember, we would go to these hotels, and the hotel owner would come out and threaten me, and get in my face and threaten me, and then called the police on me!
[01:25:29.346 --> 01:25:30.027]  Think about that!
[01:25:31.496 --> 01:25:33.057]  That's how big of a joke this is!
[01:25:33.797 --> 01:25:45.203]  I went to these hotels, I covered that these were all COVID positive patients in the hotels released by Border Patrol, and the owners of the hotels called the police on me!
[01:25:45.223 --> 01:25:48.345]  And they still didn't know what was going on!
[01:25:48.545 --> 01:25:49.726]  Did they not believe me?
[01:25:50.626 --> 01:25:52.107]  Did they think I was making it up?
[01:25:52.187 --> 01:25:56.449]  I mean, literally, the cops would come and I'd say, officer, these are all illegal immigrants.
[01:25:56.809 --> 01:26:00.570]  They've all tested positive for COVID and they've all been released by Border Patrol.
[01:26:00.810 --> 01:26:02.211]  What are you doing here looking at me?
[01:26:03.411 --> 01:26:08.294]  So even though InfoWars told the police this was going on, they still didn't believe us.
[01:26:08.594 --> 01:26:11.395]  But now I guess they believe it since they've seen it for themselves.
[01:26:12.904 --> 01:26:28.635]  From Tunisia, to Italy, to Greece, to Thailand, and all parts beyond, humanity is pushing back against the botched overreach agenda, targeting our fundamental individual rights, threatened by the COVID hypocrisy.
[01:26:32.178 --> 01:26:36.481]  The police are standing down and joining protesters in some protests.
[01:26:37.201 --> 01:26:37.702]  Merci!
[01:26:39.121 --> 01:26:39.921]  Thank you!
[01:26:40.462 --> 01:26:44.084]  While delivering the brutal totalitarian bidding in others.
[01:26:44.364 --> 01:26:50.627]  Meanwhile, the leaders of the crackdown on human freedom reveal their own incompetence and detachment.
[01:26:50.647 --> 01:27:02.253]  That's why the Cabinet decided today, that starting August 8th, Sarvan Hisun will not be able to enter the Colonnade, the Theater, the Knesset, the Luna Park,
[01:27:02.953 --> 01:27:13.617]  Back in the United States, the message from the Biden administration has driven those expressing their First Amendment to be beaten in the street by the zombies of Marxism.
[01:27:32.503 --> 01:27:40.129]  So as a child survivor of the Nazi reign of terror, I learned indelible lessons about the nature of evil.
[01:27:41.530 --> 01:27:47.535]  I know the consequences of being stigmatized and demonized as a spreader of disease.
[01:27:48.216 --> 01:27:59.865]  We were required, as Germans know, to wear a yellow Star of David to identify us, to segregate Jews,
[01:28:01.306 --> 01:28:07.452]  Exclusionary laws barred the family from normal life, from attending ordinary activities.
[01:28:09.534 --> 01:28:11.556]  Our property was impounded.
[01:28:12.357 --> 01:28:18.202]  We were forbidden to participate in all educational, religious, cultural gatherings.
[01:28:19.223 --> 01:28:22.887]  Travel was forbidden for Jews, so there was no escape.
[01:28:23.367 --> 01:28:24.788]  These painful memories
[01:28:25.814 --> 01:28:33.498]  from my childhood sensitized me to the threat posed by current restrictive government dictates.
[01:28:34.119 --> 01:28:38.981]  Under the Nazi regime, moral norms were systematically obliterated.
[01:28:40.082 --> 01:28:43.924]  The medical profession and institutions were radically transformed.
[01:28:44.404 --> 01:28:50.708]  Academic science, the military, industry and clinical medicine were tightly interwoven.
[01:28:53.719 --> 01:28:59.422]  Consider the question of what would be ideal from the perspective of the pharmaceutical industry at the moment?
[01:29:00.062 --> 01:29:11.227]  It would be ideal if vaccines were recommended for all people irrespective of their age, irrespective of whether they had already had COVID-19, and irrespective of whether or not they were pregnant.
[01:29:11.527 --> 01:29:13.287]  I've been through outbreak after outbreak.
[01:29:13.308 --> 01:29:14.828]  I've never seen anything like this integration
[01:29:29.471 --> 01:29:31.793]  Harmonization and enforcement.
[01:29:31.853 --> 01:29:34.796]  I mean, it is overtly authoritarian.
[01:29:35.377 --> 01:29:47.789]  And it's coming down from above, and it's coordinated, and it has developed, they've developed a bunch of different vehicles to reinforce this dominant narrative and make it so that
[01:29:48.449 --> 01:29:59.533]  No other information is available to people so that people behave the way that the Health and Human Services and World Health Organization want them to behave.
[01:30:00.133 --> 01:30:01.674]  This is behavior control.
[01:30:02.714 --> 01:30:04.995]  It's really psyops is what's happening.
[01:30:05.035 --> 01:30:13.258]  It's applied psychological operations to control people and their behavior so that they will accept these products which are still experimental
[01:30:14.451 --> 01:30:26.156]  Based on technology that has never been deployed at this level, and as the data are coming out, it's becoming more and more clear that these products are not completely safe.
[01:30:26.797 --> 01:30:32.699]  Before you got sick, if you would have had a chance to get the vaccine and prevent this, would you have taken the vaccine?
[01:30:32.719 --> 01:30:34.780]  So you would have gone through this?
[01:30:34.900 --> 01:30:36.001]  I'd have gone through this, yes sir.
[01:30:36.521 --> 01:30:37.721]  Don't shove it down my throat.
[01:30:38.582 --> 01:30:40.863]  That's what's local,
[01:30:42.328 --> 01:30:46.772]  State, federal administration is trying to do is shove it down your throat.
[01:30:46.912 --> 01:30:47.633]  What are they shoving?
[01:30:47.653 --> 01:30:48.153]  The science?
[01:30:48.814 --> 01:30:50.996]  No, they're shoving the fact that that's their agenda.
[01:30:51.236 --> 01:30:52.517]  John Bowne reporting.
[01:30:52.537 --> 01:30:58.222]  All right, we're now into our number three of the Alex Jones Show today.
[01:30:58.242 --> 01:31:06.810]  We're gonna have a special report coming up from Alex Jones here at the bottom of the hour.
[01:31:08.240 --> 01:31:16.405]  Let me just pivot onto this, because I've got more vaccine news, but I think we get the point on that for the most part.
[01:31:17.826 --> 01:31:20.128]  Well, and now I'm looking at this stack over here.
[01:31:20.708 --> 01:31:22.709]  Still some pretty big stuff there.
[01:31:24.250 --> 01:31:34.176]  But let me just turn my attention over to this stack of news, which is the other big story for today, and that's the big Democrat show hearing that went on yesterday.
[01:31:34.196 --> 01:31:36.278]  And ask yourself this.
[01:31:38.044 --> 01:31:39.665]  Ask yourself this.
[01:31:40.305 --> 01:31:53.489]  Why did they find it necessary to do the January 6th show hearing yesterday, even though they've already arrested 550 people, thrown them into the Democrat gulags, and are torturing them right now?
[01:31:53.569 --> 01:31:56.330]  Yes, the Democrats have political prisoners that they're torturing right now.
[01:31:57.131 --> 01:32:02.813]  That's your loving, tolerant, anti-police state Democrat party that has political prisoners being tortured in jail right now.
[01:32:04.013 --> 01:32:04.553]  But why?
[01:32:04.573 --> 01:32:04.633]  Why?
[01:32:07.288 --> 01:32:11.994]  Would they be doing this?
[01:32:14.256 --> 01:32:21.085]  And I have the answer now, and I thought I had this video clip, but perhaps I don't.
[01:32:21.685 --> 01:32:23.527]  That's okay, because I know what was said anyway.
[01:32:25.854 --> 01:32:45.223]  So the anti-Trump Black Lives Matter Democrat activist police officer, who also has major Democrat attorneys representing them, who has also been pictured with Nancy Pelosi, who wears all the Democrat propaganda, who tweeted in support of the riots in the summer of 2020, Officer Dunn.
[01:32:46.684 --> 01:32:55.368]  You don't have a more phony, lying dirtbag in the DC police as Officer
[01:32:57.489 --> 01:32:58.470]  Harry Dunn.
[01:32:59.751 --> 01:33:00.632]  He is the worst.
[01:33:01.293 --> 01:33:06.999]  That's why the Democrats selected him to be the voice box of the big lie from January 6th.
[01:33:07.279 --> 01:33:13.605]  And he says he gets called the N-word but doesn't produce the body cam video evidence, audio evidence, because he made that up too.
[01:33:14.566 --> 01:33:17.229]  It's the Jussie Smollett of the DC police force.
[01:33:19.352 --> 01:33:23.653]  And it's so pathetic that they don't even hide who he is.
[01:33:23.713 --> 01:33:28.014]  You can still go see all of his anti-cop tweets.
[01:33:28.434 --> 01:33:31.515]  You can go see all of his Democrat Party tweets.
[01:33:31.935 --> 01:33:34.496]  You can see that his lawyer's a top Democrat lawyer.
[01:33:34.776 --> 01:33:36.936]  You can see him hanging out with Nancy Pelosi.
[01:33:37.156 --> 01:33:38.077]  They don't even hide it.
[01:33:38.297 --> 01:33:39.677]  And I've got the receipts right here.
[01:33:41.217 --> 01:33:42.378]  And I'll get to that in a second.
[01:33:43.378 --> 01:33:47.239]  But he was the one that made the analogy
[01:33:49.042 --> 01:34:04.630]  And he said, if somebody hires a hitman, if somebody hires a hitman to commit murder, not only is the murderer the one that made the hit arrested and charged, but so is the one that hired the hitman.
[01:34:05.531 --> 01:34:06.791]  And of course, what is he saying?
[01:34:06.851 --> 01:34:11.834]  He says that the January 6th protesters were sent there by a hitman, and that hitman is Donald Trump.
[01:34:13.295 --> 01:34:14.675]  That's what this is really all about now.
[01:34:16.849 --> 01:34:19.610]  This isn't even about January 6th, this hearing.
[01:34:20.631 --> 01:34:22.391]  They already have all their political prisoners.
[01:34:22.431 --> 01:34:24.912]  They already have hundreds of more that they plan on arresting.
[01:34:24.992 --> 01:34:32.455]  They'll have thousands of people rotting in jail cells, being tortured by Democrats before this is all said and done.
[01:34:32.475 --> 01:34:33.155]  That's their plan.
[01:34:33.195 --> 01:34:36.737]  The Democrat Party's gone full Nazi, rounding up the Jews.
[01:34:37.117 --> 01:34:38.738]  Except in this case, it's Trump supporters.
[01:34:39.198 --> 01:34:41.319]  And they all fake cry up there too.
[01:34:41.379 --> 01:34:42.039]  It's all fake.
[01:34:42.079 --> 01:34:42.679]  It's all theater.
[01:34:46.175 --> 01:34:50.717]  The only reason they had those hearings yesterday is because they're trying to bring it back to Donald Trump.
[01:34:52.538 --> 01:34:54.779]  And they want to charge Donald Trump with murder for it.
[01:34:55.540 --> 01:34:58.001]  That's why they lied about Officer Sicknick yesterday.
[01:34:58.681 --> 01:35:04.064]  That's why they continue to tell the big lie that Trump supporters murdered somebody that day when that's not what happened.
[01:35:05.365 --> 01:35:10.007]  And by the way, remember how they lied and said it was armed and there were people with guns?
[01:35:10.127 --> 01:35:10.767]  That was a lie.
[01:35:10.967 --> 01:35:11.748]  They lied about that.
[01:35:13.444 --> 01:35:18.434]  So they really just want to, they want this to end up with charges on Donald Trump.
[01:35:18.594 --> 01:35:19.917]  That's what this is really all about.
[01:35:19.957 --> 01:35:21.860]  They're afraid that Donald Trump may run again.
[01:35:23.541 --> 01:35:35.572]  They're afraid that they can't bring him in in the Southern District of New York or with the corrupt New York Attorney General or all these corrupt DA's and PA's that they have in New York paid for with Soros.
[01:35:36.773 --> 01:35:41.877]  And so they're afraid they're not going to be able to arrest Trump and end Trump with their corrupt law enforcement in New York.
[01:35:42.418 --> 01:35:45.300]  So now they're going with the DC January 6th angle.
[01:35:46.499 --> 01:35:55.591]  Bringing back all their big lies, and they hope that this eventually will be blamed on Trump, and that that means they can arrest Trump for the whole thing, inciting an insurrection.
[01:35:56.032 --> 01:35:57.213]  That's what they really want.
[01:35:57.374 --> 01:35:58.014]  If not murder.
[01:35:59.476 --> 01:36:01.018]  That's what this is really all about.
[01:36:01.997 --> 01:36:06.858]  They've already got all their arrests and thousands of more political arrests planned in the future.
[01:36:07.878 --> 01:36:12.519]  They've already got the full force and power of law enforcement to go after all their political enemies.
[01:36:13.620 --> 01:36:20.941]  They've already gone full oppressive, full authoritarian, full tyrannical regime as far as the Democrat Party is concerned against Trump supporters.
[01:36:21.302 --> 01:36:22.942]  But now they want Trump.
[01:36:24.437 --> 01:36:25.618]  And that's what this is all about.
[01:36:26.158 --> 01:36:41.026]  And that's why all the police officers that you saw up there, who are a shame to the badge, who are a shame to the uniform, these police officers are an embarrassment to the uniform, to the badge, and to the United States of America.
[01:36:41.466 --> 01:36:47.950]  But they're Democrat Party operatives, they hate Donald Trump, they hate America, so they're down with the program.
[01:36:49.403 --> 01:36:50.784]  So that's what this is all about.
[01:36:50.904 --> 01:37:00.809]  Their hatred for Donald Trump, their hatred for America, and they think that this is going to be their big come up moment to finally arrest Donald Trump.
[01:37:01.749 --> 01:37:04.050]  That's what this is all about.
[01:37:04.871 --> 01:37:09.513]  And so, but let's go to the receipts now.
[01:37:11.214 --> 01:37:13.335]  Let's go to the receipts now.
[01:37:14.135 --> 01:37:19.018]  And of course, I'll show you how, I mean, it's not, it's unintentional irony.
[01:37:20.615 --> 01:37:22.497]  Are the cops good or are the cops bad?
[01:37:22.577 --> 01:37:28.623]  Because for 364 days of the year, according to the Democrat Party and the left, the cops are bad.
[01:37:29.624 --> 01:37:36.151]  But yesterday the cops were good because they had their right corrupt cops saying the things they wanted to say on national TV.
[01:37:36.411 --> 01:37:38.073]  So for one day the cops were good.
[01:37:39.349 --> 01:37:41.850]  Or I guess the cops were maybe good on January 6th, too?
[01:37:42.110 --> 01:37:42.371]  Maybe?
[01:37:42.511 --> 01:37:43.551]  I don't know.
[01:37:43.591 --> 01:37:47.493]  The cops are only good when they're working for a Democrat Party agenda.
[01:37:47.953 --> 01:37:49.654]  Every other day of the year, the cops are bad.
[01:37:49.754 --> 01:37:53.236]  Kill a cop, murder a cop, kill a pig, whatever, the Democrats are all behind it.
[01:37:53.276 --> 01:37:57.178]  But oh, when they can use cops for their message, then they love cops all of a sudden.
[01:37:57.538 --> 01:37:58.258]  But I digress.
[01:37:59.179 --> 01:38:01.000]  We have all the receipts here.
[01:38:02.662 --> 01:38:10.009]  From all of these corrupt police officers, but specifically the one that they really liked using up there, Officer Harry Dunn.
[01:38:10.429 --> 01:38:20.279]  So here's the big Democrat lawyer, Mark Zaid, who tried to do all kinds of cases against Donald Trump, took a bunch of L's, but he's still there.
[01:38:20.962 --> 01:38:27.326]  Very proud of my Capitol Police Officers Dunn and Gonnell today, as well as Fanon and Hodges.
[01:38:27.386 --> 01:38:30.808]  Thank you all for defending democracy, as they stole the election.
[01:38:31.369 --> 01:38:37.133]  So they steal the election, and then they lie to the American people about it, and this corrupt lawyer says that it's all good.
[01:38:38.574 --> 01:38:39.534]  But here's the receipts.
[01:38:43.076 --> 01:38:45.078]  For Officer Harry Dunn.
[01:38:52.503 --> 01:39:01.145]  He says he supported the riots in Kenosha, said, why is murder an appropriate response to property damage, but property damage isn't appropriate response to murder?
[01:39:02.105 --> 01:39:03.345]  So he doesn't stand with the police.
[01:39:03.365 --> 01:39:04.266]  He's not a police officer.
[01:39:04.686 --> 01:39:06.006]  He's a Democrat Party operative.
[01:39:07.086 --> 01:39:15.268]  He celebrates the riots in Kenosha that led to multiple people being shot and killed and including police officers being injured.
[01:39:15.468 --> 01:39:17.108]  And he says it's an appropriate response.
[01:39:17.308 --> 01:39:19.589]  What happened in Kenosha was an appropriate response.
[01:39:24.158 --> 01:39:38.341]  Here's Officer Harry Dunn celebrating when Donald Trump had to be rushed off the stage during a campaign event because a radical leftist charged the stage and threatened to kill him.
[01:39:38.861 --> 01:39:41.122]  There's Harry Dunn celebrating that right here.
[01:39:41.162 --> 01:39:46.823]  Here he is celebrating Donald Trump being rushed off the stage because a deranged leftist attacked him.
[01:39:47.463 --> 01:39:49.083]  Again, this is not a police officer.
[01:39:49.604 --> 01:39:51.184]  This is a Democrat Party operative.
[01:39:52.130 --> 01:40:01.259]  Here's Harry Dunn denying that Trump ever won the election and saying, nope, it was actually Trump lost, but Obama's my real president.
[01:40:02.680 --> 01:40:09.126]  Here he is saying how racist America is, saying Trump's racist, saying how he stands with Ilhan Omar.
[01:40:10.668 --> 01:40:12.390]  Here he is attacking Donald Trump again.
[01:40:14.150 --> 01:40:17.171]  Again, I mean, I have all the receipts here, ladies and gentlemen.
[01:40:17.691 --> 01:40:21.633]  Just understand, Harry Dunn is not a police officer.
[01:40:22.253 --> 01:40:27.135]  Harry Dunn is a Democrat Party activist that the Democrats have launched against Donald Trump.
[01:40:28.197 --> 01:40:31.800]  I come to you with very grave news, but at least now the enemy's out in the open.
[01:40:32.301 --> 01:40:42.670]  We've confirmed all over the world the United Nations is directing a program to arrest people who refuse to be inoculated with the experimental Nuremberg-violating COVID-19 so-called vaccines.
[01:40:43.250 --> 01:40:49.176]  Yes, they're now coming to begin arresting us and taking us to giant emergency centers that have been built all over the world.
[01:40:49.536 --> 01:40:51.458]  This is the New World Order out in the open.
[01:40:52.120 --> 01:40:59.066]  You can see behind me through this car, Croix-Rouge Français, COVID center, COVID parking, COVID reception.
[01:40:59.086 --> 01:41:13.659]  This is where we take a number of young people who are in close contact, who are positive, and that we place here in these centers of this establishment, which is an agricultural establishment that has been reconverted for the occasion
[01:41:14.500 --> 01:41:17.341]  You know, they're informed about the side effects of the vaccine.
[01:41:17.421 --> 01:41:18.322]  A lot of people don't want it.
[01:41:18.362 --> 01:41:21.023]  You know, a lot of people are getting it just because they feel forced to.
[01:41:21.063 --> 01:41:24.244]  And people that do not want it, they're being put into detention camps.
[01:41:43.120 --> 01:41:45.083]  The plan of tyrants is always simple.
[01:41:45.603 --> 01:41:48.207]  Have complete power and control over the population.
[01:41:48.687 --> 01:41:57.559]  And if you have the power to target anybody you want in the population and claim that somehow they're a criminal or somehow they're diseased, then you truly have set up a dictatorship.
[01:41:58.120 --> 01:42:00.943]  That's what's happening now, a worldwide medical dictatorship.
[01:42:01.243 --> 01:42:09.572]  It's now being confirmed across the world under UN directives, new lockdowns have begun that are starving to people en masse by the tens of millions.
[01:42:09.772 --> 01:42:17.501]  The last lockdown already starved over 20 million extra people, the UN admits, with an additional 280 plus million set to starve to death.
[01:42:18.081 --> 01:42:19.462]  Once this new lockdown gets going.
[01:42:19.943 --> 01:42:22.805]  So in the first world, we just sit at home and watch Netflix and get deeper debt.
[01:42:23.125 --> 01:42:28.130]  But that's just part of the new, huge breaking developments taking place across this planet.
[01:42:28.710 --> 01:42:36.417]  Under, again, United Nations directives in Australia, in Canada, in the UK, in Germany, in France, and many other areas.
[01:42:37.117 --> 01:42:40.900]  They are arresting people by the thousands and thousands and thousands.
[01:42:41.801 --> 01:42:50.943]  Because their smartphone had secret government and other apps on it that claims they came in contact or may have come in contact with someone with COVID-19.
[01:42:51.463 --> 01:43:02.024]  And so the government shows up at your house, takes you in a van to a quarantine center for a week, two weeks, three weeks, sometimes longer, and in many cases forces medical treatments on you.
[01:43:02.324 --> 01:43:04.445]  This is what the UN said a year ago was the Holy Grail.
[01:43:04.845 --> 01:43:10.666]  Dr. Ryan, the head of the UN Rapid Reaction Force, said, we want to go in the houses where the COVID is and take these families out.
[01:43:11.347 --> 01:43:15.422]  It is a more cost-effective intervention to separate
[01:43:17.723 --> 01:43:22.784]  Some individuals from society then separate everybody in society from each other.
[01:43:23.264 --> 01:43:44.430]  However, where there is not a good handle, where there hasn't been a good understanding of disease transmission, where enough has not been invested in core public health interventions such as case finding and contact tracing, then social distancing measures may be your only option to create distance between individuals.
[01:43:44.861 --> 01:43:59.450]  I'm also announcing the formation of Strike Force Seasoned, which will see 22 detectives work from now until whenever it concludes, identifying as many people as possible who attended today's incident and have them charged.
[01:43:59.750 --> 01:44:05.033]  Rosen will outline five areas his team is focused on to get more Americans vaccinated.
[01:44:05.653 --> 01:44:15.719]  One, targeted community-by-community, door-to-door outreach to get remaining Americans vaccinated by ensuring they have the information they need on how both safe and accessible the vaccine is.
[01:44:16.079 --> 01:44:25.785]  By partnering with local leaders, governors, mayors, doctors, school administrators, employers, faith leaders, and community organizers.
[01:44:27.206 --> 01:44:29.307]  Leaders that people know and trust.
[01:44:30.837 --> 01:44:33.759]  One shot at a time, one person at a time.
[01:44:34.059 --> 01:44:35.159]  You need to react quickly.
[01:44:35.920 --> 01:44:37.140]  You need to go after the virus.
[01:44:37.601 --> 01:44:39.322]  You need to stop the chains of transmission.
[01:44:39.662 --> 01:44:41.983]  You need to engage with communities very deeply.
[01:44:42.043 --> 01:44:43.804]  Community acceptance is hugely important.
[01:44:44.124 --> 01:44:45.285]  You need to be coordinated.
[01:44:45.305 --> 01:44:46.305]  You need to be coherent.
[01:44:46.766 --> 01:44:50.908]  You need to look at the other sectoral impacts, schools and security and economic.
[01:44:51.348 --> 01:44:59.152]  That's one of the reasons we initiated these strike forces, to go into communities and work with them to determine what they need.
[01:44:59.212 --> 01:45:04.375]  To take a localized, specific approach that works with elected officials in communities.
[01:45:04.575 --> 01:45:11.860]  Meantime, cities and counties are staffing strike teams to help vaccinate people who cannot get to clinics and drive-through sites on their own.
[01:45:11.960 --> 01:45:15.041]  King 5's Ted Lantanite followed a crew from the Seattle Fire Department.
[01:45:15.061 --> 01:45:15.862]  He joins us live.
[01:45:15.902 --> 01:45:19.364]  And Ted, we're hearing that they're working seven days a week on this, right?
[01:45:21.072 --> 01:45:26.474]  Yeah, Mark, that's what it takes to vaccinate the most at-risk patients as quickly as possible.
[01:45:26.494 --> 01:45:28.114]  You have to go right to their homes.
[01:45:28.595 --> 01:45:31.215]  Anyone who's involved in emergency response will know this.
[01:45:32.156 --> 01:45:35.937]  If you need to be right before you move, you will never win.
[01:45:37.838 --> 01:45:41.799]  Perfection is the enemy of the good when it comes to emergency management.
[01:45:42.599 --> 01:45:44.380]  Speed trumps perfection.
[01:45:45.413 --> 01:45:50.516]  Even though they know it's based on the PCR test, it's almost 100% false positives.
[01:45:50.717 --> 01:45:54.799]  They can then again, turn it up to any level they want to disappear whoever they want.
[01:45:54.879 --> 01:45:55.640]  And then it gets worse.
[01:45:56.420 --> 01:46:14.372]  This is then used as their entire contact tracing system as the basis of a worldwide surveillance system and a social credit score in Klaus Schwab and Bill Gates, his own words to track and trace every purchase you make and everything you do and to charge you carbon credits on a carbon allotment.
[01:46:14.412 --> 01:46:15.193]  So understand this.
[01:46:15.813 --> 01:46:28.865]  They were arresting people all over the world because the computer or the contact tracing system or GPS claims you got near somebody while borders of the US and Europe are wide open to influxes of people who aren't even being tested.
[01:46:29.125 --> 01:46:32.628]  Now all of that's huge news, but here is the biggest news.
[01:46:33.469 --> 01:46:38.434]  We have confirmed that in France and we have confirmed in areas of northern Europe
[01:46:39.352 --> 01:46:52.821]  They are telling the general population that if you do not take the so-called COVID inoculation, that is an experimental vaccine that violates the Nuremberg Code, you won't just be locked in your house, you won't just have your kids taken, you won't just not be able to go to your job.
[01:46:52.901 --> 01:46:56.503]  This is what they're saying on CNN, they want to do here in the United States, what Governor Newsom's saying.
[01:46:57.224 --> 01:46:57.344]  No.
[01:46:58.271 --> 01:47:12.296]  They're saying they're going to take you and indefinitely lock you up in a facility because you're a dangerous spreader, because you didn't let them take over your immune system and put this into your body when it's experimental and they've had to put advisories on it that it causes blood clots, heart attacks, and strokes.
[01:47:12.416 --> 01:47:13.597]  I mean, this is it.
[01:47:13.697 --> 01:47:14.497]  Everything we always said.
[01:47:14.517 --> 01:47:18.539]  They'll release a virus, they'll create fear, they'll promote forced inoculations.
[01:47:19.759 --> 01:47:24.543]  I'm here at Lake Tahoe on a workcation and doing a lot of research, meeting a lot of people.
[01:47:25.103 --> 01:47:40.354]  Went out fishing and swimming yesterday, rented a boat with a captain, and he began to tell me about his family in Europe, because he was born in Northern Europe and lives here most of his life, that is being told, you will go to a COVID facility if you do not take these injections.
[01:47:40.555 --> 01:47:43.557]  And then, of course, the injections don't work because the tests are all fake.
[01:47:44.077 --> 01:47:45.718]  People are still going to get cold, still going to get flu.
[01:47:46.039 --> 01:47:47.620]  So it's an endless problem that can never be defeated.
[01:47:47.920 --> 01:47:48.881]  And then I'll show you a clip
[01:47:49.441 --> 01:48:11.977]  out of France where again they're beta testing it on 20 somethings locking them up as well just because they claim that the tracker system on their phone claims they came in contact with someone this is the perfect pretext for roundup for control and for total surveillance and it's not coming it's here and the second lockdowns are being announced around the world and being prepared here in the United States we never really left the main lockdown
[01:48:12.757 --> 01:48:15.378]  If they get us back into phase two, we will never leave it.
[01:48:15.398 --> 01:48:16.579]  It will only get more intense.
[01:48:16.879 --> 01:48:19.000]  That is the United Nations and the Globalist's own plan.
[01:48:19.320 --> 01:48:22.281]  So please, take this report, research it for yourself and understand.
[01:48:22.601 --> 01:48:25.343]  We must declare independence against medical apartheid.
[01:48:25.663 --> 01:48:33.907]  We must declare independence against medical dictatorship and tyranny and the Fortune 100 corporations that control the UN and the media that are selling this giant lie.
[01:48:34.327 --> 01:48:35.707]  It is science to ask questions.
[01:48:36.068 --> 01:48:37.728]  It is science to have medical choices.
[01:48:38.068 --> 01:48:40.269]  It is science that it's my body, my choice.
[01:48:40.289 --> 01:48:41.010]  And what they're doing
[01:48:42.014 --> 01:48:43.755]  Listeners and viewers know that I'm on vacation.
[01:48:43.775 --> 01:48:45.336]  And believe me, I want to be on vacation.
[01:48:45.817 --> 01:48:46.177]  But I can't be.
[01:49:08.206 --> 01:49:18.743]  Because even the nice boat we rented, the nice captain driving it, has incredible reports of people being put in detention centers who are refusing the vaccine.
[01:49:19.284 --> 01:49:20.285]  He doesn't want to be on camera.
[01:49:21.658 --> 01:49:21.738]  And
[01:49:41.701 --> 01:49:42.621]  He's from Scandinavia.
[01:49:43.081 --> 01:49:44.682]  He's lived here in the United States most of his life.
[01:49:45.222 --> 01:49:49.463]  His family in Denmark right now that are calling him, telling him this information.
[01:49:49.483 --> 01:49:55.805]  So we're just going to shoot him from the side here and he's going to lay out the information that he is learning and what he's finding out.
[01:49:55.845 --> 01:49:59.066]  So sir, please tell us what is unfolding in your home country.
[01:49:59.997 --> 01:50:03.519]  So yeah, people that are refusing the vaccine are being put into camps.
[01:50:05.240 --> 01:50:06.160]  It's unbelievable.
[01:50:06.301 --> 01:50:09.883]  There's no sense or rhyme or reason to it.
[01:50:10.143 --> 01:50:11.183]  I don't know what to say.
[01:50:11.243 --> 01:50:13.885]  I'm happy I'm not over there.
[01:50:14.225 --> 01:50:15.966]  Tell us about your family, what they're telling you has happened.
[01:50:17.296 --> 01:50:21.482]  Um, you know, they're informed about the side effects of the vaccine.
[01:50:21.502 --> 01:50:22.524]  A lot of people don't want it.
[01:50:22.544 --> 01:50:25.448]  You know, a lot of people are getting it just because they feel forced to.
[01:50:26.309 --> 01:50:30.455]  And people that do not want it, they're being put into detention camps.
[01:50:31.016 --> 01:50:33.360]  And when they call you up specifically, what do they say?
[01:50:35.660 --> 01:50:40.904]  They're saying that pretty much they're being manipulated into getting the vaccine.
[01:50:41.045 --> 01:50:46.529]  There's a lot of alternate motivation behind getting it.
[01:50:46.549 --> 01:50:52.975]  There's travel restrictions, travel bans, people that don't have it, certain areas that you can go in that you can't go in.
[01:50:53.915 --> 01:50:54.636]  What are the details?
[01:50:54.656 --> 01:50:56.678]  They say people they know are being taken to camps?
[01:50:58.179 --> 01:51:00.761]  Not currently, but that's just kind of where it's going.
[01:51:00.961 --> 01:51:02.643]  That's the pressure that they're feeling.
[01:51:04.269 --> 01:51:06.370]  So are they specifically being told you'll be sent to camps?
[01:51:07.430 --> 01:51:07.811]  Exactly.
[01:51:07.831 --> 01:51:12.973]  I don't want to put words in your mouth because specifically you told me that's what they're saying is starting to happen.
[01:51:13.273 --> 01:51:14.294]  Specifically, what are they saying?
[01:51:14.314 --> 01:51:14.894]  This is important.
[01:51:16.243 --> 01:51:18.224]  People that are not vaccinated will be put into camps.
[01:51:18.544 --> 01:51:19.604]  So that's what they're currently telling them?
[01:51:19.664 --> 01:51:20.844]  Yep, exactly.
