[00:00:00.425 --> 00:00:01.425]  So here's the big announcement.
[01:33:42.980 --> 01:33:54.824]  So we're gonna come right back on the other side of this quick break and talk to our special guest who is a trailblazer and who's blowing the whistle on corruption inside the media.
[01:33:56.305 --> 01:33:59.926]  We're now into our number three of the Alex Jones Show, Ivory Hecker.
[01:34:00.839 --> 01:34:06.524]  Was, until I guess today, a very popular reporter on Fox 26 in Houston, Texas.
[01:34:07.065 --> 01:34:16.894]  But she saw so much going on, the suppression of knowledge, information, cover-ups about vaccines because the companies were spending money with them, that she had to go public and she did it really in a great way.
[01:34:16.934 --> 01:34:18.336]  She did it live on air.
[01:34:18.396 --> 01:34:18.796]  Here it is.
[01:34:19.777 --> 01:34:20.998]  Outages across the region.
[01:34:21.038 --> 01:34:25.843]  Fox 26 reporter Ivory Hecker is live in Montgomery County to take a look at that aspect.
[01:34:28.191 --> 01:34:28.672]  Thanks, guys.
[01:34:28.712 --> 01:34:29.052]  That's right.
[01:34:29.072 --> 01:34:37.380]  Before we get to that story, I want to let you, the viewers, know that Fox Corp has been muzzling me to keep certain information from you, the viewers.
[01:34:37.420 --> 01:34:41.745]  And from what I'm gathering, I am not the only reporter being subjected to this.
[01:34:41.805 --> 01:34:47.470]  I am going to be releasing some recordings about what goes on behind the scenes at Fox because it applies to you, the viewers.
[01:34:47.510 --> 01:34:50.453]  I found a nonprofit journalism group called Project Veritas.
[01:34:50.874 --> 01:34:51.995]  It's going to help put that out.
[01:34:53.256 --> 01:35:06.083]  Ivory Hecker is a hero, just like the revolver head journalist we just had on is, because they're doing what's right.
[01:35:06.964 --> 01:35:11.527]  And they're going up against the system and whistleblowing against real corruption.
[01:35:12.526 --> 01:35:14.727]  is what's going to save this country and this world.
[01:35:14.787 --> 01:35:17.147]  It's what the system is most afraid of.
[01:35:17.587 --> 01:35:22.328]  So, Ivory Hecker blew the whistle on her own network for what she says are acts of deception.
[01:35:22.948 --> 01:35:26.649]  She is saying the station's editorial decisions are an affront to honest journalism.
[01:35:27.149 --> 01:35:32.531]  Ivory Hecker was a general assistant reporter and fill-in anchor on Fox26 News in Houston.
[01:35:32.851 --> 01:35:37.592]  During her time in Houston, Ivory was covering the Gulf Coast recovery, the aftermath of Hurricane Harvey,
[01:35:38.393 --> 01:35:43.580]  She covered the death of former President George H. Bush and also covered President Donald Trump's visit to Houston.
[01:35:43.940 --> 01:35:50.048]  Ivor was also live from the scene of the Santa Fe school mass shooting with network breaking news coverage for Fox Channel.
[01:35:50.529 --> 01:35:55.456]  GoFund or GoSendGo.com GoSendGo.com forward slash support
[01:35:55.996 --> 01:35:59.219]  Ivory, we need to support all these people to continue to blow the whistle.
[01:35:59.559 --> 01:36:01.921]  That is what is going to stop the incredible corruption.
[01:36:01.961 --> 01:36:02.661]  So she joins us.
[01:36:02.681 --> 01:36:05.503]  We're going to air some of these recordings coming up later in the hour.
[01:36:06.284 --> 01:36:08.766]  But wow, tip of the spear when it comes to exposing this.
[01:36:09.046 --> 01:36:09.787]  Thanks for joining us.
[01:36:10.908 --> 01:36:11.968]  Thanks so much for having me.
[01:36:12.809 --> 01:36:19.114]  We'll start out about the process or what it was like when you started to have questions and what brought you to this point and the things you witnessed.
[01:36:21.582 --> 01:36:25.985]  It all really got weird the end of last July, actually.
[01:36:26.025 --> 01:36:37.773]  It happened, you know, the very start was when Fox did a manual doing that famous or infamous press conference about hydroxychloroquine.
[01:36:37.933 --> 01:36:48.120]  She was a local Houston doctor, so they assigned me to cover her, you know, and I covered her local hospital and actually talked to patients there who were taking her treatment.
[01:36:48.220 --> 01:36:50.241]  Fox said that the coverage was great, but
[01:36:51.622 --> 01:36:57.709]  What we witnessed that day was across the board social media censorship like we had never seen before.
[01:36:57.909 --> 01:37:02.915]  The sort of social media censorship that I had studied happening in China for years prior to that.
[01:37:03.607 --> 01:37:08.391]  It shocked me that something similar to China was happening in America.
[01:37:08.451 --> 01:37:21.643]  So after that report, I just did a side social media video just talking about censorship, explaining what China has been up to and how we're now seeing it right here in the United States.
[01:37:21.683 --> 01:37:28.269]  And even though social media is not the government, it does have a monopoly and it is indeed
[01:37:29.138 --> 01:37:37.722]  I think having success at crushing the free sharing of information, which as we, if we look at history, that is never a good thing for free people.
[01:37:38.163 --> 01:37:40.964]  So I did that social media video and put it out there.
[01:37:40.984 --> 01:37:42.665]  It got a ton, a ton of reaction.
[01:37:43.145 --> 01:37:45.326]  My boss is freaked out at me because of that.
[01:37:46.067 --> 01:37:49.488]  You shared your opinion about something I've read.
[01:37:49.508 --> 01:37:51.309]  You're never allowed to share your opinion about anything.
[01:37:51.349 --> 01:37:52.150]  You're a straight reporter.
[01:37:52.470 --> 01:37:52.950]  Here's the thing.
[01:37:53.290 --> 01:37:55.792]  Free speech is the bread and butter of being a reporter.
[01:37:56.812 --> 01:37:58.193]  Journalism can't exist.
[01:37:58.792 --> 01:38:01.014]  Without free speech journalism.
[01:38:01.034 --> 01:38:05.438]  Well, exactly, and your own discretion, your own view, your own humanity.
[01:38:05.478 --> 01:38:13.947]  But it turns out, though, they're the ones up there that are getting the corporate view, the corporate money, and they only want that view and to have you be a puppet that puts it out.
[01:38:15.368 --> 01:38:15.608]  Right.
[01:38:15.688 --> 01:38:22.775]  So it stunned me that Fox, which is a member of the free press, was taking this hard stand against
[01:38:23.143 --> 01:38:26.444]  Publicly saying censorship is not a good thing for free people.
[01:38:27.144 --> 01:38:34.185]  And so, because they were just really coming at me on the phone, I hit record that day because I was concerned and shocked.
[01:38:35.325 --> 01:38:36.806]  And that's when I started recording.
[01:38:36.846 --> 01:38:41.947]  And then a few weeks later, they sent me to cover COVID treatment at a local hospital.
[01:38:41.967 --> 01:38:48.828]  And the doctor says that he's had a lot of success with his patients and he's using hydroxychloroquine.
[01:38:50.035 --> 01:38:57.397]  So that sound bite was never supposed to reach the public ears, according to my bosses, because that drug was no longer a part of the narrative.
[01:38:58.058 --> 01:39:05.800]  So even though the fact was a local doctor was indeed giving his patients this, Fox didn't want to let people know that.
[01:39:06.780 --> 01:39:09.581]  Later on, I researched the death rates at that hospital.
[01:39:10.262 --> 01:39:11.722]  They are incredibly low.
[01:39:12.062 --> 01:39:15.283]  Very few COVID-19 patients die at that hospital.
[01:39:16.183 --> 01:39:17.604]  So it's very interesting.
[01:39:18.465 --> 01:39:19.146]  I don't
[01:39:34.790 --> 01:39:38.911]  Him talking about hydroxychloroquine, including everything else he uses to treat patients.
[01:39:38.951 --> 01:39:40.911]  The whole recipe on my Facebook.
[01:39:40.951 --> 01:39:42.091]  Think about how crazy that is.
[01:39:42.111 --> 01:39:50.913]  These are doctors with degrees, but the UN says, oh no, there's no approved treatment, as if the UN's in charge, because they wanted to be able to push experimental vaccines.
[01:39:50.953 --> 01:39:56.234]  You've got to have no other treatment available that has any efficacy to get that emergency authorization.
[01:39:56.274 --> 01:39:58.014]  This was all done cold-bloodedly.
[01:39:58.374 --> 01:40:03.255]  Estimates are in the millions of deaths worldwide with remdesivir, with hydroxychloroquine,
[01:40:03.775 --> 01:40:09.003]  And now the British are also approving the thing that Trump- Ivermectin?
[01:40:09.283 --> 01:40:10.966]  Yeah, Ivermectin, all of it.
[01:40:11.266 --> 01:40:13.850]  So there has just been such a huge suppression.
[01:40:14.191 --> 01:40:14.932]  This is criminal.
[01:40:14.972 --> 01:40:18.777]  So I guess that just drove you over the edge watching them tell you don't do this.
[01:40:20.046 --> 01:40:21.888]  Well, because they didn't just tell me that.
[01:40:22.528 --> 01:40:25.351]  The lengths that they went to try to shut me down.
[01:40:25.411 --> 01:40:35.901]  I don't know if it's because I'm a very bold, fearless person, and that they could tell I wasn't being phased by them saying, Ivory, watch out, people aren't liking this, aren't they?
[01:40:36.461 --> 01:40:37.943]  Truth seekers are liking the truth.
[01:40:38.923 --> 01:40:42.687]  So, I don't care if one person doesn't like the truth.
[01:40:43.537 --> 01:40:45.119]  This doctor's using that drug.
[01:40:45.219 --> 01:40:45.900]  That's the truth.
[01:40:46.040 --> 01:40:47.181]  If you don't like it, I don't care.
[01:40:47.861 --> 01:40:51.365]  But my bosses saw that I didn't care, so they had to take a bigger measure.
[01:40:51.405 --> 01:40:54.868]  And what they did next is internally defame me.
[01:40:54.908 --> 01:41:00.633]  They wrote a letter of warning that was full of falsehoods.
[01:41:00.674 --> 01:41:04.057]  It created this switched up timeline that made it look like I was
[01:41:05.971 --> 01:41:12.817]  That they had banned me from covering COVID treatment, but I was so passionate about it that I was pushing hydroxychloroquine.
[01:41:12.877 --> 01:41:15.520]  Anyway, to this day, I've never advocated for that drug.
[01:41:15.980 --> 01:41:20.464]  So I was just reporting what they sent me to go cover.
[01:41:20.604 --> 01:41:23.987]  And so they wrote a defamatory letter of warning.
[01:41:24.027 --> 01:41:29.072]  I had to get a lawyer involved to fight off their lies because they didn't just write this and give it to me.
[01:41:29.112 --> 01:41:31.054]  They put it in my file at Fox.
[01:41:31.886 --> 01:41:41.296]  Which hurts me, because all of the Fox executives, if they're looking to move me up, they look at my file, they see that, ooh, don't touch her, she is very rebellious.
[01:41:41.437 --> 01:41:42.818]  And where are you now?
[01:41:42.838 --> 01:41:43.879]  Have they suspended you?
[01:41:43.939 --> 01:41:44.700]  Are they going to fire you?
[01:41:44.720 --> 01:41:45.221]  What's happening?
[01:41:45.962 --> 01:41:47.503]  I heard a rumor that they fired me.
[01:41:47.884 --> 01:41:49.205]  They didn't tell me that themselves.
[01:41:49.245 --> 01:41:49.866]  I think that's weird.
[01:41:50.638 --> 01:41:54.300]  But yeah, I'm apparently fired, according to some news.
[01:41:54.320 --> 01:42:02.623]  Well listen, I think you're a hero, and I just hope we can create a network, or somebody does, of all the people that have conscience.
[01:42:02.663 --> 01:42:09.086]  Because, I mean, I would always tell a reporter, go out and see what's going on, talk to that doctor and see what they say, and then it's all about that doctor.
[01:42:09.126 --> 01:42:16.329]  The idea that, like, well wait, you can't say ivermectin, or you can't say hydroxychloroquine, or you can't say remdesivir, it's just so criminal.
[01:42:17.049 --> 01:42:18.550]  It is so strange.
[01:42:18.810 --> 01:42:22.473]  It's so un-American to be shutting down certain words and phrases.
[01:42:22.493 --> 01:42:24.554]  Plus, it must be hell to be these people.
[01:42:24.874 --> 01:42:28.296]  When you hire a reporter, they do a good job, and now you're hovering over everything they do.
[01:42:28.517 --> 01:42:29.577]  That must be exhausting.
[01:42:30.478 --> 01:42:30.818]  Oh, yeah.
[01:42:30.978 --> 01:42:31.819]  And here's the thing.
[01:42:32.980 --> 01:42:44.687]  Another Fox executive named Ralph Frenden pulled me aside one day, quite recently, and tried to give me advice on how to stick in this company and actually go places.
[01:42:44.707 --> 01:42:45.608]  And he was like, you know,
[01:42:46.608 --> 01:42:48.849]  You've got to kind of get in line, Ivory.
[01:42:49.049 --> 01:42:57.872]  But he told me that my boss, who was issuing these disciplines on me, that she was behind the scenes in meetings with Fox Corp in New York.
[01:42:57.932 --> 01:42:59.792]  She was defending me vehemently.
[01:42:59.832 --> 01:43:04.554]  She was trying to apparently allow me to continue just reporting.
[01:43:04.894 --> 01:43:08.975]  Sure, so that shows that they had guilt, but were still following the orders.
[01:43:09.576 --> 01:43:11.956]  And so the issue is, it's that corporate system.
[01:43:12.156 --> 01:43:13.457]  It's all the way up to the top.
[01:43:14.017 --> 01:43:14.677]  See, that's the thing.
[01:43:14.717 --> 01:43:21.139]  When you're trying to control the narrative, the big danger to the narrative is the reporters on the ground.
[01:43:21.259 --> 01:43:26.460]  Because what's happening on the ground never really aligns with this rigid narrative.
[01:43:26.560 --> 01:43:27.960]  Ivory, you are an amazing person.
[01:43:27.980 --> 01:43:29.141]  Stay there one more segment with you.
[01:43:29.201 --> 01:43:31.141]  I guess you're at the Veritas headquarters.
[01:43:31.181 --> 01:43:31.821]  That's amazing.
[01:43:31.881 --> 01:43:32.141]  I am.
[01:43:32.161 --> 01:43:33.341]  I'm hanging out with that team, yeah.
[01:43:33.882 --> 01:43:37.842]  If you really want to join some people, folks, you've got a job opening right here in Texas, in Austin.
[01:43:37.863 --> 01:43:38.883]  But we'll be right back.
[01:43:38.923 --> 01:43:39.523]  Stay with us, folks.
[01:43:40.609 --> 01:43:41.970]  Welcome back to the Alex Jones Show.
[01:43:42.030 --> 01:43:50.114]  You can see the whole report, it's incredible, at ProjectVeritas.com of the executives telling her to do this, telling her to do that.
[01:43:50.474 --> 01:43:52.595]  And then she learned some of them are up there advocating for her.
[01:43:52.655 --> 01:43:53.655]  They want to save lives.
[01:43:53.875 --> 01:43:57.557]  They want to do interviews about the good news of this is 99% effective.
[01:43:58.578 --> 01:44:02.700]  But again, oh no, you're not supposed to do that because Big Tech said, the UN said.
[01:44:03.160 --> 01:44:09.683]  So now if Big Tech censors you for something, well then I guess news stations have to follow what the fact checkers
[01:44:11.821 --> 01:44:15.364]  At Big Tech say, but wait a minute, they're the ones that said that didn't come from Wuhan.
[01:44:15.944 --> 01:44:18.846]  They're the ones that said Iraq had WMDs.
[01:44:18.906 --> 01:44:28.233]  I mean, since when did Big Tech, that isn't journalist, they're just big corporate hacks that take advertising money from big companies.
[01:44:28.273 --> 01:44:31.796]  Since when did they become in the hierarchy above you, Ivory?
[01:44:33.777 --> 01:44:42.517]  I don't know, but I can tell you Fox got right in line with Facebook and Twitter and YouTube's rule not to discuss the H-word.
[01:44:45.745 --> 01:44:46.645]  Well, keep elaborating.
[01:44:46.665 --> 01:44:49.687]  I've got a thousand questions, but what do you want to impart to our viewers?
[01:44:49.707 --> 01:44:52.068]  Well, here's the thing.
[01:44:52.948 --> 01:45:02.912]  Today I'm going to release some more soundbites from my bosses, specifically when they tried to take me down with that defamatory letter and I had to get a lawyer involved.
[01:45:02.952 --> 01:45:07.794]  The fact that they would go to those lengths to ensure I stick with the narratives shows
[01:45:08.334 --> 01:45:19.617]  What reporters have to grapple with in this industry, and I think it sheds a little light for the viewers, because I think a lot of viewers, probably most viewers, get that something weird is going on with some of these narratives.
[01:45:19.637 --> 01:45:23.278]  I think that's key, and you're explaining to them how it happens, why they get intimidated in that process.
[01:45:23.358 --> 01:45:24.699]  And I should have said that.
[01:45:24.939 --> 01:45:26.039]  You know, why are you leaking this?
[01:45:26.079 --> 01:45:29.760]  Not just to save lives, but they were trying to destroy you and your career internally.
[01:45:30.000 --> 01:45:32.061]  They were attacking you, so you're just defending yourself.
[01:45:32.987 --> 01:45:37.471]  Right, and I just think the public should know this is kind of how it works sometimes.
[01:45:37.831 --> 01:45:41.174]  What has happened to me is what a lot of journalists fear.
[01:45:41.694 --> 01:45:48.260]  So a lot of journalists don't even try for a story that they know is outside of the narrative because they don't want to become a target.
[01:45:48.982 --> 01:45:52.463]  So that's kind of how the narrative self-continues.
[01:45:52.963 --> 01:45:53.603]  Self-censors.
[01:45:54.043 --> 01:45:55.144]  I keep going, sorry I interrupted.
[01:45:55.264 --> 01:45:56.984]  Yeah, yeah, exactly.
[01:45:57.084 --> 01:46:03.566]  News outlets self-censor, sometimes by the boss telling a reporter, don't do that, and sometimes by a reporter just knowing.
[01:46:04.266 --> 01:46:07.427]  I know that story is not within the narrative, so I'm not going to touch it.
[01:46:07.447 --> 01:46:10.808]  So just go with the national New York Times, CNN narrative, you'll be fine.
[01:46:10.848 --> 01:46:12.248]  Yeah, it's the safest route, yeah.
[01:46:13.044 --> 01:46:13.484]  Exactly.
[01:46:13.724 --> 01:46:14.925]  That's what happens a lot.
[01:46:15.005 --> 01:46:25.088]  And I just want to shed light on this, because this is, what happens is a lot of real stories get crushed with this narrative.
[01:46:25.128 --> 01:46:26.909]  I bet they're not too happy now though.
[01:46:27.069 --> 01:46:28.229]  They got to be looking over their shoulder.
[01:46:29.990 --> 01:46:30.630]  For sure.
[01:46:30.950 --> 01:46:42.234]  And you know, since I came out with my true story, we are already hearing from other people who have reached out to Project Veritas, people within newsrooms,
[01:46:43.271 --> 01:46:45.012]  Who also want to come forward.
[01:46:45.092 --> 01:46:59.401]  So I'm really, I'm really hoping that other journalists stay, you know, stay bold or get bold with this, you know, reporters and any anyone in any position in a newsroom needs to
[01:47:00.658 --> 01:47:06.507]  Stick with the facts regardless of what the bosses try to mess with you.
[01:47:06.627 --> 01:47:11.113]  And look, if a boss tries to mess with the facts, hit record and put that out.
[01:47:11.934 --> 01:47:14.999]  And here's the thing, now that bosses know that reporters
[01:47:15.748 --> 01:47:17.470]  You know what's funny?
[01:47:17.510 --> 01:47:21.215]  You're telling this story and I see the other recordings and I see the proof of it
[01:47:32.190 --> 01:47:43.038]  And I remember the New York Times had this fake article written a few years ago about me that I told a camera person to do this, and the tactics that they lied and said I was involved in, the rest of our crew laughed at it because they know it doesn't go on.
[01:47:43.058 --> 01:47:46.820]  I was like, but those were their tactics put to me.
[01:47:48.081 --> 01:47:48.621]  See what I'm saying?
[01:47:48.802 --> 01:47:53.165]  They were saying I was doing that to my people when it was actually they were doing it.
[01:47:53.185 --> 01:47:54.285]  I said, where'd they come up with this?
[01:47:54.546 --> 01:47:57.928]  But then you're saying it, others are saying it, that's what they do routinely.
[01:47:59.571 --> 01:48:00.552]  It's really sad.
[01:48:00.612 --> 01:48:01.332]  It's really sad.
[01:48:01.512 --> 01:48:04.293]  When blatant lies are made up, that really shocks me.
[01:48:05.094 --> 01:48:06.574]  Oh, the New York Times made up.
[01:48:06.855 --> 01:48:10.156]  They said that we had a fish tank and I ate the employee's fish.
[01:48:10.356 --> 01:48:11.197]  We've never had a fish tank.
[01:48:11.757 --> 01:48:12.877]  Just total lies.
[01:48:13.077 --> 01:48:13.678]  Total lies.
[01:48:14.838 --> 01:48:24.023]  Yeah, some of these news outlets, they think that they can get away with lies, but it's kind of interesting how dumb they think viewers are.
[01:48:24.743 --> 01:48:28.705]  When viewers can sense out the truth, viewers compare
[01:48:29.130 --> 01:48:30.692]  Compare stories, compare facts.
[01:48:31.213 --> 01:48:33.656]  Viewers have learned to self-verify.
[01:48:34.357 --> 01:48:37.681]  So many viewers don't trust the news anymore.
[01:48:37.982 --> 01:48:43.770]  So what these news outlets do when they come up with blatant lies about you or anyone else, is they
[01:48:44.577 --> 01:48:48.898]  Are in the process of committing their own slow suicide, I think.
[01:48:49.378 --> 01:48:54.100]  You're seeing so many people stop turning to mainstream outlets.
[01:48:54.620 --> 01:48:55.240]  I totally agree.
[01:48:55.280 --> 01:49:00.482]  Statistics show lack of trusted news has got their ratings down over two-thirds the last ten years.
[01:49:00.822 --> 01:49:05.323]  Nickelodeon's lost two-thirds in two years over all the sexualization of children stuff.
[01:49:06.661 --> 01:49:07.081]  Exactly.
[01:49:07.181 --> 01:49:16.284]  My own outlet, Fox 26 Houston, the ratings are down 30 to 40 percent on my show this year compared to last.
[01:49:17.304 --> 01:49:17.584]  Wow.
[01:49:17.604 --> 01:49:19.265]  So people are turning off their TVs, yeah.
[01:49:20.045 --> 01:49:23.106]  Though they're trying to censor us, our quote ratings are up.
[01:49:23.266 --> 01:49:23.866]  It's crazy.
[01:49:23.886 --> 01:49:24.907]  People don't get that.
[01:49:24.927 --> 01:49:27.948]  It only grows you when they try to squash you.
[01:49:32.808 --> 01:49:34.249]  If you find back like you've done.
[01:49:34.549 --> 01:49:35.950]  So where are you going from here?
[01:49:36.010 --> 01:49:37.511]  Because we need to support you.
[01:49:37.551 --> 01:49:40.992]  We need others to see whistleblowers like you being held up.
[01:49:41.012 --> 01:49:45.375]  People should really donate because you know you're probably gonna get fired here until you get a new job.
[01:49:45.975 --> 01:49:48.836]  GiveSendGo.com forward slash support.
[01:49:48.857 --> 01:49:49.657]  Oh my gosh!
[01:49:49.777 --> 01:49:51.838]  I'm looking at that number now for the first time.
[01:49:51.878 --> 01:49:52.779]  That's incredible.
[01:49:53.359 --> 01:49:54.199]  Thank you so much.
[01:49:54.780 --> 01:50:00.923]  But here's this is that number of donations is a testament to the fact of so many Americans are so sick
[01:50:01.694 --> 01:50:02.660]  Of this narrative.
[01:50:03.311 --> 01:50:06.834]  And they're just glad that, like, it's coming out.
[01:50:07.434 --> 01:50:11.898]  It's incredible how the news is turning a blind eye to its own audience.
[01:50:11.918 --> 01:50:12.358]  Well, listen.
[01:50:12.478 --> 01:50:12.778]  Listen.
[01:50:12.878 --> 01:50:20.644]  Whistleblowing and stuff like this needs to be... This is way more important than being able to throw a ball through a basketball thing or being able to hit a golf ball.
[01:50:21.065 --> 01:50:23.907]  What you're doing is having moral integrity, so we should celebrate.
[01:50:23.927 --> 01:50:25.128]  People should go there right now.
[01:50:25.548 --> 01:50:25.708]  Give.
[01:50:25.748 --> 01:50:25.848]  Send.
[01:50:25.868 --> 01:50:31.813]  Go.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com
[01:50:33.365 --> 01:50:38.167]  Yeah, I am too, and I'm working on my first independent report soon, coming out very soon.
[01:50:39.068 --> 01:50:40.188]  Well, I'm excited about that.
[01:50:40.468 --> 01:50:42.029]  So, I was about to ask, what's coming next?
[01:50:42.089 --> 01:50:44.270]  I guess you're gonna just do some independent reports?
[01:50:44.810 --> 01:50:47.572]  Yeah, well, yeah, I just want, I want to continue my journalism.
[01:50:47.632 --> 01:50:48.292]  I'm passionate about it.
[01:50:48.312 --> 01:50:54.395]  Wherever that, wherever that news lands on the internet, probably not on TV anymore,
[01:50:55.055 --> 01:51:00.957]  But I'm going to follow through with that first COVID treatment story that I got in trouble for.
[01:51:01.117 --> 01:51:03.718]  The information I'm finding in the story is incredible.
[01:51:03.738 --> 01:51:12.202]  This is going to be a very compelling story on how COVID drug treatment has happened over the past year and the media's role in everything.
[01:51:12.782 --> 01:51:13.662]  I can't wait for you to see it.
[01:51:13.762 --> 01:51:14.122]  I agree.
[01:51:14.142 --> 01:51:19.524]  That's one of the biggest, most important stories is how they killed a lot of people, not letting good treatments get to folks.
[01:51:19.564 --> 01:51:20.105]  That's evil.
[01:51:20.405 --> 01:51:22.025]  I mean, that's like being an assassin.
[01:51:22.345 --> 01:51:22.746]  So yeah.
[01:51:22.806 --> 01:51:22.926]  Wow.
[01:51:24.725 --> 01:51:26.947]  From what I'm finding, it's pretty disturbing.
[01:51:27.127 --> 01:51:29.489]  It's almost like there's blood on the media's hands.
[01:51:30.310 --> 01:51:33.833]  Well, the good news is you're not going to have it on Ivory Hecker's hands, are you?
[01:51:35.094 --> 01:51:35.514]  That's right.
[01:51:35.995 --> 01:51:36.435]  I will not.
[01:51:37.496 --> 01:51:39.198]  So, again, you're at Project Veritas now.
[01:51:39.218 --> 01:51:40.559]  When are you going to be back in Texas?
[01:51:42.841 --> 01:51:43.441]  Sunday, for sure.
[01:51:43.461 --> 01:51:44.642]  I'll probably fly back Saturday.
[01:51:45.063 --> 01:51:46.704]  I'm hosting a charity event Sunday.
[01:51:46.784 --> 01:51:48.285]  Fantastic.
[01:51:48.345 --> 01:51:50.187]  If you're in Texas, come out to that.
[01:51:50.207 --> 01:51:52.149]  Tell folks, how do they find that?
[01:51:54.200 --> 01:51:58.561]  It's the Emerge Gala for International Refugee Day.
[01:51:59.762 --> 01:52:06.543]  My friend, who is a proud American after being a refugee from Africa, is putting this event on in Houston.
[01:52:06.683 --> 01:52:08.224]  I put it on my Insta story.
[01:52:08.244 --> 01:52:14.045]  If you go to real.ivory on Instagram, I put the event information on there.
[01:52:14.366 --> 01:52:16.646]  I'll put it back up in case it deleted in the past day.
[01:52:16.686 --> 01:52:17.866]  Beautiful.
[01:52:18.347 --> 01:52:18.847]  Great job.
[01:52:18.887 --> 01:52:19.247]  God bless you.
[01:52:20.117 --> 01:52:25.040]  You know, I didn't get a little stuttery with her because she's a very attractive lady.
[01:52:27.362 --> 01:52:28.763]  The left toes, you don't say that about women.
[01:52:28.803 --> 01:52:30.183]  No, you're supposed to say a woman's beautiful.
[01:52:31.484 --> 01:52:35.967]  I get stuttery when I had that revolver professor on who's kicking ass.
[01:52:36.127 --> 01:52:37.008]  I get stuttery with her.
[01:52:37.068 --> 01:52:44.853]  I mean, both those guests today that the producer Scott Bronson did a great job getting,
[01:52:46.021 --> 01:52:46.581]  Or the future.
[01:52:47.282 --> 01:52:52.104]  Whistleblowers about hiding medical treatments that are saving 99% of people?
[01:52:52.364 --> 01:52:52.985]  That's murder!
[01:52:55.066 --> 01:53:11.855]  And I know when I get near the zeitgeist that, victory, victory, victory, I start, ah, ah, ah, and I have the other guy on, if we expose the FBI, the criminals that have hijacked the FBI, because I don't want the FBI to be a bad institution, I don't want to be enemies with these people, but I mean, I'm not going to sit here and watch you start a civil war!
[01:53:12.675 --> 01:53:14.156]  You crazy morons!
[01:53:17.011 --> 01:53:19.614]  I know we're close to the zeitgeist with both those guests.
[01:53:19.735 --> 01:53:24.360]  I have a literal intelligence.
[01:53:24.741 --> 01:53:30.027]  But the intelligence always tells me when the hair on the back of my neck stands up.
[01:53:31.228 --> 01:53:34.092]  And today I've had the hair on the back of my neck stand up with both those guests.
[01:53:38.067 --> 01:53:39.968]  I got a lot to cover in the time we got left.
[01:53:39.988 --> 01:53:44.590]  And then Jay Dyer is really smart, a great researcher, because I mean, I'll be, I've been honest with you.
[01:53:45.211 --> 01:53:51.734]  I read a lot of documents and I read a lot of synopses and I, the guys will give me some new hundred page report and I'll like highlight two pages and I read that.
[01:53:52.635 --> 01:53:53.575]  Jay Dyer reads it all.
[01:53:53.795 --> 01:53:56.296]  Like, like I used to read everything 20 years ago, 10 years ago.
[01:53:56.577 --> 01:53:58.798]  Now I don't read whole Klaus Schwab books.
[01:53:58.858 --> 01:54:01.519]  I just cheat sheet and go to the pages and look at it to make sure it's there.
[01:54:03.860 --> 01:54:05.521]  He does massive research.
[01:54:05.561 --> 01:54:06.762]  He'll be hosting the next hour.
[01:54:11.187 --> 01:54:13.608]  And so many people that are smart as I am are smarter.
[01:54:13.628 --> 01:54:21.471]  They always tell me, Alex, just worry about the good people, let the dead bury the dead, knock the dust off your feet like Christ said, and I should listen to Christ.
[01:54:21.511 --> 01:54:22.451]  That's my leader.
[01:54:24.332 --> 01:54:25.132]  That's my father.
[01:54:25.352 --> 01:54:27.993]  That's who I'm under the command of.
[01:54:29.413 --> 01:54:35.375]  But God made me, and I just, I really don't want to turn loose with these people.
[01:54:35.816 --> 01:54:36.736]  I want to save.
[01:54:39.482 --> 01:54:43.266]  These people that are doing all this evil stuff, I can't believe that they don't know God.
[01:54:43.906 --> 01:54:46.829]  I can't believe they don't know how invigorating it is to be a good person.
[01:54:47.510 --> 01:54:49.131]  How empowering it is to not be a coward.
[01:54:51.033 --> 01:54:53.795]  See, my problem is I don't have any fear anymore.
[01:54:54.296 --> 01:54:58.019]  Except fear of failure, and fear of not doing what I should, and fear of being weak.
[01:54:59.541 --> 01:55:01.663]  I mean, fighting tyranny is intoxicating.
[01:55:02.759 --> 01:55:08.163]  When you're doing what you're supposed to do, and you're lined up with things, and your head's screwed on straight, it feels good!
[01:55:09.064 --> 01:55:11.325]  Why would anybody not want to do what's normal?
[01:55:11.826 --> 01:55:12.446]  Men and women!
[01:55:12.766 --> 01:55:13.287]  Families!
[01:55:14.027 --> 01:55:14.548]  Justice!
[01:55:15.448 --> 01:55:15.969]  Power!
[01:55:16.709 --> 01:55:17.690]  We're powerful!
[01:55:18.010 --> 01:55:19.852]  We're gonna build some incredible stuff!
[01:55:20.152 --> 01:55:21.573]  You see all this crap you already built?
[01:55:21.613 --> 01:55:22.634]  This is tinker toy!
[01:55:22.834 --> 01:55:23.915]  This is finger painting!
[01:55:30.119 --> 01:55:30.980]  And then I think about,
[01:55:32.776 --> 01:55:41.558]  Being a Mark Zuckerberg or being a Bill Gates and what it's like to be a sack of garbage.
[01:55:43.239 --> 01:55:44.259]  To be real trash.
