[00:00:01.348 --> 00:00:02.509]  The corrupt U.S.
[01:55:46.003 --> 01:55:47.365]  No, we're the people on the field.
[01:55:48.598 --> 01:56:06.769]  The maximum effort right now to realize that, to share the videos, to share the articles, to share the information from Real Alex Jones on X, at InfoWars.com, Ford's last show, and Bandop Video, and to support the great products that you want to experience anyways, at InfoWarsStore.com.
[01:56:07.370 --> 01:56:15.635]  Vitamin Mineral Fusion, back in stock, sold out for a long time, 40% off, so good for your body, all the essential vitamins, minerals, and amino acids.
[01:56:16.707 --> 01:56:18.348]  If you're missing any of those, you've got a big problem.
[01:56:19.069 --> 01:56:22.852]  Put a scoop up in the pitcher or a tiny part scoop in a glass of water.
[01:56:23.252 --> 01:56:23.892]  It tastes great.
[01:56:25.814 --> 01:56:31.758]  It's 40% off at infowarestore.com or 888-253-3139.
[01:56:31.778 --> 01:56:38.623]  And also, we have Brain Force Ultra.
[01:56:39.424 --> 01:56:41.145]  There's two brain forces.
[01:56:41.245 --> 01:56:43.267]  One is like a five-hour great base energy.
[01:56:43.787 --> 01:56:45.348]  Brain Force Ultra hits in like 15 minutes.
[01:56:47.011 --> 01:56:47.992]  Lasts about three hours.
[01:56:48.012 --> 01:56:48.733]  That's why I love it.
[01:56:49.173 --> 01:56:52.016]  If I'm going to go to an event or something and I'm tired, take a little squirt under the tongue.
[01:56:52.977 --> 01:56:54.558]  Hits in 15 minutes, goes away in three hours.
[01:56:54.618 --> 01:56:55.279]  I can still sleep great.
[01:56:55.299 --> 01:56:57.601]  It's a very special formula.
[01:56:59.102 --> 01:57:00.424]  So we have Brain Force Ultra.
[01:57:01.385 --> 01:57:02.586]  We have Brain Force Plus.
[01:57:02.826 --> 01:57:03.667]  They're both excellent.
[01:57:03.687 --> 01:57:04.427]  40% off.
[01:57:04.808 --> 01:57:06.129]  Infowarsstore.com.
[01:57:07.642 --> 01:57:16.910]  RainForce Ultra is 40% off right now, 5 star reviews at infowarestore.com or 888-253-3139.
[01:57:16.930 --> 01:57:23.796]  And also don't forget our other great sponsor with amazing products you need, drjonesnaturals.com.
[01:57:23.856 --> 01:57:30.101]  DrJonesNaturals.com for the next level foundational energy that isn't a stimulant, but it feels like one.
[01:57:30.862 --> 01:57:32.423]  It's next level financial energy.
[01:57:32.483 --> 01:57:32.743]  Get it.
[01:57:33.103 --> 01:57:42.068]  Discount at drjonesnaturals.com and all the nano silver products like super blue toothpaste, nano silver, iodine, and so much more.
[01:57:42.628 --> 01:57:44.789]  You'll find it all at drjonesnaturals.com.
[01:57:49.231 --> 01:57:52.413]  So what I really want to ask you to do is pray for myself and the crew and my family.
[01:57:52.793 --> 01:57:53.514]  That's number one.
[01:57:53.574 --> 01:57:54.294]  I want that.
[01:57:54.394 --> 01:57:54.814]  I need that.
[01:57:55.175 --> 01:57:56.215]  It's your prayer that's doing it.
[01:57:56.515 --> 01:57:57.396]  That's why this surfaced.
[01:57:57.416 --> 01:57:58.276]  That's why this happened.
[01:57:58.296 --> 01:57:59.717]  I need the prayer.
[01:58:00.734 --> 01:58:08.288]  That I need you to take the articles, the videos, the posts we make at Real Alex Jones, recopy them, share them, post them yourself, do whatever, just get it out there.
[01:58:09.149 --> 01:58:09.770]  And I need you...
[01:58:11.027 --> 01:58:15.108]  To go to InfoWarsTore.com and I need you to get great products you already need.
[01:58:15.128 --> 01:58:16.449]  There's a bunch of sales going.
[01:58:17.109 --> 01:58:19.750]  DNA Force Plus is so good for your entire body.
[01:58:20.130 --> 01:58:30.293]  Flushes out your mitochondria and your cells with the PQQ, the CoQ10, the ELV, ATP, the Organic Reishi, the Stragolus, Menbromas, Root, and even more for 50% off.
[01:58:30.333 --> 01:58:31.273]  I haven't done that in a while.
[01:58:31.293 --> 01:58:31.953]  That's amazing.
[01:58:33.034 --> 01:58:35.974]  Discover the power of Tri-Iodine, Deep Earth Crystal Iodine, X3, 40% off.
[01:58:38.175 --> 01:58:40.497]  Survival Shield X3 is back in stock at InfoWarsStore.com.
[01:58:40.517 --> 01:58:44.960]  Now, I don't have to tell you all the amazing benefits of nascent iodine.
[01:58:44.980 --> 01:58:47.321]  You can take the time to look that up yourself.
[01:58:58.689 --> 01:58:59.069]  We're good to go!
[01:59:25.635 --> 01:59:27.736]  The Earth's crust for maximum purity.
[01:59:27.937 --> 01:59:37.403]  This helps with things like metabolic efficiency, detoxification benefits, cognitive and neurological support, skin enhancement even, and prevention of hypothyroidism.
[01:59:37.543 --> 01:59:42.506]  Make sure you visit InfoWarsStore.com today and get Survival Shield X3 now at 40% off.
[01:59:52.076 --> 01:59:56.004]  If you are receiving this transmission, you are the resistance.
[02:00:01.292 --> 02:00:05.995]  Here's Joe Rogan and Tucker Carlson talking about AI and what's currently happening.
[02:00:06.035 --> 02:00:07.416]  I predicted seven years ago then.
[02:00:07.436 --> 02:00:09.017]  Attorney Tom Renz joins us.
[02:00:09.037 --> 02:00:11.098]  Stay with us.
[02:00:11.118 --> 02:00:18.763]  22 years on podcast, InfoWars, Alex Jones and Joe Rogan discuss what's currently happening right now.
[02:00:19.263 --> 02:00:23.566]  Google, CERN, technology, vampire, alien.
[02:00:25.607 --> 02:00:27.649]  Alex was pretty on point with this message.
[02:00:28.130 --> 02:00:29.151]  Let me know what your thoughts are.
[02:00:29.431 --> 02:00:31.233]  Is he crazy, or is he on to something?
[02:00:31.573 --> 02:00:32.254]  It's really big.
[02:00:33.074 --> 02:00:34.035]  So, okay.
[02:00:34.596 --> 02:00:36.938]  Um, yeah, pour another shot of that.
[02:00:37.018 --> 02:00:38.219]  Maybe, uh, get the sound proper.
[02:00:39.905 --> 02:00:41.446]  All right, let me give you my best of the police.
[02:00:41.946 --> 02:00:43.347]  Deep research proclamation.
[02:00:43.367 --> 02:00:44.347]  What do you think is going?
[02:00:44.627 --> 02:00:48.429]  But am I wrong to still hold out hope that aliens are real?
[02:00:48.649 --> 02:00:52.551]  Because I'll tell you, that's one of the two guilty pleasures that I still cling to.
[02:00:53.071 --> 02:00:54.212]  It's Bigfoot and aliens.
[02:00:54.472 --> 02:00:55.012]  Those are two.
[02:00:55.232 --> 02:00:56.273]  Bigfoot, not so much.
[02:00:56.353 --> 02:00:57.974]  I wish it was real, but I just don't think it is.
[02:00:57.994 --> 02:00:58.474]  Are you ready?
[02:00:58.814 --> 02:00:59.054]  Yes.
[02:00:59.494 --> 02:00:59.935]  Bigfoot's real?
[02:01:00.855 --> 02:01:01.035]  No.
[02:01:01.276 --> 02:01:01.816]  Come on, Daddy.
[02:01:01.916 --> 02:01:02.276]  No.
[02:01:02.397 --> 02:01:03.337]  Are you ready?
[02:01:03.397 --> 02:01:03.457]  Yes.
[02:01:03.558 --> 02:01:05.840]  I'm going to give you the biggest one.
[02:01:05.880 --> 02:01:07.701]  Joe, there are aliens in this room right now.
[02:01:08.021 --> 02:01:08.402]  For real?
[02:01:08.682 --> 02:01:09.863]  Yeah, you're not of this world, bro.
[02:01:09.923 --> 02:01:10.163]  Me?
[02:01:10.363 --> 02:01:10.984]  You're the alien.
[02:01:11.144 --> 02:01:12.005]  Oh, wow.
[02:01:12.045 --> 02:01:12.525]  I didn't know.
[02:01:13.586 --> 02:01:14.667]  Well, here's what the elite believe.
[02:01:14.967 --> 02:01:17.029]  And let me be very clear, because the media will take this out of context.
[02:01:17.049 --> 02:01:18.611]  I only go with what I can prove.
[02:01:18.871 --> 02:01:19.391]  Oh, thank you.
[02:01:19.631 --> 02:01:20.913]  And people can't even handle that.
[02:01:20.933 --> 02:01:21.653]  There's armies.
[02:01:21.693 --> 02:01:23.415]  We're fighting a pedophile conspiracy.
[02:01:23.735 --> 02:01:26.918]  But beyond that, it's a vampire conspiracy in that they are
[02:01:27.398 --> 02:01:30.261]  Interdimensionally sucking the essence of our youth.
[02:01:30.641 --> 02:01:30.842]  Right.
[02:01:31.002 --> 02:01:33.665]  And they believe they're possessed by an off-world entity.
[02:01:33.705 --> 02:01:34.125]  They do?
[02:01:34.986 --> 02:01:37.108]  Yeah, and Joe, I've been on air 22 years.
[02:01:37.168 --> 02:01:40.271]  I don't get into aliens, metaphysical, religion, any of that.
[02:01:40.431 --> 02:01:43.815]  I've studied the elite, and I've also communicated with a lot of the top people.
[02:01:43.835 --> 02:01:49.821]  And if you want to know, I will actually break down right now the best knowledge right now of what's happening on the planet.
[02:01:50.021 --> 02:01:50.582]  What's happening?
[02:01:51.877 --> 02:01:57.019]  The elite are all about transcendence and living forever and the secrets of the universe and they want to know all this.
[02:01:57.059 --> 02:01:58.819]  Some are good, some are bad, some are a mix.
[02:01:59.719 --> 02:02:01.640]  But the good ones don't ever want to organize.
[02:02:02.020 --> 02:02:04.321]  The bad ones don't want to organize because they lust after power.
[02:02:04.801 --> 02:02:08.002]  Powerful consciousnesses don't want to dominate other people.
[02:02:08.242 --> 02:02:12.243]  They want to empower them so they don't tend to get together until things are really late in the game.
[02:02:12.263 --> 02:02:13.003]  Then they come together.
[02:02:13.083 --> 02:02:15.304]  Evil is always defeated because good is so much stronger.
[02:02:16.364 --> 02:02:21.648]  And we're on this planet, and Einstein's physics showed it, Max Planck's physics showed it, oh, there's at least 12 dimensions.
[02:02:22.228 --> 02:02:24.910]  And now that's what all the top scientists and billionaires are coming out saying.
[02:02:25.210 --> 02:02:26.251]  It's a false hologram.
[02:02:26.331 --> 02:02:27.912]  It is artificial.
[02:02:27.972 --> 02:02:36.418]  The computers are scanning it and finding tension points where it's artificially projected, and gravity's bleeding in to this universe.
[02:02:36.798 --> 02:02:37.859]  That's what they call dark matter.
[02:02:38.880 --> 02:02:44.745]  So we're like a thought or a dream that's a wisp in some computer program, some God's mind, whatever.
[02:02:45.085 --> 02:02:45.805]  They're proving it all.
[02:02:45.865 --> 02:02:46.486]  It's all coming out.
[02:02:47.367 --> 02:02:54.752]  Now, there's like this sub-transmission zone below the third dimension that's just turned over the most horrible things is what it resonates to.
[02:02:55.313 --> 02:03:01.497]  And it's trying to get up into the third dimension that's just a basic level consciousness to launch into the next levels.
[02:03:02.338 --> 02:03:02.558]  I think?
[02:03:22.324 --> 02:03:43.371]  Believe they're racing or using human technology to try to take our best minds and build some type of breakaway civilization where they're going to merge with machines, transcend, and break away from the failed species that is man, which is kind of like a false transmission because they're thinking what they are is ugly and bad, projecting it onto themselves instead of believing.
[02:03:43.911 --> 02:03:46.292]  No, it's a human test about building us up.
[02:03:46.772 --> 02:03:46.912]  I think?
[02:04:03.909 --> 02:04:04.669]  We're good to go.
[02:04:26.457 --> 02:04:26.798]  I think?
[02:04:44.541 --> 02:04:45.482]  Thanks for watching!
[02:04:59.124 --> 02:05:07.947]  DNA Force Plus from InfoWarsTore.com is the perfect formula to help you support optimal energy levels while adapting your body to handle the daily bombardment of toxins.
[02:05:08.127 --> 02:05:12.489]  And that's why DNA Force Plus has exactly what you need to provide your cells with protection.
[02:05:12.769 --> 02:05:17.371]  The powerhouse ingredients in DNA Force Plus include LFATP, PQQ, CoQQ,
[02:05:17.651 --> 02:05:18.172]  I think so.
[02:05:33.985 --> 02:05:34.245]  I think so.
[02:06:08.934 --> 02:06:13.059]  Defending the Republic from enemies foreign and domestic.
[02:06:13.799 --> 02:06:15.301]  It's Alex Jones.
[02:06:15.621 --> 02:06:20.306]  All right, I don't build up attorney Tom Renz just to build him up.
[02:06:20.326 --> 02:06:21.548]  He doesn't care about that.
[02:06:21.728 --> 02:06:25.312]  It's because he's been so good the last three years exposing the COVID fraud.
[02:06:25.892 --> 02:06:34.919]  And so many of the huge whistleblowers, including the vice president of Eagle Held Alliance that cooked all this up, Army Intelligence, coming out and exposing it.
[02:06:34.939 --> 02:06:36.180]  That's just one of dozens.
[02:06:36.741 --> 02:06:40.423]  And his lawsuits have been the most devastating against the deep state.
[02:06:41.184 --> 02:06:41.484]  That's great.
[02:06:57.626 --> 02:06:59.107]  Still promoting the poison shot.
[02:06:59.387 --> 02:07:01.248]  Not a lot, but he still kind of slips it in there.
[02:07:02.008 --> 02:07:03.569]  And he gets booed by audiences.
[02:07:03.749 --> 02:07:05.150]  And what happened with War of Speed?
[02:07:05.170 --> 02:07:06.490]  Because we know they're after him.
[02:07:07.071 --> 02:07:08.311]  We know he did a lot of great things.
[02:07:08.371 --> 02:07:14.034]  But you can have a big juicy punch bowl of grapefruit punch, but one cockroach in it ruins the whole thing.
[02:07:14.954 --> 02:07:23.999]  And so it's important that we don't repeat what happened in 2016, where Trump brings in a bunch of bad people and figures it out later.
[02:07:24.019 --> 02:07:25.820]  He says he's awake now, it's going to be different.
[02:07:26.547 --> 02:07:41.431]  The deep state is definitely scared, but Tom Renz of TomRenz.com, on substack TomRenz.substack.com and Renz-Law.com, and on exit RenzTom, has really done the deep dive on this.
[02:07:41.451 --> 02:07:42.691]  We're going to put the documents on screen.
[02:07:42.711 --> 02:07:45.192]  We're going to talk about who is surrounding Trump.
[02:07:45.752 --> 02:07:47.274]  No, we're getting our asses kicked.
[02:08:09.366 --> 02:08:13.729]  But if you wake up that you're getting your ass kicked, you can actually turn it around and win the fight.
[02:08:14.389 --> 02:08:15.210]  And so that's where I'm at.
[02:08:15.250 --> 02:08:20.714]  Let's admit we're in a fight, at least, and not just count all these magical players to save us.
[02:08:21.094 --> 02:08:23.736]  So Tom Renz, you sent us the dockets.
[02:08:23.756 --> 02:08:24.536]  We'll put them on screen.
[02:08:26.257 --> 02:08:27.458]  Let's talk about this right now.
[02:08:28.919 --> 02:08:33.482]  Yes, I love how you said that, Alex, because one of the things I run into a lot is the same thing you do.
[02:08:33.522 --> 02:08:37.465]  You know, you've got the Q folks out there that I think we got the White Hats running the show.
[02:08:38.337 --> 02:08:40.379]  And, you know, I've said this a million times.
[02:08:40.759 --> 02:08:41.800]  I'm not Alex Jones.
[02:08:42.000 --> 02:08:43.721]  I'm not an insider with Donald Trump.
[02:08:43.822 --> 02:08:46.123]  I don't have all the connections that everybody has.
[02:08:46.544 --> 02:08:51.708]  So, you know, if there's white hats out there, I've got no evidence of it, but let's say for a second that there are.
[02:08:51.728 --> 02:08:58.693]  Well, you've had white hats come to you, like the Vice President of the Health Alliance, and you put it out, and they're going to get taxed at their homes.
[02:08:59.912 --> 02:09:01.833]  Yeah, yeah, and that's what happens.
[02:09:02.094 --> 02:09:04.195]  I mean, listen, if you speak out, you get attacked.
[02:09:04.595 --> 02:09:18.825]  But the thing about this is, though, is you see these guys who are fighting, and what happens then is our guys tend to forget that for every good guy out there, there's a bunch of bad guys trying to infiltrate.
[02:09:18.905 --> 02:09:22.107]  And that's the question we have, because we all know that we need a Trump 2024 victory.
[02:09:24.022 --> 02:09:28.024]  But the question is, you know, who's trying to get in there?
[02:09:28.184 --> 02:09:33.366]  And one of the issues that we found is, you know, Alex, imagine this.
[02:09:33.506 --> 02:09:40.309]  So you got a guy who's got his entire life, his fortune, his family on the line to stand for America first, right?
[02:09:41.490 --> 02:09:45.732]  And you look around and you say, well, who has he got around him?
[02:09:46.372 --> 02:09:50.534]  Then you look at his campaign manager, who is also in charge of his path.
[02:09:51.084 --> 02:10:00.432]  The person who by any and all accounts controls all access to Trump and who most importantly apparently controls his schedule to an extent.
[02:10:01.133 --> 02:10:11.802]  And again, anybody who ever works with anybody who's got any authority or power knows that if you really want to know who's controlling the day, it's the person who's managing the schedule, right?
[02:10:12.683 --> 02:10:18.088]  So I look around and I start seeing Susie Wiles' name and I see it over and over again.
[02:10:19.156 --> 02:10:22.439]  And I keep saying, well, you know, people say to me, hey, we're trying to get with Trump.
[02:10:22.459 --> 02:10:23.119]  Can you help?
[02:10:23.179 --> 02:10:24.080]  Well, no, I can't help.
[02:10:24.140 --> 02:10:24.981]  I got no connections.
[02:10:25.521 --> 02:10:28.243]  But what's the problem?
[02:10:28.263 --> 02:10:31.125]  They said, well, the Susie Wiles character won't let us in, won't let us in.
[02:10:31.185 --> 02:10:32.486]  Okay, well, why is that?
[02:10:32.526 --> 02:10:33.567]  You're a mega guy.
[02:10:33.607 --> 02:10:34.368]  Why can't you get in?
[02:10:35.128 --> 02:10:36.049]  They said she won't let us.
[02:10:36.529 --> 02:10:38.811]  So I started looking into this woman, right?
[02:10:39.552 --> 02:10:39.652]  And
[02:10:40.407 --> 02:10:50.878]  Again, in charge of Trump's campaign and his PAC, arguably his closest advisor, when I asked my friends who are close to Trump, they say, you don't get a meeting without Trump unless she's in the room.
[02:10:51.198 --> 02:10:53.000]  You don't get a phone call unless she's in the room.
[02:10:53.360 --> 02:10:54.461]  She's omnipresent.
[02:10:55.182 --> 02:10:57.104]  And I said, okay, well, what's her story?
[02:10:57.544 --> 02:11:00.027]  So I look her up and I start doing some research.
[02:11:01.107 --> 02:11:08.429]  And we find out that, first of all, there's some real questions about her related to DeSantis and her work with DeSantis and some of the others.
[02:11:08.870 --> 02:11:13.051]  You know, some questions about whether she was loyal, whether she was shady, whether she was this, she was that.
[02:11:13.591 --> 02:11:15.932]  But right there, what you're showing is the key.
[02:11:16.812 --> 02:11:18.073]  Mercury, right?
[02:11:18.733 --> 02:11:25.295]  So she's the co-chair for a company called Mercury LLC, Florida D.C.
[02:11:25.375 --> 02:11:25.755]  offices.
[02:11:26.395 --> 02:11:28.116]  Mercury LLC is key.
[02:11:28.889 --> 02:11:35.976]  If you look at Mercury LLC, while she's working with Donald Trump, she's also getting paid to work for Mercury LLC.
[02:11:36.536 --> 02:11:40.981]  Well, Mercury LLC is the uniparty swamp, okay?
[02:11:41.481 --> 02:11:43.463]  Mercury LLC represents Gavi.
[02:11:44.184 --> 02:11:53.569]  They represent the UN Foundation, they represent Pfizer, they represent Gilead, they represent all of these groups who are 100% anti-viral.
[02:11:53.629 --> 02:11:55.571]  Hey Tom, let's spend some time on this.
[02:11:56.051 --> 02:12:08.438]  It's all in Geneva, it's the groups that regulate the vaccines, that make the money off the vaccines, that implement the government policy, so it's the it's the it's the uniparty deep state eugenics combine and she works for their main lobbying group.
[02:12:09.654 --> 02:12:10.234]  Right, right.
[02:12:10.314 --> 02:12:16.876]  So the way that this works, and you know this Alex, so these guys, what they'll do is you've got these consulting firms.
[02:12:17.336 --> 02:12:19.837]  They represent Democrats, they represent Republicans.
[02:12:19.917 --> 02:12:22.218]  If you want to get elected, you work with them.
[02:12:22.698 --> 02:12:23.598]  They're the uniparty.
[02:12:23.618 --> 02:12:27.179]  They're the reason that it doesn't matter whether you're a D or R, you do the same thing.
[02:12:27.539 --> 02:12:30.060]  Because if you want to get elected, you support their causes.
[02:12:30.520 --> 02:12:31.441]  What are their causes?
[02:12:31.641 --> 02:12:32.641]  Well, look at their clients.
[02:12:33.261 --> 02:12:46.610]  In this case, with Mercury, you've got Gilead, you've got Pfizer, you've got Gabby, anyone that's all about controlling our genome and destroying us with these mRNA poisons and other genetic-modifying type things.
[02:12:47.290 --> 02:12:50.973]  These guys are all, all, all working with Mercury.
[02:12:51.993 --> 02:12:52.994]  Well, meanwhile,
[02:12:54.221 --> 02:13:00.183]  You got guys like Dr. Peter McCullough, guys like me, people who've done all this work, done all this stuff.
[02:13:00.743 --> 02:13:02.624]  None of us can get a meeting with Donald Trump.
[02:13:02.664 --> 02:13:03.284]  Why is that?
[02:13:03.364 --> 02:13:06.685]  Now, I understand for a guy like me, you know, I'm a nobody from Ohio, right?
[02:13:06.725 --> 02:13:08.145]  But I've done a fair bit of work here.
[02:13:08.866 --> 02:13:12.467]  And I know a little bit about this and I've offered and the offer still stands.
[02:13:12.707 --> 02:13:22.310]  I will on my own dime, I will fund flying people like McCullough and some of these experts in any time to meet with Trump to advise him on what's going on with these jabs.
[02:13:23.150 --> 02:13:23.290]  But
[02:13:24.502 --> 02:13:31.909]  I think just as importantly as the jabs and everything else, because what this does is this shows where the influence is, right?
[02:13:31.949 --> 02:13:40.838]  So if you're running this campaign, this schedule, you're not going to let people who are like McCullough in to talk to Trump because our data is inarguable.
[02:13:41.358 --> 02:13:43.340]  It's absolutely inarguable.
[02:13:43.780 --> 02:13:45.162]  We know what these jabs are.
[02:13:45.222 --> 02:13:46.243]  We know what happened.
[02:13:46.263 --> 02:13:47.264]  We know what's going on.
[02:13:48.064 --> 02:13:49.746]  So you've got people like that.
[02:13:50.347 --> 02:13:52.549]  Then you're not going to let them in.
[02:13:52.829 --> 02:13:59.134]  Meanwhile, you're going to make sure that Trump hears whatever it is that he needs to hear from air quotes, independent doctors.
[02:14:00.561 --> 02:14:03.922]  That actually are just pro-Gabby, pro-Pfizer.
[02:14:04.382 --> 02:14:07.643]  And so what we've got here is a manipulation of the story.
[02:14:07.683 --> 02:14:09.584]  And I think that this really explains a lot.
[02:14:10.284 --> 02:14:14.465]  That's how they put him, surrounded by experts that tell him he's doing the right thing.
[02:14:15.066 --> 02:14:18.507]  Just like they had a 60 Minutes piece like three years ago.
[02:14:19.047 --> 02:14:22.148]  Fiona Hill cried and said, Alex Jones claims I'm a globalist.
[02:14:22.628 --> 02:14:23.708]  I don't know what a globalist is.
[02:14:23.728 --> 02:14:24.609]  She told Congress that.
[02:14:24.949 --> 02:14:27.690]  She was the publisher and on the board of
[02:14:32.275 --> 02:14:52.382]  George Soros is bored and she was the editor of theglobalist.com and she's up there bitching that I just talked to Trump and said hey by the way this lady runs the White House she's attacking you she got fired so when Trump got that they fired her but then the deep state came and sued me and the CIA attacked me so what you're definitely on the trail here Tom
[02:14:53.263 --> 02:14:56.524]  Yeah, well, so here's, let's take it a step further, Alex.
[02:14:56.944 --> 02:15:06.328]  So you've got Mercury and they've got all these things and you can go through their press and you can see they represent, they don't care, Democrat, Republican, all they care about is that you support the uniparty policy.
[02:15:07.088 --> 02:15:11.089]  And this is really important because people think that it's always, you know, the Democrats versus Republicans.
[02:15:11.149 --> 02:15:12.810]  It's not Democrats versus Republicans.
[02:15:12.870 --> 02:15:14.511]  It's uniparty versus we the people.
[02:15:15.471 --> 02:15:21.193]  And so what you've got to understand is you look at Mercury and I say, well, what's this Mercury LLC?
[02:15:22.356 --> 02:15:29.198]  They are controlled, they are owned by a group called Omnicom, the Omnicom Group.
[02:15:29.838 --> 02:15:34.700]  The Omnicom Group is a massive, massive WEF partner.
[02:15:35.100 --> 02:15:44.203]  Okay, so these guys are direct partners with the World Economic Forum, and they own something like 1,500 different marketing agencies, like Mercury, around the world.
[02:15:49.927 --> 02:15:54.789]  So what they do is, this is how the World Economic Forum and these globalists exert their influence.
[02:15:55.129 --> 02:15:58.451]  So how does it... This is the mouth of the New World Order.
[02:15:59.411 --> 02:16:01.792]  It is absolutely the mouth of the New World Order.
[02:16:02.232 --> 02:16:06.214]  And it's one of several, but these guys run these different companies around the world.
[02:16:06.534 --> 02:16:08.655]  They tell them, right there, you see that?
[02:16:09.455 --> 02:16:11.716]  Right there at the top, you know, Hakeem Jeffries.
[02:16:11.996 --> 02:16:15.418]  We've got all these different, they don't care Democrat or Republican.
[02:16:15.798 --> 02:16:16.739]  They do not care.
[02:16:16.819 --> 02:16:17.880]  It's irrelevant to them.
[02:16:18.220 --> 02:16:24.064]  It's you either support their uniparty, globalist, corporate, elite policies or you don't get elected.
[02:16:24.424 --> 02:16:27.546]  That's why you can't tell the difference between Mike Johnson and Adam Schiff.
[02:16:27.887 --> 02:16:30.809]  So you're identifying who is in there giving Trump that advice?
[02:16:32.129 --> 02:16:38.134]  This person is Trump's, arguably from what we've been reporting, Trump's closest advisor.
[02:16:38.594 --> 02:16:39.955]  She's running his campaign.
[02:16:39.975 --> 02:16:42.777]  You're saying it's Trump's brain when it comes to the poison shots?
[02:16:44.372 --> 02:16:45.432]  From what we're being told.
[02:16:45.972 --> 02:16:46.973]  From what we're being told.
[02:16:47.973 --> 02:16:50.293]  And again, it makes total sense, right?
[02:16:50.713 --> 02:16:52.074]  Now, we see not only that.
[02:16:52.174 --> 02:16:55.254]  Now, I want to take this a step further, Alex, because we've got some other things.
[02:16:56.235 --> 02:17:00.996]  One of the other things that I start looking at is endorsements, right?
[02:17:01.436 --> 02:17:03.356]  Oh, Trump's been making some really bad endorsements.
[02:17:04.336 --> 02:17:05.337]  Well, let me tell you.
[02:17:05.577 --> 02:17:08.117]  So, first hand, Michigan.
[02:17:08.817 --> 02:17:10.438]  Okay, so I live in Ohio.
[02:17:10.498 --> 02:17:11.498]  I'm right next to Michigan.
[02:17:12.145 --> 02:17:16.507]  I got dear friends up in Michigan and I'm watching the Republican Party in Michigan.
[02:17:16.887 --> 02:17:23.930]  Do you know that on Trump's election night, primary election night at his watch party, there was like only a hundred people that showed up?
[02:17:25.291 --> 02:17:27.131]  Michigan is so depressed right now.
[02:17:27.772 --> 02:17:29.692]  The mega base is so depressed in Michigan.
[02:17:30.052 --> 02:17:35.975]  Trump has a shot or had a shot at winning Michigan, but Trump goes and he endorses Pete Hoekstra, right?
[02:17:37.119 --> 02:17:42.662]  Pete Hoekstra steps in and there's some questions about the legality of this.
[02:17:42.742 --> 02:17:43.182]  I don't know.
[02:17:43.202 --> 02:17:52.467]  It's hard to say where it is, but Hoekstra steps in and he pushes out this woman who's running the Republican Party in Michigan.
[02:17:53.187 --> 02:17:59.810]  The lady running the Republican Party in Michigan that he basically pushed out was a very strong MAGA person.
[02:17:59.830 --> 02:18:00.151]  She was 100% MAGA.
[02:18:00.951 --> 02:18:01.571]  She was a good woman.
[02:18:01.591 --> 02:18:01.871]  I know her.
[02:18:07.839 --> 02:18:11.201]  Just fighting the MAGA cause.
[02:18:11.662 --> 02:18:22.369]  Also, she's a strong African American leader who is bringing in a lot of people, a lot of diversity, a lot of people that you didn't necessarily see in the Republican Party in Michigan.
[02:18:23.009 --> 02:18:26.472]  This guy, this Pete Hoekstra, gets endorsed
[02:18:27.695 --> 02:18:31.296]  And all of a sudden, he's throwing her out.
[02:18:31.356 --> 02:18:33.637]  He's stepping in, taking power.
[02:18:33.657 --> 02:18:35.438]  We're not exactly sure how he did that.
[02:18:35.478 --> 02:18:38.939]  Well, Tom, I've talked to a lot of really biggest brains that talk Trump every day.
[02:18:39.359 --> 02:18:40.080]  They say the same thing.
[02:18:40.140 --> 02:18:43.761]  He's endorsing a lot of bad people, and he's being told to do this.
[02:18:44.801 --> 02:18:45.062]  Right.
[02:18:45.262 --> 02:18:51.404]  And I'm using this as an example, Alex, because what you see is his actions there, that endorsement,
[02:18:52.273 --> 02:18:54.115]  It led to a huge, huge depression.
[02:18:54.215 --> 02:18:58.359]  He also has up in Michigan, you know the name Pastor Bernadette Smith, Alex?
[02:18:58.579 --> 02:19:00.641]  Yes.
[02:19:01.242 --> 02:19:09.991]  She's a wonderful African-American leader in Michigan, and she was the one who united the Muslims and the Christians against the trans movement in Detroit.
[02:19:11.592 --> 02:19:14.375]  There was a big thing up in the Muslim community up there.
[02:19:15.546 --> 02:19:15.806]  Yeah.
[02:19:16.026 --> 02:19:18.769]  And they said we're not flying trans flags, we're flying American flags.
[02:19:19.350 --> 02:19:20.070]  Yeah, yeah.
[02:19:20.110 --> 02:19:23.293]  So she was one of the people that helped unite the communities on this, right?
[02:19:23.333 --> 02:19:26.676]  So this is the kind of leader that you want in the GOP, right?
[02:19:27.677 --> 02:19:38.367]  So Pete Hoekstra gets in up in Michigan and he actually told 24 different counties in Michigan that they weren't allowed to vote
[02:19:39.178 --> 02:19:46.823]  Because the deep state is trying to keep control of the Republican Party and they're manipulating Trump with the machinery to help them do that while they work against Trump.
[02:20:01.957 --> 02:20:02.838]  That's my point.
[02:20:03.218 --> 02:20:05.400]  So you look at Michigan as a microcosm.
[02:20:05.540 --> 02:20:11.505]  Like we see, we just had another terrible GOP support in Oklahoma.
[02:20:12.286 --> 02:20:14.208]  You know, Trump is getting all these bad guys.
[02:20:14.428 --> 02:20:15.429]  So how does that happen?
[02:20:15.749 --> 02:20:20.973]  Well, Trump doesn't have the time to look into who's, you know, good GOP rep in what state.
[02:20:21.674 --> 02:20:25.097]  So he has someone that hands him a one-sheeter or one-pager.
