[00:00:00.287 --> 00:00:00.647]  Jump into it.
[01:38:03.540 --> 01:38:05.060]  That's why Trump isn't being charged for it.
[01:38:05.160 --> 01:38:09.323]  Trump, you said it yourself, he's not being charged with incitement, he's not being charged with insurrection.
[01:38:09.363 --> 01:38:11.704]  That has nothing to do with him saying a particular thing.
[01:38:12.304 --> 01:38:18.247]  Did Joe Biden try to get the votes certified for Hillary Clinton?
[01:38:18.528 --> 01:38:24.831]  Did Hillary Clinton try to force Joe Biden in 2016 to certify the electoral votes?
[01:38:24.931 --> 01:38:26.512]  No, because I think the landslide was so big.
[01:38:28.083 --> 01:38:31.886]  The Lance... Biden had a pretty big... Wait, hold on, what do you mean the Lance?
[01:38:32.106 --> 01:38:33.127]  Didn't Hillary win the popular vote?
[01:38:33.147 --> 01:38:34.427]  Hillary won the popular vote.
[01:38:34.467 --> 01:38:40.652]  Biden won by more than... So Trump didn't win the 2016 election.
[01:38:41.072 --> 01:38:41.232]  What?
[01:38:41.552 --> 01:38:42.113]  Trump didn't win.
[01:38:42.273 --> 01:38:43.094]  No, which one?
[01:38:43.114 --> 01:38:43.094]  2016.
[01:38:43.494 --> 01:38:46.016]  He didn't win the popular vote.
[01:38:46.076 --> 01:38:46.916]  With Russian help, right?
[01:38:46.936 --> 01:38:47.937]  He didn't win the popular vote.
[01:38:48.277 --> 01:38:50.679]  I, from the evidence I've seen, he had a huge landslide.
[01:38:50.959 --> 01:38:53.461]  They tried to steal it with illegal alien voters, but it's still so big.
[01:38:53.521 --> 01:38:54.021]  Oh, come on.
[01:38:54.061 --> 01:38:56.223]  We're not all privy to the election that exists in your head.
[01:38:56.243 --> 01:38:56.963]  I know, there's no illegal aliens.
[01:38:56.983 --> 01:38:59.205]  There's voices that talk to you, don't give us the same kind of information.
[01:38:59.225 --> 01:38:59.825]  Democrats are voting.
[01:38:59.845 --> 01:39:01.126]  The rest of us on earth don't get anything.
[01:39:01.146 --> 01:39:02.447]  We've been down from the mothership.
[01:39:02.487 --> 01:39:04.168]  We've got to go find where people are in reality.
[01:39:04.188 --> 01:39:04.649]  I'm so sorry.
[01:39:04.669 --> 01:39:05.089]  Here we go.
[01:39:05.369 --> 01:39:07.010]  People know you're wrong.
[01:39:07.591 --> 01:39:09.392]  The states with the illegals are getting more.
[01:39:09.672 --> 01:39:14.035]  California just got six more congressional seats.
[01:39:14.075 --> 01:39:14.836]  We need you to come up and...
[01:39:15.456 --> 01:39:17.957]  Ladies and gentlemen, I'm tied down.
[01:39:17.997 --> 01:39:19.017]  There's no invasion!
[01:39:19.037 --> 01:39:20.077]  There's no border!
[01:39:20.097 --> 01:39:22.118]  Do you guys think that there was federal involvement here?
[01:39:22.138 --> 01:39:28.559]  Or if there was, what the extent of it was on January 6th?
[01:39:28.719 --> 01:39:31.320]  I think there were probably federal agents undercover.
[01:39:31.460 --> 01:39:36.621]  Do I think that federal agents committed crimes and led people into the Capitol building?
[01:39:36.721 --> 01:39:37.502]  Absolutely not.
[01:39:37.602 --> 01:39:41.042]  And there hasn't been any case brought by any of these 700 convicts
[01:39:43.763 --> 01:39:44.984]  None of them brought that up in court.
[01:39:45.284 --> 01:39:48.345]  Because they're being prosecuted in the District of Columbia.
[01:39:48.465 --> 01:39:50.165]  Because there's no evidence of it.
[01:39:50.265 --> 01:39:51.926]  Absolutely no evidence of it.
[01:39:51.946 --> 01:39:53.647]  They won't let them put defenses on.
[01:39:53.967 --> 01:39:54.867]  Let me tell you something.
[01:39:55.547 --> 01:39:58.148]  They said Rams was a hero and did nothing wrong.
[01:39:58.408 --> 01:40:02.870]  Now they finally indicted him because they know it's a weak spot and their operation only lasted for six months.
[01:40:04.010 --> 01:40:19.359]  Let me tell you, we're not playing clips for tit for tat here, but everybody's gonna, I want everybody on X to get these statements and put all the clips of women putting onions in their eyes and the cops fake arresting people and high-fiving and saying, I'm a federal agent, I just helped run the attack.
[01:40:19.799 --> 01:40:21.620]  They're gonna string all these videos out.
[01:40:22.120 --> 01:40:22.981]  So here's the thing.
[01:40:23.621 --> 01:40:26.463]  Like Brian said, there's probably some informants on the ground.
[01:40:26.483 --> 01:40:30.265]  I think one of the Proud Boys, one of the ladies in the Proud Boy was an informant.
[01:40:30.605 --> 01:40:31.426]  So she was on the ground.
[01:40:31.746 --> 01:40:33.727]  She didn't go into the Capitol building, I don't believe.
[01:40:34.908 --> 01:40:38.630]  The problem is with what Alex does is he pushes these conspiracy theories.
[01:40:38.950 --> 01:40:40.751]  These ideas that illegal aliens were voting.
[01:40:40.771 --> 01:40:42.052]  There's no evidence of that.
[01:40:43.360 --> 01:40:50.562]  I think with the illegal alien voting thing is what's happening is they're coming in and then they're being counted in the census, which then adds more electoral votes.
[01:40:50.902 --> 01:40:51.322]  Okay.
[01:40:51.402 --> 01:40:52.742]  It gives more congressional districts.
[01:40:52.922 --> 01:40:53.402]  That's fair.
[01:40:53.442 --> 01:40:54.203]  That might be happening.
[01:40:54.223 --> 01:40:54.983]  I haven't researched that.
[01:40:55.003 --> 01:40:56.103]  They're indictments all over the country.
[01:40:56.123 --> 01:40:56.543]  They're not voting.
[01:40:56.563 --> 01:40:58.424]  They're indictments of illegals everywhere voting.
[01:40:58.484 --> 01:40:59.044]  Got them again.
[01:40:59.064 --> 01:40:59.484]  Hit them hard.
[01:40:59.504 --> 01:41:00.144]  Hit them hard.
[01:41:00.164 --> 01:41:01.004]  They're not voting.
[01:41:01.204 --> 01:41:02.605]  Alex, that's a conspiracy theory.
[01:41:02.645 --> 01:41:03.325]  Like two people?
[01:41:03.345 --> 01:41:03.745]  Maybe five?
[01:41:03.805 --> 01:41:06.906]  A bunch of cities have passed laws where illegal aliens can vote.
[01:41:06.986 --> 01:41:07.746]  No, they haven't.
[01:41:07.866 --> 01:41:08.986]  No.
[01:41:09.026 --> 01:41:10.326]  Not in the federal elections.
[01:41:10.847 --> 01:41:12.707]  Oh, the illegals are voting in elections though?
[01:41:12.907 --> 01:41:13.728]  Not in the federal ones.
[01:41:13.968 --> 01:41:16.651]  I know that some cities try to have them voting in local matters.
[01:41:16.671 --> 01:41:17.912]  I don't know how many of those are successful.
[01:41:17.932 --> 01:41:19.774]  Illegal aliens shouldn't be voting, okay?
[01:41:20.334 --> 01:41:20.834]  But they're not.
[01:41:20.955 --> 01:41:22.576]  They're not voting in federal elections.
[01:41:22.696 --> 01:41:24.098]  I don't know why you would care though.
[01:41:24.358 --> 01:41:25.098]  Why would you even care?
[01:41:25.159 --> 01:41:26.300]  That's a conspiracy theory, Alex.
[01:41:26.340 --> 01:41:29.863]  There are going to be 100 million views of you guys.
[01:41:30.463 --> 01:41:31.805]  X is going to eat you guys alive.
[01:41:31.825 --> 01:41:32.165]  I'm glad.
[01:41:32.205 --> 01:41:32.966]  I can't wait for it.
[01:41:33.286 --> 01:41:36.568]  I don't know why you care about illegals voting when you think Trump can just flip the whole election anyway.
[01:41:36.588 --> 01:41:37.028]  Who cares?
[01:41:37.449 --> 01:41:38.769]  He can just ask Pence to throw it all out.
[01:41:38.789 --> 01:41:40.470]  I never said I thought Trump could flip the election.
[01:41:41.131 --> 01:41:42.612]  Do you think it was okay when he asked Pence to do it?
[01:41:42.732 --> 01:41:44.973]  I already told you five times I think that was a bad theory.
[01:41:45.333 --> 01:41:46.514]  I didn't say it was a bad theory.
[01:41:46.534 --> 01:41:47.555]  Do you think it was allowed?
[01:41:47.575 --> 01:41:48.615]  Do you think it was an attempted coup?
[01:41:48.635 --> 01:41:51.857]  Do you think you can ask the Vice President to unilaterally determine the outcome of the election?
[01:41:53.246 --> 01:41:53.366]  No.
[01:41:53.786 --> 01:41:55.286]  Trump was exploring every option.
[01:41:55.547 --> 01:41:57.307]  The main thing he wanted was a 10-day investigation.
[01:41:57.667 --> 01:42:00.268]  No, Trump wanted Pence to throw out the election to declare him the winner.
[01:42:00.628 --> 01:42:03.588]  Imagine if Trump would say, like, I don't believe Joe Biden can be on the ballot.
[01:42:04.108 --> 01:42:08.249]  Imagine if federal judges... And that would go to court, and the courts can decide that.
[01:42:08.289 --> 01:42:09.750]  What would Republicans be doing right now?
[01:42:09.850 --> 01:42:10.930]  Biden hasn't said that.
[01:42:10.950 --> 01:42:11.950]  Biden hasn't said that.
[01:42:12.010 --> 01:42:17.011]  If Republicans were trying to take... Trump spent four years saying Obama shouldn't go on the ballot.
[01:42:17.371 --> 01:42:20.412]  If Republicans were trying to take Joe Biden on the ballot right now, what would you say?
[01:42:21.485 --> 01:42:22.666]  Let the Supreme Court decide.
[01:42:22.806 --> 01:42:24.227]  It depends on how they're going to do it.
[01:42:24.467 --> 01:42:27.510]  Even this conservative Supreme Court, I'd say let them decide.
[01:42:27.530 --> 01:42:28.831]  Let's find Glenn Greenwaldi.
[01:42:28.871 --> 01:42:29.691]  Yeah, we should.
[01:42:29.731 --> 01:42:33.294]  But, Darren, you've been... Are Republicans having an impeachment committee right now?
[01:42:33.454 --> 01:42:35.356]  What are you, Darren, what's on your brain right now?
[01:42:35.396 --> 01:42:36.717]  Because I'm looking at you thinking.
[01:42:37.778 --> 01:42:40.140]  Well, I can attempt to answer the question about
[01:42:41.257 --> 01:42:50.865]  Federal involvement, because my reporting, or reporting at Revolver News, is largely responsible for changing the national conversation in that direction.
[01:42:50.905 --> 01:42:52.086]  And notice they first threatened to sue you.
[01:42:52.106 --> 01:42:52.806]  I'm going to leave you in a minute.
[01:42:53.086 --> 01:42:53.527]  Take a piss.
[01:42:53.807 --> 01:42:55.228]  They first threatened to sue you.
[01:42:55.548 --> 01:42:56.589]  Now they've indicted Epps.
[01:42:56.649 --> 01:42:57.450]  You've been vindicated.
[01:42:57.930 --> 01:42:59.031]  Yeah, in fact, I have a video.
[01:42:59.191 --> 01:43:00.032]  This is about Ray Epps.
[01:43:00.112 --> 01:43:00.893]  You just mentioned, Alex.
[01:43:01.253 --> 01:43:03.975]  It's clip number three, and it's about 25 seconds long.
[01:43:03.995 --> 01:43:06.777]  We're going to play this, and then Darren, I want to hear what you're about to say.
[01:43:08.618 --> 01:43:11.801]  Tomorrow, we need to go into the Capitol!
[01:43:12.282 --> 01:43:13.663]  Into the Capitol!
[01:43:13.683 --> 01:43:13.883]  No!
[01:43:14.043 --> 01:43:14.263]  No!
[01:43:14.283 --> 01:43:17.566]  No!
[01:43:17.947 --> 01:43:18.908]  Peaceful way!
[01:43:19.028 --> 01:43:19.408]  Fed!
[01:43:19.628 --> 01:43:20.049]  Fed!
[01:43:20.249 --> 01:43:20.609]  Fed!
[01:43:20.850 --> 01:43:21.210]  Fed!
[01:43:21.410 --> 01:43:21.750]  Fed!
[01:43:22.011 --> 01:43:22.311]  Fed!
[01:43:22.571 --> 01:43:22.872]  Fed!
[01:43:23.112 --> 01:43:23.272]  Fed!
[01:43:23.292 --> 01:43:26.815]  Tomorrow, I don't even like to say it because I'll be arrested.
[01:43:26.855 --> 01:43:27.636]  Well, let's not say it.
[01:43:27.656 --> 01:43:29.978]  We need, we need to go, I'll say it.
[01:43:29.998 --> 01:43:30.379]  Alright.
[01:43:30.719 --> 01:43:31.940]  We need to go in.
[01:43:32.020 --> 01:43:33.121]  Shut the fuck up, Boomer.
[01:43:33.161 --> 01:43:33.782]  To the Capitol.
[01:43:35.482 --> 01:43:38.063]  Oh, well wait, Ray Epps didn't do anything because he said peacefully at the end, right?
[01:43:38.343 --> 01:43:39.264]  We didn't move past him.
[01:43:39.304 --> 01:43:41.645]  Well, no, he said go into the Capitol.
[01:43:41.665 --> 01:43:42.385]  But he said peacefully.
[01:43:43.045 --> 01:43:43.866]  Well, so what?
[01:43:43.906 --> 01:43:45.927]  It's still illegal to go into the Capitol.
[01:43:45.967 --> 01:43:47.587]  But peacefully was the operative word.
[01:43:47.607 --> 01:43:49.048]  Yeah, I thought peacefully made it all okay.
[01:43:49.308 --> 01:43:50.969]  No, going in is illegal.
[01:43:51.329 --> 01:43:53.370]  Trump didn't say storm the Capitol.
[01:43:53.390 --> 01:43:54.590]  He didn't say go into the Capitol.
[01:43:54.610 --> 01:43:57.111]  You're right, he's gonna get six months in prison, so.
[01:43:57.432 --> 01:44:01.553]  No, I mean, you guys want to hear the argument for federal involvement or not?
[01:44:01.693 --> 01:44:02.634]  Not really.
[01:44:02.714 --> 01:44:02.994]  Okay.
[01:44:03.354 --> 01:44:03.856]  I want to hear it.
[01:44:04.297 --> 01:44:04.597]  Alright.
[01:44:04.798 --> 01:44:07.284]  Well, there's a lot of dimensions to it.
[01:44:07.324 --> 01:44:09.750]  We can start with the RayApps issue.
[01:44:11.203 --> 01:44:34.907]  Here's a guy, you saw that, that was only part of the clip, there's much longer clips about Ray Epps, but here's a guy who's the only guy caught on camera as early as January 5th, repeatedly calling for people to go into the Capitol, and prefacing his seemingly rehearsed remarks in each case, saying, I'm probably going to go to jail for this, I'm probably going to get arrested for this, you need to go into the Capitol.
[01:44:35.447 --> 01:44:40.150]  The next day, he flew across the whole country, presumably to go hear Trump's speech.
[01:44:40.270 --> 01:44:41.590]  He skipped Trump's speech.
[01:44:42.011 --> 01:44:48.294]  Instead, he was a veritable Where's Waldo, everywhere on January 6th, directing people, go into the Capitol.
[01:44:48.434 --> 01:44:49.575]  It's in that direction.
[01:44:49.935 --> 01:44:51.336]  That's where our problems are.
[01:44:52.156 --> 01:45:06.598]  Then amazingly, he's pre-positioned right at that initial decisive breach point on the west perimeter of the Capitol, and he's whispering into somebody's ear just seconds before the bike racks are broken through.
[01:45:07.259 --> 01:45:09.700]  He texts his nephew, I orchestrated it.
[01:45:10.280 --> 01:45:20.945]  On paper, think about it, he's like a 6'3", former Marine, who is wearing camo gear and a Trump hat, and he just happens to have had a leadership position in the Oath Keepers.
[01:45:21.325 --> 01:45:24.447]  The most demonized and heavily prosecuted... He used to, right?
[01:45:24.587 --> 01:45:25.727]  He doesn't anymore.
[01:45:25.747 --> 01:45:30.829]  The most demonized and heavily prosecuted militia group associated with January 6th.
[01:45:32.669 --> 01:45:35.050]  And the regime doesn't touch him.
[01:45:35.350 --> 01:45:44.695]  However, initially, his behavior was considered to be so egregious he was one of the first 20 people added to the FBI's most wanted list about January 6.
[01:45:45.435 --> 01:45:49.257]  He was prominently featured in the New York Times' ominously titled
[01:45:50.100 --> 01:45:50.881]  Day of Rage.
[01:45:51.201 --> 01:46:02.573]  Of all the clips the New York Times could have found and chosen, they chose Ray Epps to represent their thesis that this was a pre-planned insurrection to storm the Capitol.
[01:46:03.073 --> 01:46:10.741]  And then, when the discussion of federal involvement came in to be, one of our major pieces at Revolver News, literally the next
[01:46:10.981 --> 01:46:11.241]  Yeah.
[01:46:40.990 --> 01:46:43.132]  ...than Epps' own lawyers.
[01:46:43.593 --> 01:46:46.576]  And now, almost three years after...
[01:46:48.100 --> 01:47:14.254]  The government finally says, okay, we're going to hit you with a wrist-slap misdemeanor, as though people are so simple-minded to think, well, if the argument hasn't been indicted, therefore he's a fed, if we indict him now, even if it's a misdemeanor, even three years after, no matter what the circumstances, this constitutes a refutation and totally wipes away the mountains of suspicious evidence surrounding the character of Ray Epps.
[01:47:14.634 --> 01:47:16.295]  That's just the case of Epps.
[01:47:16.335 --> 01:47:17.936]  There are many other things.
[01:47:17.956 --> 01:47:18.997]  Can I just touch on that real quick?
[01:47:19.017 --> 01:47:19.097]  Sure.
[01:47:19.517 --> 01:47:23.380]  So, you mentioned he, you mentioned a few things I want to touch on.
[01:47:23.400 --> 01:47:27.383]  So, you talked about how he whispered in somebody's ear and moments later that guy went in the Capitol.
[01:47:27.403 --> 01:47:28.483]  That was Mr. Samsel.
[01:47:28.784 --> 01:47:29.704]  Yep, that's right.
[01:47:29.884 --> 01:47:32.866]  And Mr. Samsel actually testified under oath.
[01:47:33.066 --> 01:47:34.107]  I believe he is convicted.
[01:47:34.668 --> 01:47:39.030]  He said that Epps actually said, told him, calm down, the police are on our side.
[01:47:39.050 --> 01:47:40.211]  Well, he's changed his story.
[01:47:40.471 --> 01:47:44.254]  I don't, I would rest, I'm just... Did you write the original Revolver article?
[01:47:44.514 --> 01:47:44.734]  Yes.
[01:47:44.955 --> 01:47:45.615]  Okay, thank you.
[01:47:45.895 --> 01:47:48.318]  I set aside three days to go over Ray Epps' stuff and it took me six hours to see.
[01:47:48.338 --> 01:47:51.000]  It was one of the stupidest conspiracies I've ever seen in my entire life.
[01:47:51.461 --> 01:47:53.743]  The other thing I just want to... Yeah, go for it real quick.
[01:47:54.003 --> 01:48:00.769]  So, you said that he didn't get convicted, he didn't get charged until...
[01:48:01.718 --> 01:48:02.338]  Three years later.
[01:48:02.358 --> 01:48:02.778]  Just recently.
[01:48:02.798 --> 01:48:02.878]  Okay.
[01:48:03.398 --> 01:48:20.021]  So, the people who were charged with anything but misdemeanors were people who used violence and people who went into the House chamber, where the joint session was, and the people who were involved in a seditious conspiracy.
[01:48:20.041 --> 01:48:21.441]  It had to be a conspiracy.
[01:48:21.941 --> 01:48:23.302]  Ray Epps acted alone here.
[01:48:23.682 --> 01:48:24.222]  Well, no.
[01:48:25.042 --> 01:48:27.562]  That's an open question.
[01:48:27.642 --> 01:48:29.923]  As far as we can see, he acted alone.
[01:48:30.825 --> 01:48:33.045]  Anything else beyond that would just be a conspiracy theory.
[01:48:33.585 --> 01:48:39.226]  So, he falls into the same category... Well, seditious conspiracy is technically a conspiracy theory.
[01:48:39.246 --> 01:48:40.987]  It doesn't mean that it's not true, right?
[01:48:41.007 --> 01:48:43.607]  No, seditious conspiracy is a charged conspiracy theory.
[01:48:43.727 --> 01:48:44.907]  It's a theory of the case!
[01:48:45.027 --> 01:48:47.228]  A theory that there is a conspiracy that took place.
[01:48:47.668 --> 01:48:55.449]  So, he doesn't fall into any category that any of the other protesters fall in, because he didn't fall into any of those three categories.
[01:48:55.689 --> 01:48:57.170]  So, he got charged with misdemeanor.
[01:48:57.450 --> 01:48:58.970]  Other people, the conspirators,
[01:48:59.795 --> 01:49:04.238]  The people who use violence and the people who went into the House chamber are the ones who were charged with felonies.
[01:49:22.432 --> 01:49:22.612]  Yeah.
[01:49:41.050 --> 01:49:42.312]  Yeah, but he's out to the ellipsoids.
[01:49:42.332 --> 01:49:48.661]  He's telling people in advance of the speech we need to go to the Capitol because somehow he got it in his mind that everything would end up at the Capitol.
[01:49:48.681 --> 01:49:53.607]  I'm pretty sure he's doing it in his, as Trump is making the speech, not before the speech has begun.
[01:49:53.667 --> 01:49:55.850]  No, he began before the speech began.
[01:49:55.890 --> 01:49:57.633]  There are timestamps on the video.
[01:49:58.093 --> 01:50:00.474]  Then you can go back and watch it on your- the Revolver story's up there.
[01:50:01.294 --> 01:50:12.039]  For every single thing that you assert about him, that he's in video whispering into a guy's ear, you say it in the rest of your article, all he's doing on the day of, when the protesting's getting violent, is going up and down telling people, don't fight with the cops.
[01:50:12.319 --> 01:50:13.119]  Don't fight with the cops.
[01:50:13.139 --> 01:50:13.999]  The cops are on our side.
[01:50:14.019 --> 01:50:15.380]  That's what he's saying the entire time.
[01:50:15.660 --> 01:50:24.984]  The idea that he said that the entire day, but the one guy whose ear that he whispered into, that unfortunately we don't have, you know, audio capture of, that he and Sam Searle testified to, is he said, hey,
[01:50:25.424 --> 01:50:25.664]  No, no, no.
[01:50:51.911 --> 01:50:55.973]  If you want to say that, why was he removed from the FBI list, I mean, why was he removed from the FBI list?
[01:50:55.993 --> 01:50:57.153]  Like, all the information is out there.
[01:50:57.373 --> 01:51:14.557]  He said that after his video was identified, and people on X started to identify him, and then because all of his online stuff is incredibly easy to find, he started to get phone calls, he started to get harassed, he started to get threats, so he called the FBI as soon as this was brought to his attention, and he told the FBI, hey, this was me, and here I am, and this is what's happening, and the FBI took him off the list.
[01:51:14.777 --> 01:51:15.718]  Your timeline is wrong.
[01:51:17.518 --> 01:51:20.779]  He called the FBI when he saw himself in the videos.
[01:51:21.659 --> 01:51:21.959]  Wrong.
[01:51:22.279 --> 01:51:23.860]  Yeah, a friend told him about it.
[01:51:24.100 --> 01:51:24.980]  And he's that.
[01:51:25.320 --> 01:51:27.141]  Yeah, that's what that's what he said.
[01:51:27.521 --> 01:51:28.421]  That's what he testified.
[01:51:29.522 --> 01:51:37.524]  He called the FBI very shortly after January 6 because of his picture being on the most wanted list.
[01:51:38.104 --> 01:51:43.606]  He wasn't taken off the most wanted list until the middle part of 2021.
[01:51:45.106 --> 01:51:52.230]  There were multiple months span between him calling the FBI in the first instance and being quietly removed.
[01:51:52.250 --> 01:51:52.850]  That's not true.
[01:51:52.950 --> 01:51:53.630]  Yes, it is.
[01:51:53.650 --> 01:51:54.431]  No, that's not true.
[01:51:54.651 --> 01:51:57.012]  I can tell you why it's not true, okay?
[01:51:57.052 --> 01:52:03.596]  Because what you did, because I read your article, is you looked at two archived versions of the website and you didn't have a 12-month archive.
[01:52:03.616 --> 01:52:09.999]  For some reason, you assumed that the recent snapshot that you took at 2021, you think that that was the first time the page has been changed.
[01:52:10.239 --> 01:52:11.920]  That was just the first time the page has been archived.
[01:52:12.180 --> 01:52:14.001]  I don't think the FBI has made a statement on it, but what
[01:52:14.161 --> 01:52:24.804]  What Epps testified to was that he either saw a video of himself or a friend saw a video of himself or a friend saw him on the list and then people were making videos and then he called the FBI and he said, hey, I need to talk to you and this is what's going on.
[01:52:25.144 --> 01:52:28.625]  If he was a Fed, why would they remove him from the list when everybody's clearly looking at the list?
[01:52:28.645 --> 01:52:29.925]  He was one of the only people removed.
[01:52:30.205 --> 01:52:32.266]  Why would senators be defending him so vigilantly?
[01:52:32.306 --> 01:52:33.646]  That's a great question.
[01:52:33.686 --> 01:52:40.608]  Why was he quietly removed right when the question of federal involvement became a major part of the national conversation?
[01:52:45.710 --> 01:52:57.955]  So you're saying he said we need to go into the Capitol peacefully and you point out correctly that in many instances caught on video he's engaged in what you could call de-escalation of the crowd and he's not
[01:52:58.735 --> 01:53:00.035]  Urging people to violence.
[01:53:00.376 --> 01:53:01.256]  That's all correct.
[01:53:01.356 --> 01:53:03.337]  I never said he's urging people to violence.
[01:53:03.717 --> 01:53:16.641]  He was absolutely a provocateur and his mission as stated and as implemented and as orchestrated by his own Verbatim text was he wanted people to go into the Capitol
[01:53:17.361 --> 01:53:19.462]  Peacefully.
[01:53:19.522 --> 01:53:22.624]  That might be the case, and if that's all you're saying... It's not all!
[01:53:22.704 --> 01:53:24.164]  No, that's everything!
[01:53:25.345 --> 01:53:32.528]  Nobody here is saying that he didn't say that and he didn't want people to do that, but the claim is that there's some sort of... That's illegal!
[01:53:32.568 --> 01:53:33.128]  That's fine!
[01:53:33.148 --> 01:53:33.989]  He can be charged for it!
[01:53:34.589 --> 01:53:36.530]  Do you think anyone here cares if he gets charged for that crime?
[01:53:36.750 --> 01:53:40.392]  The issue is you're saying that he was doing it under the direction of a federal agency.
[01:53:40.632 --> 01:53:47.496]  Yeah, are you saying that- The 6'3 guy that looks like he's dying of type 2 diabetes and arthritis is somehow some intimidating marine captain that's sending people into the capital.
[01:53:47.516 --> 01:53:51.538]  That was your claim that you've provided zero evidence for, and you don't in either of the articles that you write about him.
[01:53:52.119 --> 01:53:53.359]  We've got Glenn Beck on the horn.
[01:53:53.920 --> 01:53:56.641]  Glenn, we've been talking about Ray Epps, we played a video, I'm not sure if you saw it.
[01:53:56.661 --> 01:53:57.482]  Glenn, not Glenn Beck.
[01:53:58.062 --> 01:53:59.022]  Oh, did I say Glenn Beck?
[01:53:59.042 --> 01:53:59.483]  Greenwald.
[01:53:59.583 --> 01:54:00.523]  Greenwald, thanks, Glenn.
[01:54:00.823 --> 01:54:01.844]  That's so funny, Glenn.
[01:54:01.864 --> 01:54:03.625]  They're hard to tell the difference between nowadays, though.
[01:54:04.125 --> 01:54:07.167]  That's so funny.
[01:54:07.207 --> 01:54:07.767]  What's happened, dude?
[01:54:09.948 --> 01:54:19.393]  Well, I just, I mean, I only heard the last four minutes of the conversation, but I'm still always amazed by, I really don't understand the argument, because the FBI in the U.S.
[01:54:19.413 --> 01:54:27.337]  security state before January 6th was saying that they regard the greatest threat to national security not as being ISIS or al-Qaeda or
[01:54:27.857 --> 01:54:47.012]  Hamas or Hezbollah or China or any other foreign threat, they regard the greatest threat as being right-wing domestic extremists, in whom that was included on many lists, the Oath Keepers, the Three Percenters, and all of the people in the groups that they said orchestrated January 6th.
[01:54:48.954 --> 01:54:49.154]  Multiple.
[01:55:10.444 --> 01:55:12.406]  So I just want to understand what the claim is.
[01:55:12.426 --> 01:55:18.030]  The claim that the FBI was not involved in the groups that organized January 6th and didn't have informants with them that day?
[01:55:18.230 --> 01:55:19.130]  They weren't instigated.
[01:55:19.210 --> 01:55:20.011]  That's your claim.
[01:55:20.491 --> 01:55:26.075]  It came out that the vice president of the Oath Keepers was an FBI informant.
[01:55:26.475 --> 01:55:32.560]  The Proud Boys had at least three and as many as eight and the New York Times itself reported that there were
[01:55:33.380 --> 01:55:34.201]  I think so.
[01:55:48.883 --> 01:55:49.063]  Yeah.
[01:55:49.123 --> 01:55:50.064]  Brian, you wanted to say something?
[01:55:50.125 --> 01:55:51.887]  Yeah, so I'm just confused.
[01:55:51.907 --> 01:56:02.218]  So you're saying that Ray Epps was actually a federal agent who was indicted, who pled guilty, and is likely going to get six months in prison?
[01:56:03.240 --> 01:56:03.880]  Is that your argument?
[01:56:03.900 --> 01:56:06.744]  Well, the New York Times predicted... Wait, wait, wait.
[01:56:06.844 --> 01:56:09.267]  About Epps, you know, so a couple of things there.
[01:56:09.997 --> 01:56:12.118]  You don't find it a little bit strange?
[01:56:12.158 --> 01:56:13.919]  Wait, wait, wait, I'll get to you.
[01:56:13.979 --> 01:56:14.660]  I promise you.
[01:56:14.780 --> 01:56:15.961]  I promise you I'll address that.
[01:56:16.041 --> 01:56:18.342]  But let's just consider the context.
[01:56:18.782 --> 01:56:29.149]  The context in the immediate aftermath of January 6th, by the words of Steve Sherwin, who was in charge of the prosecution, their posture was one of quote-unquote shock and awe.
[01:56:29.549 --> 01:56:31.110]  They were going after everyone.
[01:56:31.270 --> 01:56:32.771]  They were hitting them very hard.
[01:56:33.251 --> 01:56:35.534]  Now again, think about central casting.
[01:56:36.155 --> 01:56:48.730]  On paper, Ray Epps, he's the 6'3", former Marine in camouflage gear with a Trump hat, the only guy caught on video as early as the 5th telling people to go into the Capitol, who's there on the 6th.
[01:56:49.671 --> 01:56:54.955]  Directing people of the Capitol, who's right there pre-positioned at that initial breach phase.
[01:56:55.335 --> 01:57:09.925]  And this, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and,
[01:57:19.751 --> 01:57:20.491]  We'll defend.
[01:57:41.340 --> 01:57:45.321]  Definitive in the sense that, oh, I don't think he was working directly for the FBI.
[01:57:45.561 --> 01:57:48.621]  I don't even know if he was directly working for the federal government.
[01:57:48.641 --> 01:57:49.501]  He was an asset.
[01:57:49.761 --> 01:57:51.822]  He was acting on behalf of a third party.
[01:57:51.882 --> 01:57:55.102]  He was not an authentic actor on that day.
[01:57:55.142 --> 01:57:57.783]  That I will say with a great deal of confidence.
[01:57:57.863 --> 01:57:58.543]  But wait a second.
[01:57:58.643 --> 01:57:59.763]  It's a victory.
[01:57:59.803 --> 01:58:00.343]  Let me say one thing.
[01:58:00.383 --> 01:58:01.163]  I've been gone for 10 minutes.
[01:58:01.743 --> 01:58:02.544]  It's a victory.
[01:58:02.584 --> 01:58:06.824]  They went from saying he's an angel, CNN, MSNBC, New York Times.
[01:58:06.864 --> 01:58:07.444]  He's perfectly.
