[00:00:00.169 --> 00:00:00.929]  How you doing Alex?
[01:31:10.305 --> 01:31:13.968]  Open the border, get at least 7 million, double that number to be safe.
[01:31:14.248 --> 01:31:15.570]  They say 20 million have come in.
[01:31:16.150 --> 01:31:22.153]  I heard conservatively it's between 12 and 15, which would cover that amount by two for 2024.
[01:31:22.734 --> 01:31:28.036]  That way they can go to the right's talking point about using paper ballots and we won't be able to say they cheated with voting machines.
[01:31:28.497 --> 01:31:38.027]   So once they got their quota of illegals as potential voters, the WEF, Greenlit, Abbott to act patriotically against the crisis, That's why I think it's taken three years to get to this point.
[01:31:38.047 --> 01:31:42.949]  They got their quota of voters, but they feel they need to beat Trump, quote unquote, legitimately.
[01:31:43.229 --> 01:31:48.232]  And they need all these people to be healthy, alive, and actually here, which is why they're getting all the perks and money.
[01:31:48.292 --> 01:31:52.053]  So when they're activated, they've been properly taken care of and ready for the go-ahead.
[01:31:52.293 --> 01:31:53.174]  And that's all I got to say.
[01:31:53.334 --> 01:31:54.534]  Perfectly said, sir.
[01:31:54.655 --> 01:31:55.355]  God bless you.
[01:31:55.415 --> 01:31:56.115]  Amazing, Josh.
[01:31:56.135 --> 01:31:57.156]  Thanks for holding to say that.
[01:31:57.256 --> 01:31:58.476]  Wow, what incredible callers.
[01:31:58.516 --> 01:32:00.317]  Can't wait to talk to the folks on X Spaces.
[01:32:00.777 --> 01:32:02.158]  Tanner in Texas, welcome.
[01:32:04.921 --> 01:32:07.842]  So all the callers have been very interesting today.
[01:32:07.982 --> 01:32:08.562]  Good point.
[01:32:09.242 --> 01:32:10.403]  All I want to say is this.
[01:32:11.243 --> 01:32:12.763]  I use the analogy of the Titanic.
[01:32:13.483 --> 01:32:14.724]  The iceberg has been struck.
[01:32:15.924 --> 01:32:17.084]  There's nothing we can do about it.
[01:32:17.465 --> 01:32:21.446]  What we need to do is realize, hey, we've got to get ready.
[01:32:21.486 --> 01:32:22.346]  We've got to get prepared.
[01:32:22.406 --> 01:32:23.666]  Women and children on lifeboats.
[01:32:23.706 --> 01:32:24.086]  Let's go.
[01:32:24.106 --> 01:32:25.067]  Let's get off this thing.
[01:32:26.147 --> 01:32:33.509]  No matter how you want, they're going to do what they're going to do unless everyone stops paying taxes, unless everyone just stands up and stops.
[01:32:34.406 --> 01:32:35.247]  You gotta get ready.
[01:32:35.887 --> 01:32:39.789]  I live in a 1,200, 1,500 population in a West Texas town.
[01:32:40.370 --> 01:32:47.795]  Yeah, I'm doing everything that I can, because the only thing, the only guarantee my kids have is a future of uncertainty.
[01:32:48.755 --> 01:32:49.756]  And that's all I can give them.
[01:32:50.216 --> 01:32:52.698]  But I'm going to give them the best leg up that I can.
[01:32:53.858 --> 01:32:55.840]  So everyone's just got to get ready.
[01:32:56.240 --> 01:32:57.381]  Have a guard in your backyard.
[01:32:57.401 --> 01:32:59.502]  Go volunteer at your volunteer fire department.
[01:32:59.562 --> 01:33:04.032]   Feel the pulse of your community so you can gauge Who's listening?
[01:33:04.352 --> 01:33:05.012]  Who's interested?
[01:33:05.032 --> 01:33:07.334]  I mean, there's normalcy biased everywhere.
[01:33:07.874 --> 01:33:10.275]  But that's what we can do on a microcosm scale.
[01:33:11.036 --> 01:33:12.717]  It's small victories every single day.
[01:33:13.217 --> 01:33:15.418]  And that's what we have to do to push forward to win this thing.
[01:33:16.359 --> 01:33:17.660]  Perfectly said, Tanner.
[01:33:17.700 --> 01:33:18.540]  Thank you so much.
[01:33:18.580 --> 01:33:22.883]  Yeah, you got to get ready because the government's at war with us.
[01:33:22.983 --> 01:33:23.543]  It's gone.
[01:33:25.244 --> 01:33:27.065]  They're human trafficking children by the millions.
[01:33:27.205 --> 01:33:28.226]  I mean, it's just pure evil.
[01:33:28.967 --> 01:33:30.187]  Tom in California.
[01:33:30.207 --> 01:33:30.788]  Thanks for calling.
[01:33:30.808 --> 01:33:31.068]  Go ahead.
[01:33:32.128 --> 01:33:34.309]  Hi Alex, nice to talk to you.
[01:33:34.570 --> 01:33:35.950]  I got a question to ask you at the end.
[01:33:36.691 --> 01:33:37.531]  I'll make this quick.
[01:33:37.952 --> 01:33:51.420]  You know, when these people tell us the truth, like you'll eat bugs and know nothing, or you'll live in a tiny house, you'll eat GMOs, you'll take our guns, you know, disease X. Well, we don't like it when they tell us the truth.
[01:33:52.161 --> 01:33:53.802]  So then they tell us all their lies.
[01:33:53.842 --> 01:34:00.506]  The weather wars, the chemtrails, the shock, the Biden, the Maui fires, the food processing plants.
[01:34:01.485 --> 01:34:18.657]  The fires in Canada, the border, the Ukraine bio labs, the money laundering, Israel, UFOs, the secret technology, the child trafficking, the Ohio derailment, January 6th, the crooked judges, the stolen election.
[01:34:20.619 --> 01:34:23.821]  You know, if we don't do something, I think it's too late.
[01:34:24.281 --> 01:34:30.486]  When you talk about no violence, when the violence happens, it'll be against our own American people and each other.
[01:34:31.298 --> 01:34:32.358]  Here's my proposal.
[01:34:33.078 --> 01:34:40.500]  Either we get off our duff, and I hope they don't get a dock at the door for this, but we need to overthrow the government.
[01:34:41.100 --> 01:34:48.342]  And if we can't do it, the American people, us, if we can't do it, then let's ask Russia to help us.
[01:34:49.182 --> 01:34:49.922]  Well, let's be clear.
[01:34:49.962 --> 01:34:51.483]  Russia doesn't have any real power.
[01:34:51.543 --> 01:34:53.323]  China basically runs the US.
[01:34:53.803 --> 01:34:56.264]  But we have to admit we're under attack.
[01:34:57.588 --> 01:34:58.968]  And we have to admit this is going down.
[01:34:58.988 --> 01:35:01.949]  People have to get past their normalcy bias, as you were saying and others were saying.
[01:35:02.649 --> 01:35:06.110]  And we have to realize that history is happening right now.
[01:35:06.811 --> 01:35:10.191]  But yeah, we have organized evil waging war against us, brother.
[01:35:11.152 --> 01:35:12.632]  And we're in a lot of trouble.
[01:35:12.692 --> 01:35:13.432]  I appreciate your call.
[01:35:14.873 --> 01:35:16.533]  We're in the new world order now, folks.
[01:35:16.593 --> 01:35:18.514]  We're inside of it now.
[01:35:19.974 --> 01:35:21.215]  And you saw the Border Patrol.
[01:35:21.235 --> 01:35:30.663]   If you were just watching on TV, watching on InfoWars.com, ForgeLessShow, or on X, You saw the Border Patrol crying as they just hand little kids over to perfect strangers.
[01:35:32.725 --> 01:35:34.166]  And they know they're aiding and abetting crime.
[01:35:34.646 --> 01:35:35.827]  They're begging us to do something.
[01:35:35.847 --> 01:35:39.150]  You got evil organized against us.
[01:35:39.170 --> 01:35:40.290]  This is organized evil.
[01:35:42.272 --> 01:35:43.132]  It's 100% real.
[01:35:43.673 --> 01:35:45.334]  We got Rick, Mike, and Chris.
[01:35:46.395 --> 01:35:47.616]  Rick, Mike, and Chris.
[01:35:48.656 --> 01:35:49.797]  I'm going to go to you.
[01:35:49.817 --> 01:35:51.578]  The no more calls on our phone line.
[01:35:52.359 --> 01:35:56.082]  Everybody else will be from X spaces at Real Alex Jones.
[01:35:57.762 --> 01:36:01.124]  And that'll also be simulcast for people that are like, I'm on X, I can't see the video.
[01:36:01.724 --> 01:36:03.785]  It's on X, the video feed's there too.
[01:36:04.686 --> 01:36:08.748]  So you're simulcast on a video feed and an audio feed.
[01:36:08.788 --> 01:36:15.532]  I know Elon's working on making X-Spaces video too, that's great, but they haven't got that yet, so we're doing it here first.
[01:36:17.313 --> 01:36:25.558]  So, you wanna take action, everybody listening, go to InfoWars.com forward slash show, share that link with your friends, your family, your neighbors, strangers, email list.
[01:36:26.485 --> 01:36:39.215]  Text messages, but also go to Real Alex Jones and take the X's account, the X's feed, and share that and share the feed from Real Alex Jones, the video feed that's also there.
[01:36:39.655 --> 01:36:41.077]  And will this one event save the world?
[01:36:41.157 --> 01:36:44.079]  No, but this action together with others will.
[01:36:44.679 --> 01:36:53.406]  Hour number three and your comments, live feeds, uncensored from X's spaces and phone calls, the people speak straight ahead.
[01:36:54.207 --> 01:36:55.408]  Many Buffaloes die.
[01:36:56.823 --> 01:36:57.903]  Bring us this information.
[01:36:58.383 --> 01:37:02.644]  You can see here the Great Awakening orbiting the Great Reset.
[01:37:03.345 --> 01:37:13.107]  Although the depopulation systems of the Great Reset are not yet fully operational, the Great Reset does have a strong conspiracy network.
[01:37:13.547 --> 01:37:19.428]  It is protected by a satanic shield, which can be disabled by the Great Awakening.
[01:37:19.828 --> 01:37:26.030]  The Great Reset must be deactivated if any victory for humanity is to be accomplished.
[01:37:27.094 --> 01:37:41.138]  Once the Great Awakening deactivates the shield, InfoWars.com forward slash show will cover the truth while Info Warriors fly into the superstructure and attempt to knock out the Great Reset.
[01:37:41.638 --> 01:37:45.339]  Alex Jones has volunteered to lead the fighter attack.
[01:37:45.699 --> 01:37:51.121]  Get a signed copy of the Great Awakening today at InfoWarsStore.com.
[01:37:54.278 --> 01:38:01.803]  All right, good old-fashioned talk radio slash internet TV slash X Spaces.
[01:38:02.203 --> 01:38:04.065]  All now happening.
[01:38:04.705 --> 01:38:07.927]  We got a whole bunch of questions from folks on X that want to go live on air.
[01:38:08.607 --> 01:38:11.529]  That's coming up as soon as I finish with Rick, Mike, and Chris.
[01:38:12.770 --> 01:38:15.312]  So let's talk to Mike in California.
[01:38:15.332 --> 01:38:19.875]  Your take on the so-called border bill that gives Biden dictatorial power over the US.
[01:38:22.857 --> 01:38:22.937]  Hi.
[01:38:24.332 --> 01:38:24.692]  Yes.
[01:38:25.614 --> 01:38:32.682]  Oh, um, yeah, this border bill, I think, um, I look at it as like they're signing on, it's like they're a declaration of demonet.
[01:38:32.902 --> 01:38:39.409]  You know, if you're, if you're tied onto this, if you're connected to this bill in any way, they just need to know that they will not be voted for.
[01:38:39.429 --> 01:38:42.333]  It's, it's a way that they can just tell on themselves.
[01:38:42.453 --> 01:38:43.454]  It's like these last three years.
[01:38:43.474 --> 01:38:45.096]  That's a perfect way to say this person's a traitor.
[01:38:46.084 --> 01:38:46.464]  Exactly.
[01:38:46.504 --> 01:38:51.625]  I mean, and you know how hard it is to get in Trump's ear about who's good and who's bad and who we need to look out for.
[01:38:51.665 --> 01:38:56.486]  But these last three years have been a blessing because they've told on themselves.
[01:38:56.546 --> 01:39:05.108]  And this is kind of the final, you know, they're signing on to this, to the New World Order demonic, you know, criminal cabal.
[01:39:05.728 --> 01:39:06.748]  And it's great.
[01:39:06.788 --> 01:39:11.569]  It's like God's timing is so beautiful that it just lays out all of the things that they've done.
[01:39:12.136 --> 01:39:16.237]  And we'll be able to see in their own words, their own actions, you know, how demonic they are.
[01:39:18.058 --> 01:39:19.399]  Perfectly said, my friend.
[01:39:19.419 --> 01:39:24.680]  Oh, and thank you so much for getting Dr. Kirk Elliott on this weekend.
[01:39:24.720 --> 01:39:33.183]  I called you about three weeks ago asking about pensions and what you think might happen, and just watching the Saturday broadcast and looking forward to you guys connecting again this week.
[01:39:33.804 --> 01:39:34.524]  Thank you so much.
[01:39:37.401 --> 01:39:37.981]  Thank you, brother.
[01:39:38.021 --> 01:39:38.962]  We're doing our best.
[01:39:39.042 --> 01:39:40.022]  Thank you so much.
[01:39:40.542 --> 01:39:41.983]  Rick in Mississippi, you're on the air.
[01:39:42.023 --> 01:39:42.383]  Go ahead.
[01:39:43.544 --> 01:39:46.405]  It's a little off topic, but I just got to know what your opinion is on it.
[01:39:46.945 --> 01:39:48.926]  So the drone that killed the three U.S.
[01:39:49.026 --> 01:39:51.447]  servicemen, they said they thought it happened to be a U.S.
[01:39:51.907 --> 01:39:53.328]  drone, but they got confused.
[01:39:53.368 --> 01:39:54.228]  I got thinking about it.
[01:39:54.888 --> 01:39:56.649]  I wonder if that drone was led to Afghanistan.
[01:39:58.373 --> 01:40:03.674]  That's a really great question, because they got $87 million of equipment, including thousands of drones.
[01:40:04.234 --> 01:40:05.654]  Was it a repurposed U.S.
[01:40:05.694 --> 01:40:08.695]  drone that identifiers on it that somebody else got?
[01:40:09.015 --> 01:40:12.255]  I thought that actually when I saw that, because they admit they thought it was a U.S.
[01:40:12.275 --> 01:40:12.595]  drone.
[01:40:13.996 --> 01:40:14.236]  Right.
[01:40:14.356 --> 01:40:16.176]  So, you know, it makes perfect sense.
[01:40:16.196 --> 01:40:18.136]  You know, everybody's out and open now.
[01:40:18.716 --> 01:40:23.377]  Why else would they leave all that stuff in Afghanistan if it wasn't to start another war?
[01:40:25.118 --> 01:40:25.678]  Great points.
[01:40:25.698 --> 01:40:27.518]  What do you make of the open border right now on this bill?
[01:40:29.528 --> 01:40:31.409]  I don't think any bill's going to change anything.
[01:40:31.749 --> 01:40:33.310]  They've got their agenda, they're going to do it.
[01:40:33.330 --> 01:40:36.531]  Whether it's against the law or against the law, they don't care.
[01:40:36.571 --> 01:40:37.092]  They're above it.
[01:40:37.112 --> 01:40:38.813]  You know that Democrats don't get prosecuted.
[01:40:39.413 --> 01:40:42.214]  So, any bills that get put forward is just lip service.
[01:40:42.234 --> 01:40:46.296]  It's just something for us to get riled up about and argue about at the barbershop.
[01:40:46.956 --> 01:40:52.819]  Until America fully wakes up, I don't think about 10% is woke right now.
[01:40:53.279 --> 01:40:57.041]  Until everybody wakes up and realizes, you know, what's going on.
[01:40:58.452 --> 01:40:59.132]  Bills don't matter.
[01:41:00.353 --> 01:41:01.133]  Well said, Rick.
[01:41:01.193 --> 01:41:02.674]  Thank you so much for calling.
[01:41:03.634 --> 01:41:05.455]  All right, let's go to Chris in Indiana.
[01:41:05.475 --> 01:41:05.955]  A minute and a half.
[01:41:05.975 --> 01:41:07.716]  Go ahead, Chris, and we're going to X Comments.
[01:41:07.756 --> 01:41:08.096]  Go ahead.
[01:41:09.316 --> 01:41:09.716]  Hey, Alex.
[01:41:09.736 --> 01:41:10.797]  Stuart Fonte, D.O.
[01:41:10.817 --> 01:41:11.497]  Presently Bear.
[01:41:12.237 --> 01:41:13.158]  We have mutual friends.
[01:41:13.518 --> 01:41:14.958]  We walked in some of the same circles.
[01:41:14.998 --> 01:41:18.080]  I believe you know some of my former friends down in Fort Bragg.
[01:41:18.620 --> 01:41:22.101]  I lost my job down there because of the facts, but I'm a free agent now.
[01:41:22.121 --> 01:41:24.422]  I heard you were thinking about heading down to the border.
[01:41:25.251 --> 01:41:26.973]  Uh, I would like to offer my services.
[01:41:26.993 --> 01:41:28.274]  I know security is expensive.
[01:41:28.554 --> 01:41:29.735]  You won't have to pay me a dime.
[01:41:30.196 --> 01:41:31.096]  I'll be part of the team.
[01:41:31.377 --> 01:41:35.220]  I'll send you my DD-214, anything that you need to show who I am.
[01:41:35.480 --> 01:41:36.601]  ID, references.
[01:41:36.741 --> 01:41:37.662]  I know Doc Chambers.
[01:41:38.143 --> 01:41:40.324]  I was the personal medic for General McChrystal.
[01:41:40.685 --> 01:41:41.606]  I worked for Petraeus.
[01:41:42.386 --> 01:41:44.668]  Executive protections, training, all of that stuff.
[01:41:44.788 --> 01:41:46.370]  I got my own military working dog.
[01:41:46.650 --> 01:41:48.712]  I got my own drone, my own mobile command center.
[01:41:49.232 --> 01:41:49.813]  You name it, man.
[01:41:49.853 --> 01:41:52.295]  If you need me, I'll hop in the truck and head down there right now.
[01:41:54.192 --> 01:41:58.798]  Well, brother, we're not really hiring because we don't have any funds, but we do need more security.
[01:41:59.239 --> 01:42:00.681]  We don't want people to work for us.
[01:42:00.721 --> 01:42:02.042]  You don't need to hire me.
[01:42:02.082 --> 01:42:02.483]  That's fine.
[01:42:02.883 --> 01:42:05.747]  Give us your name and number and we'll give it to Tim Inlow, our security head.
[01:42:06.148 --> 01:42:07.970]  Thank you so much, sir, and God bless you.
[01:42:07.990 --> 01:42:08.931]  I appreciate you calling.
[01:42:09.492 --> 01:42:09.792]  All right.
[01:42:10.717 --> 01:42:11.237]  I love this city.
[01:42:11.157 --> 01:42:15.356]  one minute break and come back with comments from X Spaces.
[01:42:15.356 --> 01:42:18.737]   Appreciate all the callers, hate to cut you off, that's how we got to like
[01:42:18.737 --> 01:42:23.836]   30 phone calls the last couple hours. Now we're gonna take comments from X Spaces
[01:42:23.836 --> 01:42:26.916]   in one minute, stay with us.
[01:42:26.916 --> 01:42:28.917]  I'm from Moscow.
[01:42:28.917 --> 01:42:30.917]  I love this city.
[01:42:30.917 --> 01:42:32.917]  It's beautiful.
[01:42:32.917 --> 01:42:34.917]  Thank you.
[01:42:34.502 --> 01:42:35.863]  It's really, yes, yes.
[01:42:36.604 --> 01:42:39.086]  What do you do in Russia?
[01:42:39.286 --> 01:42:43.229]  I just wanted to see.
[01:42:43.249 --> 01:42:50.674]  So I wanted to talk to people and look around and see how it was doing.
[01:42:50.694 --> 01:42:52.135]  And it's doing very well.
[01:42:52.676 --> 01:42:55.598]  I think maybe interview Putin?
[01:42:59.278 --> 01:43:06.101]  Why are you visiting Moscow with American media?
[01:43:06.881 --> 01:43:07.341]  I don't know.
[01:43:07.361 --> 01:43:08.221]  They're crazy.
[01:43:08.241 --> 01:43:08.741]  Really crazy.
[01:43:09.142 --> 01:43:09.262]  Yeah?
[01:43:09.282 --> 01:43:09.522]  Crazy?
[01:43:09.542 --> 01:43:09.922]  It's crazy.
[01:43:10.202 --> 01:43:10.842]  Really crazy.
[01:43:10.662 --> 01:43:18.662]  I should say. Yeah, it's crazy. It's crazy. Really crazy.
[01:43:18.662 --> 01:43:25.472]   All right. So listeners have been asking me, I've been flooded by phone calls from the media. Is Tucker Carlson
[01:43:25.472 --> 01:43:26.341]  really in Russia?
[01:43:26.406 --> 01:43:27.046]  Yeah, he's there.
[01:43:27.807 --> 01:43:35.030]  He told me weeks ago he was going to go to Turkey and then probably go to Russia, and obviously that's off record, so I didn't talk about it at the time.
[01:43:35.530 --> 01:43:36.810]  He's been wanting a Putin interview.
[01:43:36.850 --> 01:43:38.251]  He got threatened by the NSA.
[01:43:39.051 --> 01:43:41.212]  They later admitted the NSA was spying on Tucker.
[01:43:41.652 --> 01:43:42.813]  He got really upset about that.
[01:43:42.933 --> 01:43:45.174]  Obviously, as a big journalist, you want big interviews.
[01:43:46.517 --> 01:43:50.640]  And in this modern age, they say, well, don't go interview somebody that the U.S.
[01:43:50.660 --> 01:43:51.461]  is, quote, in a fight with.
[01:43:52.382 --> 01:43:57.386]  Well, our reporters have interviewed Saddam Hussein, the Ayatollah Khomeini, all these people.
[01:43:58.566 --> 01:44:03.630]  So, now that Tucker said it there, that's what he talked about when I talked to him a few days ago.
[01:44:03.650 --> 01:44:05.752]  He said, man, Moscow's really nice.
[01:44:05.812 --> 01:44:06.693]  People are really happy.
[01:44:06.753 --> 01:44:07.573]  They're doing really well.
[01:44:08.234 --> 01:44:09.215]  And I said, are you going to interview Putin?
[01:44:09.235 --> 01:44:09.995]  He said, I don't know yet.
[01:44:10.035 --> 01:44:10.436]  I'm trying.
[01:44:11.388 --> 01:44:13.749]  So basically, that's where this is.
[01:44:14.530 --> 01:44:15.670]  That's where this is going on.
[01:44:15.710 --> 01:44:16.631]  You just saw him now.
[01:44:17.331 --> 01:44:23.254]  Somebody in a hotel lobby or passageway asked him about it, and that's why he's there.
[01:44:23.314 --> 01:44:30.897]  But since when in a free country can not one of our top journalists, the top journalist, go to interview somebody?
[01:44:32.498 --> 01:44:34.619]  That shows you how serious this police state is.
[01:44:35.379 --> 01:44:40.502]  And we've got this ex-post I did that's got over 2 million readers.
[01:44:41.621 --> 01:44:48.065]  With Bill Kristol, the neocon, his dad was the main agent of Trotsky and the communists.
[01:44:48.786 --> 01:44:58.532]  He says, perhaps we need a total and complete shutdown of Tucker Carlson re-entering the United States until the country's representatives can figure out what is going on.
[01:44:58.552 --> 01:45:00.814]  Oh, the representatives are destroying us.
[01:45:01.334 --> 01:45:04.336]  So I said, perhaps we need you brought up on war crimes.
[01:45:04.736 --> 01:45:06.617]  He helped ensure the whole Iraq war, part two.
[01:45:07.625 --> 01:45:10.766]  Bill wants open borders because he's an anti-American Trotskyite.
[01:45:11.246 --> 01:45:15.428]  But he wants Tucker Carlson marooned outside his country with a crown of journalism.
[01:45:15.848 --> 01:45:16.489]  Newsflash!
[01:45:17.129 --> 01:45:20.090]  Carlson can just walk across the southern border anytime he wants.
[01:45:20.650 --> 01:45:23.231]  The Border Patrol would carry him on their shoulders across the river.
[01:45:23.671 --> 01:45:24.732]  They would throw you in the river.
[01:45:26.713 --> 01:45:28.853]  So, that's where we are in this country.
[01:45:29.234 --> 01:45:31.114]  Not supposed to talk to our adversaries.
[01:45:31.635 --> 01:45:34.936]  Unless it's Fang Fang, you know, having sex with Swallow's Well.
[01:45:36.638 --> 01:45:53.898]  All right, we are also not just taking calls on talk radio here, we are also now, and we've done this a few times before, five or six times, we're doing a Spaces on X, taking your live questions and comments on air, unfiltered.
[01:45:55.031 --> 01:45:55.991]  Not censoring you.
[01:45:56.392 --> 01:45:57.412]  You're up there on the board.
[01:45:58.072 --> 01:45:58.873]  We're gonna go to you.
[01:45:58.953 --> 01:46:00.533]  Some people may blow up and cuss.
[01:46:00.553 --> 01:46:01.433]  We gotta hang up on them.
[01:46:01.454 --> 01:46:02.514]  Some people probably have a question.
[01:46:02.934 --> 01:46:04.555]  We don't know what they're gonna say.
[01:46:04.575 --> 01:46:05.775]  This is raw.
[01:46:06.095 --> 01:46:06.976]  This is unfiltered.
[01:46:06.996 --> 01:46:12.298]  So Chase Geyser, great InfoWars talk show host, is in there running the space.
[01:46:12.318 --> 01:46:13.458]  This is gonna happen on the phone.
[01:46:13.858 --> 01:46:17.860]  He's ready to start going to people that'll respond to Biden's border bill.
[01:46:18.587 --> 01:46:26.391]  That literally gives the president dictatorial power over the government and funds the UN NGOs to accelerate the invasion.
[01:46:26.751 --> 01:46:28.272]  We're taking those comments now.
[01:46:28.352 --> 01:46:28.912]  Chase Geyser.
[01:46:29.272 --> 01:46:31.373]  Let's hear first from Good Logic.
[01:46:31.493 --> 01:46:34.074]  Good Logic, go ahead and unmute yourself and say what you got to say if you're there with us.
[01:46:38.576 --> 01:46:39.377]  Welcome, Good Logic.
[01:46:39.397 --> 01:46:41.678]  Are you able to hear his stream?
[01:46:41.998 --> 01:46:43.699]  If you're not able to hear him, I'm going to reconnect real quick.
[01:46:46.301 --> 01:46:48.443]  Look, this happens on New Technology.
[01:46:48.523 --> 01:46:50.024]  Let's move on to the next person.
[01:46:51.005 --> 01:46:54.187]  If Good Logic's not there... Am I connected in?
[01:46:54.227 --> 01:46:54.627]  Do you hear it?
[01:46:56.509 --> 01:46:57.389]  I can hear you, Chase.
[01:46:57.950 --> 01:46:58.630]  You're Good Logic.
[01:47:00.251 --> 01:47:01.172]  Alright, let's try one more time.
[01:47:01.192 --> 01:47:01.712]  Can you hear him now?
[01:47:03.454 --> 01:47:04.374]  Good Logic, go ahead.
[01:47:04.394 --> 01:47:05.856]  Good Logic, go ahead and unmute yourself and try again.
[01:47:07.136 --> 01:47:07.637]  Oh, he left.
[01:47:07.677 --> 01:47:11.079]  We're going to add... We're going to add Based Boys Media as a speaker.
[01:47:11.119 --> 01:47:12.040]  Based Boys Media, are you there?
[01:47:13.281 --> 01:47:14.402]  Go ahead and unmute yourself and speak.
[01:47:16.067 --> 01:47:17.108]  Spaceboys Media, are you there?
[01:47:18.348 --> 01:47:19.829]  Alright, looks like he is out.
[01:47:19.889 --> 01:47:21.050]  Let's just stop here for a moment.
[01:47:21.570 --> 01:47:23.392]  This is going to happen with any new technology.
[01:47:23.752 --> 01:47:25.353]  We've done four or five of these I know of.
[01:47:25.393 --> 01:47:26.473]  They've all gone very well.
[01:47:27.614 --> 01:47:30.876]  And of course we're doing this now on the big main show and it's not working.
[01:47:31.537 --> 01:47:33.838]  Everybody on X Spaces.
[01:47:35.319 --> 01:47:39.702]  We are taking your comments live on my big show right now.
[01:47:40.262 --> 01:47:43.244]  So you need to be focused on the control panel.
[01:47:44.246 --> 01:47:45.788]  And if it doesn't work, we're not upset.
[01:47:45.868 --> 01:47:47.370]  It'll probably be a Yahoo News story.
[01:47:47.891 --> 01:47:51.655]  Oh my God, Alex Jones falls face on X's Spaces.
[01:47:51.695 --> 01:47:52.697]  No, we innovate.
[01:47:53.277 --> 01:47:54.739]  It's what we do.
[01:47:55.360 --> 01:47:58.904]  But for everybody on Spaces, we're talking to you.
[01:47:59.838 --> 01:48:00.238]  Okay.
[01:48:00.759 --> 01:48:04.381]  I know you're not used to talk radio where somebody goes to you and you talk to millions.
[01:48:04.881 --> 01:48:06.482]  We want to expand this into the internet.
[01:48:06.502 --> 01:48:08.983]  We want to bring talk radio to the internet.
[01:48:09.383 --> 01:48:10.264]  We want to innovate.
[01:48:10.284 --> 01:48:11.384]  We want to empower people.
[01:48:11.824 --> 01:48:13.005]  Chase Geyser, who's up next?
[01:48:13.445 --> 01:48:14.026]  Ivan Reikland.
[01:48:14.066 --> 01:48:15.326]  Ivan Reikland, go ahead and unmute yourself.
[01:48:15.346 --> 01:48:16.187]  Let's see if we can get your feed.
[01:48:20.029 --> 01:48:21.029]  How about Base Boys Media?
[01:48:21.049 --> 01:48:22.030]  Let's try Base Boys Media.
[01:48:22.070 --> 01:48:22.850]  Go ahead and unmute yourself.
[01:48:22.870 --> 01:48:23.831]  Let's see if we can get your feed.
[01:48:27.847 --> 01:48:29.428]  Yeah, it's been glitching, but it's okay now.
[01:48:29.248 --> 01:48:32.848]   here let's try Erickson report. Erickson report asked to speak a while ago and
[01:48:32.848 --> 01:48:36.408]   we're gonna try to get him in. He's connecting right now as soon as you are
[01:48:36.408 --> 01:48:39.748]   connected go ahead and unmute yourself Erickson. Do you have anything that you'd
[01:48:39.748 --> 01:48:43.568]   like to share with the space? Erickson can you share anything with the space
[01:48:43.568 --> 01:48:50.048]   that you have? Go ahead. Yeah it's been glitching it's been yeah it's been
[01:48:50.048 --> 01:48:57.008]   glitching but it's okay now. Hello Alex. For the people in the space in the space
[01:48:57.008 --> 01:49:07.048]   here Alex and I had individual TV shows in Austin Texas back in the early days.
[01:49:06.242 --> 01:49:08.124]  Oh my God, is this Greg Erickson?
[01:49:08.805 --> 01:49:09.686]  Is this Greg Erickson?
[01:49:09.726 --> 01:49:10.967]  You know it's me.
[01:49:11.447 --> 01:49:12.869]  I recognize your voice.
[01:49:13.269 --> 01:49:14.350]  I remember you, brother.
[01:49:14.390 --> 01:49:14.751]  Go ahead.
[01:49:17.040 --> 01:49:21.342]  The only thing I have to say, Alex, is solutions.
[01:49:21.402 --> 01:49:33.168]  The only solution I see to this new world disorder is the masses, the people, the global consciousness, global evolution.
[01:49:33.829 --> 01:49:38.511]  And I don't think anything's going to change in this world till the people rise up.
[01:49:39.191 --> 01:49:43.872]  Globally, so please folks get out there and start waking people up.
[01:49:43.972 --> 01:49:45.392]  We don't have much time.
[01:49:45.893 --> 01:49:48.433]  We got a small window of opportunity here.
[01:49:49.273 --> 01:49:52.554]  Agenda 2030 is coming before 2030.
[01:49:52.594 --> 01:49:59.115]  The WEF and the UN announced it, so we got a small window of opportunity.
[01:49:59.215 --> 01:50:01.976]  Get out there and start waking up people.
[01:50:03.621 --> 01:50:07.283]  Greg, you know, I knew you 29 years ago.
[01:50:08.183 --> 01:50:11.005]  Some of the first shows I did were with you and Jeff Davis.
[01:50:11.025 --> 01:50:14.806]  You're a great talk show host, anti-war, way ahead of the curve.
[01:50:14.887 --> 01:50:15.887]  I miss you so much.
[01:50:16.367 --> 01:50:17.208]  I miss your voice.
[01:50:18.108 --> 01:50:19.849]  And I'm just glad to, I want to get you on as a guest.
[01:50:19.949 --> 01:50:32.155]  And so, you know, send me a private message on X. What do you, spend a few minutes here, Greg Erickson, because as soon as I heard your voice, I knew who you were, about, isn't it crazy we warned of this 30 years ago and now it's all here?
[01:50:35.400 --> 01:50:37.597]  Yeah, yeah, it's pretty wild.
[01:50:39.102 --> 01:50:43.785]  Alex, you and I don't view everything the same, but we're both in this.
[01:50:44.366 --> 01:50:46.987]  Everybody in these spaces, we're all in this together.
