[00:00:01.025 --> 00:00:01.886]  You can feel it.
[02:09:02.165 --> 02:09:03.806]  So don't stop or I'll jump in.
[02:09:03.826 --> 02:09:06.649]  You can tell the crew when you want to play your four-minute compilation.
[02:09:06.669 --> 02:09:09.131]  You can start wherever you want to begin here.
[02:09:10.846 --> 02:09:11.447]  Thank you, Alex.
[02:09:12.007 --> 02:09:13.569]  I really appreciate your having me on.
[02:09:13.649 --> 02:09:14.990]  I just got out of the jungle.
[02:09:16.091 --> 02:09:19.053]  Let me set the table about what's going on right now and where I'm at.
[02:09:19.374 --> 02:09:20.975]  I am at Panama City now.
[02:09:21.095 --> 02:09:22.657]  I'm back out of the Darien Gap.
[02:09:23.077 --> 02:09:24.939]  That's the Panama Canal behind me.
[02:09:25.379 --> 02:09:34.307]  I just took down into the jungle Japanese journalists Masako Ganaha, Ann VanderSteel, Brett Weinstein, and Chris Martinson.
[02:09:34.747 --> 02:09:36.528]  Chris Martinson's been on your show before.
[02:09:36.928 --> 02:09:43.312]  And so I just took those four and some others down into the Darien Gap, and we went deep into the jungle, and we saw many things.
[02:09:43.372 --> 02:09:48.874]  And by the way, two days ago, weirdly, this is the bridge that they're building down by Yavitza, by the way.
[02:09:49.415 --> 02:09:55.258]  So this new bridge that they're building... And by the way, a lot of this is exclusive, never-before-seen breaking now.
[02:09:56.733 --> 02:09:57.254]  Absolutely.
[02:09:58.195 --> 02:10:04.003]  This is, for instance, this map right there came out of a book, you know, with that red cover that you just saw.
[02:10:04.023 --> 02:10:05.905]  This is drone footage we just made.
[02:10:06.285 --> 02:10:09.470]  That's the new road being built into the Darien Gap.
[02:10:09.850 --> 02:10:13.315]  And this bridge that's going over the Rio Chucanaca is near Uvica.
[02:10:13.835 --> 02:10:22.318]  Yavita is the little town of about 2,000 people at the end of the road of Highway 1, the Pan-American Highway.
[02:10:22.658 --> 02:10:33.022]  And so that red book there, the China's Belt and Road Initiative book, was first published in Spanish, and then they translated it to English.
[02:10:33.082 --> 02:10:35.983]  I got the English version, and I got that map out of it.
[02:10:36.323 --> 02:10:37.224]  We're good to go.
[02:10:37.244 --> 02:10:37.544]  I think?
[02:10:55.834 --> 02:11:02.616]  But there's billions, and I mean billions with a B, dollars worth of trees out in that jungle, the Darien Gap jungle.
[02:11:02.996 --> 02:11:10.518]  So the Chinese will build those bridges for the Ibra Indians, the Wunan Indians, and others in exchange for their trees.
[02:11:10.858 --> 02:11:18.300]  Now, the Indians do sell the trees at about $20 each, except for the Cocobolo trees, which are about $2,000 per ton.
[02:11:18.620 --> 02:11:20.780]  But those trees are like drugs.
[02:11:21.181 --> 02:11:22.801]  In other words, they're worth a lot.
[02:11:22.841 --> 02:11:23.342]  I think so.
[02:11:40.183 --> 02:11:42.804]  The Darien Gap is essentially open at this point already.
[02:11:42.984 --> 02:11:47.845]  There's no paved road all the way through, but we have thousands of people come through a day at this point.
[02:11:48.185 --> 02:11:51.226]  Last August there was 82,000 in one month.
[02:11:51.266 --> 02:11:53.067]  That was the highest number that I know of.
[02:11:53.407 --> 02:11:54.787]  That number is increasing.
[02:11:55.127 --> 02:11:57.588]  However, a lot of people are going around the Gap now.
[02:11:57.668 --> 02:12:05.010]  For instance, they're flying straight to Nicaragua, flying straight from Colombia to the United States.
[02:12:05.770 --> 02:12:08.551]  A lot of people, in other words, they're bypassing the Gap.
[02:12:09.051 --> 02:12:09.891]  We're good to go.
[02:12:09.911 --> 02:12:10.412]  We're good to go.
[02:12:32.020 --> 02:12:33.701]  And so this is so strategic for us.
[02:12:33.721 --> 02:12:35.002]  I've been at military base.
[02:12:35.022 --> 02:12:41.605]  We're just letting the shy comms, everybody, come in, buy out the government, build bridges, set up UN camps, bring in all these people.
[02:12:41.885 --> 02:12:43.406]  Mayorkas goes and tours the camps.
[02:12:43.426 --> 02:12:44.147]  You caught him there.
[02:12:44.687 --> 02:12:47.769]  And then they fund their State Department money, this invasion.
[02:12:48.089 --> 02:12:50.650]  And then Congress in these hearings never brings it up.
[02:12:50.970 --> 02:12:51.691]  It's incredible.
[02:12:53.035 --> 02:12:55.858]  Yeah, actually, you might hear the train going by right now.
[02:12:56.778 --> 02:12:58.780]  This is the canal behind me, and there's a train.
[02:12:59.040 --> 02:13:02.063]  The famous Panama Canal train is between me and that canal.
[02:13:02.543 --> 02:13:07.668]  And they're using that train a lot now because the Lake Gatuna is so low, they can hear the train.
[02:13:08.489 --> 02:13:12.872]  And so they're filling up that train with a lot of the cargo that's normally on the ships, right?
[02:13:13.353 --> 02:13:16.195]  And so we just went through the dairy.
[02:13:16.295 --> 02:13:17.637]  We just went through the Panama Canal.
[02:13:17.837 --> 02:13:18.898]  Actually, that's right behind me.
[02:13:18.918 --> 02:13:20.079]  That's Mira Flores Locks.
[02:13:20.895 --> 02:13:22.877]  When we just went through the canal a few days ago.
[02:13:23.317 --> 02:13:25.478]  Now, I'm sorry if that trains too loud.
[02:13:25.498 --> 02:13:26.759]  That's literally the... No, it's not.
[02:13:26.779 --> 02:13:33.083]  Now, when it comes to Mayorkas, Mayorkas has gone down to the Darien at least twice that I know of.
[02:13:33.183 --> 02:13:38.427]  I was there when he went down on August, I'm sorry, April 18th of 2022.
[02:13:38.827 --> 02:13:39.988]  I waited for four days.
[02:13:40.348 --> 02:13:42.590]  He came down in four Black Hawk helicopters.
[02:13:43.370 --> 02:13:50.435]  The South Commander was there, actually, Laura Richardson, the Commanding General, and our Ambassador Aponte was there as well.
[02:13:50.835 --> 02:13:51.175]  We're good to go.
[02:14:12.321 --> 02:14:12.481]  I think?
[02:14:28.069 --> 02:14:28.309]  I think.
[02:14:53.298 --> 02:14:59.201]  The China camp that you just showed earlier, that's footage that I made of China camp and that footage of HIAS.
[02:14:59.921 --> 02:15:06.203]  I was just with Brett Weinstein and Chris Martinson right in front of the HIAS office, right beside the China camp.
[02:15:06.584 --> 02:15:09.625]  That Mayorkas flew down in his Blackhawks to build up.
[02:15:10.005 --> 02:15:18.488]  Now, when Mayorkas came in April of 2022, he promised to help build up these camps in the dairy.
[02:15:18.729 --> 02:15:19.729]  He has now done that.
[02:15:20.089 --> 02:15:20.830]  We're good to go.
[02:15:37.220 --> 02:15:45.627]  The China camp is the trailers in China camp that you saw in the video that I sent you.
[02:15:45.687 --> 02:15:48.469]  Those trailers are actually made in China.
[02:15:48.790 --> 02:15:54.354]  So actually, the materials, much of the materials inside of the camp that we paid for with U.S.
[02:15:54.394 --> 02:15:55.175]  taxpayer money
[02:15:56.428 --> 02:15:57.710]  We actually bought it in China.
[02:15:58.050 --> 02:16:04.018]  I mean, that's Mayorkas landing on April 18, 2022, just beside China Camp.
[02:16:04.399 --> 02:16:12.870]  So he landed in the Blackhawks and stayed for a few hours, and then he took off, and I watched him land, and I watched him take off, and I have footage of them.
[02:16:13.071 --> 02:16:13.611]  And they also...
[02:16:14.432 --> 02:16:14.792]  I think?
[02:16:33.604 --> 02:16:34.085]  We're good to go.
[02:16:52.344 --> 02:16:57.127]  You know, Guatemala, okay, I just circled that for you just before we went online.
[02:16:57.487 --> 02:17:06.993]  That's the highest building to the left, and in fact, I tried to rent that building, but highest got it before me, and that's the camp right there on the right, which I call China Camp.
[02:17:07.033 --> 02:17:08.093]  That's in the Darien Gap.
[02:17:08.374 --> 02:17:11.095]  That road on the far left is the Pan American Highway.
[02:17:11.415 --> 02:17:14.037]  This is more like, okay, that's the way it was on April 18, 2022.
[02:17:16.238 --> 02:17:21.441]  Now, if you go to the next photo, it's a lot of trailers, and it's a lot larger.
[02:17:21.801 --> 02:17:22.442]  Okay, not that.
[02:17:22.502 --> 02:17:23.603]  That's still April 18th.
[02:17:23.683 --> 02:17:25.304]  That's his security right there on the right.
[02:17:25.724 --> 02:17:27.885]  Okay, that's the way it is now.
[02:17:27.945 --> 02:17:29.326]  That was January.
[02:17:29.666 --> 02:17:30.627]  That was just like, what?
[02:17:30.727 --> 02:17:31.888]  That was 18th of January.
[02:17:31.928 --> 02:17:35.590]  That's like six days ago or so, or five days ago, right?
[02:17:35.870 --> 02:17:37.431]  So that's the way it is right now.
[02:17:37.951 --> 02:17:38.751]  I think we're good to go.
[02:18:04.679 --> 02:18:05.419]  We're good to go.
[02:18:22.848 --> 02:18:32.533]  It's a program called Controlled Flow that was actually made by the United States, or let's say brokered, so that the flow between Costa Rica and Panama is much faster.
[02:18:32.893 --> 02:18:40.477]  So I want to say... So Mayorkas acts like he's against all this, but the State Department's funding it, and that's on record.
[02:18:40.517 --> 02:18:43.619]  So why isn't Congress, when I see the hearings, bringing this up?
[02:18:43.879 --> 02:18:47.861]  They talk about what hits our border, but they never talk about how our government's funding it.
[02:18:48.441 --> 02:18:51.563]  Shouldn't we be able to make a political uproar and shut the funding down?
[02:18:52.935 --> 02:19:02.922]  Well, you know, all the congressmen that I speak with, which is a lot, they almost, Tom Tiffany does, Congressman Tiffany, if you have him on, he can give you a proper briefing.
[02:19:03.222 --> 02:19:03.942]  He's from West Conc.
[02:19:04.203 --> 02:19:05.584]  I took him into the Darien Gap.
[02:19:05.884 --> 02:19:09.366]  Congressman Tiffany went down two or three years ago with me, right?
[02:19:09.846 --> 02:19:11.788]  And so he'll give you a proper briefing.
[02:19:12.048 --> 02:19:18.592]  But most of the others, the only ones that know anything about him are the ones that have talked with people like me or Todd Benson, right?
[02:19:19.633 --> 02:19:21.034]  Most of the others are just clueless.
[02:19:21.334 --> 02:19:29.515]  Yeah, but it's so frustrating because you've been out there for years, been on the show for over a year, saying they're building the camp, now it's built, they're building the roads, they're building the roads, they're building the bridges.
[02:19:30.556 --> 02:19:34.796]  And then he sits there and acts dumb about where these giant caravans are coming from.
[02:19:35.397 --> 02:19:39.737]  So it's got to be the Republicans know this is happening and are just pretending like they're ignorant.
[02:19:40.918 --> 02:19:41.838]  Oh, yeah.
[02:19:41.858 --> 02:19:43.138]  And you see Mayorkas there.
[02:19:43.438 --> 02:19:46.499]  He's at Mayor Flores Locks, which is right behind me out here, actually.
[02:19:46.739 --> 02:19:48.559]  And it looks like he's with the Secretary of State right there.
[02:19:49.451 --> 02:19:50.612]  Yeah, Blinken came down, too.
[02:19:50.652 --> 02:19:54.535]  And you can see some of the things that Blinken said about opening it up here.
[02:19:54.615 --> 02:19:56.297]  He's in deep collusion.
[02:19:56.677 --> 02:20:00.360]  Now, I just took, again, I just took Brett Weinstein and Dr. Chris Martinson down.
[02:20:00.640 --> 02:20:02.622]  They just got on the airplane yesterday and went back.
[02:20:02.682 --> 02:20:03.823]  We were with them for about a week.
[02:20:04.263 --> 02:20:06.926]  And we took them out to a lot of the camps, and we saw them a lot.
[02:20:07.266 --> 02:20:09.508]  You could see their eyes just exploded.
[02:20:09.928 --> 02:20:14.892]  They could hardly believe what they saw, not just in Darien, but where I'm at right now.
[02:20:14.912 --> 02:20:16.574]  Isn't it a wake-up for one of the most famous...
[02:20:16.954 --> 02:20:21.738]  Intellectual liberals, Brett Weinstein, he now says they released the virus as a weapon to take over.
[02:20:22.038 --> 02:20:23.860]  They're establishing a UN treaty, world government.
[02:20:24.120 --> 02:20:25.721]  They're using illegal aliens as weapons.
[02:20:26.162 --> 02:20:28.444]  All these former big liberals like Jimmy Dore now get it.
[02:20:28.764 --> 02:20:31.486]  So what's exciting is we're actually taking liberals down.
[02:20:31.826 --> 02:20:33.568]  You're taking liberals down and they're waking up.
[02:20:34.907 --> 02:20:35.788]  Oh, you should have seen.
[02:20:35.989 --> 02:20:37.270]  Brett totally woke up.
[02:20:37.310 --> 02:20:39.794]  He said, well, there's Masako Ganaha, actually.
[02:20:40.154 --> 02:20:41.476]  She's still here in Panama.
[02:20:41.516 --> 02:20:43.899]  She's unbelievable.
[02:20:44.500 --> 02:20:47.484]  Masako's been out in Darien, I don't know, probably a dozen times.
[02:20:47.544 --> 02:20:48.886]  I don't even know.
[02:20:49.286 --> 02:20:49.567]  Anyway...
[02:20:49.887 --> 02:20:50.388]  We're good to go.
[02:21:12.228 --> 02:21:12.749]  We'd stop.
[02:21:12.789 --> 02:21:14.090]  We were on a small boat.
[02:21:14.570 --> 02:21:19.774]  As we came back from when we just did this, there were a monkey was swimming.
[02:21:20.415 --> 02:21:26.180]  Keep in mind, Brett Weinstein used to work in the canal at a place called Barra, Colorado Island.
[02:21:26.420 --> 02:21:28.121]  He's an evolutionary biologist, right?
[02:21:28.382 --> 02:21:30.663]  So he did a lot of the study down here in Panama.
[02:21:31.164 --> 02:21:31.944]  There's the monkey.
[02:21:32.005 --> 02:21:34.366]  The monkey was swimming across the canal.
[02:21:34.827 --> 02:21:36.849]  None of the people here had ever seen that before.
[02:21:37.609 --> 02:21:38.690]  Brett had never seen it.
[02:21:38.710 --> 02:21:41.012]  I've been talking with a lot of people.
[02:21:41.112 --> 02:21:43.658]  And a big container ship almost killed it.
[02:21:44.605 --> 02:21:46.806]  Yeah, the container ship sort of hit it.
[02:21:46.847 --> 02:21:54.171]  The water moved it out of the way, and the monkey kept trying to grab the container ship.
[02:21:54.191 --> 02:21:56.693]  I wanted to grab the monkey, but I didn't want to die.
[02:21:56.933 --> 02:21:58.694]  Those monkeys will eat you up.
[02:21:59.655 --> 02:22:02.217]  But anyway, somebody came along with a net.
[02:22:02.417 --> 02:22:05.099]  Actually, I know the people that did it, as it turns out.
[02:22:05.339 --> 02:22:06.800]  They came along with a fishing net.
[02:22:06.840 --> 02:22:08.301]  They were actually on a fishing tour.
[02:22:08.641 --> 02:22:11.283]  They came along and netted this monkey and put him in a tree.
[02:22:12.243 --> 02:22:14.365]  You know, my friend Matt Bracken that you know,
[02:22:14.565 --> 02:22:17.105]  Matt Bracken, former Navy SEAL, he saw this.
[02:22:17.125 --> 02:22:19.666]  He said, that monkey ought to be a SEAL.
[02:22:19.906 --> 02:22:23.547]  You can see the monkey was getting a little tired right when he shows up with the net.
[02:22:25.927 --> 02:22:28.587]  It made all of us so happy the monkey didn't die.
[02:22:28.627 --> 02:22:31.008]  Just amazing stuff.
[02:22:31.028 --> 02:22:33.908]  But first, give us a 35,000-foot view here.
[02:22:34.809 --> 02:22:38.809]  Listeners, just like they planned new lockdowns last year, we exposed it.
[02:22:39.309 --> 02:22:42.230]  They still tried it, but it was defeated because people knew
[02:22:43.071 --> 02:22:44.597]  We have giant roads.
[02:22:45.831 --> 02:22:47.931]  Invasion points, bridges being built.
[02:22:48.471 --> 02:22:55.073]  We have signs up, the UN funding it, State Department funding it, our government funding it, creating this.
[02:22:55.393 --> 02:23:00.754]  And you were telling me you think it'll be up to millions every few months soon just through this area.
[02:23:01.854 --> 02:23:04.074]  Again, that's what shuts it off.
[02:23:04.134 --> 02:23:06.135]  Not trying to build fences on our border.
[02:23:06.575 --> 02:23:07.795]  We control Panama.
[02:23:07.815 --> 02:23:09.035]  We have to shut it down there.
[02:23:09.435 --> 02:23:13.736]  So easy to do, but not once they get these official concrete bridges in.
[02:23:15.242 --> 02:23:18.004]  The problem is our government is doing it.
[02:23:18.164 --> 02:23:20.046]  That's what a lot of people don't quite understand.
[02:23:20.106 --> 02:23:22.507]  They keep saying, yeah, but who's actually doing it?
[02:23:22.547 --> 02:23:24.829]  And I'll say, let me repeat what I just said.
[02:23:25.229 --> 02:23:26.530]  Our government is doing it.
[02:23:26.570 --> 02:23:27.771]  They're like, yeah, but who's behind it?
[02:23:27.851 --> 02:23:28.312]  I'm like, well...
[02:23:29.653 --> 02:23:34.094]  You know, like, you know, the president and the so-called president, Mayorkas, Blinken.
[02:23:34.595 --> 02:23:35.455]  But who's behind it?
[02:23:35.715 --> 02:23:36.895]  Our government is behind it.
[02:23:37.275 --> 02:23:42.957]  And the World Economic Forum and the Chinese Communist Party, which clearly have captured key parts of our government.
[02:23:43.297 --> 02:23:45.398]  Like, for instance, Greg Abbott, state government.
[02:23:45.738 --> 02:23:47.500]  He's clearing the decks for more to come in.
[02:24:06.858 --> 02:24:08.198]  Abbott could close the border.
[02:24:08.479 --> 02:24:10.039]  He's just a member of WEF.
[02:24:10.159 --> 02:24:11.479]  That's all you need to know.
[02:24:11.880 --> 02:24:17.401]  Bottom line is, the border will stay open as long as Abbott is the governor of Texas.
[02:24:17.781 --> 02:24:20.822]  It'll stay open as long as you have all these blue governors.
[02:24:20.842 --> 02:24:27.164]  Well, listen, I really respect you, because I wanted to think a few weeks ago, maybe he's going down to Eagle Pass doing some control.
[02:24:29.225 --> 02:24:30.605]  But you're saying it's all cosmetic.
[02:24:32.206 --> 02:24:33.388]  It's kayfabe.
[02:24:33.488 --> 02:24:36.311]  It's a professional wrestling match.
[02:24:36.772 --> 02:24:40.696]  Every time they do this, when he put up the rubber barriers in the Rio Grande, I was there.
[02:24:40.736 --> 02:24:42.318]  When he put up the containers, I was there.
[02:24:42.338 --> 02:24:44.180]  When he puts up the concertina, I was there.
[02:24:45.141 --> 02:24:49.225]  We've gotten to the point where it's like, look, all you need to know is what uniform does Abbott wear.
[02:24:49.406 --> 02:24:50.146]  That's all you need to know.
[02:24:50.487 --> 02:24:51.628]  He wears the WEF uniform.
[02:24:51.848 --> 02:24:52.189]  Period.
[02:24:52.489 --> 02:25:03.615]  Wef is, as you well know, you know this better than probably anybody on this planet, World Economic Forum and the Chinese Communist Party, they're as aligned as Germany and Italy were in World War II.
[02:25:04.095 --> 02:25:10.119]  So if you are a member of the World Economic Forum, you're aligned with China on many of these things.
[02:25:10.139 --> 02:25:13.261]  You keep in mind, Chinese are using that camp.
[02:25:13.341 --> 02:25:14.721]  That's why I call it China Camp.
[02:25:15.042 --> 02:25:21.065]  Not only do they use that camp, that's their main invasion route from South America is the camp that Mayorkas built.
[02:25:21.565 --> 02:25:23.887]  I mean, with our money, with American money.
[02:25:24.507 --> 02:25:29.770]  That camp, that camp, okay, that was April 18th, 2022, when Mayorkas came.
[02:25:29.810 --> 02:25:35.394]  He had just come either just before this or just after because his security cars are not in that photo.
[02:25:35.814 --> 02:25:37.535]  But I made that video.
[02:25:37.575 --> 02:25:40.277]  And then, boom, we skip ahead to a few days ago and how big it is.
[02:25:41.192 --> 02:25:42.033]  Yeah, it's huge.
[02:25:42.434 --> 02:25:44.457]  And so, I mean, I'm down there all the time.
[02:25:44.858 --> 02:25:48.944]  And so, and the camps are, I want to say again, so that's the way it just was.
[02:25:49.325 --> 02:25:53.952]  And I want to say again that these camps not only are bigger, and this isn't the only one.
[02:25:53.972 --> 02:25:56.396]  There are others we could go down this rabbit hole for hours.
[02:25:56.886 --> 02:25:59.728]  There are others, but more importantly, they're more efficient.
[02:26:00.068 --> 02:26:01.068]  The pipe is smooth.
[02:26:01.108 --> 02:26:02.169]  The pipe is fast.
[02:26:02.509 --> 02:26:05.050]  So the water is flowing faster and faster.
[02:26:05.471 --> 02:26:08.892]  So you've got, it's much easier for, and it's now IOM.
[02:26:09.173 --> 02:26:10.233]  You know about IOM.
[02:26:10.373 --> 02:26:19.258]  Most people, almost every congressperson, when Brett Weinstein first came down here and Chris Martinson, they didn't know what IOM was just a couple of weeks ago, right?
[02:26:19.498 --> 02:26:24.381]  And I'm like, before you come down, you need to know who IOM is because I'm going to introduce you to IOM.
[02:26:24.821 --> 02:26:28.109]  And when you're in the airports coming down here, keep your eyes out for Iowa.
[02:26:28.129 --> 02:26:30.394]  So explain who the NGOs are.
[02:26:31.294 --> 02:26:36.777]  The International Organization for Migration, IOM, is run by an evil lady named Amy Pope.
[02:26:36.837 --> 02:26:39.338]  She's been in charge for maybe four or four and a half months.
[02:26:39.899 --> 02:26:43.541]  She brags that the number one funder for IOM is the United States.
[02:26:43.661 --> 02:26:44.761]  Number two is Germany.
[02:26:44.821 --> 02:26:45.922]  Number three is Canada.
[02:26:46.382 --> 02:26:51.665]  IOM also has an office in Yemen, by the way, and Yemenis do come through the Darien Gap.
[02:26:51.925 --> 02:26:56.828]  Now, IOM, their office, if they could turn this window 90 degrees, you would see their office.
[02:26:57.208 --> 02:27:00.189]  Their flag, I'm in what's called the City of Knowledge.
[02:27:00.709 --> 02:27:03.930]  I'm in the City of Knowledge in Panama, right?
[02:27:04.651 --> 02:27:06.371]  And so this used to be the U.S.
[02:27:06.431 --> 02:27:07.512]  Army South headquarters.
[02:27:07.872 --> 02:27:09.252]  Now it's called the City of Knowledge.
[02:27:09.613 --> 02:27:10.513]  They've taken it over.
[02:27:10.773 --> 02:27:14.874]  About 62 NGOs, IGOs, and nonprofits.
[02:27:15.695 --> 02:27:18.456]  A very kind lady named Heather, I won't say her last name.
[02:27:18.816 --> 02:27:24.558]  She's an intel lady, did a lot of study on this, and she has reached out to Harrison about coming on to present this.
[02:27:24.898 --> 02:27:25.499]  We're good to go.
[02:27:45.635 --> 02:28:00.019]  While they cut off the resources in the third world, flood us with these people who they then politically control, who they sign up for welfare, you name it, and skim money off of, this is a UN globalist invasion run by our own government happening in our face.
[02:28:01.502 --> 02:28:01.702]  Right.
[02:28:01.922 --> 02:28:02.183]  It is.
[02:28:02.303 --> 02:28:03.304]  It's a straight-up invasion.
[02:28:03.524 --> 02:28:05.185]  It's hardcore.
[02:28:05.585 --> 02:28:07.587]  And it's being done by the United States government.
[02:28:08.187 --> 02:28:11.730]  So, I mean, it's also in Europe.
[02:28:11.750 --> 02:28:15.954]  When you go to Europe, like we've gone down to Morocco and Lithuania, all over Europe.
[02:28:16.194 --> 02:28:17.075]  You know, Luxembourg.
[02:28:17.515 --> 02:28:22.799]  Let's come back and talk about what happened to Europe and how they're a little bit ahead of us on this and where this endgame goes if we don't stop it.
[02:28:22.819 --> 02:28:22.939]  But...
[02:28:23.860 --> 02:28:26.442]  Again, Congress is only the point of the border's broken.
[02:28:26.462 --> 02:28:28.503]  Remember, last few years, Mayorkas is not broken.
[02:28:28.523 --> 02:28:29.604]  Now he's okay, it's broken.
[02:28:29.644 --> 02:28:30.324]  Legalize everybody.
[02:28:30.905 --> 02:28:34.007]  So, we need to get to the point of, no, our government's running this.
[02:28:34.547 --> 02:28:35.748]  And then that cuts the funding.
[02:28:35.768 --> 02:28:40.871]  And that's what this whole discussion's about, folks, is actually cutting the State Department money off.
[02:28:41.212 --> 02:28:42.933]  Michael Yan, investigative journalist, is our guest.
[02:28:43.293 --> 02:28:45.054]  He's in Panama, just came out of the jungle.
[02:28:45.535 --> 02:28:46.235]  He's amazing.
[02:28:46.775 --> 02:28:49.497]  Tell everybody you know and those you don't know, tell everybody, tune in now.
[02:28:49.918 --> 02:28:51.118]  They don't want this information getting out.
[02:28:51.599 --> 02:28:53.340]  Infowars.com forward slash show.
[02:28:54.401 --> 02:28:54.941]  We're good to go.
[02:29:22.380 --> 02:29:32.446]  This is the breakdown product after your cells process it of folic acid, methylfolate with high quality organic B-complex.
[02:29:32.906 --> 02:29:34.127]  This stuff is rocket fuel.
[02:29:34.167 --> 02:29:35.028]  It's not a stimulant.
[02:29:35.288 --> 02:29:37.089]  It energizes your cells.
[02:29:37.609 --> 02:29:37.990]  We're good to go.
[02:29:58.775 --> 02:30:01.898]  I talk a lot about the great successes InfoWars has had.
[02:30:01.918 --> 02:30:03.439]  I don't think anybody can deny it.
[02:30:04.200 --> 02:30:07.242]  And it is because of listeners and viewers supporting us.
[02:30:08.143 --> 02:30:16.230]  When we talk about the crew at InfoWars, people behind the scenes, the researchers, the writers, they really have been the MVPs in this fight.
[02:30:17.090 --> 02:30:23.035]  And we look at Harrison Smith and Owen Schroyer and the hard work they engage in every day, five, six, seven days a week.
[02:30:23.976 --> 02:30:24.857]  It's really just incredible.
[02:30:25.879 --> 02:30:28.760]  So for myself and the whole InfoWars crew, I thank you for your past support.
[02:30:29.540 --> 02:30:34.521]  I only encourage you now to realize that InfoWars cannot stay on air if you do not support us.
[02:30:35.322 --> 02:30:36.222]  I know you spread the word.
[02:30:36.262 --> 02:30:37.742]  I know you pray for us, and that's wonderful.
[02:30:37.782 --> 02:30:38.303]  Keep doing it.
[02:30:38.343 --> 02:30:44.964]  But most viewers and listeners, never go to InfoWarsStore.com, and you never buy great products that enrich and empower your life.
[02:30:45.405 --> 02:30:46.585]  All at the same time, keep us on air.
[02:30:47.265 --> 02:30:50.927]  I know that less than 1% of our listeners actually go buy products at InfoWarsStore.com.
[02:30:51.588 --> 02:30:56.211]  If just 1% more of you took action and went to InfoWarsStore.com, our funding problems will be over.
[02:30:56.531 --> 02:30:57.372]  Please take action now.
[02:30:57.552 --> 02:30:59.153]  I'm not on Team NFL.
[02:30:59.453 --> 02:31:00.954]  I'm not on Team NBA.
[02:31:01.134 --> 02:31:02.115]  I'm not on Team Olympics.
[02:31:02.395 --> 02:31:05.797]  I'm not on Team Globalist or Wokeism in the New World Order.
[02:31:06.057 --> 02:31:08.739]  I'm on Team Humanity, ladies and gentlemen.
[02:31:09.019 --> 02:31:09.659]  We're good to go.
[02:31:37.586 --> 02:31:38.327]  We're good to go.
[02:31:38.347 --> 02:31:38.867]  We're good to go.
[02:31:57.622 --> 02:31:58.042]  We're good to go.
[02:32:24.103 --> 02:32:32.130]  Ladies and gentlemen, this is the best-tasting, best-smelling, strongest coffee that I have ever drank.
[02:32:32.611 --> 02:32:34.032]  It is game-changing.
[02:32:34.472 --> 02:32:36.634]  All you've got to do is buy a bag of it and try it.
[02:32:36.654 --> 02:32:39.817]  I know you're going to be hooked, which will then fund your operation, a 360 win.
[02:32:40.077 --> 02:32:44.061]  Go to InfoWarsStore.com right now for Escape to Prison Planet Light Roast.
[02:32:44.101 --> 02:32:47.544]  That's the strongest, the amazing medium roast wig of America.
[02:32:48.004 --> 02:32:55.250]  And finally, the best tasting, dark roast, tip of the spear, now exclusively available at InfoWarsStore.com.
[02:32:55.491 --> 02:32:56.331]  Get your coffee now.
[02:32:58.894 --> 02:33:04.799]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[02:33:09.062 --> 02:33:10.063]  We're good to go.
[02:33:10.083 --> 02:33:12.124]  We're good to go.
[02:33:36.312 --> 02:33:41.697]  I am beyond frustrated because we have the keys to victory to stopping the globalists.
[02:33:42.457 --> 02:33:45.039]  The UN doesn't invade with troops and blue helmets.
[02:33:45.860 --> 02:33:48.122]  Oh, I ever see you in blue helmets, we always hear.
[02:33:48.182 --> 02:33:48.842]  I'm going to get them.
[02:33:49.203 --> 02:33:50.564]  When that day comes, I'm ready.
[02:33:50.624 --> 02:33:51.685]  I got plenty of guns.
[02:33:52.926 --> 02:33:53.707]  They don't invade.
[02:33:53.747 --> 02:33:56.989]  They invade through the IMF, through the World Bank, through the policy.
[02:33:57.009 --> 02:34:04.716]  They're cutting off our pipelines, our infrastructure, flooding us with fentanyl, turning our families against each other, devaluing our dollar, launching all these wars.
[02:34:06.002 --> 02:34:18.349]  And viral scares as well as, it's in all their own documents, in my film Endgame, I made in 2007, it says, their number one thing will be migrant flows, viruses, and currency crises to bring in world government.
[02:34:18.409 --> 02:34:24.672]  So, Congress still has been debating for three years with Mayorkas whether the border's broken.
[02:34:25.782 --> 02:34:29.264]  And they're finally gotten to, you're lying, we're impeaching you, it's broken, you're not doing your job.
[02:34:29.604 --> 02:34:31.765]  It's not that he's not doing his job.
[02:34:31.785 --> 02:34:39.709]  It's not like he's a fire department when a house is on fire and the fire department says we're going to eat chili and watch the football game and drink Miller Lite.
[02:34:40.569 --> 02:34:45.251]  That's dereliction of duty and that's criminal negligence and it's still wrong.
[02:34:46.372 --> 02:34:51.154]  But if the fire department went and set fire to the house, that's what we're talking about here.
[02:34:51.894 --> 02:34:53.135]  So, Mayorkas...
[02:34:54.434 --> 02:34:55.075]  We're good to go.
[02:35:09.469 --> 02:35:10.830]  We're good to go.
[02:35:10.870 --> 02:35:11.651]  I think?
[02:35:34.269 --> 02:35:36.031]  You shut the Darien Gap down.
[02:35:36.051 --> 02:35:39.455]  You shut down the invasion point for South America, Central America.
[02:35:39.475 --> 02:35:41.298]  You shut most of this down.
