[00:00:01.277 --> 00:00:01.598]  The End.
[01:50:09.758 --> 01:50:14.080]  Ed was in the debate with Destiny and his brother and others that we hosted here at InfoWars.
[01:50:14.140 --> 01:50:16.161]  Ed, go ahead and unmute yourself and say what you have to say.
[01:50:17.161 --> 01:50:18.462]  Yeah, how's it going, guys?
[01:50:19.062 --> 01:50:21.704]  You know, I get the outrage.
[01:50:22.964 --> 01:50:24.105]  I understand people's outrage.
[01:50:25.551 --> 01:50:39.596]  As far as Google Gemini getting things wrong, but it is AI, and we don't know that Google actually programmed it to show Founding Fathers as being dark-colored individuals.
[01:50:39.956 --> 01:50:40.857]  Most likely they didn't.
[01:50:41.337 --> 01:50:44.158]  Most likely it was a large language model that called it that.
[01:50:44.198 --> 01:50:49.060]  Wait a minute, it said we're not allowed to show you things that are racially insensitive, we can't show you white people.
[01:50:49.080 --> 01:50:49.660]  You didn't see that?
[01:50:50.720 --> 01:50:52.601]  It didn't say that for the Founding Fathers, did it?
[01:50:54.067 --> 01:50:55.268]  You showed it yesterday on air.
[01:50:56.289 --> 01:50:57.030]  Chase, tell them about it.
[01:50:57.711 --> 01:51:09.362]  So, I'm not sure for the specific Founding Fathers prompt, but if you said show a picture of happy white people or a happy white couple, it would explicitly say that it was racially insensitive to show white people.
[01:51:09.422 --> 01:51:09.903]  Absolutely.
[01:51:10.223 --> 01:51:11.484]  To even say white people exist.
[01:51:11.504 --> 01:51:13.646]  So I guess, Ed, you didn't say that?
[01:51:14.147 --> 01:51:15.849]  I didn't experience that in my...
[01:51:16.684 --> 01:51:21.585]  My use of Gemini, I didn't specifically ask it that though, so I can't really comment on that.
[01:51:21.665 --> 01:51:27.467]  If that is the case, then that's obviously, obviously that's pretty wrong for anybody to be doing.
[01:51:28.007 --> 01:51:32.908]  But I also think like, you know, we're blaming Google engineers for this.
[01:51:32.988 --> 01:51:34.128]  I don't know if you can do that.
[01:51:34.348 --> 01:51:40.350]  Can we blame, you know, open AI if they give us wrong answers to math problems?
[01:51:41.130 --> 01:51:42.610]  AI is how you program it.
[01:51:42.710 --> 01:51:45.171]  I mean, there it is on screen.
[01:51:45.191 --> 01:51:46.311]  But there's their large language
[01:51:48.339 --> 01:51:48.679]  Thank you, Ed.
[01:52:05.260 --> 01:52:10.305]  So, I mean, literally, like, I watched four or five shows last year with my wife, and we didn't mind it.
[01:52:10.345 --> 01:52:16.050]  Okay, it's funny, like, there's Viking queens that are black, and half the Vikings are black.
[01:52:16.931 --> 01:52:18.352]  Did AI tell them to do that?
[01:52:18.432 --> 01:52:18.612]  No.
[01:52:18.912 --> 01:52:20.253]  It's a directive to do that.
[01:52:20.333 --> 01:52:21.094]  Why is that happening?
[01:52:21.134 --> 01:52:27.079]  Yeah, but at the same time, they're not being portrayed as historically accurate forms of entertainment.
[01:52:27.099 --> 01:52:27.940]  They're just entertainment.
[01:52:28.180 --> 01:52:30.863]  Yeah, why not have an Easter Bunny, then, as the king of the Vikings?
[01:52:32.188 --> 01:52:37.292]  I mean, I'm sure somebody could come up with that idea, but will anybody watch that?
[01:52:37.312 --> 01:52:41.695]  Would anybody watch a movie about Shaka Zulu, which I watched as a kid and thought was great.
[01:52:41.715 --> 01:52:42.536]  I thought it was so good.
[01:52:42.856 --> 01:52:45.839]  A few years ago, I went and found it and downloaded it and watched Shaka Zulu.
[01:52:46.079 --> 01:52:48.481]  It's freaking Shaka Zulu killing the British, man.
[01:52:48.781 --> 01:52:49.742]  It's a black dude.
[01:52:50.122 --> 01:52:53.705]  It's like if I want to pull up Mr. T, I don't expect to get Hulk Hogan.
[01:52:56.849 --> 01:53:05.796]  Yeah, but I mean, it's just... If I pull up Muhammad Ali, who I watch all the time and I love, and is the best boxer ever, I don't expect to see a white dude, man.
[01:53:06.096 --> 01:53:08.818]  If I try to search Muhammad Ali, I want to see a black dude.
[01:53:09.638 --> 01:53:19.706]  Yeah, but Alex, if it was being advertised as a, you know, as a biography, a historically accurate biography, and then you'd see that, then I can understand you being mad, but
[01:53:20.473 --> 01:53:26.001]  If it's just a piece of entertainment that you're watching on Netflix that's not claiming to be historically accurate.
[01:53:26.021 --> 01:53:31.890]  But Ed, there's obviously a bias in Hollywood to show women in charge kicking all the men's asses in every show.
[01:53:32.170 --> 01:53:32.671]  Are you denying?
[01:53:32.691 --> 01:53:33.673]  Do they admit they do that?
[01:53:35.375 --> 01:53:35.856]  I'm sure some.
[01:53:39.758 --> 01:53:43.440]  I don't, again, I don't know if there's anything wrong with it.
[01:53:43.480 --> 01:53:44.921]  The only problem is I don't watch it.
[01:53:45.021 --> 01:53:45.922]  It's stupid!
[01:53:46.402 --> 01:53:48.223]  Like, I'll put a woman in charge of the movie.
[01:53:48.303 --> 01:53:50.645]  I loved it back... Yeah, so you don't watch it.
[01:53:50.725 --> 01:53:51.325]  Exactly.
[01:53:52.306 --> 01:54:00.330]  And if they're not getting ratings, if they're not selling their creations, they're not going to be creating it.
[01:54:00.390 --> 01:54:02.312]  It's not going to be picked up by... Let me ask you this.
[01:54:02.352 --> 01:54:03.352]  Let me ask you this.
[01:54:03.772 --> 01:54:06.174]  Do you think this is a Bud Light moment for Google?
[01:54:15.989 --> 01:54:24.156]  If there's evidence that Google said don't show white people when people ask for images, then that would be a major problem.
[01:54:24.236 --> 01:54:26.177]  How the hell would AI come up with that?
[01:54:26.217 --> 01:54:28.199]  We all know it goes according to the parameters it's given.
[01:54:29.271 --> 01:54:31.233]  I've gotten some pretty crazy stuff from AI.
[01:54:31.293 --> 01:54:35.577]  Like, I mean, why does AI show people with six fingers?
[01:54:36.158 --> 01:54:40.582]  Like, if you ask Dolly, if you ask pretty much any image generating... No, I get it.
[01:54:40.602 --> 01:54:41.783]  Well, then I think you may be right.
[01:54:42.183 --> 01:54:42.924]  Maybe it's true.
[01:54:43.404 --> 01:54:46.627]  AI scrapes all the corporate ads, which I love black people.
[01:54:48.268 --> 01:54:53.592]  Every insurance ad, every beer ad, every car ad, every hotel ad, it's nothing but black people.
[01:54:53.912 --> 01:54:56.393]  Why do you think the corporate media is doing that?
[01:54:56.413 --> 01:54:57.234]  Because they say that.
[01:54:57.254 --> 01:54:58.535]  I mean, what is the point?
[01:54:58.835 --> 01:55:01.677]  Blacks are, you know, like 20% of the world population, not against them.
[01:55:01.737 --> 01:55:03.278]  Why is it the face of things?
[01:55:05.060 --> 01:55:12.282]  I think corporations want to appeal to people of all types, dependent of skin color, sex.
[01:55:12.702 --> 01:55:13.382]  No, I get it.
[01:55:13.422 --> 01:55:16.763]  So why don't we see an ad with white people and Asians and Hispanics and blacks?
[01:55:17.023 --> 01:55:18.143]  Why is it all black people?
[01:55:20.564 --> 01:55:21.664]  I don't know, Alex.
[01:55:21.804 --> 01:55:22.584]  I don't know.
[01:55:23.044 --> 01:55:26.045]  I haven't seen an ad that I said, why are there all black people?
[01:55:26.065 --> 01:55:27.586]  You must not be watching TV.
[01:55:28.406 --> 01:55:29.726]  Again, I love black people.
[01:55:29.746 --> 01:55:30.466]  There's nothing with them.
[01:55:31.066 --> 01:55:33.187]  The corporations have decided this, Ed.
[01:55:35.865 --> 01:55:38.027]  I mean, if you believe that, you can believe that.
[01:55:38.047 --> 01:55:42.510]  I don't think there's a big cabal of corporations saying we must show black people.
[01:55:42.751 --> 01:55:48.435]  I think maybe certain corporations that want to appeal more to black people are putting out ads that have... Wait a minute.
[01:55:48.455 --> 01:55:52.418]  The corporations have put out these indexes on record where they order people to do this.
[01:55:55.081 --> 01:55:56.902]  Corporations are referring to... Oh, okay.
[01:55:57.342 --> 01:55:58.463]  Everybody will do this.
[01:55:58.543 --> 01:55:59.784]  People will take this clip out, Ed.
[01:56:00.885 --> 01:56:04.148]  Like when you guys said that there's no illegal aliens voting.
[01:56:05.370 --> 01:56:07.691]  And then everybody pulled up the fact that all these cities let him do it.
[01:56:07.711 --> 01:56:14.655]  I mean, it's on record that... I'm genuinely asking you which corporations are you referring to?
[01:56:14.975 --> 01:56:22.960]  It's not like all corporations in America are getting together saying, oh, we have to just... Are you saying BlackRock's ESG isn't real?
[01:56:25.855 --> 01:56:27.537]  That's not what I'm referring to.
[01:56:27.557 --> 01:56:33.843]  So, yes, some corporations are going to be putting out ads that have maybe all black people.
[01:56:33.944 --> 01:56:37.347]  I haven't seen an ad that I said, oh, look, it's all black people, but I'm not arguing that.
[01:56:37.367 --> 01:56:38.008]  Well, let me ask you this.
[01:56:38.048 --> 01:56:41.612]  What do you think of the FAA saying they're going to hire schizophrenics to fly jumbo jets?
[01:56:43.800 --> 01:56:47.503]  I don't think the FAA should hire schizophrenics to fly jumbo jets.
[01:56:48.124 --> 01:56:52.088]  They said we're going to hire mentally ill people.
[01:56:52.308 --> 01:56:55.411]  It's aliens, man, or something like trying to make us all kill each other.
[01:56:55.691 --> 01:56:56.852]  I don't care if they're black or white.
[01:56:56.872 --> 01:56:58.153]  They better pass the damn test.
[01:56:58.693 --> 01:57:00.315]  I'm sure there's great black pilots there are.
[01:57:00.375 --> 01:57:01.436]  I don't give a damn what color they are.
[01:57:01.656 --> 01:57:04.599]  They better be top of their fricking class when they're flying me and my family.
[01:57:04.639 --> 01:57:06.621]  I don't give a fricking hell what color they are.
[01:57:06.861 --> 01:57:09.003]  But lowering standards to fly jumbo jets?
[01:57:11.184 --> 01:57:12.906]  No, I don't think standards should be lower.
[01:57:12.966 --> 01:57:13.947]  No, absolutely not.
[01:57:14.207 --> 01:57:15.088]  Well, I agree with you.
[01:57:15.148 --> 01:57:16.089]  Was it you or your brother?
[01:57:16.129 --> 01:57:17.890]  Because I get you guys confused.
[01:57:17.910 --> 01:57:18.891]  You're both very prolific.
[01:57:19.532 --> 01:57:22.594]  Was it you that put up a thing about Trump shoving the guy?
[01:57:24.176 --> 01:57:24.776]  Yeah, that was me.
[01:57:25.837 --> 01:57:26.958]  I don't think he shoved him.
[01:57:27.058 --> 01:57:29.601]  I said people are saying Trump shoved him.
[01:57:30.041 --> 01:57:30.682]  What do you think?
[01:57:32.804 --> 01:57:33.644]  Maybe Trump raped him.
[01:57:33.764 --> 01:57:36.367]  And that's because Patriot... What's the Patriot?
[01:57:48.335 --> 01:57:57.861]  Unless you've been living under a rock, you've heard how amazing turmeric is for inflammation for your joints, your bones, your blood, your organs, your mind, everything.
[01:57:58.322 --> 01:58:03.045]  Well, we have Body's Ultimate Turmeric Formula with 95% curcuminoid extract.
[01:58:03.485 --> 01:58:05.967]  No one that we know of has it even above 85%.
[01:58:06.867 --> 01:58:14.631]  This is the strongest formula on the market, and it's way lower priced than some of the top brands out there that are 75%, 80% humanoid.
[01:58:15.112 --> 01:58:17.893]  BODY's Ultimate Turmeric Formula is amazing.
[01:58:18.153 --> 01:58:19.394]  You're missing out if you don't try it.
[01:58:19.694 --> 01:58:25.277]  It's discounted right now, 40% off at Infowarshaw.com, and it funds the Info War, a total 360 win.
[01:58:25.517 --> 01:58:27.358]  You owe it to yourself to try BODY's.
[01:58:27.639 --> 01:58:28.479]  I know you'll be amazed.
[01:58:28.759 --> 01:58:29.740]  Get yours right now.
[01:58:30.280 --> 01:58:39.507]  But folks, we're standing up for our rights, we're standing up for your rights, we're standing up for all of our freedoms and our children.
[01:58:39.527 --> 01:58:48.193]  If you don't spread the word about the broadcast, if you don't share the links, if you don't buy products at infowarestore.com, then
[01:59:00.359 --> 01:59:02.440]  I'm not bribing at you, I'm just saying, what are you doing?
[01:59:03.520 --> 01:59:06.862]  Less than 1% of you ever buy a product at InfoWareStore.com.
[01:59:07.702 --> 01:59:14.705]  If just a half a percent more would go buy a book or a film or a t-shirt or get some of our great supplements and then reorder them because they really work.
[01:59:15.025 --> 01:59:15.625]  Just try it.
[01:59:16.225 --> 01:59:18.166]  We would be able to do so many things.
[01:59:18.526 --> 01:59:22.328]  I'm praying to God that he'll touch your heart to decide to support us.
[01:59:22.828 --> 01:59:24.589]  InfoWareStore.com.
[01:59:26.732 --> 01:59:29.473]  It's been sold out, it's back in stock, reformulated even stronger.
[01:59:30.274 --> 01:59:32.134]  Nitric boost to clean out your blood and your whole body.
[01:59:32.595 --> 01:59:33.675]  Vasodilation.
[01:59:33.695 --> 01:59:36.816]  It's got a lot of wonderful side effects, and I mean good ones.
[01:59:37.177 --> 01:59:37.937]  I'm going to leave it at that.
[01:59:38.557 --> 01:59:40.418]  It is powerful, so be careful with it.
[01:59:40.778 --> 01:59:44.700]  Next Level Foundational Energy, InfoWarsTore.com or 888-253-3139.
[01:59:51.787 --> 02:00:04.875]  If you are receiving this transmission, you are the resistance.
[02:00:04.895 --> 02:00:10.898]  I don't want to set the world on fire.
[02:00:10.938 --> 02:00:13.680]  This song was written by Klaus Schwab.
[02:00:13.700 --> 02:00:16.942]  Might as well have read that.
[02:00:18.120 --> 02:00:19.121]  No, yeah, I think that's about it.
[02:00:36.926 --> 02:00:40.869]  is actually programming the AI to do this stuff, then I have a problem with it.
[02:00:41.129 --> 02:00:58.620]  If it's just a large language model teaching itself based on content that it's finding on the internet, content it's finding in research books, wherever else their Gemini gets their information from and teaches itself from, then I think it's just one of those things that will work itself out in time.
[02:00:58.740 --> 02:01:01.562]  And I'm glad Gemini took it down to address the issue.
[02:01:01.582 --> 02:01:01.602]  I
[02:01:08.257 --> 02:01:14.319]  I gave OpenAI's ChatGPT a word problem the other day.
[02:01:14.339 --> 02:01:17.859]  It was a simple word problem and it gave me the wrong answer.
[02:01:18.979 --> 02:01:20.600]  Like I said before, the six fingers.
[02:01:21.520 --> 02:01:23.900]  You see six finger people all the time.
[02:01:24.541 --> 02:01:27.421]  These are issues that AI has to work out.
[02:01:28.261 --> 02:01:32.142]  We know that OpenAI is not telling DALI to create
[02:01:35.811 --> 02:01:37.372]  I mean, I wouldn't have a problem with
[02:01:56.471 --> 02:01:59.713]  But Google won't release the parameters of how they're training AI.
[02:02:00.013 --> 02:02:02.375]  Yeah, and I personally think they should.
[02:02:02.395 --> 02:02:09.239]  I understand their argument and why they don't, you know, they don't want to give a competitive advantage to other companies, I guess.
[02:02:09.780 --> 02:02:18.486]  But I think for full transparency, they should at least release some of it, like, if they want to prove that it has nothing to do with them programming it.
[02:02:18.526 --> 02:02:18.986]  Exactly.
[02:02:19.046 --> 02:02:19.966]  I totally agree with you.
[02:02:19.986 --> 02:02:20.747]  How do people find you?
[02:02:20.767 --> 02:02:25.170]  Ed, how do people find you?
[02:02:26.858 --> 02:02:27.878]  Oh, I'm sorry.
[02:02:27.998 --> 02:02:31.319]  You can just find me right here on X at Ed Krasin.
[02:02:31.339 --> 02:02:33.020]  All right, buddy.
[02:02:33.040 --> 02:02:33.420]  Thank you.
[02:02:34.260 --> 02:02:34.560]  All right.
[02:02:35.000 --> 02:02:36.621]  Again, we got stations we joined.
[02:02:36.681 --> 02:02:38.261]  It was a one-minute break coming up in a minute.
[02:02:38.281 --> 02:02:39.221]  We joined a bunch of stations.
[02:02:39.241 --> 02:02:40.161]  That's why we have these breaks.
[02:02:40.602 --> 02:02:41.822]  Radio stations is how it works.
[02:02:42.662 --> 02:02:46.063]  You want to comment on that before we go to break and come back and take a whole bunch of X comments quickly?
[02:02:47.543 --> 02:02:48.284]  Sure, yeah.
[02:02:49.145 --> 02:02:50.165]  You know, I think that makes a good point.
[02:02:50.225 --> 02:03:02.417]  It's possible that these tools do these things on accident, but what's alarming specifically is... It's possible all the corporate media funds transgenderism and children and puts down men in the home and wants to destroy the family.
[02:03:02.497 --> 02:03:06.901]  It's possible that it's accidental that all the police departments cover up black-on-white crime.
[02:03:06.941 --> 02:03:08.122]  It's just all happening accidentally.
[02:03:08.762 --> 02:03:09.022]  Right.
[02:03:09.603 --> 02:03:13.325]  What's alarming to me about this specific instance is that they didn't catch it before they released it.
[02:03:13.365 --> 02:03:15.587]  You know that they were trying prompts thousands of times.
[02:03:15.627 --> 02:03:17.468]  They had research teams looking into this.
[02:03:17.528 --> 02:03:18.729]  They should have caught it before they released it.
[02:03:18.749 --> 02:03:20.070]  It's a giant troll.
[02:03:20.150 --> 02:03:21.371]  Give me a break.
[02:03:21.671 --> 02:03:23.292]  You can't search a white person.
[02:03:23.312 --> 02:03:23.893]  Give me a break.
[02:03:24.133 --> 02:03:25.454]  They put it in there to do that.
[02:03:25.954 --> 02:03:26.314]  Agreed.
[02:03:26.674 --> 02:03:27.195]  Absolutely.
[02:03:27.255 --> 02:03:28.655]  We've got a couple of other people in the space.
[02:03:28.815 --> 02:03:29.576]  Do you want to go to another speaker?
[02:03:29.596 --> 02:03:29.916]  No, no, no.
[02:03:29.976 --> 02:03:30.836]  We've got to go to a break.
[02:03:30.896 --> 02:03:32.097]  It's a weird thing.
[02:03:32.137 --> 02:03:34.538]  Some stations don't join us until six after sunrise.
[02:03:34.598 --> 02:03:36.138]  We want everybody to be heard.
[02:03:36.198 --> 02:03:38.099]  So just tell me who's coming up here, Chase.
[02:03:38.239 --> 02:03:45.202]  Yeah, so next up we're going to have Derelict Republic and then we've got Lumi Casanova and several other speakers in line as well as Asia and others.
[02:03:45.242 --> 02:03:46.743]  So we will make sure that we get to everybody.
[02:03:46.783 --> 02:03:48.944]  But this whole debate around
[02:03:49.844 --> 02:04:03.667]  Around AI, the main thing I think people need to know, and I said this belabored the point perhaps yesterday on the show, is if only a few major corporations have access to these tools, then this is the type of stuff that we're going to have to contend with coming up over the next 10 years, over the next 100 years.
[02:04:03.707 --> 02:04:06.068]  And so it's just brutally important.
[02:04:06.488 --> 02:04:07.508]  You're not just saying that.
[02:04:07.768 --> 02:04:10.229]  All the big corporations are saying, ban it for everybody else.
[02:04:10.609 --> 02:04:11.969]  It's so they only let us have it.
[02:04:12.309 --> 02:04:14.550]  Whether you want AI or not, the genie's out of the bottle.
[02:04:14.990 --> 02:04:17.190]  We all need to not have them ban it.
[02:04:17.391 --> 02:04:19.111]  We need to have decentralized AI.
[02:04:19.975 --> 02:04:20.496]  Absolutely.
[02:04:20.696 --> 02:04:34.217]  And I don't like the word democratization because typically it's used by people I disagree with to make points I disagree with, but we do genuinely need a democratization of this technology, otherwise we're going to have major monopoly powers influencing the psychology of our population over time.
[02:04:34.710 --> 02:04:46.076]  By the way, I'm supposed to go play pool with some friends and family tomorrow at noon, but maybe we should come in tomorrow evening and do like a three-hour commercial free for everybody on X about this and The Great Awakening.
[02:04:46.096 --> 02:04:46.357]  I don't know.
[02:04:46.397 --> 02:04:47.497]  I'll see if the crew's up for it.
[02:04:48.178 --> 02:04:50.059]  We got the Sunday show as well, but it's Friday.
[02:04:50.079 --> 02:04:51.500]  We'll be back in 60 seconds.
[02:04:51.540 --> 02:04:53.621]  We're going right to your comments from X Live.
[02:04:53.641 --> 02:04:54.041]  Stay with us.
[02:04:59.921 --> 02:05:05.329]  In 60 seconds, I don't have time to tell you about all the incredible ingredients in TurboForce.
[02:05:05.749 --> 02:05:15.724]  If you simply go to InfoWarsTore.com and look at the list of ingredients and look them up, every one of them is known to give you boosted, clean, focused energy without the letdown.
[02:05:16.024 --> 02:05:24.926]  We're talking up to 10 hours of clean energy per serving with TurboForce, exclusively available at InfoWarStore.com, and it's discounted right now.
[02:05:25.226 --> 02:05:28.447]  And it doesn't just boost your body's clarity and focus and stamina.
[02:05:28.827 --> 02:05:31.868]  It also funds the InfoWar, so it's a 360 win.
[02:05:32.168 --> 02:05:34.448]  If you've never tried TurboForce, now is the time.
[02:05:34.688 --> 02:05:35.989]  It's got five-star reviews.
[02:05:36.309 --> 02:05:36.989]  TurboForce.
[02:05:37.349 --> 02:05:38.169]  Fifteen years in the academy.
[02:06:11.078 --> 02:06:13.842]  You've found it, the tip of the spear.
[02:06:14.323 --> 02:06:16.766]  It is the Alex Jones Show.
[02:06:16.786 --> 02:06:24.297]  15 years in the academy, with lots of cadets they've ever seen.
[02:06:24.597 --> 02:06:27.061]  A man so hard his brains bleed ice.
[02:06:50.230 --> 02:06:50.950]  All right, folks.
[02:06:51.030 --> 02:06:54.772]  We are on over 320 radio stations right now.
[02:06:55.632 --> 02:06:57.733]  Over 100 cable and TV stations.
[02:06:57.773 --> 02:06:59.594]  So remember, we are still in the old system.
[02:06:59.634 --> 02:07:01.935]  Everybody was on X like, what's these ads?
[02:07:01.995 --> 02:07:02.556]  What's going on?
[02:07:03.016 --> 02:07:07.338]  That's how, when they tried to ban me five years ago, we still stayed on air, is all of our affiliates.
[02:07:08.038 --> 02:07:12.219]  And the greatest part was when the Soros groups got our affiliate list and harassed them and threatened them.
[02:07:12.239 --> 02:07:14.219]  They went, we got Jones on at midnight.
[02:07:14.579 --> 02:07:16.320]  Screw that son of a bitch Soros.
[02:07:16.560 --> 02:07:17.620]  Put him on live.
[02:07:18.320 --> 02:07:19.100]  We got big.
[02:07:19.640 --> 02:07:21.101]  That's the old fashioned folks out there.
[02:07:21.321 --> 02:07:23.221]  We are getting top ratings out of Jones.
[02:07:23.701 --> 02:07:25.142]  Why did we put him on weekdays?
[02:07:25.202 --> 02:07:26.362]  Screw them sons of bitches.
[02:07:26.762 --> 02:07:28.162]  A few stations dropped us.
[02:07:29.302 --> 02:07:29.963]  Sacramento, 50,000 watts.
[02:07:32.196 --> 02:07:33.297]  They got a Raspisaurus.
[02:07:33.317 --> 02:07:33.857]  They dropped us.
[02:07:34.458 --> 02:07:36.580]  But for everybody that's only internet, you're like, what's that stuff?
[02:07:36.620 --> 02:07:37.400]  It's like grandpa.
[02:07:38.161 --> 02:07:38.902]  It's kind of like 1920.
[02:07:38.962 --> 02:07:40.543]  There's still a lot of horses on the highway.
[02:07:40.563 --> 02:07:42.084]  There's still a lot of carriages.
[02:07:42.104 --> 02:07:45.747]  There's still a lot of, we're still reaching people there, but that's why we have these breaks though.
[02:07:45.767 --> 02:07:46.608]  I'm skipping half of them.
[02:07:47.189 --> 02:07:47.569]  Okay.
[02:07:49.951 --> 02:07:50.591]  Chase Geyser.
[02:07:50.611 --> 02:07:53.374]  We got a lot of people on X. I want to go to their comments.
[02:07:53.394 --> 02:07:54.635]  I've already pontificated.
[02:07:56.209 --> 02:07:59.296]  I've already made my points about Google job at the shark.
[02:07:59.436 --> 02:08:00.479]  This is a Bud Light moment.
[02:08:00.499 --> 02:08:02.102]  People are seriously pissed about this.
[02:08:03.948 --> 02:08:07.110]  Ed Krasinski can try to be an apologist for it.
[02:08:07.291 --> 02:08:08.271]  It was programmed.
[02:08:08.612 --> 02:08:09.792]  We know how AI works.
[02:08:09.873 --> 02:08:11.614]  My God, you put in it what you want.
[02:08:12.134 --> 02:08:13.755]  They had to tell them, no white people.
[02:08:14.236 --> 02:08:16.738]  I mean, this is a giant troll by Google.
[02:08:17.418 --> 02:08:19.099]  The question is, why are they doing it?
[02:08:19.600 --> 02:08:20.521]  What comes out of this?
[02:08:20.961 --> 02:08:23.163]  They shouldn't have 90 plus percent of the search results.
[02:08:23.723 --> 02:08:26.125]  I don't just want Elon Musk to launch a new search system.
[02:08:26.565 --> 02:08:30.746]  I want, there should be 50 big search engines.
[02:08:31.227 --> 02:08:34.308]  But yeah, I have a lot more confidence in Musk than I do in Google.
[02:08:34.648 --> 02:08:37.249]  Please Elon, launch your search system!
[02:08:37.569 --> 02:08:39.449]  PLEASE!
[02:08:39.909 --> 02:08:41.690]  Good God we need it right now!
[02:08:42.070 --> 02:08:43.751]  Google is pure evil!
[02:08:44.659 --> 02:08:48.603]  Google is absolutely anti-human scum.
[02:08:49.204 --> 02:08:51.826]  I wouldn't be surprised if some alien from Mars is running it.
[02:08:51.846 --> 02:08:54.108]  I mean, they're so anti-civilization.
[02:08:54.389 --> 02:08:55.089]  I'll go back to this.
[02:08:55.550 --> 02:08:56.911]  Screw everybody saying Musk is bad.
[02:08:57.252 --> 02:08:58.313]  I'll explain something right now.
[02:08:58.453 --> 02:09:03.358]  I had the Globals try to hire me $20 million a year, all the jobs, all the offers.
[02:09:03.758 --> 02:09:05.260]  I had Kissinger try to hire me.
[02:09:05.660 --> 02:09:06.841]  I had Fox News try to hire me.
[02:09:07.081 --> 02:09:08.583]  I told them, screw you, because they wanted to control me.
[02:09:10.123 --> 02:09:12.465]  I can look at Elon Musk and say whether he's good or bad.
[02:09:12.505 --> 02:09:13.106]  That's up to him.
[02:09:13.166 --> 02:09:13.586]  I don't know.
[02:09:13.647 --> 02:09:14.207]  I'm on God.
[02:09:14.888 --> 02:09:27.220]  But he's doing irrevocable damage, reaching hundreds of millions of people a day per tweet, per post, wrecking them with stuff like this.
[02:09:28.641 --> 02:09:28.941]  Okay?
[02:09:29.842 --> 02:09:30.002]  So.
[02:09:31.357 --> 02:09:41.728]  I'm glad Google overplayed their hand with the AI image generator, as it made their insane, racist, anti-civilization programming clear to all!
[02:09:43.214 --> 02:09:44.475]  I couldn't write that that good.
[02:09:44.935 --> 02:09:45.916]  It's the truth.
[02:09:46.296 --> 02:09:48.917]  And I, you can say Elon Musk is a bad person.
[02:09:49.197 --> 02:09:52.439]  Well, he shits anti-New World Order resistance.
[02:09:52.659 --> 02:09:53.760]  He shits victory.
[02:09:54.540 --> 02:09:58.843]  So I'm not going to sit there when coming out of his ass is victory and bitch about it.
[02:09:59.223 --> 02:10:00.063]  Maybe he's bad.
[02:10:00.163 --> 02:10:00.524]  I don't know.
[02:10:00.544 --> 02:10:02.045]  Maybe he's super smarter than all of us.
[02:10:02.365 --> 02:10:04.206]  He's got some master plan to screw us.
[02:10:04.806 --> 02:10:05.807]  I don't know that.
[02:10:07.267 --> 02:10:07.948]  All I know is
[02:10:09.983 --> 02:10:24.289]  He is the number one, even above Trump, wrecking ball right now on the anti-human, anti-civilization dickheads that don't want humans to do crazy stuff, don't want us to go to space, say we're all crap, get rid of us.
[02:10:24.530 --> 02:10:24.790]  No!
[02:10:24.990 --> 02:10:26.851]  I don't believe in that and neither does Elon Musk.
[02:10:27.111 --> 02:10:28.511]  And he's putting his money where his mouth is.
[02:10:28.711 --> 02:10:36.455]  So I'm glad to be attacked by all the grandpas and everybody else that's purer than thou to say Elon Musk is the frickin' devil.
[02:10:39.707 --> 02:10:45.328]  You judge a tree by its fruits, and Elon Musk is wrecking their world.
[02:10:46.649 --> 02:10:56.251]  And so anybody now, again, you can say Elon Musk isn't perfect, but the product is doing, it's like he's a cannon that's firing missiles at the enemy, blowing them up.
[02:10:56.511 --> 02:10:58.232]  You're like, well, I don't trust that cannon.
[02:10:58.292 --> 02:10:59.212]  Maybe it's bad.
[02:10:59.272 --> 02:10:59.992]  Maybe it's going to attack us.
[02:11:00.212 --> 02:11:04.673]  Well, it's blowing up the enemy operations right now, and the minute it turns against us, we'll blow it up.
[02:11:04.913 --> 02:11:06.894]  But it's a no-brainer.
[02:11:06.914 --> 02:11:07.774]  I don't mean to go into some
[02:11:09.096 --> 02:11:13.159]  My job is not a... People say, oh, Joe Rogan's controlled, he's an asset.
[02:11:13.439 --> 02:11:23.306]  Joe Rogan's a completely regular badass guy who they threatened years ago and messed with, and so he's ten times more hardcore now, and people need to believe there are real people.
[02:11:23.406 --> 02:11:25.868]  You're real viewers, you're real listeners.
[02:11:26.128 --> 02:11:27.989]  Well, there are other people that are real, too.
[02:11:28.250 --> 02:11:31.252]  Just because we have power doesn't mean we aren't real.
[02:11:31.952 --> 02:11:37.695]  And I will not sit there and watch our success be pissed away because we're supposed to be losers!
[02:11:38.255 --> 02:11:39.516]  Freedom is popular!
[02:11:39.756 --> 02:11:41.557]  We should be taking everything over!
[02:11:42.358 --> 02:11:42.598]  God!
[02:11:43.158 --> 02:11:43.338]  Ugh!
[02:11:44.139 --> 02:11:45.359]  Oh, I'm getting angry right now.
[02:11:45.459 --> 02:11:49.281]  We are so close to victory, but people think we're not supposed to have it.
[02:11:50.982 --> 02:11:51.903]  Chase, I'm gonna stop ranting.
[02:11:52.303 --> 02:11:53.684]  I'm skipping the next break coming up.
