[00:00:01.325 --> 00:00:02.465]  The corrupt U.S.
[01:50:02.929 --> 01:50:08.374]  And so I thought it'd be interesting to have a Flat Earth debate where the person arguing for the globe
[01:50:08.994 --> 01:50:09.394]  I don't know.
[01:50:24.279 --> 01:50:29.781]  You know, we don't just fall for things because the authorities say it's the truth because trust the science or the experts say.
[01:50:30.221 --> 01:50:35.862]  So, you know, I didn't arrive to my conclusion that the Earth is in fact round because NASA said so.
[01:50:36.182 --> 01:50:44.685]  I did it because I just put it through my own filter of logic, which that's one of the strange things is then, you know, I see people on Twitter being like, all Harrison had was appeals to authority and it's like,
[01:50:45.285 --> 01:50:52.092]  I started out the debate by saying NASA lies and I don't trust them and I'm not a part of any organization that I'm trying to uphold.
[01:50:52.532 --> 01:50:56.836]  So that's where the bizarreness comes in, where it's like, what debate were you watching?
[01:50:56.916 --> 01:51:01.701]  Because you're coming up with stuff that just is completely unassociated with the reality.
[01:51:02.762 --> 01:51:14.077]  Yeah, I thought it was a lot of fun, and my whole goal at the end of the day was to not alienate half of our audience that are flat earthers, while also not just like, you know, not defending my position.
[01:51:14.137 --> 01:51:16.461]  So in that regard, I think it was successful.
[01:51:16.521 --> 01:51:19.845]  Well on that note, too, one of the things that I appreciated about the debate was how
[01:51:20.546 --> 01:51:21.386]  Cordial it was.
[01:51:21.626 --> 01:51:30.669]  So typically when you see a flat earth debate, what you have, like you said, is an establishment scientist being very patronizing and condescending to the flat earth person.
[01:51:31.210 --> 01:51:35.371]  And that just alienates the audience, frankly on both sides.
[01:51:35.391 --> 01:51:46.775]  I find it very alienating when I hear Neil deGrasse Tyson insist on, even if I agree with a point, or Bill Nye the Science Lie, who only has a bachelor's degree in civil engineering, and for some reason he's the scientist of the world.
[01:51:46.895 --> 01:51:49.476]  He wears a bow tie and he was on Nickelodeon when we were kids.
[01:51:50.516 --> 01:51:56.018]  But the level of mutual respect that was there was very impressive.
[01:51:56.319 --> 01:52:09.544]  And if I were to recommend, and this is not something I'm saying just because I work at InfoWars, but if I were to recommend anyone to watch any Flat Earth debate who has never explored the topic, I think this is probably a really good one-on-one level debate.
[01:52:09.604 --> 01:52:14.606]  Like, hey, hop in, we're going to cover all the topics, issues of contention, and we're going to do it in a way that's mutually respectful.
[01:52:14.626 --> 01:52:17.047]  I mean, even Witset said that he wanted to come back in studio for round two.
[01:52:17.067 --> 01:52:17.548]  Yeah, that's great.
[01:52:17.568 --> 01:52:18.188]  You guys are all friends.
[01:52:18.348 --> 01:52:22.373]  Yeah, we had a good conversation after it, just about how it went.
[01:52:22.713 --> 01:52:25.476]  And I think one of the things is we obviously had commercial breaks.
[01:52:25.757 --> 01:52:30.542]  We skipped like four commercial breaks, so I probably should have plugged a little bit more during the debate.
[01:52:30.582 --> 01:52:31.803]  Brain Force Ultra, by the way.
[01:52:32.064 --> 01:52:33.826]  That debate was brought to you by Brain Force Ultra.
[01:52:34.466 --> 01:52:36.709]  But we skipped a lot of the commercial breaks.
[01:52:39.472 --> 01:52:53.601]  But we still had a bit of a time limit and so I had certain topics that I wanted to bring up or things I knew he wanted to get to, so I tried to keep it moving and I think what happens with a lot of the debates is there's no time limit, there's no sort of
[01:52:54.622 --> 01:52:55.323]  We're good to go.
[01:53:12.523 --> 01:53:14.584]  Yeah, we're not going to agree on that, but what about this?
[01:53:14.644 --> 01:53:15.764]  And then we move on to the next thing.
[01:53:16.065 --> 01:53:24.748]  And I think being able to sort of move on without like getting bogged down and starting, you know, the name calling, I think really helped the conversation quite a bit.
[01:53:24.968 --> 01:53:25.249]  It was fun.
[01:53:25.389 --> 01:53:32.772]  Well, the fact that you were able to have a fair, amicable debate without a moderator, I think is a testament to the character of both participants.
[01:53:33.410 --> 01:53:38.433]  Well yeah, he was a very good sport in letting us do that.
[01:53:38.453 --> 01:53:42.215]  Next time maybe we'll have a moderator and we do want to do it again.
[01:53:42.655 --> 01:53:44.236]  Obviously there was a ton of attention on it.
[01:53:44.356 --> 01:53:47.318]  Obviously it's an area of concern for a lot of people.
[01:53:48.198 --> 01:53:54.402]  And again, I first started looking into Flat Earth very sincerely being willing to be convinced.
[01:53:56.383 --> 01:53:58.844]  Everybody who hears Flat Earth at first is like, wait, what?
[01:53:58.884 --> 01:53:59.804]  This doesn't make any sense.
[01:53:59.844 --> 01:54:00.544]  But I was like, you know what?
[01:54:00.864 --> 01:54:01.545]  This could be real.
[01:54:01.985 --> 01:54:02.945]  I don't trust an astronaut.
[01:54:02.965 --> 01:54:05.066]  There are several people that work here at InfoWars that are Flat Earthers.
[01:54:05.126 --> 01:54:05.586]  Of course, yeah.
[01:54:05.606 --> 01:54:07.447]  It's not like we have a position as a network.
[01:54:07.607 --> 01:54:09.467]  Members of my family are Flat Earthers.
[01:54:09.507 --> 01:54:13.609]  So it was never like, these stupid anti-science morons, I'm going to defeat them.
[01:54:14.029 --> 01:54:16.710]  It was more like, look, I looked into this, and it just ain't true.
[01:54:16.810 --> 01:54:17.910]  It just doesn't add up.
[01:54:18.030 --> 01:54:21.171]  None of this comports with what I recognize.
[01:54:21.391 --> 01:54:24.255]  Well, that's the crazy thing about NASA and these other government institutions.
[01:54:24.275 --> 01:54:27.759]  They tell so many lies that when they tell the truth, you don't believe them.
[01:54:27.799 --> 01:54:29.301]  It's like MSNBC or CNN.
[01:54:29.481 --> 01:54:30.162]  They tell so many lies.
[01:54:30.182 --> 01:54:33.706]  Sometimes they actually tell the truth, but nobody's going to believe them because they've cried wolf so many times.
[01:54:33.847 --> 01:54:34.067]  Right.
[01:54:34.147 --> 01:54:38.372]  And, you know, I think about it like with what happened with COVID.
[01:54:39.498 --> 01:54:49.443]  I, to some degree, you know, I trust the medical establishment to a certain degree, but that doesn't mean I'm going to mindlessly take their gene-altering, you know, poison shot, right?
[01:54:49.503 --> 01:54:53.865]  So, it's like, just because I think that COVID was a scam and I think the vaccine was
[01:54:54.665 --> 01:54:57.146]  Just utterly fraudulent and hugely dangerous.
[01:54:57.346 --> 01:55:00.646]  That doesn't mean I won't go to the hospital if I break my arm, right?
[01:55:00.706 --> 01:55:05.287]  It doesn't mean that the medical industry is... It doesn't mean I won't use fentanyl if I get in a car accident.
[01:55:05.347 --> 01:55:06.708]  Right, right.
[01:55:07.348 --> 01:55:13.229]  If your wife gets an epidural while giving birth, that's fentanyl.
[01:55:13.269 --> 01:55:21.811]  So it's like, just because they lie about some things doesn't mean everything in the entire spectrum of their... Western medicine has been amazing.
[01:55:22.191 --> 01:55:22.591]  Of course.
[01:55:22.651 --> 01:55:24.212]  I mean, hemophilia is a really good example.
[01:55:24.592 --> 01:55:30.233]  In the 80s, the medicine was causing all the hemophiliacs to get AIDS, and now it's literally saving lives.
[01:55:30.314 --> 01:55:32.634]  And it's from some of the same institutions and drug companies.
[01:55:32.954 --> 01:55:37.296]  It was evil what they did in the 80s, but it doesn't mean that everything that they do is ineffective or harmful.
[01:55:37.436 --> 01:55:43.678]  I feel the same way about NASA, when they're like, we've discovered 16 super-Earths that hold life, and here's pictures of what they might look like.
[01:55:43.698 --> 01:55:48.919]  It's like, okay, yeah, right, you've got a funding bill coming up, so you're trying to get media attention or whatever.
[01:55:48.959 --> 01:55:51.240]  Like, you know, I trust NASA, you know.
[01:55:52.100 --> 01:55:56.667]  As far as I can throw him, but that doesn't mean that the Earth is flat, right?
[01:55:57.168 --> 01:56:00.452]  That, I think, is a conclusion that cannot be drawn from the things that we know.
[01:56:01.089 --> 01:56:03.710]  Well, Harrison, it's been an honor and a pleasure to have you on the Alex Jones Show today.
[01:56:03.730 --> 01:56:03.930]  Thank you.
[01:56:03.950 --> 01:56:05.691]  We are coming up on a break here in about a minute and a half.
[01:56:06.232 --> 01:56:10.094]  After the first five minutes of the hour, we are going to be joined by Owen Schroyer in studio.
[01:56:10.114 --> 01:56:19.158]  Before we cut the break, I do want to take this opportunity to talk to you about the sponsor of the Flat Earth Debate yesterday, Brain Force Ultra, which, of course, you can find at InfoWarsStore.com.
[01:56:19.198 --> 01:56:21.079]  Now, I'm told this is going for 40% off.
[01:56:22.500 --> 01:56:22.720]  Yeah!
[01:56:42.637 --> 01:56:47.741]  Free of toxic additives, natural and contains no hidden dangerous ingredients.
[01:56:47.761 --> 01:57:04.354]  So if you're wanting a nootropic or a supplement that is going to improve your cognitive function, your focus, your memory, your ability to think critically throughout the entire day, there is no better place than InfoWarsStore.com and BrainForce Ultra to get that efficient means
[01:57:04.694 --> 01:57:06.956]  of focus to fight the InfoWars.
[01:57:07.016 --> 01:57:10.939]  Now, InfoWarsStore.com is the reason that InfoWars is on the air.
[01:57:11.239 --> 01:57:19.246]  Now we are coming up on the most important election in the history of our nation, so keeping us on the air is more important now than it ever has been.
[01:57:19.606 --> 01:57:31.476]  And as you know, we are under attack on virtually all fronts, whether it's from the mainstream media, whether it's from social media influencers, politicians, or the intelligence community, as recent reports have indicated from leaked
[01:57:31.796 --> 01:57:32.016]  I think so.
[01:57:48.993 --> 01:57:50.455]  Ladies and gentlemen, it is back.
[01:57:50.675 --> 01:57:58.203]  Vitamin Mineral Fusion, the platinum standard of advanced multivitamin formulas, has returned to InfoWarsStore.com.
[01:57:58.263 --> 01:58:06.932]  After being out of stock for months, there's no better time to make sure that you're boosting your natural systems and getting your essential vitamins and minerals and nutrients than with Vitamin Mineral Fusion.
[01:58:07.253 --> 01:58:08.554]  We don't live in a perfect world.
[01:58:08.594 --> 01:58:11.017]  Our diets no longer contain everything that we need.
[01:58:11.377 --> 01:58:19.443]  So instead of spending huge amounts of money and time trying to make up for the lack of nutrition in your diet, just get Vitamin Mineral Fusion and you're good to go.
[01:58:19.523 --> 01:58:21.745]  InfoWarsStore.com, Vitamin Mineral Fusion.
[01:58:22.025 --> 01:58:22.866]  It's back in stock.
[01:58:23.006 --> 01:58:24.027]  It will sell out quickly.
[01:58:24.047 --> 01:58:25.428]  It's one of our most popular products.
[01:58:25.688 --> 01:58:28.350]  So make sure you go now to InfoWarsStore.com.
[01:58:28.650 --> 01:58:29.271]  It's good for you.
[01:58:29.351 --> 01:58:30.352]  It's good for the whole family.
[01:58:30.772 --> 01:58:33.934]  Vitamins A, B, C, D, B12.
[01:58:35.156 --> 01:58:39.303]  Calcium, Magnesium, Zinc, Selenium, L-Glutamine, the list goes on.
[01:58:39.323 --> 01:58:40.825]  I don't even have time to list everything in here.
[01:58:40.845 --> 01:58:44.772]  So go to Impolewarestore.com and find out what Vitamin Mineral Fusion can do for you.
[01:58:48.982 --> 01:58:54.067]  Survival Shield X3, now back and better than ever with a whopping 40% discount.
[01:58:54.447 --> 01:58:59.052]  It's your ticket to a healthier you, powered by the might of activated triiodine.
[01:58:59.532 --> 01:59:09.282]  Picture this, a product that derives from ancient sea salts buried deep beneath the earth, harnessing a cutting-edge process that stabilizes iodine in a groundbreaking triiodine formula.
[01:59:09.742 --> 01:59:11.605]  Imagine waking up feeling rejuvenated.
[01:59:11.825 --> 01:59:17.192]  Your body's processes humming smoothly like a well-oiled machine, all thanks to Survival Shield X3.
[01:59:17.372 --> 01:59:24.962]  This isn't just a step up from the old mason iodine system, it's a quantum leap in health supplementation, designed with you, the patriot, in mind.
[01:59:25.502 --> 01:59:31.026]  Survival Shield Axe 3 has got your back, providing peace of mind and body in these uncertain times.
[01:59:31.046 --> 01:59:35.029]  Head over to InfoWarsStore.com and witness the transformation for yourself.
[01:59:35.429 --> 01:59:36.750]  This is more than just a supplement.
[01:59:37.111 --> 01:59:40.533]  It's your shield, your protector, your Survival Shield Axe 3.
[01:59:40.873 --> 01:59:41.334]  Don't wait.
[01:59:41.694 --> 01:59:45.016]  Take control of your health today and step into a brighter, healthier future.
[01:59:45.457 --> 01:59:48.699]  Visit InfoWarsStore.com and get yours today.
[01:59:52.099 --> 01:59:57.582]  If you are receiving this transmission, you are the resistance.
[02:00:04.865 --> 02:00:11.548]  And it's time for humanity to stand up in the Info War and say, I don't know what's going to happen at the end of this, but you want to fight?
[02:00:11.668 --> 02:00:13.949]  You better believe you got one!
[02:00:14.330 --> 02:00:21.153]  From the front lines of the Information War, it's Alex Jones.
[02:00:39.078 --> 02:00:43.741]  When future historians go searching for the final nail in the U.S.
[02:00:43.781 --> 02:00:47.444]  coffin, they may well settle on the date April 20th, 2024.
[02:00:50.672 --> 02:01:02.761]  On that day, Congress passed legislation to fund two and a half wars, hand what's left of our privacy over to the CIA and the NSA, and give the U.S.
[02:01:02.801 --> 02:01:08.125]  President the power to shut down whatever part of the Internet he disagrees with.
[02:01:08.825 --> 02:01:09.546]  The U.S.
[02:01:09.646 --> 02:01:17.492]  and its allies have already sent over $300 billion to Ukraine, and the country is still losing its war with Russia.
[02:01:18.826 --> 02:01:24.411]  Nobody believes another $60 billion will pull a victory from the jaws of defeat.
[02:01:25.011 --> 02:01:36.881]  But this additional money is meant to keep up appearances until November at the expense of Americans who are forced to pay for it and Ukrainians who are forced to die for it.
[02:01:37.561 --> 02:01:44.811]  Speaker Johnson could not have passed these monstrosities without the full support of House Democrats.
[02:01:45.232 --> 02:01:49.839]  And as the majority of Republicans voted, they guessed more money for Ukraine.
[02:01:51.144 --> 02:02:07.017]  So in the worst example of bipartisanship, Johnson reached across the aisle, stiffed the Republican majority that elected him Speaker, and pushed through a massive gift to the warfare corporate welfare state.
[02:02:07.964 --> 02:02:19.570]  After the House voted to send another $60 billion to notoriously corrupt Ukraine, members waved Ukrainian flags on the House floor and chanted, Ukraine!
[02:02:19.690 --> 02:02:20.191]  Ukraine!
[02:02:20.631 --> 02:02:25.754]  While I find it distasteful and disgusting, in some ways it seemed fitting.
[02:02:26.174 --> 02:02:28.115]  Not to be outdone, the U.S.
[02:02:28.155 --> 02:02:34.619]  Senate on that same day passed the extension of Section 702 of the FISA Act.
[02:02:35.459 --> 02:02:47.308]  Which not only allowed the government to continue spying on us without a warrant, but also contained new language massively expanding how they can spy on us.
[02:02:47.968 --> 02:02:57.175]  Many conservative voters are asking, what's the point of Republican control of the House is if the agenda is determined by Democrats?
[02:02:58.075 --> 02:03:12.568]  Senate Majority Leader Chuck Schumer is given reported to have bragged to his colleagues about how easily Speaker Johnson gave Democrats everything they wanted and asked for nothing in return.
[02:03:14.350 --> 02:03:16.732]  The House, the Republicans don't deserve the House.
[02:03:17.693 --> 02:03:20.135]  This with President Trump is a criminal conspiracy.
[02:03:21.417 --> 02:03:23.859]  It's now been shown you got the White House, you got DOJ.
[02:03:24.019 --> 02:03:30.564]  The head guy DOJ is arguing the freaking case in New York in a state court for Manhattan prosecutors.
[02:03:31.765 --> 02:03:38.631]  Now Julie Kelly, because she went through, she's done the hard work, has shown you what's happening with the classified documents set up.
[02:03:40.031 --> 02:03:46.336]  The whole thing is a scam from Fonny Willis to Jack Smith to Big Tish James.
[02:03:47.217 --> 02:03:51.861]  A conspiracy on law and it's working and the reason it's working, we're allowing it to work!
[02:03:54.062 --> 02:04:05.872]  You are worthless Jim Jordan, you are worthless Polly Pockets Johnson, worthless and I don't care how many puff pieces in Politico and I don't care how many times Chuck Schumer, that condemns you even more!
[02:04:07.970 --> 02:04:16.235]  You are working with and for people out to destroy the country, and it is obvious now, as the nose on your face, it's obvious.
[02:04:17.476 --> 02:04:20.397]  That the House Republicans want Trump to lose.
[02:04:20.678 --> 02:04:27.382]  They're gonna raise all this money from Paul Singer to hold the House and maybe add a seat, take a couple of seats in the Senate, and they're just fine with that.
[02:04:27.762 --> 02:04:31.324]  Because they think they can wait MAGA out while they got other news coming.
[02:04:42.200 --> 02:04:42.961]  Stick with us, folks.
[02:04:43.281 --> 02:04:46.104]  It is Wednesday, April 24th, 2024.
[02:04:46.164 --> 02:04:52.210]  We now take you live to the Central Texas Command Center and the heart of the resistance.
[02:04:53.050 --> 02:04:54.111]  Alex Jones.
[02:04:59.336 --> 02:05:01.298]  We take some brain force and then we'll do this commercial.
[02:05:01.338 --> 02:05:01.799]  How about that?
[02:05:03.605 --> 02:05:04.985]  Mmm, I can think again.
[02:05:05.366 --> 02:05:11.627]  This is the liquid tincture version of Brain Force, which means you can really tailor it to exactly what you need.
[02:05:11.907 --> 02:05:17.949]  I tend to take maybe a little bit more than is directed, but it's incredibly powerful stuff, and I have an incredibly demanding job.
[02:05:18.049 --> 02:05:25.271]  But you make it easy by going to infowarrestore.com, and of course, infowarrestore.com makes it easy by supplying me with Brain Force Ultra.
[02:05:25.331 --> 02:05:30.912]  I rely on this product to do my job on a daily basis, because it's absolutely jam-packed with incredible ingredients.
[02:05:31.112 --> 02:05:38.534]  Brain Force Ultra is now back in stock at InfoWarsStore.com and get it now because this stuff sells out fast for very good reason.
[02:05:38.594 --> 02:05:39.794]  It's a fantastic supplement.
[02:05:40.134 --> 02:05:43.895]  It's the type of supplement that once you start taking it, well, you're going to notice if you stop.
[02:05:43.975 --> 02:05:45.735]  Go check out what's in Brain Force Ultra.
[02:05:45.775 --> 02:05:52.177]  Do your own research and what you'll find is that this is a powerhouse formula for incredible mental clarity, focus and energy.
[02:05:52.457 --> 02:05:54.397]  Now on sale at InfoWarsStore.com.
[02:05:54.437 --> 02:05:57.598]  Brain Force Ultra is now on sale at InfoWarsStore.com.
[02:06:05.395 --> 02:06:07.758]  The only show that dares to speak the truth.
[02:06:08.379 --> 02:06:10.402]  Welcome to the Alex Jones Show.
[02:06:13.012 --> 02:06:14.793]  Welcome back to the Alex Jones Show, folks.
[02:06:14.873 --> 02:06:27.199]  I am Chase Geiser, your host today, and with us for the next 30 minutes or hour, I'm not sure yet, we have Owen Schroyer, the esteemed, acclaimed host of The War Room, which is going to be live this afternoon from 3 to 6 p.m.
[02:06:27.640 --> 02:06:28.300]  Central Time.
[02:06:28.760 --> 02:06:30.101]  Owen, what is on your mind today, sir?
[02:06:30.861 --> 02:06:33.503]  Well, this is really at the top of my mind.
[02:06:33.543 --> 02:06:34.783]  It's bothering me a lot.
[02:06:35.223 --> 02:06:37.685]  I didn't get much sleep last night over it.
[02:06:38.826 --> 02:06:51.918]  And when I see both sides of the political aisle getting played like we are right now, it really bothers me more so than just, even just dealing with the crap that we deal with from the left, the liberals, the democrats, the progressives.
[02:06:52.796 --> 02:06:57.039]  Because you kind of feel like, well, there's still some people that see the light.
[02:06:57.199 --> 02:07:01.883]  You know, not everybody thinks that children should be mutilated and called trans kids, right?
[02:07:01.983 --> 02:07:04.445]  Okay, so that's not something that we're all falling for.
[02:07:04.485 --> 02:07:09.969]  But I think that I'm starting to see clearly the 2024 PSYOP that's being played out right now.
[02:07:10.049 --> 02:07:18.615]  And it is, to put it simply, the Israel versus Palestine conversation that's now hitting the streets of the United States of America.
[02:07:18.795 --> 02:07:21.557]  And when I go back and I think about
[02:07:22.403 --> 02:07:28.464]  The follow-up coverage to October 7th, I realized that, you know what, InfoWars was right again.
[02:07:28.604 --> 02:07:29.824]  We had it right on the money.
[02:07:30.424 --> 02:07:45.687]  The biggest concern was this centuries-old holy war from the other side of the planet is now going to be encompassing our streets, it's going to be encompassing our political debates, our conversations, and now it has.
[02:07:45.867 --> 02:07:47.307]  Now it absolutely has.
[02:07:47.887 --> 02:07:51.528]  And instead of talking about a hundred billion dollars
[02:07:52.248 --> 02:08:00.272]  Yet again, being robbed from the American people annually, and given to foreign nations, and their border security, and who knows what else?
[02:08:00.312 --> 02:08:03.033]  Most of the money just gets stolen, laundered, the weapons, everything.
[02:08:04.033 --> 02:08:07.055]  Now we're talking about Israel and Palestine.
[02:08:07.575 --> 02:08:08.415]  And I'm just sick of it.
[02:08:08.615 --> 02:08:12.457]  But aside from the frustration, here's the PSYOP that I see playing out now.
[02:08:13.177 --> 02:08:16.999]  This is going to be used for the next wave of censorship.
[02:08:17.499 --> 02:08:20.981]  This is going to be used for the next wave of
[02:08:21.621 --> 02:08:23.641]  Trying to control things on the internet.
[02:08:24.101 --> 02:08:26.782]  We're already seeing this play out in front of our eyes.
[02:08:27.102 --> 02:08:31.123]  There's multiple bills out there making anti-semitic speech illegal.
[02:08:31.443 --> 02:08:34.423]  You can complain about white people all day long.
[02:08:34.463 --> 02:08:36.164]  You can even cook that into the system.
[02:08:36.204 --> 02:08:36.624]  It's fine.
[02:08:36.904 --> 02:08:38.964]  I can even come on air and complain about black people.
[02:08:39.484 --> 02:08:40.864]  I can complain about Muslims.
[02:08:41.044 --> 02:08:42.625]  And there's no legislation.
[02:08:43.065 --> 02:08:46.345]  People might complain and call you names, but there's no legislation.
[02:08:46.385 --> 02:08:50.326]  There's no calls from politicians or local governments saying, oh no, you can't do that.
[02:08:50.846 --> 02:08:52.589]  Only when it deals with anti-semitism.
[02:08:52.609 --> 02:09:00.920]  So all that's going to do is push the left even more committed to their pro-Palestinian stance.
[02:09:00.960 --> 02:09:03.143]  It's going to push the left to get out into the streets.
[02:09:03.423 --> 02:09:07.128]  What did we see after they cleared the Columbia University protest last week?
[02:09:09.363 --> 02:09:10.644]  Quadrupled in size.
[02:09:11.065 --> 02:09:13.907]  Now they've gone to other campuses around the nation.
[02:09:14.127 --> 02:09:16.510]  So this is kind of the Pavlov's dog response.
[02:09:16.890 --> 02:09:18.752]  This is the problem, reaction, solution.
[02:09:18.792 --> 02:09:21.634]  It's playing out exactly how they want it to play out.
[02:09:21.714 --> 02:09:25.538]  And they already have it cooked in where, oh, anti-Semitism is illegal.
[02:09:25.978 --> 02:09:29.221]  But here's where it gets dangerous to me, Chase, and the FBI...
[02:09:30.282 --> 02:09:32.063]  Has just released another statement.
[02:09:32.424 --> 02:09:33.945]  There have been dozens of these statements.
[02:09:34.025 --> 02:09:35.506]  It kind of gets whispered into the wind.
[02:09:36.126 --> 02:09:38.087]  We are on a red alert.
[02:09:38.367 --> 02:09:41.710]  The FBI is saying we are at an all-time high for a terror attack.
[02:09:41.750 --> 02:09:43.551]  Now, it doesn't take a genius to know why.
[02:09:43.571 --> 02:09:44.932]  We have a wide-open southern border.
[02:09:45.492 --> 02:09:47.093]  So, we have a wide-open southern border.
[02:09:47.233 --> 02:09:48.975]  Tens of millions of people pouring in.
[02:09:49.475 --> 02:09:54.898]  We have this centuries-old holy war that you can see there's genuine hatred on both sides of this.
[02:09:55.019 --> 02:09:56.820]  One side says, we want them all dead.
[02:09:56.880 --> 02:09:58.321]  The other side says, we want them all dead.
[02:09:58.641 --> 02:09:59.922]  Again, this is on the other side of the planet.
[02:10:00.542 --> 02:10:07.390]  And now it's in our colleges, it's in our media, it's in our political conversation as we're getting raked over the coals, we're getting robbed, our children are being destroyed.
[02:10:07.770 --> 02:10:09.532]  This is now the conversation that we're having.
[02:10:10.473 --> 02:10:12.035]  I feel at this point...
[02:10:13.109 --> 02:10:14.250]  A false flag is imminent.
[02:10:14.450 --> 02:10:18.313]  And that's not to say that there might be some sort of organic terror event.
[02:10:18.594 --> 02:10:19.574]  They allow it to happen.
[02:10:19.594 --> 02:10:22.096]  They create the environment for the amoeba to grow.
[02:10:22.697 --> 02:10:23.137]  Bingo.
[02:10:23.237 --> 02:10:25.259]  And so this is where I think we're headed now.
[02:10:25.519 --> 02:10:31.624]  And I'm afraid it's going to be blamed on Palestinians or it's going to be blamed on Iran.
[02:10:31.664 --> 02:10:34.687]  It's going to be blamed on some anti-Israel faction.
[02:10:35.507 --> 02:10:37.570]  And we're going to get Patriot Act 2.0.
[02:10:38.811 --> 02:10:41.114]  We're going to get expansive wars in the Middle East.
[02:10:41.374 --> 02:10:47.661]  Israel is once again going to control our foreign policy as the American way of life crumbles to the ground.
[02:10:48.522 --> 02:10:50.324]  And this is how I see things playing out.
[02:10:50.444 --> 02:10:54.308]  And maybe, now this might be getting to the edge of this theory,
[02:10:55.229 --> 02:10:59.332]  Maybe even it gets so bad, and then they use it to cancel the election.
[02:10:59.372 --> 02:11:02.594]  So that might be kind of the far end of this?
[02:11:02.814 --> 02:11:06.937]  I think they're going to use it to justify replacing Biden at the DNC.
[02:11:07.117 --> 02:11:19.285]  Because if there is an attack, and it's an anti-Semitic attack, and it comes from any migrant that's crossed the border in the name of Palestine or Iran or whatever, then they can use that to say, look, Joe Biden's obviously incompetent.
[02:11:19.485 --> 02:11:20.145]  Look at this border.
[02:11:20.225 --> 02:11:24.388]  Why don't we replace him as the candidate with Hillary Clinton or Michelle Obama or Gavin Newsom?
[02:11:24.748 --> 02:11:31.613]  I think that the intelligence community is trying to figure out a way to ensure that Trump doesn't win, and they know they have to replace Joe Biden in order to do it smoothly.
[02:11:32.473 --> 02:11:34.915]  It's obviously a difficult thing for them to do.
[02:11:34.975 --> 02:11:49.605]  They have to kind of create the opening to remove Biden, and I think that in a way, maybe that's why Jim Jordan and Comer and the others haven't pressed as hard on the gas to remove Biden at this stretch, simply because that might end up
[02:11:50.325 --> 02:11:51.766]  Doing the Democrats' job.
[02:11:51.986 --> 02:11:55.509]  They want to find a way to remove Biden too, but they can't really do it.
[02:11:55.990 --> 02:12:09.621]  So maybe that's why the Republicans are kind of just not pushing the gas on getting rid of Biden or impeaching Biden or really trying to press the criminal indictments and the Biden family because they realize that that's the case.
[02:12:10.021 --> 02:12:15.146]  You know, I didn't intend to get into the conversation of who could the Democrats replace Biden with, but nonetheless,
[02:12:16.417 --> 02:12:17.817]  The FBI just made another statement.
[02:12:17.897 --> 02:12:24.339]  Again, they've made dozens of statements since October 7th, and really before too, just talking about the open border and the terror threat.
[02:12:25.019 --> 02:12:40.203]  But they just made another statement, it was NBC News, basically saying we're at the highest level of terror alert in modern American history, and there could be extremists and terror cells growing in this country, and basically insinuating that a terror attack is imminent, Chase.
[02:12:41.758 --> 02:12:58.252]  Yes, and it's funny because just weeks before the Moscow attack, oh, and they came out and said that there was, you know, they encouraged American citizens or members of the public not to go to any major concerts or public events in Moscow because of a heightened risk.
[02:12:58.893 --> 02:13:02.316]  And we know that all the evidence suggests that Ukraine was behind that attack.
[02:13:02.356 --> 02:13:07.840]  And of course, the United States intelligence community is behind Ukraine and these other cutouts.
[02:13:08.701 --> 02:13:15.708]  So what they do is they warn you of an attack so when it happens it doesn't look like they're responsible for the attack.
[02:13:16.208 --> 02:13:18.751]  They want to issue the warning and even going all the way back to 9-11.
[02:13:18.771 --> 02:13:22.975]  They're like, oh we had evidence and tips that there might have been an attack.
[02:13:24.116 --> 02:13:28.861]  Almost portray a shred of confidence so that you still believe in the system.
[02:13:29.321 --> 02:13:47.598]  But, I mean, if we look at these conflicts from Afghanistan to Iraq, estimates of 500,000 civilians killed in these wars over the last 20 years, some by ISIS and the Taliban and Al Qaeda, others by the United States, just collateral damage, or Joe Biden droning families moving water from one place to another, as an example.
[02:13:50.061 --> 02:14:02.674]  We the United States have perpetrated attacks and death on a level far beyond the conflict between Palestine and Israel, far beyond the conflict between Ukraine and Russia.
[02:14:02.694 --> 02:14:05.718]  I mean, if you really look at what the United States did to Iraq...
[02:14:06.318 --> 02:14:11.399]  It is no better, morally speaking, than what Russia did to Ukraine.
[02:14:11.439 --> 02:14:21.042]  Frankly, I would say that Russia actually had much more of a justification for invading Ukraine than the United States ever had for invading Iraq.
[02:14:21.062 --> 02:14:34.366]  So it comes off to me very hypocritical, frankly evil, that we see our intelligence community and our politicians so antagonistic to the tyranny of Vladimir Putin when we've been doing the same crap for decades.
[02:14:34.986 --> 02:14:38.671]  Well, and that's kind of been a building frustration of the left.
[02:14:38.851 --> 02:14:44.699]  Obama really ran in 2008 as anti-war against these foreign interventions.
[02:14:44.739 --> 02:14:48.223]  Of course, that didn't last long once he got into the office, but nonetheless.
[02:14:48.684 --> 02:14:51.447]  And so, but that's kind of like another level of this PSYOP.
[02:14:52.338 --> 02:15:02.764]  You know, conservatives, the reaction is always to, when you see these lunatic leftist protesters, to kind of puff your chest up and, you know, stand up tall and say, hey, no, we're for America.
[02:15:03.284 --> 02:15:12.069]  And you might not want to admit that, well, you know, maybe there is some foundational truths to where the left is coming from, maybe morally, on these issues.
