[00:00:00.009 --> 00:00:01.510]  ["Pomp and Circumstance"]
[02:25:43.778 --> 02:25:44.858]  They're coming for all of us.
[02:25:45.398 --> 02:25:48.059]  Everything we've been warned about in the past, we're living in the reality.
[02:25:48.560 --> 02:25:51.341]  They are no longer after just Alex Jones or Trump.
[02:25:51.381 --> 02:25:53.281]  They are actually coming down on all of us.
[02:25:53.361 --> 02:25:57.583]  If you don't think they're coming for you before November hits, you haven't been paying attention.
[02:25:58.223 --> 02:25:59.544]  This has reached a whole new level.
[02:26:00.496 --> 02:26:02.217]  Of demonic control.
[02:26:02.577 --> 02:26:03.718]  I don't even have the words for it.
[02:26:03.738 --> 02:26:07.400]  I'm so disgusted with what's going on in this country right now.
[02:26:07.680 --> 02:26:13.723]  I don't want to write myself into this, but I literally caught them planning to shut this down yesterday.
[02:26:13.823 --> 02:26:17.445]  I've been living here to stop them, and they got all scared because I'm here.
[02:26:17.905 --> 02:26:21.186]  They're literally, without even a federal order, trying to shut this down.
[02:26:21.227 --> 02:26:22.007]  They are desperate.
[02:26:24.642 --> 02:26:27.544]  People have to understand during this war, all of us are in it at this point.
[02:26:27.604 --> 02:26:29.005]  They're coming for every single American.
[02:26:29.125 --> 02:26:30.105]  It's on the novel.
[02:26:30.506 --> 02:26:34.088]  They're asking for absolute control of the United States of America.
[02:26:34.468 --> 02:26:42.013]  And the way that we react to things like this, with them trying to shut down the Infowars, if we're quiet about it, they're coming for your house next, they're coming for your car next, they're coming for your child next.
[02:26:42.773 --> 02:26:45.355]  We have to let people know that this, enough is enough.
[02:26:45.935 --> 02:26:50.258]  We cannot stand by while great people that's fighting for this country are targeted,
[02:26:53.699 --> 02:26:57.202]  Well, Trump said it a thousand times.
[02:26:57.543 --> 02:26:58.423]  They're not coming after me.
[02:26:58.523 --> 02:26:59.985]  They're trying to get through me to get to you.
[02:27:00.025 --> 02:27:00.625]  And it's true.
[02:27:00.745 --> 02:27:01.446]  This is the Congress.
[02:27:01.466 --> 02:27:01.686]  Take over.
[02:27:01.706 --> 02:27:02.767]  I'm Lugar.
[02:27:02.787 --> 02:27:03.948]  I'm going to come right back to you.
[02:27:04.028 --> 02:27:08.612]  General Flynn, former head of defense intelligence, former top national security advisor, got in the space.
[02:27:08.672 --> 02:27:10.013]  I don't know if he's ready yet.
[02:27:10.714 --> 02:27:22.847]  Yeah, it's a real canary in the coal mine that they are, I'm literally physically here, and literally had to tell people coming to lock the doors, without court orders to shut us down, that they were going to go to jail.
[02:27:23.167 --> 02:27:27.011]  I'm literally physically here, slept three hours last night, in this building.
[02:27:27.732 --> 02:27:29.013]  I'm not putting on a big act here.
[02:27:29.053 --> 02:27:30.115]  General Flynn, what do you think is happening?
[02:27:31.914 --> 02:27:35.416]  Yeah, so number one, Alex, God bless you for doing everything that you've been doing.
[02:27:36.056 --> 02:27:41.019]  I want everybody to understand that we really have to stop thinking conventionally.
[02:27:41.039 --> 02:27:44.021]  I mean, these people, this is a communist takeover.
[02:27:44.041 --> 02:27:47.823]  The bigger strategic plan was eight years of Obama.
[02:27:48.303 --> 02:27:49.224]  Eight years of Hillary.
[02:27:49.604 --> 02:28:10.354]  Donald Trump got in the way in 2016, and they started in earnest to take the country over then, and they've made the decision, and they made it during the during the COVID lockdowns, they made that decision that this will never happen again, that Donald, that there will not be another Donald Trump, you know, in their way again to affect basically the takeover of the United States of America.
[02:28:10.894 --> 02:28:14.215]  This is America with communist characteristics, right?
[02:28:14.255 --> 02:28:16.016]  So, just like they still do.
[02:28:16.056 --> 02:28:18.597]  They still do this in downtown Beijing.
[02:28:18.997 --> 02:28:21.337]  They have people wear billboards to shame them.
[02:28:21.798 --> 02:28:25.099]  To say how bad they've been to the state.
[02:28:25.459 --> 02:28:27.099]  This is exactly what they're doing to Trump.
[02:28:27.379 --> 02:28:34.362]  They're basically saying to Trump, they're trying to shame him and all of us into this submission that they are planning on doing.
[02:28:34.402 --> 02:28:35.542]  I mean, this is for real.
[02:28:36.222 --> 02:28:44.686]  You know, this judge could have actually kept him in jail that day, okay, that he, you know, that the jury came out with the 34 charges.
[02:28:45.446 --> 02:28:51.148]  I believe what they're going to do is they're just going to, when he comes back on the 11th, they're going to put, this Marshall guy is going to put him in jail.
[02:28:51.628 --> 02:29:00.792]  But Trump said in his comments the day after, I guess it was yesterday if I remember the days right, Trump actually said something I think is very important for all of us to understand.
[02:29:00.812 --> 02:29:01.232]  No, you're right.
[02:29:01.292 --> 02:29:01.953]  It was yesterday.
[02:29:01.993 --> 02:29:02.513]  It was yesterday.
[02:29:03.180 --> 02:29:03.960]  It was yesterday, yeah.
[02:29:04.160 --> 02:29:05.761]  Trump said something that was very important.
[02:29:05.781 --> 02:29:07.841]  He said a bunch of things, but he said something that was very important.
[02:29:07.861 --> 02:29:09.142]  He says, this is bigger than me.
[02:29:09.622 --> 02:29:12.043]  He has always said things to that effect.
[02:29:12.323 --> 02:29:13.443]  This is bigger than him.
[02:29:13.903 --> 02:29:26.127]  This is about the takeover of the United States of America by a fairly small group, but I don't think that the people on this call, or I don't think the American people understand that that group is not as small as it used to be.
[02:29:26.707 --> 02:29:29.529]  That group used to be much smaller 20, 25 years ago.
[02:29:29.890 --> 02:29:33.172]  Now that group basically has control over the U.S.
[02:29:33.212 --> 02:29:35.714]  intelligence community, it has control over the U.S.
[02:29:35.754 --> 02:29:46.643]  Department of Defense, the United States Department of State, has control over the White House, it has control over, I just call it the corporatocracy of America, clearly the educational institutions.
[02:29:47.104 --> 02:29:48.965]  I mean, these are communists.
[02:29:49.346 --> 02:29:49.606]  Don't
[02:29:50.086 --> 02:29:54.310]  These are not like lefties or progressives wearing rainbow colors in their hair.
[02:29:54.650 --> 02:29:56.852]  These are hardcore Marxist communists.
[02:29:57.253 --> 02:30:00.636]  There are people with faces and names that are part of our government.
[02:30:01.036 --> 02:30:01.997]  And that's what's happening.
[02:30:02.377 --> 02:30:03.999]  And everybody needs to understand that.
[02:30:04.039 --> 02:30:08.623]  So, you know, I sit here and I was over the last 48 hours and Christ the last
[02:30:09.255 --> 02:30:09.795]  Three years.
[02:30:10.396 --> 02:30:14.519]  These people are going to do everything that they can to destroy this country.
[02:30:14.739 --> 02:30:16.000]  And they have done it.
[02:30:16.040 --> 02:30:16.460]  They've done.
[02:30:16.861 --> 02:30:18.081]  They've taken the steps.
[02:30:18.722 --> 02:30:25.287]  If you understand things like the Bolshevik Revolution, the Mao, the Mao, the red and the blacks in the in the in the 60s, the
[02:30:26.267 --> 02:30:27.588]  General, let me just stop you.
[02:30:27.628 --> 02:30:35.934]  What you're saying is the former head of Defense Intelligence, and I'm seeing it with all my listeners, they are rolling out, they've launched, the war just started.
[02:30:35.954 --> 02:30:41.959]  Like, a hundred and fifty-something days out, they have just launched the assault has begun is what you're saying.
[02:30:43.120 --> 02:30:44.821]  Yeah, I mean, think about this, okay?
[02:30:45.442 --> 02:30:51.447]  I've been doing this my whole life, where I have to put my feet into the shoes of our enemies, right?
[02:30:51.787 --> 02:30:58.653]  That's what my job was as an intelligence officer from the time that I was working in an infantry battalion on the battlefields.
[02:30:58.833 --> 02:31:00.854]  In that case, it was in Central America.
[02:31:02.088 --> 02:31:05.929]  You know, I've always had to put myself in the opposition's head.
[02:31:06.530 --> 02:31:12.692]  And that's what I rack my brain over constantly, is if I was on their team, what would I be doing?
[02:31:12.972 --> 02:31:13.932]  What would I be thinking?
[02:31:13.992 --> 02:31:15.092]  What would be my strategy?
[02:31:15.393 --> 02:31:16.853]  What would be the tactics I would use?
[02:31:17.553 --> 02:31:21.035]  This latest thing with Trump, that is a tactic.
[02:31:21.475 --> 02:31:22.275]  It is a tactic.
[02:31:22.315 --> 02:31:24.276]  The bigger issue, and Trump nailed it.
[02:31:24.656 --> 02:31:25.596]  It is bigger than him.
[02:31:25.876 --> 02:31:27.597]  This is about taking over this country.
[02:31:28.497 --> 02:31:40.303]  If I put my feet into the boots of our opposition, in this case, this progressive left in this country which holds the levers of power right now, folks, whether we like it or not, they hold the levers of power.
[02:31:41.074 --> 02:32:01.810]  They are scheming to do whatever they can, and my belief, and I'm more than 50% now based on what we just recently saw, and sort of another tactic that they just did, and they're going to do it again on the 11th of July, that the likelihood of us having an election on the 5th of November, I'm like,
[02:32:02.530 --> 02:32:17.166]  You know, I'm saying that it's unlikely Far more than 50% now because of what they are planning on doing there is no general general general flinched former head of intelligence totally with their Pre-programming massive right-wing terror attacks.
[02:32:17.347 --> 02:32:18.588]  I'm looking for false flags.
[02:32:18.928 --> 02:32:22.112]  They are totally signaling that what's what's your take on that?
[02:32:22.132 --> 02:32:22.172]  Oh
[02:32:23.576 --> 02:32:26.237]  Yeah, I mean, so it's not just these false flags.
[02:32:26.297 --> 02:32:28.157]  It's what they're doing to you.
[02:32:28.618 --> 02:32:29.698]  It's a bunch of things.
[02:32:29.738 --> 02:32:38.081]  I mean, you're going to see, there's executive orders right now for a climate emergency that gives this president, Biden, warlike powers.
[02:32:38.501 --> 02:32:42.542]  We are already looking at what they're doing in Eastern Europe.
[02:32:42.902 --> 02:32:50.264]  I mean, there is going to be a shift in the economic system of the world here that this administration has bought into.
[02:32:50.284 --> 02:32:51.665]  That's just digital currency stuff.
[02:32:52.605 --> 02:32:53.706]  We are now seeing this.
[02:32:53.726 --> 02:32:54.746]  Let me ask you that question.
[02:32:54.826 --> 02:33:04.111]  What is the announcement of Stoltenberg and NATO of heavy weapons to hit Russia, which is already going on, but a huge official taking credit in the threat escalation?
[02:33:04.511 --> 02:33:06.072]  You are a Cold War expert.
[02:33:06.492 --> 02:33:07.512]  What does that signify?
[02:33:08.793 --> 02:33:15.616]  Yeah, what it signifies is that one of the things, and I had a conversation with a very sharp buddy of mine this morning,
[02:33:16.221 --> 02:33:41.117]  That, you know, there's a possibility that we'll see a false flag in a NATO country in Eastern Europe that then is blamed on Russia and that gives them the authority then, NATO, it gives NATO the authority to basically call for Article 5 and start to fight back and now it's NATO against Russia and we're back to the goddang, we're back to a Cold War that's going to turn hot between the East and the West essentially.
[02:33:41.617 --> 02:33:45.881]  These people will do anything that they can to stay in power.
[02:33:46.281 --> 02:33:53.547]  They're looking for big, big excuses to stay in power and to shut the election down in November.
[02:33:53.687 --> 02:33:54.228]  I believe that.
[02:33:54.628 --> 02:34:06.358]  I believe that more in my heart today than I ever believed it, and especially after, because I believe like a lot of people that, you know, I never did believe, I will say that, I never did believe that Trump wasn't going to be found guilty of something.
[02:34:06.956 --> 02:34:08.943]  I figured, you know, one count, two counts.
[02:34:08.963 --> 02:34:09.385]  General Flynn?
[02:34:09.405 --> 02:34:10.328]  We lost General Flynn?
[02:34:10.389 --> 02:34:11.433]  I just lost my headset.
[02:34:12.315 --> 02:34:12.875]  Oh, he's still there.
[02:34:12.935 --> 02:34:14.275]  Sorry about that.
[02:34:14.576 --> 02:34:17.236]  We still have him all on the space.
[02:34:17.316 --> 02:34:19.877]  Alex Jones can't get to the space, guys.
[02:34:19.897 --> 02:34:22.518]  So just give it a second.
[02:34:22.638 --> 02:34:28.819]  Well, my bottom line, I assume that they would only found him guilty on a couple of counts, right?
[02:34:29.959 --> 02:34:38.801]  But when he came back with 34 counts, I was like, oh my God, these people, they're even far more serious than even I could imagine.
[02:34:39.122 --> 02:34:40.702]  But believe me, again,
[02:34:41.317 --> 02:34:49.427]  I want people to understand, the big picture was eight years of Obama, eight years of Hillary Clinton, and we wouldn't be having X-Spaces talks, okay?
[02:34:49.827 --> 02:34:54.112]  But Donald J. Trump got in the way in 2016, and he beat the odds.
[02:34:54.152 --> 02:34:56.335]  He ran the tables, beat the odds.
[02:34:56.355 --> 02:35:00.300]  Exactly, so the American startover general, this is so important, you're on record, it's true.
[02:35:02.185 --> 02:35:03.626]  The whole game changed with Trump.
[02:35:03.706 --> 02:35:07.570]  He backed them up seven, eight years and now the world's waking up.
[02:35:07.970 --> 02:35:10.212]  So what do we do to stop this?
[02:35:10.592 --> 02:35:12.034]  Because again, I'm not into myself.
[02:35:12.134 --> 02:35:14.276]  I don't care, but I get a Canadian coal mine.
[02:35:14.476 --> 02:35:17.158]  They are literally trying to put padlocks on the doors right now.
[02:35:17.518 --> 02:35:22.683]  I had to physically explain to people with guns that they didn't have an order to stop them.
[02:35:22.783 --> 02:35:23.724]  Like this happened today.
[02:35:25.262 --> 02:35:33.847]  Well, I will tell you something that as soon as I heard about this, Alex, I sent a note to Ken Paxton in Texas, because I think Ken Paxton is a decent person.
[02:35:33.867 --> 02:35:48.135]  I said, hey, you guys in Texas ought to go jump on top of this shit and don't let these federal thugs come into the state of Texas and do something without at least the Attorney General being informed about what the hell they're doing.
[02:35:48.435 --> 02:35:52.457]  So, you know, at this stage, we're in a tough spot.
[02:35:52.757 --> 02:35:55.320]  I don't think I'm that important.
[02:35:55.440 --> 02:35:58.083]  I don't think I'm important, General, like you or Trump.
[02:35:59.024 --> 02:36:02.448]  But I'm saying they want to take out Trump's supporters.
[02:36:02.468 --> 02:36:03.890]  It means a major move, right?
[02:36:04.170 --> 02:36:04.811]  When they're doing this.
[02:36:06.075 --> 02:36:06.876]  They're doing this.
[02:36:06.976 --> 02:36:12.901]  It is about going after the sources of information that are the hard truth sources of information.
[02:36:13.481 --> 02:36:28.073]  And one of the things that I do believe that we must have, and I had a great conversation yesterday with a United States Senator, I won't name him just because he's in there trying to fight for us, but I will just tell you that
[02:36:28.773 --> 02:36:30.314]  We don't have any U.S.
[02:36:30.354 --> 02:36:30.814]  Senators.
[02:36:30.894 --> 02:36:32.515]  We don't have any members of the House.
[02:36:32.995 --> 02:36:39.357]  We don't have the governors, particularly the governors of this country, Republican governors at least, because this is it.
[02:36:39.557 --> 02:36:40.178]  This is it.
[02:36:40.438 --> 02:36:48.081]  We are going to become a communist country if we don't get the people that can stand up right now.
[02:36:49.719 --> 02:36:58.142]  Political people who think that this is just politics as usual, that this is about big government versus small government, you know, are out of their effing minds.
[02:36:58.582 --> 02:37:07.946]  This is about a communist takeover of the United States of America, where we will be forever known, you know, forever called the United Socialist States of America.
[02:37:07.966 --> 02:37:13.648]  So we're living in history, and you're our general, and you were there, and they were so scared of you as they came after you.
[02:37:14.048 --> 02:37:14.908]  What do we do?
[02:37:14.928 --> 02:37:18.830]  We pray, but what do we, politically, temporally, what do we do?
[02:37:20.342 --> 02:37:31.872]  No, I mean, you know, I'm racking my brains about it because there have been some really positive things that people have done and I do believe that we got to keep ourselves informed.
[02:37:31.992 --> 02:37:33.854]  Number one, we've got to communicate.
[02:37:33.894 --> 02:37:39.458]  We've got to communicate constantly and we've got to make sure that they know that we know what they're up to and that we
[02:37:40.279 --> 02:37:40.980]  Across the board.
[02:37:41.000 --> 02:37:42.442]  And by the way, here's the microcosm.
[02:37:42.762 --> 02:37:46.727]  They show up with the Higher Security Committee for six years and say, we're putting locks on.
[02:37:46.747 --> 02:37:47.668]  I say, where's the court order?
[02:37:48.149 --> 02:37:49.110]  And today I did it.
[02:37:49.170 --> 02:37:49.831]  They backed off.
[02:37:49.871 --> 02:37:50.973]  The lawyers then backed them off.
[02:37:51.253 --> 02:37:52.414]  But it was communication.
[02:37:52.434 --> 02:37:54.917]  They get in a fight, but it was a microcosm.
[02:37:54.938 --> 02:37:55.939]  I just communicated.
[02:37:56.019 --> 02:37:56.700]  That's what they don't want.
[02:37:57.984 --> 02:38:06.747]  Yeah, but the other thing too is, and you know, part of this is, we've got to get, you know, the sort of the big wealthy conservatives to put something together.
[02:38:06.767 --> 02:38:08.167]  I mean, there's people with a lot of money.
[02:38:08.187 --> 02:38:08.387]  No, I agree.
[02:38:08.407 --> 02:38:10.148]  They've got to go all in.
[02:38:10.408 --> 02:38:14.049]  Everybody, middle class, poor, rich, you've got to go all in right now.
[02:38:15.666 --> 02:38:31.185]  And what we've got to do is we've got to, you know, we should not be fighting with nickels and dimes lawfare against these assholes, excuse my Irish, that are pouring money, and God knows where this money's coming from, most of it's coming from overseas or other countries like China.
[02:38:31.605 --> 02:38:34.407]  I mean, the Chinese are licking their chops.
[02:38:34.807 --> 02:38:37.829]  So there's a couple of things that have got to happen.
[02:38:37.849 --> 02:38:41.512]  But the main thing is we've got to stand our ground and communicate.
[02:38:41.572 --> 02:38:43.973]  We have to communicate with each other constantly.
[02:38:44.013 --> 02:38:47.996]  We can't let something just ride it out and go, well, nothing's going to happen.
[02:38:48.036 --> 02:38:52.118]  No, exactly what you did today will cause these people to back down.
[02:38:52.499 --> 02:38:55.501]  They are in absolute fear right now.
[02:38:56.201 --> 02:39:00.868]  Of what it is that they're being exposed to actually doing, right?
[02:39:01.389 --> 02:39:03.472]  And the exposure is there because they
[02:39:04.250 --> 02:39:12.515]  They have been trying to shame Donald Trump to shut up, go away, and maybe enough people will say, hey, enough is enough and we can't take Trump anymore.
[02:39:12.855 --> 02:39:14.116]  Look at what has happened.
[02:39:14.136 --> 02:39:25.463]  That tells me that the common sense of the American people across the board, I don't care whether you're red, white, blue, black, brown, purple with pink polka dots, the American people get it.
[02:39:25.863 --> 02:39:29.125]  And what's happening is the American people are saying enough is enough.
[02:39:29.645 --> 02:39:31.205]  We need more people like that.
[02:39:31.225 --> 02:39:34.606]  We need more of the, you know, the blacks out there.
[02:39:34.626 --> 02:39:36.027]  We need more of the browns out there.
[02:39:36.067 --> 02:39:40.588]  We need more of the Asian communities out there.
[02:39:40.628 --> 02:39:42.028]  In general, that's happening.
[02:39:42.068 --> 02:39:42.768]  They're panicking.
[02:39:42.808 --> 02:39:44.889]  So your incredible gravitas to advise.
[02:39:45.949 --> 02:39:47.469]  I go back to this.
[02:39:47.529 --> 02:39:51.030]  So looking at the numbers right now, Trump's going to win a landslide.
[02:39:51.050 --> 02:39:52.471]  The system is totally panicked.
[02:39:52.731 --> 02:39:53.811]  They're launching a full attack.
[02:39:54.391 --> 02:39:57.032]  We stay peaceful, but we intensify the info war.
[02:39:57.052 --> 02:39:57.732]  What else do we do?
[02:39:59.116 --> 02:40:07.546]  Yeah, so let's assume, because I just said something about the election, that I'm beyond 50% that I'm not certain we're going to have one.
[02:40:07.606 --> 02:40:10.590]  I certainly, if I was on their team, I would say, we can't have this guy back.
[02:40:10.630 --> 02:40:12.893]  They're going to try to overthrow the chess board.
[02:40:14.175 --> 02:40:18.540]  Yeah, so one of the things that we have to do, and I said this to a group of people last week,
[02:40:20.540 --> 02:40:24.903]  People can't sit there and tell me if they're from Michigan or they're from Kansas or Nebraska.
[02:40:24.923 --> 02:40:27.946]  And when I ask them, well, do you know whether you guys do mail-in ballots?
[02:40:27.966 --> 02:40:30.487]  Do you know whether you do ballot harvesting in this state?
[02:40:30.788 --> 02:40:32.029]  And they're like, I don't know.
[02:40:32.049 --> 02:40:39.214]  And I said, well, god dang it, every single one of us has got to know the voting structure and the voting system in our states.
[02:40:39.834 --> 02:40:45.119]  Now that's number one, because if you don't, then you need to learn, and you need to start learning it right now.
[02:40:45.620 --> 02:40:52.266]  We also just had, we're not quite done with the primaries in this country, but we have less than 35% turnout!
[02:40:52.747 --> 02:40:54.608]  Less than 35% turnout nationwide!
[02:40:54.889 --> 02:40:55.589]  That's insane!
[02:40:56.370 --> 02:41:01.495]  We are on the verge of losing the United States of America to communists, okay?
[02:41:02.095 --> 02:41:26.416]  And if we don't overwhelm, if we, God help us that we have an election in November, if we don't overwhelm it, and I'm not just talking about on election day, we have got to be so smart everywhere we're at, every state, every county, about what the system and the structure of the voting system is, and do not, do not allow anybody to stand there and tell you that you can't watch somebody count a god dang vote.
[02:41:26.836 --> 02:41:45.462]  We have got to be standing there, you know, tall, and with our phones, with our voices, with our leadership, with our local leaders, and standing there going, nope, we're not going home until we see every vote counted, and we're going to do it under the light of, you know, we're going to do it under the cameras, or we're going to live stream it.
[02:41:45.782 --> 02:41:52.564]  I mean, there's things that we have got to start to do, and we've got to start talking about, and we can't just do this
[02:41:53.144 --> 02:41:56.426]  You know, back and forth on social media.
[02:41:56.466 --> 02:41:58.707]  I mean, I'm wearing myself out.
[02:41:58.767 --> 02:42:00.908]  And trust me, folks, and Alex, you know this.
[02:42:01.428 --> 02:42:05.671]  I mean, this is exhausting, but it is absolutely necessary what it is that we're doing.
[02:42:05.951 --> 02:42:13.054]  To those of us that are, that do have these higher profiles, or we're out there and we get this, believe me, I'm going to continue to fight
[02:42:14.495 --> 02:42:15.156]  All the way to the election.
[02:42:15.176 --> 02:42:16.857]  But General, you play yourself down.
[02:42:17.277 --> 02:42:20.779]  You were the most important person other than Steve Bannon in the administration.
[02:42:20.799 --> 02:42:21.780]  They came after you.
[02:42:21.900 --> 02:42:22.880]  You didn't back down.
[02:42:23.320 --> 02:42:24.721]  And you are America's General.
[02:42:24.741 --> 02:42:26.002]  You're George Washington 2.0.
[02:42:26.162 --> 02:42:26.743]  It's just true.
[02:42:26.803 --> 02:42:27.863]  It's not about kissing your ass.
[02:42:27.883 --> 02:42:28.304]  It's true.
[02:42:28.824 --> 02:42:31.085]  We need to understand that this is the crucible.
[02:42:31.125 --> 02:42:35.328]  We are entering the zone of the whole future right now.
[02:42:35.828 --> 02:42:36.808]  And I get it.
[02:42:36.848 --> 02:42:38.389]  That's why we're being overrun right now.
[02:42:38.409 --> 02:42:40.209]  I mean, I haven't told you all the stuff, sir.
[02:42:40.229 --> 02:42:40.970]  I'm sure you can imagine.
[02:42:41.050 --> 02:42:42.390]  It is insane right now.
[02:42:42.890 --> 02:42:43.970]  They are panicked, though.
[02:42:44.251 --> 02:42:46.671]  They've got cars on my ass when I drive home.
[02:42:47.031 --> 02:42:50.132]  They have got people calling my wife fake women.
[02:42:50.172 --> 02:42:53.353]  Hey, I'm with your husband having sex with him right now.
[02:42:53.433 --> 02:42:55.214]  I don't see that as a weakness, General.
[02:42:55.294 --> 02:42:58.835]  I see it as a strength that our enemies are shitting their pants right now.
[02:43:00.188 --> 02:43:01.589]  Yeah, exactly.
[02:43:01.629 --> 02:43:04.172]  And I see that all the time.
[02:43:04.632 --> 02:43:12.940]  And this is why we constantly get attacked by all the losers, bots, and haters out there, Alex, and others that are listening.
[02:43:13.020 --> 02:43:17.705]  Because all of us are constantly being monitored.
[02:43:17.805 --> 02:43:23.150]  And all this craziness that this administration is forcing down our throats
[02:43:23.730 --> 02:43:31.077]  I mean, the one thing that I pay very close attention to, of course, is our military and the way that they're trying to destroy the military.
[02:43:31.097 --> 02:43:41.446]  So they've destroyed the fabric of our country by bringing in, you know, millions and millions and millions of these illegals and just loaded up with drugs like fentanyl.
[02:43:41.526 --> 02:43:42.947]  I mean, it's just, they're all over the streets.
[02:43:43.347 --> 02:43:45.069]  I mean, this is not a border problem.
[02:43:45.349 --> 02:43:47.351]  Everybody I know has dead kids from it.
[02:43:48.948 --> 02:43:49.648]  Right, right.
[02:43:49.768 --> 02:43:56.932]  So we have got to make sure that we understand where we're at, you know, whatever state you're in, whatever county you're in.
[02:43:57.392 --> 02:44:01.314]  If you can get involved, you can get involved in the local level, get involved.
[02:44:02.454 --> 02:44:04.255]  We have got to get smarter on our elections.
[02:44:04.295 --> 02:44:05.476]  We have got to get involved in
[02:44:05.936 --> 02:44:06.276]  I'm not a fan.
[02:44:06.357 --> 02:44:06.457]  Yeah.
[02:44:27.597 --> 02:44:34.780]  You know, if you think about the fall of, you know, and this is, this is, I just went back and forth with some folks about the fall of Rome.
[02:44:34.800 --> 02:44:36.441]  You know, they lasted a thousand years.
[02:44:36.461 --> 02:44:37.702]  We haven't been that long, right?
[02:44:38.062 --> 02:44:41.864]  I mean, we are meeting all the indicators of the fall of an empire.
[02:44:42.144 --> 02:44:42.844]  We meet them all.
[02:44:42.864 --> 02:44:44.425]  We're overextended as a nation.
[02:44:44.825 --> 02:44:46.306]  We're in massive, massive debt.
[02:44:46.326 --> 02:44:49.307]  We've got internal domestic political problems.
[02:44:49.327 --> 02:44:54.390]  So we got, you know, our party system that, you know, we have a GOP establishment that's feckless.
[02:44:54.870 --> 02:44:57.311]  You know, the Democrats aren't the Democrats anymore.
[02:44:57.352 --> 02:45:01.514]  They're a stronghold of progressive left.
[02:45:01.554 --> 02:45:02.594]  They're a disease!
[02:45:03.295 --> 02:45:03.995]  Yeah, it is.
[02:45:04.035 --> 02:45:05.216]  There's other indicators.
[02:45:05.676 --> 02:45:13.661]  But really, what we've got to be doing is we still have a lot of ingenuity and a lot of innovation, and we have a lot of people.
[02:45:14.041 --> 02:45:16.062]  And we're all over the landscape.
[02:45:16.883 --> 02:45:21.065]  The world, the global side of things, outside of the boundaries of the United States,
[02:45:21.365 --> 02:45:24.126]  You know, when you look at Europe right now, Europe is a mess.
[02:45:24.506 --> 02:45:30.968]  I mean, the last election in the United Kingdom, I think it was 10 major cities were taken over by Muslim males.
[02:45:31.408 --> 02:45:32.769]  I mean, it's insane.
[02:45:33.289 --> 02:45:33.789]  I mean, it's true.
[02:45:33.889 --> 02:45:35.650]  Europe is in full capitulation.
[02:45:36.690 --> 02:45:36.970]  It is.
[02:45:37.270 --> 02:45:38.391]  It really, really is.
[02:45:38.471 --> 02:45:44.953]  And you only have a couple of holdouts there, like Orban and Poland, but Poland seems to be back and down.
[02:45:45.373 --> 02:45:50.015]  So Europe is in a place where... And you had that major prime minister against war against got shot.
[02:45:50.095 --> 02:45:50.895]  I mean, they're, you know...
[02:45:52.183 --> 02:45:52.663]  Exactly.
[02:45:53.844 --> 02:45:57.624]  So we're looking at a massive, massive physical war in Europe.
[02:45:58.145 --> 02:45:58.885]  Real potential.
[02:45:59.445 --> 02:46:03.466]  And I hate to even use this word, nuclear, but real potential.
[02:46:03.806 --> 02:46:04.626]  You've got the Middle East.
[02:46:04.646 --> 02:46:05.807]  That was my next question, General.
[02:46:05.867 --> 02:46:07.767]  You said nothing's tactical.
[02:46:08.447 --> 02:46:11.348]  Putin said two days ago, he said, my threat is real.
[02:46:11.468 --> 02:46:15.889]  If you attack us with cruise missiles, which they're already doing, I'm going to use nukes.
[02:46:16.349 --> 02:46:17.189]  What the hell?
[02:46:17.289 --> 02:46:19.110]  What do we do about that?
[02:46:20.495 --> 02:46:23.136]  Yeah, well, so here's the other thing about warfare.
[02:46:23.536 --> 02:46:26.997]  So we attack them, right?
[02:46:27.457 --> 02:46:33.459]  Whether it's in Russia, or whether it's in Lebanon, or Syria, or Iran, it doesn't matter.
[02:46:33.760 --> 02:46:36.300]  They're going to attack us here, okay?
[02:46:36.681 --> 02:46:38.581]  So that's the thing about warfare.
[02:46:38.681 --> 02:46:42.142]  It's not this nice, clean, movie-like World War II flick, right?
[02:46:42.543 --> 02:46:44.783]  This is war, and war is unfair.
[02:46:45.104 --> 02:46:49.225]  And war is going to come inside of the domestic boundaries of the United States of America
[02:46:49.665 --> 02:46:51.126]  By our foreign enemies.
[02:46:51.466 --> 02:46:52.387]  Because you know what, folks?
[02:46:52.687 --> 02:46:53.127]  They're here.
[02:46:53.488 --> 02:46:54.268]  They're here already.
[02:46:54.909 --> 02:47:00.372]  We know that there's at least, what, 100,000 military-age Chinese men in this country right now.
[02:47:00.652 --> 02:47:02.974]  Look at the number of terrorists that we have already identified.
[02:47:02.994 --> 02:47:05.576]  By the way, marching in with the same boots and backpacks.
[02:47:05.636 --> 02:47:06.697]  Those are military men.
[02:47:06.917 --> 02:47:14.382]  I mean, think about how insane that is as a policy, to have a wide-open border while you're engaging in warfare with one of the biggest nuclear powers.
[02:47:14.402 --> 02:47:17.103]  So let me ask General Flynn, that's a great point, what is the plan there?
[02:47:17.504 --> 02:47:19.205]  They obviously have some sick plan, General.
[02:47:20.726 --> 02:47:21.486]  No, no.
[02:47:21.566 --> 02:47:23.347]  I mean, yeah, there's a sick plan.
[02:47:23.967 --> 02:47:24.668]  It is a sickness.
[02:47:25.048 --> 02:47:28.390]  And it's like a cancer on the body of America.
[02:47:28.490 --> 02:47:34.973]  It's just let this cancer metastasize inside the country to just look.
