[00:00:07.751 --> 00:00:13.372]  Just about every major government has been guilty of false flag operations to foment war.
[00:53:09.480 --> 00:53:10.001]  I mean, you know.
[00:53:10.970 --> 00:53:11.550]  Guys, I forgot.
[00:53:11.730 --> 00:53:23.976]  Print me the FDA document, October 2000, three months before they roll the shots out, where it says probable adverse reactions, everything that happened, because they'd already tested this secretly on humans and on primates.
[00:53:24.496 --> 00:53:31.119]  They've already got a primate center east of Austin that's got 10,000 monkeys in it and apes.
[00:53:31.679 --> 00:53:32.440]  They're building a new one with 45,000 or 43,000.
[00:53:32.480 --> 00:53:34.141]  What do you think they're doing over there?
[00:53:40.145 --> 00:53:41.486]  Oh, they're getting special.
[00:53:41.566 --> 00:53:42.788]  All sorts of special goodies.
[00:53:43.308 --> 00:53:51.897]  Because a pig, a monkey, an ape, or a rat has the same response to every drug we do.
[00:53:53.578 --> 00:53:54.319]  Those are the animals.
[00:53:55.000 --> 00:54:01.947]  A pig, a monkey, an ape, a rat, or a gerbil.
[00:54:03.979 --> 00:54:17.826]  And I've got the studies where Fauci, under a national initiative of Obama, at the University of Texas and Chapel Hill, North Carolina, tested this exact stuff on mice.
[00:54:19.727 --> 00:54:21.368]  And it did what it's doing to us.
[00:54:21.668 --> 00:54:30.113]  And that's why they put in the damn report, it's gonna cause myocarditis, heart swelling, heart attacks, blood clots, strokes, infertility, turbo cancer.
[00:54:30.813 --> 00:54:32.434]  They built it for you!
[00:54:32.454 --> 00:54:38.778]  And the people that took the shots, they can't admit to themselves they did this.
[00:54:41.306 --> 00:54:44.628]  So we don't just have the raw death numbers to know this is doing it.
[00:54:44.728 --> 00:54:50.010]  We have, from New Zealand, who took the shots from the National Database.
[00:54:50.150 --> 00:54:57.674]  Because every time you take a shot, the government sends money to the vaccine maker for the person that took it.
[00:54:57.814 --> 00:55:00.395]  They don't get the money unless the shot goes in them.
[00:55:02.056 --> 00:55:03.377]  Because it's even incentivized.
[00:55:04.735 --> 00:55:04.855]  I'm
[00:55:25.987 --> 00:55:29.110]  Like that, since World War II, except they didn't get numbers out of China.
[00:55:29.350 --> 00:55:32.873]  Oh, there was a bloop with good old Mount Satung.
[00:55:33.874 --> 00:55:37.077]  Conservatively, he killed 85 million of his own people.
[00:55:37.478 --> 00:55:41.401]  But see, that wasn't on the radar, because they were behind an iron curtain of death.
[00:55:42.412 --> 00:55:43.972]  And now we're going behind one too.
[00:55:44.572 --> 00:55:45.713]  You ready to get killed?
[00:55:46.273 --> 00:55:47.113]  You think it's fun?
[00:55:47.133 --> 00:55:49.533]  Think it's gonna be nice?
[00:55:50.734 --> 00:55:51.754]  This is a fact.
[00:55:52.214 --> 00:55:53.254]  This is going on.
[00:55:53.774 --> 00:55:54.775]  This is happening.
[00:55:55.455 --> 00:55:56.935]  We cannot let them do it.
[00:55:57.255 --> 00:55:58.875]  We have to expose them.
[00:55:59.235 --> 00:56:00.596]  We have to stop them.
[00:56:00.916 --> 00:56:02.276]  We have to get serious.
[00:56:02.616 --> 00:56:06.537]  We have to understand we're in a life and death situation!
[00:56:22.523 --> 00:56:25.765]  I'm fighting hard not to not to Hulk out, man.
[00:56:26.926 --> 00:56:28.207]  It's really trying right now.
[00:56:29.587 --> 00:56:31.569]  I haven't felt like this since I was like 16, man.
[00:56:31.589 --> 00:56:34.611]  God, I just have real issues with anger.
[00:56:37.312 --> 00:56:41.455]  Because I just, I just, you know, if I got messed with or attacked, this is what happened.
[00:56:41.875 --> 00:56:44.076]  And, and, and they are, they are attacking us.
[00:56:44.136 --> 00:56:46.458]  And this is a normal response, ladies and gentlemen.
[00:56:50.453 --> 00:56:51.854]  I mean, I could cry, too.
[00:56:51.894 --> 00:56:52.935]  I feel like that, too, you know?
[00:56:55.617 --> 00:56:56.278]  Oh, my God.
[00:56:56.358 --> 00:56:59.340]  Planned Parenthood selling all the millions of baby parts, keeping them alive.
[00:56:59.360 --> 00:57:04.244]  It's in the federal documents they deliver nine-month-old babies alive to research facilities.
[00:57:04.784 --> 00:57:08.247]  And then we ask, was Jeffrey Epstein screwing kids with the government?
[00:57:08.467 --> 00:57:09.808]  Of course, that's what they do!
[00:57:11.147 --> 00:57:16.031]  You don't get into the positions of power now unless you're raping kids bare minimum, okay?
[00:57:16.992 --> 00:57:20.615]  So when you see these secretaries and leaders, they screw little kids, okay?
[00:57:20.935 --> 00:57:21.656]  Get that through your head.
[00:57:21.676 --> 00:57:22.477]  Yeah, they're pedophiles.
[00:57:22.917 --> 00:57:23.778]  That's just one level.
[00:57:24.939 --> 00:57:25.639]  That's bare minimum.
[00:57:29.523 --> 00:57:31.144]  All right, so yeah, yeah, they're bad.
[00:57:33.026 --> 00:57:37.389]  Where did the 87,000 missing kids Biden brought in are out of the 400-something thousand?
[00:57:37.950 --> 00:57:38.710]  Bunch of them are dead.
[00:57:39.818 --> 00:57:41.039]  Yeah, they like to kill them too.
[00:57:41.059 --> 00:57:42.780]  They'll want to kill you!
[00:57:42.801 --> 00:57:43.981]  We'll be right back.
[00:57:44.001 --> 00:57:44.362]  Stay with us.
[00:57:44.382 --> 00:57:44.822]  Hour number two.
[00:57:50.427 --> 00:57:53.549]  I talk a lot about the great successes InfoWars has had.
[00:57:53.569 --> 00:57:55.111]  I don't think anybody can deny it.
[00:57:55.891 --> 00:57:58.954]  And it is because of listeners and viewers supporting us.
[00:57:59.814 --> 00:58:03.758]  When we talk about the crew at InfoWars, people behind the scenes, the researchers, the writers,
[00:58:05.188 --> 00:58:07.892]  They really have been the MVPs in this fight.
[00:58:08.733 --> 00:58:14.681]  And we look at Harrison Smith and Owen Schroer and the hard work they engage in every day, five, six, seven days a week.
[00:58:15.642 --> 00:58:16.543]  It's really just incredible.
[00:58:17.552 --> 00:58:20.414]  So for myself and the whole InfoWars crew, I thank you for your past support.
[00:58:20.434 --> 00:58:26.179]  I only encourage you now to realize that InfoWars cannot stay on air if you do not support us.
[00:58:26.980 --> 00:58:38.249]  I know you spread the word, I know you pray for us, and that's wonderful, keep doing it, but most viewers and listeners never go to InfoWarsStore.com, and you never buy great products that enrich and empower your life, all at the same time keep us on air.
[00:58:38.929 --> 00:58:42.591]  I know that less than 1% of our listeners actually go buy products at MFORESTORE.com.
[00:58:43.252 --> 00:58:47.854]  If just 1% more of you took action and went to MFORESTORE.com, our funding problems will be over.
[00:58:48.194 --> 00:58:48.975]  Please take action now.
[00:58:49.451 --> 00:58:53.173]  Why do you think the globalists are desperately trying to censor everybody?
[00:58:53.493 --> 00:58:56.675]  Why are they attacking myself and Donald Trump and Elon Musk and everybody else?
[00:58:57.055 --> 00:59:01.537]  Because they can't get through this giant, megalomaniacal power grab if we're here exposing them.
[00:59:02.158 --> 00:59:04.299]  But we're not just exposing their operation.
[00:59:04.599 --> 00:59:12.583]  In my new book, we give you the solutions to build a new, better world, an alternative to Klaus Schwab's, you will eat the bugs.
[00:59:13.203 --> 00:59:14.524]  This is the Great Awakening.
[00:59:15.044 --> 00:59:18.945]  The plan to defeat the globalists and launch the second great renaissance.
[00:59:19.405 --> 00:59:20.886]  It's a companion to my last book.
[00:59:21.206 --> 00:59:22.946]  It was a number one worldwide bestseller.
[00:59:23.206 --> 00:59:25.727]  And this book is even thicker and even more powerful.
[00:59:26.067 --> 00:59:30.508]  Get your copy of The Great Awakening today at infowarestore.com.
[00:59:30.808 --> 00:59:32.249]  Either signed as a fundraiser.
[00:59:32.589 --> 00:59:33.389]  I thank you for the support.
[00:59:33.689 --> 00:59:34.289]  Or unsigned.
[00:59:34.489 --> 00:59:36.610]  But whatever you do, take action now.
[00:59:36.950 --> 00:59:37.990]  We're fighting for you.
[00:59:38.271 --> 00:59:40.111]  But we can't keep on if you don't support us.
[00:59:40.371 --> 00:59:42.532]  So please, get the historic book now.
[00:59:42.912 --> 00:59:43.352]  Go now.
[00:59:43.652 --> 00:59:46.435]  To InfoWarsTore.com and get The Great Awakening.
[00:59:46.696 --> 00:59:48.357]  The Great Awakening at InfoWarsTore.
[01:00:10.140 --> 01:00:14.083]  If you are receiving this transmission, you are the resistance.
[01:00:14.523 --> 01:00:16.885]  You're listening to Alex Jones.
[01:00:18.386 --> 01:00:23.550]  Again, I mean, they're killing people.
[01:00:24.371 --> 01:00:25.232]  And they think it's funny.
[01:00:25.852 --> 01:00:29.435]  And now they're gearing up for even more devastating attacks.
[01:00:31.533 --> 01:00:32.694]  I mean, this is life and death.
[01:00:32.734 --> 01:00:34.595]  They don't want to just rule over us and rob us.
[01:00:35.395 --> 01:00:36.036]  They want to kill us.
[01:00:36.096 --> 01:00:40.818]  So I got so upset last hour that I'm just beyond angry right now.
[01:00:42.179 --> 01:00:46.242]  And because I sit here and I read these documents and I've just got... I need to get to them.
[01:00:46.942 --> 01:00:47.983]  And we are.
[01:00:49.484 --> 01:00:57.028]  I'm just... It's just... This stuff is already public.
[01:00:57.088 --> 01:00:58.729]  Like, everyone should have this.
[01:00:58.849 --> 01:00:59.970]  Everybody should know all this.
[01:01:01.448 --> 01:01:03.588]  And I have to beg people to care.
[01:01:04.929 --> 01:01:07.509]  Because they've instilled in us such incredible selfishness.
[01:01:08.409 --> 01:01:09.710]  But it's beyond selfishness.
[01:01:09.810 --> 01:01:16.111]  It's like if you've ever been to the part of the country where nobody hunts deer and they're just walking right up to you.
[01:01:16.951 --> 01:01:19.491]  Now you go to the part of the country where people hunt them, the deer are hard to find.
[01:01:19.831 --> 01:01:21.252]  There are a lot of them there, but they're hiding.
[01:01:22.232 --> 01:01:22.892]  Or they're out at night.
[01:01:26.173 --> 01:01:27.373]  See, people are domesticated.
[01:01:27.393 --> 01:01:28.013]  It's like pigs.
[01:01:29.138 --> 01:01:36.322]  A normal pig, come right up to you, pat it on the head, even though you're going to be eating it in a week, is bacon, and ham, and sausage.
[01:01:38.323 --> 01:01:47.647]  But you take hogs, just in one or two generations, they have a couple, you know, litters a year, and they got long hair and big old tusks and are crazy and just meaner now.
[01:01:48.448 --> 01:01:53.791]  You shoot one of the hogs now, and you don't get to it right away, the other hogs eat it live.
[01:01:54.591 --> 01:01:55.111]  They eat it.
[01:01:56.652 --> 01:01:58.213]  They turn right on themselves and just eat it.
[01:02:00.046 --> 01:02:06.547]  And the globalists have created a domesticated population, but they don't really need you for anything anymore.
[01:02:06.707 --> 01:02:10.428]  They don't want you to have a swimming pool and go to college and have kids and go to church.
[01:02:10.448 --> 01:02:11.569]  They want you dead.
[01:02:12.409 --> 01:02:16.090]  And they have no respect for you because you won't admit they're doing it.
[01:02:18.170 --> 01:02:19.010]  I don't want their respect.
[01:02:19.070 --> 01:02:20.110]  I want them out of my life.
[01:02:20.210 --> 01:02:20.991]  I want them to go away.
[01:02:21.671 --> 01:02:22.791]  But they tried to hire me.
[01:02:22.851 --> 01:02:23.551]  They respect me.
[01:02:23.571 --> 01:02:26.992]  And they say the public's too dumb.
[01:02:28.188 --> 01:02:29.408]  You don't understand how dangerous they are.
[01:02:29.448 --> 01:02:30.569]  They've got to be gotten rid of.
[01:02:31.729 --> 01:02:36.471]  And in a way that's true, because the general public will become more and more evil like the globalists are.
[01:02:36.771 --> 01:02:38.192]  They're the biggest spoiled brats.
[01:02:38.252 --> 01:02:39.372]  They just know how stuff works.
[01:02:40.933 --> 01:02:41.653]  So, you're right.
[01:02:41.973 --> 01:02:51.317]  All this milk and honey has made people evil and lazy, and the globalists are the manifestation of that, looking at itself in the mirror, saying, we've got to get rid of these people, because they're going to eat us alive.
[01:02:52.837 --> 01:02:54.618]  Morality is what we need.
[01:02:56.246 --> 01:02:57.427]  Being good and honorable.
[01:02:57.667 --> 01:02:59.008]  And Lord knows I'm not perfect.
[01:02:59.028 --> 01:03:00.709]  Man, I've been around the block a lot, okay?
[01:03:01.749 --> 01:03:02.590]  But I know what's right.
[01:03:03.070 --> 01:03:04.871]  And I've gotten better and better as I get older.
[01:03:05.692 --> 01:03:09.574]  But with these globalists, they get worse and worse and worse.
[01:03:09.914 --> 01:03:11.435]  Fine wine gets better over time.
[01:03:12.376 --> 01:03:13.076]  Milk rots.
[01:03:14.657 --> 01:03:17.479]  And these globalists are like 20-year-old milk carton in the refrigerator.
[01:03:17.799 --> 01:03:18.819]  It's as hard as a rock.
[01:03:18.919 --> 01:03:20.781]  If you open it up, it stinks.
[01:03:21.921 --> 01:03:22.982]  Alright, I'm done with the metaphors.
[01:03:23.482 --> 01:03:24.563]  I'm gonna try to get my mind together.
[01:03:26.069 --> 01:03:31.333]  It's hard to read this stuff and know it all and then like come back and talk about it again because I'm upset, okay?
[01:03:31.393 --> 01:03:42.940]  And because there's like 10 groups at least, prestigious groups that have looked the numbers and say, depending on how you cut it, 17 to 23 million dead and it just keeps going up from the damn shot.
[01:03:45.441 --> 01:03:47.202]  And again, you can say, I don't care.
[01:03:48.482 --> 01:03:50.403]  Those are mothers and fathers and sons and daughters.
[01:03:50.443 --> 01:03:51.103]  They have families.
[01:03:51.323 --> 01:03:53.984]  But you understand how that weighs down on the culture?
[01:03:54.345 --> 01:04:03.588]  And do you understand that the medical system is being weaponized to know what's going on, and extract it, and the good nurses and doctors get out, and they bring in bad ones that'll do even worse stuff?
[01:04:03.828 --> 01:04:05.909]  This was a dry run for the big one!
[01:04:05.929 --> 01:04:09.811]  A dry run for the big one!
[01:04:14.557 --> 01:04:17.258]  Nuclear war, you could say is hypothetical, even though it's a serious danger.
[01:04:19.439 --> 01:04:26.883]  But, they already did this, and they are openly bragging how they're going to do it, and they've got all these movies out about how great it is when they kill all of us.
[01:04:27.223 --> 01:04:29.124]  And, I mean, folks, do you really want to die?
[01:04:29.144 --> 01:04:31.045]  I mean, do you really?
[01:04:31.785 --> 01:04:33.226]  You understand this is going on, right?
[01:04:34.607 --> 01:04:36.328]  And look, I know our general audience gets that.
[01:04:37.270 --> 01:04:38.571]  And you can say this is gloom and doom.
[01:04:38.631 --> 01:04:39.051]  No, it's not.
[01:04:39.392 --> 01:04:41.153]  This is going on, okay?
[01:04:41.493 --> 01:04:42.694]  It's positive we're on air.
[01:04:42.954 --> 01:04:44.456]  It's positive we're reaching a lot of people.
[01:04:44.776 --> 01:04:47.398]  And we've got to do it like our lives depend on it because they do.
[01:04:47.418 --> 01:04:48.979]  Okay, I'm going to zen out.
[01:04:51.621 --> 01:04:56.105]  I had a big brainstorm before the show and I just, I just, I'm going to get together.
[01:04:57.546 --> 01:04:58.947]  Your own government mass murdering is a big deal.
[01:05:00.222 --> 01:05:01.463]  These products have changed my life.
[01:05:01.783 --> 01:05:03.925]  Your brain force and all that make you better.
[01:05:03.945 --> 01:05:05.086]  They make you more focused.
[01:05:05.146 --> 01:05:06.227]  They make you feel better.
[01:05:06.247 --> 01:05:10.551]  A lot of lingering effects from when I was getting sober have now relieved me.
[01:05:10.691 --> 01:05:12.452]  My girlfriend goes to the gym and goes hard.
[01:05:12.472 --> 01:05:13.933]  She's on the turmeric and the same stuff.
[01:05:14.394 --> 01:05:15.915]  These products will change your life.
[01:05:16.396 --> 01:05:21.220]  They fund one of the greatest things out there right now for us as free Americans.
[01:05:21.380 --> 01:05:22.741]  Please do these people a favor.
[01:05:23.241 --> 01:05:24.142]  Go to their store.
[01:05:24.342 --> 01:05:25.263]  Support them.
[01:05:25.383 --> 01:05:26.223]  Do what you need to do.
[01:05:26.243 --> 01:05:30.246]  Because if we lose InfoWars, we lose a lot more than what people are willing to believe.
[01:05:30.346 --> 01:05:36.670]  If you want to really get in shape for this thing about to come, get the HGH and get that testosterone boost, man.
[01:05:36.690 --> 01:05:37.190]  Get in the gym.
[01:05:37.210 --> 01:05:39.892]  Because I'm in the best shape of my life because of your product.
[01:05:40.253 --> 01:05:45.996]  And I'm willing to do whatever it takes to not lose the greatest symbol against tyranny the world has ever seen.
[01:05:46.237 --> 01:05:47.377]  And that's our American flag.
[01:05:47.397 --> 01:05:48.458]  And with that, I appreciate.
[01:05:48.538 --> 01:05:49.279]  Love InfoWars.
[01:05:49.359 --> 01:05:51.360]  I'll listen to you the day I die or you go off air.
[01:05:51.380 --> 01:05:52.961]  But I'm going to do my part to make sure you don't have a heart attack.
[01:05:55.203 --> 01:05:58.766]  Have a great day.
[01:06:03.391 --> 01:06:07.415]  You are listening to an InfoWars.com Frontline Report.
[01:06:09.977 --> 01:06:13.881]  If you are receiving this transmission, you are the Resistance.
[01:06:21.483 --> 01:06:30.031]  From deep in the heart of FEMA Region 6, Austin, Texas, transmitting worldwide, it's Alex Jones.
[01:06:36.436 --> 01:06:42.482]  Alright, I'm going to lay out the most important information happening on our planet today, hands down, right now.
[01:06:45.495 --> 01:07:07.851]  Today I did another deep dive, collating the 10, 10 that I know of, major respected consortiums of academic scientists, top statisticians, insurance company actuarialists, the top names in the insurance companies, particularly, say there's 20 plus million dead from the COVID shots.
[01:07:09.573 --> 01:07:11.854]  The low number 17 mil and growing.
[01:07:12.475 --> 01:07:12.715]  All right.
[01:07:13.993 --> 01:07:30.697]  Now, because of New Zealand, it's the only country where we have the insider over the national database, one guy was over it, and he integrated it in with the shot database, and then the morbidity database, and it was people taking the shot that were dying.
[01:07:31.278 --> 01:07:32.538]  Now you can see it's happening.
[01:07:33.298 --> 01:07:39.760]  If everybody goes to a party and drinks the iced tea and everybody gets deathly ill, people look at their blood tests and they say, yeah, somebody put arsenic in the tea.
[01:07:41.431 --> 01:07:43.952]  Or if everybody dies, you test the tea and it's cyanide.
[01:07:45.233 --> 01:07:48.594]  You know, like everybody dies, the police go, test all this food, test this.
[01:07:49.054 --> 01:07:52.556]  And they go, yes sir, they put gloves on, mask on, they go test it, yeah, it's cyanide.
[01:07:53.136 --> 01:07:58.098]  So you don't even need to be a pathologist to know we had record deaths after the shots.
[01:07:58.398 --> 01:08:00.399]  It's the shots, not during COVID, the first year.
[01:08:02.398 --> 01:08:12.646]  But now we have the numbers from New Zealand, they're hiding them everywhere else, of the specific morbidity charts and the names versus the database of who took the shot.
[01:08:13.426 --> 01:08:15.708]  All in one database, because they're tracking you.
[01:08:18.250 --> 01:08:23.173]  And the statistician people, the expert, they start crying, because it's like, what?
[01:08:24.454 --> 01:08:30.499]  And then the government's battle to cover it up, because they're all singing to the WEF UN sheet of music.
[01:08:32.056 --> 01:08:35.159]  So thank God for Barry Young, who they're prosecuting.
[01:08:36.340 --> 01:08:40.204]  Tried to put him in prison for a decade for not releasing any names.
[01:08:40.244 --> 01:08:41.045]  He blacked those out.
[01:08:41.325 --> 01:08:44.368]  But he released the database, and now they want to put him in prison.
[01:08:46.230 --> 01:08:48.132]  So, think about that level of evil.
[01:08:48.212 --> 01:08:50.113]  Where are the big demonstrations to support him?
[01:08:50.254 --> 01:08:51.495]  The guy deserves a Medal of Honor.
[01:08:53.617 --> 01:08:56.680]  Because in a world of universal deceit, telling the truth is a revolutionary act.
[01:08:58.058 --> 01:09:16.534]  So, I'm not going to play the longer Brett Weinstein clip, I'm talking about the short one, where he just talks about this, then I'm going to show you some documents, and then I'm going to go into these breakdowns by these scientists, and we did talk to the scientist.
[01:09:17.395 --> 01:09:25.002]  He's going to be on the show either tomorrow or Tuesday, Dennis Rancourt, who helped put this international team together.
[01:09:26.443 --> 01:09:35.090]  And put out this report that's all the wrong government statistics around the world.
[01:09:36.792 --> 01:09:37.712]  That's just the synopsis.
[01:09:37.752 --> 01:09:41.035]  It's got links to other reports and breakdowns and everything's bibliographed.
[01:09:41.696 --> 01:09:46.660]  It's two-sided pages here and it's the same damn signature all across the world.
[01:09:46.940 --> 01:09:54.006]  I need to be a pathologist that if I walk up to you or somebody walks up to you and hits you full power with a hatchet and the carotid artery that you're probably gonna die.
[01:09:55.748 --> 01:10:06.096]  And then somebody hits you in the neck with a hatchet and cuts your carotid artery, hits the other one, you fall down, you're dead, and then they're like, you're not a doctor, you can't say he's dead, you don't know!
[01:10:06.457 --> 01:10:09.739]  But we do have the doctors now, and we have the government databases.
[01:10:10.220 --> 01:10:10.740]  They did it!
[01:10:13.362 --> 01:10:17.646]  You watch a car run off a cliff and blow up in flames at the bottom with people in it, you know they're dead.
[01:10:17.666 --> 01:10:22.430]  But we have the actual pathology reports.
[01:10:24.073 --> 01:10:24.854]  We have everything.
[01:10:25.054 --> 01:10:25.614]  We have them.
[01:10:26.795 --> 01:10:28.397]  And then people are like, man, aren't you happy?
[01:10:28.417 --> 01:10:30.478]  Boy, everybody really thinks you're cool!
[01:10:32.420 --> 01:10:37.484]  I mean, I guess it's great that I go to a restaurant or I go to the grocery store and thank you.
[01:10:37.504 --> 01:10:39.045]  It's like half the people.
[01:10:39.065 --> 01:10:39.746]  It's like Fight Club.
[01:10:39.786 --> 01:10:40.486]  Oh, great job.
[01:10:40.647 --> 01:10:41.047]  We're with you.
[01:10:41.067 --> 01:10:41.948]  We know they're all criminals.
[01:10:42.148 --> 01:10:43.129]  What are we going to do?
[01:10:43.149 --> 01:10:45.210]  I mean, so yeah, it's good people are waking up.
[01:10:45.611 --> 01:10:47.572]  But listen, I don't care about that.
[01:10:47.792 --> 01:10:49.754]  I want to stop them murdering my family.
[01:10:49.954 --> 01:10:50.935]  And I care about yours, too.
[01:10:51.155 --> 01:10:51.696]  But I'll tell you,
[01:10:54.369 --> 01:11:08.059]  I'm sitting there talking and playing board games with my six-and-a-half-year-old daughter today, and she's so sweet and innocent, and I just keep thinking about Bill Gates, and I'm just like, I'm like a caged tiger, like what am I gonna do?
[01:11:08.079 --> 01:11:13.404]  I mean, I'm just waiting for them to release another weapon, and he says it's imminent, starts laughing on TV about it?
[01:11:15.725 --> 01:11:22.951]  But we're taught to bow to authorities, so it's like, well, he's the guy on TV, and the Justice Department, they're just, no, they're a bunch of criminals at the top.
[01:11:24.525 --> 01:11:28.348]  Smuggling children into the country to do everything you can imagine to.
[01:11:28.408 --> 01:11:31.711]  I mean, we're rotten folks at the top.
[01:11:32.652 --> 01:11:33.272]  We're decadent.
[01:11:33.292 --> 01:11:36.235]  We're as evil as anything ever walked on this earth, okay?
[01:11:37.236 --> 01:11:39.898]  And now you wonder why we're getting total bondage and mass death.
[01:11:40.338 --> 01:11:42.660]  That's what crazy people do because there's a problem about evil.
[01:11:43.260 --> 01:11:43.721]  Skip the break.
[01:11:45.202 --> 01:11:46.143]  You study cycles.
[01:11:48.285 --> 01:11:49.586]  Bad times make strong men.
[01:11:52.488 --> 01:11:53.129]  And you know the story.
[01:11:54.246 --> 01:11:59.967]  Bad times make strong men, strong men make good times, good times make weak men, weak men make bad times.
[01:12:02.008 --> 01:12:03.208]  If you study history, you know that.
[01:12:06.369 --> 01:12:12.030]  But the cycles just go on for hundreds of years sometimes, usually about 88.
[01:12:12.110 --> 01:12:14.471]  And they're super cycles.
[01:12:16.031 --> 01:12:21.653]  But you can have some dictator that just wants a monopoly and power, maybe wants to take over a nearby country.
[01:12:24.611 --> 01:12:29.482]  And then they get their spoiled rotten group under them gets in power and then a psycho group.
[01:12:30.023 --> 01:12:34.833]  And then if there were older people in the establishment or old groups that didn't want to kill everybody.
[01:12:35.896 --> 01:12:42.562]  But because they're corrupt, they leave the corruption in place, so more evil people than them take over, and it's a synthesis.
[01:12:43.083 --> 01:12:45.505]  Like panning for gold, but they're panning for evil.
[01:12:45.925 --> 01:12:48.267]  You go down the river and you pan the silt and find little pieces of gold.
[01:12:48.648 --> 01:12:57.696]  No, evil and corruption and allowing corruption to grow is a synthesis that then gives you the purest, most psychotic killers you could ever have.
[01:12:58.797 --> 01:13:01.660]  And so that's why, at the end of a decadent cycle,
[01:13:03.715 --> 01:13:20.523]  They'll launch giant wars, they'll cut the food off, they'll just burn down their own city to kill the poor, they'll start murdering everybody, they'll order the first born killed, they'll erect temples and order children burned alive, because that's what they like to do!
[01:13:21.043 --> 01:13:22.864]  Because we didn't restrain them!
[01:13:27.886 --> 01:13:30.967]  So, what do pagans do?
[01:13:31.067 --> 01:13:32.268]  They have human sacrifice.
[01:13:33.643 --> 01:13:34.423]  What do pagans do?
[01:13:34.463 --> 01:13:35.484]  They don't value children.
[01:13:36.504 --> 01:13:38.985]  What does Western civilization and Christianity do?
[01:13:39.645 --> 01:13:40.365]  Value children.
[01:13:40.385 --> 01:13:42.346]  All right, I'm done explaining it.
[01:13:42.386 --> 01:13:44.766]  Let's go to the Weinstein clip.
[01:13:45.887 --> 01:13:47.087]  And the point is, this is all coming out.
[01:13:47.107 --> 01:13:54.069]  And then he went further in the clip we already played and said, the UN's got a world treaty with Big Pharma to shut everybody down and totally take over.
[01:13:54.729 --> 01:13:57.390]  And basically, it's impossible to overstate this.
[01:13:58.050 --> 01:14:01.772]  Obviously, they're getting ready to release something else again, and it's going to be just as bad or worse.
[01:14:01.932 --> 01:14:02.692]  Yeah, exactly.
[01:14:03.430 --> 01:14:08.495]  And you have to come to that understanding because they're saying they're about to do it and giggling and laughing.
[01:14:11.238 --> 01:14:12.098]  Alright, here's Weinstein.
[01:14:13.320 --> 01:14:37.219]  Um, there was a press, I was recently at a conference in Romania on the COVID crisis, and so there was a lot of work trying to unpack what we actually understand, and I saw a credible estimate of something like 17 million deaths globally from this technology, so... 17 million deaths from the COVID vax?
[01:14:38.237 --> 01:14:45.763]  Well, you know, when you scale up to billions, it's not hard to reach a number like that with a technology this dangerous.
[01:14:46.483 --> 01:14:52.548]  Now, to your deeper question, I think, let's steel man.
[01:14:52.568 --> 01:14:56.330]  So, just for perspective, I mean, that's like the death toll of a global war.
[01:14:56.391 --> 01:14:56.651]  Yes.
[01:14:57.712 --> 01:14:58.212]  Absolutely.
[01:14:58.872 --> 01:15:02.655]  This is a great tragedy of history.
[01:15:03.116 --> 01:15:04.196]  So, that proportion.
[01:15:05.457 --> 01:15:07.559]  And, amazingly,
[01:15:08.680 --> 01:15:10.301]  There is no way in which it's over.
[01:15:10.461 --> 01:15:14.803]  I mean, we are still apparently recommending these things for healthy children.
[01:15:14.823 --> 01:15:18.365]  Never stood any chance of getting any benefit from them.
[01:15:18.385 --> 01:15:27.691]  Every chance of suffering harms that are not only serious, but tragic on the basis that children have long lives ahead of them.
[01:15:27.831 --> 01:15:36.275]  If you ruin a child's immune system in youth, they have to spend the rest of their presumably shortened life in that state.
[01:15:37.336 --> 01:15:40.138]  Never made any sense that we were giving this to kids in the first place.
[01:15:40.558 --> 01:15:46.122]  The fact that we're still doing it when the emergency, to the extent there even was one, is clearly over.
[01:15:46.983 --> 01:15:53.647]  And when there's never been any proper justification of administering it to healthy kids.
[01:15:54.508 --> 01:15:55.649]  Healthy kids don't die of COVID.
[01:15:57.070 --> 01:15:59.832]  And the shot doesn't prevent you from catching or transmitting it.
[01:15:59.852 --> 01:16:03.114]  So there was just literally no justification you could come up with.
[01:16:04.386 --> 01:16:07.627]  All right, this is a 25-minute presentation I'm about to play.
[01:16:08.388 --> 01:16:11.349]  And they've got multi-day conferences are up there.
[01:16:11.409 --> 01:16:18.252]  There's a thread on my ex-account at Real Alex Jones where I posted this and where you can see this 25-minute report.
[01:16:18.732 --> 01:16:22.514]  If you follow that thread, it's got the full conference and the numbers.
[01:16:22.954 --> 01:16:32.158]  And then, again, here's the big report that links to all the government websites and insurance companies and shows you the numbers globally, okay?
[01:16:33.325 --> 01:16:34.645]  So that's 17 million dead.
[01:16:35.446 --> 01:16:37.486]  But first, I wanted to show you this.
[01:16:38.427 --> 01:16:41.308]  They also did about a nice, really good boil down.
[01:16:41.368 --> 01:16:44.329]  It's about 10 minutes long that I'm also going to be getting to.
[01:16:44.349 --> 01:16:45.109]  I thought I had it on the list.
[01:16:45.149 --> 01:16:45.569]  It's not there.
[01:16:45.629 --> 01:16:49.591]  So I'm there the longer clip first, but I'll get to the crew and we'll have it.
[01:16:49.951 --> 01:16:51.091]  But I wanted to show you this.
[01:16:51.731 --> 01:16:59.074]  This is FDA safety surveillance of COVID-19 vaccines draft working list of possible adverse event outcomes.
