[00:00:00.169 --> 00:00:01.470]  Synthetic.
[01:46:40.029 --> 01:46:44.912]  Have something that's not digital, that can't be tracked, that you own, that you can take with you.
[01:46:45.592 --> 01:46:48.076]  What if there's, you know, let's take a worst case scenario.
[01:46:48.096 --> 01:46:49.678]  We're seeing solar flares right now, right?
[01:46:49.738 --> 01:46:51.501]  What if the power grid goes out?
[01:46:51.581 --> 01:46:57.329]  What if there's communication disruption and you can't access... By the way, a bunch of satellites did go out.
[01:46:58.491 --> 01:46:59.012]  That did happen.
[01:46:59.592 --> 01:47:01.395]  Yeah, I mean, those kind of things are...
[01:47:02.344 --> 01:47:04.685]  Who knows why this is happening?
[01:47:04.705 --> 01:47:05.525]  I mean, God knows.
[01:47:06.005 --> 01:47:08.246]  But what about an EMP blast?
[01:47:08.286 --> 01:47:09.106]  What about anything?
[01:47:09.286 --> 01:47:10.746]  Anything digital that you have?
[01:47:10.786 --> 01:47:17.989]  Sure, gold and silver to me is like family you can trust, a relationship with God, a garden, some canned foods, and gold and silver.
[01:47:18.049 --> 01:47:21.950]  And again, I don't like the fight between crypto and precious metals.
[01:47:21.990 --> 01:47:24.330]  To me, it's another space you need to cover.
[01:47:24.370 --> 01:47:25.871]  I think gold and silver is more important.
[01:47:26.792 --> 01:47:30.637]  Because it is tangible, and possession's not against the law, and you've got to hold it.
[01:47:30.677 --> 01:47:41.532]  And I'm all for new systems to communicate, and Bitcoin, and I'm not for the central bank digital currencies and their own systems, but the attacks by the Bitcoin people against gold and silver is just stupid.
[01:47:41.872 --> 01:47:44.396]  And I can tell you behind the scenes, the folks that are in that are buying gold and silver.
[01:47:44.836 --> 01:47:49.058]  So, I mean, it's really just a box people need to check.
[01:47:49.398 --> 01:47:53.119]  And people say, well, how are you going to take a piece of silver or gold into a grocery store?
[01:47:53.440 --> 01:48:03.203]  No, when they're devaluing the currency, and everyone wants gold and silver, you can cash it in at that point for whatever inflation is, and gold will meet that, or silver will surpass that.
[01:48:03.504 --> 01:48:05.384]  So it's only a way to basically insure, in my view.
[01:48:05.684 --> 01:48:07.865]  I don't even see it as an investment, though it is a good one overall.
[01:48:08.205 --> 01:48:10.306]  I see it as just another emergency hedge.
[01:48:10.566 --> 01:48:11.827]  People recognize gold and silver.
[01:48:12.387 --> 01:48:17.948]  It's an insurance policy against a collapsing currency, against an inflated currency, against everything.
[01:48:18.248 --> 01:48:26.411]  To me, gold, Alex, is the perfect barometer of people distrusting the government.
[01:48:26.871 --> 01:48:29.391]  So, for example, you look back to the Reagan years.
[01:48:30.732 --> 01:48:32.012]  What happened during the Reagan years?
[01:48:32.572 --> 01:48:38.638]  Interest rates came down, jobs were created, taxes came down, the Cold War was over, the Berlin Wall came down.
[01:48:39.219 --> 01:48:46.265]  Remember, Newt Gingrich had this contract with America and Democrats and Republicans were actually talking and cutting deals together.
[01:48:46.646 --> 01:48:48.888]  It was like a fat and happy time for America.
[01:48:48.928 --> 01:48:49.509]  So therefore...
[01:48:50.109 --> 01:48:53.131]  What did gold do during that, really, 20 years?
[01:48:53.191 --> 01:48:59.995]  From 1982 until about 2002, it went from $250 an ounce to $258.
[01:49:00.496 --> 01:49:03.458]  It went up $8 in 20 years.
[01:49:03.718 --> 01:49:08.000]  That's nothing, but everything else was smooth sailing in America.
[01:49:08.040 --> 01:49:10.242]  It was almost like a renaissance for America.
[01:49:10.262 --> 01:49:10.982]  It was so good.
[01:49:11.443 --> 01:49:14.765]  But now, we can't say that the same is true right now.
[01:49:15.365 --> 01:49:16.825]  Everything is falling apart.
[01:49:16.865 --> 01:49:18.226]  We've got the opposite.
[01:49:18.666 --> 01:49:22.747]  And now we've got something even worse, which we didn't have back then.
[01:49:22.787 --> 01:49:25.408]  We haven't had this actually ever.
[01:49:25.848 --> 01:49:31.449]  And that is the BRICS nations, Alex, are taking over global monetary dominance.
[01:49:31.509 --> 01:49:34.490]  They've dismantled the petrodollar.
[01:49:35.010 --> 01:49:38.911]  And so now there's really no international demand for the US dollar.
[01:49:39.271 --> 01:49:41.812]  And therefore, every dollar that we print
[01:49:42.472 --> 01:49:42.813]  Is it?
[01:49:59.353 --> 01:50:06.234]  Martin Armstrong, an amazing forecaster, he does, you know, social forecasting, political, economic, all of that.
[01:50:06.814 --> 01:50:12.496]  He now says that we're in a wartime economy and these things don't end anytime real soon.
[01:50:13.036 --> 01:50:17.316]  And so when you're in a wartime economy, people start to act out of fear.
[01:50:17.797 --> 01:50:20.037]  People start to make different decisions.
[01:50:20.677 --> 01:50:24.178]  And this is where I look at these trends as well.
[01:50:25.878 --> 01:50:41.109]  What is going to happen when central bank digital currency comes and hits the mainstream, which is probably going to happen, Alex, as soon as September of this year, because the United Nations is meeting at their UN pact for the future.
[01:50:41.129 --> 01:50:42.931]  Oh, the EU said last year it's coming out this year.
[01:50:43.359 --> 01:50:58.449]  Yeah, and so I would say just because they're announcing that they're ready, World Economic Forum has said that 98% of the world is actually ready for central bank digital currency, doesn't mean that on day one all of these countries are going to be implementing it.
[01:50:58.469 --> 01:51:00.071]  Well, I played the clip from Davos last week.
[01:51:00.331 --> 01:51:04.654]  The central banker said, we're not going to call it CBDC, we're just rolling it out.
[01:51:05.895 --> 01:51:15.179]  They're taking the CBD part, the central bank digital part out of it and just calling it currency to make it mainstream so there's going to be broader acceptance.
[01:51:15.579 --> 01:51:19.920]  But that announcement is going to be made in September with the UN and their meeting in China.
[01:51:20.321 --> 01:51:28.624]  But probably within 12 months after that, you should see, I would say, almost full adoption of central bank digital.
[01:51:28.664 --> 01:51:29.884]  And won't they need a crisis?
[01:51:29.904 --> 01:51:31.685]  They've said this themselves to get this through.
[01:51:32.554 --> 01:51:32.794]  Yes.
[01:51:33.314 --> 01:51:47.320]  I mean, every time you have a public policy change in things, a change in the economy, a change in currency, you have to take either incremental steps for people to accept it, or something that's massive.
[01:51:47.740 --> 01:51:57.083]  Just in your face, things change, and people out of fear say, please- A cyber attack, a new virus, a bigger war, burning down the country.
[01:51:57.143 --> 01:51:58.964]  The Democrats said they're going to do that if Trump gets reelected.
[01:51:59.484 --> 01:52:00.245]  We're 170-something days out, folks.
[01:52:01.465 --> 01:52:02.385]  Yeah, or bank failure.
[01:52:02.405 --> 01:52:04.566]  I mean, all of those things could add into that.
[01:52:04.726 --> 01:52:06.027]  Oh, bank failure, you're right.
[01:52:06.067 --> 01:52:07.047]  That's the big one.
[01:52:07.247 --> 01:52:07.908]  You're betting on that.
[01:52:08.308 --> 01:52:11.269]  I'm betting on that, and I think, well, I wish it wouldn't happen.
[01:52:11.289 --> 01:52:12.310]  No, no, no, baby, you're betting it.
[01:52:12.350 --> 01:52:14.791]  But yeah, I'm guessing that that is going to happen.
[01:52:14.811 --> 01:52:16.531]  We're going to see a lot of bank failures this year.
[01:52:16.631 --> 01:52:22.334]  I think the Republic First Bank in Philly was the first one, and there's going to be many more that follow.
[01:52:22.354 --> 01:52:23.594]  So what's going to happen, Alex?
[01:52:25.995 --> 01:52:41.878]  The governments, the central banks of this world, in combination with the governments, are going to start demonizing all other decentralized blockchain cryptocurrencies because they are private, but they're going to want something that's centralized, that's not private.
[01:52:41.898 --> 01:52:44.939]  So they're going to go after Bitcoin, they're going to go after gold and silver, everything.
[01:52:45.199 --> 01:52:45.379]  Yeah.
[01:52:45.399 --> 01:52:50.520]  But the difference is they're going to go after the people supplying it, they're going to cut it off at the head, they're not going to try to confiscate it because it's only 2% or less.
[01:52:51.300 --> 01:53:01.792]  Yeah, if I were an evil politician, I wouldn't waste any time on trying to confiscate something that only 0.9% of the population owns like silver, or 2% of the population owns gold.
[01:53:02.293 --> 01:53:04.435]  I mean, Alex, if you were an evil politician,
[01:53:05.615 --> 01:53:06.876]  I would go after the masses.
[01:53:06.896 --> 01:53:08.337]  Oh, we're shutting down these corrupt people.
[01:53:08.717 --> 01:53:10.498]  They'll use a few bad apples to do it.
[01:53:10.538 --> 01:53:15.121]  Yeah, they'll do that to change how it's defined, to change what's legal and what's not legal.
[01:53:15.521 --> 01:53:17.082]  But they're going to go after the masses.
[01:53:17.322 --> 01:53:28.289]  If they want money because they're running out, I would go after the 98% of the population that has brokerage accounts, checking accounts, savings accounts, where it's low-lying.
[01:53:28.369 --> 01:53:29.470]  And that's called a bail-in.
[01:53:29.850 --> 01:53:33.575]  That's a bail-in and they've already legislated that, the Dodd-Frank bill under Obama.
[01:53:33.895 --> 01:53:35.517]  They've already legislated bail-in.
[01:53:35.537 --> 01:53:37.580]  This is not a dystopian future.
[01:53:37.600 --> 01:53:39.322]  This is not something that we're predicting.
[01:53:39.382 --> 01:53:40.423]  It's already here right now.
[01:53:40.964 --> 01:53:45.590]  All they need is the appropriate crisis, the government running out of money where they can institute a bail-in.
[01:53:46.071 --> 01:53:47.913]  So that is coming.
[01:53:49.602 --> 01:54:04.472]  Here's where I think we're on the precipice of a global tectonic shift in philosophy, in how our economy is run, how our government is run.
[01:54:07.674 --> 01:54:13.575]  A Scottish historian from the late 1700s named Alexander Tytler.
[01:54:13.635 --> 01:54:18.097]  So I'm going to go over his cycle of democracy.
[01:54:18.137 --> 01:54:22.578]  Now for everybody watching, I'm not saying that we're in a democracy.
[01:54:23.058 --> 01:54:24.658]  We have a republic.
[01:54:24.798 --> 01:54:25.378]  It's different.
[01:54:25.738 --> 01:54:27.039]  But listen to this trend.
[01:54:28.564 --> 01:54:36.228]  Yes, the trend is going to hold very true, and as we go through these steps, you're going to see how this plays out.
[01:54:36.268 --> 01:54:39.289]  So again, Alexander Tyler, Scottish historian from the late 1700s, he said,
[01:54:41.644 --> 01:54:44.925]  A democracy cannot exist as a permanent form of government.
[01:54:45.385 --> 01:54:50.866]  It can only exist until the voters discover that they can vote themselves largesse from the public treasury.
[01:54:51.526 --> 01:55:04.549]  From that moment on, the majority always votes for the candidates promising the most benefits from the public treasury, with the result that a democracy always collapses over loose fiscal policy, always followed by a dictatorship.
[01:55:05.089 --> 01:55:07.470]  So, as we're thinking about this, it's like,
[01:55:08.595 --> 01:55:10.375]  Dang, that's actually true.
[01:55:10.756 --> 01:55:17.357]  We're voting for people who are going to promise the most things, whether it's free health care, free this, whatever.
[01:55:17.617 --> 01:55:19.898]  People vote for politicians that give them stuff.
[01:55:20.658 --> 01:55:25.800]  So, the average age of the world's greatest civilizations has been 200 years.
[01:55:26.260 --> 01:55:26.860]  That's the average.
[01:55:26.880 --> 01:55:28.701]  So, when did we start as a nation? 1776.
[01:55:31.602 --> 01:55:39.128]  1876, 1976, so you're looking at 250 years into this experiment called America.
[01:55:39.248 --> 01:55:40.649]  And there's a fourth turning happening.
[01:55:40.949 --> 01:55:41.610]  Fourth turning?
[01:55:41.770 --> 01:55:43.531]  I mean, Neil Howe's book was incredible.
[01:55:43.551 --> 01:55:45.373]  It's all these megatrends are coming together now.
[01:55:45.693 --> 01:55:46.194]  All of them.
[01:55:46.254 --> 01:55:48.195]  It's like the convergence of a perfect storm.
[01:55:48.555 --> 01:55:50.137]  So listen to this cycle, though.
[01:55:50.217 --> 01:55:51.358]  It's a mega realignment.
[01:55:52.362 --> 01:55:53.263]  We're good to go.
[01:56:15.427 --> 01:56:17.011]  I mean, how true is that statement?
[01:56:17.592 --> 01:56:19.777]  With technology, everything is advancing.
[01:56:19.978 --> 01:56:22.483]  Knowledge is doubling at a very rapid clip.
[01:56:24.123 --> 01:56:28.967]  The cycle of democracy, the nations progress through a sequence.
[01:56:29.328 --> 01:56:34.152]  And let's use America as the example here because I think it'll give a great understanding to this.
[01:56:34.652 --> 01:56:49.444]  We go from bondage to spiritual faith, from spiritual faith to great courage, from courage to liberty, from liberty to abundance, from abundance to selfishness, from selfishness to apathy, and from apathy to dependence, and then dependence back into bondage.
[01:56:49.524 --> 01:56:52.367]  So let's play these out in our
[01:56:53.627 --> 01:56:56.870]  Nation so how did how did we become a nation?
[01:56:57.370 --> 01:57:04.636]  You know our our Ancestors came from Europe and they were looking for what they were looking for religious freedom.
[01:57:04.816 --> 01:57:16.805]  That's why they left They didn't like that oppression so from bondage to spiritual faith that spiritual faith led to great courage we fought the Revolutionary War and we won and that gave us Liberty and
[01:57:17.225 --> 01:57:19.187]  And then that liberty led to abundance.
[01:57:19.267 --> 01:57:20.429]  People started working.
[01:57:20.489 --> 01:57:22.431]  They could work in the fields.
[01:57:22.571 --> 01:57:28.477]  We started industry and people worked for a living and that created abundance.
[01:57:28.537 --> 01:57:32.922]  They weren't feudal slaves anymore that were working on somebody else's land but could never get out of it.
[01:57:33.523 --> 01:57:34.644]  They were actually free for the first time.
[01:57:34.884 --> 01:57:37.527]  Yeah, they didn't have to give everything they had back to the government.
[01:57:37.547 --> 01:57:41.811]  And this was why America was so great, because it gave us financial freedom.
[01:57:41.831 --> 01:57:46.296]  And now they could buy things, and buy land, and open a restaurant, or write a book.
[01:57:46.376 --> 01:57:47.697]  Now you had time to do something.
[01:57:47.777 --> 01:57:48.038]  Yeah.
[01:57:48.438 --> 01:57:58.008]  See, all of these freedoms that came when America started, what the Founding Fathers envisioned for us, personal freedoms, and political freedoms, and religious freedoms, and health freedoms, and all of that,
[01:57:58.148 --> 01:58:02.491]  And that's why the globals are attacking the American system because they're selling total tyranny, eat the bugs.
[01:58:02.711 --> 01:58:06.094]  They've got to discredit this system because people can't have something else to aspire to.
[01:58:06.414 --> 01:58:13.399]  Yeah, so view this human nature, this is just human nature, when you start to have abundance
[01:58:13.979 --> 01:58:15.340]  You start to get selfish.
[01:58:15.760 --> 01:58:16.941]  And it's like, mind, mind, mind, mind.
[01:58:16.981 --> 01:58:18.061]  I want to accumulate this.
[01:58:18.201 --> 01:58:19.622]  Greed just starts to set in.
[01:58:19.662 --> 01:58:20.743]  The decadence is setting in.
[01:58:20.823 --> 01:58:21.443]  Start over at the beginning.
[01:58:21.463 --> 01:58:21.944]  I'm interrupting.
[01:58:21.984 --> 01:58:22.984]  Start over at the beginning again.
[01:58:23.504 --> 01:58:25.906]  Because again, there's a shorter version of this.
[01:58:26.426 --> 01:58:28.407]  Hard times make strong men.
[01:58:28.707 --> 01:58:29.828]  Strong men make good times.
[01:58:29.868 --> 01:58:30.969]  Good times make weak men.
[01:58:31.249 --> 01:58:32.109]  Weak men make hard times.
[01:58:32.930 --> 01:58:35.091]  Yeah, that's a good paraphrase.
[01:58:35.131 --> 01:58:36.652]  So here's the progression.
[01:58:38.220 --> 01:58:39.600]  Bondage to spiritual faith.
[01:58:39.900 --> 01:58:41.461]  Spiritual faith to great courage.
[01:58:41.921 --> 01:58:42.901]  Courage to liberty.
[01:58:43.001 --> 01:58:44.041]  Liberty to abundance.
[01:58:44.521 --> 01:58:49.182]  Abundance to selfishness, where you just start collecting things for you and you stop giving it away.
[01:58:50.063 --> 01:58:51.743]  And then selfishness to apathy.
[01:58:52.263 --> 01:58:58.184]  Once your wallets get really thick and fat and you're just kind of smooth sailing through life, you get apathetic.
[01:58:58.224 --> 01:58:59.685]  What happens when you get apathetic?
[01:58:59.725 --> 01:59:00.625]  You stop caring.
[01:59:01.025 --> 01:59:02.185]  You stop voting.
[01:59:02.265 --> 01:59:05.026]  You stop listening to the things that are important because
[01:59:05.566 --> 01:59:06.967]  Your wallets are fat.
[01:59:07.088 --> 01:59:08.889]  You're stagnant.
[01:59:09.350 --> 01:59:18.939]  And then that apathy, though, when a period of apathy, you go back into dependence because you stopped caring and people got voted in that shouldn't have been voted in.
[01:59:19.360 --> 01:59:22.523]  And then that dependence leads back into bondage.
[01:59:22.943 --> 01:59:27.308]  And so in this cycle, where would you say that America is?
[01:59:27.428 --> 01:59:28.589]  I mean, going into bondage.
[01:59:29.049 --> 01:59:30.911]  We're in dependence back into bondage.
[01:59:30.971 --> 01:59:32.653]  We're at the last stage.
[01:59:33.173 --> 01:59:34.615]  So we go back into bondage.
[01:59:34.895 --> 01:59:39.240]  I think central bank digital currency is the financial form of bondage.
[01:59:40.181 --> 01:59:41.842]  You're going to have political bondage.
[01:59:41.862 --> 01:59:44.365]  You're going to have all of these things that you can't do this.
[01:59:44.405 --> 01:59:45.246]  You can't travel.
[01:59:45.626 --> 01:59:48.108]  We already saw the test of that with with COVID.
[01:59:48.769 --> 02:00:05.909]  You know, and everything that Dr. Judy was talking about before me on the show, and it's like... Oh, Davos admits, and they were at Davos, the WF last week, saying, we use COVID as training wheels for the COVID lockdowns and total control, and Germany's going to ban cars on the weekend this summer, now!
[02:00:06.270 --> 02:00:06.410]  Yeah.
[02:00:06.570 --> 02:00:08.512]  I mean, it's all going down, folks!
[02:00:09.012 --> 02:00:10.033]  Right in front of us!
[02:00:10.093 --> 02:00:31.471]  And so, you've got all these freedoms that are eroding, the political freedoms, our financial freedoms, our economic freedoms, our personal freedoms, and to me, the banking system, our ability to buy or sell when we want to, is the ultimate form of bondage in a financial form, and that's why I think we're right at the end of this cycle.
[02:00:31.811 --> 02:00:33.192]  And so, what comes next?
[02:00:33.393 --> 02:00:34.473]  So, Alex,
[02:00:35.274 --> 02:00:44.179]  If you go back to, you're a historian like I am, if you go back to 1776, what caused the Revolutionary War?
[02:00:44.239 --> 02:00:44.819]  What caused it?
[02:00:44.919 --> 02:00:46.620]  It was religious freedom.
[02:00:46.900 --> 02:00:52.023]  America was founded on a pro-God, pro-family movement.
[02:00:52.043 --> 02:00:53.563]  They wanted their freedoms.
[02:00:53.924 --> 02:00:55.925]  So same year, 1776, was also the French Revolution.
[02:00:58.826 --> 02:01:03.607]  The French Revolution, the peasants rose up and they wanted money to, you know, they wanted the government to take care of them.
[02:01:04.227 --> 02:01:07.068]  And that revolution, they won.
[02:01:07.348 --> 02:01:10.349]  And France to this day is still a socialist nation.
[02:01:10.369 --> 02:01:12.169]  Because it was communist, it wasn't our version.
[02:01:12.569 --> 02:01:14.210]  It was a completely different version.
[02:01:14.230 --> 02:01:15.790]  They didn't have the constitution we had or the leaders.
[02:01:15.850 --> 02:01:24.592]  Yeah, so I see us right now, this paradigm shifting moment, this time in history where it's like the tale of two revolutions and which one is going to win.
[02:01:25.132 --> 02:01:28.074]  Are we going to have another American-style revolution?
[02:01:28.374 --> 02:01:30.055]  Are we going to have a French-style revolution?
[02:01:30.075 --> 02:01:39.301]  And that's what Soros wants, is an off-of-their-heads, unending purge that goes on forever for our system, a whole new system of the Republic where everybody's rights are protected.
[02:01:39.621 --> 02:01:39.841]  Yes.
[02:01:40.442 --> 02:01:44.044]  And who gets to decide what's going on?
[02:01:44.584 --> 02:01:49.548]  You know, enough people wake up, enough people start smelling what's happening.
[02:01:49.588 --> 02:01:50.468]  But what you said is key.
[02:01:50.648 --> 02:01:52.009]  We're in a revolution whether you like it or not.
[02:01:52.349 --> 02:01:53.010]  It's who's going to win it.
[02:01:53.450 --> 02:01:53.650]  Yes.
[02:01:53.770 --> 02:01:59.317]  We're already in the Civil War, but it's not the people fighting over black versus white they want it to be, it's us versus the globalists.
[02:01:59.337 --> 02:01:59.698]  Start over.
[02:01:59.898 --> 02:02:02.521]  Yeah, and I think as we look at this...
[02:02:03.527 --> 02:02:05.248]  This is why you do what you do.
[02:02:05.268 --> 02:02:18.836]  This is why I do what I do economically, is to bring freedoms, to express this message of, yeah, you think you might want the government to take care of you, you think you might want them to give you money, but when they do that, you become a slave to them.
[02:02:18.896 --> 02:02:28.641]  You become in bondage to them, and if they can cut you off from buying or selling based on your ideology, this becomes, we're marching down the road... That's mind control!
[02:02:28.701 --> 02:02:29.462]  That's the ultimate!
[02:02:29.662 --> 02:02:30.785]  It is the ultimate mind control.
[02:02:30.805 --> 02:02:31.446]  It's a mark of the beast.
[02:02:31.887 --> 02:02:32.769]  You're a theologian too.
[02:02:32.989 --> 02:02:33.831]  Yeah, and I think...
[02:02:34.986 --> 02:02:40.728]  So, during times in history, you know, the Christian churches thought, oh my word, the mark of the beast is coming.
[02:02:40.748 --> 02:02:42.028]  By the way, you're not some lightweight theologian.
[02:02:42.068 --> 02:02:44.148]  You were on the board, like, focused on the family, all that stuff.
[02:02:44.408 --> 02:03:01.113]  Yeah, I served on Dr. Dobson's board for like seven years, but I operated in those circles, in those Christian conservative circles a lot, and I have a lot of friends in there, and you know, throughout time, even going back, people thought that Hitler was the Antichrist, people thought that,
[02:03:01.673 --> 02:03:02.113]  We're good to go.
[02:03:19.020 --> 02:03:21.061]  And you have to submit to get the mark.
[02:03:21.322 --> 02:03:24.604]  You have to worship the beast, which means total commitment to get the mark.
[02:03:24.624 --> 02:03:25.784]  People say, oh, it's just a mark.
[02:03:25.824 --> 02:03:27.726]  No, you have to follow what it says.
[02:03:27.786 --> 02:03:29.747]  Cut your son's genitals off.
[02:03:30.207 --> 02:03:31.488]  You've got to support pedophilia.
[02:03:31.508 --> 02:03:33.109]  You've got to support world government.
[02:03:33.129 --> 02:03:36.211]  You have to worship the beast to get the mark.
[02:03:36.671 --> 02:03:39.373]  Yeah, and so the mark of the beast isn't just for America.
[02:03:39.513 --> 02:03:40.534]  It's not just for Europe.
[02:03:40.594 --> 02:03:41.554]  It's not just for Africa.
[02:03:41.654 --> 02:03:42.795]  It's a global beast.
[02:03:42.815 --> 02:03:44.376]  And what is Klaus Schwab and all these guys?
[02:03:44.416 --> 02:03:45.197]  They are a beast.
[02:03:45.757 --> 02:03:46.778]  They are attacking us!
[02:04:02.162 --> 02:04:09.827]  The ability to cut people off digital via central bank digital currency and biometric identification to your bank accounts.
[02:04:10.327 --> 02:04:19.272]  Now this, to me, is the first time in history where a Mark of the Beast type system in that... How did people... How did John... I mean, I'm a Patmos Envisionist.
[02:04:19.312 --> 02:04:20.133]  That's God.
[02:04:20.653 --> 02:04:21.934]  I mean, this is happening.
[02:04:22.214 --> 02:04:22.894]  Hallelujah!
[02:04:23.074 --> 02:04:23.895]  We're eternal spirits.
[02:04:23.935 --> 02:04:24.755]  I've already seen it myself.
[02:04:24.815 --> 02:04:27.137]  I don't... Most people don't get to have the experience I've had.
[02:04:27.177 --> 02:04:30.239]  God's blessed me to actually really show me stuff and tell me stuff so I know God's real.
[02:04:30.879 --> 02:04:32.601]  Both of you are like, oh, I don't know if it's real or whatever.
[02:04:32.641 --> 02:04:36.123]  No, God's real, your eternal spirit, but also, we're gonna go through this.
[02:04:36.464 --> 02:04:38.686]  Like, this is real, people, and you're seeing it happen.
[02:04:38.906 --> 02:04:40.727]  How did somebody 2,000 years ago envision this?
[02:04:40.947 --> 02:04:42.969]  How did Ezekiel 3,000 years ago envision this?
[02:04:43.489 --> 02:04:44.630]  How did Daniel envision this?
[02:04:45.251 --> 02:04:50.715]  Only with God, who knows the beginning from the end, and there is, God transcends time.
[02:04:51.696 --> 02:05:04.223]  So, of course, when God is seeing something, he's seeing the past, the present, and the future all at one time, and he's speaking that into the prophets, and they're just repeating it, and so... So God gives us free will, but he gives us a cheat sheet.
[02:05:05.223 --> 02:05:07.865]  He tells you, okay, you've got free will, by the way, this is what's going to happen.
[02:05:09.065 --> 02:05:10.586]  He knows what... This is what a father would do.
[02:05:11.206 --> 02:05:15.609]  I'm giving you free will, you're a new free creature, but I'm going to give you lessons and tell you how this works.
[02:05:16.049 --> 02:05:16.949]  Why would you not listen to the father?
[02:05:17.830 --> 02:05:19.571]  I mean, of course... Listen to our father.
[02:05:21.240 --> 02:05:30.823]  He tells us, in his word, how to live, how to survive, how to thrive, and he didn't say, Alex, ever, that this was gonna be an easy path.
[02:05:31.703 --> 02:05:33.964]  In fact, he said it was gonna be opposite.
[02:05:34.044 --> 02:05:38.445]  He said, hey, you're gonna be, Jesus said, you're gonna be persecuted when you follow me, right?
[02:05:38.505 --> 02:05:42.646]  But the end result is this amazing life of peace.
[02:05:42.666 --> 02:05:45.347]  We're given the keys to the universe after the boot camp.
[02:05:45.727 --> 02:05:47.027]  This is Marine Corps boot camp.
[02:05:47.147 --> 02:05:47.347]  Yeah.
[02:05:47.627 --> 02:05:48.828]  And God's like, it's gonna be tough now.
[02:05:49.841 --> 02:05:50.862]  The keys are waiting right here.
[02:05:51.422 --> 02:05:54.424]  Yeah, and just like the disciples, what are we called to do?
[02:05:54.464 --> 02:05:56.306]  We're called to be light in this dark world.
[02:05:57.487 --> 02:05:59.808]  You're a light in this dark world by spreading this message.
[02:06:00.469 --> 02:06:02.170]  I do financial stuff.
[02:06:02.330 --> 02:06:11.537]  Everybody watching this show has the ability to be light to your neighbor in your workplace, everywhere, and the only way that this message of hope
[02:06:12.037 --> 02:06:12.797]  Which there is hope.
[02:06:13.038 --> 02:06:17.560]  Just because we're talking about garbage and what the government's doing, we didn't create that.
[02:06:18.060 --> 02:06:23.203]  We're talking about how do you not just... We're talking about the problems so we can avoid it, but again, think about that.
[02:06:24.424 --> 02:06:25.685]  God is eternal.
[02:06:26.085 --> 02:06:29.126]  God can make new creatures that have free will that are eternal.
[02:06:29.827 --> 02:06:31.208]  They weren't before, but they're now made.
[02:06:31.228 --> 02:06:32.108]  That's beautiful.
[02:06:32.869 --> 02:06:34.609]  How do you test an eternal creature?
[02:06:34.910 --> 02:06:38.532]  You put it in a body, you put it under stress, you put it there to see what it's going to do.
[02:06:39.272 --> 02:06:40.432]  I mean, it's right there, folks!
[02:06:40.472 --> 02:06:40.872]  That's it!
[02:06:41.012 --> 02:06:41.492]  It's real!
[02:06:41.512 --> 02:06:43.133]  I mean, we are eternal!
[02:06:43.293 --> 02:06:43.653]  Done!
[02:06:43.673 --> 02:06:46.013]  There should be no discussion!
[02:06:46.053 --> 02:06:46.794]  Do what God says!
[02:06:47.294 --> 02:06:49.594]  Yeah, I mean, tested by fire.
[02:06:49.614 --> 02:06:52.435]  I mean, so what will survive?
[02:06:53.155 --> 02:06:55.035]  Things that have eternal value.
[02:06:55.555 --> 02:06:59.196]  You know, you can't really take anything with you, ever, except your reputation.
[02:06:59.756 --> 02:07:02.617]  And I want to hear, Alex, when I'm done,
[02:07:03.397 --> 02:07:12.628]  On this earth, and I meet Jesus face-to-face on Judgment Day, and I look into his fiery eyeballs, I want him to say, well done my good and faithful servant, with you I am well pleased.
[02:07:13.029 --> 02:07:13.169]  Right?
[02:07:13.209 --> 02:07:18.816]  Because if I don't hear that, if you don't hear that, nobody that hears anything...
[02:07:19.116 --> 02:07:25.060]  If you don't hear those words, you're not going to like the other words that come out of the great judge's mouth, right?
[02:07:25.480 --> 02:07:29.382]  So here's where we go through life and we spread this message of hope.
[02:07:29.422 --> 02:07:33.765]  We give solutions to eliminate and melt away people's fear.
[02:07:34.165 --> 02:07:39.448]  Fear is a tactic of the enemy to actually get people to do something that they don't want to do.
[02:07:39.769 --> 02:07:41.650]  So fear will cause you to not act.
[02:07:41.710 --> 02:07:43.411]  Fear will cause you to make a wrong decision.
[02:07:43.751 --> 02:07:45.572]  But God didn't give us a spirit of fear.
[02:07:45.592 --> 02:07:48.554]  He gave us a spirit of a sound mind and wisdom and creativity.
[02:07:48.994 --> 02:07:58.318]  And everything that the Creator of the Universe instills in each and every one of us, we can operate in that amazing anti-spirit of fear.
[02:07:58.458 --> 02:07:59.398]  It's faith, Alex.
[02:07:59.539 --> 02:08:04.921]  It's love and commitment and loyalty and honor and
[02:08:05.601 --> 02:08:06.102]  Freedom.
[02:08:06.623 --> 02:08:08.086]  I mean, literally, it's freedom.
[02:08:08.126 --> 02:08:11.511]  This is what the founding fathers envisioned for this country.
[02:08:11.531 --> 02:08:13.014]  That's all Satan offers is slavery.
[02:08:13.415 --> 02:08:15.739]  And we've deviated from that so much.
[02:08:16.159 --> 02:08:19.225]  To me, it's like, it's no wonder we are where we are in this country.
[02:08:20.673 --> 02:08:23.874]  It's surprising we've gone this far and God hasn't blown us up.
[02:08:24.614 --> 02:08:25.595]  I mean, seriously.
[02:08:27.155 --> 02:08:34.437]  It's mind-numbing to me that God has tarried so long, but He's a God that's full of grace.
[02:08:34.477 --> 02:08:35.918]  He's a God that's full of mercy.
