[00:00:00.549 --> 00:00:01.970]  Comparisons to HIV.
[00:52:26.595 --> 00:52:33.678]  And knowing that so much with the globalists that we're planning had not been implemented yet, and hoping we could stop its implementation.
[00:52:34.718 --> 00:52:37.639]  Well, we've held them back in some ways, but not in many others.
[00:52:37.939 --> 00:52:48.796]   And I have a real sense of horror and a sense of Regret?
[00:52:50.698 --> 00:52:51.819]  And a sense of pain.
[00:52:55.502 --> 00:52:58.744]  Because it's one thing to know they're evil and had great control before.
[00:52:59.205 --> 00:53:10.674]  It's another thing to see them with almost total planetary control right now, directly carrying out operations that were only on the blackboard, or only theoretical before.
[00:53:10.814 --> 00:53:16.299]  And then it is so... Frustrating is not even the word.
[00:53:16.999 --> 00:53:17.820]  It's painful.
[00:53:20.034 --> 00:53:34.180]  To know that we know what we're talking about in a sea of ignorance and to know that we have done our research and to know how easy it is to beat this if people simply transcend it and see the scam and see the paradigm.
[00:53:35.600 --> 00:53:48.045]  But people are so caught up in the political distractions that they just can't emotionally disconnect from their preconceived notions and really try to find the truth.
[00:53:50.017 --> 00:54:02.885]  And I've learned that so many of my issues are, I love to cover all the little factoids and pieces of something, which is important to do in a document to prove it for people.
[00:54:03.785 --> 00:54:10.169]  But where I'm really successful is when I just give a quick definition and a boil down or a gestalt.
[00:54:12.421 --> 00:54:16.522]  And then people can then go, oh, I see that, and then they can go research it themselves.
[00:54:17.002 --> 00:54:23.664]  And so many times I've learned it's better to say, hey, here's a couple pieces of data, why don't you go find it yourself?
[00:54:23.744 --> 00:54:53.367]   I've noticed on X, if I say, I could show you this document right now, where Fauci admits to creating gain-of-function bioweapons, but instead I'm just going to talk about it, And I'm going to challenge everybody under me to comment, and instead of them getting 300,000 views, it'll get 5 million, and there'll be hundreds of posts with documents, not just showing the one gain-of-function statement by Fauci that I mentioned, but showing 50 or 60.
[00:54:54.467 --> 00:54:58.728]  And I love watching the people on X go, Jones, you missed this one.
[00:54:59.149 --> 00:55:00.149]  You missed that one.
[00:55:01.164 --> 00:55:19.155]  See, I've learned, instead of me coming in and saying, I printed off 60 examples of him, 10 video examples and 50-something documents and emails of his, where he creates weaponized illegal viruses and says we need to legalize it and he's proud of it, prior to COVID.
[00:55:22.076 --> 00:55:34.793]   But if I just come as a riddle and say, why don't people post in this thread, Where Fauci talks and admits about doing illegal gain of function, then everybody gets engaged.
[00:55:35.313 --> 00:55:39.975]  So I guess as I get older, I learn that people don't want to be told what's going on.
[00:55:42.316 --> 00:55:47.599]  They just want to hear about what's going on and then be directed to, hey, maybe you might want to go look over there.
[00:55:50.940 --> 00:55:51.501]  See what I'm saying?
[00:55:53.702 --> 00:55:56.503]  And so I sit here as a person that's so straightforward.
[00:55:57.421 --> 00:56:03.663]  That just delivers bombshell, after bombshell, after bombshell, which is there to be seen and researched.
[00:56:06.284 --> 00:56:09.466]  But what people want is a riddle wrapped in an enigma.
[00:56:11.026 --> 00:56:14.327]  And then if you make it hard for them, you know, they've done studies with octopus.
[00:56:14.908 --> 00:56:20.069]  Octopus are amazing, smart creatures, they only live on three years, no matter how big or small they are, they all have the same programming.
[00:56:20.350 --> 00:56:26.512]  Little octopus, giant octopus, ten-foot-long octopus, tiny little octopus smaller than a quarter, they only live three years.
[00:56:27.901 --> 00:56:36.848]  You can throw into a tank with an octopus a squid inside a bottle that's hard to get and a live squid that's easy to get.
[00:56:37.408 --> 00:56:46.435]  He'll leave or she'll leave the big juicy squid that you can go eat right away or the crab you can go eat.
[00:56:47.135 --> 00:56:48.516]  It wants to get in the bottle.
[00:56:48.656 --> 00:56:49.537]  It wants the riddle.
[00:56:49.877 --> 00:56:53.180]  It wants to work for what it's getting because it's fun for it.
[00:56:53.991 --> 00:56:54.651]  And that's what we know.
[00:56:54.671 --> 00:56:59.352]  When everything's just given to you, it creates a destroyed society, a decadent, violent society.
[00:56:59.512 --> 00:57:05.912]   But octopus, octopi, have it built into them where they don't even want to be hand-fed something.
[00:57:05.912 --> 00:57:15.431]   But I guess Jesus said, or people have taken the parable of the fish.
[00:57:15.636 --> 00:57:19.357]  Jesus made loaves of bread and fish and more fish, as Jesus didn't say.
[00:57:19.657 --> 00:57:20.437]  But it's been said.
[00:57:23.581 --> 00:57:30.125]  You can give a man fish, and I guess he'll thank you, or you can teach a man how to fish, and you'll change his whole life.
[00:57:31.826 --> 00:57:35.368]  And the globalists don't want to teach you how to fish.
[00:57:35.949 --> 00:57:37.690]  They want you domesticated.
[00:57:38.290 --> 00:57:46.555]  But I realize more and more, just coming in here and delivering on a silver platter everything, people are like, oh, there's no way that guy knows all that.
[00:57:46.595 --> 00:57:49.697]  There's no way, you know, because you're used to so many opinions, right?
[00:57:53.712 --> 00:57:55.773]  That's probably just this guy's opinion, right?
[00:57:57.413 --> 00:57:58.834]  Probably just something he's just saying.
[00:57:58.854 --> 00:57:59.554]  I mean, what does he know?
[00:58:00.334 --> 00:58:00.854]  And that's good.
[00:58:00.894 --> 00:58:01.455]  That's healthy.
[00:58:01.915 --> 00:58:17.180]  But all I'm asking you to do is to please, for God's sakes, research this information for yourself.
[00:58:18.752 --> 00:58:21.333]  Because I've got about a 98% accuracy rate.
[00:58:22.273 --> 00:58:25.173]  And usually when I'm wrong, it's because it's worse than I said, okay?
[00:58:27.694 --> 00:58:30.914]  And I'll be completely honest.
[00:58:30.934 --> 00:58:32.055]  I wouldn't call it depression.
[00:58:32.855 --> 00:58:39.456]  I am physically ill over how bad things are.
[00:58:40.136 --> 00:58:44.297]  Because I know we can change it.
[00:58:47.119 --> 00:58:55.524]  I know we can fix it, but again, it's like, I can't think of an analogy.
[00:58:55.885 --> 00:59:03.470]  It'd be like you show up at a party, the party's been going on for two hours, there's a $5,000 prize for whoever can see the hidden image in a painting.
[00:59:06.511 --> 00:59:07.952]  And you walk in, you go, what's going on?
[00:59:09.602 --> 00:59:12.325]  And they go, oh, there's a contest here.
[00:59:12.365 --> 00:59:14.226]  Can you find the whatever in this painting?
[00:59:14.487 --> 00:59:16.709]  And you instantly see it and you win the money.
[00:59:17.550 --> 00:59:20.252]  People say, oh, you must have been given the answer before you got here.
[00:59:22.694 --> 00:59:31.423]  And I'm just sitting here trying to get people to be able to see stuff for themselves.
[00:59:33.050 --> 00:59:42.375]  And to transcend and get above the rat's maze and understand how they control you so they can't keep doing this over and over again.
[00:59:42.835 --> 00:59:49.799]  Because the people that want to control you, the people that want to dumb you down, are the very worst of us.
[00:59:51.400 --> 01:00:01.205]  All right, I kind of preached there and it's more of a philosophical, intellectual debate.
[01:00:02.923 --> 01:00:08.363]   But just for the life of me, I don't understand why if I say right now,
[01:00:08.363 --> 01:00:21.403]   I want everyone to go research Anthony Fauci promoting gain of function and running conferences
[01:00:21.403 --> 01:00:26.363]   called in defense of gain of function and promoting the legalization of illegal operations and then
[01:00:26.363 --> 01:00:29.723]   lying to Congress later and saying he never did it, doesn't know what they're talking about.
[01:00:29.939 --> 01:00:33.321]  If I just sit here and show you him saying it, no one cares!
[01:00:34.042 --> 01:00:40.104]  Because I have clips today of him saying, I've never done gain of function, nobody does it, you're crazy, it's insane.
[01:00:40.384 --> 01:00:49.447]  We have all the clips of him on C-SPAN years before saying we need to legalize gain of function, and I've directed gain of function with pathogens to make them stronger.
[01:00:49.807 --> 01:00:53.648]  So I have videos of him saying it, and then I have videos of him denying it.
[01:00:55.929 --> 01:00:59.270]  But if I play it, it's worse, then no one cares.
[01:00:59.290 --> 01:01:00.010]  So I'm not going to play it.
[01:01:01.690 --> 01:01:06.653]  In fact, if I say I'm covering it up, then everyone will want it.
[01:01:07.053 --> 01:01:10.735]  In fact, no one is allowed to see Foushee promoting Aina Function.
[01:01:11.736 --> 01:01:13.017]  Do not go look it up.
[01:01:13.537 --> 01:01:18.420]  Do not pull it up in white papers in his emails from lawsuits and him on C-SPAN years ago saying it.
[01:01:18.780 --> 01:01:21.722]  Just do not, do not even go look it up.
[01:01:22.883 --> 01:01:25.483]  And I'm kind of getting psychological here just because...
[01:01:25.483 --> 01:01:32.482]  I don't operate like that.
[01:01:32.537 --> 01:01:37.259]  30-something years ago, I'm giving books about the U.N.
[01:01:37.279 --> 01:01:40.942]  and the global government plan to take over the food and cut it off and break up the family and do all this.
[01:01:41.242 --> 01:01:43.363]  And I thought, I'm going to see if these books are real.
[01:01:43.903 --> 01:01:53.569]  I'm going to go to the law library, because I don't want people in places that have it, little libraries that don't have it, and I would go down to the UT library when I was like 17 in high school.
[01:01:54.089 --> 01:02:00.072]   And I remember they had people come out of the back and look at me and say, You know that's not in our regular library, but why are you interested in it?
[01:02:00.592 --> 01:02:01.853]  I'd tell them, they would get really excited.
[01:02:01.873 --> 01:02:03.735]  They'd say, that's in the stacks.
[01:02:04.235 --> 01:02:07.058]  What you see in this library is like 5% of what we got.
[01:02:07.558 --> 01:02:12.503]  Come back next week and bring $20 and we'll copy it all for you.
[01:02:13.143 --> 01:02:20.070]  And then they would, and you'd see me do it on air, and they'd give me a big giant envelope, big giant thing full of all the scanned documents.
[01:02:22.057 --> 01:02:25.219]  Of everything I would read in those John Birch Society books, and it was all real.
[01:02:25.580 --> 01:02:29.542]  Every damn date, every damn thing they said, every congressional record.
[01:02:30.843 --> 01:02:39.930]  I wanted to know in 1962 in a congressional hearing if Spangler said everyone will take allegiance to Lucifer in the world government in front of a Senate hearing.
[01:02:40.350 --> 01:02:42.672]  And sure as hell, it's in the congressional record.
[01:02:44.032 --> 01:02:48.576]  Because in 1992, baby, there wasn't an internet where you could go get that.
[01:02:49.312 --> 01:02:50.254]  You had to go to a library.
[01:02:50.094 --> 01:02:54.153]   And imagine you gotta wait a week, you go down there, they hand it to you, you flip
[01:02:54.153 --> 01:02:58.034]   through it, and you're looking at the congressional record, and they're in there pledging allegiance
[01:02:58.034 --> 01:03:05.954]  to Lucifer.
[01:03:05.954 --> 01:03:08.313]   And then you're like, "I gotta get on talk radio and warn people."
[01:03:08.886 --> 01:03:09.966]  Start calling talk radio.
[01:03:10.006 --> 01:03:10.966]  Who's this kid calling?
[01:03:11.026 --> 01:03:12.187]  Oh, shut up, nut.
[01:03:12.527 --> 01:03:13.647]  You're not going to.
[01:03:14.527 --> 01:03:24.810]  But what's crazy is back then though, when I finally got on air and I finally showed those documents, people were blown away because then you couldn't get it anywhere.
[01:03:28.771 --> 01:03:32.210]  So why have I just built this up for 15 minutes?
[01:03:32.210 --> 01:03:33.211]  14 minutes?
[01:03:33.211 --> 01:03:39.971]   I have a stack of news here today that I didn't even look for.
[01:03:40.798 --> 01:03:43.660]  The themes just make themselves because it's all coming out at the same time.
[01:03:46.221 --> 01:03:52.064]  Where not just our governments, but governments around the world are saying, we're not doing radiation testing anymore.
[01:03:52.564 --> 01:03:54.365]  We're not doing vaccine testing anymore.
[01:03:54.765 --> 01:03:56.566]  We're not doing GMO testing anymore.
[01:03:57.147 --> 01:03:58.687]  We're not checking anything.
[01:03:59.228 --> 01:04:00.068]  We don't care.
[01:04:00.328 --> 01:04:02.389]  We're going to approve anything and everything now.
[01:04:02.689 --> 01:04:04.450]  We're going to do secret testing on the public.
[01:04:04.770 --> 01:04:05.451]  We don't care.
[01:04:07.273 --> 01:04:18.813]  And again, I've got the Fauci C-SPAN hearings in 2017 and 18, when he's up there with all the federal regulators, and it's like he's a little circus manager.
[01:04:20.509 --> 01:04:22.130]  He's like the circus conductor.
[01:04:22.611 --> 01:04:24.372]  What do we call the head of the circus?
[01:04:25.212 --> 01:04:25.713]  Ringleader.
[01:04:25.793 --> 01:04:26.193]  Ringleader.
[01:04:27.014 --> 01:04:31.697]  And he's up there ring leading the elephants and the tigers and the bears and the clowns.
[01:04:32.177 --> 01:04:36.140]  And they're like, we're going to blow up the old system of regulation and approval of drugs.
[01:04:36.580 --> 01:04:38.942]  We're just going to have carte blanche to test on the public.
[01:04:39.162 --> 01:04:41.364]  And we're going to use a virus out of China to do it.
[01:04:41.684 --> 01:04:43.165]  I probably played that clip 20 times here.
[01:04:44.206 --> 01:04:49.910]  But because I don't show it to you, you're all going to go find it, put it on X. I show it, you don't care.
[01:04:52.654 --> 01:04:53.714]  But I will show you the new stuff.
[01:04:55.055 --> 01:04:55.615]  I got a new rule.
[01:04:55.655 --> 01:04:57.696]  I'm gonna show something like 15 times and that's it.
[01:04:59.757 --> 01:05:04.919]  So... Here's what I'm getting at.
[01:05:04.959 --> 01:05:05.899]  I got a bunch of other stuff to hit.
[01:05:07.680 --> 01:05:08.860]  The overhead shot, please.
[01:05:10.501 --> 01:05:11.822]  You see these stacks right here?
[01:05:12.022 --> 01:05:12.822]  You see this stack?
[01:05:13.062 --> 01:05:14.143]  You see this stack right here?
[01:05:16.003 --> 01:05:19.825]  Every one of these is a bombshell video of Nightmare Proportions.
[01:05:21.984 --> 01:05:22.985]  At a bombshell document.
[01:05:23.845 --> 01:05:24.065]  Okay?
[01:05:25.106 --> 01:05:25.766]  I mean, look at this one.
[01:05:26.626 --> 01:05:29.808]  FBA's new rule allows for medical research without informed consent.
[01:05:30.208 --> 01:05:32.449]  At least it's now all officially public.
[01:05:36.351 --> 01:05:39.532]  That's the Epoch Times linked right through to the FDA press release.
[01:05:40.432 --> 01:05:43.374]  They even tell you in the fine print, we gonna hurt your ass.
[01:05:44.874 --> 01:05:47.996]  The left's all pissed off about testing on rats and dogs and stuff.
[01:05:48.863 --> 01:05:57.211]  Uh, and I don't particularly like it with the dogs, but, you know, with Fauci, we tortured the dog's death with flesh-eating worms, but... By the way, if you're a new viewer, that's... I didn't just say that for a fact.
[01:05:57.231 --> 01:05:57.831]  That's... that's true.
[01:05:59.053 --> 01:05:59.873]  That's his enjoyment.
[01:06:00.334 --> 01:06:06.700]  But... You know, maybe I shouldn't even cover these taxes.
[01:06:06.740 --> 01:06:07.320]  I'm serious!
[01:06:07.360 --> 01:06:08.902]  Like, people don't care!
[01:06:10.303 --> 01:06:13.266]  But what I'm really doing is like a dog, and I'm comparing myself to a dog, too.
[01:06:15.270 --> 01:06:16.833]  You give a dog a rope, it starts jerking it.
[01:06:16.873 --> 01:06:17.594]  Now it wants to fight.
[01:06:17.634 --> 01:06:18.195]  Now it wants it.
[01:06:18.616 --> 01:06:19.537]  So I'm obviously can't have it.
[01:06:19.778 --> 01:06:20.198]  Can't have it.
[01:06:21.821 --> 01:06:22.242]  Can't have it.
[01:06:22.262 --> 01:06:24.646]  Because I want people to get excited about this.
[01:06:25.638 --> 01:06:39.580]  I want people to get upset about the government announcing, which I've been telling you for years is their plan, because I saw Fauci say it, that you're a guinea pig now, and we're going to test on you whatever we want, whenever we want, however we want, and how incredibly insane that is.
[01:06:40.020 --> 01:06:49.542]  Oh, and the head of the WHO's out panicking, going, everyone hates us, no one believes us, we don't have a treaty to take over, we don't have a treaty to run your life.
[01:06:51.222 --> 01:06:54.123]  He goes, it is your governments that are agreeing.
[01:06:57.003 --> 01:06:59.084]  Oh, it's your government did it to you.
[01:06:59.624 --> 01:07:03.766]  The treaty says all that, but his point is we didn't make you do it.
[01:07:03.826 --> 01:07:06.547]  It's your government that signs on to it.
[01:07:06.587 --> 01:07:13.811]  When they ratify it, it becomes their law to have them take you out of your house or forcibly inject you or arrest you for your speech.
[01:07:14.311 --> 01:07:15.731]  I've got his ass again.
[01:07:15.551 --> 01:07:24.551]  So, let's get started here.
[01:07:25.094 --> 01:07:33.620]  And obviously tomorrow I got more time, I'm gonna drill into this, but this is Debra Briggs, former high-level CDC, then on Trump's task force.
[01:07:33.980 --> 01:07:36.342]  She admitted she lied to Trump to get him to approve warp speed.
[01:07:36.362 --> 01:07:38.183]  I've got another video of that, would you like to see that?
[01:07:39.104 --> 01:07:41.426]  Or just type in, Debra Briggs admits she lied to Trump.
[01:07:41.526 --> 01:07:41.986]  You'll get it!
[01:07:43.907 --> 01:07:48.431]  But right here, she says, holy Toledo!
[01:07:50.168 --> 01:07:52.729]  Prado, she's on with Chris Cuomo.
[01:07:54.890 --> 01:08:03.473]  She says, there's like this AIDS-like thing everywhere and everybody doesn't have an immune system now and they're getting sick and dying at record levels.
[01:08:03.894 --> 01:08:05.794]  It's, it's COVID did it.
[01:08:06.735 --> 01:08:07.075]  Uh-huh.
[01:08:08.402 --> 01:08:34.434]  But I had the top scientist on, including the Vice President, retired Vice President of Pfizer and all the rest of them, predicting before they rolled the shots out in 2001, in 2000, and we have the FDA's own document predicting all things, because they knew what it was going to do, because they designed it and it already actually tested it on animals and people secretly, and that came out under Obama at the University of Texas.
[01:08:34.974 --> 01:08:38.974]  Galveston and Chapel Hill, North Carolina.
[01:08:38.974 --> 01:08:47.974]  But now they're out here going, "Vaccine?"
[01:08:47.974 --> 01:08:57.974]  [BLANK_AUDIO]
[01:08:52.248 --> 01:08:52.488]  AIDS.
[01:08:55.931 --> 01:08:56.771]  Let me show you a definition.
[01:08:58.272 --> 01:08:59.333]  And how did I predict that?
[01:08:59.513 --> 01:08:59.954]  I'll show you.
[01:09:00.254 --> 01:09:01.155]  We got like a 20-minute clip.
[01:09:01.175 --> 01:09:02.436]  I'll only play a few minutes, then we'll come back.
[01:09:03.812 --> 01:09:06.613]  VAIDS, Vaccine Acquired Immune Deficiency Syndrome.
[01:09:06.913 --> 01:09:14.736]  You're going to see videos of me in 2020, 2021, warning the public that this was going to happen.
[01:09:15.736 --> 01:09:16.877]  And Oprah running around.
[01:09:17.317 --> 01:09:18.797]  This is something I actually said on air.
[01:09:18.997 --> 01:09:19.758]  People made a meme out of it.
[01:09:20.058 --> 01:09:22.218]  You get AIDS, you get AIDS, everyone gets AIDS.
[01:09:22.959 --> 01:09:23.899]  Or it's like a Team America.
[01:09:23.999 --> 01:09:25.720]  AIDS, AIDS, AIDS, AIDS, AIDS, AIDS.
[01:09:26.060 --> 01:09:27.140]  Everybody's got the AIDS.
[01:09:27.160 --> 01:09:29.641]  And I got Robert Malone talking about VAIDS.
[01:09:29.741 --> 01:09:32.362]  We're going to get to that for you.
[01:09:33.882 --> 01:09:35.023]  And of course, there's this great meme.
[01:09:36.824 --> 01:09:40.566]  Walter Shulkcheck, or however you say his name, learning you have veins.
[01:09:42.147 --> 01:09:45.629]  Yeah, people are going to be a little upset.
[01:09:45.669 --> 01:09:52.394]  Here's Debra Briggs admits she manipulated data and altered CDC guidelines to deceive President Trump.
[01:09:52.414 --> 01:09:53.414]  There's even video of that.
[01:09:55.255 --> 01:09:56.356]  Yeah, this is what we're dealing with.
[01:09:57.037 --> 01:09:59.438]  But let's go out to break, though, and then I'll get back to all those other clips.
[01:09:59.478 --> 01:10:02.180]  This is her with Fredo.
[01:10:04.175 --> 01:10:10.521]  Just a couple days ago saying, oh yeah, people have like AIDS now from COVID.
[01:10:10.701 --> 01:10:13.684]  No, you got it from the shot and we'll show you documents when we come back.
[01:10:13.724 --> 01:10:14.184]  Here she is.
[01:10:15.305 --> 01:10:16.726]  Comparisons to HIV.
[01:10:16.746 --> 01:10:18.428]  You've done a ton of research in this.
[01:10:19.209 --> 01:10:20.990]  Do you believe this is a false flag?
[01:10:21.070 --> 01:10:25.774]  Is there something that contextually people need to understand about that comparison?
[01:10:26.175 --> 01:10:29.398]  Or is this much darker a potential reality than we knew?
[01:10:31.974 --> 01:10:39.121]  The reason the comparison to HIV is important is because HIV was also asymptomatic.
[01:10:39.541 --> 01:10:46.288]  I mean, you couldn't see the virus through symptoms because people were infected for 7, 8, 9 years before they developed symptoms.
[01:10:47.008 --> 01:10:55.817]  But HIV quietly destroyed our immune system and we learned a lot about immunology from HIV and it's changed completely our cancer therapy.
[01:10:56.397 --> 01:11:11.824]  We're learning now about mitochondria and viral impact and brain fog and the changes in our neurons and the cells that nourish our neurons that really allow us to think and move.
[01:11:12.104 --> 01:11:15.165]  And we're learning that because what of the long COVID has done.
[01:11:15.246 --> 01:11:18.407]  And so there's two sides of this coin every time.
[01:11:18.847 --> 01:11:23.108]   There's a lot of destruction That mild and moderate COVID can do.
[01:11:23.248 --> 01:11:27.229]  That is on scene, just like HIV was destroying our immune system.
[01:11:27.289 --> 01:11:32.790]  But what came out of that is brilliant science that changed how we treated HIV.
[01:11:32.810 --> 01:11:39.991]  And if you're diagnosed today, you can live a very normal lifespan and people not only survive, but thrive.
[01:11:40.131 --> 01:11:48.133]  We need to get to the place where people with long COVID, we've done the research so that people with long COVID can not only survive, but thrive.
[01:11:48.612 --> 01:11:49.992]  All right, a lot of things are happening there.
[01:11:50.392 --> 01:12:04.076]  They're blaming what they've done with the shots on COVID, though COVID did do a little bit of that, but it's the shots that makes your body create the spike protein that is the HIV spike protein that Fauci, of course, helped roll out and do before, which does attack your immune system and turn off your white blood cells.
[01:12:04.756 --> 01:12:05.857]  That's only part of it, though.
[01:12:05.877 --> 01:12:06.997]  I'll explain it all when we come back.
[01:12:11.618 --> 01:12:16.927]   So one of the top globalists over the COVID tyranny rollout Dr. Debra Bricks is now out there.
[01:12:17.287 --> 01:12:23.769]  Oh, you're all going to learn now that you've been given an HIV-like disease that destroys your immune system.
[01:12:26.229 --> 01:12:49.465]   In January of 2020, we're on record saying, as soon as they scanned the virus, India did, they had the $2 billion piece of equipment, they had the HIV delivery system, they scanned it, the spike protein, the toxic thing that Disables and or kills your white blood cells that are your immune system.
[01:12:51.466 --> 01:12:55.610]  And then I noticed they did a vaccine test in Australia in the middle of 2020.
[01:12:59.713 --> 01:13:01.034]  And they said, oh, we got to pull it.
[01:13:01.554 --> 01:13:04.216]  It's causing all these false positives for HIV.
[01:13:06.458 --> 01:13:12.663]  Because you may attenuate the main virus, but it's the shell of the virus with HIV that's causing the main illness.
[01:13:15.069 --> 01:13:20.570]  And so, I want listeners to listen to me very carefully, because I've been putting this out for years, and it's way sensational.
[01:13:20.890 --> 01:13:21.490]  It's true.
[01:13:22.050 --> 01:13:23.791]  And I would think people would get upset.
[01:13:23.991 --> 01:13:29.592]  I got upset when I was reading mainline medical literature and calling top scientists up and having them on.
[01:13:29.612 --> 01:13:36.973]  They're like, no, this is the shell of HIV, and this is what scientists believe actually causes the autoimmune issue.
[01:13:39.674 --> 01:13:43.035]  And then I read Pfizer bragging, oh, we're going to make so much money.
[01:13:43.055 --> 01:13:43.975]  Remember that clip I played like 100 times?
[01:13:46.271 --> 01:13:47.971]  With the head of the British government study on it?
[01:13:49.692 --> 01:14:02.636]  Saying what's great is when you take three shots, your body produces so much spike protein that you have no immunity, except now we're gonna give you new mRNA for every other virus out there and we're gonna own everyone!
[01:14:02.656 --> 01:14:07.837]  And you heard Bricks, she said, you're gonna be protected now though, you're gonna get HIV.
[01:14:07.857 --> 01:14:10.478]  Okay, you've got HIV.
[01:14:10.958 --> 01:14:11.878]  You've got vapes.
[01:14:12.379 --> 01:14:13.639]  It's liberal, it's loving, it's trendy.
[01:14:14.690 --> 01:14:19.352]  You're a disease chaser, disease giver, like the gay men that want it.
[01:14:19.512 --> 01:14:19.992]  Look that up.
[01:14:20.732 --> 01:14:21.953]  Gift receiver, gift giver.
[01:14:22.793 --> 01:14:23.553]  But it's okay.
[01:14:24.493 --> 01:14:28.135]  We're gonna save you now with all these new treatments we've got.
[01:14:28.515 --> 01:14:29.995]  You'll be like Magic Johnson.
[01:14:30.075 --> 01:14:31.136]  See how liberal it is?
[01:14:33.617 --> 01:14:38.018]  So, it's a chimeric virus.
[01:14:38.078 --> 01:14:40.559]  It's five viruses combined.
[01:14:42.699 --> 01:14:53.223]  In the shell of HIV, with a big rhinoceros horn, genetically engineered, no virus ever seen like it, it has a horn on it that stabs your cells.
[01:14:54.224 --> 01:14:55.264]  And it's toxic itself.
[01:14:56.785 --> 01:15:02.807]  It's a prion that's similar to mad cow disease causing systems, spongiform encephalopathy.
[01:15:04.568 --> 01:15:07.009]  And like, you understand, you're a new viewer, this is real.
[01:15:07.169 --> 01:15:08.810]  Like, this is on record.
[01:15:09.070 --> 01:15:11.651]  And it's like, oh, it's a guy on the radio talking about it.
[01:15:12.952 --> 01:15:14.513]  I'm going to show you a clip in a few minutes.
[01:15:14.533 --> 01:15:25.117]  First I'm going to show you Dr. Robert Malone, the inventor of mRNA technology, two years ago, saying we expect and we're now seeing with people that take the shots, vades.
[01:15:26.158 --> 01:15:31.760]  It's turning off their white blood cells.
[01:15:32.461 --> 01:15:40.644]  Because HIV kills them, this turns them off, but then they usually just starve to death because white blood cells eat other things, that's how they feed themselves, like an amoeba, or it is an amoeba.
[01:15:43.041 --> 01:15:45.262]  It's an amoeba, your bone marrow produces.
[01:15:45.922 --> 01:15:47.202]  You guys are really better than me at this.
[01:15:47.262 --> 01:15:48.683]  It's any brawner or brainer.
[01:15:49.263 --> 01:15:57.546]  Who's the doctor that's the head of the British operations, he's Canadian, from like two years ago bragging how great it is that the Pfizer shot turns off your immune system?
[01:15:58.626 --> 01:16:11.170]  I mean, we already know this, but it's their saying it too, like we're so dumb, he's in a white lab coat saying it, that, because it's not just Malone saying it, it's not just us saying it four years ago.
[01:16:12.682 --> 01:16:13.643]  It's been four years.
[01:16:16.467 --> 01:16:17.989]  It's out in the open.
[01:16:18.009 --> 01:16:18.670]  We'll skip this break.
[01:16:18.690 --> 01:16:19.531]  Come on up so we have more time.
[01:16:23.096 --> 01:16:30.096]  So, here's Dr. Malone.
[01:16:30.096 --> 01:16:35.096]  Here in Czech...
[01:16:35.096 --> 01:16:37.096]  AIDS is an acronym.
[01:16:37.305 --> 01:16:39.868]  It's Acquired Immunodeficiency Syndrome.
[01:16:39.928 --> 01:16:40.989]  That's what it stands for.
[01:16:41.549 --> 01:16:43.431]  Acquired Immunodeficiency Syndrome.
[01:16:44.412 --> 01:16:54.561]  And the data are getting stronger and stronger that the multiple vaccine recipients are having, as we mentioned before, a T cell suppression.
[01:16:55.402 --> 01:16:58.265]  Their T-cells aren't functioning as well as they should be.
[01:16:58.946 --> 01:17:06.675]  You can see various markers of down-regulation of key signaling molecules and nuances that we don't have to go into.
[01:17:06.695 --> 01:17:08.137]  It's measurable.
[01:17:08.996 --> 01:17:16.961]  Okay, so there is evidence of an acquired T-cell immunodeficiency in the multiple vaccinated.
[01:17:17.741 --> 01:17:19.762]  Okay, so is that clinically significant?
[01:17:19.782 --> 01:17:22.484]  You always got to say, well you can measure something in the laboratory, who cares?
[01:17:22.504 --> 01:17:24.885]  Is it actually causing problems for patients?
[01:17:25.385 --> 01:17:31.509]  Well, Ryan Cole was one of the first ones to signal about the canary in the coal mine.
[01:17:32.454 --> 01:17:38.053]  Of the appearance that there are cancers springing up that are unusually aggressive.
[01:17:39.486 --> 01:17:48.233]  at early age or that were at a in a kind of an indolent or slow-growing stage and then suddenly become very aggressive cancers.
[01:17:49.294 --> 01:18:04.486]  He's talked about endometrial cancer originally, cancer of the lining of the uterus, but there's many others now that are popping up that are being observed by cancer surgeons and diagnostic radiologists and pathologists.
[01:18:05.187 --> 01:18:13.921]   People often, you know, when they attack Ryan Cole or myself People that are trained in pathology, they don't recognize that we're not like average docs.
[01:18:14.982 --> 01:18:16.944]  We're trained in signal detection.
[01:18:16.984 --> 01:18:18.866]  That's what we do.
[01:18:19.386 --> 01:18:24.351]  Discipline of pathology is the quality control for the entire medical care system.
[01:18:25.086 --> 01:18:26.907]  And that's why we have to do autopsies.
[01:18:26.987 --> 01:18:28.408]  It's not pleasant, I'll tell you.
[01:18:28.448 --> 01:18:31.090]  Nobody takes pleasure in doing autopsies, at least nobody I know.
[01:18:31.790 --> 01:18:32.811]  But it's the QC.
[01:18:33.151 --> 01:18:37.234]  And pathologists like Ryan and I are trained to detect patterns.
[01:18:37.935 --> 01:18:46.160]  So Ryan early on detected these patterns about what appears to be unusual cancers that are usually aggressive at an unusual frequency.
[01:18:46.580 --> 01:18:48.141]  That seems to be playing out.
[01:18:49.082 --> 01:18:51.543]  So that's what, why would that happen?
[01:18:51.603 --> 01:18:57.000]   Well, one of the things that keeps cancer in check All right, so, that's just a short clip from it.
