[00:00:04.685 --> 00:00:07.868]  On FISA, there are a couple of amendments that are being considered.
[02:20:03.926 --> 02:20:06.708]  You need that stuff because you never know when a hurricane is going to come.
[02:20:07.048 --> 02:20:08.409]  So there's human disasters.
[02:20:08.449 --> 02:20:09.450]  There's natural disasters.
[02:20:09.470 --> 02:20:13.614]  But I think we're reaching a key point, especially with the war in Ukraine, which is absolutely troubling.
[02:20:13.954 --> 02:20:19.098]  As of course the United States government literally put on a down payment for the future of war in the Middle East.
[02:20:19.399 --> 02:20:22.481]  They put their future of war in Europe, in Asia.
[02:20:22.981 --> 02:20:32.029]  We are financing this larger kind of transfer to the military industrial complex that to me is weaponizing information to the point where now
[02:20:33.690 --> 02:20:44.201]  News articles are more powerful than bullets, and I think they understand that, and I think we have reached a fifth-generational warfare level of fight that a lot of people are kind of canceling themselves and destroying themselves.
[02:20:44.241 --> 02:20:46.383]  So on one way, we have a lot of people waking up.
[02:20:46.604 --> 02:20:48.906]  We have a lot of people taking care of themselves, exercising.
[02:20:48.926 --> 02:20:50.688]  But the empire is striking back.
[02:20:50.928 --> 02:20:56.612]  And then at the other hand, there's also a large subject of people that are going in the opposite direction as well.
[02:20:56.892 --> 02:21:16.005]  And you see this kind of a larger polarization within humanity when it used to be like, you had your average Joe there, he was middle class, everything was okay, he was somewhat healthy, but now it's you're either really unhealthy or you're really fit and you're really paranoid about your health, which you should be since there's a larger kind of chemical biological war out there in order to kind of get rid of your
[02:21:17.045 --> 02:21:23.766]  Testosterone, your masculinity, your ability as a human being to fight for yourself, stand up for yourself.
[02:21:23.966 --> 02:21:26.287]  So we're seeing a bifurcation in society.
[02:21:26.547 --> 02:21:27.707]  Society splitting apart.
[02:21:27.827 --> 02:21:28.227]  Exactly.
[02:21:28.267 --> 02:21:31.668]  And that's what the technocrats have been talking about for a very long time.
[02:21:32.208 --> 02:21:34.728]  A society where, of course, you have the haves and the have-nots.
[02:21:35.248 --> 02:21:44.210]  And that line is being drawn and pushed further and further in a Brave New World 1984 kind of hellscape that is becoming more reality than it is fiction.
[02:21:44.650 --> 02:21:59.381]  Number one way to stop it, I think it's to explain to people that work for the corporate and governmental bureaucracies how they're doing wrong, how they're working for an evil system, and how they are doing okay today but losing more and more over time and that they will be destroyed in the process.
[02:21:59.862 --> 02:22:01.743]  This system is anti-human at its base.
[02:22:01.903 --> 02:22:02.343]  Exactly.
[02:22:02.383 --> 02:22:14.906]  They hate humanity, they hate prosperity, they hate individuals being able to, of course, have a free market, exchange goods with each other without the government coming in there, taxing you, taking away a lot of your resources away from you.
[02:22:14.946 --> 02:22:26.888]  The best way to fight back against this, in my opinion, is to be healthy, is to be happy, is to go on nature hikes, is to work out, is to eat right, is not be poisoned by all the things that they're laying all the traps all around us.
[02:22:27.168 --> 02:22:37.551]  And not falling for those traps, not being a byproduct of the pharma-industrial complex, not having to go to the hospital, not needing to be at the doctors all the time, not needing to worry about your weight.
[02:22:37.931 --> 02:22:46.114]  And to me, once we really start to figure out ourselves and start to better ourselves physically, mentally, then they lose because we don't need to be dependent on them.
[02:22:46.434 --> 02:22:49.116]  And we're dependent on them in so many... No, you're totally right.
[02:22:49.176 --> 02:22:52.218]  And you know, I myself still hike and lift weights and things with stress and things.
[02:22:52.618 --> 02:22:56.641]  I've done things that aren't good for my body, but at least I know and I'm pulling away from that.
[02:22:56.701 --> 02:23:03.986]  And so people out there that feel bad because they've been caught by this, you can change this all incrementally and then daily really move the point on the compass where you're at.
[02:23:04.026 --> 02:23:04.606]  So... Exactly.
[02:23:04.666 --> 02:23:09.109]  Enjoying life, celebrating life, having families, enjoying the beauty of life.
[02:23:09.350 --> 02:23:10.110]  They hate that.
[02:23:10.230 --> 02:23:11.971]  It's toxic to them and they're afraid.
[02:23:11.991 --> 02:23:14.613]  That's why they always put out terror alerts at Christmas and Thanksgiving.
[02:23:14.633 --> 02:23:15.394]  So let me ask this, Luke.
[02:23:15.934 --> 02:23:18.557]  How do we fight them and expose them?
[02:23:18.577 --> 02:23:19.498]  This is a problem I have.
[02:23:20.559 --> 02:23:25.625]  But not get so caught up on it that they're dominating everything we do and all our time and energy.
[02:23:25.665 --> 02:23:27.287]  We've got to like have the R&R.
[02:23:27.307 --> 02:23:32.333]  We've got to realize when we have fun, when we celebrate our families, when we celebrate life, they hate that.
[02:23:32.533 --> 02:23:32.974]  I'm doing that.
[02:23:34.193 --> 02:23:38.515]  I'm organizing a nature hike for all my Twitter subscribers and members of lucanfiltered.com.
[02:23:38.815 --> 02:23:40.436]  We're doing a nature hike here in Austin.
[02:23:40.516 --> 02:23:42.037]  I just did one in Miami, Florida.
[02:23:42.077 --> 02:23:44.018]  I'm going to be doing them all over the United States.
[02:23:44.038 --> 02:23:45.059]  Where are you going to go, Mike?
[02:23:45.119 --> 02:23:45.659]  How am I doing with you?
[02:23:46.099 --> 02:23:54.863]  I'm keeping the location off the record just for subscribers and just for members that help contribute and are part of my independent media organization.
[02:23:55.184 --> 02:24:00.006]  But it's going to be open to the people who, of course, are a part of the larger... So, like, right beforehand, you're going
[02:24:00.026 --> 02:24:00.807]  We're going to send them where it's at.
[02:24:00.827 --> 02:24:01.267]  Exactly.
[02:24:01.527 --> 02:24:09.492]  And then we're going to meet, hike, meet people, talk to each other, go out there, touch grass, enjoy nature, enjoy the beauty of life that we have here.
[02:24:09.613 --> 02:24:10.293]  Life is short.
[02:24:10.333 --> 02:24:11.134]  Life is precious.
[02:24:11.174 --> 02:24:12.174]  These people hate life.
[02:24:12.214 --> 02:24:13.835]  These people want to destroy life.
[02:24:13.875 --> 02:24:16.477]  These people are absolutely, in my opinion, serving a larger demand.
[02:24:16.497 --> 02:24:17.378]  And they want us locked up in our houses.
[02:24:17.618 --> 02:24:19.179]  They don't want us going out and getting together.
[02:24:19.259 --> 02:24:19.619]  Exactly.
[02:24:19.639 --> 02:24:20.380]  They don't want you traveling.
[02:24:20.700 --> 02:24:21.861]  They realize how powerful we are.
[02:24:22.121 --> 02:24:30.605]  Once you travel, once you leave the world, and throughout my 20s I was always traveling, doing on-the-ground reports all over the world, and I realized, you know, America is a beautiful country.
[02:24:30.705 --> 02:24:31.925]  It's not a perfect country.
[02:24:31.965 --> 02:24:35.747]  The government absolutely needs to be put in check.
[02:24:36.107 --> 02:24:43.970]  But when it comes to the people, when it comes to the freedoms that we have here, especially with the First Amendment, especially with the Second Amendment, you don't have that in many places around the world.
[02:24:44.350 --> 02:24:47.551]  Once you travel the world, come back to the United States, you really do appreciate it.
[02:24:47.611 --> 02:24:53.853]  And this is why they're teaching a lot of these young kids at these universities to hate themselves, to hate America, to hate the beauty of life.
[02:24:53.873 --> 02:24:54.773]  Let me expand on that.
[02:24:54.814 --> 02:24:55.834]  That's the paradox of freedom.
[02:24:56.334 --> 02:25:02.959]  We were the best house in a bad neighborhood, had the most freedom, had the most rights that weren't given by government, but that we demanded, that God gave us.
[02:25:03.540 --> 02:25:08.403]  So because we were freer, we got all the power, then the parasites come in and take that over.
[02:25:08.463 --> 02:25:13.267]  So it is a historical paradox that empires rise and they fall because the parasites come in.
[02:25:13.287 --> 02:25:20.633]  Exactly, and they're teaching kids this mind virus to not like this country, to not like the founding fathers, to not like the principles.
[02:25:20.673 --> 02:25:24.516]  And again, they weren't perfect, sure, but they were an idea.
[02:25:24.656 --> 02:25:25.957]  On average, they were pro-human.
[02:25:26.397 --> 02:25:26.878]  Exactly.
[02:25:26.938 --> 02:25:29.961]  They were pro-individual liberty, pro-personal responsibility.
[02:25:30.222 --> 02:25:35.287]  And once we take that into our own hands, the capabilities of what we're able to accomplish is perpetual.
[02:25:35.507 --> 02:25:36.048]  It's amazing.
[02:25:36.088 --> 02:25:36.709]  It's incredible.
[02:25:37.009 --> 02:25:40.753]  And once we realize the discovery, traveling, being able to...
[02:25:41.254 --> 02:25:48.137]  If we do that, we'll escape out of the globalist plan and humanity is unstoppable, and that's why they're trying to dumb us down, poison us and suppress us, so we stay under their control.
[02:25:48.277 --> 02:26:04.924]  Exactly, and that's why it's more important than ever to realize the true power that you have within yourself, and you start realizing that once you start cutting out all the poisons in your life, once you start cutting off the fluoride, the seed oils, the microplastics, once you try to get rid of all the ways, the astrazine, all the way that they chemically and
[02:26:05.544 --> 02:26:05.624]  Yes.
[02:26:26.837 --> 02:26:27.978]  You realize how pathetic he is?
[02:26:27.998 --> 02:26:36.821]  That's why 15 years ago the Pentagon was literally releasing documents talking about how we need to weaponize memes because memes are a crucial Achilles heel to the whole power structure.
[02:26:37.142 --> 02:26:48.106]  But because they're the ones that are involved in the oxymoronic corruption and the contradictory actions, the memes are designed for that.
[02:26:48.366 --> 02:26:49.347]  When you're telling the truth,
[02:26:51.391 --> 02:26:54.174]  Then there's really no mean, but when they're lying, it's easy to show it.
[02:26:54.314 --> 02:26:54.694]  Exactly.
[02:26:54.714 --> 02:26:55.755]  And then you're able to make fun of it.
[02:26:55.775 --> 02:26:56.816]  You're able to poke fun at them.
[02:26:56.857 --> 02:26:58.879]  You're able to show them that the emperor has no clothes.
[02:26:58.919 --> 02:27:00.240]  And they're definitely afraid of that.
[02:27:00.480 --> 02:27:02.462]  And that's why they go after comedians like Dave Chappelle.
[02:27:02.482 --> 02:27:13.413]  They go after individuals in our society like Bill Hicks and George Carlin and all these other major figures that I believe pushed the Overton window open far further than a lot of these politicians or political pundits.
[02:27:13.453 --> 02:27:14.214]  So I always have a
[02:27:14.714 --> 02:27:14.994]  I think so.
[02:27:34.304 --> 02:27:45.229]  Yeah, I remember you were with Joe Rogan in Austin in the early 2000s with Bush masks, dancing around the Capitol here and having a lot of fun.
[02:27:45.249 --> 02:27:46.810]  That was before 9-11.
[02:27:46.850 --> 02:27:47.190]  Yeah, before 9-11.
[02:27:47.210 --> 02:27:49.171]  Sorry, in the 90s even.
[02:27:49.852 --> 02:28:01.217]  You were cracking a lot of jokes and having a lot of fun and that inspired me to go out to Skull and Bones with my friend and we put on masks of Bush and Dick Cheney and we were literally dry humping each other.
[02:28:01.717 --> 02:28:08.158]  Outside of their mocking, their kind of rituals and ceremonies, because it is ridiculous to understand the larger power structures.
[02:28:08.198 --> 02:28:10.999]  But if you're able to make fun of it, the power structure just collapses.
[02:28:11.079 --> 02:28:15.020]  And then people realize, yeah, at the end of the day, my life is determined by me.
[02:28:15.120 --> 02:28:22.121]  My future, my destiny, what I am on this earth during my short time here is determined by me and me only.
[02:28:22.201 --> 02:28:30.043]  And once you realize that power within yourself, not only are you unstoppable, not only do you have this kind of vigor, this kind of energy, this human spirit,
[02:28:30.043 --> 02:28:30.543]  Hold on, right there!
[02:28:57.896 --> 02:28:59.356]  Ladies and gentlemen, it is back.
[02:28:59.576 --> 02:29:07.099]  Vitamin Mineral Fusion, the platinum standard of advanced multivitamin formulas, has returned to InfoWarsStore.com.
[02:29:07.159 --> 02:29:15.781]  After being out of stock for months, there's no better time to make sure that you're boosting your natural systems and getting your essential vitamins and minerals and nutrients than with Vitamin Mineral Fusion.
[02:29:16.141 --> 02:29:17.421]  We don't live in a perfect world.
[02:29:17.461 --> 02:29:19.942]  Our diets no longer contain everything that we need.
[02:29:20.282 --> 02:29:28.343]  So instead of spending huge amounts of money and time trying to make up for the lack of nutrition in your diet, just get Vitamin Mineral Fusion and you're good to go.
[02:29:28.423 --> 02:29:29.643]  InfoWarsStore.com.
[02:29:29.703 --> 02:29:30.644]  Vitamin Mineral Fusion.
[02:29:30.904 --> 02:29:31.744]  It's back in stock.
[02:29:31.904 --> 02:29:32.924]  It will sell out quickly.
[02:29:32.944 --> 02:29:34.304]  It's one of our most popular products.
[02:29:34.584 --> 02:29:37.225]  So make sure you go now to InfoWarsStore.com.
[02:29:37.505 --> 02:29:38.145]  It's good for you.
[02:29:38.225 --> 02:29:39.225]  It's good for the whole family.
[02:29:39.665 --> 02:29:42.806]  Vitamins A, B, C, D, B12.
[02:29:44.046 --> 02:29:48.191]  Calcium, Magnesium, Zinc, Selenium, L-Glutamine, the list goes on.
[02:29:48.211 --> 02:29:49.713]  I don't even have time to list everything in here.
[02:29:49.733 --> 02:29:53.657]  So go to InfoWarsTore.com and find out what Vitamin Mineral Fusion can do for you.
[02:29:58.143 --> 02:30:00.704]  Ladies and gentlemen, we're in a war against the globalists.
[02:30:01.064 --> 02:30:03.406]  And people can't identify who's a patriot and who isn't.
[02:30:03.746 --> 02:30:06.887]  We want to identify as pro-human and anti-globalists.
[02:30:06.927 --> 02:30:09.849]  We want to let people know we're 1776 Part 2.
[02:30:10.089 --> 02:30:20.674]  That's why I designed this amazing 1776 red, white, and blue Gadsden flag shirt so you can support the info war and meet like-minded people everywhere when you wear it.
[02:30:20.794 --> 02:30:26.418]  When you wear these shirts, it creates an amazing amount of energy, and it's quite the adventure.
[02:30:26.718 --> 02:30:31.001]  So get your 1776 shirt right now at InfoWarsTore.com.
[02:30:31.122 --> 02:30:36.846]  And get your Team Humanity InfoWars Limited Edition shirt right now at InfoWarsTore.com.
[02:30:37.166 --> 02:30:42.430]  Ladies and gentlemen, this is antithetical, the complete opposite of what the Globalists are pushing.
[02:30:42.670 --> 02:30:50.396]  So get both the Team Humanity and the 1776 Gadsden Snake shirts Limited Edition at InfoWarsTore.com right now.
[02:30:51.056 --> 02:31:02.182]  I talk a lot about the great successes InfoWars has had.
[02:31:02.202 --> 02:31:03.782]  I don't think anybody can deny it.
[02:31:04.503 --> 02:31:07.564]  And it is because of listeners and viewers supporting us.
[02:31:08.425 --> 02:31:12.367]  When we talk about the crew at InfoWars, people behind the scenes, the researchers, the writers,
[02:31:13.806 --> 02:31:16.511]  They really have been the MVPs in this fight.
[02:31:17.353 --> 02:31:23.305]  And we look at Harrison Smith and Owen Schroer and the hard work they engage in every day, five, six, seven days a week.
[02:31:24.267 --> 02:31:25.168]  It's really just incredible.
[02:31:26.167 --> 02:31:29.030]  So for myself and the whole InfoWars crew, I thank you for your past support.
[02:31:29.050 --> 02:31:34.815]  I only encourage you now to realize that InfoWars cannot stay on air if you do not support us.
[02:31:35.596 --> 02:31:38.599]  I know you spread the word, I know you pray for us, and that's wonderful, keep doing it.
[02:31:38.639 --> 02:31:46.887]  But most viewers and listeners, never go to InfoWarsStore.com, and you never buy great products that enrich and empower your life, while at the same time keeping us on air.
[02:31:47.567 --> 02:31:51.212]  I know that less than 1% of our listeners actually go buy products at InfoWarsaw.com.
[02:31:51.873 --> 02:31:56.499]  If just 1% more of you took action and went to InfoWarsaw.com, our funding problems will be over.
[02:31:56.840 --> 02:31:57.601]  Please take action now.
[02:31:58.812 --> 02:32:01.695]  Have you tried taking the Real Red Pill?
[02:32:01.895 --> 02:32:07.742]  A one-of-a-kind heart and brain formula designed exclusively for InfoWarsStore.com.
[02:32:07.942 --> 02:32:12.607]  One of the most powerful ingredients in the Real Red Pill Plus is pregnenolone.
[02:32:12.847 --> 02:32:20.776]  Pregnenolone levels decrease with age, and low levels are associated with fatigue, low brain function, and unhealthy aging.
[02:32:20.976 --> 02:32:28.941]  The Real Red Pill Plus also provides essential trace minerals such as vitamin B12, calcium, copper, and zinc.
[02:32:29.161 --> 02:32:42.109]  Featuring naturally occurring L-theanine, caffeine, and theobromine, the energy blend inside the Real Red Pill Plus provides an extra pick-me-up for your day that goes beyond the second cup of coffee.
[02:32:42.409 --> 02:32:49.294]  So visit InfoWarsStore.com, go down the rabbit hole, and try taking the real red pill.
[02:32:49.534 --> 02:32:55.479]  Now 25% off for a limited time at InfoWarsStore.com.
[02:32:59.321 --> 02:33:05.226]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[02:33:14.471 --> 02:33:22.073]  Reddened winter would bring you down forever, but you rode upon a steamer to the violence of the sun.
[02:33:23.343 --> 02:33:25.565]  Broadcasting live from the U.N.
[02:33:25.625 --> 02:33:31.171]  stronghold, Austin, Texas, you're listening to the Alex Jones Show!
[02:33:47.173 --> 02:33:49.936]  Some good groups, some bad groups, they're successful.
[02:33:50.156 --> 02:34:00.808]  And I have seen you and your successful nature hikes that, you know, your subscribers, your supporters, by invitation, you show up somewhere, some cool place, you want a 5-10 mile hike, all hang out, get to know each other.
[02:34:00.828 --> 02:34:01.429]  That's so smart.
[02:34:02.711 --> 02:34:06.196]  You know what political party basically got its most success off of that?
[02:34:06.597 --> 02:34:06.757]  No.
[02:34:07.118 --> 02:34:07.779]  The Nazi Party.
[02:34:08.079 --> 02:34:08.400]  Really?
[02:34:08.560 --> 02:34:16.953]  Yeah, so that's how they started out in 33 and 34, not just with beer hall parties, but going out
[02:34:17.950 --> 02:34:18.030]  Yeah.
[02:34:38.217 --> 02:34:41.641]  Well, if you're feeling stressed, if you're feeling down, just going for a basic walk.
[02:34:41.661 --> 02:34:42.261]  Bathe in nature.
[02:34:42.361 --> 02:34:42.842]  Exactly.
[02:34:44.824 --> 02:34:52.231]  There's a reason so many movies, like Avatar, talk about the power of the surroundings, the environment, because it really does matter.
[02:34:52.272 --> 02:34:57.056]  And I think that's why there's so many efforts to also poison and destroy nature and close all the parks away from it.
[02:34:57.717 --> 02:34:58.157]  Exactly.
[02:34:58.197 --> 02:35:00.640]  They want you in the pod, and we refuse to do that.
[02:35:00.720 --> 02:35:14.491]  Once you start traveling, once you start walking around, you start realizing, hey, your mind starts clearing up, your stress kind of goes away, and you understand, wow, this is a beautiful, inherent kind of natural feeling that's so powerful, that's so incredible, that's so beautiful.
[02:35:15.132 --> 02:35:18.294]  There's so many other things in this world that are larger distractions out there.
[02:35:18.495 --> 02:35:24.820]  There's entire right-wing kind of communities fighting over calendars on social media, which I find so distracting and so idiotic.
[02:35:24.880 --> 02:35:25.841]  Yeah, what calendar should we use?
[02:35:26.081 --> 02:35:32.623]  Yeah, the globalists are moving full speed when it comes to trying to enslave all of humanity and put us on some kind of larger animal farm.
[02:35:33.283 --> 02:35:41.266]  And once you get out of that pig pen, once you get out of social media, once you get out of this larger kind of city structure that they want you in... Well, that's the whole Q thing.
[02:35:41.326 --> 02:35:48.108]  I mean, look, epigenetically, we are designed to be in nature, doing farming, gardening, hunting, knitting, men and women.
[02:35:49.209 --> 02:35:50.510]  Cooking's fine.
[02:35:50.931 --> 02:35:52.894]  All these epigenetic things are therapy.
[02:35:53.254 --> 02:35:56.299]  I'm not trying to get in a fight with the Q people, but Hillary's been executed.
[02:35:56.359 --> 02:35:57.200]  Everything's fine.
[02:35:57.560 --> 02:35:58.442]  Everyone's invincible.
[02:35:58.702 --> 02:35:59.283]  Go to sleep.
[02:35:59.743 --> 02:36:04.630]  That's people that are newbies, that are kind of waking up, but can't handle the stress of, no, we're under full attack.
[02:36:05.836 --> 02:36:06.876]  What do you say to the Q folks?
[02:36:07.217 --> 02:36:16.121]  I mean, I've been attacked by them for many years now, because I always say, you know, hope is the worst thing you could have, especially when it comes to the government.
[02:36:16.381 --> 02:36:17.541]  You shouldn't have any hope in government.
[02:36:17.561 --> 02:36:21.903]  You should have hope in your communities, in your families, in yourself.
[02:36:22.103 --> 02:36:27.806]  And once you start giving away your power and you start acquiescing to a larger power structure that's shadowy and unaccountable,
[02:36:28.186 --> 02:36:30.888]  And allegedly is going to be there for you based off promises.
[02:36:30.908 --> 02:36:36.171]  You're making a key mistake in life and you're believing people based off their words, not their actions.
[02:36:36.532 --> 02:36:39.894]  And to me, the thing that I have always prophesized is don't believe me.
[02:36:40.134 --> 02:36:40.974]  Do your own homework.
[02:36:41.035 --> 02:36:41.895]  Do your own research.
[02:36:41.975 --> 02:36:43.596]  We need you to have critical thinking skills.
[02:36:43.676 --> 02:36:49.120]  If you don't have critical thinking skills, there's no way we could propel forward because I really do think you asked me, what's the next thing?
[02:36:49.720 --> 02:36:55.585]  I think so many people have awakened, especially through COVID, especially through the larger PSYOPs that have failed routinely.
[02:36:56.205 --> 02:36:59.207]  They try to pull out new stuff every day, and it keeps failing on its face.
[02:36:59.828 --> 02:37:04.831]  I think the larger next thing is going to be playing up on a lot of our mistrust of the system.
[02:37:04.892 --> 02:37:19.002]  I think that's going to be the next big thing, because if you're one of these kind of sociopathic central controllers, what better way to kind of herd along these animals as they see them than, of course, use their own kind of distrust of the system against them.
[02:37:19.382 --> 02:37:27.469]  They turn our distrust of the corrupt system in on everything and don't trust anybody unless it's this shadowy Q thing.
[02:37:27.490 --> 02:37:32.834]  So it's like saying, look, Santa Claus and Q aren't real, but life and death are.
[02:37:34.249 --> 02:37:40.631]  And then when you look at, especially what happened early on in COVID, if you remember, we were getting videos on social media of people falling and collapsing.
[02:37:40.671 --> 02:37:42.772]  We were getting government officials saying, don't wear masks.
[02:37:42.872 --> 02:37:43.552]  It's totally fine.
[02:37:43.592 --> 02:37:44.152]  Don't worry about it.
[02:37:44.412 --> 02:37:47.913]  Go to the Chinese Day Parade or else you're a bigot and hate Asians.
[02:37:48.473 --> 02:37:55.335]  They signed up to that whole thing from the very beginning in a way where the people who are most mistrustful of government were saying, wait, hold on, what's really going on here?
[02:37:55.355 --> 02:37:56.516]  So they kind of played up on our own.
[02:37:58.056 --> 02:37:58.616]  Exactly.
[02:37:58.677 --> 02:38:04.700]  And then you saw Tucker Carlson literally go to Donald Trump and say, hey, you should kind of take this seriously, because no one else really is.
[02:38:05.040 --> 02:38:07.081]  And therefore they were able to play people along with that.
[02:38:07.542 --> 02:38:10.323]  But truly, getting out there, touching grass.
[02:38:10.343 --> 02:38:11.844]  There's so many scientific documents.
[02:38:11.884 --> 02:38:16.327]  There's so many studies that have been done, particularly when it comes to people just walking.
[02:38:16.867 --> 02:38:19.408]  Walking is a major health hack.
[02:38:19.569 --> 02:38:23.511]  If you're struggling with whatever you're struggling with, get a step counter.
[02:38:23.851 --> 02:38:24.611]  Start walking.
[02:38:24.852 --> 02:38:26.933]  Once you start walking, do it with your loved ones.
[02:38:27.253 --> 02:38:28.353]  Your mind starts to free up.
[02:38:28.374 --> 02:38:32.236]  You start having conversations that are really amazing, that are really productive.
[02:38:32.296 --> 02:38:35.738]  Oh, I can be a little down or exhausted, get home at 6 o'clock till exhausted.
[02:38:36.298 --> 02:38:39.540]  Let's, cause there's a nearby hiking bike trail in place.
[02:38:39.740 --> 02:38:40.420]  Boom, we do that.
[02:38:40.780 --> 02:38:43.922]  We walk two, three miles, sometimes five miles, come back.
[02:38:44.342 --> 02:38:45.223]  We just feel awesome.
[02:38:45.683 --> 02:38:49.566]  And that's what I started to implement in my own life, and the results have been incredible.
[02:38:49.966 --> 02:38:50.687]  I feel incredible.
[02:38:50.727 --> 02:38:51.467]  I feel on fire.
[02:38:51.587 --> 02:38:56.130]  I feel like I have this spirit within me, and I'm not going to let anyone subjugate me.
[02:38:56.151 --> 02:38:57.111]  I'm not going to let anyone control me.
[02:38:57.131 --> 02:39:02.595]  Well, my best ideas are when I'm hiking up a big hill, and I hike almost every day, about five days a week.
[02:39:02.635 --> 02:39:03.536]  I try to do it seven days a week.
[02:39:03.856 --> 02:39:09.200]  But when I've been hiking three or four miles, and I go up a big hill, and the blood's pumping, and I'm having these great ideas.
[02:39:09.560 --> 02:39:13.242]  That's where I think of all my t-shirt ideas, all my meme ideas.
[02:39:13.963 --> 02:39:19.026]  And I was hiking, I was there by myself with my dog, and I'm like, this would be great to share with other people.
[02:39:19.066 --> 02:39:23.669]  This would be great to kind of ping off ideas and to kind of fester some kind of larger growth here.
[02:39:23.689 --> 02:39:28.132]  And I was like, you know, I have people who support me through lookonfilter.com and through Twitter memberships.
[02:39:28.152 --> 02:39:28.432]  And I'm like,
[02:39:28.932 --> 02:39:29.873]  I want these people out there.
[02:39:29.893 --> 02:39:30.433]  They support me.
[02:39:30.473 --> 02:39:31.033]  They care about me.
[02:39:31.294 --> 02:39:32.514]  I want to show that I care about them.
[02:39:32.534 --> 02:39:33.755]  I want to promote something.
[02:39:34.035 --> 02:39:38.878]  I want people to actively get engaged in something that I could absolutely help them with.
[02:39:39.559 --> 02:39:45.102]  And to me, this was just something that spurred on through that nature, Hank, which we're going to be doing here in Austin this Sunday.
[02:39:45.362 --> 02:39:50.345]  In New Zealand and Australia, they said, don't look at the sunset, don't talk to your neighbors, don't go to the beach.
[02:39:50.465 --> 02:39:51.586]  I mean, it was so obvious.
[02:39:51.706 --> 02:39:55.389]  They tell you, don't get vitamin D. They're like, don't get any sun, stay inside.
[02:39:55.429 --> 02:39:57.210]  They closed the beaches, they closed the parks.
[02:39:57.690 --> 02:40:00.192]  Which they know, not getting vitamin D is why the winter's bad.
[02:40:00.292 --> 02:40:00.692]  Exactly.
[02:40:00.732 --> 02:40:08.677]  Dr. Simon Guttick came out and then broke through major scientific data, specifically highlighting vitamin D was key towards surviving COVID.
[02:40:09.638 --> 02:40:11.319]  And also probably the COVID vaccine.
[02:40:11.339 --> 02:40:12.860]  But even the FDA website admits that.
[02:40:13.260 --> 02:40:13.460]  Exactly.
[02:40:13.480 --> 02:40:14.741]  And then Simon Goode got attacked.
[02:40:14.781 --> 02:40:18.425]  He had his whole career ruined by... But think how crazy that is!
[02:40:18.465 --> 02:40:19.706]  What a crime to commit.
[02:40:19.746 --> 02:40:21.147]  Now let's talk about Epstein and the time we have left.
[02:40:21.448 --> 02:40:25.932]  Because you famously, when it was peaking, went into the island four or five years ago, whenever it was.
[02:40:26.452 --> 02:40:28.014]  You've been all over the show.
[02:40:28.054 --> 02:40:29.155]  You're a leading expert on it.
[02:40:29.175 --> 02:40:29.975]  We've got some clips.
[02:40:30.416 --> 02:40:32.177]  Some of them are long, but you can play whichever.
[02:40:32.237 --> 02:40:33.539]  You've got a shorter version here.
[02:40:34.859 --> 02:40:37.580]  As soon as he allegedly died, I was always curious.
[02:40:37.600 --> 02:40:39.401]  I was like, there's no way this story doesn't add up.
[02:40:39.481 --> 02:40:43.922]  Bill Barr ran up essentially a larger cover-up operation under the Trump administration.
[02:40:44.162 --> 02:40:47.804]  We still don't know exactly what happened with Jeffrey Epstein.
[02:40:47.844 --> 02:40:52.005]  So there was an independent journalist that was flying a drone over Epstein Island.
[02:40:52.085 --> 02:41:02.389]  And when he was flying a drone through Epstein Island, there was a photo that he took of an individual that looked exactly like Jeffrey Epstein on the island after he allegedly died.
[02:41:02.689 --> 02:41:03.609]  Let's roll some of the B-roll.
[02:41:03.729 --> 02:41:04.250]  We're good to go.
[02:41:20.831 --> 02:41:23.013]  This is going to be one of the biggest stories out there.
[02:41:23.073 --> 02:41:24.214]  It was an incredible risk.
[02:41:24.334 --> 02:41:25.155]  I was nervous.
[02:41:25.315 --> 02:41:26.716]  I was I was petrified.
[02:41:27.136 --> 02:41:32.521]  But I took the risk because this story, especially when it comes to the thousands, people don't understand here.
[02:41:32.801 --> 02:41:44.871]  Thousands of children were taken here and hurt in unspeakable ways by individuals within our own government with the protection of the intelligence agencies.
[02:41:45.192 --> 02:41:48.034]  Those children deserve justice.
[02:41:48.194 --> 02:41:50.396]  Alright, I want to play the 3 minute, 50 second club.
[02:41:51.196 --> 02:42:00.904]  And where can people go, Luke, to find the full reports, the full... You should repost it on your ex-account, or I'll be having to re-upload it if you want to get probably 10 million views.
[02:42:00.964 --> 02:42:15.775]  Re-upload it, you have all... Alright guys, grab Luke's original report, the whole thing, put it up, like, again, journalists infiltrate Epstein Island, our top journalist, Luke Radowski, infiltrates Epstein Island, let's get that up right now, but here's a short clip.
[02:42:36.277 --> 02:42:37.898]  Well, hello from Jeffrey Epstein's Island.
[02:42:38.478 --> 02:42:40.359]  Walking around the whole island, there's like no one here.
[02:42:40.739 --> 02:42:41.580]  Very interesting place.
[02:42:41.620 --> 02:42:43.200]  The swimming pool looks like it's in good shape.
[02:42:43.220 --> 02:42:44.881]  It's oddly, oddly quiet here.
[02:42:44.901 --> 02:42:46.902]  Come on, golf carts!
[02:42:47.502 --> 02:42:56.306]  Get the fuck out of here!
[02:42:56.726 --> 02:42:59.087]  Shit!
