[00:00:04.646 --> 00:00:05.011]  What the fuck?
[01:58:50.445 --> 01:58:56.006]  But I'm going to warn you, most people that have old injuries and where nerves have kind of died out, this isn't just regenerating your cells.
[01:58:56.166 --> 01:58:59.947]  This isn't just slowing the shrinkage of telomeres, which is the same thing as making them last longer.
[01:59:00.147 --> 01:59:02.467]  It really does regenerate nerves in many areas.
[01:59:02.687 --> 01:59:04.508]  So it's the building blocks.
[01:59:04.748 --> 01:59:05.648]  And it's the next level.
[01:59:05.708 --> 01:59:06.628]  It's the best you're going to get.
[01:59:06.768 --> 01:59:09.509]  I remember saying, what's the top selling thing like six years ago?
[01:59:09.529 --> 01:59:10.349]  We're getting into supplements.
[01:59:10.589 --> 01:59:12.411]  And well, it's PQQ and CoQ10.
[01:59:12.571 --> 01:59:17.777]  But mainly, people at grocery stores don't want to pay that, so they buy synthetic stuff that's still 50, 60 bucks for a little bottle.
[01:59:17.957 --> 01:59:24.485]  But at medical clinics, it's not prescription, but people are willing to pay, you know, 300, 400 bucks, and it's a 6, 7 times markup.
[01:59:25.766 --> 01:59:29.927]  Make it up 150% when we discount it 20-30% down to $119.
[01:59:30.167 --> 01:59:33.728]  They're still, again, most of the cost is the product.
[01:59:33.828 --> 01:59:34.828]  It's 20% off.
[01:59:34.948 --> 01:59:37.229]  Profitably make funds this operation.
[01:59:37.249 --> 01:59:39.669]  97% reviews.
[01:59:39.689 --> 01:59:40.870]  4.7 power reviews, third party.
[01:59:40.990 --> 01:59:42.890]  Please go read the reviews for yourself.
[01:59:43.150 --> 01:59:44.270]  DNA Force Plus.
[01:59:44.350 --> 01:59:45.531]  Infowarstore.com.
[01:59:45.631 --> 01:59:47.451]  It costs a lot because it's worth a lot.
[01:59:47.591 --> 01:59:48.331]  It's next level.
[01:59:48.451 --> 01:59:49.752]  Infowarstore.com.
[01:59:50.032 --> 01:59:51.652]  Fueling the human revolution.
[01:59:57.029 --> 02:00:03.815]  If you are receiving this transmission, you are the resistance.
[02:00:16.786 --> 02:00:21.650]  Six weeks ago, the Brexit Party was founded by Nigel Farage that helped found UKIP.
[02:00:22.834 --> 02:00:26.738]  And it's surged to set to win the most seats in the new parliament.
[02:00:27.658 --> 02:00:29.620]  That is scaring the hell out of the globalists.
[02:00:30.361 --> 02:00:39.288]  Lord Monckton helped found UKIP, has been involved with Brexit and promoting it, was getting into the fact that LEP is going to launch violent attacks as they lose.
[02:00:40.330 --> 02:00:51.544]  At a certain point though, when governments are controlled, and you see the British government and others actually aiding Islamists attacking people out trying to campaign, it is really frightening.
[02:00:51.584 --> 02:00:55.569]  So in the four or five minutes we have left, A, what do you predict with the violence by the left?
[02:00:56.050 --> 02:00:57.111]  How is that dealt with?
[02:00:57.131 --> 02:00:58.513]  And then B,
[02:00:59.821 --> 02:01:07.853]  What is the parliamentary and legislative moves by President Trump, by the UK, by the new Prime Minister that obviously is going to be coming in?
[02:01:07.873 --> 02:01:13.562]  I mean, we need to defend the sacrosanct pillars of our republics.
[02:01:14.816 --> 02:01:30.482]  Well, the first step we've got to do is once we get rid of Theresa May, and that could even happen tonight as I've said, though there are hot denials coming from Downing Street at the moment, once we've got rid of her because she was simply too willing to cave in,
[02:01:31.082 --> 02:01:35.303]  to the European Union and leave us in the European Union when we'd voted to get out.
[02:01:35.763 --> 02:01:47.826]  So once she's gone, we will then hope to get a Prime Minister, if the Tory party has any sense at all, who is actually willing to carry out the will of the people regardless of what the EU wants.
[02:01:48.286 --> 02:01:51.687]  And we will leave and we'll leave on World Trade Organization terms.
[02:01:51.787 --> 02:02:00.209]  Once we have freed ourselves of that, then our Prime Minister and your President are going to be working together very closely
[02:02:01.049 --> 02:02:06.952]  On dealing with the new threat of totalitarianism that comes from the totalitarian left.
[02:02:07.332 --> 02:02:16.397]  We had it with fascism in Germany, which of course was not an extreme right movement, it was an extreme left movement, the National Socialist Workers' Party of Germany.
[02:02:16.757 --> 02:02:24.601]  We had fascism, which was an extreme left movement in Italy, now branded by the left as right, but of course they were of the left.
[02:02:25.141 --> 02:02:29.003]  And then there was communism in Russia, there still is communism in China.
[02:02:29.623 --> 02:02:29.924]  I think?
[02:02:49.307 --> 02:03:02.357]  Which was nationalised and now belongs to an Indian steel company, is about to be closed down and its business transferred to India where they can make steel at half the price because they don't have to pay three times the world price for their electricity because global warming.
[02:03:03.087 --> 02:03:13.856]  So, gradually, we are going to have to fight back against this totalitarian sort of demarche, where the left are advancing on every front and through every back door.
[02:03:13.896 --> 02:03:20.602]  Wherever you look, they're getting in there, they're shutting down debate, and if they can't shut down debate, they'll turn to violence.
[02:03:21.238 --> 02:03:32.220]  Well, increasingly what we are going to do about that is to make sure that the existing laws, we have plenty of laws to prevent violence in the streets, we are going to make sure that those laws are enforced.
[02:03:32.260 --> 02:03:36.041]  You don't need to make new laws, you just need to make sure the existing laws are enforced.
[02:03:36.541 --> 02:03:42.382]  And that the penalties for violence or for attempted suppression of free speech will be very severe.
[02:03:42.842 --> 02:03:45.383]  And one of the things that we are looking at in the Brexit Party
[02:03:46.209 --> 02:03:57.177]  It's a comprehensive law which will encompass some of the finer elements of your constitution, which is a very fine constitution, notably the amendment that gave you the right of free speech.
[02:03:57.677 --> 02:04:08.705]  But if, even with the right of free speech that you have in America, there is still the silencing of free speech by no platforming and by violence in the lecture halls, in... In cartelling.
[02:04:08.725 --> 02:04:09.546]  It's just cartels.
[02:04:10.288 --> 02:04:10.728]  Exactly.
[02:04:10.768 --> 02:04:26.893]  Well, what we are going to do is to pass very stiff laws so that if universities permit the far left to behave in this way, they will lose a substantial proportion of their funding, which largely comes from taxpayers in this country.
[02:04:29.293 --> 02:04:35.835]  I agree.
[02:04:35.895 --> 02:04:37.655]  Lord Mocton, it's been too long.
[02:04:37.995 --> 02:04:42.716]  In the aftermath of the elections, please join us next week or so, or even tomorrow in the aftermath.
[02:04:43.016 --> 02:04:43.697]  Thank you so much.
[02:04:43.737 --> 02:04:45.277]  What'supwiththat.com.
[02:04:45.657 --> 02:04:47.897]  Thank you so much, and this is an amazing time to be alive.
[02:04:48.258 --> 02:04:50.478]  I would say, though, humanity and freedom's on the march.
[02:04:50.898 --> 02:04:52.378]  I think corruption is on its heels.
[02:04:52.438 --> 02:04:54.399]  We've got to press the attack in five seconds.
[02:04:54.419 --> 02:04:54.979]  Is that accurate?
[02:04:55.819 --> 02:04:56.300]  Yes it is.
[02:04:56.380 --> 02:05:00.224]  CampsConstitution.net Heartland.org CampConstitution.net
[02:05:05.293 --> 02:05:09.015]  It's never been easy to figure out the essentials of a new supplement routine.
[02:05:09.235 --> 02:05:15.838]  That's why we created the 8-Pack Power Stack, your go-to option for the building blocks of a successful approach to supplementation.
[02:05:16.098 --> 02:05:22.642]  This one-stop shop for those looking to simplify or adjust their routine is perfect for new and old info warriors alike.
[02:05:22.842 --> 02:05:29.165]  With the 8-Pack Power Stack, there's no trial and error, messy bottles laying across the counter, or 20-minute morning habits.
[02:05:29.545 --> 02:05:38.690]  Just take the wake up and work or rest and recover packs each day for quick, easy to use and conveniently accessible formulas to help you reach your peak without the deep supplement knowledge.
[02:05:38.851 --> 02:05:41.192]  Stacks of bottles and complicated routine.
[02:05:41.312 --> 02:05:44.694]  Featuring eight different formulas for a total take on your health and wellness.
[02:05:45.054 --> 02:05:48.376]  You can find what you like and get even more powerful versions in the store.
[02:05:48.776 --> 02:05:54.680]  Head to InfoWarsStore.com and check out 8-Pack Power Stack today and jumpstart your supplement routine.
[02:06:15.876 --> 02:06:18.039]  Waging war on corruption.
[02:06:18.499 --> 02:06:19.901]  It's Alex Jones.
[02:06:26.189 --> 02:06:26.790]  But it became clear.
[02:06:50.342 --> 02:06:56.743]  Eight, nine years ago, even in Newsweek and Time Magazine, they said, Alex Jones is the mad prophet of the Tea Party.
[02:06:57.503 --> 02:07:01.584]  In the wilderness, he must be stopped.
[02:07:01.644 --> 02:07:07.205]  And all these years later, I realized that I didn't invent the ideas I'm promoting.
[02:07:08.365 --> 02:07:16.867]  I'm simply promoting free market, Renaissance, Americana, and ideas that are
[02:07:18.404 --> 02:07:24.767]  We're diametrically opposed to authoritarian systems, whether they be fascist, communist, or socialist.
[02:07:27.128 --> 02:07:36.033]  But nevertheless, Infowars has been chosen by the enemy as the symbol of Americana, as the card.
[02:07:37.173 --> 02:07:45.477]  And if they can demonize it, if they can lie about it, and if they can destroy it, they believe they can demoralize you and make you give up.
[02:07:47.483 --> 02:07:49.826]  Please hold InfoWars up.
[02:07:50.446 --> 02:07:51.167]  Please promote it.
[02:07:51.187 --> 02:07:52.008]  Please support it.
[02:07:52.869 --> 02:07:55.532]  I personally hope that we can survive this.
[02:07:56.814 --> 02:07:57.615]  But even if we don't...
[02:07:58.840 --> 02:08:09.205]  Don't think a defeat of an individual or an organization is an expression of who you are, because you are the listeners and viewers that actually made InfoWars the success it is.
[02:08:09.726 --> 02:08:22.492]  Yes, I selfishly want to continue on with the future, but I don't want you to ever think that if I'm set up, killed, destroyed, imprisoned, lied about with their fake narratives, that we're losers.
[02:08:23.352 --> 02:08:25.874]  We did the right thing and told the truth, and we've already changed the world.
[02:08:26.474 --> 02:08:28.215]  So you need to continue on.
[02:08:29.104 --> 02:08:30.206]  But we're at that fork in the road.
[02:08:30.847 --> 02:08:35.193]  Will InfoWars continue on to fight more battles and win more battles thanks to your support?
[02:08:35.714 --> 02:08:40.081]  Or will we be destroyed and then you have to move on and not be demoralized?
[02:08:40.682 --> 02:08:41.263]  We're at that point.
[02:08:42.822 --> 02:08:43.482]  It's financial.
[02:08:43.962 --> 02:08:46.883]  At the end of the day, money talks, BS walks.
[02:08:47.643 --> 02:08:51.865]  Funding allows us to operate and expand and defeat the enemy.
[02:08:52.585 --> 02:08:55.326]  Not having money shuts us down and we're defeated.
[02:08:55.346 --> 02:08:58.427]  And once we've been silenced, the enemy can lie about us all they want.
[02:08:59.187 --> 02:09:02.508]  We're running Memorial Day specials right through next week.
[02:09:03.168 --> 02:09:04.549]  Some of the biggest sales we've ever done.
[02:09:04.569 --> 02:09:08.410]  60% off, extend-a-wise, for cardiovascular and heart.
[02:09:09.210 --> 02:09:10.371]  It's the best formula out there.
[02:09:11.232 --> 02:09:12.013]  MycoZX.
[02:09:12.173 --> 02:09:16.136]  Instead of just a probiotic, it's anti-fungus, anti-candida mold for your guts.
[02:09:16.477 --> 02:09:16.917]  Amazing.
[02:09:17.277 --> 02:09:17.938]  Try it for yourself.
[02:09:17.958 --> 02:09:19.659]  60% off.
[02:09:19.980 --> 02:09:23.623]  50% off our new 8-pack Power Stack Bodies Ultimate Turmeric Formula.
[02:09:24.043 --> 02:09:27.226]  Vitamin Refusion, Ultimate Bone Broth, Super Metal Vitality.
[02:09:27.266 --> 02:09:28.707]  That's 50% off.
[02:09:29.028 --> 02:09:30.489]  40% off Turbo Force Back in Stock.
[02:09:31.150 --> 02:09:35.614]  And the chocolate and vanilla protein bars are the best out there.
[02:09:35.954 --> 02:09:38.897]  There's a bunch of other specials as well, but we try to make it symbiotic.
[02:09:38.937 --> 02:09:43.141]  Great products at great prices that make your life better than Thunder Operation.
[02:09:43.401 --> 02:09:46.625]  Whatever you do, commit now like you've already done.
[02:09:47.858 --> 02:09:53.600]  To take action, whether it's word of mouth, or praying for us, or buying the products, or all three, you've already changed the world.
[02:09:54.080 --> 02:10:08.486]  And I humbly come to you with respect, and thank you again for what you've done for myself, for my children, and for your children, and for all of our own destinies, because this is an incredible time in humanity at that fork in the road, or at that crossroads.
[02:10:09.086 --> 02:10:09.747]  But whatever you do,
[02:10:10.547 --> 02:10:11.668]  Never give in to the globalist.
[02:10:12.188 --> 02:10:13.549]  Never give in to your humanity.
[02:10:13.949 --> 02:10:15.290]  Never believe you're a piece of crap.
[02:10:15.790 --> 02:10:20.653]  Never believe that humanity sucks, because that is a lie of the old serpent, Satan.
[02:10:28.918 --> 02:10:30.439]  My head is spinning right now.
[02:10:30.959 --> 02:10:33.781]  Millie Weaver this year, amazing InfoWars reporter.
[02:10:35.717 --> 02:10:44.022]  I was going to air in the last segment of this hour, a 10 and a half minute interview that they just spontaneously did with their beautiful baby, her and her husband here yesterday.
[02:10:44.082 --> 02:10:47.083]  But in time, we may not have time to get that done.
[02:10:48.664 --> 02:10:54.127]  Because they went out to a pro kill baby event, including kill babies after they're born event.
[02:10:54.647 --> 02:11:01.931]  And they had people out there saying, we're going to kill babies till age three, which is the official position of Peter Singer.
[02:11:03.470 --> 02:11:04.070]  And of the left.
[02:11:04.871 --> 02:11:10.675]  And so it's just crazy now to see that his level of anti-human exterminism is now right down to the locals.
[02:11:11.115 --> 02:11:12.516]  We're going to play those clips as well.
[02:11:13.837 --> 02:11:14.637]  So much here today.
[02:11:14.657 --> 02:11:21.061]  But first off, just during the break, we've got Fox News, CNN, MSNBC, we've got them all on all over the building.
[02:11:21.942 --> 02:11:25.024]  And I saw Pelosi, who said Trump's covering up right now.
[02:11:25.424 --> 02:11:26.405]  No, they're covering up.
[02:11:26.505 --> 02:11:32.749]  Russiagate, their own Chinagate, and their own Servergate, their own Open Bordersgate, their own Hate Americagate.
[02:11:34.309 --> 02:11:36.793]  But like Trump said yesterday, something's wrong with Fox News.
[02:11:37.334 --> 02:11:43.103]  They have these staged town halls with nothing but standing ovations bashing Trump that you know are rigged, where every person hates Trump.
[02:11:43.965 --> 02:11:44.946]  They have events where...
[02:11:46.257 --> 02:11:47.458]  They're acting like he's a criminal.
[02:11:48.419 --> 02:11:50.520]  They're having these events where they go, Oh, let's go to Pelosi.
[02:11:50.620 --> 02:11:52.422]  Oh, she prays for the president.
[02:11:52.942 --> 02:11:54.503]  She cares about the president.
[02:11:55.004 --> 02:11:58.346]  You know, she just wants him to, you know, let her into all of his life.
[02:11:59.087 --> 02:12:03.550]  Why isn't Trump going on the offense with all the crimes they've committed?
[02:12:04.110 --> 02:12:08.594]  Barr has said they are, but that's my point is you've got to go on the offense because these criminals know they've been caught.
[02:12:08.614 --> 02:12:09.955]  They're not going to stop.
[02:12:10.375 --> 02:12:12.957]  So here is just a few minutes ago with
[02:12:15.728 --> 02:12:25.876]  Perino girl, from Perino Chow, she's up there, she's up there putting all this out, and then we're gonna go to what Pelosi said earlier today, and then what Trump responded to.
[02:12:25.896 --> 02:12:29.680]  Here it is.
[02:12:29.720 --> 02:12:36.305]  Wasn't really respectful of the reason, of the Congress and the White House working together.
[02:12:36.325 --> 02:12:40.709]  He just took a pass.
[02:12:41.929 --> 02:12:45.271]  And it just makes me wonder why he did that.
[02:12:45.791 --> 02:12:48.953]  In any event, I pray for the President of the United States.
[02:12:49.794 --> 02:12:51.995]  And I pray for the United States of America.
[02:12:53.394 --> 02:13:02.776]  That's a little dramatic in terms of what happened this morning, but she, up until I think today, has really been the one that's reluctant to talk about impeachment.
[02:13:02.856 --> 02:13:06.337]  She actually had a conference call today saying, look at all these things we're doing, we don't have to do impeachment.
[02:13:06.557 --> 02:13:10.698]  The Democrats are trying to act like they're being reasonable about impeachment when it's what they want.
[02:13:10.958 --> 02:13:12.678]  They want to unseat the 2016 election.
[02:13:12.999 --> 02:13:14.519]  They got caught in the fake Russiagate.
[02:13:15.299 --> 02:13:32.324]  And now they turn it around with dozens of fake investigations and say because he won't give over all his private info so they can lie about it, twist it, attack everybody he's in business with, when nothing they do, Hillary's bashing up hard drives, bleach bidding, you know, but there's no investigations of that.
[02:13:32.704 --> 02:13:35.265]  It's all imaginary investigations.
[02:13:35.825 --> 02:13:39.986]  And her saying impeachment, and she prays for him because he's in so much trouble.
[02:13:40.026 --> 02:13:40.967]  No, they're desperate.
[02:13:41.307 --> 02:13:47.569]  Globalism's failing from Brazil to Europe to Asia to Africa to here, and they're crapping their dirty pants.
[02:13:48.509 --> 02:13:55.371]  We're going to Millie Weaver next segment, but let's go to her this morning with the talk of impeachment, and Trump's covering something up.
[02:13:57.152 --> 02:14:01.654]  We do believe that it's important to follow the facts.
[02:14:02.474 --> 02:14:06.416]  We believe that no one is above the law, including the President of the United States.
[02:14:06.796 --> 02:14:10.478]  And we believe that the President of the United States is engaged in a cover-up.
[02:14:11.278 --> 02:14:11.859]  In a cover-up.
[02:14:12.039 --> 02:14:14.040]  And that was the nature of the meeting.
[02:14:14.460 --> 02:14:15.700]  America was never great.
[02:14:15.900 --> 02:14:16.821]  It'll never be great.
[02:14:17.833 --> 02:14:18.593]  Trump sucks.
[02:14:18.793 --> 02:14:20.154]  Russians got him elected.
[02:14:20.574 --> 02:14:21.575]  All of it proved to be a fraud.
[02:14:22.055 --> 02:14:23.996]  No investigations of their criminal activity.
[02:14:24.736 --> 02:14:28.558]  And Trump just sits there waiting for him to come for everybody, while they already censor everybody.
[02:14:28.578 --> 02:14:29.018]  And I get it.
[02:14:29.398 --> 02:14:32.920]  He keeps working with the Justice Department, who keeps saying they're going to do something, but they're not.
[02:14:33.260 --> 02:14:35.060]  So we the people have to march on Washington.
[02:14:35.080 --> 02:14:36.001]  We have to call Congress.
[02:14:36.641 --> 02:14:38.122]  We have to sue all these people ourselves.
[02:14:38.202 --> 02:14:38.982]  I'm serious, folks.
[02:14:39.362 --> 02:14:42.584]  We have to fight, because you think things aren't perfect under Trump.
[02:14:42.724 --> 02:14:43.684]  Wait until they remove him.
[02:14:44.244 --> 02:14:45.405]  Here's Trump's response to this.
[02:14:47.657 --> 02:14:57.360]  So I came here to do a meeting on infrastructure with Democrats, not really thinking they wanted to do infrastructure or anything else other than investigate.
[02:14:58.460 --> 02:15:07.523]  And I just saw that Nancy Pelosi, just before our meeting, made a statement that we believe that the President of the United States is engaged in a cover-up.
[02:15:08.311 --> 02:15:17.236]  Well, it turns out I'm the most, and I think most of you would agree to this, I'm the most transparent president probably in the history of this country.
[02:15:18.237 --> 02:15:24.981]  We have given, on a witch hunt, on a hoax, the whole thing with Russia was a hoax.
[02:15:25.941 --> 02:15:28.423]  We're going to play more on this after the break, but I want to explain something.
[02:15:29.819 --> 02:15:34.762]  I told the president, and others did, sir, declare executive privilege like everybody else.
[02:15:35.202 --> 02:15:36.223]  He gave them everything.
[02:15:36.243 --> 02:15:36.863]  He had nothing to hide.
[02:15:37.224 --> 02:15:40.626]  And now they said, fine, give us 50 years of your tax returns.
[02:15:40.666 --> 02:15:41.826]  Give us your blood type.
[02:15:42.187 --> 02:15:46.449]  Give us what toilet paper you use to wipe your ass while they're committing all these crimes.
[02:15:46.969 --> 02:15:49.991]  And it's just insane to watch this happen.
[02:15:50.011 --> 02:15:52.693]  We go on the offense, or they destroy the country.
[02:15:53.013 --> 02:15:56.235]  The globalists know that we're on our last legs, and they get rid of Trump.
[02:15:56.875 --> 02:15:57.776]  InfoWars.com.
[02:15:57.796 --> 02:15:58.536]  Tomorrow's news today.
[02:15:58.556 --> 02:15:59.217]  Milly Weaver with us.
[02:16:08.724 --> 02:16:10.185]  I didn't go to college for marketing.
[02:16:11.066 --> 02:16:13.368]  I don't sit around and have traditional marketing meetings.
[02:16:13.848 --> 02:16:16.650]  I go with my gut and how I want to be treated.
[02:16:17.912 --> 02:16:18.972]  So I do market research.
[02:16:19.153 --> 02:16:20.274]  What's already the highest rated?
[02:16:20.959 --> 02:16:22.960]  What already is the best selling?
[02:16:23.540 --> 02:16:24.401]  And then we go look at it.
[02:16:25.101 --> 02:16:27.482]  We make it better and sell it for a lower price.
[02:16:28.182 --> 02:16:29.903]  Viewers and listeners understand my philosophy.
[02:16:30.323 --> 02:16:31.083]  And you've responded.
[02:16:31.184 --> 02:16:37.826]  We have a very large, successful supplement company because the quality is amazing and because of your support.
[02:16:39.507 --> 02:16:46.990]  But looking into this a few years ago, I was like, you know, I forget to take supplements myself and our listeners forget.
[02:16:47.611 --> 02:16:50.052]  How do I get myself and others to remember to take it?
[02:16:51.005 --> 02:16:55.516]  And my crew, who was just getting into marketing, goes, It's funny you say that, boss.
[02:16:56.839 --> 02:17:00.107]  Everything for 20 years, and now more than ever, is PAX.
[02:17:01.477 --> 02:17:03.638]  One pack a day, two packs a day, three packs a day.
[02:17:03.958 --> 02:17:04.858]  So it's all there.
[02:17:05.118 --> 02:17:05.719]  You don't forget.
[02:17:05.739 --> 02:17:06.639]  It's not a bunch of bottles.
[02:17:06.979 --> 02:17:07.899]  You put it in your pocket.
[02:17:07.919 --> 02:17:08.640]  You put it in your purse.
[02:17:08.660 --> 02:17:09.360]  You put it in your wallet.
[02:17:09.560 --> 02:17:10.700]  You put it in your car, your truck.
[02:17:10.800 --> 02:17:11.200]  It's ready.
[02:17:11.821 --> 02:17:13.841]  That's the eight-pack PowerStack.
[02:17:14.662 --> 02:17:19.163]  And out of the gates, we're offering it at 50% off.
[02:17:19.363 --> 02:17:23.024]  Very close to what it cost us to make.
[02:17:23.084 --> 02:17:24.705]  There is a lot of money in this.
[02:17:25.165 --> 02:17:26.446]  These are all the very best.
[02:17:27.606 --> 02:17:29.747]  And 13 pills, eight new formulas,
[02:17:30.732 --> 02:17:31.573]  It's amazing.
[02:17:32.734 --> 02:17:35.977]  Infowarsstore.com, Infowarslife.com.
[02:17:35.997 --> 02:17:42.564]  50% off because I want you to get it, I want you to see how great it is, and then I want you to sign up for auto shipping if you need to get it.
[02:17:43.989 --> 02:17:44.430]  50% off.
[02:17:44.750 --> 02:17:56.378]  The AM Wake Up and Work Pack includes a Flex and Joint Support Formula, an Energy Kickstart Formula, a Krill Oil Formula, a Nootropic Brain Formula, and a Greens Detox Formula.
[02:17:56.819 --> 02:17:58.100]  All those work together synergistically.
[02:17:58.540 --> 02:18:08.948]  The PM Rest and Recover Pack includes Immune Support Formula, Sound Sleep Formula, Krill Oil Formula, that's good day and night, and Bone Support Formula.
[02:18:09.688 --> 02:18:10.289]  Ladies and gentlemen,
[02:18:11.826 --> 02:18:16.095]  Comparable packs that aren't even as good are retail $125.
[02:18:17.378 --> 02:18:20.244]  This is retail up there like a hundred bucks.
[02:18:21.454 --> 02:18:25.395]  It is, right now ladies and gentlemen, 50% off.
[02:18:25.975 --> 02:18:31.477]  A major gamble for us because I believe you're going to reorder it close to the regular price and support the info we're after.
[02:18:32.037 --> 02:18:35.078]  This is total health and performance.
[02:18:35.878 --> 02:18:37.238]  I treat my body like hell.
[02:18:37.358 --> 02:18:38.959]  I work 18 hours a day many days.
[02:18:39.319 --> 02:18:40.539]  I take on the weight of the world.
[02:18:40.679 --> 02:18:45.921]  I focus on the injustice and I face the enemy and I fight them at every level.
[02:18:46.701 --> 02:18:51.325]  And there's no way, without the supplements from InForestLife.com, I could do it.
[02:18:51.885 --> 02:19:00.252]  And now, we have, of all our products that are amazing, the ultimate new formula, the 8-pack PowerStack, at InForestStore.com.
[02:19:01.053 --> 02:19:02.314]  Total health and performance.
[02:19:02.514 --> 02:19:09.660]  I just want to encourage you to realize that 50% off, this is unprecedented, and your support is critical.
[02:19:10.140 --> 02:19:12.122]  In a world of phonies, folks, InForest is real.
[02:19:12.722 --> 02:19:17.107]  In a world of fraud, we're 100% committed, religiously, to telling you the truth.
[02:19:18.689 --> 02:19:22.793]  Because, metaphysically, I am tied to the truth, and I am tied to your success.
[02:19:23.073 --> 02:19:23.954]  You are tied to mine.
[02:19:24.275 --> 02:19:26.818]  You need to get the 8-pack PowerStack today at m4restore.com.
[02:19:26.838 --> 02:19:29.000]  You need to fund the M4 into the future.
[02:19:29.801 --> 02:19:30.702]  Now the choice is up to you.
[02:19:31.701 --> 02:19:37.947]  Total health and performance in two different packets, AM and PM.
[02:19:38.528 --> 02:19:42.712]  This is the 8-Pack PowerStack Daily Care System.
[02:19:43.193 --> 02:19:44.975]  These are the very best
[02:19:46.809 --> 02:19:55.694]  13 capsules, 8 new formulas that we could bring you that just does things for every part of your body, every part of your system.
[02:19:56.554 --> 02:20:01.797]  We looked at the best selling products out there and we made it even better and we lowered the price.
[02:20:06.319 --> 02:20:08.961]  You're listening to the Alex Jones Show.
[02:20:37.886 --> 02:20:53.398]  Alright folks, we're going to cover this next segment that ties into the anti-human agenda.
[02:20:54.078 --> 02:20:56.960]  CBS saying don't take care of kids, work at your job.
[02:20:58.041 --> 02:21:00.963]  The left saying don't have families, that gets in the way of our world government.
[02:21:01.684 --> 02:21:05.166]  This just broke on Infowars.com and Newswars.com and only you can
[02:21:06.178 --> 02:21:09.600]  Facebook it, tweet it, email it, text message it to get it out there.
[02:21:10.480 --> 02:21:14.422]  Target sells LGBTQ clothing for children.
[02:21:15.683 --> 02:21:19.905]  Funds group whose founder praised the North American Man-Boy Love Association.
[02:21:21.548 --> 02:21:23.288]  And it says, hashtag take pride.
[02:21:23.308 --> 02:21:26.449]  Folks, it's like cartoons now that show gay characters.
[02:21:26.789 --> 02:21:28.009]  Kids aren't into sex.
[02:21:28.609 --> 02:21:28.949]  They're not.
[02:21:29.169 --> 02:21:30.290]  It's sexualization of children.
[02:21:30.750 --> 02:21:31.450]  It's pure evil.
[02:21:32.810 --> 02:21:34.891]  And it's admittedly going on.
[02:21:35.151 --> 02:21:36.011]  And it's got to stop.
[02:21:36.031 --> 02:21:37.611]  That story's up on NewsWorks.com.
[02:21:38.111 --> 02:21:40.171]  Please, for the children, get it out.
[02:21:40.231 --> 02:21:44.852]  Milly, you were making points about Trump and one witch hunt ends.
[02:21:44.932 --> 02:21:47.633]  And as we said, they promised to fire a bunch of others.
[02:21:48.473 --> 02:21:55.335]  Trump's got them all dead to right, but he's got a political justice department that's been involved in all sorts of illegal activity at the highest levels.
[02:21:56.276 --> 02:21:59.557]  The average rank and file, I'm not just saying it, I've researched it, are pretty good people on average.
[02:22:01.618 --> 02:22:07.780]  But at the top, it's a political corrupt mafia, and I don't know what Trump or what we're supposed to do, but this is serious.
[02:22:08.342 --> 02:22:13.303]  Well, what would be the point of impeaching a president right before campaign season?
[02:22:13.363 --> 02:22:16.944]  We already know that his time is coming up unless he gets re-elected.
[02:22:17.304 --> 02:22:18.284]  Well, that's what it is.
[02:22:18.544 --> 02:22:29.226]  The Democrats are panicking because they know they don't have a solid candidate to go up against Trump when he's polling great and everyone is supporting him and he's been improving the economy.
[02:22:29.266 --> 02:22:33.087]  And Pelosi knows that, but her constituents and her party are demanding it.
[02:22:33.840 --> 02:22:41.043]  Exactly, and for example, Joe Biden, when he just had his campaign release, his first rally in Pittsburgh, I went there and covered it.
[02:22:41.303 --> 02:22:48.487]  He barely could fill a 240 occupancy building, Alex, and his overflow was like 15, 20 people.
[02:22:48.827 --> 02:22:57.311]  They are panicking because in that same city, Trump has held rallies there, and I've been to them, and it's miles long, miles long of people standing in line.
[02:22:57.831 --> 02:22:58.871]  They're panicking.
[02:22:58.891 --> 02:22:59.732]  You live in Ohio.
[02:22:59.752 --> 02:23:00.392]  You cover it every week.
[02:23:00.692 --> 02:23:01.252]  Oh yeah!
[02:23:01.532 --> 02:23:03.133]  I cover the whole campaign.
[02:23:03.153 --> 02:23:04.314]  So let's be clear, let's be clear.
[02:23:04.834 --> 02:23:06.314]  They have way less energy than 2016.
[02:23:06.554 --> 02:23:08.615]  Their censorship's backfiring.
[02:23:09.216 --> 02:23:10.236]  They're not giving up though.
[02:23:10.256 --> 02:23:11.176]  They're getting violent.
[02:23:11.537 --> 02:23:12.517]  They're getting aggressive.
[02:23:12.617 --> 02:23:13.317]  They're out of control.
[02:23:13.677 --> 02:23:17.059]  They want to disqualify him so that he can't run.
[02:23:17.079 --> 02:23:21.120]  Let me just tell you, I just had the top court in Canada send us a letter.
[02:23:21.160 --> 02:23:25.882]  They're suing us because I'm criticizing them taking kids from their parents and forced drugging them.
[02:23:26.383 --> 02:23:27.303]  That's global government.
[02:23:27.843 --> 02:23:29.404]  I have to deal with that when the show goes off today.
[02:23:30.256 --> 02:23:32.018]  That they want to silence everybody.
[02:23:32.338 --> 02:23:37.082]  And if you don't want to take kids and drug them or cut their balls off, you're going to be sued by the Canadian government.
