[00:00:12.290 --> 00:00:17.234]  Crashing through the lies and disinformation, it's Alex Jones.
[00:50:58.357 --> 00:50:59.718]  So I'm going to read it to you from right here.
[00:51:01.219 --> 00:51:02.080]  And this is a big deal.
[00:51:04.302 --> 00:51:05.263]  It's a very big deal.
[00:51:08.246 --> 00:51:11.749]  And everyone needs to understand that this woman is a monster.
[00:51:14.292 --> 00:51:15.832]  This is again at Infowars.com.
[00:51:16.533 --> 00:51:19.954]  Ilhan Omar calls for eliminating existence of Border Patrol officers.
[00:51:20.394 --> 00:51:30.397]  Congresswoman Ilhan Omar has called for eliminating Border Patrol officers because of their views towards black and brown people, despite the fact that 51% of CPB agents are Latino.
[00:51:31.980 --> 00:51:37.302]  And this is her calling for this just days ago, and now you see this firebombing attack.
[00:51:37.642 --> 00:51:42.264]  We have rogue agencies that have no accountability, no transparency in how they are conducting their businesses.
[00:51:42.644 --> 00:51:46.065]  We know they have spoken in the most vile ways about immigrants.
[00:51:46.426 --> 00:51:50.367]  We know they have certain views about what brown and black people deserve, said Omar.
[00:51:50.707 --> 00:51:52.528]  Total, out-of-control race baiting.
[00:51:52.928 --> 00:51:55.109]  We'll have that video for you when we come back.
[00:51:56.209 --> 00:52:02.357]  So we should be having conversation about eliminating their existence, she added, before accusing Border Patrol agents of terrorizing migrants.
[00:52:02.377 --> 00:52:07.444]  According to Customs and Border Protection, over half the agents who guard the borders between the U.S.
[00:52:07.464 --> 00:52:08.586]  and Mexico, the U.S.
[00:52:08.646 --> 00:52:09.567]  and Canada, are Hispanic.
[00:52:09.927 --> 00:52:12.311]  The number is from 2008, so it's probably even higher now.
[00:52:13.404 --> 00:52:20.151]  The probability to portray CPB agents as some kind of vanguard of white supremacy is clearly wholly inaccurate and hysterical.
[00:52:20.731 --> 00:52:23.414]  This is par for the course when it comes to Ilhan Omar.
[00:52:23.694 --> 00:52:34.025]  The left's crusade against border security has kicked into high gear with the New York Times publishing an op-ed this past weekend that called for the doxing and public harassment of border patrol agents.
[00:52:34.405 --> 00:52:34.706]  And now...
[00:52:36.593 --> 00:52:51.704]  Antifa wears the shirts all over the country showing Border Patrol being killed, police being killed, stabbed with bayonets, punched in the face, and it says, we beat them in the 1940s, we can beat them again.
[00:52:53.846 --> 00:53:03.693]  And it's nothing but delusional, low IQ meth-head types who believe, though, they're literally, again, Captain America fighting Red Skull.
[00:53:04.983 --> 00:53:22.375]  So I will get to the manifesto, I will get to Ilhan Omar, I will get to the firebombing attack and the shooting attack on the ICE facility by a known Antifa militarized unit that's the most militarized and the most violent, the most extreme of the terror organization Antifa.
[00:53:23.595 --> 00:53:34.623]  And this guy went and firebombed and shot up the facility, shot up the police and got killed, said he was going to do it, and the governor says he went to hurt the ICE detainees.
[00:53:36.550 --> 00:53:40.334]  That story's on Infowars.com and Newswars.com as well.
[00:53:40.794 --> 00:53:42.956]  That's the magnitude of these people.
[00:53:43.377 --> 00:53:44.998]  It's not just that they're out killing people.
[00:53:47.581 --> 00:53:49.683]  It's that we're trying to kill people.
[00:53:49.743 --> 00:53:54.327]  It's that they then have the media lie about who they are and what they're doing.
[00:53:54.948 --> 00:54:01.154]  And they think they're rock stars in these mental illness bubbles of New York City,
[00:54:03.083 --> 00:54:08.425]  Portland, Oregon, Seattle, Washington, San Francisco, California, and L.A.
[00:54:08.765 --> 00:54:24.390]  They're just crazy people that work for multinational corporations, work for George Soros, an actual Nazi collaborator, and they are just the weakest-minded followers who now think it's their green light, their wink and a nod, to go out and attack people.
[00:54:25.710 --> 00:54:30.132]  It's very interesting that most of them are Democrats and most of them are white because
[00:54:32.796 --> 00:54:36.397]  That's who went around harassing black people in the 50s and 60s and 70s.
[00:54:37.437 --> 00:54:40.338]  Was, again, white Democrats.
[00:54:41.178 --> 00:54:50.741]  But now, they're still a racially based system, but now they see the numbers are dwindling white population, so they jump on board to be the biggest cheerleaders that white people are the devil.
[00:54:51.801 --> 00:54:53.482]  Truly, the scum of the earth.
[00:54:53.522 --> 00:54:56.903]  We've got so much more to get to today, but these people mean business.
[00:54:56.943 --> 00:55:01.244]  I mean, we've told you the violent attacks are going to intensify, and the fact that
[00:55:02.421 --> 00:55:08.263]  Blue cities defend and protect these slime bags everywhere, has only encouraged it to get worse.
[00:55:09.063 --> 00:55:18.846]  So I promise I'm going to be a little bit more, not focused, but judicious about the time because I digressed off into Hillary and Biden planning to leave the race and all the rest of it.
[00:55:20.187 --> 00:55:30.990]  Just to point out, as I was remembering last few days, just how incredible we were over the target with our exclusive information on Hillary being so sick.
[00:55:32.253 --> 00:55:37.236]  And how, even now, I've had people I know go, really?
[00:55:37.416 --> 00:55:39.557]  You got a source saying Biden's talking about quitting?
[00:55:40.338 --> 00:55:41.318]  Yeah, of course I do!
[00:55:41.338 --> 00:55:47.882]  You think I just made up a black ambulance, and Hillary falls down and has convulsions, and then she does it on tape, and it's put in a black ambulance?
[00:55:48.322 --> 00:55:50.263]  You think I just magically made that up?
[00:55:50.783 --> 00:55:57.847]  It'd be one out of quadrillion, gazillion, begillion, impossible infinities for me to just make that up and it comes true.
[00:55:58.527 --> 00:55:59.328]  It's impossible!
[00:56:01.195 --> 00:56:02.475]  I told you about the New World Order.
[00:56:02.515 --> 00:56:03.736]  I told you about Jeffrey Epstein.
[00:56:03.976 --> 00:56:05.776]  I told you about the cell phones watching you.
[00:56:06.016 --> 00:56:09.657]  I told you about the Google Assist real people listening to you.
[00:56:09.938 --> 00:56:12.098]  I told you about the cancer viruses, the vaccines.
[00:56:12.338 --> 00:56:14.559]  I told you about all of it because it's all there.
[00:56:14.819 --> 00:56:19.500]  It's not hard to find, but you've got to have the will to admit it's real and it's happening.
[00:56:19.840 --> 00:56:21.461]  And yes, I get pissed when I talk about it.
[00:56:23.203 --> 00:56:24.323]  This isn't a game, folks.
[00:56:24.363 --> 00:56:25.044]  It's not a joke.
[00:56:25.064 --> 00:56:26.244]  This is the real world.
[00:56:26.864 --> 00:56:29.565]  And a lot of our fellow countrymen and humans are falling to this evil.
[00:56:30.066 --> 00:56:31.346]  They're falling to this malaise.
[00:56:31.686 --> 00:56:39.489]  They're falling to this virtual reality put out by MSM, where they really think they're fighting and killing Nazis, when they work for real Nazis.
[00:56:40.390 --> 00:56:41.490]  It's unbelievable.
[00:56:41.650 --> 00:56:46.072]  We'll read the manifesto of this poor idiot, this dangerous moron, when we come back.
[00:56:47.062 --> 00:56:47.762]  And so much more.
[00:56:48.722 --> 00:56:52.723]  Please don't forget we're running the 1776 Worldwide Special.
[00:56:53.443 --> 00:56:54.664]  That will end in a couple days.
[00:56:55.204 --> 00:56:57.524]  And it's the biggest special we've had ever on apparel.
[00:56:58.204 --> 00:56:59.585]  All apparel is 1776.
[00:57:00.365 --> 00:57:03.966]  That is the largest across the board sales.
[00:57:03.986 --> 00:57:10.627]  A lot of these shirts are designer, where the fabric is costing us $9, $10 per shirt, not just the printing on a lot of these shirts.
[00:57:10.667 --> 00:57:11.567]  So that is a great deal.
[00:57:12.248 --> 00:57:13.088]  Get your new
[00:57:15.023 --> 00:57:15.944]  Abolitionists flagged.
[00:57:15.964 --> 00:57:17.345]  The left now calls Nazi.
[00:57:18.246 --> 00:57:19.687]  The Betsy Ross flagged.
[00:57:20.008 --> 00:57:21.309]  Nike's pulling off the rest of it.
[00:57:21.669 --> 00:57:23.331]  Four different variants, navy blue and white.
[00:57:24.512 --> 00:57:26.474]  My favorite says these colors don't run on the front.
[00:57:27.551 --> 00:57:31.855]  And on the back, it says America's Back Infowars.com.
[00:57:32.255 --> 00:57:33.716]  Get those shirts, $17.76.
[00:57:34.317 --> 00:57:40.221]  And all the products other than that are 75% to 25% off storewide at Infowars.com.
[00:57:40.522 --> 00:57:41.583]  A gigantic sale.
[00:57:42.123 --> 00:57:46.607]  Critical to sell a lot of products at those prices because we're not making a lot per product, but we are moving a lot of product.
[00:57:46.807 --> 00:57:47.908]  So thank you all for your support.
[00:58:02.293 --> 00:58:03.934]  Joe in California, then Kevin.
[00:58:03.954 --> 00:58:04.594]  Joe, you're on the air.
[00:58:04.614 --> 00:58:05.035]  Thanks for holding.
[00:58:05.135 --> 00:58:05.575]  Hey, Alex.
[00:58:05.715 --> 00:58:16.741]  I wanted to say to you that when history presents itself, that you are one of the most important people that this country's ever had, as far as getting the word out, making the truth of what's going on in our country.
[00:58:16.981 --> 00:58:22.384]  And I want to thank you for that, because 15 years ago, when I started listening to you, I had no idea what was going on.
[00:58:22.644 --> 00:58:26.926]  And now people, when I talk to people, they think I'm crazy, and I just tell them, here's the fact.
[00:58:27.106 --> 00:58:28.307]  And I'm educating people.
[00:58:28.407 --> 00:58:31.869]  My family thought I was crazy for a long time, but now they're really educated.
[00:58:32.149 --> 00:58:32.949]  We're good to go.
[00:58:32.969 --> 00:58:33.550]  We're good to go.
[00:58:33.590 --> 00:58:34.090]  We're good to go.
[00:58:34.110 --> 00:58:34.710]  We're good to go.
[00:58:34.730 --> 00:58:35.351]  We're good to go.
[00:58:35.411 --> 00:58:36.031]  We're good to go.
[00:58:36.071 --> 00:58:36.891]  We're good to go.
[00:58:36.931 --> 00:58:37.351]  We're good to go.
[00:58:37.371 --> 00:58:37.692]  We're good to go.
[00:58:37.712 --> 00:58:38.332]  We're good to go.
[00:58:38.352 --> 00:58:39.032]  We're good to go.
[00:58:39.052 --> 00:58:39.632]  We're good to go.
[00:58:39.652 --> 00:58:40.173]  We're good to go.
[00:58:40.193 --> 00:58:41.273]  We're good to go.
[00:58:41.293 --> 00:58:41.753]  We're good to go.
[00:58:41.813 --> 00:58:42.314]  We're good to go.
[00:58:42.334 --> 00:58:42.854]  We're good to go.
[00:58:42.894 --> 00:58:43.394]  We're good to go.
[00:58:43.414 --> 00:58:43.774]  We're good to go.
[00:58:43.794 --> 00:58:44.355]  We're good to go.
[00:58:44.375 --> 00:58:44.955]  We're good to go.
[00:58:44.995 --> 00:58:45.775]  We're good to go.
[00:58:45.795 --> 00:58:46.415]  We're good to go.
[00:58:46.455 --> 00:58:47.336]  We're good to go.
[00:58:47.376 --> 00:58:47.976]  We're good to go.
[00:58:47.996 --> 00:58:48.616]  We're good to go.
[00:58:48.636 --> 00:58:49.237]  We're good to go.
[00:58:49.257 --> 00:58:49.697]  We're good to go.
[00:58:49.737 --> 00:58:50.377]  We're good to go.
[00:58:50.457 --> 00:58:50.997]  We're good to go.
[00:58:51.017 --> 00:58:51.598]  We're good to go.
[00:58:51.618 --> 00:58:52.398]  We're good to go.
[00:58:52.418 --> 00:58:52.958]  We're good to go.
[00:58:52.978 --> 00:58:53.439]  We're good to go.
[00:58:53.479 --> 00:58:53.959]  We're good to go.
[00:58:53.979 --> 00:58:54.479]  We're good to go.
[00:58:54.499 --> 00:58:55.019]  We're good to go.
[00:58:55.039 --> 00:58:55.139]  We're
[00:58:56.800 --> 00:58:59.503]  It's super male, the bone broth, the colloidal silver.
[00:58:59.523 --> 00:59:01.065]  I give my kids colloidal silver.
[00:59:01.085 --> 00:59:04.049]  If they got a cold within a day or so, they don't have that cold anymore.
[00:59:04.149 --> 00:59:08.174]  My blood pressure has went from high to low, and the doctors keep asking me what I'm taking.
[00:59:08.194 --> 00:59:10.937]  So I want to commend you on making the best product out there.
[00:59:11.057 --> 00:59:14.081]  And I went through a lot of products, and I don't think anything's better than yours.
[00:59:14.241 --> 00:59:16.763]  Well, I appreciate your support, and again, I'll just tell people the truth.
[00:59:16.943 --> 00:59:18.744]  I know supplements work if they're high quality.
[00:59:19.305 --> 00:59:21.326]  I'm the worst at not taking them.
[00:59:21.346 --> 00:59:25.469]  And so I go through cycles where I take them, and then I lose all this weight and get healthy, and then I stop taking them.
[00:59:25.770 --> 00:59:28.592]  And I'm like, how do I get myself to take my own supplements?
[00:59:28.772 --> 00:59:32.615]  And then as soon as I go back on supplements, like I did two weeks ago, things start getting better again.
[00:59:32.635 --> 00:59:35.997]  So yes, these are the very best supplements out there, and they fund the Second American Revolution.
[00:59:36.117 --> 00:59:37.858]  So thank you so much, Joe, for those kind words.
[00:59:37.959 --> 00:59:39.600]  That's what funds the InfoWar.
[00:59:39.680 --> 00:59:41.901]  At InfoWarStore.com or InfoWarsLife.com.
[00:59:54.901 --> 01:00:00.805]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones!
[01:00:21.844 --> 01:00:28.192]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[01:00:29.294 --> 01:00:37.844]  Alright, I'm about to get into the manifesto of the gentleman that...
[01:00:38.936 --> 01:00:40.616]  Firebombed the building.
[01:00:40.756 --> 01:00:43.057]  Cars were shooting at police and got killed yesterday.
[01:00:43.697 --> 01:00:48.658]  And the bigger twist, the specifics of the governor, saying he did it for Trump, trying to hurt the people inside.
[01:00:48.678 --> 01:00:50.218]  I mean, you just can't make this stuff up.
[01:00:50.998 --> 01:00:53.378]  But first, we have a report by Greg Reese.
[01:00:54.039 --> 01:01:00.980]  Milkshakes to maul off radicalization of leftist pawns go full-blown terrorist.
[01:01:01.760 --> 01:01:07.261]  And when you read the manifesto of this guy, again, you're listening to a delusional fruitcake.
[01:01:08.097 --> 01:01:12.520]  And it's very, very frightening and scary to see how these pawns have been radicalized.
[01:01:12.560 --> 01:01:13.020]  Here it is.
[01:01:15.081 --> 01:01:22.526]  On Friday evening, hundreds of protesters overtook the flagpoles outside the ice facility in Aurora, Colorado.
[01:01:23.447 --> 01:01:33.033]  They raised a Mexican flag, an upside-down American flag with abolished ice spray-painted on it, and an upside-down Blue Lives Matter flag.
[01:01:34.662 --> 01:01:42.284]  Less than a day later, a man armed with a rifle threw incendiary devices at an ICE detention center in Tacoma, Washington.
[01:01:42.304 --> 01:01:44.305]  A car in the parking lot was torched.
[01:01:44.365 --> 01:01:44.865]  You know what?
[01:01:44.905 --> 01:01:45.745]  Go ahead and pause.
[01:01:46.505 --> 01:01:47.706]  This report's too powerful.
[01:01:48.906 --> 01:01:50.487]  Some stations don't carry this five minutes.
[01:01:51.847 --> 01:01:58.389]  I'm gonna come back, and I'm going to play it next segment and get into the manifesto, because here's the thing.
[01:02:00.089 --> 01:02:01.870]  When I get really irritable, like I am right now,
[01:02:03.226 --> 01:02:06.169]  It's because I'm angry at myself that I haven't done enough to stop this.
[01:02:07.150 --> 01:02:09.473]  And there's also the sycophantic thing from the left.
[01:02:09.673 --> 01:02:10.754]  Oh, you worship the police.
[01:02:10.834 --> 01:02:14.979]  Now, I've been very critical of bad police over the years, and I'm an expert on the police state.
[01:02:16.021 --> 01:02:20.044]  Which is the corrupt government using the police as an instrument of oppression.
[01:02:20.784 --> 01:02:23.366]  The police have had their major problems.
[01:02:23.426 --> 01:02:27.769]  But in response to the globalist tyranny, we've actually seen a lot of reforms by the police.
[01:02:28.510 --> 01:02:37.716]  And if I have to choose the globalist CHICOM funded over our own municipal police, obviously I'm going to choose that.
[01:02:38.417 --> 01:02:42.740]  And you watch how the whole corporate media has been demonizing police for decades.
[01:02:44.130 --> 01:02:44.650]  It's incredible.
[01:02:45.050 --> 01:02:55.612]  You know, I noticed like six, seven years ago that when we would bash bad police, or police that the media claimed were bad, that we would be monetized by YouTube, and oh, it'd be promoted to the front page of YouTube.
[01:02:56.772 --> 01:03:04.174]  But if I did a positive profile on police, they would hide the video.
[01:03:04.794 --> 01:03:06.334]  And that was really the final straw.
[01:03:07.554 --> 01:03:10.855]  I guess like eight, nine years ago, when I started figuring out the big picture.
[01:03:13.826 --> 01:03:19.769]  And so now this country is descending into a civil war.
[01:03:20.590 --> 01:03:25.973]  And it's like watching your family be destroyed in front of you because we live here.
[01:03:26.553 --> 01:03:27.374]  This is our nation.
[01:03:28.294 --> 01:03:38.220]  And there's no restraint on the left with Ilhan Omar and just all the things they're doing and the way they've been inciting all of this.
[01:03:39.101 --> 01:03:40.642]  And it's only getting worse by the minute.
[01:03:42.223 --> 01:03:42.903]  So we come back.
[01:03:45.316 --> 01:03:50.180]  We're going to play his report because I got really upset when I saw Greg's report.
[01:03:54.544 --> 01:04:08.636]  And then I went live on air and had forgotten that when I was talking about American flags being taken down and Mexican flags being run up, that I didn't even point out they flew the American flag upside down
[01:04:10.009 --> 01:04:12.070]  With abolished ice spray painted across it.
[01:04:12.790 --> 01:04:15.791]  With the Blue Lives Matter flag upside down, pissed all over.
[01:04:16.551 --> 01:04:26.214]  And it just shows how the MSM and the corporate media and the universities have successfully radicalized giant armies of jerks.
[01:04:27.254 --> 01:04:33.756]  Many of which came to this country for a free ride and then disrespect us the entire time.
[01:04:34.676 --> 01:04:36.577]  And that's where my frustration comes in, is that
[01:04:37.756 --> 01:04:45.621]  You know, I get up here and I talk about leftists being into child sex and child torture, and then I say all this crazy stuff, and I'm not making it up.
[01:04:46.341 --> 01:04:51.064]  When I talk about them torturing toddlers to death and drinking their blood, that's real confirmed cases, okay?
[01:04:51.765 --> 01:04:54.827]  I'm telling you, you cannot underestimate how evil these people are.
[01:04:55.267 --> 01:04:57.368]  And their servants are just the scum of the earth.
[01:04:57.969 --> 01:04:59.450]  Alright, well we'll be back in 60 seconds.
[01:05:03.467 --> 01:05:08.429]  Infowarsstore.com is how you support us, and it's not like we're selling stuff you don't need, you don't want.
[01:05:08.669 --> 01:05:16.211]  The air in the average American home is filled with toxins that put it on par with a major city.
[01:05:17.232 --> 01:05:19.793]  Some of the most polluted areas on earth are major cities.
[01:05:20.213 --> 01:05:21.553]  How can I solve that problem?
[01:05:21.953 --> 01:05:28.215]  So we have air filters at Infowarsstore.com, the Alexa Pure Breeze, which is right now $50 off.
[01:05:30.316 --> 01:05:35.219]  The Alexa Pure Breeze groundbreaking ion cluster air filter technology.
[01:05:35.640 --> 01:05:38.542]  And we've got a limited quantity of these left right now.
[01:05:38.602 --> 01:05:42.184]  We're basically selling these at cost because there was a big overhaul.
[01:05:42.204 --> 01:05:46.087]  Go ahead and read the hundreds of five-star reviews for yourself.
[01:05:46.507 --> 01:05:48.208]  I've got two in my home.
[01:05:48.328 --> 01:05:53.952]  You will notice the difference, ladies and gentlemen, with the Alexa Pure Breeze in your house.
[01:05:54.432 --> 01:05:55.273]  Don't live
[01:05:56.093 --> 01:05:59.816]  In a polluted major city, in your home, have clean air.
[01:06:00.156 --> 01:06:01.437]  Go to Infowarsstore.com.
[01:06:01.497 --> 01:06:19.069]  Welcome back, I'm your host Alex Jones, hour number two of the Sunday broadcast.
[01:06:20.389 --> 01:06:23.932]  The globalists and their leftist mobs know that America and the world's waking up.
[01:06:24.926 --> 01:06:27.188]  The corporate fascism in the guise of world government.
[01:06:29.170 --> 01:06:30.151]  And so they're resisting.
[01:06:30.171 --> 01:06:34.736]  But Ilhan Omar, AOC, Joe Biden, they're all calling for physical revolution.
[01:06:34.796 --> 01:06:35.657]  Any means necessary.
[01:06:35.677 --> 01:06:36.518]  Overthrow the government.
[01:06:37.779 --> 01:06:46.268]  Just last week, InfoWars.com ran the story Ilhan Omar's calls for eliminating existence of Border Patrol officers themselves.
[01:06:46.568 --> 01:06:47.029]  Here she is.
[01:06:48.499 --> 01:06:57.703]  We have rogue agencies that have no accountability, no transparency in how they conduct their business.
[01:06:57.884 --> 01:07:04.427]  We know that they have spoken in the most vile ways about immigrants.
[01:07:05.947 --> 01:07:12.851]  We know that they have certain views about what brown and black people deserve.
[01:07:15.712 --> 01:07:20.795]  We should be having a conversation about eliminating their existence.
[01:07:21.956 --> 01:07:31.081]  Reforming the agencies that deal with our most vulnerable, which are children and women.
[01:07:32.902 --> 01:07:56.640]  And we are continuing to allow for them to terrorize people who are running away from the most horrific circumstances, and that's one inhumane, and that can't sit well with the American values that we have, that sort of really clearly cares about dignity and humanity.
[01:07:57.040 --> 01:07:57.500]  Right.
[01:07:57.920 --> 01:07:58.260]  Okay.
[01:07:59.320 --> 01:08:04.561]  Decade-old numbers is the Border Patrol is about 55% Hispanic, about 10% black.
[01:08:04.622 --> 01:08:06.182]  The numbers are it's way above that.
[01:08:06.422 --> 01:08:09.062]  They're not official, but looks like about 65% Hispanic now.
[01:08:09.843 --> 01:08:13.423]  The idea that they're Nazis or these are concentration camps is asinine.
[01:08:15.044 --> 01:08:17.824]  These are failing borders, failed states that we border.
[01:08:18.984 --> 01:08:21.265]  They're pouring across one-third are kidnapped children.
[01:08:21.285 --> 01:08:22.245]  That's mainline numbers.
[01:08:23.945 --> 01:08:25.486]  Obama invited everybody to come in.
[01:08:25.526 --> 01:08:27.388]  They say, if you have a kid, you get in free.
[01:08:27.548 --> 01:08:28.268]  Everything's free.
[01:08:28.288 --> 01:08:37.395]  And when people get here, they're pulling down American flags and running up Mexican flags in places like Aurora, Colorado, yesterday.
[01:08:38.456 --> 01:08:46.742]  And then Ilhan Omar fled a failed state, married her brother to do it, has been caught in income tax fraud that she's pled guilty to and paid fines.
[01:08:47.843 --> 01:08:48.823]  Never worked a day in her life.
[01:08:48.843 --> 01:08:51.145]  Just came and got on welfare and then runs tax camps.
[01:08:51.766 --> 01:08:52.206]  She's a criminal.
[01:08:54.304 --> 01:09:00.607]  And then she flees Somalia that has bombings every day and women are not elected to government.
[01:09:00.827 --> 01:09:02.327]  Women are basically chattel.
[01:09:02.988 --> 01:09:07.910]  They had giant bombings and machine gun attacks at the only working hotel basically in the country yesterday.
[01:09:09.410 --> 01:09:10.531]  They don't have working airfields.
[01:09:12.381 --> 01:09:13.782]  They don't have electricity in most areas.
[01:09:14.422 --> 01:09:20.284]  But she comes here, I have another clip coming up, and talks about how Americans born here are not patriotic.
[01:09:20.384 --> 01:09:24.086]  She's a real American and she'll teach you how to not be evil.
[01:09:25.406 --> 01:09:28.487]  And then Trump said, which please go back to Somalia.
[01:09:29.288 --> 01:09:31.989]  If you want to come here from Somalia and you want to be part of the country, that's great.
[01:09:33.356 --> 01:09:33.896]  But here's the deal.
[01:09:33.976 --> 01:09:42.599]  Please don't come from the most barbarous, backwards place on the planet and lecture us all day about how great you are.
[01:09:43.940 --> 01:09:45.600]  She's nothing but a parasite.
[01:09:48.861 --> 01:09:51.182]  Nothing but a parasite.
[01:09:52.423 --> 01:09:54.403]  So, I want to go to Greg Reese's report here.
[01:09:54.463 --> 01:09:55.564]  It's short, but it's powerful.
[01:09:57.435 --> 01:10:00.338]  Titled, Milkshakes to Maul Off Cocktails.
[01:10:00.919 --> 01:10:04.803]  Radicalized leftist pawns go full-blown terrorist.
[01:10:05.264 --> 01:10:06.365]  Here is the report.
[01:10:06.525 --> 01:10:07.667]  It's on Infowars.com.
[01:10:08.007 --> 01:10:08.648]  Please find it.
[01:10:08.848 --> 01:10:09.449]  Please share it.
[01:10:09.749 --> 01:10:11.731]  America and the world's counting on you.
[01:10:12.152 --> 01:10:14.174]  Only you can stop the globalists.
[01:10:14.194 --> 01:10:14.515]  Here it is.
[01:10:16.758 --> 01:10:24.223]  On Friday evening, hundreds of protesters overtook the flagpoles outside the ICE facility in Aurora, Colorado.
[01:10:25.144 --> 01:10:34.731]  They raised a Mexican flag, an upside-down American flag with abolished ICE spray-painted on it, and an upside-down Blue Lives Matter flag.
[01:10:36.351 --> 01:10:43.996]  Less than a day later, a man armed with a rifle threw incendiary devices at an ICE detention center in Tacoma, Washington.
[01:10:44.157 --> 01:10:51.502]  A car in the parking lot was torched, and investigators say the suspect threw flares at a propane tank, trying to make it explode.
[01:10:52.022 --> 01:10:55.364]  Ultimately, four officers opened fire, killing the man.
[01:10:55.805 --> 01:11:00.708]  The Democratic Party is running their platform on radical open border policies.
[01:11:01.168 --> 01:11:05.852]  Raise your hand if your government plan would provide coverage for undocumented immigrants.
[01:11:09.540 --> 01:11:13.184]  If the border goes, then our Constitution goes with it.
[01:11:14.206 --> 01:11:17.329]  Antifa has been using Molotov cocktails in Europe.
[01:11:17.990 --> 01:11:21.614]  And now the dangerous trend has officially arrived in the U.S.
[01:11:22.335 --> 01:11:24.698]  And the mainstream media supports them.
[01:11:24.838 --> 01:11:27.541]  They are strictly principled anti-fascists.
[01:11:27.861 --> 01:11:29.603]  It says it right in the name, Antifa.
[01:11:29.803 --> 01:11:33.467]  Anti-fascism, which is what they were there fighting.
[01:11:33.648 --> 01:11:40.395]  I think that a lot of people recognize that when pushed, self-defense is a legitimate response to white supremacist neo-Nazi violence.
[01:11:40.535 --> 01:11:46.819]  When you go to cancer treatment, the radiation is tough treatment, but it is meant to remove the cancer.
[01:11:47.239 --> 01:11:48.860]  But who is really to blame?
[01:11:49.461 --> 01:11:58.407]  There are elected government officials who support Antifa and fill their minds with radical claims of a holocaust happening on our southern border.
[01:11:58.427 --> 01:12:02.970]  The United States is running concentration camps on our southern border.
[01:12:03.950 --> 01:12:08.414]  And that is exactly what they are.
[01:12:08.554 --> 01:12:16.700]  Alexandria Ocasio-Cortez, your colleague who was at the border with you, compared the facilities to a concentration camp.
[01:12:16.740 --> 01:12:18.561]  Do you agree with that comparison?
[01:12:19.122 --> 01:12:19.622]  Absolutely.
[01:12:19.662 --> 01:12:22.785]  I mean, there's a number of experts that say this is because it's traumatic.
[01:12:23.485 --> 01:12:25.906]  There are camps and people are being concentrated.
[01:12:25.986 --> 01:12:27.067]  This is very simple.
[01:12:27.127 --> 01:12:30.769]  I don't even know why this is a controversial thing for her to say.
[01:12:30.789 --> 01:12:38.653]  We have to really truthfully speak about what's taking place and this is why it's really important for us to abolish ICE.
[01:12:39.094 --> 01:12:44.116]  There is no plan in sight and nobody is having the real conversation.
[01:12:44.417 --> 01:12:47.839]  Is there a natural limit to this kind of immigration?
[01:12:48.379 --> 01:12:52.121]  How many resources does America really have to share with the rest of the world?
[01:12:52.721 --> 01:12:54.522]  Are we as rich as we assume we are?
[01:12:55.343 --> 01:12:55.703]  Are you?
[01:12:55.723 --> 01:13:03.428]  How many poor people can we realistically accept before we're not that rich at all, but increasingly resemble the countries from which these people are fleeing?
[01:13:03.668 --> 01:13:07.431]  Now it's possible there are good answers to these questions, logical answers.
[01:13:08.031 --> 01:13:13.335]  On the other hand, if there are answers, why is the left trying to prevent you from asking the questions?
[01:13:14.135 --> 01:13:16.617]  For InfoWars.com, this is Greg Reese.
[01:13:22.276 --> 01:13:22.756]  InfoWars.
[01:13:23.177 --> 01:13:25.838]  Tomorrow's news today.
[01:13:25.878 --> 01:13:27.680]  Told you they've been calling for firebombing facilities.
[01:13:27.700 --> 01:13:28.780]  They've got some of the articles here.
[01:13:28.800 --> 01:13:29.461]  Now they're doing it.
[01:13:29.481 --> 01:13:32.763]  And the governor says, oh, they did it to hurt the illegals.
[01:13:32.783 --> 01:13:37.746]  Remember, about 90% of them get released and they never show up.
[01:13:39.187 --> 01:13:41.549]  90% get released within two weeks.
[01:13:43.070 --> 01:13:46.952]  And then 9% never show up to their amnesty hearings.
[01:13:48.573 --> 01:13:50.935]  To their political asylum hearings.
[01:13:52.418 --> 01:13:53.779]  You know, the judges are rubber stamping it.
[01:13:53.839 --> 01:13:54.659]  They just don't show up.
[01:13:54.679 --> 01:13:57.201]  Of course, can't blame them.
[01:13:57.681 --> 01:13:59.522]  You know, the courts are backlogged four years.
[01:13:59.722 --> 01:14:00.643]  Our border's broken.
[01:14:02.644 --> 01:14:04.625]  Just like Somalia has a broken border.
[01:14:05.626 --> 01:14:11.729]  And here's Ilhan Omar, with pleasure in her eyes, knowing we have a conscience, going, they are concentration camps.
[01:14:11.929 --> 01:14:12.730]  Give me what they want.
[01:14:12.870 --> 01:14:13.950]  I control your country now.
[01:14:14.291 --> 01:14:14.831]  Do as I say.
[01:14:17.776 --> 01:14:27.665]  Here she is, just yesterday, the story's up on newswars.com, everybody needs to get this out, saying that she's a better American.
[01:14:27.745 --> 01:14:33.651]  Ilhan Omar says she's more patriotic than natural born citizens and will teach them to be American.
[01:14:34.231 --> 01:14:39.696]  Again, the average person spent three months at Ellis Island, the most open time in our history, being checked for diseases.
