[00:00:09.057 --> 00:00:10.989]  Live from Austin, Texas.
[00:49:14.996 --> 00:49:15.556]  You know what I mean?
[00:49:15.636 --> 00:49:16.596]  Yeah, I know what you mean, bro.
[00:49:16.636 --> 00:49:22.918]  We come to this country, we should respect their law, we should respect their traditions, and we should respect their culture.
[00:49:23.078 --> 00:49:23.738]  Thank you, bro.
[00:49:23.758 --> 00:49:24.519]  Fair play.
[00:49:24.699 --> 00:49:25.179]  Respect, man.
[00:49:25.199 --> 00:49:25.819]  Respect, bro.
[00:49:26.079 --> 00:49:27.460]  Good man.
[00:49:27.480 --> 00:49:27.960]  Respect, bro.
[00:49:28.979 --> 00:49:33.802]  Little did I know that loads of masked thugs were on their way to attack my family-friendly event.
[00:49:33.923 --> 00:49:46.772]  The biggest shock from what happened on Saturday, what you're going to witness, is that hundreds of Muslims wearing balaclavas, intent on violence, were marched and escorted for miles by Greater Manchester Police.
[00:49:47.432 --> 00:49:49.874]  They were marched to our campaign event.
[00:49:50.454 --> 00:49:52.976]  Our campaign event miles away from any Muslim community.
[00:49:53.437 --> 00:50:08.288]  They were marched there intent on violence and they come armed with bricks and they attacked a family event with women and children present.
[00:50:08.368 --> 00:50:13.892]  Now you can see the men coming there with their faces covered.
[00:50:15.560 --> 00:50:16.720]  Clearly, you know.
[00:50:16.780 --> 00:50:18.421]  Time to show Tommy what time it is, guys.
[00:50:20.342 --> 00:50:22.262]  And yet the police are escorting them.
[00:50:23.163 --> 00:50:28.705]  Guys, make sure you go and show some support to the locals, yeah?
[00:50:28.725 --> 00:50:36.207]  Go and join the Muslim Defense League page if you're on YouTube.
[00:50:36.267 --> 00:50:43.150]  So now they've began chanting, again, faces covered, with a police escort to Tommy Robinson's
[00:50:44.807 --> 00:50:47.108]  The Halifax Pakistanis are repping in Oldham!
[00:50:47.148 --> 00:50:47.708]  We're here man!
[00:51:12.538 --> 00:51:13.038]  Where are you?
[00:51:13.058 --> 00:51:13.579]  Where are you?
[00:51:14.159 --> 00:51:15.739]  Boys, we're not here 10 minutes.
[00:51:15.840 --> 00:51:16.820]  Run back into the area.
[00:51:16.840 --> 00:51:17.260]  Go, go, go.
[00:51:19.321 --> 00:51:21.542]  Yo, where is the... where are the old men?
[00:51:21.562 --> 00:51:29.445]  So, again, you're just seeing the... the Muslim group here chanting as they're marching to Tommy's rally with a police escort.
[00:51:30.886 --> 00:51:32.106]  No one disrespects our religion.
[00:51:32.266 --> 00:51:34.788]  Tommy, you're a piece of... We're here!
[00:51:34.868 --> 00:51:35.548]  Come on!
[00:51:36.825 --> 00:51:44.707]  You crying on Twitter and everything, you little bitch!
[00:51:48.588 --> 00:51:58.511]  I mean, really, these are all just young, military-aged men that are just all hopped up in some gang culture warfare.
[00:52:06.926 --> 00:52:11.069]  And so now you can see the police are standing there as they're throwing bricks into this event.
[00:52:11.129 --> 00:52:12.649]  This is shocking stuff.
[00:52:14.691 --> 00:52:16.272]  There's children in there.
[00:52:19.233 --> 00:52:23.536]  Alright, just leave the B-roll running here.
[00:52:23.816 --> 00:52:26.758]  Because... Just leave the B-roll running now.
[00:52:27.158 --> 00:52:29.580]  Again, now the police are trying to separate the two.
[00:52:30.800 --> 00:52:32.041]  This is incredible.
[00:52:32.081 --> 00:52:32.221]  Now...
[00:52:35.179 --> 00:52:38.260]  I have a pretty calm demeanor today, so I think I could actually pull this off.
[00:52:39.881 --> 00:52:43.623]  But again, let me give you the commentary about what's going on here.
[00:52:45.443 --> 00:53:02.391]  A group of Muslims, all military-aged men, clearly hopped up on a gang tribalistic culture warfare here, flashing symbols and all this stuff like a bunch of thugs, all
[00:53:03.737 --> 00:53:07.860]  Military-aged men, they get a... I can't even believe this.
[00:53:08.220 --> 00:53:09.701]  A police escort.
[00:53:10.241 --> 00:53:31.156]  They're not from this area of town, and they get a police escort to show up at a political event and get violent, and they start lobbing bricks and other projectiles into the crowd of families that are just at a peaceful political rally in their hometown.
[00:53:32.358 --> 00:53:42.100]  And the police are standing idly by as bricks and other deadly weapons are heaved into a crowd of families.
[00:53:43.120 --> 00:53:47.981]  Now, let's go back to the audio from this video from VoteTommy.co.uk.
[00:53:48.721 --> 00:53:51.661]  They're waiting for you there, come.
[00:53:51.681 --> 00:53:53.582]  Do your window up, do your window up.
[00:53:53.622 --> 00:53:56.002]  And cover their faces, in case bricks come through.
[00:53:56.262 --> 00:53:56.962]  Cover their faces.
[00:53:56.982 --> 00:53:59.703]  This is unbelievable.
[00:54:00.313 --> 00:54:02.575]  One of our roles here at InfoWars is to
[00:54:25.106 --> 00:54:35.231]  Say and do the things that nobody else has the courage to do and say and then be that leading edge and be that dark knight and take all the arrows.
[00:54:36.971 --> 00:54:39.713]  And so I'm not happy with what I'm about to say.
[00:54:41.774 --> 00:54:47.076]  In fact, I'm disappointed in what I have to say, but we have to say it.
[00:54:50.257 --> 00:54:51.058]  Britain is lost.
[00:54:52.218 --> 00:54:53.599]  Britain has been conquered by
[00:54:54.870 --> 00:55:21.656]  Islam and then also by the radical leftist clown world which also will not be able to coexist with one another but so basically you have three options right now if you're in the UK and that's either let Islam take over your culture continue the political trend of the
[00:55:22.640 --> 00:55:50.587]  Radical left to clown world your culture the prior to cannot coexist or People that actually want European culture and British culture to exist in the UK are literally gonna have to start fighting a hot war Now I don't take pride in saying that I'm not happy that I had to say that I
[00:55:51.581 --> 00:56:00.563]  I'm disappointed in myself that I had to say that, and I know that the enemies of this broadcast are going to take that quote and probably publish it and say I'm calling for violence.
[00:56:00.623 --> 00:56:01.683]  No, no I'm not.
[00:56:01.703 --> 00:56:02.744]  I don't want any violence.
[00:56:02.804 --> 00:56:03.424]  I want all peace.
[00:56:03.444 --> 00:56:04.484]  I'm a very peaceful person.
[00:56:04.504 --> 00:56:09.745]  In fact, I'm just telling it like it is.
[00:56:11.986 --> 00:56:14.086]  And England is dead.
[00:56:16.547 --> 00:56:17.727]  Unless they want to fight for it.
[00:56:20.060 --> 00:56:44.288]  And I, you know, I've seen the videos, I know the Tommy Robinson story, but after seeing all that, and then seeing this still go on, and you can tell, I mean, don't get me wrong, I respect and admire Tommy Robinson, the man is a bulldog, but you can tell they've, I mean, they've castrated him.
[00:56:46.311 --> 00:56:50.193]  And so a part of me is seeing that and actually seeing how he's more powerful now.
[00:56:51.273 --> 00:56:53.474]  That he has that approach to things.
[00:56:54.475 --> 00:57:01.718]  But I mean... It just shows how it's been, how they've just been totally defeated.
[00:57:02.258 --> 00:57:15.764]  And they get to be overrun by a bunch of Islamic thugs that are just trained in some tribalistic gang culture war to go in and take over
[00:57:17.170 --> 00:57:17.730]  The West.
[00:57:19.491 --> 00:57:20.411]  And that's what this is.
[00:57:26.673 --> 00:57:34.256]  So, I see that, and I say, boy, I don't want to see that in the United States of America.
[00:57:34.276 --> 00:57:37.697]  I don't, because, hey, guess what?
[00:57:38.666 --> 00:57:45.749]  They'll march up with a group of Muslims to Pete Butt Judge's political rally and start throwing bricks next.
[00:57:46.189 --> 00:57:49.271]  So the Democrats, you might want to wake up too.
[00:57:52.594 --> 00:58:01.076]  A classic InfoWars fan favorite formula, Super Blue Fluoride Free Toothpaste is a must have for any InfoWarrior serious about their oral health.
[00:58:01.176 --> 00:58:05.377]  Featuring natural oils and ingredients used since aboriginal and biblical times.
[00:58:05.537 --> 00:58:09.357]  Fueled by the good halogen iodine and high quality nano silver.
[00:58:09.577 --> 00:58:14.318]  We've taken the fluoride out and replaced it with powerful ingredients to help boost your smile.
[00:58:14.518 --> 00:58:16.519]  Don't miss out on one of our best products.
[00:58:16.699 --> 00:58:21.520]  Power up your morning routine with Super Blue Fluoride Free Toothpaste at the InfoWars store.
[00:58:32.009 --> 00:58:39.496]  Yeah, I really appreciate you, and it's an honor to talk to you, and I do, before I start, I also wanted to do a plug for a couple of your products that I really love.
[00:58:39.556 --> 00:58:40.196]  Changed my life.
[00:58:40.276 --> 00:58:42.719]  The DNA Force is one, and X2.
[00:58:42.759 --> 00:58:44.480]  Yeah, I do a lot of construction.
[00:58:44.680 --> 00:58:52.187]  Using the tools that you're using, it just really wreaks havoc on your body, and I had three of my fingers starting to go numb, and I didn't think there was anything going to work on it.
[00:58:53.668 --> 00:58:58.812]  Well, thank you, brother.
[00:58:58.832 --> 00:59:06.359]  I mean, we want to sell you stuff that works.
[00:59:06.379 --> 00:59:12.944]  You want to order it again, but PQQ CoQ10 has been proven to make telomeres last longer, to make nerves regrow.
[00:59:13.104 --> 00:59:15.286]  It really is an amazing product for anybody above 40.
[00:59:15.526 --> 00:59:18.649]  Young people can take it as well, but yes, DNA Force Plus is amazing.
[00:59:18.669 --> 00:59:19.830]  What did you think of the X2?
[00:59:20.350 --> 00:59:21.191]  I love that too.
[00:59:21.611 --> 00:59:26.014]  After a few months of being on that, I felt like I wasn't searching for words.
[00:59:26.054 --> 00:59:34.520]  There was a time in my life where I felt like, man, I don't know if I'm just too exhausted or what, but you feel like you want to get in a conversation and you're pausing and you can't find the word to say.
[00:59:34.660 --> 00:59:37.782]  And I swear, man, that X2 really helps with cognition.
[00:59:37.822 --> 00:59:40.584]  Well, that's because the synapses in the brain operate off of it.
[00:59:40.604 --> 00:59:41.324]  It's electrochemical.
[00:59:41.344 --> 00:59:42.105]  You're absolutely right.
[00:59:42.165 --> 00:59:45.867]  When I forget to take X2 every couple of days, sometimes I forget for like a week because I get busy.
[00:59:45.987 --> 00:59:48.509]  Then I feel it and I take it and it really is amazing.
[00:59:48.609 --> 00:59:49.750]  So thank you for the support, brother.
[00:59:54.973 --> 01:00:00.877]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[01:00:11.405 --> 01:00:16.149]  Broadcasting live from the UN Stronghold, Austin, Texas.
[01:00:16.269 --> 01:00:19.432]  You're listening to The Alex Jones Show.
[01:00:19.712 --> 01:00:22.654]  And now, your host, Owen Troyer.
[01:00:24.195 --> 01:00:34.464]  You know, I wonder what is going to happen next.
[01:00:37.686 --> 01:00:38.047]  When...
[01:00:39.206 --> 01:00:44.727]  I mean, you already see the response from the left when Trump won the presidency.
[01:00:45.247 --> 01:00:46.168]  You see when he tweets.
[01:00:46.208 --> 01:00:49.588]  You see when he makes political action and decision.
[01:00:50.929 --> 01:01:03.472]  But can you imagine if he actually goes through... I mean, because he said treason, I think, four or five times now on Twitter and then a couple times also in a press conference.
[01:01:03.512 --> 01:01:03.892]  So, I mean...
[01:01:05.669 --> 01:01:07.090]  Where's the treason gonna land?
[01:01:07.170 --> 01:01:08.831]  I mean, we know the group of names.
[01:01:09.591 --> 01:01:12.793]  We know the viral meme that the president tweeted out.
[01:01:13.833 --> 01:01:18.076]  With Holder, and Brennan, and Lynch, and Comey, and Obama, and Clinton, and Clinton.
[01:01:18.756 --> 01:01:19.616]  All behind bars.
[01:01:22.338 --> 01:01:23.919]  So can you imagine what the left will do?
[01:01:26.040 --> 01:01:26.920]  If that day comes?
[01:01:28.921 --> 01:01:33.904]  So this was the meme, the image tweeted by the president with Brennan,
[01:01:36.122 --> 01:01:42.363]  And Lynch, and Clapper, and Obama, and Holder, and all of them behind bars.
[01:01:43.803 --> 01:01:50.604]  So, we've already seen how the left has responded to Donald Trump winning the presidency with the violence and everything.
[01:01:50.665 --> 01:01:52.725]  How will they respond to that?
[01:01:53.345 --> 01:01:58.966]  And so Darren McBreen has put together a clip, just another compilation.
[01:01:58.986 --> 01:02:00.686]  I mean, how many have we made?
[01:02:00.766 --> 01:02:05.067]  Here is the latest Ultimate Win-Liberals-Attack compilation.
[01:02:06.064 --> 01:02:08.745]  I'm gonna grow a magnificent pair of breasts.
[01:02:09.665 --> 01:02:12.326]  I'm going to transition into a woman.
[01:02:12.767 --> 01:02:13.407]  It'll be great!
[01:02:13.727 --> 01:02:26.192]  You should crawl back into your mother's rancid womb, gestate for a few more hours, slime back out, and then learn something about not being an entitled, white, piece of shit!
[01:02:26.572 --> 01:02:27.672]  This is Trump, people.
[01:02:28.432 --> 01:02:29.773]  When the rubber meets the road,
[01:02:30.513 --> 01:02:31.333]  PUSSIES!
[01:02:31.454 --> 01:02:32.354]  Yeah, you're a f**king idiot.
[01:02:32.434 --> 01:02:33.334]  F**k you, capitalism!
[01:02:33.474 --> 01:02:34.535]  F**k you, f**king president!
[01:02:34.835 --> 01:02:37.076]  He's a racist, stupid piece of s**t!
[01:02:37.376 --> 01:02:40.718]  If you guys are working for Alex Jones, you're working for a murderer!
[01:02:41.218 --> 01:02:43.399]  Alex Jones is an a**hole.
[01:02:43.559 --> 01:02:45.900]  Danfoe Wards is fake news!
[01:02:49.278 --> 01:02:50.199]  I got a chair going.
[01:02:50.379 --> 01:02:55.223]  If you had to choose one prominent person to be banned next, who would you choose?
[01:02:55.824 --> 01:02:56.064]  You.
[01:02:56.184 --> 01:02:58.146]  This is what's happening to the men in our country.
[01:02:58.186 --> 01:02:58.606]  Where are the men?
[01:02:58.626 --> 01:02:59.207]  Stop touching my stuff.
[01:02:59.307 --> 01:02:59.987]  I'm backing away.
[01:03:00.007 --> 01:03:00.187]  Stop.
[01:03:00.207 --> 01:03:00.488]  Dude, stop.
[01:03:00.508 --> 01:03:00.988]  Why are you doing that?
[01:03:01.008 --> 01:03:01.649]  What are you doing?
[01:03:16.222 --> 01:03:16.603]  Stop it!
[01:03:16.623 --> 01:03:17.346]  Don't film it!
[01:03:17.366 --> 01:03:18.089]  You're not allowed!
[01:03:18.129 --> 01:03:19.052]  You can't use it!
[01:03:22.644 --> 01:03:24.065]  Please do not touch me.
[01:03:24.166 --> 01:03:25.407]  Please do not touch me.
[01:03:25.767 --> 01:03:27.068]  Once again, it's ma'am.
[01:03:27.168 --> 01:03:28.829]  I actually said both of you guys.
[01:03:28.889 --> 01:03:31.171]  Right beforehand, you f***ing said, sir!
[01:03:31.271 --> 01:03:36.175]  Yes, I have boobs drawn on my shirt because I'm a liberated woman!
[01:03:36.255 --> 01:03:36.635]  I am!
[01:03:36.676 --> 01:03:38.777]  Trump supporters are pussies!
[01:03:38.817 --> 01:03:39.618]  Pussies!
[01:03:39.798 --> 01:03:41.299]  Motherf***ing pussies!
[01:03:41.319 --> 01:03:41.860]  Motherf***er!
[01:03:41.920 --> 01:03:43.021]  Take it outside!
[01:03:43.601 --> 01:03:48.225]  If you don't call me, sir, again, I will show your f***ing shirt!
[01:03:48.385 --> 01:03:49.646]  Motherf***er!
[01:03:49.826 --> 01:03:50.527]  Get the f*** out!
[01:03:52.128 --> 01:03:53.229]  Out of my face!
[01:03:53.249 --> 01:03:53.990]  Go home!
[01:03:54.250 --> 01:03:54.650]  Go home!
[01:03:54.770 --> 01:03:55.171]  Go home!
[01:03:55.231 --> 01:03:56.052]  What's your problem?
[01:03:56.172 --> 01:03:57.173]  Film it, bro.
[01:03:57.193 --> 01:03:58.534]  Film it.
[01:03:58.554 --> 01:03:59.815]  Yeah, I'm filming it.
[01:03:59.835 --> 01:04:04.920]  What the f*** did you do to me?
[01:04:05.420 --> 01:04:05.941]  Watch this.
[01:04:07.062 --> 01:04:08.663]  Did you farted at me?
[01:04:12.976 --> 01:04:16.578]  Get the hell out of here!
[01:04:16.618 --> 01:04:30.103]  Get these people the hell out of here right now!
[01:04:30.123 --> 01:04:30.483]  F**k off!
[01:04:30.923 --> 01:04:33.204]  I don't give a f**k!
[01:04:33.404 --> 01:04:33.965]  Get out!
[01:04:34.185 --> 01:04:35.385]  Oh s**t!
[01:04:38.346 --> 01:04:38.967]  There's something
[01:04:39.821 --> 01:04:43.184]  I'm deeply disturbed with humanity right now, folks.
[01:04:44.425 --> 01:04:50.450]  And you know why they want everybody focused on a bunch of superficial bullcrap?
[01:04:51.251 --> 01:04:57.276]  It's so that you miss the demons right in front of your eyes, like in that video.
[01:05:05.219 --> 01:05:10.082]  Casey, I'm sure it's wishful thinking, you're saying, Tyra comes back from nowhere, is he on turbo force?
[01:05:10.543 --> 01:05:14.686]  Which is an amazing pre-workout and long-term energy system, unlike any other.
[01:05:15.306 --> 01:05:17.608]  Or Tyra Woods isn't actually taking turbo force, is he?
[01:05:17.848 --> 01:05:18.648]  That's a good idea, though.
[01:05:18.668 --> 01:05:19.589]  I should try to send him some.
[01:05:19.829 --> 01:05:22.571]  I'm not entirely sure, but when I was watching the Masters,
[01:05:22.691 --> 01:05:23.952]  I'll have to try to find out.
[01:05:24.073 --> 01:05:24.233]  I know.
[01:05:24.273 --> 01:05:27.156]  I've been told about multiple folks that are friends with him.
[01:05:27.176 --> 01:05:29.498]  He's a listener, but I don't really worry about stuff like that.
[01:05:29.518 --> 01:05:30.239]  But that's great.
[01:05:30.259 --> 01:05:30.760]  Who knows?
[01:05:30.800 --> 01:05:32.181]  He might be on Turbo Force.
[01:05:32.221 --> 01:05:32.542]  Who knows?
[01:05:44.875 --> 01:05:50.937]  Well, last year, when he won his first tournament in a long time, they tried to grill him on, like, degrading the president in some way.
[01:05:50.957 --> 01:05:54.118]  You know, this is what you need in a press conference after a golf tournament, and he wouldn't do it.
[01:05:54.258 --> 01:05:55.278]  I know, he's friends with Trump.
[01:05:55.318 --> 01:05:56.678]  He's been friends with Trump, like, 20 years.
[01:05:56.819 --> 01:05:57.479]  Yeah, exactly.
[01:05:57.499 --> 01:05:59.139]  The media wasn't even talking about his win.
[01:05:59.159 --> 01:06:00.700]  They were talking about his politics.
[01:06:00.720 --> 01:06:01.300]  Thank you, Casey.
[01:06:12.296 --> 01:06:18.982]  Live from the Infowars.com studios, you're listening to The Alex Jones Show.
[01:06:19.383 --> 01:06:22.806]  And now, your host, Owen Troyer.
[01:06:34.617 --> 01:06:35.758]  Well, our next guest...
[01:06:37.056 --> 01:06:46.100]  It became another example of censorship and the attack on the First Amendment in this country.
[01:06:47.081 --> 01:07:01.148]  Soph on YouTube, who had a bunch of viral videos famous for her satire videos on her YouTube channel, then did a satire video on Islam and of course got struck down for that.
[01:07:01.808 --> 01:07:03.249]  So that's the untouchable
[01:07:04.554 --> 01:07:05.855]  Comedy, I suppose.
[01:07:06.356 --> 01:07:18.145]  And so that satire had her shut down, but she's very popular on social media, was very popular on YouTube, and quite frankly, now even more popular since they decided to try to censor her.
[01:07:19.407 --> 01:07:22.990]  But there has been a new development in this story.
[01:07:24.107 --> 01:07:29.112]  Police investigating after North Bay teen makes hate based videos.
[01:07:29.713 --> 01:07:31.655]  And so Soph joins me now.
[01:07:32.696 --> 01:07:39.263]  Soph, what is the latest development with this policed investigation after people are now labeling your videos hate?
[01:07:42.850 --> 01:07:55.073]  Contacted by the police that, uh, well, at first they came to me asking if I had any threats made towards me, if I was in any danger because of my views, if any students were threatening me.
[01:07:55.814 --> 01:08:07.937]  And I appreciated that, but they also had to launch, I guess, a formal investigation of the, um, satirical threats I made against the CEO of YouTube, Susan.
[01:08:09.005 --> 01:08:23.936]  Because I guess YouTube and law enforcement work closely together and they have to take those sorts of things seriously and a lot of people were calling in pretending to think those threats were serious so they could bring me harm and cause more trouble for me.
[01:08:25.417 --> 01:08:28.099]  Now, is this something that you've dealt with before?
[01:08:28.279 --> 01:08:32.983]  People threatening you because of your videos or was it only after the Be Not Afraid video?
[01:08:34.501 --> 01:08:36.043]  Uh, it was only after that video.
[01:08:36.283 --> 01:08:43.869]  I had a large audience, but nobody in the mainstream or anybody out to get me had their eyes on me before.
[01:08:44.990 --> 01:08:50.835]  And nobody had ever labeled you as hate-based videos or targeted you for censorship or anything like that?
[01:08:52.265 --> 01:08:52.826]  Not really.
[01:08:52.846 --> 01:09:00.912]  I mean, a little bit before, there was another YouTuber who sort of came after me, trying to call me alt-right, trying to call me a racist.
[01:09:01.913 --> 01:09:05.636]  I ended up debating him, and he pretty much agreed that I wasn't by the end of it.
[01:09:06.037 --> 01:09:08.058]  So that was the only real instance of that before.
[01:09:12.304 --> 01:09:16.290]  Now, what exactly are the police saying to you?
[01:09:16.370 --> 01:09:19.375]  That they're worried that people are going to be coming after you?
[01:09:19.455 --> 01:09:22.520]  Or they're just concerned that people are threatening you?
[01:09:22.860 --> 01:09:25.685]  Or are they worried just about you in general?
[01:09:27.348 --> 01:09:31.991]  I think they're sort of, I think they're just doing their job, I guess.
[01:09:32.091 --> 01:09:52.825]  They have to look into these things and look into the things I'm saying and make sure that I'm not going to commit any acts of violence, but I think they're also concerned now that I'm in such a public light that people are going to be doxing me, showing up to my house, releasing personal information about me and putting me into serious danger.
[01:09:55.401 --> 01:10:04.189]  Well, it's sad that that's what happens, but I'm sure you're well aware, you seem very smart for somebody your age, you're well aware of what the media does when they target somebody for attacks.
[01:10:04.710 --> 01:10:09.214]  We endure that a lot here at InfoWars, so we're glad to have you on board with that.
[01:10:09.655 --> 01:10:13.358]  Not a fun place to be in, but now they do it to children as well.
[01:10:14.099 --> 01:10:18.641]  What about the students in your school and the students in your class?
[01:10:18.701 --> 01:10:19.642]  Are they saying anything?
[01:10:19.962 --> 01:10:23.104]  Do they care about your politics or your videos?
[01:10:23.144 --> 01:10:25.325]  Have they before or is it a new sensation?
[01:10:27.366 --> 01:10:31.888]  People knew before but it's only really after this news story that some kids
[01:10:32.537 --> 01:10:33.318]  I'm curious because
[01:11:03.120 --> 01:11:05.201]  When I was your age, I wasn't into politics at all.
[01:11:05.241 --> 01:11:08.862]  I mean, even my classmates, we didn't really know much about politics.
[01:11:09.443 --> 01:11:14.785]  I mean, maybe during election seasons, but other than that, kids didn't really engage in political discussions.
[01:11:14.845 --> 01:11:18.046]  It didn't really separate or divide students at all.
[01:11:18.546 --> 01:11:19.607]  Is that happening?
[01:11:19.767 --> 01:11:26.550]  Do you feel that students look at you and say, oh my gosh, I heard that she's all right, and think of you negatively?
[01:11:26.570 --> 01:11:28.951]  I think so.
[01:11:28.991 --> 01:11:29.771]  I think some of them
[01:11:30.632 --> 01:11:45.227]  By the news stories that they've been reading about these journalists trying to put me in a box, trying to categorize me, trying to push me away and attach me to an ideology I don't necessarily have anything to do with, and that way they can attack me easier.
[01:11:45.787 --> 01:11:53.395]  And yeah, some kids attach that to me, but most of them have no problem with me and see mainstream media for what it is.
[01:11:54.875 --> 01:11:57.736]  Well, and again, you're just doing satire videos.
[01:11:57.756 --> 01:12:03.397]  You're not even politically, you know, that's not where your videos come from, a political motivation.
[01:12:03.997 --> 01:12:09.578]  You just happened to do one that had a satire featuring Islam, and that's when they decided to target you.
[01:12:10.299 --> 01:12:15.100]  So, I mean, what do you say about people that want to label you anything politically?
[01:12:15.160 --> 01:12:20.741]  I mean, do you take a political stance, or do you just say, hey, I'm just here to do satire, or what is your response to that?
[01:12:22.034 --> 01:12:25.196]  I'm mostly here to do entertainment and satire.
[01:12:25.296 --> 01:12:30.760]  I mean, I feel like getting into politics would, um, be the opposite of what I want to do.
[01:12:30.860 --> 01:12:35.964]  I want to make people more hopeful, more energized, uh, getting into politics with blackmail people.
[01:12:36.044 --> 01:12:42.088]  And really the only political issue I have a definitive stance that I want to take with my audience is free speech.
[01:12:42.208 --> 01:12:47.752]  And I hope that people from all political views can unite against, uh, unite together
[01:12:48.396 --> 01:12:48.516]  Well...
[01:13:07.085 --> 01:13:16.632]  Do you think that the students that do want to do that to you, that may say something negative to you or kind of look at you negatively now, do you think that that's something that comes from themselves?
[01:13:16.772 --> 01:13:18.433]  Or do you think their parents are putting that in them?
[01:13:18.453 --> 01:13:25.778]  Because again, for me, a 14-year-old or kids that age are never really that politically inclined either way.
[01:13:25.838 --> 01:13:31.643]  I mean, they may hear about political stuff from their parents, but they're not really politically inclined enough to change their opinion of somebody.
[01:13:31.983 --> 01:13:33.324]  Do you think that that is happening?
[01:13:34.787 --> 01:13:38.569]  I don't necessarily want to assume that it's all fueled by their parents.
[01:13:38.729 --> 01:13:45.952]  I would like to think that the kids who have disdain for me, that's something that they thought about.
[01:13:46.072 --> 01:13:54.996]  That they came to those conclusions mostly by themselves, maybe from information from news sites, but then they thought on that and came to a conclusion.
[01:13:55.517 --> 01:13:55.917]  And I think
[01:13:56.778 --> 01:14:05.362]  I think they're thinking for themselves, but just coming to conclusions that sort of try to demonize me when I'm just like a regular 14-year-old girl.
[01:14:05.382 --> 01:14:18.248]  Well, yeah, that's amazing to me because, again, I don't know, maybe it was odd to me, but I can't think of any situations when I was in, you know, junior high school or even really high school or elementary school where politics came up for anything.
[01:14:19.508 --> 01:14:21.230]  I hope that you really don't have to endure that much.
[01:14:21.270 --> 01:14:22.391]  I'm sad to hear that for you.
[01:14:23.051 --> 01:14:24.132]  But what about positive?
[01:14:24.292 --> 01:14:25.934]  I mean, do you get support from students?
[01:14:25.954 --> 01:14:30.717]  Do students kind of find you and say, hey, I like your videos or hey, you know, you know, you can rise above these attacks.
[01:14:32.119 --> 01:14:46.030]  Yeah, it's actually a lot of students that come up to me and endorse me and tell me to, you know, ignore the hate and express sympathy for like getting in trouble with the school system or, you know, going through all this and that.
[01:14:46.290 --> 01:14:47.311]  I really appreciate that.
[01:14:48.399 --> 01:14:50.240]  And was there trouble from the school system?
[01:14:50.280 --> 01:14:57.666]  I don't want to get you in trouble now on air, but has the school had to discipline you for doing this video?
[01:14:58.847 --> 01:14:59.667]  Thankfully not.
[01:15:00.228 --> 01:15:03.190]  They try to uphold free speech as best they can.
[01:15:04.909 --> 01:15:12.634]  Well, that's good to hear, because that would be another national story that would put you in the headlines, that sadly would make the media want to target you even more.
[01:15:13.674 --> 01:15:21.019]  So I'm sorry that you have to endure that, but you seem strong and you're very well spoken, so I imagine you're going to continue to make videos in the future.
[01:15:22.039 --> 01:15:23.340]  Well, thanks, and yeah, I am.
[01:15:23.360 --> 01:15:28.783]  I'm going to... I plan on continuing this as probably a career opportunity.
[01:15:30.284 --> 01:15:31.545]  And you know, that is...
[01:15:32.711 --> 01:15:51.238]  Kind of the next level of this discussion when it comes to censorship, here is a young girl, Soph, who does funny satire videos, at a young age, sees a career path for herself, and is already targeted for destruction before she can even get out of school.
[01:15:51.258 --> 01:15:53.359]  I mean, so, that's the tyranny.
[01:15:53.459 --> 01:16:00.542]  That's the authoritarianism right there, where they want to stop someone from even making it onto the scene and being successful.
[01:16:03.695 --> 01:16:11.482]  I scream, and it's like Google goes, I'm wearing a pink and a green sock, and I got a little beard, and I talk like this.
[01:16:11.522 --> 01:16:13.084]  You know what those guys do when they get on jets?
[01:16:13.304 --> 01:16:18.129]  They go, bring me 15 hookers now, and get the drugs ready, and take me to the private island.
[01:16:19.810 --> 01:16:21.091]  Get the satanic rituals ready.
[01:16:23.634 --> 01:16:25.696]  You don't just think the enemy has sleeper cells, do you?
[01:16:31.792 --> 01:16:37.173]  They've told me directly, if I don't want to be sued, if I don't want to be attacked, if I don't want to be, you name it, stop reporting on this.
[01:16:37.453 --> 01:16:40.334]  And guess what I'm going to say to the big bank and the New York Federal Reserve and everybody else?
[01:16:40.354 --> 01:16:41.554]  Here's what I have to say to them.
[01:16:41.934 --> 01:16:42.374]  Hey, you ready?
[01:16:42.394 --> 01:16:44.114]  This is what I'm saying to you right now.
[01:16:44.694 --> 01:16:45.494]  You got that message?
[01:16:46.195 --> 01:16:46.875]  Never going to stop.
[01:16:47.155 --> 01:16:47.755]  Never going to stop.
[01:16:47.775 --> 01:16:48.575]  Going to beat you too.
[01:16:50.855 --> 01:16:51.656]  We're in a fight here.
[01:16:51.676 --> 01:16:54.156]  I got like two battle axes fighting them.
[01:16:54.176 --> 01:16:55.156]  They're hacking at me.
[01:16:55.196 --> 01:16:59.877]  We're like... But you don't want to come out of mommy's basement.
[01:17:01.405 --> 01:17:07.228]  You want to sit there and suck on your own little wee-wee and play video games and pretend like you're this big, you know, badass person.
[01:17:07.429 --> 01:17:09.390]  You're a soldier on the internet battling everybody.
[01:17:09.410 --> 01:17:13.372]  A lot of liberals have broken their conditioning because of it.
[01:17:13.392 --> 01:17:14.453]  Just keep making fun of me!
[01:17:14.633 --> 01:17:15.293]  Keep attacking!
