[00:00:08.339 --> 00:00:10.049]  Something has happened in the motorcade group!
[00:51:13.901 --> 00:51:19.325]  My background is I'm a nationally qualified red-sealed journeyman electrician.
[00:51:19.786 --> 00:51:30.894]  I've got a separate education in building construction engineering technology, and I've got a 33-year background in infrared consulting, which is seeing temperature beyond our visible spectrum.
[00:51:31.494 --> 00:51:36.738]  We consult for everybody across the board, all industry, oil, gas, military,
[00:51:38.280 --> 00:51:40.983]  Governments, they've used our work for standards.
[00:51:41.003 --> 00:51:49.733]  We essentially provide their professionals the ability to see beyond their visible spectrum so they can just deal with complex issues.
[00:51:50.353 --> 00:51:58.363]  So we save insurance companies and governments and fire departments and everybody a whole bunch of money and on top of that I lecture medical education
[00:51:58.863 --> 00:51:59.564]  That's very impressive.
[00:51:59.604 --> 00:52:03.126]  Tell us about how you got on the health issues of smart meters and what you learned about that.
[00:52:16.996 --> 00:52:22.439]  Well, being an electrician, being an electrical professional, and I chose my background very carefully.
[00:52:22.459 --> 00:52:24.120]  I didn't want to do electrical engineering.
[00:52:25.401 --> 00:52:32.505]  But something that we do in providing electrical is we're very careful in how we deploy anything that's wireless.
[00:52:33.086 --> 00:52:40.130]  Because when you use something that's wireless, you have to take into consideration what the frequencies interact with.
[00:52:40.780 --> 00:52:49.522]  And that's the reason why we'll actually confine, you know, EMFs for electricity in our homes to an insulated conductor.
[00:52:50.142 --> 00:52:55.703]  And so that when those wires are run together, the lines of electromagnetic flux actually cancel each other off.
[00:52:56.444 --> 00:53:04.045]  So it was actually, it was, you know, talking with medical professionals and they talked about people complaining about frequencies hurting them.
[00:53:04.645 --> 00:53:07.226]  And I said, I don't even know what kind of frequencies you're talking about.
[00:53:07.726 --> 00:53:29.177]  And when they started talking about, you know, they talked about Wi-Fi in school and that's how I ended up providing expert testimony for Canadian Parliament Standing Committee on this, is that you just don't employ wireless technologies in a classroom and bathe the children in those frequencies because you've essentially put them inside the circuit with frequencies that go through them.
[00:53:29.637 --> 00:53:39.306]  Now, when it came to the deployment of smart meters, I was really concerned about it, because everybody kept talking about the smart meter as an end-use device.
[00:53:39.866 --> 00:53:55.601]  Even for the Texas Senate, and for providing information for the Texas Senate and for the Texas PUC, they talk about the smart meter as an end-use device on a wireless circuit, and talk about a short distance from that smart meter making you safe.
[00:53:56.081 --> 00:54:05.369]  But in the same token, Encore Utility in Texas admitted through their lawyers that a smart meter router covers an average of 5 square miles.
[00:54:05.969 --> 00:54:07.711]  One smart meter router.
[00:54:07.731 --> 00:54:12.375]  One smart meter collector covers an average of 125 square miles.
[00:54:12.995 --> 00:54:17.639]  And where that is horrific is it puts everything in 125 square miles inside an electrical circuit.
[00:54:22.362 --> 00:54:41.686]  Now, where this gets really important to what you're talking about with this cross-examination of a utility and their application, I wasn't, I was contacting even our government, our authority on these different issues and asking them for information and politicians were just trying to walk around the issue or trying to talk around the issue.
[00:54:42.146 --> 00:54:49.907]  And it wasn't until I was a registered intervener in a utilities application to our Public Utilities Commission that I found out why.
[00:54:51.088 --> 00:55:03.278]  Our government, as one example, actually allowed our major provincial utility to bypass all regulatory process to install a smart grid.
[00:55:03.478 --> 00:55:12.225]  What happened with that is they said, because they're the experts, and this is in the transcripts of their final submissions, which I'm going to forward to you, but
[00:55:13.426 --> 00:55:42.271]  What these guys did as a utility is, they didn't contact any other departments, biologists, hydrologists, it doesn't matter whether it's fish spawning, animals, anybody, anything to do with agriculture, they didn't contact any science departments to see what would happen if you bathe an entire province or thousands of square miles with frequencies that go through walls and roofs and under cross-examination, their electrical engineer admitted they penetrate the ground
[00:55:42.791 --> 00:55:45.774]  Up to three feet.
[00:55:45.814 --> 00:55:47.036]  And here's what's horrible.
[00:55:47.516 --> 00:55:59.709]  So basically this is the Public Utility Commission saying that we're experts and we don't need to conduct any tests or ask any other scientists about what they think about this or what they know about this.
[00:55:59.729 --> 00:56:03.713]  It's kind of the typical appeal to authority that you typically hear, right?
[00:56:04.585 --> 00:56:12.832]  Actually, where this makes this worse is, our Public Utility Commission here is the authority and is that regulatory process.
[00:56:13.372 --> 00:56:15.093]  But they also are part of the government.
[00:56:15.154 --> 00:56:25.522]  So for the Canadian legislature, or this government as one example, to allow this utility to bypass the Public Utility Commission's regulatory process.
[00:56:26.002 --> 00:56:31.006]  So they didn't have to be subjected to any other signs from people, any disputes.
[00:56:31.407 --> 00:56:36.290]  They just got this blanket endorsement to install these meters throughout the province.
[00:56:36.731 --> 00:56:47.339]  But unfortunately what they didn't tell municipalities with that is that if we're going to bathe your entire city with these frequencies, these frequencies go through walls and roofs and they go through your buildings.
[00:56:47.800 --> 00:56:50.001]  And so therefore they're causing buildings to
[00:56:51.042 --> 00:56:51.902]  We're good to go!
[00:57:11.972 --> 00:57:25.280]  That 900 megahertz going through walls and fire separations is actually going to cause the structure and the fire separations to flip direction at a molecular level 1.8 billion times per second.
[00:57:25.601 --> 00:57:28.222]  Essentially like a microwave cooks food, right?
[00:57:28.742 --> 00:57:34.866]  Like a microwave cooks food, except you're doing that with concrete and structure that's actually holding up buildings and bridges.
[00:57:35.967 --> 00:57:36.747]  That's amazing.
[00:57:36.807 --> 00:57:38.689]  So what you're saying then is that
[00:57:39.449 --> 00:57:48.882]  You can tell, as an engineer, that this is fatiguing the buildings because you're essentially microwaving this inner building material and weakening it.
[00:57:49.303 --> 00:57:52.888]  And that's not anything to do with a living organism.
[00:57:52.928 --> 00:57:55.571]  That's even going to be more harmful for a living organism, right?
[00:57:56.192 --> 00:58:13.599]  It's absolutely more harmful for a living organism because it's actually when you've got these high-speed frequencies it electromagnetically induces a living organism and so what it does is it changes voltages, it induces currents into a living organism.
[00:58:13.979 --> 00:58:20.642]  The building issue is just a very separate one because as soon as I even heard about this I said you can't vibrate buildings like that.
[00:58:21.202 --> 00:58:24.163]  Here's where the law relates to this in building code.
[00:58:24.643 --> 00:58:29.304]  You know, California, different places are designed for the seismic activity, the wind load.
[00:58:29.824 --> 00:58:39.867]  Not taking these concrete structures at a molecular and atomic level and just shaking them violently, measurably 1.8 billion times a second.
[00:58:41.027 --> 00:58:45.408]  4.8 billion times a second for Wi-Fi, for that second antenna that's in smart meters.
[00:58:45.808 --> 00:58:46.548]  That's amazing.
[00:58:46.948 --> 00:58:49.689]  But think about the fact that you've got building material
[00:58:50.269 --> 00:58:57.811]  Which doesn't have the kind of moisture content, I mean, a microwave oven operates primarily by flipping water molecules, is that correct?
[00:58:58.291 --> 00:59:08.074]  But you're vibrating this inanimate object, these building materials, to the extent that it's like sustained small earthquakes over a long period of time and weakening the actual material.
[00:59:08.909 --> 00:59:09.889]  A hundred percent.
[00:59:10.089 --> 00:59:20.471]  And to add on to that, when you hear the utilities and the utility commission say that the meters are only going to be on for a short period of time, the grid is on 24-7.
[00:59:20.551 --> 00:59:27.313]  So as well as people being induced 24-7, the buildings are being hit 24-7.
[00:59:27.773 --> 00:59:33.414]  The higher the power density means the more violent the earthquakes will be within those structures.
[00:59:33.474 --> 00:59:34.534]  And here's where it's horrible.
[00:59:35.234 --> 00:59:48.185]  If a building, the utilities, as an example, are bypassing and taking over the jurisdiction of municipalities, their buildings are going to be illegal, the utilities are going to have a liability for that.
[00:59:48.346 --> 00:59:51.188]  When the buildings are illegal, banks aren't going to finance them.
[00:59:51.208 --> 00:59:52.890]  They're not going to pass building codes.
[00:59:53.950 --> 01:00:05.918]  Something that I'm dealing with with engineers right now is how many billions of times per measurable second before we say a hospital, a school, or any building just can't be occupied.
[01:00:06.439 --> 01:00:06.939]  Wow.
[01:00:07.139 --> 01:00:17.006]  And that's the reality of what's going on and that is separate of the absolute horrific damage they're doing to everything within the coverage area.
[01:00:17.606 --> 01:00:21.733]  Yes, it's amazing when you think about the kind of damage that it's doing to inanimate objects.
[01:00:22.274 --> 01:00:29.886]  You know, you can't even imagine what it's doing to living organisms, which are much more sensitive, much more finely tuned and balanced than a piece of concrete.
[01:00:31.898 --> 01:00:33.521]  You imagine this.
[01:00:34.061 --> 01:00:35.363]  Our body is an example.
[01:00:35.423 --> 01:00:36.504]  Now here's an example.
[01:00:36.545 --> 01:00:39.949]  We all have a, in North America, we have a 60 Hertz electrical grid.
[01:00:40.550 --> 01:00:48.861]  If you look at appliances inside your building, you'll see that those appliances also have a frequency of 60 Hertz for that electrical compatibility.
[01:00:49.882 --> 01:00:51.383]  And that's just so important.
[01:00:51.743 --> 01:01:09.458]  Now you imagine, here's a smart meter frequency of 900 megahertz, 900 million cycles per second, going through walls and roofs, going through a body, a fetus, everything, and also interacting with a brain that runs at a half a hertz, 8 hertz.
[01:01:10.258 --> 01:01:15.980]  You are talking electrical failure, and that's why we don't just deploy these frequencies like this.
[01:01:16.000 --> 01:01:26.863]  You have to incorporate every science department into that puzzle, or you're just going to have damages across the board and liabilities that far exceed anything anybody can imagine.
[01:01:26.883 --> 01:01:38.906]  Well, what are your recommendations for the Public Utility Commission and other people about the smart... well, certainly not to have the smart meters, but what about the other issues that are already there in terms of things like Wi-Fi and cell phone use?
[01:01:39.878 --> 01:01:47.662]  You know, here's something that's really horrible, because, and this is another thing that shocked me as well as a science professional, because, you know, science is science.
[01:01:47.682 --> 01:01:55.586]  When we build a building, you know, it's designed, it's engineered, building code deals with every aspect of that.
[01:01:55.967 --> 01:02:07.113]  When we build something and wire it, you know, we use electrical codes, it's engineered, and everything is done to such an incredible degree of accuracy.
[01:02:07.913 --> 01:02:29.548]  When it came to these frequencies, you can imagine this, when I looked up the law in Canada that says Safety Code 6 uses the same science standards as the FCC, same science standards as other international bodies, and it shocked the hell out of me, to put it mildly, that the code actually says this.
[01:02:30.388 --> 01:02:34.111]  We don't understand the mechanism linking the frequencies to adverse health effects.
[01:02:35.367 --> 01:02:49.697]  So once we do find out, we'll change codes, we'll do this, instead of the reality is, when you've got this going on and an error that's admitted to be missing in that science, you would normally substantiate the science first.
[01:02:50.177 --> 01:02:51.798]  But this is where greed and
[01:02:53.160 --> 01:02:57.284]  Stupidity and politics and everything else gets in the way of this.
[01:02:57.744 --> 01:03:01.668]  And so people just move forward with this technology without understanding.
[01:03:03.109 --> 01:03:04.891]  Have you ever seen the specific absorption rate?
[01:03:04.911 --> 01:03:07.053]  Have you ever seen what that looks like?
[01:03:07.093 --> 01:03:13.440]  Now, when you talked to the Public Utility Commission, you said to them, you asked them, have they even looked at the effect on humans?
[01:03:13.880 --> 01:03:14.541]  What did they tell you?
[01:03:15.465 --> 01:03:16.466]  Well, you can imagine this.
[01:03:16.506 --> 01:03:19.147]  That's exactly what I did during cross-examination.
[01:03:20.207 --> 01:03:36.133]  The FCC in Canada and everybody uses what's called the Specific Absorption Rate, which means they've predetermined that you can take a little bit of this radiation being induced into your body instead of, it's actually an admission of guilt and the negligence that they would do this.
[01:03:37.014 --> 01:03:38.014]  And here's what's horrible.
[01:03:38.534 --> 01:03:49.357]  When you're going to do an electrical equation and include frequencies, you have to include all of the voltage and frequency and electrical information associated with whatever the frequency is hit.
[01:03:49.897 --> 01:04:00.560]  So under cross-examination of the utility, they just considered people to be pieces of meat that were effectively heating or not heating, or that microwave effect that you talk about.
[01:04:00.980 --> 01:04:02.141]  Things that were heating or not.
[01:04:02.621 --> 01:04:07.322]  When I cross-examined their medical professional, I said, are our nerves electrical?
[01:04:08.002 --> 01:04:11.983]  And is your nervous system tied to your hormonal and immune systems?"
[01:04:12.023 --> 01:04:12.703]  And he said, yes.
[01:04:13.163 --> 01:04:17.424]  Well, that kind of stimulation is to be avoided because it's going to cause that sickness.
[01:04:18.005 --> 01:04:33.488]  And I asked him, with your reports substantiating safety of your Smart Meter program, I said, where in your document does it show the electrical information, the frequencies of the human body, all of the electrical information you talked about with that organism, all that biology?
[01:04:33.828 --> 01:04:35.449]  And they said, it's not in our report.
[01:04:36.249 --> 01:04:38.692]  And I said, I said, where is it in Safety Code 6?
[01:04:39.052 --> 01:04:41.374]  And they said, it's not in Safety Code 6.
[01:04:42.636 --> 01:04:44.858]  And so that means it's not in the FCC.
[01:04:44.898 --> 01:04:51.965]  So imagine this, these frequencies going through people is, it is neurologically stimulating.
[01:04:52.445 --> 01:05:02.488]  It is causing these problems, and to find out that these guys left out critical data, and they didn't consider humans to be electrical, even under cross-examination.
[01:05:02.548 --> 01:05:05.929]  Their medical professional, I asked him, what's the voltage of a cell?
[01:05:06.449 --> 01:05:08.090]  He said, minus 70 millivolts.
[01:05:09.170 --> 01:05:13.751]  You know, when I asked, where are all the frequencies associated with the human organism?
[01:05:14.031 --> 01:05:15.872]  He said, I don't think that's available anywhere.
[01:05:17.236 --> 01:05:17.956]  That's amazing.
[01:05:18.857 --> 01:05:24.560]  And it's amazing because here President Obama has said this, health costs will bankrupt the U.S.
[01:05:24.620 --> 01:05:25.040]  government.
[01:05:26.261 --> 01:05:27.821]  And undoubtedly that's the fact.
[01:05:28.181 --> 01:05:29.842]  And guess what these frequencies will do?
[01:05:30.943 --> 01:05:34.625]  These frequencies applied will bankrupt the U.S.
[01:05:34.685 --> 01:05:35.125]  government.
[01:05:35.665 --> 01:05:40.948]  Not only on top of that, they will literally kill everything in the coverage area because
[01:05:41.468 --> 01:05:45.669]  You know, organisms were not electrically compatible with these frequencies.
[01:05:46.109 --> 01:05:51.351]  You can't talk about these frequencies as a normal natural frequency.
[01:05:51.371 --> 01:05:53.471]  That's just part of our everyday life.
[01:05:53.551 --> 01:05:54.232]  It's not there.
[01:05:54.612 --> 01:06:02.874]  These experts for the utility and for their application, these are who we were cross-examining in front of the Public Utilities Commission.
[01:06:03.294 --> 01:06:16.922]  And the Public Utilities Commission's panel is sitting there listening to this, and what made this Utilities Application unique is this is the first time these mechanisms have been brought up for these guys to listen to.
[01:06:17.322 --> 01:06:23.426]  They always thought that these frequencies were safe to a certain degree, and the bottom line is they're not.
[01:06:23.866 --> 01:06:38.513]  And to watch their experts, including their electrical engineer, try to just sell a report that is so flawed, deficient, and flat-earth science, it didn't even belong in the program.
[01:06:38.553 --> 01:06:40.414]  They're not even talking the same science.
[01:06:40.754 --> 01:06:41.335]  That's amazing.
[01:06:41.375 --> 01:06:44.137]  Now, when was this hearing that, when did this take place?
[01:06:44.538 --> 01:06:56.769]  The hearing's just actually finished up last week, and the utility, the Public Utilities Commission right now is going over all the evidence, and they'll either accept that application or deny it.
[01:06:57.270 --> 01:06:59.712]  And if they, and listen, they have to deny it.
[01:06:59.752 --> 01:07:02.735]  The frequencies are illegal as applied across the board.
[01:07:03.311 --> 01:07:17.724]  Well we definitely want to keep in touch with you and have you back on and talk about how this resolves and we want to see if they do the right thing or what their rationale is for what they're doing and thank you for talking to us and explaining this to us and we'll definitely follow up on this and find out how this resolves.
[01:07:18.504 --> 01:07:19.986]  Can I just close with this part of it?
[01:07:20.006 --> 01:07:21.347]  This is so important for people.
[01:07:22.248 --> 01:07:28.614]  The utility does not have the jurisdiction to radiate communities and people's property in their houses.
[01:07:29.095 --> 01:07:31.037]  People need to understand that very much.
[01:07:31.137 --> 01:07:39.967]  They do not have that authority, but because they didn't share any of this information with the municipality either, the municipality's engineering department's never heard any of this before.
[01:07:40.507 --> 01:07:41.047]  That's a great point.
[01:07:41.067 --> 01:07:44.189]  Thanks for your reporting on this really important issue.
[01:07:45.110 --> 01:07:50.714]  Horrific to see what's going on with this, but I'll look forward to sharing information and we can answer questions later on.
[01:07:51.094 --> 01:07:52.415]  This isn't a singular opinion.
[01:07:52.855 --> 01:07:57.078]  It's just the diversity of my background that allowed me to look at this electrical mechanism.
[01:07:57.558 --> 01:07:58.359]  That's a great point.
[01:07:58.579 --> 01:08:00.020]  Thanks very much for your reporting.
[01:08:00.501 --> 01:08:24.762]  And also, this has, the dangers of these frequencies, has been lectured in medical education for education credits required for ongoing medical licensing and approved for lecture by the American Academy of Family Physicians, approved by boards of medicine, dentistry, nursing, meaning that it is no longer opinion, it is accepted medical education.
[01:08:25.262 --> 01:08:25.923]  That's amazing.
[01:08:26.203 --> 01:08:27.585]  Thank you so much for pointing that out.
[01:08:28.407 --> 01:08:29.128]  Thank you, Curtis.
[01:08:30.189 --> 01:08:30.530]  Thank you.
[01:08:30.610 --> 01:08:34.756]  Thank you, Curtis Bennett, Chief Science Officer for Thermographics Consulting.
[01:08:35.337 --> 01:08:38.081]  Expert testimony that he gave at a Public Utilities Commission hearing.
[01:08:38.962 --> 01:08:39.242]  Thank you.
[01:08:39.262 --> 01:08:39.903]  We'll have you back.
[01:08:40.564 --> 01:08:41.225]  Thank you very much.
[01:08:41.245 --> 01:08:41.586]  Take care.
[01:08:42.332 --> 01:08:44.133]  Well, Curtis Bennett made an excellent point.
[01:08:44.173 --> 01:08:51.576]  The Public Utility Commissions have the authority to supply power to the community, but they do not have the authority to radiate the community.
[01:08:51.636 --> 01:08:52.877]  They're clearly exceeding that.
[01:08:53.257 --> 01:08:54.078]  There are health issues.
[01:08:54.358 --> 01:08:55.398]  They need to be explored.
[01:08:55.938 --> 01:09:03.262]  Stay tuned to Prison Planet as we follow this story and the story of smart meters as they're rolling out across the country and how you can fight them.
[01:09:03.823 --> 01:09:06.945]  One of the ways you can follow that is to become a member of Prison Planet TV.
[01:09:07.325 --> 01:09:12.708]  You can share that information with other people, help them to wake up to what's going on with smart meters and other issues.
[01:09:13.609 --> 01:09:20.053]  Just one membership will allow you to share that with 10 other people simultaneously, and it helps to support our operation.
[01:09:20.553 --> 01:09:21.553]  That's it for tonight's news.
[01:09:21.573 --> 01:09:23.655]  We'll be back tomorrow night at 7 central, 8 p.m.
[01:09:23.715 --> 01:09:23.975]  Eastern.
