[00:00:01.058 --> 00:00:02.919]  Well, ladies and gentlemen,
[01:34:52.725 --> 01:35:00.089]  They want you poor and impoverished so that you're dumbed down and don't have money to be politically active and support your own causes.
[01:35:00.470 --> 01:35:02.070]  There is no special interest for liberty.
[01:35:02.411 --> 01:35:03.191]  You have to do it.
[01:35:03.752 --> 01:35:06.713]  So also, go to infowarestore.com.
[01:35:06.753 --> 01:35:15.519]  We now have the giant, humongous seed center, the largest selection we found out there of non-GMO, non-hybrid, open-pollinated,
[01:35:17.239 --> 01:35:19.785]  It is all there at the lowest prices.
[01:35:19.825 --> 01:35:20.447]  How did we do that?
[01:35:21.469 --> 01:35:25.599]  I bought $80,000 of one type of seed from one company to give you an idea how much of this we got.
[01:35:27.205 --> 01:35:28.946]  To give you the lowest prices out there, okay?
[01:35:29.446 --> 01:35:32.507]  Because I believe in people having their own gardens, people becoming self-sufficient.
[01:35:32.787 --> 01:35:34.567]  Give it to your neighbors, get them involved.
[01:35:34.907 --> 01:35:38.468]  Get your neighbor off television, like you're getting them off heroin or PCP.
[01:35:39.369 --> 01:35:41.469]  Get them outside, go help them do a garden.
[01:35:42.369 --> 01:35:46.851]  They have community gardens, go to park areas, go to green belts, plant stuff out in little meadows.
[01:35:47.591 --> 01:35:48.511]  Go and grow it there.
[01:35:48.831 --> 01:35:51.872]  They do not want this culture of non-GMO.
[01:35:52.112 --> 01:35:54.913]  The globalists go around and plant their GMO in like
[01:35:55.333 --> 01:35:56.674]  Ditches and stuff around the world.
[01:35:56.714 --> 01:35:59.415]  Monsanto's been caught to actually infect and take over.
[01:35:59.675 --> 01:36:01.036]  We're in a genetic war.
[01:36:01.056 --> 01:36:03.898]  I'm gonna announce this more later what I'm getting at here.
[01:36:04.138 --> 01:36:12.942]  The point is I figured out just having in Europe they have you know in the highways people grow stuff there.
[01:36:13.002 --> 01:36:14.103]  In Switzerland they do that.
[01:36:15.436 --> 01:36:18.317]  If something isn't used on public land, people just go and plant.
[01:36:18.337 --> 01:36:22.299]  You know, my grandfather talked about seeing that in Italy and Germany at the end of World War II.
[01:36:23.340 --> 01:36:24.440]  That's what we have to go back to.
[01:36:24.500 --> 01:36:25.521]  That's what humans do.
[01:36:25.801 --> 01:36:26.521]  We're agrarians.
[01:36:26.581 --> 01:36:35.505]  So, the InfoWars Seed Center, InfoWarsStore.com, the ProPure water filters discounted 10% off the lowest price, the best gravity-fed stainless steel filters, side-by-side.
[01:36:35.545 --> 01:36:36.606]  Blow away the competition.
[01:36:36.646 --> 01:36:38.126]  Go look at the side-by-side comparisons.
[01:36:38.507 --> 01:36:41.168]  And your purchase funds our entire operation.
[01:36:41.208 --> 01:36:43.169]  Get InfoWars nightly news memberships.
[01:36:43.749 --> 01:36:48.311]  Only $0.15 a day for 11 memberships for the price of one.
[01:36:48.331 --> 01:36:50.492]  That's $0.55 a month per person.
[01:36:50.632 --> 01:36:53.993]  One membership can be used by 11 people simultaneously.
[01:36:54.033 --> 01:36:57.154]  See the daytime show, see the nighttime show, all my films, everything.
[01:36:57.434 --> 01:36:58.695]  PrisonPlanet.tv.
[01:36:59.135 --> 01:37:02.536]  And again, subscribe to Trends Journal at TrendsJournal.com.
[01:37:02.777 --> 01:37:05.998]  There's also a phone number there on the site as well.
[01:37:06.478 --> 01:37:08.259]  Okay, going back to Gerald Cilente.
[01:37:08.279 --> 01:37:08.579]  Gerald,
[01:37:10.600 --> 01:37:16.502]  I'm just going to give you the floor right now, because I want you to get into what you were talking about, how this symbolically happened on Patriots Day.
[01:37:16.542 --> 01:37:20.163]  Well, they staged it all, I believe, as their symbolic reconquering Boston.
[01:37:20.423 --> 01:37:21.384]  This is a globalist op.
[01:37:21.684 --> 01:37:33.328]  But what you see happening there, and then what this is also distracting from, as you've sent out in one of your tweets, what else you are looking at with your piercing gravitas.
[01:37:33.348 --> 01:37:33.668]  Go ahead.
[01:37:34.895 --> 01:37:51.307]  Well, again, the significance to, as people are going more toward your sites and mine and others like us, is that they're fed up with the prostitute news and they know they're being lied to, conned to, and they're disgusted with losing their rights.
[01:37:52.068 --> 01:37:58.813]  The American Revolution, only 25% of the population really fought in it.
[01:37:58.853 --> 01:38:05.418]  They had about another 20% that were on the side, but the rest were loyalists or doing nothing.
[01:38:06.078 --> 01:38:08.680]  So we're in the same situation now.
[01:38:09.301 --> 01:38:14.605]  And it's building, I believe, and I've been writing about it, toward the second American Revolution.
[01:38:15.225 --> 01:38:41.450]  But as we can see by the violence committed by the police and the stormtroopers, the emotional, mental, psychological and spiritual violence that they committed by causing, calling martial law a state of siege in this episode in Boston, that you cannot fight this war, and I should not fight it, I believe, with weapons or violence.
[01:38:42.070 --> 01:38:43.971]  It must be fought with the spirit
[01:38:44.790 --> 01:38:46.391]  With the mind and the heart.
[01:38:47.192 --> 01:38:49.894]  An intellectual and spiritual revolution.
[01:38:50.535 --> 01:39:08.289]  These people are so fraudulent, they're so transparent, they can be so easily defeated with the truth and morality, that I believe we are now on the beginning, and your swelling viewership and listening audience, as well as ours, is proof of that.
[01:39:09.344 --> 01:39:26.301]  On the other issue, oh by the way, I misstated, I said 2001, I meant 2011 when I was referring to the Trends Journal, that the reason what's going on here and what the distraction is, the world economy is under collapse.
[01:39:26.812 --> 01:39:40.856]  You go, and I'm not saying this only, you go back and you just read the last couple of days in the Financial Times and the better business news outlets, and there's gloom and doom throughout the world.
[01:39:41.616 --> 01:39:44.017]  They all know that this is not working.
[01:39:44.037 --> 01:39:55.220]  The new news, by the way, coming out of Europe today, is that they're going to be lowering again interest rates, the European Central Bank, so they could try to juice the economy again.
[01:39:55.660 --> 01:39:59.122]  Oh, as we speak, by the way, Alex, what is gold up today?
[01:39:59.522 --> 01:40:00.782]  Almost $30?
[01:40:01.723 --> 01:40:14.088]  Again, I don't give financial advice, but to me, I don't know how any thinking person could believe in fiat currencies that they're devaluing in front of our eyes.
[01:40:14.789 --> 01:40:21.392]  And I totally believe, and we have a long story in the Trends Journal by Dr. Paul Craig Roberts,
[01:40:22.032 --> 01:40:38.505]  About the systematic destruction of gold by the money junkies, by the central bankers, by the Goldman Sachs gang, the Merrill Lynch mob, the Deutsche Bank bandits, and the rest of the criminal operations.
[01:40:39.646 --> 01:40:43.549]  There are two mafias that are now taking over the world.
[01:40:44.450 --> 01:40:50.642]  One is the money changer mafia, and the other is the military-industrial complex.
[01:40:51.323 --> 01:40:53.227]  Is this hyperbole?
[01:40:53.247 --> 01:40:53.848]  Is it?
[01:40:55.217 --> 01:40:57.659]  Is it a conspiracy theory?
[01:40:58.139 --> 01:40:58.480]  No.
[01:40:59.280 --> 01:41:11.249]  The first one, the money changer, again, that wonderful Trends Journal that we had of Jesus Christ chasing the money changers out of the temple.
[01:41:11.729 --> 01:41:14.371]  Go to the Trends Journal, the current edition.
[01:41:14.792 --> 01:41:17.433]  We have the quote from James Madison.
[01:41:18.234 --> 01:41:32.796]  The fourth president of the United States using the precise term money changers how they will use anything to destroy the people and to do anything to gain their means to gain control
[01:41:33.457 --> 01:41:39.601]  Over the banking systems and the printing of money.
[01:41:39.761 --> 01:41:42.463]  From Jesus Christ to James Madison.
[01:41:42.763 --> 01:41:46.866]  So the money changer is not a conspiracy theory.
[01:41:47.266 --> 01:41:49.028]  It's in front of our eyes.
[01:41:49.528 --> 01:41:52.030]  On the military-industrial complex.
[01:41:52.630 --> 01:41:54.851]  Who could have said it more eloquently?
[01:41:55.272 --> 01:42:02.577]  Who could have said it with more credence and credibility than Dwight D. Eisenhower?
[01:42:03.437 --> 01:42:13.858]  Five-star general, Supreme Commander of the Allied Forces during World War II, two-term President of the United States.
[01:42:14.861 --> 01:42:34.498]  Warning the American people that the military-industrial complex is robbing the genius of its scientists, the sweat of its laborers, and the future of its children by turning this nation into a militarized
[01:42:37.881 --> 01:43:04.743]  And when you talk about the drones, when you talk about all the weaponry, all the battleships, all of these stealth fighters, could you imagine if the genius of the scientists and sweat of the laborers had gone in to building a higher civilization rather than one that is mimicked
[01:43:05.624 --> 01:43:15.609]  Mouthpiece and talked about by has to be one of the slimiest little characters that has ever hit the earth.
[01:43:16.289 --> 01:43:17.590]  Lindsey Graham.
[01:43:18.070 --> 01:43:22.933]  Here's his quote in today's Financial Times quote.
[01:43:23.653 --> 01:43:30.940]  We are fighting an adversary that is transforming itself all over the globe.
[01:43:31.480 --> 01:43:37.186]  We need to broaden our ability to go after the enemy, Lindsey Graham.
[01:43:37.686 --> 01:43:41.529]  Senator from South Carolina said on Tuesday, quote,
[01:43:42.901 --> 01:43:54.126]  The one mistake I will not tolerate is the mistake of believing that we are not at war.
[01:43:55.425 --> 01:43:57.928]  One mistake that I will not tolerate?
[01:43:58.269 --> 01:43:59.771]  Who the hell are you?
[01:44:00.652 --> 01:44:02.274]  I will not tolerate!
[01:44:02.574 --> 01:44:04.076]  You little weenie!
[01:44:04.476 --> 01:44:07.760]  You couldn't fight your way out of a paper bag!
[01:44:08.361 --> 01:44:11.464]  Who is this guy to tell us that we're at war?
[01:44:11.985 --> 01:44:13.787]  What business do we have in Iraq?
[01:44:14.508 --> 01:44:15.229]  What business?
[01:44:15.349 --> 01:44:27.697]  Oh, Obama's with Bush today celebrating the Bush library that we the taxpayers and all his cronies have to pony up to put up.
[01:44:28.318 --> 01:44:33.922]  And Bush saying the history will decide whether or not
[01:44:34.702 --> 01:44:36.642]  His policies were correct.
[01:44:36.962 --> 01:44:38.863]  What history will decide?
[01:44:39.143 --> 01:44:41.143]  The facts are in front of us now.
[01:44:41.503 --> 01:44:45.464]  By the time history looks at it, it will be whitewashed.
[01:44:45.944 --> 01:44:47.645]  Why are we in Libya?
[01:44:47.965 --> 01:44:50.445]  Why are we going into Syria?
[01:44:50.765 --> 01:44:56.226]  Why do we have 35 bases throughout Africa in AFRICOM?
[01:44:56.526 --> 01:44:59.587]  Why do we have hundreds of bases throughout the world?
[01:45:00.387 --> 01:45:02.188]  What's happened to this country?
[01:45:02.528 --> 01:45:04.169]  And now, oh, I love it!
[01:45:04.409 --> 01:45:06.411]  There are floods in the Midwest!
[01:45:06.751 --> 01:45:11.253]  People in Des Plaines and outside of Chicago crying!
[01:45:11.594 --> 01:45:14.335]  Yeah, because the infrastructure stinks!
[01:45:14.856 --> 01:45:16.256]  We have no money!
[01:45:16.577 --> 01:45:17.797]  Look at Detroit!
[01:45:18.057 --> 01:45:20.099]  Look at the people out on the streets!
[01:45:20.359 --> 01:45:22.420]  Look at the jobs that we have!
[01:45:23.020 --> 01:45:27.063]  And you got a clown-like little Lindsay boy?
[01:45:27.563 --> 01:45:30.564]  Boy, I'd like to see this guy after dark.
[01:45:31.104 --> 01:45:41.167]  I wonder what kind of chains, garters, and black boots he's wearing in the other life of Lindsey to make a statement like this.
[01:45:44.248 --> 01:45:45.128]  I am speechless.
[01:45:45.148 --> 01:45:46.449]  You are absolutely on target.
[01:45:46.469 --> 01:45:53.331]  And when you read the technocratic writings of all these eugenicists, globalists from the 20s on up to now, Ray Kurzweil, all of them,
[01:45:54.417 --> 01:45:57.178]  They say they're using us kind of like they're minions.
[01:45:58.038 --> 01:45:59.559]  Well, they use more technical terms.
[01:46:00.159 --> 01:46:03.661]  Kind of their clone programmed human resource biological androids.
[01:46:03.681 --> 01:46:05.701]  This is how they see it on their power trip.
[01:46:06.061 --> 01:46:12.804]  They take our tax money, they take it into the national security reservations that are really a breakaway civilization with more advanced stuff.
[01:46:13.244 --> 01:46:22.308]  Under national security, they bring in the drugs, they run all the crime, and they now are breaking away from society and saying, we're going to shut off your power plants.
[01:46:23.809 --> 01:46:27.253]  Shut down stuff and move it to China, where we own the plants.
[01:46:27.634 --> 01:46:36.224]  I mean, it's just total mafia rule, and now they know they may go to jail over the insider trading, over all the crimes, over the too-big-to-fail derivative scams.
[01:46:36.584 --> 01:46:42.371]  So instead, they're just training us that we're all prisoners, and we're on lockdown, like we're in a Supermax prison.
[01:46:43.472 --> 01:46:46.495]  And it's just totally illegal and totally criminal, and they don't care.
[01:46:46.535 --> 01:46:48.877]  They've talked, the cops were terrorists, if we talk like this.
[01:46:49.217 --> 01:46:50.418]  The veterans are terrorists.
[01:46:50.458 --> 01:46:52.400]  I mean, it's like a science fiction movie, Gerald.
[01:46:52.680 --> 01:46:54.082]  So how do we turn this around?
[01:46:54.442 --> 01:47:00.667]  Because I agree, the awakening's happening, and they want a war with us, and I don't want to... I mean, they will lose this.
[01:47:00.947 --> 01:47:01.868]  5% started the war.
[01:47:02.429 --> 01:47:04.030]  You say 25%, that was by the end.
[01:47:04.050 --> 01:47:08.014]  Yeah, but, you know, 3 to 5% started and really won most of the stuff.
[01:47:08.634 --> 01:47:10.516]  I mean, we will crush them.
[01:47:10.976 --> 01:47:14.480]  But the globalists will sit offshore and said that it may take 10 years civil war.
[01:47:14.780 --> 01:47:17.263]  They'll just buy everything up for pennies on the dollar afterwards.
[01:47:18.264 --> 01:47:20.126]  So how do we arrest all them?
[01:47:20.146 --> 01:47:25.452]  How do we break free the police that are basically brainwashed androids on average?
[01:47:25.472 --> 01:47:29.216]  I mean, how do you get to somebody who doesn't know they're working for a technocracy
[01:47:29.736 --> 01:47:33.978]  You know, Eisenhower's full speech, as you know, doesn't just beware of the military-industrial complex.
[01:47:34.018 --> 01:47:46.183]  He says there is a technocratic elite in control and dominating 90% of the scientific development towards a military-industrial complex scientific dictatorship.
[01:47:46.543 --> 01:47:50.345]  That's because he was brought into this and said, no, I'm not going to be part of this.
[01:47:50.865 --> 01:47:53.306]  So people need to see the full speech.
[01:47:55.305 --> 01:47:57.366]  Yes, and how's it going to change?
[01:47:57.466 --> 01:48:00.047]  Nothing changes until morality changes.
[01:48:00.428 --> 01:48:01.788]  It's the golden rule.
[01:48:01.808 --> 01:48:04.970]  I mean, why shouldn't America be a target?
[01:48:05.070 --> 01:48:07.311]  Listen, Alex, quick story.
[01:48:08.192 --> 01:48:10.753]  You go to our website, TrendsJournal.com.
[01:48:10.793 --> 01:48:12.174]  Go to the forecast page.
[01:48:12.654 --> 01:48:13.474]  Look up terror.
[01:48:13.935 --> 01:48:17.016]  You'll see a front page story from USA Today.
[01:48:17.456 --> 01:48:17.977]  December 14, 2000.
[01:48:20.478 --> 01:48:26.002]  The headline read, 2001 won't be our year, Trendseer says.
[01:48:26.923 --> 01:48:33.448]  I warned that a wave of anti-Americanism was sweeping the globe and Americans wouldn't be safe at home or abroad.
[01:48:33.928 --> 01:48:35.189]  Again, this is before 9-11.
[01:48:35.590 --> 01:48:41.554]  Whether or not it was an inside job or whatever, the hatred is building around the world.
[01:48:42.938 --> 01:48:44.999]  I get called up by everybody.
[01:48:45.159 --> 01:48:49.901]  I used to be on Oprah, The Today Show, CNN maybe four times a month.
[01:48:50.342 --> 01:48:53.863]  I was on Good Morning America.
[01:48:54.164 --> 01:48:58.806]  They used to fight between themselves to get me on for the top trends of the coming year.
[01:48:59.838 --> 01:49:00.859]  They're all calling me up.
[01:49:00.939 --> 01:49:02.300]  Everybody's in panic.
[01:49:02.320 --> 01:49:02.660]  9-11.
[01:49:02.680 --> 01:49:03.180]  What happened?
[01:49:03.561 --> 01:49:06.703]  I said, listen, this is it's American foreign policy.
[01:49:06.903 --> 01:49:11.806]  You can't go into all these countries and not expect them to retaliate.
[01:49:11.887 --> 01:49:12.887]  It's revenge.
[01:49:13.908 --> 01:49:14.568]  No, it's not.
[01:49:15.469 --> 01:49:17.370]  They hate our freedom and liberty.
[01:49:17.731 --> 01:49:19.272]  Oh, grow up, I said.
[01:49:19.992 --> 01:49:21.974]  Then I started getting less calls.
[01:49:22.634 --> 01:49:24.155]  The Afghan war breaks out.
[01:49:24.175 --> 01:49:24.896]  They call me up.
[01:49:26.377 --> 01:49:27.137]  What's going to happen?
[01:49:27.177 --> 01:49:28.038]  I said, why ask me?
[01:49:28.078 --> 01:49:31.520]  Why don't you ask Alexander the Great, ask the British, ask the Russians?
[01:49:32.040 --> 01:49:35.222]  It's going to be a money pit for the military-industrial complex.
[01:49:35.662 --> 01:49:40.685]  We'll kill more people, our soldiers will get killed, and hatred will build.
[01:49:41.721 --> 01:49:43.522]  Then I got less calls after that.
[01:49:44.162 --> 01:49:46.022]  Then the Iraq War happens.
[01:49:46.763 --> 01:49:47.623]  You could look it up.
[01:49:47.703 --> 01:49:48.903]  Gannett newspapers.
[01:49:49.023 --> 01:49:53.485]  I was still very popular in a lot of the segments of the mainstream media at the time.
[01:49:53.825 --> 01:49:57.386]  They asked me to do an editorial on the outcome of the Iraq War.
[01:49:58.126 --> 01:49:59.286]  It's there, black and white.
[01:49:59.867 --> 01:50:02.187]  I said it'll be a swift battlefield victory.
[01:50:02.947 --> 01:50:07.189]  Saddam Hussein will be overthrown considering the size of America's military might.
[01:50:08.209 --> 01:50:21.259]  And it will devolve into a civil war, and Americans will leave after too many of the soldiers have been killed, too much money has been spent, or they've lost their will to continue.
[01:50:21.279 --> 01:50:24.842]  Which is just common historical sense, and the military industrial complex knew that.
[01:50:25.102 --> 01:50:31.466]  They love, it came out, they would have kept Vietnam going for another 15 years because they were making so much money.
[01:50:33.288 --> 01:50:33.708]  Exactly.
[01:50:34.048 --> 01:50:37.011]  Oh man, and then these defense contractors call us traitors.
[01:50:38.592 --> 01:50:44.414]  You know, I hope all you guys that call yourselves conservatives, that love all this tyranny, they're going to take everything you've got too, bozos.
[01:50:45.774 --> 01:50:53.196]  I mean, this is... and the so-called liberals are a bunch of drooling authoritarian scum who want to conquer Christians and families.
[01:50:54.256 --> 01:50:55.097]  Stay there, Gerald Cemente.
[01:50:55.117 --> 01:50:56.157]  We're going to take calls coming up.
[01:50:56.337 --> 01:51:00.458]  Hello, this is Ty Bollinger, author of the best-selling book, Cancer Step Outside the Box.
[01:51:01.138 --> 01:51:03.239]  I want you to know some very important information.
[01:51:04.145 --> 01:51:12.492]  In 1985, President Ronald Reagan requested that Carnivora be sent directly to the White House at a time when only the President could obtain this world-class healer.
[01:51:13.113 --> 01:51:18.037]  Now, 27 years later, Carnivora capsules are used around the world to keep people healthy.
[01:51:18.650 --> 01:51:29.639]  Now you can protect yourself and your loved ones in this age of superbugs with 17 naturally occurring compounds that instinctively respond to abnormal cells only without harming a single normal cell.
[01:51:30.040 --> 01:51:37.046]  If you want to stay healthy, now's your chance to literally wake up your critical immune cells to attack harmful invaders that don't belong in your body.
[01:51:37.726 --> 01:51:41.991]  Call 1-866-VENUSFLY or order from carnivora.com.
[01:51:42.011 --> 01:51:45.195]  That's C-A-R-N-I-V-O-R-A dot com.
[01:51:45.615 --> 01:51:52.583]  That's 1-866-836-8735, 1-866-VENUSFLY or visit carnivora.com.
[01:51:52.883 --> 01:51:53.864]  Protect your immune system.
[01:51:54.165 --> 01:51:55.206]  It's the only one you've got.
[01:51:56.195 --> 01:51:59.197]  You prepare by purchasing gold, food, and firearms.
[01:51:59.558 --> 01:52:05.002]  But if you don't have a home security system, then you're missing a critical weapon in your arsenal for home protection.
[01:52:05.582 --> 01:52:08.784]  When you're sleeping or away from home, who's watching out for intruders?
[01:52:09.445 --> 01:52:10.686]  Check out SimpliSafe.
[01:52:11.006 --> 01:52:14.869]  It's a new do-it-yourself home security system that is completely wireless.
[01:52:15.449 --> 01:52:17.491]  Go to GetSimpliSafe.com.
[01:52:18.143 --> 01:52:20.525]  SimpliSafe is independent and off the grid.
[01:52:20.866 --> 01:52:24.649]  It runs on battery power, so even if the grid goes down, you're protected.
[01:52:25.210 --> 01:52:31.335]  It's completely customizable, so you can use it in your home, business, boat, trailer, storage unit, or shed.
[01:52:31.836 --> 01:52:33.437]  Get SimpliSafe.com.
[01:52:34.158 --> 01:52:40.964]  SimpliSafe is also ridiculously easy to install yourself in under 20 minutes, so there's no need to let a stranger into your home.
[01:52:41.505 --> 01:52:45.066]  If you move or need to relocate, you can take the system with you wherever you go.
[01:52:45.566 --> 01:52:51.969]  You aren't always at home, but SimpliSafe will stand guard, protecting your property 24 hours a day, 7 days a week.
[01:52:52.549 --> 01:52:54.810]  Again, that's GetSimpliSafe.com.
[01:52:55.490 --> 01:52:58.051]  Introducing a 30-day emergency food supply.
[01:52:58.311 --> 01:52:58.771]  For only $99!
[01:52:59.572 --> 01:53:08.079]  At 30dayfoodsupply.com, you can purchase Oregon Trail Foods' one-month supply of high-quality, nutritious, and healthy emergency meals for less than $100.
[01:53:08.279 --> 01:53:16.666]  These vegetarian meals are all-natural, non-GMO, high in carbs and protein, and are packed with oxygen absorbers in mylar pouches.
[01:53:16.906 --> 01:53:25.672]  They take up to 70% less space than number 10 cans, have a 20-year shelf life, and huge portions, over twice the serving size of some competitors' meals.
[01:53:25.972 --> 01:53:33.336]  Oregon Trail Foods and 30dayfoodsupply.com keep prices low by buying direct from producers in Oregon, and then pass the savings on to you.
[01:53:33.476 --> 01:53:40.941]  Purchase a 30-day, 90-serving emergency food supply for only $99 this month, and $10 ships your entire order to the lower 48.
[01:53:41.001 --> 01:53:41.301]  Call 541-673-6666.
[01:53:45.444 --> 01:53:49.585]  Or visit 30dayfoodsupply.com, where they make preparedness affordable.
[01:53:50.026 --> 01:53:51.366]  30dayfoodsupply.com.
[01:53:51.486 --> 01:53:51.886]  Got it?
[01:53:52.046 --> 01:53:52.406]  Get it.
[01:53:52.546 --> 01:53:54.847]  Go to 30dayfoodsupply.com.
[01:53:59.149 --> 01:54:01.129]  Come, you masters of war.
[01:54:01.810 --> 01:54:05.551]  Here to build the big guns.
[01:54:06.831 --> 01:54:10.333]  Here to build the death planes.
[01:54:11.173 --> 01:54:14.154]  Here to build all the bombs.
[01:54:16.564 --> 01:54:18.946]  You that hide behind walls.
[01:54:20.888 --> 01:54:22.910]  You that hide behind desks.
[01:54:25.132 --> 01:54:29.315]  I just don't want you to know I can see through your masks.
[01:54:29.796 --> 01:54:31.157]  You that ain't never done nothing.
[01:54:31.757 --> 01:54:33.579]  You that never done nothing.
[01:54:36.061 --> 01:54:38.043]  Put a belt to destroy.
[01:54:38.063 --> 01:54:40.065]  You play with my world.
[01:54:40.465 --> 01:54:42.807]  You play with my world.
[01:54:42.907 --> 01:54:43.548]  Like it's a toy.
[01:54:47.012 --> 01:54:48.153]  But I'll see you run fast.
[01:54:48.173 --> 01:54:49.373]  This is about Vietnam.
[01:54:49.433 --> 01:54:51.334]  Monday through Friday, 11 a.m.
[01:54:53.255 --> 01:54:53.575]  to 2 p.m.
[01:54:53.615 --> 01:54:55.957]  Central Standard Time.
[01:54:56.057 --> 01:54:57.918]  Bob Dylan bringing us in.
[01:55:12.185 --> 01:55:15.728]  Back weeknight, 7 o'clock central, in Full Wars Nightly News, Gerald Cilente is our guest.
[01:55:15.908 --> 01:55:18.510]  20 minutes to the next hour, we'll be taking your phone calls.
[01:55:18.530 --> 01:55:19.230]  800-259-9231.
[01:55:19.250 --> 01:55:24.615]  First-time callers, a chance to talk to Gerald Cilente, ask him a question.
[01:55:25.315 --> 01:55:26.956]  Please direct your questions at Gerald Cilente.
[01:55:26.976 --> 01:55:27.016]  800-259-9231.
[01:55:27.036 --> 01:55:27.337]  By the way,
[01:55:32.541 --> 01:55:35.982]  Um, Monday, I'm not going to be here.
[01:55:36.002 --> 01:55:49.787]  I'll be calling in with some reports, but I will be here tomorrow and I will be here Sunday with the Sunday Show 4 to 6, but Gerald's going to be guest hosting for an hour, the third hour or longer if he wants, on Monday.
[01:55:50.905 --> 01:55:57.574]  And it'll be Jakari Jackson and David Knight for the first two hours, and then they'll be there as backup because he's coming to us from Kingston, New York, but not co-hosting.
[01:55:57.614 --> 01:56:01.499]  They'll be waiting on the wings if he has any problems or any news updates if he wants them.
[01:56:02.380 --> 01:56:06.546]  Gerald Cilente will be with us next week for an hour on Monday, third hour, two o'clock Eastern.
[01:56:07.447 --> 01:56:08.708]  One o'clock central, 800-259-9231.
[01:56:08.728 --> 01:56:22.802]  You know, I see these emails from cops going, hey Alex, you know, I like your show, but the terrorists could have been in any house, any of those people could have been their accomplices, like black women and blondes and ten-year-old kids.
[01:56:23.202 --> 01:56:28.007]  I mean, it's just, you're all suspects, and we're going to drive by your house and point guns at you.
[01:56:28.792 --> 01:56:32.613]  And then cops just like walking around stomping around.
[01:56:33.413 --> 01:56:34.474]  What do you call that?
[01:56:34.534 --> 01:56:41.676]  How do you get people to behave like this and dress up in stupid Darth Vader outfits over one 19 year old kid?
[01:56:41.996 --> 01:56:43.997]  And then of course, I heard the police scanners.
[01:56:44.537 --> 01:56:47.358]  They shot his boat up, the boat up full of bullets.
[01:56:48.567 --> 01:56:49.408]  He never shot at them.
[01:56:49.428 --> 01:56:50.168]  That's now come out.
[01:56:50.549 --> 01:56:56.033]  And then when he still got up and wasn't dead, because the media got shots of it, the cops on the scanners were like, oh no, the media.
[01:56:56.413 --> 01:56:57.273]  We got it taped back there.
[01:56:57.314 --> 01:56:57.974]  We were capturing it.
[01:56:58.294 --> 01:56:59.275]  The media's got a shot.
[01:56:59.295 --> 01:56:59.875]  Oh, what are we going to do?
[01:56:59.915 --> 01:57:01.216]  Because they were going to make sure he was dead.
[01:57:01.497 --> 01:57:02.197]  He stands up.
[01:57:02.237 --> 01:57:03.338]  He's not bleeding out of the neck.
[01:57:03.618 --> 01:57:05.720]  They get him, and minutes later, he's near death.
[01:57:06.340 --> 01:57:09.562]  I think they chopped his vocal cords out so he could then confess.
[01:57:09.982 --> 01:57:12.003]  What about them now saying he's confessed from his bed?
[01:57:12.263 --> 01:57:14.024]  You don't do that before a, quote, trial.
[01:57:14.044 --> 01:57:18.906]  I mean, they could go kill you or me and say we confessed to, you know, stealing the Mona Lisa.
[01:57:19.286 --> 01:57:21.367]  They could say we confessed to crucifying Christ.
[01:57:21.788 --> 01:57:24.269]  Gerald Solentim, we've only got two minutes to break, but what's your comment on that?
[01:57:24.989 --> 01:57:26.029]  Well, you're right.
[01:57:26.429 --> 01:57:27.970]  I mean, there's a couple of things.
[01:57:28.410 --> 01:57:30.210]  Number one, think about this.
[01:57:30.670 --> 01:57:40.232]  We lost our rights, our gun rights we're losing, and now our civil rights, because let's just say that these two kids did it.
[01:57:40.773 --> 01:57:47.654]  We had Adam Lanza, the other lunatic, and let's just say, for argument's sake, that these two guys pulled us off.
[01:57:48.114 --> 01:57:51.215]  What, do we have to lose all our rights because of two kids?
[01:57:52.193 --> 01:57:53.794]  You know, what's going on here?
[01:57:54.614 --> 01:57:57.555]  Look what happened in Ireland during the times of the IRA.
[01:57:57.875 --> 01:58:01.016]  Bombs are going off all over the place in the 70s.
[01:58:01.316 --> 01:58:04.357]  You think they closed down Great Britain and Ireland?
[01:58:05.417 --> 01:58:06.197]  No, they didn't!
[01:58:06.958 --> 01:58:11.699]  And the other thing, you know, the other thing you mentioned about the Obamapologists.
[01:58:12.439 --> 01:58:19.041]  This is from Jeremy Scahill, who has a book out and a film called Dirty Wars.
[01:58:19.602 --> 01:58:20.462]  He said, quote,
[01:58:22.182 --> 01:58:28.024]  Mister, unfortunately a lot of liberals have checked in their consciences at the door.
[01:58:28.684 --> 01:58:32.125]  That is not very healthy for our democratic process.
[01:58:32.145 --> 01:58:32.505]  Stay there.
[01:58:32.545 --> 01:58:33.425]  Back in 60 seconds.
[01:58:33.445 --> 01:58:34.385]  Third hour coming up.
[01:58:36.666 --> 01:58:38.527]  You are listening to GCN.
[01:58:40.187 --> 01:58:42.388]  Visit GCNlive.com today.
[01:58:46.815 --> 01:58:52.676]  Now that we have moved into the winter season, there is an increased need to support our immunity and health.
[01:58:53.573 --> 01:58:59.457]  At Silverlungs, we are committed to meeting your needs by providing a full selection of silver-based products.
[01:59:00.317 --> 01:59:10.403]  Our most popular silver-based products are the 32-ounce Nano Silver Solutions, our 2-ounce Nano Silver Nasal Applicators, as well as our all-natural silver soaps.
[01:59:11.264 --> 01:59:14.566]  Just released is our 100% natural silver gel.
