[00:00:06.752 --> 00:00:08.453]  Something has happened in the motorcade group.
[00:52:14.726 --> 00:52:23.199]  Well, when they go to file to get money in 2015, what they're going to find is the IRS is going to grab a chunk of that money because of the Obamacare tax.
[00:52:23.339 --> 00:52:25.323]  Well, the natives will definitely not like that.
[00:52:26.385 --> 00:52:27.705]  No, I don't think anyone's going to like it.
[00:52:27.745 --> 00:52:32.647]  I mean, I think that this is just bad law.
[00:52:32.787 --> 00:52:35.908]  Excuse me.
[00:52:36.288 --> 00:52:39.949]  I mean, people are going to really see how bad this is starting this year.
[00:52:40.549 --> 00:52:45.011]  Starting this year, but really next year when they start getting those bills in the mail.
[00:52:45.931 --> 00:52:54.038]  Well, Mike, one more time I'd like to tell everybody the phone number is 888-873-8825 if you want to give Mike a call if you're having an IRS problem.
[00:52:54.499 --> 00:52:58.402]  I'm sure more people will be experiencing that here in the next year with all the new changes.
[00:52:58.883 --> 00:53:03.307]  Or maybe the Obamacare Affordable Health Care Act will be repealed.
[00:53:03.347 --> 00:53:03.807]  We never know.
[00:53:04.568 --> 00:53:05.168]  That's true.
[00:53:05.188 --> 00:53:05.969]  Hopefully it will be.
[00:53:05.989 --> 00:53:06.650]  All right.
[00:53:06.730 --> 00:53:08.011]  Well, thank you so much for joining me.
[00:53:08.631 --> 00:53:09.432]  Thank you for having me.
[00:53:09.813 --> 00:53:10.113]  Be well.
[00:53:12.509 --> 00:53:21.020]  If you want to know more about what really happens with our tax dollars, check out The American Dream and The Invisible Empire on our InfoWarshop.com.
[00:53:21.761 --> 00:53:22.362]  Check it out today.
[00:53:22.382 --> 00:53:24.445]  It's interesting DVD material.
[00:53:24.565 --> 00:53:27.689]  It'll kind of explain to you a little bit more about the truth about where our money goes.
[00:53:28.914 --> 00:53:31.718]  And also, sign up for PrisonPlanet.tv.
[00:53:31.899 --> 00:53:33.782]  You can share it with up to 10 friends.
[00:53:34.182 --> 00:53:35.905]  Do it today and check out our DVDs.
[00:53:36.566 --> 00:53:39.491]  See you again tomorrow, Central Time, 7 p.m.
[00:53:39.531 --> 00:53:40.071]  Don't miss it.
[00:53:40.572 --> 00:53:42.075]  The InfoWars Nightly News.
[00:53:42.595 --> 00:53:43.437]  I'm Gigi Ornette.
