[00:00:02.591 --> 00:00:04.892]  Thank you for listening to GCN.
[01:23:52.879 --> 01:23:57.641]  Go to SupernaturalSilver.com and give you and your loved ones a fighting chance.
[01:23:58.141 --> 01:24:00.221]  That's SupernaturalSilver.com.
[01:24:00.761 --> 01:24:05.123]  Use the promo code SUMMER2013 for 20% off your entire order.
[01:24:05.443 --> 01:24:06.663]  And like us on Facebook.
[01:24:11.725 --> 01:24:14.385]  Well, the union's our big business, man.
[01:24:14.685 --> 01:24:16.586]  And it's going out in black and white.
[01:24:22.617 --> 01:24:24.079]  Welcome back to the Alex Jones Show.
[01:24:24.139 --> 01:24:28.526]  I'm David Knight, and I'm joined on the phone here with Stan Lennig.
[01:24:29.006 --> 01:24:38.740]  He's a police officer from New York, actually a deputy sheriff, and he was given the Deputy Sheriff of the Year Award by the Constitutional Sheriffs and Peace Officers Association.
[01:24:39.634 --> 01:24:42.636]  And he did it for a video that you probably have seen.
[01:24:42.976 --> 01:24:43.817]  It went viral.
[01:24:43.937 --> 01:24:58.386]  It was Ashley Jessica and Jason Burmess were filming and handing out flyers at the airport in relation to the opt-out and film campaign that was going on this last, I guess it was just before Christmas, wasn't it guys?
[01:24:59.566 --> 01:25:07.571]  And that's Officer Linick and he basically defended their right to do that against a local airport official who was trying to
[01:25:08.652 --> 01:25:12.894]  No, of course not, because the fact of the matter is, whenever I'm at a traffic stop,
[01:25:31.973 --> 01:25:33.774]  And walking around the airport and everything.
[01:25:33.954 --> 01:25:35.295]  I'm being videotaped.
[01:25:35.535 --> 01:25:40.117]  Everything is audio and videotaped, especially in the patrol car.
[01:25:40.638 --> 01:25:42.739]  So, I mean, I have no problem being videotaped.
[01:25:44.299 --> 01:25:46.060]  Well, you know, there seems to be... I got nothing to hide.
[01:25:46.661 --> 01:25:47.221]  That's the point.
[01:25:47.261 --> 01:25:48.101]  That's the point exactly.
[01:25:48.141 --> 01:25:52.984]  You know, when I see a cop who gets so upset about being videotaped, it's like,
[01:25:53.684 --> 01:25:53.824]  What's
[01:26:12.196 --> 01:26:14.977]  Citizens have a right to videotape in public.
[01:26:14.997 --> 01:26:18.399]  There is no expectation of privacy for anyone if you're walking around in public.
[01:26:18.779 --> 01:26:24.441]  Especially no expectation of privacy for someone who is a representative of the government.
[01:26:24.581 --> 01:26:27.103]  Essentially, you know, doing law enforcement, that sort of thing.
[01:26:27.123 --> 01:26:39.148]  So I found that very interesting that, you know, as opposed to the officers who will basically get in people's faces and start punching them if they're videotaping, you had no problem doing that because you were not doing anything wrong.
[01:26:40.009 --> 01:26:40.509]  Exactly.
[01:26:40.669 --> 01:26:50.632]  And I might add, too, that, you know, several times when I've stopped someone, they pulled out their cellular phone and they videotaped me.
[01:26:51.452 --> 01:27:06.356]  And whether they told me if they were doing it or not, I personally really don't care because, like I said, I do everything, you know, every time I do a traffic stop or, you know, what have you, a dealership, I have, you know, it's kind of like the same speech
[01:27:07.372 --> 01:27:11.041]  You know, and I just do it the same way every single time.
[01:27:11.943 --> 01:27:16.936]  And, you know, like I said, I got nothing to hide and I don't mind being videotaped.
[01:27:17.242 --> 01:27:17.642]  Absolutely.
[01:27:17.722 --> 01:27:24.046]  You know, if you're not doing anything wrong, if you're doing the right thing, and if the person is doing the right thing, you know, they're videotaping.
[01:27:24.546 --> 01:27:24.806]  Why?
[01:27:25.107 --> 01:27:26.067]  For their own protection.
[01:27:26.427 --> 01:27:28.508]  You know, you're videotaping for your own protection.
[01:27:28.528 --> 01:27:30.610]  You're videotaping out of your car for your own protection.
[01:27:30.990 --> 01:27:38.074]  If everybody's doing everything the way they should be doing it, and that's the whole point of the Opt Out and Film campaign.
[01:27:38.574 --> 01:27:44.938]  Ashley Jessica was really getting manhandled by the TSA, and once her brother started filming it,
[01:27:45.498 --> 01:27:51.085]  They completely changed the way they approached her, the way they, uh, everything that they did completely changed.
[01:27:51.446 --> 01:27:56.832]  The point is, is that they knew they were being filmed and they knew that this was a film that they were not going to control.
[01:27:56.872 --> 01:27:57.633]  That's the other part of it.
[01:27:57.653 --> 01:28:02.599]  You know, the police know that they're being filmed but they believe, in many cases I think, that they can control that.
[01:28:03.160 --> 01:28:05.041]  You know, I've told my family what they need to do.
[01:28:05.101 --> 01:28:28.113]  They get pulled over, they need to start filming it, and they need to make sure that it is streaming live to a service like Ustream or something like that, so that even if the police officer takes away the camera or stops it, as we've seen in many cases, that's already gone up, and it's already preserved up their lives, so they've basically got a record of what's going on for their protection, you know, if the police officer's not going to do that.
[01:28:30.143 --> 01:28:36.588]  Let me ask you about the practice that is happening in New York City, because you're in upstate New York, is that correct?
[01:28:36.688 --> 01:28:37.709]  Upstate New York, yeah.
[01:28:37.769 --> 01:28:39.570]  Albany area, actually, the capital of the state.
[01:28:39.977 --> 01:28:47.602]  Well, you know, down in New York City, you know, there's a lot of things that happen down in New York City that are, at this point in time, aberrant behavior.
[01:28:47.622 --> 01:28:51.224]  We hope they don't become standard behavior throughout the rest of the country.
[01:28:51.264 --> 01:29:02.011]  But one of the things that they're doing is this, just kind of stopping people on the streets and, you know, kind of like the, you know, the Gestapo, you know, your identity papers, you know, kind of doing a sidewalk audit.
[01:29:02.031 --> 01:29:03.312]  What do you, how do you feel about that?
[01:29:04.397 --> 01:29:23.424]  Well, I mean, if you as a police officer, if you have no reasonable expectation that criminal activity is afoot, and, you know, you want to talk to somebody, there's something that says you can't talk to somebody, but they don't want to give up their, you know, information or their driver's license.
[01:29:23.825 --> 01:29:29.807]  If they're not doing anything wrong, there's really nothing, you know, you can do.
[01:29:30.452 --> 01:29:30.792]  That's right.
[01:29:30.812 --> 01:29:32.554]  If they're not doing anything wrong, let them go.
[01:29:33.074 --> 01:29:34.916]  You know, it's simple.
[01:29:34.956 --> 01:29:39.540]  Now, I don't know how, you know, New York City's policies and procedures are.
[01:29:40.401 --> 01:29:42.443]  They're totally different than the rest of the state.
[01:29:42.583 --> 01:29:43.804]  Hang on a second, Officer Linick.
[01:29:43.824 --> 01:29:45.646]  We're going to come back to that right after the break.
[01:29:45.926 --> 01:29:54.014]  We're going to be taking your calls at 800-259-9231 if you want to call and ask some questions to a constitutional deputy sheriff.
[01:29:54.054 --> 01:29:55.575]  We'll be right back with Stan Linick.
[01:29:55.755 --> 01:29:56.176]  Stay tuned.
[01:29:58.789 --> 01:30:01.774]  We're on the march, the Empire's on the run.
[01:30:02.715 --> 01:30:05.400]  Alex Jones and the GCN Radio Network.
[01:30:09.833 --> 01:30:20.998]  Cal Bend Soap Company can save you thousands of dollars and give you good old-fashioned real soap that is triple concentrated and made from the highest quality vegetable and coconut oils.
[01:30:21.618 --> 01:30:32.782]  See them on the web www.5starsoap.com or call 1-800-340-7091 for a free catalog and buy American-made products.
[01:30:33.062 --> 01:30:39.265]  Order the sampler, a 1-2 month supply or get a 1-2 year supply of soaps for all your cleaning needs.
[01:30:39.725 --> 01:30:42.727]  You're getting soap products twice as good as what you're using now.
[01:30:43.267 --> 01:30:47.710]  This is an amazing deal and you will love the way real soap makes your skin feel.
[01:30:47.931 --> 01:30:54.995]  Call 1-800-340-7091 or visit www.5starsoap.com.
[01:30:55.316 --> 01:30:59.398]  Alex and his staff have used these earth-friendly pure soaps for years.
[01:30:59.939 --> 01:31:04.802]  See them on the web www.5starsoap.com or call 1-800-340-7091 for a catalog.
[01:31:10.106 --> 01:31:12.869]  Protecting your home with a security system is a must.
[01:31:13.110 --> 01:31:19.138]  But when it comes to protecting your family, your home, and belongings, there's no need to sign a long-term contract.
[01:31:19.478 --> 01:31:25.867]  Listen, there is some real scum in the alarm business cashing in by locking you into long, punishing contracts.
[01:31:26.267 --> 01:31:28.228]  Not with SimpliSafe Home Security.
[01:31:28.569 --> 01:31:29.609]  They're the good guys.
[01:31:29.910 --> 01:31:32.611]  You can trust SimpliSafe to protect your family.
[01:31:32.972 --> 01:31:37.274]  SimpliSafe was created by a Harvard Business School engineer, and it's revolutionary.
[01:31:37.495 --> 01:31:40.757]  You'll get 24-hour protection for just $14.99 a month.
[01:31:41.037 --> 01:31:43.759]  There are no hidden fees and no contracts.
[01:31:43.959 --> 01:31:44.920]  You'll save thousands.
[01:31:45.180 --> 01:31:48.242]  Plus, you're protected by their 100% money-back guarantee.
[01:31:48.582 --> 01:31:51.644]  Protect yourself against home invasions and break-ins.
[01:31:52.004 --> 01:31:55.927]  Order your SimpliSafe system now and receive a wireless keychain remote.
[01:31:56.207 --> 01:31:58.111]  A $25 gift, free.
[01:31:58.552 --> 01:32:01.196]  So don't waste your time dealing with scum.
[01:32:01.537 --> 01:32:07.869]  Visit GetSimplySafe.com GetSimplySafe.com GetSimplySafe.com
[01:32:11.591 --> 01:32:12.913]  You're subject to other police action.
[01:32:13.733 --> 01:32:14.654]  Tyranny is here.
[01:32:15.015 --> 01:32:18.538]  The grim future foretold in 1984 has become reality.
[01:32:18.558 --> 01:32:21.141]  It really says that the state is God.
[01:32:21.161 --> 01:32:26.626]  The United States is now recognized globally as one of the most oppressive police states on Earth.
[01:32:27.047 --> 01:32:33.273]  This film conclusively proves the existence of a secret network of FEMA camps, now being expanded nationwide.
[01:32:33.693 --> 01:32:39.236]  This documentary exposes how the continuity of government program has established an all-powerful shadow state.
[01:32:39.676 --> 01:32:43.358]  Police State 4 chronicles the sickening depth to which our republic has fallen.
[01:32:43.858 --> 01:32:47.860]  Prepare to enter the secretive world of emergency dictatorship.
[01:32:48.140 --> 01:32:53.643]  Body scanners, sound cannons, citizen spies, stage terror, and cameras on every street corner.
[01:32:54.083 --> 01:32:57.064]  It's only the beginning of the New World Order's hellish plan.
[01:32:57.645 --> 01:32:59.085]  The police state isn't coming.
[01:32:59.606 --> 01:33:00.046]  It's here.
[01:33:00.726 --> 01:33:07.708]  Secure your copy today at InfoWars.com or see it online in the highest quality at PrisonPlanet.tv.
[01:33:11.709 --> 01:33:17.271]  We now take you live to the Central Texas Command Center in the heart of the Resistance.
[01:33:17.731 --> 01:33:20.292]  You're listening to the Alex Jones Show!
[01:33:27.895 --> 01:33:29.396]  Welcome back to the Alex Jones Show.
[01:33:29.456 --> 01:33:32.818]  I'm David Knight and we're talking to Stan Lennick.
[01:33:33.078 --> 01:33:38.402]  He's the Constitutional Sheriff and Police Officers Association Deputy Sheriff of the Year.
[01:33:38.502 --> 01:33:44.426]  We're talking to him about what it's like to actually respect the Constitution as a sheriff, as a law officer.
[01:33:45.451 --> 01:33:58.556]  Uh, Stan, uh, thank you for joining us, and you know, we were talking just before the break about these, uh, kind of these sidewalk, massive, uh, uh, I guess sidewalk blocks, they're not roadblocks, you know, they're doing in New York City, where they're auditing people there.
[01:33:59.156 --> 01:34:08.080]  I guess that's one of the things that people are really concerned about, is almost kind of like reverting to a Gestapo type of environment, where the police can walk up to you and
[01:34:08.800 --> 01:34:15.445]  Without any reason that you're breaking a law and start demanding identity papers from you and, you know, various other things like that.
[01:34:16.366 --> 01:34:17.147]  How do you feel about that?
[01:34:17.187 --> 01:34:27.435]  That's not something that you're doing in your jurisdiction right now, but we're seeing that all the time near the border of our country, not too far from where we are.
[01:34:27.635 --> 01:34:36.222]  They've essentially declared a constitution-free zone where they believe that they can search and frisk you and your car without any reason, kind of like we see the NSA going through people's
[01:34:36.762 --> 01:34:36.942]  Right.
[01:34:36.962 --> 01:34:37.062]  Right.
[01:34:37.243 --> 01:34:41.146]  Yeah, I, you know, like I was telling you before, I mean, you know, any police officer can go up to somebody and, you know, talk to them.
[01:34:57.634 --> 01:35:05.296]  You know, like if I go up to somebody and I strike up a conversation, I'm not going to immediately ask, oh, I need your driver's license.
[01:35:05.896 --> 01:35:08.537]  You know, sometimes, you know, we're human too.
[01:35:08.697 --> 01:35:11.418]  We like to talk to people.
[01:35:12.158 --> 01:35:16.419]  People shouldn't feel the fear of talking to us.
[01:35:16.819 --> 01:35:23.281]  But, you know, it goes a step further when you start demanding information when somebody has done nothing wrong.
[01:35:23.641 --> 01:35:23.841]  Right.
[01:35:25.061 --> 01:35:40.093]  You know, and that's where, you know, you're getting yourself into, you know, the police officer himself could be getting himself in trouble by, you know, taking it that step further and not having a reason to
[01:35:41.371 --> 01:35:43.353]  You know, ask somebody for their identification.
[01:35:43.573 --> 01:35:44.014]  Exactly.
[01:35:44.374 --> 01:35:51.241]  You know, we've got this competition, this film competition that's going on, Operation Paul Revere, and I was just reviewing one of the films last night.
[01:35:51.281 --> 01:35:53.183]  It was called A Drop of Water.
[01:35:53.203 --> 01:35:58.889]  People can find that at Infowars.com forward slash P or forward slash Paul Revere.
[01:35:59.870 --> 01:36:17.925]  One of the things that they were talking about how tyranny had looked under the Khmer Rouge in Cambodia, and they had a picture of some signs, and this sign was up in multiple languages, French, English, Cambodian, and in English it says, the security of regulation, and it has several different steps here.
[01:36:18.025 --> 01:36:20.186]  One, you must answer according to my questions.
[01:36:20.226 --> 01:36:21.047]  Don't turn them away.
[01:36:21.067 --> 01:36:25.130]  Next one is, don't try to hide facts by making pretexts of this or that.
[01:36:25.190 --> 01:36:27.652]  You're strictly prohibited to contest me.
[01:36:28.774 --> 01:36:32.999]  Uh, you must immediately answer my questions without wasting time to reflect.
[01:36:33.680 --> 01:36:37.165]  Don't tell me about your immoralities or about the essence of the revolution.
[01:36:37.185 --> 01:36:39.047]  In other words, don't appeal to the rule of law.
[01:36:39.428 --> 01:36:45.175]  And the last one was, while getting lashes or electrification, you must not cry at all.
[01:36:46.396 --> 01:36:48.818]  I mean, this is not a joke.
[01:36:48.998 --> 01:36:51.780]  This is actually what is in Cambodia.
[01:36:51.820 --> 01:37:04.029]  This is the kind, you know, this is where tyranny essentially, what it eventually winds up with when you have people who don't respect the rule of law, who don't respect the Constitution.
[01:37:04.069 --> 01:37:11.074]  Now you said that you learned quite a bit when you went to the Constitutional Sheriff's Convention about that.
[01:37:11.114 --> 01:37:12.135]  Tell us a little bit about that.
[01:37:12.984 --> 01:37:17.126]  Well, first of all, I just want to comment on that sign.
[01:37:18.686 --> 01:37:24.509]  First of all, I feel sorry for the people of Cambodia that they have to deal with this tyranny.
[01:37:25.829 --> 01:37:28.370]  Second of all, that's why our Constitution is in place.
[01:37:29.031 --> 01:37:32.592]  Because our forefathers left a country that was like that.
[01:37:33.653 --> 01:37:36.414]  And they came here and they wanted to be free people.
[01:37:36.974 --> 01:37:39.375]  And they wrote this precious document
[01:37:40.638 --> 01:37:44.323]  To protect themselves from stuff like that.
[01:37:45.304 --> 01:37:52.373]  And going to Missouri to the Constitutional Sheriffs Convention.
[01:37:54.636 --> 01:38:01.679]  But, you know, it was all about, you know, the Constitution, and that's what... that is the supreme law of the land.
[01:38:02.219 --> 01:38:02.619]  Absolutely.
[01:38:02.739 --> 01:38:04.040]  You take a note to that, right?
[01:38:04.060 --> 01:38:15.345]  A sheriff from Milwaukee, if I remember correctly, him saying, you know, God wrote the Constitution and, you know, and gave it to us.
[01:38:15.725 --> 01:38:18.266]  He wrote the Ten Commandments and he gave us the Constitution.
[01:38:19.046 --> 01:38:21.067]  And, you know, you really don't need
[01:38:23.932 --> 01:38:26.514]  Any other, you know, laws than that?
[01:38:27.234 --> 01:38:50.467]  I mean, you know, it's... And it's a very dangerous thing when you have, as we began the program, we had quotes from Jimmy Carter, we had quotes from former Senator from New Hampshire, Gordon Humphreys, we had a quote from the former Treasury Department official, Paul Craig Roberts, all of them talking about how illegitimate our government has become because it is
[01:38:51.227 --> 01:39:07.164]  Separated itself from the Constitution and once you do that your government is illegitimate and it's even more dangerous than that because we see it from the police officer on the street to the occupant of the Oval Office that when they sever themselves from the Constitution
[01:39:07.865 --> 01:39:09.246]  Basically, they become dictators.
[01:39:09.266 --> 01:39:10.827]  That's literally what dictator means.
[01:39:10.867 --> 01:39:12.788]  It means the law is in my mouth.
[01:39:12.868 --> 01:39:15.830]  I'm going to dictate to you whatever the law is at this moment.
[01:39:15.870 --> 01:39:18.051]  There is no authority higher than me.
[01:39:18.351 --> 01:39:25.696]  It's essential that we have a rule of law, that we have something that people swear allegiance to, and that we hold them to that allegiance.
[01:39:26.056 --> 01:39:27.497]  We're going to take some calls right now.
[01:39:27.537 --> 01:39:29.298]  We've got Chad in Kentucky.
[01:39:30.058 --> 01:39:32.780]  Chad, have you got a question for Stan Linek?
[01:39:34.720 --> 01:39:36.661]  Yeah, I got two kind of questions.
[01:39:36.981 --> 01:39:54.226]  The first thing, I mean, it's hard for me, it's kind of a hard question to ask, but like, do you really think that we're still living under the Constitution with people, you know, judges saying that they don't allow the Constitution in court and, you know, people getting arrested for playing with toy guns and stuff like that?
[01:39:55.046 --> 01:39:57.827]  I mean, are we really under that or what's going on here?
[01:40:01.252 --> 01:40:05.921]  You know, getting arrested for toy guns, I mean, that's absolutely ridiculous.
[01:40:05.941 --> 01:40:12.112]  I mean, what is this country coming to when, you know, you have
[01:40:13.726 --> 01:40:14.406]  You know, kids.
[01:40:14.907 --> 01:40:16.067]  You know, like when we were kids.
[01:40:16.227 --> 01:40:17.288]  We played with toy guns.
[01:40:17.808 --> 01:40:18.649]  Nobody got hurt.
[01:40:19.309 --> 01:40:22.971]  You know, it's just... We gotta draw the line somewhere.
[01:40:23.231 --> 01:40:23.631]  Absolutely.
[01:40:23.651 --> 01:40:25.332]  It gets even worse than that, Stan.
[01:40:25.832 --> 01:40:26.713]  There was a couple of cases.
[01:40:27.213 --> 01:40:31.835]  One kid was eating a Pop-Tart and because he took some bites out of one side, the other kid said, look, he's making a gun.
[01:40:31.935 --> 01:40:33.356]  And they kicked him out of school.
[01:40:33.376 --> 01:40:36.658]  We had another kid actually physically arrested by the police.
[01:40:36.718 --> 01:40:38.459]  I think he was eight or nine years old.
[01:40:39.519 --> 01:40:44.943]  Actually physically arrested, handcuffed, and taken away by the police there at the school because he was belching in class.
[01:40:47.185 --> 01:40:48.266]  Absolutely ridiculous.
[01:40:48.406 --> 01:40:48.666]  Yeah.
[01:40:48.926 --> 01:40:49.667]  I mean, you know.
[01:40:49.687 --> 01:40:50.788]  There's no sense of proportion.
[01:40:50.848 --> 01:40:59.074]  We have, you know, drug dealers and, you know, bad crime in a lot of these cities in our country.
[01:40:59.514 --> 01:41:05.439]  And we're worried about if a kid is saying gun in school, I mean, come on, where are our priorities?
[01:41:06.423 --> 01:41:06.843]  Absolutely.
[01:41:07.904 --> 01:41:10.845]  Let's take a question from Robert in California.
[01:41:10.925 --> 01:41:12.306]  Robert, you're live on the show.
[01:41:12.326 --> 01:41:14.967]  How are you doing?
[01:41:15.567 --> 01:41:15.907]  Doing good.
[01:41:15.927 --> 01:41:16.508]  What's your question?
[01:41:17.408 --> 01:41:24.792]  Okay, I just wanted to bounce an experience off of your guest there about what happened to me.
[01:41:24.872 --> 01:41:35.957]  I was in a federal park with a friend of mine on my mountain bike and ran into this federal park ranger who, like you're saying, he acted like he was just a complete gestapo
[01:41:37.426 --> 01:41:39.027]  You know, officer towards us.
[01:41:39.067 --> 01:41:44.831]  You know, we were on a dirt road and he says, you know, put your bike over there and get down on the ground.
[01:41:45.971 --> 01:41:46.552]  What were you doing?
[01:41:46.572 --> 01:41:49.654]  You were just riding your bike and he just, he just ordered you to get off of your bike?
[01:41:49.674 --> 01:41:50.514]  Were you riding it?
[01:41:50.534 --> 01:41:51.895]  Off your bike and down on the ground.
[01:41:52.295 --> 01:41:55.737]  And, um... Why do you think he did that?
[01:41:55.937 --> 01:42:04.743]  You know, being an American and being, you know, raised to believe that I live in a free society, I said, well, you know, what authority do you have to make me sit on the ground?
[01:42:05.808 --> 01:42:11.731]  And that's when he really freaked out.
[01:42:11.751 --> 01:42:15.713]  What exactly were the precursors to him coming up to you?
[01:42:16.034 --> 01:42:19.415]  I guess I need a little bit of elaboration on that.
[01:42:19.556 --> 01:42:22.697]  Yeah, was that an area where you were not allowed to ride a bike or something like that?
[01:42:22.737 --> 01:42:25.099]  Were the regulations about not riding a bike in the park?
[01:42:26.039 --> 01:42:29.521]  Apparently so, but there was no sign posted and I thought it was
[01:42:31.009 --> 01:42:32.851]  Uh, you know, a place where you could ride.
[01:42:50.953 --> 01:42:51.874]  Yeah, yeah.
[01:42:52.034 --> 01:43:00.838]  And just to force you down on the ground, because if you look at, if you just look at world history, who was that person who told you, you can sit on the ground and now you can rise?
[01:43:00.858 --> 01:43:03.020]  That was a king, right?
[01:43:03.040 --> 01:43:07.822]  I mean, a king said, you know, when you went to go see the king, you would bow down on the ground, right?
[01:43:07.882 --> 01:43:09.543]  And then he would say, okay, you can rise now.
[01:43:09.603 --> 01:43:14.646]  So, I mean, what I'm saying is all you have to do is get a job with the federal government now, and you're a king.
[01:43:15.687 --> 01:43:18.128]  And we, in America, we were getting rid of kings.
[01:43:18.808 --> 01:43:18.989]  Yeah.
[01:43:20.712 --> 01:43:29.095]  And not only that, I look at history and, um... I mean, you can mouth off to the king back, you know, hundreds of years ago, or the queen.
[01:43:29.155 --> 01:43:37.638]  I mean, you know, Anne Boleyn, who was Queen of England, would ride down the street in her carriage and everyone would shout whore at her because she wasn't that popular.
[01:43:37.919 --> 01:43:41.580]  And now you can't even blink at a government employee.
[01:43:42.315 --> 01:43:51.937]  Well, you know, I think, I think, Stan, that kind of goes back to respect for the Constitution, what we were just saying, that if you don't have any respect for the Constitution, the rule of law, you can kind of become, fall into that trap of being a dictator, right?
[01:43:51.957 --> 01:43:53.297]  That's correct.
[01:43:53.557 --> 01:44:02.519]  Power corrupts people, and if you, if you are, if you are the law, instead of enforcing the law, then basically that is the ultimate corruption.
[01:44:02.899 --> 01:44:04.700]  Let's talk to Kevin in Florida.
[01:44:05.080 --> 01:44:05.300]  Kevin.
[01:44:06.806 --> 01:44:07.707]  Hey, Mr. Knight.
[01:44:07.807 --> 01:44:08.888]  Thank you for taking my call.
[01:44:08.908 --> 01:44:14.272]  I just want to say that you and the crew are doing a great job on the nightly news every night, and I love watching it on my Roku.
[01:44:14.472 --> 01:44:15.413]  Oh, thank you.
[01:44:15.853 --> 01:44:20.137]  Mr. Linick, thank you so much for keeping your oath and being human.
[01:44:20.157 --> 01:44:22.979]  We need more of it.
[01:44:22.999 --> 01:44:23.679]  I got a question.
[01:44:23.699 --> 01:44:26.021]  Let me just give you a little background.
[01:44:26.481 --> 01:44:29.584]  I noticed shortly before Fast and Furious was busted,
[01:44:30.959 --> 01:44:39.604]  That my county PD worked with the ATF in order to create a sting operation using a fake pawn shop to purchase illegal firearms.
[01:44:40.264 --> 01:44:46.007]  And they got over 270 stolen firearms and, you know, dirty guns.
[01:44:46.968 --> 01:44:51.970]  Also, they infiltrated the drug culture, their own drug culture even more, and fed the system.
[01:44:53.491 --> 01:44:58.714]  The same operation occurred in many other large cities in the same time period.
[01:44:59.178 --> 01:44:59.658]  I don't know.
[01:44:59.698 --> 01:45:00.299]  What do you think, Stan?
[01:45:00.319 --> 01:45:01.820]  Got any opinion on that?
[01:45:01.860 --> 01:45:03.721]  We can't really say for sure, you know.
[01:45:23.934 --> 01:45:24.214]  Right.
[01:45:24.754 --> 01:45:25.915]  I don't know for sure.
[01:45:25.995 --> 01:45:32.278]  I mean, I can't... I mean, especially where I'm at, it's pretty rural.
[01:45:32.298 --> 01:45:36.219]  I mean, our airport is not really that big.
[01:45:37.100 --> 01:45:42.022]  It's called an international airport for the fact that we have one flight to Canada there and back a day.
[01:45:42.042 --> 01:45:46.964]  You know, so as far as, you know, what we do here is
[01:45:49.205 --> 01:45:53.889]  There's a gentleman by, uh, Pastor Muller who, uh, works in the city.
[01:45:54.569 --> 01:46:05.358]  And what he does is he, um, he takes, he takes in cooperation with the Albany Police and the Sheriff's Department, um, it's kind of like a gun buyback.
[01:46:05.878 --> 01:46:08.741]  Um, whether the gun is legal, illegal, whatever.
[01:46:08.761 --> 01:46:15.466]  Uh, you bring a gun to one of these, um, one of these events and you're given a $100 gift card.
[01:46:17.467 --> 01:46:18.828]  To, you know, wherever.
[01:46:20.369 --> 01:46:23.791]  No questions asked, and it's been very successful.
[01:46:23.811 --> 01:46:31.978]  You know, you turn a gun in, and no questions are asked, and you get a $100 gift card.
[01:46:33.159 --> 01:46:34.500]  I think that that's a great program.
[01:46:34.860 --> 01:46:38.323]  But don't you think that they're going to turn in a lot of guns that really don't have any value?
[01:46:38.383 --> 01:46:44.788]  I mean, you know, if somebody could sell a gun, if it's worth more than $100, don't you think they could sell that somewhere else?
[01:46:46.361 --> 01:46:51.565]  They probably could, but a lot of times people don't want guns.
[01:46:51.585 --> 01:46:53.366]  They're afraid of guns.
[01:46:55.748 --> 01:47:04.214]  This is a way of getting a gun off the street instead of giving it to somebody else.
[01:47:04.334 --> 01:47:05.856]  You get something out of it.
[01:47:07.526 --> 01:47:10.427]  Yeah, I guess that could work.
[01:47:10.467 --> 01:47:23.270]  A concern some people have had is that, you know, a lot of times if somebody's got a gun, maybe they got it from a relative who used to know how to use it and wasn't afraid of them, but sometimes they might get those guns, if there's no questions asked, it might be a stolen gun.
[01:47:23.290 --> 01:47:28.231]  You know, we see many cases where they're putting information out as to the location of gun owners.
[01:47:28.251 --> 01:47:36.253]  That's almost an open invitation for somebody to break in there, steal it, and if there's a program out there where they can just turn it in with no questions asked, that's also a concern I have.
[01:47:37.034 --> 01:47:39.096]  Let's go to Ronnie in Texas.
[01:47:39.756 --> 01:47:40.317]  Ronnie, are you there?
[01:47:41.939 --> 01:47:45.142]  Thank you, sir, and Deputy Sheriff, I'm asking your opinion.
[01:47:45.162 --> 01:47:51.489]  I was attending a public meeting and I wanted to address an item on the agenda and awaited my turn.
[01:47:51.569 --> 01:47:55.053]  And when it was my turn, after taking three pages of notes,
[01:47:55.902 --> 01:48:12.071]  About this very issue, the county judge broke the quorum and, before allowing me to ask my question about the $25 million of taxpayer dollars going to a profit-making hospital, he asked me, and only me, he said, well, do you have anything relevant to say?
[01:48:12.091 --> 01:48:16.514]  To which I responded, please, judge, stop asking me such idiotic questions.
[01:48:17.414 --> 01:48:24.899]  And that was reason enough for him to call over the deputy sheriff, escort me out of the building,
[01:48:26.089 --> 01:48:28.491]  Banned me for, actually, banned me for four months.
[01:48:28.892 --> 01:48:31.354]  They took me out of the building and put me in handcuffs.
[01:48:32.696 --> 01:48:48.352]  Luckily, a more mature, knowledgeable sheriff or sheriff deputy stopped them from taking me to jail on that question, but I'm still, to this day, I'm banned from public speaking at a public meeting.
[01:48:50.447 --> 01:48:53.651]  For what I just described to you.
[01:48:53.691 --> 01:48:54.432]  That's interesting.
[01:48:54.913 --> 01:49:01.021]  Judges basically have their own little fiefdom and kingdom that they operate under.
[01:49:01.041 --> 01:49:05.347]  We're going to be talking about that in the next hour with someone from the Fully Informed Jury Association.
[01:49:07.089 --> 01:49:17.352]  They have a lot of leeway with what they can do, charging you with contempt issues, but to go that far and ban you from speaking at any public meeting, I don't see what the legal support for that is.
[01:49:17.572 --> 01:49:19.892]  That's against your First Amendment right of freedom of speech.
[01:49:20.012 --> 01:49:21.072]  Yeah, I would think so.
[01:49:21.112 --> 01:49:22.453]  That goes totally against that.
[01:49:23.053 --> 01:49:28.394]  What right does he have to ban you from speaking in a public place?
[01:49:28.754 --> 01:49:29.934]  Yeah, that's pretty amazing.
[01:49:30.655 --> 01:49:32.215]  Let's go to Scott in Iowa.
[01:49:32.315 --> 01:49:32.615]  Scott.
[01:49:34.403 --> 01:49:35.786]  I don't know.
[01:49:35.806 --> 01:49:36.587]  What's your question, Scott?
[01:49:40.756 --> 01:49:55.500]  I know I've seen quite a handful of videos where a police officer is manhandling or what appears to be an assault on camera and later on it turns out that his boss or a prosecutor or somebody actually charged that officer with assault.
[01:49:56.581 --> 01:50:03.082]  One video in particular was down in Texas where one officer ran up to another officer who had a guy in handcuffs.
[01:50:03.363 --> 01:50:04.763]  The guy in handcuffs wasn't struggling.
[01:50:06.161 --> 01:50:07.001]  I don't know.
