[00:00:02.981 --> 00:00:05.382]  Ah, Christmas music!
[01:23:54.261 --> 01:23:57.684]  For the love of clean water.
[01:23:57.684 --> 01:24:13.217]  I can see for miles and miles and miles and miles and miles.
[01:24:16.477 --> 01:24:21.179]  You hear that New World Order?
[01:24:21.179 --> 01:24:25.640]  We know about the little trick you play.
[01:24:25.640 --> 01:24:29.102]  John B. Wells is here with us, one of my favorite talk show hosts.
[01:24:29.102 --> 01:24:31.323]  I love listening to George Nari as well.
[01:24:31.323 --> 01:24:33.824]  I tell you, what a great lineup they've got there, coast to coast.
[01:24:35.705 --> 01:24:37.747]  Your phone calls are coming up in the next segment.
[01:24:37.747 --> 01:24:41.311]  John M., Greg, Ashley, David, and many others.
[01:24:41.311 --> 01:24:42.211]  Your calls are coming up.
[01:24:42.211 --> 01:24:45.214]  When you hear somebody hang up, it's your chance to call in.
[01:24:45.214 --> 01:24:45.955]  800-259-9231.
[01:24:45.955 --> 01:24:49.518]  We're doing first-time callers here.
[01:24:49.518 --> 01:24:50.820]  This is only a six-minute segment.
[01:24:50.820 --> 01:24:51.820]  Long segments coming up.
[01:24:52.481 --> 01:24:54.882]  But, John, we've talked about so much here today.
[01:24:54.882 --> 01:25:13.025]  There's a new video up on Infowars.com that shows police training, quote, to shoot and kill drivers, and we were looking at it during the break, and the photo of them just walking up to people in drills, and now it's not even checkpoints, and sticking guns to their head.
[01:25:13.025 --> 01:25:15.126]  And, I mean, I gotta be honest with you.
[01:25:16.352 --> 01:25:17.793]  This is literal prisoner training.
[01:25:17.793 --> 01:25:20.355]  It's what they have the kids come out during the drills with their hands up.
[01:25:20.355 --> 01:25:22.317]  They're training us for a takeover.
[01:25:22.317 --> 01:25:25.701]  John B. Wells, seeing these photos and these videos, what do you make of this?
[01:25:28.058 --> 01:25:32.940]  Well, first of all, what I make of it is I have to control my anger at this, because this is inexcusable.
[01:25:32.940 --> 01:25:43.163]  I mean, we all saw that Clint Eastwood movie, got an Academy Award for it, Unforgiven, where little Bill comes up on English Bob and all his deputies who are a bunch of cowards, and he's a sadist.
[01:25:43.163 --> 01:25:46.184]  That's Hackman, played the sadist, little Bill.
[01:25:46.184 --> 01:25:55.627]  They're all pointing their rifles, all of them pointing rifles and pistols and shotguns at one guy, and his little meek biographer.
[01:25:56.548 --> 01:25:58.390]  And that's what's happening here.
[01:25:58.390 --> 01:26:05.676]  I think Eastwood was actually trying to tell us that this is what you get when you disarm the population.
[01:26:05.676 --> 01:26:07.117]  And, you know, I don't want to go too far.
[01:26:07.117 --> 01:26:08.858]  Oh, that was the duck of death.
[01:26:08.858 --> 01:26:09.579]  The duck of death.
[01:26:09.579 --> 01:26:11.240]  He was calling him the duke of death.
[01:26:11.240 --> 01:26:15.024]  He joked when he stomped his head in and called him the duck of death.
[01:26:15.024 --> 01:26:21.329]  Because he was showing this is the real psychopath running the town while you have the fake wannabe psycho.
[01:26:21.329 --> 01:26:21.629]  That's right.
[01:26:24.191 --> 01:26:25.713]  I believe you're absolutely correct.
[01:26:25.713 --> 01:26:30.018]  We are being conditioned to accept this, and I don't think that we should.
[01:26:30.018 --> 01:26:43.134]  Look, it seems to me that any time the citizenry pushes back against the government, and has that look on their face like we're really not going to have this, the government goes, no, wait a minute, wait a minute, wait a minute, wait a minute.
[01:26:43.715 --> 01:26:44.876]  And they back off.
[01:26:44.876 --> 01:26:49.440]  But the longer we let them do this, they're just going to escalate.
[01:26:49.440 --> 01:26:51.742]  And by the way, that's scientific.
[01:26:51.742 --> 01:27:00.268]  Three years ago, when Drudge Report and others helped us promote the opt-out for Thanksgiving week, they just said scanners are turned off, which in documents came out, there's no threat.
[01:27:00.268 --> 01:27:01.409]  It's conditioning.
[01:27:01.409 --> 01:27:06.854]  They didn't want us to have a victory like blacks going in and sitting at the lunch counter and eating and defeating it.
[01:27:06.854 --> 01:27:09.056]  They'd have just been smart back then and said, here, come on in and eat.
[01:27:09.756 --> 01:27:12.897]  Today, but not in the tomorrow, you see.
[01:27:12.897 --> 01:27:15.058]  Sure.
[01:27:15.058 --> 01:27:19.380]  That's what they do now with our civil rights, though, is they're smart about their evil.
[01:27:19.380 --> 01:27:23.902]  Is that they, okay, you can do it this week, but we're going to come back next time.
[01:27:23.902 --> 01:27:26.603]  I think it's going to be just exactly like V for Vendetta.
[01:27:26.603 --> 01:27:30.885]  There's already an article up on a website somewhere.
[01:27:30.885 --> 01:27:34.547]  Is America headed for its own version of the Arab Spring?
[01:27:35.963 --> 01:27:37.184]  Like maybe this coming spring.
[01:27:52.236 --> 01:27:58.742]  And then they gave them the order and they backed off when I was, and I was, I'm going to be honest, I was going to attack 50 riot police, personally.
[01:27:58.742 --> 01:28:03.406]  I mean, I, I, as a man, them attacking that girl, it's just like in V for Vendetta.
[01:28:03.406 --> 01:28:05.968]  They're going to pull something like that and that's when it's going to start.
[01:28:05.968 --> 01:28:09.331]  They're going to hit a kid or they're going to kill a woman or something like that.
[01:28:09.331 --> 01:28:14.875]  They're going to do it on the wrong day and they're going to taste some real pain, as well they should.
[01:28:14.875 --> 01:28:16.817]  We do a pretty good job of policing ourselves.
[01:28:16.817 --> 01:28:17.477]  Black people, that's what.
[01:28:37.845 --> 01:28:39.507]  Now, is Ben Carson?
[01:28:39.507 --> 01:28:44.812]  Oh, well, he's just a little bit too white to be accepted by the mainstream black community.
[01:28:44.812 --> 01:28:46.954]  No, he's a leader.
[01:28:46.954 --> 01:28:50.277]  And Ben tries to go back and help his community.
[01:28:50.277 --> 01:28:51.758]  He does a lot of things for people.
[01:28:51.758 --> 01:28:52.479]  Colin Powell?
[01:28:52.479 --> 01:28:52.979]  Not so much.
[01:28:52.979 --> 01:28:54.080]  He didn't go back.
[01:28:54.080 --> 01:28:56.142]  Who's that little gal who was the National Security Advisor?
[01:28:56.142 --> 01:28:56.803]  Rice.
[01:28:56.803 --> 01:28:57.564]  She didn't go back.
[01:28:58.084 --> 01:29:00.827]  Bill Cosby, look how he was vilified for being too white.
[01:29:00.827 --> 01:29:02.768]  This is media doing this.
[01:29:02.768 --> 01:29:05.170]  Look, it's just exactly what Abbie Hoffman said.
[01:29:05.170 --> 01:29:07.512]  And I don't normally quote radicals.
[01:29:07.512 --> 01:29:08.713]  Well, actually I do.
[01:29:08.713 --> 01:29:10.355]  You don't normally quote commies.
[01:29:10.355 --> 01:29:13.117]  Correct.
[01:29:13.117 --> 01:29:16.940]  The truth isn't what you say, it's how many people you can say it to.
[01:29:16.940 --> 01:29:18.862]  That's where you get your real effect.
[01:29:18.862 --> 01:29:20.423]  And Hoffman was correct.
[01:29:20.423 --> 01:29:25.568]  Because we are being fed the rules of their game.
[01:29:26.465 --> 01:29:29.688]  And all they have to do is continue to repeat it, and many people just nod and say, OK.
[01:29:29.688 --> 01:29:32.890]  Oh, it's so cynical when you turn on MSNBC.
[01:29:32.890 --> 01:29:35.833]  That is pure race hustling, race baiting.
[01:29:35.833 --> 01:29:40.357]  A five-year-old should be able to tell it, but they raise everybody in it.
[01:29:40.357 --> 01:29:41.898]  And of course, they want to keep everybody down.
[01:29:41.898 --> 01:29:43.499]  They don't want people to be an individual.
[01:29:43.499 --> 01:29:45.001]  They want them to be black or white.
[01:29:45.001 --> 01:29:46.902]  We'll be right back with John B. Wells.
[01:29:46.902 --> 01:29:48.283]  We're on the march.
[01:29:48.283 --> 01:29:50.825]  The empire's on the run.
[01:29:50.825 --> 01:29:53.468]  Alex Jones and the GCN Radio Network.
[01:29:57.637 --> 01:30:08.339]  In the last 50 years, iodine has been phased out of our staple foods and replaced with the halogen bromine, a practice now banned in nations around the world.
[01:30:08.339 --> 01:30:10.380]  Guess what else is in the halogen family?
[01:30:10.380 --> 01:30:11.280]  Fluoride.
[01:30:11.280 --> 01:30:13.201]  Ladies and gentlemen, Alex Jones here.
[01:30:13.201 --> 01:30:19.502]  In 1924, the federal government did the right thing and encouraged salt producers to add iodine.
[01:30:19.762 --> 01:30:24.683]  It's the good halogen on the periodic table, and the results are on record.
[01:30:24.683 --> 01:30:31.005]  Reports documented a 15-point IQ increase in areas that had previously been deficient in iodine.
[01:30:31.005 --> 01:30:33.425]  Bottom line, iodine is important.
[01:30:33.425 --> 01:30:36.366]  Unbound, clean, in a glycerin base.
[01:30:36.366 --> 01:30:39.727]  Nascent iodine was the answer for myself and my family.
[01:30:39.867 --> 01:30:44.929]  You will find Survival Shield Nascent Iodine exclusively at InfoWarsLife.com.
[01:30:44.929 --> 01:30:50.392]  InfoWars Life Survival Shield Nascent Iodine isn't just for emergencies.
[01:30:50.392 --> 01:30:51.592]  I take it every day.
[01:30:51.592 --> 01:30:54.454]  That's InfoWarsLife.com or call toll free 888-253-3139.
[01:30:57.575 --> 01:31:02.323]  Why does the United States spend the largest percentage of GDP in the world on healthcare?
[01:31:02.323 --> 01:31:05.428]  Why do we have the highest cancer rates on the planet?
[01:31:05.428 --> 01:31:10.996]  The highest rates of diabetes, autism, and every other major disease.
[01:31:10.996 --> 01:31:12.599]  It all comes down to one thing.
[01:31:12.919 --> 01:31:14.560]  We are what we eat.
[01:31:14.560 --> 01:31:19.223]  Our food is devoid of nutrition and processed with poisons and additives.
[01:31:19.223 --> 01:31:23.426]  Our water is filled with toxic poisons and Big Pharma runoff.
[01:31:23.426 --> 01:31:26.008]  All of this has been engineered by design.
[01:31:26.008 --> 01:31:32.232]  We can turn the tide against the eugenicist by giving ourselves the nutrients our body desperately needs.
[01:31:32.232 --> 01:31:35.214]  To learn more, visit InfoWarsHealth.com.
[01:31:35.214 --> 01:31:42.039]  The site is literally packed with audio and video featuring top health professionals who don't bow down to Big Pharma.
[01:31:42.259 --> 01:31:48.305]  The fight against the New World Order starts with you, and you can't stand against the machine of your sick, tired, and obese.
[01:31:48.305 --> 01:31:54.492]  When you visit Infowarshealth.com, be sure and check out the catalog, with nearly 400 life-changing products.
[01:31:54.492 --> 01:31:56.975]  And get free shipping when you sign up for AutoShip.
[01:31:57.535 --> 01:31:58.576]  The facts are in.
[01:31:58.576 --> 01:31:59.977]  The studies are legion.
[01:31:59.977 --> 01:32:07.483]  Sodium fluoride and other toxic members of the fluoride family are devastating the health and cognitive ability of the American people.
[01:32:07.483 --> 01:32:11.305]  So why are the social engineers adding it to the water?
[01:32:11.305 --> 01:32:11.886]  Simple.
[01:32:11.886 --> 01:32:16.609]  Dumb down the host population that the parasitic technocracy is feeding on.
[01:32:16.609 --> 01:32:22.334]  We may not have been able to get fluoride out of the water supply yet, but we can help to get it out of our bodies.
[01:32:22.334 --> 01:32:24.135]  I am extremely excited to announce
[01:32:24.315 --> 01:32:27.859]  The exclusive InfoWars Life Fluoride Shield Formulation.
[01:32:27.859 --> 01:32:38.650]  Fusing six of the best documented ingredients from around the world to help the body remove not just toxic fluoride residues from the body, but a whole host of toxic substances.
[01:32:38.650 --> 01:32:40.492]  Let's take a stand against the globalists.
[01:32:40.632 --> 01:32:43.213]  By blocking their poisons with fluoride shield.
[01:32:43.213 --> 01:32:45.375]  I use fluoride shield every day.
[01:32:45.375 --> 01:32:50.938]  Secure your fluoride shield and other pioneering formulations at InfoWarsLife.com today.
[01:32:50.938 --> 01:32:55.340]  Let's start cleansing our bodies now and support the InfoWar at the same time.
[01:32:55.340 --> 01:32:56.621]  That's InfoWarsLife.com
[01:33:08.486 --> 01:33:14.772]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[01:33:37.438 --> 01:33:39.180]  John B. Wells, our guest in the studio.
[01:33:39.180 --> 01:33:40.301]  I'm your host, Alex Jones.
[01:33:40.301 --> 01:33:43.545]  His website's caravan2midnight.com.
[01:33:43.545 --> 01:33:46.428]  Some of the top stories up on infowars.com.
[01:33:46.428 --> 01:33:48.210]  And this story is linked on Drudge now.
[01:33:50.618 --> 01:33:57.721]  Russia warns America we will respond with nukes and that's been in the Russian news for about half a day.
[01:33:57.721 --> 01:34:01.583]  You would think the so-called state-run media over here would want to pick that up.
[01:34:01.583 --> 01:34:05.845]  It's really a shame that InfoWars noticed that, put that up and now Drudge is carrying it.
[01:34:05.845 --> 01:34:09.887]  That just shows how far behind the curve the dinosaur media is.
[01:34:09.887 --> 01:34:15.610]  I want to talk about the media briefly with John B. Wells and hit a few other headlines and get his take on it and then go directly to your calls.
[01:34:17.711 --> 01:34:22.477]  John, people would think that I would be happy not having a lot of competition.
[01:34:22.477 --> 01:34:25.160]  Like most talk show hosts obviously don't have other talk show hosts on.
[01:34:25.160 --> 01:34:27.583]  But you guys have me on because we care about liberty.
[01:34:27.583 --> 01:34:28.925]  And it's the same thing with...
[01:34:30.663 --> 01:34:43.727]  The way that I promote WorldNetDaily or DrugsReport.com or other things, it's good to have company that just wants to be good old-fashioned good guys and pro-America and pro-liberty and who don't want to be criminals and who don't want to be part of a new world order.
[01:34:43.727 --> 01:34:47.789]  I mean, really, we're just talking about basic liberty here.
[01:34:47.789 --> 01:34:51.390]  They've tried to paint us as bad, but that's not working anymore.
[01:34:52.230 --> 01:35:00.737]  But they didn't report it back when Russia threatened to nuke Europe in 2008 over the Georgia thing, and I'm not romanticizing Putin or Russia.
[01:35:00.737 --> 01:35:11.867]  You know you're in trouble when you look at somebody like Putin, who's pro-family and stuff, and he looks like a better guy than what we've got.
[01:35:11.867 --> 01:35:15.550]  It's not that he's even good, it's that our leaders are so evil.
[01:35:16.190 --> 01:35:17.552]  I couldn't agree with you more.
[01:35:17.552 --> 01:35:21.678]  When Vladimir Putin looks like the good guy, I think we have a problem.
[01:35:21.678 --> 01:35:29.708]  And as far as the dinosaur media is concerned, you know, let's take the guy who really is pretty much the godfather of talk radio.
[01:35:29.708 --> 01:35:31.971]  His first name begins with an R. Big guy, you know?
[01:35:34.272 --> 01:35:35.913]  It's not that I disagree.
[01:35:35.913 --> 01:35:37.895]  I agree with much of what he says.
[01:35:37.895 --> 01:35:43.999]  But the thing is, he's been saying it for so long that you're almost numb to it.
[01:35:43.999 --> 01:35:46.340]  Look, this is not a one-man movement.
[01:35:46.340 --> 01:35:48.742]  There's got to be an... Exactly.
[01:35:48.742 --> 01:35:51.984]  How do you get people out of their trance?
[01:35:51.984 --> 01:35:52.945]  You know what?
[01:35:52.945 --> 01:35:56.187]  I think what you do is convince them, first of all, you are not a victim.
[01:35:56.187 --> 01:35:57.048]  You have been
[01:35:58.320 --> 01:36:00.785]  Lead to believe you are a victim, but you're not.
[01:36:00.785 --> 01:36:01.667]  You have power.
[01:36:01.667 --> 01:36:03.991]  You have most assuredly have power.
[01:36:03.991 --> 01:36:09.821]  And when the authorities that are there to act in your interest begin to oppress you...
[01:36:10.899 --> 01:36:13.601]  Watch what happens when you push back.
[01:36:13.601 --> 01:36:16.983]  Oh, there'll be a lot of bluster and a lot of bowing up and a lot of swagger.
[01:36:16.983 --> 01:36:19.544]  And then they're going to do something stupid.
[01:36:19.544 --> 01:36:24.267]  And when they do, the citizenry has to take responsibility for its actions.
[01:36:24.267 --> 01:36:25.408]  And they must respond.
[01:36:25.408 --> 01:36:30.431]  And when they do, you'll see the unjust authoritarian state back off real quick.
[01:36:30.431 --> 01:36:31.752]  And it's always happened that way.
[01:36:31.752 --> 01:36:33.273]  They'll try and crush you with power.
[01:36:34.016 --> 01:36:40.904]  But you don't let them in the first time that they fail and you don't retreat because you got sick to your stomach and you gave up too early in the fight.
[01:36:40.904 --> 01:36:42.606]  When you advance, if you take your weapon...
[01:36:43.777 --> 01:36:45.617]  And they back off.
[01:36:45.617 --> 01:36:46.578]  Don't you back off.
[01:36:46.578 --> 01:36:47.598]  You advance.
[01:36:47.598 --> 01:36:50.919]  You cannot attack and defend at the same time.
[01:36:50.919 --> 01:36:53.059]  If they attack you, yield to it.
[01:36:53.059 --> 01:36:55.600]  But when that force is done, you go back.
[01:36:55.600 --> 01:36:56.840]  You go back through the courts.
[01:36:56.840 --> 01:37:02.462]  You go back through whatever means is necessary as granted you by the Constitution.
[01:37:02.462 --> 01:37:04.602]  And don't you ever let this Constitution go.
[01:37:04.602 --> 01:37:06.603]  Because if you do, you're done.
[01:37:06.603 --> 01:37:08.103]  And don't let go of your faith.
[01:37:08.103 --> 01:37:11.244]  Because if you do, it'll be replaced with anything they want to replace it with.
[01:37:12.200 --> 01:37:14.562]  I mean, and it has to start at the schools.
[01:37:14.562 --> 01:37:15.323]  How can we do this?
[01:37:15.323 --> 01:37:17.905]  You become your own little intelligence network.
[01:37:17.905 --> 01:37:20.427]  You look around your neighborhood and say, what are these cameras doing here?
[01:37:20.427 --> 01:37:24.530]  Then you get the rest of the neighbors and just go on down to City Hall and go to a council meeting.
[01:37:24.530 --> 01:37:25.531]  Cause a disruption.
[01:37:25.531 --> 01:37:26.772]  Ask them, why are you doing this?
[01:37:26.772 --> 01:37:27.933]  We don't have any crime in our neighborhood.
[01:37:27.933 --> 01:37:28.774]  Why are you monitoring us?
[01:37:28.774 --> 01:37:32.357]  We want these down now or we're going to fire every one of you next election.
[01:37:32.597 --> 01:37:35.759]  And then if they don't take them down, I guess sometimes cameras get broken.
[01:37:35.759 --> 01:37:36.540]  Sometimes they do.
[01:37:36.540 --> 01:37:37.840]  You know, things happen.
[01:37:37.840 --> 01:37:42.223]  We have large pieces of hail that fall from the sky, and sometimes they break things like that.
[01:37:42.223 --> 01:37:45.966]  But it bothers me to drive down just a regular street where nobody's doing anything.
[01:37:45.966 --> 01:37:47.347]  It's not a high-crime area.
[01:37:47.347 --> 01:37:50.469]  No gang members milling around flashing signs at each other.
[01:37:50.469 --> 01:37:53.951]  And I see a camera up there that's got a badge on it and says, Police.
[01:37:53.951 --> 01:37:55.572]  And it's one of those multiple cameras.
[01:37:55.572 --> 01:37:56.132]  I can see all that.
[01:37:56.132 --> 01:37:59.635]  I'm just like... And I remember when they were first putting them in, they said, Oh, it's for traffic.
[01:37:59.635 --> 01:38:00.916]  But it will always... And again,
[01:38:01.658 --> 01:38:05.481]  I can drive to an area of Austin right now and find hookers and crack.
[01:38:05.481 --> 01:38:07.202]  They're not stopping.
[01:38:07.202 --> 01:38:11.045]  They just keep it in an area and then they use it to go around and take all the rest of the rights.
[01:38:11.045 --> 01:38:13.947]  And again, ladies and gentlemen, at the top it's rotten.
[01:38:13.947 --> 01:38:16.208]  We're not saying people mid-level, low-level, or bad on average.
[01:38:16.208 --> 01:38:21.072]  In fact, that's what's been holding it back is they can't get the military and police to carry all this out.
[01:38:21.072 --> 01:38:23.534]  But just by repetitive pushing, they're doing it.
[01:38:23.534 --> 01:38:27.817]  I want to go to calls, but I said I would go through some of this other news.
[01:38:29.710 --> 01:38:31.571]  Here's just some of it, okay?
[01:38:31.571 --> 01:38:34.752]  Colin Powell endorsed a single-payer healthcare system.
[01:38:34.752 --> 01:38:39.254]  Some members of Congress want to take Obamacare a step further.
[01:38:39.254 --> 01:38:53.421]  And now you get Republican leaders and others joining with Bernie Sanders, who's a socialist, basically a communist, wanting to bring in, this was always the plan, mess up the old system.
[01:38:53.421 --> 01:38:56.262]  And we said this, we're proving right now, and they're doing it.
[01:38:56.829 --> 01:39:00.994]  Yeah, mess up the old system, which was... Every system has its problems.
[01:39:00.994 --> 01:39:04.538]  But you mess up the old system, and now it's destroyed.
[01:39:04.538 --> 01:39:06.320]  So, here, let's try this.
[01:39:06.320 --> 01:39:08.322]  This is a stopgap measure.
[01:39:08.322 --> 01:39:10.044]  It needs some work, but it'll be fine for now.
[01:39:10.044 --> 01:39:11.205]  It's not fine for now.
[01:39:11.205 --> 01:39:12.086]  It's not fine at all.
[01:39:12.086 --> 01:39:13.688]  Well, they messed it up with government to begin with.
[01:39:14.088 --> 01:39:15.469]  Absolutely, absolutely.
[01:39:15.469 --> 01:39:18.691]  And any time, look, it's become cliché.
[01:39:18.691 --> 01:39:22.133]  And this is another one of those clichés, Alex, I don't think anybody pays attention to.
[01:39:22.133 --> 01:39:27.356]  When government starts running things, it gets messed up.
[01:39:27.356 --> 01:39:29.997]  Because you don't have choice anymore to go across the street to a better hospital.
[01:39:29.997 --> 01:39:32.759]  It's all run by the same, they crave running our lives.
[01:39:32.759 --> 01:39:37.762]  And you don't have the initiative to improve anything because it's government now, so it's permanent.
[01:39:37.762 --> 01:39:41.104]  And you, oh, you can't fight City Hall, and you certainly can't fight Capitol Hill.
[01:39:42.043 --> 01:39:45.105]  So, uh, might as well just roll with it.
[01:39:45.105 --> 01:39:49.208]  It is like communism because, I mean, look at the alcoholism rate under the Soviet Union.
[01:39:49.208 --> 01:39:57.794]  90% of the men were hardcore alcoholics because there was no reason, there was no motivation to do anything, or dream anything, or create anything, or produce a good product.
[01:39:58.434 --> 01:40:02.156]  There was only the threat of being beaten if you didn't do the minimums.
[01:40:02.156 --> 01:40:07.419]  But there was no reason, no motivation whatsoever to go the extra mile in any department.
[01:40:07.419 --> 01:40:09.120]  Same thing happened in South Africa.
[01:40:09.120 --> 01:40:13.303]  And the technocrats have already created their offshore systems where they're exempt.
[01:40:13.303 --> 01:40:14.544]  Where they live in total freedom.
[01:40:14.544 --> 01:40:17.005]  No taxes, no regulations above the law.
[01:40:17.005 --> 01:40:18.166]  And they put us under this.
[01:40:19.106 --> 01:40:22.127]  It's a no-brainer we shouldn't be going under this.
[01:40:22.127 --> 01:40:23.447]  People, you have power.
[01:40:23.447 --> 01:40:25.687]  You have much more power than you think.
[01:40:25.687 --> 01:40:29.348]  But be judicious in the use of your power.
[01:40:29.348 --> 01:40:31.209]  Don't use the stupid power.
[01:40:31.209 --> 01:40:32.109]  Use the smart power.
[01:40:32.109 --> 01:40:32.629]  Absolutely.
[01:40:32.629 --> 01:40:35.009]  We're going to rush through more news, but first calls.
[01:40:35.009 --> 01:40:36.690]  John M., who's a police officer.
[01:40:36.690 --> 01:40:37.750]  I should have gone to him earlier.
[01:40:37.750 --> 01:40:41.731]  And then Greg, Ashley, David, and others.
[01:40:41.731 --> 01:40:46.832]  Up first is David, then we'll go to M. David in Kentucky, you're on the air.
[01:40:46.832 --> 01:40:47.552]  Thanks for calling in.
[01:40:48.416 --> 01:40:49.276]  Hey Alex, how are you doing?
[01:40:49.276 --> 01:40:51.117]  Hey John.
[01:40:51.117 --> 01:40:51.437]  Hey.
[01:40:51.437 --> 01:41:09.923]  Basically I wanted to, with the latest stuff coming out about the NSA and World of Warcraft and them spying on that, people aren't realizing whenever they're accepting permissions such as downloading Angry Birds Star Wars, they ask for permission for, to turn on your camera without your knowledge.
[01:41:09.923 --> 01:41:15.164]  I mean it gets you to the point where on my Android phone I have black electrical tape on both my cameras.
[01:41:15.164 --> 01:41:16.805]  I mean it's getting pretty bad and people are just
[01:41:17.465 --> 01:41:23.790]  Giving in to this stuff just so they can play a game and they don't really realize it because half the people don't even read the permissions.
[01:41:25.347 --> 01:41:26.448]  You know... No, I know.
[01:41:26.448 --> 01:41:28.849]  All the time I see messages on the... It's not a phone.
[01:41:28.849 --> 01:41:30.790]  It's a computer tracker system.
[01:41:30.790 --> 01:41:33.672]  A hundred times bigger than the biggest mainframe twenty years ago.
[01:41:33.672 --> 01:41:34.892]  And more powerful.
[01:41:34.892 --> 01:41:37.674]  It says, permission to turn on your webcam whenever you want.
[01:41:37.674 --> 01:41:39.015]  And they still just do it.
[01:41:39.015 --> 01:41:39.355]  Yeah.
[01:41:39.355 --> 01:41:40.936]  This is a Trojan horse.
[01:41:40.936 --> 01:41:47.979]  Now, I at least admit it and use it against them to shoot videos on the road and stuff, but this is how they ubiquitously build it into everything.
[01:41:47.979 --> 01:41:50.721]  And it was in the Telecommunications Act in 96.
[01:41:50.721 --> 01:41:52.382]  I warned everybody because I could read it.
[01:41:52.802 --> 01:41:56.063]  But people are like, oh, the phone isn't going to listen to us even when it's off.
[01:41:56.063 --> 01:41:57.484]  Shut up, you crazy nut.
[01:41:57.484 --> 01:41:58.904]  I'm like, here's the document.
[01:41:58.904 --> 01:42:00.545]  Shut up, you un-American.
[01:42:00.545 --> 01:42:03.166]  Stop saying my government would do something like that.
[01:42:03.166 --> 01:42:05.447]  And now it's like, OK, they need to listen to us.
[01:42:05.447 --> 01:42:07.988]  Yeah, well, you don't need the device anyway.
[01:42:07.988 --> 01:42:10.489]  I mean, really, who needs to play Angry Birds?
[01:42:10.489 --> 01:42:11.089]  I got an idea.
[01:42:11.089 --> 01:42:11.609]  Read a book.
[01:42:11.609 --> 01:42:12.430]  Read a history book.
[01:42:12.430 --> 01:42:13.570]  Try and get one that hasn't been read.
[01:42:13.570 --> 01:42:14.690]  Go climb up a hill.
[01:42:14.690 --> 01:42:15.671]  Go out on a date.
[01:42:15.671 --> 01:42:17.451]  Go to take a cooking class.
[01:42:17.451 --> 01:42:17.972]  Exactly.
[01:42:17.972 --> 01:42:18.672]  Remember the bloody thing?
[01:42:18.672 --> 01:42:20.112]  You want a camera?
[01:42:20.112 --> 01:42:21.053]  Get a little camera.
[01:42:22.173 --> 01:42:23.314]  You don't need a phone.
[01:42:23.314 --> 01:42:26.196]  It tracks you, it listens to you, it photographs you.
[01:42:26.196 --> 01:42:30.119]  You can't believe the stuff that goes on with my phone and phones of my close associates.
[01:42:30.119 --> 01:42:33.321]  Well, you can, but people would just say, oh, you're making this stuff up.
[01:42:33.321 --> 01:42:40.367]  It's like, no, I have actually seen text messages go to my assistant's phone that I didn't send.
[01:42:41.707 --> 01:42:43.107]  Pardon me, I had it backwards.
[01:42:43.107 --> 01:42:47.389]  I got texts from my assistant that the moment that I read that, I had the story reversed.
[01:42:47.389 --> 01:42:48.949]  I'm sorry, that was another incident.
[01:42:48.949 --> 01:42:50.489]  I muddled it.
[01:42:50.489 --> 01:42:53.210]  I said, this was not sent by this person.
[01:42:53.210 --> 01:42:55.031]  I said, did you send this?
[01:42:55.031 --> 01:42:55.331]  No.
[01:42:55.331 --> 01:42:56.391]  I said, well, I got them right here.
[01:42:56.391 --> 01:42:57.831]  And I said, let me see your phone.
[01:42:57.831 --> 01:43:00.272]  When we got back together, I said, look at this.
[01:43:00.272 --> 01:43:02.092]  And it was, one of them was, I'm in class.
[01:43:02.092 --> 01:43:03.553]  And I thought, class?
[01:43:04.600 --> 01:43:08.081]  And then the next one was, sorry, busy now, call back later.
[01:43:08.081 --> 01:43:12.443]  And I thought, that is not a message this person would have sent me, worded like that.
[01:43:12.443 --> 01:43:13.383]  But there it was.
[01:43:13.383 --> 01:43:21.546]  Also, they built a second internet to spy on us with, so it also screws everything up, because all the spy tech, it's having to do two things.
[01:43:21.546 --> 01:43:31.389]  They also, that's what Dr. Stallman talks about, one of the top experts on this, is it's all screwed up, and you have to pay the extra price when the thing's really designed to control your life.
[01:43:31.389 --> 01:43:31.909]  Yep.
[01:43:31.909 --> 01:43:33.630]  So it should cost half as much.
[01:43:34.270 --> 01:43:35.230]  Yeah, well, I'm with ya.
[01:43:35.230 --> 01:43:37.271]  Hey, just talking on the instinct of shooting.
[01:43:37.271 --> 01:43:38.632]  I've been a police officer for 16 years.
[01:44:04.677 --> 01:44:07.359]  I'm a constitutional police officer.
[01:44:07.359 --> 01:44:11.823]  I work in a smaller community, so I work one-on-one with a lot of my community members.
[01:44:11.823 --> 01:44:14.405]  I live there in the community, so I'm vested.
[01:44:14.405 --> 01:44:15.626]  I'm an old-time copper.
[01:44:15.626 --> 01:44:23.233]  I got into the line of work to serve my... You change old ladies' tires, you go to domestic disturbances, you're a servant of the people.
[01:44:24.073 --> 01:44:28.517]  Well, you know, and that's the thing is these big city coppers, a lot of them are good guys, but they laugh.
[01:44:28.517 --> 01:44:34.762]  I mean, for instance, a couple weeks ago, I made the paper because I pushed a lady that her electric wheelchair broke down.
[01:44:34.762 --> 01:44:38.005]  I pushed her a quarter mile to her house and she was about 300 pounds.
[01:44:38.005 --> 01:44:40.447]  I mean, I was tired at the end, but you know what?
[01:44:40.447 --> 01:44:42.909]  Most of us cops, we do stuff like that.
