[00:00:00.089 --> 00:00:07.235]  I'm here.
[02:12:51.161 --> 02:12:54.483]  I mean, this is way past liberal conservative, folks.
[02:12:54.763 --> 02:12:58.124]  This is about common sense and a society gone mad.
[02:12:58.184 --> 02:13:00.786]  Now, you know, I've got Infowarshealth.com.
[02:13:02.572 --> 02:13:09.254]  And I like to, every week or so, get a guest on who's involved with the longevity products that I'm heavily involved with.
[02:13:09.274 --> 02:13:11.195]  The Beyond Tangy Tangerine, all of it.
[02:13:11.495 --> 02:13:14.096]  And I was looking at a list of people I could have on that are involved.
[02:13:14.957 --> 02:13:18.558]  There's a bunch of really cool people we're going to be getting on very soon, including some
[02:13:19.258 --> 02:13:20.279]  Well, I'm just going to leave it at that.
[02:13:20.659 --> 02:13:23.262]  But I saw this thing and I said, Mike Glenn, the Stinger?
[02:13:23.282 --> 02:13:26.485]  I wasn't even a big basketball fan because I didn't watch a lot of TV.
[02:13:26.625 --> 02:13:32.151]  You know, I'd watch the playoffs with my mom, who was a bigger sports fan than my dad, of basketball.
[02:13:32.831 --> 02:13:34.613]  Well, my dad was always working too hard to get into sports.
[02:13:35.013 --> 02:13:36.655]  But I mean, I was a fan of the Stinger.
[02:13:36.695 --> 02:13:37.776]  I said, Mike Glenn.
[02:13:38.096 --> 02:13:40.238]  And then I went, wait a minute, I've seen him do interviews.
[02:13:40.879 --> 02:13:50.465]  And one time I was staying at somebody's house and read a few chapters in one of the books about, you know, the real black history in this country and some of the amazing people that you never, never hear of.
[02:13:50.885 --> 02:13:52.186]  And then I was kind of in a quandary.
[02:13:52.206 --> 02:14:00.070]  Should I have him on about longevity and Infowarshealth.com or should I get Mike Glenn on about his books, which I've ordered and I'm going to end up reading.
[02:14:00.090 --> 02:14:03.012]  Because I remember going, wait, I read part of one of his books and I had to leave the book there.
[02:14:03.832 --> 02:14:07.174]  And because so many times you're busy, you don't finish a book, even though it was interesting.
[02:14:07.774 --> 02:14:08.335]  I didn't have time.
[02:14:08.375 --> 02:14:09.916]  I was visiting some friends a few years ago.
[02:14:10.396 --> 02:14:17.080]  So I wanted to get him on today about, also he has a basketball camp for hearing impaired children.
[02:14:17.840 --> 02:14:20.962]  He's just a really, really, really interesting individual.
[02:14:20.982 --> 02:14:22.083]  MikeGlenn.com.
[02:14:22.863 --> 02:14:26.766]  And he's the guy that got so many of the other big NBA people
[02:14:27.666 --> 02:14:28.106]  Thank you so much.
[02:14:28.126 --> 02:14:29.167]  It's a pleasure for me to be on.
[02:14:29.207 --> 02:14:30.407]  Thanks for that wonderful introduction.
[02:14:31.047 --> 02:14:33.288]  Just happy to spend some time with you, sir.
[02:14:53.294 --> 02:14:53.694]  You bet.
[02:14:53.774 --> 02:14:54.475]  Wow.
[02:14:55.235 --> 02:14:56.036]  Where should we start?
[02:14:56.096 --> 02:15:02.020]  Talk about your books, because what's interesting about them is you don't just cover the folks that are more famous.
[02:15:02.040 --> 02:15:02.740]  Some of them are in there.
[02:15:02.760 --> 02:15:07.864]  But you talk about just how interesting, because I personally like Buffalo Soldiers, all that stuff.
[02:15:08.324 --> 02:15:12.467]  I mean, black history in America is not exactly what we're taught on the nightly news.
[02:15:12.978 --> 02:15:14.259]  Boy, you are so right, Alex.
[02:15:14.279 --> 02:15:16.181]  I appreciate you asking me about that.
[02:15:16.521 --> 02:15:21.925]  And Alex, I grew up in a household where my dad was a coach as well as a teacher, and my mom was a teacher.
[02:15:22.286 --> 02:15:23.367]  So we were reading.
[02:15:23.427 --> 02:15:25.869]  We had study periods even in the summertime.
[02:15:25.909 --> 02:15:28.711]  And mom had this question after the study period.
[02:15:28.731 --> 02:15:31.733]  She said, OK, now what lesson did you learn from what you read?
[02:15:32.114 --> 02:15:35.276]  So we always had to be able to tell a lesson that we learned.
[02:15:35.316 --> 02:15:40.741]  If we had a speaker in school or we read a magazine, newspaper, or book, she wanted to know what lesson did you learn.
[02:15:41.221 --> 02:15:53.433]  So this kind of stayed with me, Alex, throughout my life, and after retiring from pro basketball, I decided to write some books and center them around lessons that I've learned, whether they were lessons from my collection of books.
[02:15:53.613 --> 02:16:02.201]  I own thousands of books that I've selected, rare first edition books, and I decided to just start writing series on lessons that I've learned.
[02:16:02.261 --> 02:16:03.062]  My first one was
[02:16:03.702 --> 02:16:11.625]  I went to my NBA teammates, ex-teammates, foes, opponents, and it was titled Lessons in Success from the NBA's Top Players.
[02:16:11.705 --> 02:16:17.547]  And I went to all of those players, Alex Michaels, Jordan, Shaquille O'Neal, Karl Malone, John Stockton, all of them.
[02:16:17.947 --> 02:16:23.489]  And I asked them what's the two most important lessons they learned to be successful in basketball in life.
[02:16:23.929 --> 02:16:25.590]  So the first book was very interesting.
[02:16:25.610 --> 02:16:29.332]  A lot of coaches, a lot of teams, a lot of individuals bought it.
[02:16:29.412 --> 02:16:34.074]  All NBA players love to get other people's perspectives on what made them successful.
[02:16:34.394 --> 02:16:40.377]  And then I did a lot of other history and research through the books in my library as well and started writing biographies.
[02:16:40.877 --> 02:16:43.858]  I started writing about the integration of sports history.
[02:16:43.918 --> 02:16:44.859]  I looked at history
[02:16:45.439 --> 02:16:54.610]  Before Jackie Robinson, I look at African American athletes that preceded Jackie Robinson who were kind of just swept under the carpet, forgotten, and never mentioned again.
[02:16:54.670 --> 02:16:57.293]  So I told a lot of their stories in one of my books.
[02:16:57.333 --> 02:17:04.320]  And then I also wrote on Frederick Douglass, the pre-Civil War years of Frederick Douglass and his impact on America and society.
[02:17:04.981 --> 02:17:14.464]  Those are kind of some passionate areas that I've written about, talked about, gone to a lot of places and discussed them, and really enjoy even exhibiting Alex.
[02:17:14.584 --> 02:17:22.587]  I collect rare first edition books, so oftentimes I will bring with me some first edition books so people can see the power of these books.
[02:17:23.007 --> 02:17:23.528]  I think so.
[02:17:43.670 --> 02:17:43.890]  Thank you.
[02:17:58.578 --> 02:18:02.762]  You know, I've actually got a painting of Frederick Douglass in there in the office.
[02:18:02.782 --> 02:18:07.027]  We're going to create a new set that's got a bunch of paintings of famous people that I admire.
[02:18:07.047 --> 02:18:11.912]  And I've actually read the book you're speaking of probably 20 years ago.
[02:18:12.492 --> 02:18:15.575]  Amazing quotes and ideas about liberty.
[02:18:15.595 --> 02:18:17.017]  In fact, I paraphrased one of them.
[02:18:17.037 --> 02:18:21.842]  He said, liberty and freedom is never given, it's taken, it's demanded, to paraphrase that quote.
[02:18:22.422 --> 02:18:23.383]  Absolutely right.
[02:18:23.443 --> 02:18:24.504]  What a tremendous giant.
[02:18:24.524 --> 02:18:26.985]  You're so right, Alex, and it's so worthy of everybody.
[02:18:27.005 --> 02:18:44.096]  It should be a must-read for all who haven't read it, and in all schools as well, because he certainly was a proponent of that, fighting for liberty continuously and agitating and petitioning and understanding how freedom works and how things that are not for your freedom work against you.
[02:18:44.156 --> 02:18:48.259]  So, one of his first speeches, as a matter of fact, my mom, one of her favorite quotes
[02:18:48.679 --> 02:18:49.240]  We're good to go.
[02:19:08.736 --> 02:19:16.600]  And they were going to show her husband Hugh what he had learned, and all of a sudden, Hugh said, hey, what are you doing teaching that slave how to read?
[02:19:16.680 --> 02:19:20.562]  Don't you know that if he learns how to read, he won't be fit to be a slave anymore?
[02:19:21.082 --> 02:19:27.865]  So that was a quote that Frederick Douglass remembered the rest of his life, my mom's favorite quote as a teacher, and it was kind of important to me.
[02:19:27.965 --> 02:19:30.607]  Once you learn how to read, you won't be fit to be a slave anymore.
[02:19:31.047 --> 02:19:37.790]  And it was a proponent of, he said that was the pathway from slavery to freedom was through reading and literacy and learning who you are, what you are, what
[02:19:38.370 --> 02:19:39.071]  Mine as well.
[02:19:39.171 --> 02:19:44.676]  I mean, growing up, I happened to get into history books just because they were so action-packed every page.
[02:19:45.457 --> 02:19:48.300]  And then if you know history, you know how humans act over and over again.
[02:19:48.320 --> 02:19:54.425]  So I can now recognize the oppression and the modern attempts at slavery today that are more sophisticated.
[02:19:54.465 --> 02:20:01.312]  Like, I have all the Department of Education documents, and they're in Charlotte Isserby's phone book-sized book when she was the head of policy there.
[02:20:02.213 --> 02:20:14.066]  Where they actually planned to dumb everybody down so they could be brought into a collective and they're now coming out saying, you know, the state owns your children and the state will control what you do.
[02:20:14.406 --> 02:20:17.530]  What's your view on the new authoritarianism we see growing today?
[02:20:18.146 --> 02:20:24.928]  I think you got some excellent points there, and I think that's why it's so important that we continue to read, to study, to learn, to look before the surface.
[02:20:25.288 --> 02:20:26.329]  Because Alex, you're so right.
[02:20:26.349 --> 02:20:36.052]  Everything is so short-term, surface, look at the top, keep it moving, short attention span, so you really never, people really never look below the surface.
[02:20:36.152 --> 02:20:36.812]  We're good to go.
[02:21:01.182 --> 02:21:02.203]  We're good to go.
[02:21:16.715 --> 02:21:18.296]  Well, you're absolutely right about that.
[02:21:18.416 --> 02:21:27.984]  I mean, there's so many great quotes I just pulled up here of Frederick Douglass, but people might not get all they work for in this world, but they must certainly work for all they get.
[02:21:29.185 --> 02:21:33.768]  And then he goes on to say, this is a shortened version of it, power concedes nothing without a demand.
[02:21:35.189 --> 02:21:36.630]  It never did and it never will.
[02:21:38.114 --> 02:21:41.776]  That was one of his most famous ones as well.
[02:21:41.876 --> 02:21:51.262]  He was just saying that you have to continue to work and to agitate and to knock down walls of resistance and to fight hard for what you want.
[02:21:51.882 --> 02:21:58.206]  It's a glorious quote that's very well said by Frederick Douglass in 1857.
[02:21:58.246 --> 02:22:00.208]  He has some fabulous quotes.
[02:22:00.328 --> 02:22:02.109]  All of his three books were just fabulous.
[02:22:09.715 --> 02:22:12.357]  Mike Glenn, the stinger, NBA legend is our guest.
[02:22:12.417 --> 02:22:13.437]  MikeGlenn.com.
[02:22:13.557 --> 02:22:14.178]  Here's another one.
[02:22:14.618 --> 02:22:20.122]  The limits of tyrants are prescribed by the endurance of those of whom they oppress.
[02:22:20.143 --> 02:22:26.968]  You see, they want to break us now with the whole, you know, police state, the wars, all of it.
[02:22:27.828 --> 02:22:30.871]  Mike, what is your view on where humanity is today?
[02:22:32.250 --> 02:23:01.746]  Well, I think there's still, as long as there are voices out there, you always have both sides of the coin out there, and I think we have to be really diligent in keeping forth the positive voices on humanity to break down barriers that separate people, bring people together, show a light of leadership in a progressive way that gives opportunity, you know, supports working hard, achieving goals, believing you can do things.
[02:23:01.966 --> 02:23:04.628]  That's not allowing people to suppress you.
[02:23:04.648 --> 02:23:10.451]  Exactly, but see, but see, Frederick Douglass talked about a real progression, meaning humans getting better.
[02:23:10.912 --> 02:23:15.074]  What about the socialists that take the word progressive and have now created counterfeits?
[02:23:15.114 --> 02:23:15.835]  How do you deal with that?
[02:23:16.556 --> 02:23:19.858]  Yeah, it's not an easy thing to do and you have to keep your voice heard.
[02:23:19.918 --> 02:23:32.463]  I think Alex, you certainly, and the more we hear voices that show another way, a better way, I think through all these voices that it gives opportunity for people to find a best path.
[02:23:32.543 --> 02:23:38.406]  As long as they believe that they can do it, as long as they have the energy to fight, to push, to achieve, to learn, to grow,
[02:23:38.946 --> 02:23:40.727]  Well, Mike, that's what I picked up.
[02:23:41.107 --> 02:23:44.389]  That's what I picked up reading one of your books is that
[02:24:05.612 --> 02:24:10.418]  I get the thrill out of teaching somebody something, or I get the thrill out of seeing people excel.
[02:24:10.839 --> 02:24:17.266]  And there are just so many out there that are so pitiful, they think when someone else excels, that's bringing them down.
[02:24:17.327 --> 02:24:21.812]  And there are people that have excelled, that think they excelled by bringing others down, and it's just really sad.
[02:24:22.072 --> 02:24:23.534]  Here's one more Frederick Douglass quote.
[02:24:24.435 --> 02:24:30.142]  The life of a nation is secure only while the nation is honest, truthful, and virtuous.
[02:24:30.182 --> 02:24:35.769]  But there's so many unhappy people out there, and I think they're unhappy because they're not building others up.
[02:24:36.109 --> 02:24:44.379]  Tell us about your foundation and the basketball camp, and how many folks that have been deaf or hearing impaired that you've helped.
[02:24:44.841 --> 02:24:46.102]  Well, thanks very much, Alex.
[02:24:46.122 --> 02:25:01.913]  Yeah, my dad actually started the sports program there at Georgia School for the Deaf before I was born, so he coached every sport they had there at the deaf school, and so I grew up loving basketball, and I would go to basketball camps, and I noticed that my deaf friends could never go.
[02:25:01.993 --> 02:25:04.755]  I spent a lot of, countless hours at the deaf school.
[02:25:04.795 --> 02:25:06.276]  They had the dormitories there.
[02:25:06.657 --> 02:25:11.080]  I stayed in his classrooms, went to the dormitories, went to the gym, went to all the practices.
[02:25:11.720 --> 02:25:13.681]  And I noticed they could never go to camp.
[02:25:13.721 --> 02:25:14.582]  They were always sad.
[02:25:14.622 --> 02:25:17.184]  In the summer I would ask them, did you guys go to basketball camp?
[02:25:17.244 --> 02:25:18.424]  And they said there was no camp.
[02:25:18.845 --> 02:25:23.568]  So Alex, I kind of made a promise to myself that one day I would like to start a camp just for deaf kids.
[02:25:23.588 --> 02:25:25.969]  Because I thought it was, they deserved a chance to go.
[02:25:26.149 --> 02:25:27.470]  They were great basketball players.
[02:25:27.490 --> 02:25:29.852]  They loved the game like anybody else did.
[02:25:29.932 --> 02:25:35.175]  So why shouldn't they have an opportunity to live their dreams and go as far as their talents would take them?
[02:25:35.675 --> 02:25:44.182]  So when I got to the NBA, I talked about it at several places, and as a member of the New York Knicks, I started the nation's first basketball camp for deaf kids.
[02:25:44.242 --> 02:25:45.383]  This was 33 years ago.
[02:25:45.903 --> 02:25:47.304]  So I started the free camp.
[02:25:47.844 --> 02:25:53.509]  First, I had about 30 kids to come to that first camp on Long Island, New York at Mill Neck School for the Deaf.
[02:25:54.109 --> 02:25:55.791]  And then I started expanding it.
[02:25:55.891 --> 02:26:14.705]  Girls and boys and kids were coming from all across the country to this free camp and it meant so much to them to have an opportunity to go to camp, to include, to be included, to interact with other kids, to meet pro NBA players, to come and sign autographs and take pictures.
[02:26:15.006 --> 02:26:16.367]  It was just the best week of their life.
[02:26:16.967 --> 02:26:25.174]  So I decided that each year I would have this camp, and I would dedicate each week to tell the students, this will be the best week of your life.
[02:26:25.494 --> 02:26:31.239]  So all of our staff members, we tell them on the first day, welcome, we're glad to have you here.
[02:26:31.520 --> 02:26:35.383]  This is the camp for you, and our mission is for you to have the best week of your life.
[02:26:35.723 --> 02:26:41.448]  So each year I average from 80 to 100 kids, and you take that over the 33 years.
[02:26:41.508 --> 02:26:44.731]  Some years I would do two camps, one in New York and one in Atlanta.
[02:26:45.211 --> 02:26:47.855]  Now I just do the one in Atlanta every summer.
[02:26:47.875 --> 02:26:49.177]  We start on Father's Day.
[02:26:49.238 --> 02:26:52.743]  It's kind of a tribute to my dad who he's passed on now.
[02:26:52.843 --> 02:26:58.512]  But the heritage, the legacy from him is this camp and it kind of lives through me.
[02:26:58.612 --> 02:27:00.134]  And so we start on that day.
[02:27:00.795 --> 02:27:03.456]  We have kids, and Alex, it's just the best week of my life.
[02:27:03.516 --> 02:27:05.777]  I mean, all the coaches are there because they care.
[02:27:05.837 --> 02:27:09.818]  Nobody is there because they're getting money to be, how much money am I going to get?
[02:27:10.218 --> 02:27:17.781]  It's all about caring about the kids, giving them an opportunity, loving the game of basketball, and just having as much fun as you can with it.
[02:27:17.861 --> 02:27:23.383]  So, it's a blessing in my life, and I'm just so blessed to have people like Young Jevy, their support.
[02:27:23.423 --> 02:27:24.343]  We give them nutrition.
[02:27:24.363 --> 02:27:29.825]  Dr. Wallach has come in and talked to them about nutrition to help their health, help their game.
[02:27:30.305 --> 02:27:31.486]  So we expand them.
[02:27:31.586 --> 02:27:33.047]  Martin Luther King Jr.
[02:27:33.107 --> 02:27:34.607]  and other third brothers come in.
[02:27:34.667 --> 02:27:35.208]  Andrew Young.
[02:27:35.228 --> 02:27:41.571]  I mean, we've just had not only basketball players, not only people in nutrition, but people from various walks of life.
[02:27:41.631 --> 02:27:42.212]  Other sports.
[02:27:42.852 --> 02:27:47.674]  Roddy White, our all-pro football receiver, came in and talked to us a couple of years ago.
[02:27:47.895 --> 02:27:51.637]  He said, I've never been to a basketball camp, but certainly never been to a camp for deaf kids.
[02:27:51.897 --> 02:27:53.378]  It's one of the best camps I've ever been to.
[02:27:53.598 --> 02:27:54.378]  The kids loved him.
[02:27:54.418 --> 02:27:57.900]  I mean, just the hugs, the love, the real from heart to heart.
[02:27:58.100 --> 02:27:59.621]  I cannot be beat.
[02:28:00.041 --> 02:28:03.804]  And so I think it's really a model my camp is where you got girls and boys.
[02:28:03.844 --> 02:28:05.605]  I have kids that can hear also.
[02:28:05.705 --> 02:28:06.666]  They have to come to the camp.
[02:28:06.726 --> 02:28:13.851]  I tell them, look, you may have a deaf coach, you can have some deaf teammates, but I want you to learn to get along with kids that are very different from you.
[02:28:14.171 --> 02:28:22.997]  They may speak different, look different, may not speak at all, but I want y'all to get along and form a basketball team and we're going to play ball and that's what we do every summer and we love it.
[02:28:23.888 --> 02:28:31.591]  Well, I tell you, people are blessed to be able to go to that, and it's another example of private individuals taking action, building their dreams, and helping others.
[02:28:32.532 --> 02:28:33.632]  Mike Glenn is our guest.
[02:28:33.672 --> 02:28:35.853]  I tell you, when I saw that name on a piece of paper, I said, wow!
[02:28:36.534 --> 02:28:37.714]  He's doing interviews about...
[02:28:40.075 --> 02:28:44.318]  Health and the things you discovered with that, but I said I want him on about all this other stuff that I knew you were doing.
[02:28:44.738 --> 02:28:48.380]  So The Stinger, The Stinger is on with us right now on MikeGlenn.com.
[02:28:48.400 --> 02:28:52.623]  We're going to post this video of this radio interview of your TV viewer.
[02:28:52.643 --> 02:29:01.828]  You're obviously seeing it now, but for radio listeners by tomorrow, we'll have this interview posted up at InfowarsHealth.com if you're a radio listener and want to be able to see the TV side.
[02:29:01.848 --> 02:29:05.030]  We're going to go to break and come back and talk about health issues.
[02:29:05.711 --> 02:29:06.411]  Longevity,
[02:29:08.112 --> 02:29:27.086]  You were one of the people that got into it very, very early, and you've gotten so many other NBA people into it as well, because anything I promote is something I truly believe in, and Longevity and the products at Infowarshealth.com are the best out there, but also it funds our operation, just like you were saying, Longevity helping fund stuff for deaf kids.
[02:29:27.106 --> 02:29:29.788]  I don't think people know that Dr. Wallach's won against the
[02:29:30.689 --> 02:29:34.430]  Food and Drug Administration himself three times, with other lawyers seven times.
[02:29:34.870 --> 02:29:36.270]  We've had some of those lawyers on.
[02:29:36.290 --> 02:29:40.772]  These are the famous cases that allow supplementation, period.
[02:29:40.792 --> 02:29:47.173]  And I just can't believe the type of guests we get on, but these guys never brag about themselves like Dr. Wallach and others.
[02:29:47.213 --> 02:29:49.474]  So we'll brag on them with Mike Glenn, the stinger.
[02:29:49.774 --> 02:29:51.074]  Straight ahead, I'm Alex Jones.
[02:29:51.854 --> 02:29:54.855]  We're on the march, the empire's on the run.
[02:29:55.775 --> 02:29:58.456]  Alex Jones and the GCN Radio Network.
[02:30:02.614 --> 02:30:04.355]  In the last two years alone, the U.S.
[02:30:04.395 --> 02:30:06.476]  has seen huge losses to our food supply.
[02:30:06.716 --> 02:30:12.219]  In 2011, storms and floods raged across the U.S., costing us $20 billion in lost crops alone.
[02:30:12.439 --> 02:30:16.201]  In 2012, we saw the largest drought in the country in more than 50 years.
[02:30:16.481 --> 02:30:20.243]  You may think out of sight, out of mind, and so you don't think you will be affected.
[02:30:20.403 --> 02:30:21.603]  The fact is, you are.
[02:30:21.803 --> 02:30:22.564]  We all are.
[02:30:22.804 --> 02:30:25.145]  Food shortages drive prices up for everyone.
[02:30:25.445 --> 02:30:33.813]  You might not be able to control Mother Nature, but you can control your food prices by freezing the cost and availability of your food supply with eFoods Direct.
[02:30:34.013 --> 02:30:35.234]  Be prepared before you need it.
[02:30:35.394 --> 02:30:38.597]  With nutrient-dense food you can store for up to 25 years.
[02:30:38.877 --> 02:30:41.139]  You can hope for the best, but hope won't feed you.
[02:30:41.259 --> 02:30:45.703]  Do what I've done and get your own supply of the best storable foods out there from eFoods Direct.
[02:30:45.824 --> 02:30:51.729]  Call 800-409-5633 or visit them on the web at efoodsdirect.com forward slash Alex.
[02:30:51.969 --> 02:30:53.371]  And check out their spring specials.
[02:30:53.611 --> 02:30:59.897]  Again, that number is 800-409-5633 or on the web at efoodsdirect.com forward slash Alex.
[02:31:00.137 --> 02:31:02.079]  You can bet your life on eFoodsDirect.
[02:31:03.461 --> 02:31:09.286]  Now that we have moved into the winter season, there is an increased need to support our immunity and health.
[02:31:10.194 --> 02:31:16.098]  At Silver Lungs, we are committed to meeting your needs by providing a full selection of silver-based products.
[02:31:16.958 --> 02:31:27.025]  Our most popular silver-based products are the 32-ounce Nano-Silver solutions, our 2-ounce Nano-Silver nasal applicators, as well as our all-natural silver soaps.
[02:31:27.905 --> 02:31:31.207]  Just released is our 100% natural silver gel.
[02:31:32.048 --> 02:31:38.232]  Our new silver gel is not based on synthetic gelling agents, which quickly evaporate and leave the silver at the surface.
[02:31:38.952 --> 02:31:49.404]  But rather, we have formulated our silver gel using the natural skin nourishing chemistry of aloe vera to quickly penetrate and nourish the skin while delivering the silver more effectively.
[02:31:50.225 --> 02:31:57.814]  Visit www.silverlungs.com and click on our store page to find what silver based products are best for you.
[02:31:58.973 --> 02:32:01.957]  That's www.silverlungs.com.
[02:32:02.538 --> 02:32:04.180]  Introducing Pro One.
[02:32:04.440 --> 02:32:07.945]  All of your filtration in one system, portable, on the go.
[02:32:08.085 --> 02:32:12.491]  No more do you have two or three filters to just reduce sodium fluoride.
[02:32:12.631 --> 02:32:14.954]  You have a system that cuts out the sodium fluoride.
[02:32:15.154 --> 02:32:18.599]  And up to 95% of hydrofluorosilicic acid.
[02:32:18.719 --> 02:32:29.713]  Advanced manufacturing technology combines silver impregnated white ceramic with new Aquamedics advanced media for removal of fluoride and other heavy metals all in one filter element.
[02:32:29.733 --> 02:32:32.397]  It is the only one that does it and out of the gates!
[02:32:32.577 --> 02:32:36.018]  We have it discounted at 10% off with promo code WATER.
[02:32:36.198 --> 02:32:53.181]  This is the only system that in one unit helps reduce or remove pesticides, herbicides, chloramines, ammonia and chlorine, hydrofluorosilicic acid, the most common form of fluoride not covered by other fluoride filter brands, and sodium hexafluorosilicate.
[02:32:53.501 --> 02:32:58.822]  Get your ProPure with the new Pro1 filters today at infowarestore.com or by calling 888-253-3139.
[02:33:19.871 --> 02:33:23.213]  Well, we've got the Stinger on with us here.
[02:33:23.233 --> 02:33:26.194]  Mike Glenn, a very famous NBA player.
[02:33:26.234 --> 02:33:31.277]  For those of you that don't follow the NBA, like I didn't follow it much, and I always liked watching the Stinger.
[02:33:32.761 --> 02:33:36.844]  But I guess people like the guy that's a little bit smaller than everybody else who's kicking their butt.
[02:33:36.864 --> 02:33:37.865]  I think that might be what it is.
[02:33:38.165 --> 02:33:39.586]  Is that why you were so popular, Mike?
[02:33:39.946 --> 02:33:41.147]  Yeah, that's part of it, man.
[02:33:41.167 --> 02:33:41.707]  The little guy.
[02:33:41.727 --> 02:33:44.009]  And I always shot the ball so well from the outside.
[02:33:44.049 --> 02:33:46.790]  That's how I earned the nickname, the Stinger Alex.
[02:33:47.211 --> 02:33:49.532]  And then I played the game like you try to live.
[02:33:49.612 --> 02:33:51.674]  You just play it as an expression of who you are.
[02:33:51.714 --> 02:33:53.995]  So I played hard and played fair.
[02:33:54.095 --> 02:33:56.697]  And I think people like the way I played the game, too.
[02:33:57.523 --> 02:34:02.544]  You've got a film coming out that just won a big Christian award, and you're going to be doing screenings on that.
[02:34:02.564 --> 02:34:06.385]  The system obviously doesn't want films like this out there, but it's got some really good reviews.
[02:34:06.425 --> 02:34:07.105]  Tell us about that.
[02:34:07.505 --> 02:34:08.705]  Yeah, thanks very much, Alex.
[02:34:08.785 --> 02:34:11.946]  It's called The Spirit of Love Movie dot com.
[02:34:12.246 --> 02:34:14.446]  The Spirit of Love Movie dot com.
[02:34:14.926 --> 02:34:25.128]  And it traces my growing up around deaf kids, and then it goes all the way, goes forward to my running this basketball camp for deaf kids, kids coming in.
[02:34:25.848 --> 02:34:26.489]  We're good to go.
[02:34:50.885 --> 02:34:53.207]  The most inspirational movie of that festival.
[02:34:53.267 --> 02:34:56.849]  And then we have four out of five doves from that rating agency as well.
[02:34:57.130 --> 02:34:58.811]  So right now we're doing screenings.
[02:34:58.871 --> 02:35:00.652]  We're looking for the right distributor.
[02:35:00.672 --> 02:35:02.633]  My producer, Dollar A, is out of Denver.
[02:35:03.094 --> 02:35:05.255]  And so we got a screening in Denver in May.
[02:35:05.295 --> 02:35:07.597]  We have one in Atlanta coming up in May.
[02:35:07.977 --> 02:35:11.640]  And so we encourage people just go to thespiritoflovemovie.com.
[02:35:11.700 --> 02:35:15.503]  We got to Facebook and all those social media things, Alex, that I'm not the best at.
[02:35:15.523 --> 02:35:18.705]  But we got it there, so they can interact that way as well.
[02:35:19.113 --> 02:35:20.494]  Well, very exciting what you're doing.
[02:35:20.554 --> 02:35:25.238]  I mean, already so successful monetarily, everything, and to still be working so hard.
[02:35:25.258 --> 02:35:26.139]  That's what it's all about.
[02:35:26.199 --> 02:35:27.880]  Mike Glenn is our guest.
[02:35:27.900 --> 02:35:29.401]  I wanted to have some positive things today.
[02:35:29.421 --> 02:35:37.088]  Now, you're also on the Sports Advisory Board for Longevity, which is, by the way, folks, growing to be one of the biggest vitamin and mineral companies out there.
[02:35:37.828 --> 02:35:45.873]  Uh, and that's why I chose them as a sponsor a few years ago, because I'd seen amazing effects here on crew members, even though it's not advertised as weight loss, losing 97 pounds.
[02:35:46.293 --> 02:35:49.975]  Myself and stamina, because I'd gotten out of shape doing nothing for about 10 years.
[02:35:50.055 --> 02:35:53.217]  My mother, triathlete, just says it's incredible.
[02:35:53.797 --> 02:35:57.640]  And, uh, it's all available at infohorsehealth.com and your purchase there
[02:35:58.620 --> 02:36:04.502]  On the site of Infowarshealth.com, I should add, also funds our operation to a great extent and what we're doing.
[02:36:04.522 --> 02:36:10.243]  So you're buying from the good guys and helping us build our liberty-oriented media organization.
[02:36:10.283 --> 02:36:14.384]  But you got Theo Ratliff and other famous NBA stars in on it.
[02:36:14.684 --> 02:36:15.924]  Theo was going to have to retire.
[02:36:15.984 --> 02:36:16.725]  That's on record.
[02:36:17.045 --> 02:36:19.645]  Gave him, what, 10 more years in it and 30-something million dollars.
[02:36:19.965 --> 02:36:26.387]  Break down your experience with Doc Wallet, when that started, and why you promote longevity.
[02:36:26.867 --> 02:36:27.888]  Well, thanks very much Alex.
[02:36:27.948 --> 02:36:38.995]  About 14 years ago, a friend of mine named Phil Oliver who worked at Sickle Cell, and Doc had helped him with a lot of Sickle Cell patients with how they could be healthier through mineral nutrition.
[02:36:39.455 --> 02:36:43.938]  And so he insisted, I mean he was very persistent, and he insisted
[02:36:44.478 --> 02:36:55.002]  That I tried these minerals, and so I did use them, and it really helped me tremendously, and I started sharing the story with others.
[02:36:55.342 --> 02:37:01.004]  And Theo is a very interesting story, also, because I was talking to one of the other players on the Hawks.
[02:37:01.084 --> 02:37:07.427]  I was doing color analysis for him on TV, and he'd had some health problems that he couldn't find a solution to.
[02:37:08.147 --> 02:37:09.527]  And Theo overheard me.
[02:37:09.667 --> 02:37:11.008]  I wasn't even talking to Theo.
[02:37:11.388 --> 02:37:13.348]  And Theo was having problems himself.
[02:37:13.408 --> 02:37:16.889]  He had a detached bone, and I think you've had it both, but he's probably gone over.
[02:37:17.249 --> 02:37:18.069]  Gotta go over it again.
[02:37:18.129 --> 02:37:18.609]  It's important.
[02:37:19.029 --> 02:37:19.329]  Okay.
[02:37:19.569 --> 02:37:21.830]  Theo had a detached bone in his hip.
[02:37:21.890 --> 02:37:23.170]  That was his biggest problem.
[02:37:23.530 --> 02:37:25.670]  And in his knee, he had bone to bone arthritis.
[02:37:25.750 --> 02:37:29.031]  It would swell so big after games, they would have to drain it.
[02:37:29.391 --> 02:37:30.911]  He had a problem with his ankle.
[02:37:31.291 --> 02:37:32.752]  He had a problem with his wrist.
