[00:00:09.795 --> 00:00:12.537]  Who controls the past, controls the future.
[00:53:04.299 --> 00:53:23.306]  And all of this was valuable information, but not as valuable as the proto-psychology and psychiatry and anthropology and sociology that they wrote down in books of how to control and manipulate fellow humans to make us basically animals that they could program.
[00:53:23.946 --> 00:53:43.578]  So if you want to know what the Illuminati is, it's simply ancient technologies of control, brought forward into the Roman Empire, brought forward then through the Dark Ages into Europe, and then via infighting between the Catholic Church and the Knights Templars, who had broken off using the technology, to the UK.
[00:53:43.978 --> 00:53:51.003]  It becomes the new power axis of the Illuminati, or two different feuding Illuminati arms,
[00:53:51.483 --> 00:53:51.963]  We're good to go.
[00:54:14.600 --> 00:54:25.910]  Moving forward in these systems and technologies that can then be adopted by other groups, and if a new subgroup rises up, it is then brought into the seat of power, or as a power slave.
[00:54:26.350 --> 00:54:33.456]  The American Empire is as much an empire as we are the giant power slave to carry out these programs for the New World Order.
[00:54:33.476 --> 00:54:36.078]  But let me go back to this basic synopsis here.
[00:54:36.979 --> 00:54:37.880]  In the brief history
[00:54:39.150 --> 00:54:40.191]  of their takeover.
[00:54:40.911 --> 00:54:42.773]  They do this region by region.
[00:54:43.073 --> 00:54:47.576]  They try to get people to buy in, to let in a group in, or they militarily come in.
[00:54:47.596 --> 00:54:52.480]  That's why they love to prey on groups that aren't advanced technologically because they can't resist.
[00:54:53.080 --> 00:54:59.005]  But if you're more technologically advanced, they'll come in and take over and simply use you in an exploitation phase.
[00:54:59.345 --> 00:55:07.351]  And when I bring this up, many of you probably would have read about this in communist doctrine, how once the communists in phase two, once they get their beachhead in the country,
[00:55:07.631 --> 00:55:09.472]  And they're able to take over its central government.
[00:55:09.732 --> 00:55:19.915]  They then go into the exploitation phase of using the capital, the treasure, the ingenuity, the science of the nation to take over the neighboring nation or project power against another country.
[00:55:20.496 --> 00:55:30.279]  And then if they need to stage a terror attack or a false flag as a pretext to get that country or group or tribe behind fighting the next tribe, that will be done.
[00:55:30.679 --> 00:55:32.740]  And many times in the full spectrum dominance.
[00:55:33.669 --> 00:55:36.212]  You will have the globalists funding all the sides.
[00:55:36.892 --> 00:55:52.068]  So that within the war they've organized for both sides, out of that you get a impoverishment, a destruction of infrastructure, and the wealth being transferred to the offshore, piratical, globalist crime syndicate.
[00:55:52.608 --> 00:55:56.472]  So again, it's a continual war against any independent wealth.
[00:55:57.253 --> 00:55:59.715]  Any form of independence that they don't control.
[00:56:00.175 --> 00:56:02.337]  The object is to go in and wreck Iraq.
[00:56:02.677 --> 00:56:04.619]  The object is to go in and wreck Pakistan.
[00:56:04.879 --> 00:56:08.522]  The object is to come to America and de-industrialize us and wreck us.
[00:56:08.762 --> 00:56:12.204]  The object is to tell Africa, you can't have air conditioning in your cars.
[00:56:12.625 --> 00:56:14.947]  Because you having a good life hurts the earth.
[00:56:15.267 --> 00:56:17.148]  By the way, let me get on this Air Force One jet.
[00:56:17.468 --> 00:56:17.969]  See you later.
[00:56:18.529 --> 00:56:25.795]  If everybody's raising living standards to the point where everybody's got a car and everybody's got air conditioning and everybody's got a big house,
[00:56:27.368 --> 00:56:28.910]  Well, the planet will boil over.
[00:56:29.410 --> 00:56:31.812]  It's about having to love your servitude.
[00:56:32.212 --> 00:56:34.574]  Love the fact that you're supposedly dirty and bad.
[00:56:34.955 --> 00:56:41.600]  But the people on the red carpet, they're like gods who come down out of the sky on their jet copters or their Air Force One.
[00:56:41.860 --> 00:56:46.664]  The television tells you to worship them and you'd be fulfilled if you were just like them.
[00:56:46.685 --> 00:56:50.227]  But you're not because you're just a dirty peasant who's hurting the Earth.
[00:56:51.178 --> 00:57:10.375]  That's the current corporate globalist, Royal Institute of International Affairs, Council on Foreign Relations model where they come in with their globalist financing out of nothing and basically begin to buy off the infrastructure and leadership of the country from banking to academia to media to cultural icons, the arts.
[00:57:10.695 --> 00:57:12.617]  They finance it all with
[00:57:13.818 --> 00:57:15.559]  We're good to go.
[00:57:15.579 --> 00:57:16.319]  We're good to go.
[00:57:36.463 --> 00:57:40.325]  And then pose as saviors as they collapse the country.
[00:57:40.786 --> 00:57:53.433]  They then pose as saviors having the people transfer their wealth, their energy, everything they've got to them just to be part of the inner circle, culturally, that doesn't go down with the ship.
[00:57:54.253 --> 00:58:07.520]  So then they're able to knock out the new Moorish, the new wealth, the people that were independently intelligent and successful, that they weren't able to shut down through rigged taxation and insider deals.
[00:58:07.800 --> 00:58:16.444]  They then get that group to fully get on board with them, and the globalists then tend to move to the next country or next area of exploitation.
[00:58:16.784 --> 00:58:22.627]  They will go to the strongest area that has the most wealth, the strongest people, the most warlike people,
[00:58:23.087 --> 00:58:23.427]  Yes, sir.
[00:58:40.882 --> 00:58:44.383]  They hire the neighboring tribe to kill them, or they cut off the resources.
[00:58:44.784 --> 00:58:46.224]  And then, while the U.N.
[00:58:46.244 --> 00:58:56.528]  troops are machine gunning and burning and killing in mass graves, it always comes out later, they're on TV with all the supermodels saying, give us money and we'll help all these starving Africans over here.
[00:58:56.789 --> 00:59:09.674]  They won't tell you, by the way, our U.N.-backed guerrilla forces drove these people out of their ancestral area into this mountainous desert region, and they're all starving to death now because we just drove a million of them into the desert.
[00:59:10.074 --> 00:59:21.261]  No, they sit there and get housewives and men and community groups to send them money to sit there and help the little kids being eaten by a buzzer.
[00:59:21.622 --> 00:59:23.423]  Oh, look, this vulture's eating the little kid.
[00:59:23.743 --> 00:59:24.404]  Send us money.
[00:59:24.424 --> 00:59:25.464]  And then it comes out.
[00:59:25.925 --> 00:59:26.825]  Don't help that kid.
[00:59:26.885 --> 00:59:27.366]  Move on.
[00:59:28.288 --> 00:59:36.596]  Just like it comes out with Red Cross, United Way, almost none of the money when there's a disaster goes to anything but more advertising to get more money.
[00:59:36.836 --> 00:59:41.000]  Because it's not just that they're greedy, they don't want to help you.
[00:59:41.909 --> 00:59:43.511]  They want you bankrupt.
[00:59:43.571 --> 00:59:45.092]  They want you on your knees.
[00:59:45.292 --> 00:59:47.094]  Because that's what gives them more power.
[00:59:47.534 --> 00:59:50.477]  The weaker you are, the stronger they are.
[00:59:50.537 --> 00:59:52.760]  That's how their sick brains work.
[00:59:52.840 --> 00:59:54.141]  And again, this is scary stuff.
[00:59:54.361 --> 00:59:59.166]  But if you study this, this is the reality of what these people have done over and over again.
[00:59:59.446 --> 01:00:06.072]  And it's the understanding of how bad these globalists are that will allow us to have a chance to turn this around.
[01:00:07.011 --> 01:00:18.467]  They come in, take over the government, establish a system where they're exempt from the laws, they have diplomatic immunity, and they can issue the currency and credit and basically buy up the world for absolutely nothing.
[01:00:19.268 --> 01:00:23.534]  Once that's in place, they then take over the country incrementally.
[01:00:23.934 --> 01:00:25.875]  Because now they have an unfair trade advantage.
[01:00:26.175 --> 01:00:34.580]  They set up secret police to be able to oppress the population because they know that people who have studied history are going to recognize the signs and try to block it.
[01:00:34.600 --> 01:00:38.202]  They're going to say it doesn't exist and people that talk about it are crazy.
[01:00:38.422 --> 01:00:48.128]  But once it's established, as we're now seeing, it come to about 80% fruition, okay, there is a world government, but it's all being done for your own good.
[01:00:48.748 --> 01:00:49.809]  And also within this
[01:00:50.869 --> 01:00:59.472]  They like to set up their own cities or small country sub-districts that are exempt and above the law.
[01:00:59.932 --> 01:01:10.216]  And you look at the District of Columbia, in the last hundred years or so, operating as its own above-the-law district, and the members of Congress exempting themselves from the law.
[01:01:10.516 --> 01:01:17.099]  Going back 400 years or more, you look at England and the City of London within London, the Financial District, above the law.
[01:01:17.959 --> 01:01:18.619]  We're good to go.
[01:01:40.044 --> 01:01:45.929]  On top of the public, just like the $85 billion a month we're forced to give to foreign offshore banks.
[01:01:46.309 --> 01:01:49.111]  And when Congress under QE3 asks, who's getting it?
[01:01:49.291 --> 01:01:51.733]  They're told by the President to basically go to hell.
[01:01:52.454 --> 01:01:58.138]  You see how all of this is going on while we're busy fighting with each other over all these issues they throw out.
[01:01:58.458 --> 01:02:01.701]  They are just looting and robbing the entire world.
[01:02:01.721 --> 01:02:03.182]  So I want to list some of the programs.
[01:02:03.822 --> 01:02:05.444]  You can look at Israel set up.
[01:02:06.284 --> 01:02:06.684]  We're good to go.
[01:02:27.538 --> 01:02:48.196]  And there are so many other examples of this that you'll see of these artificial command bases that Global has set up inside countries, inside regions to then launch their operations against free humanity and then run back into these organizations so that the public cannot rally against them and resist them.
[01:02:48.616 --> 01:03:01.143]  This is basically what's happening and it's just a form of sophisticated gangsterism where the gangsters have the technology of human control and social engineering on their side.
[01:03:01.463 --> 01:03:11.209]  But once we open source this information to good people out there to understand these programs, then it becomes game over for the parasites.
[01:03:11.869 --> 01:03:22.277]  And as things get worse and worse underneath this parasitical system, the people that have been lazy or dumbed down, who don't want to learn about what's happening, are going to be forced to learn what's happened.
[01:03:22.537 --> 01:03:31.204]  And so as the globalists try to carry out all these crimes against humanity, we're going to be here exposing them every step of the way.
[01:03:31.224 --> 01:03:33.265]  They're not going to do this in a vacuum.
[01:03:34.146 --> 01:03:35.607]  You can resist tyranny now.
[01:03:35.787 --> 01:03:36.848]  It's so robotic.
[01:03:37.008 --> 01:03:40.311]  And their slaves are so robotic and so dumbed down.
[01:03:41.547 --> 01:03:42.068]  That's right.
[01:03:59.505 --> 01:04:03.669]  When their people have never had any human contact.
[01:04:03.729 --> 01:04:07.613]  The general zombie thinks it's really cool to not care about anybody but themselves.
[01:04:07.953 --> 01:04:10.576]  Imagine when you actually try to give someone human contact.
[01:04:11.076 --> 01:04:14.079]  In many cases it will have them open up and awaken.
[01:04:14.600 --> 01:04:19.685]  I've got a friend, he's a mailman, and he likes to visit nursing homes that God put on his heart about a decade ago.
[01:04:19.705 --> 01:04:22.687]  And he said he'll go into these nursing homes, these people can't even talk.
[01:04:23.388 --> 01:04:25.188]  And the nursing homes will say, hey, leave them alone.
[01:04:25.228 --> 01:04:25.868]  They don't talk.
[01:04:26.229 --> 01:04:28.749]  And with a few visits, these people are awake.
[01:04:29.069 --> 01:04:30.209]  These people are excited.
[01:04:30.229 --> 01:04:31.469]  These people are talking.
[01:04:31.729 --> 01:04:33.670]  He comes back and visits them the next time.
[01:04:33.930 --> 01:04:39.231]  And they're in a suit and tie, you know, ready to, you know, get taken down to a restaurant to eat some food.
[01:04:39.751 --> 01:04:44.192]  And a lot of times, then the nursing home says, stop coming and visiting them with your wife.
[01:04:44.712 --> 01:04:47.712]  We don't want the trouble of having these people running around here.
[01:04:48.572 --> 01:04:50.933]  But see, it's the same thing for the general public.
[01:04:51.813 --> 01:04:53.054]  It's the exact same thing.
[01:04:53.074 --> 01:04:58.417]  We are like those people in a nursing home that nobody's giving attention to.
[01:04:58.437 --> 01:05:06.322]  And if you go out and give people attention, and if you spread the word, you will see that humanity begin to shine back through them.
[01:05:06.682 --> 01:05:08.343]  And that's the goal we all have.
[01:05:08.703 --> 01:05:09.783]  You want to help somebody?
[01:05:10.203 --> 01:05:15.305]  It might mean going once a week and bringing people cookies at a nursing home or taking your dog in to see them.
[01:05:15.665 --> 01:05:17.366]  It might mean helping your neighbor move.
[01:05:17.786 --> 01:05:21.427]  It might mean simply doing the right thing.
[01:05:21.967 --> 01:05:25.808]  Being good is what these people hate because it hurts them.
[01:05:26.489 --> 01:05:30.230]  That's what stands up against them is just doing little good things.
[01:05:30.610 --> 01:05:31.590]  Being good again.
[01:05:31.870 --> 01:05:36.812]  Good people standing up and taking action will drive these globalists out.
[01:05:38.041 --> 01:05:39.022]  Look at America.
[01:05:39.102 --> 01:05:39.823]  Not perfect.
[01:05:40.123 --> 01:05:44.869]  They certainly demonized it because they don't like the basic ideas that are there that scare these tyrants so much.
[01:05:45.149 --> 01:05:48.573]  But if you look at the U.S., real estate-wise, not that big of a country.
[01:05:48.593 --> 01:05:54.940]  I know they put it big on the maps, but if you look at a world map that's proportionate and actually shows how big the U.S.
[01:05:55.541 --> 01:05:58.144]  is, it's a medium-sized country.
[01:05:59.466 --> 01:06:06.631]  And the arable resources and things aren't even that good compared to something like Western Europe in many cases.
[01:06:07.011 --> 01:06:12.875]  But why did the United States become the most successful nation in the world?
[01:06:13.456 --> 01:06:21.782]  Why did the United States have the highest education standards in the world, the most inventions, the longest lived in many regions of the country?
[01:06:22.042 --> 01:06:26.905]  We were number one in basically almost everything until about the
[01:06:28.246 --> 01:06:29.328]  We're good to go.
[01:06:45.549 --> 01:06:46.410]  Here in this country.
[01:06:46.730 --> 01:06:52.473]  Even if they were never fully implemented, just that idea made us the most wealthy country in the world.
[01:06:52.713 --> 01:06:56.315]  And that's why the New World Order globalists came here and began to take it over.
[01:06:56.555 --> 01:06:58.456]  Because they saw that engine.
[01:06:58.836 --> 01:07:07.761]  Anywhere the globalists get control, you get the lowest IQs, the lowest education, the most unhealthy people, the highest rates of cancer.
[01:07:08.001 --> 01:07:11.924]  You get all of the curses of living under the tyranny.
[01:07:12.284 --> 01:07:13.925]  And it's not some magical curse.
[01:07:14.705 --> 01:07:32.876]  It's the curse of having horrible control freak murderers in control of the nation who will go out and poison your food because they like to see you stumbling around sick not knowing what hit you and your good heart can't imagine that somebody would do something like that to you.
[01:07:33.636 --> 01:07:48.588]  It's time to realize who these people are, and the crimes they've committed, and set a fire, the brush fires of liberty everywhere to bring this scum to justice!
[01:07:48.608 --> 01:07:53.272]  So, we know, we know the New World Order is bad, even if somebody doesn't believe in God.
[01:07:54.520 --> 01:07:59.884]  Hey, you don't want to believe in this New World Order and all this fake, sicky-sweet package trendiness.
[01:08:00.204 --> 01:08:05.848]  Because just like a fishing lure, it looks like a big ol' juicy minnow, it looks like a big ol' juicy purple worm to a bass.
[01:08:06.209 --> 01:08:06.669]  It's not.
[01:08:06.949 --> 01:08:09.111]  It's artificial and it's got barbs in it.
[01:08:10.430 --> 01:08:12.092]  And that's what this New World Order is.
[01:08:12.152 --> 01:08:22.923]  It's dangled out there like it looks pretty, like it looks tasty, it looks delicious, it looks fun, it's going to be wonderful, but you bite into it, it's got big old treble hooks in it.
[01:08:23.244 --> 01:08:25.006]  And that's what we've got to point out to people.
[01:08:25.186 --> 01:08:28.029]  Do you like the fruits of the New World Order?
[01:08:28.269 --> 01:08:30.572]  Because let me tell you, if you like the way things are going now,
[01:08:31.212 --> 01:08:35.615]  If you like autism from 1 in 30,000 to 1 in 50 now, the last 20 years?
[01:08:35.975 --> 01:08:38.917]  If you like cancer rates in children up over 10,000%?
[01:08:39.237 --> 01:08:41.518]  If you like diabetes up several thousand percent?
[01:08:41.719 --> 01:08:43.420]  If you like breast cancer up 3,000%?
[01:08:43.700 --> 01:08:46.361]  If you like IQs dropping 27%?
[01:08:46.662 --> 01:08:53.306]  If you like going from the greatest saving nation in the world to the greatest detonation in the world overnight?
[01:08:53.786 --> 01:08:56.049]  If you like that, you ain't seen nothing yet!
[01:08:56.069 --> 01:09:01.454]  Because if you like Stalin, Hitler, Mao, and all the other mass murderers of history, get ready!
[01:09:01.474 --> 01:09:06.820]  Because that's what you're going to get real soon if this train keeps on pulling into the station!
[01:09:07.540 --> 01:09:10.764]  We want to turn this new world order around right now!
[01:09:11.451 --> 01:09:12.112]  We know where it goes.
[01:09:12.192 --> 01:09:15.154]  We don't like what comes out of the other end of it.
[01:09:15.455 --> 01:09:17.236]  We don't like what this tree grows.
[01:09:17.576 --> 01:09:21.040]  Cut that tree down and burn it!
[01:09:21.340 --> 01:09:22.361]  That's what we need to do.
[01:09:22.381 --> 01:09:25.223]  We need to cut the New World Order down and burn it.
[01:09:25.984 --> 01:09:27.165]  And burn its seeds.
[01:09:27.445 --> 01:09:28.806]  And get rid of it forever.
[01:09:29.167 --> 01:09:31.689]  Because these people are a curse on humanity.
[01:09:35.834 --> 01:09:37.775]  They just learn how perception works.
[01:09:37.815 --> 01:09:38.735]  They learn tricks.
[01:09:38.755 --> 01:09:40.236]  They learn semantical games.
[01:09:40.616 --> 01:09:45.618]  But hey, when you know something's producing bad, it doesn't matter if it's smiling at you.
[01:09:45.658 --> 01:09:46.498]  You need to get rid of it.
[01:09:47.738 --> 01:09:48.579]  And it's that simple.
[01:09:49.039 --> 01:09:50.499]  We don't want the New World Order.
[01:09:50.599 --> 01:09:52.100]  We don't want globalism.
[01:09:52.340 --> 01:09:53.781]  We don't want collectivism.
[01:09:54.021 --> 01:09:55.081]  We know it's bad.
[01:09:55.321 --> 01:09:56.422]  We know it doesn't work.
[01:09:56.682 --> 01:09:58.963]  And we want to see it be destroyed.
[01:09:59.783 --> 01:10:02.724]  And we destroy it by withdrawing our consent from it.
[01:10:03.584 --> 01:10:17.636]  By voting with our dollars, by supporting local groups, by supporting organic groups, by supporting churches that tell the truth, by withdrawing your consent every way you can from this system, you will defeat it.
[01:10:17.877 --> 01:10:23.422]  And by verbally exposing it with our committees and correspondents, just as our forbearers did,
[01:10:24.262 --> 01:10:25.663]  Listing their crimes.
[01:10:25.723 --> 01:10:26.644]  Showing their crimes.
[01:10:26.864 --> 01:10:37.353]  They spend all day on TV and billboards and press talking about how bad the citizens are, and how bad the people are, and how there's all these drugs out there, and how the terrorists are out there.
[01:10:37.513 --> 01:10:39.915]  The government's on record now running the terrorists.
[01:10:40.155 --> 01:10:42.577]  The government's on record shipping in the narcotics.
[01:10:42.917 --> 01:10:44.458]  And just keep hammering that!
[01:10:44.779 --> 01:10:46.200]  You're the bad guys!
[01:10:46.580 --> 01:10:48.502]  Stop acting like you're the good guys!
[01:10:49.443 --> 01:10:54.425]  All you're going to do is help this evil fully manifest itself the longer you live in denial.
[01:10:54.825 --> 01:11:02.828]  And so many people that defend the system now, they don't defend it out of feeling like they're part of the power structure anymore.
[01:11:03.088 --> 01:11:07.409]  In the past they would defend it because they felt like they were part of the system and they're winners.
[01:11:07.849 --> 01:11:09.370]  Now they defend it out of fear.
[01:11:10.612 --> 01:11:11.913]  And that's a big victory we've had.
[01:11:12.193 --> 01:11:20.876]  We've gone from having them be willing participants in the destruction of humanity to now being scared prisoners within the system.
[01:11:21.376 --> 01:11:24.178]  And now they're one step closer to a jailbreak.
[01:11:25.098 --> 01:11:26.759]  You see, we're winning.
[01:11:27.179 --> 01:11:30.080]  Congress has a 9% approval rating, a 10% approval rating.
[01:11:30.320 --> 01:11:31.981]  Mainstream media is imploding.
[01:11:32.221 --> 01:11:36.463]  Obama lost 17% in a Gallup poll of his useful idiot under 30s.
[01:11:38.047 --> 01:11:39.728]  And you look at every other number.
[01:11:40.288 --> 01:11:44.050]  Liberty is becoming popular, tyranny is becoming unpopular.
[01:11:44.330 --> 01:11:58.316]  So they'll send in their operatives to pose as liberty lovers, to pose as liberty leaders, to then do nothing but cause infighting and to criticize other people that are fighting the New World Order.
[01:11:58.596 --> 01:12:03.698]  And they'll do it by name, just like Cass Sunstein at the White House said, to sow dissension.
[01:12:04.218 --> 01:12:11.284]  Don't be involved in dissension, nitpicking, backstabbing, seeing who could do a better job, or I like this guy, or I like that guy.
[01:12:11.544 --> 01:12:22.393]  You get out there, and you be leaders, and you fight tyranny, and we'll focus on the New World Order, and the Federal Reserve, and the Rothschilds, and the Rockefellers, and the Queen of England, and we will expose them.
[01:12:22.713 --> 01:12:27.097]  And then after we've dealt with them, then we can debate who we support and who we like.
[01:12:27.277 --> 01:12:30.880]  But we sure know we don't like the people that are running this planet right now.
[01:12:32.461 --> 01:12:36.522]  These people, the cutting edge of the new world order, they call themselves progressives.
[01:12:36.882 --> 01:12:39.723]  Many of them useful idiots who really have drunk a Kool-Aid.
[01:12:40.564 --> 01:12:45.645]  They really think that they are progressive, that they are progressing.
[01:12:45.665 --> 01:12:50.667]  While Obama goes, shouldn't have light bulbs, shouldn't have air conditioning, shouldn't have a good way of life.
[01:12:51.187 --> 01:12:57.313]  It's bad for the Earth while the globalists are destroying the Earth with the GMO and all the rest of it trying to play God.
[01:12:57.793 --> 01:12:58.634]  It's so hollow.
[01:12:58.814 --> 01:13:00.355]  But still the idea, you're bad!
[01:13:00.735 --> 01:13:02.217]  It's cool for you to have less!
[01:13:02.777 --> 01:13:07.962]  While the bankers that are financing all this give themselves, you know, five million dollar bonuses a year.
[01:13:09.372 --> 01:13:12.414]  I mean, I would start to believe them, even if the science is a fraud.
[01:13:12.454 --> 01:13:13.155]  We know they're lying.
[01:13:13.455 --> 01:13:20.120]  If Obama didn't have air conditioning, and all these globalists sold everything they had, and walked around in sackcloth.
[01:13:20.281 --> 01:13:20.981]  But they don't!
[01:13:21.401 --> 01:13:23.523]  They just build bigger and bigger palaces!
[01:13:24.364 --> 01:13:28.347]  They just take more and more species and splice them together that we know is hurting the Earth.
[01:13:28.727 --> 01:13:30.649]  Because they hate God's creation.
[01:13:30.869 --> 01:13:34.752]  And everything they do is to try to kill, steal, and destroy.
[01:13:34.992 --> 01:13:37.054]  If you weren't a Bible-believing Christian,
[01:13:37.794 --> 01:13:38.235]  Before.
[01:13:38.275 --> 01:13:39.176]  You better be now.
[01:13:39.416 --> 01:13:44.261]  Because everything these people are doing, they read Revelations and use it as an instruction manual.
[01:13:45.002 --> 01:13:48.986]  They read 1984 and use it as an instruction manual.
[01:13:49.546 --> 01:13:52.449]  So whether the Bible's real or not, I know it's real.
[01:13:52.830 --> 01:13:54.952]  The issue is, it doesn't matter.
[01:13:55.132 --> 01:13:58.515]  Because these people, if there's a devil, they fit the bill.
[01:13:59.336 --> 01:14:00.957]  I mean, there's the devil right there!
[01:14:01.357 --> 01:14:02.478]  It's the New World Order!
[01:14:02.798 --> 01:14:11.283]  And the more I study it, the more I look at it, and all its intricacies and the spirit of it that animates all its systems, it is an animating force of evil.
[01:14:11.823 --> 01:14:15.565]  There is an animating force giving power unto this.
[01:14:16.446 --> 01:14:18.907]  But we have the God of the Universe animating us.
[01:14:19.227 --> 01:14:23.190]  And all we've got to do is ask God to use us as vessels against this tyranny.
[01:14:24.010 --> 01:14:26.912]  And to not fear the New World Order that could kill our body.
[01:14:27.961 --> 01:14:32.543]  But God that can damn us to hell forever.
[01:14:33.903 --> 01:14:37.985]  So at its core, it is a satanic conspiracy at war with all of God's creations.
[01:14:39.226 --> 01:14:42.547]  And it is at war with real progress.
[01:14:43.917 --> 01:14:48.759]  All the good things that come out of a free and open society where people are virtuous and stand up.
[01:14:49.379 --> 01:14:55.081]  The New World Order doesn't like that because you get a little bit uppity when you're doing well and you don't want to serve the system.
[01:14:55.321 --> 01:14:59.563]  It wants to be able to give you everything you've got so that you will conform with what it believes.
[01:15:00.694 --> 01:15:18.966]  Towards the end of establishing a world technotronic global government on record that plans to kill us all with bioweapons so the globalists can go crawl into their underground bunkers and come back out and inherit the life extension technologies and the nanotech and all the rest of it.
[01:15:19.186 --> 01:15:27.091]  And I say to these people, just as Texan did his speech, do you really think the New World Order, the god of this world, the power of this world,
[01:15:27.651 --> 01:15:29.973]  Do you really think you're ever going to taste any of this?
[01:15:30.053 --> 01:15:32.515]  The answer is you're not going to taste any of it.
[01:15:32.535 --> 01:15:33.976]  You have been completely conned!
[01:15:47.045 --> 01:16:13.396]  And a lot of these people that serve the New World Order, because I've talked to them off record, they know that, but they're so scared, they feel like they've gone so far, they're just going to try to enjoy what they've got here, living in this life, before it all gets pushed over the edge, and that's why they're clamoring for the life extension technologies, and so greedy and angry at all of us, the peasants, eating their food, using their resources, because they were given this world!
[01:16:13.616 --> 01:16:14.876]  They stole this world!
[01:16:15.196 --> 01:16:16.577]  And we're like weevils,
[01:16:16.957 --> 01:16:18.718]  In the pantry eating their grain.
[01:16:19.339 --> 01:16:20.540]  They want us out of the way.
[01:16:20.560 --> 01:16:21.540]  Well you know what?
[01:16:22.401 --> 01:16:23.962]  They're the ones that started the fight.
[01:16:24.262 --> 01:16:25.423]  I want them out of the way!
[01:16:30.342 --> 01:16:34.485]  And we're going to do that not through covert weapons in the food, the water, and the culture.
[01:16:34.705 --> 01:16:38.768]  We're going to do that openly with the truth that trumps all of their lies.
[01:16:39.048 --> 01:16:41.990]  And we're going to take our culture and society back.
[01:16:42.851 --> 01:16:48.095]  And the globalists can go stay with each other like a bunch of zombies on some island and tear each other apart.
[01:16:48.175 --> 01:16:50.597]  Because vampires can't feed off vampires.
[01:16:51.057 --> 01:16:53.919]  And I'm sick of these vampires and all their propaganda.
[01:16:54.039 --> 01:16:56.281]  I want to see them driven into the sea.
[01:16:57.526 --> 01:17:00.330]  The ultimate power trip is what I call Ray Kurzweil.
[01:17:00.671 --> 01:17:09.243]  He said in his latest book, he said, I don't believe in God yet, but I intend to become the first God.
[01:17:10.885 --> 01:17:13.108]  And he's going to bring his father back too.
[01:17:14.700 --> 01:17:22.564]  And I saw him in this documentary saying the same stuff that was in his book, staring at photos of his dad and his dad's papers going on.
[01:17:22.965 --> 01:17:24.125]  I'm going to resurrect him with this.
[01:17:24.165 --> 01:17:25.486]  It was kind of sad to see.
[01:17:25.846 --> 01:17:29.908]  Here's this high priest of the Illuminati who actually is believing all this.
[01:17:29.989 --> 01:17:31.910]  And I'm going to bring my dad back.
[01:17:32.310 --> 01:17:32.830]  I love him.
[01:17:34.771 --> 01:17:40.074]  That's like saying the sands at the Sahara Desert would put a wristwatch together.
[01:17:40.514 --> 01:17:48.878]  The old thing of saying evolution supposedly came from some amino acids in the Pacific Ocean or something, billions of years ago.
[01:17:49.358 --> 01:17:57.241]  It is so ridiculous to watch these people and to realize how cut off they are from God's creation.
[01:17:57.402 --> 01:17:58.882]  And it's so sad.
[01:17:59.142 --> 01:18:00.103]  So all they know
[01:18:01.516 --> 01:18:06.438]  Like a person very alive is to froth and try to dig their way out.
[01:18:07.398 --> 01:18:09.779]  And they see us as the soil that's on top of them.
[01:18:10.119 --> 01:18:15.221]  They believe that God's creation and people trying to be good and decent and honorable is what's holding them up.
[01:18:15.581 --> 01:18:18.882]  They believe that if we just get out of the way, their utopia could come into view!
[01:18:20.694 --> 01:18:25.998]  Take the Earth First Battalion, where they were saying, we are the white horse.
[01:18:26.479 --> 01:18:28.100]  We will bring judgment on the world.
[01:18:28.400 --> 01:18:29.601]  Humanity is bad.
[01:18:29.621 --> 01:18:35.266]  Then they call it liberal and have guys in the movie with flowers in their hair, when it's the complete opposite.
[01:18:35.666 --> 01:18:42.132]  They have this trendy, fake affectation on the surface, but that is nothing but camouflage with these people.
[01:18:42.552 --> 01:18:45.975]  All they know is, I'm going to kill people.
[01:18:46.295 --> 01:18:48.115]  That's the ultimate thrill to them.
[01:18:48.395 --> 01:18:51.476]  And they don't want to kill bad people that are hurting innocents.
[01:18:51.596 --> 01:18:56.477]  They want to kill anyone who is not going along with their system.
[01:18:56.817 --> 01:19:02.338]  Because you're like a big bright white light in the dark to them, and they want to extinguish you.
[01:19:02.658 --> 01:19:05.619]  That's why these two things aren't going to ever mix together.
[01:19:05.959 --> 01:19:10.040]  They tell you live in harmony with them, that just means you need to submit to them.
[01:19:10.620 --> 01:19:12.661]  You need to turn yourself over to them.
[01:19:12.921 --> 01:19:15.241]  They're never going to compromise with us.
[01:19:15.601 --> 01:19:17.722]  We don't give up something and they give up something.
[01:19:17.962 --> 01:19:22.543]  We give up something, we give up something, we give up something, until we fall off the cliff.
[01:19:22.763 --> 01:19:23.803]  That's what's happening here.
[01:19:24.624 --> 01:19:28.185]  But then you look at the architecture of the technology the New World Order's been putting in place.
[01:19:28.825 --> 01:19:30.045]  All of it dehumanizes us.
[01:19:30.445 --> 01:19:32.306]  All of it has back doors to spy on us.
[01:19:32.726 --> 01:19:33.166]  All of it...
[01:19:33.806 --> 01:19:44.058]  When it could have a good use, it has been twisted to try to dominate us and lower our IQs and lower our perception, lower our horizons.
[01:19:45.019 --> 01:19:52.948]  Because this is a system that has a God at the head of it that is inherently wicked.
[01:19:53.969 --> 01:19:56.330]  There's no making a deal with this devil.
[01:19:56.850 --> 01:20:07.894]  In a culture that's in a deep sleep, in a culture that is in a deep coma, that is the only thing that is going to wake them up, is being loud, is being aggressive.
