[00:00:09.747 --> 00:00:10.169]  Oh, no.
[01:58:16.747 --> 01:58:19.188]  We have a job, though, to warn everybody else.
[01:58:19.188 --> 01:58:21.390]  And yes, this honky ain't voting for a donkey.
[01:58:21.390 --> 01:58:22.230]  That's funny.
[01:58:22.230 --> 01:58:23.631]  I just had really low audio.
[01:58:23.631 --> 01:58:24.251]  Couldn't really hear you.
[01:58:24.251 --> 01:58:25.932]  I could barely hear it.
[01:58:25.932 --> 01:58:29.294]  So my issue is you're awake.
[01:58:29.294 --> 01:58:33.336]  Don't let that, though, color your vision to think others are.
[01:58:33.336 --> 01:58:35.737]  We have a responsibility to warn other people.
[01:58:35.737 --> 01:58:36.318]  Does that make sense?
[01:58:37.455 --> 01:58:47.506]  Yes, but you are winning, because everywhere I go, people are talking about Pete the Gate, people are talking about Adrenochrome, people are talking about the pedophile ring, in places that I've never heard people talk about that before.
[01:58:47.506 --> 01:58:49.268]  And what is that a bedrock to?
[01:58:51.730 --> 01:58:55.691]  The elite are maggots that are feeding on our children, our spirit, our future.
[01:58:55.691 --> 01:58:57.332]  Our children are us.
[01:58:57.332 --> 01:58:58.653]  They are attacking humanity.
[01:58:58.653 --> 01:58:59.233]  They're the enemy.
[01:58:59.233 --> 01:59:03.015]  So when I say, and I get what you're saying, hey don't worry about Bill Gates, people are waking up.
[01:59:03.015 --> 01:59:12.640]  I'm saying, if I was coming to your house with a shot that I said had an 80% chance of hurting you and I wanted to make you take it, you have a right to physically stop me.
[01:59:13.322 --> 01:59:18.104]  But he wants to pressure you saying, oh you can't have a job or get on an airplane or have a life if you don't.
[01:59:18.104 --> 01:59:19.484]  It's the same thing as rape.
[01:59:19.484 --> 01:59:23.985]  Telling a woman, I'm gonna fire you if you don't have sex with me.
[01:59:23.985 --> 01:59:24.846]  That's rape.
[01:59:24.846 --> 01:59:27.067]  Whether you physically did it or you used pressure to do it.
[01:59:27.067 --> 01:59:31.828]  Well he wants, it's not just raping a woman or a man, he wants to hurt you.
[01:59:31.828 --> 01:59:37.190]  What if the man told a woman to work for him, I'm gonna rape you or I'm gonna fire you.
[01:59:37.190 --> 01:59:38.830]  You wanna feed your children, don't you?
[01:59:38.830 --> 01:59:40.411]  And by the way, I've got hepatitis.
[01:59:43.757 --> 01:59:46.518]  I'm gonna give you hepatitis if you want your job.
[01:59:46.518 --> 01:59:49.320]  Well, she has a right right then to stab him in the neck with a dagger.
[01:59:49.320 --> 01:59:54.842]  I mean, I tell my daughter, some man tries to rape you, kill him!
[01:59:54.842 --> 02:00:00.064]  I mean, seriously, I'm not, they're moving on us because they think we're pathetic and weak.
[02:00:00.064 --> 02:00:01.865]  They think we're gonna take people's crap.
[02:00:01.865 --> 02:00:05.427]  And I'm just simply saying, I'm not somebody who shoots my mouth off about physical stuff.
[02:00:05.427 --> 02:00:11.930]  I'm just metaphysically moving into a zone where I'm having real trouble not just being open about that.
[02:00:11.930 --> 02:00:12.670]  Do you see what I'm saying?
[02:00:13.632 --> 02:00:17.855]  Yes, but we have the spirit and we can win this fight.
[02:00:17.855 --> 02:00:18.816]  I don't believe that.
[02:00:18.816 --> 02:00:21.618]  You said four years ago that we have five years.
[02:00:21.618 --> 02:00:26.582]  What did you mean by that?
[02:00:26.582 --> 02:00:33.628]  You know, I said one day at the end of a show that they're going to attack a rock concert or music concert tonight at 10 o'clock.
[02:00:35.110 --> 02:00:38.392]  And sometimes I just say stuff that just comes out of me.
[02:00:38.392 --> 02:00:40.773]  99% of what I say is documented, so I just say stuff.
[02:00:40.773 --> 02:00:45.956]  And then the FBI hostage rescue team called me the next day and they said, well, we looked at everything.
[02:00:45.956 --> 02:00:48.117]  You have no connection to what happened here, but how did you say that?
[02:00:48.117 --> 02:00:49.078]  And I said, I just said it.
[02:00:49.078 --> 02:00:50.239]  They go, yeah, we know.
[02:00:50.239 --> 02:00:52.880]  You can make a lot of money if you can control that.
[02:00:52.880 --> 02:00:55.581]  And so we all have that.
[02:00:55.581 --> 02:00:56.822]  And so I say things.
[02:00:56.822 --> 02:00:57.483]  I say a lot of stuff.
[02:00:57.483 --> 02:00:59.644]  I don't know why I say it, but I mean every damn bit of it.
[02:00:59.644 --> 02:01:01.145]  Does that make sense?
[02:01:01.145 --> 02:01:01.625]  Yes, it does.
[02:01:02.429 --> 02:01:03.350]  And I think you're right.
[02:01:03.350 --> 02:01:05.633]  I think we're at the last year of it.
[02:01:05.633 --> 02:01:12.780]  And I think if this is what God wants, and this is what we read in Revelations, then there's nothing we can do to stop that.
[02:01:12.780 --> 02:01:14.122]  The only thing we can do is turn to God.
[02:01:14.687 --> 02:01:19.208]  But I agree, our connection to God, called that psychic power, though, is going to turn up.
[02:01:19.208 --> 02:01:24.049]  Like, they think they've got surveillance on us, and they're going to cut our food off, and they're going to corner us.
[02:01:24.049 --> 02:01:29.491]  The more we get cornered, but don't give up on God, the more powerful we're going to get.
[02:01:29.491 --> 02:01:34.132]  Our spirits are going to get bigger and stronger, while their shadows are going to be taller than their souls.
[02:01:34.132 --> 02:01:36.812]  Understand me?
[02:01:36.812 --> 02:01:38.113]  Yes, absolutely.
[02:01:38.113 --> 02:01:38.773]  God bless you, brother.
[02:01:38.773 --> 02:01:39.313]  I appreciate your call.
[02:01:39.835 --> 02:01:42.919]  Alright, I'm jamming in like 7-8 calls ahead of Jess Lee Peterson.
[02:01:42.919 --> 02:01:44.621]  When I come out, I'm going right to Gator.
[02:01:44.621 --> 02:01:47.744]  And I'm going right to Michael.
[02:01:47.744 --> 02:01:48.786]  I'm going right to Alex.
[02:01:48.786 --> 02:01:49.847]  And I'm going right to Don.
[02:01:49.847 --> 02:01:50.888]  I'm going right to Jacob.
[02:01:50.888 --> 02:01:52.590]  I'm going right to everybody.
[02:01:52.590 --> 02:01:53.792]  Duncan, you name it, stay with us.
[02:02:01.365 --> 02:02:03.007]  It's finally here.
[02:02:03.007 --> 02:02:07.111]  Introducing the new Survival Shield X2 Spray.
[02:02:07.111 --> 02:02:13.477]  Available now for 33% off at InfoWarsTore.com.
[02:02:13.477 --> 02:02:22.886]  Listeners have been asking us for months to develop an iodine spray made with our exclusive Deep Earth Crystal Nascent Iodine.
[02:02:23.686 --> 02:02:38.231]  Our proprietary new Aerodyne technology allows us to harness the full power of ancient iodine crystals from 7,000 feet below the Earth's surface into the ultimate spray formula.
[02:02:38.231 --> 02:02:46.294]  Iodine is an essential mineral that helps support thyroid health, healthy metabolism, and healthy cognitive function.
[02:02:46.994 --> 02:02:54.582]  Get the new Survival Shield X2 Spray for 33% off intro pricing at InfoWarStore.com.
[02:02:54.582 --> 02:02:59.307]  That's Survival Shield X2 Spray at InfoWarStore.com.
[02:03:30.817 --> 02:03:33.918]  Alright, we're taking your phone calls right now, broadcasting worldwide.
[02:03:33.918 --> 02:03:34.979]  Jesse Lee Peterson's coming up.
[02:03:34.979 --> 02:03:36.619]  I'm your host, Alex Jones.
[02:03:36.619 --> 02:03:38.420]  Now into the third hour.
[02:03:38.420 --> 02:03:40.341]  Let's go ahead and talk to Jacob in Washington.
[02:03:40.341 --> 02:03:42.121]  Go ahead.
[02:03:42.121 --> 02:03:44.942]  Alex, I would say no liability, no shot.
[02:03:44.942 --> 02:03:48.404]  If you believe in the shot, Mr. Gates, then you should accept liability for it.
[02:03:48.404 --> 02:03:53.006]  If it's going to help us more than hurt us, you should accept liability for the shot.
[02:03:53.006 --> 02:03:58.888]  I'd also get Dr. Francis Boyle to establish a truth and reconciliation committee on COVID-19.
[02:03:59.778 --> 02:04:01.100]  Where did this come from?
[02:04:01.100 --> 02:04:07.667]  Whoever comes forward first tells us where this came from, and the true story can be granted amnesty.
[02:04:07.667 --> 02:04:13.794]  Those who don't will be punished accordingly, and those who die from the vaccine will be held to be directly
[02:04:14.454 --> 02:04:16.917]  The direct responsibility of the people that created this.
[02:04:16.917 --> 02:04:17.617]  Absolutely.
[02:04:17.617 --> 02:04:21.361]  You know, that's what my dad always tells friends and family when school's trying to pressure him to take shots.
[02:04:21.361 --> 02:04:22.843]  It's not the law, but they lie and say it is.
[02:04:22.843 --> 02:04:23.964]  Say, hey, that's fine.
[02:04:23.964 --> 02:04:27.368]  I have a waiver form that you accept liability any side effects.
[02:04:27.368 --> 02:04:27.748]  Guess what?
[02:04:27.748 --> 02:04:28.869]  They shut up real fast.
[02:04:28.869 --> 02:04:30.651]  It's all intimidation.
[02:04:30.651 --> 02:04:32.794]  They have bounties on how many kids get vaccinated.
[02:04:34.292 --> 02:04:35.373]  Absolutely.
[02:04:35.373 --> 02:04:45.143]  And I just think that if he truly put up or shut up, it's like in the movie Salem's Lot, where the vampire says, your faith against my faith.
[02:04:45.143 --> 02:04:51.069]  If you believe in this shot, Mr. Satan Gates, then you will accept financial liability.
[02:04:51.069 --> 02:04:53.091]  You're supposedly a philanthropist.
[02:04:53.351 --> 02:04:53.711]  Absolutely.
[02:04:53.711 --> 02:04:55.052]  I think you're doing such an amazing job.
[02:05:19.491 --> 02:05:21.272]  Wait, I thank God for you.
[02:05:21.272 --> 02:05:22.212]  I don't thank you, Alex.
[02:05:22.212 --> 02:05:29.174]  You've been giving special gifts beyond anybody in America today, and I thank Almighty God that you're here to wield them.
[02:05:29.174 --> 02:05:30.255]  And I appreciate you.
[02:05:30.255 --> 02:05:31.855]  It's you guys praying for me.
[02:05:31.855 --> 02:05:33.636]  It's the only reason, and I'm trying to hold it together.
[02:05:33.636 --> 02:05:36.437]  Believe me, it's not easy.
[02:05:36.437 --> 02:05:37.657]  Everybody sees so much now.
[02:05:37.657 --> 02:05:42.319]  I just see so much.
[02:05:42.319 --> 02:05:43.019]  It's hard to handle.
[02:05:43.019 --> 02:05:43.980]  I know you all see it, too.
[02:05:43.980 --> 02:05:45.220]  They want to overwhelm you.
[02:05:45.220 --> 02:05:47.221]  We're learned helplessness, so we ball up and give up.
[02:05:48.021 --> 02:05:49.042]  I don't ball up and give up.
[02:05:49.042 --> 02:05:50.402]  I get angry, and that's not good either.
[02:05:50.402 --> 02:05:55.705]  So I pray to God every day to just give me the peace that King David talked about in that quiet place, the Most High.
[02:05:55.705 --> 02:05:57.006]  So God bless you, brother.
[02:05:57.006 --> 02:05:58.527]  All right, let's go and take another call here.
[02:05:58.527 --> 02:06:00.628]  Who's been holding the longest now?
[02:06:00.628 --> 02:06:05.811]  That would be... Michael in Detroit, Michigan.
[02:06:05.811 --> 02:06:08.012]  Go ahead.
[02:06:08.012 --> 02:06:08.732]  Hi, Alex.
[02:06:08.732 --> 02:06:13.535]  I want to say God bless you and everything that you do, helping us keep the knowledge going.
[02:06:14.016 --> 02:06:15.857]  Well, we're all in it together now, brother.
[02:06:15.857 --> 02:06:20.620]  They're coming with forced injections and implantable microchips.
[02:06:20.620 --> 02:06:26.143]  Well, the first thing we need to do is we need to recognize that you're lighting a fire in us all.
[02:06:26.143 --> 02:06:35.168]  And we need to take the information that you give us, the information we get from your website, and people who are affiliated with your website, and we need to wake other people up.
[02:06:35.168 --> 02:06:43.193]  And then we need to get those people together, and we need to go to these city halls, we need to go to these governor's mansions, we need to let them know.
[02:06:43.649 --> 02:06:46.930]  That we know what's going on and we're not going to take it.
[02:06:46.930 --> 02:06:47.510]  No, I agree.
[02:06:47.510 --> 02:06:52.592]  You can be one person with a bullhorn at the governor's mansion, but Austin's two million people.
[02:06:52.592 --> 02:06:59.234]  If somebody every day, I've been down there four times, went down there and bullhorned him and said stop serving the new world order and read off statistics.
[02:06:59.234 --> 02:07:05.056]  If somebody bullhorned Trump every day to say take action against the deep state, it's that voice that will change everything.
[02:07:07.455 --> 02:07:12.097]  That's true, and I want to thank you because you helped me turn back to God.
[02:07:12.097 --> 02:07:20.000]  I turned my back on God for a long time, and listening to you talk every day at noon, it helped me wake up.
[02:07:20.000 --> 02:07:25.463]  It helped me realize... And how much better is your life now turning towards God?
[02:07:25.463 --> 02:07:26.303]  It's a lot better.
[02:07:26.303 --> 02:07:28.284]  My relationships with people are a lot better.
[02:07:28.284 --> 02:07:29.924]  My outlook on life is a lot better.
[02:07:29.924 --> 02:07:33.686]  I don't have as much conflict in my life.
[02:07:33.686 --> 02:07:34.106]  It's really...
[02:07:36.440 --> 02:07:37.120]  It's eye-opening.
[02:07:37.120 --> 02:07:41.982]  It's almost kind of scary because you can feel the devil pulling your strings back sometimes.
[02:07:41.982 --> 02:07:44.683]  You've got to fight against it.
[02:07:44.683 --> 02:07:45.283]  Absolutely.
[02:07:45.283 --> 02:07:46.084]  That's real.
[02:07:46.084 --> 02:07:46.644]  God bless you.
[02:07:46.644 --> 02:07:47.524]  Thank you, sir.
[02:07:47.524 --> 02:07:48.744]  Alex in Florida, you're on the air.
[02:07:48.744 --> 02:07:51.385]  Thanks for holding.
[02:07:51.385 --> 02:07:52.326]  Good afternoon, Mr. Jones.
[02:07:52.326 --> 02:07:53.146]  How are you doing?
[02:07:53.146 --> 02:07:53.546]  Good, brother.
[02:07:53.546 --> 02:07:55.267]  Go ahead.
[02:07:55.267 --> 02:08:01.309]  So, I've heard a lot of alluding to it from a lot of the previous callers, and you just mentioned it yourself.
[02:08:01.309 --> 02:08:03.190]  You've been to the governor's house four times.
[02:08:04.389 --> 02:08:06.072]  We know where Gafe lives.
[02:08:06.072 --> 02:08:07.254]  Medina, Washington.
[02:08:07.254 --> 02:08:09.539]  Ouchie lives in Washington, D.C.
[02:08:09.539 --> 02:08:11.563]  You know, you were talking about the rules and engagement.
[02:08:11.563 --> 02:08:12.945]  How do we properly go against this?
[02:08:12.945 --> 02:08:17.113]  I'm just spitballing here, but, you know, they move left, we move left.
[02:08:18.021 --> 02:08:19.261]  They move right, we move right.
[02:08:19.261 --> 02:08:25.123]  Why can't we go and storm and start bullhorning Mr. Gates' house?
[02:08:25.123 --> 02:08:27.904]  Folks took over CNN headquarters this weekend in L.A.
[02:08:27.904 --> 02:08:28.825]  I don't want to be violent.
[02:08:28.825 --> 02:08:29.765]  I don't want to kill cops.
[02:08:29.765 --> 02:08:31.425]  I don't want to burn buildings down.
[02:08:31.425 --> 02:08:34.526]  But I'll tell you right now, I was up in Seattle a few years ago.
[02:08:34.526 --> 02:08:37.748]  My wife wanted to visit some family that lives up there.
[02:08:37.748 --> 02:08:42.089]  And we rented just a little sailboat rental.
[02:08:42.089 --> 02:08:44.830]  And the guy pulls up his little bay and he goes, there's Bill Gates' house.
[02:08:45.948 --> 02:08:50.491]  And we happen to be there while Bill Gates' family just happened to be there.
[02:08:50.491 --> 02:08:54.754]  We didn't see Bill Gates, but I can recognize his 18-year-old son out there.
[02:08:54.754 --> 02:08:58.337]  I was like 100 yards from the dock, and there was his son looking at us on the boat.
[02:08:58.337 --> 02:08:59.677]  And I rented the boat for the day.
[02:08:59.677 --> 02:09:00.378]  It wasn't that much.
[02:09:00.378 --> 02:09:03.520]  You rent the boat for like $1,000, and they make you a filet mignon or whatever.
[02:09:03.520 --> 02:09:04.461]  It was like four of us on the boat.
[02:09:05.021 --> 02:09:13.203]  But I mean, yeah, I'm not calling for violence, but we need to let him know that he wants to stick something in us, he says it's going to make us sick.
[02:09:13.203 --> 02:09:20.725]  Well, we're going to expose him for who he is and his agenda, and then we're going to let him know that we're watching his ass.
[02:09:20.725 --> 02:09:21.685]  Yeah, precisely.
[02:09:21.685 --> 02:09:28.247]  I mean, I've always believed that the next coming of Christ was going to be all of us embodying everything that he taught.
[02:09:28.706 --> 02:09:32.249]  And you know, the evil, the left, everybody involved with this, they like to use fear.
[02:09:32.249 --> 02:09:34.090]  That's the opposite of what Christ taught.
[02:09:34.090 --> 02:09:36.192]  Well, they also taught Christians never be offensive.
[02:09:36.192 --> 02:09:40.555]  And we don't kill people before they attack us, but it says, thou shalt not murder.
[02:09:40.555 --> 02:09:41.876]  That means kill someone that's done nothing.
[02:09:41.876 --> 02:09:43.558]  It doesn't say, thou shalt not kill.
[02:09:43.558 --> 02:09:44.819]  It's a translation issue.
[02:09:44.819 --> 02:09:48.382]  The Old Testament says, enemies come to kill you, rise up and kill them.
[02:09:48.382 --> 02:09:55.808]  But you're absolutely right that Christ went into the money changers and he beat them with a whip and kicked them and beat their ass.
[02:09:56.468 --> 02:09:58.309]  And I'm not calling for that yet.
[02:09:58.309 --> 02:10:03.230]  I'm just saying, remember, Christ went in there into a temple with, you know, a hundred priests.
[02:10:03.230 --> 02:10:04.411]  They were unable to kick his ass.
[02:10:04.411 --> 02:10:05.851]  He beat their ass, didn't he?
[02:10:05.851 --> 02:10:09.032]  He gave people that little taste that, oh, I can do this too.
[02:10:09.032 --> 02:10:10.693]  You understand?
[02:10:10.693 --> 02:10:11.173]  Exactly.
[02:10:11.173 --> 02:10:12.674]  And he did it in the absence of fear.
[02:10:12.674 --> 02:10:14.254]  He knew he was doing the right thing.
[02:10:14.254 --> 02:10:15.014]  So we got their car.
[02:10:15.014 --> 02:10:15.615]  We got the number.
[02:10:15.615 --> 02:10:17.255]  I think we need to go straight to them.
[02:10:17.255 --> 02:10:18.976]  They want to go and protest our White House.
[02:10:18.976 --> 02:10:20.716]  We go and protest your mansion.
[02:10:20.716 --> 02:10:24.098]  You want to protest and try to take out our police department.
[02:10:24.098 --> 02:10:25.318]  We're going to be right there at your gate.
[02:10:25.962 --> 02:10:27.603]  Giving it right back to you.
[02:10:27.603 --> 02:10:29.044]  Whatever you do, we do.
[02:10:29.044 --> 02:10:31.226]  Rules of engagement, we're mirroring you.
[02:10:31.226 --> 02:10:34.689]  But there's no reason why, with everything that we know, we can't turn this around.
[02:10:34.689 --> 02:10:38.452]  Because the spark is coming that's going to light up all of us, all around the world.
[02:10:38.962 --> 02:10:42.385]  And we're going to just stand up, and we're going to embody Christ, and we're going to take over.
[02:10:42.385 --> 02:10:43.725]  Well, absolutely.
[02:10:43.725 --> 02:10:47.508]  You know, the Bible talks about it, and some of the New Agers try to steal the term, but it's real.
[02:10:47.508 --> 02:10:51.131]  It's Christ awareness, Christ spirit, Christ consciousness.
[02:10:51.131 --> 02:10:54.133]  And that means that Christ's spirit in us, that's what they fear.
[02:10:54.133 --> 02:10:55.274]  Notice they fear Christ.
[02:10:55.274 --> 02:10:56.275]  They fear Christ.
[02:10:56.275 --> 02:10:58.716]  This is the real deal.
[02:10:58.716 --> 02:10:59.037]  Sure is.
[02:10:59.037 --> 02:11:00.918]  All right, God bless you, brother.
[02:11:00.918 --> 02:11:01.798]  All right.
[02:11:01.798 --> 02:11:05.201]  I may have to host a little bit in the next hour, because we've got Jesse Lee Peterson, a great guy.
[02:11:05.201 --> 02:11:06.702]  I'm so happy to have him coming on.
[02:11:06.702 --> 02:11:07.322]  And then we've got
[02:11:08.444 --> 02:11:08.784]  Hey, Alex.
[02:11:08.784 --> 02:11:09.044]  Hi, Patty.
[02:11:38.516 --> 02:11:40.398]  I got a little bit of noise, but can you hear me?
[02:11:40.398 --> 02:11:46.403]  Yeah, how it works with the phone system is when it puts you on air, it goes, psshhh, and go ahead.
[02:11:46.403 --> 02:11:46.923]  Okay, great.
[02:11:46.923 --> 02:11:49.025]  So anyway, how are we going to fight it?
[02:11:49.025 --> 02:11:53.488]  We're going to fight it like patriots have fought it throughout history, all the way back to biblical times.
[02:11:53.488 --> 02:11:57.812]  Some of us will die, some of us will lose families, we'll lose property, but we'll prevail.
[02:11:58.482 --> 02:12:01.745]  We are seeing biblical end time prophecies come to pass.
[02:12:01.745 --> 02:12:03.246]  God's in control.
[02:12:03.246 --> 02:12:08.190]  He's calling out his army and we will win.
[02:12:08.190 --> 02:12:09.491]  But you said the key.
[02:12:09.491 --> 02:12:13.615]  We've got to be ready to lose everything like Job and die if necessary.
[02:12:13.615 --> 02:12:14.476]  Who cares?
[02:12:14.476 --> 02:12:18.399]  You serve the Satan and take implantable chips of Satan?
[02:12:18.399 --> 02:12:20.361]  That's worse than death.
[02:12:20.361 --> 02:12:25.245]  If you die on your knees, this is what people
[02:12:28.288 --> 02:12:29.668]  Patty, your phone's breaking up.
[02:12:29.668 --> 02:12:31.669]  I said this yesterday.
[02:12:31.669 --> 02:12:38.731]  We need to get all the callers' numbers and actually, for the first time ever, it's my fault I never reminded the crew to do it, actually call them at the start of the show and get them on.
[02:12:38.731 --> 02:12:43.433]  Because Patty's phone's breaking up and what she was saying was powerful.
[02:12:43.433 --> 02:12:43.833]  Who knows?
[02:12:43.833 --> 02:12:49.495]  We'll get Jessilee Peterson on and I'll probably go to your calls after that, but I don't want to shortchange you and I don't want to lead you the wrong way.
[02:12:49.495 --> 02:12:52.936]  I'm not sure how much time we have, but Jessilee Peterson's coming up.
[02:12:52.936 --> 02:12:54.737]  I mean, look, the Mark of the Beast World Government's here.
[02:12:54.737 --> 02:12:55.437]  What are we going to do about it?
[02:12:59.102 --> 02:13:01.863]  We close and lock our doors and windows at night.
[02:13:01.863 --> 02:13:05.283]  Not because we're doing anything wrong, but because it's about privacy.
[02:13:05.283 --> 02:13:07.043]  And it's about security.
[02:13:07.043 --> 02:13:10.004]  And it's something that we do to protect ourselves.
[02:13:10.004 --> 02:13:17.105]  Going back thousands of years, when we would post a dog or a sentry at the entrance of the village, so we would know if predators or criminals were coming.
[02:13:17.105 --> 02:13:25.107]  Well, big tech, along with the federal government and other globalist organizations, have been tracking everybody illegally for years with their cell phones.
[02:13:25.107 --> 02:13:25.587]  But now,
[02:13:26.107 --> 02:13:29.189]  The public is finally waking up because the enemy has openly announced.
[02:13:29.189 --> 02:13:29.749]  It's the fact.
[02:13:29.749 --> 02:13:36.174]  And the Clinton Foundation, Global Initiative with Chelsea, is running the private system to spy on you and your family.
[02:13:36.174 --> 02:13:41.577]  That's right, the Democrats, the Globalists, the Chaikovs, they've all got our number, they're tracking us in Lifetime.
[02:13:41.577 --> 02:13:50.403]  But with Privacy Pockets, the best system, and InfoWareStore.com, you can protect yourself and your family by keeping your cell phone inside of the little pouch.
[02:13:50.683 --> 02:13:55.445]  We're selling more of these in a day than we used to sell in a month because America and the world is waking up.
[02:13:55.445 --> 02:13:58.786]  Get yours at infowarestore.com and go stealth.
[02:13:58.786 --> 02:14:06.308]  One of our best-selling products is Living Defense, and it's been sold out for over four months because it's hard to source the ingredients that are organic.
[02:14:06.308 --> 02:14:12.470]  We've got a limited supply right now, but it's selling out fast, and I want those of you that haven't experienced Living Defense to get it for yourself.
[02:14:12.470 --> 02:14:13.871]  Here's just part of one testimony.
[02:14:14.151 --> 02:14:16.813]  Look, in January 2016, I went in a hospital.
[02:14:16.813 --> 02:14:20.334]  I went in a VA hospital out here in Boise, and I was in there until June.
[02:14:20.334 --> 02:14:29.599]  And one of the only things that got me through that ordeal was listening to InfoWars three hours a day, and I kept hearing Dr. Group and all you guys talking about living defense.
[02:14:29.599 --> 02:14:30.580]  Let me tell you something, man.
[02:14:30.640 --> 02:14:35.561]  I had an internal digestive problem and I suffered with it for about five or six years.
[02:14:35.561 --> 02:14:37.441]  And the doctors, they tried every test.
[02:14:37.441 --> 02:14:38.942]  Nobody could figure out what it is.
[02:14:38.942 --> 02:14:42.923]  And then every day when I kept hearing you and Dr. Group and those commercials, I said, you know what?
[02:14:42.923 --> 02:14:45.103]  I'm going to get me some of that freaking Living Defense.
[02:14:45.103 --> 02:14:48.124]  Now, I wasn't supposed to have any nutritions because they don't want you to have that stuff.
[02:14:48.124 --> 02:14:49.984]  But I ordered it, had it shipped to me.
[02:14:49.984 --> 02:14:50.544]  I got it.
[02:14:50.544 --> 02:14:51.785]  I hid it from the nurses.
[02:14:51.785 --> 02:14:52.805]  I started taking it.
[02:14:52.805 --> 02:14:54.845]  Man, that stuff changed my life.
[02:14:54.845 --> 02:14:55.785]  It saved my life.
[02:14:55.785 --> 02:14:58.506]  Alex Jones and InfoWars saved my life.
[02:15:01.696 --> 02:15:04.357]  You're listening to The Alex Jones Show!
[02:15:56.713 --> 02:15:58.854]  Good morning, everybody.
[02:15:58.854 --> 02:16:13.863]  This is Dr. Lisa Koch coming to you live from Tampa, Florida, where I continue to lead a large 8,000 patient practice through the front lines of this COVID-19 pandemic.
[02:16:13.863 --> 02:16:19.686]  I'm going to try to make it through this live without getting too upset, but yesterday my colleagues
[02:16:20.126 --> 02:16:29.793]  We're on Capitol Hill and these people, I felt the connection so deeply because they are people who love and care for patients just like I do.
[02:16:29.793 --> 02:16:34.957]  And they came out and they spoke about information that has been hidden from the public.
[02:16:34.957 --> 02:16:37.479]  Information that I've had to go underground to find.
[02:16:37.479 --> 02:16:39.441]  I'm not a political person.
[02:16:39.441 --> 02:16:41.502]  I just want to heal people.
[02:16:41.502 --> 02:16:43.524]  I want to empower people.
[02:16:43.524 --> 02:16:49.409]  I want you to be able to take care of yourselves and live a life the highest potential you ever can possibly achieve.
[02:16:50.189 --> 02:16:52.171]  And that requires you being able to feel good.
[02:16:52.171 --> 02:16:56.094]  It requires you being able to ask questions.
[02:16:56.094 --> 02:16:58.376]  And these doctors have information.
[02:16:58.376 --> 02:17:00.998]  Why are these doctors being censored on YouTube?
[02:17:00.998 --> 02:17:03.399]  Who is doing that?
[02:17:03.399 --> 02:17:03.820]  Why?
[02:17:03.820 --> 02:17:05.461]  What is their agenda?
[02:17:05.461 --> 02:17:08.283]  Why do we have to see more people die?
[02:17:08.283 --> 02:17:11.466]  If you saw that woman with her heart on her sleeve,
[02:17:12.959 --> 02:17:18.820]  She was begging the American people, saying she didn't care what happened to her, that the information has to be released.
[02:17:18.820 --> 02:17:26.842]  I tell all of you doctors that are sitting down and watching Americans die, you're like the good Nazi, the good what?
[02:17:26.842 --> 02:17:30.383]  The good Germans that watch Jews get killed and you do not speak up.
[02:17:30.383 --> 02:17:32.023]  I believe I'm one of them.
[02:17:32.023 --> 02:17:37.405]  If they come after me, they threaten me, they threaten to, I mean, I've gotten all kinds of threats.
[02:17:37.405 --> 02:17:38.585]  Oh, they're going to report me to the boss.
[02:17:39.145 --> 02:17:40.085]  I say, you know what?
[02:17:40.085 --> 02:17:40.666]  I don't care.
[02:17:40.666 --> 02:17:42.506]  I'm not going to let Americans die.
[02:17:42.506 --> 02:17:47.708]  And if this is the mount, if this is the hill where I get nailed on, I will get nailed on it.
[02:17:47.708 --> 02:17:48.628]  I don't care.
[02:17:48.628 --> 02:17:49.969]  You can report me to the board.
[02:17:49.969 --> 02:17:50.809]  You can kill me.
[02:17:50.809 --> 02:17:53.090]  You can do whatever, but I'm not going to let Americans die.
[02:17:53.090 --> 02:17:57.331]  And today I'm here to say that America, there is a cure for COVID.
[02:17:57.331 --> 02:18:00.352]  All this foolishness, it's not, does not need to happen.
[02:18:00.352 --> 02:18:02.593]  There is a cure for COVID.
[02:18:02.593 --> 02:18:04.694]  There is a cure for COVID.
[02:18:04.694 --> 02:18:06.214]  It's called hydroxychloroquine.
[02:18:06.214 --> 02:18:07.355]  It's called zinc.
[02:18:07.355 --> 02:18:08.175]  It's called Zitomax.
[02:18:08.755 --> 02:18:12.417]  Oh, that clip enraged them.
[02:18:12.417 --> 02:18:34.488]  And that predominantly, the biggest point that was given on this during this newscast or press conference was that hydroxychloroquine, which has been all over the place during this pandemic, as soon as it started gaining momentum, whether it was political reasons or because of the V word and funding of a study that was
[02:18:35.388 --> 02:18:38.513]  Shady, and I've discussed this on the slide before.
[02:18:38.513 --> 02:18:39.975]  They confirmed that.
[02:18:39.975 --> 02:18:44.522]  Those studies, and some of which were retracted from major journals.
[02:18:44.522 --> 02:18:46.905]  Who is allowing that to be published in the first place?
[02:18:47.990 --> 02:18:54.211]  Using hydroxychloroquine at four times the dose and then being able to say that it caused cardiac arrhythmias.
[02:18:54.211 --> 02:18:59.272]  Dr. Anthony Fauci has said studies show the drug is ineffective at treating COVID.
[02:18:59.272 --> 02:19:04.713]  And now they're going in and pulling out peer-reviewed studies going back years ago about hydroxychloroquine.
