[00:00:05.660 --> 00:00:06.160]  Hark!
[00:50:06.651 --> 00:50:29.308]  Well, I mean, to a certain degree, it's a constitutional crisis of a kind, because it's critical that there are some people who want the Trump supporters to resort to a remedy that is not the Constitution, and as the President made clear last night, that's not his path.
[00:50:29.748 --> 00:50:42.022]  He is pursuing solely and wholly a constitutional path because the problem with any enforcement issue with the Constitution, the solution is always more constitutional democracy, not less.
[00:50:42.662 --> 00:50:44.384]  And that's the President's path as well.
[00:50:44.464 --> 00:50:46.426]  And that requires, he's still going through the courts.
[00:50:46.466 --> 00:50:51.452]  There's three cases that are now just out of Pennsylvania, up before the Supreme Court this weekend.
[00:50:51.912 --> 00:50:52.753]  There are more going.
[00:50:52.913 --> 00:50:59.779]  I don't think the Supreme Court will provide any remedy for him, but he's going to fully exhaust all options and opportunities in that respect.
[00:51:00.219 --> 00:51:04.483]  There's also election contests from Georgia, Arizona, Nevada pending before various courts.
[00:51:04.924 --> 00:51:08.427]  Cases out of Michigan and Wisconsin also pending and going towards the U.S.
[00:51:08.447 --> 00:51:09.047]  Supreme Court.
[00:51:09.528 --> 00:51:10.789]  But Bob, let me stop you.
[00:51:10.809 --> 00:51:16.474]  He's not going to probably get remedy there because Roberts reportedly is scared, hiding under his desk from Black Lives Matter.
[00:51:17.819 --> 00:51:25.966]  Then, instead, we always want more of a republic, more freedom, but if the Chi-Coms and the Globalists take over, I mean, that's certainly less freedom.
[00:51:25.986 --> 00:51:27.527]  I mean, why do we allow a foreign to take over?
[00:51:29.113 --> 00:51:54.284]  The I don't think the concern is there's always risks of foreign influence and we've always had foreign influence but the remedy has always got to be more constitutional democracy and that may mean other forms of action so I think the president's goal is exhaust the judicial action show that he pursued it to the best degree he could and if the courts didn't provide any relief or remedy then that puts the burden on Congress and that's where the Senate and the House
[00:51:54.844 --> 00:52:01.759]  And explain that to people that he's already got a bunch of House and Senate members ready to have the hearings, ready to block the electors.
[00:52:01.779 --> 00:52:02.600]  That's where the real fight is.
[00:52:03.675 --> 00:52:04.055]  Exactly.
[00:52:04.095 --> 00:52:06.917]  The Constitution calls for Congress to certify the electors.
[00:52:07.317 --> 00:52:12.159]  And until Congress certifies the electors, there's been no actual Electoral College vote.
[00:52:12.779 --> 00:52:16.181]  There's no vote until that certification occurs, constitutionally.
[00:52:16.221 --> 00:52:17.081]  So then what do you make?
[00:52:17.101 --> 00:52:26.025]  We'll walk all through this next segment, because you're the expert on this, but I like Flynn, and I like Powell, all of them, but they're at the White House, this info immediately leaks.
[00:52:26.886 --> 00:52:29.407]  What do you think Flynn's up to with all this Marshall Law talk?
[00:52:30.829 --> 00:52:31.610]  I think.
[00:52:31.670 --> 00:52:33.353]  Trump was never going to go down that path.
[00:52:33.713 --> 00:52:37.719]  That's what people who wanted to hurt him wanted him to do.
[00:52:38.820 --> 00:52:42.245]  It's a part of a disinformation campaign, and it comes out of the QAnon world.
[00:52:42.685 --> 00:52:46.691]  And unfortunately, the General Sidney Powell, Lin Wood, got caught up in that world.
[00:52:47.331 --> 00:52:49.594]  I mean, here's a core problem.
[00:52:49.634 --> 00:52:53.038]  Aside from the fact that it's not legal, martial law is not legal in the United States.
[00:52:53.058 --> 00:52:55.060]  That was determined in Ex parte Milligan in 1866.
[00:52:56.001 --> 00:52:59.365]  When Abraham Lincoln did it, it was determined to be unconstitutional by the Supreme Court.
[00:52:59.765 --> 00:53:06.693]  So martial law has never been constitutional in the United States unless the entire country was a battlefield with no civil institutions able to even function.
[00:53:07.053 --> 00:53:08.475]  That's the constitutional standard.
[00:53:08.855 --> 00:53:12.082]  But I think that the President has never wanted to go down this path.
[00:53:12.122 --> 00:53:18.836]  His critics have invited it, welcomed it, and wanted it because they wanted it to discredit him, discredit his supporters, and give them a pretext.
[00:53:19.680 --> 00:53:25.562]  To put people on watch lists and even engage in mass arrests because it's a crime for the military to get involved in elections.
[00:53:25.602 --> 00:53:29.623]  We passed that law back after the 1876 Compromise.
[00:53:29.703 --> 00:53:40.027]  Sure, so what does the President do when he's met with a Justice Department won't do its job and foreign multinationals working through blue cities and states with their own form of COVID lockdown, which is martial law.
[00:53:40.347 --> 00:53:44.228]  How does the President counter this regional martial law we're under?
[00:53:45.438 --> 00:53:45.878]  Two things.
[00:53:46.619 --> 00:53:49.720]  First, massive public pressure on the Senate and the House to do their job.
[00:53:50.280 --> 00:53:54.002]  So their job is to hold hearings on whether or not these electors were properly qualified.
[00:53:54.062 --> 00:54:05.186]  Whether or not, as Matt Gaetz, Congressman Gaetz said today, in any state, and this is what we've been talking about for the last week, that what they should do, now Congressman Gaetz is saying he will lead the charge to do.
[00:54:05.547 --> 00:54:13.310]  Which is any state that cannot show that it had an honest, transparent election cannot have their electors qualified for the Electoral College vote.
[00:54:14.010 --> 00:54:20.213]  And if enough electors are disqualified, then the Constitution requires the House to vote by state delegation.
[00:54:20.473 --> 00:54:21.653]  Okay, so here's the deal.
[00:54:21.753 --> 00:54:26.715]  I'm going to give you the floor of the next three segments, the next 45 minutes, because I know you're super smart and I respect you.
[00:54:27.095 --> 00:54:30.496]  I try to study this, and I defer to your knowledge because you're almost always right.
[00:54:30.697 --> 00:54:31.677]  Very rarely are you wrong.
[00:54:32.297 --> 00:54:35.438]  So now you've really got my attention, because that's why.
[00:54:35.558 --> 00:54:42.061]  Let's make the rest of the show about the real constitutional path to victory here, and what dirty tricks they might pull when we come back, because you just said it.
[00:54:42.981 --> 00:54:55.229]  We now have Gates of Florida, we have all these senators, we have other House members doing what Nancy Pelosi tried four years ago to have the electors not seat, but there was no support so it didn't happen.
[00:54:55.589 --> 00:54:57.551]  This looks like one of the biggest movements
[00:54:58.536 --> 00:55:02.197]  I've ever seen except maybe what the 1870s to actually have this happen.
[00:55:02.237 --> 00:55:03.757]  It looks like we've got a perfect storm.
[00:55:04.077 --> 00:55:06.598]  And so what's critical is more evidence of this to come out.
[00:55:06.938 --> 00:55:09.439]  So let's just let's get to that next segment, Barnes.
[00:55:10.139 --> 00:55:17.161]  First, let's go to what you told me in Georgia a month ago when you warned me, you said, don't go down the Dominion Road, don't go down this road.
[00:55:17.561 --> 00:55:20.401]  The president wants us to look at the signatures.
[00:55:20.841 --> 00:55:21.602]  How you knew that.
[00:55:21.762 --> 00:55:23.482]  I know how, but if you want to say it, go ahead and say it.
[00:55:24.002 --> 00:55:27.103]  And then why that's so important and what's happening now in Georgia with the signatures.
[00:55:28.447 --> 00:55:50.813]  Sure, so I went to Georgia at the specific personal request of the President, and his focus was on the signatures, because it was clear that they didn't need to use the machines to steal this election, because they could just do it the old-fashioned way, which is to have a bunch of people who are not qualified to vote, vote, a bunch of people cast ballots in an illegal manner, and then to have the count of that ballot done in an unlawful manner without proper monitoring.
[00:55:51.373 --> 00:55:56.297]  And that's why they won't publish the ballots, because people will see the problems with the ballots themselves.
[00:55:56.558 --> 00:56:01.842]  And that's why they wouldn't allow a signature match audit to occur, because they know the signature matches won't match.
[00:56:02.382 --> 00:56:06.425]  And there's more illicit ballots than there is a margin of victory.
[00:56:06.586 --> 00:56:11.950]  And under the Constitution, when that happens, the remedy is you go to voting by state delegation, and that favors the president.
[00:56:12.330 --> 00:56:19.912]  So that's why, when I was down in Georgia right away, it was clear that all the state officials were happy to do a hand recount and they weren't worried about the machines at all.
[00:56:20.232 --> 00:56:25.493]  That whatever capacity the machines might have to manipulate elections, that's not what happened in this context.
[00:56:26.113 --> 00:56:31.174]  And they wanted the focus to be there because they knew that people would go down a path that they wouldn't be able to prove.
[00:56:31.554 --> 00:56:36.135]  In some cases, a lot of the Q-based sources... You told me almost a month ago that Trump was on this path.
[00:56:36.175 --> 00:56:37.296]  He's now publicly saying that.
[00:56:38.757 --> 00:56:43.615]  Is the Georgia signature event, is this a good recount now?
[00:56:45.121 --> 00:56:46.142]  It's at least a step forward.
[00:56:46.322 --> 00:56:47.363]  So it's a major step forward.
[00:56:47.383 --> 00:56:49.785]  It's the first state to do a statewide signature match recount.
[00:56:50.066 --> 00:56:53.589]  There's still arguments about whether they'll allow meaningful monitoring of it to occur.
[00:56:53.969 --> 00:56:57.272]  So there's still issues with it.
[00:56:57.512 --> 00:56:59.914]  But it's at least a step in the right direction.
[00:57:00.235 --> 00:57:03.718]  And when they did it in Arizona, 11% of the signatures did not match.
[00:57:03.738 --> 00:57:04.578]  That's right.
[00:57:04.598 --> 00:57:06.920]  They only did a small spot check and they did a whole state.
[00:57:06.960 --> 00:57:07.781]  He was clearly a one.
[00:57:08.161 --> 00:57:09.643]  It's funny, that was all against Trump.
[00:57:10.948 --> 00:57:11.328]  Absolutely.
[00:57:11.489 --> 00:57:14.371]  And remember, that story got buried because everybody's focused on the machines.
[00:57:14.751 --> 00:57:17.213]  So the president's goal is... Barnes, I gotta say it.
[00:57:17.274 --> 00:57:18.314]  You called it early.
[00:57:18.354 --> 00:57:20.777]  You said it's diverting from the signatures, it's diverting.
[00:57:21.577 --> 00:57:22.558]  You've been damn right.
[00:57:22.598 --> 00:57:28.083]  So let's come back to you to have the floor and just walk through every section of this in the next 45 minutes.
[00:57:28.163 --> 00:57:30.805]  Then, Tom Pappert takes over.
[00:57:32.927 --> 00:57:34.328]  Live from Austin, Texas.
[00:57:34.929 --> 00:57:36.350]  Broadcasting worldwide.
[00:57:42.888 --> 00:57:46.790]  If you are receiving this transmission, you are the resistance.
[00:57:48.391 --> 00:57:53.133]  Live from the InfoWars.com studios, it's Alex Jones.
[00:57:53.754 --> 00:57:55.855]  You know, I've discovered the secret to leadership.
[00:57:57.115 --> 00:58:01.958]  It's actually researching history, standing for something, and then picking a side.
[00:58:03.206 --> 00:58:13.310]  And so many people I know, whether they be generals or whether they be politicians, they really just are putting their finger to the wind and like seeing which side they're on today.
[00:58:13.371 --> 00:58:13.731]  Not me.
[00:58:13.811 --> 00:58:14.611]  I'm for America.
[00:58:14.651 --> 00:58:15.331]  I'm for God.
[00:58:15.391 --> 00:58:16.132]  I'm for children.
[00:58:16.472 --> 00:58:18.753]  I'm for families because I love it and I believe in it.
[00:58:19.844 --> 00:58:21.665]  Constitutional lawyer Robert Barnes is our guest here.
[00:58:22.226 --> 00:58:23.667]  He's kicking major butt.
[00:58:24.127 --> 00:58:25.488]  And man, did he call this thing.
[00:58:25.508 --> 00:58:32.453]  And I'm glad he said it, because I talked to the White House, and I talked to the State Department, and I talked to the other president, obviously.
[00:58:32.773 --> 00:58:34.014]  And they said, oh, Barnes is great.
[00:58:34.034 --> 00:58:35.675]  Because Barnes told me, yeah, I'm working for the president.
[00:58:35.695 --> 00:58:36.215]  I don't say anything.
[00:58:36.255 --> 00:58:37.016]  I'm going around the country.
[00:58:37.676 --> 00:58:39.898]  And the president really wants the signatures.
[00:58:39.918 --> 00:58:40.959]  He thinks this is a red herring.
[00:58:41.379 --> 00:58:42.800]  And all that's been borne out now.
[00:58:43.100 --> 00:58:47.964]  So Barnes doesn't toot his horn, but since the enemy already knows about it, why not just go ahead and get it out there?
[00:58:48.891 --> 00:58:54.076]  So Barnes, let's hit this small piece and I'll turn things over to you to cover the waterfront here in the time we have left.
[00:58:54.798 --> 00:58:59.442]  Ahead of the next live show coming up with Tom Papert sitting in for Owen Schroer tonight on Sunday Live.
[00:59:00.262 --> 00:59:03.925]  And you're welcome to come back this week and co-host for a couple hours whenever you want during the weekday show.
[00:59:03.965 --> 00:59:05.967]  I'm taking off this week just to get some rest.
[00:59:06.007 --> 00:59:08.269]  I have to do it to unplug, but we'd love to have you co-host.
[00:59:08.289 --> 00:59:12.112]  You pick a day this week, two hours, come and do it tomorrow, Tuesday, Wednesday.
[00:59:12.152 --> 00:59:15.315]  But what about Trump saying march on D.C.
[00:59:15.695 --> 00:59:18.898]  and how important it is peacefully on the 6th?
[00:59:18.998 --> 00:59:24.162]  That's a big deal to have him calling us to march on the day that Congress is going to try to seat those electors.
[00:59:25.481 --> 00:59:25.801]  Exactly.
[00:59:25.821 --> 00:59:37.812]  The President's goal and objective is to show the Senate and Congress how much power he still wields, and to make it clear to them in a demonstrable form that this isn't, you know, just grass, you know, astroturf.
[00:59:37.852 --> 00:59:41.035]  This isn't just some bot operation on social media.
[00:59:41.336 --> 00:59:45.900]  His goal is not anything with... That's why people stay away from the militia law stuff and all that.
[00:59:45.940 --> 00:59:49.864]  That's a red herring in a rabbit hole meant to distract and detour people.
[00:59:50.164 --> 00:59:51.205]  What the President wants
[00:59:51.505 --> 00:59:55.087]  And you're going to get into that in a moment, but the President's calling on us to march on D.C.
[01:00:20.083 --> 01:00:20.963]  This is the big one.
[01:00:21.103 --> 01:00:22.624]  I hope you'll be there, Bob.
[01:00:22.644 --> 01:00:23.764]  Everybody needs to be there.
[01:00:25.425 --> 01:00:25.845]  Absolutely.
[01:00:26.065 --> 01:00:26.905]  It's January 6th.
[01:00:27.266 --> 01:00:39.390]  Everybody be there to remind Congress what their duties are, to show up to support the President in a lawful, democratic protest, and to remind people that the popular will will be heard one way, shape, or form or another.
[01:00:39.410 --> 01:00:40.290]  So this is the big one.
[01:00:40.410 --> 01:00:41.971]  And I think we should be there the 5th, too.
[01:00:42.011 --> 01:00:42.491]  Don't you agree?
[01:00:42.631 --> 01:00:44.872]  It should be... I think the 6th is almost too late.
[01:00:44.892 --> 01:00:45.572]  I'm going to be there on the 5th.
[01:00:46.912 --> 01:00:48.213]  Yeah, I agree with that.
[01:00:48.433 --> 01:00:58.100]  I think the 5th and the 6th are good to make sure everybody sees that the president's army of voters and volunteers are going to continue to support him through the democratic process.
[01:00:58.900 --> 01:01:03.063]  And that no matter what happens in Congress, they're going to be active after that.
[01:01:03.143 --> 01:01:08.587]  I mean, these senators are going to face potential primary contest in just two years if they don't stand up for the president.
[01:01:08.827 --> 01:01:09.687]  Absolutely.
[01:01:09.727 --> 01:01:10.768]  So you've got the floor now.
[01:01:11.268 --> 01:01:14.831]  Get into the path to victory with the electors, then all the other information.
[01:01:16.269 --> 01:01:16.590]  Absolutely.
[01:01:16.610 --> 01:01:21.317]  So when we set up our government, we recognized that we could have a contested presidential election.
[01:01:21.757 --> 01:01:23.901]  So the remedy was a two-step process.
[01:01:24.281 --> 01:01:30.090]  The first is that the House and the Senate meet and decide whether the electors were properly constitutionally elected.
[01:01:31.029 --> 01:01:46.040]  And if they determine that there is not a majority of electors that were constitutionally elected, then the 12th Amendment comes into play, which was passed after the 1800 sort of debacle that took place, which was that the House votes by state delegation.
[01:01:46.500 --> 01:01:48.443]  The President has a large edge in that.
[01:01:48.563 --> 01:01:56.494]  The number of people who support him weigh in the states and the House delegation exceeds the Democrats and exceeds Biden by a substantial margin.
[01:01:56.855 --> 01:02:01.281]  So all the President needs is the House and the Senate to vote on whether or not these electors were qualified.
[01:02:01.861 --> 01:02:05.444]  And to allow evidence to be presented, an argument to be presented for that.
[01:02:05.544 --> 01:02:12.109]  There's a lot more evidence of an unconstitutional election than there is whatever was evidence of a constitutional impeachment.
[01:02:12.469 --> 01:02:14.931]  And they were willing to put a week aside for that.
[01:02:15.431 --> 01:02:18.954]  And so here we have at least seven different states that are in contest and in dispute.
[01:02:18.974 --> 01:02:22.837]  They're supposed to take two hours apiece, the House and the Senate, to debate each one.
[01:02:23.277 --> 01:02:33.543]  The way that process works is one Congress member, one member of the House, one member of the Senate, in writing, submit an objection to the President of the Senate, who's the Vice President of the United States.
[01:02:34.023 --> 01:02:38.966]  Now, the Vice President does also have a potential role, but it's unlikely he will assert it too aggressively.
[01:02:39.306 --> 01:02:43.168]  But he can say an objection's been made, and the House and the Senate have to vote on it.
[01:02:43.688 --> 01:02:46.910]  And they should be able, and they have two hours to hear argument or evidence on it.
[01:02:47.390 --> 01:02:48.951]  And they should allow that to take place.
[01:02:49.432 --> 01:02:51.773]  Allow the constitutional process to go forward.
[01:02:52.314 --> 01:03:00.880]  And so by doing so, that affords the opportunity, if the Senate and the House sustain the objection to the elector, then those electors get thrown out.
[01:03:01.380 --> 01:03:03.742]  And they can do it state by state by state by state.
[01:03:03.862 --> 01:03:05.984]  And he doesn't need all seven states' electors thrown out.
[01:03:06.004 --> 01:03:08.425]  So you're saying we're being distracted with martial law talk.
[01:03:08.445 --> 01:03:09.726]  We have a constitutional remedy.
[01:03:10.087 --> 01:03:12.068]  And Pelosi tried this play four years ago.
[01:03:12.088 --> 01:03:13.509]  It got no purchase.
[01:03:13.889 --> 01:03:16.111]  This already has Senate and House members ready to go with it.
[01:03:17.156 --> 01:03:17.616]  Absolutely.
[01:03:17.917 --> 01:03:23.480]  And that's why Mitch McConnell was trying to sabotage and ambush this, because he knows this is the most effective remedy for the President.
[01:03:23.540 --> 01:03:24.961]  This is the constitutional remedy.
[01:03:25.221 --> 01:03:26.882]  This is the little-D democratic remedy.
[01:03:26.922 --> 01:03:33.065]  Because it's the House members and Senators that the voters voted in this term that will be hearing this.
[01:03:33.486 --> 01:03:34.526]  So that's why it's critical.
[01:03:34.606 --> 01:03:36.968]  And that's why the President is very concerned with the Georgia vote.
[01:03:37.268 --> 01:03:39.189]  He needs both of those Senators.
[01:03:39.249 --> 01:03:45.713]  And one of them came out yesterday and said he will also vote to object to electors if he is re-elected.
[01:03:46.113 --> 01:03:48.434]  That is gigantic, because you called for that Friday.
[01:03:49.155 --> 01:03:49.915]  Explain that.
[01:03:50.095 --> 01:03:52.536]  This is all key, key legal parlance.
[01:03:53.477 --> 01:03:53.757]  Correct.
[01:03:53.777 --> 01:04:07.644]  So Senator Perdue, who is running for re-election in Georgia in the Senate, yesterday confirmed that he will vote, he will object to the electors being certified from any state that did not have a constitutionally clean election.
[01:04:08.024 --> 01:04:10.906]  And right now, that includes at least seven states.
[01:04:11.506 --> 01:04:17.393]  And critically, the big three, Wisconsin, Georgia and Arizona, but also Michigan, Pennsylvania and Nevada.
[01:04:17.673 --> 01:04:29.666]  And there's also some question in a suit filed in New Mexico where electors, of course, have already been sent from these states through the Trump electors met and voted to send their electors to the president of the Senate as well.
[01:04:30.527 --> 01:04:32.569]  So that he could assert his remedy in that regard.
[01:04:32.709 --> 01:04:35.553]  So let me ask you this, what do we do to make sure this happens?
[01:04:35.593 --> 01:04:36.174]  What can we do?
[01:04:36.234 --> 01:04:40.459]  March on DC the 6th, the 5th, I mean I think the 5th and 6th, just everybody converge.
[01:04:40.759 --> 01:04:43.382]  Folks, I've never, people always say March on DC, this is it.
[01:04:43.703 --> 01:04:48.449]  If people don't get on a plane, on a bus, on a train, if you don't get there, then kiss your ass goodbye.
[01:04:50.313 --> 01:04:56.274]  Yeah, the key is Congress has to see an unprecedented, massive will of people.
[01:04:56.634 --> 01:04:59.755]  If they saw 10 million people, they'll overturn this fraudulent election.
[01:05:00.055 --> 01:05:03.336]  Because even Roberts is quote, scared of Black Lives Matter.
[01:05:03.616 --> 01:05:04.596]  That's a paper tiger.
[01:05:04.616 --> 01:05:06.317]  They don't represent black people, that's George Soros.
[01:05:06.597 --> 01:05:09.457]  They need to see 10 million multi-racial Americans.
[01:05:09.477 --> 01:05:12.778]  10 million Americans would overturn the fraud, wouldn't it?
[01:05:13.886 --> 01:05:14.186]  Absolutely.
[01:05:14.206 --> 01:05:18.608]  That's why the video you showed at the beginning of this is the reason why the president put that out there.
[01:05:19.008 --> 01:05:27.932]  It was, look, massive marches, democratic, peaceful, constitutional marches supporting the constitutional remedy by a multi-racial group, multi-ethnic group of people from all across the world.
[01:05:28.432 --> 01:05:30.353]  And that's what he needs on Washington.
[01:05:30.393 --> 01:05:39.137]  He needs the biggest show of his supporters in history showing, demanding that they exercise their constitutional duties and constitutional obligations.
[01:05:39.657 --> 01:05:40.818]  And that's all anybody's asking for.
[01:05:40.838 --> 01:05:41.339]  All right, stay there.
[01:05:41.359 --> 01:05:42.319]  This is so epic.
[01:05:42.339 --> 01:05:43.901]  So it's literally in our hands.
[01:05:44.401 --> 01:05:46.703]  Yes, we're being blocked off by big tech.
[01:05:46.783 --> 01:05:47.604]  Yes, there's censoring us.
[01:05:47.624 --> 01:05:49.646]  But we have all these radio stations, listeners.
[01:05:50.006 --> 01:05:52.508]  If you come to DC, 10 million of you, we win.
[01:05:52.808 --> 01:05:54.310]  But it's literally up to us.
[01:05:55.731 --> 01:05:56.692]  Barnes is not lying.
[01:05:56.732 --> 01:05:57.533]  This is a big deal.
[01:05:57.573 --> 01:06:02.637]  Trump has said, save America, fight for the future of the planet, come to D.C.
[01:06:02.937 --> 01:06:05.640]  We'll play that little clip when we come back on the other side.
[01:06:05.680 --> 01:06:06.781]  For TV viewers, it's powerful.
[01:06:06.821 --> 01:06:07.822]  Radio listeners, it's okay.
[01:06:08.202 --> 01:06:09.803]  The video's at InfoWars.com.
[01:06:10.104 --> 01:06:11.024]  It's on Trump's Twitter.
[01:06:12.005 --> 01:06:13.266]  Trump's Save America video.
[01:06:14.868 --> 01:06:19.732]  Constitutional lawyer Robert Barnes is our guest.
[01:06:20.393 --> 01:06:21.514]  I've been asking a lot of questions.
[01:06:21.554 --> 01:06:22.414]  He's been moving really quick.
[01:06:23.356 --> 01:06:23.916]  But you heard him.
[01:06:23.996 --> 01:06:28.838]  He's been quietly working for Trump out there across the country.
[01:06:29.939 --> 01:06:31.299]  What are Trump's real chances?
[01:06:31.359 --> 01:06:32.159]  What can we do?
[01:06:32.179 --> 01:06:34.140]  What are the other major players?
[01:06:34.660 --> 01:06:38.082]  What's the inside baseball on the Bidens and their Chai Com connections?
[01:06:38.102 --> 01:06:40.663]  I know you've got incredible knowledge across a wide spectrum.
[01:06:40.683 --> 01:06:41.763]  One of the smartest people I know.
[01:06:41.783 --> 01:06:43.524]  One of the most informed I know.
[01:06:44.044 --> 01:06:47.886]  In the next segment, we'll get into the vaccine, global lockdown too, and how to fight that.
[01:06:47.926 --> 01:06:48.386]  Robert Barnes.
[01:06:50.225 --> 01:06:52.387]  So, you go back, history tells the tale.
[01:06:52.427 --> 01:06:54.328]  I mean, you like to read and review history, Alex.
[01:06:54.389 --> 01:06:55.109]  It's the same thing.
[01:06:55.309 --> 01:06:57.931]  In 1876, we had a comparable controversy.
[01:06:58.372 --> 01:07:00.954]  We had disputed electors sent from multiple states.
[01:07:01.795 --> 01:07:05.418]  Some were sent by the official body that said the Republican won.
[01:07:05.778 --> 01:07:09.421]  Some were sent unofficially, saying the Democrat won.
[01:07:09.861 --> 01:07:11.262]  You had a split Congress.
[01:07:11.743 --> 01:07:13.464]  You had Republicans control the Senate.
[01:07:13.524 --> 01:07:15.086]  You had Democrats control the House.
[01:07:15.826 --> 01:07:35.542]  And ultimately what happened is through extended months of negotiation, because there was such a popular outpouring, that in that case the Republican, Rutherford B. Hayes, they said had not legitimately won, that in fact Samuel Tilden, the Democrat they said had won, that the mass outpouring forced Congress to deal with it, and they would end up debating it for months.
[01:07:36.062 --> 01:07:44.049]  In fact, back then inauguration did not happen until March, and they didn't have the final vote until 48 hours before inauguration day.
[01:07:44.654 --> 01:07:57.246]  So we know what this, and in that context, ultimately an agreement was reached that allowed the Republican to get the presidency, but the Democrats to get a whole bunch of other things, which included the withdrawal of troops from the South.
[01:07:57.959 --> 01:08:01.542]  Uh, which, you know, re-scripted the history of the country for the next 90 years.
[01:08:02.042 --> 01:08:14.592]  So, the reality is that the, that remedy shows that if Congress asserts its constitutional duties and obligations, then the, uh, the President has a clear fighting chance because both the facts and the law support him.
[01:08:15.153 --> 01:08:19.456]  If you look at the facts, the facts are that the, there are three things that matter in an election.
[01:08:19.476 --> 01:08:23.239]  Did the people who are qualified to vote, were they the only ones to vote?
[01:08:23.860 --> 01:08:26.822]  Were the votes cast in a constitutional manner?
[01:08:27.578 --> 01:08:32.282]  And third, was the count of the vote done in a constitutional legal manner?
[01:08:32.782 --> 01:08:41.529]  Here, in all of the contested states, Georgia, Arizona, Nevada, Michigan, Wisconsin, Pennsylvania, and even to a certain degree, New Mexico,
[01:08:42.324 --> 01:08:48.570]  There was either votes who, in fact, in all of them there were votes who, people who cast votes who were not qualified to vote.
[01:08:49.050 --> 01:08:51.112]  In some cases because they were not citizens.
[01:08:51.192 --> 01:08:52.994]  In some cases because they were too young.
[01:08:53.414 --> 01:08:56.497]  In some cases because they claimed to be living in a mailbox.
[01:08:56.917 --> 01:09:00.420]  In some cases because they voted in another jurisdiction.
[01:09:00.621 --> 01:09:04.304]  In some cases because they were registered to vote in another jurisdiction.
[01:09:04.644 --> 01:09:08.788]  In some cases because they'd already moved out of the state more than 30 days prior to the election.
[01:09:09.228 --> 01:09:22.298]  So, we have a bunch of people who are not qualified to vote, and of course, last but not least, there were plenty of dead people who voted in these key states, as the research showed from both Matt Brainerd and Richard Barris of People's Pundit Daily.
[01:09:22.859 --> 01:09:28.083]  The second component is, were there votes cast that were not cast in a constitutional manner?
[01:09:28.383 --> 01:09:30.264]  What does that mean, constitutional manner?
[01:09:30.625 --> 01:09:37.590]  Well, when it's the presidency, the rules for the election have to be only the rules set by the state legislatures.
[01:09:38.130 --> 01:09:45.954]  And under the Electors Clause, the state legislatures exclusively determine and control how the presidential vote takes place.
[01:09:46.434 --> 01:09:48.075]  And isn't that the big enchilada?
[01:09:48.155 --> 01:09:53.978]  That none of these states pass laws, just governors agree with Democrats to accept these fraudulent ballots, these mail-ins?
[01:09:55.333 --> 01:09:55.753]  Absolutely.
[01:09:55.793 --> 01:09:57.394]  In fact, it was the big problem Democrats had.
[01:09:57.794 --> 01:10:09.480]  How were they going to steal the election when all the legislatures in every single one of these states, Wisconsin, Michigan, Pennsylvania, Georgia, Arizona, in all of those states, they did not control the legislature.
[01:10:09.920 --> 01:10:13.222]  And what they decided to do is, well, we're just going to ignore the legislature.
[01:10:13.302 --> 01:10:14.382]  Consent decrees.
[01:10:15.563 --> 01:10:15.903]  Exactly.
[01:10:15.943 --> 01:10:18.504]  They use lawfare, selective lawfare.
[01:10:18.664 --> 01:10:20.485]  And people ask them, where is the legislature?
[01:10:20.525 --> 01:10:22.106]  They don't even know an agreement is being made.
[01:10:23.203 --> 01:10:23.643]  Absolutely.
[01:10:24.084 --> 01:10:25.525]  The legislature wasn't even a party.
[01:10:25.865 --> 01:10:33.231]  And by the way, the way those rules are supposed to work, having been part of those lawsuits before, you have to get the legislature to pass legislation.
[01:10:33.572 --> 01:10:35.954]  I mean, I brought a big suit in California, a bunch of counties.
[01:10:36.314 --> 01:10:37.315]  The rule was clear.
[01:10:37.655 --> 01:10:44.801]  The only way that it could constitutionally go through is the legislature had to agree to the terms of the settlement and pass it as legislation.
[01:10:44.821 --> 01:10:45.301]  But they don't.
[01:10:45.341 --> 01:10:47.043]  So it's a giant, fraudulent,
[01:10:47.763 --> 01:10:48.705]  I mean, here's an example.
[01:10:49.166 --> 01:10:50.648]  You gotta have the deed to your house to sell it.
[01:10:51.149 --> 01:10:54.474]  It's like some group meets separate and just agrees that they own your house.
[01:10:56.477 --> 01:10:56.877]  Absolutely.
[01:10:57.017 --> 01:10:58.960]  The parties to the contract were the states.
[01:10:59.401 --> 01:11:03.287]  And the agreement was, we all agree, only the state legislatures can pick the president.
[01:11:03.857 --> 01:11:12.867]  And if somebody violates that, Professor Dershowitz was on a live show last night saying that clearly you would have standing to bring a claim if the roles were reversed.
[01:11:13.548 --> 01:11:15.730]  So why is the Supreme Court not doing it?
[01:11:15.991 --> 01:11:20.596]  Do you think the story out of Texas legislature is true that Roberts was screaming at people and scared?
[01:11:21.809 --> 01:11:25.670]  That particular story is not likely to be true because the Supreme Court's not meeting.
[01:11:26.050 --> 01:11:27.170]  They're all working from home.
[01:11:27.650 --> 01:11:32.471]  And so when they said they were in chambers, I knew that story wasn't likely to be accurate.
[01:11:32.771 --> 01:11:38.993]  But I think thematically there's truth to the story in the sense that people have interpreted Roberts in this way.
[01:11:39.293 --> 01:11:42.693]  But I think the bigger problem was Mitch McConnell and the Republican establishment.
[01:11:43.073 --> 01:11:44.574]  That was the other story to all of this.
