[00:00:25.951 --> 00:00:28.812]  Sunday, March 8th, 2020.
[00:48:21.142 --> 00:48:28.270]  I mean, I can't even now, after 25 years, 26 years of war with these people, it was longer than that, but I've been on air 26 years now, it's just like...
[00:48:29.133 --> 00:48:39.783]  My problem is that I can project into any problem or any operation and then have so many facts to draw on that it becomes exhausting because we're not omnipresent like God.
[00:48:39.783 --> 00:48:43.146]  We're able to look into any problem and do incredible things.
[00:48:43.146 --> 00:48:53.435]  We're supercomputers, electrochemical supercomputers, but still it's limited because you can look into any avenue, but you can't look into all avenues at the same time, can you?
[00:48:54.517 --> 00:48:58.480]  You can probably do anything you want in life, you just can't do everything as they say.
[00:48:58.480 --> 00:49:04.064]  Okay, let me do my best here to try to sum this up in a very calm way.
[00:49:04.064 --> 00:49:16.433]  9-11 was real.
[00:49:16.433 --> 00:49:23.499]  Planes flew into the Pentagon and flew into the World Trade Center's Tower 1 and 2.
[00:49:25.475 --> 00:49:29.058]  A large projectile hit the Pentagon and two planes hit the towers.
[00:49:29.058 --> 00:49:40.948]  And I studied it and made five films, written a book about it and interviewed NSA top people and CIA and firefighters and police that were there and it happened.
[00:49:40.948 --> 00:49:42.049]  When we exposed
[00:49:43.288 --> 00:49:45.791]  The fact that there were anomalies and cover-ups and stand-downs.
[00:49:45.791 --> 00:49:52.900]  The media said, Alex Jones says nobody died on 9-11 and that no plane said it.
[00:49:52.900 --> 00:49:58.848]  That was a minority of people saying holograms that were put out there, we later learned, most of them by the CIA.
[00:49:58.848 --> 00:50:01.911]  It came out to discredit the whole movement.
[00:50:02.847 --> 00:50:11.151]  And later there were even articles in the National Post in Canada where they admitted that leftist professors had gone out and done that because they thought it would damage the view of government.
[00:50:11.151 --> 00:50:13.592]  And so they thought it was the best thing to do was cover it up.
[00:50:13.592 --> 00:50:28.099]  So what do you do when I'm pointing out, hey, the head of the Labor Department, Transportation Department said they were in the bunker and saw Dick Cheney order the stand down, told Congress that.
[00:50:28.099 --> 00:50:32.121]  Well, you just say, well, Alex Jones says space beams blew it up.
[00:50:34.685 --> 00:50:40.049]  So why am I talking about coronavirus and 9-11?
[00:50:40.049 --> 00:50:41.369]  9-11 was real.
[00:50:41.369 --> 00:50:42.650]  It killed 3,000 people.
[00:50:42.650 --> 00:50:44.631]  It was a new Pearl Harbor.
[00:50:44.631 --> 00:50:46.112]  Radical Islam is real.
[00:50:46.112 --> 00:50:47.813]  They do attack people.
[00:50:47.813 --> 00:50:48.694]  They were involved.
[00:50:51.360 --> 00:51:08.713]  What piggybacked on the Islamists' planning it were a bunch of shadowy agencies and globalist operations that ordered to stand down and put bombs in the buildings and put bombs in Building 7 that was the second largest CIA headquarters in the world after Lanley, Virginia.
[00:51:12.526 --> 00:51:17.408]  And I interviewed the Deputy Head of Emergency Management, and a week later he was dead.
[00:51:17.408 --> 00:51:19.248]  He said, yeah, there were bombs, they told us.
[00:51:19.248 --> 00:51:28.851]  They were on the news saying, we're going to blow up Building 7, and then interviewed cops that said, yeah, it was over the Red Cross radios, get back, they're going to blow up Building 7.
[00:51:28.851 --> 00:51:31.452]  And then the media spun it that I said cops blew it up.
[00:51:31.452 --> 00:51:33.273]  The Red Cross didn't blow it up.
[00:51:33.273 --> 00:51:36.034]  Red Cross is the most secretive intelligence agency in the world.
[00:51:36.034 --> 00:51:37.634]  It's the oldest Western agency.
[00:51:37.634 --> 00:51:39.335]  It's about 700 years old at least.
[00:51:40.635 --> 00:51:42.036]  Well, the Hospitallers are even older.
[00:51:42.036 --> 00:51:43.256]  That's where the word hospital comes from.
[00:51:43.256 --> 00:51:45.157]  But that gets into a bunch of history.
[00:51:45.157 --> 00:51:47.098]  That's a Vatican secret society, the Hospitallers.
[00:51:47.098 --> 00:51:50.259]  But who can go behind enemy lines?
[00:51:50.259 --> 00:51:52.120]  Doctors, emergency people, the Red Cross.
[00:51:52.120 --> 00:51:53.100]  You know, you don't attack that.
[00:51:53.100 --> 00:51:54.381]  But what is really the Red Cross?
[00:51:54.381 --> 00:51:55.601]  That was the Crusader Cross.
[00:51:55.601 --> 00:51:56.782]  I'm not saying the Crusaders did it.
[00:51:56.782 --> 00:52:00.743]  My point is, I have the news clips.
[00:52:00.743 --> 00:52:01.804]  I've played them a hundred times.
[00:52:01.804 --> 00:52:02.624]  Anybody can pull them up.
[00:52:04.190 --> 00:52:14.210]  CNN on two channels, BBC on two channels, saying we're going to blow up building 7 so it doesn't fall, 47 story building, and hurt other buildings.
[00:52:15.583 --> 00:52:17.744]  I was driving that to have been on air all day long.
[00:52:17.744 --> 00:52:20.166]  I drove two miles to get a pizza.
[00:52:20.166 --> 00:52:23.508]  I'm listening to CBS Radio, back when we still had it, 20 years ago.
[00:52:23.508 --> 00:52:28.050]  And they announced on CBS, they're going to have a controlled demolition in five minutes.
[00:52:28.050 --> 00:52:31.372]  And I'm listening on the radio, they had a countdown!
[00:52:31.372 --> 00:52:34.074]  And they blew it up while I was eating pizza driving back!
[00:52:35.717 --> 00:52:44.459]  I run in on the microphone at my house, I was broadcasting on GCN like 20 hours live that day, and I run and I say, I just heard CBS say they blew up building 7, Solomon Brothers building.
[00:52:44.459 --> 00:52:51.061]  Everybody starts calling in, yeah we heard it too, but see, in 2001 nobody internet archived live shows.
[00:52:51.061 --> 00:52:54.942]  And then it became a conspiracy theory that I had said that.
[00:52:54.942 --> 00:53:01.184]  And I had Mother Jones and, you know, Time Magazine attack me and go, Jones claims a building was blown up.
[00:53:01.184 --> 00:53:02.464]  That just, that's not true.
[00:53:04.289 --> 00:53:11.876]  Then about six years later, the globalists don't even think, BBC and all of them start releasing on 9-11 the archives of the full day.
[00:53:13.812 --> 00:53:14.752]  And guess what?
[00:53:14.752 --> 00:53:21.314]  CBS, CNN, BBC, ABC, NPR.
[00:53:21.314 --> 00:53:22.134]  I made a film about it.
[00:53:22.134 --> 00:53:22.935]  I have it all in there.
[00:53:22.935 --> 00:53:24.275]  It's like 30 minutes of film.
[00:53:24.275 --> 00:53:28.996]  All announced that the government's going to blow up Building 7.
[00:53:28.996 --> 00:53:32.097]  Now, I don't know what really went on with 9-11.
[00:53:32.097 --> 00:53:37.799]  I just know I was shoving pizza in my face driving home 60 miles an hour on streets that were 20 miles an hour.
[00:53:37.799 --> 00:53:38.639]  I mean, I shouldn't have been.
[00:53:40.196 --> 00:53:44.039]  You're trying to get home to say, hey, they just blew up a building.
[00:53:44.039 --> 00:53:47.801]  You can't wire a building in a couple hours.
[00:53:47.801 --> 00:53:52.224]  So, you're tuning in, you're saying, Alex, what's this have to do with the coronavirus?
[00:53:52.224 --> 00:53:54.525]  And I'll get to all the technicals and go to your calls next hour.
[00:53:54.525 --> 00:53:58.868]  But this is what it has to do with it.
[00:53:58.868 --> 00:54:03.852]  I don't know exactly what happened with 9-11.
[00:54:03.852 --> 00:54:08.835]  I just know they blew up a 47-story building that day and then told us they never said it.
[00:54:10.612 --> 00:54:16.876]  And I've got all the newscasts saying it.
[00:54:16.876 --> 00:54:23.400]  And I've got newscasts, BBC jumped the gun an hour, 57 minutes, and said it had fallen before it did.
[00:54:25.526 --> 00:54:26.546]  Jane Graham here.
[00:54:26.546 --> 00:54:29.308]  The building has fallen to its exact footprint, pancaking.
[00:54:29.308 --> 00:54:36.411]  The Solomon Brothers, 47 stories, that would be the tallest building anywhere on the West Coast, has fallen due to fires.
[00:54:36.411 --> 00:54:41.433]  Right before they said, we're going to blow it up, she goes, no, actually, we're not blowing it up.
[00:54:41.433 --> 00:54:43.234]  It fell down.
[00:54:43.234 --> 00:54:45.695]  It's still standing.
[00:54:45.695 --> 00:54:50.217]  No building of that type had never fallen from fire.
[00:54:50.217 --> 00:54:52.478]  Underwater laboratories, all of them said it was impossible.
[00:54:53.629 --> 00:54:54.770]  You want me to play the news clips?
[00:54:54.770 --> 00:54:57.892]  I can play it where it's behind her and she says it's falling down.
[00:54:57.892 --> 00:55:00.113]  Yeah, here it is.
[00:55:00.113 --> 00:55:05.777]  So, this is the key to the riddle of the virus.
[00:55:05.777 --> 00:55:09.059]  I don't know exactly what's going on.
[00:55:09.059 --> 00:55:12.882]  But I know it's man-made with the HIV delivery system.
[00:55:14.141 --> 00:55:15.583]  Cut into it.
[00:55:15.583 --> 00:55:17.446]  And major universities have come out.
[00:55:17.446 --> 00:55:20.089]  And the Senate Intelligence Committee has come out and said that.
[00:55:20.089 --> 00:55:24.195]  And when we were reporting it six weeks ago, the news would go, Jones needs to be shut down.
[00:55:24.195 --> 00:55:25.196]  No one's saying it.
[00:55:25.196 --> 00:55:26.678]  I have all the reports you've seen.
[00:55:26.678 --> 00:55:29.922]  Everybody knows this.
[00:55:29.922 --> 00:55:30.964]  But you're not supposed to go there.
[00:55:33.186 --> 00:55:36.627]  Yeah, there's the Indian University scan, but other universities found the same thing.
[00:55:36.627 --> 00:55:54.354]  Other universities found, they had even better scanners, electron microscopes, with the CRISPR to analyze what they scanned, and they said, it's got the protein injection points, the slices, of when you plug it in, it leaves the residue.
[00:55:54.354 --> 00:55:56.355]  And it's exactly what the Indian University said.
[00:55:57.585 --> 00:56:00.026]  They've got some of the top scientists, as everybody knows.
[00:56:00.026 --> 00:56:02.227]  They said, this is like Frankenstein.
[00:56:02.227 --> 00:56:03.888]  It's cut in.
[00:56:03.888 --> 00:56:05.069]  It'd be like, I'm a white dude.
[00:56:05.069 --> 00:56:10.991]  If someone like grafted another head on, it was a black dude, you'd go, not only are you not supposed to have two heads, that's a black dude's head.
[00:56:10.991 --> 00:56:12.312]  That's not even the same thing.
[00:56:12.312 --> 00:56:13.132]  It's not even the same.
[00:56:13.132 --> 00:56:16.614]  I mean, folks, this is ridiculous.
[00:56:16.614 --> 00:56:19.155]  And then the hype and the unified propaganda.
[00:56:19.155 --> 00:56:23.757]  And I said, watch him say Trump didn't do anything and use it against him and the economy.
[00:56:23.757 --> 00:56:24.518]  And now they're doing that.
[00:56:26.553 --> 00:56:29.255]  It's fake, it's staged, it's synthetic.
[00:56:29.255 --> 00:56:30.996]  Doesn't mean the virus doesn't kill.
[00:56:30.996 --> 00:56:34.818]  I'm saying it's man-made, it was released, it's all plotted, it's all planned.
[00:56:34.818 --> 00:56:39.782]  Italy and South by Southwest and Big Tech that are all globalists, all leftists, leftists now run Italy.
[00:56:41.004 --> 00:56:52.996]  They're all using this as a cover for globalist martial law worldwide to turn the public against each other and to create hysteria and fights as the cover for driving Trump from office and other nationalists.
[00:56:52.996 --> 00:56:54.318]  And that's what this is.
[00:56:54.318 --> 00:56:55.419]  It's conclusive.
[00:56:55.419 --> 00:56:58.162]  And you can set your watch and warrant by it.
[00:56:58.162 --> 00:57:00.224]  You can bet your bottom dollar on it.
[00:57:00.224 --> 00:57:02.406]  This is big, bigger than 9-11.
[00:57:03.973 --> 00:57:07.176]  Real people died, but it was all a big spectacle.
[00:57:07.176 --> 00:57:08.497]  One plane hits, you all tune in.
[00:57:08.497 --> 00:57:10.739]  Another plane hits when everybody's watching.
[00:57:10.739 --> 00:57:11.680]  Then they collapse.
[00:57:11.680 --> 00:57:15.163]  Then you're so stunned, you don't notice these other buildings blown up around it.
[00:57:16.826 --> 00:57:18.567]  And countdowns to blow him up.
[00:57:18.567 --> 00:57:21.229]  And then all the wars and the police stayed out of it.
[00:57:21.229 --> 00:57:24.811]  And now the Islamic invasion of Europe was supposed to stop all that.
[00:57:24.811 --> 00:57:31.254]  And you sit there and you watch it and you go, oh, well this is meant to change our way of life.
[00:57:31.254 --> 00:57:32.675]  It's meant to totally take down the West.
[00:57:32.675 --> 00:57:33.616]  They're criticizing Trump.
[00:57:34.436 --> 00:57:42.784]  You know, just a month ago for trying to stop flights here, but the UN was praising China for killing people at checkpoints and praising Russia for closing their border.
[00:57:42.784 --> 00:57:44.625]  This was meant to hit us!
[00:57:44.625 --> 00:57:45.326]  We'll be right back.
[00:57:45.326 --> 00:57:46.027]  Hour number two.
[00:57:46.027 --> 00:57:47.067]  Stay with us and spread the word.
[00:57:49.853 --> 00:57:50.874]  Everybody's calling me.
[00:57:50.874 --> 00:57:58.219]  I'm getting constant streams of text messages and phone calls and family visiting the house saying, is coronavirus really deadly?
[00:57:58.219 --> 00:57:59.640]  How bad is it really?
[00:57:59.640 --> 00:58:02.341]  So I would encourage listeners, yes, go get high quality, storable foods.
[00:58:02.341 --> 00:58:05.403]  We have the only company, the biggest in the nation that actually still has food.
[00:58:05.403 --> 00:58:08.025]  It does take five to eight weeks to get it to you because they got to package it.
[00:58:08.025 --> 00:58:08.666]  They got the food.
[00:58:08.666 --> 00:58:13.049]  But I want to encourage listeners to do the most important thing, and that's drink purified water.
[00:58:13.049 --> 00:58:13.809]  That's pray.
[00:58:13.809 --> 00:58:14.510]  Let's get focused.
[00:58:14.510 --> 00:58:16.471]  Let's not be stressed out because you're prepared.
[00:58:16.471 --> 00:58:19.093]  And that's get DNA Force Plus, the PQQ and CoQ10,
[00:58:19.753 --> 00:58:20.073]  I think so.
[00:58:50.713 --> 00:58:59.437]  I always promote DNA Force Plus with PQQ and CoQ10 that cleans out the cells and empowers the telomeres and the mitochondria.
[00:58:59.437 --> 00:59:05.159]  It's the most powerful formula out there sold over-the-counter that is known to energize the body.
[00:59:05.159 --> 00:59:08.740]  I'm not going to jack up prices during crisis, but I am going to end up running out.
[00:59:08.740 --> 00:59:16.523]  So fund the info war, boost your immune system, and get things like X2 and X3, the absolute building block of the whole body, clean iodine, atomic,
[00:59:16.883 --> 00:59:17.663]  Powerful.
[00:59:17.663 --> 00:59:19.684]  Total booster in your whole life.
[00:59:19.684 --> 00:59:22.544]  Not just for immunity, but for libido, stamina, you name it.
[00:59:22.544 --> 00:59:25.705]  And you need to boost your immunity at InfoWareStore.com.
[00:59:25.705 --> 00:59:30.727]  With bodies, with DNA Force Plus, with Phyton Mineral Fusion, with Ultra 12 that's back in stock.
[00:59:30.727 --> 00:59:32.907]  And Turbo Force, by the way, just came back into stock.
[00:59:32.907 --> 00:59:34.087]  It just boosts everything.
[00:59:34.087 --> 00:59:35.348]  InfoWareStore.com.
[00:59:35.348 --> 00:59:36.408]  You fund the InfoWare.
[00:59:36.408 --> 00:59:37.988]  You fund the rebellion against the globalists.
[00:59:37.988 --> 00:59:40.589]  You get great prices and you boost your immune system.
[00:59:40.589 --> 00:59:41.669]  A total 360 win.
[00:59:41.669 --> 00:59:42.270]  Take action.
[00:59:42.270 --> 00:59:43.830]  InfoWareStore.com today.
[00:59:44.230 --> 00:59:47.495]  Just as important as food is boosting you and your family's immune system.
[00:59:47.495 --> 00:59:55.968]  InfoWarsStore.com You're listening to the Alex Jones Show!
[01:00:10.470 --> 01:00:26.455]  Bring in, from the Infowars.com News Center, deep behind enemy lines in occupied Texas, broadcasting worldwide, you're listening to the voice of human resistance against the technotronic technocracy takeover.
[01:00:26.455 --> 01:00:28.015]  That's right.
[01:00:28.015 --> 01:00:30.336]  You're listening to Alex Jones.
[01:00:30.336 --> 01:00:32.036]  Burning inside!
[01:00:32.036 --> 01:00:33.637]  Burning inside!
[01:00:33.637 --> 01:00:34.557]  Burning inside!
[01:00:39.025 --> 01:00:44.082]  You're either alive and burning with liberty, or you're burning up with evil.
[01:01:02.173 --> 01:01:02.833]  You know, it's great.
[01:01:02.833 --> 01:01:07.294]  We did inspire, um, Ministry in those last good albums they did.
[01:01:07.294 --> 01:01:10.175]  And had, uh, we had a Ministry on a few times.
[01:01:10.175 --> 01:01:12.555]  They say two people will survive a nuclear war.
[01:01:12.555 --> 01:01:13.035]  Two things.
[01:01:13.035 --> 01:01:18.977]  That's cockroaches and the lead singer of, uh, Ministry.
[01:01:18.977 --> 01:01:19.977]  Burning inside.
[01:01:19.977 --> 01:01:21.537]  Oh, here it is.
[01:01:21.537 --> 01:01:22.877]  Here's the best part.
[01:01:22.877 --> 01:01:24.178]  We have another liner comes in with this.
[01:01:24.178 --> 01:01:28.258]  It goes, from the front lines of the information war.
[01:01:28.258 --> 01:01:29.819]  Then he goes, love it.
[01:01:29.819 --> 01:01:30.779]  We'll play that next segment when we can.
[01:01:34.403 --> 01:01:36.845]  Listen, I'm gonna keep listening to it so we have to turn it off.
[01:01:36.845 --> 01:01:41.527]  I've had some fun since junior high listening to ministry.
[01:01:41.527 --> 01:01:43.008]  I was a very good choir boy.
[01:01:43.008 --> 01:01:45.890]  I said all my prayers.
[01:01:45.890 --> 01:01:47.391]  I was always very good.
[01:01:47.391 --> 01:01:52.353]  I never had any fun listening to ministry.
[01:01:52.353 --> 01:01:54.995]  Driving through cornfields at 100 miles an hour in a Jeep when I was 12.
[01:01:54.995 --> 01:01:57.216]  All right, let's stop right there.
[01:01:57.216 --> 01:02:00.838]  And who knows what we were doing?
[01:02:00.838 --> 01:02:02.199]  We're not cool like Timothy Leary.
[01:02:03.004 --> 01:02:06.265]  Who knows what we were up to.
[01:02:06.265 --> 01:02:07.745]  Alright, I'm going to stop.
[01:02:07.745 --> 01:02:10.486]  Your calls are lined up and we really look forward to taking them.
[01:02:10.486 --> 01:02:14.227]  And I'll get to Craig and Brandon and Joni.
[01:02:14.227 --> 01:02:15.207]  Great cousin named Joni.
[01:02:15.207 --> 01:02:16.848]  Maybe that's Joni from Texas.
[01:02:16.848 --> 01:02:23.329]  And Jim and Ron and Andy and Matt and Wesley and Paul and Taylor and Lisa.
[01:02:23.329 --> 01:02:26.310]  We're going to get to every single one of you here today.
[01:02:28.442 --> 01:02:32.043]  And then John Bounce shot a first-rate report that really needs to be seen.
[01:02:32.043 --> 01:02:37.305]  It's at Bandai Video, dealing with the fact that it could cripple our medical system.
[01:02:37.305 --> 01:02:39.286]  Coronavirus could implode the healthcare system.
[01:02:39.286 --> 01:02:42.988]  That's really what it's designed to do, especially with what people demand here.
[01:02:42.988 --> 01:02:43.688]  They want so much.
[01:02:43.688 --> 01:02:50.511]  In China, they just say... By the way, did we ever get the footage of the major apartment building collapsed in China?
[01:02:50.511 --> 01:02:56.173]  Where they were making coronavirus people quarantine?
[01:02:57.735 --> 01:02:58.776]  They probably blew that up.
[01:02:58.776 --> 01:03:04.020]  I mean, you don't just think a building just collapses because there's people inside.
[01:03:04.020 --> 01:03:05.841]  And they're not letting them take the garbage out?
[01:03:05.841 --> 01:03:07.743]  How's garbage gets in, garbage doesn't get out?
[01:03:07.743 --> 01:03:10.424]  Maybe there's so much garbage, and then the whole building collapsed.
[01:03:10.424 --> 01:03:11.405]  I don't know, man.
[01:03:11.405 --> 01:03:12.706]  All I know is all hell's breaking loose.
[01:03:12.706 --> 01:03:14.047]  There's another report Gregory did.
[01:03:14.047 --> 01:03:17.229]  It already aired during the week, but man, it is so good.
[01:03:17.229 --> 01:03:21.693]  Looking at how coronavirus is the death of globalism, not the death of the nation state.
[01:03:21.693 --> 01:03:24.615]  But they're trying to spin the whole thing like globalism is the answer.
[01:03:27.208 --> 01:03:28.789]  This is the big takeaway.
[01:03:28.789 --> 01:03:31.291]  This is a major World War event.
[01:03:31.291 --> 01:03:32.773]  This is 21st century warfare.
[01:03:32.773 --> 01:03:35.575]  This is how new wars are fought in the 21st century.
[01:03:35.575 --> 01:03:37.236]  It is man-made.
[01:03:37.236 --> 01:03:39.538]  And we need a major debate about that in the news.
[01:03:39.538 --> 01:03:46.244]  And we need that issue forced out into the open.
[01:03:52.614 --> 01:03:55.435]  We need that, because they don't want us on air.
[01:03:55.435 --> 01:03:57.997]  They don't want you able to call in on air.
[01:03:57.997 --> 01:04:01.198]  And I'm not being patronizing, like, they don't want you to be able to call in.
[01:04:01.198 --> 01:04:10.363]  The show's important because you guys bring up stuff that I never even would have thought of, or I meant to cover, and you bring it up right at the perfect time.
[01:04:10.363 --> 01:04:15.085]  That's why I'm trying to get the show more caller-based, because it's just amazing.
[01:04:15.085 --> 01:04:16.826]  Those are the shows I like to listen to and rebroadcast.
[01:04:17.611 --> 01:04:23.056]  Only frustration is I've got to add comments, and you've got to add comments, or add pleasantries, and then we don't get to everybody.
[01:04:23.056 --> 01:04:30.423]  So when we come back, I'll hit a few new items with the coronavirus, give you my statements, then we're going to go to your phone calls.
[01:04:30.423 --> 01:04:33.686]  Bam, bam, bam, wham, slam.
[01:04:33.686 --> 01:04:34.827]  Thank you, ma'am.
[01:04:34.827 --> 01:04:36.408]  We're going to get to it.
[01:04:36.408 --> 01:04:39.651]  Got a lot of cable to fix here, as they say, in the
[01:04:40.552 --> 01:04:42.134]  Big Lebowski, you know what?
[01:04:42.134 --> 01:04:43.856]  You can guess what happens next.
[01:04:43.856 --> 01:04:45.798]  Yeah, he fixes the cable.
[01:04:45.798 --> 01:04:48.320]  And I gotta get out of here and go fix cable myself.
[01:04:48.320 --> 01:04:50.442]  Doing a lot of cable repair jobs today.
[01:04:50.442 --> 01:04:51.984]  Like a boxer, I probably should.
[01:04:51.984 --> 01:04:56.168]  But I admit it, the good Lord has given us a lot of good things in this world.
[01:04:56.168 --> 01:04:57.570]  And I am a cable man.
[01:04:59.454 --> 01:05:00.295]  Rich in Alabama.
[01:05:00.295 --> 01:05:01.196]  Rich, thanks for calling.
[01:05:01.196 --> 01:05:02.176]  Hi, Mr. Jones.
[01:05:02.176 --> 01:05:02.937]  Appreciate it.
[01:05:02.937 --> 01:05:05.599]  First thing, I love the turbo force.
[01:05:05.599 --> 01:05:09.162]  I drive truck for a living, and it's amazing.
[01:05:09.162 --> 01:05:14.007]  Coffee kind of gives you a little crash there at the end, but that turbo force is amazing.
[01:05:14.007 --> 01:05:15.628]  How is turbo force different than coffee?
[01:05:16.569 --> 01:05:21.276]  I'll tell you what, it's sustainable anywhere from 8-10 hours.
[01:05:21.276 --> 01:05:25.001]  I don't feel the jitters like I do drinking coffee.
[01:05:25.001 --> 01:05:28.867]  And it's just, you know, at the end of the day, I don't need anything to go to bed.
[01:05:28.867 --> 01:05:32.212]  I'll, you know, I'll pop a knockout and I'm out cold.
[01:05:32.712 --> 01:05:39.715]  Well, that's when we went out to a top developer who didn't want his name on it, and I said, what would the ultimate long, say, 10-hour energy be?
[01:05:39.715 --> 01:05:41.015]  Is that possible?
[01:05:41.015 --> 01:05:46.877]  That's good and clean and strong and has a bunch of different forms of energy that are healthy and natural that are time-released.
[01:05:46.877 --> 01:05:50.219]  And there's more money in it than anybody else puts in their product.
[01:05:50.219 --> 01:05:53.540]  So, that's why TurboForce has such a great effect.
[01:05:53.540 --> 01:05:56.201]  And so, I really appreciate you, and I'm glad that you like TurboForce.
[01:06:13.601 --> 01:06:14.802]  For your mind.
[01:06:14.802 --> 01:06:16.923]  The Alex Jones Show.
[01:06:16.923 --> 01:06:18.083]  Because there is a war on.
[01:06:18.083 --> 01:06:18.703]  For your mind.
[01:06:18.703 --> 01:06:23.946]  I am 100% 20-20 clear that the coronavirus has been made, that Communist China working with globalist clients and different factions launched it,
[01:06:41.772 --> 01:06:48.515]  To cover up their defeat in the trade war, try to shut down Taiwan and try to embarrass President Trump and bring down the U.S.
[01:06:48.515 --> 01:06:57.498]  economy, because in the trade war with China we brought down theirs because it was so one-sided, because they were engaged in military operations financially against us.
[01:06:57.498 --> 01:07:00.660]  America is at war with Communist China, with Hollywood and the left.
[01:07:01.540 --> 01:07:05.103]  They openly say America was never great, it will never be great.
[01:07:05.103 --> 01:07:17.592]  And anyone that sides with the Chai Khans or Hollywood, blaming President Trump or blaming America with this virus, is engaged in acts of aiding and abetting the enemy in a time of war.
[01:07:17.592 --> 01:07:19.193]  That's fact!
[01:07:19.193 --> 01:07:21.875]  You know, you've got your free speech all day and I back it 100%!
[01:07:21.875 --> 01:07:22.375]  Until you work for
[01:07:27.372 --> 01:07:32.776]  The Chinese, the Russians, the EU, some globalist operation.
[01:07:32.776 --> 01:07:39.762]  And if I found any evidence of Russians being involved in our business, I'd come after them so fast it'd make your head spin.
[01:07:39.762 --> 01:07:43.805]  Faster than that twinkle in your mother's eye when she met your father.
[01:07:43.805 --> 01:07:45.767]  I'm about as Russian as I am an Easter Bunny.
[01:07:46.929 --> 01:07:53.057]  They're not involved in anything but trying to stabilize their country and kick out the same globalists we're under attack by.
[01:07:53.057 --> 01:08:01.086]  So in that, Putin has been a trailblazer, and I salute him for his fight for his nation and his people in fighting the sexualization of their children, and I wish Russia well.
[01:08:02.190 --> 01:08:03.611]  I wish the Chinese people well.
[01:08:03.611 --> 01:08:06.173]  They are under incredible communist control.
[01:08:06.173 --> 01:08:10.497]  Their government's killed more of their people than Hitler and Stalin and Mao.
[01:08:10.497 --> 01:08:12.258]  Well, Hitler and Stalin could ever imagine.
[01:08:12.258 --> 01:08:16.461]  Mao killed 80 million of those or so, another 20 million or so.
[01:08:16.461 --> 01:08:19.764]  The Chinese government admits were killed by other Chinese communist leaders.
[01:08:19.764 --> 01:08:25.648]  But the Chai Koms have killed more than Hitler, Stalin, and Lenin combined.
[01:08:25.648 --> 01:08:27.250]  It's incredible.
[01:08:27.250 --> 01:08:28.651]  And it's just accepted now.
[01:08:28.651 --> 01:08:29.791]  And of course it comes out in the news.
[01:08:30.578 --> 01:08:33.624]  That's Trump pushing back now.
[01:08:33.624 --> 01:08:41.879]  Nike and Apple have slave factories where 2 million Muslims are in slave camps?
[01:08:41.879 --> 01:08:42.560]  In Mongolia?
[01:08:44.008 --> 01:08:47.831]  And again, I don't want to be under Islam, but I don't want to exterminate Muslims.
[01:08:47.831 --> 01:08:51.775]  And the Mongolian Muslims are, like, nice.
[01:08:51.775 --> 01:08:59.361]  And it's not their fault 800 years ago Muslims came into Mongolia and took it over, like Pakistan or other areas.
[01:08:59.361 --> 01:09:00.482]  They're not expansionists.
[01:09:00.482 --> 01:09:01.884]  They were doing crap to the Chai Koms.
[01:09:04.209 --> 01:09:20.528]  And the Chi-Coms have two million of them in death camps with public executions on video and they're making Apple accessories and Google accessories and it's all just, oh well, it's okay because the head of Google is Indian and you know, the head of Apple's gay.
[01:09:20.528 --> 01:09:24.393]  It's like, well, if you run death camps, as long as you hop around and go, ugh.
[01:09:26.801 --> 01:09:29.862]  Imagine you run giant death camps.
[01:09:29.862 --> 01:09:34.783]  If Hitler wore a pink outfit and like sashayed around like, I like weenies.
[01:09:34.783 --> 01:09:36.063]  Sorry, I'm ranting here, folks.
[01:09:36.063 --> 01:09:37.464]  I mean, I'm sorry.
[01:09:37.464 --> 01:09:42.045]  Seriously, if Hitler did gay porn, they'd say just murder everybody.
[01:09:42.045 --> 01:09:43.705]  Hell, son, go ahead.
[01:09:43.705 --> 01:09:49.527]  I mean, this is ridiculous.
[01:09:49.527 --> 01:09:50.667]  This is out of control.
[01:09:56.032 --> 01:10:04.276]  And it's not based in reality, but that shows how the left, with successive approximation, the Bible talks about giving over to grand delusion.
[01:10:04.276 --> 01:10:08.738]  And once you accept that 2 plus 2 equals 10, well you'll accept anything!
[01:10:09.642 --> 01:10:29.711]  And once you accept that a man can have a baby, like CNN says, and once you accept that biological men can win the Olympic running, and the high school, and the college, and the wrestling, and the... I mean, I've watched these videos of a huge, like, 270-pound dude that I'd be worried about just ramming down small women in rugby.
[01:10:32.577 --> 01:10:34.959]  And it's hailed as the most brave thing ever.
[01:10:34.959 --> 01:10:42.665]  Or in the UFC, a biological man gets in the ring and beats the snot out of women.
[01:10:42.665 --> 01:10:44.987]  I mean, breaks their jaws, their noses.
[01:10:44.987 --> 01:10:49.531]  It's just a man, just like, both fists together, just hammering women.
[01:10:49.531 --> 01:10:53.014]  And they go, oh, and I see the headlines.
[01:10:53.014 --> 01:10:58.058]  It's the most brave thing ever.
[01:10:58.058 --> 01:11:01.181]  If they can get you to accept that,
[01:11:03.646 --> 01:11:06.487]  Well, of course you're gonna accept Joe Biden.
[01:11:06.487 --> 01:11:10.968]  And when Joe Biden goes live now, on purpose, I tune in.
[01:11:10.968 --> 01:11:16.150]  Because it's a gaffe every 10... I mean, he can't talk!
