[00:00:05.603 --> 00:00:07.105]  Mark your calendars.
[01:59:47.969 --> 01:59:48.770]  I'm intimidating?
[01:59:50.563 --> 01:59:54.325]  The 4th of July 2020 special has gone into high gear.
[01:59:54.325 --> 01:59:59.607]  We have 50% off, BODY's really strong extract of turmeric formula.
[01:59:59.607 --> 02:00:00.668]  It's been sold out for months.
[02:00:00.668 --> 02:00:01.728]  That's back in stock.
[02:00:01.728 --> 02:00:06.031]  DNA Force Plus with the PQQ, the CoQ10, so good for your cells, so amazing.
[02:00:06.031 --> 02:00:07.671]  That's back in stock, 50% off.
[02:00:07.671 --> 02:00:10.053]  Winter Sun's been sold out for over three months.
[02:00:10.053 --> 02:00:10.733]  It's back in stock.
[02:00:10.933 --> 02:00:13.534]  Pure, high-quality vitamin D3.
[02:00:13.534 --> 02:00:14.395]  Take it under the tongue.
[02:00:14.395 --> 02:00:15.495]  Greater absorption.
[02:00:15.495 --> 02:00:16.536]  So good for your whole body.
[02:00:16.536 --> 02:00:17.496]  So essential.
[02:00:17.496 --> 02:00:18.357]  That's back in stock.
[02:00:18.357 --> 02:00:19.397]  Ultra 12.
[02:00:19.397 --> 02:00:20.317]  Super high-quality B12.
[02:00:20.317 --> 02:00:21.798]  Again, take it under the tongue.
[02:00:21.798 --> 02:00:23.079]  That is back in stock.
[02:00:23.079 --> 02:00:23.939]  Survival Shield X2.
[02:00:23.939 --> 02:00:25.620]  Niacin Iodine Spray.
[02:00:25.620 --> 02:00:26.280]  33% off.
[02:00:26.280 --> 02:00:27.041]  And so much more.
[02:00:27.981 --> 02:00:38.924]  So I want to thank you all for this July 4th coming up, for standing with us, and I want to invite you to take advantage of these great deals and great products that enrich yourself and your family's life, and also fund Hardcore Truth.
[02:00:38.924 --> 02:00:40.244]  Again, take action.
[02:00:40.244 --> 02:00:43.425]  Big 4th of July sales right now at InfoWareStore.com.
[02:00:43.425 --> 02:00:45.146]  We could not have done this without you.
[02:00:45.146 --> 02:00:49.067]  I thank you for your continued prayer, your focus, and your support.
[02:00:49.067 --> 02:00:50.107]  Again, I salute you all.
[02:01:01.315 --> 02:01:05.680]  If you are receiving this transmission, you are the resistance.
[02:01:05.680 --> 02:01:08.022]  You're listening to Alex Jones.
[02:01:16.252 --> 02:01:31.784]  All right, I have literally hundreds of amazing stories to break down here, but I just want to point you again to Infowars.com, Newswars.com, and Bandai Video, where the state of Texas confirms they've been ordered to falsify the number of COVID cases at least 15 times.
[02:01:31.784 --> 02:01:40.250]  And that they're not testing to see if someone has COVID, but if you have a runny nose or a sore throat, they say you have COVID, and then anyone around you, they then count as COVID.
[02:01:40.250 --> 02:01:42.272]  The lowest number is 15 additional people.
[02:01:43.143 --> 02:01:51.465]  So based on fraudulent non-testing, they then create a nexus point to create 15 more people, bare minimum.
[02:01:51.465 --> 02:01:54.566]  State of Texas has put the documents out.
[02:01:54.566 --> 02:01:56.147]  If we put up with this, we deserve what we get.
[02:01:56.147 --> 02:01:57.847]  I mean, Fauci is an outrageous criminal.
[02:01:57.847 --> 02:02:01.548]  We're going to show you a video in a moment of Fauci at the congressional hearing.
[02:02:01.548 --> 02:02:03.729]  As soon as the hearing's over, he takes the mask off.
[02:02:03.729 --> 02:02:07.170]  It's a little clown mask he wears to look, oh, I'm Fauci.
[02:02:07.170 --> 02:02:08.530]  Oh, Trump needs to wear it.
[02:02:08.530 --> 02:02:09.690]  Oh, look, Pence is good.
[02:02:09.690 --> 02:02:10.671]  He wore it.
[02:02:10.671 --> 02:02:11.511]  Disgusting!
[02:02:12.762 --> 02:02:18.889]  They said 2.5 million will be dead, then 2.2 million, then 1.7 million, then 1 million, then 500,000 by now.
[02:02:18.889 --> 02:02:25.916]  And now they are on Fox News yesterday saying 30,000 will die by November election if we don't do it.
[02:02:25.916 --> 02:02:27.138]  Save the 30,000.
[02:02:27.138 --> 02:02:29.240]  Save your grandmother.
[02:02:29.240 --> 02:02:31.502]  Save those that could be killed by it.
[02:02:31.502 --> 02:02:33.725]  That's where they ship people with COVID is to your grandmother to kill her.
[02:02:35.902 --> 02:02:38.523]  I mean, this hoax is going down fast.
[02:02:38.523 --> 02:02:43.526]  And the left, where I live in Austin, is running around screaming and cussing at people who aren't wearing masks.
[02:02:43.526 --> 02:02:44.867]  I mean, it happened to me this morning.
[02:02:44.867 --> 02:02:47.328]  They're like, through the window.
[02:02:47.328 --> 02:02:50.650]  I look over, this guy's like, F you, F you, wearing his mask.
[02:02:50.650 --> 02:02:51.891]  And I'm like, you know who I am?
[02:02:51.891 --> 02:02:53.191]  No, wear a mask!
[02:02:53.191 --> 02:02:54.932]  Because he's a hero, see?
[02:02:54.932 --> 02:02:56.553]  And I'm a bad man.
[02:02:56.553 --> 02:02:59.815]  In my car, with my windows up, and he's in La La Land.
[02:03:06.977 --> 02:03:09.618]  I want to play this clip.
[02:03:09.618 --> 02:03:13.600]  This is out of... It's a long clip.
[02:03:13.600 --> 02:03:15.521]  I'll just play a little bit of it.
[02:03:15.521 --> 02:03:19.122]  And I hope it's bleep, because last night when I was up here at the office, I said, please bleep it.
[02:03:19.122 --> 02:03:19.803]  We'll see what happens.
[02:03:19.803 --> 02:03:23.324]  Because I want anything put in the file to be bleep.
[02:03:23.324 --> 02:03:23.984]  Nothing against the crew.
[02:03:23.984 --> 02:03:24.545]  They're great people.
[02:03:24.545 --> 02:03:28.266]  It just keeps happening, so I kind of get nervous when a new clip's in.
[02:03:28.266 --> 02:03:32.748]  And it's in Seattle, and poor little woman cuts this guy off, flips him off, yells at him.
[02:03:32.748 --> 02:03:33.729]  So he pulls him behind her.
[02:03:33.729 --> 02:03:34.489]  Not a good idea.
[02:03:36.462 --> 02:03:43.346]  But she then goes into this Karen event, I tell you, with a dog in Central Park and starts just totally spazzing out.
[02:03:43.346 --> 02:03:47.588]  So this is kind of the collapse of evolution here and what these Karens turn into.
[02:03:47.588 --> 02:03:51.951]  So here it is.
[02:03:51.951 --> 02:03:55.073]  Karen, are you okay?
[02:03:55.073 --> 02:03:58.955]  Can you explain to me calmly?
[02:03:58.955 --> 02:04:00.256]  I'm not attacking you.
[02:04:00.256 --> 02:04:01.616]  Ma'am, you flicked me off.
[02:04:03.462 --> 02:04:05.163]  Guys, this is her license plate number.
[02:04:05.163 --> 02:04:06.124]  She lives here.
[02:04:06.124 --> 02:04:09.326]  This is her address.
[02:04:09.326 --> 02:04:12.148]  Karen, you flipped me off.
[02:04:12.148 --> 02:04:16.911]  You cut me off and flipped me off and now you're playing the victim.
[02:04:16.911 --> 02:04:18.232]  Ma'am, would you like to calm down?
[02:04:21.205 --> 02:04:23.106]  Guys, she flipped me off.
[02:04:23.106 --> 02:04:25.826]  She literally flipped me off and then she... Let's hit pause.
[02:04:25.826 --> 02:04:28.047]  This guy was a Postmates food delivery driver.
[02:04:28.047 --> 02:04:29.627]  She caught him off, flipped him out.
[02:04:29.627 --> 02:04:32.108]  Reportedly, there's witnesses too.
[02:04:32.108 --> 02:04:35.948]  He still got in trouble and got fired from his job, we're told.
[02:04:35.948 --> 02:04:38.369]  But again, this is the type of hysteria.
[02:04:38.369 --> 02:04:47.751]  And this morning, it wasn't a female Karen, it was a male Karen, threw... he has his window down, screaming and cussing and hyperventilating at me.
[02:04:49.289 --> 02:04:58.116]  At an access road to a highway, and I look over and he's flipping me off that I don't have a mask on.
[02:04:58.116 --> 02:04:59.257]  This is the cult.
[02:04:59.257 --> 02:05:01.159]  Let's continue.
[02:05:01.159 --> 02:05:03.461]  Karen, would you like to calm down and have a conversation?
[02:05:03.461 --> 02:05:06.543]  Why are you?
[02:05:06.543 --> 02:05:09.606]  Am I attacking her?
[02:05:09.606 --> 02:05:11.307]  Ma'am, I'm not attacking you.
[02:05:11.307 --> 02:05:14.090]  You flipped me off and you thought you could get away with it.
[02:05:14.090 --> 02:05:15.451]  You didn't think I would find you.
[02:05:29.370 --> 02:05:31.310]  I'm trying to talk to you.
[02:05:31.310 --> 02:05:32.311]  My name is Carlos.
[02:05:32.311 --> 02:05:35.412]  Would you like to speak to me?
[02:05:35.412 --> 02:05:37.092]  This is what we get.
[02:05:37.092 --> 02:05:41.454]  Ma'am, why are you sitting here crying?
[02:05:41.454 --> 02:05:42.354]  What have I done to you?
[02:05:44.517 --> 02:05:45.457]  It's like a coyote.
[02:05:45.457 --> 02:05:46.358]  You ever heard of coyotes?
[02:05:46.358 --> 02:05:48.199]  They're like wolves.
[02:05:48.199 --> 02:05:49.719]  They're like, ooooh!
[02:05:49.719 --> 02:05:51.200]  They cut me off!
[02:05:51.200 --> 02:05:54.422]  So you didn't flip me off!
[02:05:54.422 --> 02:05:56.863]  By the way, he says he called them the N-word, too.
[02:05:56.863 --> 02:06:00.704]  Which I believe, because I've never heard right-wingers or people call people the N-word.
[02:06:00.704 --> 02:06:01.665]  I've never heard it.
[02:06:01.665 --> 02:06:03.866]  But the left is, like, obsessed with it.
[02:06:03.866 --> 02:06:07.227]  I've been out in Hollywood many times with major Hollywood stars.
[02:06:07.227 --> 02:06:11.710]  And they just start talking crap about black people.
[02:06:11.710 --> 02:06:12.730]  And other people.
[02:06:14.585 --> 02:06:16.385]  And you're like, are you trying to see if I'm in your club?
[02:06:16.385 --> 02:06:17.386]  Because I'm not in that club.
[02:06:17.386 --> 02:06:21.887]  If I'm going to call somebody by name, it's to their face.
[02:06:21.887 --> 02:06:23.867]  And again, I believe it.
[02:06:23.867 --> 02:06:25.988]  He says he called her the n-word as well.
[02:06:25.988 --> 02:06:29.508]  Here, let's go ahead and continue with the freaking out.
[02:06:29.508 --> 02:06:30.489]  You cannot sit.
[02:06:30.489 --> 02:06:32.829]  She literally flipped me off.
[02:06:32.829 --> 02:06:34.170]  She cut me off.
[02:06:34.170 --> 02:06:35.550]  I have it on camera.
[02:06:37.242 --> 02:06:42.064]  She flipped me off three blocks away, and then she slammed on her brakes.
[02:06:42.064 --> 02:06:43.724]  I have it on my Instagram.
[02:06:43.724 --> 02:06:44.764]  And then I got on my car.
[02:06:44.764 --> 02:06:46.665]  I'm like, ma'am, why are you following me?
[02:06:46.665 --> 02:06:48.006]  She literally followed me.
[02:06:48.006 --> 02:06:50.967]  So then I followed her back home.
[02:06:50.967 --> 02:06:55.928]  And I said, ma'am, why are you being harassing me?
[02:06:55.928 --> 02:06:57.309]  Ma'am, let's just stop there.
[02:06:57.309 --> 02:06:58.149]  Turn it off.
[02:06:58.149 --> 02:06:59.969]  And look, he shouldn't have followed her.
[02:06:59.969 --> 02:07:01.290]  His name is Carlos Dillard.
[02:07:03.029 --> 02:07:05.971]  But I'll be honest, I shouldn't have rolled the window down and been yelling back at these people today.
[02:07:05.971 --> 02:07:15.676]  I mean, I was laughing at them, but the left wants to make you behave and do what they say, because they can't run their own lives.
[02:07:15.676 --> 02:07:19.358]  That's what all this is about, and it's getting crazier and crazier.
[02:07:19.358 --> 02:07:21.779]  I mentioned this, we have a special guest coming up.
[02:07:21.779 --> 02:07:24.961]  The article is Environmental Progress on behalf of environmentalists.
[02:07:24.961 --> 02:07:26.602]  I apologize for the climate scare.
[02:07:28.286 --> 02:07:44.533]  And his name is Michael Schnellenberg, and he's a very well-known author and environmentalist who spent decades in the rainforests and everywhere else, and he now comes out and says, it's all a cult, it's all a fraud, it almost destroyed my family, it turned my daughter into a mental patient.
[02:07:44.533 --> 02:07:46.094]  And he said it's all based on lies.
[02:07:46.094 --> 02:07:51.636]  Carbon dioxide's good, a heating earth is good, even though it hasn't really heated.
[02:07:51.636 --> 02:07:56.939]  And I apologize, this covers up for the genetic engineering, the leaking reactors,
[02:07:58.300 --> 02:07:58.840]  He gets it.
[02:07:58.840 --> 02:08:00.601]  I mean, because let me tell you, I care about the environment.
[02:08:00.601 --> 02:08:03.001]  We're all in it.
[02:08:03.001 --> 02:08:06.722]  Major environmental groups feel radiation is good now because it gets rid of humans.
[02:08:06.722 --> 02:08:08.582]  It gets rid of everything.
[02:08:08.582 --> 02:08:12.243]  And I'm not against nuclear power, except it's never been implemented correctly.
[02:08:12.243 --> 02:08:13.164]  They all leak.
[02:08:13.164 --> 02:08:15.524]  They all suck.
[02:08:15.524 --> 02:08:22.306]  And genetic engineering out of control, toxic waste dumping, overfishing, plastic dumping, all that stuff's real.
[02:08:22.306 --> 02:08:25.366]  But this stuff about carbon dioxide is a joke.
[02:08:25.366 --> 02:08:27.547]  We have the lowest level of carbon dioxide ever recorded.
[02:08:28.812 --> 02:08:31.454]  It's super low, ladies and gentlemen.
[02:08:31.454 --> 02:08:35.156]  Plants used to have dozens of times higher carbon dioxide.
[02:08:35.156 --> 02:08:38.879]  You know it's not 1%, right?
[02:08:38.879 --> 02:08:40.300]  And then they let off the oxygen.
[02:08:40.300 --> 02:08:42.521]  Oxygen's low on the planet.
[02:08:42.521 --> 02:08:46.964]  It's like humans took over and woke up right when the planet was dying, like Mars.
[02:08:46.964 --> 02:08:53.329]  A lot of evidence shows Mars had oceans on it, but it wasn't a big enough planet to hold its atmosphere, and it lost its atmosphere.
[02:08:54.206 --> 02:08:55.567]  Well, let's not lose our atmosphere.
[02:08:55.567 --> 02:08:59.668]  It's a very powerful article where he lays out all the facts.
[02:08:59.668 --> 02:09:01.269]  It's posted on Infowars.com.
[02:09:01.269 --> 02:09:03.110]  I hope you research it and look at it.
[02:09:03.110 --> 02:09:12.354]  But, coming up, ladies and gentlemen, on the other side, Christina Gomez, who knocked it out of the park.
[02:09:12.354 --> 02:09:17.676]  We're going to play her speech to the, what was it, Palm Beach County Commissioner.
[02:09:17.676 --> 02:09:19.197]  She annihilated them.
[02:09:21.061 --> 02:09:33.713]  And now on top of what she exposed, because that's right where they cover up the pedophile rings, with Jeffrey Epstein right there, Berlin says 30,000 pedophiles connected to the government running kidnapped children for sex rings.
[02:09:33.713 --> 02:09:34.554]  Wow!
[02:09:34.554 --> 02:09:36.816]  BBC, look at that headline.
[02:09:36.816 --> 02:09:37.377]  Wow!
[02:09:37.377 --> 02:09:39.999]  Praise God, praise Jesus for that one.
[02:09:39.999 --> 02:09:42.802]  The Father, the Son, the Holy Ghost!
[02:09:42.802 --> 02:09:43.343]  I'm loving it!
[02:09:44.440 --> 02:09:47.603]  Because their whole house of cards is coming down and that's why they're so scared.
[02:09:47.603 --> 02:09:48.924]  That's why they shut the economy down.
[02:09:48.924 --> 02:09:51.106]  That's why they're trying to cause race wars.
[02:09:51.106 --> 02:09:52.567]  And that's why they're so damn scared.
[02:09:52.567 --> 02:09:53.708]  And so let's not be overconfident.
[02:09:53.708 --> 02:09:55.830]  Let's trust in God.
[02:09:55.830 --> 02:10:09.082]  And let's pass the ammunition when it comes to the info war and realize that when you share an article or a video or information via text message, word of mouth, however you do it, those are the areas that aren't censored completely yet, it changes the world.
[02:10:09.082 --> 02:10:10.023]  And they're so scared.
[02:10:11.016 --> 02:10:25.930]  That 120,000 people since this morning have seen our new report confirming the CDC and NIH faked the numbers at least 15 times the COVID numbers and call those they call potential cases, cases to create fear.
[02:10:25.930 --> 02:10:27.592]  It's at man.video, the featured video.
[02:10:29.122 --> 02:10:32.446]  Only you can prevent new old order takeovers.
[02:10:32.446 --> 02:10:34.428]  Only you can prevent forest fires.
[02:10:34.428 --> 02:10:36.611]  Well, only you can carry the ball.
[02:10:36.611 --> 02:10:45.641]  So please, for myself and you and all of us together, get it out on your email list every way you can and override these globalists and break their will.
[02:10:45.641 --> 02:10:46.702]  We'll be right back.
[02:10:46.702 --> 02:10:47.203]  Stay with us.
[02:10:49.659 --> 02:10:54.902]  This is a pandemic survival alert, and the most time-sensitive messages you will hear this year.
[02:10:54.902 --> 02:11:00.846]  You still have time to plant a one-acre crisis garden and secure a supply of your own nutrient-dense food.
[02:11:00.846 --> 02:11:04.409]  But time is running out, and it's one deadline you don't want to miss.
[02:11:04.409 --> 02:11:06.110]  Who should plant a crisis garden?
[02:11:06.110 --> 02:11:11.533]  Individuals, families, churches, communities, anyone or any group that sees hard times ahead.
[02:11:11.533 --> 02:11:18.297]  Let's face it, even the mainline media is talking about food supply disruptions and the growing number of grocery store workers who are becoming sick.
[02:11:18.297 --> 02:11:18.978]  But there's more.
[02:11:19.198 --> 02:11:25.201]  Meat packing plants are closing, mile-long lines at food pantries, and more farmers now in financial trouble.
[02:11:25.201 --> 02:11:31.144]  The truth is, growing nutrient-dense vegetables this summer may be the single most important thing you do.
[02:11:31.144 --> 02:11:36.827]  Go to SurvivalSeedBank.com and watch the new video to understand what we're really up against.
[02:11:36.827 --> 02:11:40.308]  Get free bonus seeds, special quarantine reports, too.
[02:11:40.308 --> 02:11:41.029]  Don't wait.
[02:11:41.029 --> 02:11:42.409]  Every minute counts.
[02:11:42.409 --> 02:11:45.291]  Go to SurvivalSeedBank.com.
[02:11:45.291 --> 02:11:47.352]  That's SurvivalSeedBank.com.
[02:11:48.942 --> 02:11:54.969]  There's so much hand sanitizer on the market, but beware, not all hand sanitizers are created equal.
[02:11:54.969 --> 02:11:58.192]  That's why you want to use 2020 Safe Hand Sanitizer.
[02:11:58.192 --> 02:12:03.898]  You can trust the hand sanitizer on 2020safe.net to be made with the highest quality ingredients.
[02:12:03.898 --> 02:12:07.502]  American made, with American ingredients, employing American.
[02:12:07.922 --> 02:12:12.267]  Log on now to 2020safe.net and order your one liter today.
[02:12:12.267 --> 02:12:15.431]  Normally $29.99, but reduced to $19.99.
[02:12:15.431 --> 02:12:18.894]  So hurry while supplies last and receive a bonus.
[02:12:18.894 --> 02:12:19.815]  That's right.
[02:12:19.815 --> 02:12:27.824]  You'll receive a 30-count bottle of Immune Booster, a $39.95 value free by using code GCN at checkout right now.
[02:12:28.104 --> 02:12:32.047]  Customers are saying what I was privately saying to the crew last night.
[02:12:55.419 --> 02:13:01.444]  We may have just broken not just the biggest story in InfoWars history, but one of the biggest stories period.
[02:13:01.444 --> 02:13:18.137]  The state of Texas confirms that the CDC and NIH have created a system where anyone that has a sore throat or a runny nose or who has been in contact with someone with COVID-19 is then added into the database as having
[02:13:18.217 --> 02:13:19.078]  We're good to go.
[02:13:40.710 --> 02:13:46.473]  And we've got these Everett County Commission videos where they're just freaking out over it, saying, what in the world is this?
[02:13:46.473 --> 02:13:47.874]  The full video is posted at BandOnVideo.
[02:13:47.874 --> 02:13:51.355]  Get it out and expose the hoax.
[02:13:51.355 --> 02:13:53.136]  Let's go to Juan in Connecticut.
[02:13:53.136 --> 02:13:53.617]  You're on the air.
[02:13:53.617 --> 02:13:54.157]  Thanks for holding.
[02:13:54.157 --> 02:13:54.437]  Hello.
[02:13:54.437 --> 02:13:55.217]  Can you hear me?
[02:13:55.217 --> 02:13:55.858]  I sure can, sir.
[02:13:55.858 --> 02:13:56.298]  Thank you.
[02:13:56.298 --> 02:13:56.938]  Hey, Alex.
[02:13:56.938 --> 02:14:00.140]  Before I start, man, I just wanted to talk to you, bro.
[02:14:00.140 --> 02:14:03.161]  And it's a pleasure to be talking right now with you, man.
[02:14:03.161 --> 02:14:04.502]  Sir, it's an honor to talk to you, brother.
[02:14:04.502 --> 02:14:06.123]  I'm Juan from New Brink, Connecticut.
[02:14:07.163 --> 02:14:08.604]  I just want to plug in.
[02:14:08.604 --> 02:14:13.048]  I'm a truck driver and two before us have changed the way I drive.
[02:14:13.048 --> 02:14:19.673]  Me and my brothers that drive, a couple of us, we are Hispanics, Cubans, Puerto Ricans.
[02:14:19.673 --> 02:14:27.619]  We used to be on Monster and Red Bull and all that and I have lost weight because I stopped drinking all that sugar and I just want to thank
[02:14:27.719 --> 02:14:28.459]  Thank you for that, man.
[02:14:28.459 --> 02:14:34.081]  Well, brother, we put more in this than any other long-term, high-quality energy powder there is.
[02:14:34.081 --> 02:14:36.341]  So this was designed by one of the top guys in the country.
[02:14:36.341 --> 02:14:38.842]  He didn't want his name on it because, obviously, the political issues.
[02:14:38.842 --> 02:14:41.502]  But we had to pay a lot of money for this formulation just for the design of it.
[02:14:41.502 --> 02:14:45.543]  And we believe it is the best, strongest, but healthiest energy out there.
[02:14:45.543 --> 02:14:47.324]  And you're saying that it's made your life better?
[02:14:47.324 --> 02:14:48.064]  So that means a lot to me.
[02:14:48.064 --> 02:14:48.404]  Thank you.
[02:14:48.404 --> 02:14:53.425]  To all your truck drivers, we love you.
[02:14:53.425 --> 02:14:56.086]  You're listening to the Alex Jones Show.
[02:15:19.227 --> 02:15:21.489]  We are back live, broadcasting worldwide.
[02:15:21.489 --> 02:15:32.037]  I am Alex Jones, your host, and here's a clip of Christina Gomez in Florida, I guess it was in Palm Beach, laying out the fact that they're aware of the mask-wearing ordinance they passed, saying everybody's gonna wear a mask for the next year.
[02:15:32.037 --> 02:15:33.298]  She got really pissed.
[02:15:33.298 --> 02:15:33.918]  It went viral.
[02:15:33.918 --> 02:15:34.279]  Here it is.
[02:15:35.785 --> 02:15:41.410]  You literally cannot mandate somebody to wear a mask knowing that that mask is killing people.
[02:15:41.410 --> 02:15:43.311]  It literally is killing people.
[02:15:43.311 --> 02:15:46.614]  And the people, we the people, are waking up.
[02:15:46.614 --> 02:15:48.416]  And we know what citizen's arrest is.
[02:15:48.416 --> 02:15:50.858]  Because citizen's arrests are already happening.
[02:15:51.258 --> 02:15:52.019]  Okay?
[02:15:52.019 --> 02:15:58.043]  And every single one of you that are obeying the devil's laws are going to be arrested.
[02:15:58.043 --> 02:16:03.406]  And you, doctor, are going to be arrested for crimes against humanity.
[02:16:03.406 --> 02:16:11.211]  Every single one of you have a smirk behind that little mask, but every single one of you are going to get punished by God.
[02:16:11.211 --> 02:16:14.293]  You cannot, you cannot escape God.
[02:16:14.293 --> 02:16:15.714]  You cannot escape God.
[02:16:15.714 --> 02:16:16.775]  I'm gonna say that again.
[02:16:16.775 --> 02:16:18.917]  You cannot escape God.
[02:16:18.917 --> 02:16:20.918]  Not even with the mask or six feet.
[02:16:21.378 --> 02:16:22.019]  Okay?
[02:16:22.019 --> 02:16:24.960]  Six feet, like I said before, is military protocol.
[02:16:24.960 --> 02:16:31.424]  You're trying to get the people to train them so when the cameras, the 5G comes out, what?
[02:16:31.424 --> 02:16:33.126]  They're gonna scan everybody?
[02:16:33.126 --> 02:16:34.006]  We gotta get scanned?
[02:16:34.006 --> 02:16:35.247]  We gotta get temperatured?
[02:16:35.247 --> 02:16:37.268]  The kids have to go to school with masks?
[02:16:37.268 --> 02:16:38.869]  Are you insane?
[02:16:38.869 --> 02:16:39.830]  Are you crazy?
[02:16:40.450 --> 02:16:44.372]  I think all of you should be in a psych ward right the heck now.
[02:16:44.372 --> 02:16:50.094]  Because none of you, none of you know what the hell you are all talking about.
[02:16:50.094 --> 02:16:51.435]  This is insane.
[02:16:51.435 --> 02:16:54.556]  And then you want to open this meeting with a prayer to God.
[02:16:54.556 --> 02:16:55.837]  Are you praying to the devil?
[02:16:55.837 --> 02:16:58.058]  Because God is not listening to that prayer.
[02:16:58.058 --> 02:17:01.819]  Because all of you are practicing the devil's laws.
[02:17:01.819 --> 02:17:02.780]  What happened to Bill Gates?
[02:17:03.220 --> 02:17:04.562]  Why is he not in jail?
[02:17:04.562 --> 02:17:06.404]  Why is Hillary Clinton not in jail?
[02:17:06.404 --> 02:17:14.072]  Why are all of these pedophiles that are demanding you all to listen to their rules, why are they not in jail?
[02:17:14.072 --> 02:17:15.914]  Oh, is it because you're part of them?
[02:17:15.914 --> 02:17:16.875]  Are you part of the deep state?
[02:17:16.875 --> 02:17:17.676]  Your time has expired.
[02:17:17.676 --> 02:17:18.937]  The deep state is going down.
[02:17:18.937 --> 02:17:21.840]  And if any of you are in the deep state, you're going down with it.
[02:17:22.895 --> 02:17:28.538]  Well, Palm Beach did help cover up for Epstein and the giant globalist CIA, Mossad, MI6.
[02:17:28.538 --> 02:17:31.320]  Had a following for a while, but it was people in the police department that helped expose it.
[02:17:31.320 --> 02:17:33.661]  So, just like everything else, it's good people and bad people.
[02:17:33.661 --> 02:17:39.605]  But yeah, here is Fauci, video of Fauci, in hearings yesterday.
[02:17:39.605 --> 02:17:42.007]  And as soon as the cameras are off, he takes the mask off.
[02:17:42.007 --> 02:17:46.949]  It's a mask, a clown mask, to show he's good, you're bad.
[02:17:46.949 --> 02:17:47.570]  Here's that video.
[02:17:50.367 --> 02:17:52.248]  All right, so his hearing's over.
[02:17:52.248 --> 02:17:53.068]  They clap for him.
[02:17:53.068 --> 02:17:54.709]  Oh, you're such a good little liar for Big Pharma.
[02:17:54.709 --> 02:17:58.630]  He doesn't care if everybody hates him.
[02:17:58.630 --> 02:17:59.151]  He loves it.
[02:17:59.151 --> 02:18:01.272]  He ran the AIDS hoax.
[02:18:01.272 --> 02:18:01.592]  Everything.
[02:18:01.592 --> 02:18:03.412]  There he is.
[02:18:03.412 --> 02:18:05.693]  Gets the mayor while they're in recess.
[02:18:05.693 --> 02:18:10.595]  Doesn't need to wear that mask when he's not on TV.
[02:18:10.595 --> 02:18:14.217]  And it turns out, no mask, Nevada.
[02:18:14.217 --> 02:18:16.018]  Resist governor who mandates mask.
[02:18:16.960 --> 02:18:18.101]  What would I make of it?
[02:18:18.101 --> 02:18:19.582]  I would make it... I don't even know.
[02:18:47.389 --> 02:18:52.794]  I would say it's the devil's playground right now.
[02:18:52.794 --> 02:18:54.956]  Well, yeah, we're on air.
[02:18:54.956 --> 02:18:57.378]  Go ahead.
[02:18:57.378 --> 02:18:58.319]  That's what I think of it.
[02:18:58.319 --> 02:19:02.062]  I just think it's chaos.
[02:19:02.062 --> 02:19:06.386]  What else would you want to say to the City Council if you had more time?
[02:19:06.386 --> 02:19:07.807]  If I had more time?
[02:19:09.594 --> 02:19:21.544]  I would say to fire every single doctor that is getting paid to say what they're saying, that masks are good, that masks are protecting everybody.
[02:19:21.544 --> 02:19:26.328]  And I would say, that's pretty much what I would say.
[02:19:26.328 --> 02:19:32.193]  All of them have to get fired because none of them are doing their job.
[02:19:33.920 --> 02:19:34.240]  I'm good.
[02:19:51.002 --> 02:19:51.744]  I don't know.
[02:20:06.225 --> 02:20:07.626]  I'm sorry, say that again?
[02:20:37.719 --> 02:20:39.100]  Yeah, it's okay.
[02:20:39.100 --> 02:20:40.401]  It's alright.
[02:20:40.401 --> 02:20:42.062]  You can't hear me, can you, over the audio?
[02:20:42.062 --> 02:20:44.284]  The phone callers can't ever hear me.
[02:20:44.284 --> 02:20:45.045]  It's an ongoing deal.
[02:20:45.045 --> 02:20:46.426]  I probably should just stop doing the show.
[02:20:46.426 --> 02:20:47.406]  I appreciate you joining us.
[02:20:47.406 --> 02:20:47.747]  Thank you.
[02:20:47.747 --> 02:20:49.688]  Alright, that's it for that interview.
[02:20:49.688 --> 02:20:50.149]  Thank you.
[02:20:50.149 --> 02:20:50.629]  We're done.
[02:20:50.629 --> 02:20:52.510]  Appreciate it.
[02:20:52.510 --> 02:20:53.911]  Certain point I gotta give up.
[02:20:53.911 --> 02:20:56.173]  I was gonna rebroadcast.
[02:20:56.173 --> 02:21:00.236]  Damn.
[02:21:00.236 --> 02:21:01.037]  Man, I tell you, it's hard.
[02:21:02.884 --> 02:21:04.004]  Callers can't hear me.
[02:21:04.004 --> 02:21:05.325]  Guests can't hear me.
[02:21:05.325 --> 02:21:06.685]  So I'm not complaining.
[02:21:06.685 --> 02:21:10.566]  But when I've been a guest on the show, I can't hear very well.
[02:21:10.566 --> 02:21:12.307]  And the same thing's on Skype.
[02:21:12.307 --> 02:21:19.189]  And so it's just this endless thing of, hello, hello, hello, hello, hello, hello, like Groundhog Day.
[02:21:19.189 --> 02:21:21.049]  And at a certain point, I just gotta throw my hands up.
[02:21:21.049 --> 02:21:30.052]  Because you know, the definition of insanity is doing the same thing over and over and over again, isn't it?
[02:21:30.052 --> 02:21:31.512]  So someday, we're gonna get
[02:21:33.692 --> 02:21:34.212]  Zoom.
[02:21:34.212 --> 02:21:35.553]  Oh, that isn't secure.
