[00:00:29.155 --> 00:00:29.956]  We the people.
[00:56:03.004 --> 00:56:09.666]  And I certainly hope she has a full and complete recovery, but Justin Trudeau, leader of Canada's wife, is ill with coronavirus.
[00:56:09.706 --> 00:56:16.448]  Of course, Mexico, the wall is only halfway complete, and we have 40 million illegal immigrants in this country.
[00:56:16.568 --> 00:56:19.969]  They've been saying 11 million since I was born 25 years ago.
[00:56:20.009 --> 00:56:24.330]  So if you listen to the official number, there are 11 million illegal immigrants in this country.
[00:56:24.390 --> 00:56:26.390]  Most actual estimates suggest up to 40.
[00:56:26.911 --> 00:56:28.171]  I've heard as high as 60.
[00:56:28.571 --> 00:56:32.072]  These people in California spreading bubonic plague, spreading
[00:56:32.692 --> 00:56:50.195]  Diseases that we had previously eradicated that are now back, not because of the anti-vaxxers, which is what the left will tell you, but because we are allowing people into this country, we are allowing people to remain homeless on the streets in massive numbers, and it all started on the West Coast, and they get sick and they spread the illness.
[00:56:50.215 --> 00:56:54.796]  There was a report of a man, a homeless man in California who was believed to have coronavirus.
[00:56:54.816 --> 00:56:59.257]  He was asked to self-quarantine, the government gave him a place to do it, and he left.
[00:56:59.677 --> 00:57:05.981]  And reportedly robbed a store and went on to do who knows what, spreading the virus all throughout.
[00:57:06.441 --> 00:57:11.344]  So again, I believe coming up on the other side, we're going to have Alex Jones interviewing Ted Nugent, but this is very real.
[00:57:11.965 --> 00:57:23.852]  And if I'm not back, Tom Pappert, nationalfile.com, make sure to share the articles at newswars.com, where the analysis on coronavirus has been the best in the world.
[00:57:23.972 --> 00:57:26.574]  Nobody has been more on top of this virus
[00:57:26.914 --> 00:57:35.056]  Then Alex Jones and the team at InfoWars, and I am very grateful to have had the ability to at least lend my voice to that from time to time.
[00:57:35.336 --> 00:57:36.856]  You're watching the Alex Jones Show.
[00:57:36.956 --> 00:57:38.116]  Don't go away.
[00:57:51.779 --> 00:57:55.660]  If you are receiving this transmission, you are the resistance.
[00:58:16.129 --> 00:58:19.193]  And this is a special Saturday emergency transmission.
[00:58:19.233 --> 00:58:20.755]  A national emergency has been announced.
[00:58:20.855 --> 00:58:22.518]  It is March 14, 2020.
[00:58:22.978 --> 00:58:26.843]  Only 233 days out from this historic election.
[00:58:26.883 --> 00:58:28.345]  Again, I am your host, Alex Jones.
[00:58:28.846 --> 00:58:30.909]  Well, Ted Nugent is our special guest.
[00:58:31.189 --> 00:58:34.552]  And he was on fire yesterday when I talked to him over the phone.
[00:58:34.693 --> 00:58:44.102]  I'm pretty much in agreement with him about the hysteria concerning this coronavirus since when did the land of the free home of the brave just run an abject complete panic.
[00:58:44.462 --> 00:58:47.725]  But the left has come out and attacked the president for not doing enough.
[00:58:48.065 --> 00:58:51.309]  So when he did stop flights from China four weeks ago, they attacked that.
[00:58:51.929 --> 00:59:01.534]  Now when he talks about controlling the borders, they're trying to block him and trying to stop the restrictions on flights that have not been screened for those that are sick from Europe.
[00:59:01.614 --> 00:59:08.077]  It's just amazing how they are contradicting themselves and openly hoping they can bring down the president.
[00:59:08.437 --> 00:59:21.083]  Earlier I talked about this article out of the Atlantic Monthly where they're salivating saying the Trump presidency is over, coronavirus is all his fault, so they're going to use this crisis as much as they can to blame
[00:59:21.423 --> 00:59:24.184]  President Trump and to destabilize the country as they've been doing.
[00:59:24.544 --> 00:59:31.207]  Mexico is considering closing its border to stop Americans bringing coronavirus into the country as the cases mount past 2,000.
[00:59:31.647 --> 00:59:35.408]  So Mexico can close its border, but we can't, the left says.
[00:59:36.008 --> 00:59:39.269]  So the Motor City Madman joins us on this special Saturday edition.
[00:59:39.630 --> 00:59:40.690]  Ted, thanks for coming on with us.
[00:59:41.070 --> 00:59:41.951]  My pleasure, Alex.
[00:59:42.011 --> 00:59:49.037]  I'm always ready, willing, and able, cock-blocked and ready to rock, doc, as they say, to celebrate truth, logic, and common sense.
[00:59:49.417 --> 00:59:58.024]  And I think the most important thing about this, and you're right, you're damn right, this is a special Alex Jones broadcast, because my name is Ted Pugent, full-time.
[00:59:58.424 --> 00:59:59.905]  I am the Motor City Madman.
[01:00:00.145 --> 01:00:02.407]  There's not a damn thing you can do about that.
[01:00:02.687 --> 01:00:06.170]  And let me just bring the most important element that exists.
[01:00:06.210 --> 01:00:09.313]  And remember, I not only wrote Wango Tango, I meant it.
[01:00:09.393 --> 01:00:10.274]  But stop and think.
[01:00:11.034 --> 01:00:19.499]  I am the craziest, most intense, high energy, defiant, you know, rocket roller in the history of noise.
[01:00:19.839 --> 01:00:24.061]  But let me bring the most important thing to the forefront.
[01:00:25.021 --> 01:00:27.443]  The Nugent family remains calm.
[01:00:28.806 --> 01:00:33.310]  We're not stockpiling any different than we haven't since the 1970s.
[01:00:33.330 --> 01:00:36.292]  Um, I spent my morning with the dogs.
[01:00:36.432 --> 01:00:46.840]  I, uh, shot about 20 arrows from my Matthews bows, so that spirit of tranquility, calmness, and again, truth, logic, and common sense.
[01:00:46.880 --> 01:00:57.889]  Let me tell you, Alex, what I'm bringing to your radio show this morning, and you can rebroadcast it at will, because the most important element of this whole hysteria
[01:00:58.559 --> 01:01:19.823]  Circling around the coronavirus, COVID-19 insanity, is that, and I'm not alone by the way, I've been talking to my band and my crew and my management and my brothers and my sisters, my sons, my daughters, my grandkids this morning, my wife Shemaine is at my side here, she has a new book about quality of life, about health and happiness.
[01:01:20.243 --> 01:01:25.704]  I gotta tell ya, zero hysteria in the Nugent family.
[01:01:26.444 --> 01:01:26.924]  Zero!
[01:01:27.648 --> 01:01:30.909]  Hysteria in all the people I'm associated with.
[01:01:30.929 --> 01:01:37.150]  You know, conscientious, rational, thoughtful, always prepared.
[01:01:37.210 --> 01:01:40.311]  We're not the last Boy Scouts, but we're the real Boy Scouts.
[01:01:40.991 --> 01:01:50.033]  Alex, when I did 350 concerts a year in the late 60s and early 70s, and I never went to college.
[01:01:50.614 --> 01:01:52.354]  I was too busy learning stuff.
[01:01:52.955 --> 01:01:56.658]  So the most important thing I learned from my dad, who was a U.S.
[01:01:56.838 --> 01:02:01.342]  Army Cavalry Drill Sergeant, was to always be prepared.
[01:02:01.642 --> 01:02:04.624]  You didn't buy enough ammo for the weekend shooting.
[01:02:04.644 --> 01:02:07.667]  You bought enough ammo just in case.
[01:02:08.567 --> 01:02:16.093]  At this point, in March of 2020, nobody in the Nugent family is buying toilet paper.
[01:02:16.634 --> 01:02:18.195]  We're not buying water.
[01:02:18.275 --> 01:02:20.417]  We're not buying ammo or guns.
[01:02:20.925 --> 01:02:24.848]  We've had adequate supplies since about 1968.
[01:02:26.349 --> 01:02:39.118]  So the most important thing we can convey, and we will get into the horrors, the criminality, the glaring corruption and abuse of power that has run amok, especially throughout past administrations.
[01:02:39.199 --> 01:02:43.702]  And let me go from the ultra-calming to the ultra-condemning.
[01:02:44.992 --> 01:02:47.073]  As we are thoughtful in our daily lives.
[01:02:47.153 --> 01:02:50.955]  And again, I suspect that my buddy Alex Jones is the same way.
[01:02:51.235 --> 01:02:54.336]  You don't stockpile toilet paper when you're running out.
[01:02:56.277 --> 01:02:59.739]  You stockpile essentials so you don't run out.
[01:02:59.819 --> 01:03:02.620]  Now let's go to the horror of horrors.
[01:03:03.400 --> 01:03:08.182]  And yes, we pray for our fellow Americans and people around the world that are sick.
[01:03:09.123 --> 01:03:12.704]  Alex, in the current flu season, 22
[01:03:14.855 --> 01:03:15.675]  At least.
[01:03:15.695 --> 01:03:16.035]  At least.
[01:03:39.272 --> 01:03:40.513]  That was my next question.
[01:03:40.633 --> 01:03:54.598]  What has triggered, well the big corporations, big tech, Hollywood, China, the authoritarians set the model of welding citizens into their homes, shooting women in the head at checkpoints, drones barking orders to people, mass graves, burning bodies.
[01:03:55.018 --> 01:03:58.379]  They created this hysteria to hurt the U.S.
[01:03:58.419 --> 01:03:59.740]  economy and to blame President Trump.
[01:04:00.140 --> 01:04:04.822]  I said that six weeks ago and now they're following that and saying it's all Trump's fault.
[01:04:07.156 --> 01:04:10.558]  I'm a repeat offender when it comes to truth, logic, and common sense.
[01:04:10.638 --> 01:04:16.701]  I will say to you, Alex Jones, and everyone listening, what Ted Nugent said to you many, many years ago when we first talked.
[01:04:17.122 --> 01:04:18.823]  You know who brought all this about?
[01:04:18.843 --> 01:04:24.706]  You know who brought about the glaring criminality of a Hillary Clinton and a James Comey?
[01:04:25.106 --> 01:04:31.150]  You know who allowed a communist and a jihad worshipper like Brennan to lead the CIA?
[01:04:31.590 --> 01:04:32.271]  Those guys
[01:04:32.995 --> 01:04:36.196]  Are definitely traitors and punks and criminals.
[01:04:36.476 --> 01:04:37.776]  But you know who allowed it?
[01:04:38.837 --> 01:04:51.661]  We, the people of the United States of America, who didn't monitor our elected employees' conduct and living up to their oath of office to the U.S.
[01:04:51.701 --> 01:04:52.401]  Constitution.
[01:04:53.221 --> 01:04:59.183]  How dare an American citizen not monitor their elected employees to the point
[01:04:59.898 --> 01:05:13.304]  Where they actually put the production and distribution and access to American families' medicine and antibiotics in the hands of the Chinese, Alex.
[01:05:13.984 --> 01:05:15.785]  Are you kidding?
[01:05:15.925 --> 01:05:16.666]  Oh, absolutely.
[01:05:16.706 --> 01:05:28.591]  You've harped on that so have I. I'm so glad Tucker Carlson's all over it that most of our drugs come from China and they're on record tainted and the Communist Chinese are bragging that they're making a windfall off of all this.
[01:05:29.019 --> 01:05:30.860]  Yeah, they don't have to fire a shot, do they?
[01:05:31.120 --> 01:05:31.320]  No.
[01:05:31.620 --> 01:05:35.681]  I mean, so, you know, we can talk about the origins.
[01:05:36.122 --> 01:05:38.342]  On my Facebook, boy, you want some wisdom.
[01:05:38.863 --> 01:05:41.904]  You want some common sense and truth logic.
[01:05:41.964 --> 01:05:43.344]  I was on it last night, amazing.
[01:05:43.424 --> 01:05:55.289]  I mean, just the... On my Facebook, I mean, if I may, on the Alex Jones Show, a big, greasy, all-American, take-no-crap salute to the people on my Facebook.
[01:05:55.329 --> 01:05:58.190]  If you want to have increased fortification,
[01:05:58.886 --> 01:06:00.848]  Of your belief in your fellow Americans.
[01:06:00.868 --> 01:06:07.996]  You're not going to get it on the streets often if you witness the hysteria and toilet paper, you know, mountains.
[01:06:08.496 --> 01:06:18.847]  If you really want to witness and have confidence in your fellow man, go to my Facebook, talking about smart, down-to-earth, sensible logisticians.
[01:06:19.910 --> 01:06:35.633]  On CNN, MSNBC, ABC, CBC, how do these traitors in the media constantly reference the Chinese virus, that's their words, the Wuhan coronavirus.
[01:06:35.673 --> 01:06:39.474]  And now you're supposed to say COVID-19 and it's America's fault.
[01:06:39.834 --> 01:06:45.535]  And then the next week they condemn the president for cutting off travel from China.
[01:06:47.356 --> 01:06:48.797]  And calling it a foreign virus.
[01:06:48.837 --> 01:06:49.858]  They call that racist.
[01:06:50.159 --> 01:06:52.280]  And then they call it racist.
[01:06:52.360 --> 01:06:55.003]  They're condemning people as being racist.
[01:06:55.023 --> 01:07:00.027]  By the way, they've always done this to me because I guess I just have too much soul from Detroit.
[01:07:00.107 --> 01:07:02.129]  Exactly, that's all they've got is lying.
[01:07:02.189 --> 01:07:08.674]  They are condemning all of us as racist if we use the words that they've been using for 60 days.
[01:07:11.058 --> 01:07:15.561]  Well that's what I was going to say is, again Ted Nugent joins us here on the Special Saturday Transmission.
[01:07:15.741 --> 01:07:17.663]  We're going to re-air this on the Live Sunday Show coming up.
[01:07:19.224 --> 01:07:31.573]  That they say Trump's not doing enough and then he starts to begin to put controls in and they say no we're filing bills that you can't stop flights from these countries infested.
[01:07:32.213 --> 01:07:33.794]  It's like there's no logic.
[01:07:33.834 --> 01:07:35.415]  They're publicly waging war.
[01:07:35.876 --> 01:07:37.357]  It's all oxymoronical.
[01:07:38.735 --> 01:07:45.476]  Well, the hypocrisy, you know, I'm 71 years clean and sober, so my radars work pretty good when I see information.
[01:07:46.697 --> 01:08:02.500]  I have reasonable amounts of historical evidence to either corroborate or dismiss the consistency of claims and dishonesty and lies and the hate from so much of the media and then pretty much every Democrat out there.
[01:08:02.640 --> 01:08:05.681]  I mean, I can't believe that there is a
[01:08:06.380 --> 01:08:09.982]  Human being in the United States of America, American citizen, that is.
[01:08:10.062 --> 01:08:13.864]  God knows there's too many non-American citizens in this country.
[01:08:14.744 --> 01:08:26.991]  But to think that there is a party, an absolute political party in the United States of America, that even before COVID-19 pandemic, they were against securing our borders.
[01:08:27.031 --> 01:08:32.474]  Let me make it perfectly clear, Alex, you and I know, and everybody I know knows this to be self-evident truth.
[01:08:33.214 --> 01:08:34.535]  If you are against
[01:08:35.262 --> 01:08:41.147]  Securing the borders of America, you qualify as the enemy of America.
[01:08:41.767 --> 01:08:46.050]  Only the enemy of a country would be against securing the borders.
[01:08:46.270 --> 01:08:55.217]  As you know, going back thousands of years ago to Rome or other countries, militaries were established and borders were established to stop plagues from coming in.
[01:08:55.397 --> 01:08:57.499]  That's one of the first reasons they created countries.
[01:08:59.076 --> 01:09:04.021]  Another very toxic point up and of course in extreme times you have to be extremely honest.
[01:09:04.161 --> 01:09:05.403]  Let's be extremely honest.
[01:09:06.103 --> 01:09:09.026]  You know, I hear all about all men are created equal.
[01:09:09.507 --> 01:09:15.093]  Well, I believe if you're in China and you believe that
[01:09:15.788 --> 01:09:19.011]  You know, I'm all for eating whatever meat you want.
[01:09:19.051 --> 01:09:26.076]  My friends in Africa and Asia, they eat dogs and cats, and they eat all kinds of guts and all kinds of bile and stuff, and have a nice day with that.
[01:09:26.416 --> 01:09:32.601]  But in the country of China, I hope your listeners know, we should do a detailed scrutiny and exposé.
[01:09:32.701 --> 01:09:37.965]  You were telling me about it last night, where they eat live frogs and just... Well, not just the live frogs, but the guts!
[01:09:38.886 --> 01:09:41.408]  The entire, you know, intestinal
[01:09:41.857 --> 01:09:43.338]  Which, again, isn't smart.
[01:09:43.398 --> 01:09:45.540]  That's all the bacteria, everything being processed.
[01:09:46.501 --> 01:09:47.161]  It's the crap.
[01:09:47.562 --> 01:09:53.347]  Well, I hope your listeners know that there is an annual dog meat festival in China.
[01:09:53.387 --> 01:09:55.388]  Now, I'm not condemning the use of dog meat.
[01:09:55.769 --> 01:09:59.011]  A lot of people in our world rely on that source of protein.
[01:09:59.051 --> 01:10:01.473]  And I'm laying here with my beloved dogs.
[01:10:01.553 --> 01:10:05.096]  I genuinely like the altar of canine.
[01:10:05.437 --> 01:10:06.638]  Sadie is on my lap.
[01:10:06.958 --> 01:10:09.220]  I have seen you personally spoil your dogs.
[01:10:10.711 --> 01:10:11.291]  Not my dogs!
[01:10:11.311 --> 01:10:15.014]  You know how much we love our... Jemaine and I have a... What do you call it, Jemaine?
[01:10:16.114 --> 01:10:18.476]  We have an unhealthy relationship with our dogs.
[01:10:18.516 --> 01:10:19.336]  We love them so much.
[01:10:19.356 --> 01:10:22.979]  So let's establish that there has never been a human that loves dogs more than I do.
[01:10:23.239 --> 01:10:37.508]  But in China, Alex, and our fellow listeners on the Alex Jones Show, not only do they have a dog meat festival in China, but every year in the inner circle of the annual Chinese dog meat festival, there is an entire culture
[01:10:38.038 --> 01:10:59.883]  Where they believe, and they proceed, and they continue the horror that the more you torture the dog, the more pain and suffering and howling and whining and crying you perpetrate upon that dog, they actually believe the meat has medicinal qualities and is good for you.
[01:11:00.203 --> 01:11:02.704]  Stop and grasp the evil
[01:11:03.394 --> 01:11:04.375]  In that culture.
[01:11:19.764 --> 01:11:21.605]  Not all cultures are equal.
[01:11:22.225 --> 01:11:35.627]  And if you expand on that, I don't know if you know about this, but it's been reported in law enforcement, hundreds of years, that Satanists like to torture children so that then the hormones and the endorphins are released before they drink the blood.
[01:11:35.647 --> 01:11:36.328]  That's a drug.
[01:11:36.628 --> 01:11:43.709]  And I'd read about China torturing the dogs as well to then get the hormones into the meat of the pain and the suffering.
[01:11:43.849 --> 01:11:48.250]  That is so... The point is, a lot of weird, sick stuff's going on in China.
[01:11:48.831 --> 01:11:50.613]  Well, you know, you don't have to look to China.
[01:11:50.653 --> 01:11:59.983]  I mean, again, I get in a lot of trouble all the time, as you do, which I believe that guys like us are exactly what the founding fathers had hoped and prayed that all Americans would be like.
[01:12:00.443 --> 01:12:04.107]  I think a real American has to be a hell-racer.
[01:12:04.568 --> 01:12:08.572]  A real patriotic, real constitutional American.
[01:12:08.932 --> 01:12:10.654]  When you've got a Hillary Clinton
[01:12:30.589 --> 01:12:31.129]  Hillary Clinton!
[01:12:48.198 --> 01:12:55.881]  She was mentored by Saul Alinsky, the author of Rules for Radicals, whose book is dedicated to Satan.
[01:12:56.421 --> 01:12:57.822]  I'm not making this up.
[01:12:58.262 --> 01:13:03.164]  Anybody who's been paying attention knows that Hillary Clinton's hero was Saul Alinsky.
[01:13:03.971 --> 01:13:26.121]  And his book, Rules for Radicals, which is basically the Bible of the left, including Nancy Pelosi, including Beto O'Rourke, including Chuck Schumer, all those Democrats believe in Saul Alinsky's Rules for Radicals, a book that Hillary Clinton studied under, that was dedicated to Satan, the great manipulator.
[01:13:26.581 --> 01:13:27.261]  You're absolutely right.
[01:13:27.321 --> 01:13:32.684]  Right there on page two, he says that this is dedicated to Lucifer, the original revolutionary.
[01:13:35.004 --> 01:13:40.570]  Americans, again, I'm going to go right back and this is where I piss people off and ask me if I give a damn.
[01:13:41.851 --> 01:13:44.333]  Apathy is way worse than liberalism.
[01:13:45.174 --> 01:13:47.476]  Apathy is way worse than COVID-19.
[01:13:48.906 --> 01:13:55.287]  Apathy is way worse than communism because it allows a Bernie Sanders to flourish.
[01:13:55.867 --> 01:14:12.330]  Apathy is worse than the corruption and the criminal abuse of power of a Joe Biden and his son Hunter Biden because Americans were so disconnected and uninvolved that they let these monsters attain so much control.
[01:14:12.870 --> 01:14:15.651]  Thank God President Donald Trump
[01:14:16.229 --> 01:14:23.612]  ...has spotlighted these cockroaches and has actually admitted that there is a deep state and the swamp has to be drained.
[01:14:23.912 --> 01:14:34.177]  I gotta tell you, Alex, the Nugent family prays for this great president every day because he has taken on a task that is more important than anything since Concord Bridge.
[01:14:35.959 --> 01:14:38.060]  I totally agree with you on the time we have left here.
[01:14:38.080 --> 01:14:39.781]  I want to read you a few of these headlines.
[01:14:39.801 --> 01:14:41.142]  This is again out of the Atlantic.
[01:14:41.182 --> 01:14:44.523]  That's the leftist mouthpieces, you know, from the establishments.
[01:14:44.543 --> 01:14:45.564]  This is what they were thinking.
[01:14:45.944 --> 01:14:47.185]  The Trump presidency is over.
[01:14:47.285 --> 01:14:49.446]  It has taken a good deal longer than it should have.
[01:14:49.806 --> 01:14:52.227]  But Americans have now seen the con man behind the curtain.
[01:14:52.627 --> 01:14:57.390]  They go on to blame the Wuhan virus on President Trump.
[01:14:58.912 --> 01:15:00.433]  To me, that's just absolutely amazing.
[01:15:00.473 --> 01:15:05.535]  Meanwhile, Google-funded tech chief resigns for wishing Trump died from the coronavirus.
[01:15:05.935 --> 01:15:12.918]  They're all hoping that he secretly has that, while the Communist Party officially blames it as a U.S.
[01:15:12.958 --> 01:15:15.339]  bioweapon with no proof.
[01:15:16.240 --> 01:15:18.381]  What do you make of that, Ted Nugent?
[01:15:18.681 --> 01:15:23.803]  Well, all we have to do is... I gotta tell you, I know President Donald Trump and his family.
[01:15:24.203 --> 01:15:25.204]  He's a clever guy.
[01:15:26.681 --> 01:15:42.967]  I think we've talked before, Alex, that if your child is dying, and the only way to get to the island with medicine is on your enemy's ship, you would get on your enemy's ship, take the medicine to save your child's life, and then kill your enemy.
[01:15:42.987 --> 01:15:43.848]  Yes.
[01:15:50.077 --> 01:15:51.978]  My point being is that you watch this president.
[01:15:51.998 --> 01:15:55.440]  Yes, the past administrations gave absolute life and death control of our medicines and antibiotics.
[01:16:18.174 --> 01:16:20.614]  To the damn communists in China!
[01:16:20.994 --> 01:16:26.795]  Alex, this is like me hiring John Wayne Gacy to watch my children.
[01:16:27.196 --> 01:16:31.396]  This is bizarro, indecent, criminal corruption.
[01:16:31.416 --> 01:16:31.976]  And why?
[01:16:32.276 --> 01:16:37.257]  So that they could enrich their individual lives, both monetarily and politically.
[01:16:37.617 --> 01:16:46.899]  That kind of deep state swampage is now in the crosshairs of a great, great president and a lot of Republicans that I have more faith in today.
[01:16:48.039 --> 01:16:50.220]  Well, you're right.
[01:16:50.261 --> 01:17:02.006]  That's the good news is that their pedophile rings, their corruption, the Jeffrey Epstein stuff, the sellout to Russia and China, the globalist positioning our country to be taken down by China, all of that is behind the eight ball.
[01:17:02.026 --> 01:17:03.167]  We've turned it around.
[01:17:03.647 --> 01:17:05.589]  So they're trying to target those of us that tell the truth.
[01:17:05.609 --> 01:17:06.429]  They're trying to lie about us.
[01:17:06.449 --> 01:17:07.450]  They're trying to put us in jail.
[01:17:07.730 --> 01:17:13.935]  They're trying to do all this stuff, but it's not working because the people understand now and are awake.
[01:17:14.015 --> 01:17:16.617]  America, I think, was asleep before, extremely apathetic.
[01:17:16.917 --> 01:17:31.928]  It's still somewhat groggy and half asleep, but more and more people are waking up every day, and the more people wake up and stop being apathetic and speak out and stand up for what's right, the more the deep state corrupt leftists understand that their time has come to an end.
[01:17:32.995 --> 01:17:34.816]  Some friends asked me, so what should I do, Ted?
[01:17:34.836 --> 01:17:37.357]  Well, do what I've been doing since I was about 40.
[01:17:37.637 --> 01:17:39.198]  It took me a long time.
[01:17:39.258 --> 01:17:50.043]  I was apathetic because I was spoiled until the heroes of the military and law enforcement embraced me and I started spending time with them, listening to how in 1979, the U.S.
[01:17:50.103 --> 01:17:54.005]  Marine warriors were put on guard and security duty at the U.S.
[01:17:54.085 --> 01:17:59.208]  Embassy in Tehran, but they weren't allowed to have ammo for their M-16s.
[01:17:59.528 --> 01:18:01.769]  Stop and think about the rules of engagement.
[01:18:02.219 --> 01:18:08.440]  That the heroes of our military have been subjected to, where they couldn't return fire when they're being shot at!
[01:18:08.820 --> 01:18:11.141]  So that's how the left constantly ties our hands.
[01:18:11.301 --> 01:18:14.181]  Let me ask you this, I know you only have a few more minutes, it's been great having you on.
[01:18:15.041 --> 01:18:21.302]  We only have 233 days out here from this historic election, and Trump's been working his ass off.
[01:18:21.322 --> 01:18:22.323]  He's 73 years old.
[01:18:22.343 --> 01:18:26.463]  He's one of the only people I know that's that age that has energy.
[01:18:26.483 --> 01:18:28.864]  You're a few years his junior, and I think you have even more than him.
[01:18:31.224 --> 01:18:32.725]  What do we do to support Trump?
[01:18:32.945 --> 01:18:34.786]  What can we do to not be apathetic?
[01:18:34.826 --> 01:18:37.888]  What are some of the actions that people say, okay, I don't want to be apathetic.
[01:18:37.908 --> 01:18:40.049]  Well, they can share this interview at Bandot Video.
[01:18:40.069 --> 01:18:41.169]  They can share it to your Facebook.
[01:18:41.189 --> 01:18:43.030]  They can tell people about what's happening.
[01:18:43.470 --> 01:18:44.191]  They can speak up.
[01:18:44.231 --> 01:18:45.071]  They can run for office.
[01:18:45.111 --> 01:18:46.692]  They can join a shooting club.
[01:18:46.892 --> 01:18:50.434]  They can, I mean, what else can people do to not be apathetic?
[01:18:51.169 --> 01:19:03.909]  Well, boy, that's an entire program and we should do that as soon as possible because we should be constantly communicating in all the different social media, good old phone calls and letters and emails to our elected employees.
[01:19:04.702 --> 01:19:08.923]  Supporting this president and bullet-pointing all the accomplishments.
[01:19:09.263 --> 01:19:11.643]  I mean, his accomplishments are unprecedented.
[01:19:11.984 --> 01:19:19.245]  We need to constantly communicate with our elected employees that we believe in Donald Trump and we want to re-elect him.
[01:19:19.305 --> 01:19:20.725]  In fact, I have a hat right now.
[01:19:20.745 --> 01:19:21.626]  I'm sure you've seen it.
[01:19:22.246 --> 01:19:30.307]  A guy made a smart-ass comment at one of my meetings last year's tour, which, by the way, the 2020 tour will be the best tour of my life as long as they don't cancel the damn thing.
[01:19:30.847 --> 01:19:32.068]  But what we can do is
[01:19:34.272 --> 01:19:39.979]  Recruit and make sure people are registered to vote and communicate with our elected employees.
[01:19:40.299 --> 01:19:46.486]  And I would tell you this, to synopsize my instructions, everybody should go to HunterNation.org.
[01:19:47.067 --> 01:19:48.048]  HunterNation.org.
[01:19:49.640 --> 01:20:06.457]  And if all the real conservatives, God, family, country conservatives, especially in the hunting community, the Second Amendment community... Exactly, not just make it the work of politics and fight the left, but the culture of hunting and fishing and trapping and camping and just getting back to rugged individualism.
[01:20:06.737 --> 01:20:10.961]  We have to just induct people into that and they'll be addicted and then they'll get others involved.
[01:20:12.540 --> 01:20:17.565]  The demographic of licensed hunters in this country are the most apathetic of all.
[01:20:17.645 --> 01:20:26.394]  We proved in 2016 the top three hunting states in America, Michigan, Wisconsin, and Pennsylvania, and believe me, this is irrefutable.
[01:20:26.955 --> 01:20:33.782]  We finally crowbarred that demographic to get out, register, and vote in 2016, and it was those three
[01:20:34.182 --> 01:20:37.345]  Top hunting states in America that made the difference.
[01:20:37.385 --> 01:20:49.395]  So go to HunterNation.org and we've got to get family, friends, co-workers, people at church and school, people at work, at our hunting camps, at the barbecue, at the bowling alley.
[01:20:49.615 --> 01:20:52.638]  You've got to register to vote and you've got to vote God.
[01:20:53.238 --> 01:20:56.861]  And by the way, didn't the Brazilian president get that from you?
[01:20:56.901 --> 01:21:00.243]  Which is great, because it's the most sincere form of flattery is imitation.
[01:21:00.263 --> 01:21:01.263]  God, family, country.
[01:21:15.819 --> 01:21:17.600]  I'm telling you that's the missing link.
[01:21:17.860 --> 01:21:20.101]  It's the epicenter of apathy in this country.
[01:21:20.141 --> 01:21:28.264]  And what we're going to do is we're going to register conservatives, and we're going to beg, borrow, plead, scold, and berate if we have to.
[01:21:28.424 --> 01:21:30.124]  Maybe hit them upside the head with a crowbar.
[01:21:30.505 --> 01:21:32.085]  But you've got to register and vote.
[01:21:32.125 --> 01:21:43.550]  If you don't vote God, family, and country, then the Satanists on the left will continue to destroy everything that is the last best place in the world, and that's the United States of America.
[01:21:43.790 --> 01:21:44.630]  Case closed.
[01:21:45.824 --> 01:21:46.104]  Amazing.
[01:21:46.124 --> 01:21:46.966]  We've only got two minutes.
[01:21:46.986 --> 01:21:48.149]  We've got a break and we're going to let you go.
[01:21:48.169 --> 01:21:50.313]  We've got a lot to do and I appreciate the fact that...
[01:21:51.553 --> 01:21:53.514]  You have tirelessly been fighting because you're absolutely right.
[01:21:53.574 --> 01:21:58.598]  You helped energize those key states that swung for being blue back to red for President Trump.
[01:21:58.838 --> 01:22:02.280]  And Trump is more popular than ever, but they've got such election fraud.
[01:22:02.300 --> 01:22:05.222]  They've got illegal aliens being registered all over the country to vote.
[01:22:05.942 --> 01:22:07.223]  The Democrats used to deny that.
[01:22:07.303 --> 01:22:10.986]  Now there's all the footage of them at the DMVs getting their licenses, being able to vote.
[01:22:11.006 --> 01:22:13.127]  I mean, it's just absolute treason.
[01:22:13.187 --> 01:22:17.510]  And now the Democrats, with the drag queen story times officially funded by the Democratic Party,
[01:22:18.030 --> 01:22:47.730]  Literally taking kids to convicted pedophiles in many cases and having them sit on their laps and now we have new footage a reporter got in just yesterday where they're openly the drag queens are having protests men in clown outfits at school saying we want to get rid of parental rights we want your children we're gonna quote groom them so we literally have men in clown outfits dressed up like hit the clown saying give us your children what in the hell is going on this really just shows how scummy the left in Hollywood is and what they've
[01:22:49.073 --> 01:22:51.740]  Well, Harvey Weinstein is their hero, right?
[01:22:52.081 --> 01:22:55.930]  And he was a close friend of Epstein's, and he was a close friend of Bill and Hillary Clinton.
[01:22:57.739 --> 01:23:03.122]  I mean, it's really Planet of the Apes out there, the corruption, the criminality.
[01:23:03.402 --> 01:23:06.945]  But it's not the criminality that is the horror.
[01:23:07.465 --> 01:23:12.468]  It's the good people of America that know it and don't do a damn thing.
[01:23:12.768 --> 01:23:15.810]  So it's apathy, apathy, apathy.
[01:23:15.830 --> 01:23:20.613]  And if you're out there stockpiling toilet paper but you don't vote, I hope you run out.
