[00:00:13.725 --> 00:00:15.045]  Oh, I'm sorry.
[02:04:13.561 --> 02:04:14.782]  Coronavirus and the Culture Wars.
[02:04:14.782 --> 02:04:17.224]  There it is on your site, culturewars.com.
[02:04:17.224 --> 02:04:19.706]  All right, Dr. Jones, thank you so much.
[02:04:19.706 --> 02:04:20.207]  Thank you.
[02:04:20.207 --> 02:04:21.508]  Thank you, Alex.
[02:04:21.508 --> 02:04:22.088]  All right.
[02:04:22.088 --> 02:04:23.750]  I invited him to host some tomorrow.
[02:04:23.750 --> 02:04:24.090]  We can do it.
[02:04:24.090 --> 02:04:25.431]  We'll see.
[02:04:25.431 --> 02:04:30.355]  Look, I'm not announced this yet, but I'm going to announce it soon.
[02:04:30.355 --> 02:04:33.178]  We're going to start a special live show.
[02:04:34.881 --> 02:04:37.943]  Five nights a week, next week, commercial-free.
[02:04:37.943 --> 02:04:39.784]  It'll be on the radio and TV satellites.
[02:04:39.784 --> 02:04:42.646]  When I say commercial-free, that means we won't have our network ads.
[02:04:42.646 --> 02:04:46.728]  We're going to run the ads for radio stations and TV stations that are local ads.
[02:04:46.728 --> 02:04:52.351]  So instead of 14 minutes of ads, you'll have about 7 minutes of ads.
[02:04:52.351 --> 02:04:54.753]  So when I say commercial-free, we're going to skip our breaks.
[02:04:55.633 --> 02:05:02.662]  Every week, every day, every hour, every minute, every second right now is critical.
[02:05:02.662 --> 02:05:06.286]  History is happening right in front of us, and we can't be spectators.
[02:05:06.286 --> 02:05:11.112]  We've got to be men and women in the arena, regardless of race, color, creed, age, sexual preference.
[02:05:11.112 --> 02:05:11.973]  It doesn't matter.
[02:05:12.153 --> 02:05:17.677]  The globalists with the shy comms and others are openly trying to plunge our economy and start a new depression.
[02:05:17.677 --> 02:05:24.702]  China, who hyped up this virus, is now back to work and ramping up their economy, while ours is going into a free fall spiral.
[02:05:24.702 --> 02:05:28.385]  And Trump's desperately trying to restart it and create confidence.
[02:05:28.385 --> 02:05:34.249]  And the globalist corporate media that was worshipping China just a month or so ago, and their response is saying Trump
[02:05:34.529 --> 02:05:37.450]  This is terrible because they want America to fail.
[02:05:37.450 --> 02:05:38.810]  They want you to fail.
[02:05:38.810 --> 02:05:40.231]  But you can expose them.
[02:05:40.231 --> 02:05:41.251]  You can speak out.
[02:05:41.251 --> 02:05:48.613]  You can share the articles and videos and reports at Infowars and Bandot Video that expose them and the globalists will go down.
[02:05:48.613 --> 02:05:50.834]  It's already blowing up in their face right now.
[02:05:50.834 --> 02:05:53.855]  So press the attack on the Infowar and defeat the NWO.
[02:06:13.954 --> 02:06:18.016]  Resistance to tyrants is obedience to God.
[02:06:18.016 --> 02:06:21.178]  It's Alex Jones.
[02:06:21.178 --> 02:06:23.759]  And we have a lot of really informative guests with us today.
[02:06:23.759 --> 02:06:27.041]  We have Joel Skousen of worldoffirstbrief.com, editor-in-chief.
[02:06:27.041 --> 02:06:30.062]  Mark Rondazza is an Italian citizen, lives over there a lot.
[02:06:30.062 --> 02:06:32.003]  He's going to be popping in to talk about what's really happening there.
[02:06:32.003 --> 02:06:34.104]  And then Mike Adams hosts the fourth hour.
[02:06:34.104 --> 02:06:36.085]  Can't wait to hear his breakdown on things.
[02:06:36.085 --> 02:06:37.166]  Always informative.
[02:06:41.752 --> 02:06:48.514]  This morning when I got up and they said they had a deal on the multi-trillion dollar emergency package, I said, not so fast.
[02:06:48.514 --> 02:06:50.594]  Well, Pelosi's pulled it back.
[02:06:50.594 --> 02:06:56.536]  She wants $300 million to bring in more Islamic invaders, refugee funding, more castration of little boys.
[02:06:56.536 --> 02:06:59.417]  You can't make this up.
[02:06:59.417 --> 02:07:03.718]  All the type of evil garbage that these monstrous
[02:07:05.285 --> 02:07:12.086]  Creatures, these harpies, these medusas, these gorgons, want.
[02:07:12.086 --> 02:07:18.787]  Meanwhile, Virginia churches shut down statewide post-birth abortion advocate Governor Newtham declares.
[02:07:18.787 --> 02:07:27.809]  Northam declares, all the gun shops are closed, the churches are closed, but the abortuaries, they're valuable.
[02:07:27.809 --> 02:07:29.209]  They stay open.
[02:07:29.209 --> 02:07:31.429]  Dental offices are closed.
[02:07:31.429 --> 02:07:33.030]  This is the globalist counter-strike.
[02:07:33.030 --> 02:07:34.450]  Doesn't mean the virus isn't real.
[02:07:36.223 --> 02:07:42.200]  But the hype, and now the Democrats saying we're going to keep the blue cities and states locked down no matter what Trump does, that's a certain depression.
[02:07:43.191 --> 02:07:46.732]  So until they're given power, they're going to order you locked down.
[02:07:46.732 --> 02:07:47.952]  That is not my view.
[02:07:47.952 --> 02:07:50.813]  That is what's currently happening and now unfolding.
[02:07:50.813 --> 02:08:02.135]  And to navigate this, to see if he agrees or disagrees, and to add points, is Joel Skousen, former Marine Corps aviator, officer, bestselling author, one of the top experts on secure locations in the U.S.
[02:08:02.135 --> 02:08:03.256]  and homes.
[02:08:03.256 --> 02:08:07.117]  And of course, his uncle, one of the most famous patriots exposed in the whole global agenda.
[02:08:07.117 --> 02:08:10.417]  First, Cleon Skousen, WorldAffairsBrief.com.
[02:08:10.417 --> 02:08:12.758]  Joel, before we get into the weeds on this, I'd like to go to the
[02:08:12.978 --> 02:08:14.640]  You know, the factoids.
[02:08:14.640 --> 02:08:15.600]  Big picture.
[02:08:15.600 --> 02:08:17.102]  I mean, to me, this is the big one.
[02:08:17.102 --> 02:08:21.286]  I mean, this is martial law, their whole agenda in place.
[02:08:21.286 --> 02:08:22.827]  The PSYOP.
[02:08:22.827 --> 02:08:23.948]  Just incredible.
[02:08:23.948 --> 02:08:26.691]  And I think Trump underreacted before, then overreacted.
[02:08:26.691 --> 02:08:28.433]  I think he's in the right place right now.
[02:08:28.433 --> 02:08:31.736]  Maybe you disagree, but where are we as a nation right now?
[02:08:33.618 --> 02:08:42.260]  Well, if it weren't for Donald Trump putting the kibosh on this, you know, doctor-driven, shut-everything-down mania, we'd be in real trouble.
[02:08:42.260 --> 02:08:57.585]  But right now, I think the markets are responding positively because not only of the very unwise bailout, which wouldn't have been necessary if you'd not shut down the government, but clearly the globalists are taking advantage of something started by China, one of their
[02:08:59.130 --> 02:09:07.433]  Partially weaponized, not ready for primetime, but partially weaponized virus escaped from their biolab and infected there.
[02:09:07.433 --> 02:09:09.393]  And they're back in business, as I said.
[02:09:09.393 --> 02:09:18.176]  My son works for a company that does have a lot of relationships in electronics with China, and their factories are back working.
[02:09:18.706 --> 02:09:22.667]  And as you said in the break, they were really trying to shut down the United States.
[02:09:22.667 --> 02:09:29.550]  This is a war on Donald Trump in the sense that they have made this into a crisis which really doesn't exist.
[02:09:29.550 --> 02:09:41.694]  In last week's World Affairs Brief, which your listeners can get a free copy of by emailing me at editor at worldaffairsbrief.com, I pointed out that the coronavirus is not that deadly.
[02:09:42.932 --> 02:09:44.193]  To normal people.
[02:09:44.193 --> 02:09:51.239]  When normal people can have it and not even get any symptoms, you know this is not a really deadly virus.
[02:09:51.239 --> 02:09:53.080]  And forget about herd immunity, Alex.
[02:09:53.080 --> 02:09:55.782]  You don't get herd immunity to any virus.
[02:09:55.782 --> 02:09:57.743]  They continue to mutate.
[02:09:57.743 --> 02:10:04.789]  And so you have to depend on your immune system to counter any viruses which are constantly besetting us.
[02:10:04.789 --> 02:10:05.469]  Well, that's right.
[02:10:05.469 --> 02:10:11.113]  Iceland says they found 40 variants of the coronavirus, of this COVID-19 already.
[02:10:13.683 --> 02:10:14.544]  That's right.
[02:10:14.544 --> 02:10:28.285]  And you know, because it's and you know, Dr. Fauci, the the warmonger of this virus thing is talking about how this is impacting younger people in the United States, unlike China from the 20 to 44 group.
[02:10:29.730 --> 02:10:38.132]  But what they're not telling you is that we have a weakened population in the United States, even our younger people, because of the vaccines that they've been taking.
[02:10:38.132 --> 02:10:46.954]  These vaccines contain adjuvants, which trick the immune system into not attacking the vaccine so that it doesn't get rid of it, which it should.
[02:10:46.954 --> 02:10:49.535]  That's how good people, normal people, survive.
[02:10:49.795 --> 02:10:50.095]  That's right.
[02:10:50.095 --> 02:10:55.337]  Every major study shows vaccines lower immunity to other pathogens.
[02:10:55.337 --> 02:10:56.758]  Anybody can look that up.
[02:10:56.758 --> 02:11:00.099]  And so we have this demilitated population.
[02:11:00.099 --> 02:11:06.622]  And as you said, if a virus is always mutating, like a flu virus or coronavirus, that's why they can never guess the next year's flu.
[02:11:06.622 --> 02:11:10.203]  That's why no flu shots ever worked, because it's always mutating.
[02:11:10.203 --> 02:11:10.544]  That's right.
[02:11:10.544 --> 02:11:11.964]  And there never will be herd immunity.
[02:11:11.964 --> 02:11:13.485]  So forget about herd immunity.
[02:11:13.485 --> 02:11:15.986]  Your only defense is a tough immune system.
[02:11:15.986 --> 02:11:18.907]  And I'll tell you, most Americans are not healthy.
[02:11:19.631 --> 02:11:29.713]  What they're not telling you as they rack up the number of so-called COVID-19 deaths is that every one of these people have underlying chronic disease.
[02:11:29.713 --> 02:11:31.293]  A hundred percent.
[02:11:31.293 --> 02:11:38.074]  And they've documented that in Italy, that these are older people who are dying and they all have chronic disease.
[02:11:38.074 --> 02:11:47.616]  For example, if you're on statin drugs at the request of your doctor, supposedly to stop, you know, cholesterol and heart disease, that just suppresses the immune system.
[02:11:48.550 --> 02:11:53.332]  You're going to be vulnerable for coronavirus.
[02:11:53.332 --> 02:11:59.214]  If you take any drugs at all, they're really messing with your immune system because they have so many side effects.
[02:11:59.214 --> 02:12:04.116]  It's all the rage now talking about quinine and how this is the miracle drug for coronavirus.
[02:12:04.116 --> 02:12:06.337]  But don't go rushing to quinine.
[02:12:06.337 --> 02:12:07.677]  Why should you go for a drug?
[02:12:07.677 --> 02:12:09.058]  And if you look it up on the Internet,
[02:12:09.778 --> 02:12:18.260]  Take any of the drug sites and just type in Google quinine side effects and you'll get a list that will shock you to death.
[02:12:18.260 --> 02:12:21.801]  So don't go running to the doctor and say, I want quinine.
[02:12:21.801 --> 02:12:23.381]  This is ridiculous.
[02:12:23.381 --> 02:12:26.122]  You're talking about hydroxychloroquine, which is the drug version.
[02:12:26.122 --> 02:12:27.142]  I want to be clear.
[02:12:27.142 --> 02:12:31.063]  I only told folks that it's in classic tonic, non-alcoholic.
[02:12:31.903 --> 02:12:45.423]  Because the British military use that forever, just to let folks know that even if they want something, there is hope out there, and that the Democrats are really trying to block Dr. Singh, vitamin C. They are trying to block doctors that say this isn't that bad.
[02:12:45.423 --> 02:12:47.086]  They clearly want as much fear as possible.
[02:12:48.581 --> 02:12:56.169]  You know, one of the saddest things that I'm noticing is nobody has the courage to look at the data and say the Emperor has no clothes.
[02:12:56.169 --> 02:13:07.661]  Nobody has the courage to say this really isn't that bad because every one of these medical people are afraid that if it by chance does get bad, they'll be blamed if they ever say it's not very bad.
[02:13:07.661 --> 02:13:09.423]  But you look at the death rate.
[02:13:09.423 --> 02:13:11.165]  The death rate is not that high.
[02:13:12.117 --> 02:13:23.608]  They have raised the death rate above 4% by including only those people that, you know, go into the hospitals, which are people with chronic disease who are having a real trouble with coronavirus.
[02:13:23.608 --> 02:13:35.079]  It's improper to say these thousands of people died from coronavirus without saying in complication with diabetes, in complication with heart disease, in complication with other drugs that they're having.
[02:13:35.726 --> 02:13:46.968]  That's what's illicit about this entire propaganda campaign is nobody is qualifying those COVID-19 deaths as co-mingled with other chronic diseases.
[02:13:46.968 --> 02:13:48.688]  Absolutely, absolutely.
[02:13:48.688 --> 02:13:52.809]  And since you're pulling back from that and you hit the nail on the head there, you get more into it next segment.
[02:13:52.809 --> 02:13:57.190]  But big picture, the Democrats are saying they're going to hold cities and states hostage.
[02:13:57.190 --> 02:14:02.571]  They control and ignore Trump and try to block him, open the economy up with the stock market responding well.
[02:14:03.411 --> 02:14:04.752]  What should the president do?
[02:14:04.752 --> 02:14:10.718]  How should he respond to them openly saying they're going to hold things hostage?
[02:14:10.718 --> 02:14:13.401]  Well, the big problem is not President Trump.
[02:14:13.401 --> 02:14:15.843]  He is successfully resisting the doctors.
[02:14:15.843 --> 02:14:22.930]  He said, you know, listen, the doctors, they shut the whole world down just to save their own skins because they don't want to be blamed for this.
[02:14:22.930 --> 02:14:25.452]  It's just like putting a health inspector in charge of your life.
[02:14:26.004 --> 02:14:29.386]  He's going to stop you from doing anything that's going to make himself look bad.
[02:14:29.386 --> 02:14:32.848]  Like a building inspector, he's not going to let you do anything that he thinks sounds safe.
[02:14:32.848 --> 02:14:34.389]  Like a fire marshal.
[02:14:34.389 --> 02:14:37.231]  Because it comes back to them if you have an accident.
[02:14:37.231 --> 02:14:39.032]  So they're going to restrict your liberty.
[02:14:39.032 --> 02:14:42.534]  That's like 20 years ago when they created liability for CPAs.
[02:14:42.534 --> 02:14:47.096]  Now they won't even let you take half of the admitted exemptions because it goes back to them.
[02:14:47.096 --> 02:14:48.337]  That's exactly right.
[02:14:48.337 --> 02:14:50.158]  So they know how to play this liability game.
[02:14:50.158 --> 02:14:53.440]  But you know, what really disappoints me is these Republican governors.
[02:14:54.318 --> 02:15:01.841]  Who are mainstream Republican governors, ostensibly conservative, but they don't have the courage to stand up to this wave of propaganda.
[02:15:01.841 --> 02:15:08.004]  And they're going to start shutting down, and they are shutting down, state after state, which isn't really possible.
[02:15:08.004 --> 02:15:09.945]  I mean, you can't let people starve to death.
[02:15:09.945 --> 02:15:13.927]  You have so many exemptions, it's very difficult to enforce.
[02:15:13.927 --> 02:15:21.450]  But nobody, Alex, has the courage to stop and say, this is not deadly to normal people.
[02:15:22.262 --> 02:15:25.227]  So stop all this folder all about no social mingling.
[02:15:25.227 --> 02:15:27.772]  Yeah, you want to be careful, you want to, you know.
[02:15:28.482 --> 02:15:29.803]  Keep your distance if you want to be.
[02:15:29.803 --> 02:15:31.464]  But the cure is far worse than the disease.
[02:15:31.464 --> 02:15:33.466]  Let's come back then and get into whatever subject you want.
[02:15:33.466 --> 02:15:36.949]  I've got my questions for Joel Skousen, but he's absolutely right.
[02:15:36.949 --> 02:15:38.570]  And they have definitely seized on it.
[02:15:38.570 --> 02:15:39.551]  They're using it.
[02:15:39.551 --> 02:15:42.353]  They're cheerleading to collapse the economy to drive Trump out.
[02:15:42.353 --> 02:15:46.997]  This should really damage the Democrats further that they're openly like a supervillain from a movie.
[02:15:46.997 --> 02:15:48.378]  I mean they're beyond that.
[02:15:48.378 --> 02:15:49.419]  They're so transparent.
[02:15:49.419 --> 02:15:51.140]  What's happening to them?
[02:15:51.140 --> 02:15:52.982]  And what are they going to do next when this fails?
[02:15:54.355 --> 02:15:58.918]  If you're trying to quit drinking or doing too many drugs, listen to me.
[02:15:58.918 --> 02:16:01.019]  You don't know me and we'll never meet.
[02:16:01.019 --> 02:16:02.740]  I had a problem like you once.
[02:16:02.740 --> 02:16:09.303]  I drank and used to party a little too much till it got out of control and almost ruined my life.
[02:16:09.303 --> 02:16:14.366]  I realized I needed help to fix my problem before it totally destroyed me.
[02:16:14.366 --> 02:16:19.069]  If you've tried to fix your drinking and drug problem and you know you can't do it alone,
[02:16:19.509 --> 02:16:22.631]  You need to call the National Treatment Advisors.
[02:16:22.631 --> 02:16:29.635]  They'll immerse you into a 30-day program to replace your old habits with new habits and totally change your life.
[02:16:29.635 --> 02:16:34.817]  And if you have PPO, private health insurance, the entire program may be covered.
[02:16:34.817 --> 02:16:38.119]  Fix your problem right now before it gets any worse.
[02:16:38.119 --> 02:16:39.080]  Get clean.
[02:16:39.080 --> 02:16:40.901]  Call now and learn more.
[02:16:40.901 --> 02:16:40.941]  800-506-6740.
[02:16:44.923 --> 02:16:45.183]  800-506-6740.
[02:16:45.183 --> 02:16:45.403]  That's 800-506-6740.
[02:16:54.977 --> 02:17:00.061]  Fellow Patriots, my name is Todd Savage, founder of BlackRifleRealEstate.com.
[02:17:00.061 --> 02:17:05.425]  Like you, I was a prisoner of the Alt-Left Sanctuary State until one day I chose to lead my family to freedom.
[02:17:05.425 --> 02:17:13.471]  Today we live on a sustainable 20-acre homestead where we shoot, hunt, garden, and homeschool our children without the tyranny of the nanny state looking over us.
[02:17:13.471 --> 02:17:18.916]  If you're ready to flee the city to the freedom of Idaho or Montana, our Black Rifle Real Estate team is here to help.
[02:17:18.916 --> 02:17:20.897]  Go to BlackRifleRealEstate.com.
[02:17:20.897 --> 02:17:22.719]  That's BlackRifleRealEstate.com.
[02:17:24.369 --> 02:17:26.971]  Hunters, anglers, campers and survivalists.
[02:17:26.971 --> 02:17:28.052]  Get back to nature.
[02:17:28.052 --> 02:17:35.217]  Expand your horizons with the highest quality, most versatile, unique slingshots and sling bows on the market at slingbow.com.
[02:17:35.217 --> 02:17:38.839]  Slingbow products are compact and models start from just 1798.
[02:17:38.839 --> 02:17:42.062]  They're perfect for your bug out bag or storing in your vehicle.
[02:17:42.062 --> 02:17:46.145]  Give yourself and your loved ones the excitement and tradition of slingbow.
[02:17:46.145 --> 02:17:50.648]  A new frontier in archery and truly modern twist on this primitive survival tool.
[02:17:50.648 --> 02:17:53.250]  Feel the thrill only at slingbow.com.
[02:17:56.383 --> 02:18:06.411]  We've known for over a decade that big tech is totally anti-American and wants to bring in a one world government currency, a Chinese communist social score to control every facet of our lives.
[02:18:06.411 --> 02:18:07.753]  But now it's here.
[02:18:07.753 --> 02:18:13.237]  They are using this coronavirus lockdown to tell all these shops and stores do not accept cash.
[02:18:13.237 --> 02:18:18.662]  And now they're announcing all over the country they're going to stop accepting cash and only certain businesses can stay open.
[02:18:18.962 --> 02:18:23.308]  Well, what do you do next to put the final nail in the coffin and launch the Mark of the Beast?
[02:18:23.308 --> 02:18:28.114]  House Stimulus Bill envisions digital dollar to ease coronavirus recession.
[02:18:28.114 --> 02:18:31.058]  Only stores that are allowed to be open can accept it.
[02:18:31.058 --> 02:18:33.821]  Evil patriots and people, of course, can't use it.
[02:18:33.821 --> 02:18:35.664]  And it tracks everything you do.
[02:18:36.184 --> 02:18:37.365]  So there it is, folks.
[02:18:37.365 --> 02:18:38.586]  Mark of the Beast.
[02:18:38.586 --> 02:18:43.231]  Global digital currency all being rolled out in this hysteria.
[02:18:43.231 --> 02:18:50.738]  And a lot of people are buying into it, so you've just greenlit the globalists absolutely taking control of your lives.
[02:18:50.738 --> 02:18:53.080]  But InfoWars predicted it all from the very start.
[02:18:53.080 --> 02:18:54.521]  That's where tomorrow's news today.
[02:18:55.342 --> 02:19:00.744]  For more than eight weeks, InfoWars has researched this deadly coronavirus, and it is deadly.
[02:19:00.744 --> 02:19:07.206]  It targets those who already have pre-existing conditions, compromised immune systems, and those over 70, particularly bad.
[02:19:07.206 --> 02:19:14.988]  It is deadly, but the globalists are hyping it as an economic and psychological warfare weapon to implement martial law and throw Trump out of office.
[02:19:14.988 --> 02:19:22.971]  But regardless, the mainstream media will not tell you about natural compounds that are known to be extremely antiviral, like zinc.
[02:19:23.291 --> 02:19:28.193]  So I don't care where you get zinc for yourself, your parents, your grandparents, your children.
[02:19:28.193 --> 02:19:35.315]  Please go out and research zinc and then know that we have three different formulas that have zinc in them at a very nice dosage level.
[02:19:35.315 --> 02:19:39.036]  Real Red Pill, Real Red Pill Plus, and Vitamin Mineral Fusion.
[02:19:39.036 --> 02:19:46.758]  And all of these products are 40 and 50% off right now at InfoWareStore.com, even though we're very, very close to selling them out.
[02:19:46.758 --> 02:19:52.240]  We ship within 24 hours, so secure yours today and boost your defense at InfoWareStore.com.
[02:19:57.941 --> 02:20:00.529]  You're listening to The Alex Jones Show.
[02:20:22.662 --> 02:20:26.223]  Welcome back, I'm Alex Jones, World Affairs Brief Editor.
[02:20:26.223 --> 02:20:27.863]  Phil Skousen is our guest.
[02:20:27.863 --> 02:20:33.304]  I want to just say this very quickly and very succinctly.
[02:20:33.304 --> 02:20:41.086]  InfoWars money troubles, for us to be able to expand, would be over if I got up here and said this virus is the end of the world.
[02:20:41.086 --> 02:20:42.847]  We would sell five times more stuff.
[02:20:42.847 --> 02:20:48.648]  When I get up here and say, I think this is hyped up, I think this is a weapon against the country, we see sales go straight down.
[02:20:50.310 --> 02:20:51.811]  A, I'm not going to be immoral.
[02:20:51.811 --> 02:20:55.232]  B, if we have a Great Depression, the money will be worth nothing.
[02:20:55.232 --> 02:20:56.092]  There'll be war on the streets.
[02:20:56.092 --> 02:21:01.354]  So, buying into the hype is dangerous.
[02:21:01.354 --> 02:21:02.375]  And we've looked at the numbers.
[02:21:02.375 --> 02:21:03.335]  Yes, it's a real virus.
[02:21:03.335 --> 02:21:04.996]  Yes, it kills people.
[02:21:04.996 --> 02:21:07.937]  Going way back, I saw
[02:21:09.588 --> 02:21:12.230]  The hype and the gear up, and I said they're going to blame it on Trump.
[02:21:12.230 --> 02:21:14.292]  They're going to try to take the economy out.
[02:21:14.292 --> 02:21:18.035]  Our media that's been defending Xi Jinping will attack Trump when it gets there.
[02:21:18.035 --> 02:21:19.897]  That's why I said get storable food.
[02:21:19.897 --> 02:21:26.602]  And yeah, I said boost your immune system, especially if you're old or already have pre-existing conditions, because you always want to be prepared.
[02:21:26.602 --> 02:21:29.825]  So we were pre-positioned and said you should be prepping and ready.
[02:21:29.825 --> 02:21:35.050]  I made a film with Joel Skousen, one of the top experts in the country, about strategic relocation, about his book.
[02:21:35.050 --> 02:21:37.512]  So we're on this like white on rice.
[02:21:38.697 --> 02:21:43.819]  But there's not a paradox of, wait, you say get prepared, but you're saying this isn't, this is a huge deal.
[02:21:43.819 --> 02:21:45.079]  They're making their move.
[02:21:45.079 --> 02:21:56.384]  And I want to ask Phil Skousen, who really is one of the smartest people out there with over-the-horizon analysis, what is the deep state going to do if Trump is able to mobilize America to not be cowards, to realize that, OK, we lose 20,000, 30,000.
[02:21:56.384 --> 02:22:00.565]  You know, it's terrible, but that's what viruses do.
[02:22:00.565 --> 02:22:01.846]  What do they pull next?
[02:22:01.846 --> 02:22:05.127]  Because they never seem to give up.
[02:22:07.139 --> 02:22:08.360]  No, you're absolutely right.
[02:22:08.360 --> 02:22:14.925]  They never say... they never give no for... take no for an answer on any of their long-term goals.
[02:22:14.925 --> 02:22:21.651]  Trump has slowed them down and this will... two will pass because this is just not a deadly enough virus to last very long.
[02:22:21.651 --> 02:22:26.795]  Even the good weather says Dr. Bill Sardi is going to, you know, fix the problem by summertime.
[02:22:26.795 --> 02:22:28.977]  So the economy is going to recover.
[02:22:28.977 --> 02:22:32.239]  They're going to be able to pull this time and again though.
[02:22:32.239 --> 02:22:34.781]  These viruses come up every year.
[02:22:36.082 --> 02:22:47.613]  As I say there is no immunity ever and people are not healthy so they're going to continue to get and that means they can start to pull these kinds of you know shutdowns periodically anytime they want.
[02:22:47.613 --> 02:22:48.433]  That's the big one!
[02:22:48.433 --> 02:22:57.502]  They're introducing a new phobia like school shootings to where we just constantly are hysterical and they can lock down whenever they want.
[02:22:57.502 --> 02:23:00.564]  There's a couple of things that are working against us in this regard Alex.
[02:23:00.564 --> 02:23:02.166]  Number one is the
[02:23:02.995 --> 02:23:08.901]  I have terrible confidence that most people have in the establishment medical system and in drugs.
[02:23:08.901 --> 02:23:13.085]  I can't believe how many even of my subscribers ask me, well, what about this quinine drug?
[02:23:13.085 --> 02:23:13.965]  Can't I take the quinine?
[02:23:13.965 --> 02:23:15.427]  I said, forget about it.
[02:23:15.427 --> 02:23:22.353]  I told you in the World Fair's brief ever since January 31st, all the natural remedies that absolutely kill viruses.
[02:23:22.353 --> 02:23:23.915]  I'm 74 years old, Alex.
[02:23:23.915 --> 02:23:25.356]  I don't get colds.
[02:23:25.356 --> 02:23:26.858]  I don't get flu.
[02:23:26.858 --> 02:23:28.279]  I don't get any of that stuff.
[02:23:29.071 --> 02:23:37.519]  And if I start to get a little bit of a twinge, I immediately go on a fire cider or a heavy dose of vitamin C and vitamin D3, and it's gone within a few hours.
[02:23:37.519 --> 02:23:47.347]  And by the way, Nobel Prizes were won on vitamin C. They're telling medical doctors in New York, do not tell people vitamin C, it's not approved.
[02:23:47.347 --> 02:23:49.249]  That is evil.
[02:23:49.249 --> 02:23:50.690]  It really is evil.
[02:23:50.690 --> 02:23:54.454]  And it's just like, you know, the hypothyroidism, which is
[02:23:55.470 --> 02:23:56.851]  Epidemic in the United States.
[02:23:56.851 --> 02:24:01.914]  People are hypothyroid, meaning that's why they're overweight so much, or they just have poor producing thyroid.
[02:24:01.914 --> 02:24:12.321]  They don't take enough iodine, and they don't take... Now they've made even natural thyroid hormone a drug, so that you can't get it without a doctor's prescription.
[02:24:12.321 --> 02:24:18.265]  And they won't give it to you without a TSH test, which is Thyroid Stimulating Hormone.
[02:24:18.265 --> 02:24:21.508]  And that doesn't correlate with hypothyroidism very well.
[02:24:21.508 --> 02:24:23.449]  They're trying to make fish oil prescription.
[02:24:24.414 --> 02:24:25.315]  That's right.
[02:24:25.315 --> 02:24:37.812]  So America is unhealthy, and let me tell your listeners, I don't care if you're conservative, I don't care if you're libertarian, if you believe in conspiracy, if you aren't healthy, you're not going to survive what the powers that be have, you know, got on the docket.
[02:24:38.959 --> 02:24:40.440]  You've got to lose weight.
[02:24:40.440 --> 02:24:41.760]  You've got to all be thin.
[02:24:41.760 --> 02:24:43.361]  You've got to exercise regularly.
[02:24:43.361 --> 02:24:47.182]  You've got to start to eat naturally all of the time.
[02:24:47.182 --> 02:24:48.523]  Forget about junk food.
[02:24:48.523 --> 02:24:54.005]  Forget about donuts and sugar and the other things and the soda pop and the diet stuff.
[02:24:54.005 --> 02:24:57.126]  This stuff is killing you and your immune system.
[02:24:57.126 --> 02:24:59.467]  That's what makes you vulnerable.
[02:24:59.467 --> 02:25:02.988]  And I know that doctors, some doctors understand this.
[02:25:02.988 --> 02:25:05.949]  Most doctors are very poorly trained in real nutrition.
[02:25:06.639 --> 02:25:11.161]  Some doctors understand it, but they're very discouraged because they tell their patients that and nobody listens to them.
[02:25:11.161 --> 02:25:20.926]  Well, I'll tell you, this coronavirus is a wake-up call because it is not deadly to healthy people, but it is deadly if you're chronically weak in your immune system.
[02:25:20.926 --> 02:25:28.930]  And so this should be a wake-up call to get healthy, not to go run out for some miracle drug, not to take the vaccine, which is going to be mandated.
[02:25:28.930 --> 02:25:30.751]  That's one of the major agendas here.
[02:25:30.751 --> 02:25:32.072]  Mandatory vaccines
[02:25:33.067 --> 02:25:39.731]  And not allowing you out in the public if you don't take it or have your card that says that you've got the vaccine.
[02:25:39.731 --> 02:25:42.253]  You've got to resist this above all things.
[02:25:42.253 --> 02:25:45.395]  Don't take the vaccines because they're deadly as well.
[02:25:45.395 --> 02:25:46.696]  And look at Netanyahu.
[02:25:46.696 --> 02:25:48.057]  He was about to be thrown out.
[02:25:48.057 --> 02:25:50.678]  China was in deep trouble with Taiwan.
[02:25:50.678 --> 02:25:51.739]  Spain was in deep trouble.
[02:25:51.739 --> 02:25:54.040]  France was in deep trouble with the yellow vest.
[02:25:54.040 --> 02:25:56.322]  All the countries in deep trouble are using it.
[02:25:56.322 --> 02:25:57.563]  Spain called
[02:25:58.283 --> 02:26:03.347]  Police called in Spain on brothers playing soccer in their own backyard.
[02:26:03.347 --> 02:26:05.308]  That's where this is going.
[02:26:05.308 --> 02:26:07.550]  Total, complete police state.
[02:26:07.550 --> 02:26:09.251]  And meanwhile, COVID alert.
[02:26:09.251 --> 02:26:11.853]  Feds abolishing Second Amendment by proxy.
[02:26:11.853 --> 02:26:18.538]  Big article on Infowars.com using this DHS Cybersecurity Infrastructure Security Act.
[02:26:19.502 --> 02:26:24.487]  Doesn't list guns, doesn't list camping supplies, doesn't list survival goods.
[02:26:24.487 --> 02:26:30.212]  They're shutting down survival shops, gun shops nationwide, and ordering them shut.
[02:26:30.212 --> 02:26:31.534]  This is dangerous.
[02:26:32.998 --> 02:26:35.759]  Well, not only that, because people are accepting this, Alex.
[02:26:35.759 --> 02:26:43.723]  I just can't believe how mainstream people are just buying into everything and just cuddling in their couch and saying, oh, I've got to stay indoors.
