[00:00:01.495 --> 00:00:03.896]  It's Monday, August 24th.
[01:48:38.182 --> 01:48:39.505]  He developed this with one of the top companies.
[01:48:40.996 --> 01:48:51.522]  Activated charcoal, fluoride free, mouthwash, very pure charcoal, no additives, super high quality, best mouthwash I think out there.
[01:48:51.522 --> 01:49:05.089]  And then we have the activated charcoal toothpaste that doesn't have all the garbage and all the additives, doesn't have the bad silica that's the sand that tears at the teeth, doesn't have the diatomaceous earth that's the good type that's seen by dentists and others as enamel safe.
[01:49:05.649 --> 01:49:06.890]  We're really proud of the toothpaste.
[01:49:06.890 --> 01:49:09.591]  It's got five stars across the board.
[01:49:09.591 --> 01:49:15.394]  Get our new Activated Charcoal Toothpaste at InfoWarStore.com or 888-253-3139.
[01:49:15.394 --> 01:49:23.958]  We have a big special that's going to have to end this next Sunday, and that is the Essential Special.
[01:49:23.958 --> 01:49:29.761]  Ten different items, 50-60% off with free shipping on those items at InfoWarStore.com.
[01:49:29.761 --> 01:49:31.082]  Welcome back to Ali Alexander.
[01:49:32.523 --> 01:49:36.505]  Let's get into the Cube Movement, its providence, where it came from.
[01:49:36.505 --> 01:49:43.470]  I mean, I can tell listeners that high-level White House people did not like it two years ago.
[01:49:43.470 --> 01:49:44.991]  I can tell you people in U.S.
[01:49:44.991 --> 01:49:46.812]  intelligence did not like it.
[01:49:46.812 --> 01:49:58.519]  I can tell you people told me that it was a disinfo op to later divide the Liberty Movement and be able to inject disinfo into real stories like the pedophilia scandals to then discredit them all.
[01:49:59.557 --> 01:49:59.838]  I think so.
[01:50:16.482 --> 01:50:23.227]  Where people really go down the rabbit hole and there's all these priests of the Q movement and it's all very, very esoteric.
[01:50:23.227 --> 01:50:24.708]  You want to trust things that are out in the open.
[01:50:24.708 --> 01:50:28.230]  I'm not in competition with Q. I hope it does well.
[01:50:28.230 --> 01:50:30.291]  There's been a fight over it.
[01:50:30.291 --> 01:50:34.354]  I know that when Pence got photoed with deputies that were into it, it means the deputies are good.
[01:50:34.354 --> 01:50:35.055]  They hate the New World Order.
[01:50:36.223 --> 01:50:37.703]  They had that tweet taken down.
[01:50:37.703 --> 01:50:43.865]  So now when people hold up Q stuff or whatever, Trump's like, OK, yeah, Trump's trying to be positive, ladies and gentlemen.
[01:50:43.865 --> 01:50:46.326]  So you're good if you're in the Q thing.
[01:50:46.326 --> 01:50:49.907]  I'm just saying if someone says they're a secret agent and drive your train into the harbor, don't do it.
[01:50:49.907 --> 01:50:52.868]  Or don't try to go blow up the Hoover Dam because Q told you to.
[01:50:53.348 --> 01:50:59.430]  They're using it as an interface, just like Anonymous has a lot of good people, but bad guys can wear Guy Fawkes masks.
[01:50:59.430 --> 01:51:01.471]  And just be aware that they're going to try to drive a wedge.
[01:51:01.471 --> 01:51:07.973]  And now you notice they're taking some of the things that, you know, supposedly the Q Lord said about Israel and attacking Trump.
[01:51:08.493 --> 01:51:09.273]  And all the rest of it.
[01:51:09.273 --> 01:51:11.574]  So Ali Alexander has a nuanced understanding of this.
[01:51:11.574 --> 01:51:16.536]  Give us your view on the whole Q movement and salvaging it, because a lot of good people are involved in it.
[01:51:16.536 --> 01:51:25.759]  But at the same time, it becomes a priesthood that then territorializes info and says, Jones, you never exposed the Federal Reserve, the New World Order, the child kidnapping rings, Bohemian Grove.
[01:51:25.759 --> 01:51:27.220]  You know, Q snuck in there.
[01:51:27.220 --> 01:51:29.140]  And you know, Q is above the president.
[01:51:29.140 --> 01:51:30.621]  Q is the master.
[01:51:30.621 --> 01:51:33.882]  Trump is Q. And then you have Arizona representative
[01:51:34.926 --> 01:51:39.168]  Paul Goeser coming out saying, no, the leader of the House, Republicans, McCarthy's wrong.
[01:51:39.168 --> 01:51:41.349]  Child trafficking and the deep state are real.
[01:51:41.349 --> 01:51:46.932]  So again, I want to defend Q because Q's saying a lot of real things.
[01:51:46.932 --> 01:51:48.033]  You're saying a lot of real things.
[01:51:48.033 --> 01:51:51.195]  But then it's a perfect place to set people up.
[01:51:51.195 --> 01:51:52.955]  And so now you see the dialectic taking place.
[01:51:52.955 --> 01:51:53.596]  Explain it to him, Alan.
[01:51:54.480 --> 01:51:59.302]  You know, you know, I'm relatively a normie, you know, not so much anymore.
[01:51:59.302 --> 01:52:02.422]  But but but I've spent most of my career as a normie.
[01:52:02.422 --> 01:52:09.485]  Alex, you pioneered the investigation into some of these issues, issues that people just thought, oh, that's too much.
[01:52:09.485 --> 01:52:11.805]  You know, that's too fictional to be true.
[01:52:11.805 --> 01:52:13.586]  And so it's kind of like a black church.
[01:52:13.986 --> 01:52:18.810]  Someone shows up 10 minutes late and then sits at the front of the front pew.
[01:52:18.810 --> 01:52:20.491]  And that's how I look at the Q movement.
[01:52:20.491 --> 01:52:41.889]  A lot of people who love these causes and love this country and want to investigate things, but they don't want to do the due diligence and they don't want to do the research of the work of the people who have come before.
[01:52:41.889 --> 01:52:43.130]  Guys, I lost Ali's audio.
[01:52:50.096 --> 01:52:51.762]  All right, can the crew talk to me real quick?
[01:52:51.762 --> 01:52:52.364]  Okay, all right.
[01:52:59.844 --> 01:53:02.566]  Massive legal operation.
[01:53:02.566 --> 01:53:05.489]  I know the Biden campaign is working on that.
[01:53:05.489 --> 01:53:14.037]  We have to have poll workers, and I urge people who are able to be a poll worker.
[01:53:14.037 --> 01:53:26.028]  We have to have our own teams of people to counter the force of intimidation that the Republicans and Trump are going to put outside polling places.
[01:53:26.728 --> 01:53:32.690]  This is a big organizational challenge, but at least we know more about what they're going to do.
[01:53:32.690 --> 01:53:41.394]  And, you know, Joe Biden should not concede under any circumstances because I think this is going to drag out.
[01:53:41.394 --> 01:53:46.316]  And eventually, I do believe he will win if we don't give an inch.
[01:53:47.642 --> 01:53:53.727]  Joe Biden's entire economic platform seems designed to crush the working man and woman.
[01:53:53.727 --> 01:54:02.554]  Beijing Biden is so weak on China that the intelligence community recently assessed that the Chinese Communist Party favors Biden.
[01:54:02.554 --> 01:54:07.198]  Joe Biden and the radical left are now coming for our freedom of speech.
[01:54:07.198 --> 01:54:09.900]  They want to bully us into submission.
[01:54:09.900 --> 01:54:14.244]  If they get their way, it will no longer be the silent majority.
[01:54:14.244 --> 01:54:16.266]  It will be the silenced majority.
[01:54:17.634 --> 01:54:20.858]  Now the Republican Party is the home of free speech.
[01:54:20.858 --> 01:54:24.982]  The place where anyone from any background can speak their mind.
[01:54:24.982 --> 01:54:27.585]  And may the best ideas win.
[01:54:27.585 --> 01:54:30.108]  People of faith are under attack.
[01:54:30.108 --> 01:54:32.190]  You're not allowed to go to church.
[01:54:32.190 --> 01:54:34.233]  But mass chaos in the streets gets a pass.
[01:54:35.495 --> 01:54:43.501]  It's almost like this election is shaping up to be church, work, and school versus rioting, looting, and vandalism.
[01:54:43.501 --> 01:54:48.385]  What happened to George Floyd is a disgrace, and if you know a police officer, you know they agree with that too.
[01:54:49.721 --> 01:54:53.722]  But we cannot lose sight of the fact that our police are American heroes.
[01:54:53.722 --> 01:54:56.323]  They deserve our deepest appreciation.
[01:54:56.323 --> 01:54:57.404]  All right, folks, we're back.
[01:54:57.404 --> 01:54:59.124]  Occasionally, we have a board problem.
[01:54:59.124 --> 01:55:02.565]  We thought it was the Skype, but I lost audio, not just Ali Alexander.
[01:55:02.565 --> 01:55:09.168]  So I'm going to push our next great guest back 15 minutes, because what he's saying was very nuanced, very smart about all this.
[01:55:09.168 --> 01:55:13.109]  And I want to explain how dangerous and destructive this is.
[01:55:13.109 --> 01:55:18.431]  When you allow something esoteric that has a leader, but you don't know who they are, like Cobra Commander,
[01:55:19.852 --> 01:55:22.635]  And then it can set you up very easily.
[01:55:22.635 --> 01:55:24.157]  We need accountability.
[01:55:24.157 --> 01:55:25.379]  We need to know where we're going.
[01:55:25.379 --> 01:55:26.140]  We need radar.
[01:55:26.140 --> 01:55:27.762]  We need navigation.
[01:55:27.762 --> 01:55:35.733]  So our next guest is great, but I want Allie Alexander, as long as it takes, to start over and finish up what you were saying about this, because they've now blown this huge deal.
[01:55:36.434 --> 01:55:44.799]  Where they then go, oh, see, you know, there's underground bases and when you hear earthquakes, that's them blowing up the bases with the millions of kids and releasing them.
[01:55:44.799 --> 01:55:47.280]  That's cartoon Avengers stuff.
[01:55:47.280 --> 01:55:51.622]  Are there underground areas with breeders, with kids that get sacrificed?
[01:55:51.622 --> 01:55:52.483]  John of God?
[01:55:52.483 --> 01:55:54.124]  Abso-frickin-lutely.
[01:55:54.124 --> 01:55:56.525]  Do they use underground tunnels to hide kids?
[01:55:56.525 --> 01:55:56.985]  Absolutely.
[01:55:56.985 --> 01:56:00.447]  Did Ted Gunnarson expose that on my show 26 years ago, FBI agent?
[01:56:00.447 --> 01:56:01.448]  Absolutely.
[01:56:01.448 --> 01:56:03.189]  So we're going to talk all about that.
[01:56:03.829 --> 01:56:19.226]  And then for rebroadcast, or for, not for rebroadcast, we post this to Bandot Video, we can cut that Cattywampus jackknife breakdown, because the crew's great, but I'm not getting audio, he's not getting audio, and I'm just sitting there, nobody's talking to me, so I had to go off the air there.
[01:56:19.226 --> 01:56:23.410]  But we're going to go to break, we're going to come back with Ali Alexander for two more segments, then we have our next guest.
[01:56:24.264 --> 01:56:30.147]  He was a really great guy and I really enjoyed being on his show on Blaze TV.
[01:56:30.147 --> 01:56:32.108]  He's also a great country music singer.
[01:56:32.108 --> 01:56:35.429]  Chad Prather is going to be on the show.
[01:56:35.429 --> 01:56:36.550]  And we're going to talk about the election.
[01:56:36.550 --> 01:56:37.390]  We're going to talk about the world.
[01:56:37.390 --> 01:56:38.791]  We're going to talk about everything that's unfolding.
[01:56:38.791 --> 01:56:41.732]  And then John Rappaport is coming up as well.
[01:56:41.732 --> 01:56:48.575]  But remember, no one has built a truly independent operation like this except InfoWars that really gets what's happening with the New World Order.
[01:56:48.575 --> 01:56:51.957]  The fact that Glenn Beck didn't like Trump and was more mainline
[01:56:52.737 --> 01:56:59.165]  I didn't like that, but now that he's got it, and his network's got it, and they understand what's going on, I'm all for the Blaze.
[01:56:59.165 --> 01:57:00.647]  I'm all for Rush Limbaugh.
[01:57:00.647 --> 01:57:02.690]  I'm all for Sean Hannity.
[01:57:02.690 --> 01:57:09.919]  I'm all for Tucker Carlson, because they're like InfoWars now, and Media Matters, and CNN, they get that right.
[01:57:10.439 --> 01:57:12.679]  It's not because they're copying what I say.
[01:57:12.679 --> 01:57:22.461]  Once you have the worldview of understanding the globalists, and once you dial into that, and once you understand it, then you get the whole entire thing and it suddenly makes total sense.
[01:57:22.461 --> 01:57:24.382]  And that's why top generals listen to me.
[01:57:24.382 --> 01:57:25.702]  It's why the president listens.
[01:57:25.702 --> 01:57:33.843]  Because we've really studied history and the whole wide spectrum analysis of the program to then understand it from the globalists' perspective.
[01:57:33.843 --> 01:57:36.964]  You've got to see it from their perspective long-term to understand why they're doing it.
[01:57:36.964 --> 01:57:38.244]  If you don't have that, you don't understand it.
[01:57:38.564 --> 01:57:40.365]  Allie Alexander is our guest.
[01:57:40.365 --> 01:57:42.207]  Back with 50 more minutes and our special guest.
[01:57:42.207 --> 01:57:47.130]  Stay with us.
[01:57:47.130 --> 01:57:48.731]  It was a sleeper product.
[01:57:48.731 --> 01:57:53.795]  It wasn't popular at first, but as people tried it, it's become one of our top five bestsellers.
[01:57:53.795 --> 01:57:56.877]  I'm talking about the 8-pack Power Stack.
[01:57:56.877 --> 01:58:03.842]  13 different pills filled with super nutrients, vitamins, minerals, and more that you take in the morning in one pack and at night.
[01:58:03.842 --> 01:58:05.183]  It's available right now at $60.
[01:58:06.224 --> 01:58:12.069]  ...percent off for a limited time when you get it with Survival Shield X2 that's now back in stock.
[01:58:12.069 --> 01:58:14.591]  This has changed my life and so many other people's lives.
[01:58:14.591 --> 01:58:15.572]  Now here's the problem.
[01:58:15.572 --> 01:58:21.057]  Some of the patented ingredients that are in APEC Power Stack, because of the shutdown and the lockdown,
[01:58:21.237 --> 01:58:21.857]  We're good to go.
[01:58:47.796 --> 01:58:51.638]  You can really break civilizations down into two types.
[01:58:51.638 --> 01:58:54.460]  Predatory and non-predatory.
[01:58:54.460 --> 01:58:58.042]  Or oppressive, conquest-based, or renaissance-based.
[01:58:58.042 --> 01:59:05.606]  And of course, different types of civilizations and countries and political systems of history, at the present, are mixes of the two.
[01:59:06.633 --> 01:59:12.118]  But with globalism, it is a post-human ideology.
[01:59:12.118 --> 01:59:27.873]  So it's scientifically geared to be oppressive, and the rationale is social Darwinism, that the ruling class are elites, and because they're in power, they have a right to rule over you, poison you, dumb you down, sterilize you, and kill you.
[01:59:28.473 --> 01:59:39.397]  So all the people wearing masks like outside at the park and stuff are living in a total hoax and think their act of submission is an act of working for the common good in a collective.
[01:59:39.397 --> 01:59:40.057]  No.
[01:59:40.057 --> 01:59:43.499]  It's a sign that you're a slave who will take the forced inoculations.
[01:59:43.499 --> 01:59:49.721]  The federal government and Yale are studying the forced inoculations right now.
[01:59:49.721 --> 01:59:52.342]  You're listening to the Alex Jones Show.
[02:00:04.701 --> 02:00:04.785]  Yeah.
[02:00:12.864 --> 02:00:16.965]  All right, Ali Alexander, we had a little technical difficulty on the board, which never really happens.
[02:00:16.965 --> 02:00:19.006]  And so we got cut off there.
[02:00:19.006 --> 02:00:20.507]  Not the fault of you, the crew, or anybody.
[02:00:20.507 --> 02:00:22.507]  Just fate here.
[02:00:22.507 --> 02:00:23.128]  Start over.
[02:00:23.128 --> 02:00:25.488]  You were really getting into how this is so important.
[02:00:25.488 --> 02:00:27.049]  I want the Q movement to be good.
[02:00:27.049 --> 02:00:29.670]  I want it to be based in fact.
[02:00:29.670 --> 02:00:35.092]  I want it to be based on all the real information about global child sex trafficking so we can stop it.
[02:00:35.812 --> 02:00:41.975]  But I've noticed with a lot of folks, they don't want when it's proven and real and right there and you can show who's doing it.
[02:00:41.975 --> 02:00:45.937]  But if it's like there's a secret battle under the earth and all this.
[02:00:45.937 --> 02:00:54.502]  But as the general public wasn't aware of all this, I guess as these simpletons become aware, a lot of them, they're going to go through this process of being childlike at first.
[02:00:54.502 --> 02:00:54.922]  What do you think?
[02:00:55.902 --> 02:01:00.904]  Yeah, I mean, there's being red-pilled or based, and then there's being a normie.
[02:01:00.904 --> 02:01:04.405]  I think that I've spent most of my career and most of my life as a normie.
[02:01:04.405 --> 02:01:12.107]  While you are pioneering some of these issues and investigating some of these issues, there are a lot of people, normies like me, who say, oh, he's crazy.
[02:01:12.107 --> 02:01:14.348]  Who even cares what he's saying?
[02:01:14.348 --> 02:01:18.710]  And, you know, as we started investigating, we're like, oh, he's calling out the central planners.
[02:01:18.710 --> 02:01:21.670]  Oh, he's calling out the Luciferians and the Satanists.
[02:01:21.670 --> 02:01:23.091]  Oh, he's calling out the Marxists.
[02:01:23.601 --> 02:01:27.262]  You know, what Alex Jones is saying is actually mostly accurate.
[02:01:27.262 --> 02:01:40.767]  And I think that the QAnon community, most of the community, is good, red-blooded, patriotic Americans who are discovering that we do have oligarchs and that these people do need to be deposed.
[02:01:41.207 --> 02:01:47.049]  I think that in some of the harm, and I agree with you, is that Q doesn't have any accountability mechanism.
[02:01:47.049 --> 02:01:54.951]  And for Christians like you and I, people who have read Paul's letters to Timothy, we're like, well, then there's no corrective, you know, mechanism.
[02:01:54.951 --> 02:01:58.411]  There's no ability to rebuke bad doctrine or bad thoughts.
[02:01:58.411 --> 02:02:05.833]  There's no ability to question leadership or to raise yourself through the ranks and, you know, maybe be ordained.
[02:02:05.833 --> 02:02:07.794]  So it's weird you have this church
[02:02:08.474 --> 02:02:15.540]  Over in the in the Q community that is is very secular in nature but talks with a lot of religiosity.
[02:02:15.540 --> 02:02:17.421]  And so I think that that is some of the harm there.
[02:02:17.421 --> 02:02:18.982]  But yeah, I think that we both agree.
[02:02:18.982 --> 02:02:22.505]  I think that most people would agree that a majority of the Q people
[02:02:23.294 --> 02:02:31.984]  There are teachers, there are firefighters, there are cops, there are retired folks, and there are good people wanting to investigate bad issues.
[02:02:31.984 --> 02:02:34.027]  But yeah, it's a little too esoteric.
[02:02:34.027 --> 02:02:38.512]  And Alex, one of the frequent retorts that I get in with people on Twitter is like,
[02:02:38.952 --> 02:02:41.814]  It's like, well, Q doesn't end up making predictions.
[02:02:41.814 --> 02:02:47.337]  And it's like, well, that's strange because in 2017, Hillary Clinton was supposed to be arrested.
[02:02:47.337 --> 02:02:51.740]  In 2017, Obama wasn't supposed to return from international waters.
[02:02:51.740 --> 02:02:59.184]  There are a lot of things and what people need to understand is that Q has actually switched hands two or three different times.
[02:02:59.184 --> 02:03:04.688]  And so we're looking at a different version of Q than we necessarily were three, you know, two years ago.
[02:03:05.128 --> 02:03:05.568]  That's right.
[02:03:05.568 --> 02:03:08.670]  First it's 4chan, then it's 8chan, and we just believe.
[02:03:08.670 --> 02:03:19.257]  It's beyond the Oracle of Delphi, and they have these oracles in the ancient world, where you would go up, there's nitrous oxide coming out of the ground, women, mainly virgins, would get on it and have hallucinations and say what the gods told them.
[02:03:19.257 --> 02:03:25.321]  But famously, they would pay somebody to get into the rocks and, you know, tell them that, oh, you're going to lose the war, and people would believe it.
[02:03:25.321 --> 02:03:31.886]  This is literally like going to an oracle, a hole in a wall, and it's just telling you something, but then you're not supposed to question it, even though, as you said,
[02:03:32.466 --> 02:03:45.215]  It's changed hands a bunch of times, and so people wake up, we do the work, wake up the New World Order, and then we're just like, step aside, like you said, the person comes, like in the black church, Bill Clinton, just walks to the front and says, I started this church.
[02:03:46.218 --> 02:03:51.183]  Yeah, yeah, just to put that in here so that people aren't saying, oh, Alex Jones is talking about the black church.
[02:03:51.183 --> 02:03:55.386]  I made a joke 10 minutes ago on the show and I said, you know, it's kind of like the black church.
[02:03:55.386 --> 02:03:58.549]  You show up 10 minutes late and you sit in the front pew.
[02:03:58.549 --> 02:04:01.332]  And I think that that's what we have a little bit in the Q community.
[02:04:01.332 --> 02:04:08.238]  And what people like you and I have said, people who have built our careers in this, survived, you know, vicious media taxes, is like, hey,
[02:04:08.818 --> 02:04:11.840]  If you have something good, you're still going to have these infiltrators.
[02:04:11.840 --> 02:04:23.609]  And what we saw actually a month ago is one of the very, very popular Q people, his name is Educating Liberals, I don't want to throw him under the bus, but his name is Dylan Wheeler, was a very, very big Q person.
[02:04:23.609 --> 02:04:27.792]  And now he's not only turned on Q, he's turned on Trump.
[02:04:27.792 --> 02:04:32.216]  He says that Trump is a Freemason and a satanic pedophile.
[02:04:32.216 --> 02:04:32.436]  And so,
[02:04:32.956 --> 02:04:39.162]  People like you and I have warned that, hey, if you investigate some of these issues, you are going to get a little paranoid.
[02:04:39.162 --> 02:04:45.928]  If you're not working with other people who have verifiable information or sources that you can vet, you're going to end up in the wrong place.
[02:04:45.928 --> 02:04:46.388]  That's right.
[02:04:46.388 --> 02:04:46.749]  Stay there.
[02:04:46.749 --> 02:04:49.671]  We're going to come back in 60 seconds and finish up with this.
[02:04:49.671 --> 02:04:51.833]  But I predicted this a year ago.
[02:04:51.833 --> 02:04:54.316]  I said, I believe Q during the election will target Trump.
[02:04:54.977 --> 02:05:00.639]  The New World Order is a planetary corporate plan for world government.
[02:05:00.639 --> 02:05:03.901]  But world government is only the control grid.
[02:05:03.901 --> 02:05:11.444]  Now, inner members of the cult are told that they are going to transcend and become gods and attain immortality.
[02:05:11.444 --> 02:05:18.467]  But the price for that is to carry out the orderly extermination of all carbon-based life forms.
[02:05:18.467 --> 02:05:20.708]  That's why they say carbon is bad.
[02:05:20.708 --> 02:05:23.969]  They are rewriting the entire genetic code of the planet.
[02:05:24.449 --> 02:05:26.311]  They are playing God.
[02:05:26.311 --> 02:05:36.182]  They believe they have been inspired by interdimensional entities that are giving them advanced technology to carry out this transformation.
[02:05:36.182 --> 02:05:41.508]  I know this sounds insane, but if you read the writings of the Globalist, it's all on record.
[02:05:41.508 --> 02:05:42.610]  You have been warned.
[02:05:43.931 --> 02:05:48.375]  You have been given the information to say no to this plan.
[02:05:48.375 --> 02:05:51.957]  This is the end of all life on Earth as we know it.
[02:05:51.957 --> 02:06:00.424]  This is the alien takeover of Earth.
[02:06:00.424 --> 02:06:04.367]  When I grow up, I want to be a rock star!
[02:06:04.367 --> 02:06:08.050]  When I grow up, I want to be free.
[02:06:08.050 --> 02:06:08.851]  And I'll take you on.
[02:06:24.750 --> 02:06:31.237]  We now take you live to the Central Texas Command Center and the heart of the resistance.
[02:06:31.237 --> 02:06:33.719]  You're listening to Alex Jones.
[02:06:33.719 --> 02:06:45.290]  I want to salute all the patriots that are pro-human because more than an American I'm a Christian and more than an American I'm pro-human.
[02:06:46.468 --> 02:06:48.330]  But I love the American system.
[02:06:48.330 --> 02:06:49.711]  It's the greatest example of human liberty.
[02:06:49.711 --> 02:06:58.838]  We've had our problems, but it's under attack by the technocrats and the globalists because they want full control over humans to turn us into a globalist commodity.
[02:06:58.838 --> 02:07:02.021]  Ali Alexander is a great political analyst and pundit.
[02:07:02.021 --> 02:07:07.765]  Chad Prather, who's running for governor in Texas and a great talk show host and great comedian and great country music singer.
[02:07:07.765 --> 02:07:08.986]  And he's with the Blaze TV.
[02:07:08.986 --> 02:07:11.368]  He's going to be joining us.
[02:07:11.368 --> 02:07:15.692]  But getting back into this Q thing, because people can find the tapes where I said,
[02:07:16.991 --> 02:07:22.956]  This cute thing is so esoteric, so gnostic, so hidden.
[02:07:22.956 --> 02:07:23.996]  Occult.
[02:07:23.996 --> 02:07:26.819]  Occult means you don't know where it came from, what it's doing.
[02:07:26.819 --> 02:07:28.560]  It's all cloak and dagger.
[02:07:28.560 --> 02:07:29.260]  It's mysterious.
[02:07:29.260 --> 02:07:30.661]  You don't know its providence.
[02:07:30.661 --> 02:07:32.443]  You don't know who its daddy and mommy are.
[02:07:32.443 --> 02:07:33.324]  You don't know its roots.
[02:07:33.324 --> 02:07:34.544]  You don't know where it's from.
[02:07:34.544 --> 02:07:37.627]  Much less somebody just comes into town and wants to sell you something.
[02:07:37.627 --> 02:07:38.728]  How about you can't even see him?
[02:07:38.728 --> 02:07:41.069]  It's an invisible man.
[02:07:41.069 --> 02:07:42.851]  And so it said all these things like,
[02:07:43.988 --> 02:07:45.109]  They locked him up.
[02:07:45.109 --> 02:07:46.070]  They're on prison ships.
[02:07:46.070 --> 02:07:47.711]  This is two, three years ago.
[02:07:47.711 --> 02:07:49.012]  Obama's going to jail.
[02:07:49.012 --> 02:07:50.794]  It's all over for the New World Order.
[02:07:50.794 --> 02:07:53.356]  On and on and on.
[02:07:53.356 --> 02:07:55.318]  And none of that we're supposed to talk about.
[02:07:55.318 --> 02:07:55.918]  I talk about it.
[02:07:55.918 --> 02:07:57.460]  You're an Israeli Mossad agent.
[02:07:57.460 --> 02:07:59.201]  I don't even talk about Israel.
[02:07:59.201 --> 02:08:01.163]  I mean, the ADL says I must be silenced.
[02:08:01.163 --> 02:08:02.184]  I'm not against Jews.
[02:08:02.184 --> 02:08:04.666]  The ADL is a leftist group working against everybody's interests.
[02:08:04.666 --> 02:08:07.348]  But yeah, I think Israel has a right to exist.
[02:08:07.348 --> 02:08:07.868]  Absolutely.
[02:08:07.868 --> 02:08:10.210]  I don't think it should be turned over to the Islamists just to blow it up.
[02:08:11.612 --> 02:08:14.214]  But Trump, he's good.
[02:08:14.214 --> 02:08:21.201]  His daughter's husband, his son-in-law, is a Zionist, is Jewish.
[02:08:21.201 --> 02:08:25.525]  Trump moves the embassy from Tel Aviv to Jerusalem, but that's okay.
[02:08:25.525 --> 02:08:27.667]  He's battling Mossad, Q said.
[02:08:27.667 --> 02:08:30.150]  This is the original Q that had a little Hitler mustache.
[02:08:32.045 --> 02:08:34.326]  But then I'm not involved in Israel.
[02:08:34.326 --> 02:08:35.407]  Never been there.
[02:08:35.407 --> 02:08:38.909]  I'm the evil Jewish person.
[02:08:38.909 --> 02:08:41.550]  Meanwhile, George Soros isn't a problem when he helped round up Jews.
[02:08:41.550 --> 02:08:44.692]  So, I'm not attacking Q because that's the general public.
[02:08:44.692 --> 02:08:45.492]  They bought into it.
[02:08:45.492 --> 02:08:46.412]  It's their identity.
[02:08:46.412 --> 02:08:47.573]  We exposed the New World Order.
[02:08:47.573 --> 02:08:48.854]  That's the globalist operating system.
[02:08:49.810 --> 02:08:50.951]  We won that war.
[02:08:50.951 --> 02:08:55.475]  So then this counterfeit shows up to be all esoteric and lead the Pied Pipers.
[02:08:55.475 --> 02:09:03.281]  You know, notice Julian Assange says it's a Pied Piper set up to put out disinfo to cloud WikiLeaks and other legitimate things.
[02:09:03.281 --> 02:09:05.162]  Well, he's locked up in solitary confinement.
[02:09:05.162 --> 02:09:10.286]  But see, I bet Q says he's actually free, isn't he?
[02:09:10.286 --> 02:09:13.349]  You know, you don't know sometimes, but you know, I agree.
[02:09:13.349 --> 02:09:16.151]  It's like we love the Great Awakening.
[02:09:16.678 --> 02:09:24.944]  We love that the deep state is being challenged, but what is a greater risk than sleeping people?
[02:09:24.944 --> 02:09:28.287]  Disinformation and misinformation and attacking our allies.
[02:09:28.287 --> 02:09:36.132]  And, and that's what I find very strange too is, is that Donald Trump is the most pro-Israel, pro-Mossad president.
[02:09:36.132 --> 02:09:40.636]  And, uh, you know, after this administration, people are actually going to find out some of the things that, um,
[02:09:42.160 --> 02:09:48.462]  Other agencies have done to protect this president, and I think that a lot of people are going to have to eat some crow.
[02:09:48.462 --> 02:09:52.224]  But yeah, you've seen some people like this Dylann Willer character.
[02:09:52.224 --> 02:09:54.905]  He's betrayed Q and betrayed the president.
[02:09:54.905 --> 02:10:02.467]  You've seen other people who should remain nameless because they should be shamed, and they're trying to lead Q off into this other direction.
[02:10:02.467 --> 02:10:03.648]  If it's a morale booster,
[02:10:04.168 --> 02:10:07.810]  For the Trump re-election campaign, awesome.
[02:10:07.810 --> 02:10:13.193]  If it's an investigation into pedophiles and Satanists and Luciferians and central planners, awesome.
[02:10:13.193 --> 02:10:21.238]  If it is anything else, it ought to be questioned because the only infallible person who's ever been here on this earth is Jesus Christ.
[02:10:21.238 --> 02:10:22.999]  Everybody else has made a mistake.
[02:10:22.999 --> 02:10:27.481]  Every forecaster, every pundit, every analyst, every journalist.
[02:10:27.481 --> 02:10:28.682]  And so I ask the Q people,
[02:10:29.182 --> 02:10:30.542]  Where has Q been wrong?
[02:10:30.542 --> 02:10:32.163]  Well, well, I don't know.
[02:10:32.163 --> 02:10:39.545]  I'm like, well, you should know, and they should want to tell you when they're wrong, and they should want to correct the record when the record is wrong.
[02:10:39.545 --> 02:10:53.869]  And what you see is that they're just engaged in tactics where, well, I'll put out these drops, and then the interpreters will interpret it, and I'll push that along, but if an interpreter's wrong, then I'll say, well, then that wasn't a part of a drop.
[02:10:53.869 --> 02:10:58.451]  And it just becomes, you know, super- It almost sounds like how Islam does it.
[02:10:59.031 --> 02:11:00.172]  We're good to go.
[02:11:21.804 --> 02:11:24.565]  I don't need to go join a club to be an elitist.
[02:11:24.565 --> 02:11:26.747]  I don't want to be a Q priest.
[02:11:26.747 --> 02:11:28.748]  I built InfoWars for we the people.
[02:11:28.748 --> 02:11:29.808]  It's not centralized.
[02:11:29.808 --> 02:11:30.829]  It's not a cult.
[02:11:30.829 --> 02:11:35.671]  You don't have to adhere to our code or take codes from us.
[02:11:35.671 --> 02:11:36.852]  As one goes, we all go.
[02:11:36.852 --> 02:11:45.436]  And then I just see constant infighting and constant attacks and constant grifters coming in and claiming they're with Q to run their own scams on the Q cult.
[02:11:46.621 --> 02:11:47.061]  Right.
[02:11:47.061 --> 02:11:54.668]  Why doesn't Q call out the scam artists and the grifters and the people counterfeiting Q that are within the Q community?
[02:11:54.668 --> 02:11:56.129]  Why not take that corrective step?
[02:11:56.129 --> 02:11:58.791]  I mean, Alex, you've had to kick people off your show before.
