[00:00:00.233 --> 00:00:00.314]  Oh.
[01:43:57.841 --> 01:43:59.422]  And I fall asleep less.
[01:43:59.422 --> 01:44:04.165]  Next thing I know, about two hours later, you know, about 20 minutes to landing, I get woken up.
[01:44:04.805 --> 01:44:14.308]  By this individual who looks like Megan Rapopo, a flight attendant with a shaved head, screaming at me, saying, you need to put your mask on.
[01:44:14.308 --> 01:44:17.069]  This is the second time I've told you, you need to put your mask on.
[01:44:17.069 --> 01:44:19.690]  And I'm looking to see like, I'm like, well, it's on.
[01:44:19.690 --> 01:44:21.571]  And she said, it was below your nose.
[01:44:21.571 --> 01:44:22.951]  It fell below your nose.
[01:44:22.951 --> 01:44:26.052]  And she starts screaming at me, making a big scene in the flight.
[01:44:26.052 --> 01:44:34.155]  And I said, look, you know, when you feel like when someone violently wakes you up, it feels like you're completely disoriented and confused in the first place, which I was.
[01:44:34.690 --> 01:44:40.198]  But secondly, I said, look, I didn't know, you know, obviously I was really asleep and knocked out.
[01:44:40.198 --> 01:44:42.702]  If you came and bothered me before about it, I'm sorry.
[01:44:42.702 --> 01:44:45.246]  Yeah, these airlines are trying to make two-year-old babies wear them.
[01:44:45.246 --> 01:44:46.588]  It's all about abuse and domicile.
[01:44:46.588 --> 01:44:47.429]  I mean, they're raping.
[01:44:49.560 --> 01:44:50.221]  Yeah, exactly.
[01:44:50.221 --> 01:44:52.222]  And then she says, I'm filing report.
[01:44:52.222 --> 01:44:54.724]  I'm filing report on you for lack of compliance.
[01:44:54.724 --> 01:44:57.486]  And you're going to be banned from ever flying Delta again.
[01:44:57.486 --> 01:44:58.827]  I said, wait, are you serious?
[01:44:58.827 --> 01:45:04.712]  So because I was sleeping and I didn't realize my mask slipped below my nose, now I'm going to be banned from Delta.
[01:45:04.712 --> 01:45:06.633]  I've been a customer for years.
[01:45:06.633 --> 01:45:08.975]  And she said, yes, you're going to be banned from Delta.
[01:45:08.975 --> 01:45:11.057]  And I said, so there's no talking my way.
[01:45:11.057 --> 01:45:12.718]  There's no explanation or anything.
[01:45:13.186 --> 01:45:13.486]  I think so.
[01:45:27.677 --> 01:45:29.839]  Jay, she even came at me with her guitar.
[01:45:29.839 --> 01:45:32.982]  It almost looked like she was, like, trying to use it as a weapon or something.
[01:45:32.982 --> 01:45:34.484]  It was kind of creepy.
[01:45:34.484 --> 01:45:38.428]  But she was very, very hostile towards me, and she said, nope, you're going to be banned from Delta.
[01:45:38.428 --> 01:45:40.890]  There's no way you're coming back because of this.
[01:45:40.890 --> 01:45:42.692]  She said, I already woke you up once.
[01:45:42.692 --> 01:45:43.693]  You didn't listen.
[01:45:43.693 --> 01:45:44.734]  So the second time, you're banned.
[01:45:45.374 --> 01:45:46.575]  I can't believe it, Alex.
[01:45:46.575 --> 01:45:47.796]  You know, I can't believe it.
[01:45:47.796 --> 01:45:49.037]  This is the social credit score.
[01:45:49.037 --> 01:45:50.758]  It's going to start at the airports.
[01:45:50.758 --> 01:45:51.539]  It's going to fan out.
[01:45:51.539 --> 01:45:52.980]  And then you've got to have the inoculation.
[01:45:52.980 --> 01:45:55.842]  You've got to have the digital tattoo to even get on planes.
[01:45:55.842 --> 01:45:57.023]  They admit this is the plan.
[01:45:57.023 --> 01:46:00.626]  So these corporations that are globalist are empowering their people.
[01:46:00.626 --> 01:46:03.328]  Delta needs to be punished along with Sky Blue.
[01:46:03.328 --> 01:46:04.609]  Everyone needs to boycott them.
[01:46:04.609 --> 01:46:05.730]  You need to let them know.
[01:46:05.730 --> 01:46:07.791]  Hashtag boycott Delta.
[01:46:07.791 --> 01:46:09.393]  Hashtag boycott Sky Blue.
[01:46:09.853 --> 01:46:13.496]  And let other groups know, you're going to not have our business if you do this.
[01:46:13.496 --> 01:46:16.518]  We have to do it up front to stop the Global Social Credit Score.
[01:46:16.518 --> 01:46:19.000]  Here's some of the footage that you smartly got.
[01:46:19.000 --> 01:46:20.661]  Yeah.
[01:46:20.661 --> 01:46:23.003]  Hello, were you going to give me a report?
[01:46:23.003 --> 01:46:24.805]  No, I'm right here.
[01:46:24.805 --> 01:46:26.346]  Can I see that report?
[01:46:26.346 --> 01:46:27.026]  You can get it.
[01:46:27.026 --> 01:46:28.688]  It has to be filed.
[01:46:28.688 --> 01:46:29.829]  So what's the report entailing?
[01:46:31.613 --> 01:46:35.897]  You know I was sleeping, right?
[01:46:35.897 --> 01:46:37.538]  You're still supposed to have it on.
[01:46:37.538 --> 01:46:37.858]  It was!
[01:46:37.858 --> 01:46:38.839]  It was like this!
[01:46:38.839 --> 01:46:39.920]  Back it up to the beginning.
[01:46:39.920 --> 01:46:42.442]  Imagine, they're now little Stasi officers.
[01:46:42.442 --> 01:46:43.983]  I've got a report.
[01:46:43.983 --> 01:46:44.964]  I'm filling a report.
[01:46:44.964 --> 01:46:46.766]  You can't see my report.
[01:46:46.766 --> 01:46:48.767]  I mean, imagine if the cops acted like this.
[01:46:48.767 --> 01:46:49.888]  This is crazy.
[01:46:49.888 --> 01:46:50.369]  Start it over.
[01:46:50.369 --> 01:46:52.591]  Here it is.
[01:46:52.591 --> 01:46:53.912]  Hello, were you going to give me a report?
[01:46:56.825 --> 01:46:58.651]  Can I see that report?
[01:46:58.651 --> 01:47:00.697]  It has to be filed.
[01:47:00.697 --> 01:47:01.841]  So what's the report entailing?
[01:47:03.547 --> 01:47:06.389]  That I've asked you twice to put your mask on and start arguing.
[01:47:06.389 --> 01:47:07.930]  You knew I was sleeping, right?
[01:47:07.930 --> 01:47:09.331]  You're still supposed to have it on.
[01:47:09.331 --> 01:47:09.752]  It was!
[01:47:09.752 --> 01:47:10.733]  It was like this.
[01:47:10.733 --> 01:47:11.253]  It fell off.
[01:47:11.253 --> 01:47:13.134]  It absolutely was not.
[01:47:13.134 --> 01:47:14.876]  When I was sleeping, it fell off.
[01:47:14.876 --> 01:47:16.117]  So what am I supposed to do?
[01:47:16.117 --> 01:47:18.298]  You're arguing with me now as well.
[01:47:18.298 --> 01:47:21.261]  I'm trying to not get a report so I can slide this on.
[01:47:21.261 --> 01:47:23.162]  You're getting one because you continue to argue with me.
[01:47:23.162 --> 01:47:24.643]  No, I'm trying to explain my point.
[01:47:24.643 --> 01:47:25.484]  Is this arguing?
[01:47:25.484 --> 01:47:27.846]  So explaining what happened is arguing.
[01:47:29.099 --> 01:47:30.400]  I saw it with my own two eyes twice.
[01:47:30.400 --> 01:47:31.560]  I need to finish my job.
[01:47:31.560 --> 01:47:32.721]  I saw it with my own two eyes twice.
[01:47:32.721 --> 01:47:33.521]  I need to finish my job.
[01:47:33.521 --> 01:47:36.363]  I saw it with my own two eyes twice.
[01:47:36.363 --> 01:47:37.323]  I need to finish my job.
[01:47:40.640 --> 01:47:43.902]  I woke you up twice and asked you to put on, you started arguing with me.
[01:47:43.902 --> 01:47:45.303]  You're arguing with me now.
[01:47:45.303 --> 01:47:46.685]  So I'm not allowed to apply.
[01:47:46.685 --> 01:47:47.065]  Arguing?
[01:47:47.065 --> 01:47:48.846]  You don't talk back as a prisoner.
[01:47:48.846 --> 01:47:52.349]  Judge, jury, executioner, all of it's about control.
[01:47:52.349 --> 01:47:53.850]  Can't criticize COVID lockdown.
[01:47:53.850 --> 01:47:55.111]  You're banned off the internet.
[01:47:55.111 --> 01:47:57.613]  Can't have medical doctors criticizing the fraud numbers.
[01:47:57.613 --> 01:47:58.693]  You're banned off the internet.
[01:47:58.693 --> 01:48:02.236]  Can't talk back to this God.
[01:48:02.236 --> 01:48:04.278]  What really happened?
[01:48:04.278 --> 01:48:06.599]  And she said, I woke you up twice.
[01:48:06.599 --> 01:48:07.400]  So the first time,
[01:48:07.756 --> 01:48:09.338]  So we can't even sleep peacefully.
[01:48:09.338 --> 01:48:10.659]  Clearly I'm sleeping.
[01:48:10.659 --> 01:48:14.244]  She knows I'm sleeping and you're kind of not conscious when you're sleeping.
[01:48:14.244 --> 01:48:19.590]  So the nose was, you know, the mask was below my nose apparently when I was sleeping or it fell off under my nose.
[01:48:19.590 --> 01:48:22.394]  But as you can see, it still wraps around my whole face.
[01:48:22.394 --> 01:48:24.856]  And the study show it doesn't protect anybody.
[01:48:24.856 --> 01:48:25.758]  It's all a fraud.
[01:48:26.318 --> 01:48:30.682]  It's all another evil industry that supports Black Lives Matter garbage.
[01:48:30.682 --> 01:48:33.685]  These corporations are filth and they're setting up a world government.
[01:48:33.685 --> 01:48:35.446]  These corporations want to be government.
[01:48:35.446 --> 01:48:37.268]  You think the cops are bad folks?
[01:48:37.268 --> 01:48:37.828]  Oh my God.
[01:48:37.828 --> 01:48:45.395]  In fact, you were here in Austin downtown and saw the four police cars go after a woman who wasn't properly wearing a mask in a business.
[01:48:45.395 --> 01:48:50.319]  So Black Lives Matter and Antifa have been burning the city, shooting people, but oh, here come the cops.
[01:48:50.319 --> 01:48:50.940]  It's disgusting.
[01:48:51.812 --> 01:48:52.652]  It is!
[01:48:52.652 --> 01:49:00.596]  And remember, too, that they have this high-powered mister thing now at planes that supposedly sanitizes 99.9% of germs.
[01:49:00.596 --> 01:49:01.896]  It's like this mister thing.
[01:49:01.896 --> 01:49:04.758]  They do it before, after, and during the plane ride.
[01:49:04.758 --> 01:49:09.980]  So if that sanitizes 99.9% of germs in the plane, why do we even need masks to begin with?
[01:49:09.980 --> 01:49:13.001]  I mean, it's just a joke, and why do we need masks anywhere to begin with?
[01:49:13.001 --> 01:49:14.862]  But Liana, it's all virtue signaling.
[01:49:14.862 --> 01:49:17.083]  With the fake death numbers, it's point...
[01:49:17.783 --> 01:49:19.324]  0-0-3-2.
[01:49:19.324 --> 01:49:21.126]  And now we know it's all fraud.
[01:49:21.126 --> 01:49:24.949]  They're just taking every death and hyping up each person of some other death to do this.
[01:49:24.949 --> 01:49:26.970]  It's all a giant scam.
[01:49:26.970 --> 01:49:29.392]  Right, and now I can't fly on Delta anymore?
[01:49:29.392 --> 01:49:32.555]  I mean, this is the most... So it's not enough to wear a mask anymore.
[01:49:32.555 --> 01:49:38.920]  You have to wear it and make sure that if you're sleeping, you're checking you're sleeping and make sure that it's not fallen out of place.
[01:49:38.920 --> 01:49:41.822]  Oh, and the next thing is you've got to wear the approved mask.
[01:49:41.822 --> 01:49:42.843]  They're coming out with that soon.
[01:49:43.908 --> 01:49:44.148]  Right.
[01:49:44.148 --> 01:49:44.789]  Exactly.
[01:49:44.789 --> 01:49:48.451]  And you know, it's they're tightening the ratchet every single day.
[01:49:48.451 --> 01:49:49.052]  You know it.
[01:49:49.052 --> 01:49:55.717]  I know that this is not just enough to say, OK, we're going to wear the mask and everything's going to go away like, you know, peaches and roses.
[01:49:55.717 --> 01:49:57.618]  No, they're going to keep tightening and tighten it.
[01:49:57.618 --> 01:49:59.200]  Next is going to be a vaccine.
[01:49:59.200 --> 01:50:01.822]  Next is going to be a digital tattoo or microchip.
[01:50:01.822 --> 01:50:03.103]  It's just going to keep going.
[01:50:03.957 --> 01:50:14.668]  If people aren't awake right now to how much of a Gestapo this is, and just regular staff, waiters, and stewardesses are turning into, they better wake the hell up and see videos like this.
[01:50:14.668 --> 01:50:23.077]  I want people, if they have an experience like this, go to my Twitter at Diana4Congress, post your experience because Boycott Delta is getting trending right now.
[01:50:23.077 --> 01:50:25.579]  And we want to make an example out of this.
[01:50:25.579 --> 01:50:27.161]  They can't treat customers like this.
[01:50:27.501 --> 01:50:30.102]  They can't betray people's constitutional rights over this.
[01:50:30.102 --> 01:50:32.203]  And it's all based on a fraud.
[01:50:32.203 --> 01:50:37.866]  When people go to the airport, they should hand out at Delta terminals little sheets explaining it's all a hoax, it's all a fraud.
[01:50:37.866 --> 01:50:45.690]  Because they're already telling school districts, they're already telling colleges, you don't have the vaccine, you don't go to college, you don't go to school.
[01:50:45.690 --> 01:50:46.730]  Governor Northam's announced it.
[01:50:46.730 --> 01:50:48.471]  They're coming with forced inoculations next.
[01:50:49.468 --> 01:50:49.868]  They are.
[01:50:49.868 --> 01:50:53.090]  Alex, honestly, that would be something I'd get arrested over for you guys.
[01:50:53.090 --> 01:50:57.992]  I would go to the airports and hand out little flyers saying this all is a hoax and get carried away.
[01:50:57.992 --> 01:51:03.574]  Because people need to make an example out of this, and people need to learn that this is not, you know, we can't live our life.
[01:51:03.574 --> 01:51:07.896]  And if nobody flies on planes, if we all boycott this, then what are they going to do?
[01:51:07.896 --> 01:51:10.358]  Are they going to finally realize they're getting hit by the pocketbooks?
[01:51:10.358 --> 01:51:14.940]  Well, notice it was first the Chinese spraying all their people, and now we've got to be sprayed.
[01:51:14.940 --> 01:51:16.861]  It's we're bad, we're evil.
[01:51:16.861 --> 01:51:17.841]  They want to spray us.
[01:51:18.041 --> 01:51:19.122]  They want to yell at us.
[01:51:19.122 --> 01:51:19.942]  They want in our bodies.
[01:51:19.942 --> 01:51:24.165]  You have five more minutes with us and I'll let you get back to the few days of rest that you deserve.
[01:51:24.165 --> 01:51:25.807]  Yana Lorraine is our guest.
[01:51:25.807 --> 01:51:28.288]  I'm Alex Jones and she shot that amazing footage.
[01:51:28.288 --> 01:51:34.012]  We'll talk about when we come back how she discovered she is indeed now banned from Delta and what comes next.
[01:51:34.012 --> 01:51:35.994]  You need to boycott Delta and all their criminal organizations.
[01:51:38.809 --> 01:51:40.410]  It was a sleeper product.
[01:51:40.410 --> 01:51:45.595]  It wasn't popular at first, but as people tried it, it's become one of our top five bestsellers.
[01:51:45.595 --> 01:51:48.557]  I'm talking about the 8-pack Power Stack.
[01:51:48.557 --> 01:51:55.523]  13 different pills filled with super nutrients, vitamins, minerals, and more that you take in the morning in one pack and at night.
[01:51:55.523 --> 01:51:56.864]  It's available right now at $60.
[01:51:57.965 --> 01:51:58.506]  I don't know.
[01:52:12.927 --> 01:52:13.547]  We're good to go.
[01:52:39.554 --> 01:52:43.418]  You can really break civilizations down into two types.
[01:52:43.418 --> 01:52:46.242]  Predatory and non-predatory.
[01:52:46.242 --> 01:52:49.826]  Or oppressive, conquest-based, or renaissance-based.
[01:52:49.826 --> 01:52:57.394]  And of course, different types of civilizations and countries and political systems of history, at the present, are mixes of the two.
[01:52:58.387 --> 01:53:03.892]  But with globalism, it is a post-human ideology.
[01:53:03.892 --> 01:53:19.648]  So it's scientifically geared to be oppressive, and the rationale is social Darwinism, that the ruling class are elites, and because they're in power, they have a right to rule over you, poison you, dumb you down, sterilize you, and kill you.
[01:53:20.248 --> 01:53:31.179]  So all the people wearing masks, like outside at the park and stuff, are living in a total hoax and think their act of submission is an act of working for the common good in a collective.
[01:53:31.179 --> 01:53:31.839]  No.
[01:53:31.839 --> 01:53:35.303]  It's a sign that you're a slave who will take the forced inoculations.
[01:53:35.303 --> 01:53:41.849]  The federal government and Yale are studying the forced inoculations right now.
[01:53:41.849 --> 01:53:44.472]  You're listening to the Alex Jones Show.
[01:53:51.750 --> 01:53:58.572]  The answer to globalist tyranny is resistance.
[01:53:58.572 --> 01:54:00.832]  The answer to 1984 is 1776.
[01:54:00.832 --> 01:54:07.754]  You're listening to the Alex Jones Show.
[01:54:07.754 --> 01:54:09.434]  The system is clamping down.
[01:54:09.434 --> 01:54:11.735]  The jaws of the globalists are hitting hard.
[01:54:12.679 --> 01:54:14.721]  The games are over.
[01:54:14.721 --> 01:54:16.482]  The war is on.
[01:54:16.482 --> 01:54:17.743]  Yanna Lorraine, I'm pretty excited.
[01:54:17.743 --> 01:54:19.204]  Pretty angry I've been running over you last segment.
[01:54:19.204 --> 01:54:20.365]  You're on fire.
[01:54:20.365 --> 01:54:21.826]  Great job exposing all of this.
[01:54:21.826 --> 01:54:24.468]  For the next five minutes we have left, you've got the floor.
[01:54:24.468 --> 01:54:25.629]  What else do you want to say about this?
[01:54:25.629 --> 01:54:29.853]  About hashtag boycott Delta that I know you're driving?
[01:54:29.853 --> 01:54:30.853]  How do people get behind this?
[01:54:30.853 --> 01:54:33.676]  How do we stand up to these thugs that are pushing this power grab hoax?
[01:54:34.761 --> 01:54:37.282]  Yeah, I mean, you have to be exposing it.
[01:54:37.282 --> 01:54:46.325]  Any of these little stories that happen, DM me, or post it on my Twitter, or send it to InfoWars, or do all of the above, because we need to expose this more and more.
[01:54:46.325 --> 01:54:48.466]  We need to make examples out of these people.
[01:54:48.466 --> 01:55:02.231]  Someone just wrote in to me on this Boycott Delta thread that said that his girlfriend was kicked off a flight yesterday for having asthma, and she dared to take off her mask for a few minutes to try to use her inhaler, and Delta kicked her off the flight!
[01:55:02.711 --> 01:55:04.432]  They wouldn't even let her use her inhaler.
[01:55:04.432 --> 01:55:06.532]  I mean, this is getting beyond crazy.
[01:55:06.532 --> 01:55:11.794]  The other possibility is maybe she was seeing that this was a Trump mask and she was just out to get me.
[01:55:11.794 --> 01:55:17.996]  She was trying to find any little thing wrong so that she could make an example out of me because she hates Trump.
[01:55:17.996 --> 01:55:22.957]  And it looked basically, I don't know, I'm not trying to be discriminatory, but she kind of looks like she might be someone who doesn't like Trump.
[01:55:22.957 --> 01:55:24.378]  But that's even more disgusting.
[01:55:24.378 --> 01:55:27.479]  I mean, we can't go anywhere now without having this kind of discrimination.
[01:55:28.300 --> 01:55:37.826]  So when finally Delta wrote back to me after seeing that their, you know, hashtag people are tweeting their hashtags, they finally, I don't know if you have this tweet, but they answered me and I retweeted it.
[01:55:37.826 --> 01:55:43.909]  They said, Dear Deanna, we're sorry to hear about your mask compliance issue.
[01:55:43.909 --> 01:55:46.290]  Send us more details and we'll see what happened.
[01:55:46.290 --> 01:55:47.811]  We'll investigate further.
[01:55:47.811 --> 01:55:52.374]  So already, I mean, this shows you that this isn't about a mask or safety.
[01:55:52.834 --> 01:55:55.037]  Mask compliance issue.
[01:55:55.037 --> 01:55:57.100]  They're making it so it's my fault, right?
[01:55:57.100 --> 01:55:58.221]  This is my problem.
[01:55:58.221 --> 01:56:02.767]  I obviously wasn't complying or there was some problem with me not being a good little sheep.
[01:56:02.767 --> 01:56:03.868]  And that's the issue.
[01:56:03.868 --> 01:56:06.632]  Don't you think, basically on that language, that that's what they're meaning?
[01:56:07.560 --> 01:56:08.801]  So this isn't about us.
[01:56:08.801 --> 01:56:10.522]  This isn't about our safety, our health.
[01:56:10.522 --> 01:56:12.804]  This is all about compliance.
[01:56:12.804 --> 01:56:13.505]  You know it.
[01:56:13.505 --> 01:56:14.405]  I know it.
[01:56:14.405 --> 01:56:15.386]  So what are we going to do?
[01:56:15.386 --> 01:56:17.407]  We need to make an example out of these people.
[01:56:17.407 --> 01:56:18.648]  We need to boycott them.
[01:56:18.648 --> 01:56:20.089]  We need to film.
[01:56:20.089 --> 01:56:25.994]  Always have your phone ready to film when you're about to take a flight, when you're in an airport, when you're in a restaurant.
[01:56:25.994 --> 01:56:28.116]  Because a lot of these things happen really quickly.
[01:56:28.116 --> 01:56:30.838]  And I've noticed for me, you know, they happen so fast.
[01:56:30.838 --> 01:56:32.539]  We have to be ready with our phones to film.
[01:56:33.179 --> 01:56:38.264]  Um, you know, try to do it subtly so they don't get it because if they know they're being filmed, they're going to act more polite.
[01:56:38.264 --> 01:56:40.166]  We want to see their true colors, right?
[01:56:40.166 --> 01:56:44.130]  We got to see their true vile, satanic nature coming out.
[01:56:44.130 --> 01:56:46.191]  And this woman didn't know I was filming.
[01:56:46.191 --> 01:56:49.214]  So, uh, we just have to make an example out of these people.
[01:56:49.214 --> 01:56:52.257]  We have to fight back or else look at what they're going to do.
[01:56:52.257 --> 01:56:55.380]  They're going to take advantage of us and they're treating us like animals.
[01:56:55.814 --> 01:56:57.796]  They're treating us like livestock, right?
[01:56:57.796 --> 01:56:59.017]  I mean, worse than livestock.
[01:56:59.017 --> 01:57:07.944]  But they're treating us like animals, and they're having free reign, and every day that goes by that we don't fight back, they're getting more and more emboldened.
[01:57:07.944 --> 01:57:08.885]  Amen to that.
[01:57:08.885 --> 01:57:09.685]  Keep rolling.
[01:57:09.685 --> 01:57:11.407]  You keep telling them.
[01:57:11.407 --> 01:57:11.727]  Right.
[01:57:11.727 --> 01:57:15.350]  So, you know, write in to Alex.
[01:57:15.350 --> 01:57:17.652]  Call in to Alex in InfoWars.
[01:57:17.652 --> 01:57:19.013]  Write in to me.
[01:57:19.013 --> 01:57:21.014]  Go to my Twitter, Deanna4Congress.
[01:57:22.329 --> 01:57:24.671]  We're going to be covering this so much.
[01:57:24.671 --> 01:57:25.571]  This is not going to end.
[01:57:25.571 --> 01:57:26.492]  This is not going to get better.
[01:57:26.492 --> 01:57:28.213]  This is only going to get worse.
[01:57:28.213 --> 01:57:32.196]  So every day, there's going to be more stories like this that compile, and we want to highlight them.
[01:57:32.196 --> 01:57:33.496]  You know, we want to highlight them.
[01:57:33.496 --> 01:57:34.817]  We want to make an example out of them.
[01:57:34.817 --> 01:57:36.338]  Your voice is going to be heard.
[01:57:36.338 --> 01:57:41.362]  And some people don't have a very big platform, like the guy who wrote in that got his girlfriend kicked off the flight.
[01:57:41.362 --> 01:57:41.962]  That's fine.
[01:57:41.962 --> 01:57:46.685]  That's why you want to send it to us so that we can highlight them, because this is global tyranny.
[01:57:46.685 --> 01:57:48.887]  This has nothing to do with our health and safety.
[01:57:48.887 --> 01:57:51.709]  It has nothing to do with our health and safety when we have people like Gab
[01:57:54.158 --> 01:57:56.380]  And your Skype's breaking up while it reconnects.
[01:57:56.380 --> 01:57:58.521]  Let me just say this.
[01:57:58.521 --> 01:58:02.945]  What should we call this interview when we post it at Banned on Video?
[01:58:02.945 --> 01:58:05.447]  Hashtag Boycott Delta?
[01:58:05.447 --> 01:58:13.312]  Woman put on no-fly list by Trump deranged syndrome goblin?
[01:58:13.312 --> 01:58:17.115]  Woman reported and banned for Delta by Trump mask.
[01:58:17.115 --> 01:58:18.216]  Something like that.
[01:58:18.216 --> 01:58:18.696]  Yeah, yeah.
[01:58:18.696 --> 01:58:20.238]  I mean, social credit score.
[01:58:20.238 --> 01:58:21.899]  Delta launches social credit score.
[01:58:23.743 --> 01:58:25.605]  Right, it's all about compliance, Alex.
[01:58:25.605 --> 01:58:30.329]  If I had been... Oh yeah, it's the corporations.
[01:58:30.329 --> 01:58:32.971]  It's the corporations muscling in on us, absolutely.
[01:58:32.971 --> 01:58:35.153]  Alright, thank you so much, Yana Lorraine.
[01:58:35.153 --> 01:58:37.055]  We'll talk to you again soon when you're in studio.
[01:58:37.055 --> 01:58:40.098]  Next week, we'll be right back with special guests in studio.
[01:58:40.098 --> 01:58:46.804]  Stay with us.
[01:58:46.804 --> 01:58:47.664]  Incrementalism.
[01:58:48.530 --> 01:58:50.231]  The Inchworm Effect.
[01:58:50.231 --> 01:58:52.613]  Successive approximation.
[01:58:52.613 --> 01:58:57.496]  First they tell you only stay in your house for 15 days so the hospitals can stay empty.
[01:58:57.496 --> 01:58:58.656]  That was all a fraud.
[01:58:58.656 --> 01:59:00.458]  Then wear a mask for a month.
[01:59:00.458 --> 01:59:02.379]  Here we are six months later.
[01:59:02.379 --> 01:59:12.325]  Then they start making people at colleges and at big corporations wear wristbands showing that they've been, quote, contact traced and tested for COVID.
[01:59:12.325 --> 01:59:13.326]  Then comes the apps.
[01:59:13.806 --> 01:59:35.949]  on your phones and the global social credit score now being rolled out by Virginia California and others it's not coming it's here and then the inoculations if you ever want to leave your house which amounts to forced inoculations this is the medical tyranny takeover these are not classic vaccines that have their own problems these are dna vaccines that change your dna and are having
[01:59:36.129 --> 01:59:38.551]  Massive, serious side effects.
[01:59:38.551 --> 01:59:39.231]  Guaranteed.
[01:59:39.231 --> 01:59:41.193]  This is about depopulation.
[01:59:41.193 --> 01:59:42.614]  Bill Gates admits that.
[01:59:42.614 --> 01:59:43.855]  This is an emergency.
[01:59:43.855 --> 01:59:45.236]  Resist or die.
[01:59:45.236 --> 01:59:46.277]  The New World Order is here.
[01:59:55.069 --> 01:59:59.415]  If you are receiving this transmission, you are the resistance.
[01:59:59.415 --> 02:00:01.057]  It's Alex Jones.
[02:00:10.589 --> 02:00:20.959]  Really laid out how he was set up by the cancel culture, how he was set up by these frauds that consciously were there to demonize him and other young people, but it blew up in their evil faces.
[02:00:20.959 --> 02:00:28.687]  One of the guys involved in championing the Covington Catholic School kids is here with us, Ali Alexander, visiting us in studio again.
[02:00:28.687 --> 02:00:30.229]  But here's some of what he had to say at the RNC.
[02:00:33.715 --> 02:00:35.336]  Good evening, everyone.
[02:00:35.336 --> 02:00:45.922]  My name is Nick Samman, and I'm the teenager who was defamed by the media after an encounter with a group of protesters on the steps of the Lincoln Memorial last year.
[02:00:45.922 --> 02:00:55.188]  Before I begin, I'd like to thank President Trump for the opportunity to share some of my story and why it matters so much to this November's election.
[02:00:55.188 --> 02:01:01.052]  In 2019, I attended the March for Life in Washington, D.C., where I demonstrated in defense of the unborn.
[02:01:02.062 --> 02:01:17.610]  Later that day, I bought a Make America Great Again hat because our president, Donald Trump, has distinguished himself as one of the most pro-life presidents in the history of our country, and I wanted to express my support for him too.
[02:01:17.610 --> 02:01:24.173]  Looking back now, how could I have possibly imagined that the simple act of putting on that red hat
[02:01:25.094 --> 02:01:25.535]  We're good to go.
[02:01:40.293 --> 02:01:57.116]  I found myself face to face with Nathan Phillips and other professional protesters looking to turn me into the latest poster child, showing why Trump is bad, while the media portrayed me as an aggressor with a relentless smirk on my face.
[02:01:57.116 --> 02:02:04.058]  In reality, the video confirms I was standing with my hands behind my back and an awkward smile on my face that hid two thoughts.
[02:02:05.015 --> 02:02:11.078]  One, don't do anything that might further agitate the man banging a drum in my face.
[02:02:11.078 --> 02:02:21.564]  And two, I was trying to follow a family friend's advice, never to do anything to embarrass your family, your school, or your community.
[02:02:21.564 --> 02:02:24.886]  Before I knew what was happening, it was over.
[02:02:24.886 --> 02:02:29.368]  One of Mr. Phillips' fellow agitators yelled out, we got him.
[02:02:29.368 --> 02:02:32.590]  It's all right here on video, and we won, Grandpa.
[02:02:33.663 --> 02:02:41.145]  What I thought was a strange encounter quickly developed into a major news story complete with video footage.
[02:02:41.145 --> 02:02:44.146]  My life changed forever in that one moment.
[02:02:44.146 --> 02:02:48.827]  The full war machine of the mainstream media revved up into attack mode.
[02:02:48.827 --> 02:03:00.290]  They did so without researching the full video of the incident, without ever investigating Mr. Phillips' motives, or without ever asking me for my side of the story.
[02:03:00.290 --> 02:03:00.970]  And do you know why?
[02:03:02.219 --> 02:03:05.220]  Because the truth was not important.
[02:03:05.220 --> 02:03:12.201]  Advancing their anti-Christian, anti-conservative, anti-Donald Trump narrative was all that mattered.
[02:03:12.201 --> 02:03:20.002]  And if advancing their narrative ruined the reputation and future of a teenager from Covington, Kentucky, well so be it.
[02:03:20.002 --> 02:03:22.663]  That would teach him not to wear a mega hat.
[02:03:22.663 --> 02:03:24.883]  I learned what was happening to me had a name.
[02:03:24.883 --> 02:03:27.264]  It was called being cancelled.
[02:03:28.317 --> 02:03:29.897]  As in annulled?
[02:03:29.897 --> 02:03:31.518]  As in revoked?
[02:03:31.518 --> 02:03:33.398]  As in made void?
[02:03:33.398 --> 02:03:39.480]  Cancelled is what's happening to people around this country who refuse to be silenced by the far left.
[02:03:39.480 --> 02:03:44.321]  Many are being fired, humiliated, or even threatened.
[02:03:44.321 --> 02:03:48.682]  And often, the media is a willing participant.
[02:03:48.682 --> 02:03:50.983]  But I would not be cancelled.
[02:03:50.983 --> 02:03:56.024]  I fought back hard to expose the media for what they did to me, and I won a personal victory.
[02:03:57.213 --> 02:03:59.115]  Well, much more must be done.
[02:03:59.115 --> 02:04:06.402]  I look forward to the day that the media returns to providing balanced, responsible, and accountable news coverage.
[02:04:06.402 --> 02:04:09.145]  I know President Trump hopes for that, too.
[02:04:09.145 --> 02:04:17.053]  And I know you'll agree with me when we say that no one in this country has been a victim of unfair media coverage more than President Donald Trump.
[02:04:18.123 --> 02:04:30.426]  In November, I believe this country must unite around a president who calls the media out and refuses to allow them to create a narrative instead of reporting the facts.
