[00:00:06.602 --> 00:00:08.624]  It's Monday, October 12th.
[01:46:36.903 --> 01:46:37.223]  I agree.
[01:46:52.785 --> 01:46:59.348]  Peto, satanic, whatever, sex trafficking, whatever they got going on over there.
[01:46:59.348 --> 01:47:08.592]  Every time we get more info, oh, the COVID, it's increased, lockdowns, Trump versus whoever with the elections.
[01:47:08.592 --> 01:47:10.873]  They're all distractions to what we're all waiting for.
[01:47:10.873 --> 01:47:12.734]  Ma'am, ma'am, I'm so glad you called.
[01:47:12.734 --> 01:47:13.374]  Don't hang up, Cece.
[01:47:13.374 --> 01:47:14.835]  I'm going to give you the floor for a few minutes.
[01:47:14.835 --> 01:47:20.778]  But hundreds of times the last year, I've been driving into work saying, what should I start the show with?
[01:47:21.800 --> 01:47:23.201]  The last eight months, really.
[01:47:23.201 --> 01:47:29.605]  And it's that the globalists are panicking, we're awake to them, we're exposing their pedophile rings.
[01:47:29.605 --> 01:47:34.728]  Now they're doing this siege and lockdown to distract us from the fact that their house of cards is coming down.
[01:47:34.728 --> 01:47:36.789]  And you called and made the point.
[01:47:36.789 --> 01:47:37.389]  Please continue.
[01:47:40.467 --> 01:47:41.908]  I'm sickened by it.
[01:47:41.908 --> 01:47:46.651]  And every day I wake up looking for a headline of who's going to get arrested.
[01:47:46.651 --> 01:47:50.113]  So now Barr, he has to make these arrests.
[01:47:50.113 --> 01:47:58.918]  Trump's telling them to press forward with the arrest that if anybody's paying attention, we know it has to be, something has to be involved with those emails that's let out.
[01:47:58.918 --> 01:48:01.220]  So what are those emails?
[01:48:01.220 --> 01:48:02.620]  I mean, is anybody talking about that?
[01:48:02.620 --> 01:48:06.483]  Because I haven't read anything about what those emails contain.
[01:48:08.154 --> 01:48:14.876]  Well, they're releasing official State Department emails as they go through them, and I don't think you're going to see the real meat and potatoes come out.
[01:48:14.876 --> 01:48:16.097]  Trump has ordered them released.
[01:48:16.097 --> 01:48:21.759]  He knows they have the full list, but their own bureaucracies are too scared because they're too blackmailed to do it.
[01:48:21.759 --> 01:48:23.740]  But, I mean, what's in there is paper play.
[01:48:24.680 --> 01:48:27.563]  It's foreign governments and individuals paying her foundation.
[01:48:27.563 --> 01:48:37.111]  It's even come out in some of the emails previously, in WikiLeaks, where they give her foundation a million dollars, she literally gives them a concession that they want at the State Department.
[01:48:37.111 --> 01:48:38.412]  So that's what's in there.
[01:48:40.219 --> 01:48:44.864]  Well, that's what I'm waiting on, and that's a big kahunas for me.
[01:48:44.864 --> 01:48:48.167]  You know, all of this other stuff is all a big distraction.
[01:48:48.167 --> 01:48:49.928]  Yeah, we got the COVID.
[01:48:49.928 --> 01:48:51.390]  Yeah, we got the lockdowns.
[01:48:51.390 --> 01:48:52.431]  Oh, it's airborne.
[01:48:52.431 --> 01:48:53.472]  It's not airborne.
[01:48:53.472 --> 01:48:54.533]  It's just so much.
[01:48:54.533 --> 01:48:57.356]  You can't keep up with what's going on from day to day.
[01:48:57.356 --> 01:48:58.617]  It's causing everybody stress.
[01:48:59.077 --> 01:49:08.304]  Which is exactly what they want to cause and create chaos, remembering this is a spiritual war.
[01:49:08.304 --> 01:49:17.111]  We've all forgotten that, caught up in the elections, caught up in all this other stuff, that this is so much bigger than what we even talk about on the day-to-day.
[01:49:17.111 --> 01:49:20.734]  Exactly, and when we all get frustrated by the evil and the corruption and them suppressing us...
[01:49:21.314 --> 01:49:26.736]  Give it to God and realize that what's happened to us is nothing compared to what happened to the unborn babies, the already born babies.
[01:49:26.736 --> 01:49:31.397]  And then it's up to us to turn it over to God and tell God to tell us what to do and be humble.
[01:49:31.397 --> 01:49:34.618]  And that God, we've got to direct us and that that will then happen.
[01:49:34.618 --> 01:49:35.579]  But we've got to turn it over.
[01:49:35.579 --> 01:49:37.179]  That's what I do myself every day now.
[01:49:37.179 --> 01:49:39.460]  I just pray to God and I say, God, you take control.
[01:49:39.460 --> 01:49:43.141]  Please give me peace so I don't get so mad and so I don't go crazy.
[01:49:43.141 --> 01:49:44.942]  And I think that's the prayer to say.
[01:49:44.942 --> 01:49:45.462]  Do you agree with me?
[01:49:46.340 --> 01:50:02.385]  I totally agree with you, and that's the only way to go about it, because when they come knocking at your door, you said something in a show I heard years ago, by the way, I've been listening to you for over 10 years, you said something in a show years ago, when somebody comes knocking at your door, ask you, whose team are you on?
[01:50:02.385 --> 01:50:04.846]  Are you with God or no?
[01:50:04.846 --> 01:50:11.128]  And at that moment, you will have to answer the question, and if they're going to blow your head off right there in that moment, what are you going to say?
[01:50:11.128 --> 01:50:13.289]  Are you going to lie, or are you going to just
[01:50:13.990 --> 01:50:15.813]  Embrace the grace of God in that moment.
[01:50:15.813 --> 01:50:21.041]  And that's exactly the place that I think we're in right now with the vaccine.
[01:50:21.041 --> 01:50:24.907]  We're going to be faced with a decision to make very soon.
[01:50:24.907 --> 01:50:27.672]  And I call it in my household, the big decision.
[01:50:28.303 --> 01:50:29.884]  We discuss it as a family.
[01:50:29.884 --> 01:50:30.924]  What are you going to do?
[01:50:30.924 --> 01:50:31.744]  It is.
[01:50:31.744 --> 01:50:34.685]  And what do you do to fight so your family doesn't get in that position?
[01:50:34.685 --> 01:50:42.588]  But you saw what happened in Kenya five, six years ago, where the Muslims came into the nice shopping mall, as nice as any one we have here.
[01:50:42.588 --> 01:50:45.229]  Kenya's a nice country, good Christian people.
[01:50:45.229 --> 01:50:50.892]  And they came in there and they lined up families and said, are you a Christian?
[01:50:50.892 --> 01:50:53.032]  And if they said yes, they blew their heads off.
[01:50:53.032 --> 01:50:54.133]  And the majority of the people
[01:50:55.256 --> 01:50:57.738]  Who are Christians said, I'm a Christian and died.
[01:50:57.738 --> 01:50:59.459]  That's real courage.
[01:50:59.459 --> 01:51:01.080]  That's, that's to not deny Christ.
[01:51:01.080 --> 01:51:05.403]  I mean, I'll be honest, some Al Qaeda guys putting a gun to my head, I'd probably lie to get out of it.
[01:51:05.403 --> 01:51:09.727]  But, but I get they saw it as a biblical thing of denying Christ and didn't do it.
[01:51:11.108 --> 01:51:19.836]  And, you know, I'd live to fight another day, but I've got to say I honor those people, because there will become that point where you've got to take the microchip, which will then take control of your life.
[01:51:19.836 --> 01:51:21.217]  You don't just take the chip, folks.
[01:51:21.217 --> 01:51:25.221]  The chip then governs the decisions you make, so you've got to serve the chip and do evil.
[01:51:25.221 --> 01:51:26.742]  That's why you lose God.
[01:51:26.742 --> 01:51:28.043]  And I will not do that.
[01:51:28.043 --> 01:51:29.084]  I will not take a chip either.
[01:51:29.084 --> 01:51:31.907]  But somebody had a gun to me in my kids' heads and said, denounce Christ?
[01:51:31.907 --> 01:51:33.408]  I'm not going to lie to you, I might do it.
[01:51:33.408 --> 01:51:35.791]  But, I mean, those Africans, they didn't do it, they died.
[01:51:48.991 --> 01:51:53.294]  Now it's easier than ever to have Band.Video on your iPhone.
[01:51:53.294 --> 01:51:56.796]  Simply go to Band.Video with your Safari browser.
[01:51:56.796 --> 01:52:00.059]  Then you click the Share button at the bottom of the screen.
[01:52:00.059 --> 01:52:03.601]  When the menu comes up, you simply click Add to Home Screen.
[01:52:03.601 --> 01:52:05.843]  It will then ask you to name the app.
[01:52:05.843 --> 01:52:07.264]  I suggest Band.Video.
[01:52:07.924 --> 01:52:13.387]  You will now have BAN.VIDEO app on your home screen, despite the fact that Tim Cook tried to stop it.
[01:52:13.387 --> 01:52:21.872]  The globalists think you're lazy, but by taking a little bit of action, you can override them, have the app, and then tell others about it so they can get the app.
[01:52:21.872 --> 01:52:28.576]  So it's up to you whether you want to defy big tech and click the share buttons below on your email, on Facebook, on Twitter, on YouTube.
[01:52:28.576 --> 01:52:31.398]  However you want, be sure and share BAN.VIDEO.
[01:52:39.781 --> 01:52:47.106]  InfoWars is a archetypal classic example of free, independent, organic resistance against tyranny.
[01:52:47.106 --> 01:52:48.547]  You built InfoWars.
[01:52:48.547 --> 01:52:50.048]  You spread the word.
[01:52:50.048 --> 01:52:51.249]  You prayed for us.
[01:52:51.249 --> 01:52:52.630]  You bought the products.
[01:52:52.630 --> 01:52:53.790]  You called in.
[01:52:53.790 --> 01:52:55.151]  You made recommendations.
[01:52:55.151 --> 01:52:57.813]  InfoWars is as much yours as it is mine.
[01:52:57.813 --> 01:53:06.299]  And that's why the enemy is so upset that under the deplatforming, under all the DNC lawsuits, under all the attack, in many ways, we've become stronger.
[01:53:06.299 --> 01:53:09.481]  With Band.Video, the redesigned InfoWars, with all of our great crew,
[01:53:09.961 --> 01:53:15.924]  With documentary films and 10 hours of live radio and TV a day.
[01:53:15.924 --> 01:53:17.265]  We are the resistance.
[01:53:17.265 --> 01:53:18.146]  You are the resistance.
[01:53:18.146 --> 01:53:28.251]  So remember this arsenal of freedom is waiting for you to continue to spread the word about it and to continue for you to support because this is something we built together.
[01:53:28.251 --> 01:53:29.572]  It's not just a national treasure.
[01:53:29.572 --> 01:53:34.014]  It's a treasure worldwide against the tyrants and they know it and they can't stand it.
[01:53:34.014 --> 01:53:37.656]  And as everything we talked about comes true, our credibility only goes up together.
[01:53:37.656 --> 01:53:38.557]  So I salute you all.
[01:53:42.443 --> 01:53:51.167]  You're listening to the Alex Jones Show!
[01:53:51.167 --> 01:53:56.250]  Alright, we're going to get to Trina and Anthony and everybody that's patiently holding.
[01:53:56.250 --> 01:54:03.753]  We've got Laura Limmer popping in as well today, but Amy Coney Barrett just started speaking.
[01:54:03.753 --> 01:54:08.736]  So let's start playing a few minutes of what she's saying right now in the opening day of the hearings.
[01:54:18.122 --> 01:54:30.168]  Ranking Member Feinstein and members of the committee, I'm honored and humbled to appear before you today as a nominee for Associate Justice of the Supreme Court.
[01:54:30.168 --> 01:54:40.914]  I thank the President for entrusting me with this profound responsibility, as well as for the graciousness that he and the First Lady have shown my family throughout this process.
[01:54:42.665 --> 01:54:48.907]  I thank Senator Young for introducing me, as he did at my hearing, to serve on the Seventh Circuit.
[01:54:48.907 --> 01:54:53.029]  And I also thank Senator Braun for his support.
[01:54:53.029 --> 01:55:02.512]  And while she could not be with us via the satellite, I am also grateful to former Dean Patty O'Hara of the Notre Dame Law School.
[01:55:02.512 --> 01:55:08.895]  She hired me as a professor nearly 20 years ago, and she has been a mentor, colleague, and friend ever since.
[01:55:10.839 --> 01:55:19.484]  I thank the members of this committee and your other colleagues in the Senate who have taken the time to meet with me since my nomination.
[01:55:19.484 --> 01:55:22.707]  It's been a privilege to meet you.
[01:55:22.707 --> 01:55:28.350]  As I said when I was nominated to serve as a Justice, I'm used to being in a group of nine.
[01:55:28.350 --> 01:55:30.091]  My family.
[01:55:30.091 --> 01:55:35.695]  Nothing is more important to me and I'm very proud to have them behind me.
[01:55:35.695 --> 01:55:38.096]  My husband Jesse and I have been married for 21 years.
[01:55:39.929 --> 01:55:44.851]  He has been a selfless and wonderful partner every step of the way.
[01:55:44.851 --> 01:55:49.133]  I once asked my sister, why do you think marriage is hard?
[01:55:49.133 --> 01:55:51.013]  People are always saying that.
[01:55:51.013 --> 01:55:52.754]  I think it's easy.
[01:55:52.754 --> 01:55:57.976]  And she looked at me and said, well, maybe you should ask Jesse if he agrees with that.
[01:55:57.976 --> 01:56:04.499]  I decided not to take her advice, because I know that I am far luckier in love than I deserve.
[01:56:04.499 --> 01:56:07.420]  Jesse and I are parents to seven wonderful children.
[01:56:08.539 --> 01:56:15.806]  Our oldest daughter, Emma, is a sophomore in college who just might follow her parents into a career in the law.
[01:56:15.806 --> 01:56:19.289]  Next is Vivian, who came to us from Haiti.
[01:56:19.289 --> 01:56:31.540]  When Vivian arrived, she was so weak that we were told she might never talk or walk normally, but now she deadlifts as much as the male athletes in our gym, and I assure you she has no trouble talking.
[01:56:32.952 --> 01:56:43.243]  Tess is 16, and while she shares her parents' love for the liberal arts, she also has a math gene that seems to have skipped her parents' generation.
[01:56:43.243 --> 01:56:48.428]  John Peter joined us shortly after the devastating earthquake in Haiti.
[01:56:48.428 --> 01:56:55.436]  And Jesse, who brought him home, still describes the shock on JP's face when he got off the plane in wintertime Chicago.
[01:56:56.858 --> 01:57:04.445]  Once that shock wore off, JP assumed the happy-go-lucky attitude that is still his signature trait.
[01:57:04.445 --> 01:57:12.792]  Liam is smart, strong, and kind, and to our delight, he still loves watching movies with mom and dad.
[01:57:12.792 --> 01:57:21.940]  Ten-year-old Juliet is already pursuing her goal of becoming an author by writing multiple essays and short stories, one of which she recently submitted for publication.
[01:57:22.970 --> 01:57:26.032]  And our youngest, Benjamin, is at home with friends.
[01:57:26.032 --> 01:57:30.635]  Benjamin has Down Syndrome and he is the unanimous favorite of the family.
[01:57:30.635 --> 01:57:37.719]  He was watching the hearing this morning, I'm told, and he was calling out our names as he saw the kids in the back.
[01:57:37.719 --> 01:57:41.262]  My own siblings are here, some in the hearing room and some nearby.
[01:57:42.321 --> 01:57:48.163]  Carrie, Megan, Eileen, Amanda, Vivian, and Michael are my oldest and dearest friends.
[01:57:48.163 --> 01:57:56.086]  We've seen each other through both the happy and hard parts of life, and I am so grateful that they are with me now.
[01:57:56.086 --> 01:58:01.028]  My parents, Mike and Linda Coney, are watching from their New Orleans home.
[01:58:01.028 --> 01:58:06.330]  My father was a lawyer and my mother was a teacher, which explains why I became a law professor.
[01:58:09.013 --> 01:58:17.775]  More important, my parents modeled for me and my six siblings a life of service, principle, faith, and love.
[01:58:17.775 --> 01:58:28.017]  I remember preparing for a grade school spelling bee against a boy in my class, and to boost my confidence, my dad sang, anything boys can do, girls can do better.
[01:58:28.017 --> 01:58:32.118]  And at least as I remember it, I spelled my way to victory.
[01:58:32.118 --> 01:58:35.559]  I received similar encouragement from the devoted teachers at St.
[01:58:35.559 --> 01:58:38.120]  Mary's Dominican, my all-girls high school in New Orleans.
[01:58:39.144 --> 01:58:44.298]  When I went to college, it never occurred to me that anyone would consider girls less capable than boys.
[01:58:47.679 --> 01:58:54.201]  There are almost no free independent media infrastructures in the United States, much less in the entire world.
[01:58:54.201 --> 01:59:00.222]  InfoWars is standalone with our own radio and TV satellite uplinks at hundreds of stations picking us up.
[01:59:00.222 --> 01:59:10.665]  Almost no one else has that, especially anybody covering real issues of global populism, the right to self-defense, and exposing the anti-human globalist death agenda.
[01:59:11.445 --> 01:59:15.686]  That's why when we go out and shoot videos, they're at Band.Video.
[01:59:15.686 --> 01:59:20.147]  They're not allowed to be on Twitter, on YouTube, on Facebook.
[01:59:20.147 --> 01:59:28.549]  That's why it's so precious, because the censorship expands to everyone, which it is now, with AI monitoring and controlling what you can say and do.
[01:59:28.549 --> 01:59:35.471]  It's going to be the OACs like Band.Video and the now redesigned InfoWars.com that become more and more important, which they are.
[01:59:35.911 --> 01:59:43.460]  And the enemy is suing us, attacking us, hacking us, lying about us, sabotaging us, infiltrating us, trying to shut us down right now.
[01:59:43.460 --> 01:59:45.382]  They're coming after everyone.
[01:59:45.382 --> 01:59:46.304]  So spread the word now.
[01:59:57.882 --> 02:00:03.306]  Live, raw, and unfiltered by globalist propaganda.
[02:00:03.306 --> 02:00:05.288]  It's the Alex Jones Show.
[02:00:05.288 --> 02:00:10.111]  Tomorrow's news today.
[02:00:10.111 --> 02:00:11.572]  Do you see what I see?
[02:00:11.572 --> 02:00:14.855]  Alright, let's just jam in a ton of calls for this segment.
[02:00:14.855 --> 02:00:17.276]  I had Laura Limber joining us, Amy Coney Barrett speaking.
[02:00:17.276 --> 02:00:20.539]  I don't want to be mean, but it's like paint drying.
[02:00:20.539 --> 02:00:23.401]  Let's go ahead and take a call!
[02:00:23.401 --> 02:00:24.642]  Who's been older the longest here?
[02:00:25.871 --> 02:00:28.512]  That would be Jay in Alabama.
[02:00:28.512 --> 02:00:31.212]  Jay, welcome.
[02:00:31.212 --> 02:00:33.153]  Good afternoon, Alex.
[02:00:33.153 --> 02:00:35.973]  Welcome.
[02:00:35.973 --> 02:00:37.353]  I come back from California.
[02:00:37.353 --> 02:00:38.834]  I'm a long-distance truck driver.
[02:00:38.834 --> 02:00:40.314]  I live in Alabama.
[02:00:40.314 --> 02:00:42.895]  Thursday, I went and I voted.
[02:00:42.895 --> 02:00:48.716]  And I had to literally call the police to get a ballot.
[02:00:48.716 --> 02:00:51.276]  I don't speak so well.
[02:00:51.276 --> 02:00:53.337]  Anyways, I couldn't get in the building.
[02:00:54.198 --> 02:00:56.739]  They asked me if I wanted charges.
[02:00:56.739 --> 02:00:58.499]  I said I didn't want charges.
[02:00:58.499 --> 02:01:02.761]  I wanted to conduct my civic duty.
[02:01:02.761 --> 02:01:06.322]  And he said your civic duty is to wear a mask.
[02:01:06.322 --> 02:01:09.743]  And I told him I had a letter from my doctor.
[02:01:09.743 --> 02:01:17.305]  I have a muscular disease and it makes it difficult to breathe and I get very dizzy and lightheaded when I
[02:01:18.050 --> 02:01:26.458]  Sure, and federal and state law says their regulations are unenforceable, but they must let you not wear a mask if you claim that you have a medical or psychological issue.
[02:01:26.458 --> 02:01:32.583]  So what you're saying is, they tried to block your right to vote because you weren't wearing a face diaper.
[02:01:32.583 --> 02:01:36.927]  Yeah, they wouldn't even look at the letter written from my neurologist.
[02:01:36.927 --> 02:01:39.690]  The guy was really a not-nice guy.
[02:01:39.690 --> 02:01:41.711]  Can you give his name and number?
[02:01:41.711 --> 02:01:42.973]  Can you call the Republican Party?
[02:01:42.973 --> 02:01:44.194]  A lawsuit needs to be filed right now.
[02:01:45.822 --> 02:01:47.763]  Well, one thing led to another.
[02:01:47.763 --> 02:01:51.845]  I called the police and another officer went down and got me a ballot.
[02:01:51.845 --> 02:02:02.791]  And I thought about that, and I thought about that, and I probably should, but... No, but did they let you fill a ballot out outside?
[02:02:02.791 --> 02:02:03.412]  Yes, sir.
[02:02:03.412 --> 02:02:04.052]  Yes, sir.
[02:02:04.052 --> 02:02:06.153]  Wow.
[02:02:06.153 --> 02:02:08.594]  And the funny thing is, I wasn't the only one.
[02:02:08.594 --> 02:02:14.838]  There was another vehicle that rode up and I seen the same woman that brought me my ballot out, brought it out for this other woman also.
[02:02:15.669 --> 02:02:20.674]  But they ought to have some type of a booth set up outside for people that can't bring that thing on.
[02:02:20.674 --> 02:02:22.615]  Oh look, Gates says that the masks never come off.
[02:02:22.615 --> 02:02:29.542]  They're teaching us to be neurotic, to be afraid of our own shadows, to never leave our houses, to all work from home.
[02:02:29.542 --> 02:02:30.903]  I mean, we're being taught to be obsolete.
[02:02:30.903 --> 02:02:34.526]  This is a giant psychological wound on humanity.
[02:02:34.526 --> 02:02:37.269]  So it's your civic duty was to expose the fraud.
[02:02:37.269 --> 02:02:38.410]  We only can salute you, Jay.
[02:02:38.410 --> 02:02:39.131]  What else is on your mind?
[02:02:40.459 --> 02:02:42.661]  Um, I take a lot of your products.
[02:02:42.661 --> 02:02:44.462]  I'm going to miss your 8-pack PowerStack.
[02:02:44.462 --> 02:02:46.704]  I bought four extra boxes.
[02:02:46.704 --> 02:02:48.886]  I hope you formulate something.
[02:02:48.886 --> 02:02:51.548]  As a truck driver, it really keeps me going.
[02:02:51.548 --> 02:02:55.691]  And, uh, you got my wife actually, uh, changed her mind.
[02:02:55.691 --> 02:02:57.712]  She's been listening to you.
[02:02:57.712 --> 02:03:04.377]  And, uh, she's petrified, to be honest with you, what's going on in all these other nations.
[02:03:04.377 --> 02:03:06.519]  And she's worried it's coming here.
[02:03:06.519 --> 02:03:08.901]  And she's asking me, where are the troops from China?
[02:03:09.876 --> 02:03:12.037]  And I tell her, she said, let's go to Canada.
[02:03:12.037 --> 02:03:14.618]  I said, no, you don't want to go to Canada.
[02:03:14.618 --> 02:03:17.199]  And let's go to, let's get, you know, let's get out of here.
[02:03:17.199 --> 02:03:19.600]  And I'm like, this is the last, this is, this is our battle.
[02:03:19.600 --> 02:03:20.341]  This is what we got.
[02:03:20.341 --> 02:03:21.461]  This is the last stand.
[02:03:21.461 --> 02:03:24.183]  She has to know it's not going to be overt at first.
[02:03:24.183 --> 02:03:29.885]  It's all covert where they have UN regulations taken over the police or where the Chinese communists own Hollywood.
[02:03:29.885 --> 02:03:31.186]  It's not up front.
[02:03:31.186 --> 02:03:32.646]  It's all creeping death.
[02:03:32.646 --> 02:03:35.067]  That's why they can't stand exposure.
[02:03:35.067 --> 02:03:36.748]  That's why they want to censor everybody.
[02:03:36.748 --> 02:03:38.569]  That's why we're actually powerful and they aren't.
[02:03:41.587 --> 02:03:44.288]  We got plenty of guns here in Alabama.
[02:03:44.288 --> 02:03:46.608]  And my neighborhood is a pretty secure neighborhood.
[02:03:46.608 --> 02:03:47.308]  I love Alabama.
[02:03:47.308 --> 02:03:48.789]  Oh brother, you're in the right state.
[02:03:48.789 --> 02:03:50.789]  You're in the one of the right states during a breakdown.
[02:03:50.789 --> 02:03:51.349]  God bless you.
[02:03:51.349 --> 02:03:52.530]  Could talk to you for 10 hours.
[02:03:52.530 --> 02:03:53.950]  Let's get to everybody here.
[02:03:53.950 --> 02:03:54.990]  Okay, who's up next?
[02:03:54.990 --> 02:03:57.051]  Who's going to come along with us now?
[02:03:57.051 --> 02:04:04.953]  That would be... Go to Trina in a minute, but right now let's go to Tom in Tennessee.
[02:04:04.953 --> 02:04:05.573]  Scott and others.
[02:04:05.573 --> 02:04:06.073]  Go ahead, Tom.
[02:04:08.069 --> 02:04:13.090]  Hey, I've been listening for years and years and years.
[02:04:13.090 --> 02:04:14.350]  Thank you.
[02:04:14.350 --> 02:04:15.450]  I'm a lawyer in Nashville.
[02:04:15.450 --> 02:04:25.492]  I've been working with a young man who's a veteran, 101st Airborne, worked two tours in Iraq and JDOC Center positioning drone strikes.
[02:04:25.492 --> 02:04:28.733]  But he's developed a system and we launched it this week.
[02:04:28.733 --> 02:04:37.755]  And the application is going to link together workers in the voting stations with law enforcement so that the people in the voting station can
[02:04:39.783 --> 02:04:43.246]  And that's what Trump's called for.
[02:04:43.246 --> 02:04:44.867]  Tell me more about this.
[02:04:44.867 --> 02:04:45.627]  Is there a website?
[02:04:45.627 --> 02:04:48.209]  How do people contact you?
[02:04:48.209 --> 02:04:52.793]  Yeah, they can go to our corporate website, sirtaf.net.
[02:04:52.793 --> 02:04:58.177]  And that's S-I-R-T-A-F dot net.
[02:04:58.177 --> 02:05:02.440]  And the application is free for the polling stations and for law enforcement.
[02:05:03.254 --> 02:05:09.247]  And it's going to do a great job of allowing instant communications and help for suspicious actions.
[02:05:09.247 --> 02:05:13.677]  It's a military-grade application, so we're real excited about it.
[02:05:14.335 --> 02:05:16.796]  Well, I'm excited about it because you've got the U.N.
[02:05:16.796 --> 02:05:23.899]  overseeing elections and the left doing it, but oh, if a conservative tries to oversee it, everyone should also volunteer to be poll watchers by law.
[02:05:23.899 --> 02:05:26.660]  In almost every state, they're supposed to put you in there.
[02:05:26.660 --> 02:05:31.821]  Sure, if you randomly show up and say you're a poll watcher, they can say you're intimidating, but that's not what's happening.
[02:05:31.821 --> 02:05:32.742]  But say the website again.
[02:05:32.742 --> 02:05:33.382]  I want to check it out.
[02:05:33.382 --> 02:05:34.883]  How do people find it?
[02:05:34.883 --> 02:05:35.343]  All right.
[02:05:35.343 --> 02:05:39.344]  It's SIRTAF, S-I-R-T-A-F.
[02:05:39.344 --> 02:05:44.126]  And that stands for Special Incident Response Military Grade Security dot net.
[02:05:44.608 --> 02:05:51.331]  We're also going to be working with Catherine Engelbrecht at True to Vote to help her volunteer network.
[02:05:51.331 --> 02:05:54.772]  She has a huge network of people and does some wonderful work.
[02:05:54.772 --> 02:05:56.713]  We're going to help her protect them.
[02:05:56.713 --> 02:06:00.835]  We don't have it out for citizens yet, but we're going to expand it in November.
[02:06:01.485 --> 02:06:06.228]  So they'll be out there for all of us, for store owners and whomever, so.
[02:06:06.228 --> 02:06:07.969]  Tom, you're taking action in Tennessee.
[02:06:07.969 --> 02:06:08.489]  We love you.
[02:06:08.489 --> 02:06:10.190]  Thank you so much.
[02:06:10.190 --> 02:06:13.392]  All right, up next is Jonathan in Georgia, then Trina.
[02:06:13.392 --> 02:06:20.936]  Jonathan, thanks for holding.
[02:06:20.936 --> 02:06:21.837]  Hey, Alex.
[02:06:21.837 --> 02:06:22.998]  Hey, Jonathan.
[02:06:22.998 --> 02:06:24.358]  How you doing, Alex?
[02:06:24.358 --> 02:06:24.879]  I'm good, brother.
[02:06:24.879 --> 02:06:25.079]  Go ahead.
[02:06:26.365 --> 02:06:52.724]  So I remember you had mentioned this about six months ago about you trying to start up maybe a Hispanic version of the show because you know I watched Caitlin Bennett's video I think earlier today she dropped it was about the title I think was let Latinos waking up and you know I'm a Latino myself and I think it's you know it's quite exciting seeing that kind of stuff come out because in reality more and more
[02:06:53.851 --> 02:06:59.235]  I totally agree and the Democrats are scared.
[02:06:59.235 --> 02:07:04.959]  Big Politico articles out in Florida, how the majority of Hispanics they talk to are going to go Trump.
[02:07:04.959 --> 02:07:07.560]  And because they see right through what's going on, that's beautiful.
[02:07:07.560 --> 02:07:09.181]  That's scaring the hell out of them.
[02:07:09.181 --> 02:07:09.822]  What are you seeing?
[02:07:23.485 --> 02:07:24.405]  I don't know.
[02:07:24.405 --> 02:07:25.426]  I don't know.
[02:07:51.144 --> 02:07:55.946]  They need to input that family value back into their children and into the community.
[02:07:55.946 --> 02:07:56.747]  Well, absolutely.
[02:07:56.747 --> 02:08:00.409]  Communism and socialism is run by big megabags to enslave us.
[02:08:00.409 --> 02:08:02.250]  And anybody that thinks otherwise is an idiot.
[02:08:02.250 --> 02:08:07.272]  We've got problems in America, but if we want big problems, we need to let the Democratic Party take over.
[02:08:07.272 --> 02:08:11.634]  Because Trump's running ads where he says, you know, Communists have taken over the Democratic Party.
[02:08:11.634 --> 02:08:12.995]  Don't let them take over America.
[02:08:12.995 --> 02:08:13.936]  It's true.
[02:08:13.936 --> 02:08:15.116]  That's what this is.
[02:08:15.116 --> 02:08:16.417]  They're putting us under martial law.
[02:08:16.857 --> 02:08:18.119]  They're trying to lock us in our houses.
[02:08:18.119 --> 02:08:23.806]  They're trying to tell Jews of all groups they picked out of New York they can't leave their houses, but everybody else can.
[02:08:23.806 --> 02:08:27.070]  I mean, this is crazy town.
[02:08:27.070 --> 02:08:28.212]  Absolute crazy town.
[02:08:28.212 --> 02:08:29.694]  What else are you witnessing, Jonathan?
[02:08:32.535 --> 02:08:35.076]  Yeah, I mean, and that's why they're starting to stand up.
[02:09:00.925 --> 02:09:08.311]  Like on topics like that and starting to actually do their own research and a lot of them are just starting to wake up and it's just a really good thing that I'm seeing.
[02:09:08.311 --> 02:09:09.772]  God bless you brother.
[02:09:09.772 --> 02:09:10.352]  Thank you so much.
[02:09:10.352 --> 02:09:12.053]  That's a great, that's a powerful point.
[02:09:12.053 --> 02:09:13.935]  There's a Washington Post headline they hate.
[02:09:15.472 --> 02:09:23.555]  Federal Justice Department finds children brought in under Obama's child program put into child sex trafficking.
[02:09:23.555 --> 02:09:27.337]  And so when he did that open the border thing, like a third of them ended up disappearing.
[02:09:27.337 --> 02:09:28.317]  Great points.
[02:09:28.317 --> 02:09:30.338]  Alright, Amy Comey Barrett has finished up her speech.
[02:09:30.338 --> 02:09:31.639]  It was pretty lackluster.
[02:09:31.639 --> 02:09:39.822]  We're about to start the questions, but Laura Loomer's coming up from a major battleground congressional district, Trump's district, Palm Beach, Florida.
[02:09:39.822 --> 02:09:40.963]  Straight ahead, stay with us.
[02:09:45.336 --> 02:09:48.518]  The future isn't coming, it's here.
[02:09:48.518 --> 02:09:57.082]  And in the future, keeping your humanity, saving your soul, your integrity, your very essence, is going to be your most valuable asset.
[02:09:57.082 --> 02:10:00.644]  In fact, it's going to be your only asset.
[02:10:00.644 --> 02:10:13.371]  The world being built by the technocrats, the trap they've now sprung with COVID-19 and the endless lockdown, is the beginning of the process of taking us past domestication into total
[02:10:14.551 --> 02:10:17.113]  Incomplete dehumanization.
