[00:00:02.431 --> 00:00:04.673]  January 21st, 2020.
[01:53:50.052 --> 01:53:57.956]  We couldn't know his name, even though he hadn't witnessed anything, even though he was the one who filed the complaint based on hearsay evidence that began this whole process.
[01:53:57.956 --> 01:54:00.057]  That was national security.
[01:54:00.057 --> 01:54:03.979]  We must endanger national security to protect national security.
[01:54:03.979 --> 01:54:10.423]  We must make a president's conduct threatening our security beyond the reach of impeachment power if we are to save the presidency.
[01:54:11.749 --> 01:54:14.650]  This is dangerous nonsense.
[01:54:14.650 --> 01:54:22.872]  As justices of the Supreme Court have underscored, the Constitution is not a suicide pact.
[01:54:22.872 --> 01:54:30.194]  Showering money on corrupt bureaucrats in the Ukraine does not make us more secure.
[01:54:30.194 --> 01:54:31.134]  Can somebody say that?
[01:54:31.134 --> 01:54:34.895]  Can we stop this insanity of foreign policy that's been going on, bipartisan?
[01:54:34.895 --> 01:54:37.436]  There's a document which the President has refused to turn over.
[01:54:38.376 --> 01:54:54.423]  In which his top diplomat in Ukraine says to two other appointees of the president, as I said on the phone, I think it's crazy to withhold security assistance for help with a political campaign.
[01:54:54.423 --> 01:54:58.685]  The administration refuses to turn over that document and so many more.
[01:54:58.685 --> 01:55:00.826]  We only know about its existence.
[01:55:00.826 --> 01:55:05.368]  We have only seen its contents because it was turned over by a cooperating witness.
[01:55:06.465 --> 01:55:11.390]  This is what the President would hide from you and from the American people.
[01:55:11.390 --> 01:55:17.416]  In the name of national security, he would hide graphic evidence of his dangerous misconduct.
[01:55:17.416 --> 01:55:25.344]  The only question is, and it is the question raised by this resolution, will you let him?
[01:55:25.344 --> 01:55:30.169]  Last year, President Trump said that Article 2 of the Constitution will allow him to do anything he wanted.
[01:55:31.229 --> 01:55:38.833]  And evidently believing that Article 2 empowered him to denigrate and defy a co-equal branch of government, he also declared that he will fight all subpoenas.
[01:55:38.833 --> 01:55:40.694]  Let's hear the President's own words.
[01:55:40.694 --> 01:55:46.838]  Isn't the House denigrating and defying a co-equal branch of government?
[01:55:46.838 --> 01:55:52.241]  Then I have an Article 2 where I have the right to do whatever I want as President.
[01:55:52.241 --> 01:55:56.464]  But we're fighting all the subpoenas!
[01:55:56.464 --> 01:55:58.385]  True to his pledge to obstruct Congress,
[01:55:59.502 --> 01:56:02.183]  When President Trump faced an impeachment inquiry that has to represent him.
[01:56:02.183 --> 01:56:04.304]  The same counsel that stood before you a moment ago to defend the President's misconduct.
[01:56:04.304 --> 01:56:05.825]  He then affirmed it again at a rally on October 10.
[01:56:26.983 --> 01:56:33.332]  Following President Trump's categorical order, we never received key documents and communications.
[01:56:33.332 --> 01:56:43.005]  It is important to note, in refusing to respond to Congress, the President did not make any, any formal claim of privilege, ever.
[01:56:44.235 --> 01:56:59.586]  Instead, Mr. Cipollone's letter stated, in effect, that the President would withhold all evidence in the Executive Branch unless the House surrendered to demands that would effectively place President Trump in charge of the inquiry into his own misconduct.
[01:56:59.586 --> 01:57:04.289]  Needless to say, that was a non-starter and designed to be so.
[01:57:04.289 --> 01:57:07.432]  The President was determined to obstruct Congress no matter what we did.
[01:57:08.257 --> 01:57:19.099]  And his conduct since, his attacks on the impeachment inquiry, his attacks on witnesses, have affirmed that the president never had any intention to cooperate under any circumstance.
[01:57:19.099 --> 01:57:19.499]  And why?
[01:57:19.499 --> 01:57:22.960]  All right, that's Adam Schiff.
[01:57:22.960 --> 01:57:31.241]  Amazing that this is the guy who tells us that it's going to violate national security to expose Eric CIA Romella.
[01:57:31.241 --> 01:57:36.222]  Yes, it would violate what they're trying to do, show where this fiction is coming from.
[01:57:36.222 --> 01:57:36.862]  We'll be right back.
[01:57:36.862 --> 01:57:37.302]  Stay with us.
[01:57:45.851 --> 01:57:58.661]  This is a call for modern-day Paul Reveres, who are all Americans, who are all human beings who bleed red blood, love God, and love justice, and who have awakened to the New World Order threat.
[01:57:58.661 --> 01:58:09.969]  You are the modern Paul Reveres, and without you, no one knows about Bandod Video and our live coverage of the attempt to remove the President in the Senate trial and the Deep State trying to trigger a
[01:58:13.729 --> 01:58:14.270]  We're good.
[01:58:29.841 --> 01:58:36.427]  I spend a lot of time reminding the InfoWars family of listeners and viewers that without you, we won't be on the air.
[01:58:36.427 --> 01:58:37.888]  And I spend a lot of time thanking you.
[01:58:58.223 --> 01:59:05.585]  But I really think you should thank yourself for keeping us on the air and really changing the world for the better and raising the alarm as modern Paul Revere's.
[01:59:05.585 --> 01:59:13.067]  But something I should spend more time on is just reminding you that these products are really amazing.
[01:59:13.067 --> 01:59:21.890]  You've got that pledge from me, but you've seen the third party test out there, the air filtration, the water filtration, the supplements are all the very best you're going to find out there.
[01:59:21.890 --> 01:59:26.451]  And you can't fund an operation anywhere else that's fighting the globalists.
[01:59:27.352 --> 01:59:29.073]  You're listening to the Alex Jones Show!
[02:00:02.532 --> 02:00:04.813]  Broadcasting live from the U.N.
[02:00:04.813 --> 02:00:11.035]  stronghold, Austin, Texas, you're listening to the Alex Jones Show.
[02:00:11.035 --> 02:00:16.477]  And now, your host, David Knight.
[02:00:16.477 --> 02:00:17.058]  Welcome back.
[02:00:17.058 --> 02:00:21.539]  We are covering the Dog & Pony Show at the Senate Live.
[02:00:21.539 --> 02:00:24.100]  Adam Schiff is the dog who is speaking right now.
[02:00:24.100 --> 02:00:25.681]  We had Chuck Schumer earlier.
[02:00:25.681 --> 02:00:28.622]  He went on record saying, this isn't a trial.
[02:00:28.622 --> 02:00:29.262]  No, it's true.
[02:00:29.262 --> 02:00:30.903]  You know, it wasn't a trial in the House.
[02:00:31.764 --> 02:00:35.566]  They didn't allow the Republicans to call any witnesses.
[02:00:35.566 --> 02:00:39.068]  They didn't have any witnesses that actually witnessed or heard anything.
[02:00:39.068 --> 02:00:40.969]  So yeah, it wasn't really a trial.
[02:00:40.969 --> 02:00:44.330]  Chuck Schumer said, this isn't a trial, it's a cover-up.
[02:00:44.330 --> 02:00:48.393]  And that's true also, but not in the way that he means it.
[02:00:48.393 --> 02:00:50.874]  It is a cover-up of the real corruption.
[02:00:52.105 --> 02:00:58.269]  That happened with the Bidens, with Hunter and Joe, and that's what they don't want you to see.
[02:00:58.269 --> 02:00:59.309]  Desperately don't want you to see.
[02:00:59.309 --> 02:01:13.998]  And so as they don't have any real basis for this impeachment, they had no actual facts or actual witnesses, they're now hoping that they can extend this while still keeping anybody from seeing anything about the corruption of the Bidens in Ukraine.
[02:01:13.998 --> 02:01:15.299]  Or why that should be investigated.
[02:01:17.055 --> 02:01:18.516]  They cannot commit crimes.
[02:01:18.516 --> 02:01:22.079]  The only crime is to investigate their crimes.
[02:01:22.079 --> 02:01:26.403]  And so let's go back to Adam Schiff as he is speaking in the Senate.
[02:01:26.403 --> 02:01:30.126]  Another when the president is the cause of his own complaint.
[02:01:30.126 --> 02:01:37.232]  When the president withholds witnesses and documents and then attempts to rely on his own non-compliance to justify further concealment.
[02:01:38.783 --> 02:01:50.450]  President Trump made it crystal clear we would never see a single document or a single witness when he declared, as we just watched, that he would fight all subpoenas.
[02:01:50.450 --> 02:02:02.898]  As a matter of history and precedent, it would be wrong to assert that the Senate is unable to obtain and review new evidence during a Senate trial, regardless of why evidence was not produced in the House.
[02:02:02.898 --> 02:02:04.619]  You can and should insist
[02:02:05.549 --> 02:02:17.696]  I'm receiving all the evidence so you can render impartial justice and can earn the confidence of the public in the Senate's willingness to hold a fair trial.
[02:02:17.696 --> 02:02:23.279]  Under the Constitution, the Senate does not just vote on impeachments.
[02:02:23.279 --> 02:02:26.121]  It does not just debate them.
[02:02:26.121 --> 02:02:31.404]  Instead, it is commanded by the Constitution to try all cases of impeachment.
[02:02:32.870 --> 02:02:41.598]  If the founders intended for the House to try the matter and the Senate to consider an appeal based on the cold record from the other chamber, they would have said so.
[02:02:41.598 --> 02:02:42.419]  But they did not.
[02:02:42.419 --> 02:02:49.285]  Instead, they gave us the power to charge and you the power to try all impeachments.
[02:02:49.285 --> 02:02:51.648]  The framers chose their language and the structure for a reason.
[02:02:52.697 --> 02:02:58.620]  As Alexander Hamilton said, the Senate is given awful discretion in matters of impeachment.
[02:02:58.620 --> 02:03:07.364]  The Constitution not speaks to Senators in their judicial character as a court for the trial of impeachments.
[02:03:07.364 --> 02:03:16.148]  It requires them to aim at real demonstrations of innocence or guilt, and it requires them to do so by holding a trial.
[02:03:18.598 --> 02:03:25.661]  The Senate has repeatedly subpoenaed and received new documents, often many of them while adjudicating cases of impeachment.
[02:03:25.661 --> 02:03:37.726]  Moreover, the Senate has heard witness testimony in every one of the 15 Senate trials, full Senate trials in the history of this Republic, including those for Presidents Andrew Johnson and Bill Clinton.
[02:03:39.611 --> 02:03:50.718]  Indeed, in President Andrew Johnson's Senate impeachment trial, the House managers were permitted to begin presenting documentary evidence to the Senate on the very first day of the trial.
[02:03:50.718 --> 02:04:02.967]  The House managers' initial presentation of documents in President Johnson's case carried on for the first two days of trial, immediately after which witnesses were called to appear in the Senate.
[02:04:02.967 --> 02:04:06.929]  This has been the standard practice in prior impeachment trials.
[02:04:06.929 --> 02:04:07.290]  Indeed,
[02:04:08.331 --> 02:04:10.173]  In most trials this body has heard from many witnesses.
[02:04:10.173 --> 02:04:12.154]  Alright, we've got to take a break from the lies here.
[02:04:12.154 --> 02:04:15.057]  I'll just break this down for you from James Howard Kunstler.
[02:04:15.057 --> 02:04:16.798]  He summed this up perfectly.
[02:04:16.798 --> 02:04:19.680]  He said the tactic here is lawfare.
[02:04:19.680 --> 02:04:23.343]  To provoke a legal pissing match over executive privilege.
[02:04:23.343 --> 02:04:26.926]  Which they hope to turn into a campaign ploy in the months ahead.
[02:04:26.926 --> 02:04:28.668]  That Trump concealed the truth.
[02:04:29.738 --> 02:04:41.944]  He says this time the Senate rules will give them a chance to run option plays from the Brett Kavanaugh playbook, flooding the end zone with obvious geeks and bottom feeders of the like of Michael Avenatti.
[02:04:41.944 --> 02:04:42.784]  We'll be right back.
[02:04:42.784 --> 02:04:43.204]  Stay with us.
[02:04:55.327 --> 02:04:58.970]  It's time to take a new, healthier approach to one of your most basic needs.
[02:04:58.970 --> 02:05:06.055]  The Alexa Pure Pro water filtration system is the same water filter that Alex and the Infowars crew use every day for the purest water possible.
[02:05:06.055 --> 02:05:10.018]  You can start cleaning the toxins from your water for clean, healthy, and delicious drinking water.
[02:05:10.018 --> 02:05:17.023]  Perfect for preppers or anyone concerned with a healthier source of water, the Alexa Pure Pro can remove up to 99.9% of impurities.
[02:05:17.023 --> 02:05:21.306]  This groundbreaking, gravity-fed water filtration system is like no other.
[02:05:21.306 --> 02:05:24.208]  Make sure your water is up to your standards today with the Alexa Pure Pro.
[02:05:24.755 --> 02:05:29.517]  There's a new way to show your support for the InfoWars crew at InfoWarsStore.com.
[02:05:29.517 --> 02:05:34.199]  Now when you buy your favorite products, you can add a donation right at the checkout.
[02:05:34.199 --> 02:05:39.702]  Simply open the donation option and either select a preset amount or enter a custom amount.
[02:05:39.702 --> 02:05:44.964]  With this brand new donation module, donating to support the InfoWars crew has never been easier.
[02:05:44.964 --> 02:05:46.424]  You ask, we deliver.
[02:05:46.424 --> 02:05:49.986]  This easy option gives you the means to donate directly to the cause.
[02:05:49.986 --> 02:05:51.887]  Remember, we're all part of the fight.
[02:05:51.887 --> 02:05:54.228]  InfoWars, brought to you by you.
[02:05:56.263 --> 02:06:01.086]  Big Brother, Mainstream Media, Government Cover-Ups.
[02:06:01.086 --> 02:06:02.767]  You want to stop tyranny?
[02:06:02.767 --> 02:06:04.428]  Well, so does he.
[02:06:04.428 --> 02:06:12.152]  Live from the Infowars.com studios, it's Alex Jones.
[02:06:12.152 --> 02:06:15.414]  Alright, welcome back.
[02:06:15.414 --> 02:06:21.818]  We'll be keeping tabs on the Senate show here, and that's exactly what it is.
[02:06:21.818 --> 02:06:25.100]  But we have some breaking news that came out from Project Veritas this morning.
[02:06:26.035 --> 02:06:29.776]  We have yet another Bernie Field organizer.
[02:06:29.776 --> 02:06:32.516]  This guy is out of South Carolina.
[02:06:32.516 --> 02:06:35.857]  I think the other guy was, where was it, Minnesota or something that the other guy was?
[02:06:35.857 --> 02:06:37.638]  I had a couple of clips from him.
[02:06:37.638 --> 02:06:47.760]  But they're on the same page even though they're in different areas of the country because, again, this shows that these radical Marxists who support
[02:06:48.683 --> 02:06:50.267]  The radical Marxist Bernie Sanders.
[02:06:50.267 --> 02:06:57.805]  Remember, Bernie Sanders at the very tail end of the Soviet Union as it was about to collapse.
[02:06:59.124 --> 02:07:05.027]  He wanted to go there for his honeymoon and, you know, drink beer with his comrades.
[02:07:05.027 --> 02:07:08.868]  And so this is what his comrades here in the United States say.
[02:07:08.868 --> 02:07:14.290]  Another individual, this is part three, and again, he wants a violent revolution.
[02:07:14.290 --> 02:07:22.354]  See, he's, not only is he like Bernie Sanders, he's like Ralph Northam and the Virginia Democrats and Democrats across the country.
[02:07:22.354 --> 02:07:24.535]  They want a violent revolution.
[02:07:25.612 --> 02:07:27.674]  And they can either do it with the grassroots people.
[02:07:27.674 --> 02:07:36.481]  I'm not that concerned about that happening as I am a violent revolution being started by the people like Governor Coon Man in Virginia.
[02:07:36.481 --> 02:07:38.903]  But this is what he had to say on tape.
[02:07:38.903 --> 02:07:41.345]  Martin Vice Gerber.
[02:07:41.345 --> 02:07:41.866]  Vice Gerber.
[02:07:43.927 --> 02:07:53.370]  I leave it to the Soviets to make the most badass effing most effective gun in the world, the AK-47, destroyer of imperialism and colonization.
[02:07:53.370 --> 02:07:56.451]  That's why I want to get it tattooed on me.
[02:07:56.451 --> 02:07:58.612]  He goes on to say, I'll straight up get armed.
[02:07:58.612 --> 02:08:01.753]  I want to learn how to shoot and go train.
[02:08:01.753 --> 02:08:04.894]  Yeah, this guy's obviously never touched a gun either.
[02:08:04.894 --> 02:08:06.794]  I'm ready for an effing revolution.
[02:08:06.794 --> 02:08:08.815]  I'll tell you, guillotine the rich.
[02:08:09.724 --> 02:08:22.313]  As I pointed out before, you've got to be careful when you start these socialist revolutions, because Robespierre, who was guillotining everybody, eventually got his head in the guillotine as well.
[02:08:22.313 --> 02:08:24.414]  What goes around, comes around.
[02:08:24.414 --> 02:08:28.577]  You can't stop these violent revolutions once you start them, Martin.
[02:08:28.577 --> 02:08:33.101]  Let's build them, the billionaires, let's force them rather, to build roads
[02:08:34.178 --> 02:08:35.139]  Rebuild our roads.
[02:08:35.139 --> 02:08:36.180]  Rebuild our dams.
[02:08:36.180 --> 02:08:37.161]  Rebuild our bridges.
[02:08:37.161 --> 02:08:38.962]  Let's force them.
[02:08:38.962 --> 02:08:39.983]  What else?
[02:08:39.983 --> 02:08:45.208]  What will help is when we send all the Republicans to re-education camps.
[02:08:45.208 --> 02:08:46.510]  So, do we just cease?
[02:08:46.510 --> 02:08:48.071]  Do we just dissolve the Senate?
[02:08:48.071 --> 02:08:49.632]  House of Representatives?
[02:08:49.632 --> 02:08:50.733]  The Judicial Branch?
[02:08:50.733 --> 02:08:53.176]  Have something Bernie Sanders in the Cabinet of the People?
[02:08:53.763 --> 02:08:55.283]  Make all decisions for the climate?
[02:08:55.283 --> 02:08:56.384]  I mean, I'm serious.
[02:08:56.384 --> 02:08:57.764]  Yeah, I know.
[02:08:57.764 --> 02:09:19.749]  And I've reported on this for years, how people like Prince Charles and John Schellenhuber, who is the chief climate advisor for the Pope, with their Earth League, they have proposed a planetary council and a worldwide government that would, you know, they want a planetary court and a planetary council and so forth, and a worldwide government.
[02:09:19.749 --> 02:09:21.790]  That's exactly what this guy is talking about.
[02:09:22.571 --> 02:09:24.572]  Then he goes on to say, Soviet Union was not horrible.
[02:09:24.572 --> 02:09:33.699]  I mean, you know, for women's rights, the Soviet Union, I think, the most progressive place to date in the world.
[02:09:33.699 --> 02:09:34.279]  I don't know.
[02:09:34.279 --> 02:09:43.946]  I mean, I'm just thinking of all of the babushka memes that we had when, you know, the beautiful women in Russia could not have access to reasonable clothes.
[02:09:43.946 --> 02:09:45.107]  You know, they're walking around.
[02:09:45.891 --> 02:09:46.852]  We're good to go.
[02:10:07.967 --> 02:10:16.594]  And that his mother is left as well, but she can't make her views known because she works for WBUR in Boston.
[02:10:16.594 --> 02:10:18.115]  That's an NPR station.
[02:10:18.815 --> 02:10:20.356]  Yeah, we kind of knew that, didn't we?
[02:10:20.356 --> 02:10:22.176]  Didn't we know that NPR was there?
[02:10:22.176 --> 02:10:25.058]  So you can find this article and links to that at InfoWars.
[02:10:25.058 --> 02:10:27.138]  I'll straight up get armed, he said.
[02:10:27.138 --> 02:10:32.621]  Second, Bernie Staffer threatens violence against Trump supporters.
[02:10:32.621 --> 02:10:34.741]  What Bernie did, he said, was inspire people.
[02:10:34.741 --> 02:10:38.303]  He created a movement that started to flood Washington.
[02:10:38.303 --> 02:10:40.604]  Democratic Socialists are running all over.
[02:10:40.604 --> 02:10:42.785]  There are so many Democratic Socialists running in 2020.
[02:10:44.485 --> 02:10:53.413]  And, you know, when we look at this, think about that other poster child of the Democrat Socialist, AOC, who has endorsed Bernie herself.
[02:10:53.413 --> 02:11:01.759]  I mean, you know, she's another one of these leftist Marxists, like this guy, who loves the Soviet Union, who loves authoritarianism.
[02:11:01.759 --> 02:11:09.225]  You know, the Puerto Rican bartender came out and said that the Democrat Party is a center conservative party.
[02:11:09.225 --> 02:11:11.287]  We don't have a leftist party in this country.
[02:11:12.722 --> 02:11:21.048]  You see, her idea of a leftist party, which is what she wants, is full-on totalitarianism.
[02:11:21.048 --> 02:11:27.654]  And as I point out, I'll point out again, complete centralized government and power, without any restrictions.
[02:11:27.654 --> 02:11:33.758]  And, number two, they will control and manage every detail of your life.
[02:11:33.758 --> 02:11:36.460]  She had this to say, we don't have a left party in the U.S.
[02:11:36.460 --> 02:11:38.222]  The Democrat Party is not a left party!
[02:11:39.195 --> 02:11:42.779]  The Democrat Party is a center, or a center conservative party.
[02:11:42.779 --> 02:11:45.963]  This tells you how far occasional cortex is.
[02:11:45.963 --> 02:11:50.608]  You know, her left side of her brain, or if she has a brain, I don't know.
[02:11:50.608 --> 02:11:53.972]  We can't even get a floor vote on Medicare for All, so that's it.
[02:11:55.543 --> 02:11:56.944]  We can't even get a floor vote on it.
[02:11:56.944 --> 02:12:00.867]  So that shows that the Democrats are not real leftists, she says.
[02:12:00.867 --> 02:12:02.548]  So this is not a left party.
[02:12:02.548 --> 02:12:09.353]  There are left members inside the Democrat Party that are trying to make that shift happen.
[02:12:09.353 --> 02:12:10.894]  Yeah, that's right.
[02:12:10.894 --> 02:12:16.738]  And so speaking of shifts, let's go back to the liar, Adam Schiff.
[02:12:16.738 --> 02:12:19.820]  He has still got the floor and they want more time to do this.
[02:12:19.820 --> 02:12:21.842]  Because again, they want to stretch this out
[02:12:22.654 --> 02:12:25.416]  For the entire campaign.
[02:12:25.416 --> 02:12:26.096]  That is the point.
[02:12:26.096 --> 02:12:29.598]  They cannot win on these issues like Medicare for All.
[02:12:29.598 --> 02:12:32.120]  And by that, they mean all.
[02:12:32.120 --> 02:12:32.560]  All.
[02:12:32.560 --> 02:12:40.145]  Everybody from every other country is going to come here and get health care at your expense and education at your expense.
[02:12:40.145 --> 02:12:44.767]  They'll probably get it if the Democrats are handing out the free stuff.
[02:12:44.767 --> 02:12:48.610]  They will get it to a greater extent than you will because you're just an ugly American.
[02:12:48.610 --> 02:12:50.411]  Let's go back to Adam Schiff.
[02:12:51.650 --> 02:12:53.291]  And most of the witnesses now, not later.
[02:12:53.291 --> 02:12:58.738]  The need to subpoena documents and testimony now has only increased due to the President's obstruction for several reasons.
[02:12:58.738 --> 02:12:58.958]  First,
[02:13:13.328 --> 02:13:20.773]  His obstruction has made him uniquely and personally responsible for the absences of the witnesses before the House, having ordered them not to appear.
[02:13:20.773 --> 02:13:26.456]  He may not be heard to complain now that they followed his orders and refused to testify.
[02:13:26.456 --> 02:13:37.583]  To do otherwise only rewards the President's obstruction and encourages further, future Presidents to defy lawful process in impeachment investigations.
[02:13:37.583 --> 02:13:40.745]  Second, if the President wishes to contest the facts,
[02:13:41.627 --> 02:13:45.489]  And his answer and trial brief indicates that he will try.
[02:13:45.489 --> 02:13:56.653]  He must not continue to deny the Senate access to the relevant witnesses and documents that shed light on the very factual matters he wishes to challenge.
[02:13:56.653 --> 02:14:01.635]  The Senate trial is not analogous to an appeal where the parties must argue the facts on the basis of the record below.
[02:14:01.635 --> 02:14:03.456]  There is no record below.
[02:14:03.456 --> 02:14:04.516]  There is no below!
[02:14:04.516 --> 02:14:06.457]  This is the trial.
[02:14:07.935 --> 02:14:12.921]  Yeah, you didn't produce any facts, you didn't produce any witnesses, so now they want to try to do that.
[02:14:12.921 --> 02:14:13.842]  Let's give us some more time.
[02:14:13.842 --> 02:14:15.665]  We want more air time.
[02:14:15.665 --> 02:14:17.547]  And again, he is being so repetitive.
[02:14:17.547 --> 02:14:25.397]  Let me go to what some other people have said, because I think as we talk about this fight over the rules, and that's what we're looking at right now.
[02:14:26.118 --> 02:14:28.621]  A fight over how this is going to be conducted.
[02:14:28.621 --> 02:14:44.519]  We had Senator Lisa Murkowski, she's one of the Republicans that they believe that they can pull off to their side, told The Hill that she has received briefing materials from former senators who participated in the 99 Clinton trial, arguing that Roberts should not be able to break a tie.
[02:14:45.319 --> 02:14:47.801]  He said, it's my understanding that if it's a tie, it fails.
[02:14:47.801 --> 02:14:49.382]  Now, let's talk about what the rules say.
[02:14:49.382 --> 02:14:54.527]  Because, remember, these people don't read the Constitution that gives them their authority.
[02:14:54.527 --> 02:14:56.228]  And that's why it's important to look at the Constitution.
[02:14:56.228 --> 02:14:59.651]  I know they don't believe any aspect of it is in effect.
[02:14:59.651 --> 02:15:02.213]  And so, they're just going to make this stuff up as they go along.
[02:15:02.213 --> 02:15:13.903]  Look, if you're going to remove somebody from office during this Senate trial after impeachment, you need two-thirds of a vote, which they did not achieve with Bill Clinton or with Andrew Johnson.
[02:15:14.961 --> 02:15:17.122]  So you need 67 senators to join in that.
[02:15:17.122 --> 02:15:22.663]  However, when you're talking about these types of rules, this is a straight-up vote.
[02:15:22.663 --> 02:15:26.244]  And so, you know, if you have 51 votes, you win.
[02:15:26.244 --> 02:15:33.286]  Now, how do they break ties in the Senate if you're tied 50-50?
[02:15:33.286 --> 02:15:40.028]  Well, according to the established rules, not the arbitrary ones that they're going to create now, you bring in the Vice President.
[02:15:40.028 --> 02:15:41.088]  Why is nobody saying that?
[02:15:42.060 --> 02:15:45.487]  You got Dianne Feinstein arguing that Roberts should be breaking the tie.
[02:15:45.487 --> 02:15:52.340]  No, you don't bring in the Chief Justice, you bring in the Vice President, the President of the Senate pro tem.
[02:15:53.895 --> 02:15:55.156]  Maybe not today.
[02:15:55.156 --> 02:15:56.457]  Maybe not tomorrow.
[02:15:56.457 --> 02:16:00.179]  But soon, you'll need a plan and place to survive.
[02:16:00.179 --> 02:16:01.260]  Forget bunkers.
[02:16:01.260 --> 02:16:03.101]  You're not a live underground gopher.
[02:16:03.101 --> 02:16:04.803]  You need Survivalist Camps.
[02:16:04.803 --> 02:16:12.608]  The ultimate, fully functional, off-the-grid, mobile survival bug-out house that's well-equipped and custom-built to outlast any other RV or trailer.
[02:16:12.608 --> 02:16:13.609]  Bold statement?
[02:16:13.609 --> 02:16:14.609]  You bet.
[02:16:14.609 --> 02:16:17.091]  See them now at survivalistcamps.com.
[02:16:17.091 --> 02:16:19.312]  That's survivalistcamps.com.
[02:16:19.312 --> 02:16:22.455]  Trust your family's survival to survivalistcamps.com.
[02:16:23.646 --> 02:16:24.867]  Hi, I'm Dan Pilla.
[02:16:24.867 --> 02:16:28.790]  I started fighting the IRS over 40 years ago when they tried to seize my mother's house.
[02:16:28.790 --> 02:16:30.331]  I sued the IRS and won.
[02:16:30.331 --> 02:16:33.293]  I beat the IRS then, and I've been beating them ever since.
[02:16:33.293 --> 02:16:38.836]  I wrote the book on tax debt settlement, and I've helped thousands of people deal with tax problems they thought might never be solved.
[02:16:38.836 --> 02:16:40.037]  I can help you, too.
[02:16:40.037 --> 02:16:42.979]  If you owe taxes you can't pay, don't wait another day.
[02:16:42.979 --> 02:16:45.201]  There's no such thing as a hopeless tax case.
[02:16:45.201 --> 02:16:49.644]  Call 800-34-NO-TAX or go to my website, danpilla.com.
[02:16:49.644 --> 02:16:51.945]  That's danpilla.com, danpilla.com.
[02:16:53.590 --> 02:16:55.552]  Heart disease is on the rise.
[02:16:55.552 --> 02:17:00.855]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you.
[02:17:00.855 --> 02:17:02.437]  But the symptoms are there.
[02:17:02.437 --> 02:17:10.803]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[02:17:10.803 --> 02:17:16.487]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[02:17:16.647 --> 02:17:18.489]  My blood pressure has normalized.
[02:17:18.489 --> 02:17:20.772]  My diabetes has totally improved.
[02:17:20.772 --> 02:17:25.158]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel.
[02:17:25.158 --> 02:17:27.360]  I recommend Heart and Body Extract to everyone.
[02:17:27.360 --> 02:17:35.190]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[02:17:35.250 --> 02:17:39.393]  Order your two month supply today by calling 8 6 6 2 9 5 5 3 0 5.
[02:17:39.393 --> 02:17:44.497]  That's 8 6 6 2 9 5 5 3 0 5 or order online.
[02:17:44.497 --> 02:17:48.580]  HB extract .com heart and body extract 8 6 6 2 9 5 5 3 0 5 or HB extract .com
[02:17:54.525 --> 02:17:58.127]  InfoWars Life is bringing you a breakthrough in modern medicine.
[02:17:58.127 --> 02:17:59.888]  Introducing Pollen Block.
[02:17:59.888 --> 02:18:11.154]  We have found an extraordinary new, natural way to alleviate seasonal distress symptoms, including promoting clear nasal and sinus passageways, eye comfort, and respiratory function.
[02:18:11.934 --> 02:18:20.723]  In the 1960s, researchers in France noticed that people who ate certain quail eggs experienced less seasonal immune and inflammatory responses.
[02:18:20.723 --> 02:18:32.194]  They began studying this effect in published trials, and decades later, we now have the fruit of this research, a fast-acting, chewable tablet that helps alleviate seasonal distress symptoms.
[02:18:32.194 --> 02:18:34.436]  Pollen Block is natural and effective.
[02:18:34.796 --> 02:18:36.497]  It is not an antihistamine.
[02:18:36.497 --> 02:18:46.499]  In fact, current research has found that it actually acts by blocking the activity of tryptase, which is an enzyme that amplifies immune and inflammatory responses in the body.
[02:18:46.499 --> 02:18:49.140]  Go outside and enjoy the air you breathe.
[02:18:49.140 --> 02:18:54.421]  Head to InfoWarsLife.com and grab a pack of our Pollen Block chewable tablets.
[02:18:54.421 --> 02:18:57.642]  There's a lot of phony garbage out there in the world.
[02:18:57.642 --> 02:19:00.043]  A lot of people that never deliver.
[02:19:00.043 --> 02:19:04.204]  Well, I'm here to tell you InfoWars has delivered in royal flush.
[02:19:05.979 --> 02:19:13.251]  A handful of ace of spades because of God, because of the audience of activists, and because of the great team at InfoWars.
[02:19:13.251 --> 02:19:16.636]  And we are all a team, ladies and gentlemen.
[02:19:16.636 --> 02:19:18.318]  So right now, humanity's awakening.
[02:19:18.318 --> 02:19:19.220]  It's explosive.
[02:19:19.220 --> 02:19:19.981]  It's powerful.
[02:19:19.981 --> 02:19:20.562]  It's incredible.
[02:19:21.323 --> 02:19:30.651]  But there's major obstacles coming down the road, and the only way we can effectively fight the NWO and stay in the game on Jim Folmore's Citizen's Tip of the Spear is your financial support.
[02:19:30.651 --> 02:19:33.634]  We make it really easy at mfolmorestore.com.
[02:19:33.634 --> 02:19:37.898]  But I am blowing through our backup money right now with our
[02:19:39.312 --> 02:19:41.373]  You're listening to the Alex Jones Show!
