[00:00:12.403 --> 00:00:14.684]  Wednesday, February 12, 2020.
[02:09:21.257 --> 02:09:23.879]  And just off-gasses the virus?
[02:09:23.879 --> 02:09:24.679]  Pardon me?
[02:09:24.679 --> 02:09:27.221]  It off-gasses the virus?
[02:09:27.221 --> 02:09:28.002]  It is the virus.
[02:09:28.002 --> 02:09:29.203]  I think it's, uh, uh,
[02:09:29.964 --> 02:09:31.365]  As I said, gain of function.
[02:09:31.365 --> 02:09:31.906]  Right.
[02:09:31.906 --> 02:09:37.571]  But define gain of function for those who don't know what that means, please, Professor.
[02:09:37.571 --> 02:09:45.639]  It has been enhanced by DNA, genetic engineering, and or synthetic biology to make it... It's supercharged.
[02:09:47.060 --> 02:09:48.960]  It is turbocharged, that's correct.
[02:09:48.960 --> 02:09:54.962]  If you saw that movie, Ford vs. Ferrari, that's exactly what we're doing here.
[02:09:54.962 --> 02:09:58.722]  Souped up Shelby GTO.
[02:09:58.722 --> 02:10:02.483]  No question at all about it.
[02:10:02.483 --> 02:10:05.764]  Clearly governments are freaking out, but they're trying to act like it's no big deal.
[02:10:05.764 --> 02:10:08.625]  Is that because they know how big a threat it is?
[02:10:08.625 --> 02:10:10.505]  And will they be successful covering it up?
[02:10:13.487 --> 02:10:25.295]  Well, you'll see the United States Army has already designated several military bases around the country to detain people who are infected.
[02:10:25.295 --> 02:10:30.398]  So I think the United States government knows how serious it is.
[02:10:30.398 --> 02:10:36.862]  I still don't believe that President Trump has been properly advised here.
[02:10:38.162 --> 02:10:41.846]  As I said, I'm not blaming President Trump.
[02:10:41.846 --> 02:10:43.867]  He's not an expert in this field.
[02:10:43.867 --> 02:10:46.790]  He has to rely on his advisors.
[02:10:46.790 --> 02:10:52.615]  Tony Fauci has been up to his eyeballs in this Nazi biowarfare work.
[02:10:53.435 --> 02:11:14.329]  Well, Dr. Boyle, believe me, I like Trump overall, but I'm not, I don't hold punches, and he respects the show, and he respects, I know, the work we do here, and you.
[02:11:14.329 --> 02:11:15.510]  So address the President.
[02:11:15.510 --> 02:11:19.533]  Good chance he or his adjuncts will end up giving him the messages.
[02:11:19.533 --> 02:11:21.154]  He wants these messages brought to him.
[02:11:21.154 --> 02:11:22.735]  So what do you want to say to President Trump?
[02:11:23.875 --> 02:11:30.158]  Well, again, Azar, this is a case of the fox being in charge of the chicken coup.
[02:11:30.158 --> 02:11:43.223]  He was an employee and a lobbyist for the drug industry, and the drug industry is all up and down involved in Nazi bio-warfare work.
[02:11:43.223 --> 02:11:46.004]  You are correct that the president has asked for
[02:11:47.000 --> 02:11:50.143]  An opinion from the National Academy of Sciences.
[02:11:50.143 --> 02:12:04.535]  But as you note from all the emails I sent you, the National Academy of Sciences, likewise, is up to its eyeballs in Nazi biowarfare work, including synthetic biology.
[02:12:04.535 --> 02:12:08.278]  So you simply can't, the President simply cannot trust
[02:12:09.263 --> 02:12:17.526]  Anything the National Academy of Sciences said here, everyone is feeding off at the trough here, Alex.
[02:12:17.526 --> 02:12:23.469]  As I said, as the last time I crunched the numbers, 2015, it was $100 billion, and that's $5 billion a year.
[02:12:27.350 --> 02:12:38.864]  So, my guess is, as of now, it's $120 billion that has been spent, and they've bought off, as of 2015, 13,000 so-called life scientists.
[02:12:38.864 --> 02:12:44.630]  I call them death scientists, to work on this, and I don't know what the numbers are.
[02:12:46.371 --> 02:12:56.774]  Sure, from all my sources, though, they're concurring with what you're saying, that the best approximation is a bioweapon they were playing around with, maybe for a vaccine, got out.
[02:12:56.774 --> 02:13:02.195]  And so many times with the Russians, the U.S., this stuff just keeps getting out.
[02:13:02.195 --> 02:13:08.157]  And so this is a pretty big disaster for the CHICOMS and for Big Pharma here, isn't it?
[02:13:08.157 --> 02:13:09.377]  Of course.
[02:13:09.377 --> 02:13:12.738]  And, you know, these people like Fauci,
[02:13:13.824 --> 02:13:29.438]  CDC, all they want to do is protect the billions of dollars they've already wasted on their BSL-3 and BSL-4 biowarfare weapons labs and everyone else involved in it.
[02:13:29.438 --> 02:13:34.383]  As for playing around with a vaccine there at that Wuhan BSL-4,
[02:13:36.983 --> 02:13:40.486]  You have to understand the technology involved here.
[02:13:40.486 --> 02:13:44.269]  It was not just that they were playing around with a vaccine.
[02:13:44.269 --> 02:13:55.898]  The way this works out is they first DNA genetically engineer a biowarfare agent and that is what we are dealing with here.
[02:13:55.898 --> 02:14:03.103]  A biowarfare agent that is extremely lethal and extremely infectious.
[02:14:03.103 --> 02:14:05.705]  And then once they have the agent,
[02:14:06.428 --> 02:14:11.322]  They then try to develop a vaccine to counteract the agent.
[02:14:11.869 --> 02:14:15.571]  Because that is what a biowarfare weapon really is.
[02:14:15.571 --> 02:14:22.574]  And by the way, when you were last on, I saw a lot of comments, probably synthetic, they were like, of course we have to study this.
[02:14:22.574 --> 02:14:24.215]  Anyone can make this on their kitchen table.
[02:14:24.215 --> 02:14:26.236]  No, you can't make it on a kitchen table.
[02:14:26.236 --> 02:14:32.759]  It's gene editing, it's billion-dollar technology, and they're creating it.
[02:14:32.759 --> 02:14:36.461]  It's ridiculous to say someone might make it, so we've got to make it.
[02:14:36.461 --> 02:14:37.101]  That's insane.
[02:14:38.553 --> 02:14:55.852]  Well, that's the standard propaganda that these biowarfare death scientists, NIAID, National Institutes for Health, CDC, and Big Pharma have made in order to justify all this Nazi biowarfare work.
[02:14:56.292 --> 02:15:06.999]  Well, someone might be able to do it, so we have to be able to study it and then we can make the biowarfare agents so that then we can develop a vaccine.
[02:15:06.999 --> 02:15:10.121]  That's exactly what's going on here, Alex.
[02:15:10.121 --> 02:15:11.222]  It's just unbelievable.
[02:15:11.222 --> 02:15:15.564]  And as our technology gets more and more advanced, well, somebody might make it, so we better make it.
[02:15:15.564 --> 02:15:16.945]  It's that logic.
[02:15:16.945 --> 02:15:19.207]  No, we need to hunt down whoever does it and stop them.
[02:15:19.207 --> 02:15:20.487]  We need to have a convention.
[02:15:20.487 --> 02:15:24.450]  We need to stop it as a moral society and say we're not doing it.
[02:15:25.666 --> 02:15:31.909]  Well, unfortunately, Alex, we have a convention, the Biological Weapons Convention of 1972.
[02:15:31.909 --> 02:15:49.918]  And then, because that convention was not drawn up specifically designed to deal with DNA genetic engineering and or synthetic biology, I drafted that implementing legislation, the Biological Weapons Anti-Terrorism Act.
[02:15:49.918 --> 02:15:52.479]  Stay there, let's talk about it when we come back.
[02:15:53.800 --> 02:15:56.822]  We can all agree these are troubled times, right?
[02:15:56.822 --> 02:15:59.724]  So do you know who's on your wireless network?
[02:15:59.724 --> 02:16:06.950]  Whether it's a big company selling your data, or a foreign hacker, if you're not protected, everybody sees your information.
[02:16:06.950 --> 02:16:12.174]  That's why you need FlashRouters, a custom Wi-Fi router created for privacy.
[02:16:12.174 --> 02:16:19.779]  FlashRouters uses a virtual private network, or VPN, to protect your online activity from hackers, trackers, and large corporations.
[02:16:19.779 --> 02:16:23.262]  And not just one, but all your devices with one out-of-the-box setup.
[02:16:23.522 --> 02:16:32.685]  Plus, FlashRouters also enhances your wireless network performance and unlocks powerful router management tools to let you take total control of your network.
[02:16:32.685 --> 02:16:35.786]  Call or click FlashRouters today at 1-866-509-5817 or F-L-A-S-H-R-O-U-T-E-R-S dot com.
[02:16:35.786 --> 02:16:37.067]  That's 1-866-509-5817 or FlashRouters dot com.
[02:16:37.067 --> 02:16:42.009]  Protect your wireless home network today with FlashRouters.
[02:16:53.683 --> 02:16:58.747]  Fellow Patriots, my name is Todd Savage, founder of BlackRifleRealEstate.com.
[02:16:58.747 --> 02:17:04.111]  Like you, I was a prisoner of the Alt-Left Sanctuary State until one day I chose to lead my family to freedom.
[02:17:04.111 --> 02:17:12.157]  Today we live on a sustainable 20-acre homestead where we shoot, hunt, garden, and homeschool our children without the tyranny of the nanny state looking over us.
[02:17:12.157 --> 02:17:17.622]  If you're ready to flee the city to the freedom of Idaho or Montana, our Black Rifle Real Estate team is here to help.
[02:17:17.622 --> 02:17:19.603]  Go to BlackRifleRealEstate.com.
[02:17:19.603 --> 02:17:21.324]  That's BlackRifleRealEstate.com.
[02:17:22.987 --> 02:17:25.589]  Hunters, anglers, campers and survivalists.
[02:17:25.589 --> 02:17:26.650]  Get back to nature.
[02:17:26.650 --> 02:17:33.816]  Expand your horizons with the highest quality, most versatile, unique slingshots and sling bows on the market at slingbow.com.
[02:17:33.816 --> 02:17:37.178]  Slingbow products are compact and models start from just 1798.
[02:17:37.178 --> 02:17:40.681]  They're perfect for your bug out bag or storing in your vehicle.
[02:17:40.681 --> 02:17:44.744]  Give yourself and your loved ones the excitement and tradition of slingbow.
[02:17:44.744 --> 02:17:49.248]  A new frontier in archery and truly modern twist on this primitive survival tool.
[02:17:49.248 --> 02:17:51.870]  Feel the thrill only at slingbow.com.
[02:17:56.246 --> 02:17:57.727]  Alright folks, here's the bad news.
[02:17:57.727 --> 02:18:06.330]  We've already sold out of the 16-ounce Immune Gargle with the patented Nanotech Silver that's documented to knock out viruses and bacteria unlike anything else.
[02:18:06.330 --> 02:18:10.471]  But we do still have it in the 3-ounce and the 1-ounce for a limited time.
[02:18:10.471 --> 02:18:19.055]  The good news is we have the Super Blue toothpaste and the Super Silver toothpaste both that have the Nano Silver in them as well.
[02:18:19.055 --> 02:18:22.636]  The Super Blue has tea tree that's also antiviral and antibacterial.
[02:18:23.116 --> 02:18:24.817]  And high quality iodine.
[02:18:24.817 --> 02:18:32.221]  And then of course the whitening has the nano silver, but on top of that it has the above sea coral calcium that re-minimalizes the teeth.
[02:18:32.221 --> 02:18:34.462]  And so it's just the best toothpaste you're going to find.
[02:18:34.462 --> 02:18:35.402]  Period.
[02:18:35.402 --> 02:18:40.585]  It has the nano silver and we still have supplies of it, though it'll sell out at current rates in about two weeks.
[02:18:40.585 --> 02:18:47.468]  But despite that, I'm keeping it at sale at 50% off so everybody can protect themselves with this high quality product.
[02:18:47.468 --> 02:18:49.349]  If you've never used it before, get yours today.
[02:18:49.349 --> 02:18:50.730]  Infowarestore.com.
[02:18:54.574 --> 02:18:57.718]  I've got to really hand it to the listeners and viewers of InfoWars.
[02:18:58.737 --> 02:19:09.121]  Your support and your help in rebooting Americana as a challenge to the globalist system of corporate tyranny has really caught hold, not just here in the U.S., but worldwide.
[02:19:09.121 --> 02:19:16.644]  And President Trump's fearlessness when it comes to promoting Americana and basic liberty is amazing as well.
[02:19:16.644 --> 02:19:25.628]  He's still lacking on the big tech censorship, taking action against that and some other areas, but trying to end the wars, boosting our economy, speaking out against Communist China.
[02:19:26.388 --> 02:19:27.829]  Trump's been doing an amazing job.
[02:19:27.829 --> 02:19:35.112]  But now, more than ever, we really have to realize that we're being targeted because we are effective.
[02:19:35.112 --> 02:19:40.074]  And the globalists are beginning to lose their war against humanity in a big way.
[02:19:40.074 --> 02:19:42.455]  And so we're going to see some major fireworks out of them.
[02:19:42.455 --> 02:19:48.238]  But it's critical to not let ourselves get down when we see all the poison they spray at us.
[02:19:48.238 --> 02:19:50.218]  That's an attempt to demoralize us.
[02:19:50.218 --> 02:19:53.320]  We've got to remember that and stay focused and stay happy.
[02:19:58.027 --> 02:20:07.436]  You're listening to the Alex Jones Show.
[02:20:07.436 --> 02:20:15.503]  I'm Alex Jones, your host.
[02:20:15.503 --> 02:20:17.685]  Dr. Francis Boyle with us for another segment.
[02:20:17.685 --> 02:20:20.247]  Hubbell John is coming up in the next week or two for a full hour.
[02:20:21.476 --> 02:20:27.100]  But I appreciate him popping in your calls and a bunch of news breaking coming up next segment, as promised.
[02:20:27.100 --> 02:20:30.823]  So, without me asking the questions here, you're the expert.
[02:20:30.823 --> 02:20:45.394]  Right after you come on, right after Senator Cotton says it should be looked at as man-made, the Indian Institute saying it looks man-made, showing where it's clearly been gene-edited, not getting into whether Fauci's good or not, I respect you, I understand what you're saying.
[02:20:45.394 --> 02:20:49.397]  They are responding, and Cotton's come out again, and now the Chinese ambassador
[02:20:50.319 --> 02:20:50.959]  We have that clip.
[02:20:50.959 --> 02:20:52.240]  If you haven't seen it, I can play it.
[02:20:52.240 --> 02:20:53.461]  You probably have seen it.
[02:20:53.461 --> 02:20:58.624]  Comes out and laughs at Trump and says it's preposterous to say that, you know, this could be man-made.
[02:20:58.624 --> 02:21:00.745]  Well, why shouldn't we look at the origin?
[02:21:00.745 --> 02:21:02.606]  Why is that being censored?
[02:21:02.606 --> 02:21:04.547]  So what do you think's really going on here?
[02:21:04.547 --> 02:21:14.693]  And as mainline virologists, mainline academics echo what you've been saying for weeks, I mean, I think that shows that they're concerned because they know this is man-made.
[02:21:14.693 --> 02:21:18.855]  Because clearly there's a major response going on at a level never before seen.
[02:21:20.566 --> 02:21:20.966]  Right, Alex.
[02:21:20.966 --> 02:21:25.589]  Well, let me get back, you know, to my advice to President Trump.
[02:21:25.589 --> 02:21:29.551]  And again, I'm not criticizing the President or anything like that.
[02:21:29.551 --> 02:21:44.639]  He needs to bring in a team of outside independent experts here who have spent their careers opposing biological weapons and not up to their eyeballs in biological weapons.
[02:21:44.639 --> 02:21:46.820]  Sure, because folks that are involved in it are going to cover it up.
[02:21:47.708 --> 02:22:00.124]  Of course they're going to cover it up because the money involved, and this is all CYA, because people are going to start to ask, what have you done with that $120 billion we've given you?
[02:22:00.124 --> 02:22:02.848]  So right, the President must put together a team
[02:22:04.229 --> 02:22:11.194]  Of outside independent experts who have spent their careers opposing biological weapons.
[02:22:11.194 --> 02:22:13.996]  And I'm not saying, you know, we are behind this.
[02:22:13.996 --> 02:22:21.541]  It's clear, in my opinion, it leaked out of that Wuhan BSL-4 facility.
[02:22:21.541 --> 02:22:24.964]  And it is an extremely dangerous biological weapon.
[02:22:24.964 --> 02:22:29.487]  And the only people who can give President Trump the proper advice
[02:22:30.127 --> 02:22:33.591]  And by the way, you've been harping on that, but it's true.
[02:22:33.591 --> 02:22:41.801]  Anyone that's connected to bioweapons production cannot be heard from because they have a built-in reason to cover this up.
[02:22:50.712 --> 02:22:51.874]  Exactly right.
[02:22:51.874 --> 02:23:01.509]  And as I said, the last time I crunched the numbers, 2015, there were 13,000, I call them death scientists, working on it.
[02:23:01.509 --> 02:23:03.773]  So of course they don't have any... So let's pull back though.
[02:23:05.475 --> 02:23:10.616]  I mean, let's pull back, just as a researcher, as a lawyer, as a historian.
[02:23:10.616 --> 02:23:12.436]  How bad do you really think this is going to get?
[02:23:12.436 --> 02:23:15.357]  Because clearly the numbers and the things coming out of China aren't accurate.
[02:23:15.357 --> 02:23:19.638]  The footage we see is just bedlam, and they're locking other major cities down.
[02:23:19.638 --> 02:23:22.238]  So it looks like this is a bioweapon, as you said.
[02:23:22.238 --> 02:23:23.599]  We know it's man-made.
[02:23:23.599 --> 02:23:25.879]  So, gut level, how bad do you think it's going to get?
[02:23:30.146 --> 02:23:34.089]  I'm not here to scare people one way or the other.
[02:23:34.089 --> 02:23:38.033]  No, but as a father, I want to know your gut level opinion, because everything's dead reckoning.
[02:23:38.033 --> 02:23:44.398]  I get you can be academic all day, but just gut level, do you think it's really bad, or do you think it's being hyped up?
[02:23:44.398 --> 02:23:45.720]  It's terrible.
[02:23:45.720 --> 02:23:47.361]  It's absolutely terrible.
[02:23:47.361 --> 02:23:50.624]  I personally think it'll be a lot worse than the Spanish flu virus.
[02:23:50.624 --> 02:23:56.469]  That being said, however, I think President Trump, if he acts now,
[02:23:57.483 --> 02:24:02.128]  Could very well prevent the worst for the United States of America.
[02:24:02.128 --> 02:24:05.891]  I'm not sure what can be done for the rest of the world, certainly China.
[02:24:05.891 --> 02:24:11.777]  No, I agree with you, and I think they could be using this to sucker punch Trump if his response isn't strong enough.
[02:24:11.777 --> 02:24:15.881]  The way China says, oh, we're going to shoot people at checkpoints, but we block a few flights.
[02:24:15.881 --> 02:24:17.322]  The media says it's terrible.
[02:24:17.322 --> 02:24:18.964]  It's like they want this to get bad here.
[02:24:20.933 --> 02:24:23.194]  Well, I don't know, Alex.
[02:24:23.194 --> 02:24:29.598]  What I am saying is I believe that if President Trump were to bring in a team of experts who spent their career
[02:24:30.696 --> 02:24:35.440]  Opposing biological warfare weapons.
[02:24:35.440 --> 02:24:37.182]  Hopefully he could contain this.
[02:24:37.182 --> 02:24:43.687]  Right now, you know, we have 13 people, they say, who are infected.
[02:24:43.687 --> 02:24:47.930]  But they just released these people off the Air Force base.
[02:24:47.930 --> 02:24:48.831]  Oh yeah, what about that?
[02:24:48.831 --> 02:24:52.494]  Like, they were infected but they let them go and now, that's crazy.
[02:24:53.667 --> 02:24:58.571]  It seems that the latest British Health Authority has said it's 24 days.
[02:24:58.571 --> 02:25:03.094]  And one person was released by a mistake, by an accident.
[02:25:03.094 --> 02:25:09.478]  I mean, I don't wish to attribute, you know... Malice to where it's encompassed.
[02:25:09.478 --> 02:25:11.080]  Malice to everyone.
[02:25:11.080 --> 02:25:16.223]  You know, this is human beings at work and people make mistakes, Alan.
[02:25:16.223 --> 02:25:17.784]  No, but I agree with you.
[02:25:17.784 --> 02:25:21.887]  We should be worried about containment instead of political correctness.
[02:25:23.649 --> 02:25:25.233]  We're not really seeing that right now, so...
[02:25:26.542 --> 02:25:29.564]  I think that's correct.
[02:25:29.564 --> 02:25:35.887]  President Trump needs to undertake a massive campaign in this country of containment.
[02:25:35.887 --> 02:25:37.708]  That is absolutely right.
[02:25:37.708 --> 02:25:44.993]  And the problem is that the mainstream news media refuses to report any of this.
[02:25:44.993 --> 02:25:54.218]  They just go along with the propaganda line by the CDC, WHO, which, as I said before, is working in cahoots with the Chinese government.
[02:25:54.278 --> 02:25:56.059]  Let me just give you a personal example, Alex.
[02:26:14.452 --> 02:26:21.364]  I was the first one to publicly blow the whistle that Amerithrax came out of a U.S.
[02:26:21.364 --> 02:26:24.990]  government biological warfare laboratory.
[02:26:24.990 --> 02:26:27.755]  That was the first week in November.
[02:26:28.584 --> 02:26:34.650]  And yet, soon after I did, an order was given to silence me.
[02:26:34.650 --> 02:26:42.779]  And no mainstream news media ever since then, since November, the first week of November, 2001, has ever interviewed me.
[02:26:42.779 --> 02:26:46.583]  And for those that don't know, that was the experimental anthrax shot that admittedly killed so many.
[02:26:48.211 --> 02:26:49.711]  Well, that wasn't the shot.
[02:26:49.711 --> 02:26:50.732]  That was anthrax.
[02:26:50.732 --> 02:26:53.732]  That was super weapons-grade anthrax.
[02:26:53.732 --> 02:26:55.413]  I remember you exposed that's what happened.
[02:26:55.413 --> 02:26:58.793]  Remember they had the anthrax vaccines to kill people.
[02:26:58.793 --> 02:26:59.934]  Vaccines too.
[02:26:59.934 --> 02:27:01.594]  I was involved in that, yes.
[02:27:01.594 --> 02:27:05.455]  But this is emerythrax that was October 2001 after the Paris attack.
[02:27:10.516 --> 02:27:11.917]  I know you said you could stay a little bit longer.
[02:27:11.917 --> 02:27:13.158]  I'm going to go to the calls, I promise, folks.
[02:27:13.158 --> 02:27:20.505]  But you should take us back then to the miniaturized Fort Detrick, Maryland, and then the deaths and the cover-up to remember.
[02:27:20.505 --> 02:27:21.285]  Because you were there.
[02:27:21.285 --> 02:27:22.326]  You were on the show back then.
[02:27:22.326 --> 02:27:22.687]  My God.
[02:27:22.687 --> 02:27:23.747]  I remember the sound.
[02:27:23.747 --> 02:27:24.088]  I was.
[02:27:24.088 --> 02:27:24.628]  Yeah, yeah.
[02:27:24.628 --> 02:27:25.689]  You've been on the show 20 years.
[02:27:25.689 --> 02:27:28.852]  It's hard to believe that, yeah, what happened with anthrax?
[02:27:28.852 --> 02:27:29.692]  That was a whole other deal.
[02:27:29.692 --> 02:27:33.856]  Plus, I'm not a biologist, but anthrax can live like 20,000 years in the ground.
[02:27:33.856 --> 02:27:37.059]  How do you attenuate anthrax and then put it in somebody's body?
[02:27:37.059 --> 02:27:37.939]  Of course it doesn't work.
[02:27:38.680 --> 02:27:42.543]  We'll briefly talk about that with Dr. Francis Boyle and then go to your phone calls.
[02:27:42.543 --> 02:27:48.667]  Everybody that is patiently holding here on this February 12th, Wednesday broadcast.
[02:27:48.667 --> 02:27:50.488]  It's just an incredible time to be alive.
[02:27:50.488 --> 02:27:54.451]  And I will get to Debbie and George and Nick and Wilde and J.K.
[02:27:54.451 --> 02:27:54.911]  J.K.'
[02:27:54.891 --> 02:27:59.614]  's up next and then Jordan and Austin after the professor leaves us.
[02:27:59.614 --> 02:28:02.336]  But yeah, this is just a crazy time to be alive.
[02:28:02.336 --> 02:28:03.036]  Please remember that
[02:28:04.127 --> 02:28:09.071]  We're Lister Supported, and it's you buying products in Forestore.com that makes this whole show possible.
[02:28:09.071 --> 02:28:15.556]  We have sold out of the 16-ounce Amium Gargle with the Nano Patented Silver that goes after this class of viruses.
[02:28:15.556 --> 02:28:22.381]  But we have the 1-ounce and we have the 3-ounce, 3.4-ounce that are left.
[02:28:22.381 --> 02:28:26.725]  They're about to sell out, but the good news is we have the Nano Silver Toothpaste
[02:28:28.143 --> 02:28:30.764]  In super blue and in super silver.
[02:28:30.764 --> 02:28:32.185]  Super silver is the tooth whitening.
[02:28:32.185 --> 02:28:36.247]  Super blue has the tea tree that's also antiviral as well.
[02:28:36.247 --> 02:28:37.628]  These are just high quality toothpaste.
[02:28:37.628 --> 02:28:39.769]  Just good for your mouth, good for your body.
[02:28:39.769 --> 02:28:42.510]  Good to have a good clean palate and it funds the info war.
[02:28:42.510 --> 02:28:48.894]  This is still 50% off despite the fact that it is set to sell out the next two weeks at current sales rates.
[02:28:48.894 --> 02:28:52.496]  The immune gargles are set to sell out right now so please take advantage of those.
[02:28:52.496 --> 02:28:53.016]  We'll be right back.
[02:28:53.556 --> 02:29:04.742]  Attention GCN self-reliance listeners, if you've ever wanted an emergency solar survival backup system but were waiting for prices too crazy to pass up, this will be the most important message you'll ever hear.
[02:29:04.742 --> 02:29:08.464]  Bill Hyde here and I want to tell you about a huge sale with historically low prices
[02:29:08.624 --> 02:29:14.046]  On our PPX microgrid system that's gonna let you produce an endless supply of electricity off the grid.
[02:29:14.046 --> 02:29:19.329]  The clearance price is a result of the historic flooding we're having here right on the east bank of the Mississippi.
[02:29:19.329 --> 02:29:31.514]  Because of the flooding we've had to move a lot of our inventory to a temporary location and rather than move it back to the warehouse we thought we'd offer the system at a price that might seem unbelievable if you didn't know the floodwaters backstory.
[02:29:31.514 --> 02:29:32.774]  So here's what you should do right now.
[02:29:32.774 --> 02:29:34.755]  Check out the PPX microgrid system
[02:29:34.915 --> 02:29:35.495]  That's right.
[02:29:54.369 --> 02:30:00.175]  I want to talk about Super Silver Whitening Toothpaste because I hadn't tried it except for maybe the last week and a half.
[02:30:00.175 --> 02:30:03.739]  And I told Alex, I said, man, this is the best toothpaste I've ever tried.
[02:30:03.739 --> 02:30:06.042]  He's like, well, what are you doing just sitting in here telling me?
[02:30:06.042 --> 02:30:07.864]  You got to get up there and tell people.
[02:30:07.864 --> 02:30:15.452]  So here I am telling people Super Silver Whitening Toothpaste is by far the best toothpaste I've ever tried.
[02:30:15.452 --> 02:30:15.912]  And I'm 45 years old.
[02:30:16.693 --> 02:30:18.674]  And I've tried a lot of different toothpaste.
[02:30:18.674 --> 02:30:20.354]  And it's fluoride-free.
[02:30:20.354 --> 02:30:23.595]  I think the big difference, the game-changer in this is the Coral Calcium.
[02:30:23.595 --> 02:30:27.217]  Because after I brush my teeth with this, they feel so clean.
[02:30:27.217 --> 02:30:31.878]  And the toothpaste, I don't even like rinse out my mouth after I brush my teeth with this.
[02:30:31.878 --> 02:30:33.159]  It feels so good.
[02:30:33.159 --> 02:30:37.340]  It feels like good things are happening in my mouth.
[02:30:37.340 --> 02:30:43.522]  In fact, I find myself brushing my teeth three to four times a day rather than just twice a day now.
[02:30:43.522 --> 02:30:45.183]  Because I like the way it feels.
[02:30:54.332 --> 02:31:00.978]  There's roughly only 260 days left until the 2020 election, and already you've seen all sorts of crazy things happen.
[02:31:00.978 --> 02:31:11.647]  The globalists are trying to plunge the economy, they're trying to start wars, they're trying to overthrow the president, they're trying to silence free speech, they're trying to trigger riots in the streets, but everything they do is blowing up in their face.
[02:31:11.687 --> 02:31:12.307]  That's right.
[02:31:41.687 --> 02:31:43.388]  The demand for food has not let up.
[02:31:43.388 --> 02:31:45.589]  We are selling record amounts of it.
[02:31:45.589 --> 02:31:48.490]  Everybody else is basically already sold out, or they have a giant wait list.
[02:31:48.490 --> 02:31:49.650]  Our suppliers have it in-house.
[02:31:49.650 --> 02:31:53.351]  It's taken 7 to 10 days to deliver because, again, they have to pack
[02:32:10.478 --> 02:32:10.978]  We're good to go.
[02:32:39.105 --> 02:32:40.887]  You're listening to the Alex Jones Show!
[02:33:17.958 --> 02:33:19.199]  You found it!
[02:33:19.199 --> 02:33:21.221]  The tip of the spear!
[02:33:21.221 --> 02:33:31.931]  It is the Alex Jones Show!
[02:33:31.931 --> 02:33:41.720]  Alright, finishing up with Dr. Francis Boyle and getting into what he just raised during the last segment.
[02:33:43.999 --> 02:33:45.681]  Anthrax.
[02:33:45.681 --> 02:33:47.162]  I mean, that was U.S.
[02:33:47.162 --> 02:33:48.804]  government bioweapons grade.
[02:33:48.804 --> 02:33:55.170]  Then a bunch of people they tried to frame ended up dying in custody, and he was right at the heart of exposing that.
[02:33:55.170 --> 02:33:57.712]  It's not about O tooting his horn, he's a... he's a...
[02:33:59.218 --> 02:34:00.980]  Mild-mannered, shy guy.
[02:34:00.980 --> 02:34:04.445]  It's that he's been speaking out for decades on what's right.
[02:34:04.445 --> 02:34:05.346]  He's the author of the U.S.
[02:34:05.346 --> 02:34:07.369]  Biological Weapons Convention.
[02:34:07.369 --> 02:34:08.711]  All of us who's an expert on that.
[02:34:08.711 --> 02:34:13.257]  In closing, the lessons of anthrax versus the lessons now.
[02:34:13.257 --> 02:34:15.841]  These things pretty much parallel each other, or am I wrong?
[02:34:17.307 --> 02:34:21.530]  No, that was completely covered up by the United States government.
[02:34:21.530 --> 02:34:23.571]  There's no question at all about it.
[02:34:23.571 --> 02:34:26.894]  This was super weapons-grade anthrax.
[02:34:26.894 --> 02:34:31.117]  It was a trillion spores per gram.
[02:34:31.117 --> 02:34:32.958]  It floated in the air.
[02:34:32.958 --> 02:34:34.059]  It came out of a U.S.
[02:34:34.059 --> 02:34:40.223]  government biological warfare laboratory, just as I said, Fort Detrick.
[02:34:41.191 --> 02:34:42.753]  For sure.
[02:34:42.753 --> 02:34:44.555]  And yet they covered it up.
[02:34:44.555 --> 02:34:46.477]  They tried to blame one fellow.
[02:34:46.477 --> 02:34:47.878]  He fought back.
[02:34:47.878 --> 02:34:55.946]  Then they pinned the blame on Ivins and basically drove him into suicide and said, case closed.
[02:34:55.946 --> 02:34:57.187]  And that was that.
[02:34:57.187 --> 02:35:03.393]  So the problem here, Alex, is that, as you correctly pointed out, anthrax does not degrade.
[02:35:03.988 --> 02:35:19.457]  So, somewhere there, either at Fort Detrick or Dugway, there is a stockpile of super weapons-grade anthrax, like the Amerithrax, that they can use again whenever they decide they want to use it again.
[02:35:19.457 --> 02:35:19.797]  Right.
[02:35:19.797 --> 02:35:21.498]  This is extremely dangerous business.
[02:35:23.834 --> 02:35:25.556]  And there's the whole side issue.
[02:35:25.556 --> 02:35:28.238]  Again, I'm not a biologist, but I research what biologists said.
[02:35:28.238 --> 02:35:38.228]  If the spore of anthrax lasts thousands of years and you really can't even kill it, then how do you inject it in somebody to create an autoimmune response as a vaccine?
[02:35:38.228 --> 02:35:41.712]  No wonder the vaccine killed so many people.
[02:35:41.712 --> 02:35:46.096]  Well, that vaccine, yes, was extremely dangerous.
[02:35:47.469 --> 02:36:15.531]  What happened was, all of a sudden, out of nowhere, in the run-up to the Gulf War I by Bush Sr., Cheney ordered experimental vaccines for anthrax and botulism to be inflicted on all of our troops headed for Iraq because Cheney knew full well, Cheney being a neocon, that... They transferred that to Saddam.
