[00:00:16.519 --> 00:00:18.861]  It's Monday, September 7th.
[01:40:08.684 --> 01:40:09.805]  It would take their self-worth.
[01:40:09.825 --> 01:40:13.907]  And if you take away our self-worth, you eat away at the very soul of what makes us great, and that's what's happening.
[01:40:14.307 --> 01:40:22.751]  Let's talk about that in a moment, because I interrupted you, but what do you make of all the Democrats caught eating at restaurants they own, going to salons, not wearing masks?
[01:40:22.791 --> 01:40:29.274]  I mean, they know it's a fraud, so they'll arrest you if it's not their business, but if it's their pet business, then they can do it.
[01:40:30.629 --> 01:40:32.609]  You know, I don't think much of it.
[01:40:33.010 --> 01:40:34.730]  It doesn't surprise me one bit.
[01:40:35.110 --> 01:40:39.071]  You know, I was not even shocked at all from when I saw that Nancy Pelosi video.
[01:40:39.351 --> 01:40:40.191]  We know this about it.
[01:40:40.231 --> 01:40:41.131]  This is not a surprise.
[01:40:41.151 --> 01:40:41.891]  They're not hiding it.
[01:40:42.191 --> 01:40:42.972]  They're elitists.
[01:40:43.512 --> 01:40:44.512]  They hate the middle class.
[01:40:44.552 --> 01:40:48.453]  They want to eradicate the middle class, you know, because they can't control the middle class.
[01:40:48.713 --> 01:40:50.593]  They can control the lower classes with money.
[01:40:50.613 --> 01:40:55.694]  They can't control people like me, you know, and... They want domesticated people in a world of money.
[01:40:55.934 --> 01:40:58.375]  The middle class is the free undomesticated person.
[01:40:59.312 --> 01:41:00.653]  They want to kill the pioneer spirit.
[01:41:00.794 --> 01:41:01.474]  Remember why we're out here.
[01:41:01.494 --> 01:41:15.750]  I live out West, you know, the West was won by pioneers who were willing to fight for what they wanted, you know, with with no promise of victory, you know, they fought with no promise of victory knowing that there might be something else over the horizon, you know, that might benefit their families.
[01:41:16.070 --> 01:41:18.012]  So that pioneer spirit out here out West.
[01:41:18.293 --> 01:41:19.354]  I live in rural America.
[01:41:20.075 --> 01:41:21.416]  That's being trampled on.
[01:41:21.697 --> 01:41:24.500]  But it's the very people that are being trampled on that are going to fight.
[01:41:24.520 --> 01:41:25.882]  People like me will fight.
[01:41:25.942 --> 01:41:31.389]  And like I said before, I think you said what, 30, 40, let's call it 50 million people that would fight with us right now.
[01:41:33.339 --> 01:41:42.461]  That's right, let me play a short clip of a few months ago, this mirrors Pelosi, of Lightfoot, caught out at a salon and she goes, well I'm a public figure, I need to have my hair done.
[01:41:42.822 --> 01:41:44.322]  Oh, no one else needs a haircut?
[01:41:45.062 --> 01:41:46.663]  I had that haircut, you know, in a while.
[01:41:46.703 --> 01:41:48.623]  I shaved my head when this was coming, I knew it was coming.
[01:41:49.283 --> 01:41:51.264]  But, I mean, the elitism... I wore a hat.
[01:41:52.478 --> 01:42:05.787]  It's insane to say, I'm an elitist, I don't, I mean they're even blind to their elitism, this is beyond quote racism, this is classism, meaning in America we all have the same rights, not under them, it's incredible, here it is.
[01:42:10.148 --> 01:42:11.289]  You guys got live football player.
[01:42:11.889 --> 01:42:19.113]  I'm out in the public eye and you know I'm a person who I take my personal hygiene very seriously.
[01:42:19.674 --> 01:42:23.076]  As I said I felt like I needed to have a haircut.
[01:42:23.516 --> 01:42:26.338]  I'm not able to do that myself and so I got a haircut.
[01:42:27.011 --> 01:42:32.493]  And again, the full press conference is she was arresting people, opening their barbershops, but she goes, but I need a haircut!
[01:42:32.773 --> 01:42:37.575]  I mean, this woman is totally blind and totally un-self-aware.
[01:42:37.955 --> 01:42:42.277]  How the hell do you say you are arrested if you go get your hair cut?
[01:42:42.297 --> 01:42:48.920]  She even said in a speech, like a week before, I'll catch you at a barbershop, or I'll catch you in a bar, or I'll catch you in a restaurant, you're arrested.
[01:42:49.100 --> 01:42:51.060]  She's like, well, I'm important!
[01:42:51.180 --> 01:42:53.021]  I mean, I gotta get my hair done.
[01:42:53.381 --> 01:42:54.482]  What the hell?
[01:42:55.322 --> 01:42:56.482]  And same thing with Pelosi!
[01:42:57.043 --> 01:42:57.923]  Oh my God, Newsom!
[01:42:58.063 --> 01:43:00.684]  Admiral Agbar, whatever it is.
[01:43:00.744 --> 01:43:01.304]  We'll be right back.
[01:43:02.685 --> 01:43:11.808]  You know, I sleep really good at night because I do my research and then I come out and I tell you what I actually really believe is going on.
[01:43:11.828 --> 01:43:16.390]  I don't care what the censors or the bureaucrats or the corrupt, loveless mafia think.
[01:43:17.510 --> 01:43:21.512]  And Infowars has become a pro-human, pro-liberty leader.
[01:43:22.953 --> 01:43:24.935]  On the planet, because of your support.
[01:43:25.355 --> 01:43:34.903]  And I just keep coming back to you telling you thank you, because I don't think you understand it's not rhetoric when I tell you you're king, you're key, you're the ether in which we swim.
[01:43:35.323 --> 01:43:36.404]  We are all in this together.
[01:43:36.784 --> 01:43:39.246]  If you don't support InfoWars, if you don't spread the word, we're screwed.
[01:43:39.266 --> 01:43:44.751]  Now listen, I gained about 25 pounds in the last two months.
[01:43:45.732 --> 01:43:48.294]  And I said to myself, I am exercising
[01:43:49.475 --> 01:43:52.138]  I am eating as not as much as I even was.
[01:43:52.238 --> 01:43:52.838]  What's happening?
[01:43:52.918 --> 01:43:53.759]  Is it because I'm 46?
[01:43:54.280 --> 01:43:55.141]  About to be 47?
[01:43:56.322 --> 01:43:56.482]  No.
[01:43:56.502 --> 01:44:09.894]  About two and a half months ago, I cleaned off the little side desk in my studio that had my X2, had my DNA Force Plus, had the bodies, had a few of the other products that I religiously take, had the fish oil.
[01:44:10.834 --> 01:44:12.575]  Because it was a big mess, I got mad and cleaned it up.
[01:44:13.356 --> 01:44:15.598]  And so, I went, wait a minute, it's the X2.
[01:44:16.339 --> 01:44:25.506]  Because I remember when I first started taking it seven years ago, how I worked out all the time, swam up to two miles a day, couldn't get down from 280 pounds.
[01:44:26.647 --> 01:44:31.031]  And as soon as I went on good, clean atomic iodine, it turned out nobody else was selling or had.
[01:44:32.754 --> 01:44:33.875]  I lost like 45 pounds.
[01:44:33.915 --> 01:44:34.376]  Everybody saw it.
[01:44:34.396 --> 01:44:35.037]  It was incredible.
[01:44:35.677 --> 01:44:40.783]  And Dr. Grip told me, he said, you know, those sunspots you get, those will be a lot less once you have iodine.
[01:44:42.024 --> 01:44:46.029]  And what made me notice it was after a few months without taking it, I've been out in the sun, I had sunspots again.
[01:44:47.531 --> 01:44:49.453]  Two weeks ago, I put the iodine
[01:44:51.005 --> 01:44:54.186]  In the studio so that I would put it in the water and take it under my tongue every day.
[01:44:54.206 --> 01:45:00.729]  I started doing it two and a half weeks ago and it was like my wife two days ago goes, man your stomach was like getting really big.
[01:45:00.789 --> 01:45:02.090]  It's gone down like by a third.
[01:45:02.630 --> 01:45:03.250]  What are you doing?
[01:45:03.270 --> 01:45:04.231]  And I'm like I've been too busy.
[01:45:04.251 --> 01:45:07.132]  I haven't been really exercising but I've lost 15 pounds.
[01:45:08.473 --> 01:45:09.933]  15 pounds folks and it's X2.
[01:45:11.614 --> 01:45:12.515]  And again, I get it.
[01:45:12.535 --> 01:45:13.456]  I was never a supplement guy.
[01:45:13.836 --> 01:45:14.697]  It's what listeners want.
[01:45:14.737 --> 01:45:15.318]  People love it.
[01:45:15.598 --> 01:45:16.339]  I have sponsors.
[01:45:16.599 --> 01:45:17.220]  So I sold it.
[01:45:17.320 --> 01:45:21.964]  Then I started saying like eight years ago, seven years ago, why don't I just take what I sell?
[01:45:22.404 --> 01:45:24.106]  And it changed my life because these are really good products.
[01:45:24.126 --> 01:45:26.909]  Because I always got you the highest rated, you know, with sponsors.
[01:45:27.289 --> 01:45:28.570]  So I said, why not put it out myself?
[01:45:29.791 --> 01:45:29.992]  Show.
[01:45:32.017 --> 01:45:34.420]  I told the crew, keep it in all studios.
[01:45:34.881 --> 01:45:36.443]  Remind me to take it every day.
[01:45:37.204 --> 01:45:48.379]  My lord, my libido, my stamina, my eyesight, everything, especially as you get older and you're under high stress, this is the ultimate good halogen that counters the fluoride.
[01:45:48.459 --> 01:45:49.000]  It's incredible.
[01:45:49.480 --> 01:45:52.182]  Now look, it was sold out for months, the X2 Liquid.
[01:45:52.202 --> 01:45:53.402]  Let's take it out of the tub.
[01:45:53.963 --> 01:45:54.503]  Proprietary.
[01:45:54.883 --> 01:46:00.006]  It's back in, limited supply, but it's 50% off still and free shipping.
[01:46:00.086 --> 01:46:03.348]  I'm extending this right through September till it sells out.
[01:46:03.368 --> 01:46:05.870]  It'll probably sell out by the middle of September.
[01:46:06.290 --> 01:46:07.110]  And we have the new
[01:46:08.651 --> 01:46:13.414]  Iodine spray bottle with X2, the only true atomic iodine that's in a spray bottle.
[01:46:13.934 --> 01:46:14.535]  It's amazing.
[01:46:14.855 --> 01:46:16.376]  Check it out and all its different uses.
[01:46:16.716 --> 01:46:20.198]  The things it does for topically, but also internally.
[01:46:21.058 --> 01:46:22.379]  It's at InfoWarsTore.com.
[01:46:22.759 --> 01:46:24.380]  That's how we finance this operation.
[01:46:24.700 --> 01:46:25.781]  That's how we fund things.
[01:46:26.141 --> 01:46:27.242]  And they're all great products.
[01:46:27.262 --> 01:46:35.487]  So when I promote swearable food, or I promote, you know, that you better get guns because a collapse is coming, it's what I really believe is happening.
[01:46:36.007 --> 01:46:37.488]  And I'm trying to fight the collapse, but
[01:46:37.828 --> 01:46:43.050]  More and more it becomes a reality we better get ready and then hope we've got insurance we can eat the storable food.
[01:46:43.730 --> 01:46:51.674]  This is something that is game-changing and I've got to religiously remember to always take it because every time I turn around I'm tired and fat.
[01:46:52.034 --> 01:46:54.555]  It's because I've quit taking it and gotten out of the habit.
[01:46:54.855 --> 01:46:55.555]  Habituate it.
[01:46:55.975 --> 01:46:56.776]  It's changed my life.
[01:46:56.856 --> 01:46:57.656]  It's changed other lives.
[01:46:58.096 --> 01:46:59.197]  Thousands of five-star reviews.
[01:46:59.497 --> 01:47:00.377]  MFORESTORE.COM.
[01:47:00.577 --> 01:47:02.018]  Get your X2 and X3 today.
[01:47:05.535 --> 01:47:09.616]  Leading a frontal assault on the lies of the New World Order.
[01:47:10.136 --> 01:47:11.456]  It's Alex Jones.
[01:47:20.258 --> 01:47:22.439]  Things are cliches because they're true.
[01:47:22.459 --> 01:47:24.159]  People say them over and over again.
[01:47:24.799 --> 01:47:26.900]  Well, it's always darkest before the dawn.
[01:47:27.657 --> 01:47:30.419]  There's another cliche, don't ever meet your heroes, they'll disappoint you.
[01:47:30.880 --> 01:47:37.385]  Well, meeting Carlos Zapata, who is a hero to us all, and is just common sense, two minutes, has not been disappointing.
[01:47:37.445 --> 01:47:48.854]  It's been empowering, and I want to invite him back in the war room, on the election countdown, on the David Knight Show, to get his analysis and topics he wants to cover, and things that are unfolding.
[01:47:48.894 --> 01:47:50.415]  Carlos, let me ask you this question.
[01:47:50.435 --> 01:47:54.819]  I mean, we went to break, you had another topic you were on, I said, hold over, I forget what it was.
[01:47:57.540 --> 01:47:59.321]  What do you think the globalists are thinking?
[01:47:59.361 --> 01:48:02.542]  I think they're just testing and probing to see what we'll put up with.
[01:48:02.562 --> 01:48:08.184]  The fact that they, the leadership, never get in trouble is why they think that they are invincible.
[01:48:08.985 --> 01:48:15.047]  Your thoughts on that and just on the election and on the destabilization and everything else that's happening?
[01:48:16.368 --> 01:48:18.129]  I think they push a little bit further every time.
[01:48:18.169 --> 01:48:22.911]  Every time something like this happens, they're going to push a little bit further to see how gullible we are.
[01:48:23.271 --> 01:48:25.853]  And we prove over and over again to be very gullible.
[01:48:25.933 --> 01:48:29.014]  We prove that we'll allow them to push the line more and more.
[01:48:29.815 --> 01:48:36.418]  And things that if you would have asked us a year ago, hey, at what point would you fight against
[01:48:37.133 --> 01:48:37.953]  A tyrannical government.
[01:48:37.973 --> 01:48:41.414]  You know, people say, oh, well, if they made me shut down my business, I might fight.
[01:48:41.454 --> 01:48:42.195]  Well, here we are.
[01:48:42.335 --> 01:48:43.215]  They shut down our businesses.
[01:48:43.275 --> 01:48:44.796]  If they made me wear a mask, I might fight.
[01:48:44.816 --> 01:48:46.116]  Well, here we are, wearing a mask.
[01:48:46.696 --> 01:48:47.537]  And we're not fighting.
[01:48:47.857 --> 01:48:50.518]  So we're telling them, you know, and silence is consent.
[01:48:51.178 --> 01:48:52.018]  And I'm not silent.
[01:48:52.038 --> 01:48:52.758]  You're not silent.
[01:48:52.998 --> 01:48:54.359]  People like us aren't silent.
[01:48:54.419 --> 01:48:56.139]  But there's very many people that are.
[01:48:56.780 --> 01:49:00.361]  And as long as we're consenting and they see that consent, they're going to continue to move the line.
[01:49:00.601 --> 01:49:04.222]  And people like us will be labeled the terrorists.
[01:49:04.242 --> 01:49:05.963]  We're going to be labeled the fringe, right?
[01:49:07.523 --> 01:49:13.487]  But, you know, Alex, like I said, this doesn't end well for us unless we change course and we change course now.
[01:49:14.067 --> 01:49:25.294]  And right now we have the most important election in the history of our country coming up, where my mother was sitting here in my living room last week and she said, son, this is no longer about Joe Biden versus Donald Trump.
[01:49:25.314 --> 01:49:31.618]  This is literally, in a very real way, a choice between liberty and freedom and tyranny.
[01:49:32.113 --> 01:49:32.673]  And that's it.
[01:49:32.813 --> 01:49:38.695]  And if we choose tyranny this time around, we will never, ever, ever be able to go back to where we want to be.
[01:49:39.115 --> 01:49:40.095]  And you've been through this.
[01:49:40.135 --> 01:49:41.436]  You saw this in Peru.
[01:49:41.796 --> 01:49:42.496]  Your family did.
[01:49:42.536 --> 01:49:45.697]  I mean, the globalists admit this is a total takeover.
[01:49:46.497 --> 01:49:51.918]  Describe to people, with your historical understanding, what it will look like if they win, what the future is.
[01:49:54.319 --> 01:49:57.860]  If they win, it's going to be a free-for-all, Alex.
[01:49:58.420 --> 01:49:59.621]  I'm going to tell you what's going to happen.
[01:49:59.641 --> 01:50:00.821]  If Joe Biden wins,
[01:50:01.537 --> 01:50:10.881]  In November, they're going to absolutely push their agenda in a way that is so fast and so uncontrollable that we will not have a choice.
[01:50:10.901 --> 01:50:13.562]  We won't be able to stop it unless we take to the streets.
[01:50:13.582 --> 01:50:18.704]  And there's going to be bloodshed in the streets because at that point, they know they've won.
[01:50:18.724 --> 01:50:24.307]  And at that point, they're going to be so rooted for the next four to eight years that we will never be able to catch up again.
[01:50:24.327 --> 01:50:29.089]  And like I said before, we won't be able to vote ourselves out of this this time around.
[01:50:29.534 --> 01:50:30.034]  We're good to go.
[01:50:47.603 --> 01:50:55.766]  And now they know if they get in, they're going to go for the, they say, we're going to quote, wipe his supporters out, wipe out Americans, wipe out the middle class.
[01:50:55.786 --> 01:50:59.567]  I mean, they're on TV saying they're going to quote, level us, wipe us out.
[01:50:59.987 --> 01:51:01.167]  Your family experienced that.
[01:51:01.207 --> 01:51:02.428]  What does the wipe out look like?
[01:51:03.752 --> 01:51:05.092]  They're telling us what it's going to look like.
[01:51:05.112 --> 01:51:06.693]  It's going to be like you losing all your wealth.
[01:51:06.993 --> 01:51:13.115]  It's going to be like guys like me going to the bank one day and not having any money in the account because my accounts are frozen and not be able to access them.
[01:51:13.395 --> 01:51:13.635]  You know?
[01:51:14.195 --> 01:51:19.236]  It's going to look like them telling me that I can't run my business because I don't have a vaccine or my kids aren't vaccinated.
[01:51:19.556 --> 01:51:21.737]  It's going to look like my kids not be able to get an education.
[01:51:21.757 --> 01:51:22.317]  And that's the key.
[01:51:22.337 --> 01:51:28.019]  That's the cover for their communism is going to be the Microsoft Bill Gates run contact tracing.
[01:51:28.059 --> 01:51:28.639]  That's their cover.
[01:51:30.772 --> 01:51:32.472]  So we know the playbook, right?
[01:51:32.512 --> 01:51:39.874]  They create an obstacle, they create a problem, then they wait for a reaction, and then they create a solution, right?
[01:51:39.894 --> 01:51:41.294]  But the solution is not a real solution.
[01:51:41.354 --> 01:51:45.135]  The solution is just furthering their own agenda by whatever action they take.
[01:51:45.195 --> 01:51:48.296]  In this case, it's going to be, I think, the inoculation and the contact tracing.
[01:51:48.316 --> 01:51:53.237]  It's going to be a very globalist control over us.
[01:51:55.377 --> 01:51:57.118]  We have nowhere to go from here, Alex.
[01:51:57.238 --> 01:51:57.858]  I can't pack up.
[01:51:57.898 --> 01:51:58.398]  I said this earlier.
[01:51:58.419 --> 01:52:02.060]  I can't pack up my family, sell my things, and go to another country to start over again.
[01:52:02.080 --> 01:52:02.940]  And there's nowhere to run.
[01:52:03.080 --> 01:52:08.762]  I love America, but I've said if there was some free country, the folks that got it, I would have left because... We would have gone.
[01:52:08.863 --> 01:52:11.464]  We would have gone because I love my freedom more than I love my country.
[01:52:11.504 --> 01:52:13.144]  And I love my country because of my freedom.
[01:52:14.805 --> 01:52:15.465]  Beautifully said.
[01:52:15.525 --> 01:52:16.085]  So, wow.
[01:52:16.105 --> 01:52:17.906]  Sounds like your folks are great people.
[01:52:18.966 --> 01:52:20.107]  Talk about your parents.
[01:52:20.127 --> 01:52:20.847]  They are, you know.
[01:52:22.228 --> 01:52:23.008]  My parents, you know.
[01:52:23.584 --> 01:52:27.046]  I say this all the time, that my parents, we came from very humble beginnings, okay?
[01:52:27.806 --> 01:52:31.468]  My parents' families have done very well in Peru, in Latin America.
[01:52:32.128 --> 01:52:45.634]  In fact, I'll tell you something that I haven't said on any show before, is that my grandfather was an Allende, related to Salvador Allende, who was the communist leader of Chile, and we know what happened to him, you know, in that coup d'etat.
[01:52:46.235 --> 01:52:47.975]  So, that is my family history.
[01:52:48.015 --> 01:52:49.216]  We come from the Allende family.
[01:52:49.256 --> 01:52:51.257]  We come from a socialist, communist family.
[01:52:53.319 --> 01:52:53.519]  I don't
[01:53:11.485 --> 01:53:14.727]  So let me tell you that this does not end well for free people, okay?
[01:53:15.007 --> 01:53:17.629]  So here I am now, a proud American.
[01:53:17.649 --> 01:53:18.289]  I'm an American.
[01:53:18.329 --> 01:53:22.032]  If you ask me, I'm not a Peruvian-American, I'm not a Latin-American, I am a regular American.
[01:53:22.052 --> 01:53:26.314]  Chairman, I can tell, if I ask about your folks, I can tell you know what you're talking about.
[01:53:26.795 --> 01:53:30.617]  Not just from being in the military, being American, but you had some expert understanding.
[01:53:32.058 --> 01:53:33.639]  Yeah, and my parents are great people.
[01:53:33.659 --> 01:53:36.360]  Listen, they lost absolutely everything.
[01:53:36.761 --> 01:53:39.703]  You know, whatever their families had amassed in wealth was completely lost.
[01:53:39.743 --> 01:53:40.383]  It came to this country.
[01:53:41.039 --> 01:53:42.360]  Uh, my father's a preacher.
[01:53:42.400 --> 01:53:43.880]  He's a pastor of a church.
[01:53:43.960 --> 01:53:44.621]  No, I get it.
[01:53:44.641 --> 01:53:48.262]  There's nothing like experience to make you be intelligent and informed.
[01:53:50.823 --> 01:53:52.164]  Absolutely nothing else, you know?
[01:53:52.504 --> 01:53:54.405]  So let me talk about this for one second.
[01:53:54.465 --> 01:54:01.247]  Alex, if you don't mind me jumping out a little bit, what you just said about experience is something that, that you can't replicate.
[01:54:01.427 --> 01:54:04.249]  You have to understand things based on experience, right?
[01:54:04.869 --> 01:54:09.911]  Um, what have we done, you know, to, to, to our society over the last 30 years, I was raised
[01:54:10.812 --> 01:54:14.375]  In a community that told you that if you don't go to college, you're going to end up being a plumber.
[01:54:14.636 --> 01:54:14.876]  Okay?
[01:54:15.096 --> 01:54:19.059]  Well, a plumber makes $150 an hour, and if they own their own business, they make more, right?
[01:54:20.000 --> 01:54:22.322]  And people with a college degree, on average, are bagging groceries.
[01:54:22.342 --> 01:54:22.602]  Sorry.
[01:54:22.622 --> 01:54:22.602]  100%.
[01:54:25.065 --> 01:54:27.867]  So I'm going somewhere with this, right, in that we were all funneled
[01:54:28.464 --> 01:54:28.524]  Yes.
[01:54:47.199 --> 01:54:50.463]  To have a vessel, and that vessel was academia, right?
[01:54:50.684 --> 01:54:57.633]  That vessel was universities and colleges around the country, where they could funnel us all in there and get brainwashed, essentially, to where we are now.
[01:54:57.653 --> 01:54:58.854]  And they needed a political army.
[01:55:00.086 --> 01:55:07.295]  You know, and create a political army and allies because they knew that this day would come where they would need every last person, you know?
[01:55:08.176 --> 01:55:18.969]  And they need to give them educations that disenfranchise them so they're desperate and scared and will follow the cult leaders who've already abused them under Stockholm Syndrome to then direct them against the rest of the country.
[01:55:20.971 --> 01:55:25.473]  100%.
[01:55:22.372 --> 01:55:25.473]  It's all conditioning, and I won't even go into all the studies that have been done.
[01:55:25.513 --> 01:55:30.556]  We could go into that another time, but studies of how easily conditioned people are.
[01:55:31.617 --> 01:55:33.377]  Milgram, Stanford, you name it.
[01:55:35.959 --> 01:55:37.580]  Well listen, you need to join us again.
[01:55:37.600 --> 01:55:39.781]  When do you want to come back on with the show?
[01:55:41.348 --> 01:55:54.539]  You tell me Alex, I love your show, I love what you're doing, and listen, I never wanted this platform, but now that I have a platform, people are hearing this message, I think it's important, and I feel it's my duty now, as part of that oath that we talked about earlier, to get this message out, because we have to save our country.
[01:55:54.559 --> 01:55:59.202]  Yeah, why don't you just pick a day you want to host an hour, that way I'm not interrupting and you can really flow with it.
[01:55:59.483 --> 01:56:00.864]  Dario, the producer, will talk to you.
[01:56:00.884 --> 01:56:02.485]  You pick an hour you want to come on.
[01:56:02.505 --> 01:56:03.506]  No, seriously, that's what we do.
[01:56:03.526 --> 01:56:08.290]  We want to get regular folks who aren't the regular folks, the real people, on the show, in the game, brother.
[01:56:09.406 --> 01:56:09.806]  I appreciate that.
[01:56:09.826 --> 01:56:13.288]  I have a lot to say, and I would love to come back and do that with you.
[01:56:13.649 --> 01:56:16.410]  And you ought to, sometime when you're cold, after you've done it, if he does, bring your dad!
[01:56:16.450 --> 01:56:17.211]  You should do a show with him!
[01:56:17.231 --> 01:56:20.173]  Yeah, he'd probably love it.
[01:56:20.533 --> 01:56:21.413]  He has a lot to say.
[01:56:21.433 --> 01:56:27.237]  I bet he does, because I can tell, not just that you're informed, you have that passion and that focus of the experience.
[01:56:27.257 --> 01:56:27.917]  You can see that.
[01:56:28.218 --> 01:56:29.058]  You can't fake that.
[01:56:30.579 --> 01:56:36.803]  We love this country, Alex, and one thing that I will not buy into is the fact that, based on the color of my skin,
[01:56:37.205 --> 01:56:46.547]  You know, being an Hispanic, that I need to vote a certain way, you know, because there's so many like us, you know, and so many people from my background and in our culture have bought into that bait.
[01:56:46.567 --> 01:56:56.349]  Well, it's not saying there isn't real stuff by all sides out there, but the globalist corporates with their sociology and anthropology are exploiting people, period, cold-bloodedly.
[01:56:56.389 --> 01:56:56.969]  It's a fraud.
[01:56:57.289 --> 01:57:00.630]  Doesn't mean there's not real stuff going on, but what they're doing is a fraud.
[01:57:00.910 --> 01:57:01.750]  Carlos Zapata,
[01:57:02.570 --> 01:57:05.052]  At Carlos underscore Zapata underscore one, a real leader.
[01:57:05.673 --> 01:57:07.434]  Instagram Carlos dot Zapata dot 90.
[01:57:07.614 --> 01:57:10.316]  Hey, come back on this week.
[01:57:10.356 --> 01:57:10.877]  Let's not wait.
[01:57:10.897 --> 01:57:11.857]  Get on with Owen Schroeder.
[01:57:12.378 --> 01:57:14.039]  Daria's gonna set you up right now.
[01:57:14.059 --> 01:57:14.980]  Get on my Instagram.
[01:57:15.120 --> 01:57:15.660]  Get on Twitter.
[01:57:15.680 --> 01:57:16.861]  I have a lot to say on there, guys.
[01:57:16.941 --> 01:57:17.382]  Follow me.
[01:57:17.662 --> 01:57:18.843]  Not because I want the popularity.
[01:57:18.863 --> 01:57:19.723]  No, but you need to win the war.
[01:57:19.743 --> 01:57:20.704]  I get it, brother.
[01:57:20.744 --> 01:57:21.204]  Here's the deal.
[01:57:21.245 --> 01:57:21.585]  Here's the deal.
[01:57:21.925 --> 01:57:22.746]  Here's the deal.
[01:57:22.826 --> 01:57:23.987]  You're now conscripted.
[01:57:24.007 --> 01:57:25.828]  You're now drafted into the InfoWars Army.
[01:57:25.868 --> 01:57:27.229]  So, come back on this tomorrow.
[01:57:27.249 --> 01:57:27.990]  Come on the other shows.
[01:57:28.430 --> 01:57:29.551]  Tell people where you want them to go again.
[01:57:29.591 --> 01:57:30.492]  Where were you saying?
[01:57:30.512 --> 01:57:30.732]  Instagram?
[01:57:32.395 --> 01:57:38.977]  A lot of you are probably already very familiar with these terms I'm about to introduce, but some folks aren't.
[01:57:39.017 --> 01:57:41.418]  So, for those that aren't, here they are.
[01:57:41.458 --> 01:57:41.938]  Activated charcoal.
[01:58:03.373 --> 01:58:05.952]  And then another term, enamel safe.
[01:58:07.518 --> 01:58:13.441]  Activated charcoal is the fastest growing type of toothpaste for a good reason.
[01:58:14.081 --> 01:58:15.002]  It really, really works.
[01:58:15.042 --> 01:58:29.748]  Well, we've come up with the best activated charcoal toothpaste with no fillers, the cleanest type, the highest quality, with a bunch of high quality essential oils and other ingredients known and documented to do amazing things for your oral hygiene and your overall health and your mouth.
[01:58:29.989 --> 01:58:34.571]  It's so critical and it makes your teeth look really white and really, really clean and it's good for your gums.
[01:58:35.191 --> 01:58:39.033]  But on top of that, it doesn't have any ingredients that are known to hurt enamel.
[01:58:39.773 --> 01:58:44.515]  I've gone out before and gotten toothpaste that really made my teeth clean, but eroded enamel up the top.
[01:58:45.036 --> 01:58:49.598]  So I got into really safe, healthy types of toothpaste, and that's what this is.
[01:58:49.978 --> 01:58:52.099]  It's available at InfoWarsTore.com.
[01:58:53.180 --> 01:58:56.361]  Supposedly she can rap, too.
[01:58:56.401 --> 01:58:56.681]  Terrific.
[01:58:56.701 --> 01:58:57.641]  These are all terrific.
[01:58:58.001 --> 01:58:59.242]  Meet Bedlam.
[01:58:59.802 --> 01:59:00.482]  Cool name.
[01:59:01.082 --> 01:59:01.743]  Superpowers?
[01:59:02.243 --> 01:59:14.146]  My superpowers, being honest, I've extrapolated this out, and I won't have to for a few years since I got food and stuff, but I'm literally looking at my neighbors now and going, am I ready to hang them up and gut them and skin them and chop them up?
[01:59:14.206 --> 01:59:14.526]  You know what?
[01:59:14.546 --> 01:59:14.906]  I'm ready.
[01:59:15.186 --> 01:59:15.887]  I'll eat my neighbors.
[01:59:16.187 --> 01:59:16.507]  You're in.
[01:59:18.536 --> 01:59:21.117]  Leftist ass like corn on the cob!
[01:59:21.337 --> 01:59:22.258]  I'm ready!
[01:59:22.438 --> 01:59:22.698]  I will!
[01:59:23.278 --> 01:59:24.519]  I will eat your ass!
[01:59:24.899 --> 01:59:25.699]  I'll eat your ass!
[01:59:25.719 --> 01:59:27.060]  My children aren't going hungry!
[01:59:27.200 --> 01:59:27.660]  I'll do it!
[01:59:27.900 --> 01:59:29.000]  I'll drink your blood!
[01:59:29.701 --> 01:59:32.722]  And I'm starting to think about having to eat my neighbors!
[01:59:32.942 --> 01:59:33.902]  You think I like?
[01:59:34.043 --> 01:59:37.124]  Size it up, I'm gonna haul him up by a chain!
[01:59:37.184 --> 01:59:40.685]  Chop his ass up, size it up, I'm gonna haul him up by a chain!
[01:59:40.765 --> 01:59:42.066]  Chop, chop, chop, chop, chop!
[01:59:56.989 --> 02:00:00.924]  If you are receiving this translation, you are the Resistance.
[02:00:22.780 --> 02:00:30.124]  This is the pro-human, pro-God, pro-family, pro-children, pro-future transmission.
[02:00:30.724 --> 02:00:37.168]  We are standing tall in the face of evil and its attempt to take control of the planet forever.
[02:00:37.188 --> 02:00:41.990]  And I'm honored to be here and very thankful you've kept us in this position to fight back.
[02:00:44.172 --> 02:00:45.372]  Who'd I say was up next?
[02:00:47.153 --> 02:00:48.614]  That'd be Mike in Oregon.
[02:00:48.654 --> 02:00:49.695]  Mike, thanks for calling in.
[02:00:49.715 --> 02:00:50.255]  Go ahead, Mike.
[02:00:52.885 --> 02:00:57.150]  Alex, 1984 doesn't have anything on 2020.
[02:00:57.290 --> 02:01:15.409]  We're living in probably the most dystopic times of any human existence and at this point, with the way the city is going, I'm just, I have to get out of here as quickly as possible because these people are so brainwashed and far gone that basically
[02:01:16.860 --> 02:01:22.704]  They'll do anything to destroy Trump at this point, and they don't care if they destroy the city along with it.
[02:01:22.724 --> 02:01:23.304]  They don't care.
