[00:00:15.512 --> 00:00:15.992]  We are live.
[01:28:47.588 --> 01:28:50.469]  Because it's not sociopathic and psychotic.
[01:28:51.549 --> 01:28:57.491]  When you join with the dark side, it starts taking over your will until you're not yourself anymore.
[01:28:57.871 --> 01:29:03.813]  And you're an evil robot that slithers around carrying out its operation.
[01:29:04.174 --> 01:29:05.414]  I don't want to be a robot!
[01:29:08.160 --> 01:29:12.943]  And fly around in jet helicopters and be in palaces with everyone kissing my ass.
[01:29:13.383 --> 01:29:29.353]  And then these people are totally just... When they're not out doing evil, folks, they are like... And that's why they run around doing evil continually is because they only get the spark when they're doing evil.
[01:29:30.486 --> 01:29:38.596]  I've interviewed a lot of famous psychiatrists that have interviewed men and worked with serial killers that are the low-level dumb ones that get caught.
[01:29:40.598 --> 01:29:42.641]  And they feel like they're not alive.
[01:29:45.233 --> 01:29:50.496]  And they're tortured and scared by demons and just, and evil and nightmares.
[01:29:51.017 --> 01:29:56.600]  And just, they feel powerless until they kidnap a little girl and torture her and rape her.
[01:29:56.900 --> 01:30:03.264]  And as they're being used up in entire horror, they feel like bright light and fun and empowered.
[01:30:03.604 --> 01:30:10.789]  And they're only given those moments of rest when they're doing evil.
[01:30:13.220 --> 01:30:13.820]  I forget her name.
[01:30:13.860 --> 01:30:14.321]  I had her on.
[01:30:14.521 --> 01:30:17.143]  Type in famous psychiatrist to serial killers.
[01:30:17.363 --> 01:30:19.104]  I heard her on Coast to Coast like 20 years ago.
[01:30:19.745 --> 01:30:21.206]  Got her on a couple times.
[01:30:21.286 --> 01:30:25.709]  And I hadn't even read her books, but I was saying, is it?
[01:30:25.729 --> 01:30:27.310]  And she goes, yes, that's actually true.
[01:30:27.370 --> 01:30:27.950]  How do you know that?
[01:30:27.970 --> 01:30:29.772]  She goes, because I haven't put a lot of that in my books.
[01:30:29.812 --> 01:30:30.712]  People can't handle it.
[01:30:30.752 --> 01:30:34.055]  But they are all pretty much tortured by demons.
[01:30:34.095 --> 01:30:38.178]  And I said, it's just like in the remake of
[01:30:39.735 --> 01:30:43.776]  The Manchurian candidate, when they give him the activation words, he's got a chip in his brain.
[01:30:44.196 --> 01:30:46.537]  It's like he goes from being like this to like bright light.
[01:30:47.017 --> 01:30:50.117]  And that's because I've talked to real Satanist folks and people.
[01:30:51.838 --> 01:30:52.738]  And that's what it's like.
[01:30:54.218 --> 01:30:55.479]  And they're very, very scared.
[01:30:55.859 --> 01:31:04.481]  And I've known, I've known, Luciferians is really what it is, known some of them and who've been still at some soul and still were kind of scared.
[01:31:06.158 --> 01:31:09.964]  Like Hillary Clinton famously, not to me, but to Larry Nichols said.
[01:31:10.785 --> 01:31:19.029]  Well, you know, I go to the Satanic Temple, and I go to the Native American Temple, and I go to the Jewish Temple, and I go to the Christian Temple, and she goes, just to cover my bases.
[01:31:19.649 --> 01:31:29.634]  She's so sociopathic and disconnected, she knows there's power there, but she goes to those places trying to find the spirit, and she's not sure which one.
[01:31:29.894 --> 01:31:36.557]  She just knows the evil is real and gave her power, but she's so cut off, she's trying to go and, like, punch buttons.
[01:31:36.797 --> 01:31:39.719]  Like, well, maybe if I just, you know, go to church sometimes, I'll...
[01:31:40.239 --> 01:31:40.840]  Think about that.
[01:31:41.420 --> 01:31:49.346]  No, Hillary, you had to say no to Satan and do good, not go your first job out of college, go represent the mafia in Arkansas.
[01:31:49.366 --> 01:31:53.650]  Anybody that knows about the real mafia, that's where the actual nationwide mafia is actually based.
[01:31:55.311 --> 01:31:57.573]  You don't ever put your corporate office, you know, where you really operate.
[01:31:58.294 --> 01:32:08.262]  And she represented child rapists and murderers and people that she particularly went out and said, I want to represent rich people that kidnap and rape children.
[01:32:10.686 --> 01:32:12.047]  And they were like, good girl.
[01:32:13.108 --> 01:32:19.432]  And she laughed about it on tape and said, I knew they grabbed that 11-year-old girl and raped her and seven men till her, till her cervix was crushing.
[01:32:19.892 --> 01:32:22.574]  You know, her, her uterus was prolapsing out on the ground.
[01:32:23.835 --> 01:32:24.035]  Yeah.
[01:32:24.556 --> 01:32:27.198]  She's like laughing about it.
[01:32:27.598 --> 01:32:28.639]  Raping little girls.
[01:32:28.679 --> 01:32:31.481]  Cause that's who the end of the quote of them.
[01:32:31.501 --> 01:32:32.421]  They're like, you're good.
[01:32:32.741 --> 01:32:33.302]  You're in with us.
[01:32:33.342 --> 01:32:35.023]  Now you like to rape 11 year old girls.
[01:32:40.919 --> 01:32:44.580]  Portly took a broomstick after they were all done and just wrecked her out, you know?
[01:32:44.820 --> 01:32:45.521]  We're liberal!
[01:32:45.781 --> 01:32:46.561]  Ah, Hillary Clinton!
[01:32:46.661 --> 01:32:47.741]  Ah, liberal, liberal!
[01:32:48.082 --> 01:32:52.843]  And all these little leftists walk around getting off on worshipping her, because they're all little empty demons.
[01:32:53.043 --> 01:32:58.325]  They see a big demon and they feel powerful when she's walking around going, I'm Hillary Clinton, how you doing?
[01:32:59.566 --> 01:33:00.926]  They go, oh, nasty!
[01:33:02.287 --> 01:33:03.567]  I deported my baby, you know?
[01:33:03.587 --> 01:33:06.088]  He's like, good till more, my servant!
[01:33:10.253 --> 01:33:11.214]  Go to a Hillary event.
[01:33:11.274 --> 01:33:12.374]  Everyone's perching-ling.
[01:33:13.735 --> 01:33:16.376]  They're all child molesters and devil worshippers.
[01:33:22.139 --> 01:33:22.800]  Oh my God.
[01:33:24.761 --> 01:33:25.541]  Yeah, that's the lady.
[01:33:27.082 --> 01:33:29.803]  Yeah, I'm gonna stop.
[01:33:30.564 --> 01:33:33.345]  I gotta get these video clips, because this is a two-hour transmission.
[01:33:33.365 --> 01:33:33.705]  It's live.
[01:33:33.765 --> 01:33:34.586]  I said I'd take calls.
[01:33:36.018 --> 01:33:37.158]  You guys want to go three hours?
[01:33:37.198 --> 01:33:37.979]  We want to get out of here.
[01:33:38.079 --> 01:33:39.119]  I'll go three hours.
[01:33:39.159 --> 01:33:40.600]  John Harmon came in here to take the calls.
[01:33:40.940 --> 01:33:41.840]  Let's take some calls.
[01:33:41.860 --> 01:33:42.760]  We'll take five calls.
[01:33:43.421 --> 01:33:46.022]  And then next time I do this special transmission, we'll take more.
[01:33:46.042 --> 01:33:46.842]  I'll take a lot tomorrow.
[01:33:46.862 --> 01:33:47.722]  4 to 6 p.m.
[01:33:47.742 --> 01:33:48.142]  I promise.
[01:33:48.162 --> 01:33:48.222]  877-789-2539.
[01:33:48.242 --> 01:33:48.322]  877-789-2539.
[01:33:48.342 --> 01:33:48.422]  877-789-2539.
[01:33:48.462 --> 01:33:50.923]  But the big tell here is it's man-made and they don't want you to know about zinc.
[01:33:50.943 --> 01:33:52.484]  They don't want you to know about iodine.
[01:33:52.504 --> 01:33:56.245]  They don't want you to know about
[01:34:05.458 --> 01:34:07.840]  Vitamin C, vitamin D3, it's pure evil.
[01:34:08.300 --> 01:34:15.686]  All right, since I mentioned all this, let's play the four minute clip of the UN head scientist and others at their event in December 2nd.
[01:34:18.632 --> 01:34:22.294]  We really don't have very good safety monitoring systems in many countries and this adds to the
[01:34:43.666 --> 01:34:53.964]  Communication and the misapprehensions because we're not able to give clear-cut answers when people ask questions about the deaths that have occurred due to particular vaccine and this always gets blown up in the media.
[01:34:55.133 --> 01:35:01.296]  One should be able to give a very factual account of what exactly has happened and what the cause of deaths are.
[01:35:01.336 --> 01:35:06.799]  But in most cases there's some obfuscation at that level and therefore there's less and less trust.
[01:35:06.999 --> 01:35:10.661]  The first accusation is it is the adjuvant.
[01:35:11.041 --> 01:35:15.163]  And yet without adjuvants we are not going to have the next generation of vaccines.
[01:35:15.603 --> 01:35:19.545]  And many of the vaccines that we do have, ranging from tetanus through to HPV,
[01:35:20.405 --> 01:35:22.467]  Require adjuvants in order for them to work.
[01:35:22.827 --> 01:35:25.889]  When we add an adjuvant, it's because it is essential.
[01:35:26.669 --> 01:35:30.192]  We do not add adjuvants to vaccines because we want to do so.
[01:35:30.872 --> 01:35:34.414]  But when we add them, it adds to the complexity.
[01:35:35.055 --> 01:35:39.298]  And I give courses every year on how do you develop vaccines?
[01:35:39.338 --> 01:35:40.318]  How do you make vaccines?
[01:35:40.778 --> 01:35:41.899]  And the first lesson is
[01:35:43.396 --> 01:35:47.460]  While you're making your vaccine, if you can avoid using an adjuvant, please do so.
[01:35:47.840 --> 01:36:00.472]  It seems to me that adjuvants multiply the immunogenicity of the antigens that they are added to, and that is their intention.
[01:36:01.292 --> 01:36:06.117]  It seems to me they multiply the reactogenicity in many instances.
[01:36:07.592 --> 01:36:25.548]  And therefore it seems to me that it is not unexpected if they multiply the incidence of adverse reactions that are associated with the antigen but may not have been detected through lack of statistical power in the original study.
[01:36:25.829 --> 01:36:31.594]  The major health concern which we are seeing are accusations of long-term effects.
[01:36:32.088 --> 01:36:40.101]  It's also the subject population that you administer the adjuvant to because we've seen data presented to us where
[01:36:41.337 --> 01:36:58.504]  An adjuvant, a particular adjuvant added to a vaccine antigen did really nothing when administered to a certain population and it's usually the elderly, you know, compared to administering the same formulation to younger age strata.
[01:36:58.904 --> 01:37:07.908]  So these are things which need to be considered as well and further complicate safety and effectiveness evaluation of adjuvants combined with vaccine antigens.
[01:37:08.488 --> 01:37:19.610]  I cast back my mind to our situation in Nigeria, where at six weeks, 10 weeks, 14 weeks, a child is being given different antigens from different companies.
[01:37:20.791 --> 01:37:24.592]  And these vaccines have different adjuvants, different preservatives, and so on.
[01:37:25.112 --> 01:37:26.372]  Something crosses my mind.
[01:37:27.992 --> 01:37:32.893]  Is there a possibility of these adjuvants, preservatives, cross-reacting amongst themselves?
[01:37:33.534 --> 01:37:34.974]  Have there ever been a study
[01:37:42.634 --> 01:37:51.917]  We have a very wobbly health professional frontline that is starting to question vaccines and the safety of vaccines.
[01:37:52.457 --> 01:38:03.881]  When the frontline professionals are starting to question or they don't feel like they have enough confidence about the safety to stand up to it, to
[01:38:04.611 --> 01:38:05.712]  Did you hear that folks?
[01:38:05.732 --> 01:38:05.992]  So we have
[01:38:27.577 --> 01:38:30.698]  Hour-long videos, eight-minute ones, that's a little four-minute video.
[01:38:31.118 --> 01:38:39.699]  I've decided to go some into the next hour, then we'll just loop this until, on the radio and TV satellites, until the regular show hits tomorrow, 4 to 6 p.m.
[01:38:40.260 --> 01:38:42.440]  Then you got my weekday show, 11 a.m.
[01:38:42.980 --> 01:38:43.560]  to 3 p.m.
[01:38:43.580 --> 01:38:46.621]  You got the War Room with Owen Schroer, you got David Knight, weekday mornings at 8 a.m.
[01:38:47.441 --> 01:38:54.623]  And let me just stop for a minute, because every time I start talking about this stuff, I get really upset that I'm not doing a good enough job.
[01:38:54.643 --> 01:38:56.503]  And I mean that, folks.
[01:38:58.331 --> 01:39:05.314]  So I meant to start this broadcast a different way today, but then I look at all the articles and videos, and we get ready for the show, and I get distracted.
[01:39:07.656 --> 01:39:13.538]  And I know I'm always urgent here on air, because this has been very urgent for years, knowing all this and knowing it's real.
[01:39:13.558 --> 01:39:26.665]  I mean, when you sit there with the White House Science Czar's book, and he says they put fluoride in the water to make us more manageable and make us dumb, I mean, he's physically assaulting us.
[01:39:28.336 --> 01:39:31.097]  When they put 5G up, the people putting it up don't know what they're doing.
[01:39:31.117 --> 01:39:32.998]  The people that did it are assaulting you.
[01:39:33.158 --> 01:39:36.799]  I have a stack of mainline science admitting it gives you cancer.
[01:39:39.701 --> 01:39:44.222]  Ladies and gentlemen, a lot of people report in the areas 5G went in, like D.C.
[01:39:44.242 --> 01:39:45.963]  and New York, they said it makes them dizzy.
[01:39:46.803 --> 01:39:48.224]  I feel great all the time, folks.
[01:39:50.005 --> 01:39:50.885]  I was in D.C.
[01:39:50.965 --> 01:39:52.486]  with my wife twice this year.
[01:39:53.595 --> 01:39:56.177]  And both times, I'm like, man, do I have a sinus headache?
[01:39:56.217 --> 01:39:56.817]  Am I sick?
[01:39:57.338 --> 01:40:03.042]  And then as soon as we leave the major highways, I felt good, and I went, wait a minute, let me see if there's 5G.
[01:40:03.402 --> 01:40:04.483]  It was 5G.
[01:40:06.545 --> 01:40:12.689]  And that's what people say, is it makes you feel sick, just like people didn't know 400 years ago about oxygen.
[01:40:14.050 --> 01:40:15.451]  But they called it mountain sickness.
[01:40:15.491 --> 01:40:18.333]  When you got up above 10,000 feet, people got tired, they got sick.
[01:40:18.694 --> 01:40:21.456]  And they thought, the scientists back then thought the air was thinner.
[01:40:21.476 --> 01:40:22.597]  You know, they knew you needed air.
[01:40:23.715 --> 01:40:26.677]  They said the air is thin and has vapors.
[01:40:27.937 --> 01:40:28.498]  They didn't know.
[01:40:34.221 --> 01:40:35.902]  But you can't see the air.
[01:40:37.382 --> 01:40:37.883]  But it's there.
[01:40:38.103 --> 01:40:39.964]  And if there's not air there, you get sick.
[01:40:42.865 --> 01:40:44.146]  Well, it's the same thing, folks.
[01:40:44.726 --> 01:40:46.027]  I'm not a hypochondriac.
[01:40:46.687 --> 01:40:50.990]  And I've got all the studies that one of the things is people get restless, they get dizzy, and
[01:40:52.034 --> 01:40:54.235]  My wife is in DC, she goes, I gotta get out of here!
[01:40:55.876 --> 01:40:57.197]  And my wife's like a horse, man.
[01:40:57.317 --> 01:40:58.078]  She doesn't get sick.
[01:40:58.238 --> 01:41:00.639]  She looks like a Greek statue with her clothes off, I'm just telling you.
[01:41:01.800 --> 01:41:05.302]  She literally is like, and then we finally figured it out.
[01:41:09.005 --> 01:41:13.788]  I was wondering why I'll have my car on recirculate, thinking it was pollen.
[01:41:14.648 --> 01:41:15.949]  And I'm like, it's the damnedest thing.
[01:41:15.969 --> 01:41:20.272]  When I go downtown, I was telling my wife this about a month ago, and I'm in traffic and stuff.
[01:41:21.875 --> 01:41:26.678]  I get a headache and I get dizzy now, and I said, but I've got the curl and recirculate, it's not pollen.
[01:41:27.238 --> 01:41:29.719]  And then I went and looked, it's all 5G.
[01:41:31.540 --> 01:41:36.043]  You spend 30 minutes in that crap, man, you are dizzy, you got a headache, and everybody's reporting this, folks.
[01:41:38.264 --> 01:41:40.885]  You know the gamma rays and all the rest of it, a bunch of different radiation.
[01:41:40.905 --> 01:41:42.086]  I was talking to an airline pilot the other day.
[01:41:43.647 --> 01:41:59.770]  And they admit that every time you fly during the day on an hour flight, it's this many, you know, it's like one chest x-ray and five hour flights, like five chest x-rays at 35,000 feet, because there's not all the water vapor blocking radiation in space.
[01:42:00.650 --> 01:42:10.912]  I mean, you go out in space when they have a solar flare and you're in a spacesuit and you don't get behind the water tanks in that ship or some of the little lead shielding they've got, you just knocked years off your life.
[01:42:13.578 --> 01:42:17.903]  Say that astronaut's hitting those flares, that's why it's a pretty tough thing to go up there, especially if you're on the space station.
[01:42:18.343 --> 01:42:19.524]  You're getting hit by stuff all the time.
[01:42:19.564 --> 01:42:21.487]  Those people all die young, folks.
[01:42:22.728 --> 01:42:23.709]  Because of the radiation.
[01:42:23.729 --> 01:42:25.991]  And by the way, I'm not telling you something that's speculation.
[01:42:26.332 --> 01:42:28.935]  Space is full of radiation!
[01:42:29.235 --> 01:42:29.956]  From the sun!
[01:42:31.220 --> 01:42:39.587]  But we've got the equivalent in the first 50,000 feet of air of about, depending on the humidity on a day, 15 to 20 feet of water.
[01:42:40.167 --> 01:42:40.767]  There's water.
[01:42:40.787 --> 01:42:43.470]  If you condense all the water in the atmosphere down, 15, 20 feet of water.
[01:42:45.391 --> 01:42:47.553]  There's about two inches of dust and rock.
[01:42:48.373 --> 01:42:51.095]  So you got a shield of a couple, and you're like, well, wait, I don't see a shield of rock.
[01:42:51.356 --> 01:42:52.276]  It's all dissipated.
[01:42:52.617 --> 01:42:56.380]  Again, why does the sun, when it sets, look bigger?
[01:42:56.940 --> 01:42:59.042]  Why does the moon, when it rises, look red?
[01:43:00.043 --> 01:43:03.265]  And then up, as it goes up, it's yellow, and then it gets up, it's white.
[01:43:03.905 --> 01:43:09.428]  Because you're looking through less atmosphere straight up, than when it's on the horizon, it's like a lens.
[01:43:09.488 --> 01:43:15.030]  It looks bigger, and it looks red, because the dust is red-colored.
[01:43:16.731 --> 01:43:17.292]  That's a fact!
[01:43:18.152 --> 01:43:19.873]  The moon isn't bigger when it comes up!
[01:43:20.133 --> 01:43:21.174]  You're looking through.
[01:43:21.434 --> 01:43:24.075]  Take a pair of glasses, the lenses, and look to the side.
[01:43:24.095 --> 01:43:25.436]  It's all blurry, it blows things up.
[01:43:25.996 --> 01:43:27.737]  Look through this way, it only blows up a little bit.
[01:43:28.712 --> 01:43:29.392]  It's the same thing.
[01:43:29.592 --> 01:43:36.614]  All I'm saying is that 5G is super powerful.
[01:43:37.174 --> 01:43:42.195]  It doesn't go far because of how the wavelengths go out.
[01:43:43.135 --> 01:43:48.756]  But if you are up close to that, you dead.
[01:43:50.556 --> 01:43:58.258]  And that's why just last year they stuck it on the school in California and over 10% of the kids got cancer.
[01:43:59.795 --> 01:44:00.195]  Like that.
[01:44:00.415 --> 01:44:01.977]  You ain't gonna have to wait, folks.
[01:44:02.177 --> 01:44:02.917]  I've got the articles.
[01:44:02.937 --> 01:44:03.458]  You can look them up.
[01:44:04.619 --> 01:44:06.100]  This stuff's so damn bad.
[01:44:07.421 --> 01:44:11.804]  What, you think you can download a five-hour, you know, a video in one second?
[01:44:13.185 --> 01:44:16.207]  What the hell do you think's coming out of that thing, ladies and gentlemen?
[01:44:18.008 --> 01:44:20.010]  You can't see it, but it's there.
[01:44:23.332 --> 01:44:25.534]  Just these lights in here are more modern.
[01:44:25.554 --> 01:44:27.656]  Don't hurt your eyes as bad, but it's killing my eyesight.
[01:44:29.724 --> 01:44:32.564]  They used to hang people up in front of lights for like six months to torture them.
[01:44:33.445 --> 01:44:34.925]  Happened to Rolf Steiner.
[01:44:35.385 --> 01:44:38.345]  Read a great book about that commando, the French Foreign Legion in Africa.
[01:44:38.846 --> 01:44:42.466]  They hung him up for a year in front of lights when he got captured and he was blind after that basically.
[01:44:42.946 --> 01:44:46.027]  But the point is, is that you can't see the light.
[01:44:46.067 --> 01:44:49.787]  You can see it emitting out of the diodes, out of the bulb.
[01:44:50.888 --> 01:44:52.588]  You can see it when it hits something.
[01:44:53.368 --> 01:44:54.988]  The reflection, you can't see the light.
[01:44:55.628 --> 01:44:57.109]  White is reflecting everything.
[01:44:57.569 --> 01:44:59.009]  Black is absorbing everything.
[01:45:00.267 --> 01:45:25.324]  And I know all of you know this, but this is what you've got to get, folks, that I can build a particle beam, not a laser beam, for about $3,000 with stuff I can buy online, that I could come into this office and park it in the wall over there and sit there and hit a button for the next month in one of the employees and, you know, they would die of cancer
[01:45:26.361 --> 01:45:27.962]  Or start bleeding out very, very soon.
[01:45:28.002 --> 01:45:29.143]  It would just fry all their tissue.
[01:45:29.163 --> 01:45:31.084]  How many of you go in to get radiated and they kind of miss?
[01:45:31.104 --> 01:45:33.905]  You know, like my great-uncle went in for pancreatic cancer.
[01:45:33.965 --> 01:45:37.687]  They tried to fry it and it missed a little and burned a hole in his gut so he was bleeding, you know?
[01:45:37.807 --> 01:45:38.487]  That's how it works!
[01:45:38.808 --> 01:45:47.552]  Well, you could just have a little particle beam right there and just have it shoot somebody once a day where they sit at their office desk and they're gonna be dead in a few months.
[01:45:47.572 --> 01:45:48.153]  $3,000 of equipment.
[01:45:48.173 --> 01:45:48.733]  I can build it right now.
[01:45:50.387 --> 01:45:51.007]  How'd you like that?
[01:45:51.308 --> 01:46:07.800]  See, start, and you don't see it, you don't hear it, you're sitting there, and it goes, and you're just kind of, you don't even feel it, you're just kind of, you're psychosomatic, it's kind of like nauseous, like, oh, I'm kind of, your nerves, your brain's going, I don't like this, I'm agitated, I'm agitated, that's why you're in 5G, you're pissed!
[01:46:08.181 --> 01:46:16.287]  That's why people are getting angry, and suicides are exploding, because they're hitting us with electromagnetic radiation!
[01:46:20.836 --> 01:46:24.679]  Man, I like to go out in the country where there's no cell phone range.
[01:46:25.259 --> 01:46:28.401]  I'm trying to find a place behind a hill or something just because hills will block it.
[01:46:28.681 --> 01:46:30.382]  You want to live where your cell phone don't work?
[01:46:32.024 --> 01:46:33.725]  And you want to talk about big business in the future?
[01:46:34.285 --> 01:46:40.409]  If I wanted money, I would just be setting up communities that don't have RF in them by law.
[01:46:41.350 --> 01:46:45.633]  High-level RF, like they have in West Virginia in a secret government program that's now declassified.
[01:46:46.804 --> 01:46:47.625]  Yes, I agree with your calls.
[01:46:47.745 --> 01:46:48.885]  Just please listen to me, folks.
[01:46:49.365 --> 01:46:49.926]  I love you, man.
[01:46:49.986 --> 01:46:51.306]  I'm not lying to you about any of this.
[01:46:51.687 --> 01:46:53.568]  I don't say all this stuff to scare you, man.
[01:46:53.928 --> 01:47:07.195]  That's why I can have former top CIA people and former governors and, you know, the president and former top, you know, authors of the biological weapons treaties on, and they're all like, you're absolutely right, you're absolutely right, because it's true!
[01:47:07.215 --> 01:47:09.196]  This is insane!
[01:47:12.059 --> 01:47:15.721]  The vaccine doesn't exist for the common flu.
[01:47:16.242 --> 01:47:19.924]  Coronavirus is weaponized common cold.
[01:47:20.484 --> 01:47:21.805]  That vaccine doesn't exist.
[01:47:21.885 --> 01:47:23.726]  All right, I'm gonna play a short compilation.
[01:47:24.867 --> 01:47:25.887]  It's like 20 minutes long.
[01:47:31.411 --> 01:47:33.172]  By the way, put that photo back up.
[01:47:34.813 --> 01:47:36.594]  The town without Wi-Fi, that's another article.
[01:47:38.863 --> 01:47:47.810]  Why do you think there's no Wi-Fi and no radios allowed and the police pull you over if they see it and explain to you the law and the federal government's regulations?
[01:47:48.490 --> 01:47:49.711]  It's like 8,000 square miles.
[01:47:51.133 --> 01:47:51.853]  Why do you think that?
[01:47:52.213 --> 01:47:54.355]  Well, you see, there is one antenna allowed.
[01:47:54.375 --> 01:47:55.276]  You see that guy?
[01:47:56.377 --> 01:47:57.858]  It's talking to the aliens.
[01:47:59.139 --> 01:48:04.303]  You don't think when they get the little transmissions that they're going to tell you they ever got communications from them, right?
[01:48:06.124 --> 01:48:08.466]  By the way, they admit that's what that is right there.
[01:48:10.168 --> 01:48:13.249]  That's one of the SETI dishes in West Virginia.
[01:48:15.631 --> 01:48:17.772]  And by the way, they get transmissions all the time and it leaks.
[01:48:17.792 --> 01:48:19.472]  They're like, oh, well, just don't worry about that.
[01:48:19.492 --> 01:48:20.333]  Just don't worry about that.
[01:48:20.353 --> 01:48:21.213]  Don't worry about that.
[01:48:21.233 --> 01:48:23.314]  What type of nice fellers do you think are sending those transmissions?
[01:48:23.794 --> 01:48:29.477]  Ever seen that cheesy movie, Species, where they go, oh, we got a transmission to SETI.
[01:48:29.797 --> 01:48:31.718]  It told us how to genetically engineer this thing.
[01:48:32.799 --> 01:48:34.980]  And they do it and it jumps out and tries to take over.
[01:48:35.520 --> 01:48:35.900]  Really?
[01:48:36.941 --> 01:48:37.601]  Think so, huh?
[01:48:39.366 --> 01:49:01.334]  Here's the deal, if the government doesn't want you to have that, so they can have a transmitter that can pick up these faint transmissions, because in the electromagnetic field, every one of these devices sounds like a chainsaw going up against a chalkboard.
[01:49:02.435 --> 01:49:07.917]  It's bang, bang, bang, bang, bang, bang, bang, bang, bang, bang, bang, and your cells are hearing it.
[01:49:11.403 --> 01:49:12.284]  And what does that do?
[01:49:12.304 --> 01:49:13.404]  What does a microwave do?
[01:49:13.484 --> 01:49:16.186]  It rattles molecules and creates friction.
[01:49:17.106 --> 01:49:19.768]  And when you do that, it heats up and it breaks DNA strands.
[01:49:20.308 --> 01:49:21.689]  So you are being killed.
[01:49:21.909 --> 01:49:22.730]  I am being killed.
[01:49:24.030 --> 01:49:27.673]  If I was a selfish person, I'd take the little bit of money I got and run.
[01:49:30.674 --> 01:49:30.955]  Because
[01:49:32.170 --> 01:49:35.432]  Almost everybody's gonna be herded into the cities now, and you're all gonna die.
[01:49:35.752 --> 01:49:38.234]  And it's just gonna be, well, there's new viruses doing it.
[01:49:38.734 --> 01:49:43.438]  Oh, people are dying from the common cold now, because your immune system is gone!
[01:49:44.338 --> 01:49:51.903]  Instead of injecting you with HIV that attacks your immune system, they kill it with RF and microwaves, and then you die.
[01:49:54.465 --> 01:50:01.230]  Because when you're debilitated, and when you're emasculated, and when you don't have the nutrients and your cells can't rebuild, you die of malnutrition.
[01:50:02.452 --> 01:50:05.613]  Which is not having the vitamins and minerals that are essential.
[01:50:08.474 --> 01:50:09.974]  And what does your loving media say?
[01:50:11.475 --> 01:50:12.555]  There is no hope.
[01:50:13.435 --> 01:50:14.435]  You do not need zinc.
[01:50:14.915 --> 01:50:20.997]  You do not need vitamin C. You do not need any of the vitamin D. You do not need sunlight.
[01:50:21.357 --> 01:50:24.258]  And the leftists are all gobbling it while they write.
[01:50:24.458 --> 01:50:25.318]  Don't listen to Jones!
[01:50:25.338 --> 01:50:26.159]  Don't listen to him!
[01:50:26.299 --> 01:50:26.699]  It's evil!
[01:50:26.719 --> 01:50:27.139]  Don't take it!
[01:50:28.297 --> 01:50:30.059]  Because they're told to do that.
[01:50:30.239 --> 01:50:31.660]  Can you imagine the level?
[01:50:32.401 --> 01:50:36.404]  They won't walk up with a gun and bang, shoot you in the head like that.
[01:50:36.524 --> 01:50:39.267]  No, they do it by going, oh no.
[01:50:40.988 --> 01:50:45.653]  You need white flour and GMO and you need vaccines.
[01:50:45.693 --> 01:50:46.573]  That'll keep you safe.
[01:50:47.094 --> 01:50:50.056]  Even though every study shows vaccines lower immunity to everything else.
[01:50:51.084 --> 01:50:55.007]  They might help you with the thing sometimes that you're trying to fight.
[01:50:55.087 --> 01:50:57.488]  It's true, but they lower the immunity.
[01:50:57.749 --> 01:51:07.956]  Type in, Canadian study, flu, those vaccinated for the flu have a 50% chance of getting the flu, a 50% increased chance of getting the flu the next year.
[01:51:07.976 --> 01:51:09.296]  That was a study 10 years ago.
[01:51:09.316 --> 01:51:12.038]  All right, I'm going to play part of this compilation and go to your calls.
[01:51:12.058 --> 01:51:17.642]  15 times Alex Jones predicted the bio attack being used to bring in worldwide tyranny.
[01:51:17.862 --> 01:51:20.184]  Like the film, Endgame Blueprint for Global Enslavement,
[01:51:21.428 --> 01:51:24.851]  Which says they'll use a bio-attack controlled and lock you down and have drones controlling you.
[01:51:25.131 --> 01:51:27.233]  Because they said they were going to do this.
[01:51:27.493 --> 01:51:27.874]  Here it is.
[01:51:30.776 --> 01:51:31.337]  Very dramatic.
[01:51:34.239 --> 01:51:37.642]  Can you imagine the awakening that's going to happen if they release those bio-weapons?
[01:51:38.403 --> 01:51:39.704]  After we've warned people so much?
[01:51:39.784 --> 01:51:44.108]  God Almighty, I hope the next phases of what we've broken down don't happen.
[01:51:44.648 --> 01:51:46.390]  God Almighty, I hope they don't.
[01:51:51.721 --> 01:51:57.283]  Biological and radiological agents on unsuspecting populations continues worldwide today.
[01:51:58.223 --> 01:52:10.187]  From 1940 to 1979, the vast majority of the British population was sprayed by aircraft more than 2,000 times with deadly chemicals and microorganisms without ever being told.
[01:52:11.928 --> 01:52:20.371]  In 1968, the Pentagon tested a deadly bioweapon on New York subways and placed personnel in local hospitals to monitor the effects.
[01:52:22.418 --> 01:52:27.159]  Aggressive sterilization of men and women continued in many states until the mid-1980s.
[01:52:28.780 --> 01:52:42.163]  In the draft copy of the United Nations Global Biodiversity Assessment, it states very clearly that we must reduce the human population from what's current level of about 6 billion people down to about 1 billion people.
[01:52:43.166 --> 01:52:43.426]  Hello, Alex.
[01:52:43.466 --> 01:52:43.706]  Welcome.
[01:53:10.554 --> 01:53:15.957]  I wanted to ask you a question about the race-specific bioweapons.
[01:53:16.497 --> 01:53:30.525]  You had mentioned in the past about meetings that have been going on and been taking place behind the closed doors about what they're planning, like with the 12-year world's-gonna-end scenario and all that.
