[00:00:01.101 --> 00:00:04.602]  It's Sunday, October 18th.
[00:43:39.440 --> 00:43:47.682]  Before we begin, I want to remind everyone at home to click subscribe, click the bell, that way these interviews will get pushed right to your phone as soon as they get published.
[00:43:48.223 --> 00:43:59.826]  So let's take a step back, because there's been new allegations, obviously there's these piecemeal stories coming out, but I think maybe even a bigger story is the reaction that Twitter and Facebook took.
[00:44:00.566 --> 00:44:05.349]  Did you expect outright censorship when these stories were being worked on by you guys?
[00:44:05.949 --> 00:44:06.789]  I didn't think about it.
[00:44:06.830 --> 00:44:09.291]  I probably would have expected it if I thought about it.
[00:44:10.291 --> 00:44:18.956]  Or maybe I would have thought it was too dangerous a move for them to do it, because I think they've basically turned the entire Republican Party against them.
[00:44:19.677 --> 00:44:20.557]  Probably a lot of moderates.
[00:44:20.597 --> 00:44:24.059]  I mean, this is a very, very unusual level of censorship.
[00:44:24.439 --> 00:44:28.902]  This is the kind of thing that used to happen in the Soviet Union, in Nazi Germany.
[00:44:29.970 --> 00:44:32.531]  In Cuba.
[00:44:33.992 --> 00:44:37.413]  Yes, they're not government, but they act like a government.
[00:44:37.433 --> 00:44:38.714]  They have that kind of control.
[00:44:39.334 --> 00:44:42.976]  They have control of a public facility, a very public facility.
[00:44:43.956 --> 00:44:46.658]  And they're no longer acting as neutral.
[00:44:49.659 --> 00:44:51.160]  They call themselves technocrats.
[00:44:51.700 --> 00:44:55.101]  Which is what got them their exemption from Section 230.
[00:44:55.882 --> 00:44:58.243]  They are now making editorial choices.
[00:44:59.192 --> 00:45:02.816]  As soon as they do that, they become publishers and they're subject to regulation like everyone else.
[00:45:03.516 --> 00:45:04.598]  And they're subject to lawsuit.
[00:45:05.178 --> 00:45:06.740]  And I think there should be a lawsuit against them.
[00:45:07.100 --> 00:45:10.383]  I think there should be a major lawsuit against them.
[00:45:13.607 --> 00:45:19.513]  This was an extraordinarily important article in a major American newspaper.
[00:45:21.432 --> 00:45:27.654]  You can agree with it or disagree with it, but certainly there was a right for people to know about this and make their own evaluation of it.
[00:45:28.275 --> 00:45:31.296]  But it reminds me of Joe Biden, who says we don't deserve to know.
[00:45:31.316 --> 00:45:43.120]  I mean, where in America could a public official or a news outlet determine that the American public doesn't have the right to know?
[00:45:44.209 --> 00:45:47.111]  I mean, that's a concept that's alien to America, to Americans.
[00:45:47.631 --> 00:45:50.093]  That's a concept that comes out of a totalitarian government.
[00:45:51.034 --> 00:45:56.037]  And I guess these people have become so wealthy, they think they're dictators, because they're acting like dictators.
[00:45:57.378 --> 00:45:59.640]  And this has to be stopped, for the good of this country.
[00:45:59.680 --> 00:46:04.043]  I mean, free speech is an enormously important part of who we are.
[00:46:04.883 --> 00:46:09.907]  And this was a... Yesterday was a terrible day for free speech in America, one of the worst.
[00:46:11.316 --> 00:46:11.817]  I agree with you.
[00:46:11.857 --> 00:46:21.702]  I think the American people do deserve to know, and that was sort of one of the reasons Twitter's claim they had the authority to censor this, is because of your proximity to the President.
[00:46:21.742 --> 00:46:24.544]  Obviously, you're a supporter of his re-election campaign.
[00:46:25.425 --> 00:46:25.785]  Ah, that's enough.
[00:46:25.805 --> 00:46:27.746]  They were curious how- This is from two days ago.
[00:46:27.806 --> 00:46:28.686]  It's not confirmed.
[00:46:28.746 --> 00:46:30.427]  The lawyer, it's all been released.
[00:46:30.988 --> 00:46:31.868]  It's a real laptop.
[00:46:31.908 --> 00:46:32.469]  It's real stuff.
[00:46:33.229 --> 00:46:45.479]  It's worse than even the translations are saying and so we're gonna break it all down with Mike Adams on the other side and then we've got Owen Schroer coming in for the new show we're doing Sunday live 6 to 8 p.m.
[00:46:45.499 --> 00:46:48.862]  I'll be co-hosting with Owen and so much more but I mean
[00:46:49.562 --> 00:46:51.983]  This is as big or bigger than anything.
[00:46:52.003 --> 00:46:55.543]  It's actually way bigger than anything we broke 2016 after the last election.
[00:46:55.583 --> 00:46:56.944]  I mean, this is so dangerous.
[00:46:57.404 --> 00:46:58.584]  This is so caustic.
[00:46:58.944 --> 00:47:00.184]  This is so documented.
[00:47:00.224 --> 00:47:01.185]  This is so crazy.
[00:47:01.645 --> 00:47:04.865]  You better believe they're... Biden's in hiding now.
[00:47:05.586 --> 00:47:06.586]  The wheels have come off.
[00:47:06.726 --> 00:47:07.946]  How are they going to counter-strike?
[00:47:08.246 --> 00:47:09.967]  They might take the power grid out or something.
[00:47:10.007 --> 00:47:11.287]  I mean, there's no telling what they're going to do.
[00:47:22.085 --> 00:47:22.667]  Welcome back.
[00:47:23.168 --> 00:47:28.321]  Alex Jones here with live from Austin, Texas broadcasting worldwide.
[00:47:29.022 --> 00:47:30.466]  It's Alex Jones.
[00:47:52.757 --> 00:47:56.661]  Ladies and gentlemen, we are back live broadcasting worldwide.
[00:47:57.362 --> 00:48:03.569]  Thank you so much for joining us on this live Sunday edition, October 18th.
[00:48:03.589 --> 00:48:05.471]  The year is 2020, 15 days out from the election.
[00:48:06.171 --> 00:48:09.134]  So, I'm up here at 11 a.m.
[00:48:09.154 --> 00:48:13.960]  yesterday doing research about the shooter special report, and I'm looking at the New York Post saying,
[00:48:15.140 --> 00:48:18.945]  Okay, we can't release these Hunter Biden videos and photos.
[00:48:19.345 --> 00:48:20.286]  It's child porn.
[00:48:20.346 --> 00:48:20.947]  It's vicious.
[00:48:21.027 --> 00:48:21.928]  It's illegal.
[00:48:22.609 --> 00:48:24.171]  And then Giuliani comes out and says that.
[00:48:25.913 --> 00:48:28.336]  And we learned the FBI had this six, seven months ago.
[00:48:28.897 --> 00:48:33.022]  And then we see the Chinese dissidents that are well-known former members of the Communist Party of China.
[00:48:34.343 --> 00:48:37.744]  Come out and say we've seen the footage and they said it three weeks ago before it broke.
[00:48:38.344 --> 00:48:42.105]  And that it is just Hunter doing terrible, terrible things.
[00:48:42.145 --> 00:48:44.946]  Not just raping children, but worse if that's possible.
[00:48:46.607 --> 00:48:52.568]  There's the headline, Trump set to release proof of Hunter Biden raping and torturing children in Chi-Con blackmail scheme.
[00:48:52.588 --> 00:48:57.570]  For folks that don't get it, this is what these groups make you do as a gang initiation.
[00:48:58.780 --> 00:48:59.921]  This is pretty mainstream now.
[00:49:00.001 --> 00:49:00.781]  Folks know about this.
[00:49:00.841 --> 00:49:01.402]  It's come out.
[00:49:02.342 --> 00:49:12.629]  But to talk about where it's going, what's coming next, what's going to unfold, what's really on the video, how the deep state's going to respond now that Biden has announced he's going into hiding.
[00:49:13.610 --> 00:49:14.911]  May I even go to the debate now?
[00:49:14.931 --> 00:49:20.735]  I mean, I don't see how they recover from this, because for four days they didn't deny it was there.
[00:49:20.755 --> 00:49:21.235]  They ignored it.
[00:49:21.596 --> 00:49:27.440]  Now they confirm, his lawyer, the emails are public, that indeed this laptop did fall into
[00:49:28.325 --> 00:49:29.849]  The FBI's hands, they did nothing.
[00:49:29.869 --> 00:49:30.691]  It was given to Giuliani.
[00:49:32.076 --> 00:49:35.859]  Mike Adams of NaturalNews.com, your wife's a great lady, I've met her, hung out with you guys.
[00:49:37.220 --> 00:49:40.683]  She's Taiwanese, but speaks fluent Chinese.
[00:49:41.544 --> 00:49:49.431]  Right as I was talking to sources saying, this video's even worse, the transcriptions just says extreme pedophilia, no, it's extreme abuse, extreme torture.
[00:49:49.971 --> 00:49:52.053]  I don't have been told that by my sources in New York.
[00:49:52.554 --> 00:49:54.615]  You literally called me and said, hey, have you seen this video?
[00:49:54.956 --> 00:49:57.418]  My wife says it's worse, and they're saying, where do you want to start?
[00:49:57.458 --> 00:49:59.780]  There's so many facets here to cover, and great to have you with us.
[00:50:02.671 --> 00:50:04.552]  The authenticity is truly amazing in this.
[00:50:04.692 --> 00:50:08.053]  You and I were looking at the same video on the same day, just from different sources.
[00:50:08.993 --> 00:50:12.174]  My wife was listening to it and watching the English translation.
[00:50:12.554 --> 00:50:23.358]  The Chinese that was being spoken by the host there, who's a whistleblower from mainland China, the Chinese was way worse than what the English translation was saying.
[00:50:23.398 --> 00:50:24.938]  And that's when I texted you.
[00:50:24.958 --> 00:50:26.179]  I said, Alex, you got to see this.
[00:50:26.599 --> 00:50:29.760]  Because the words that they were really using to describe what's on these
[00:50:30.541 --> 00:50:32.823]  So-called sex tape videos are way worse.
[00:50:32.843 --> 00:50:40.852]  The words were 虐童 虐童视频, which means abusive, abuse of children.
[00:50:41.653 --> 00:50:43.275]  It implies rape and violence.
[00:50:43.555 --> 00:50:44.657]  It implies assault.
[00:50:45.297 --> 00:50:49.440]  This is the kind of term that you don't use just to describe pedophilia or pornography.
[00:50:49.901 --> 00:50:51.962]  These are violent assaults.
[00:50:51.982 --> 00:51:00.289]  And then if you look at what Rudy Giuliani has said about this, where he says, you can't even say, he can't even describe what he has seen that's on here.
[00:51:00.629 --> 00:51:08.335]  And then you look at these other media outlets that say, we can't even release this probably without violating, you know, laws against child pornography, but maybe laws against, you know,
[00:51:08.935 --> 00:51:09.997]  I don't know.
[00:51:27.798 --> 00:51:32.759]  Joe Biden is finished because the censorship cannot, they don't have total control.
[00:51:33.139 --> 00:51:39.081]  They've tried everything and I'll tell you what I think they're going to do next, but they've failed because you're still on the air.
[00:51:39.201 --> 00:51:39.981]  I'm still on the air.
[00:51:40.421 --> 00:51:41.942]  Independent media is exploding.
[00:51:42.322 --> 00:51:44.382]  Alternative platforms are exploding.
[00:51:44.782 --> 00:51:46.083]  Joe Biden is finished.
[00:51:46.283 --> 00:51:51.324]  I'm not even sure he will go to this next debate, but he's finished and he's going to be lucky.
[00:51:51.864 --> 00:51:53.725]  Well, listen, I supported Steve Bannon early on.
[00:51:53.745 --> 00:51:54.466]  I liked him throughout.
[00:51:54.506 --> 00:51:56.527]  We got into fights with Trump.
[00:51:56.627 --> 00:52:05.493]  I know he's been working with Chinese dissidents, but we've confirmed, as they're saying, these photos are real of the Chinese dissident that exposed this over three weeks ago.
[00:52:17.060 --> 00:52:19.703]  And said he's seen, you know, the raping and the torturing.
[00:52:20.024 --> 00:52:21.205]  There he is with Giuliani.
[00:52:21.726 --> 00:52:27.353]  There he is with the Chinese virologist that exposes what was happening in Wuhan.
[00:52:27.753 --> 00:52:31.378]  So it looks like Rudolf Giuliani's been a very, very busy bee.
[00:52:33.220 --> 00:52:36.422]  This is just the beginning of what's going to happen to the Democrat Party.
[00:52:36.522 --> 00:52:47.869]  Alex, I've been told from other sources, you know, over the past few months I've been doing so many interviews and I've been talking to new people that I never talked to before and building up a lot of new contacts over the time.
[00:52:48.450 --> 00:52:58.316]  And what I'm being told is that this is the beginning of the end of the Democrat Party because it's going to unravel the pedophilia pattern that you have been accurately talking about.
[00:52:59.325 --> 00:53:09.251]  It is true that to get into the high power levels of the Democrat Party, you have to submit to being videotaped abusing underage children.
[00:53:09.891 --> 00:53:17.276]  Because they don't even trust you in a position of power, whether it's a governor, or sometimes mayors, or sometimes, you know, top of the party.
[00:53:17.596 --> 00:53:20.017]  You're not even allowed to have that power.
[00:53:20.057 --> 00:53:22.078]  Maybe even the CEO of a tech company.
[00:53:22.238 --> 00:53:23.279]  And it's a satanic communion.
[00:53:23.319 --> 00:53:24.740]  They want to cut you off from God.
[00:53:24.780 --> 00:53:26.441]  I get it at a temporal political level.
[00:53:26.881 --> 00:53:30.446]  They want you to show that you're compromising with them, but it really is spiritual.
[00:53:30.486 --> 00:53:32.048]  They want you to cut yourself off from God.
[00:53:33.650 --> 00:53:40.598]  And I think, you know, until the Epstein story broke, most Americans couldn't have believed what we are talking about right now.
[00:53:41.119 --> 00:53:42.701]  But the fact that the Epstein story broke.
[00:53:43.263 --> 00:53:47.048]  That opened people up to the reality that we're now facing.
[00:53:47.108 --> 00:54:01.125]  It's horrifying, it's sickening, but it is real and it is an undercurrent behind the Democrat Party, the top Democrat fundraisers or funders, and the top corporations and political positions that represent Democrats.
[00:54:01.505 --> 00:54:09.591]  The Democrat Party is a party of violent rape of children, of child abuse, child trafficking, sex dungeons of children.
[00:54:09.631 --> 00:54:15.635]  This is what the top Democrats not only stand for, but this describes their daily activities.
[00:54:15.935 --> 00:54:17.076]  This is what they do.
[00:54:17.696 --> 00:54:24.461]  And I, you know, it's not a coincidence that when this came out, Joe Biden retreated to his basement because that's where he feels at home.
[00:54:24.521 --> 00:54:25.822]  That's my next question.
[00:54:25.842 --> 00:54:29.745]  It's just like when Trump won and Roger Stone was here on election night.
[00:54:30.305 --> 00:54:31.565]  They're like, why are you so upset?
[00:54:31.785 --> 00:54:33.246]  And I'm like, they're going to counter-strike.
[00:54:33.706 --> 00:54:35.587]  Well, I feel like we're winning right now.
[00:54:35.607 --> 00:54:36.807]  I don't feel as bad as I did then.
[00:54:36.847 --> 00:54:38.507]  I'm glad Trump won, but I knew they were going to attack.
[00:54:38.787 --> 00:54:40.308]  But they're going to strike back, Mike.
[00:54:41.888 --> 00:54:43.809]  They're going to strike back in huge ways, Alex.
[00:54:44.769 --> 00:54:50.931]  What I'm being told now is there are going to be attacks on our infrastructure like we've never seen.
[00:54:51.311 --> 00:54:51.991]  Cyber attacks.
[00:54:52.751 --> 00:54:54.412]  Not necessarily EMP, but cyber attacks.
[00:54:54.452 --> 00:54:55.092]  Oh, it's already happening.
[00:54:55.792 --> 00:54:58.273]  We're being hit at 50 times any previous level.
[00:54:59.659 --> 00:55:01.880]  Yeah, yeah, and wait until they take down the power grid.
[00:55:01.900 --> 00:55:10.564]  And by the way, I interviewed JR Nyquist not too long ago, who talked about China pre-positioning military assets in the United States.
[00:55:10.604 --> 00:55:15.966]  And I've been told from another source that those include 60mm mortars and RPGs, not just the AK-47.
[00:55:15.986 --> 00:55:20.448]  You told me that six months ago and it actually came out they busted a bunch of people with those, but let's stop there.
[00:55:20.928 --> 00:55:27.851]  They run the blue cities, they run the blue states, they run the media, they own the debt, they own Hollywood, they own the Democratic Party, part of the Republicans.
[00:55:28.171 --> 00:55:29.952]  People ask, why would they make a run in America?
[00:55:30.252 --> 00:55:32.193]  Because there's globalists commanding them.
[00:55:32.473 --> 00:55:38.776]  And I'm not defending Communist China, but I mean, they're really a client state doing this as a command base for the globalists, in my research.
[00:55:40.202 --> 00:56:00.067]  Yes, and then they have puppets like Governor Nuisance in California, who has turned the Capitol building, I've been told, from two sources, one first-hand on-site, who has seen this first-hand, that the underground parking structures underneath the east wing of the Capitol building in California is filled with firearms, ammunition,
[00:56:00.865 --> 00:56:03.267]  Like hundreds of millions of rounds and gold.
[00:56:03.727 --> 00:56:05.889]  And that California is planning a secession.
[00:56:05.929 --> 00:56:09.911]  They're planning to arm Black Lives Matter and Antifa through the power of the governor.
[00:56:09.951 --> 00:56:10.852]  I'm going to stop you right there.
[00:56:10.872 --> 00:56:16.116]  You've got to come back with this because you texted me and you called me about four months ago.
[00:56:16.236 --> 00:56:17.316]  You said they've got gold.
[00:56:17.356 --> 00:56:17.977]  They've got weapons.
[00:56:18.017 --> 00:56:18.997]  I've got the text messages.
[00:56:19.318 --> 00:56:19.978]  I'm talking to FBI.
[00:56:20.058 --> 00:56:21.059]  I'm talking to a lot of people.
[00:56:21.159 --> 00:56:21.639]  I believe that.
[00:56:21.659 --> 00:56:22.940]  I've seen some of that in the news here and there.
[00:56:23.300 --> 00:56:27.163]  Going back to the 90s, they caught the Chinese ship in the containers of fully auto AK-47s and mortars.
[00:56:28.735 --> 00:56:39.011]  But then, Podesta had a war game a month later that was in the New York Times about secession starting with California, and a resistance, and then even China.
[00:56:39.051 --> 00:56:41.434]  So yeah, that's, wow, that's amazing, Mike.
[00:56:41.475 --> 00:56:42.817]  You were the first person to tell me about that.
[00:56:44.808 --> 00:56:51.052]  They have a plan ready to arm the left-wing radicals with full automatic weapons.
[00:56:51.472 --> 00:56:55.796]  And remember that California has pushed very heavily to disarm patriots over the last several years.
[00:56:55.816 --> 00:56:56.416]  That's right.
[00:56:56.436 --> 00:56:59.338]  So Trump said if China wins, America's over, they'll run us.
[00:56:59.418 --> 00:57:00.279]  It's totally true.
[00:57:00.699 --> 00:57:01.880]  We don't understand we're under attack.
[00:57:01.900 --> 00:57:03.481]  The average American is still punch drunk.
[00:57:03.841 --> 00:57:08.485]  How do we get them out of their coma to realize this is a country fighting for its very life?
[00:57:22.339 --> 00:57:23.980]  Waging war on corruption.
[00:57:28.003 --> 00:57:38.469]  So, if you were wondering how the establishment, four days not responding to the emails of Hunter Biden, not responding to the reports of pedophilia and child rape and torture,
[00:57:40.267 --> 00:57:40.947]  How will they respond?
[00:57:40.987 --> 00:57:41.788]  Well, Fox News.
[00:57:41.828 --> 00:57:43.069]  This just broke 20 minutes ago.
[00:57:43.089 --> 00:57:44.530]  We'll play a clip next segment.
[00:57:45.110 --> 00:57:51.374]  FBI investigating whether Hunter's alleged emails were leaked to foreign intel ops.
[00:57:51.474 --> 00:57:55.376]  So it doesn't matter if Hillary's emails are real and she's doing corrupt, illegal things.
[00:57:55.496 --> 00:57:56.577]  Oh, did the Russians get them?
[00:57:57.477 --> 00:57:59.418]  And so we're right back to the same place.
[00:57:59.478 --> 00:58:00.639]  That's their counter now.
[00:58:01.600 --> 00:58:02.880]  And that's what the Democrats are saying.
[00:58:02.900 --> 00:58:03.901]  That's what Schiff's saying.
[00:58:04.801 --> 00:58:07.043]  But Mike, it was the FBI that got this from a
[00:58:08.783 --> 00:58:16.668]  Delaware Mac Shop, and anybody that's ever taken their computer in, you sign a contract and if you don't pay or pick it up, they own your computer.
[00:58:16.988 --> 00:58:19.189]  And the guy calls up Biden and no one will call him.
[00:58:19.469 --> 00:58:21.831]  He gets scared, he gives it to the FBI, they do nothing.
[00:58:23.412 --> 00:58:27.514]  He gives it to Giuliani, but now Rudolph Giuliani's a Russian agent.
[00:58:27.875 --> 00:58:31.817]  Mike Adams of NaturalNews.com, this was pretty predictable, wasn't it?
[00:58:33.393 --> 00:58:33.954]  Well, absolutely.
[00:58:33.994 --> 00:58:47.906]  The FBI is a criminal enterprise and it has been conspiring against the interests of the United States for a very long time under the Obama administration and under the command and control of Hillary Clinton and Barack Obama during the Trump administration.
[00:58:47.926 --> 00:58:55.894]  The FBI under James Comey was, of course, plotting against President Trump, abusing the FISA warrant process.
[00:58:56.394 --> 00:58:59.237]  And now under Christopher Wray, the FBI has been covering up
[00:58:59.821 --> 00:59:06.145]  The child abuse, pedophilia, sex crimes of the son of the Democrat presidential candidate.
[00:59:06.165 --> 00:59:06.926]  There's no question.
[00:59:06.966 --> 00:59:11.749]  The FBI ran the kidnapping plot against Governor Whitmer in Michigan.
[00:59:11.769 --> 00:59:13.971]  The FBI, you know, we reported on this years ago.
[00:59:14.011 --> 00:59:15.051]  Oh, I forgot that broke.
[00:59:15.091 --> 00:59:15.832]  Yeah, you said that.
[00:59:15.892 --> 00:59:16.712]  I said that weeks ago.
[00:59:17.193 --> 00:59:17.573]  Update.
[00:59:17.633 --> 00:59:23.477]  Sucks to say ringleader in plot to kidnap Governor Whitmer was an FBI informant and antifa.
[00:59:25.632 --> 00:59:32.053]  The FBI has been running more terror plots in the United States than any other organization, including radical Islamic terror groups.
[00:59:32.773 --> 00:59:35.194]  The FBI has done this for many years.
[00:59:35.234 --> 00:59:37.835]  It's documented by the New York Times and the Kansas City Star.
[00:59:38.395 --> 00:59:40.395]  The FBI will draw up the plans.
[00:59:40.895 --> 00:59:42.776]  They will write the narrative and the script.
[00:59:42.856 --> 00:59:45.696]  They'll put together the vans or the drones or whatever is needed.
[00:59:45.736 --> 00:59:49.797]  They'll target a bridge or a building or the Pentagon, and then they'll recruit people.
[00:59:50.503 --> 00:59:52.404]  I was about to say, seven months ago he got
[01:00:18.712 --> 01:00:25.455]  Yeah, and I need to share this, too, about how people can share the photos and videos once they start to come out, because the FBI will try to stop that.
[01:00:47.347 --> 01:00:49.087]  The tech giants will try to stop that.
[01:00:49.127 --> 01:00:52.428]  They'll have operating system updates that maybe stop you from sharing them.
[01:00:52.488 --> 01:00:54.969]  Google, you know, Google Docs will look for these files.
[01:00:55.429 --> 01:00:57.029]  So there are some things that people can do.
[01:00:57.749 --> 01:01:10.832]  When you start to get a hold of these files as they come out, you can change the file names, you can change the metadata of the files, you can resize them to repixelate them so they don't have the same... As I was saying, you can take another screenshot of it or put a filter over it.
[01:01:11.852 --> 01:01:12.172]  That's right.
[01:01:12.192 --> 01:01:18.595]  You can also add borders to it, and if you add certain types of borders, certain patterns, it really confuses the AI systems.
[01:01:19.056 --> 01:01:25.079]  For some of these images, you can flip them horizontally, for example, and you can add other areas.
[01:01:25.099 --> 01:01:26.580]  You can black out certain areas.
[01:01:26.600 --> 01:01:27.380]  You might have to add a mosaic.
[01:01:27.400 --> 01:01:30.902]  But to be clear, you don't want to blur anything out that's pedophilic.
[01:01:31.302 --> 01:01:35.644]  I mean, what about the New York Post saying Friday, we can't put this out, it's pedophilia.
[01:01:35.684 --> 01:01:36.605]  I mean, that's so huge.
[01:01:37.793 --> 01:01:38.773]  Well, but isn't it interesting?
[01:01:38.814 --> 01:01:51.860]  I mean, if someone were arrested by the FBI and charged with child porn for possessing these images, why isn't the president, a candidate's son, arrested for creating them and possessing them?
[01:01:51.880 --> 01:02:00.424]  See, the FBI can't really arrest anybody for having these videos without admitting that they're illegal and that they came from Hunter Biden's laptop and hard drives.
[01:02:00.464 --> 01:02:02.165]  And by the way, it's not just one laptop.
[01:02:02.205 --> 01:02:03.646]  As you said earlier, it's two laptops.
[01:02:03.966 --> 01:02:06.167]  And there are three hard drives that came from China.
[01:02:06.727 --> 01:02:10.330]  That's what was being talked about on that video with the Chinese whistleblower.
[01:02:10.611 --> 01:02:14.114]  Those are three hard drives that are in addition to the laptop.
[01:02:14.154 --> 01:02:16.216]  And again, obviously, this is good U.S.
[01:02:16.316 --> 01:02:22.782]  intelligence that has infiltrated the Communist Party of China and is getting them to give us the material back.
[01:02:23.082 --> 01:02:24.363]  That's how we're getting a lot of this.
[01:02:24.383 --> 01:02:24.823]  But you're right.
[01:02:25.224 --> 01:02:26.585]  Multiple laptops coming out.
[01:02:26.965 --> 01:02:29.768]  What do you think the Democrats are thinking and the Deep State are thinking right now?
[01:02:29.968 --> 01:02:32.010]  Because once again, they're getting their ass kicked.
[01:02:33.456 --> 01:02:36.617]  They're thinking that they're going to launch Operation Chaos.
[01:02:36.637 --> 01:02:38.678]  They're going to take down the power grid everywhere they can.
[01:02:40.198 --> 01:02:42.619]  Close to the election, or during the election, or right after it.
[01:02:43.099 --> 01:02:46.720]  They are going to go all out and try to bring this country to its knees.
[01:02:47.961 --> 01:02:49.581]  Look for telecommunications outages.
[01:02:49.601 --> 01:02:50.802]  Look for power outages.
[01:02:51.522 --> 01:02:56.904]  Even there in Austin, in your studios, watch for power outages and telecom outages.
[01:02:56.944 --> 01:03:00.265]  There might be Comcast that provides fiber optics.
[01:03:00.745 --> 01:03:02.226]  They might just cut everything off.
[01:03:03.366 --> 01:03:07.230]  We did a test run of just shutting down a few days ago, just blocking everything out.
[01:03:07.370 --> 01:03:16.320]  And we predicted that, but they said on election day they're going to shut all conservatives down, they've got our IP addresses, so this is the attempted globalist coup that's coming.
[01:03:17.861 --> 01:03:23.267]  Yes, like InfoWars.com will be blocked at the browser level, even at the operating system level.
[01:03:23.307 --> 01:03:24.208]  So will my website.
[01:03:24.228 --> 01:03:25.710]  We'll all be blocked at that level.
[01:03:26.557 --> 01:03:29.900]  And people had better understand they're going to have to find workarounds.
[01:03:29.920 --> 01:03:36.024]  They're going to have to... They'd better sign up at InfoWars.com forward slash newsletter so that we can send emails.
[01:03:36.064 --> 01:03:39.867]  People could not get how important, that's one of the last stands, is emails.
[01:03:39.967 --> 01:03:41.688]  InfoWars.com forward slash newsletter.
[01:03:42.028 --> 01:03:43.049]  How do folks get your newsletter?
[01:03:43.069 --> 01:03:45.551]  Because that's one way to bypass this, at least for now.
[01:03:46.872 --> 01:03:47.573]  That's the same deal.
[01:03:47.593 --> 01:03:53.221]  But just remember, folks out there, if you're signing up for the InfoWars newsletter, do not use Gmail and don't use Yahoo Mail.
[01:03:53.661 --> 01:03:56.545]  Because both of those ISPs will block InfoWars emails.
[01:03:56.586 --> 01:03:56.826]  Yes.
[01:03:57.126 --> 01:04:01.092]  So you've got to use ProtonMail or some other service that's not going to censor that.
[01:04:01.212 --> 01:04:02.374]  Let's bring that up.
[01:04:02.654 --> 01:04:07.179]  Isn't this a big wake-up call now that Congress and committees and the President are being censored?
[01:04:07.199 --> 01:04:10.623]  That's really finally woken them up, but that's only 15 days out.
[01:04:10.903 --> 01:04:12.946]  They were always planning to shut us down before then.
[01:04:13.246 --> 01:04:20.475]  So I just feel these lawyers in Congress, I think, have really, really gotten caught with their dumb pants down.
[01:04:21.636 --> 01:04:22.297]  They went too far.
[01:04:23.491 --> 01:04:30.816]  They went past the tipping point and now they've awakened the sleeping giant of the GOP, which until now has been saying, oh, the free market will sort this out.
[01:04:31.216 --> 01:04:31.696]  Nonsense.
[01:04:32.457 --> 01:04:34.238]  You and I argued this many, many months ago.
[01:04:34.258 --> 01:04:35.539]  The free market's not going to solve this.
[01:04:35.579 --> 01:04:35.959]  Years ago.
[01:04:35.999 --> 01:04:37.100]  You've got to stop.
[01:04:37.660 --> 01:04:38.240]  Yeah, years ago.
[01:04:38.661 --> 01:04:42.183]  You have to stop big tech with the force of government.
[01:04:42.623 --> 01:04:44.486]  Because Big Tech's bigger than government.
[01:04:44.546 --> 01:04:46.569]  Notice Giuliani, all of them are saying that now.
[01:04:46.950 --> 01:04:48.192]  This is bigger than government.
[01:04:48.472 --> 01:04:49.794]  It spies more than government.
[01:04:50.075 --> 01:04:50.816]  It's above the law.
[01:04:50.896 --> 01:04:51.297]  Exactly.
[01:04:51.317 --> 01:04:52.298]  We need checks and balances.
[01:04:53.139 --> 01:04:55.162]  And they're signed on to foreign governments!
[01:04:56.710 --> 01:04:57.710]  Exactly, and it's so simple.
[01:04:57.950 --> 01:05:13.977]  All Trump has to do is invoke the Insurrection Act and then order the California power companies to cut off the power supplies to all the tech giants because you can't provide electricity to foreign corrupted terrorist organizations, which is Google, YouTube, Facebook, and Twitter.
[01:05:14.297 --> 01:05:15.217]  Block their electricity.
[01:05:15.257 --> 01:05:16.978]  You can't run servers without electricity.
[01:05:16.998 --> 01:05:17.558]  Let's be clear.
[01:05:18.542 --> 01:05:24.945]  Sundar and Zuckerberg and all of them are blackmailed as well by these multinationals bigger than China.
[01:05:25.245 --> 01:05:26.566]  So how do we navigate that?
[01:05:26.626 --> 01:05:27.826]  Because you look, they're scared.
[01:05:27.846 --> 01:05:29.767]  They're not even doing this for power now.
[01:05:29.787 --> 01:05:30.308]  They're scared.
[01:05:30.328 --> 01:05:30.968]  They're blackmailed.
[01:05:31.288 --> 01:05:32.769]  Mike Adams, another segment coming up.
[01:05:33.589 --> 01:05:34.650]  Again, if you just joined us.
[01:05:35.771 --> 01:05:37.412]  It's all come out, ladies and gentlemen.
[01:05:37.852 --> 01:05:43.336]  Hunter Biden with the blackmail, laptops, him raping little girls, torturing them reportedly.
[01:05:44.176 --> 01:05:47.658]  And the campaign's now confirmed, okay, it is his laptop.
[01:05:47.678 --> 01:05:49.159]  I mean, what are they going to do?
[01:05:49.800 --> 01:05:50.580]  What are they going to do now?
[01:05:50.600 --> 01:05:53.342]  The cards that Shycom's had are in Trump's hands.
[01:05:53.462 --> 01:05:54.643]  They're going to strike back, get ready.
[01:06:00.196 --> 01:06:01.317]  Welcome back, my friends.
[01:06:02.577 --> 01:06:05.978]  Well, we knew that there'd be some incredible October surprises.
[01:06:08.598 --> 01:06:10.039]  We knew that things would get crazy.
[01:06:10.139 --> 01:06:18.260]  We knew that the thing that holds the globalists together is crimes they commit against children and others so that they're compromised and part of the club.
[01:06:18.280 --> 01:06:23.962]  Again, I'm your host, Alex Jones, here with you back live on this Sunday live transmission.
