[00:00:00.409 --> 00:00:03.751]  They're actually admitting day one up front, that's it.
[00:42:06.709 --> 00:42:18.574]  And what was crazy, we'll play it next hour, Bill Maher of all people came out like it was an Alex Jones episode and said, he goes, listen, mass shootings are terrible and kids die, but it's still very rare.
[00:42:19.594 --> 00:42:22.616]  Shark attacks are very rare, but it's still scary.
[00:42:22.636 --> 00:42:23.616]  You think about when you're swimming.
[00:42:23.916 --> 00:42:27.518]  He's, I mean, what the hell happened to Bill Maher that he's finally getting it?
[00:42:28.139 --> 00:42:28.759]  Well, it's extraordinary.
[00:42:28.779 --> 00:42:32.441]  I think those people, like, for example, we've seen a lot of pushback from Stanford scientists.
[00:42:33.081 --> 00:42:38.004]  Well, Stanford scientists are not as contaminated by some of the people with a certain politicized agenda in all of this.
[00:42:38.504 --> 00:42:47.328]  So you compare, like for example, the people that were involved, you look at Duke University, has one of the biggest connections to China of any medical institution in the West.
[00:42:47.668 --> 00:42:56.932]  You find that Duke University has connections to the woman that was involved in checking things for Facebook that had also worked at the Wuhan library, at the Wuhan biology facility.
[00:42:57.172 --> 00:43:02.114]  So you go into the data and you find people that have a political motivation to pursue a certain agenda.
[00:43:02.134 --> 00:43:03.294]  Yeah, they're on the Chinese payroll.
[00:43:03.815 --> 00:43:04.595]  In one way or another.
[00:43:04.615 --> 00:43:07.056]  Well, Stanford's protecting the Pentagon, so they're not going with China.
[00:43:07.256 --> 00:43:15.781]  Right, it's either backed by people that have ties or various forms of alliance or allegiance to China, or even more so people like Bill Gates and other political... Bob, let's go further.
[00:43:16.522 --> 00:43:25.007]  She didn't just... She's the head of science fact-checking for Facebook, and she works with bats and coronavirus at Wuhan.
[00:43:25.287 --> 00:43:26.509]  What the heck?
[00:43:26.729 --> 00:43:27.090]  Oh, exactly.
[00:43:27.110 --> 00:43:31.777]  If you go deeper into it, she's part of an organization that's also part of Climate Change Group.
[00:43:32.058 --> 00:43:33.099]  So it's a climate change group.
[00:43:33.119 --> 00:43:33.981]  Of course, it's all anti-human.
[00:43:34.261 --> 00:43:35.083]  Humans deserve this.
[00:43:35.103 --> 00:43:36.044]  Stay right there.
[00:43:36.064 --> 00:43:36.685]  We're gonna go to break.
[00:43:36.986 --> 00:43:37.647]  By the way, folks...
[00:43:39.448 --> 00:43:42.951]  People are like, well, wait a minute, you're saying we should get prepared, but then the virus is a hoax.
[00:43:43.071 --> 00:43:44.032]  No, this is a real virus.
[00:43:44.392 --> 00:43:45.153]  It really kills people.
[00:43:45.173 --> 00:43:47.855]  They're just hyping up how bad it is and saying, lock down your life.
[00:43:48.096 --> 00:43:52.900]  The economy shutting down will cause hundreds of millions to starve the next couple of years, conservatively.
[00:43:52.940 --> 00:43:53.961]  Millions are already starving.
[00:43:54.161 --> 00:43:57.884]  I've got all the proof, mainline admissions of that next hour with Barnes.
[00:43:57.924 --> 00:43:58.325]  We've got it.
[00:43:58.345 --> 00:43:59.466]  It's all coming up, but don't forget.
[00:44:00.635 --> 00:44:02.196]  Other companies say they've got storable food.
[00:44:02.216 --> 00:44:03.156]  There's already food shortages.
[00:44:03.176 --> 00:44:03.476]  They don't.
[00:44:04.076 --> 00:44:13.920]  If you want to get the lowest price on wholesale high-quality storable food and actually give it delivered to you, we had to suspend taking new orders for a few weeks because we have to make sure we get all the old orders out.
[00:44:14.260 --> 00:44:15.621]  We're taking orders again?
[00:44:16.661 --> 00:44:18.002]  They're getting them out even faster.
[00:44:18.402 --> 00:44:25.387]  We're ahead of schedule getting it to folks, but you need to order your storable food down for the depression, for globalism, for them trying to suspend the election.
[00:44:25.447 --> 00:44:32.632]  And if we don't win this round, they're going to use shutting down economies and starving us as non-essential cattle.
[00:44:33.212 --> 00:44:36.235]  That's the whole models being introduced is the Soviet lockdown.
[00:44:36.555 --> 00:44:41.159]  So you need storable food that lasts 25 years, that's high quality with inflation, all that stuff.
[00:44:41.379 --> 00:44:42.060]  You save money.
[00:44:42.280 --> 00:44:45.583]  We're the best place to get storable food and we have it ready for you now.
[00:44:45.903 --> 00:44:47.064]  Infowarsstore.com.
[00:44:47.084 --> 00:44:49.886]  They've not raised prices yet, but they're gonna have to soon.
[00:44:50.246 --> 00:44:51.828]  And they may have to stop taking orders again.
[00:45:03.780 --> 00:45:07.921]  Defending the Republic from enemies foreign and domestic.
[00:45:08.662 --> 00:45:15.344]  It's Alex Jones.
[00:45:15.384 --> 00:45:17.504]  Very stressful time ladies and gentlemen for everybody.
[00:45:17.524 --> 00:45:19.305]  We should all pray for peace and pray for justice.
[00:45:19.325 --> 00:45:25.187]  I know I've been particularly wound up and I apologize people on and air and behind the scenes as well.
[00:45:26.807 --> 00:45:31.449]  But these globalists gloating over the power grab and obviously China
[00:45:33.018 --> 00:45:34.499]  Hyped up for cameras.
[00:45:34.699 --> 00:45:37.140]  You get sent to a gulag there if you film something you're not supposed to.
[00:45:37.160 --> 00:45:37.641]  Hyped up.
[00:45:37.701 --> 00:45:39.262]  Total police day hysteria.
[00:45:39.302 --> 00:45:40.382]  Welding people in homes.
[00:45:40.823 --> 00:45:42.724]  Day of the dead level macabre.
[00:45:43.664 --> 00:45:47.787]  But while also then saying, oh but no one's dying, now they're having to up the number.
[00:45:47.807 --> 00:45:54.130]  And the media is criticizing Trump for not believing China when they, you know, say that they have the lowest death rate in the world, Barnes.
[00:45:54.170 --> 00:45:54.931]  What do you think's behind that?
[00:45:55.421 --> 00:45:56.482]  I think there's different aspects of it.
[00:45:56.502 --> 00:46:00.065]  I think there are people that want to replicate the Chinese social credit system in the United States.
[00:46:00.526 --> 00:46:11.176]  And so that even if there isn't, say, it may not be in the interest of different people within China for this to continue unabated, but it is in the interest of those people who want to export its model of governance to the world.
[00:46:11.556 --> 00:46:13.997]  And they're getting to experiment with it in live time right now.
[00:46:14.357 --> 00:46:16.938]  Because they're seeing, for the most part, mass compliance.
[00:46:17.238 --> 00:46:20.400]  There's increasing levels of disobedience, and that's critical.
[00:46:20.420 --> 00:46:23.861]  The more NEOs in the system, the less the Matrix can survive.
[00:46:24.341 --> 00:46:26.282]  And that is what's critical and essential.
[00:46:26.502 --> 00:46:29.843]  And by the way, diversity, all the studies show, empowers an economy.
[00:46:30.144 --> 00:46:32.585]  And diversity, smaller businesses, people being mavericks.
[00:46:33.005 --> 00:46:34.205]  That's what made America so great.
[00:46:34.225 --> 00:46:35.046]  We have our own problems.
[00:46:35.426 --> 00:46:37.607]  The big megacorporations want automatons.
[00:46:37.627 --> 00:46:38.367]  They want robots.
[00:46:38.567 --> 00:46:43.148]  And in fact, they're using this right now to actually wipe out small businesses and enrich themselves.
[00:46:43.588 --> 00:46:49.810]  That's why big business like Ruth's, Chris, gets a huge portion of the bailout money meant for small businesses while small businesses did not.
[00:46:50.010 --> 00:46:51.250]  By the way, let's expand on that.
[00:46:53.911 --> 00:46:58.692]  We have a video we're going to be premiering tomorrow that isn't ready yet that the great Greg Reese is putting together.
[00:46:59.412 --> 00:47:06.134]  OK, we looked at ID 2020 and his digital ink microchip they inject under you when you get the vaccine that tracks you.
[00:47:07.153 --> 00:47:11.538]  But lo and behold, we always said it'll be to track and control you for your job and to buy and sell.
[00:47:12.279 --> 00:47:18.185]  Bill Gates admits in the patent, that's actually the plan as a digital I.D.
[00:47:18.505 --> 00:47:18.866]  Absolutely.
[00:47:18.886 --> 00:47:23.230]  That Bill Gates goes, oh, by the way, you all got that to be tracked for your
[00:47:24.423 --> 00:47:25.064]  Vaccine.
[00:47:25.324 --> 00:47:26.946]  Obviously, I later said it'll be used for that.
[00:47:26.986 --> 00:47:27.687]  That's the extension.
[00:47:27.747 --> 00:47:34.655]  They admit, day one, he will have everyone on Earth implanted with his digital currency, which is the mark of the beast.
[00:47:34.855 --> 00:47:36.077]  Now, we all knew it was going there.
[00:47:36.097 --> 00:47:37.038]  Everybody said it's the mark of the beast.
[00:47:39.269 --> 00:47:42.671]  They're actually admitting day one up front, that's it!
[00:47:42.731 --> 00:47:48.855]  And the question was, how could you convince masses of people in the Western world to agree to this?
[00:47:49.635 --> 00:47:52.517]  And it turns out a pandemic is the perfect pretext to do it.
[00:47:52.877 --> 00:47:55.939]  Because people wouldn't do it just to have ease of access to funds.
[00:47:56.240 --> 00:47:59.582]  People wouldn't do it for purposes of tracking their kids when it was called Verichip.
[00:48:00.542 --> 00:48:01.383]  They just pulled it up.
[00:48:01.983 --> 00:48:02.904]  Bill Gates owns that.
[00:48:03.524 --> 00:48:04.365]  And that's the chip!
[00:48:04.685 --> 00:48:06.846]  Look, scroll down, it shows the person!
[00:48:07.607 --> 00:48:11.609]  And now, 5G monitors as your boss what you do.
[00:48:12.550 --> 00:48:15.031]  In live time, 3D, it scans your body.
[00:48:15.291 --> 00:48:16.472]  So it looks through walls.
[00:48:17.072 --> 00:48:19.594]  Remember his original Kinect, Microsoft.
[00:48:19.614 --> 00:48:21.275]  10 years ago, 50, it looked through your wall.
[00:48:21.675 --> 00:48:22.516]  This is Kinect.
[00:48:23.456 --> 00:48:24.577]  5G in your house.
[00:48:25.818 --> 00:48:29.100]  Everywhere, monitoring what you do with a damn chip.
[00:48:31.687 --> 00:48:38.653]  And ultimately, it's a chip that may have, I mean, my question is how would a chip be able to have vaccine capabilities, right?
[00:48:39.033 --> 00:48:43.136]  Well, it's a nano-ink, that's one of the other ones, a nano-ink in the injection.
[00:48:43.176 --> 00:48:43.977]  Right, the quantum tattoo.
[00:48:44.177 --> 00:48:45.618]  But at some point... So you can't get rid of it.
[00:48:45.938 --> 00:48:50.962]  Right, and at some point you would assume that that chip technology would be able to inject things into your body.
[00:48:51.022 --> 00:48:51.763]  Oh, of course it is!
[00:48:51.783 --> 00:48:52.864]  That would be the point and purpose of it.
[00:48:52.884 --> 00:48:53.685]  Oh yeah, it's meant to be.
[00:48:53.745 --> 00:48:55.246]  For it to be effective, quote-unquote.
[00:48:55.706 --> 00:48:56.207]  Next slide.
[00:48:56.227 --> 00:48:58.728]  And then we also wanted to show... Does anybody really believe that?
[00:49:23.291 --> 00:49:41.100]  I'm not bragging about this, but a few times I get to talk to Trump, I go, sir, please don't tell me I'm great, okay?
[00:49:41.240 --> 00:49:42.081]  I appreciate you too.
[00:49:42.101 --> 00:49:48.704]  Fireside chats with graphs, with you up there pointing at TV screens, and he's finally doing it, and it's devastating them.
[00:49:49.204 --> 00:49:50.445]  We'll be right back in 60 seconds.
[00:50:00.270 --> 00:50:01.411]  All right, we are back live.
[00:50:01.451 --> 00:50:02.412]  We're into hour number two.
[00:50:02.472 --> 00:50:04.693]  I do intend to open the phones up a lot this next week.
[00:50:05.013 --> 00:50:07.575]  We've got the new great show that's a specialty program.
[00:50:07.615 --> 00:50:12.399]  Might go a month, might go two months as long as Barnes wants it to go, as long as we're here on air, able to be here on air.
[00:50:12.439 --> 00:50:13.720]  And that's America Countdown.
[00:50:14.120 --> 00:50:19.984]  Countdown to the election, countdown to the attempt to start a depression, countdown to destroy this republic unless we stand up to it.
[00:50:20.004 --> 00:50:21.586]  And, you know, I'll be honest with you.
[00:50:21.626 --> 00:50:23.287]  I keep saying this almost every segment.
[00:50:24.540 --> 00:50:31.662]  I've been on air 26 years, and I'm the type of guy that when some big bully starts a fight with me, I'd actually don't choke.
[00:50:32.683 --> 00:50:34.123]  I mean, I really have a lot of confidence.
[00:50:34.563 --> 00:50:37.464]  And when I get in a storm, I get better in a storm.
[00:50:37.885 --> 00:50:47.308]  Things are so bad, so ridiculous, so corrupt, so insane, that I'm freaked out that people aren't getting more upset.
[00:50:47.548 --> 00:50:48.688]  A lot are, and that's great.
[00:50:49.369 --> 00:50:53.050]  And I guess I have not found my breaking point, but I have found my point of,
[00:50:55.120 --> 00:50:57.221]  Tomorrow we're going to premiere this investigative report.
[00:50:58.422 --> 00:51:02.924]  Bill Gates openly has his digital tattoo that is patent 666.
[00:51:03.984 --> 00:51:04.925]  You can't make this up.
[00:51:05.885 --> 00:51:08.126]  And how you'll buy and sell with it.
[00:51:08.186 --> 00:51:13.408]  And he admits that that will be in the new vaccine and that he'll have a new global cryptocurrency.
[00:51:13.448 --> 00:51:18.331]  So imagine Microsoft once in your body, they'll get you to do it in the name of a thing that tracks you.
[00:51:19.131 --> 00:51:22.032]  Apple, Google have all merged their ID systems.
[00:51:22.353 --> 00:51:26.614]  That means Apple, that's already based in China as of two years ago, has all your personal data.
[00:51:26.995 --> 00:51:28.875]  It's a total world government happening now.
[00:51:29.156 --> 00:51:39.120]  And I don't know if Trump, Robert Barnes' constitutional lawyer, that just filed suit on Michigan and others for their police state lockdown, Fox News covered it last night.
[00:51:39.660 --> 00:51:44.503]  I don't think people realize, I don't think Trump even realizes, this is the big technological takeover.
[00:51:44.523 --> 00:51:45.243]  This is happening now.
[00:51:45.603 --> 00:51:45.823]  Correct.
[00:51:45.883 --> 00:51:50.747]  I mean, I think Trump's concerns tend to be very more short-term, and that's good and bad in this context.
[00:51:51.168 --> 00:51:57.553]  So it's good in the context that he's trying to get the economy going, good that he's pushed back when they've violated First Amendment or Second Amendment rights so far.
[00:51:57.993 --> 00:51:59.014]  Yeah, he's picked his battles.
[00:51:59.315 --> 00:51:59.755]  Exactly.
[00:52:00.095 --> 00:52:04.059]  And I think he was kind of sideswiped and shocked by everything that occurred.
[00:52:04.419 --> 00:52:08.282]  The way the markets collapsed, the way the people started shutting down across the country.
[00:52:08.302 --> 00:52:09.343]  The way Americans rolled over.
[00:52:09.643 --> 00:52:10.183]  Exactly.
[00:52:10.263 --> 00:52:16.324]  I think he needs, there's a reason why he put out messages like liberate Michigan, liberate Virginia, liberate Minnesota.
[00:52:16.344 --> 00:52:17.805]  He's calling for us to be the leaders.
[00:52:18.165 --> 00:52:18.505]  Exactly.
[00:52:18.545 --> 00:52:22.125]  He needs the pressure from above so he can give the cover from above.
[00:52:22.165 --> 00:52:23.326]  You need to summon him.
[00:52:24.406 --> 00:52:24.906]  Absolutely.
[00:52:25.106 --> 00:52:35.428]  And that means there need to be more suits, more public protests, more acts of civil resistance, civil disobedience within the law to do so because otherwise... With an urgency you've never had.
[00:52:37.054 --> 00:52:38.876]  Absolutely, because I'm telling myself that.
[00:52:38.916 --> 00:52:39.957]  I'm like, that's my problem.
[00:52:39.997 --> 00:52:41.880]  I'm like, Jones, you've got to up the next level.
[00:52:42.160 --> 00:52:43.982]  I'm already trying to match what I do, and I'm like...
[00:52:45.540 --> 00:52:47.682]  Well, because this is unprecedented.
[00:52:47.882 --> 00:52:48.642]  We've never had this.
[00:52:48.682 --> 00:52:51.284]  I keep telling people this in different interview contexts, other contexts.
[00:52:51.584 --> 00:52:53.305]  This has never happened in American history.
[00:52:53.325 --> 00:52:55.607]  We have never had this degree of suppression of civil liberty.
[00:52:55.887 --> 00:52:57.488]  We have never been under mass house arrest.
[00:52:57.708 --> 00:53:00.510]  The closest example is what happened to the Japanese in World War II.
[00:53:00.810 --> 00:53:05.613]  Exactly, and notice he's not attacking Texas and stuff that he knows that the governor is trying to open up.
[00:53:06.053 --> 00:53:08.454]  He's saying these are states seized by globalists.
[00:53:08.675 --> 00:53:08.995]  Exactly.
[00:53:09.435 --> 00:53:12.237]  And you're already out there, so you're making the electoral connection to the president.
[00:53:12.657 --> 00:53:15.979]  He didn't say California, it's just they're not, you know, calling for his help.
[00:53:16.339 --> 00:53:18.840]  But Trump's coming in, he needs us to do it.
[00:53:19.080 --> 00:53:25.943]  Well, it's not a coincidence that they're doing this in states that are key swing states, like Minnesota, like Michigan, like Virginia.
[00:53:26.263 --> 00:53:28.264]  The pressure, like Pennsylvania.
[00:53:28.664 --> 00:53:40.629]  All the states that are key swing states are where the Democrats are putting the maximum pressure on shutting down civil society, going to go to a vote-by-mail system where they can do ballot harvesting en masse, going to shut down the economy.
[00:53:40.889 --> 00:53:42.350]  The unemployment rate in Michigan is 22%.
[00:53:42.590 --> 00:53:46.272]  So, I mean, it's skyrocketing in those locations.
[00:53:46.372 --> 00:53:48.312]  We've got 25 million people unemployed since this began.
[00:53:48.753 --> 00:53:49.213]  And by the way,
[00:53:50.394 --> 00:53:55.099]  When they put out signs saying the governor's a Nazi, national news didn't show video.
[00:53:55.139 --> 00:53:59.003]  They said, the protesters had swastikas out and are Nazis.
[00:54:00.004 --> 00:54:00.864]  No, no, no, no.
[00:54:00.884 --> 00:54:04.768]  When they made Redder's The Lost Ark, Steven Spielberg has people dressed up like Nazis.
[00:54:05.309 --> 00:54:06.350]  It's putting Nazis down.
[00:54:06.690 --> 00:54:09.433]  Steven Spielberg, as he displays a Nazi flag, isn't a Nazi.
[00:54:09.673 --> 00:54:10.655]  I mean, this idea that
[00:54:11.175 --> 00:54:13.958]  They're saying the governor is a Nazi, that makes you a Nazi.
[00:54:14.279 --> 00:54:22.768]  When you have governors like Virginia, who's been one of the worst, we're going to be suing him next week, is someone who actually had, you know, wore Klan outfits, wore blackface.
[00:54:23.008 --> 00:54:27.133]  I mean, there's someone who engaged in actual racial propagandizing in his earlier life.
[00:54:27.593 --> 00:54:32.479]  And yet he suffered no political consequence for it because he's on the media side of the political equation.
[00:54:32.759 --> 00:54:37.980]  And he is, like for example, and what's happening there and across the country, they're preventing people from getting access to the ballot.
[00:54:38.241 --> 00:54:42.882]  Preventing the ability to petition to recall these rogue governors because you're not allowed to circulate the petition.
[00:54:43.162 --> 00:54:50.264]  You're not allowed to meet with other people, to peaceably assemble, to make sure that the people get the message so that they can validate signatures for those petitions.
[00:54:50.504 --> 00:54:51.664]  You can't get on the ballot.
[00:54:51.864 --> 00:54:53.545]  You can't get on the ballot as an independent candidate.
[00:54:53.565 --> 00:54:55.645]  You can't get on the ballot as a primary challenger.
[00:54:55.945 --> 00:54:59.366]  So they've designed this to promote and protect the system and they're getting away with it.
[00:54:59.386 --> 00:55:00.287]  No, I agree.
[00:55:00.387 --> 00:55:01.407]  I watch Raiders of the Lost Ark.
[00:55:01.847 --> 00:55:03.208]  That's almost a perfect movie.
[00:55:03.408 --> 00:55:03.869]  Absolutely.
[00:55:03.889 --> 00:55:07.511]  I mean there's so many, that's in part of that movie is where they do the book burning.
[00:55:08.612 --> 00:55:09.093]  Exactly!
[00:55:09.113 --> 00:55:12.555]  When you watch it now in today's context, like every part of it is like so rich.
[00:55:12.775 --> 00:55:14.757]  And it's the same methodology.
[00:55:14.777 --> 00:55:28.347]  I mean if people remember, not only did the Nazis borrow from the eugenicists here in the United States for their own ideology, and then we exported them all back, a lot of them back after World War II in Operation Paperclip, but on top of that you have a background in which the methodology they employed
[00:55:28.647 --> 00:55:34.970]  Like, it wasn't so much that people necessarily wanted Nazi Germany to beat the United States, people like Joe Kennedy and others who backed them or supported them at key junctures.
[00:55:35.350 --> 00:55:38.291]  It was rather they wanted their methodology, their means of government.
[00:55:38.571 --> 00:55:39.592]  And you're seeing the same- Wow!
[00:55:39.672 --> 00:55:43.033]  Wherever that came from, that's the symbol we show for big tech censorship.
[00:55:43.053 --> 00:55:44.254]  Because that's what it is!
[00:55:44.474 --> 00:55:44.894]  Absolutely.
[00:55:45.114 --> 00:55:50.096]  And with- Again, radio listeners are missing the feed at band.video and infowars.com.
[00:55:50.116 --> 00:55:53.998]  Show that book, Bernie, again, because that's a color rendition of the real footage that went on.
[00:55:54.278 --> 00:55:54.638]  Absolutely.
[00:55:54.658 --> 00:56:01.840]  All they did is they took the actual footage and just put it in nicer, colorful dramatics in ways that accurately reflect what took place.
[00:56:02.220 --> 00:56:04.420]  And what's significant there is that's all private citizens.
[00:56:04.880 --> 00:56:08.001]  People forget the book burning in Germany was never formally done by the government.
[00:56:08.321 --> 00:56:14.762]  It was done by private citizens doing it en masse, going, raiding into libraries, grabbing books and taking them out and burning them.
[00:56:15.062 --> 00:56:17.903]  Just as they're now banning you off multiple platforms.
[00:56:17.963 --> 00:56:18.943]  That's what Mao did too.
[00:56:19.003 --> 00:56:20.403]  They always sick the mob.
[00:56:20.684 --> 00:56:21.064]  Exactly.
[00:56:21.104 --> 00:56:22.304]  Communists and fascists.
[00:56:22.904 --> 00:56:24.745]  So let me show listeners this, since you mentioned this.
[00:56:25.385 --> 00:56:26.385]  Here it is, Wall Street Journal.
[00:56:26.525 --> 00:56:29.186]  Bet against the stock market rise to highest levels in years.
[00:56:29.567 --> 00:56:35.369]  And the very same globalist billionaires that are running around bad-mouthing the market are the ones that have done put options on it publicly.
[00:56:35.389 --> 00:56:40.651]  So they're getting ready for another big run to destroy Trump and, you know, make Americans pay.
[00:56:41.051 --> 00:56:43.212]  This is the worst employment collapse in U.S.
[00:56:43.252 --> 00:56:43.532]  history.
[00:56:44.292 --> 00:56:45.392]  By a very wide margin.
[00:56:45.752 --> 00:56:49.373]  Record government and corporate debt risk tipping point after pandemic passes.
[00:56:49.733 --> 00:56:52.094]  I mean, this is the globalists literally trying to do this.
[00:56:52.434 --> 00:56:54.294]  Make us all dependent and get rid of Trump.
[00:56:54.314 --> 00:56:56.435]  24-hour fitness weighs bankruptcy.
[00:56:56.935 --> 00:56:59.256]  America's biggest cities are already losing their allure.
[00:56:59.576 --> 00:57:00.336]  What happens next?
[00:57:00.636 --> 00:57:01.936]  This is just killing everything.
[00:57:02.176 --> 00:57:05.357]  With the left killing their own cities under CHICOM orders.
[00:57:05.737 --> 00:57:09.199]  Well, and the other thing they're doing is they're affording the opportunity for the Fed to buy everything.
[00:57:09.780 --> 00:57:12.822]  So the Fed is going to start buying municipal bonds en masse.
[00:57:13.142 --> 00:57:17.245]  Municipal governments are lacking resources because they're not getting tax revenues coming in.
[00:57:17.325 --> 00:57:18.846]  Cities, counties, states across the country.
[00:57:19.146 --> 00:57:23.389]  In fact, governments around the world are in that, are doing swaps because they have currency crises.
[00:57:23.409 --> 00:57:23.769]  Yeah, that's right.
[00:57:23.789 --> 00:57:30.494]  The big mega banks are all behind this because they're bringing in a digital currency to fully control us and track everything we do and shut down grassroots economies.
[00:57:30.834 --> 00:57:32.558]  All grassroots is not essential.
[00:57:32.899 --> 00:57:33.881]  Only they are essential.
[00:57:34.222 --> 00:57:35.825]  And this is the worldwide takeover.
[00:57:35.845 --> 00:57:36.587]  This is it, folks.
[00:57:37.418 --> 00:57:44.320]  We're going to go to break and come back with the Bill Maher piece, where, I mean, I've never caught myself agreeing with Bill Maher on almost everything, but I think Maher gets up for betting against the U.S.
[00:57:44.360 --> 00:57:48.602]  economy and all his bad-mouthing that his listeners have turned against his ass, so he's trying to pivot back.
[00:57:49.322 --> 00:57:50.823]  But regardless, he tells the truth.
[00:57:50.863 --> 00:57:51.563]  That's coming up.
[00:57:51.603 --> 00:57:59.305]  And Owen Schroer, I've asked him to come in and co-host with Robert Barnes the last two segments because he's got a lot to say and a lot to cover today.
[00:58:00.286 --> 00:58:04.247]  And I've got some other things going on as well that are very fun, let me tell you.
[00:58:04.807 --> 00:58:06.368]  But separately, ladies and gentlemen,
[00:58:07.108 --> 00:58:09.950]  You need to protect yourself regardless.
[00:58:10.050 --> 00:58:14.693]  And with all this craziness, people have learned that, hey, vitamin D3 is really good for your body.
[00:58:15.053 --> 00:58:16.454]  Hey, zinc's really good for your body.
[00:58:16.775 --> 00:58:19.516]  Hey, iodine in its pure form is essential.
[00:58:19.917 --> 00:58:20.857]  People don't know about that.
[00:58:20.917 --> 00:58:21.858]  Talk about game changers.
[00:58:21.878 --> 00:58:22.899]  Talk about life changing.
[00:58:23.159 --> 00:58:26.541]  My brain works better now than it did 10 years ago since I discovered iodine.
[00:58:26.961 --> 00:58:31.064]  All of those products are 40 to 60 percent off, despite the fact they're selling out.
[00:58:31.384 --> 00:58:32.925]  So many other products have sold out.
[00:58:33.426 --> 00:58:36.868]  And the way things are working with the supply chains, we'll never know if we're able to order again.
[00:58:37.208 --> 00:58:37.528]  We're good to go.
[00:58:37.548 --> 00:58:38.288]  We've got some of these things.
[00:58:38.308 --> 00:58:40.369]  So if you order supplements, we have them in stock.
[00:58:40.429 --> 00:58:41.309]  They ship the next day.
[00:58:41.869 --> 00:58:44.109]  But when it comes to food, it takes a few weeks to get.
[00:58:44.369 --> 00:58:47.530]  We had to suspend food sales to make sure that our big distributor.
[00:58:48.310 --> 00:58:49.490]  Got caught up shipping those out.
[00:58:49.750 --> 00:58:54.071]  They're able to take orders now again and get them out ahead of schedule.
[00:58:55.011 --> 00:58:56.652]  Info or store dot com.
[00:58:57.232 --> 00:59:00.112]  You get right in the front of the queue right as your order comes in, right?
[00:59:00.132 --> 00:59:01.252]  The order received with my
[00:59:04.953 --> 00:59:08.056]  And it gets out absolutely right when those orders come in.
[00:59:08.076 --> 00:59:10.178]  And we're able to take the orders again and again.
[00:59:10.278 --> 00:59:12.581]  Forget the coronavirus, folks, as I told you 10 weeks ago.
[00:59:13.141 --> 00:59:20.268]  The globalists are buying up the food because if there's a total depression, which now looks like maybe unavoidable, we'll talk about when we come back, how bad it is.
[00:59:20.829 --> 00:59:22.010]  We may be able to fix it.
[00:59:22.050 --> 00:59:22.730]  We reverse now.
[00:59:22.811 --> 00:59:23.952]  But this is siege.
[00:59:23.972 --> 00:59:25.053]  This is economic lockdown.
[00:59:25.413 --> 00:59:26.554]  Look at the shoes you're wearing
[00:59:55.773 --> 00:59:57.738]  Look at the blood we're spilling.
[00:59:57.798 --> 01:00:00.065]  Look at the world...
[01:00:01.912 --> 01:00:02.452]  Welcome back.
[01:00:02.492 --> 01:00:03.393]  Robert Barnes is here.
[01:00:03.433 --> 01:00:04.453]  Owen Schroyer's coming up.
[01:00:05.014 --> 01:00:05.994]  And then you got David Knight.
[01:00:06.014 --> 01:00:06.514]  Good morning.
[01:00:06.534 --> 01:00:07.015]  It's 8 a.m.
[01:00:07.055 --> 01:00:07.815]  Myself, 11 a.m.
[01:00:07.835 --> 01:00:08.615]  to 3 p.m.
[01:00:08.655 --> 01:00:13.278]  You've got Owen Schroyer of The War Room, writer on the Infowars Network, from 3 to 6 p.m.
[01:00:13.338 --> 01:00:20.461]  And you got now a 7 to 9 American countdown on the election, on the virus, the countdown to depression.
[01:00:20.481 --> 01:00:22.442]  This is a fact.
[01:00:22.462 --> 01:00:25.104]  25 million, 26 million people on unemployment just the last two months.
[01:00:26.144 --> 01:00:29.446]  Most economists say the point of return has been crossed.
[01:00:30.539 --> 01:00:31.740]  Can this be turned back now?
[01:00:31.780 --> 01:00:35.662]  I mean, they think that there's no memory in the public and that Trump's going to get the blame.
[01:00:36.282 --> 01:00:39.944]  Well, it also may be the case that they don't want it to turn back for two reasons.
[01:00:40.124 --> 01:00:42.526]  One, to be able to defeat Trump and remove him.
[01:00:42.546 --> 01:00:44.687]  And that's sort of the immediate political objective.
[01:00:44.827 --> 01:00:49.509]  Longer term objective is you had a lot of debt around the world, a lot of dollar denominated debt around the world.
[01:00:49.949 --> 01:00:53.791]  And the Fed has even the law says the Fed can't be doing a whole bunch of things.
[01:00:54.412 --> 01:00:56.533]  So this is a permanent reset using an emergency.
[01:00:56.733 --> 01:00:57.173]  Absolutely.
[01:00:57.433 --> 01:01:00.355]  And the big corporations are all getting bailed out.
[01:01:00.395 --> 01:01:02.816]  Bezos got, I think, 20, 30 billion or whatever it was.
[01:01:03.096 --> 01:01:04.676]  All of those people are being politically protected.
[01:01:04.716 --> 01:01:05.517]  That's hilarious.
[01:01:05.757 --> 01:01:06.737]  We had lawyers check.
[01:01:07.117 --> 01:01:10.539]  We're like, oh, we're not really an option for us, you know, with our crew for a bailout.
[01:01:10.579 --> 01:01:12.220]  But Bezos gets 20 billion.
[01:01:12.260 --> 01:01:15.081]  In fact, nobody who was independent of the banks could get a bailout.
[01:01:15.581 --> 01:01:25.865]  Uh, anyone who had been labeled having any sort of record, if you had a tax issue from four years ago and you pled and you did your, you know, probation, you, even if you run a great business, you can't have access to it.
[01:01:26.185 --> 01:01:27.226]  So they've structured.
