[00:00:06.511 --> 00:00:07.611]  It's game time.
[01:33:18.763 --> 01:33:20.805]  I mean, this is really going on.
[01:33:20.805 --> 01:33:23.727]  And they're really coming in Australia.
[01:33:23.727 --> 01:33:25.148]  Get back!
[01:33:25.148 --> 01:33:28.330]  Why are you arresting her?
[01:33:28.330 --> 01:33:29.471]  What's she doing?
[01:33:29.471 --> 01:33:31.572]  What's she doing?
[01:33:31.572 --> 01:33:32.813]  She's under arrest.
[01:33:32.813 --> 01:33:34.695]  Where are you taking her?
[01:33:34.695 --> 01:33:35.475]  Where's she going?
[01:33:35.475 --> 01:33:37.297]  Why are you taking her then?
[01:33:37.297 --> 01:33:38.658]  What's the point?
[01:33:38.658 --> 01:33:40.059]  She's under arrest.
[01:33:40.059 --> 01:33:41.660]  She's going for a swim with her kids!
[01:33:44.602 --> 01:33:45.984]  In leftist areas of Europe, the U.S.
[01:33:45.984 --> 01:33:47.786]  saying we're going to forcibly inject you.
[01:33:47.786 --> 01:34:02.945]  There will literally be hundreds and hundreds, indeed the entire team is a thousand strong, door knockers out there talking to the community, inviting them to come and get a free test, whether they be symptomatic or asymptomatic.
[01:34:03.866 --> 01:34:06.587]  That'll be done in lots of new ways.
[01:34:06.587 --> 01:34:08.268]  And if you don't, you can't leave your house.
[01:34:08.268 --> 01:34:10.248]  And they're gonna make it a waiting list to get it.
[01:34:10.248 --> 01:34:12.449]  And there's a lot of people bought into the fear.
[01:34:12.449 --> 01:34:22.313]  Ben in particular felt he had to live his life at a million miles an hour so that he didn't have to stop and let those demons come into his head.
[01:34:22.313 --> 01:34:24.854]  This is Chris Brown.
[01:34:24.854 --> 01:34:27.935]  Two months ago, his son Ben took his own life.
[01:34:29.580 --> 01:34:34.991]  He was 22, studying engineering, and months away from starting with the army.
[01:34:36.161 --> 01:34:43.105]  Lockdown, of course, gave him a lot of opportunities, I'm afraid, to just sit on his bed, lie on his bed, and let those demons play with his mind.
[01:34:43.105 --> 01:34:52.010]  There's been a significant spike in domestic violence during the coronavirus pandemic, and now a United Nations report is warning that the number of cases could increase.
[01:34:52.010 --> 01:35:00.694]  The report says six months of stay-at-home measures to stop the spread of COVID-19 could lead to 31 million more cases of domestic violence around the world.
[01:35:00.694 --> 01:35:05.237]  A United Nations official called it a growing crisis within the crisis.
[01:35:08.061 --> 01:35:10.663]  A knock at the door just past 6.30 Friday night.
[01:35:10.663 --> 01:35:15.826]  Two men, masked, pulled below their mouths outside Anna's home near Southwestern College.
[01:35:15.826 --> 01:35:16.766]  Can I help you?
[01:35:16.766 --> 01:35:20.448]  Anna's question, through her ring doorbell, gets an odd reply.
[01:35:20.448 --> 01:35:22.809]  I was looking for the Queen of the Castle.
[01:35:22.809 --> 01:35:25.891]  Moments later, the man at the door makes his pitch.
[01:35:25.891 --> 01:35:27.792]  I was looking for the Queen of the Castle.
[01:35:27.792 --> 01:35:29.673]  We're out doing COVID testing.
[01:35:29.673 --> 01:35:30.514]  Have you checked yet?
[01:35:30.928 --> 01:35:34.350]  Anna, an ICU social worker, sends something shady.
[01:35:34.350 --> 01:35:38.231]  What they're really after is your personal information.
[01:35:38.231 --> 01:35:48.596]  It ends up with someone divulging their credit card or debit card and their other information, and then nothing ever arrives.
[01:35:48.596 --> 01:35:54.419]  And it's all weird fetishizing that, oh, you're heroes because you wear the mask, you're saving lives.
[01:35:54.419 --> 01:35:55.959]  And it's like, oh, just wear the mask.
[01:35:55.959 --> 01:35:57.200]  Oh, just take the inoculation.
[01:35:57.200 --> 01:35:58.521]  Oh, just have the tracker chip.
[01:35:58.521 --> 01:35:58.801]  Oh, just...
[01:35:59.878 --> 01:36:01.099]  Just have the tracker app.
[01:36:01.099 --> 01:36:02.381]  Oh, just be a hero.
[01:36:02.381 --> 01:36:06.946]  And then Pelosi comes out two months ago and goes, he will be fumigated out of the White House one way or another.
[01:36:06.946 --> 01:36:08.968]  And then they start saying, oh, the military needs to remove him.
[01:36:08.968 --> 01:36:10.290]  The military says we won't do that.
[01:36:10.290 --> 01:36:12.552]  They go, oh, Trump wants the military.
[01:36:12.552 --> 01:36:14.754]  Then they're going to hold up the election with the ballots.
[01:36:14.754 --> 01:36:17.558]  And then on January 20th, if Trump hasn't
[01:36:18.697 --> 01:36:23.680]  Well, in the election, clearly she will vote at the House of Representatives and install who she wants.
[01:36:23.680 --> 01:36:26.821]  And they've got it all fired up right now.
[01:36:26.821 --> 01:36:27.742]  No one gives you power.
[01:36:27.742 --> 01:36:28.782]  You have to take it from them.
[01:36:28.782 --> 01:36:31.784]  That's what Pelosi famously said.
[01:36:31.784 --> 01:36:35.906]  All right, I'm going to lay something really heavy on you.
[01:36:35.906 --> 01:36:36.626]  You heard of magic?
[01:36:36.626 --> 01:36:39.648]  I'll tell you what real magic is when we come back.
[01:36:39.648 --> 01:36:40.668]  I'm going to tell you a big secret.
[01:36:40.668 --> 01:36:44.650]  I think now it's time to start unlocking the secret weapons.
[01:36:44.650 --> 01:36:45.151]  Be right back.
[01:36:45.151 --> 01:36:45.491]  Stay with us.
[01:36:50.051 --> 01:36:59.220]  The Bible talks about there being ten kings of the earth that sit above the nation states and who give their power unto the one world leader, the Antichrist.
[01:36:59.220 --> 01:37:06.787]  And he has a beast system that no one can buy and or sell unless he has that mark in the forehead or in the palm of their hand.
[01:37:06.787 --> 01:37:13.953]  And we look back on all the warnings that were given and all just the common sense that you don't believe in God.
[01:37:14.694 --> 01:37:15.915]  Or prophecy.
[01:37:15.915 --> 01:37:22.359]  Giving governments and corporations the power to control who can buy and who can sell to track everything we do.
[01:37:22.359 --> 01:37:25.922]  It's not just a recipe, it's a blueprint for total enslavement.
[01:37:25.922 --> 01:37:36.649]  And now you look at Bill Gates, you look at Bloomberg and others who openly say, we're technocrats, we should decide how much salt you get, how much alcohol you get, how much red meat you get.
[01:37:36.649 --> 01:37:38.410]  We're technocrats, we know best.
[01:37:38.410 --> 01:37:42.052]  We're now going to set up the economy with a social score to totally control you.
[01:37:42.052 --> 01:37:43.794]  You snap your fingers, we're here.
[01:37:44.654 --> 01:37:46.535]  They're just rolling it out.
[01:37:46.535 --> 01:37:47.815]  And a lot of people are complying with it.
[01:37:47.815 --> 01:37:49.476]  It's insane.
[01:37:49.476 --> 01:38:04.062]  The answer to 1984 is 1776.
[01:38:04.062 --> 01:38:08.424]  Infowars has been banned.
[01:38:08.424 --> 01:38:12.325]  Arrested.
[01:38:12.325 --> 01:38:13.866]  Attacked and threatened.
[01:38:15.095 --> 01:38:16.556]  Because we are effective.
[01:38:16.556 --> 01:38:20.238]  The Great Awakening is here.
[01:38:20.238 --> 01:38:22.519]  Go to band.video.
[01:38:22.519 --> 01:38:26.642]  Download the videos and share.
[01:38:26.642 --> 01:38:33.966]  Support the Information War at infowarestore.com.
[01:38:33.966 --> 01:38:36.647]  And never give up the fight.
[01:38:50.965 --> 01:39:04.537]  For more than a hundred years, the Rockefeller Foundation has worked to establish world government, abolish nation states, dumb down the population by taking control of education, and most importantly, taking control of Western medicine.
[01:39:04.537 --> 01:39:06.518]  Now, they had a bad name by the 1920s.
[01:39:06.518 --> 01:39:14.986]  They started converting over and funding other organizations and groups, like IBM, to continue on with their eugenics operations.
[01:39:15.686 --> 01:39:25.833]  Fast forward to the 1980s, the baton is handed by IBM via his mother on the board of directors to Bill Gates III, his father, of course, being the head of Planned Parenthood.
[01:39:25.833 --> 01:39:33.859]  And now he's been able to position himself over almost every health department in the world, every national health system.
[01:39:33.859 --> 01:39:35.921]  Bill Gates is in control.
[01:39:35.921 --> 01:39:36.421]  They have spent
[01:39:36.801 --> 01:39:43.831]  A hundred plus years getting positioned to be able to control what happens to your body and what goes in your body.
[01:39:43.831 --> 01:39:50.941]  This is the holy grail of their operations and now they're normalizing putting a new type of DNA in your body.
[01:39:50.941 --> 01:39:53.304]  The future isn't coming, it's here.
[01:39:54.145 --> 01:40:02.670]  And in the future, keeping your humanity, saving your soul, your integrity, your very essence, is going to be your most valuable asset.
[01:40:02.670 --> 01:40:06.252]  In fact, it's going to be your only asset.
[01:40:06.252 --> 01:40:18.979]  The world being built by the technocrats, the trap they've now sprung with COVID-19 and the endless lockdown, is the beginning of the process of taking us past domestication into total
[01:40:20.139 --> 01:40:22.721]  ...and complete dehumanization.
[01:40:22.721 --> 01:40:28.846]  Human life will be impossible to be carried out in an original biological way by the year 2050.
[01:40:28.846 --> 01:40:32.689]  This is their stated goal.
[01:40:32.689 --> 01:40:42.217]  I'm sorry to have to report horrifying things like this to you, but only by facing the horror, and not projecting your own decency onto the enemy, can we turn this around.
[01:40:42.957 --> 01:40:48.340]  You must study their own writings, you must face the facts, and you must come to grips with it.
[01:40:48.340 --> 01:40:53.263]  You're all being incrementally destroyed.
[01:40:53.263 --> 01:40:55.865]  You're listening to the Alex Jones Show.
[01:41:26.220 --> 01:41:27.080]  Alright, welcome back.
[01:41:27.080 --> 01:41:29.101]  We've got Mark Dyson coming up and so much more today.
[01:41:29.101 --> 01:41:32.563]  I mean, not as Alex Jones, but let me lay this out.
[01:41:32.563 --> 01:41:37.385]  And let me explain why the enemy is so into the occult, so into what they call magic and the unseen.
[01:41:37.385 --> 01:41:42.667]  Because ancients didn't understand all the electromagnetic wavelengths, the other dimensions, the dark matter, all of it.
[01:41:42.667 --> 01:41:43.947]  But they were trying to figure it out.
[01:41:43.947 --> 01:41:45.808]  They knew it was there because they saw it.
[01:41:45.808 --> 01:41:46.948]  They understood it.
[01:41:46.948 --> 01:41:48.709]  They knew about the sixth sense.
[01:41:48.709 --> 01:41:50.330]  They understood it.
[01:41:50.330 --> 01:41:52.351]  But I'll just go ahead and tell you some personal stories about this.
[01:41:53.305 --> 01:42:00.329]  But first off, you see a man dressed like a woman calling himself a woman, stealing the identity of a woman.
[01:42:00.329 --> 01:42:02.430]  He really looks like a vampire.
[01:42:02.430 --> 01:42:09.793]  And he's simulating cutting a baby out of his stomach and drinking his blood and reveling in it.
[01:42:09.793 --> 01:42:12.695]  And the media proposes, says, oh, look at this great art.
[01:42:12.695 --> 01:42:14.716]  Their culture is the destruction of our children.
[01:42:15.834 --> 01:42:17.895]  That is their ritual against God.
[01:42:17.895 --> 01:42:37.723]  It's not just a baby they're killing, it's the entire genetic memory of two different people that came together to form that with all those instincts, all those memories, in a very deep form of Congress that is even beyond a new human being created.
[01:42:37.723 --> 01:42:38.824]  It's interdimensional.
[01:42:38.824 --> 01:42:39.984]  It is magic.
[01:42:39.984 --> 01:42:41.945]  It is truly powerful.
[01:42:41.945 --> 01:42:43.326]  It's God at work.
[01:42:44.714 --> 01:43:10.255]  And so I didn't understand this when I was like five years old and my dad's dad who was a very nice good person but very masculine and very shamanic type person like everybody like this is a leader right here and when he was dying of cancer he called me in there right when he was dying and he grabbed my hand he do this to my dad other people he said basically I'm gonna be with you ever I'm I'm I'm going with you I'm transferring myself to you and it wasn't like his ghost doing and it was a interdimensional psychic
[01:43:11.124 --> 01:43:15.271]  The best way to describe it, everything in Hollywood is a copy or a twisting of what's actually real.
[01:43:15.271 --> 01:43:17.555]  It's like a Vulcan mind meld.
[01:43:17.555 --> 01:43:25.488]  And so that happened, and right after that happened, I was like, all of a sudden having like memories of an adult and all these things, and it was a major psychic imprint.
[01:43:27.213 --> 01:43:32.776]  Of course, the guys around my grandfather were like, whoa, because they weren't probably your average bear either.
[01:43:32.776 --> 01:43:35.258]  And so that went on.
[01:43:35.258 --> 01:43:40.181]  And then on my other side of the family, he died about six years ago.
[01:43:40.181 --> 01:43:51.908]  My mom's brother, when I was like 12 years old one summer down there visiting him, and I'm in his garage, he's working on a car, and I'm talking about
[01:43:53.194 --> 01:43:53.935]  We're good to go.
[01:44:15.561 --> 01:44:19.763]  And I'm sitting there driving and he goes, listen, let me tell you something.
[01:44:19.763 --> 01:44:23.004]  There's a time when everybody decides which side they're going to be on.
[01:44:23.004 --> 01:44:25.806]  And you finally make that decision when it gets so bad.
[01:44:25.806 --> 01:44:33.509]  And he grabbed me and told me about the government and child trafficking and what he saw working secret operations for the army.
[01:44:33.509 --> 01:44:35.930]  And when he looked at me, he was really scary looking.
[01:44:35.930 --> 01:44:36.870]  It wasn't evil looking.
[01:44:36.870 --> 01:44:40.092]  It was just very, did not look like, it was like really scary looking.
[01:44:40.712 --> 01:44:46.373]  And it was because he said, you know, a long time ago, I, I, I, you understand this already.
[01:44:46.373 --> 01:44:48.633]  I've like imprinted my will onto you.
[01:44:48.633 --> 01:44:51.374]  And he goes, and he, and he basically said, there's stuff coming up.
[01:44:51.374 --> 01:44:55.415]  I don't know how long I'm going to be here, but I'm meeting with some people.
[01:44:55.415 --> 01:44:57.255]  They were involved against Obama and stuff.
[01:44:57.255 --> 01:44:59.095]  I don't even know what was going on, folks.
[01:44:59.095 --> 01:45:00.755]  And they probably killed him.
[01:45:00.755 --> 01:45:06.516]  But the point is, is that he literally said, you're going to carry the mission out.
[01:45:06.516 --> 01:45:09.797]  Now imagine the enemy hands down their stuff to their people too.
[01:45:12.554 --> 01:45:19.061]  But that's all like a psychic measuring head.
[01:45:19.061 --> 01:45:21.203]  That's why they want to put this crap into our DNA.
[01:45:21.203 --> 01:45:23.305]  It's why they want to block off our ancestral memories.
[01:45:23.305 --> 01:45:25.648]  Because that just wasn't my grandfather.
[01:45:25.648 --> 01:45:27.089]  That wasn't my uncle.
[01:45:27.089 --> 01:45:31.474]  That was all those people wanting victory for our species.
[01:45:35.626 --> 01:45:44.214]  They may have their 5G and their Satan worship, and they may have all their crap and their killing kids and all of it and their demons that work for them, but we got God.
[01:45:44.214 --> 01:45:49.219]  And there's a lot of stuff that isn't in your books.
[01:45:49.219 --> 01:45:53.503]  There's a lot of stuff that's not there.
[01:45:53.503 --> 01:45:58.588]  And I just want to say, all of us carry the strength of our ancestors.
[01:45:59.890 --> 01:46:14.257]  And there's people that understand that and are conscious of it, and that's what America's Strength is all about, is that America is a group of people that believe in humanity, and actually believe in Christ, and are generationally committed.
[01:46:14.257 --> 01:46:28.245]  My grandmother, before she died, gave me the same damn speech, and I was like, you know, you don't, I've never read this stuff in books, I've never seen this stuff anywhere, I think people need to know about this.
[01:46:28.245 --> 01:46:28.545]  Because,
[01:46:30.011 --> 01:46:40.195]  They're alive inside of us and they are passing on that power that God gave them and that gave all those people behind them that baton is that spirit.
[01:46:40.195 --> 01:46:44.857]  You think about a mother with a baby and loving and taking care of it and parents and all the things they do.
[01:46:45.397 --> 01:46:48.359]  And every person before them, it's the same touch.
[01:46:48.359 --> 01:46:51.781]  All that love is transmitted forward through each family.
[01:46:51.781 --> 01:47:03.368]  So whether you had somebody a thousand years ago or ten thousand years ago that did something or saw something, all of that is literally, like electricity going into the future, connected to everything before it.
[01:47:03.368 --> 01:47:04.348]  Intimately.
[01:47:04.348 --> 01:47:09.631]  You're just as related to your great-great-great-great-great-great-great-grandmother as you are to your mama.
[01:47:09.631 --> 01:47:10.192]  More so.
[01:47:11.394 --> 01:47:19.560]  Because everything she was has been filtered through now into the future and arcing out with that knowledge to give you that vision.
[01:47:19.560 --> 01:47:27.686]  And so everything the enemy does is about breaking off that connection and stopping that.
[01:47:27.686 --> 01:47:29.928]  And that's going to fail!
[01:47:29.928 --> 01:47:33.871]  The devil is going to make his play and a lot of folks are going to die.
[01:47:33.871 --> 01:47:35.713]  But let me tell you, humanity is going to win.
[01:47:35.713 --> 01:47:37.234]  And so I just want Satan
[01:47:38.925 --> 01:47:48.873]  And all of his minions and all of his servants to know, you're a loser, you know you're a loser, your servants are losers, and you will and have been defeated already.
[01:47:48.873 --> 01:47:56.659]  And so, this is a speech to myself as much as any of you, because I get down watching all this and knowing what's happening and want to try to stop it.
[01:47:56.659 --> 01:47:58.201]  You know what?
[01:47:58.201 --> 01:48:00.763]  What David Knight said made me decide to tell you this.
[01:48:00.763 --> 01:48:01.543]  Big truth.
[01:48:01.543 --> 01:48:04.626]  When he said, his job is following God's orders.
[01:48:06.118 --> 01:48:09.381]  And there's a great surrender to that.
[01:48:09.381 --> 01:48:10.902]  Stop worrying.
[01:48:10.902 --> 01:48:12.323]  You know God's right.
[01:48:12.323 --> 01:48:13.224]  Do the right thing.
[01:48:13.224 --> 01:48:18.488]  And let God take control of it.
[01:48:18.488 --> 01:48:21.831]  Because the enemy has, they're definitely under Satan's control.
[01:48:21.831 --> 01:48:25.534]  They turned themselves over to Satan completely.
[01:48:25.534 --> 01:48:29.757]  And you can see it out in the open now, but imagine turning yourself over to Christ.
[01:48:29.757 --> 01:48:30.898]  Imagine really doing it.
[01:48:35.731 --> 01:48:38.672]  And I just wish I could have asked my uncle, like, who taught you this?
[01:48:38.672 --> 01:48:39.772]  Or my grandfather.
[01:48:39.772 --> 01:48:40.852]  Two different sides of the family.
[01:48:40.852 --> 01:48:44.333]  Same thing.
[01:48:44.333 --> 01:48:47.194]  But that's the spirit.
[01:48:47.194 --> 01:48:50.135]  Spirit knew on both sides of my family.
[01:48:50.135 --> 01:48:50.955]  Or maybe they did without.
[01:48:50.955 --> 01:48:51.875]  I don't know.
[01:48:51.875 --> 01:48:56.416]  But they certainly said, I mean, my mom's dad said, he was never like this to anybody.
[01:48:56.416 --> 01:48:57.837]  He was like, you're going to do great things.
[01:48:57.837 --> 01:48:59.097]  You're going to do these huge things.
[01:48:59.097 --> 01:49:00.297]  And I was like, what are you doing?
[01:49:00.297 --> 01:49:01.678]  This is really weird what you're talking about.
[01:49:01.678 --> 01:49:02.278]  He goes, I just know.
[01:49:02.278 --> 01:49:02.838]  I've prayed about it.
[01:49:03.920 --> 01:49:06.021]  And it's real, folks.
[01:49:06.021 --> 01:49:08.201]  Like, what was the name of the guy?
[01:49:08.201 --> 01:49:11.762]  Wes, you were able to find it.
[01:49:11.762 --> 01:49:13.723]  Wes Curtis, another Wes.
[01:49:13.723 --> 01:49:24.045]  Literally sat there 20 years ago, 23 years ago, in a diner at night and said, there'll be a world government with a forced inoculation that rewrites your DNA and makes you a genetically modified creature.
[01:49:24.045 --> 01:49:24.726]  That's four months.
[01:49:24.726 --> 01:49:27.146]  Santel and Terminator Genes were even news.
[01:49:27.146 --> 01:49:28.286]  And I said, how do you know?
[01:49:28.286 --> 01:49:30.107]  He said, my preacher had a vision.
[01:49:33.578 --> 01:49:35.899]  And he was so sure it was the same type of feeling.
[01:49:35.899 --> 01:49:38.659]  It wasn't like he was imprinting me with his knowledge.
[01:49:38.659 --> 01:49:42.320]  He was just saying, this is how it is.
[01:49:42.320 --> 01:49:50.162]  And if you take the mark, it literally rewrites yourselves where you can't even connect with God.
[01:49:50.162 --> 01:49:52.843]  The devil has this all figured out, folks, but so does God.
[01:49:52.843 --> 01:49:55.744]  Before the devil even existed, all we got to do is choose God.
[01:49:55.744 --> 01:49:59.825]  But God can do one thing, and that's anything.
[01:50:01.175 --> 01:50:05.939]  And what's the one thing that a true omnipresent creature would have to deal with?
[01:50:05.939 --> 01:50:13.887]  Creating new omnipresent creatures, but in a baby form, that have free will, and because you give them free will, they could be deceived and taken into evil.
[01:50:14.980 --> 01:50:19.243]  And that's really the great mystery answer of why God does this.
[01:50:19.243 --> 01:50:20.564]  All right, I'm done talking about that.
[01:50:20.564 --> 01:50:21.925]  We got Mark Dice come up with his new book.
[01:50:21.925 --> 01:50:22.746]  He'll announce the name of it.
[01:50:22.746 --> 01:50:24.047]  It's a big deal on the show.
[01:50:24.047 --> 01:50:25.068]  We're glad he's launching it here.
[01:50:25.068 --> 01:50:25.969]  We're honored to have him launch it.
[01:50:25.969 --> 01:50:27.330]  We love Mark Dice.
[01:50:27.330 --> 01:50:29.031]  We need funding.
[01:50:29.031 --> 01:50:29.672]  Stay on air.
[01:50:29.672 --> 01:50:32.714]  I really am humble, and I appreciate your support.
[01:50:32.714 --> 01:50:34.055]  High quality, storable food.
[01:50:34.055 --> 01:50:35.356]  Great prices.
[01:50:35.356 --> 01:50:36.477]  It's where I get my food.
[01:50:36.477 --> 01:50:37.578]  InfoWareStore.com.
[01:50:38.726 --> 01:50:40.108]  Six month ear supplies.
[01:50:40.108 --> 01:50:41.050]  Three month supplies.
[01:50:41.050 --> 01:50:42.132]  All sorts of other great items.
[01:50:42.132 --> 01:50:43.434]  Water filtration, ear filtration.
[01:50:43.434 --> 01:50:46.038]  A lot of great supplements.
[01:50:46.038 --> 01:50:47.260]  We'll have to end a bunch of these specials.
[01:50:47.260 --> 01:50:48.483]  There's a bunch of this stuff selling out.
[01:50:50.627 --> 01:50:52.548]  We have gone through a lot of tribulations behind the scenes.
[01:50:52.548 --> 01:50:57.171]  We've had some big victories lately that take us from two minutes to midnight to ten minutes from midnight.
[01:50:57.171 --> 01:50:58.191]  So thanks for your support.
[01:50:58.191 --> 01:51:00.312]  Some good things happened behind the scenes because of your prayers.
[01:51:00.312 --> 01:51:03.174]  So we're in a better position than we were, but still we need to raise funds.
[01:51:03.174 --> 01:51:05.295]  But we're not in a shutdown position.
[01:51:05.295 --> 01:51:06.856]  People are like, well, you want to raise money?
[01:51:06.856 --> 01:51:07.596]  Tell them we're in a shutdown.
[01:51:07.596 --> 01:51:08.657]  I'm just going to tell you the truth.
[01:51:08.657 --> 01:51:10.498]  We're in a better position than we were just a month ago.
[01:51:10.498 --> 01:51:12.559]  A lot of good things happened in the last 48 hours.
[01:51:12.559 --> 01:51:13.799]  So keep the prayer going.
[01:51:13.799 --> 01:51:14.600]  That's really what's doing it all.
[01:51:15.180 --> 01:51:16.381]  But InfoWarsTore.com.
[01:51:16.381 --> 01:51:18.822]  These are great things, especially at this time of year.
[01:51:18.822 --> 01:51:19.762]  Boost your immune system.
[01:51:19.762 --> 01:51:21.123]  Everybody needs zinc.
[01:51:21.123 --> 01:51:22.344]  Everybody needs D3.
[01:51:22.344 --> 01:51:23.825]  Everybody needs all the things.
[01:51:23.825 --> 01:51:24.625]  DNA Force Plus.
[01:51:24.625 --> 01:51:26.526]  There's free shipping, a bunch of specials.
[01:51:26.526 --> 01:51:31.229]  And we're going to have to end these specials because now that we're able to operate, I'm going to start reordering products into the future.
[01:51:31.229 --> 01:51:33.990]  We're literally at the point of maybe having to shut down.
[01:51:33.990 --> 01:51:34.570]  All right.
[01:51:34.570 --> 01:51:35.231]  We'll be right back.
[01:51:35.231 --> 01:51:35.591]  Stay with us.
[01:51:39.133 --> 01:51:41.594]  Stand back and stand by.
[01:51:41.594 --> 01:51:47.498]  During our emergency election sale, we have all your favorite products up to 60% off plus free shipping.
[01:51:47.498 --> 01:51:53.361]  In order to help maximize our coverage of this historic election, we need your support during this crucial time.
[01:51:53.361 --> 01:51:57.623]  We have our vitamin D supplement Winter Sun Plus at 25% off.
[01:51:57.623 --> 01:52:03.166]  Winter Sun Plus works as a defense against attacks on your immune system, which will be great during the coming winter months.
[01:52:03.166 --> 01:52:03.546]  I think?
[01:52:19.901 --> 01:52:26.549]  All shirts in our apparel collection are currently set at the answers to 1984, which is $17.76.
[01:52:26.549 --> 01:52:29.813]  We also have Prostagard and Ultimate Fish Oil back in stock.
[01:52:29.813 --> 01:52:38.724]  So whether you're looking to stock up or thinking of adding something new to your daily routine, be sure to check out these deep discounts and more at InfoWarsStore.com.
[01:52:40.558 --> 01:52:44.380]  This is your last chance to get a pack power stack.
[01:52:44.380 --> 01:52:46.082]  And I'm really bummed out about that.
[01:52:46.082 --> 01:52:51.245]  It started out as a sleeper product, but the people that did order it loved it and started reordering it.
[01:52:51.245 --> 01:52:53.586]  They spread the word and became one of our best sellers.
[01:52:53.586 --> 01:52:56.168]  But because of the COVID supply chain breakdown,
[01:52:56.528 --> 01:53:02.710]  Because there's 13 different formulas in 8-Pak PowerStack, we are unable to secure it anymore.
[01:53:02.710 --> 01:53:11.334]  This is the highest-end AM-PM pack system you're going to find, where you take half the pills in the morning, half the tablets and pills and gel caps at night.
[01:53:11.334 --> 01:53:11.794]  It's amazing.
[01:53:11.794 --> 01:53:20.237]  I don't have time to go into everything that's in it, but this gets people to remember to take it, and that's why it's having such a great effect, because the stuff in here is absolutely amazing.
[01:53:20.237 --> 01:53:23.338]  So it's your last chance to get 8-Pak PowerStack at InfoWareStore.com.
[01:53:23.638 --> 01:53:25.520]  It's 60% off and free shipping.
[01:53:25.520 --> 01:53:26.661]  That is at cost.
[01:53:26.661 --> 01:53:29.984]  For all of you that already support InfoWars, we're passing these savings on to you.
[01:53:29.984 --> 01:53:32.647]  Get your 8-pack PowerStack now, or you still can.
[01:53:32.647 --> 01:53:35.490]  Last chance to get it, InfoWarsStore.com.
[01:53:35.490 --> 01:53:43.238]  8-pack PowerStack, 60% off and free shipping.
[01:53:43.238 --> 01:53:45.880]  You're listening to the Alex Jones Show.
[01:53:53.712 --> 01:54:05.178]  According to the former FBI director Jim Comey, abuse of power by the top brass at the FBI is how doing it by the book is done at the top law enforcement agency in the world.
[01:54:05.178 --> 01:54:08.500]  The truth, the whole truth, and nothing but the truth, so help you God.
[01:54:08.500 --> 01:54:10.000]  I do.
[01:54:10.000 --> 01:54:10.881]  Thank you.
[01:54:10.881 --> 01:54:16.904]  Mr. Comey, on a scale of one to ten, with ten being the top of the line,
[01:54:18.283 --> 01:54:29.947]  I'm not sure I can apply a number scale, but I would say in the main it was done by the book, it was appropriate, and it was essential that it be done.
[01:54:29.947 --> 01:54:32.567]  Did you know that Mr. Clinesmith doctored the email
[01:54:44.554 --> 01:54:52.417]  For it to read that there was no association between Page and the CIA, that he changed there was to there was not.
[01:54:52.417 --> 01:54:54.597]  How do you feel about that?
[01:54:54.597 --> 01:54:58.158]  I know nothing about Mr. Clinesmith other than what I've read in the public records.
[01:54:58.158 --> 01:55:05.641]  How do you feel in general about an FBI lawyer doctoring information at Sculptory to somebody being surveilled?
[01:55:07.395 --> 01:55:12.696]  Any false statement in the course of an investigation is deeply... But you didn't know anything about that, okay?
[01:55:12.696 --> 01:55:20.639]  The Crossfire Hurricane, Crossfire Razor investigations, I think have really shaken confidence in the system.
[01:55:20.639 --> 01:55:32.362]  And my goal as Chairman, and this will go into the next Congress no matter who's in charge, Senator Feinstein, is that FISA needs to be reauthorized, but right now without substantial reform.
[01:55:33.379 --> 01:55:35.220]  I don't think we could get it reauthorized.
[01:55:55.071 --> 01:56:05.985]  Whether Hillary Clinton had approved a plot to distract from her email crimes by, quote, stirring up a scandal claiming interference by Russian security services, end quote.
[01:56:05.985 --> 01:56:12.013]  According to newly declassified information, Director of National Intelligence John Ratcliffe
[01:56:12.193 --> 01:56:26.702]  Send a letter to the Senate Judiciary Committee explaining that the CIA's referral had been given to top FBI leadership, including former Director James Comey and Deputy Assistant Director of Counterintelligence Peter Strzok.
[01:56:26.702 --> 01:56:28.083]  And as Jamie White wrote,
[01:56:28.343 --> 01:56:44.521]  The CIA had ironically learned of the allegations from Russian intelligence claiming Clinton had approved a campaign plan to stir up a scandal against US presidential candidate Donald Trump by tying him to Putin and the Russians hacking of the Democratic National Committee.
[01:56:44.821 --> 01:56:58.873]  This is a scandal about what was a coup planned against the incoming administration at the highest levels, and I can report here tonight that these declassifications that have come out, those weren't easy to get out, and there's in fact far more waiting to get out.
[01:56:58.873 --> 01:57:08.362]  Unfortunately, those releases and declassifications, according to multiple sources I've talked to, are being blocked by CIA Director Gina Haspel, who herself
[01:57:08.882 --> 01:57:13.984]  Of course, the Democrats continued their disconnected pattern of preying on the gullible, claiming that impending matters required more attention.
[01:57:38.911 --> 01:57:41.314]  But nothing could be further from the truth.
[01:57:41.314 --> 01:57:51.605]  You know, when we left July 31st for the August recess, they had us scheduled only to come back in for three out of the next 15 weeks.
[01:57:53.012 --> 01:58:04.982]  That is the best sign of any sign that she has no intention of Congress trying to be helpful to the country to navigate this pandemic and keep us in as good a position as possible.
[01:58:04.982 --> 01:58:06.724]  It's all about defeating Donald Trump.
[01:58:16.311 --> 01:58:17.112]  John Bowne section.
