[00:00:15.168 --> 00:00:17.171]  Uh, Bill Clinton.
[01:46:48.461 --> 01:46:49.442]  It's so evil!
[01:46:49.442 --> 01:46:53.483]  A man who hasn't touched a patient in 40 years, why are we listening to this guy?
[01:46:53.483 --> 01:46:58.985]  I want to listen to people that are looking to the eyes of human beings that are going to live or die by the choices they're making.
[01:46:58.985 --> 01:46:59.685]  And it's working!
[01:46:59.685 --> 01:47:00.646]  And they're living.
[01:47:00.646 --> 01:47:05.688]  And they're standing there saying, all of my patients are living right now.
[01:47:05.688 --> 01:47:11.670]  You can be saved if you're in a hospital, if you have a relative, and they're not... Here's the thing, they don't have a treatment.
[01:47:11.670 --> 01:47:13.490]  It's not like we like this other treatment.
[01:47:13.490 --> 01:47:14.891]  It's literally no treatment
[01:47:15.091 --> 01:47:16.832]  Let me give you the good news though.
[01:47:16.832 --> 01:47:18.213]  I've looked at Fauci.
[01:47:18.213 --> 01:47:19.795]  He was really arrogant even two weeks ago.
[01:47:19.795 --> 01:47:21.096]  He looks scared as hell on TV now.
[01:47:21.096 --> 01:47:23.577]  He better be because we're coming after him.
[01:47:23.577 --> 01:47:24.218]  It's over.
[01:47:24.218 --> 01:47:29.021]  Whoever now he is working for, I believe Bill Gates and other people like him, he is just a puppet.
[01:47:29.021 --> 01:47:31.423]  He's out there and they're putting him on the line.
[01:47:31.423 --> 01:47:33.665]  And he is going to go down.
[01:47:33.665 --> 01:47:34.786]  And it will not be pretty.
[01:47:34.786 --> 01:47:36.647]  This man needs to be arrested.
[01:47:36.647 --> 01:47:42.331]  And simply because then we need to get him on the stand and say, hey, you want to mitigate your sentence?
[01:47:42.331 --> 01:47:44.473]  Go ahead and start telling us what Bill Gates has been up to.
[01:47:44.693 --> 01:47:45.734]  You're on the inside.
[01:47:45.734 --> 01:47:47.315]  But that's how psychos work.
[01:47:47.315 --> 01:47:52.578]  When they start getting caught, like when the cops are after a psycho who might kill one person a year, they'll kill five in a day.
[01:47:52.578 --> 01:47:54.299]  And they get disorganized.
[01:47:54.299 --> 01:47:57.941]  And that's what they're doing, is they're like doubling down and going crazy.
[01:47:57.941 --> 01:48:02.224]  You know, I met an Israeli professor that investigates crime scenarios.
[01:48:02.224 --> 01:48:05.005]  He teaches, you know, the military there.
[01:48:05.005 --> 01:48:07.727]  And he says it's called a crime cyclone.
[01:48:07.947 --> 01:48:18.910]  That it starts out as just a lie to cover up a problem, but then someone hears the lie, then the lie breaks, you gotta kill somebody, and now you find yourself, you know, in this murder spree, because all it started out with was a singular lie.
[01:48:18.910 --> 01:48:19.531]  It's out of control.
[01:48:19.531 --> 01:48:21.411]  It's out of control, and that's where they're at.
[01:48:21.411 --> 01:48:22.832]  They are now out of control.
[01:48:22.832 --> 01:48:26.953]  They're gonna try and kill, destroy, shut down websites, shut down YouTube.
[01:48:26.953 --> 01:48:28.913]  They don't care, but it's too late.
[01:48:28.913 --> 01:48:30.494]  They're too deep in.
[01:48:30.494 --> 01:48:36.956]  They can't stop this crime spree, trying to cover up what is one of the greatest, most tragic mistakes
[01:48:37.256 --> 01:48:39.357]  I think it started out as a mistake in many ways.
[01:48:39.357 --> 01:48:43.880]  I think Bill Gates took it beyond a mistake and said, I don't care, we're pushing forward.
[01:48:43.880 --> 01:48:46.662]  And that's why he was like hissing on TV and giggling.
[01:48:46.662 --> 01:48:49.103]  Because psychos do that when they've got you chained down.
[01:48:49.103 --> 01:48:51.604]  We're not chained down, asshole.
[01:48:51.604 --> 01:48:52.425]  We see you.
[01:48:52.425 --> 01:48:55.947]  He's doing a little celebration like he's Ted Bundy and we're chained down in a basement.
[01:48:56.127 --> 01:48:57.027]  Dude, we ain't chained down!
[01:48:57.027 --> 01:48:58.488]  We are chained down, no.
[01:48:58.488 --> 01:49:01.009]  And we don't have Stockholm Syndrome either, you know what I mean?
[01:49:01.009 --> 01:49:02.530]  We're not falling in love with our oppressor.
[01:49:02.530 --> 01:49:03.590]  That's what they keep hoping for.
[01:49:03.590 --> 01:49:06.531]  That they just keep, you know, telling us the same lies over and over.
[01:49:06.531 --> 01:49:07.232]  You need us.
[01:49:07.232 --> 01:49:08.392]  You can't live without us.
[01:49:08.392 --> 01:49:12.294]  By the way, this is the most powerful radio I've done in 26 years.
[01:49:12.294 --> 01:49:13.935]  It's the time we're in, though.
[01:49:13.935 --> 01:49:14.395]  It is.
[01:49:14.395 --> 01:49:15.695]  Now you're on fire, brother.
[01:49:15.695 --> 01:49:16.576]  So what's coming next?
[01:49:17.276 --> 01:49:22.542]  You know, what's coming next, I think, is we are going to see these social media companies falling apart.
[01:49:22.542 --> 01:49:24.764]  I mean, they're already turning on half the country.
[01:49:24.764 --> 01:49:25.284]  Oh, they're scared.
[01:49:25.284 --> 01:49:36.256]  When you come from media, when I worked on CBS, you never really, you don't let, it was a medical talk show I worked on, you never want anything to sound Republican or Democrat because you just lost half the country when you do that.
[01:49:36.576 --> 01:49:39.478]  I've been on air 20... The use of the media was pretty fair, actually.
[01:49:39.478 --> 01:49:39.718]  Right.
[01:49:39.718 --> 01:49:40.899]  They were caring producers.
[01:49:40.899 --> 01:49:41.739]  Now they're like demons.
[01:49:41.739 --> 01:49:44.721]  Well, because you can't lose millions of viewers.
[01:49:44.721 --> 01:49:45.982]  It's all about money.
[01:49:45.982 --> 01:49:48.683]  And now they're making choices where they're isolating.
[01:49:48.683 --> 01:49:51.765]  They're driving conservatives into this vaccine discussion.
[01:49:52.165 --> 01:49:53.366]  That's the thing about the Globals.
[01:49:53.366 --> 01:49:55.549]  They have the power, but they don't have the smarts.
[01:50:14.989 --> 01:50:15.810]  They are not.
[01:50:15.810 --> 01:50:19.393]  We have got to stop giving them credit for being these brilliant thinkers.
[01:50:19.393 --> 01:50:20.433]  They're like third graders.
[01:50:20.433 --> 01:50:26.458]  It's like watching schoolgirls fight over a doll right now, and in the end, they're going to tear the arms off of both of it.
[01:50:26.458 --> 01:50:29.540]  No one's going to get the doll, and someone's going to step forward.
[01:50:29.540 --> 01:50:34.805]  That's what actually frightens me, though, is, I mean, Gates comes out and says, I don't want you to have a digital tattoo.
[01:50:34.805 --> 01:50:37.907]  And there's 100 articles that day where his company's pushing it.
[01:50:37.907 --> 01:50:43.331]  And people go look at that and they go, Microsoft's front page says, I get a digital tattoo to travel.
[01:50:43.331 --> 01:50:44.152]  He says it's not true.
[01:50:44.372 --> 01:50:44.932]  Right.
[01:50:44.932 --> 01:50:46.253]  You're on camera.
[01:50:46.253 --> 01:50:48.755]  We can rewind now.
[01:50:48.755 --> 01:50:51.237]  We didn't get this message by the Pony Express.
[01:50:51.237 --> 01:50:53.238]  We can't say that it was written by somebody else.
[01:50:53.238 --> 01:50:56.400]  You are on camera saying these things.
[01:50:56.400 --> 01:50:58.342]  A history of you saying these things.
[01:50:58.342 --> 01:51:03.145]  How many times has Bill Gates said, I want to reduce the population.
[01:51:03.145 --> 01:51:07.328]  And yet they say, Del Vatri spreads misinformation by saying there's a depopulation agenda.
[01:51:07.328 --> 01:51:09.149]  And now he wants to put something in my body.
[01:51:10.450 --> 01:51:11.370]  I agree.
[01:51:11.370 --> 01:51:12.070]  I'm telling you.
[01:51:12.070 --> 01:51:14.631]  That's what they say, like you said, in the criminology.
[01:51:14.631 --> 01:51:16.112]  Psychos at the end destroy themselves.
[01:51:16.112 --> 01:51:16.992]  They do.
[01:51:16.992 --> 01:51:18.532]  And that's what we're watching right now.
[01:51:18.532 --> 01:51:19.552]  In many ways.
[01:51:19.552 --> 01:51:20.893]  And you've got to feed them, right?
[01:51:20.893 --> 01:51:22.673]  Just keep feeding them energy right now.
[01:51:22.673 --> 01:51:23.513]  Go ahead!
[01:51:23.513 --> 01:51:24.754]  You know, that's why I love it.
[01:51:24.754 --> 01:51:26.354]  You're fighting me, you're going to take me on?
[01:51:26.354 --> 01:51:27.034]  Let's do this!
[01:51:27.034 --> 01:51:27.634]  No, I agree.
[01:51:27.634 --> 01:51:29.255]  That's why I prod them and attack them.
[01:51:29.255 --> 01:51:30.155]  That's right.
[01:51:30.155 --> 01:51:30.495]  That's right.
[01:51:30.495 --> 01:51:32.176]  Make them swing even wilder, you know?
[01:51:32.176 --> 01:51:35.196]  It's like that, you know, you want a bully, just make them swing wildly.
[01:51:35.196 --> 01:51:36.397]  Oh my God, I'm going to be right back.
[01:51:36.397 --> 01:51:36.977]  Stay with us.
[01:51:38.095 --> 01:51:48.925]  Americans have had freedom for so long, and most Americans were born into such docile times compared to the rest of history, that we really have a blind spot for tyranny.
[01:51:48.925 --> 01:51:58.133]  We don't appreciate the American way, truth, justice, due process, the right to self-defense, private property, because we've had it so long, and we just think that's how the rest of the world is.
[01:51:58.493 --> 01:52:12.664]  Ladies and gentlemen, the renaissance, the social contract that's 500 years old to try to build up humanity and try to believe in humanity and try to empower the weak as well as the strong is something the West invented and that's what made our modern world.
[01:52:12.664 --> 01:52:26.876]  That's now been hijacked by the technocrats, by the globalists who say humans are ugly and bad for the earth and we need to be culled and dumbed down and put into subgroups that the elites dominate, manipulate and command if we're even lucky enough to stay alive.
[01:52:27.316 --> 01:52:29.019]  And that's what COVID-19 is.
[01:52:29.019 --> 01:52:35.709]  A global UN revolution against free humanity, against your family, against prosperity, and against your future.
[01:52:35.709 --> 01:52:37.471]  If you don't stand up and fight, you deserve what you get.
[01:52:39.192 --> 01:52:46.655]  There are only a few days left to take advantage of the biggest InfoWars sale of 2020 so far.
[01:52:46.655 --> 01:52:50.997]  It is Christmas in July, and July ends this Friday.
[01:52:50.997 --> 01:53:07.244]  The longest we can run it is a few extra days until Sunday, because we are selling out of almost all of our best-selling products, and the supply chain is breaking down with many of our manufacturers, and so a lot of the reorders are held up months.
[01:53:08.124 --> 01:53:23.345]  In many cases, this could be the last chance you've got in the year 2020 to get these amazing products that empower you and your family's life and health, your immune systems, you name it, your stamina, your libido, your focus, but also you know.
[01:53:24.506 --> 01:53:26.447]  You're listening to the Alex Jones Show!
[01:53:49.608 --> 01:53:51.731]  The Alex Jones Show.
[01:53:51.731 --> 01:53:54.455]  Because there is a war on, on your mind.
[01:54:02.466 --> 01:54:04.348]  Well, people talk about kindred spirits.
[01:54:04.348 --> 01:54:20.102]  I remember probably five years ago seeing Del Bigtree's work and then making Vaxxed and having him on the show a few times, but to see you on fire in the spirit of what's happening right now, going through censorship, attacks, everything, seeing you stronger is an archetype.
[01:54:20.102 --> 01:54:22.464]  Not to say we're kindred spirits, but it's a spirit
[01:54:22.964 --> 01:54:24.845]  of resistance and pro-human awakening.
[01:54:24.845 --> 01:54:38.094]  So in the next four minutes of this short segment, before we get back into all the news, next segment, talk about your awakening, your process, because you're more alive than ever under attack, you're more successful than ever, and it's that spirit of not, we're not losers, we're overcomers.
[01:54:39.235 --> 01:54:46.436]  Well, and every, you know, I had a friend that reached out and said, you know, I'm sorry about hearing what happened to YouTube, and I had a lot of friends online that were complaining.
[01:54:46.436 --> 01:54:54.398]  He says, I've known Del for a really long time, and I want to tell you, I have never seen a problem that he's come up against that didn't make him bigger and stronger.
[01:54:54.398 --> 01:54:56.318]  It always works in his favor.
[01:54:56.318 --> 01:54:58.619]  And it's true, but that's how you deal with the world, right?
[01:54:58.619 --> 01:55:01.319]  You use the, I believe in using the energy that comes out.
[01:55:01.319 --> 01:55:02.499]  You don't run from it.
[01:55:02.499 --> 01:55:03.940]  It's empowering to have that energy.
[01:55:03.940 --> 01:55:06.080]  When Count Dooku attacks Yoda, he just grabs the power.
[01:55:06.240 --> 01:55:07.021]  That's right.
[01:55:07.021 --> 01:55:11.648]  But I want to take this moment really quick to get off of just me really in general because you know what's important?
[01:55:11.648 --> 01:55:13.050]  It's how we raise our children.
[01:55:13.050 --> 01:55:15.694]  And when people ask me, where does this start for you?
[01:55:15.694 --> 01:55:17.577]  For me it goes back to how I was raised.
[01:55:17.577 --> 01:55:20.561]  My parents taught me to question authority from the beginning.
[01:55:20.561 --> 01:55:21.964]  They said the most important
[01:55:22.304 --> 01:55:24.906]  You know, voice was my own, my instincts.
[01:55:24.906 --> 01:55:26.366]  And I want to tell you a quick story.
[01:55:26.366 --> 01:55:28.848]  I was in third grade in Boulder, Colorado.
[01:55:28.848 --> 01:55:31.269]  I would walk to school every day with my sister.
[01:55:31.269 --> 01:55:32.810]  It was about four blocks away.
[01:55:32.810 --> 01:55:36.953]  I came back for lunch with my sister and I walked through the door and my mom said, what happened to your t-shirt?
[01:55:36.953 --> 01:55:39.394]  I'd walked out the door in a t-shirt I'd made in art class that
[01:55:39.714 --> 01:55:42.455]  Spelled my gymnastics team across it, the Flyers.
[01:55:42.455 --> 01:55:43.855]  And she said, what happened to your t-shirt?
[01:55:43.855 --> 01:55:49.757]  And I said, well, you know, Craig said it looks stupid, and he lives right next door to the school, so I just borrowed a t-shirt from him.
[01:55:49.757 --> 01:55:53.698]  My mom pulled me out of school the next day, Alex, and I was homeschooled after that.
[01:55:53.698 --> 01:55:58.099]  She said, I will never raise children that care what somebody else thinks.
[01:55:58.099 --> 01:56:05.141]  You like that shirt, you believe in what you're doing, you're gonna believe in who you are and what you are, and that's what makes me who I am today.
[01:56:05.141 --> 01:56:08.722]  That's how I persevere, and if we don't take parenting that seriously,
[01:56:09.122 --> 01:56:12.824]  Then we are just making drones that will do whatever they're told.
[01:56:12.824 --> 01:56:13.544]  Exactly.
[01:56:13.544 --> 01:56:17.466]  Gates admits he wants robots, we want individual souls.
[01:56:17.466 --> 01:56:18.006]  That's it.
[01:56:18.006 --> 01:56:19.167]  And that's what's critical.
[01:56:19.167 --> 01:56:22.408]  Who express their own gift God gave them.
[01:56:22.408 --> 01:56:22.989]  That's right.
[01:56:22.989 --> 01:56:28.431]  So for the parents out there that say, you know, I want to see change in the world, your children are that change.
[01:56:28.431 --> 01:56:30.292]  You cannot fax in that job.
[01:56:30.292 --> 01:56:37.275]  And if you're just going to have a nanny raise them and drop them off at school and pick them up and you're going to focus on your career, then don't have kids!
[01:56:37.275 --> 01:56:38.296]  Yeah, the TV's raising them.
[01:56:38.516 --> 01:56:39.877]  That's right, we can't have that.
[01:56:39.877 --> 01:56:41.757]  Because having a child is a holy act.
[01:56:41.757 --> 01:56:42.337]  That's right.
[01:56:42.337 --> 01:56:45.879]  Your kids should be inspired to be difference makers in this world.
[01:56:45.879 --> 01:56:51.281]  They should recognize that they're given a power inside of them that cannot be snuffed out.
[01:56:51.281 --> 01:56:52.761]  They are not a part of a herd.
[01:56:52.761 --> 01:57:00.244]  They are not a part of a... But listen, you were at CBS, you won major awards, Grammys, Emmys, whatever.
[01:57:00.244 --> 01:57:03.585]  The point is, when did you ignite like this?
[01:57:03.585 --> 01:57:04.006]  What happened?
[01:57:04.006 --> 01:57:04.866]  It was just a process?
[01:57:05.046 --> 01:57:08.587]  Well, you know, it was simply getting out in front of the camera.
[01:57:08.587 --> 01:57:13.949]  I was writing for Dr. Phil, and then I was writing for the Doctor's television show, Travis Stork, and all these doctors.
[01:57:13.949 --> 01:57:15.449]  I enjoyed that process.
[01:57:15.449 --> 01:57:18.450]  And you'd complain, like, no, I didn't want it said that way.
[01:57:18.450 --> 01:57:22.031]  Well, once Vax came out, all of a sudden, that put me out in front of the camera.
[01:57:22.031 --> 01:57:24.092]  Because Andy Wakefield, we decided
[01:57:24.352 --> 01:57:26.073]  They're just going to attack you and make it about them.
[01:57:26.073 --> 01:57:26.894]  And that unleashed you.
[01:57:26.894 --> 01:57:27.754]  And that unleashed me.
[01:57:27.754 --> 01:57:29.796]  They attacked me, but I had the facts, right?
[01:57:29.796 --> 01:57:30.936]  I had the truth.
[01:57:30.936 --> 01:57:33.918]  How do you attack someone that can... I had no problem standing cameras.
[01:57:33.918 --> 01:57:41.123]  Don't they get that their attacks are going to make men and women that were never... try not to be arrogant, where they're holding back.
[01:57:41.123 --> 01:57:42.684]  Don't they realize the power they're unleashing?
[01:57:42.984 --> 01:57:44.706]  No, that's the genius, right?
[01:57:44.706 --> 01:57:50.112]  The genius is they still do not understand that attacking is power.
[01:57:50.112 --> 01:57:52.855]  That every time I'm attacked, you give me more publicity.
[01:57:52.855 --> 01:57:54.497]  They have not wrapped their head around it.
[01:57:54.497 --> 01:57:56.238]  That's how Donald Trump won the election.
[01:57:56.238 --> 01:57:57.059]  They're so arrogant.
[01:57:57.059 --> 01:57:58.941]  They're so arrogant and they're so...
[01:57:59.622 --> 01:58:03.125]  Well, you're very charismatic and smart, so... I mean, they just really screwed up.
[01:58:26.502 --> 01:58:32.787]  They really screwed up, because from the beginning, from Vaxxed, I've been using censorship as a power tool, and they just handed it to me.
[01:58:32.787 --> 01:58:36.951]  It's good to know there's more men in the fight, brother!
[01:58:36.951 --> 01:58:39.753]  The next hour is 60 seconds away!
[01:58:39.753 --> 01:58:41.735]  You can taste victory, can't you?
[01:58:41.735 --> 01:58:42.195]  Stay with us.
[01:58:51.138 --> 01:58:51.879]  We're good to go.
[01:59:07.589 --> 01:59:09.111]  Virgin Mary's are getting torn down.
[01:59:09.111 --> 01:59:11.133]  I mean, crosses are being torn down.
[01:59:11.133 --> 01:59:16.340]  It's absolutely out of control, but people now understand that evil was always real.
[01:59:16.340 --> 01:59:22.727]  It is spiritual, and it was just waiting to make its move, building beneath the surface, and now it's emerged.
[01:59:23.228 --> 01:59:26.010]  That's why when I ask listeners and viewers for your prayer, I mean it.
[01:59:26.010 --> 01:59:27.090]  I'm praying for America.
[01:59:27.090 --> 01:59:27.951]  I'm praying for you.
[01:59:27.951 --> 01:59:31.113]  And I know the power of prayer is real and God hears it.
[01:59:31.113 --> 01:59:34.114]  We need to come together and pray for an even greater awakening.
[01:59:34.114 --> 01:59:36.516]  Pray for Donald Trump to be protected.
[01:59:36.516 --> 01:59:44.060]  Pray for him to win in a landslide and pray for the people under deception of the globalists to awaken and join us in liberty and freedom.
[01:59:44.060 --> 01:59:44.760]  God bless you all.
[01:59:44.760 --> 01:59:45.941]  Please pray for him for us as well.
[02:00:08.772 --> 02:00:10.593]  Yeah, the New World Order put a spell on us.
[02:00:10.593 --> 02:00:15.736]  It's time to break that spell.
[02:00:15.736 --> 02:00:20.399]  Dale Victory, award-winning documentary filmmaker, Emmy award-winning CBS producer.
[02:00:21.795 --> 02:00:26.801]  You know, Big Tree, for now, on Twitter, but you need to go to thehighwire.com.
[02:00:26.801 --> 02:00:29.204]  Actually, my Twitter's not good up right now, either.
[02:00:29.204 --> 02:00:35.231]  They're asking me to take down five of my last tweets, saying, admit that these were... I was about to say, I bet they ban you there next.
[02:00:35.231 --> 02:00:38.595]  Yeah, well, I'm locked up, and I'm really having a problem.
[02:00:38.595 --> 02:00:41.278]  Like Don Jr., he's got a live show at Donner's Press Conference.
[02:00:41.698 --> 02:00:42.879]  Unbelievable, right?
[02:00:42.879 --> 02:00:46.923]  Doctors speaking in front, like, out in open space, with credentials.
[02:00:46.923 --> 02:00:47.343]  In America!
[02:00:47.343 --> 02:00:48.564]  In America!
[02:00:48.564 --> 02:00:50.887]  So, go to highwirethehighwire.com.
[02:00:50.887 --> 02:00:51.207]  Yeah.
[02:00:51.207 --> 02:00:52.328]  And I don't just tell listeners this.
[02:00:52.328 --> 02:00:53.109]  You know how key it is?
[02:00:53.109 --> 02:00:57.272]  Like, people come up to me all over the street and they go, I used to love you, I wish you were still on air again.
[02:00:57.272 --> 02:00:58.854]  I'm like, I'm on 200 radio stations.
[02:00:58.854 --> 02:00:59.114]  Yeah.
[02:00:59.114 --> 02:01:00.655]  I got Infowars.com and Bandai Video.
[02:01:00.655 --> 02:01:03.598]  And they're like, oh, yeah, actually, yeah, see?
[02:01:03.598 --> 02:01:05.140]  There's things outside Twitter and Facebook.
[02:01:05.140 --> 02:01:06.601]  But, we gotta get people ready for that.
[02:01:06.741 --> 02:01:07.101]  We do.
[02:01:07.101 --> 02:01:11.144]  We've got to start making people migrate or helping them migrate.
[02:01:11.144 --> 02:01:16.587]  I'm hoping that there's more, you know, social media platforms that start being built by people that don't believe in censorship.
[02:01:16.587 --> 02:01:19.429]  Maybe aren't in it just for the cash cow and control.
[02:01:19.429 --> 02:01:20.250]  Because that's what happens.
[02:01:20.250 --> 02:01:25.333]  As soon as you bring in sponsors and as soon as you have outside input, then it starts changing everything you believe in.
[02:01:25.333 --> 02:01:27.414]  This is a true story.
[02:01:27.414 --> 02:01:28.155]  Five years ago,
[02:01:30.421 --> 02:01:41.275]  They had, and I had decided on a disclosure, so I'm not going to get into all of it, but they had Facebook's major representative reach out, and they go, listen, we just want you to come to New York, meet with some people, and we want you to kind of work with us.
[02:01:41.275 --> 02:01:43.978]  They said, watch what happens when you do your next live feed.
[02:01:43.978 --> 02:01:45.260]  I was getting like 200,000, 300,000 feeds on Facebook.
[02:01:45.260 --> 02:01:46.882]  It was like 5 million in one minute.
[02:01:49.676 --> 02:01:51.839]  And they're like, you like that?
[02:01:51.839 --> 02:01:53.360]  But then I still came out and attacked.
[02:01:53.360 --> 02:01:57.905]  So imagine that currency they've got to buy people with that fame.
[02:01:57.905 --> 02:01:58.947]  Yeah, I mean, that's the thing.
[02:01:58.947 --> 02:02:00.989]  And a lot of people are vulnerable to that.
[02:02:00.989 --> 02:02:03.832]  To me, I'm all about the truth.
[02:02:03.832 --> 02:02:07.416]  What does it matter if there's five million viewers and you're saying BS?
[02:02:07.416 --> 02:02:07.757]  Right.
[02:02:07.757 --> 02:02:08.017]  That's it.
[02:02:08.217 --> 02:02:08.997]  That it's worthless!
[02:02:08.997 --> 02:02:13.080]  That's what I was doing in television in many ways, and that's why I'm really excited with my show.
[02:02:13.080 --> 02:02:15.781]  I brought over two of the producers I worked with on CBS.
[02:02:15.781 --> 02:02:18.922]  One is my executive producer, another one I sent out in the field.
[02:02:18.922 --> 02:02:20.383]  We're all living a dream, right?
[02:02:20.383 --> 02:02:24.705]  We're doing what we could never do in television, you know, in the internet space.
[02:02:24.705 --> 02:02:30.228]  But still, folks, even in old line television, all these producers, all these executives, everything you write's being looked at.
[02:02:30.228 --> 02:02:30.508]  Yeah.
[02:02:30.508 --> 02:02:31.729]  What's it like to be your own self now?
[02:02:31.989 --> 02:02:33.690]  I can't tell you how exciting it is.
[02:02:33.690 --> 02:02:41.176]  And I have to say, getting cut free of YouTube, I think in some ways we felt like that was a shackle that we didn't realize how much we were paying attention to.
[02:02:41.176 --> 02:02:42.397]  And so now we're really free.
[02:02:42.397 --> 02:02:44.239]  Now they're really in trouble.
[02:02:44.239 --> 02:02:45.860]  Now I can say whatever I want.
[02:02:45.860 --> 02:02:47.341]  I'm not ever worried.
[02:02:47.341 --> 02:02:49.243]  You do seem even more energized.
[02:02:49.243 --> 02:02:50.504]  I am energized, man.
[02:02:50.504 --> 02:02:51.385]  I am pumped up.
[02:02:53.086 --> 02:02:55.487]  And the reason is- Nothing like somebody punching the nose!
[02:02:55.487 --> 02:03:03.369]  I think, well, and especially when you're looking at what's just punching the nose, and they just got lucky, and they're dizzy, and you realize, oh my god, I'm about to knock this dude out!
[02:03:03.369 --> 02:03:07.750]  You know, I've got this, I got a little stinger, but oh my god, I've got him on the ropes!
[02:03:07.750 --> 02:03:18.694]  I think that this establishment, this dark control of people, this cabal between Silicon Valley and Pharma, I think it's on its last legs.
[02:03:18.694 --> 02:03:19.794]  They are so- No, I agree!
[02:03:20.034 --> 02:03:21.514]  You were a confident, smart guy.
[02:03:21.514 --> 02:03:23.835]  You were already happy with life, but now you've found your purpose.
[02:03:23.835 --> 02:03:24.055]  I have.
[02:03:24.055 --> 02:03:25.195]  You're actually facing down evil now.
[02:03:25.195 --> 02:03:25.815]  That's right.
[02:03:25.815 --> 02:03:26.595]  That's what people don't get.
[02:03:26.595 --> 02:03:28.215]  They think like fighting evil is this bad thing.
[02:03:28.215 --> 02:03:29.496]  It's energizing.
[02:03:29.496 --> 02:03:31.536]  Like the perception opens up, the discernment.
[02:03:31.536 --> 02:03:32.236]  What is it like?
[02:03:32.236 --> 02:03:32.996]  Have you experienced that?
[02:03:32.996 --> 02:03:35.097]  Like all of a sudden your brain works better?
[02:03:35.097 --> 02:03:36.137]  It's incredible.
[02:03:36.137 --> 02:03:38.217]  In fact, that's what this whole experience has been.
[02:03:38.217 --> 02:03:40.397]  I never really thought of myself as that smart a person.
[02:03:40.397 --> 02:03:42.638]  You know, I did okay in school.
[02:03:42.638 --> 02:03:44.818]  I got through, but now everything sticks.
[02:03:44.818 --> 02:03:49.319]  The medical points and the names and the things, it just flows through you and you realize
[02:03:49.719 --> 02:03:50.639]  Man, I've been in the zone.
[02:03:50.639 --> 02:03:54.541]  I feel like I've been in the zone for about four years since Bax came out.
[02:03:54.541 --> 02:03:57.002]  That's what people don't get.
[02:03:57.002 --> 02:03:59.043]  They persecute me and they go, I've been Valhalla!
[02:04:04.258 --> 02:04:04.618]  I know.
[02:04:04.618 --> 02:04:08.601]  It's like, the worse it gets, the closer I, it's like, it's incredible.
[02:04:08.601 --> 02:04:10.802]  Yeah, they say, well, thank you for your sacrifice.
[02:04:10.802 --> 02:04:11.722]  Sacrifice?
[02:04:11.722 --> 02:04:13.403]  I'm having the best time of my life.
[02:04:13.403 --> 02:04:18.226]  I could only wish what my life feels like right now upon everybody out there.
[02:04:18.226 --> 02:04:20.827]  To actually find your purpose, to wake up in the morning.
[02:04:20.827 --> 02:04:21.808]  I used to sleep in like noon.
[02:04:21.808 --> 02:04:23.449]  Well, you're standing next to the exterminator of the race.
[02:04:23.649 --> 02:04:24.149]  Well that's it.
[02:04:24.149 --> 02:04:26.910]  So your very genetics are saying, good job, you know, big tree.
[02:04:26.910 --> 02:04:27.310]  That's right.
[02:04:27.310 --> 02:04:29.851]  Your very ancestors are like, yes!
[02:04:29.851 --> 02:04:30.671]  Yes, I feel it.
[02:04:30.671 --> 02:04:32.392]  You can feel it coming through us, right?
[02:04:32.392 --> 02:04:37.393]  And I think many of us alive right now, I think there's a reason we're here right now.
[02:04:37.393 --> 02:04:39.814]  I think that that DNA is flowing through us.
[02:04:39.814 --> 02:04:41.714]  We are being called upon.
[02:04:41.714 --> 02:04:42.855]  Stop hiding from it.
[02:04:42.855 --> 02:04:43.515]  That's why you're in
[02:04:43.615 --> 02:04:45.315]  Give in to your ancestors.
[02:04:45.315 --> 02:04:46.236]  That's it.
[02:04:46.236 --> 02:04:50.057]  Give in to your, you know, your inevitability.
[02:04:50.057 --> 02:04:52.317]  You have a purpose on this planet.
[02:04:52.317 --> 02:04:54.818]  And if you lock in with that, man, you're wired.
[02:04:54.818 --> 02:04:57.419]  There's nothing that can shut you down.
[02:04:57.419 --> 02:05:01.820]  Isn't it like your whole life, it's women, money, power, none of it does it.
[02:05:01.820 --> 02:05:09.202]  When you click in the genetic force of the future, it's like, it's like, I want everybody to have this feeling.
[02:05:09.841 --> 02:05:14.563]  You're explaining it as well as I've been trying to get it across to people.
[02:05:14.563 --> 02:05:16.324]  There's also something else that happened.
[02:05:16.324 --> 02:05:18.225]  It was stepping into Vax.
[02:05:18.225 --> 02:05:21.186]  I knew I was destroying everything I'd built.
[02:05:21.186 --> 02:05:23.407]  All your contacts, all your money.
[02:05:23.407 --> 02:05:25.088]  Everything was going to go away.
[02:05:25.088 --> 02:05:26.149]  And it was that plunge.
[02:05:26.789 --> 02:05:27.069]  He's
[02:05:42.086 --> 02:05:45.869]  I'm in the instant moment, and it's like somebody else is moving my feet.
[02:05:45.869 --> 02:05:48.671]  Somebody else is speaking the words.
[02:05:48.671 --> 02:05:52.114]  I'm just here as a vessel, and I have to tell you, at that moment, you're fearless.
[02:05:52.114 --> 02:05:53.635]  There's nothing that can stop you.
[02:05:53.635 --> 02:05:58.379]  Every day is a celebration of life, and I don't care how long I'm on this planet.
[02:05:58.379 --> 02:06:03.863]  I just want to know that I get to experience it the way I'm experiencing it now, as long as God willing.
