[00:00:00.130 --> 00:00:00.394]  Shut up.
[01:57:49.091 --> 01:57:50.092]  I literally read like
[01:57:51.089 --> 01:57:53.050]  Fifteen articles last night, about 20 today.
[01:57:53.050 --> 01:57:55.250]  Got a huge stack of daily planet articles right here.
[01:57:55.250 --> 01:57:59.631]  We're going to look at different angles of this, and we're going to get his take.
[01:57:59.631 --> 01:58:02.132]  How do you think Trump did?
[01:58:02.132 --> 01:58:05.033]  And we're also going to get his view on what he thinks should happen in the next debates.
[01:58:05.033 --> 01:58:07.114]  But here's my view.
[01:58:07.114 --> 01:58:08.294]  We're going to break right now for 60 seconds.
[01:58:08.294 --> 01:58:10.274]  Come back to Jim Hoff.
[01:58:10.274 --> 01:58:10.795]  Telemundo, 66%.
[01:58:12.694 --> 01:58:14.015]  They had a CNN focus group.
[01:58:14.015 --> 01:58:17.217]  Only one lady out of a group of people thought Biden won.
[01:58:17.217 --> 01:58:18.358]  Clearly he won.
[01:58:18.358 --> 01:58:21.980]  A lot of people are pissed that he didn't attack enough.
[01:58:21.980 --> 01:58:28.624]  Well, you try having Chris Wallace attached to your leg, interrupting you constantly, and Joe Biden stumbling around.
[01:58:28.624 --> 01:58:30.925]  So Trump is the man in the arena.
[01:58:31.874 --> 01:58:32.494]  We salute him.
[01:58:32.494 --> 01:58:34.276]  We're very, very excited.
[01:58:34.276 --> 01:58:39.099]  And the biggest tell that Trump won, hands down, is the Democrats don't want any more debates now.
[01:58:39.099 --> 01:58:39.880]  Aha!
[01:58:39.880 --> 01:58:42.002]  We'll be right back with Jim Hoppe at GatewayPundit.com.
[01:58:42.002 --> 01:58:47.366]  Stay with us.
[01:58:47.366 --> 01:58:56.873]  And perhaps most cruelly of all, if Donald Trump has his way, the complications from COVID-19, which are well beyond
[01:58:58.852 --> 01:59:21.447]  Right after Joe Biden made that statement that more than 60% of America has died from COVID-19, when it's not even 200,000 in reality, he went on to say 6 million have lung scarring and heart damage.
[01:59:21.447 --> 01:59:22.547]  It's all made up.
[01:59:22.547 --> 01:59:23.368]  But you know where he got it?
[01:59:23.368 --> 01:59:26.530]  The mainstream media that continues to actually say things like that.
[01:59:26.530 --> 01:59:27.631]  They said that 4%
[01:59:28.691 --> 01:59:31.394]  80% of America would be dead already.
[01:59:31.394 --> 01:59:36.419]  Of course it's .0000 and then add a number because the numbers vary.
[01:59:36.419 --> 01:59:41.023]  It's a real virus just like people being struck by lightning is real.
[01:59:41.023 --> 01:59:46.028]  But to shut down society over lightning strikes is hysteria and is mind control.
[02:00:02.231 --> 02:00:06.171]  If you are receiving this transmission, you are the resistance.
[02:00:25.720 --> 02:00:27.281]  Well, he is a hard guy to get on.
[02:00:27.281 --> 02:00:28.282]  We really appreciate his work.
[02:00:28.282 --> 02:00:28.882]  He's Jim Hoff.
[02:00:28.882 --> 02:00:30.363]  I'm Alex Jones, your host.
[02:00:30.363 --> 02:00:33.605]  He's with us for two segments, and we're going to go back to your calls and a bunch of news.
[02:00:33.605 --> 02:00:36.347]  Jim Hoff has had great coverage over at GatewayPunta.com.
[02:00:36.347 --> 02:00:39.069]  We covered the event live last night, the debate.
[02:00:39.069 --> 02:00:44.693]  Wow, to see Trump having to debate two people, to see him interrupting five times more.
[02:00:45.633 --> 02:00:47.254]  But still, Trump clearly won.
[02:00:47.254 --> 02:00:50.677]  We would have liked to see Trump able to get a word in edgewise.
[02:00:50.677 --> 02:00:54.420]  Jim Hoff, you're an astute fellow, and then also canvassing the internet.
[02:00:54.420 --> 02:00:57.582]  What do you think the biggest takeaway is from what we saw?
[02:00:57.582 --> 02:01:00.544]  This hugely anticipated presidential debate.
[02:01:00.544 --> 02:01:02.666]  I know the most anticipated in my lifetime.
[02:01:02.666 --> 02:01:07.049]  I mean, I guess Kennedy versus Nixon, you know, in 1960 might have been as big.
[02:01:07.049 --> 02:01:07.610]  This was huge.
[02:01:09.741 --> 02:01:14.363]  Yeah, I think Trump did pretty well, all things considered.
[02:01:14.363 --> 02:01:17.024]  I was disgusted with Chris Wallace.
[02:01:17.024 --> 02:01:18.985]  His behavior was just atrocious.
[02:01:18.985 --> 02:01:26.828]  I've never seen a debate moderator that biased, and truly he threw himself in the ring and that was disgusting.
[02:01:26.828 --> 02:01:29.288]  I'm one of the people that will never watch that guy again.
[02:01:29.288 --> 02:01:32.270]  I didn't really watch him much anyway, to tell you the truth, Alex.
[02:01:32.270 --> 02:01:36.571]  I've known he's a never-Trumper since 2015, and I haven't watched his show since then.
[02:01:39.025 --> 02:01:40.486]  This was his moment.
[02:01:40.486 --> 02:01:44.370]  And what's interesting is I think Trump accomplished one thing.
[02:01:44.370 --> 02:01:47.834]  He wanted to expose Joe Biden.
[02:01:47.834 --> 02:01:49.936]  And he absolutely did that.
[02:01:50.792 --> 02:01:53.055]  Joe Biden looked unhinged.
[02:01:53.055 --> 02:01:54.776]  He looked flustered.
[02:01:54.776 --> 02:01:57.239]  He was mean.
[02:01:57.239 --> 02:02:03.365]  His name-calling was, you know, certainly not presidential.
[02:02:03.365 --> 02:02:06.128]  And he also looked, you know, disheveled.
[02:02:06.128 --> 02:02:11.534]  Well, let's say he looks like a crazy old man that shoots the kids that he catches in the pumpkin patch.
[02:02:12.768 --> 02:02:13.088]  Right.
[02:02:13.088 --> 02:02:15.370]  And that's, I think, what Trump's goal was, obviously.
[02:02:15.370 --> 02:02:18.292]  I think the other big takeaway was this morning.
[02:02:18.292 --> 02:02:19.773]  I wasn't sure how things went.
[02:02:19.773 --> 02:02:28.320]  And then we saw, of course, as you mentioned, the poll from the Hispanic poll, which was amazing.
[02:02:28.320 --> 02:02:32.003]  And then this morning, when I saw all of these Democrats
[02:02:32.443 --> 02:02:36.584]  And I put up a list of a few of them who are like, ah, this should be the last debate.
[02:02:36.584 --> 02:02:37.905]  We don't need any more debates.
[02:02:37.905 --> 02:02:39.225]  Yeah, this is, this is really bad.
[02:02:39.225 --> 02:02:40.226]  We don't need debates.
[02:02:40.226 --> 02:02:42.206]  Alex, that tells you everything you need to know.
[02:02:42.206 --> 02:02:43.927]  Trump accomplished what he needed to do.
[02:02:43.927 --> 02:02:49.049]  And I think for your viewers too, Alex, and I know you remember this, but Trump's first debate against Hillary.
[02:02:49.589 --> 02:02:51.251]  He was pretty much milked toast.
[02:02:51.251 --> 02:02:56.758]  It wasn't until the second and third debates that he really, you know, came on strong and did exceptional.
[02:02:56.758 --> 02:03:04.608]  That's what I said at the start of the broadcast is Trump's a late bloomer and he kind of 50-50 first debate destroyed her second and third debate.
[02:03:04.608 --> 02:03:05.669]  I think the Democrats know that.
[02:03:05.669 --> 02:03:06.611]  That's why they don't want more debates.
[02:03:07.981 --> 02:03:09.102]  Absolutely.
[02:03:09.102 --> 02:03:15.527]  And Joe Biden was exposed and good for Trump because he was asking Joe Biden the only hard questions.
[02:03:15.527 --> 02:03:16.808]  Chris Wallace refused to.
[02:03:16.808 --> 02:03:30.298]  And in fact, we saw Chris Wallace interrupt President Trump when he was trying to get some answers from Joe Biden about what he plans for this country, which of course, as you've been reporting, as we've been reporting at Gateway Pundit, this guy is dangerous.
[02:03:30.298 --> 02:03:32.960]  This Democrat Party is out of their minds.
[02:03:33.641 --> 02:03:35.563]  I like how you did an article on
[02:03:55.390 --> 02:03:58.133]  What do you think the biggest zinger or zingers of the night were?
[02:04:13.615 --> 02:04:15.736]  Because again, Chris Wallace wouldn't do this.
[02:04:15.736 --> 02:04:21.759]  But when he asked Joe Biden, so name a police force or a police union that supports you.
[02:04:21.759 --> 02:04:22.420]  And he couldn't.
[02:04:22.420 --> 02:04:23.220]  Of course he couldn't.
[02:04:23.220 --> 02:04:27.482]  Because he's not, you know, he's for the Antifa mob.
[02:04:27.482 --> 02:04:28.503]  He's not for the police.
[02:04:28.943 --> 02:04:31.564]  So that was one zinger.
[02:04:31.564 --> 02:04:36.446]  And then Joe Biden stepping all over himself with the Green New Deal.
[02:04:36.446 --> 02:04:37.826]  He's trying to have it both ways.
[02:04:37.826 --> 02:04:38.786]  It just doesn't work out.
[02:04:38.786 --> 02:04:43.108]  He's not smart enough to come across.
[02:04:43.108 --> 02:04:44.889]  So I thought that was pretty important.
[02:04:44.889 --> 02:04:45.829]  The other thing too is
[02:04:46.569 --> 02:04:54.292]  He was asked a question about why he didn't call the Portland mayor or the Oregon governor and he said, well, I'm not in office.
[02:04:54.292 --> 02:05:00.835]  And I think that was just a huge mistake for him because it shows you this guy isn't up for the job, you know?
[02:05:00.835 --> 02:05:03.836]  So I think those are some some moments, some key moments last night.
[02:05:03.836 --> 02:05:07.017]  I totally agree with you.
[02:05:07.017 --> 02:05:10.559]  And of course, when you're when you're the nominee, that is an office you're running.
[02:05:11.721 --> 02:05:27.205]  For the highest office in the land, you've been in government 47 years, the country's on fire, and to cop out, and to go, oh, well, I don't get involved in that, when he knows that he's collecting the money from Black Lives Matter, he knows Soros is running this, was very transparent.
[02:05:27.205 --> 02:05:37.588]  Right, and also, he had time to meet with Jacob Blake, the rapist in Minnesota, but he couldn't call the Portland mayor.
[02:05:37.588 --> 02:05:38.868]  So, you know, there you have it.
[02:05:41.348 --> 02:05:44.211]  What do you think Trump missed out and didn't do?
[02:05:44.211 --> 02:05:46.993]  I would have just said, hey, you want to take the guns.
[02:05:46.993 --> 02:05:50.536]  You guys are the ones that totally shut this country down.
[02:05:50.536 --> 02:05:51.837]  You're the ones that don't want to reopen.
[02:05:51.837 --> 02:05:52.418]  You're the enemy.
[02:05:52.418 --> 02:05:53.459]  The people want prosperity.
[02:05:53.459 --> 02:05:54.220]  Vote for me.
[02:05:54.220 --> 02:05:58.844]  I didn't like how they didn't get to have, you know, opening statements and their own little time to say something.
[02:05:58.844 --> 02:06:00.465]  I think this wasn't really a debate.
[02:06:00.465 --> 02:06:04.669]  I think it was two guys ganging up on the president.
[02:06:04.669 --> 02:06:05.370]  I agree with you 100%.
[02:06:07.290 --> 02:06:09.413]  I think, you know, it's interesting too.
[02:06:09.413 --> 02:06:16.303]  You know, Trump was just nominated for his third Nobel Peace Prize the day of the debate.
[02:06:16.303 --> 02:06:17.365]  None of this came up.
[02:06:17.365 --> 02:06:18.447]  None of his foreign policy.
[02:06:18.447 --> 02:06:21.131]  I know that they'll probably talk about this later is what they say.
[02:06:21.901 --> 02:06:24.443]  Trump didn't get to talk much about the economy.
[02:06:24.443 --> 02:06:27.826]  Joe Biden lied about the economy.
[02:06:27.826 --> 02:06:32.589]  So there was a lot of gaps that can be covered in the next two debates.
[02:06:32.589 --> 02:06:32.970]  Well, that's it.
[02:06:32.970 --> 02:06:37.113]  He should just say, because we had like a few minutes to just say, hey, I want to bring America back.
[02:06:37.113 --> 02:06:37.893]  I want to bring us together.
[02:06:37.893 --> 02:06:38.594]  I'm a populist.
[02:06:38.594 --> 02:06:39.595]  I'm a classic American.
[02:06:39.995 --> 02:06:41.576]  I want to get us out of these useless wars.
[02:06:41.576 --> 02:06:42.557]  We've been doing it.
[02:06:42.557 --> 02:06:44.599]  I'm all about fulfilling my promises.
[02:06:44.599 --> 02:06:46.941]  Please vote for me and just humanize himself.
[02:06:46.941 --> 02:06:56.429]  Because he won the debate, but they were able though, he got some good shots in, but they were just able to filibuster and blockade and change the subject.
[02:06:59.412 --> 02:07:04.115]  Megyn Kelly was destroyed by her moderation of the debate four years ago.
[02:07:04.115 --> 02:07:05.016]  That ended her career.
[02:07:05.016 --> 02:07:05.216]  Right.
[02:07:05.216 --> 02:07:07.438]  And I think Chris Wallace just ended his career.
[02:07:07.438 --> 02:07:11.741]  It's great to have CNN fawning after you and the New York Times saying how you're a great guy.
[02:07:11.741 --> 02:07:14.843]  I mean, that's not where America is.
[02:07:14.843 --> 02:07:15.443]  Right.
[02:07:15.443 --> 02:07:16.504]  I 100% agree.
[02:07:16.504 --> 02:07:19.046]  And I think he also exposed Fox News.
[02:07:19.046 --> 02:07:23.729]  We know, Alex, that there are some shows there that we love, some personalities we love.
[02:07:23.729 --> 02:07:26.932]  But the channel has really changed in the last four or five years.
[02:07:26.932 --> 02:07:28.813]  Maybe it's that Paul Ryan is on the board.
[02:07:29.398 --> 02:07:38.123]  Um, but it certainly doesn't have the flavor of, uh, you know, uh, and even the panel they put on every time I point this out at every debate is horrible.
[02:07:38.123 --> 02:07:40.064]  They got these never Trumpers sitting on a panel.
[02:07:40.064 --> 02:07:40.765]  It's disgusting.
[02:07:40.765 --> 02:07:45.568]  And then most of the time now, even the supposed Patriot, the pro Trump person is softball.
[02:07:45.568 --> 02:07:46.348]  They're weak.
[02:07:46.348 --> 02:07:47.629]  They lose on purpose.
[02:07:47.629 --> 02:07:54.253]  You can tell they've already pre-debated before and they're just letting Juan Williams and them win debates that are so easy to win.
[02:07:55.593 --> 02:07:56.094]  It's awful.
[02:07:56.094 --> 02:07:57.875]  Who wants to listen to Juan Williams?
[02:07:57.875 --> 02:08:01.398]  What Fox viewer tunes in to listen to Juan Williams?
[02:08:01.398 --> 02:08:03.159]  I just think it's outrageous.
[02:08:03.159 --> 02:08:14.008]  And then they have Donna Brazile on, of all people, who fed Hillary Clinton the questions in debates four years ago, and she's an expert now talking about last night's debate.
[02:08:14.008 --> 02:08:14.549]  Exactly!
[02:08:14.549 --> 02:08:17.271]  That's like hiring somebody that's been caught
[02:08:19.227 --> 02:08:22.449]  Scamming, gambling in a football game or something.
[02:08:22.449 --> 02:08:29.854]  You know, a famous baseball player who's been caught rigging games and now you're going to bring him on as like the referee to stop any gambling.
[02:08:29.854 --> 02:08:30.495]  Right.
[02:08:30.495 --> 02:08:31.816]  Yeah, it wasn't going to happen.
[02:08:31.816 --> 02:08:41.903]  And of course, you know, I don't know if they even thought of that when they invited her on the panel, but I certainly, it was the first thing I thought of when I saw her sitting there last night.
[02:08:43.086 --> 02:08:55.255]  Yeah, anyway, I think it was, as you can see, and I can see, and your viewers see, it was an outstanding night for Trump, and we know that because of the way the media is reacting today.
[02:08:55.255 --> 02:08:56.335]  I agree.
[02:08:56.335 --> 02:09:02.960]  You know, I've seen, nothing against these folks, but some of the Twitter conservatives saying Trump did a horrible job, and then Twitter pushing that as a trend.
[02:09:02.960 --> 02:09:10.065]  I mean, look, it's easy to get Twitter to promote you if you say negative things about the President, even from a loyal opposition perspective, and I just don't think that's accurate.
[02:09:12.457 --> 02:09:14.478]  I agree with you, Alex.
[02:09:14.478 --> 02:09:24.404]  Again, he exposed Joe Biden to be an ornery old man who just doesn't belong in the White House, doesn't have any ambition.
[02:09:24.404 --> 02:09:27.906]  And it's even surprising that Joe got out of bed today.
[02:09:27.906 --> 02:09:30.107]  I think a lot of people are that he didn't call a lid.
[02:09:30.627 --> 02:09:33.649]  Because this was a, you know, this took a lot out of him.
[02:09:33.649 --> 02:09:34.650]  I've got some bad news for you.
[02:09:34.650 --> 02:09:35.450]  I've got some really bad news.
[02:09:35.450 --> 02:09:36.171]  And I've got some good news.
[02:09:50.287 --> 02:09:58.550]  The bad news is, even if Trump gets re-elected, they're going to still trigger attempts at martial law, medical lockdowns, race riots, and a depression.
[02:09:58.550 --> 02:09:59.390]  That's the globalists.
[02:09:59.390 --> 02:10:01.510]  They're trying to bring America to our knees.
[02:10:01.510 --> 02:10:16.155]  Now, if Trump doesn't get elected, they're still planning to bring us to our knees and really try to break our will and bring us into a super intense depression, total control, and like Australia's already doing, rounding up and arresting people that criticize what the left are doing.
[02:10:16.835 --> 02:10:17.895]  That's the really bad news.
[02:10:17.895 --> 02:10:25.438]  The good news is, this has triggered people out of their sleep all over the world, and the resistance is mounting, and the globalists are panicking.
[02:10:25.438 --> 02:10:29.620]  So, bottom line, we're in the fight, we're starting to win, but it's serious.
[02:10:29.620 --> 02:10:32.101]  So, pray to God for a global awakening.
[02:10:32.101 --> 02:10:35.742]  Support InfoWars, spread the word, and buy products at InfoWarsStore.com.
[02:10:35.742 --> 02:10:39.764]  Literally, we're having an emergency keep InfoWars sale happening right now.
[02:10:39.764 --> 02:10:41.825]  Please visit InfoWarsStore and keep us on air.
[02:10:41.825 --> 02:10:42.325]  Thanks so much.
[02:10:45.444 --> 02:10:49.728]  The way the psychological warfare operation works is very, very simple.
[02:10:49.728 --> 02:10:58.355]  They give you freedoms by increments, always promising it's only going to be a short period of time, and then the restrictions will be released.
[02:10:58.355 --> 02:10:59.937]  But they're not.
[02:10:59.937 --> 02:11:08.404]  After a significant amount of time, always four or five times longer than what they said, they will then slightly release it a little bit, only tighten it down even more later.
[02:11:08.404 --> 02:11:10.987]  This is called successive approximation.
[02:11:11.827 --> 02:11:14.348]  Incrementalism or the inchworm effect.
[02:11:14.348 --> 02:11:17.849]  This is the most common way that totalitarians take over.
[02:11:17.849 --> 02:11:21.511]  But there then becomes a point where the public wakes up.
[02:11:21.511 --> 02:11:26.813]  Under the incrementalism, it starts resisting and then there's usually a giant purge and a clampdown.
[02:11:26.813 --> 02:11:31.955]  And you'll see more tyranny rolled out in just a few days, weeks, or months than you saw in the previous 10 years.
[02:11:32.635 --> 02:11:35.738]  And that's the period we're in globally right now.
[02:11:35.738 --> 02:11:48.510]  A world government, Chai Com-backed, globalist corporate takeover of the planet that wants you poor and absolutely sick under their thumb forever.
[02:11:48.510 --> 02:11:51.113]  You're listening to the Alex Jones Show.
[02:12:03.775 --> 02:12:06.175]  Welcome back, I'm Alex Jones coming to you from deep in the heart of Texas.
[02:12:06.175 --> 02:12:12.257]  Jim Hoft of TheGatewayPundit.com, which has been a great site for many years, was very influential in the White House.
[02:12:12.257 --> 02:12:15.137]  I know it's one of the publications that the President watches.
[02:12:15.137 --> 02:12:20.898]  I know that some of his key team are still, you know, Patriots still have his ear.
[02:12:20.898 --> 02:12:26.639]  Watch it because it's up to the minute, and we're just so glad to have it there as an asset for America and the world and all our families.
[02:12:26.639 --> 02:12:29.140]  And so I'm just hoping that Jim Hoft, who's been all over this, can
[02:12:30.100 --> 02:12:36.403]  Formulate a plan or help us formulate a plan here on air to counter the 79 days of hell, as I'm calling it.
[02:12:36.403 --> 02:12:37.583]  We're 33 off from the election.
[02:12:37.583 --> 02:12:38.844]  Everybody thinks, oh, that's it.
[02:12:38.844 --> 02:12:39.424]  It'll be over.
[02:12:39.424 --> 02:12:40.084]  No.
[02:12:40.084 --> 02:12:40.925]  The deep state has said.
[02:12:42.298 --> 02:12:43.119]  We're going to hold it up.
[02:12:43.119 --> 02:12:44.621]  We're going to use the 20th Amendment.
[02:12:44.621 --> 02:12:47.584]  Pelosi will then have a vote on who the new president is.
[02:12:47.584 --> 02:12:51.129]  And they say, but as it says in war games, New York Times, they're doing this.
[02:12:51.129 --> 02:12:54.032]  And then Trump's like, oh, it looks like mail-in ballots can be fraudulent.
[02:12:54.032 --> 02:12:56.215]  Oh, look, Ilhan Omar got busted.
[02:12:56.215 --> 02:12:57.196]  That's only part of it.
[02:12:57.196 --> 02:13:00.099]  It's holding up the election so that he doesn't get
[02:13:00.860 --> 02:13:07.762]  Seated at the inauguration is their admitted plan, and we're sitting here like a deer in the headlights watching this rapidly approach us.
[02:13:07.762 --> 02:13:17.386]  So watch Chris Wallace last night, it's a short clip, where he tries to pin Trump down that, oh, we're going to contest, the Democrats are, but if you contest their contesting and say you won,
[02:13:18.186 --> 02:13:21.768]  Zuckerberg, all of them, they're not going to let the President say it.
[02:13:21.768 --> 02:13:28.231]  They're going to implement, if you think censorship's been draconian, they're saying tens of millions of users will be blocked starting Election Day.
[02:13:28.231 --> 02:13:31.973]  Already Facebook's curtailing Tucker Carlson, putting him on shadow ban.
[02:13:31.973 --> 02:13:33.414]  So, it's here.
[02:13:33.414 --> 02:13:37.476]  And Trump's biggest failure is inaction on the censorship and the racketeering.
[02:13:37.476 --> 02:13:40.958]  And that's where he should be taken to the woodshed, and he may lose the election because of it.
[02:13:40.958 --> 02:13:42.419]  Here's the clip, we'll get Jim Hoff's take.
[02:13:43.854 --> 02:13:59.069]  Will you urge your supporters to stay calm during this extended period, not to engage in any civil unrest, and will you pledge tonight that you will not declare victory until the election has been independently certified?
[02:13:59.710 --> 02:14:00.891]  President Trump, you go first.
[02:14:00.891 --> 02:14:07.377]  I'm urging my supporters to go into the polls and watch very carefully because that's what has to happen.
[02:14:07.377 --> 02:14:08.818]  I am urging them to do it.
[02:14:08.818 --> 02:14:14.803]  Okay, and then he just goes on to say they're engaged in Democrat fraud at the election level and voter fraud.
[02:14:14.803 --> 02:14:16.445]  So, Jim, obviously we have a big audience.
[02:14:16.445 --> 02:14:17.746]  You've got a big audience.
[02:14:17.746 --> 02:14:19.247]  The audience knows what's going on.
[02:14:19.247 --> 02:14:21.469]  The audience of one, I think, is the most important.
[02:14:21.469 --> 02:14:23.431]  How do we get Trump to not just talk about
[02:14:24.514 --> 02:14:28.198]  Obvious voter fraud, election fraud, mail-in ballots, 80 million of them.
[02:14:28.198 --> 02:14:31.701]  The Democrats admit, Democrat courts ruling they can hold it off.
[02:14:31.701 --> 02:14:33.163]  They admit that's their plan.
[02:14:33.163 --> 02:14:39.228]  I think he just needs to front and center attack their plan so people know what's coming to get folks ready.
[02:14:39.228 --> 02:14:40.089]  You're a smart guy.
[02:14:40.089 --> 02:14:41.170]  You have the President's ear.
[02:14:41.170 --> 02:14:42.091]  I'm sure you know that.
[02:14:42.091 --> 02:14:43.693]  They really like you a lot.
[02:14:43.693 --> 02:14:44.654]  They listen to you.
[02:14:44.654 --> 02:14:45.895]  What does Trump need to do?
[02:14:45.895 --> 02:14:47.757]  Because I quite frankly don't know what to do.
[02:14:49.298 --> 02:14:51.940]  Well, I agree with you, Alex.
[02:14:51.940 --> 02:14:54.642]  Censorship was a big failing on this administration.
[02:14:54.642 --> 02:14:58.446]  They should have took, you know, control of this years ago.
[02:14:58.446 --> 02:15:07.033]  In fact, in March of 2018, the former Trump campaign manager, Brad Parscale, wrote to Facebook on Twitter and said that we're watching you.
[02:15:07.033 --> 02:15:09.234]  Well, he never did anything.
[02:15:09.234 --> 02:15:11.857]  And now Brad Parscale is out of the picture.
[02:15:11.857 --> 02:15:13.278]  We're monitoring the situation.
[02:15:14.372 --> 02:15:24.616]  Right, and from what happened to you Alex, it's just unimaginable in this country what they've done to you and your organization.
[02:15:24.616 --> 02:15:34.559]  They've also hit us tremendously at Gateway Pundit, and like I've mentioned several times, a third of our traffic used to come from Facebook, now it's down to about 8%.
[02:15:36.360 --> 02:15:39.302]  You know, so we don't rely on it as much anymore.
[02:15:39.302 --> 02:15:47.266]  But it's tragic and I wish the administration would have known and would have acted on this sooner because this is going to be a big problem.
[02:15:47.266 --> 02:15:51.628]  I hope he takes care of this in his second term.
[02:15:51.628 --> 02:15:54.129]  The other thing is this voter fraud.
[02:15:54.129 --> 02:16:04.635]  After last week we wrote on Gateway Pundit, there were several stories about how Michigan and Pennsylvania and Wisconsin and then North Carolina were moving these
[02:16:05.779 --> 02:16:13.006]  These courts were moving to push extended voting periods and ballot harvesting.
[02:16:13.006 --> 02:16:14.427]  It's all the battleground states.
[02:16:14.427 --> 02:16:15.989]  They're going to hold it up, Jim.
[02:16:15.989 --> 02:16:17.030]  I know you know this.
[02:16:17.030 --> 02:16:21.974]  They're officially saying they're going to hold it up and then Pelosi is going to vote on who the president is.
[02:16:21.974 --> 02:16:24.036]  I mean, what does Trump do about this?
[02:16:25.077 --> 02:16:25.457]  Right.
[02:16:25.457 --> 02:16:27.319]  Well, I was very upset about this.
[02:16:27.319 --> 02:16:32.864]  I did reach out to the Trump campaign and I was able to get a few answers.
[02:16:32.864 --> 02:16:41.211]  And what is a little bit of hope here is that I do see that they are starting to press back against these courts.
[02:16:41.753 --> 02:16:53.537]  In these different states, they're having some success already, but this has to continue and it has to be taken care of before the election.
[02:16:53.537 --> 02:17:09.343]  I think there's a congressman out there we wrote about yesterday who also has a legislation where he's saying that the ballots need to be turned in and counted within 24 hours of election day, which would be on November 4th.
[02:17:09.343 --> 02:17:10.263]  They need to be counted.
[02:17:10.703 --> 02:17:12.584]  And I think that's being responsible.
[02:17:12.584 --> 02:17:24.392]  I don't think Americans want to have this dragged out process where Democrats are finding stacks of ballots in the trunks of cars and things like that.
[02:17:24.392 --> 02:17:27.314]  I think most Americans want to have law and order.
[02:17:27.314 --> 02:17:28.494]  I think you're right.
[02:17:28.494 --> 02:17:30.195]  Trump needs to push this.
[02:17:30.195 --> 02:17:32.557]  His campaign needs to push this harder.
[02:17:32.557 --> 02:17:35.839]  But I do see that they're starting to take some steps.
[02:17:35.839 --> 02:17:37.740]  And they sent me some information on that.
[02:17:37.740 --> 02:17:39.141]  They actually have a website up.
[02:17:39.521 --> 02:17:40.602]  I don't remember it right now.
[02:17:40.602 --> 02:17:43.003]  Sure, to report fraud if you see it.
[02:17:43.003 --> 02:17:49.365]  I'm just saying, it's good to expose the fraud, but they're going to use holding it off as the confusion, as the crisis.
[02:17:49.365 --> 02:17:53.847]  We need to get the Supreme Court ready to act, which is why this new nominee is so important.
[02:17:55.149 --> 02:17:57.490]  Absolutely, yeah, that has to be taken care of.
[02:17:57.490 --> 02:18:11.994]  I see Lindsey Graham is doing the first committee vote on the 15th, and of course the Senate isn't even scheduled to meet during this period because they're out for the election period until past November.
[02:18:11.994 --> 02:18:14.234]  I think you should call them back.
[02:18:14.234 --> 02:18:16.215]  Absolutely, they'll have to, and they need to get this
[02:18:18.128 --> 02:18:21.531]  This wonderful judge confirmed... Jim Hoff, last question.
[02:18:21.531 --> 02:18:30.919]  You were at the very front, and this is one of the few areas where I thought it was a scam, a Chai Com scam to shut things down, to win the trade war, to shut down Hong Kong that was starting to get away from them.
[02:18:30.919 --> 02:18:34.543]  But I was still like, oh, it could be deadly, looks like they're exaggerating, looks like it's fake.
[02:18:34.543 --> 02:18:39.367]  You were up front, your brother, a great scientist, the scientist you had on as writers.
[02:18:39.367 --> 02:18:44.531]  You've been totally vindicated about COVID, but now we're just inside this, now they've got lockdown too.
[02:18:44.531 --> 02:18:46.313]  Your comments on this whole situation.
[02:18:47.743 --> 02:18:49.165]  I think it's outrageous.
[02:18:49.165 --> 02:18:51.168]  We were right.
[02:18:51.168 --> 02:18:54.232]  Also, Alex, we reported last week that the U.S.
[02:18:54.232 --> 02:18:58.477]  is using different counting methods to make it look like we have 200,000 deaths, as you said.
[02:18:58.477 --> 02:19:06.387]  If we'd used counting methods like several countries, we'd have half as many deaths, which would make it a bad flu season.
[02:19:07.388 --> 02:19:09.249]  Those are the numbers that we're seeing.
[02:19:09.249 --> 02:19:12.291]  Of course, we're not going to hear that from our mainstream media.
[02:19:12.291 --> 02:19:16.174]  And I just don't think Americans are going to go for another round of this shutdown.
[02:19:16.174 --> 02:19:18.496]  I don't think the economy can handle it.
[02:19:18.496 --> 02:19:20.878]  And I certainly know that Donald Trump won't go for that.
[02:19:21.897 --> 02:19:23.538]  I agree with you.
[02:19:23.538 --> 02:19:25.598]  What else do you think the President can do?
[02:19:25.598 --> 02:19:29.800]  Because I know this show gets to him, what you say gets to him, and he's more and more isolated.
[02:19:29.800 --> 02:19:31.641]  There's only a few people that are around him.
[02:19:31.641 --> 02:19:37.183]  In 60 seconds, Jim Hobbs, what else do you want to impart to President Trump?
[02:19:38.615 --> 02:19:43.316]  Yeah, I think it was important last night that he showed the difference between him and Joe Biden.
[02:19:43.316 --> 02:19:44.457]  Trump's a fighter.
[02:19:44.457 --> 02:19:46.257]  That's why we love him.
[02:19:46.257 --> 02:19:47.058]  That's why you love him.
[02:19:47.058 --> 02:19:50.139]  That's why I love him because he doesn't take the crap.
[02:19:50.139 --> 02:19:52.779]  He throws it right back in people's faces.
[02:19:52.779 --> 02:20:01.682]  And I think there's going to be a big push from the people around him to tell him to calm down, tell him to be respectful and to act presidential.
[02:20:01.682 --> 02:20:03.903]  Well, they only say this to Donald Trump.
[02:20:03.903 --> 02:20:06.924]  They never say this to anyone he's on stage with.
