[00:00:05.304 --> 00:00:06.506]  I don't know.
[02:13:18.603 --> 02:13:20.485]  The audience tripled in one week.
[02:13:20.705 --> 02:13:21.706]  I was like, money just went...
[02:13:23.632 --> 02:13:26.194]  Because the military was all listening and buying everything.
[02:13:26.514 --> 02:13:32.237]  And that's again, these globalists are like, literally have had like five heart transplants and don't even know what planet they're on.
[02:13:32.597 --> 02:13:35.619]  And the people under them are like, sir, let's do this.
[02:13:36.320 --> 02:13:40.822]  It's like, it's like Dr. Kornbluth, remember the splash?
[02:13:41.183 --> 02:13:43.664]  And his assistants go, let's pee down his air hose.
[02:13:45.385 --> 02:13:51.149]  I'm sorry, but I'm just saying there's that, there's that Tyler Durgan,
[02:13:52.492 --> 02:13:58.914]  Or however you say it, fight club thing, that there's not just evil in the world, and people don't like the globalists.
[02:13:59.234 --> 02:14:07.216]  That's why they want computers in, to control what you do, so you're a robot and follow computer's orders, so you don't have discretion in your life, so they can get away with all this.
[02:14:07.276 --> 02:14:14.578]  But, look, we're not out of the woods, I'm not even saying we're winning, but we've just begun to fight, and we are kicking ass, brother.
[02:14:15.479 --> 02:14:17.159]  Hobbs, I appreciate your call, I gotta move on here.
[02:14:17.179 --> 02:14:19.560]  I get a lot of calls saying, who's up next here?
[02:14:20.698 --> 02:14:22.840]  That would be John in Florida.
[02:14:22.860 --> 02:14:24.281]  John, thanks for holding her on the air.
[02:14:25.742 --> 02:14:26.062]  Hello?
[02:14:26.703 --> 02:14:27.403]  Yes, sir!
[02:14:28.344 --> 02:14:35.109]  As one of the great prophets once said it, the world is filled with kings and queens that will blind your eyes and steal your dreams.
[02:14:35.189 --> 02:14:41.033]  And thank God that we got you, Mike Adams, and the rest of the crew protecting all of us out here, brother.
[02:14:41.073 --> 02:14:44.176]  We gotta come in with that Black Sabbath tune now.
[02:14:45.136 --> 02:14:45.737]  Slow down!
[02:14:45.897 --> 02:14:46.337]  Slow down!
[02:14:46.377 --> 02:14:46.878]  Don't play it!
[02:14:46.978 --> 02:14:49.740]  Hey, listen, brother, I just gotta say what nobody else is saying, alright?
[02:14:51.101 --> 02:14:54.424]  In my heart, my gut feeling, you said follow your gut feeling?
[02:14:54.904 --> 02:14:55.725]  Dude, 100%.
[02:14:55.925 --> 02:14:58.787]  This is retaliation for taking out Soleimani.
[02:14:59.468 --> 02:15:10.136]  One way or the other, whether or not we took him out and they did it... No, he killed the fake globalist Al Qaeda network and Trump's pulling out all these wars and this is a Chai Com attack right now.
[02:15:10.857 --> 02:15:14.780]  Dude, whatever it is, people need to pray, protect themselves,
[02:15:15.763 --> 02:15:19.506]  Love one another and understand in this world there's only two kind of people.
[02:15:19.906 --> 02:15:21.407]  Good people and bad people.
[02:15:22.028 --> 02:15:23.149]  That's all there is, brother.
[02:15:23.409 --> 02:15:24.169]  I love you, Alex.
[02:15:24.210 --> 02:15:25.330]  God bless you and everybody there.
[02:15:25.350 --> 02:15:25.851]  But don't hang up, John.
[02:15:25.871 --> 02:15:34.617]  I'm gonna come back because you can take something like the name of a band, Black Sabbath, and then some songs are evil, some songs are actually very Christian about God comes back, destroys the devil.
[02:15:34.637 --> 02:15:37.019]  I mean, listen to some of those Ozzy songs, the early ones.
[02:15:37.059 --> 02:15:39.101]  It's like he had said later, I'm actually a Christian.
[02:15:39.141 --> 02:15:40.822]  I was told the record company's gonna be a Satanist for money.
[02:15:41.303 --> 02:15:42.203]  And I know people that know Ozzy.
[02:15:42.223 --> 02:15:43.584]  That's actually, I'm not defending Ozzy.
[02:15:43.604 --> 02:15:43.985]  The point is,
[02:15:44.665 --> 02:15:48.308]  But if you listen to Rodney James Dio's Black Sabbath, we're going to play the song when we come back.
[02:15:48.328 --> 02:15:48.828]  You're part of it.
[02:15:49.168 --> 02:15:50.749]  The world is full of kings and queens.
[02:15:50.970 --> 02:15:52.491]  Blind your eyes and steal your dreams.
[02:15:52.871 --> 02:15:53.571]  It's heaven and hell.
[02:15:53.972 --> 02:15:55.633]  And they'll tell you black is really white.
[02:15:55.693 --> 02:15:57.054]  The moon is just the sun at night.
[02:15:57.354 --> 02:15:59.956]  It's a key passage we're going to play when we come back of your phone calls.
[02:16:03.001 --> 02:16:23.746]  InfoWars, our guest, our researchers have been dead on in the last six weeks chronicling the coronavirus and its trajectory to create hysteria and fear to then be blamed on President Trump and our national recovery as well as other nationalist patriot leaders around the world.
[02:16:24.466 --> 02:16:27.811]  We first broke that it was a man-made virus, now confirmed.
[02:16:28.091 --> 02:16:31.336]  We first broke that China was pressuring the U.N.
[02:16:31.376 --> 02:16:34.861]  and Trump to let their people keep flying into the U.S.
[02:16:35.262 --> 02:16:40.349]  while telling South Korea, Japan, and Russia to close their borders and not let people in.
[02:16:41.090 --> 02:16:57.119]  China purposely launched this, incubated it in their own population, used it as a geopolitical economic reset over their economy and as a way to oppress the Taiwanese rebellion and a mainland rebellion that was taking place.
[02:16:57.519 --> 02:17:01.161]  They had all the means and the motive and the will to do it.
[02:17:01.701 --> 02:17:06.006]  They're the country that killed over 400 million of their own children, most of them girls.
[02:17:06.546 --> 02:17:11.051]  Mao Zedong said they wanted a nuclear war to reduce their population.
[02:17:11.431 --> 02:17:13.714]  So they have used their people as incubators.
[02:17:14.755 --> 02:17:15.856]  That's collateral damage.
[02:17:15.936 --> 02:17:19.360]  With this virus they bought on record from Obama in 2015.
[02:17:19.480 --> 02:17:22.483]  It was a big scandal and they have released it.
[02:17:22.604 --> 02:17:23.444]  It does kill.
[02:17:24.790 --> 02:17:29.192]  A large percentage of people compared to the flu that kills less than one-tenth of one percent.
[02:17:29.512 --> 02:17:32.593]  The high number's two percent, the low number's maybe half a percent.
[02:17:32.713 --> 02:17:34.634]  It's still very, very serious.
[02:17:34.714 --> 02:17:50.721]  But the whole response to it, and the media hyping it like the end of the world, and then blaming Trump, saying he's done nothing, when that very same media a month ago said he'd better keep our borders open and keep those flights from Asia coming in, doesn't square up.
[02:17:51.181 --> 02:17:55.785]  But we were able to predict that they would do exactly this.
[02:17:56.465 --> 02:17:57.967]  So some listeners get confused.
[02:17:57.987 --> 02:17:59.368]  They say, is it a total hoax?
[02:18:00.048 --> 02:18:01.169]  Or is it completely real?
[02:18:01.569 --> 02:18:03.131]  The virus is clearly man-made.
[02:18:03.251 --> 02:18:04.292]  It kills people.
[02:18:04.312 --> 02:18:05.553]  People should be worried about it.
[02:18:06.093 --> 02:18:07.914]  But the idea that Trump's done nothing...
[02:18:08.795 --> 02:18:34.062]  And the idea that we're going to totally shut down all of society, that's being used to create a crisis to kill the economy, which Bill Maher and the Democrats on CNN and MSNBC have been salivating over for the last three years, saying if they could crash the economy and even hurt their own 401ks, it would be worth it to bring down President Trump and this nationalist takeover.
[02:18:34.442 --> 02:18:35.182]  Because in a war
[02:18:35.802 --> 02:18:43.826]  You hit your enemy with artillery, you destroy them, even though you're going to be taking that area over, it's something you're willing to do so you can conquer.
[02:18:44.286 --> 02:18:46.667]  And this is economic and psychological war.
[02:18:47.107 --> 02:18:49.048]  So President Trump has a balancing act.
[02:18:50.336 --> 02:18:58.300]  He's now got a deal with of preparing for it, dealing with it, finding out how serious it really is without destroying the economy and collapsing the U.S.
[02:18:58.340 --> 02:18:59.881]  dollar, which is the globalist plan.
[02:19:00.441 --> 02:19:02.402]  This is the move against America.
[02:19:02.762 --> 02:19:06.584]  This is the third wave of the globalists trying to remove the president.
[02:19:06.844 --> 02:19:11.026]  And it began instantly after the fake impeachment failed.
[02:19:11.347 --> 02:19:12.607]  Roosevelt, when the U.S.
[02:19:12.727 --> 02:19:15.569]  entered World War II after Pearl Harbor, said something that was very true.
[02:19:16.369 --> 02:19:20.351]  The only thing we have to fear is fear itself and lack of action.
[02:19:20.931 --> 02:19:30.375]  Well now, in 2020, the only thing you need to fear is you not understanding that you are the solution, you are the resistance, you are the victory.
[02:19:30.835 --> 02:19:43.260]  And the only fear is that you don't spread the word about InfoWars.com and the live feeds and override the censors and that you don't get prepared and get high quality products that boost your immune system at lower prices right now during the crisis at InfoWarsStore.com.
[02:19:43.720 --> 02:19:54.065]  We're all in this together, so let's spread the word, let's fund the InfoWar, let's pray to God, and let's take action, and let the Chi-Coms and the globalists know we're aware of their plot, and they're gonna fail again!
[02:19:55.405 --> 02:19:58.046]  Man.Video!
[02:20:04.789 --> 02:20:10.712]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[02:20:20.011 --> 02:20:22.853]  Exposing the globalist plan from the inside.
[02:20:22.933 --> 02:20:26.016]  It's heaven and hell with Rodney James Dio.
[02:20:26.956 --> 02:20:29.218]  Here it is, warding off the devil.
[02:20:29.238 --> 02:20:30.439]  Listen to it.
[02:20:30.479 --> 02:20:34.122]  Everything is the opposite of what you've been told.
[02:20:34.182 --> 02:20:39.886]  When you find the devil, you'll see those fake creatures.
[02:20:39.906 --> 02:20:43.028]  You'll see those Democrats telling you they're going to empower you.
[02:20:50.316 --> 02:21:00.531]  And they'll tell you black is really white.
[02:21:23.424 --> 02:21:24.005]  Alright, up with that.
[02:21:24.025 --> 02:21:26.627]  Look for the answer.
[02:21:26.647 --> 02:21:29.290]  The answer.
[02:21:30.071 --> 02:21:30.411]  The truth.
[02:21:32.033 --> 02:21:37.959]  Alright, John in Florida, you brought that up.
[02:21:38.019 --> 02:21:38.559]  You got it.
[02:21:38.660 --> 02:21:40.001]  You just got what you wanted right there.
[02:21:40.021 --> 02:21:43.785]  Ronnie, Ronnie is smiling at you from the grave.
[02:21:44.005 --> 02:21:45.687]  Ronnie is helping us all, brother.
[02:21:45.907 --> 02:21:46.588]  I love you, Alex.
[02:21:47.426 --> 02:21:48.487]  So, uh, what's your point?
[02:21:48.507 --> 02:21:53.292]  You're making some great points on the virus and wound on and where this, I mean, this is admittedly a weapon.
[02:21:53.372 --> 02:21:58.438]  It's admittedly an attack on America and all the Democrats, everybody rooting for the country to go down.
[02:21:58.458 --> 02:22:01.081]  It's like it should be over.
[02:22:01.121 --> 02:22:02.342]  They're not even a party anymore.
[02:22:02.382 --> 02:22:03.944]  When you do that, it's like ridiculous.
[02:22:04.204 --> 02:22:14.454]  Imagine if I went on air and went, I hope this virus destroys America and screw everybody, I hope everybody loses their 401ks, I hope we go bankrupt, and I hate America's existence!
[02:22:14.774 --> 02:22:16.756]  That's what Democrats openly say.
[02:22:17.056 --> 02:22:18.758]  How do they get away with it, John?
[02:22:19.798 --> 02:22:21.139]  They don't get away with it, brother.
[02:22:21.179 --> 02:22:22.420]  That's why we got Patriots.
[02:22:22.460 --> 02:22:26.002]  That's why we got you guys waking us all up and keeping us safe.
[02:22:26.183 --> 02:22:27.383]  You guys are heroes, too.
[02:22:27.684 --> 02:22:29.605]  My household, you guys are heroes.
[02:22:29.745 --> 02:22:31.326]  God bless every single one of you.
[02:22:31.466 --> 02:22:32.967]  In my household, you're heroes, man.
[02:22:33.007 --> 02:22:34.388]  We're all just defending ourselves.
[02:22:35.809 --> 02:22:38.391]  Dude, it's crazy times we're living in.
[02:22:38.511 --> 02:22:40.813]  Everybody needs to love a little more.
[02:22:41.353 --> 02:22:42.134]  Peace a little more.
[02:22:42.154 --> 02:22:44.535]  I mean, this is craziness what's going on.
[02:22:44.555 --> 02:22:45.116]  This is like
[02:22:45.891 --> 02:22:48.294]  The real deal is finally unfolding.
[02:22:48.734 --> 02:22:50.797]  And, you know, love each other, man.
[02:22:50.837 --> 02:22:51.758]  Don't hate each other.
[02:22:51.798 --> 02:22:52.439]  Love each other.
[02:22:52.519 --> 02:22:52.960]  No, I agree.
[02:22:52.980 --> 02:22:55.102]  When I go to the store and stuff, there's just so much hate.
[02:22:55.643 --> 02:22:58.847]  And that's why now I just decided to, like, just try to be as loving as I can.
[02:22:58.887 --> 02:23:00.929]  But I try to be nice to check out people.
[02:23:00.989 --> 02:23:01.910]  I give people tips.
[02:23:02.711 --> 02:23:02.911]  Hey Alex!
[02:23:31.734 --> 02:23:32.114]  Yes, sir.
[02:23:32.315 --> 02:23:33.035]  Good afternoon.
[02:23:33.735 --> 02:23:36.337]  Been standing with you a long time, about 20 years.
[02:23:36.417 --> 02:23:39.478]  Brother, you've been standing me up, and not in a bad way.
[02:23:39.518 --> 02:23:41.499]  I mean, you've literally been holding us up.
[02:23:41.980 --> 02:23:43.600]  Without you, I wouldn't be here.
[02:23:43.640 --> 02:23:44.341]  So thank you, brother.
[02:23:44.421 --> 02:23:45.942]  And thanks for keeping me in the fight.
[02:23:46.222 --> 02:23:51.104]  I want to tell the listeners every day, just every day, I just go, I want to keep me in the fight.
[02:23:51.684 --> 02:23:53.625]  So thank you for keeping me in the fight, Steve.
[02:23:54.866 --> 02:23:55.586]  Thank you, brother.
[02:23:55.687 --> 02:23:57.848]  Also, I have four quick bullet points.
[02:23:57.948 --> 02:24:00.009]  But before I go into those, I would like to
[02:24:00.854 --> 02:24:01.935]  Plug some of your products.
[02:24:02.056 --> 02:24:08.063]  I have the Alexa Pure Gravity Fed Water Filter, the Alexa Pure Breathe.
[02:24:08.143 --> 02:24:09.525]  Great products right now.
[02:24:09.965 --> 02:24:11.387]  Paramount to have these items.
[02:24:12.128 --> 02:24:19.377]  Also, Survival Shield X2, Carnivore, and your Gut Fusion.
[02:24:20.584 --> 02:24:24.748]  I've had some gut issues and these products have cleared that right up.
[02:24:24.888 --> 02:24:27.191]  So I wanted to make sure I got that out.
[02:24:27.211 --> 02:24:31.576]  Let me just say this, Steve, because it's hard to talk about things like this on air, even if you're confident.
[02:24:32.016 --> 02:24:33.318]  Like, I'm confident you're confident.
[02:24:33.338 --> 02:24:34.279]  I don't like to talk about it.
[02:24:36.041 --> 02:24:37.141]  I've taken all our products.
[02:24:37.161 --> 02:24:37.962]  They're all revolutionary.
[02:24:37.982 --> 02:24:38.882]  They're all game-changing.
[02:24:38.982 --> 02:24:41.403]  And it's been sold out for a while.
[02:24:41.463 --> 02:24:42.504]  It's back in next week.
[02:24:43.144 --> 02:24:43.364]  A.T.
[02:24:43.384 --> 02:24:44.564]  Wheeler actually arrives tomorrow.
[02:24:45.305 --> 02:24:48.986]  But it is the natural defense and other products.
[02:24:49.747 --> 02:24:53.028]  All of these, the gut is the engine of the whole body.
[02:24:54.529 --> 02:24:58.733]  And, you know, the heart is the fuel pump, but the gut is where you get all the energy.
[02:24:59.553 --> 02:25:04.878]  And I knew all this stuff, and I read the research, but I never really actually took all of it.
[02:25:05.378 --> 02:25:07.720]  And man, people go, like, Jones, you don't look great.
[02:25:07.760 --> 02:25:08.721]  You look a lot better than you used to.
[02:25:08.761 --> 02:25:09.281]  What the hell?
[02:25:09.301 --> 02:25:10.182]  Your skin's glowing.
[02:25:10.462 --> 02:25:12.564]  You know, I mean, I look like a gorilla.
[02:25:13.225 --> 02:25:16.487]  And it's all because I take the products, and they just work.
[02:25:16.787 --> 02:25:19.730]  And people take them, and they go, I can't believe this works so well.
[02:25:19.770 --> 02:25:22.272]  Yeah, these are all missing link products.
[02:25:22.312 --> 02:25:22.933]  Sorry, I'm ranting.
[02:25:24.076 --> 02:25:27.438]  Yeah, they've been instrumental in my recovery.
[02:25:27.578 --> 02:25:31.600]  I have rheumatoid arthritis and I got some neuropathy issues.
[02:25:31.980 --> 02:25:33.381]  Also, DNA force, it helps.
[02:25:33.942 --> 02:25:37.203]  It's helped a lot with my neuropathy issues in my gut.
[02:25:37.243 --> 02:25:44.047]  So moving forward, I want to get to these points because I don't want to take too much time away from the other callers here.
[02:25:44.508 --> 02:25:52.332]  Okay, we have Trump draining the swamp in his last quarter of his first term here.
[02:25:52.890 --> 02:25:55.951]  So we've seen him turning up the heat.
[02:25:56.311 --> 02:26:06.015]  And mind you, I started warning people about three and a half months ago, start buying water filters, start buying non-perishable food items, because my intuition was going off, my radar was going off.
[02:26:06.675 --> 02:26:13.738]  So you have Trump draining the swamp, and then you have Hillary and Comey and these other buffoons that are
[02:26:15.103 --> 02:26:17.145]  On paper, guilty of treason.
[02:26:17.205 --> 02:26:18.546]  I mean, they're chargeable at any time.
[02:26:18.606 --> 02:26:20.468]  And we said, will they set a nuke off?
[02:26:20.508 --> 02:26:21.509]  Will they launch a war?
[02:26:21.549 --> 02:26:22.650]  Will they launch a bioweapon?
[02:26:22.890 --> 02:26:26.293]  They launched a bioweapon that Obama transferred five years ago to Xi Jinping!
[02:26:27.094 --> 02:26:30.597]  Exactly, and that's what's going to lead into my second bullet point, okay?
[02:26:30.637 --> 02:26:37.003]  Let's look into all those mass rounds of ammunition the Alphabet Agency bought.
[02:26:37.323 --> 02:26:39.365]  I think it was around the same time, okay?
[02:26:39.405 --> 02:26:41.547]  So what I see happen there is
[02:26:42.014 --> 02:26:50.241]  They went forward with a plan that was probably hatched at the Bilderberg meeting before that, and then sent that coronavirus to China.
[02:26:50.261 --> 02:26:57.487]  The Alphabet Agency started buying up the night vision and the billions of rounds of hollow point ammunition.
[02:26:58.167 --> 02:27:08.196]  And I've also been saying for years that the only way that they're going to be able to take our firearms is release some kind of a bioweapon that makes us afraid to congregate with the
[02:27:09.002 --> 02:27:16.546]  That's exactly right, but the good news is the average cop, and I don't lionize them, is that they got some bad ones, but the average military person or police officer is not bad.
[02:27:17.006 --> 02:27:18.047]  And so that's why the globals have a problem.
[02:27:18.087 --> 02:27:26.931]  That's why they want to go to drones, that's why they want to use bioweapons to lock us down, and it's why they want to be able to send people in at night to just wipe your house out, like special forces would do.
[02:27:26.971 --> 02:27:30.713]  They say you're a terrorist, they just, they just laws rocket or grenade your house.
[02:27:31.133 --> 02:27:34.295]  Well, they hunt us during the night, we hunt them during the day.
[02:27:34.995 --> 02:27:38.677]  So, you know, we don't want to hunt anybody.
[02:27:38.837 --> 02:27:40.017]  We don't want this civil war.
[02:27:40.518 --> 02:27:43.559]  And we don't hunt the police, and we don't hunt the military in a civil war.
[02:27:43.859 --> 02:27:50.923]  We go around them, if we ever get to that point, to the kingpins, who are in the deck of cards, who are running the show, and we know who they are.
[02:27:51.303 --> 02:27:57.866]  And it'll be their own security people in New Zealand, and in Hawaii, and in Montana, and in Canada,
[02:27:59.318 --> 02:28:02.581]  That I can just tell you, there's no conspiracy, I'm not in some meeting with people.
[02:28:03.061 --> 02:28:07.425]  They all are ready for when the globalists try to take America down.
[02:28:07.785 --> 02:28:11.228]  The first thing these globalists are going to get is garroted.
[02:28:11.288 --> 02:28:15.231]  They're all going to get a wire wrapped around their neck and they're going to get killed in about 15 seconds.
[02:28:15.711 --> 02:28:18.293]  And I'm not, and the globalists know I don't just say stuff, okay?
[02:28:18.573 --> 02:28:20.515]  You're all dead, okay?
[02:28:21.115 --> 02:28:22.436]  So go ahead and fill your hand.
[02:28:23.177 --> 02:28:24.859]  Go ahead and play your game.
[02:28:25.119 --> 02:28:25.779]  You're dead.
[02:28:26.100 --> 02:28:27.261]  I'm dead too, but it's fine.
[02:28:27.421 --> 02:28:27.781]  Let's go.
[02:28:28.362 --> 02:28:31.004]  So, they know how it is, and they're losing.
[02:28:31.264 --> 02:28:34.928]  So they want to use a creepy virus to scare us all, so it's not people.
[02:28:35.148 --> 02:28:36.429]  But everybody knows what's happened.
[02:28:36.649 --> 02:28:44.216]  So if their virus is successful, all these globalists, not by my hand, I can just tell you, the people know who you are.
[02:28:44.577 --> 02:28:45.458]  They're sick of you.
[02:28:46.485 --> 02:28:49.327]  And they're going to break your neck.
[02:28:49.847 --> 02:28:54.790]  So get ready, they can't wait to wrap their hands around your dishonorable neck.
[02:28:55.650 --> 02:28:56.351]  Thank you, Steve.
[02:28:56.871 --> 02:29:00.973]  Bunch of calls straight ahead and Paul Joseph Watson takes over from Britannia.
[02:29:19.591 --> 02:29:21.633]  Nathaniel in North Carolina.
[02:29:21.893 --> 02:29:27.117]  I agree with you, the coronavirus could be the new 9-11.
[02:29:27.858 --> 02:29:28.378]  What do you think?
[02:29:28.478 --> 02:29:32.341]  Well, God bless you, Alex, and it's great to chat with you.
[02:29:32.821 --> 02:29:42.269]  You know, you've often said that your gut, you know, points you in the right direction, and typically it knows best, and I just want to share what's in my gut.
[02:29:43.012 --> 02:29:52.679]  And this kind of feels to me like a global, slow-motion 9-11 event across multiple nations, obviously.
[02:29:53.319 --> 02:29:56.842]  But it seems that when really wicked things happen,
[02:29:57.552 --> 02:30:05.778]  That it involves a perfect storm, where multiple large agendas are served by the large power blocks.
[02:30:05.938 --> 02:30:09.660]  That's right, the planets have to align, all the globalist bodies have to agree upon it.
[02:30:09.700 --> 02:30:16.245]  You know, you look back at just recent history, you know, when JFK got his head blown off, multiple agendas were served.
[02:30:16.445 --> 02:30:20.628]  When 9-11 happened in 2001, multiple agendas were served.
[02:30:20.808 --> 02:30:23.410]  And this has that feeling of it, and it stinks.
[02:30:23.610 --> 02:30:24.871]  So I want, that's all my gut is
[02:30:24.991 --> 02:30:25.791]  That's what they're telling me right now.
[02:30:25.811 --> 02:30:29.353]  There's a lot we don't know, but there's a lot we know about what's going on right now.
[02:30:29.653 --> 02:30:40.897]  And the key is that it is a man-made bioweapon, they've confirmed it, and that it reinfects with different aspects, like a Swiss Army knife, or like HIV, which it has the same delivery device, it keeps coming back.
[02:30:40.917 --> 02:30:42.158]  That's what's so deadly.
[02:30:42.498 --> 02:30:44.959]  Who knows what it does in phase 3, phase 4, phase 5?
[02:30:45.399 --> 02:30:46.099]  Precisely.
[02:30:46.259 --> 02:30:50.341]  And, you know, whether it was, you know, leaked, or whether it escaped,
[02:30:50.641 --> 02:31:00.628]  You know, ultimately, hopefully, we'll understand that, we'll know that, but it's almost irrelevant because at this point, it will be utilized, just going down the punch list of agendas.
[02:31:00.648 --> 02:31:14.957]  No, you're right, but you go back six weeks ago, before this was even news, I had this idea, I said, a man in an astronaut's outfit, I saw the images, and yes, the Earth uninhabitable for humans, and I said, this is the future, and weeks later, that was what was, but it wasn't weeks later, it was already going on.
[02:31:15.157 --> 02:31:15.697]  It's your gut.
[02:31:15.758 --> 02:31:16.978]  It's the basic instinct.
[02:31:17.159 --> 02:31:20.881]  And, you know, a lot of folks are starting to get that awareness.
[02:31:21.161 --> 02:31:22.723]  And, you know, I'll just make the analogy.
[02:31:22.763 --> 02:31:28.447]  It's kind of crude, but it almost feels like the first tower just got hit and the fireball was still up in the air.
[02:31:28.747 --> 02:31:29.628]  Exactly.
[02:31:29.708 --> 02:31:32.930]  And we're all just tuning in now to see the second tower.
[02:31:33.391 --> 02:31:35.852]  And then we're going to watch them collapse in the other towers.
[02:31:36.253 --> 02:31:38.034]  And then the response that comes after.
[02:31:38.214 --> 02:31:43.017]  And it's going to play out over months and potentially over the next one to two years or even more.
[02:31:43.157 --> 02:31:47.460]  But agendas, this has the potential to serve a lot of wicked agendas.
[02:31:47.960 --> 02:31:51.382]  And you just can't discount some of the things that are happening right now.
[02:31:51.562 --> 02:31:55.885]  Zero Hedge has linked to an article by a fellow named Professor Anthony Hall.
[02:31:56.005 --> 02:31:57.166]  I don't know his politics.
[02:31:57.286 --> 02:31:58.667]  I want Professor Anthony Hall on.
[02:31:58.687 --> 02:31:59.707]  I think he might be on tomorrow.
[02:31:59.767 --> 02:32:00.568]  Yeah, we really want him on.
[02:32:00.828 --> 02:32:02.028]  I scanned the article.
[02:32:02.069 --> 02:32:09.331]  I didn't do a deep dive on it, but you know, he raises a lot of interesting questions and has some powerful info in there.
[02:32:09.491 --> 02:32:14.273]  I don't know much about his background, but we need to be asking the tough questions.
[02:32:14.393 --> 02:32:19.355]  We can't be cowed, and we have to be brave, and we have to be resilient.
[02:32:19.475 --> 02:32:25.077]  You know, you've often said, and many folks have said at its core, we're involved in a spiritual battle right now.
[02:32:25.457 --> 02:32:46.412]  And we need to pray to Almighty God in the name of Jesus Christ, not only for his shield of protection, but that God might bring his mighty sword of justice into this world, and to bind up and cast out into the fiery pit of abject failure all those wicked, sick, degenerate, evil entities that are looking to bring death, doom, destruction, and despair to humanity.
[02:32:46.472 --> 02:32:51.996]  The United States of America is the beacon of free humanity, and that's what this country is all about.
[02:32:52.056 --> 02:32:52.416]  That's right.
[02:32:52.436 --> 02:32:54.396]  Make no mistake, this is the globalist attack.
[02:32:54.436 --> 02:32:55.337]  Nathan, amazing.
[02:32:55.377 --> 02:32:56.017]  God bless you.
[02:33:04.519 --> 02:33:10.400]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[02:33:25.444 --> 02:33:30.587]  He aligns himself with the truth, and it's time for you to choose a side.
[02:33:31.087 --> 02:33:37.551]  You're listening to Alex Jones.
[02:33:38.271 --> 02:33:42.193]  Chase the Patriot, from California, you're on the air.
[02:33:42.894 --> 02:33:48.457]  Everybody's talking about the virus, because it's definitely a big, giant, hyped event, whether it's real or not, whether it's super deadly or not.
[02:33:48.817 --> 02:33:49.717]  This is gonna be crazy.
[02:33:49.757 --> 02:33:50.698]  What do you think's about to happen?
[02:33:52.011 --> 02:33:57.976]  Yeah, you know, obviously it's the real thing, but what the response is, that's the angles I've been trying to research.
[02:33:58.016 --> 02:33:59.958]  And there's a couple of questions I have.
[02:33:59.978 --> 02:34:07.964]  You know, one is the fact that over and over I see a trend that this may be the last straw that breaks the camel's back towards cash.
[02:34:08.345 --> 02:34:17.172]  There's been a war on cash, on physical money for years, and now because of people so fearful of handshakes, any kind of exchange,
[02:34:17.748 --> 02:34:27.274]  This may be, and you see a trend in the news where they're saying Bitcoin is a way to invest because people trying to get their money out of China have to put it in the digital currency.
[02:34:27.614 --> 02:34:36.599]  You see that central banks, they're all going to meet in emergency meetings because they're saying they have an emergency they have to handle together in a global way.
[02:34:36.959 --> 02:34:44.564]  And then finally, you see they're actually quarantining the money that's coming from China, the physical money that's coming back into the United States.
[02:34:44.624 --> 02:34:47.005]  And so I see this trend of an attack on money.
[02:34:47.461 --> 02:34:49.202]  And here's one thing, I've got a question though, Alex.
[02:34:49.702 --> 02:34:55.805]  A lot of my callers, they've been calling in and they're asking about the Smith-Muntz Modernization Act.
[02:34:56.245 --> 02:35:01.968]  And when President Obama was allowing the propaganda to be put into just the general public.
[02:35:02.308 --> 02:35:04.149]  And now we see such a paranoia.
[02:35:04.449 --> 02:35:05.429]  People are confused.
[02:35:05.769 --> 02:35:07.850]  Nobody knows what to believe or where to look.
[02:35:08.270 --> 02:35:16.134]  And I really think that this is maybe that crisis that they're trying to use in the confusion to take away our rights for that tyrannical one-world government.
[02:35:16.454 --> 02:35:16.734]  I don't know.
[02:35:16.774 --> 02:35:17.615]  What do you think about that?
[02:35:17.635 --> 02:35:19.377]  Do you know anything about the Smith-Muntz Act?
[02:35:19.677 --> 02:35:26.323]  Sure, and ten years ago Obama got it legalized for the CIA to engage in propaganda domestically.
[02:35:26.403 --> 02:35:27.264]  It's just a shame.
[02:35:27.284 --> 02:35:30.587]  And again, I'm not defending the CIA when I say this.
[02:35:30.647 --> 02:35:32.449]  The CIA is just a government agency.
[02:35:33.009 --> 02:35:33.870]  It's like a glove.
[02:35:36.434 --> 02:35:41.556]  It's the globalist interests that are involved in the corporations and in the media and the CIA.
[02:35:41.856 --> 02:35:42.796]  It's the globalists.
[02:35:43.016 --> 02:35:44.257]  It's the New World Order people.
[02:35:45.137 --> 02:35:46.918]  They're the ones that are involved in all this.
[02:35:47.338 --> 02:35:47.798]  God bless you.
[02:35:47.818 --> 02:35:48.778]  I appreciate your call, Chase.
[02:35:48.798 --> 02:35:49.939]  You always bring up amazing points.
[02:35:50.679 --> 02:35:53.260]  Okay, let's go ahead now and take another call.
[02:35:55.040 --> 02:35:56.921]  Let's go to Robert in North Carolina.
[02:35:57.181 --> 02:35:57.461]  Welcome.
[02:35:59.682 --> 02:36:00.182]  Hey, Alex.
[02:36:00.342 --> 02:36:02.083]  Thanks for having me on.
[02:36:02.103 --> 02:36:05.784]  Hey, there's two things that I think us as Americans really need to do.
