[00:00:08.916 --> 00:00:11.279]  No, he's corrupt.
[01:43:47.441 --> 01:43:58.048]  And that is Grinnell has to ask Dorsey, isn't it amazing for the past 15 years, you've been considered the bachelor of the year.
[01:43:58.048 --> 01:44:00.389]  What does that really mean, Dorsey?
[01:44:00.970 --> 01:44:07.035]  Now remember, Grinnell is proud he's gay and I have no problems with somebody being gay.
[01:44:07.035 --> 01:44:18.003]  I do have a problem when you have somebody like Dorsey who thinks he's self-righteous, who thinks he's better than other people, and he doesn't want to come out publicly that he's gay.
[01:44:18.860 --> 01:44:20.862]  That is a problem for me.
[01:44:20.862 --> 01:44:25.365]  The hidden secrecy and nastiness of a guy like Dorsey.
[01:44:25.365 --> 01:44:27.406]  Now, why do I say that personally?
[01:44:27.406 --> 01:44:33.871]  Number one, when I owned Twitter, the stock years ago, I couldn't find out where their office was.
[01:44:33.871 --> 01:44:35.192]  No one answered.
[01:44:35.192 --> 01:44:37.914]  Then when we were using Square, guess what happened?
[01:44:37.914 --> 01:44:40.556]  They said they don't work on Saturdays and Sundays.
[01:44:41.189 --> 01:45:08.076]  Well, Dorsey, you've got multi-billion dollars, but the one thing you can't cover up is the fact that you are covert or homosexual, the fact that you do not like to be with other people, the fact that you were a male model when you were only 12 years old, but you never said anything to anyone, and the fact that you had to overcome what you knew in terms of self-hatred vis-a-vis women and men.
[01:45:08.696 --> 01:45:16.801]  And now we're going to have somebody who's going to come in and say it out publicly, Dorsey, what's your problem?
[01:45:16.801 --> 01:45:20.483]  Why can't you come out and be gay and be proud of it?
[01:45:20.483 --> 01:45:22.244]  That's the way I would hit them.
[01:45:22.244 --> 01:45:23.565]  That's the way I work.
[01:45:23.565 --> 01:45:28.768]  When I need to work, I pick my targets very carefully and I go right after them.
[01:45:28.768 --> 01:45:32.750]  I have no problem using whatever information I need to know.
[01:45:32.750 --> 01:45:36.573]  I totally agree with you that they have been spying on us, enslaving us.
[01:45:37.389 --> 01:45:37.649]  I don't
[01:45:55.219 --> 01:45:56.700]  Trump's people know that.
[01:45:56.700 --> 01:45:59.122]  All of them are incredibly compromised.
[01:45:59.122 --> 01:46:02.105]  Apple moving to China, giving them the code keys, that's espionage.
[01:46:02.105 --> 01:46:03.506]  Forget Section 230.
[01:46:03.506 --> 01:46:10.411]  And if Trump ever did one thing, ever had one action, they would all fold like a house of cards and do the right thing.
[01:46:10.411 --> 01:46:15.775]  But instead, because there's been no government action, and because of the Heritage Foundation, fake libertarian BS,
[01:46:16.576 --> 01:46:21.358]  Well, what I would say is I'd get a new Attorney General right away and get rid of Barr.
[01:46:21.358 --> 01:46:22.778]  I would show the country that he is not
[01:46:45.837 --> 01:46:51.441]  Adequate is not sufficient, nor can that agency continue with what he's been doing.
[01:46:51.441 --> 01:46:53.822]  Similarly, I would get rid of Gene Haspel.
[01:46:53.822 --> 01:47:06.310]  In other words, even with 14 days left, I would start firing people right and left so that the country can understand we're getting rid of the vestiges of the old regime that came out of Yale.
[01:47:06.310 --> 01:47:07.771]  Great idea, great signal.
[01:47:07.771 --> 01:47:11.654]  Just start anybody that's establishment, anybody that's globalist.
[01:47:11.654 --> 01:47:13.915]  I mean, you could Google them in a minute and find out who they are.
[01:47:13.915 --> 01:47:15.116]  Just fire thousands of them.
[01:47:16.144 --> 01:47:19.345]  That's what I would do, and that's what I have done in the past.
[01:47:19.345 --> 01:47:29.069]  When I got called in on a Bush Senior because he was 20 points behind Dukakis, do you think Bush Senior really cared for me or Baker?
[01:47:29.069 --> 01:47:30.549]  The answer was no.
[01:47:30.549 --> 01:47:32.210]  Did I care for Bush Senior?
[01:47:32.210 --> 01:47:33.951]  No, but I got him in there.
[01:47:33.951 --> 01:47:36.652]  People said, oh, you should be grateful you worked for Bush Senior.
[01:47:36.652 --> 01:47:37.932]  No, it was the other way around.
[01:47:38.663 --> 01:47:42.065]  But honestly, I left after I put together Cambodia.
[01:47:42.065 --> 01:47:48.508]  But you've got to be able to do the nastiest things just before you get elected.
[01:47:48.508 --> 01:47:50.669]  And that's what I had to do.
[01:47:50.669 --> 01:47:52.330]  And that's what you get done.
[01:47:52.330 --> 01:47:54.011]  Now Trump knows that.
[01:47:54.011 --> 01:47:59.494]  He has a hard time, and I've said it repeatedly, being able to fire people.
[01:47:59.494 --> 01:48:01.054]  He's actually really too nice.
[01:48:01.054 --> 01:48:02.035]  That's actually a secret.
[01:48:03.174 --> 01:48:03.774]  I know that.
[01:48:03.774 --> 01:48:05.195]  You and I have known that.
[01:48:05.195 --> 01:48:23.140]  He's got to get rid of Fauci, who came out with his mouth again, who's totally... Listen, when I got remarried three years ago, Trump literally got my wife's number, called her, we're in an airport in Hawaii, and talked to her for five minutes, and I got on the phone and I said, sir, you can call me if you want, but I don't need a pat on the head.
[01:48:23.140 --> 01:48:25.141]  You've got enemies around you.
[01:48:25.141 --> 01:48:26.681]  You need to take them out politically.
[01:48:26.681 --> 01:48:27.742]  You need to protect yourself.
[01:48:28.442 --> 01:48:30.763]  And I mean, he goes, well, I just wanted to let you know I appreciate you.
[01:48:30.763 --> 01:48:32.304]  And I'm like, dude, I get it.
[01:48:32.304 --> 01:48:35.206]  But I said, you don't need to call me to pat me on the head.
[01:48:35.206 --> 01:48:37.307]  Listen, my destiny is tied to America.
[01:48:37.307 --> 01:48:38.007]  Yours is too.
[01:48:38.007 --> 01:48:39.128]  Let's just win this thing.
[01:48:39.128 --> 01:48:40.308]  That wasn't an arrogant thing.
[01:48:40.308 --> 01:48:42.770]  That wasn't me, like, trying to, like, alpha the president.
[01:48:42.770 --> 01:48:45.591]  I was saying, sir, you don't need to call us up and congratulate our wedding.
[01:48:45.591 --> 01:48:46.592]  We want war.
[01:48:46.592 --> 01:48:47.372]  We want victory.
[01:48:47.372 --> 01:48:49.253]  I told him, I said, I want the enemy defeated.
[01:48:49.253 --> 01:48:50.754]  I want our country sovereign again.
[01:48:50.754 --> 01:48:52.835]  I want China, who's the enemy, dealt with.
[01:48:52.835 --> 01:48:56.257]  And the good news is, he wasn't talking about China three years ago.
[01:48:56.257 --> 01:48:57.218]  He really gets it now.
[01:48:57.218 --> 01:48:57.578]  That's good.
[01:48:58.985 --> 01:49:03.387]  The good news is that he understood that your wife was better looking than you.
[01:49:03.387 --> 01:49:05.488]  Exactly.
[01:49:05.488 --> 01:49:07.028]  That's why.
[01:49:07.028 --> 01:49:09.689]  Don't forget, he likes women and good God.
[01:49:09.689 --> 01:49:11.250]  And I'm glad he likes women.
[01:49:11.250 --> 01:49:15.012]  That's been a unique feature of our president.
[01:49:15.012 --> 01:49:24.115]  But the issue with CHICOM right now, you're correct, but I'd rather focus on the domestic problems that we have now and just start firing.
[01:49:24.115 --> 01:49:27.937]  And you've got enough people in that White House to be able to do it.
[01:49:28.713 --> 01:49:30.675]  And, you know, Barr has to go.
[01:49:30.675 --> 01:49:33.117]  He has absolutely done nothing.
[01:49:33.117 --> 01:49:34.758]  FBI has to go.
[01:49:34.758 --> 01:49:36.479]  Wray has to go.
[01:49:36.479 --> 01:49:39.642]  Pompeo, I think he's totally useless.
[01:49:39.642 --> 01:49:41.483]  And I thought Mills was also useless.
[01:49:53.456 --> 01:49:55.783]  We won't be on air much longer.
[01:49:55.783 --> 01:49:59.736]  Ladies and gentlemen, two things that have been sold out for months are back in stock.
[01:50:01.104 --> 01:50:05.046]  Vitamin Mineral Fusion is the highest quality vitamin and mineral fusion with a bunch of amino acids.
[01:50:05.046 --> 01:50:05.826]  It's great for children.
[01:50:05.826 --> 01:50:06.947]  It's great for adults.
[01:50:06.947 --> 01:50:12.810]  With all the craziness going on for regular things in the environment, it's good to have your immune system up to stuff.
[01:50:12.810 --> 01:50:14.151]  This is what I do.
[01:50:14.151 --> 01:50:15.131]  Folks really love it.
[01:50:15.131 --> 01:50:17.412]  It's really popular and it funds the InfoWar.
[01:50:17.412 --> 01:50:18.613]  A 360 win.
[01:50:18.613 --> 01:50:21.975]  Vitamin Mineral Fusion Advanced Multivitamin Formulation.
[01:50:21.975 --> 01:50:22.995]  Back in stock.
[01:50:22.995 --> 01:50:23.876]  InfoWarStore.com.
[01:50:24.756 --> 01:50:26.777]  Also great for your immune system.
[01:50:26.777 --> 01:50:28.818]  Ultra 12, highest quality.
[01:50:28.818 --> 01:50:34.702]  Methylcobalamin is 80% of it, 20% of other type of B12 that they tell us helps with the upload of it to your body.
[01:50:34.702 --> 01:50:36.703]  This is a foundation for everything in your body.
[01:50:36.703 --> 01:50:38.804]  You want good clean energy, people say it's sweet.
[01:50:38.804 --> 01:50:39.985]  There's no sugar in it.
[01:50:39.985 --> 01:50:40.525]  It's its own.
[01:50:41.758 --> 01:50:42.379]  It's own thing.
[01:50:42.379 --> 01:50:43.299]  It's amazing.
[01:50:43.299 --> 01:50:49.244]  Take it out of the tongue, you get almost as good absorption as if you went and got a prescription version and injected it.
[01:50:49.244 --> 01:50:52.187]  And listen, I go to a doctor once a year and get a prescription.
[01:50:52.187 --> 01:50:54.289]  I inject about a B12 and I remember to do it.
[01:50:54.289 --> 01:50:55.810]  I've got it in my refrigerator in there.
[01:50:55.810 --> 01:50:56.631]  That's better than this.
[01:50:56.971 --> 01:50:58.832]  This is almost as good as that.
[01:50:58.832 --> 01:51:02.013]  So when I forget to get my prescription, I take this like nine at night.
[01:51:02.013 --> 01:51:03.533]  I gotta work four more hours.
[01:51:03.533 --> 01:51:04.714]  Hey, don't drink more coffee.
[01:51:04.714 --> 01:51:05.974]  Take a couple of fish oils.
[01:51:05.974 --> 01:51:06.715]  Take some of this.
[01:51:06.715 --> 01:51:08.595]  Boom, I've got four hours of energy.
[01:51:08.595 --> 01:51:11.636]  Infowarsstore.com and it boosts your body's natural defenses.
[01:51:11.636 --> 01:51:12.277]  So Ultra 12.
[01:51:13.456 --> 01:51:15.817]  We'll come back and talk about a victory 2020 for Trump.
[01:51:48.871 --> 01:51:53.174]  Now it's easier than ever to have Band.Video on your iPhone.
[01:51:53.174 --> 01:51:56.677]  Simply go to Band.Video with your Safari browser.
[01:51:56.677 --> 01:51:59.939]  Then you click the Share button at the bottom of the screen.
[01:51:59.939 --> 01:52:03.482]  When the menu comes up, you simply click Add to Home Screen.
[01:52:03.482 --> 01:52:05.744]  It will then ask you to name the app.
[01:52:05.744 --> 01:52:07.145]  I suggest Band.Video.
[01:52:07.805 --> 01:52:13.268]  You will now have BAN.VIDEO app on your home screen, despite the fact that Tim Cook tried to stop it.
[01:52:13.268 --> 01:52:21.751]  The globalists think you're lazy, but by taking a little bit of action, you can override them, have the app, and then tell others about it so they can get the app.
[01:52:21.751 --> 01:52:28.455]  So it's up to you whether you want to defy big tech and click the share buttons below on your email, on Facebook, on Twitter, on YouTube.
[01:52:28.455 --> 01:52:31.276]  However you want, be sure and share BAN.VIDEO.
[01:52:38.712 --> 01:52:46.438]  With two weeks left until the historic election, we're launching the biggest sale of the year that tops some already amazing sales.
[01:52:46.438 --> 01:52:51.962]  It's Black Friday, comes in October special, something we did last year that was very, very popular.
[01:52:51.962 --> 01:52:53.964]  We did it for the whole month last year.
[01:52:53.964 --> 01:52:59.648]  We can only do it for 11 days till the end of the month because stocks are low and a lot of our best-selling products.
[01:52:59.648 --> 01:53:03.011]  But two things that came back in and that we're now announcing at 50% off,
[01:53:04.392 --> 01:53:05.033]  We're good to go.
[01:53:19.309 --> 01:53:20.850]  You're listening to the Alex Jones Show!
[01:53:53.488 --> 01:53:57.589]  Yes, populism and free market awakenings on the march.
[01:53:57.589 --> 01:53:59.550]  Corruption was on the run.
[01:53:59.550 --> 01:54:01.590]  But now, they've launched their counter-strikes.
[01:54:01.590 --> 01:54:04.431]  Dr. Steve McKinnick is our guest for a few more minutes.
[01:54:04.431 --> 01:54:05.511]  I'm going to go to break for one minute.
[01:54:05.511 --> 01:54:06.872]  Be right back to all your calls.
[01:54:08.650 --> 01:54:09.671]  So you're a smart guy.
[01:54:09.671 --> 01:54:12.053]  You've got a lot of contacts here on the ground.
[01:54:12.053 --> 01:54:14.375]  You're saying you think Trump wins, wins big.
[01:54:14.375 --> 01:54:16.837]  Democrats still say they're going to contest.
[01:54:16.837 --> 01:54:18.438]  What do you see coming up?
[01:54:18.438 --> 01:54:25.504]  What do you think we can all do, not just counting on Trump, but ourselves to make sure we restore the Republic?
[01:54:25.504 --> 01:54:28.947]  Well, number one, I would not vote with a ballot.
[01:54:28.947 --> 01:54:37.494]  I would vote in person and make sure that you came and you voted and make sure you had poll watchers who are honest and consistent.
[01:54:38.311 --> 01:54:50.960]  Number two, I would assign somebody within the White House to silence the White House instead of leaking out information that's not appropriate to the newspapers or to whomever.
[01:54:50.960 --> 01:54:58.645]  I don't want to hear that senior officials in the White House off the record spoke to some newspaper.
[01:54:58.645 --> 01:55:00.306]  That's not going to work.
[01:55:00.306 --> 01:55:06.470]  Unless you clamp down on that White House and fire immediately, there's a lot of leakage going on.
[01:55:07.290 --> 01:55:21.799]  Number three, I think Pence has to delineate very well what he's been doing and how he feels that a president should act and that Trump has done well, and then explain as well, not only Trump, how we're going to get back in.
[01:55:21.799 --> 01:55:22.199]  That's right.
[01:55:22.199 --> 01:55:27.683]  He needs all his surrogates running around the country doing their own rallies.
[01:55:27.683 --> 01:55:30.905]  Well, the surrogates are not as effective.
[01:55:30.905 --> 01:55:35.588]  The only man who's really effective, the only man anybody's looking at is Trump, but
[01:55:36.055 --> 01:55:38.316]  What's the wild card of more October surprises?
[01:55:57.290 --> 01:56:03.201]  Unfortunately, what could happen is a boomerang effect, which I've seen in the past.
[01:56:03.201 --> 01:56:07.089]  That is, it's so lethal and so incredulous.
[01:56:07.697 --> 01:56:11.738]  That the Democrats, particularly the liberals, would say, that's nonsense.
[01:56:11.738 --> 01:56:13.259]  That's totally made up.
[01:56:13.259 --> 01:56:14.859]  It's fake news.
[01:56:14.859 --> 01:56:16.640]  It's people on the right wing.
[01:56:16.640 --> 01:56:19.340]  Remember, you're in the alternative media.
[01:56:19.340 --> 01:56:23.982]  And Steve Buchanek and Alex Jones are consistent with conspiracy.
[01:56:23.982 --> 01:56:35.605]  So the notion of conspiracy theories is going to skyrocket on the left, while the reality of what's happening to the Democrats is going to be minimized
[01:56:36.383 --> 01:56:40.573]  There, they know how to just say nothing and make sure that they can.
[01:56:41.351 --> 01:56:50.917]  Force us to say, oh, these are conspiracies on the right, and they will say, I want you to get your ballots in, particularly in the states where it's mandatory.
[01:56:50.917 --> 01:56:53.099]  As I said, the liberal states.
[01:56:53.099 --> 01:56:56.541]  There we need poll watchers from the Republican Party.
[01:56:56.541 --> 01:57:04.026]  So they can just totally ignore, no matter how horrible it is, they just ignore it because we all kind of have an inclination to like, what, videos of him raping little girls?
[01:57:04.026 --> 01:57:05.107]  Okay, we better not get into that.
[01:57:05.107 --> 01:57:05.967]  So they use that.
[01:57:07.935 --> 01:57:18.301]  Well, they use it, but you ignore it, you overwrite it, and at the same time, you're going to have to make sure you have a strategy for, number one, if Biden does win.
[01:57:18.301 --> 01:57:21.143]  I need to have a strategy in that White House.
[01:57:21.143 --> 01:57:25.746]  Or what happens if Biden comes in very close and they want to contest it?
[01:57:25.746 --> 01:57:28.187]  What if he loses and they want to contest it?
[01:57:28.187 --> 01:57:30.989]  In other words, I need some strategic assessment.
[01:57:30.989 --> 01:57:34.411]  That's what I've been saying, is we've been trying to battle plan here on Arrows, what we're doing right now.
[01:57:34.411 --> 01:57:37.533]  When I talk to folks in the White House, they say there's really no battle planning going on.
[01:57:38.581 --> 01:57:39.721]  Well, that's the problem.
[01:57:39.721 --> 01:57:45.443]  There's no one there who's strategic, and that's been a problem for over three and a half years.
[01:57:45.443 --> 01:57:54.285]  What happens with a man like Trump, who is quite formidable, and he loves what he does, and he's good at what he does, is to entertain the audience.
[01:57:54.285 --> 01:57:55.765]  There has to be somebody behind him.
[01:57:55.765 --> 01:57:58.306]  There's got to be real realists that just report to him and then leave it at that.
[01:57:58.306 --> 01:57:58.886]  He can do what he wants.
[01:57:59.741 --> 01:58:01.081]  Why, exactly.
[01:58:01.081 --> 01:58:02.842]  You have to be cold-blooded.
[01:58:02.842 --> 01:58:04.803]  This is, you know, this is war.
[01:58:04.803 --> 01:58:07.683]  This is a war that we're going to have from now on.
[01:58:07.683 --> 01:58:09.484]  It's not going to be in Afghanistan.
[01:58:09.484 --> 01:58:11.144]  It's not going to be in Iraq.
[01:58:11.144 --> 01:58:13.165]  It's going to be in the White House.
[01:58:13.165 --> 01:58:16.786]  And that White House war might last a couple of months.
[01:58:16.786 --> 01:58:19.547]  And I need a plan, or somebody needs a plan.
[01:58:19.987 --> 01:58:27.513]  To understand strategically what you're going to do, who's going to be involved, and how long are you going to use that strategy.
[01:58:27.513 --> 01:58:28.334]  Well, I totally agree.
[01:58:28.334 --> 01:58:30.196]  So you tell me when you want to come on for an hour.
[01:58:30.196 --> 01:58:35.080]  In the next few days, I want to hear your idea, because we need to get ahead of this now.
[01:58:35.080 --> 01:58:37.401]  And I guarantee you this stuff then leaks into the White House.
[01:58:37.401 --> 01:58:38.943]  Because they leak, we leak back in there.
[01:58:38.943 --> 01:58:40.424]  They try to keep them controlled.
[01:58:40.424 --> 01:58:41.365]  We get the info to them.
[01:58:41.365 --> 01:58:42.866]  Dr. Seifer Chenik, thank you so much.
[01:58:42.866 --> 01:58:43.446]  We'll be right back.
[01:58:43.446 --> 01:58:43.787]  Stay with us.
[01:58:47.299 --> 01:59:03.232]  If you pay close attention to what Big Tech is actually saying, and more importantly, what they're actually doing, when they shut down the Hunter Biden laptop story, that was a test to see if they could work in concert to totally suppress information.
[01:59:03.232 --> 01:59:10.798]  Because they've also been on record saying, coming up on election day and thereafter, they're not going to let anyone but, quote, authoritative sources.
[01:59:10.798 --> 01:59:12.620]  That means CNN, New York Times, what a joke.
[01:59:13.220 --> 01:59:16.201]  Come out and say who the real winner is.
[01:59:16.201 --> 01:59:27.367]  That way they can contest the election even though Trump's declared winner, hold everything up to the ballots, then cause a constitutional crisis, call for secession, and have the UN come in and declare the election for Biden.
[01:59:27.367 --> 01:59:29.628]  This is what John Podesta and others are on record saying.
[01:59:30.188 --> 01:59:43.672]  And so when you see them in concert censoring something like the Hunter Biden laptop story, that is a drill, that is a test to get all their systems ready, but also to condition the public that big tech works in unison to suppress speech and information.
[01:59:43.672 --> 01:59:45.373]  This is election meddling 101.
[01:59:45.373 --> 01:59:46.253]  This is illegal.
[01:59:54.005 --> 01:59:54.905]  Welcome back.
[01:59:54.905 --> 01:59:56.066]  Hour number three.
[01:59:56.066 --> 01:59:59.587]  Alright, you guys have been holding... Alex Jones Show.
[01:59:59.587 --> 02:00:01.728]  Because there is a war.
[02:00:01.728 --> 02:00:03.149]  Or you are mine.
[02:00:03.149 --> 02:00:06.530]  Michael, Gavin, Zach, Nick, Patrick, Brett.
[02:00:06.530 --> 02:00:07.530]  So I'm gonna go to you.
[02:00:07.530 --> 02:00:11.332]  I'm gonna move to the next person quickly because I want to get to everybody.
[02:00:11.332 --> 02:00:14.213]  Let's talk to Roxy.
[02:00:14.213 --> 02:00:16.554]  In Florida, Roxy, thank you for calling.
[02:00:17.725 --> 02:00:19.185]  What do you think is really going down?
[02:00:19.185 --> 02:00:26.046]  Well, Marge, I just want to thank you for making Endgame, because if you hadn't made Endgame, you never would have woke me up.
[02:00:26.046 --> 02:00:36.328]  First of all, my gut instinct tells me that we may actually have a Harris-Biden administration.
[02:00:36.328 --> 02:00:39.569]  And I didn't say that, you know, to be cute.
[02:00:39.569 --> 02:00:41.129]  I said that on purpose.
[02:00:41.129 --> 02:00:45.610]  And the reason I say this is because a lot of women I've been speaking to have
[02:00:47.242 --> 02:00:52.807]  Revealed in talking that they know Biden's senile.
[02:00:52.807 --> 02:01:09.882]  And because of what happened with Hillary, they feel like, you know, the way to get a woman president, which they feel the United States isn't ready for, which is totally not the case, it just has to be the right woman, would be to circumvent Joe Biden completely.
[02:01:10.994 --> 02:01:21.399]  And, you know, vote for Biden-Harris so that he goes and eventually does whatever he does, plays Mahjong and puts on his slippers and watches Terry Mason, and she's in control.
[02:01:21.399 --> 02:01:22.019]  Well, that's it.
[02:01:22.019 --> 02:01:24.920]  And the Democrats have even said, oh, he's a placeholder.
[02:01:24.920 --> 02:01:33.744]  When I don't care if it was a black guy, a white woman, a black lady, a dude, an old guy, as long as they're competent and aren't traitors, she's a horrible person.
[02:01:33.744 --> 02:01:35.825]  Just like, she's not as bad as Hillary, but she's almost as bad.
[02:01:36.345 --> 02:01:38.347]  I guess she hasn't had real power yet, so we'll see.
[02:01:38.347 --> 02:01:45.092]  But absolutely, this is all about a woman president and women fetishizing that as a reflected glory.
[02:01:45.092 --> 02:01:48.415]  Her being president and a Chai Com puppet is not going to help women.
[02:01:48.415 --> 02:01:50.816]  That's crazy!
[02:01:50.816 --> 02:01:56.121]  And then my other thing is, I keep, in my spirit, I keep getting a discernment, and I've been having this since about May.
[02:01:57.057 --> 02:02:01.139]  What happens if we do, or the states in the union do secede?
[02:02:01.139 --> 02:02:04.902]  People don't stop and think, well, we're fighting like idiots.
[02:02:04.902 --> 02:02:08.524]  The left-right paradigm is complete, you know, garbage.
[02:02:08.524 --> 02:02:09.324]  It really is.
[02:02:09.324 --> 02:02:21.251]  It's a Hegelian dialectic, and anyone who knows it, who listens to your show, and, you know, is somewhat literate, and can read a paper, should be able to see through that.
[02:02:21.251 --> 02:02:25.194]  Now, the point that I'm trying to make is
[02:02:26.551 --> 02:02:36.075]  Is that if he does win, okay, we need beans, bullets, and band-aids, and you need to be ready.
[02:02:36.075 --> 02:02:37.896]  You need to start getting physically fit.
[02:02:37.896 --> 02:02:40.717]  If you haven't been, you should have been a long time ago.
[02:02:40.717 --> 02:02:48.981]  And you need to know your state's constitution as well as the actual constitution, because what it's going to take
[02:02:54.071 --> 02:02:54.852]  Absolutely.
[02:02:54.852 --> 02:02:56.472]  We've never pushed back.
[02:02:56.472 --> 02:02:57.192]  And so here's what happened.
[02:02:57.192 --> 02:03:03.994]  You had Republicans and Democrats sharing power the last 50, 60 years and selling the country out to foreign interest.
[02:03:03.994 --> 02:03:08.196]  And then finally they just sold out to the Chinese and globalists to be their new boss.
[02:03:08.196 --> 02:03:09.536]  They weren't just selling out interest.
[02:03:09.536 --> 02:03:12.117]  They sold out completely to them.
[02:03:12.117 --> 02:03:16.278]  And then Trump came along, took over the Republican Party partially with a populist movement.
[02:03:16.638 --> 02:03:20.759]  That's why, you know, ten years ago I wasn't Republican or Democrat because both parties were so bad.
[02:03:20.759 --> 02:03:25.541]  Trump is a populist attempt to take over to get the country back and that's why everybody should get behind him.
[02:03:25.541 --> 02:03:26.321]  God bless you.
[02:03:26.321 --> 02:03:28.401]  Yeah.
[02:03:28.401 --> 02:03:30.782]  People like to buy into hype.
[02:03:30.782 --> 02:03:40.505]  And there's a lot of guys, a lot of women, you name it, that have bought into this and they are destroying their own interest and Trump is in serious danger, folks.
[02:03:40.505 --> 02:03:41.965]  And he's in serious danger of losing.
[02:03:41.965 --> 02:03:43.806]  And remember, I'm the guy that told you
[02:03:45.302 --> 02:03:47.123]  He was going to win when nobody else did.
[02:03:47.123 --> 02:03:48.924]  I guess Ann Coulter said it before I did.
[02:03:48.924 --> 02:03:51.046]  I was like the second.
[02:03:51.046 --> 02:03:53.987]  And I was sure of it.
[02:03:53.987 --> 02:03:57.990]  My gut's never wrong because it's just thousands of data points integrated into the subconscious.
[02:03:57.990 --> 02:04:02.052]  And then the spirit makes the decision.
[02:04:02.052 --> 02:04:06.115]  If they held the election today, Trump's going to lose because of massive fraud.
[02:04:06.115 --> 02:04:09.317]  He's got to get his points way up above her.
[02:04:09.317 --> 02:04:12.379]  Not just 5-10 points, 15-20 points to beat the fraud.
[02:04:14.090 --> 02:04:20.674]  And then again, even if he wins by just overwhelming landslide, they're going to contest it, folks.
[02:04:20.674 --> 02:04:26.218]  So just anywhere you slice it, this is a foreign outside takeover of the country, literally.
[02:04:26.218 --> 02:04:33.603]  I mean, the sense of foreboding and doom I have has never been... I mean, it's overwhelming.
[02:04:33.603 --> 02:04:35.284]  And by the way, it's very exhilarating.
[02:04:35.284 --> 02:04:36.645]  I'm not like scared here.
[02:04:36.645 --> 02:04:37.586]  I'm like ready for war.
[02:04:38.430 --> 02:04:43.111]  I'm ready to, you know, I mean, metaphysically, I feel like I've got battle axes in both hands.
[02:04:43.111 --> 02:04:46.892]  Uh, so, I mean, that's it.
[02:04:46.892 --> 02:04:48.692]  And China's about to invade Taiwan?
[02:04:48.692 --> 02:04:50.413]  I mean, it's on, folks!
[02:04:50.413 --> 02:04:53.174]  It's on, it's on, it's on!
[02:04:53.174 --> 02:04:55.614]  Get right with Jesus, is all I can tell you.
[02:04:55.614 --> 02:04:56.574]  Woo!
[02:04:56.574 --> 02:04:58.795]  Everything we talked about's coming down now, baby!
[02:05:00.520 --> 02:05:04.584]  And there's a normalcy bias in the military, a normalcy bias in the Justice Department.
[02:05:04.584 --> 02:05:06.946]  The average person in the Justice Department's not a traitor.
[02:05:06.946 --> 02:05:09.047]  They're just kind of ho-hum Republican or Democrat.
[02:05:09.047 --> 02:05:10.369]  Oh yeah, right.
[02:05:10.369 --> 02:05:11.349]  Oh, martial law.
[02:05:11.349 --> 02:05:12.831]  Oh, sure, the chi-coms.
[02:05:12.831 --> 02:05:14.953]  Oh, sure, the... And then, boom!
[02:05:14.953 --> 02:05:17.355]  Reality slaps right in on you like a meteorite.
[02:05:17.355 --> 02:05:18.736]  Extending the dinosaurs.
[02:05:18.736 --> 02:05:20.357]  I mean, it's BAM!
[02:05:20.357 --> 02:05:21.899]  I gotta take all these calls.
[02:05:21.899 --> 02:05:23.120]  It was a great caller.
[02:05:23.120 --> 02:05:24.641]  Let's talk to Patrick in Boston.
[02:05:24.641 --> 02:05:26.503]  Patrick, your take on the situation.
[02:05:27.779 --> 02:05:36.002]  Hey man, I was wondering why you were so upset about Hunter Biden's sexual impropriety.
[02:05:36.002 --> 02:05:40.703]  I don't know what that, because he's being blackmailed by the communist Chinese, and if it's underage, that's, those are children.
[02:05:40.703 --> 02:05:45.925]  It's none of my business what he does with his penis, unless I'm sitting in his lap.
[02:05:45.925 --> 02:05:47.345]  Isn't that correct?
[02:05:47.345 --> 02:05:48.126]  Sir, just a second.
[02:05:48.126 --> 02:05:49.886]  You sound like a seminar caller.
[02:05:49.886 --> 02:05:51.567]  This doesn't sound like a fair deal here to me.
[02:05:52.628 --> 02:05:54.269]  They admit these emails are real now.
[02:05:54.269 --> 02:05:57.592]  So I don't think... First off, do you deny the emails are real?
[02:05:57.592 --> 02:05:58.673]  Or did the Russians make them up?
[02:05:58.673 --> 02:05:59.494]  Let me ask that question.
[02:05:59.494 --> 02:06:00.655]  I don't know if they are.
[02:06:00.655 --> 02:06:02.536]  And you don't know either.
[02:06:02.536 --> 02:06:03.777]  Uh, excuse me?
[02:06:03.777 --> 02:06:04.958]  We have the repair shop.
[02:06:04.958 --> 02:06:06.079]  We have the emails.
[02:06:06.079 --> 02:06:07.600]  We have the emails from the lawyer.
[02:06:07.600 --> 02:06:08.401]  They're not denying it.
[02:06:08.401 --> 02:06:14.606]  Excuse you at all, because I don't think you're being a reasonable arbiter right now.
[02:06:15.325 --> 02:06:21.988]  Let me ask you this, in the emails it says to Burisma, we want the investigation covered up, we'll give you $30 million.
[02:06:21.988 --> 02:06:24.089]  I mean, it says it right there.
[02:06:24.089 --> 02:06:27.010]  Yeah, do you know those are true?
[02:06:27.010 --> 02:06:27.870]  Did you hear me?
[02:06:27.870 --> 02:06:32.272]  That the FBI had the laptop confirmed that it was Hunter Biden's?
[02:06:32.272 --> 02:06:33.492]  Yeah.
[02:06:33.492 --> 02:06:35.974]  And the repair shops released the emails with lawyers?
[02:06:35.974 --> 02:06:42.776]  You know damn well that the FBI has not confirmed anything.
