[00:00:00.209 --> 00:00:01.549]  It was all pre-planned.
[01:25:26.274 --> 01:25:28.279]  I mean, it's just, can you imagine?
[01:25:29.734 --> 01:25:35.658]  The system goes, oh, you go to the grocery store and try to get a nice piece of fruit or a nice vegetable, you check it, you smell it, you look at it.
[01:25:36.178 --> 01:25:40.200]  Imagine the new order goes into it and says, where's the rotten stuff with roach eggs on it?
[01:25:40.481 --> 01:25:41.201]  That's what I want.
[01:25:41.501 --> 01:25:54.569]  And then I'm going to build a castle out of the most horrible, evil, little, wicked people whose whole worldview is, I'm a victim, you're a right-wing Chad, and I'm the little liberal, oh, the little pink-haired person.
[01:25:54.849 --> 01:25:57.411]  That's their cover, the little non-threatening pink hair.
[01:25:57.431 --> 01:25:58.732]  I don't give a damn about your pink hair.
[01:25:59.818 --> 01:26:01.740]  It's your black soul I'm worried about.
[01:26:19.753 --> 01:26:27.707]  All right, Larry Pinckney, one of the original real Black Panther Movement individuals, one of our favorite guests here on InfoWars, has been on with us for a while.
[01:26:28.308 --> 01:26:30.151]  He's going to be joining us next segment.
[01:26:31.012 --> 01:26:33.376]  And to look at what's going on with Antifa.
[01:26:34.571 --> 01:26:39.594]  And the Communist Chinese government funding it and just all the crazy things and Planned Parenthood behind it.
[01:26:39.694 --> 01:26:41.235]  It's just absolutely insane.
[01:26:42.016 --> 01:26:47.779]  And in my view, it's a group meant to frame black people in everybody's eyes as supporting this.
[01:26:47.879 --> 01:26:48.640]  It's just pure evil.
[01:26:49.440 --> 01:26:54.643]  But Antifa releases a list of demands after capturing six blocks of downtown Seattle.
[01:26:55.184 --> 01:26:59.767]  And of course, the white Communist group running it has gotten a black guy to be the head of it as the front guy.
[01:27:00.407 --> 01:27:02.748]  That's not some virtue signaling saying the black guy's a victim.
[01:27:02.948 --> 01:27:03.848]  I think he's a bad guy.
[01:27:04.168 --> 01:27:08.349]  Just it's so leftist that they're like 99% white and they like get one black guy as their front guy.
[01:27:09.069 --> 01:27:13.471]  Seattle autonomous zone warlord creates private police force.
[01:27:14.051 --> 01:27:15.651]  It's dubbed Black George Zimmerman.
[01:27:16.191 --> 01:27:29.495]  The anarcho-communist autonomous zone near Capitol Hill in Seattle, Washington, has reportedly embraced the anarcho-capitalist dream of creating a private vigilante police force to patrol the streets of the commune, which is now beating up people.
[01:27:30.546 --> 01:27:46.523]  The Autonomous Zone, which are apparently currently controlled by hip-hop artists turned warlord by the name of Raz Simone, who has established an armed private police force that does not hesitate to dole out beatings to communal miscreants.
[01:27:47.914 --> 01:27:54.077]  But before we get to that and so much more, let's go to a clip here.
[01:27:54.878 --> 01:28:01.161]  Man hit by statue torn down by BLM protesters in Virginia is now in a coma.
[01:28:02.281 --> 01:28:05.663]  And again, I've got videos where people don't even know who it is they're tearing down.
[01:28:05.683 --> 01:28:13.267]  And by the way, when you're pulling a big giant metal statue down, make sure it doesn't fall on you.
[01:28:13.607 --> 01:28:15.488]  Here's the very saddening video.
[01:28:51.837 --> 01:28:52.337]  Boom!
[01:28:53.297 --> 01:28:57.298]  Oh wow, you pushed a bronze statue down on top of a crowd.
[01:28:58.638 --> 01:28:59.778]  The Black Lives Matter now?
[01:28:59.839 --> 01:29:01.059]  You just killed somebody, basically.
[01:29:01.079 --> 01:29:01.659]  The guy's in a coma.
[01:29:04.659 --> 01:29:08.942]  And we got another video out of London like, I don't know who that is, but let's just tear it down.
[01:29:09.002 --> 01:29:15.467]  It's like the Civil War Union Black Soldier Glory Monument that got defaced or the Lincoln Memorial.
[01:29:16.488 --> 01:29:18.709]  But again, that's the idiocy of the mob.
[01:29:19.870 --> 01:29:22.472]  And anything old must be bad.
[01:29:22.532 --> 01:29:24.193]  I mean, look, I haven't hit this.
[01:29:24.213 --> 01:29:27.856]  I probably got 20 phone calls about it last night and today.
[01:29:27.876 --> 01:29:31.739]  Alex, you're going to cover the fact that the
[01:29:33.425 --> 01:29:54.462]  African-type scarfs that were worn by the Democrat Congressmembers Pelosi and others when they kneeled are particularly of a silk from the slave trade that a particular African royalty wore to show that they were dominant and the silk was more valuable than gold.
[01:29:54.482 --> 01:29:55.643]  They were previously gold traders.
[01:29:55.944 --> 01:29:56.984]  They would sell slaves
[01:29:57.785 --> 01:30:05.653]  To the Arabs for the silk and that those literal scarves are a symbol of African slavery to the Arabs than the first transatlantic slave trade.
[01:30:05.974 --> 01:30:13.682]  Now, how did they pick the exact symbol of the first African tribe that's known to have sold slaves to Westerners?
[01:30:15.436 --> 01:30:17.737]  I don't, I mean, a weird turn of fate?
[01:30:17.837 --> 01:30:33.962]  I mean, I don't think Nadler knows what planet he's on, but everybody started looking those up, and it turns out that that's the symbol that wasn't picked up in the 17th century selling black people, by black people, to Arabs and white people for the silk, and they're wearing it.
[01:30:34.802 --> 01:30:36.962]  What a weird twist of fate in virtue signaling.
[01:30:37.283 --> 01:30:41.104]  That's all I can say is, I was like, hey, I've seen that pattern before.
[01:30:41.164 --> 01:30:41.724]  What is that?
[01:30:42.740 --> 01:30:44.762]  That's the slave trade pattern.
[01:30:45.662 --> 01:30:46.783]  You just can't make this up.
[01:30:46.863 --> 01:30:48.825]  I mean, this is the irony, folks.
[01:30:49.465 --> 01:30:50.826]  That's why truth is stranger than fiction.
[01:30:51.147 --> 01:30:53.589]  Larry Pinckney is loaded for bears.
[01:30:53.629 --> 01:30:54.109]  Stay with us.
[01:30:54.129 --> 01:30:54.990]  Back in 60 seconds.
[01:30:56.951 --> 01:30:57.512]  Welcome back.
[01:30:57.592 --> 01:30:58.752]  I am your host, Alex Jones.
[01:30:58.873 --> 01:30:59.093]  All right.
[01:30:59.153 --> 01:31:00.694]  Larry Pinckney is the real deal.
[01:31:01.054 --> 01:31:02.956]  He's a veteran of the Black Panther Party.
[01:31:04.172 --> 01:31:17.737]  The former Minister of the Interior of the Republic of New Africa, former political prisoner, and the only American to have successfully self-authored his civil political rights case in the United Nations under the International Covenant of the Civil Political Rights.
[01:31:18.557 --> 01:31:25.880]  In connection with his political organizing activities in opposition to voter suppression, etc., Pinckney was interviewed again by PBS.
[01:31:28.262 --> 01:31:31.144]  He's been joining us for more than 15 years.
[01:31:31.524 --> 01:31:34.326]  He's the editorial board member of TheBlackComputer.com.
[01:31:34.887 --> 01:31:43.293]  He's written the book, Saying No to Power, Autobiography of a 20th Century Activist and Thinker, and of course, BlackActivistWG.org.
[01:31:43.753 --> 01:31:45.515]  I really appreciate him coming on.
[01:31:45.615 --> 01:31:53.501]  I could ask a lot of questions and bring up what I want to bring up, and I'll do that later, but Larry, what would you call this period we're in right now
[01:31:54.588 --> 01:31:57.791]  I mean, just lay it on us, your knowledge, your approximation.
[01:31:57.811 --> 01:32:09.301]  Because I got to tell you, these Antifa groups we know are run by Soros, these so-called black leaders are central casting, I think, to discredit real black leadership for real change.
[01:32:09.322 --> 01:32:10.322]  That's just what I'm seeing.
[01:32:10.683 --> 01:32:11.664]  I want everybody to do good.
[01:32:11.684 --> 01:32:12.985]  I want everybody to come together.
[01:32:13.585 --> 01:32:14.947]  This looks like the opposite of that.
[01:32:14.987 --> 01:32:16.188]  What's really going on, Larry Pinkney?
[01:32:17.355 --> 01:32:22.237]  Well, first of all, thank you very much, my brother Alex, for having me on.
[01:32:22.577 --> 01:32:39.685]  Now, to go directly to your question, you know, what's going on, as Marvin Gaye used to sing, is we are seeing right in front of our very eyes, we are seeing the globalist deep state at work, okay?
[01:32:41.185 --> 01:32:47.048]  Black Lives Matter and Antifa, what a terrible, terrible blight
[01:32:47.603 --> 01:32:49.124]  Upon all people.
[01:32:49.365 --> 01:32:51.226]  And I repeat, all people.
[01:32:52.067 --> 01:33:02.116]  Antifa, which they claim means anti-fascist, is absurd, ludicrous, and totally opposite of what they claim to be.
[01:33:02.416 --> 01:33:04.278]  They are not anti-fascist.
[01:33:04.618 --> 01:33:06.379]  They are the fascists.
[01:33:07.120 --> 01:33:10.343]  Black Lives Matter is a ruse
[01:33:10.962 --> 01:33:12.983]  It's a ruse, R-U-S-E.
[01:33:13.423 --> 01:33:27.468]  If Black Lives Matter, then why don't we do something about what is happening, Blacks on Blacks, killing Blacks, in places like Chicago, Detroit, Baltimore, Washington, D.C.
[01:33:27.748 --> 01:33:30.349]  It's an endless list that won't be missed.
[01:33:30.409 --> 01:33:37.291]  So, the bottom line here is that it's about divide, confusion, chaos, and conquer.
[01:33:37.931 --> 01:33:39.132]  It's very simple.
[01:33:39.472 --> 01:33:42.473]  It doesn't take a rocket scientist to figure it out.
[01:33:42.733 --> 01:33:52.578]  And I'm quite sure that most of the audience, of your audience, Alex, is fully cognizant, is fully aware of what's going on.
[01:33:52.978 --> 01:34:03.542]  No, I agree with you, but explain to people that don't know, most of the audience probably knows, the difference between the Black Panther Party that was actually doing something versus what they created, how they took it over, and now the new Black Panther Party.
[01:34:03.902 --> 01:34:09.424]  Just like the corrupt elements of the FBI were on the White Supremacists, it's the same dog and pony show over and over again.
[01:34:10.484 --> 01:34:11.305]  Of course it is.
[01:34:11.545 --> 01:34:12.246]  Of course it is.
[01:34:12.326 --> 01:34:15.108]  First of all, let me be very clear about this.
[01:34:15.829 --> 01:34:21.714]  I am a veteran of the original, capital O, original Black Panther Party.
[01:34:21.774 --> 01:34:22.795]  Original OG.
[01:34:23.495 --> 01:34:24.616]  Yes, that's right.
[01:34:24.976 --> 01:34:25.837]  Original OG.
[01:34:25.897 --> 01:34:26.458]  I like that.
[01:34:26.898 --> 01:34:27.939]  Okay, it's accurate.
[01:34:28.940 --> 01:34:30.141]  And what's the difference?
[01:34:30.361 --> 01:34:31.382]  I'll tell you the difference.
[01:34:31.992 --> 01:34:42.980]  We had breakfast programs, food programs, clothing programs, medical programs, senior citizen programs, where we served our community.
[01:34:43.300 --> 01:34:44.541]  We didn't burn it down.
[01:34:44.561 --> 01:34:44.641]  Okay?
[01:34:45.722 --> 01:34:46.743]  We didn't divide it.
[01:34:47.381 --> 01:34:51.363]  And it didn't matter to us whether you were black, white, brown, green, or turquoise.
[01:34:51.903 --> 01:34:57.966]  If you were in need and were in territory that we were in, you were going to be served.
[01:34:58.506 --> 01:35:02.168]  And we said, we said, in the original party,
[01:35:02.748 --> 01:35:07.529]  Do not steal even a needle or thread from the people.
[01:35:07.889 --> 01:35:18.652]  We did not say go out, burn loot, attack senior citizens, break into pharmacies, burn senior citizens' dwellings down, terrorize them.
[01:35:18.912 --> 01:35:20.953]  No, that was not our position.
[01:35:21.233 --> 01:35:24.554]  So there's a very, very, very big difference.
[01:35:25.134 --> 01:35:25.954]  Big difference.
[01:35:42.119 --> 01:35:42.459]  That's right.
[01:35:42.479 --> 01:35:46.143]  And the fact of the matter is, first of all, I have to give him kudos for that apology.
[01:35:46.343 --> 01:35:48.305]  More than the apology, he set the record straight.
[01:35:48.325 --> 01:35:49.966]  That's what he did, yeah.
[01:36:08.237 --> 01:36:09.918]  And that's what we need.
[01:36:10.218 --> 01:36:11.339]  Set the record straight.
[01:36:11.639 --> 01:36:17.323]  These lunatics and maniacs running around today have not even cracked the book.
[01:36:17.823 --> 01:36:18.584]  They haven't read.
[01:36:18.824 --> 01:36:23.927]  They don't know about the reality and the details of Cointelco.
[01:36:24.107 --> 01:36:24.467]  I agree.
[01:36:24.487 --> 01:36:30.291]  They're pulling down the statue in England of the British Prime Minister that banned slavery and launched wars to stop it.
[01:36:30.651 --> 01:36:31.012]  I mean, that's...
[01:36:32.708 --> 01:36:40.140]  They attacked the glory black veteran Civil War Memorial.
[01:36:40.180 --> 01:36:41.161]  You talk about ignorance.
[01:36:42.323 --> 01:36:44.887]  Well, it's ignorance combined with arrogance.
[01:36:45.428 --> 01:36:46.350]  It's arrogance.
[01:36:47.020 --> 01:36:49.221]  And this is dangerous, you know?
[01:36:49.941 --> 01:36:54.583]  Next they'll be attacking the statues of the Tuskegee Airmen.
[01:36:54.923 --> 01:36:55.824]  They'll be doing that!
[01:36:56.064 --> 01:36:57.784]  Just give them time, okay?
[01:36:58.045 --> 01:37:01.666]  The Tuskegee Airmen, who are really fighting against fascism!
[01:37:02.166 --> 01:37:08.469]  So, I get a little passionate, because I find this to be not only unacceptable, but despicable!
[01:37:10.970 --> 01:37:12.130]  Keep going, keep landing on us.
[01:37:12.170 --> 01:37:13.531]  So, where are we going from here?
[01:37:14.537 --> 01:37:30.926]  Well, what I think that we as a people, black, white, brown, red, yellow, citizens of this country, we need to say no, say no to the setups, no to the deep state, no to the globalists.
[01:37:31.207 --> 01:37:33.068]  This is our republic.
[01:37:33.748 --> 01:37:39.311]  How many people even know the difference why we call our nation a republic?
[01:37:39.611 --> 01:37:40.312]  How many of these
[01:37:41.209 --> 01:37:48.235]  Frosters out there know or even care, and I don't give a rat's petunia what their color or gender is.
[01:37:48.515 --> 01:37:50.237]  They don't know, they don't care.
[01:37:50.477 --> 01:38:00.505]  This is all about fun and games and hurting people and destroying, not building, not serving the people, body and soul, but the exact opposite.
[01:38:00.785 --> 01:38:07.371]  So I plead with, implore with, to all my brothers and sisters of all colors,
[01:38:08.234 --> 01:38:09.756]  Get a grip on reality!
[01:38:10.076 --> 01:38:11.317]  Stop this madness!
[01:38:11.597 --> 01:38:12.899]  Stop this insanity!
[01:38:13.139 --> 01:38:17.704]  And those who won't stop it, need to be stopped!
[01:38:19.045 --> 01:38:20.246]  Well, that's my next question.
[01:38:21.247 --> 01:38:25.631]  I'm torn, like, if Trump sends troops out, then they might overreact, and then it causes a bigger thing.
[01:38:25.671 --> 01:38:29.796]  But if he doesn't, I mean, we've had crew members physically attacked.
[01:38:30.911 --> 01:38:34.574]  It's not only dangerous, you're absolutely correct my brother Alex, but it's also insane.
[01:38:34.594 --> 01:38:35.995]  What we're watching here
[01:38:50.189 --> 01:38:51.210]  is insanity.
[01:38:51.730 --> 01:39:01.054]  And particularly the deep state Democrats and their seditious, despicable, lying media are fanning the flames.
[01:39:01.554 --> 01:39:03.675]  They're fanning these flames, okay?
[01:39:04.015 --> 01:39:09.298]  What they don't understand is that these flames will ultimately turn back on them.
[01:39:09.738 --> 01:39:14.260]  So I urge all of my brothers and sisters, don't go for the ghosts.
[01:39:15.100 --> 01:39:19.343]  Okay, don't be duped, hoodwinked, bamboozled, okay?
[01:39:19.703 --> 01:39:23.826]  Understand that we are in this struggle as patriots, as U.S.
[01:39:23.946 --> 01:39:25.567]  citizens, together.
[01:39:25.787 --> 01:39:38.536]  Nobody's saying we're perfect, but this is our republic, and I'll be damned if I will stand back and watch these people, these creatures, tear this republic down.
[01:39:38.556 --> 01:39:41.298]  Well, that's the key, is this is a major global corporate
[01:39:42.253 --> 01:39:42.974]  Takeover.
[01:39:43.814 --> 01:39:45.195]  Scientifically dividing us.
[01:39:45.495 --> 01:39:48.097]  Of course we've all got problems and issues, and we've all done things that are wrong.
[01:39:48.378 --> 01:39:54.222]  But the point is, they know we have a soul and a conscience, so they're manipulating that artificially.
[01:39:54.642 --> 01:39:56.043]  So how do we navigate that?
[01:39:56.063 --> 01:40:00.927]  Because so many good people I know think they've got to do what CNN says now, or they're a racist.
[01:40:01.347 --> 01:40:04.169]  Since when did CNN become the master controller?
[01:40:04.229 --> 01:40:07.252]  Folks, you should really visit Larry Pinckney's website.
[01:40:07.292 --> 01:40:08.513]  I know you've got several sites.
[01:40:08.573 --> 01:40:11.175]  Is the best one to visit blackactivistwg.org?
[01:40:12.301 --> 01:40:20.844]  Yes, and I can also be found on Reality Underscored One, Reality Underscored One, the number one on Twitter.
[01:40:21.665 --> 01:40:25.086]  Yes, they are in no position to talk about racists.
[01:40:25.146 --> 01:40:26.506]  Everybody should follow you there.
[01:40:28.027 --> 01:40:34.469]  We're going to come back and talk about a really smart guy who's been through a lot of history since the 60s.
[01:40:34.829 --> 01:40:35.929]  What's coming next?
[01:40:35.989 --> 01:40:37.649]  This is really important, folks.
[01:40:38.090 --> 01:40:42.071]  And remember, they've got this show totally, totally blocked out there.
[01:40:42.231 --> 01:40:44.971]  Only way it gets out is when you tell people how you're listening.
[01:40:46.172 --> 01:40:51.353]  And so Larry Pinckney, one of the original members of the real Black Panther Party, the original one, not the new Black Supremacist one.
[01:40:53.459 --> 01:40:55.760]  He's here with us, and he's seen a lot of history.
[01:40:55.780 --> 01:40:56.640]  He's been through a lot.
[01:40:57.200 --> 01:40:59.721]  He's been persecuted as well, like anybody telling the truth.
[01:41:01.061 --> 01:41:05.703]  But when you look at 30-something veteran suicides a day, they're white, they're black, they're brown.
[01:41:06.903 --> 01:41:22.788]  When you look at the millions dying every few years of fentanyl and other things, when you look at the Depression, and you look at wherever you are, in the middle of nowhere, in the Appalachias or somewhere in Chicago, and the degradation and the shutdown,
[01:41:24.192 --> 01:41:33.797]  And then you look at the attempts to make it worse and to use COVID-19 to lock everything down and just to suppress us and these powerful multinational forces doing it.
[01:41:35.218 --> 01:41:42.302]  And then to see them take COVID patients and put them in nursing homes to get the death rate up and to learn they did it on purpose.
[01:41:44.243 --> 01:41:50.246]  Those of us that aren't psychotics have to still get our mind around real evil
[01:41:52.515 --> 01:41:56.959]  And somehow get the point across to other people about who we're dealing with.
[01:41:56.979 --> 01:41:58.420]  Because we have a conscience.
[01:41:58.440 --> 01:42:01.943]  So they manipulate our conscience to do what they want, but they don't have a conscience.
[01:42:02.304 --> 01:42:03.445]  Do you agree with that, Larry?
[01:42:03.485 --> 01:42:04.986]  And how do you navigate that?
[01:42:05.006 --> 01:42:13.473]  Because for me, getting people to realize that there is evil existing is one of the hardest things to do because we all project our own humanity on the things.
[01:42:13.493 --> 01:42:14.094]  Does that make sense?
[01:42:15.276 --> 01:42:21.243]  It makes total sense, and the fact of the matter is that you said something that I think is extremely important.
[01:42:22.004 --> 01:42:24.407]  You said, we have a conscience.
[01:42:24.807 --> 01:42:25.228]  We do.
[01:42:25.748 --> 01:42:28.151]  However, those lunatics
[01:42:28.846 --> 01:42:36.452]  Those insidious individuals, and collectively speaking, people like Pelosi, okay?
[01:42:36.672 --> 01:42:39.274]  Who comes from an organized crime family.
[01:42:39.554 --> 01:42:43.717]  And Hillary Clinton, who also comes from an organized crime family.
[01:42:44.038 --> 01:42:55.086]  And people like Joe Biden, who had the unmitigated audacity of an alley cat to dare to say to black people, if you don't vote for me, you're not black.
[01:42:55.346 --> 01:42:55.667]  Okay?
[01:42:56.107 --> 01:42:57.308]  This is evil.
[01:42:58.044 --> 01:43:00.125]  These people have no conscience.
[01:43:00.705 --> 01:43:03.346]  I repeat, this is evil.
[01:43:03.426 --> 01:43:04.967]  Now, how do we deal with that?
[01:43:05.627 --> 01:43:08.668]  We must connect to one another.
[01:43:09.288 --> 01:43:11.949]  We must connect to one another.
[01:43:12.110 --> 01:43:13.070]  We are not alone!
[01:43:14.150 --> 01:43:20.295]  The media, the deep state seditious media, wants us to believe that we are alone.
[01:43:20.756 --> 01:43:21.977]  But we are not alone.
[01:43:22.297 --> 01:43:25.519]  As a matter of fact, we're growing and growing and growing.
[01:43:25.960 --> 01:43:32.505]  But individually, we must connect to others of like mind and like, what's that word?
[01:43:32.886 --> 01:43:33.526]  Conscience.
[01:43:34.167 --> 01:43:36.288]  Conscience and conscious.
[01:43:36.789 --> 01:43:39.391]  We are conscious with a conscience.
[01:43:39.955 --> 01:43:42.536]  Both of those words are extremely important.
[01:43:42.836 --> 01:43:46.737]  So I absolutely concur with you, my brother Alex.
[01:43:47.197 --> 01:43:47.857]  Absolutely.
[01:43:48.317 --> 01:43:55.139]  Well, we now look at COVID coming out to be basically a hoax, and how they want us wearing masks and away from each other and alone, depressed.
[01:43:55.159 --> 01:43:58.820]  I mean, this is really an attempt at, like, cult brainwashing.
[01:43:58.840 --> 01:43:59.480]  What would you call it?
[01:44:00.500 --> 01:44:04.401]  Well, it's an attempt to basically use fear
[01:44:05.194 --> 01:44:12.537]  This is what has always been an effective weapon, and that is keep people in fear.
[01:44:12.837 --> 01:44:15.798]  That way you can control and manipulate them.
[01:44:16.178 --> 01:44:17.099]  Keep them in fear.
[01:44:17.719 --> 01:44:20.840]  What we have to do is exactly the opposite.
[01:44:21.440 --> 01:44:24.321]  We have to say, I will not be fearful.
[01:44:25.042 --> 01:44:30.764]  I will unite with my brothers and sisters of all colors, whether you like it or not.
[01:44:31.836 --> 01:44:42.158]  And I will continue to be vigilant, watching the moves, the moves, plural, not just moves, but the moves of the deep state globalists.
[01:44:42.498 --> 01:44:42.818]  Okay?
[01:44:43.178 --> 01:44:45.659]  This is not the end game.
[01:44:45.959 --> 01:44:51.240]  They've got all kinds of despicable, insidious plans ahead.
[01:44:51.640 --> 01:44:55.221]  But what we have on our side is we have each other.
[01:44:56.097 --> 01:45:01.659]  Each other and that's extremely powerful and that's something that the media
[01:45:02.478 --> 01:45:08.243]  The Deep State Democrats and the Rhino Republicans for that matter, they don't want you to know that.
[01:45:08.624 --> 01:45:11.666]  They want you to think that you're alone, you're by yourself.
[01:45:12.067 --> 01:45:12.807]  You're not alone.
[01:45:13.108 --> 01:45:14.229]  You're not by yourself.
[01:45:14.709 --> 01:45:23.457]  And there are a lot of people, millions, millions, who think, who are thinking just like you and who are conscious.
[01:45:23.797 --> 01:45:27.681]  So I say these are times for us to take heart.
[01:45:28.624 --> 01:45:40.071]  To gird ourselves, as the biblical expression goes, to gird ourselves, take heart, and take a position in favor of our Republic.
[01:45:40.431 --> 01:45:45.074]  Okay, Abraham Lincoln was by no means a saint, but you know what he tried to do?
[01:45:45.615 --> 01:45:52.559]  And he succeeded in doing, against, by the way, Democrats, Democrat, against Democrat,
[01:45:53.126 --> 01:45:54.006]  I mean, I agree with you, but
[01:46:19.995 --> 01:46:22.957]  How do you, we have an open, free society compared to others.
[01:46:23.537 --> 01:46:25.278]  They're using that to do this.
[01:46:25.578 --> 01:46:30.801]  How do, they never get punished for Russiagate, or Ukrainegrate, or now this.
[01:46:31.162 --> 01:46:32.882]  I'm wondering what they'll do next if this fails.
[01:46:33.303 --> 01:46:36.104]  COVID-19 hoax, you know, now this thing.
[01:46:36.144 --> 01:46:45.630]  I mean, what's the, I mean, I gotta say, like, I don't want authoritarianism, but there's gotta be a system through due process where the deep state gets punished.
[01:46:47.196 --> 01:46:47.616]  You're right.
[01:46:47.837 --> 01:46:48.297]  You're right.
[01:46:48.437 --> 01:46:50.999]  And the deep state has yet to be punished.
[01:46:51.679 --> 01:46:55.783]  The expose of what they have done and are doing is out there.
[01:46:56.123 --> 01:46:56.643]  It is out there.
[01:46:56.663 --> 01:47:01.487]  You're not going to get it from CNN or MSNBC or ABC or CBS or PBF.
[01:47:02.153 --> 01:47:03.594]  But you can get it on the internet.
[01:47:04.135 --> 01:47:05.837]  You can get it from InfoWars.
[01:47:06.397 --> 01:47:07.098]  You can get it.
[01:47:07.178 --> 01:47:08.599]  The information is out there.
[01:47:08.639 --> 01:47:09.000]  No, I agree.
[01:47:09.060 --> 01:47:11.983]  So people who know what's going on, the audience gets it.
[01:47:12.403 --> 01:47:14.125]  They've got to realize it's not just like a side thing.
[01:47:14.205 --> 01:47:17.348]  Oh, I need to promote this, this live feed, articles, you write articles.
[01:47:17.928 --> 01:47:19.530]  The people need to know, though.
[01:47:19.910 --> 01:47:20.771]  They really need to know.
[01:47:20.791 --> 01:47:23.314]  And I think right now we're barely winning.
[01:47:23.634 --> 01:47:26.477]  I think we are winning, but people need to know it's very, very close.
[01:47:27.446 --> 01:47:28.026]  It is close.
[01:47:28.607 --> 01:47:34.390]  And because it's close, what we have to do, and I say this all the time, intensify!
[01:47:34.730 --> 01:47:35.651]  Intensify!
[01:47:36.031 --> 01:47:36.351]  Alright?
[01:47:36.732 --> 01:47:46.097]  We are in a life and death struggle for not only ourselves individually, but collectively for our Republic, for our Union.
[01:47:46.518 --> 01:47:48.098]  And yes, I think we are winning.
[01:47:48.439 --> 01:47:55.303]  You'll never hear that on CNN, but you know, that's like going to the devil and asking the devil to tell you about God.
[01:47:55.643 --> 01:47:56.884]  That's, that's absurd.
[01:47:56.944 --> 01:47:57.725]  That's ludicrous.
[01:47:57.805 --> 01:47:59.946]  Asking the fox who ate the chickens.
[01:48:01.468 --> 01:48:05.291]  We're going to come back and I'm going to give you the floor because you are an amazing person.
[01:48:05.911 --> 01:48:06.912]  Give us a little forte.
[01:48:06.932 --> 01:48:07.672]  We got 30 seconds.
[01:48:07.692 --> 01:48:08.573]  What do you want to cover next?
[01:48:09.894 --> 01:48:13.617]  Brother, I'll go wherever you want to go, wherever you think that your audience wants to go.
[01:48:13.637 --> 01:48:14.077]  No, I'm asking you.
[01:48:14.097 --> 01:48:14.658]  Where do you want to go?
[01:48:15.598 --> 01:48:18.339]  Well, I would like to talk about unity.
[01:48:18.799 --> 01:48:25.620]  I would like to talk about what we as everyday, ordinary, black, white, brown, red, and yellow people can do together.
[01:48:26.040 --> 01:48:33.182]  I would like to encourage my brothers and sisters, because all we're getting is media vomit.
[01:48:34.182 --> 01:48:36.883]  And they do it in the name of unity, disunity.
[01:48:37.223 --> 01:48:42.464]  Larry Pinckney, former original Black Panther Party member, straight ahead, I'm Alex Jones.
[01:48:43.919 --> 01:48:46.801]  We've got Millie Weaver, investigative journalist, joining us in the fourth hour.
[01:48:46.821 --> 01:48:47.702]  I'll be hosting with her.
[01:48:47.782 --> 01:48:48.222]  Stay with us.
[01:48:49.923 --> 01:48:50.404]  Welcome back.
[01:48:50.464 --> 01:48:51.244]  Alex Jones here.
[01:48:51.384 --> 01:49:07.736]  I remember 20 plus years ago reading Ray Kurzweil and others that were hired by Google as their top futurist saying, oh, the post-human world will be here by 2040 and we might let you survive, but everybody else will merge the machines and we're going to get rid of the family unit and do all this.
[01:49:08.437 --> 01:49:10.618]  And back then I'm like, well, those are delusional billionaires.
[01:49:10.658 --> 01:49:11.279]  They won't do it.
[01:49:13.783 --> 01:49:18.807]  But then you read deeper and deeper and deeper and you watch them implementing it.
[01:49:19.688 --> 01:49:20.889]  And you're like, this is psychotic.
[01:49:20.909 --> 01:49:21.749]  It doesn't make sense.
[01:49:21.890 --> 01:49:22.610]  They're doing it.
[01:49:24.892 --> 01:49:25.833]  The post-human future.
[01:49:27.454 --> 01:49:43.267]  And so while we're acting like idiots, debating what color somebody is or all of this, and while the system manipulates that, you know, with real agendas, there's this bigger agenda behind it.
[01:49:45.492 --> 01:49:50.835]  And so I pull back and I look at this and I know the globalists have a post-human world they want.
[01:49:52.176 --> 01:49:54.878]  And then I see Trump and others, at least on the surface, trying to fight it.
[01:49:55.678 --> 01:49:57.439]  And I see all the dumbing down that's going on.
[01:49:57.479 --> 01:50:00.401]  Larry Pinckney, you got the floor of this segment.
[01:50:01.161 --> 01:50:07.986]  One of the founding members of the original Black Panther Party, not to be confused with the new one, about unity and how we transcend this.
[01:50:09.131 --> 01:50:14.952]  Uh, because I can run into a group of brainwashed black people that are racist, or you can run into a brainwashed group of white people that are racist.
[01:50:15.332 --> 01:50:22.273]  That doesn't mean there isn't like tribalism going on, but how do you be able to transcend that to see the larger manipulation?
[01:50:23.634 --> 01:50:25.614]  You take control of the narrative.
[01:50:26.714 --> 01:50:27.994]  And let me be specific.
[01:50:28.034 --> 01:50:34.436]  When I say you take control of the narrative, you stop ingesting the, the, the vomit.
[01:50:34.736 --> 01:50:35.576]  And that's what it is.
[01:50:35.796 --> 01:50:36.956]  It's unmitigated vomit.
[01:50:37.608 --> 01:50:39.169]  That we are being fed.
[01:50:39.890 --> 01:50:47.335]  You know, you don't waste time, energy, or emotions dealing with or stirring up the vomit.
[01:50:48.235 --> 01:50:51.598]  You link to those who like you.
[01:50:52.278 --> 01:51:02.125]  There are many people out there, I've been meeting neighbors recently, that I've been quite surprised to learn that, oh my god, they're actually thinking like me!
[01:51:02.786 --> 01:51:03.166]  Wow!
[01:51:03.706 --> 01:51:06.108]  Okay, but I had to open my mouth,
[01:51:06.900 --> 01:51:10.387]  Gently say some things and see what their responses would be.
