[00:00:05.264 --> 00:00:07.305]  Careful what you wish.
[01:55:59.079 --> 01:56:01.700]  And they put out the second one, Winter Soldier, that had a really good plot.
[01:56:01.700 --> 01:56:03.941]  It was a good film.
[01:56:03.941 --> 01:56:05.862]  I'm not against superheroes and fantasy.
[01:56:05.862 --> 01:56:09.944]  They're all archetypes.
[01:56:09.944 --> 01:56:11.425]  But I walked out halfway through it.
[01:56:11.425 --> 01:56:13.546]  I read the synopsis once I got home so I could comment on it.
[01:56:13.546 --> 01:56:14.846]  It's exactly what I thought it was.
[01:56:14.846 --> 01:56:16.567]  A bunch of world government propaganda.
[01:56:16.567 --> 01:56:20.169]  And it's got false flags in it and things like that.
[01:56:25.145 --> 01:56:26.226]  They're not movies anymore.
[01:56:26.226 --> 01:56:39.934]  They're two and a half hour globalist brainwashing scams where they'll have the stuff for Africa, the stuff for China, the stuff for Europe, the stuff for Latin America, where everybody gets their little part of the movie so it's an international bestseller worldwide.
[01:56:39.934 --> 01:56:41.615]  But it's not about the money.
[01:56:41.615 --> 01:56:45.558]  It's about selling that image and that idea.
[01:56:45.558 --> 01:56:51.781]  I know everybody knows that, but still people just sit there and watch this crap and they make it unwatchable.
[01:56:51.781 --> 01:56:54.083]  If it's going to be propaganda, at least make it watchable.
[01:56:55.299 --> 01:56:57.280]  But it's so dumbed down.
[01:56:57.280 --> 01:56:59.540]  It's so dumbed down, I just go read the synopsis.
[01:56:59.540 --> 01:57:02.421]  Because it's just, it's horrible.
[01:57:02.421 --> 01:57:03.962]  It's like the Fast and Furious movies.
[01:57:03.962 --> 01:57:05.963]  You know, the first few were okay.
[01:57:05.963 --> 01:57:07.443]  It was more just hot rods racing each other.
[01:57:07.443 --> 01:57:08.964]  By the end it was like cartoons.
[01:57:08.964 --> 01:57:14.226]  Guys driving cars five miles down mountains, running into four foot tall boulders.
[01:57:14.226 --> 01:57:16.366]  Just total fantasy land.
[01:57:16.366 --> 01:57:19.687]  Mario Brothers is more real.
[01:57:19.687 --> 01:57:20.988]  And people believe this stuff.
[01:57:22.796 --> 01:57:30.938]  Because the globalists are using psych warfare to overthrow reality, so that when they start doing really bad stuff, people are already desensitized to it and accept it.
[01:57:30.938 --> 01:57:33.038]  And I know you know that, but let's go to John Kerry.
[01:57:33.038 --> 01:57:35.199]  I mentioned this the last couple hours, never got to it.
[01:57:35.199 --> 01:57:41.760]  Here he is at a commencement speech, taking a quote, swipe at Trump, saying, get ready for a borderless world.
[01:57:41.760 --> 01:57:44.441]  He looks like somebody from the Adams family.
[01:57:44.441 --> 01:57:46.261]  He's got a rubber face.
[01:57:46.261 --> 01:57:48.782]  He's a lying criminal that backed ISIS and Al Qaeda.
[01:57:49.642 --> 01:57:55.087]  And then he says we've got to have open borders, but checkpoints for citizens internally.
[01:57:55.087 --> 01:58:03.414]  When they say open borders, they mean world government running over your sovereignty because these traitors have transferred power to themselves offshore.
[01:58:03.414 --> 01:58:05.215]  Let's play the clip.
[01:58:05.215 --> 01:58:10.140]  Many of you were in elementary school when you learned the toughest lesson of all on 9-11.
[01:58:10.140 --> 01:58:17.246]  There are no walls big enough to stop people from anywhere tens of thousands of miles away.
[01:58:18.092 --> 01:58:21.935]  Who are determined to take their own lives while they target others.
[01:58:21.935 --> 01:58:36.667]  So I think that everything that we've lived and learned tells us that we will never come out on top if we accept advice from soundbite salesmen and carnival barkers who pretend the most powerful country on earth can remain great.
[01:58:36.667 --> 01:58:40.571]  We'll be back with the rest of the clip where he says get rid of the borders, but this is the carnival barker.
[01:58:40.571 --> 01:58:42.512]  These are the people that lie.
[01:58:42.512 --> 01:58:44.514]  These are the known quantities, the frauds.
[01:58:47.346 --> 01:58:50.028]  He flicks his tongue like a snake the whole time?
[01:58:50.028 --> 01:58:50.668]  Uh, yeah, Alex.
[01:58:50.668 --> 01:58:56.491]  First of all, I want to say, Bigfoot 12, X2, Supermail, Brain Force, Prostagart, Silver Bullet.
[01:58:56.491 --> 01:58:57.452]  I use them all.
[01:58:57.452 --> 01:58:58.433]  They're phenomenal.
[01:58:58.433 --> 01:58:59.173]  They work.
[01:58:59.173 --> 01:59:00.013]  Buy them, folks.
[01:59:00.013 --> 01:59:00.394]  Thank you, brother.
[01:59:00.394 --> 01:59:02.415]  I want to thank you guys for putting those out there.
[01:59:02.415 --> 01:59:08.638]  I am a relatively short-time listener, and I'm quite a supporter of your fine, fine products.
[01:59:08.638 --> 01:59:10.640]  Welcome to the InfoWar.
[01:59:10.640 --> 01:59:16.043]  It's so easy to get these incredible nutraceuticals that support your health and the InfoWar at the same time.
[01:59:16.443 --> 01:59:17.204]  I'm a nine-year listener.
[01:59:17.204 --> 01:59:20.967]  I buy all the Nutraceuticals, AcuFX, uh, Nascent... Right!
[01:59:20.967 --> 01:59:21.888]  Let me ask you a question.
[01:59:21.888 --> 01:59:22.929]  Have they worked for you?
[01:59:22.929 --> 01:59:25.791]  They're the most unbelievable products I've ever had in my life.
[01:59:25.791 --> 01:59:26.872]  What products are you taking?
[01:59:26.872 --> 01:59:35.140]  Are you taking... Everything from, uh, Super Male to, uh, Brain Force to Winter Sun, uh, X2, even got a little, uh, DNA Force.
[01:59:35.140 --> 01:59:38.623]  So, and I just re-upped everything, and I just went to Autofill.
[01:59:38.783 --> 01:59:43.805]  Visit Infowarslives.com to read the information and research and to see the reviews for yourself.
[01:59:43.805 --> 01:59:45.386]  That's Infowarslives.com or call 888-253-3139.
[01:59:45.386 --> 01:59:46.667]  You're listening to the Alex Jones Show.
[02:00:11.602 --> 02:00:18.663]  Live from the Infowars.com studios, it's Alex Jones.
[02:00:18.663 --> 02:00:32.406]  Ridin' down the highway Goin' to a show!
[02:00:32.406 --> 02:00:34.107]  Goin' to a show!
[02:00:34.107 --> 02:00:41.108]  Stoppin' on the byway Playin' rock and roll!
[02:00:51.282 --> 02:00:52.763]  Love it.
[02:00:52.763 --> 02:00:54.184]  Gets took.
[02:00:54.184 --> 02:00:56.445]  I'm here to tell ya!
[02:00:56.445 --> 02:00:58.886]  It's harder than it looks.
[02:01:01.640 --> 02:01:10.164]  I'll tell you one thing, all the adversity I've gone through over the years made me who I am.
[02:01:10.164 --> 02:01:12.786]  And that's why they want a nanny state.
[02:01:12.786 --> 02:01:16.427]  That's why they want you coddled and soft and stupid.
[02:01:16.427 --> 02:01:25.011]  When I was growing up reading Nietzsche, I started reading him when I was about 12, I really thought, really, that which doesn't kill you only makes you stronger?
[02:01:25.011 --> 02:01:28.613]  But as I get older, I realize that that is absolutely true.
[02:01:30.492 --> 02:01:36.334]  That which doesn't kill you only makes you stronger.
[02:01:36.334 --> 02:01:42.415]  And the things I've learned about media and just in my 21 years on air is just mind-blowing.
[02:01:42.415 --> 02:01:48.557]  We're gonna go to break in a moment, come back and go to Peter and Darren and Bill and Parker and Anthony and all the big news.
[02:01:48.557 --> 02:01:51.938]  I went to the carry clip late so I got cut off by the break.
[02:01:51.938 --> 02:01:55.279]  There's, you know, there's satellites so I can't really skip breaks at the end of the hour.
[02:01:58.792 --> 02:02:00.553]  Saying, hey, we don't have borders.
[02:02:00.553 --> 02:02:07.757]  And then making fun of Donald Trump and, you know, flicking his tongue and calling him a carnival show barker.
[02:02:07.757 --> 02:02:14.061]  You've got these criminal mummies up here that he's been backing ISIS, backing Al Qaeda, with John McCain and Obama.
[02:02:14.061 --> 02:02:16.903]  It's all come out, Benghazi, you name it.
[02:02:16.903 --> 02:02:24.327]  And he says that we learned on 9-11 we're not safe, so why even have borders?
[02:02:24.327 --> 02:02:25.988]  But when I flew in from Mexico,
[02:02:27.765 --> 02:02:39.770]  Last year, and I had bought my father a $1,800 watch for his birthday that was coming up.
[02:02:39.770 --> 02:02:42.671]  I didn't buy it in Mexico because you can get a little bit cheaper there.
[02:02:42.671 --> 02:02:45.152]  We're trying to get around the duty or whatever.
[02:02:45.152 --> 02:02:46.353]  I was just, I never have time to shop.
[02:02:46.353 --> 02:02:47.593]  So I'm on vacation for five days.
[02:02:47.593 --> 02:02:49.234]  I go to the shops.
[02:02:49.234 --> 02:02:50.574]  Oh, there's a nice watch.
[02:02:50.574 --> 02:02:53.475]  I'll get my dad a watch.
[02:02:53.475 --> 02:02:54.856]  A little dive watch, a tag.
[02:02:59.383 --> 02:03:09.011]  They sit there and put me in a database when I'm buying, and I think it's weird, and then I'm going through the thing into customs, and I'd put on there, you know, $2,000 or whatever, because I bought some other stuff.
[02:03:09.011 --> 02:03:10.472]  And the woman goes, did you buy a watch?
[02:03:10.472 --> 02:03:11.313]  And I said, yeah, yeah.
[02:03:11.313 --> 02:03:11.954]  Well, how much was it?
[02:03:11.954 --> 02:03:12.294]  I don't know.
[02:03:12.294 --> 02:03:12.834]  It's in that bag.
[02:03:12.834 --> 02:03:14.576]  She goes, uh-huh.
[02:03:14.576 --> 02:03:18.279]  You're going back here to get basically searched.
[02:03:18.279 --> 02:03:21.542]  And I'd even put it on there, but it was just an excuse to mess with me.
[02:03:21.542 --> 02:03:23.443]  Everything is totally, and I went and looked it up.
[02:03:23.443 --> 02:03:24.845]  Sure enough, they got a database back and forth.
[02:03:25.814 --> 02:03:27.676]  Everything is totally tracked.
[02:03:27.676 --> 02:03:29.977]  These countries are all working together.
[02:03:29.977 --> 02:03:31.679]  The corporations are laundering the drug money.
[02:03:31.679 --> 02:03:33.200]  They're involved in every crime you can imagine.
[02:03:33.200 --> 02:03:37.163]  And then they sit there and micromanage.
[02:03:37.163 --> 02:03:42.767]  I was flying out to Vegas a few years ago to be on Jesse Ventura's TV show.
[02:03:42.767 --> 02:03:45.849]  They were shooting it there because it's cheaper than shooting in L.A.
[02:03:45.849 --> 02:03:51.574]  There's a rocket base outside there we were going to cover, so that was the main reason, but I'm there.
[02:03:53.240 --> 02:04:03.447]  And there's a guy on the plane who just had his 20 silver coins taken by the TSA.
[02:04:03.447 --> 02:04:07.730]  And then sure enough, I didn't even know it, but I Googled it when we're on the plane about to take off.
[02:04:07.730 --> 02:04:09.071]  And it was all over the country.
[02:04:09.071 --> 02:04:11.713]  They were taking people's coins.
[02:04:11.713 --> 02:04:15.396]  And by the way, he was going to a silver and gold convention.
[02:04:15.396 --> 02:04:20.940]  He was going to sell his coins to have money to then, you know, go do whatever he was going to engage in.
[02:04:23.820 --> 02:04:25.903]  And it's just, wow, that's such a free country.
[02:04:25.903 --> 02:04:30.070]  You can't fly with 20 silver coins.
[02:04:30.070 --> 02:04:35.518]  And then other people start talking on the plane about stuff they had taken.
[02:04:35.518 --> 02:04:38.383]  It's just all part of training us that we're prisoners.
[02:04:40.862 --> 02:04:43.763]  And I'm going for, remember, there's been so many of those cases.
[02:04:43.763 --> 02:04:53.987]  It's just, we're treated like slaves, we have no rights, but oh, we're gonna bring in unlimited Muslims from war-torn areas, cover up the actual numbers, and then we're gonna comply with their culture.
[02:04:53.987 --> 02:04:56.868]  That's how much these people hate the West.
[02:04:56.868 --> 02:04:57.788]  They're out to get us.
[02:04:59.864 --> 02:05:01.985]  December 23rd, 1776.
[02:05:01.985 --> 02:05:05.307]  These are the times that try men's souls.
[02:05:05.307 --> 02:05:10.329]  The summer soldier and the sunshine patriot will, in this crisis, shrink from the service of their country.
[02:05:10.329 --> 02:05:15.131]  But he that stands by it now deserves the love and thanks of man and woman.
[02:05:15.131 --> 02:05:17.753]  Tyranny, like hell, is not easily conquered.
[02:05:17.753 --> 02:05:22.755]  Yet we have this consolation with us, that the harder the conflict, the more glorious the triumph.
[02:05:22.755 --> 02:05:25.797]  What we obtain too cheap, we esteem too lightly.
[02:05:25.797 --> 02:05:28.438]  It is dearness only that gives everything its value.
[02:05:28.758 --> 02:05:37.464]  Heaven knows how to put a proper price on its goods, and it would be strange indeed if so celestial an article as freedom should not be highly rated.
[02:05:37.464 --> 02:05:45.850]  Britain, with an army to enforce her tyranny, has declared that she has a right not only to tax, but to bind us in all cases whatsoever.
[02:05:45.850 --> 02:05:51.093]  And if being bound in that matter is not slavery, then there is no such thing as slavery upon Earth.
[02:05:51.093 --> 02:05:56.077]  Even the expression is impious, for so unlimited a power can only belong to God.
[02:05:56.957 --> 02:05:58.978]  Thomas Paine, The American Crisis.
[02:06:26.977 --> 02:06:35.865]  Instead of buying five, six, or even seven different cleansing products, we use decades-old scientific research to put together the Rolls-Royce of all-in-one cleansing.
[02:06:35.865 --> 02:06:42.951]  Look, there's a reason Deep Cleanse is the only product on the market that uses our proprietary Spi-Ger-X herbal processing technique.
[02:06:42.951 --> 02:06:48.296]  We use only the highest quality organic herbs, backed by serious research, and we still bring it to you the best way.
[02:06:48.596 --> 02:06:54.220]  If you wish to find deep cleanse and experience the all-in-one cleansing, visit InfoWarsLife.com.
[02:06:54.220 --> 02:06:57.402]  That's InfoWarsLife.com or call 888-253-3139.
[02:06:57.402 --> 02:07:01.545]  BrainForce, it's completely different.
[02:07:01.545 --> 02:07:02.766]  Try a bottle of it.
[02:07:02.766 --> 02:07:04.367]  Rob Dew joins us.
[02:07:04.367 --> 02:07:07.469]  You worked, I guess, like 20 plus hours.
[02:07:07.469 --> 02:07:08.530]  Tell us what BrainForce did.
[02:07:08.530 --> 02:07:09.591]  I'd been working all day.
[02:07:09.591 --> 02:07:12.012]  I took a couple hours off coaching basketball.
[02:07:12.012 --> 02:07:13.413]  I get in here at 830.
[02:07:13.413 --> 02:07:15.335]  I was kind of run down.
[02:07:15.335 --> 02:07:17.096]  You know, I just didn't feel like I was gonna make it.
[02:07:17.256 --> 02:07:19.138]  And I really wanted to do a good job on the interview.
[02:07:19.138 --> 02:07:20.979]  I got my bottle of Brain Force right there.
[02:07:20.979 --> 02:07:22.020]  I popped two of them.
[02:07:22.020 --> 02:07:24.302]  And about 20 minutes later, it's like, bing!
[02:07:24.302 --> 02:07:26.243]  Everything just kind of clears up.
[02:07:26.243 --> 02:07:27.744]  It's got four and a half stars.
[02:07:27.744 --> 02:07:29.085]  People really love it.
[02:07:29.085 --> 02:07:29.686]  Read about it.
[02:07:29.686 --> 02:07:33.529]  Find out why third-party nutraceutical sites give it such high praise.
[02:07:33.529 --> 02:07:38.813]  Because it really does have the best organic-based systems that will blow your socks off.
[02:07:38.993 --> 02:07:43.015]  I haven't pulled an all-nighter like that in a while, but I probably could not have done it without Brain Force.
[02:07:43.015 --> 02:07:49.158]  I went home about 6.45 this morning, took three hours of sleep, got up, took two more Brain Force and came in.
[02:07:49.158 --> 02:07:55.081]  You will find Brain Force and other game-changing products at InfoWarsLife.com or call 888-253-3139.
[02:08:08.602 --> 02:08:17.309]  You're not gonna have an AI computer come up with something as beautiful as that guitar, that Spanish guitar, are you?
[02:08:17.309 --> 02:08:17.630]  No.
[02:08:17.630 --> 02:08:21.593]  Humanity's just begun our climb to the stars.
[02:08:21.593 --> 02:08:27.258]  He aligns himself with the truth, and it's time for you to choose a side.
[02:08:27.258 --> 02:08:29.560]  You're listening to Alex Jones.
[02:08:35.000 --> 02:08:35.741]  I just love humanity.
[02:08:35.741 --> 02:08:38.703]  And I hate seeing this played off against each other.
[02:08:38.703 --> 02:08:42.026]  This, of course, from the soundtrack to The Big Lebowski.
[02:09:03.485 --> 02:09:09.908]  All right, I want to go to your phone calls, and then I do want to go through a bunch of news.
[02:09:09.908 --> 02:09:15.370]  We have Leanne McAdoo coming in here to talk about Facebook censorship.
[02:09:15.370 --> 02:09:17.791]  Facebook, admittedly, censors.
[02:09:17.791 --> 02:09:20.692]  They want to keep it secret.
[02:09:20.692 --> 02:09:21.753]  There's this false argument.
[02:09:21.753 --> 02:09:23.333]  Well, that's their corporate platform.
[02:09:23.333 --> 02:09:25.214]  They can do whatever they want.
[02:09:25.214 --> 02:09:30.677]  They've had mainstream media running around, what's left of it, you know, the last few months, saying, hey, you own Facebook.
[02:09:30.677 --> 02:09:31.477]  Censor more.
[02:09:33.240 --> 02:09:37.463]  Just don't allow Trump people or pro-gun people on their period.
[02:09:37.463 --> 02:09:39.345]  But see, they want to do it stealthily.
[02:09:39.345 --> 02:09:40.906]  They want to advertise it's open.
[02:09:40.906 --> 02:09:42.407]  They want everybody's data.
[02:09:42.407 --> 02:09:47.171]  They want you to be there so that you're not on other platforms building those.
[02:09:47.171 --> 02:09:51.314]  They just want to have you there so they can control you.
[02:09:51.314 --> 02:09:56.578]  People say, well then why are you on Facebook or Twitter?
[02:09:56.578 --> 02:09:57.199]  Well, it's simple.
[02:09:58.328 --> 02:09:59.469]  Because that's where the fight is.
[02:09:59.469 --> 02:10:01.231]  Because they don't want me there.
[02:10:01.231 --> 02:10:05.475]  I'm there to expose them on their own platform.
[02:10:05.475 --> 02:10:07.297]  They don't count on us being bold.
[02:10:07.297 --> 02:10:09.019]  They don't count on us being aggressive.
[02:10:09.019 --> 02:10:10.580]  They don't count on us taking action.
[02:10:10.580 --> 02:10:12.983]  I'm telling you, these people are easily defeated.
[02:10:15.905 --> 02:10:27.391]  I snuck into Bohemian Grove because I'd snuck into some military training operations and been covered by the British media and John Ronson who wrote the book, Ministeric Goats, and Them, and a bunch of other big hit Hollywood movies.
[02:10:27.391 --> 02:10:30.953]  We wrote books that were made into films.
[02:10:30.953 --> 02:10:36.096]  And he was covering Waco for a TV show he was doing for, I think it was BBC, and he said, have you heard of Bohemian Grove?
[02:10:36.096 --> 02:10:37.677]  They do these weird rituals.
[02:10:37.677 --> 02:10:38.517]  And this is like 1998.
[02:10:38.517 --> 02:10:42.820]  It's like a year and a half before I even infiltrated.
[02:10:44.895 --> 02:10:47.176]  And I said, yeah, I heard all that and skull and bones.
[02:10:47.176 --> 02:10:48.216]  But I said, I don't go there.
[02:10:48.216 --> 02:10:52.018]  I just cover, you know, Second Amendment, the Federal Reserve is private and stuff like that.
[02:10:52.018 --> 02:10:53.018]  And Waco is wrong.
[02:10:53.018 --> 02:10:54.738]  And, you know, I'm just a constitutionalist.
[02:10:54.738 --> 02:10:57.079]  He's like, listen, I got an insider.
[02:10:57.079 --> 02:10:59.920]  I can't sneak in there because of liability.
[02:10:59.920 --> 02:11:01.161]  Our insurance won't cover it.
[02:11:01.161 --> 02:11:03.942]  You have snuck into military bases and things.
[02:11:03.942 --> 02:11:07.703]  And you've, you've, you know, done this before.
[02:11:07.703 --> 02:11:10.064]  And we're going to pay you to go in.
[02:11:11.775 --> 02:11:15.196]  It's only four days, we'll get you out there, you'll meet with our insider, all the rest of it.
[02:11:15.196 --> 02:11:16.836]  I said, sure, I'll do it.
[02:11:16.836 --> 02:11:21.097]  A year passes, he calls up, he goes, we're ready, in six months you're ready to go.
[02:11:21.097 --> 02:11:33.759]  So six months passes, and we fly out there, we do it, I go in, dozens of people's gone in from CBS News and People Magazine and you name it, all got arrested, all got stopped.
[02:11:33.759 --> 02:11:39.240]  But I prayed before I went in that God give me the strength
[02:11:42.031 --> 02:11:44.773]  To get in and to be undetected and to get it all.
[02:11:44.773 --> 02:11:55.262]  And I went in, I rode in on the bus, the parking lot, got questioned by the Secret Service three times, the sheriff's deputies once.
[02:11:55.262 --> 02:12:05.150]  Successfully, you know, talked to them, knew enough about the internal passwords and things to get in and get the footage of them engaging in a satanic ritual.
[02:12:09.158 --> 02:12:16.121]  And I'm not bragging that I was successful at doing that, but I've always been successful.
[02:12:16.121 --> 02:12:26.366]  All the other reporters were so arrogant that they would march into the different camps and begin basically conducting interviews with people and asking them questions.
[02:12:26.366 --> 02:12:29.367]  So, of course, they would all go, wait one moment, and then they'd get the police.
[02:12:32.230 --> 02:12:33.992]  That's what I mean about the establishment media.
[02:12:33.992 --> 02:12:40.277]  They're all so arrogant and so insecure and they overcompensate that they all just stick out like sore thumbs.
[02:12:40.277 --> 02:12:42.559]  They just can't get anything done.
[02:12:42.559 --> 02:12:45.362]  They're losers.
[02:12:45.362 --> 02:12:50.307]  But I'm here to tell you, when we take action against these people, they're paper tigers.
[02:12:50.307 --> 02:12:51.928]  They're straw dogs.
[02:12:51.928 --> 02:12:53.269]  They're not real.
[02:12:53.269 --> 02:12:53.970]  It's all bravado.
[02:12:57.625 --> 02:12:59.446]  And that's why they've sought to dumb everybody down.
[02:12:59.446 --> 02:13:02.066]  And I know I'm stating the obvious here, but this is the reality.
[02:13:02.066 --> 02:13:06.508]  Let me hit some headlines and I'm going to your phone calls.
[02:13:06.508 --> 02:13:14.450]  Roger Stone, Ryan, and Priebus planning to extort Trump at RNC may even try to steal the nomination that is back on by these two crazy men.
[02:13:14.450 --> 02:13:18.031]  The Speaker of the House and then his little buddy, Priebus.
[02:13:18.031 --> 02:13:19.872]  I mean, Priebus looks like a bad guy from a movie.
[02:13:19.872 --> 02:13:20.872]  Just another arrogant,
[02:13:22.657 --> 02:13:27.760]  What is it about weak men that have some intellect and know how to scheme that they think they're smarter than everybody?
[02:13:27.760 --> 02:13:30.902]  There's a softness to them.
[02:13:30.902 --> 02:13:34.625]  There's a Glenn Beck softness.
[02:13:34.625 --> 02:13:35.425]  Continuing.
[02:13:35.425 --> 02:13:39.468]  Donald Trump won't rule out effort to remove Paul Ryan as convention chairman.
[02:13:39.468 --> 02:13:40.649]  Absolutely.
[02:13:40.649 --> 02:13:41.870]  Punish him.
[02:13:41.870 --> 02:13:42.730]  Run him into the ground.
[02:13:42.730 --> 02:13:44.972]  You've already defeated him, Trump, with grassroots movements.
[02:13:44.972 --> 02:13:47.393]  They tried to openly say you wouldn't get it regardless.
[02:13:47.393 --> 02:13:47.854]  That failed.
[02:13:47.854 --> 02:13:48.794]  They had to back off.
[02:13:48.794 --> 02:13:50.175]  Now they're scheming again.
[02:13:50.175 --> 02:13:51.076]  Run him over again!
[02:13:52.281 --> 02:13:53.722]  Don't give these dogs quarter.
[02:13:53.722 --> 02:13:54.963]  They don't give us quarter.
[02:13:54.963 --> 02:13:57.964]  They're dishonorable, dishonest, jacobins.
[02:13:57.964 --> 02:14:00.006]  All of them.
[02:14:00.006 --> 02:14:02.527]  They are jacobins.
[02:14:02.527 --> 02:14:05.229]  They are jacobins.
[02:14:05.229 --> 02:14:13.674]  Jacobin of old, jacobin of today, jacobin of the future falls.
[02:14:13.674 --> 02:14:14.354]  So sick of them.
[02:14:17.921 --> 02:14:22.903]  Trump slams Hillary Clinton as nasty mean enabler of husband's affairs and sexual improprieties.
[02:14:22.903 --> 02:14:24.043]  Absolutely, he's going there.
[02:14:24.043 --> 02:14:27.325]  Donald Trump calls Hillary Clinton nasty mean enabler.
[02:14:27.325 --> 02:14:33.387]  Donald Trump, enabler in sexual attacks.
[02:14:33.387 --> 02:14:34.487]  Does it have to be unified?
[02:14:34.487 --> 02:14:41.830]  Defiant Trump says he can win without backing of Republican leaders and says party doesn't need to show united support.
[02:14:41.830 --> 02:14:46.412]  The people that have hijacked the party and are running it with the globalists are the enemy occupiers.
[02:14:47.927 --> 02:14:51.353]  We're going to go to that clip of him saying it doesn't need to be unified here in just a moment.
[02:14:51.353 --> 02:14:53.897]  In fact, let's go ahead and go to that clip now.
[02:14:55.086 --> 02:14:56.227]  Does it have to be unified?
[02:14:56.227 --> 02:14:57.887]  I'm very different than everybody else.
[02:14:57.887 --> 02:14:59.868]  Perhaps it's ever run for office.
[02:14:59.868 --> 02:15:01.529]  I actually don't think so.
[02:15:01.529 --> 02:15:02.850]  It doesn't have to be unified?
[02:15:02.850 --> 02:15:03.530]  No, I don't think so.
[02:15:03.530 --> 02:15:05.431]  I think it would be better if it were unified.
[02:15:05.431 --> 02:15:08.452]  I think there would be something good about it.
[02:15:08.452 --> 02:15:12.214]  But I don't think it actually has to be unified in the traditional sense.
[02:15:12.214 --> 02:15:16.656]  Because I think I'm going to go out and I'm going to get millions of people from the Democrats.
[02:15:16.656 --> 02:15:19.638]  I'm going to get Bernie people because they like me on trade.
[02:15:19.638 --> 02:15:21.759]  I have to stay true to my principles also.
[02:15:22.279 --> 02:15:25.521]  And I'm a conservative, but don't forget, this is called the Republican Party.
[02:15:25.521 --> 02:15:26.842]  It's not called the Conservative Party.
[02:15:26.842 --> 02:15:28.283]  You know, there are conservative parties.
[02:15:28.283 --> 02:15:30.304]  This is called the Republican Party.
[02:15:30.304 --> 02:15:37.028]  Yeah, and the people that claim they're the conservatives, Paul Ryan and people, it's all just fiction.
[02:15:37.028 --> 02:15:38.229]  It's all fiction.
[02:15:38.229 --> 02:15:39.130]  They'd rather Hillary.
[02:15:39.130 --> 02:15:39.930]  They've said that.
[02:15:39.930 --> 02:15:42.011]  I mean, he should resign as the Speaker.
[02:15:42.011 --> 02:15:44.433]  There should be a recall movement now, and there is with Sarah Palin.
[02:15:47.912 --> 02:15:57.035]  I mean, I'm not going to sit here and sit back while they gut the Republic and bring in world tyranny when the people we know running the show are out to get us.
[02:15:57.035 --> 02:15:58.156]  I mean, I'm not going to do it.
[02:15:58.156 --> 02:16:00.357]  I want to go to Peter here in just a moment.
[02:16:00.357 --> 02:16:04.318]  Then we'll go to Bill and Parker and Anthony and Darren and others.
[02:16:04.318 --> 02:16:05.459]  Peter, thank you for holding.
[02:16:05.459 --> 02:16:06.339]  Thank you for calling in.
[02:16:06.339 --> 02:16:08.000]  I've covered a lot so far.
[02:16:08.000 --> 02:16:09.460]  What did you want to chime in on today?
[02:16:09.460 --> 02:16:11.621]  Alex, good afternoon.
[02:16:11.621 --> 02:16:12.941]  I'm calling from Florida.
[02:16:12.941 --> 02:16:17.203]  I'd like to ask you, why do people contribute to the Republican Party
[02:16:17.995 --> 02:16:19.556]  If they're voting for Trump.
[02:16:19.556 --> 02:16:21.137]  Nobody's saying a word about this.
[02:16:21.137 --> 02:16:23.599]  I don't understand why Stone isn't saying anything.
[02:16:23.599 --> 02:16:25.560]  I don't understand why you aren't saying anything.
[02:16:25.560 --> 02:16:30.383]  Withdraw your contributions to the Republican Party.
[02:16:30.383 --> 02:16:31.083]  Here's the problem.
[02:16:31.083 --> 02:16:32.064]  I totally agree with you.
[02:16:32.064 --> 02:16:38.828]  This gets into all the minutia, but the party in a general election gets all the funds.
[02:16:38.828 --> 02:16:42.551]  It has to go through that once you get to that point, once you leave the primaries.
[02:16:43.604 --> 02:16:46.527]  Okay, so they've set the rules like that.
[02:16:46.527 --> 02:16:51.092]  That's why the presumptive nominee, and then the nominee becomes the head of it and controls it.
[02:16:51.092 --> 02:16:53.054]  They're saying, no, you're not.
[02:16:53.054 --> 02:16:54.115]  So that's the issue.
[02:16:54.115 --> 02:16:56.398]  We need to fight and not let them be in control of it.
[02:16:56.398 --> 02:17:02.044]  The way the election law is written, it has to go through them or they indict you.
[02:17:02.044 --> 02:17:05.387]  I mean, look what they did to Dinesh D'Souza.
[02:17:05.387 --> 02:17:06.048]  So do you see what I'm saying?
[02:17:07.148 --> 02:17:12.210]  Yeah, I understand that, but the Republican Party's been subverted by Karl Rove, Priebus.
[02:17:12.210 --> 02:17:13.030]  Absolutely.
[02:17:13.030 --> 02:17:14.551]  So listen, I hear you brother.
[02:17:14.551 --> 02:17:15.211]  So what do we do?
[02:17:15.211 --> 02:17:22.454]  We call for Paul Ryan to not just be removed as the chairman of the Republican Party, he needs to be removed from the speakership.
[02:17:22.454 --> 02:17:27.456]  They knew this was coming and they got rid of Boehner because he was so reviled and hated he couldn't lead this.
[02:17:27.456 --> 02:17:29.756]  They put Pretty Boy up there.
[02:17:29.756 --> 02:17:30.617]  And I agree with you.
[02:17:30.617 --> 02:17:33.458]  So we need to move against Paul Ryan now.
[02:17:33.458 --> 02:17:33.898]  What do you think?
[02:17:34.944 --> 02:17:37.746]  Ryan is up for re-election in November in his home district.
[02:17:37.746 --> 02:17:44.011]  I mean, if we take him out there and support his competitor, we stand a better chance.
[02:17:44.011 --> 02:17:44.572]  No, that's it.
[02:17:44.572 --> 02:17:47.994]  So, the way we recall him is everybody gets behind his competitor.
[02:17:47.994 --> 02:17:49.936]  And Sarah Palin's coming in, God bless her.
