[00:00:04.676 --> 00:00:05.897]  It's October 30th, 2016.
[00:45:53.891 --> 00:45:57.574]  Wanna shed some tears over the red, white, and blue?
[00:45:57.574 --> 00:45:59.935]  Revelation, the movie, dot info.
[00:45:59.935 --> 00:46:00.716]  Let's fix it.
[00:46:00.976 --> 00:46:07.520]  We're selling a product, DNA Force, that is the very best nutraceutical that we can produce.
[00:46:07.520 --> 00:46:10.762]  Dr. Grip, it took years for you to develop DNA Force for us.
[00:46:10.762 --> 00:46:16.325]  It's been something that I've been working on for a long time, Alex, because I think it's very, very important.
[00:46:16.325 --> 00:46:22.449]  What the aging process is, is when the cell replicates, we lose a little bit of our telomeres.
[00:46:22.449 --> 00:46:25.731]  Telomeres are the little cups on the end of our chromosomes.
[00:46:25.731 --> 00:46:27.192]  And when it runs out, you start dying.
[00:46:27.392 --> 00:46:31.693]  We chose the PQQ because it has over 175 different clinical trials.
[00:46:31.693 --> 00:46:34.634]  It's one of the most effective substances in the world.
[00:46:34.634 --> 00:46:36.315]  It works like an antioxidant.
[00:46:36.315 --> 00:46:39.736]  It works to repair nerve growth factor.
[00:46:39.736 --> 00:46:42.337]  So this is a formula to deliver the maximum amount.
[00:46:42.337 --> 00:46:43.397]  It's in powder form.
[00:46:43.397 --> 00:46:46.278]  We have so many five-star reviews.
[00:46:46.278 --> 00:46:46.999]  I take this.
[00:46:46.999 --> 00:46:48.819]  This is the product that I take.
[00:46:48.819 --> 00:46:50.780]  Infowarslife.com and the profit we make.
[00:46:51.600 --> 00:46:52.401]  We fight the Globals!
[00:46:52.401 --> 00:46:53.542]  We fight the New World Order!
[00:46:53.542 --> 00:46:57.886]  Secure your DNA Force today at InfoWarsLive.com or call toll free 888-253-3139.
[00:46:57.886 --> 00:46:59.687]  You're listening to the Alex Jones Show!
[00:47:22.361 --> 00:47:28.022]  He aligns himself with the truth, and it's time for you to choose a side.
[00:47:28.022 --> 00:47:31.743]  You're listening to Alex Jones.
[00:47:31.743 --> 00:47:45.326]  The globalists are scared of Trump because they know he's a nationalist, he's a patriot, he's not out to get people like they are, he's not a predator.
[00:47:47.032 --> 00:47:48.653]  He gets in, it's just the beginning of us.
[00:47:48.653 --> 00:47:51.275]  Digging into Big Pharma.
[00:47:51.275 --> 00:47:54.137]  Digging into all the big corrupt companies that have been screwing us over.
[00:47:54.137 --> 00:47:59.641]  That's gonna make Nuremberg trials look like a walk in the park for these scumbags.
[00:47:59.641 --> 00:48:05.345]  I don't say that through any type of hatred of the globalists.
[00:48:05.345 --> 00:48:08.227]  I do it out of defense of the children and the innocent.
[00:48:08.227 --> 00:48:11.489]  The enemy we face is pure evil.
[00:48:11.489 --> 00:48:12.290]  Now, Larry Nichols
[00:48:13.191 --> 00:48:19.296]  I'll call Larry Nichols Friday and Saturday and today just to check on the latest he had.
[00:48:19.296 --> 00:48:23.700]  I called several federal sources I have.
[00:48:23.700 --> 00:48:25.161]  I'll just tell you, FBI Secret Service.
[00:48:26.189 --> 00:48:30.150]  And of course, they didn't know exactly what was going on, but they said, look, we already have enough to indict them all.
[00:48:30.150 --> 00:48:31.230]  Look what came out last week.
[00:48:31.230 --> 00:48:32.370]  The president's involved.
[00:48:32.370 --> 00:48:33.971]  It's open and shut.
[00:48:33.971 --> 00:48:37.691]  This is Comey just trying to cover his butt and look good because he thinks Trump's getting in.
[00:48:37.691 --> 00:48:39.252]  And I called Nichols and I say, what do you think?
[00:48:39.252 --> 00:48:40.032]  He says the exact thing.
[00:48:40.032 --> 00:48:41.432]  I say, who'd you get that from?
[00:48:41.432 --> 00:48:43.453]  Well, a high level Fed.
[00:48:43.453 --> 00:48:45.553]  I'll just say that in the judiciary.
[00:48:45.553 --> 00:48:48.194]  And then from the FBI and you name it.
[00:48:48.194 --> 00:48:49.114]  I said, well, what are the headlines?
[00:48:49.114 --> 00:48:49.714]  And he said, well,
[00:48:51.038 --> 00:48:55.399]  So there's a huge mutiny inside the FBI over this, and they got more stuff they're about to release, and other stuff.
[00:48:55.399 --> 00:48:57.219]  So this is a smoke screen from that.
[00:48:57.219 --> 00:48:58.179]  So get ready.
[00:48:58.179 --> 00:49:00.740]  Here's the headline from last night, or yesterday afternoon.
[00:49:00.740 --> 00:49:01.840]  I filed this.
[00:49:01.840 --> 00:49:04.200]  FBI Mutiny.
[00:49:04.200 --> 00:49:05.821]  Reopened Clinton Investigation.
[00:49:05.821 --> 00:49:07.141]  And we basically lay it out.
[00:49:07.141 --> 00:49:12.342]  It's not about tooting our horn when we tell you we're the news leaders, we get the most views, the most listeners.
[00:49:12.342 --> 00:49:14.322]  You have to know as an audience, we're the majority.
[00:49:14.322 --> 00:49:15.582]  You're the majority too.
[00:49:15.582 --> 00:49:17.223]  We're winning.
[00:49:17.223 --> 00:49:18.283]  That's why they're pulling this.
[00:49:19.787 --> 00:49:24.228]  But here's the latest story up on DrugsReport.com.
[00:49:24.228 --> 00:49:31.411]  Resignation letters piling up at the FBI as more and more people resign over the fact that he covered up.
[00:49:31.411 --> 00:49:36.992]  FBI in internal feud over Hillary Clinton probe.
[00:49:36.992 --> 00:49:41.634]  So what we told you, we knew this months ago, but here it is, confirmed
[00:49:43.752 --> 00:49:52.359]  Registration letters piling up as dissatisfied FBI agents, his wife urging him to admit he was wrong, while Director Comey jumped at the chance to reopen the Hillary investigation.
[00:49:52.359 --> 00:49:55.022]  But again, Hillary now says release it, release it.
[00:49:55.022 --> 00:49:56.483]  It gets released right before.
[00:49:56.483 --> 00:49:59.405]  There's nothing in it, except for Weiner doing pervert stuff.
[00:49:59.405 --> 00:50:00.647]  That makes her get away with it.
[00:50:00.647 --> 00:50:02.048]  That's exactly what Nichols said yesterday.
[00:50:02.048 --> 00:50:04.049]  So you got the floor the next 10 minutes.
[00:50:04.049 --> 00:50:05.331]  Lay out what your sources are saying.
[00:50:05.831 --> 00:50:14.794]  And then let's get into what your big source told you, which I concur with, about the triggering event, the big enchilada, what the people behind Hillary are planning right now.
[00:50:14.794 --> 00:50:23.097]  Now, we're in such a dominant position right now, and everything they've done has turned to crap because Providence is coming in, folks.
[00:50:23.097 --> 00:50:24.497]  A lot of folks have been praying.
[00:50:24.497 --> 00:50:26.418]  A lot of good people in the government are doing the right thing as well.
[00:50:26.418 --> 00:50:29.399]  Just like Nichols said last week, he said, get ready for the FBI to start coming out.
[00:50:29.399 --> 00:50:31.260]  They're sick of it.
[00:50:31.260 --> 00:50:32.220]  And so, it's happening.
[00:50:33.217 --> 00:50:34.498]  But the enemy's gonna strike back.
[00:50:34.498 --> 00:50:35.699]  Larry, lay it out.
[00:50:35.699 --> 00:50:46.027]  Well, what they're doing, Alex... Now, this is what I got from, directly from members of the FBI that are participating in the mutiny.
[00:50:46.027 --> 00:51:01.680]  There apparently is meetings, were meetings, still are, between the White House, do not know who at the White House, Loretta Lynch directly, James Comey directly, and what they plan to do, oh, and Podesta.
[00:51:02.603 --> 00:51:05.566]  And several others in the Clinton campaign.
[00:51:05.566 --> 00:51:09.070]  And what they planned to do was to identify, number one, the problems.
[00:51:09.070 --> 00:51:11.713]  Problem number one, emails.
[00:51:11.713 --> 00:51:15.397]  Problem number two, voter fraud.
[00:51:15.397 --> 00:51:18.241]  Thanks to you and others, Alex.
[00:51:18.241 --> 00:51:19.242]  Thanks to Donald Trump.
[00:51:20.580 --> 00:51:24.081]  Thanks to everybody that just wants free and open elections.
[00:51:24.081 --> 00:51:29.442]  Every major state's reporting flipping to Hillary, dead people voting, illegals voting.
[00:51:29.442 --> 00:51:34.944]  So they're seeing those two major problems and they're trying to figure out a way to come up with it.
[00:51:34.944 --> 00:51:38.524]  I don't know who exactly came up with the plan, I don't have that.
[00:51:38.524 --> 00:51:48.927]  But what they've determined to do was to come up, get Comey to announce that there was another batch of emails, the ones that they supposedly found on, what's-her-name's computer.
[00:51:50.111 --> 00:51:57.057]  And then use that to focus everybody's attention, to draw Trump and his people in, to draw all of us in.
[00:51:57.057 --> 00:52:00.300]  That's the big, that's the big magic bullet.
[00:52:00.300 --> 00:52:03.944]  So it's like Redder blowing up an oil well that's on fire with a bunch of dynamite.
[00:52:03.944 --> 00:52:05.906]  You think blowing it up is the wrong thing?
[00:52:05.906 --> 00:52:07.047]  No, it's the perfect thing.
[00:52:07.047 --> 00:52:13.573]  Have a big explosion to divert everybody onto that and not all the true smoking guns that we have right in front of us.
[00:52:13.573 --> 00:52:14.473]  Absolutely, ma'am.
[00:52:15.234 --> 00:52:19.737]  They're trying to back us off of curtailing voter fraud, or at least staying after it.
[00:52:19.737 --> 00:52:25.121]  They're trying to give the media an excuse to stay away from WikiLeaks.
[00:52:25.121 --> 00:52:28.164]  Now Comey was given an option, apparently.
[00:52:28.164 --> 00:52:35.629]  He had explained to him, and the reason I know I believe this is because I did it to people, Alex, when I was with them.
[00:52:35.629 --> 00:52:39.132]  Somebody went to him and said, you know, Jim, here's the deal, buddy.
[00:52:40.231 --> 00:52:42.972]  If Hillary loses, you're toast.
[00:52:42.972 --> 00:52:43.872]  Your name is toast.
[00:52:43.872 --> 00:52:44.873]  Your career is toast.
[00:52:44.873 --> 00:52:45.533]  You're done.
[00:52:45.533 --> 00:52:50.814]  And there's a good chance if an investigation ensues, you will be the one going to jail.
[00:52:50.814 --> 00:52:54.716]  Now, the best thing for you to do is to help us.
[00:52:54.716 --> 00:52:55.636]  He had no choice.
[00:52:56.443 --> 00:53:00.944]  So, he participates in bringing out this, this uh, this diversion.
[00:53:00.944 --> 00:53:02.285]  These emails, this diversion.
[00:53:02.285 --> 00:53:03.385]  No, no, no, let me stop you.
[00:53:03.385 --> 00:53:08.867]  Six months ago, when the Loretta Lynch thing happened, you've been saying for a year, there will be no indictment, there will be no indictment.
[00:53:08.867 --> 00:53:15.209]  Bill Clinton gave her a letter, a list of FBI people and prosecutors they got dirt on, and boy, you were proven right.
[00:53:15.209 --> 00:53:18.770]  So you're saying again, what transpired?
[00:53:18.770 --> 00:53:19.250]  Yeah.
[00:53:19.250 --> 00:53:22.911]  Now, the plan is, and you'll notice that even
[00:53:23.644 --> 00:53:26.850]  When they did this, the miraculous change took place.
[00:53:26.850 --> 00:53:35.227]  Number one, Mr. Good God, James Comey, who everybody says is Mr. Impeccable, the first thing he does is he breaks the 60-day rule.
[00:53:36.152 --> 00:53:42.016]  Sixty-day rule means going back to Iran-Contra, you know, arms for hostages.
[00:53:42.016 --> 00:53:49.622]  After that election with Carter, the media and everybody in the Ethics Committee said, no longer can you bring something out 60 days before an election.
[00:53:49.622 --> 00:53:50.742]  And he also leaked it.
[00:53:50.742 --> 00:53:53.124]  He didn't just tell Congress two weeks before.
[00:53:53.124 --> 00:53:55.546]  No, he leaked that out.
[00:53:55.546 --> 00:53:57.607]  So, he breaks that rule.
[00:53:57.607 --> 00:54:02.210]  And then, here comes Hillary saying, get it all out.
[00:54:02.210 --> 00:54:02.991]  Get it all out.
[00:54:03.880 --> 00:54:05.662]  Now here's what they've got going for them.
[00:54:05.662 --> 00:54:07.984]  They've got the Republicans saying, get it all out.
[00:54:07.984 --> 00:54:10.166]  They've got Trump saying, get it all out.
[00:54:10.166 --> 00:54:19.095]  And of course, you've got Hillary saying, get it all out with the intended purpose being the emails that Comey is going to release.
[00:54:19.095 --> 00:54:26.262]  Those emails have already been purged, Alex, and there's nothing in it to incriminate Hillary.
[00:54:27.276 --> 00:54:28.699]  Or Obama.
[00:54:28.699 --> 00:54:37.114]  Meanwhile no one looks at the new WikiLeaks coming out daily or the total coup de grace that came out last week with Obama and Hillary saying we gotta clean this up and cover it up.
[00:54:37.794 --> 00:54:42.716]  And the campaign already has the press releases ready to go.
[00:54:42.716 --> 00:54:48.177]  And as far as I know, some of the mainstream media already have the papers already ready.
[00:54:48.177 --> 00:54:53.819]  The front page is ready to print saying that Hillary was innocent all along.
[00:54:53.819 --> 00:55:01.802]  This whole email thing was a Republican fraud set out to confuse the American people.
[00:55:01.802 --> 00:55:03.922]  It was never real.
[00:55:03.922 --> 00:55:05.543]  She walks away with the election.
[00:55:06.076 --> 00:55:07.156]  That's the plan.
[00:55:07.156 --> 00:55:19.279]  Now the problem they're having, Alex, internally, the FBI guys have gained forces and they've got a few surprises for Comey and Hillary.
[00:55:19.279 --> 00:55:30.141]  But the best thing I can say to Donald Trump, if he would listen to me, I don't want you to come out on behalf of me or you, Alex, or anybody else and just disavow what Comey's trying to do.
[00:55:30.141 --> 00:55:35.582]  But it would be wise for him to say, Donald Trump should say, you know, golly guys,
[00:55:36.181 --> 00:55:44.064]  You know, Alex, it's kind of weird Hillary calling for these after she spent two years sledgehammering computers and washing them with this acid thing.
[00:55:44.064 --> 00:55:48.465]  Why now does Hillary want this stuff to come out?
[00:55:48.465 --> 00:55:52.727]  Pretending as if she doesn't know what's on these computers.
[00:55:52.727 --> 00:55:55.908]  Hillary has known everything that everybody's known since day one.
[00:55:55.908 --> 00:55:56.908]  You know that, Alex.
[00:55:57.862 --> 00:55:58.223]  I agree.
[00:55:58.223 --> 00:55:59.525]  Larry, let me throw this in then.
[00:55:59.525 --> 00:56:02.109]  We need to let people know that we haven't gotten to the big enchilada.
[00:56:02.109 --> 00:56:03.812]  I have been told this.
[00:56:03.812 --> 00:56:10.383]  Clearly George Soros and the Ford Foundation have spent a billion bucks stirring up black Americans to riot and murder.
[00:56:11.462 --> 00:56:15.347]  The false flag coming up is a contested election.
[00:56:15.347 --> 00:56:17.170]  You've got that from high-level sources.
[00:56:17.170 --> 00:56:18.151]  I've gotten that as well.
[00:56:18.151 --> 00:56:19.793]  They're getting the National Guard ready.
[00:56:19.793 --> 00:56:21.475]  They're canceling school on November 8th.
[00:56:21.475 --> 00:56:22.637]  That was Friday.
[00:56:22.637 --> 00:56:24.399]  They are really gearing up for something big.
[00:56:24.399 --> 00:56:28.825]  And you talked to as super high-level as it gets, and they concurred.
[00:56:29.511 --> 00:56:37.494]  So that everybody knows, Alex, I have told you who I've talked to and you're perfectly capable of calling him if you'd like, if he'll talk to you.
[00:56:37.494 --> 00:56:38.974]  But I don't hide who I talk to.
[00:56:38.974 --> 00:56:41.735]  I just cannot put his name out for obvious judicial reasons.
[00:56:41.735 --> 00:56:46.157]  Well, I mean, I've had this very person as a very high level source through a super high level source as well.
[00:56:46.157 --> 00:56:49.318]  So I know it's a very good patriot that's aware of what's happening.
[00:56:49.318 --> 00:56:51.339]  I've already confirmed your source.
[00:56:51.339 --> 00:56:54.820]  The thing that he said to me was he was worried and he said, Nick,
[00:56:56.806 --> 00:57:04.852]  The ground's starting to rumble and it's a rumble that will be heard all the way to the other side of the earth.
[00:57:04.852 --> 00:57:07.714]  And I said, what are you talking about?
[00:57:07.714 --> 00:57:10.156]  And he said, it's triggering.
[00:57:10.156 --> 00:57:18.301]  He said, you know, you've been talking and I didn't believe you in the beginning when you talked about a velvet coup and all that silent coup stuff.
[00:57:18.301 --> 00:57:19.983]  Nick, I believe you now.
[00:57:19.983 --> 00:57:20.343]  It's here.
[00:57:21.147 --> 00:57:23.388]  You see, they tried, Alex, to set it up.
[00:57:23.388 --> 00:57:29.072]  They tried to trigger this coup with Black Lives Matter, with riots.
[00:57:29.072 --> 00:57:35.816]  They tried to trigger this coup with Islamic blowing stuff up.
[00:57:35.816 --> 00:57:38.178]  They kept on and kept on.
[00:57:38.178 --> 00:57:39.218]  Stay there.
[00:57:39.218 --> 00:57:39.538]  Stay there.
[00:57:39.538 --> 00:57:41.099]  We're back in 70 seconds.
[00:57:41.099 --> 00:57:41.820]  Second hour, folks.
[00:57:41.820 --> 00:57:43.341]  We're going to cover this exclusively.
[00:57:43.341 --> 00:57:46.043]  Only eight days to the critical election.
[00:57:46.043 --> 00:57:48.084]  You're listening to the Alex Jones Show.
[00:57:50.373 --> 00:57:53.635]  Do you ever wonder what happened to America?
[00:57:53.635 --> 00:57:57.718]  Because of what we did on this day, change has come to America.
[00:57:57.718 --> 00:58:00.380]  Something's wrong, and we all know it.
[00:58:00.380 --> 00:58:03.201]  I'm Charlie Daniels, and I'm here to tell you about it.
[00:58:03.201 --> 00:58:08.405]  The nation has been hijacked by international forces, bent on global governance.
[00:58:08.985 --> 00:58:15.153]  When I was a boy, it was okay to be proud of the flag, heritage, mom and apple pie.
[00:58:15.153 --> 00:58:21.441]  God was in school, morality had a future, and beef was for supper.
[00:58:21.441 --> 00:58:24.004]  Revelation, dawn of global government.
[00:58:24.384 --> 00:58:25.545]  We're the solution!
[00:58:25.545 --> 00:58:26.485]  Americans!
[00:58:26.485 --> 00:58:28.045]  Ain't nothin' more to it than that!
[00:58:28.045 --> 00:58:33.448]  Starring Alex Jones, Charlie Daniels, and Special Ops General Jerry Boykin.
[00:58:33.448 --> 00:58:35.088]  Theatrical screenings on demand.
[00:58:35.088 --> 00:58:36.689]  DVDs now available.
[00:58:36.689 --> 00:58:40.590]  Wanna shed some tears over the red, white, and blue?
[00:58:40.590 --> 00:58:46.192]  RevelationTheMovie.info Americans need to see this film.
[00:58:46.192 --> 00:58:49.734]  RevelationTheMovie.info Let's fix it.
[00:58:51.696 --> 00:58:53.997]  Electrify your day with Secret 12.
[00:58:53.997 --> 00:58:55.578]  It's like lightning in a bottle.
[00:58:55.578 --> 00:58:59.479]  We all have days in which we just can't seem to perform at the level we'd like to.
[00:58:59.479 --> 00:59:07.422]  InfoWars Live Secret 12 is designed to naturally energize your body and mind with two great tasting and super high quality forms of vitamin B12.
[00:59:07.422 --> 00:59:12.384]  Proper vitamin and nutrient intake is essential to keep your body functioning at optimum levels.
[00:59:12.384 --> 00:59:17.846]  The reality is, it's hard to take in the proper amount of vitamins we need each day with our modern diets.
[00:59:18.186 --> 00:59:25.972]  Zika 12 by Infowars Life is an easy way to naturally upgrade your vitamin B12 intake and support your body's natural systems.
[00:59:25.972 --> 00:59:30.695]  It pairs two forms of vitamin B12 into one explosive formula.
[00:59:30.695 --> 00:59:39.502]  Vitamin B12 supports healthy energy levels through red blood cell formation and aiding in the body's natural processes, but it also assists with many other functions of the body.
[00:59:39.702 --> 00:59:43.266]  Electrify your mind and body and take your health to the next level.
[00:59:43.266 --> 00:59:47.170]  Experience the power of Secret 12 at InfoWarsLife.com.
[00:59:47.170 --> 00:59:54.978]  That's InfoWarsLife.com.
[00:59:54.978 --> 00:59:57.581]  You're listening to the Alex Jones Show.
[01:00:11.540 --> 01:00:13.362]  We are on the march.
[01:00:13.362 --> 01:00:16.524]  The Empire is on the run.
[01:00:16.524 --> 01:00:21.689]  Alex Jones and the GCN Radio Network.
[01:00:21.689 --> 01:00:23.831]  So it's a desperate move.
[01:00:23.831 --> 01:00:26.112]  Comey knows he covered up crimes.
[01:00:26.112 --> 01:00:29.715]  He's gonna be destroyed, discredited, his agency turning against him.
[01:00:30.882 --> 01:00:32.923]  The crimes have gone so far, what do they do?
[01:00:32.923 --> 01:00:34.924]  They bring up a side issue, a bunch of emails.
[01:00:34.924 --> 01:00:36.905]  There's probably some meat and potatoes there.
[01:00:36.905 --> 01:00:44.049]  But it becomes a whole distraction from WikiLeaks that already connects the President and Hillary to lying to Congress, the public, you name it.
[01:00:44.049 --> 01:00:45.329]  Calling black people dumb.
[01:00:45.329 --> 01:00:49.872]  I mean, the stuff this week that's come out is head-spinning crazy.
[01:00:49.872 --> 01:00:53.113]  I can't believe how bad these folks are.
[01:00:53.113 --> 01:00:55.875]  Even if you're bad, why do you write emails like you're a villain?
[01:00:57.185 --> 01:00:58.526]  I mean, it's crazy.
[01:00:58.526 --> 01:01:09.914]  Larry Nichols is with us in this short segment, and one other former Clinton insider helped basically run the governor's mansion there in Arkansas until they became so criminal he wouldn't go along with it.
[01:01:09.914 --> 01:01:21.162]  So, you were talking to this high-level person, they were saying the triggering's here, black lives didn't matter, you know, that whole thing didn't get the war going, didn't cause a whole collapse, didn't cause a civil war, what's coming next?
[01:01:27.247 --> 01:01:27.827]  We lose him?
[01:01:27.827 --> 01:01:30.189]  Alright.
[01:01:30.189 --> 01:01:31.570]  I'm here, I'm here, I'm sorry.
[01:01:31.570 --> 01:01:32.911]  Okay, it's okay.
[01:01:32.911 --> 01:01:34.332]  Larry, please continue.
[01:01:34.332 --> 01:01:40.656]  Well, the plan is that when they steal this election, quasi-steal it out in the open.
[01:01:40.656 --> 01:01:46.120]  They want to make sure, Alex, that all of us know they just outnatched, stole it.
[01:01:46.120 --> 01:01:52.664]  And when they win by stealing it, they expect an uprising from all of us that claim foul.
[01:01:54.170 --> 01:02:00.452]  And that's going to be the triggering mechanism to totally shut down our former government.
[01:02:00.452 --> 01:02:13.537]  They're going to claim that it's impossible to lead America in the present condition it's in, with the division that's here, so therefore they're going to have to enact forceful rules, you know the rest.
[01:02:13.537 --> 01:02:14.657]  Alex, they're planning.
[01:02:14.657 --> 01:02:20.739]  Now this is not just, this ain't coming from me, this is coming from people in high positions that are scared.
[01:02:21.403 --> 01:02:23.664]  They've been looking for the triggering mechanism.
[01:02:23.664 --> 01:02:25.285]  Now it's here.
[01:02:25.285 --> 01:02:29.646]  But the first thing we have to do is we have to stay focused.
[01:02:29.646 --> 01:02:31.167]  I'm sorry, I can't read very well.
[01:02:31.167 --> 01:02:32.988]  You have to stay focused.
[01:02:32.988 --> 01:02:34.408]  Watch for WikiLeaks.
[01:02:34.408 --> 01:02:38.090]  That's where the real egg is that you want to find.
[01:02:38.090 --> 01:02:42.632]  And watch, do not drop the ball on Vodafone.
[01:02:42.632 --> 01:02:45.213]  You can stop Vodafone by exposing it.
[01:02:46.030 --> 01:02:46.871]  You can.
[01:02:46.871 --> 01:02:48.291]  You can stop Vodafone.
[01:02:48.291 --> 01:02:50.693]  There was a lady, Alex, that called me.
[01:02:50.693 --> 01:02:52.393]  She and her husband were going to the doctor.
[01:02:52.393 --> 01:02:57.136]  The doctor's office was under remodeling, so she went to a strip center where their temporary office was.
[01:02:57.136 --> 01:02:58.317]  They went in the wrong office.
[01:02:58.317 --> 01:02:59.938]  There were all these desks.
[01:02:59.938 --> 01:03:03.239]  You know, a big room full of desks and all these young people.
[01:03:03.239 --> 01:03:04.520]  They said, what's going on anyway?
[01:03:04.520 --> 01:03:05.701]  They found out that's the wrong place.
[01:03:05.701 --> 01:03:06.961]  They went next door.
[01:03:06.961 --> 01:03:11.844]  Her husband went outside and there were a couple of young men smoking cigarettes that were in that office.
[01:03:11.844 --> 01:03:13.125]  He asked them.
[01:03:13.125 --> 01:03:15.246]  He said, good Lord, what have they got going on in there?
[01:03:16.437 --> 01:03:22.341]  The two guys told him, we're going through the obituaries and casting votes.
[01:03:22.341 --> 01:03:23.841]  You know how?
[01:03:23.841 --> 01:03:27.263]  They didn't even care that they knew.
[01:03:27.263 --> 01:03:35.708]  Well that's just like the Project Veritas, where the national director and his adjunct just go, we're going to steal everything and we don't care if the journalists know.
[01:03:35.708 --> 01:03:36.349]  That's right.
[01:03:36.349 --> 01:03:39.130]  In Pennsylvania, you've already got reports there.
[01:03:39.130 --> 01:03:39.971]  In Philadelphia.
[01:03:40.632 --> 01:03:51.858]  The precincts that have already had 120%, 140% of the registered voters in those precincts have already voted absentee.
[01:03:51.858 --> 01:03:52.259]  Impossible.
[01:03:52.259 --> 01:03:53.419]  Already.
[01:03:53.419 --> 01:03:56.361]  So this is what's happening.
[01:03:56.361 --> 01:04:02.825]  And folks, I'm, you know, Alex, please tell folks, man, I'm sitting here hard to breathe, can't breathe.
[01:04:02.825 --> 01:04:04.966]  I'm not here sensationalizing anything.
[01:04:04.966 --> 01:04:07.187]  I'm not, I'm not here to do anything.
[01:04:07.187 --> 01:04:08.688]  I'm passing on what I know.
[01:04:10.205 --> 01:04:10.906]  That's all I can do.
[01:04:25.700 --> 01:04:30.243]  Basically, through another one of my high-level sources, said the exact same thing a while back.
[01:04:30.243 --> 01:04:33.365]  And I have these other sources that are saying the same thing that are mid-level.
[01:04:33.365 --> 01:04:36.267]  And I have some other high-level, but not as high-level as yours.
[01:04:36.267 --> 01:04:38.549]  And the thing is, they're getting the military ready, everybody.
[01:04:38.549 --> 01:04:41.731]  The good news is, like you said, the FBI is rebelling.
[01:04:41.731 --> 01:04:43.252]  The special forces are rebelling.
[01:04:43.252 --> 01:04:44.733]  The generals are rebelling.
[01:04:44.733 --> 01:04:47.475]  Because what they're being told is so nakedly criminal.
[01:04:47.475 --> 01:04:52.039]  And you and so many others, the listeners, have exposed the criminality of the Clinton machine.
[01:04:53.155 --> 01:04:55.577]  Even mainstream news calls him a crime family.
[01:04:55.577 --> 01:04:58.379]  Even the Chicago Tribune says she should step down.
[01:04:58.379 --> 01:05:00.240]  So he's about to try to execute a coup naked.
[01:05:01.465 --> 01:05:02.886]  We're red on election day.
[01:05:02.886 --> 01:05:06.007]  Perhaps the biggest election in American history is just days away.
[01:05:06.007 --> 01:05:10.609]  We know that in past elections, there have been thousands of cases of voter fraud and election fraud.
[01:05:10.609 --> 01:05:18.032]  From dead people voting, to people registering false identifications, to government leaders providing fast-track amnesty to give illegal immigrants votes.
[01:05:18.032 --> 01:05:19.693]  This is happening right in front of us.
[01:05:19.693 --> 01:05:24.095]  Now we are seeing the establishment send all its hitmen after the Republican nominee, Donald Trump.
[01:05:24.155 --> 01:05:26.176]  Government shills are campaigning for Clinton.
[01:05:26.176 --> 01:05:29.538]  Mainstream news attacking Donald Trump all day like rabbit hounds.
[01:05:29.538 --> 01:05:36.423]  Rigged polls being broadcast daily to provide the fake optics that Hillary Clinton is actually winning and to discourage people from voting Trump.
[01:05:36.423 --> 01:05:39.185]  Fake celebrities endorsing Clinton across all platforms.
[01:05:39.185 --> 01:05:42.647]  So with all this, what are we doing to keep this election from being stolen?
[01:05:42.647 --> 01:05:44.468]  What can we do to prevent election fraud?
[01:05:44.648 --> 01:05:47.873]  I propose that all Donald Trump supporters wear red on Election Day.
[01:05:47.873 --> 01:05:51.738]  On November 8th, when you head to the polls to vote Donald Trump, be decked out in red.
[01:05:51.738 --> 01:05:57.887]  This way, just as we dominated in rally turnout, we can prove and provide the optics that we also dominated in voter turnout.
[01:05:57.887 --> 01:06:00.771]  Wear red on Election Day, and Make America Great Again!
[01:06:12.595 --> 01:06:16.437]  It's Sunday, October 30th, 2016.
[01:06:16.437 --> 01:06:22.680]  We are now only eight days out from the most important election in modern world history.
[01:06:22.680 --> 01:06:26.342]  You're listening to the Alex Jones Show!
[01:06:26.342 --> 01:06:30.644]  That's right, eight days till the election, nine days until we begin to discover what's going to happen.
[01:06:30.644 --> 01:06:33.285]  Larry Nichols, who's behind the Clinton Chronicles.
[01:06:33.285 --> 01:06:35.086]  I've been interviewing him for over 20 years.
[01:06:36.670 --> 01:06:38.491]  He's a guy that said they will not indict her.
[01:06:38.491 --> 01:06:39.531]  Comey works for her.
[01:06:39.531 --> 01:06:40.292]  You will watch.
[01:06:40.292 --> 01:06:42.153]  The whole media said, oh no, he's great.
[01:06:42.153 --> 01:06:43.954]  He will, or he'll call for the indictment.
[01:06:43.954 --> 01:06:45.555]  He was right.
[01:06:45.555 --> 01:06:47.896]  And I have called all my different high-level sources.
[01:06:47.896 --> 01:06:50.257]  I've called seven or eight people.
[01:06:50.257 --> 01:06:52.978]  And some of them didn't know I'm not lying on Friday.
[01:06:52.978 --> 01:07:00.922]  They just knew the word was Hillary was already going to get indicted over the new stuff that came out on WikiLeaks that proved she'd lied.
[01:07:00.922 --> 01:07:01.943]  So they said, what wiener?
[01:07:03.214 --> 01:07:14.762]  And then they basically started saying exactly what Nichols is saying, that that's a diversion from what's already come out, and then Hillary can sit there in grandstand and say, I want that released, I want that released, because she knows that's not the smoking gun.
[01:07:14.762 --> 01:07:24.349]  But man, when you look at the Wall Street Journal, it's up on InfoWars.com, DrudgeReport.com, you name it, they're talking about 650,000 different emails that are in this data dump.
[01:07:24.349 --> 01:07:29.172]  So, even though they released that, how do you go through all of that?
