[00:00:00.370 --> 00:00:03.884]  And your support is helping us defend liberty worldwide.
[01:58:27.967 --> 01:58:29.889]  I think they're not going to follow those orders at this point.
[01:58:30.269 --> 01:58:35.493]  Plus, they should be thanking him for being against NAFTA and GATT and all the things the big unions sold out to.
[01:58:35.653 --> 01:58:35.834]  Yeah.
[01:58:36.374 --> 01:58:37.955]  I mean, the unions are a joke.
[01:58:37.995 --> 01:58:40.878]  They've become a lobbying organization for open borders.
[01:58:40.958 --> 01:58:45.902]  So, the unions need to stop being on power trips, because I'm telling you, if they don't get behind Trump, they're idiots.
[01:58:46.222 --> 01:58:46.803]  Stay there, Biggs.
[01:58:46.823 --> 01:58:48.004]  We're going to come back in 70 seconds.
[01:58:48.224 --> 01:58:49.125]  Great job on your reports.
[01:58:49.165 --> 01:58:49.905]  Man, a lot of them.
[01:58:49.925 --> 01:58:50.986]  Thank you for listening to GCMI.
[01:58:51.026 --> 01:58:52.147]  Oh, you also saw the rioting.
[01:58:52.167 --> 01:58:53.308]  I'm going to get into that.
[01:58:53.368 --> 01:58:56.290]  Visit GCMI.com today.
[01:58:58.797 --> 01:59:02.219]  Thousands of years ago, there was a basic form of chivalry.
[01:59:02.560 --> 01:59:09.704]  Our ancestors would hear the drums of war, giving the warriors of the tribe a chance to organize and prepare a defense.
[01:59:10.305 --> 01:59:18.710]  Sixty years ago, when foreign air forces were approaching filled with bombs, they had drums of their own, air raid sirens.
[01:59:18.910 --> 01:59:23.013]  But in the 21st century, there are silent weapons for quiet war.
[01:59:23.353 --> 01:59:28.677]  Pathogens added to the food and water, to the lining of plastics that destroy our vitality,
[01:59:28.917 --> 01:59:32.738]  Turn off our hormones and accelerate our journey towards death.
[01:59:33.158 --> 01:59:36.239]  I personally counter this onslaught with AnthroPlex.
[01:59:36.579 --> 01:59:47.661]  AnthroPlex is designed with known, organic, concentrated herbs to create the basic foundation to normal metabolic activity inside the human body.
[01:59:47.721 --> 01:59:50.402]  Discover why AnthroPlex is turning so many heads today.
[01:59:50.622 --> 01:59:57.203]  It's time for us to take our bodies back into our own hands and it starts at InfoWarsLife.com with AnthroPlex Day.
[02:00:01.329 --> 02:00:13.177]  You're listening to The Alex Jones Show.
[02:00:20.643 --> 02:00:25.286]  Live from the Infowars.com studios, it's Alex Jones.
[02:00:27.037 --> 02:00:30.099]  Riding on the highway, going to a show.
[02:00:30.119 --> 02:00:34.402]  I tell ya, the ultimate show is what's coming up.
[02:00:35.483 --> 02:00:37.504]  Cleveland, you got the Democrats.
[02:00:38.385 --> 02:00:40.626]  They'll be nesting nearby trying to steal it from Sanders.
[02:00:41.167 --> 02:00:43.468]  They tried to steal it from him but he still keeps battling back.
[02:00:43.488 --> 02:00:47.071]  I don't know what the establishment's thinking because I've never seen such a wake-up call, Joe.
[02:00:47.111 --> 02:00:51.453]  And like you were saying, you know, most people you ran into on the East Coast are Trump supporters.
[02:00:51.714 --> 02:00:52.614]  The South loves him.
[02:00:53.795 --> 02:00:55.036]  California's gonna go for him.
[02:00:55.396 --> 02:00:56.197]  The Conservatives there.
[02:00:57.177 --> 02:00:59.119]  Man, I just, what are they thinking?
[02:00:59.139 --> 02:01:01.922]  And what other tidbits did you notice while you were on the East Coast?
[02:01:01.942 --> 02:01:04.264]  I know you caught this sports riot on tape.
[02:01:05.145 --> 02:01:06.406]  I mean, yeah, I was in Philadelphia.
[02:01:06.426 --> 02:01:07.887]  I was there covering Democracy Spring.
[02:01:07.927 --> 02:01:09.369]  There was a train crash that happened.
[02:01:10.230 --> 02:01:12.752]  Some guys were on a live track.
[02:01:12.932 --> 02:01:14.073]  They know there's a train coming.
[02:01:14.433 --> 02:01:14.534]  It's 2016.
[02:01:14.594 --> 02:01:15.334]  How do people get hit by trains?
[02:01:18.277 --> 02:01:23.300]  How do you leave something on a train when you, on a train track, when you know that that's being, it's being used?
[02:01:23.721 --> 02:01:27.083]  Like, I don't understand how- Well, a lot of the trendies think that the train's gonna stop for them.
[02:01:27.103 --> 02:01:28.023]  They don't know it can't stop.
[02:01:28.043 --> 02:01:32.146]  I mean, one of the guys that died had been working for Amtrak for 40 years, the other guy 20 years.
[02:01:32.626 --> 02:01:35.308]  You know, they, you know, been doing this their entire life.
[02:01:35.328 --> 02:01:36.769]  Maybe it was complacency, I don't know.
[02:01:37.049 --> 02:01:40.492]  But they'd left this, uh, backhoe right there on the side of the track.
[02:01:40.932 --> 02:01:44.294]  It clipped the train, ball of fire, a lot of people got hurt, two people died.
[02:01:44.314 --> 02:01:45.015]  I mean,
[02:01:45.735 --> 02:01:46.296]  I love it.
[02:01:46.356 --> 02:01:48.558]  America has some of the worst trains in the world.
[02:01:48.578 --> 02:01:50.239]  I think only North Korea's are worse.
[02:01:50.839 --> 02:01:52.181]  I mean, our country is falling apart.
[02:01:52.461 --> 02:01:54.022]  They had that extremely deadly one.
[02:01:54.082 --> 02:01:56.844]  It was 30 miles north just last year, up in Philly.
[02:01:57.105 --> 02:01:59.847]  There was another train wreck a few weeks ago, not just from tobacco.
[02:01:59.867 --> 02:02:02.269]  Look, our trains can't go over 50 miles an hour.
[02:02:02.349 --> 02:02:03.230]  The beds are so bad.
[02:02:04.331 --> 02:02:06.593]  My grandmother used to go take college courses.
[02:02:07.830 --> 02:02:09.131]  I don't know how this kind of stuff happens.
[02:02:25.051 --> 02:02:25.631]  And now they don't.
[02:02:26.092 --> 02:02:33.815]  Well, they were claiming that these things go like 150 miles an hour through this rural neighborhood, but I just don't see it because I've seen them zipping by and they didn't look like they were going too fast where I was at.
[02:02:34.196 --> 02:02:34.636]  They can't.
[02:02:34.676 --> 02:02:35.496]  They fly off the rails.
[02:02:35.516 --> 02:02:36.577]  They haven't updated the rails.
[02:02:36.617 --> 02:02:36.817]  Yeah.
[02:02:37.537 --> 02:02:39.438]  What else did you... I mean, so many videos, Joe.
[02:02:39.838 --> 02:02:40.639]  What else did you pick up?
[02:02:41.039 --> 02:02:47.782]  So when I was out there, I heard about the NCAA Basketball Championship, and I found out that Villanova is a school that's actually just right outside of Philadelphia.
[02:02:48.443 --> 02:02:51.904]  And I started reading some articles, and a lot of the police were already gearing up.
[02:02:51.924 --> 02:02:52.865]  They got riot gear.
[02:02:53.505 --> 02:02:55.486]  There was helicopters being on standby.
[02:02:55.566 --> 02:02:59.788]  They said they had people from different counties showing up, so I thought this would be something interesting to cover.
[02:03:00.388 --> 02:03:11.231]  So I actually drove up to the Villanova campus and got out there about an hour early before the basketball game started and found out that they were actually having a live watch party at the Villanova basketball stadium.
[02:03:11.551 --> 02:03:14.032]  The championship was being held down here in Houston, Texas.
[02:03:14.632 --> 02:03:22.594]  And we sat inside and I let the cameras roll and, you know, the guys, Villanova One, all the students, thousands of kids come running out into the streets.
[02:03:23.194 --> 02:03:35.562]  Screaming, jumping up on poles, lighting cardboard cutouts of what looked like the UNC basketball coach, the rival team that they played, screaming, you know, that they hated Temple, another university that's close by.
[02:03:35.582 --> 02:03:37.283]  And this is mindless tribalism.
[02:03:37.323 --> 02:03:38.723]  Notice these are mainly white kids.
[02:03:38.944 --> 02:03:39.144]  Yeah.
[02:03:39.584 --> 02:03:42.386]  And this is, it doesn't matter, black, white, people act like this.
[02:03:42.846 --> 02:03:43.967]  Tribal idiocy.
[02:03:44.287 --> 02:03:45.528]  They won't stand up for their freedoms.
[02:03:45.928 --> 02:03:50.831]  They'll just run around and act like morons and burn and break things because a stupid team won a game.
[02:03:51.371 --> 02:03:52.312]  Yeah, it's pretty ridiculous.
[02:03:52.332 --> 02:03:54.595]  I mean, this school, it's a very rich campus.
[02:03:54.615 --> 02:03:57.738]  I mean, there's a Ferrari dealership on campus.
[02:03:57.958 --> 02:03:59.941]  I mean, that shows you what's going on.
[02:03:59.981 --> 02:04:05.126]  But I mean, as this was going on, there were riot police everywhere, cops on horses, cops on motorcycles.
[02:04:05.146 --> 02:04:08.330]  There was like four helicopters flying overhead, bottles flying.
[02:04:08.390 --> 02:04:12.314]  But they won't riot if the TPP takes their rights away, or they won't riot if they shield the delegates.
[02:04:13.604 --> 02:04:17.687]  Look at how pale and dumb and soft they look.
[02:04:18.108 --> 02:04:19.009]  Look in their eyes.
[02:04:19.029 --> 02:04:21.231]  I mean, this is our future.
[02:04:21.891 --> 02:04:22.912]  Look at these goons.
[02:04:23.233 --> 02:04:23.933]  Oh my gosh.
[02:04:24.113 --> 02:04:30.519]  I mean, I got one guy, he was sitting there, he saw my phone, it had a Donald Trump thing on it, and the guy goes, Donald Trump, yeah!
[02:04:30.539 --> 02:04:31.921]  And then he threw a bottle through the air.
[02:04:33.027 --> 02:04:34.849]  I mean, these kids have no idea what they're doing.
[02:04:34.869 --> 02:04:35.931]  They're just out running around.
[02:04:36.611 --> 02:04:41.217]  But I mean, why can't we have our youth get this excited about politics?
[02:04:41.617 --> 02:04:43.720]  Well, I don't mind a redhead hopping around excited.
[02:04:43.740 --> 02:04:44.761]  I like seeing a woman excited.
[02:04:44.781 --> 02:04:45.362]  That's good stuff.
[02:04:45.802 --> 02:04:49.066]  No, but I mean, I'm not trying to be mean, but they look like they're 14.
[02:04:49.527 --> 02:04:50.888]  It's like this arrested development.
[02:04:50.928 --> 02:04:52.090]  I mean, I wasn't acting like that at 20.
[02:04:53.491 --> 02:04:55.233]  I just don't get it, man.
[02:04:56.514 --> 02:04:58.936]  Those energies are meant for defending your country.
[02:04:59.036 --> 02:05:00.437]  Cleveland's going to be hot this year.
[02:05:00.737 --> 02:05:01.418]  Philly's going to be hot.
[02:05:01.438 --> 02:05:02.339]  That's where the DNC is.
[02:05:02.359 --> 02:05:03.760]  It's going to be a mad, mad, mad time.
[02:05:03.800 --> 02:05:04.180]  You want to go?
[02:05:04.200 --> 02:05:04.821]  You want to be there?
[02:05:04.841 --> 02:05:06.042]  I want to be in both of them.
[02:05:06.202 --> 02:05:07.043]  All right, all right.
[02:05:07.063 --> 02:05:07.623]  You'll be there.
[02:05:07.683 --> 02:05:08.064]  Stay with us.
[02:05:09.162 --> 02:05:12.663]  Globalist social engineers are not just targeting us with propaganda.
[02:05:12.863 --> 02:05:15.103]  They are manipulating our genetics.
[02:05:15.303 --> 02:05:23.665]  We are being targeted at every level by estrogen mimickers that lower our testosterone and other hormones and natural compounds that the body needs.
[02:05:23.925 --> 02:05:27.265]  The key is to be aware of this attack and to fight back against it.
[02:05:27.425 --> 02:05:37.747]  After consulting top doctors, nutritionists, pharmacists and others, we have developed what I believe is the ultimate non-GMO, organic, super male vitality formula.
[02:05:38.067 --> 02:05:45.332]  Sourced from powerful organic herbs, harvested around the planet, and then concentrated for maximum potency.
[02:05:45.552 --> 02:05:47.453]  I've always believed in nutrition and herbs.
[02:05:47.793 --> 02:05:55.358]  Super Male Vitality was developed to activate your body's own natural processes, instead of using synthetic chemicals.
[02:05:55.738 --> 02:06:01.903]  Supermail Vitality by InfoWars Life is so powerful that I only take half the recommended dose.
[02:06:02.204 --> 02:06:09.149]  Visit InfoWarsLife.com today to secure your Supermail Vitality and other powerful products from InfoWars Life.
[02:06:09.410 --> 02:06:10.411]  Brain Force is here.
[02:06:10.951 --> 02:06:13.213]  Ladies and gentlemen, I've been on this the last few months.
[02:06:13.493 --> 02:06:21.320]  You probably noticed I've been more crazed, more focused, less brain fog, more energy, more special reports, and it's because of Brain Force.
[02:06:22.082 --> 02:06:25.224]  One of the worst things with most energy products is it's not sustainable.
[02:06:25.524 --> 02:06:25.665]  Right?
[02:06:25.685 --> 02:06:28.026]  You're gonna crash and gonna feel really bad afterwards.
[02:06:28.386 --> 02:06:31.909]  This has a bunch of different antioxidants and compounds and polyphenols.
[02:06:31.949 --> 02:06:35.091]  Everybody's on these drugs to knock their brain out because the brain's so fried.
[02:06:35.592 --> 02:06:40.375]  We kept changing this formula over and over and over again until it became sort of a grand puzzle.
[02:06:40.915 --> 02:06:42.737]  For example, the L-theanine inside of it.
[02:06:43.097 --> 02:06:47.520]  That is activated by the different compounds in the yerba mate that we put inside of it as well.
[02:06:47.700 --> 02:06:49.701]  This just increases the compounds you already have.
[02:06:50.322 --> 02:06:51.783]  This is what you're actually designed to run on.
[02:06:51.943 --> 02:06:52.183]  Exactly.
[02:06:52.203 --> 02:06:56.208]  It's kind of like a car will run on one form of junky gas, but it runs really good on what it's designed for.
[02:06:56.509 --> 02:07:04.498]  You will find Brain Force, Survival Shield X2, and other game-changing products at InfoWarsLife.com or call 888-253-3139.
[02:07:09.318 --> 02:07:10.839]  My name is Alex Jones.
[02:07:11.240 --> 02:07:17.164]  Most of you know me from my syndicated radio program and my documentary films, as well as InfoWars Nightly News.
[02:07:17.384 --> 02:07:31.556]  When I got on air 20 years ago, I had discovered the Globalist program, their plan to take over the world, and my focus went from running six miles every other day, swimming two, three miles a couple times a week, and lifting weights
[02:07:32.136 --> 02:07:34.058]  We're focusing on fighting the globalists.
[02:07:34.458 --> 02:07:42.284]  I've gone from 279 pounds all the way down to 235 pounds and the weight's going off even faster.
[02:07:42.484 --> 02:07:49.629]  And it wasn't just that my weight loss accelerated, my muscle mass increased, my stamina, my energy levels exploded.
[02:07:49.910 --> 02:07:55.654]  Super Male has the key concentrated natural compounds that my body needed to go to the next level.
[02:07:55.774 --> 02:08:01.959]  Today is the day to take the InfoWarsLife.com challenge and to secure your bottle of Super Male or Super Female Vitality.
[02:08:02.179 --> 02:08:06.860]  Check them out today at Infowarslife.com or give our crew a call at 888-253-3139.
[02:08:06.920 --> 02:08:20.344]  From the front lines of the information war, it's Alex Jones.
[02:08:20.564 --> 02:08:22.245]  Merle Haggard just died, crank it up!
[02:08:28.750 --> 02:08:33.111]  Desert's quiet.
[02:08:34.592 --> 02:08:36.472]  I watch Weldon.
[02:08:36.592 --> 02:08:41.234]  Sing and play this song yesterday for a private event with my family.
[02:08:41.294 --> 02:08:44.175]  Just talked about Merle Haggard last night.
[02:08:44.195 --> 02:08:45.795]  And now he's grown old.
[02:08:57.701 --> 02:09:00.583]  Merle Haggard, 79, died of pneumonia.
[02:09:00.603 --> 02:09:03.325]  I guess this mystery flu is going around.
[02:09:05.107 --> 02:09:12.794]  And guess why Dr. Group was set up for this show two weeks ago and came here from Houston to be in studio with us today.
[02:09:14.113 --> 02:09:18.674]  The mystery flu, the mystery pneumonia, killing massive numbers of people.
[02:09:19.214 --> 02:09:30.417]  It was around two years ago and killed my uncle, my cousin, two of my cousins, and now it's back and the hospitals won't say what it is.
[02:09:32.938 --> 02:09:37.359]  So we were already going to be covering this and boom, it's taken Merle Haggard the hag.
[02:09:38.831 --> 02:09:51.748]  Weldon wants to get his acoustic guitar ready and come in here and do poncho and lefty maybe in the no man's land between the third and fourth hour he could do it or he can come in here and set up with his
[02:09:53.041 --> 02:09:53.401]  I think so.
[02:10:12.966 --> 02:10:17.089]  And native of Oklahoma, Merle Haggard has passed away on his birthday.
[02:10:17.489 --> 02:10:18.930]  He was 79 years old.
[02:10:18.950 --> 02:10:23.092]  The singer-songwriter was one of the pioneers of the Bakersfield Sound.
[02:10:23.152 --> 02:10:25.914]  Haggard was also involved in the outlaw country movement.
[02:10:26.154 --> 02:10:30.017]  Yeah, he got into country music when he heard Johnny Cash come sing at San Quentin.
[02:10:30.597 --> 02:10:32.098]  I mean, truth is stranger than fiction.
[02:10:32.558 --> 02:10:37.621]  In addition to his 40 number one hits, Haggard has won just about every music award.
[02:10:37.681 --> 02:10:38.482]  Last month, Haggard
[02:10:39.462 --> 02:10:44.325]  Hit Mama Tried was selected for presentation in the National Recording Registry.
[02:10:44.665 --> 02:10:47.787]  Haggard was inducted into the Country Music Hall of Fame in 94.
[02:10:48.667 --> 02:10:51.789]  He is the Oklahoma Music Hall of Fame.
[02:10:52.630 --> 02:10:54.451]  So Merle Haggard, dead at 79.
[02:10:55.231 --> 02:10:57.492]  And this just broke five minutes ago, literally.
[02:10:58.053 --> 02:11:01.334]  Great job of the crew grabbing that song so quickly.
[02:11:01.735 --> 02:11:03.836]  That's why Dr. Group is here with us.
[02:11:04.276 --> 02:11:05.096]  Dr. Group, former Army
[02:11:08.258 --> 02:11:11.920]  Operative in his own right, and of course holds many different medical degrees.
[02:11:11.940 --> 02:11:18.222]  You can find out more at InfoWars.com in the bio section of our guest, or at GlobalHealingCenter.com.
[02:11:18.843 --> 02:11:23.505]  Dr. Grip will be with us for the balance of the hour, then David Knight takes over in the fourth hour.
[02:11:23.545 --> 02:11:30.688]  And I had a whole stack of news for why he was coming on the show today and what he was going to be discussing.
[02:11:31.668 --> 02:11:33.849]  Flu season peaking later than usual.
[02:11:34.875 --> 02:11:36.915]  That's the Idaho State Journal.
[02:11:37.415 --> 02:11:43.436]  Stanton community grieves after educator dies from complications from the flu, and it's killing people in the lungs.
[02:11:43.777 --> 02:11:47.957]  Flu season hits new highs, but massive vaccinations happening.
[02:11:47.977 --> 02:11:53.818]  People say, you need to take the shot so I don't get sick, but they're the people that have taken it that are dying so many times.
[02:11:53.858 --> 02:11:56.399]  I mean, if you're protected, then you're protected, I thought.
[02:11:56.839 --> 02:11:59.999]  Flu season hits new highs, and it's going so late.
[02:12:00.679 --> 02:12:04.200]  We have another article, others dying that are prominent.
[02:12:05.635 --> 02:12:06.676]  So it just expands.
[02:12:06.716 --> 02:12:09.898]  North Carolina reports eight more deaths from influenza.
[02:12:10.318 --> 02:12:11.959]  We're going to be breaking this down.
[02:12:12.040 --> 02:12:14.301]  But Merle Haggard dead at 79.
[02:12:14.361 --> 02:12:15.522]  Certainly some sad news.
[02:12:15.822 --> 02:12:18.944]  But his great music will live on forever.
[02:12:18.984 --> 02:12:19.765]  The Hag is dead.
[02:12:20.185 --> 02:12:21.626]  I guess I could try to call up Willie Nelson.
[02:12:21.646 --> 02:12:23.748]  I haven't hung out with him in a while, but he's friends.
[02:12:24.168 --> 02:12:25.409]  And maybe get his take on this.
[02:12:25.469 --> 02:12:29.372]  But what we really want to do is take this sad death and draw attention
[02:12:29.952 --> 02:12:32.857]  To more and more of these mystery illnesses that are out there.
[02:12:32.897 --> 02:12:39.709]  And the studies that admit when you take the regular flu shot, it doubles your chances of getting the flu the next year and lowers your immunity.
[02:12:40.210 --> 02:12:41.793]  But that's not something they tell people.
[02:12:42.793 --> 02:12:53.843]  They tell them just get the flu shot every year, even though they've had studies out for 20 years, that three consecutive flu shots in a three-year period doubles your chances of early onset of Alzheimer's.
[02:12:54.523 --> 02:13:01.289]  So we're gonna discuss all of this with Dr. Edward Group, also one of the top formulators of products at InfoWarsLife.com.
[02:13:01.509 --> 02:13:02.610]  Doc, thanks for coming in today.
[02:13:02.811 --> 02:13:04.212]  Thanks for having me on, appreciate it.
[02:13:04.412 --> 02:13:08.516]  This really underlines or highlights what you were already coming in to talk about,
[02:13:09.720 --> 02:13:22.248]  One minute, two minutes before you're going on, the hag is dead, Weldon comes running in here, uh, country music singer in his own right, pretty darn successful, and then it's on the same subject you were about to cover.
[02:13:22.608 --> 02:13:23.309]  That is weird.
[02:13:24.409 --> 02:13:25.110]  It is weird.
[02:13:25.330 --> 02:13:27.711]  What's weird is what happened to me about three weeks ago.
[02:13:27.731 --> 02:13:32.795]  I was with my family on spring break in Utah, Park City, Deer Valley, where we go every year, and
[02:13:33.843 --> 02:13:41.389]  When I got there, I looked in the sky and I saw chemtrails everywhere and my wife said to me, oh my gosh, look at all these chemtrails everywhere.
[02:13:41.589 --> 02:13:47.034]  And so we started walking around the town and everybody was coughing and hacking and has respiratory illnesses.
[02:13:48.074 --> 02:13:52.138]  And people were actually saying, I was asking a couple of people, I said, what's going on around here?
[02:13:52.158 --> 02:13:54.460]  And they said, well, they're calling it the Park City flu.
[02:13:55.478 --> 02:14:01.522]  And so I didn't think anything of it, and I ski for a couple days, and on day three, I start feeling really bad.
[02:14:01.542 --> 02:14:04.984]  I'm looking up, I'm like, great, now my whole vacation's gonna be ruined.
[02:14:05.124 --> 02:14:06.305]  I don't even get sick.
[02:14:06.405 --> 02:14:13.649]  I know that if I get sick, there's something seriously going on, and I can literally feel it in my body, and I know...
[02:14:14.870 --> 02:14:15.070]  Yes.
[02:14:33.490 --> 02:14:34.611]  And I'm barely getting by.
[02:14:34.651 --> 02:14:37.132]  My throat, my respiratory, everything's going on.
[02:14:37.212 --> 02:14:41.314]  So like on day three, I can finally start getting to the computer.
[02:14:41.334 --> 02:14:44.076]  So I start looking and saying, there's something weird going on.
[02:14:44.096 --> 02:14:45.256]  I need to find out what it is.
[02:14:45.857 --> 02:14:48.218]  So I'm thinking it's spring break all over the country.
[02:14:48.238 --> 02:14:50.019]  It's going to be spring break for the next three weeks.
[02:14:50.039 --> 02:14:51.260]  That's the perfect time.
[02:14:51.860 --> 02:14:56.903]  For them to spray and you know everybody leaves their hometown for spring break, right?
[02:14:56.923 --> 02:14:59.405]  So they're all going to the East Coast.
[02:14:59.425 --> 02:15:00.726]  They're all going to the West Coast.
[02:15:00.766 --> 02:15:01.827]  They're going to Arizona.
[02:15:01.847 --> 02:15:03.988]  They're going skiing in Colorado and Utah.
[02:15:04.749 --> 02:15:08.651]  So I start looking at the different chemtrail websites and trying to figure out what's going on.
[02:15:08.711 --> 02:15:12.534]  Sure enough, I came up with, you know, digging deep enough with chemtrail flu and
[02:15:13.254 --> 02:15:19.977]  Realize that they heavily sprayed the East Coast, right along the border of Canada and the United States.
[02:15:20.077 --> 02:15:20.897]  So the whole North.
[02:15:20.937 --> 02:15:22.398]  They squared in the United States.
[02:15:22.418 --> 02:15:25.279]  And by the way, they cover a lot of this with geoengineering.
[02:15:25.779 --> 02:15:27.120]  It's admitted they're doing it.
[02:15:27.220 --> 02:15:28.681]  There are UN treaties on it.
[02:15:29.221 --> 02:15:31.822]  They have proven they are retrofitting planes.
[02:15:32.102 --> 02:15:35.964]  They also add key compounds to jet fuel, so it's compartmentalized.
[02:15:36.004 --> 02:15:38.765]  We have the patents, so even the companies don't know.
[02:15:39.545 --> 02:15:42.388]  They're directed by Homeland Security just to do it.
[02:15:42.788 --> 02:15:45.831]  That's why even NASA admits the Earth is now 30% darker.
[02:15:46.231 --> 02:15:50.234]  You can type in satellite images of chemtrails from space.
[02:15:51.368 --> 02:15:53.431]  That's the layman's term, but this is going on.
[02:15:53.451 --> 02:15:55.613]  There's also low-altitude spraying going on.
[02:15:56.014 --> 02:16:08.909]  They admit CIA testing in almost every city of the US, in some cases spraying chemicals, biologicals, radiologicals on towns, then having the military doctors in the hospitals to, quote, test the response.
[02:16:08.969 --> 02:16:11.191]  So, secret human testing.
[02:16:12.262 --> 02:16:12.983]  is massive.
[02:16:13.683 --> 02:16:20.808]  Most of the public only knows about black people and Tuskegee, because they wanted the public to know and think, oh, it's just the black people.
[02:16:21.548 --> 02:16:22.148]  No, folks.
[02:16:22.669 --> 02:16:26.831]  No, they've been injecting large parts of the population with syphilis in the vaccines.
[02:16:27.712 --> 02:16:29.713]  You think it's a vaccine, it's really syphilis.
[02:16:30.013 --> 02:16:33.015]  My grandmother got polio from the polio vaccine one week later.
[02:16:33.375 --> 02:16:37.978]  This is a massive eugenics operation, as Prince Philip talked about.
[02:16:38.018 --> 02:16:38.579]  Please continue.
[02:16:39.585 --> 02:16:43.627]  So, of course, me being a researcher, I wanted to dive into this even more.
[02:16:43.907 --> 02:16:49.190]  And at the same time, by the way, we're getting emails from people that are sick all over the nation.
[02:16:49.210 --> 02:16:52.311]  This has been going on, like I said, about three weeks ago it started.
[02:16:52.771 --> 02:16:58.274]  And I don't even think we're in the real big, you know, pandemic part of it yet.
[02:16:58.654 --> 02:17:01.796]  Let's be clear, people get tested and don't even have the flu virus.
[02:17:01.836 --> 02:17:06.818]  They just say, people I know in Austin, because I've taken people to the doctor and they've said this, well, we just call it the flu.
[02:17:06.858 --> 02:17:07.739]  We don't know what it is.
[02:17:08.721 --> 02:17:10.142]  This is definitely not the flu.
[02:17:10.222 --> 02:17:12.703]  I mean, they're going in and they're getting flu shots, obviously.
[02:17:13.424 --> 02:17:17.086]  They're being told it's influenza, but the research that I pulled up, it's not.
[02:17:17.146 --> 02:17:25.430]  And we can link all these things with the pneumonia and the respiratory and the heart conditions that are going on all across the U.S.
[02:17:25.750 --> 02:17:32.074]  Like I said, they sprayed not only did they square in the U.S., but they also sprayed right across the middle of the U.S.
[02:17:32.494 --> 02:17:37.997]  That's why you're seeing all these deaths and everything happen along the East Coast, the West Coast, along the South, and everything else.
[02:17:38.297 --> 02:17:39.257]  And Merle Haggard just died.
[02:17:39.538 --> 02:17:40.798]  And Merle Haggard just died.
[02:17:40.858 --> 02:17:41.999]  Some respiratory deal.
[02:17:42.019 --> 02:17:43.619]  So I pulled up some samples.
[02:17:43.679 --> 02:17:53.264]  There's an agency in Victoria, British Columbia, because whatever they're doing up there is really taking a bad, people are having really bad reactions.
[02:17:53.804 --> 02:18:04.269]  And these samples were given to this lab that are licensed by the Environmental Protection Agency, and they found ethylene dibromide, which is a pesticide, a banned pesticide,
[02:18:04.989 --> 02:18:08.611]  Which causes severe respiratory reactions at low levels.
[02:18:09.011 --> 02:18:16.015]  They found Pseudomonas aeruginosa, which not only causes respiratory infection, but also attacks the immune system.
[02:18:16.415 --> 02:18:22.939]  I told my wife, I said, it feels like there's three organisms that are attacking me at once.
[02:18:23.519 --> 02:18:27.322]  That was before I knew this, and sure enough, they identified three organisms.
[02:18:27.622 --> 02:18:34.747]  The second one is Serratia marcescens, which is an antibiotic-resistant bacteria which causes pneumonia.
[02:18:35.896 --> 02:18:53.273]  Endocarditis and meningitis, and the last one was streptomyces and molds capable of inducing heart disease, upper respiratory... That's right, they now admit there's all these weird mutated moles that are killing the bats, killing the turtles, causing people to have heart attacks, brain tumors are growing, and young people suddenly from mold!
[02:18:53.954 --> 02:18:57.076]  Mold's getting through the blood-brain barrier and then mold's growing in the brain.
[02:18:57.137 --> 02:18:59.038]  I mean, what have they done with the GMO?
[02:18:59.378 --> 02:19:02.521]  Also, China heats up its big factories right now.
[02:19:02.741 --> 02:19:04.982]  Its jet stream dumps in all over the United States.
[02:19:05.583 --> 02:19:07.004]  So, this is insane.
[02:19:07.264 --> 02:19:11.467]  Top it off with the aluminum nanoparticles that they're spraying down on us and everything else.
[02:19:11.527 --> 02:19:13.189]  Which is an admitted giant secret program.
[02:19:13.209 --> 02:19:14.089]  They admit they're doing it.
[02:19:14.650 --> 02:19:16.531]  Billions being spent spraying us with aluminum.
[02:19:17.092 --> 02:19:20.434]  And Monsanto's coming out with seeds that can grow in aluminum soil.
[02:19:21.055 --> 02:19:22.416]  And then you got the Zika virus.
[02:19:23.649 --> 02:19:30.554]  Which they admit is linked to mutations and engineered with the Rockefeller Foundation creating it, a souped up version.
[02:19:30.974 --> 02:19:31.234]  Right.
[02:19:31.274 --> 02:19:32.735]  I mean, you cannot make this up.
[02:19:32.875 --> 02:19:34.016]  You cannot make it up.
[02:19:34.136 --> 02:19:34.856]  It's happening.
[02:19:35.017 --> 02:19:45.424]  If you talk to farmers all over the world, the aluminum nanoparticles are causing a very acidic soil, messing up all the plants, including organic foods and beverages.
[02:19:45.564 --> 02:19:48.205]  And it's something that needs to be stopped, obviously.
[02:19:53.629 --> 02:19:54.770]  That's what we're doing.
[02:19:54.790 --> 02:19:58.652]  We're setting up greenhouses at our farm to grow all the herbs just so we can protect them from the air.
[02:19:58.672 --> 02:20:03.614]  I want to get more into these news articles about this and why you think it's going to get a lot worse.
[02:20:03.854 --> 02:20:05.455]  But Dr. Group will also put the phones up.
[02:20:05.495 --> 02:20:08.396]  And oh, he's hosting the fourth hour now with Anthony Giugiardi.
[02:20:08.937 --> 02:20:09.957]  Brain Force is here.
[02:20:10.478 --> 02:20:12.759]  Ladies and gentlemen, I've been on this the last few months.
[02:20:13.039 --> 02:20:18.722]  You probably noticed I've been more crazed, more focused, less brain fog, more energy, more special reports.
