[00:00:07.785 --> 00:00:10.406]  Ladies and gentlemen, wow!
[01:50:30.015 --> 01:50:31.376]  This is a more complex issue.
[01:50:31.376 --> 01:50:33.978]  When I say most Jews I know, I mean in the media.
[01:50:33.978 --> 01:50:35.819]  And we're going to skip this break so we have more time.
[01:50:35.819 --> 01:50:36.560]  You want to comment on that?
[01:50:37.240 --> 01:50:44.245]  I totally agree with everything you're saying in terms of, it's absolutely absurd because it also ties into the whole victimization of it, right?
[01:50:44.245 --> 01:50:50.650]  Like, oh, this is so horrible, so terrible, let's not focus on the Islamic terror in any capacity, we need to get rid of Israel!
[01:50:50.650 --> 01:50:51.150]  Right?
[01:50:51.150 --> 01:50:56.214]  So, it's all about... And Israel's got between 400 and 600 nukes, they're not going anywhere!
[01:50:56.997 --> 01:51:02.579]  Right, and it's this whole thing where we can't talk about Islamic terror, or you're racist, or you're bad.
[01:51:02.579 --> 01:51:08.080]  So, let's reframe it somehow now to Israel needs to go away and they're horrible and they're the reason for everything.
[01:51:08.080 --> 01:51:10.801]  It's absolutely absurd, but you know who is the reason though?
[01:51:10.801 --> 01:51:15.922]  Okay, no one talks about Obama funding the Free Syrian Army beheading Christians like you do, okay?
[01:51:15.922 --> 01:51:17.263]  No one talks about that.
[01:51:17.263 --> 01:51:20.704]  In Reuters 2008 leaks, Obama's giving them weapon systems.
[01:51:20.704 --> 01:51:23.064]  Oh no, no, no, I mean it's cool the liberal media to do that.
[01:51:23.064 --> 01:51:23.564]  Creating ISIS.
[01:51:23.564 --> 01:51:25.305]  Oh, it's so sexy, the wonderful rebels.
[01:51:25.882 --> 01:51:27.923]  Yeah, but anything to defer away from that.
[01:51:27.923 --> 01:51:30.643]  And then Obama says, they're like, yes, we have to help them.
[01:51:30.643 --> 01:51:32.064]  We have to get rid of Israel.
[01:51:32.064 --> 01:51:33.364]  It's a sad, sad thing.
[01:51:33.364 --> 01:51:33.824]  What?
[01:51:33.824 --> 01:51:39.966]  You funded the groups that started the whole Islamic terror movement in the areas by beheading people in the public square.
[01:51:39.966 --> 01:51:40.866]  Gave them missile launchers.
[01:51:40.866 --> 01:51:41.346]  Absolutely.
[01:51:41.346 --> 01:51:48.308]  We don't have five million Jewish refugees in Europe murdering people and attacking Christmas events.
[01:51:48.308 --> 01:51:52.549]  I mean, that's all I'm saying is stop covering up for the Islamic terror liberals.
[01:51:52.549 --> 01:51:53.770]  Then I'll listen to you about Israel.
[01:51:53.770 --> 01:51:54.410]  That's what I'm saying.
[01:51:54.844 --> 01:51:59.326]  Yes, and then they go and talk about settlements and about who can live in certain settlements.
[01:51:59.326 --> 01:52:00.367]  Settlements?
[01:52:00.367 --> 01:52:04.028]  You know, the thing we just discussed about him arming the Free Syrian Army.
[01:52:04.028 --> 01:52:08.431]  How about the support of what is now ISIS and then not even admitting that they are ISIS?
[01:52:08.431 --> 01:52:09.311]  Not even talking about it.
[01:52:09.311 --> 01:52:10.992]  Yeah, because you're the progenitor of it.
[01:52:10.992 --> 01:52:12.473]  You created it by funding these groups.
[01:52:12.473 --> 01:52:12.893]  Sure.
[01:52:12.893 --> 01:52:14.413]  And I'm going to call, here's my final point.
[01:52:14.413 --> 01:52:17.315]  You brought up some really central points, Anthony, that I hadn't got to.
[01:52:17.315 --> 01:52:18.295]  I'm glad you popped in.
[01:52:18.295 --> 01:52:19.196]  Pop in anytime, please.
[01:52:19.196 --> 01:52:20.837]  I'm encouraging the whole crew to do that.
[01:52:20.837 --> 01:52:21.537]  We don't have a guest on.
[01:52:23.533 --> 01:52:25.974]  Let's just look at it mathematically, logically, okay?
[01:52:25.974 --> 01:52:29.296]  Let's just look at it cold-bloodedly.
[01:52:29.296 --> 01:52:31.257]  And I'm not saying then make your moral decision off that.
[01:52:31.257 --> 01:52:32.998]  I'm saying let's scientifically look at it.
[01:52:32.998 --> 01:52:40.942]  Israel has 400 to 600 nukes, global attack submarines with nukes, cruise missiles, ICBMs, medium-range tactical nukes.
[01:52:40.942 --> 01:52:42.103]  They've got everything.
[01:52:42.103 --> 01:52:44.564]  One of the most advanced militaries in the world, okay?
[01:52:44.864 --> 01:52:55.367]  They've got a superpower as their ally and now that superpower is breaking away saying we're not your ally 24 days after a repudiating election against that government.
[01:52:55.367 --> 01:53:04.749]  That same government just passed a law to put the FCC under the control of 16 intelligence agencies and they say by name they want to ban us.
[01:53:05.249 --> 01:53:07.110]  Where's the outcry for our free speech?
[01:53:07.110 --> 01:53:08.130]  That's what I'm saying.
[01:53:08.130 --> 01:53:11.231]  Again, where is Israel going to go, folks?
[01:53:11.231 --> 01:53:12.911]  It's not going anywhere.
[01:53:12.911 --> 01:53:21.734]  So why is Obama now, not two years from leaving when he could actually try to do something, why is he causing a global crisis and then handing it over to Trump?
[01:53:21.734 --> 01:53:30.496]  The same reason George Soros and the Ford Foundation spent tens of billions of dollars the last decade overthrowing the Middle East, overthrowing Ukraine, and trying to cause a civil war here.
[01:53:30.496 --> 01:53:32.037]  Because they're bringing in chaos
[01:53:32.597 --> 01:53:35.079]  So they can get control out of the chaos.
[01:53:35.079 --> 01:53:36.340]  This is treason!
[01:53:36.340 --> 01:53:43.346]  Trump needs to tell Obama, you don't make any more decisions or do anything else geopolitically, violating decades of U.S.
[01:53:43.346 --> 01:53:46.449]  policy until you're out of office, jackass!
[01:53:46.449 --> 01:53:49.011]  And then you can run around and try to cause a global crisis.
[01:53:49.011 --> 01:53:49.931]  This is insane!
[01:53:49.931 --> 01:53:53.895]  And everybody needs to repudiate what Obama's doing, because let me tell you something.
[01:53:54.955 --> 01:53:57.276]  It's about starting a war in the Middle East.
[01:53:57.276 --> 01:54:01.317]  The same climate was before World War I. I want to tell all the trendies something.
[01:54:01.317 --> 01:54:11.860]  When you're drafted, fighting tens of millions of screaming Islamists in some future mega-war that the globalists engineered, remember when you're in a foxhole that you asked for it.
[01:54:11.860 --> 01:54:13.661]  Sorry, Anthony.
[01:54:13.661 --> 01:54:18.963]  Then you wonder, why did he want a successor like Hillary Clinton, who's funded by Saudi Arabia, right?
[01:54:21.019 --> 01:54:23.642]  Exactly, and that is why I'm so sick of it.
[01:54:23.642 --> 01:54:32.392]  We've got communist Chinese, we've got Saudi Arabians lobbying to shut down the free press, and all I hear about all day is Israel, Israel, Israel, Israel.
[01:54:32.392 --> 01:54:33.453]  Israel runs everything.
[01:54:33.453 --> 01:54:34.715]  Israel put me in charge.
[01:54:34.715 --> 01:54:36.797]  Israel wipes my butt in the morning.
[01:54:36.797 --> 01:54:38.379]  No, Israel doesn't!
[01:54:38.379 --> 01:54:41.142]  The leftist Israel lobby is all in my business!
[01:54:42.083 --> 01:54:43.304]  I'm better than them!
[01:54:43.304 --> 01:54:45.145]  I want prosperity!
[01:54:45.145 --> 01:54:46.985]  I transcend them!
[01:54:46.985 --> 01:54:50.567]  And I transcend all the racist New World Order people as well!
[01:54:50.567 --> 01:54:56.590]  And the truth is, Israel, again, is a complex issue used as a destabilization device in the Middle East.
[01:54:57.871 --> 01:54:59.272]  It's way more complex than that.
[01:54:59.272 --> 01:55:02.414]  And again, if the public wants to know what's going on, understand this.
[01:55:02.414 --> 01:55:06.578]  Israel's not going anywhere without a giant worldwide nuclear war.
[01:55:06.578 --> 01:55:10.581]  So what are you dumbasses doing pushing for it and war with Russia?
[01:55:10.581 --> 01:55:12.383]  The globalists know they're losing.
[01:55:12.383 --> 01:55:15.766]  Their threat is give us world government or we'll start a nuclear war.
[01:55:15.766 --> 01:55:17.267]  That's always been their threat.
[01:55:17.267 --> 01:55:18.988]  It's how they set up world government.
[01:55:18.988 --> 01:55:23.352]  We're being held hostage by nuclear Armageddon and I am pissed about it.
[01:55:23.733 --> 01:55:24.776]  I have three children!
[01:55:24.776 --> 01:55:26.764]  I don't think it's funny!
[01:55:26.764 --> 01:55:28.069]  What is my agenda?
[01:55:28.069 --> 01:55:29.414]  I wear it on my sleeve!
[01:55:34.528 --> 01:55:35.749]  No, people should be pissed off.
[01:55:35.749 --> 01:55:39.312]  It's just like the BuzzFeed video or whatever it was about how horrible white people are.
[01:55:39.312 --> 01:55:40.613]  That's not racist.
[01:55:40.613 --> 01:55:45.296]  And then you can have Islamic terror happening over and over again, but then you're racist if you say anything about it.
[01:55:45.296 --> 01:55:46.938]  But let's attack Israel.
[01:55:46.938 --> 01:55:48.919]  Let's attack any other group.
[01:55:48.919 --> 01:55:51.501]  Just everything's bad besides the thing that's actually happening.
[01:55:51.501 --> 01:55:53.603]  And it's big multinational corporations robbing it.
[01:55:53.663 --> 01:55:54.083]  We're good to go.
[01:56:08.660 --> 01:56:09.661]  They're political atheists.
[01:56:09.661 --> 01:56:10.762]  People don't understand.
[01:56:10.762 --> 01:56:19.951]  You really think billionaires and the megacorporate heads and stuff, they're sitting there like, well, my moral decision for this election cycle, Hillary Clinton... Exactly, and they hate the U.S.
[01:56:19.951 --> 01:56:23.375]  because we have Christian morals and a free market idea and don't want to be ruled.
[01:56:23.375 --> 01:56:24.816]  They hate Israel for the same reason.
[01:56:24.816 --> 01:56:26.998]  They hate sovereign European countries for the same reason.
[01:56:26.998 --> 01:56:32.464]  And they're using an ideology like Islam to try to destroy us, and that's why they've opened the borders up to it.
[01:56:33.097 --> 01:56:39.042]  It's whatever is most beneficial for them in their micro-agenda, in their macro-agenda, whatever it is, they're going to push that.
[01:56:39.042 --> 01:56:39.743]  They don't care.
[01:56:39.743 --> 01:56:42.845]  They're not sitting here worrying about the rights that are being violated.
[01:56:42.845 --> 01:56:44.587]  It's whatever is going to move them forward.
[01:56:44.587 --> 01:56:46.068]  Thank you Anthony.
[01:56:46.068 --> 01:56:47.149]  I'm going to go to calls now.
[01:56:47.149 --> 01:56:48.110]  I apologize to the callers.
[01:56:48.110 --> 01:56:48.610]  Great points.
[01:56:48.610 --> 01:56:49.611]  Before I go any further.
[01:56:49.611 --> 01:56:50.272]  Thank you.
[01:56:50.272 --> 01:56:50.572]  Thank you.
[01:56:50.572 --> 01:56:52.013]  Before I go any further.
[01:56:52.013 --> 01:56:54.175]  Super Mel Vitality, I've got it right here.
[01:56:54.175 --> 01:56:55.036]  Every batch is different.
[01:56:55.036 --> 01:56:58.559]  It's the same herbs concentrated over and over again into an oil.
[01:56:58.559 --> 01:56:59.600]  That's why it's so strong.
[01:57:01.178 --> 01:57:02.618]  Infowarslife.com.
[01:57:02.618 --> 01:57:05.319]  I've, again, been religiously taking it every day.
[01:57:05.319 --> 01:57:07.720]  I've forgotten to do that because I've got so many great supplements.
[01:57:07.720 --> 01:57:09.481]  For the last three weeks, I've been taking it every day.
[01:57:09.481 --> 01:57:10.121]  Incredible.
[01:57:10.121 --> 01:57:10.961]  I've lost weight.
[01:57:10.961 --> 01:57:11.561]  I've got energy.
[01:57:11.561 --> 01:57:12.382]  I'm more aggressive.
[01:57:12.382 --> 01:57:15.123]  My libido is just on fire.
[01:57:15.123 --> 01:57:18.103]  Woo!
[01:57:18.103 --> 01:57:22.645]  In fact, I used to only take one drop, but I'm taking more.
[01:57:22.645 --> 01:57:26.666]  This latest batch is really strong.
[01:57:26.666 --> 01:57:28.067]  Don't taste good, folks, because it's not.
[01:57:29.497 --> 01:57:30.678]  All right.
[01:57:30.678 --> 01:57:31.799]  I apologize to the callers.
[01:57:31.799 --> 01:57:34.240]  Let's go to one before we got a break here.
[01:57:34.240 --> 01:57:35.161]  Johnny in Kansas.
[01:57:35.161 --> 01:57:37.342]  Go ahead, Johnny.
[01:57:37.342 --> 01:57:37.943]  Hey, Alex.
[01:57:37.943 --> 01:57:39.224]  Appreciate the time, man.
[01:57:39.224 --> 01:57:40.745]  Thank you, brother.
[01:57:40.745 --> 01:57:44.968]  Before I hit my subject, let me offer you this.
[01:57:44.968 --> 01:57:55.435]  When we come forward with the depth and breadth of knowledge, you have these people that come forward either wanting to learn from you or tear you down.
[01:57:56.980 --> 01:58:00.204]  And I commend you for staying at this thing for as long as you have.
[01:58:00.204 --> 01:58:01.566]  What are you going on, like 25 years?
[01:58:01.566 --> 01:58:01.846]  27 years?
[01:58:01.846 --> 01:58:02.547]  It's like 25, yeah.
[01:58:04.502 --> 01:58:06.943]  Yeah, you are doing an awesome job, Alex.
[01:58:06.943 --> 01:58:08.163]  Just stay at it.
[01:58:08.163 --> 01:58:09.683]  To hell with the naysayers.
[01:58:09.683 --> 01:58:12.144]  They'll be in your wake forever.
[01:58:12.144 --> 01:58:12.684]  It don't matter.
[01:58:12.684 --> 01:58:13.965]  Alright, I don't want to cut you off, Johnny.
[01:58:13.965 --> 01:58:15.925]  I want to hear the topic you called in on, Executive Orders and Obama.
[01:58:15.925 --> 01:58:16.805]  And I apologize.
[01:58:16.805 --> 01:58:18.826]  We're going to push Bracken back to 20 after.
[01:58:18.826 --> 01:58:19.826]  He's nice to come on anyways.
[01:58:19.826 --> 01:58:21.087]  So I'm going to get to everybody.
[01:58:21.087 --> 01:58:25.008]  Johnny, I'm going to come back and give you like four or five minutes, then Chris, Dustin, Chris, and Richard.
[01:58:25.008 --> 01:58:26.688]  Then I've got to hit the AI stuff.
[01:58:26.688 --> 01:58:28.089]  I've meant to do this for weeks.
[01:58:28.089 --> 01:58:28.949]  It's so important.
[01:58:30.194 --> 01:58:32.396]  I keep procrastinating because it's so big.
[01:58:32.396 --> 01:58:34.417]  I don't feel like I'm going to do it justice, but you know what?
[01:58:34.417 --> 01:58:35.358]  It's got to be covered.
[01:58:35.358 --> 01:58:36.658]  It's all coming up in the third hour.
[01:58:36.658 --> 01:58:38.700]  Tell friends and family to tune in, folks.
[01:58:38.700 --> 01:58:42.062]  They're trying to censor us, but we're growing despite that because of you.
[01:58:42.062 --> 01:58:44.524]  Thank you for listening to GCN.
[01:58:44.524 --> 01:58:46.145]  Visit GCNlive.com today.
[01:58:51.696 --> 01:58:59.161]  I am very proud to announce the introduction of the highest quality InfoWars Biome Defense Probiotic.
[01:58:59.161 --> 01:59:12.390]  We wanted to come out with the largest spectrum of high quality known probiotics that have been proven to improve overall digestion and health and detoxification in the body.
[01:59:13.311 --> 01:59:25.227]  Biome Defense is an exclusive blend of 50 billion live and active cultures from over 23 different probiotic strains that are known to support digestion and intestinal function.
[01:59:25.227 --> 01:59:31.194]  Our researchers are confident that we have been able to develop what will be the leading probiotic on the market.
[01:59:31.935 --> 01:59:40.937]  Secure your biome defense in ultra strength or regular strength at InfoWarsLife.com today and get started supporting your digestive system naturally.
[01:59:40.937 --> 01:59:53.460]  We've been testing this formula for years, but this is the limited first run to the public, so please take advantage of it today, support your own health, and support the InfoWar.
[01:59:53.460 --> 01:59:56.120]  You're listening to the Alex Jones Show.
[02:00:13.238 --> 02:00:17.939]  Live from the InfoWars.com studios, it's Alex Jones.
[02:00:52.094 --> 02:00:56.775]  Just ran back in here working on big news developments during the break.
[02:00:56.775 --> 02:01:00.056]  We're gonna have a lot of special reports tonight on the Nightly News, 7 o'clock Central.
[02:01:00.056 --> 02:01:02.156]  Okay, I apologize to John and the other callers.
[02:01:02.156 --> 02:01:03.576]  I pushed back our guests to go to them.
[02:01:03.576 --> 02:01:15.479]  I get so mad on just the Vatican stuff and the Israel stuff and the Russia stuff because, I mean, I've been called when I was against the Iraq War.
[02:01:15.479 --> 02:01:16.399]  It was in newspapers.
[02:01:17.608 --> 02:01:22.209]  And they were saying, Alex must be on the payroll of Saddam.
[02:01:22.209 --> 02:01:24.910]  Saddam didn't attack us!
[02:01:24.910 --> 02:01:27.450]  I was on the side of being informed.
[02:01:27.450 --> 02:01:29.191]  And look, I'm not bitching.
[02:01:29.191 --> 02:01:30.971]  Johnny doesn't need to call up and say, great job.
[02:01:30.971 --> 02:01:32.972]  Hey, listen, Johnny, thank you for caring.
[02:01:32.972 --> 02:01:34.432]  Thank you for being a listener.
[02:01:34.432 --> 02:01:35.372]  We're all in this together.
[02:01:35.372 --> 02:01:36.933]  I mean, look, I'm honored to be here.
[02:01:36.933 --> 02:01:38.213]  Please don't thank me.
[02:01:38.213 --> 02:01:41.074]  What I get mad about is some of the public that's so ignorant.
[02:01:42.062 --> 02:01:51.004]  That we're really trying to go over the facts here that are incontrovertible in most cases and they just are angry thinking everybody's got to work for somebody.
[02:01:51.004 --> 02:01:54.024]  And I started thinking about it maybe because I started my own business and run my own operation.
[02:01:54.024 --> 02:01:56.325]  I understand a lot of folks don't work for somebody.
[02:01:56.325 --> 02:01:59.625]  In fact, my whole life's about not working for somebody.
[02:01:59.625 --> 02:02:02.626]  I think that's why I get mad about it is because it's not true.
[02:02:02.626 --> 02:02:06.406]  But go ahead and make your points about executive order, sir.
[02:02:06.406 --> 02:02:09.587]  Okay, Alex.
[02:02:10.532 --> 02:02:17.074]  Donald Trump already came out and said that he was going to vacate a bunch of the executive orders that Obama's done.
[02:02:17.074 --> 02:02:26.937]  So what he's done is he's passed the torch over to his compartment in his czarist nation that he established.
[02:02:26.937 --> 02:02:29.898]  And they're going to try to do it by way of just proclamation.
[02:02:29.898 --> 02:02:30.978]  We're going to do this now.
[02:02:30.978 --> 02:02:32.438]  Okay.
[02:02:32.438 --> 02:02:35.299]  So Trump has got to move forward and get this thing done.
[02:02:35.299 --> 02:02:36.359]  But here's the issue.
[02:02:36.359 --> 02:02:38.600]  Here's the main issue that everybody's missing.
[02:02:40.108 --> 02:02:46.853]  Our country is unique across this entire globe in the fact that the people are supposed to be in control.
[02:02:46.853 --> 02:02:49.794]  That's the essence of self-government.
[02:02:49.794 --> 02:03:01.462]  And the founders, when they were drawing up our articles, they decided that we were going to stay in this position where we're not led by anybody except for what we need to take care of ourselves.
[02:03:01.462 --> 02:03:03.583]  And we're going to be a defensive nation.
[02:03:04.264 --> 02:03:06.045]  We're not going to be aggressive anywhere.
[02:03:06.045 --> 02:03:14.853]  And that's because they were studying William Tell in Switzerland, that was only 100-something years old at that time, and if we'd have done that, wow, can you imagine?
[02:03:14.853 --> 02:03:16.034]  Now, you think about this.
[02:03:16.034 --> 02:03:28.964]  The first two articles, they put so much importance on populating our representatives and paying them, that those are the first two articles of our Bill of Rights, which should more correctly be called a Bill of Prohibitions.
[02:03:28.964 --> 02:03:30.865]  Articles of Prohibitions.
[02:03:30.865 --> 02:03:33.908]  You keep your hands off of this because this is the people talking.
[02:03:34.693 --> 02:03:35.553]  You do whatever you want.
[02:03:35.553 --> 02:03:41.696]  That's right, Congress shall make no law respecting and establishing of religion or prohibiting the free exercise thereof.
[02:03:41.696 --> 02:03:44.156]  It means you don't have a jurisdiction.
[02:03:44.156 --> 02:03:46.597]  You can't touch it!
[02:03:46.597 --> 02:03:59.402]  But here's the thing, we put out a call for the people to get off their butt and force our state to ratify the original first, which is the division of the congressional district.
[02:04:00.402 --> 02:04:04.564]  And then we're going to eviscerate this criminal cabal that we've got.
[02:04:04.564 --> 02:04:05.725]  I agree.
[02:04:05.725 --> 02:04:08.406]  If we go back to the full Constitution, it'll break up the gerrymandering.
[02:04:08.406 --> 02:04:10.107]  There's a lot of good stuff.
[02:04:10.107 --> 02:04:11.027]  Absolutely.
[02:04:11.027 --> 02:04:11.608]  Absolutely.
[02:04:11.608 --> 02:04:12.668]  But all we need is people.
[02:04:12.668 --> 02:04:13.248]  We've got to populate.
[02:04:13.248 --> 02:04:16.830]  But see, you're so informed, Johnny, you sound like you're speaking space alien.
[02:04:16.830 --> 02:04:18.671]  Not to our general audience, but to a new listener.
[02:04:18.671 --> 02:04:22.253]  I mean, have you seen how dumb the people are we talk to and that Mark Dice talks to?
[02:04:22.253 --> 02:04:24.814]  They don't know what planet they're on, bro.
[02:04:24.814 --> 02:04:26.375]  Yeah, I hear you there.
[02:04:26.375 --> 02:04:28.216]  Try to give geography to them one time.
[02:04:28.877 --> 02:04:30.898]  You know, where is Missouri?
[02:04:30.898 --> 02:04:32.759]  Come on guys, where is Kansas?
[02:04:32.759 --> 02:04:33.939]  It's the flyover area.
[02:04:33.939 --> 02:04:36.040]  Nobody pays any attention.
[02:04:36.040 --> 02:04:48.925]  And here's an analogy I like to use when I'm dealing with these people is what we've done is our founders created this awesome machine that was going to take care of not only us, but most of the world.
[02:04:48.925 --> 02:04:53.207]  And then when we get our chance to run the machine, we turn it on, we walk away.
[02:04:54.426 --> 02:04:58.318]  Oh yeah, somebody's gonna come in and take over that machine and just tear the hell out of everything.
[02:04:58.318 --> 02:04:59.501]  That's right, well said.
[02:05:01.445 --> 02:05:04.928]  Have you ever witnessed a more arrogant President and First Lady in your life?
[02:05:04.928 --> 02:05:15.196]  It wasn't enough that Michael, ahem, Michelle and Barack Obama were consistently campaigning for Hillary Clinton, telling you how to vote if you're black, telling you Trump could never win, forcing their communist lunch and healthcare down our throats.
[02:05:15.196 --> 02:05:22.002]  No, even in the face of total repudiation of the President and the First Lady, check election results, their arrogance remains supreme.
[02:05:22.002 --> 02:05:24.704]  On her way out of the White House, Michelle did an interview with Oprah,
[02:05:24.804 --> 02:05:26.904]  When she said Trump supporters were like toddlers.
[02:05:26.904 --> 02:05:27.345]  Really?
[02:05:27.345 --> 02:05:29.085]  Did we cry about the election results?
[02:05:29.085 --> 02:05:31.325]  Did we say accept the results and then challenge them?
[02:05:31.325 --> 02:05:38.087]  She went on to say people are now feeling hopeless, even though all new polls and markets are indicating this is the most hopeful people have felt in years.
[02:05:38.087 --> 02:05:46.469]  On Barry's way out, he claims he would have beaten Donald Trump, even though Hillary lost, whom he campaigned for, and basically told us it's Hillary or end of America.
[02:05:46.469 --> 02:05:52.630]  All this after finalizing their Christmas vacation tab to $35 million on the taxpayers' dime.
[02:05:52.850 --> 02:05:55.114]  This is Owen Troyer for InfoWars.
[02:05:55.114 --> 02:05:57.158]  Get Obama out!
[02:06:01.616 --> 02:06:03.918]  Electrify your day with Secret 12.
[02:06:03.918 --> 02:06:05.479]  It's like lightning in a bottle.
[02:06:05.479 --> 02:06:09.382]  We all have days in which we just can't seem to perform at the level we'd like to.
[02:06:09.382 --> 02:06:17.327]  InfoWars Live Secret 12 is designed to naturally energize your body and mind with two great tasting and super high quality forms of vitamin B12.
[02:06:17.327 --> 02:06:22.291]  Proper vitamin and nutrient intake is essential to keep your body functioning at optimum levels.
[02:06:22.291 --> 02:06:27.755]  The reality is, it's hard to take in the proper amount of vitamins we need each day with our modern diets.
[02:06:28.095 --> 02:06:35.880]  Seeker 12 by Infowars Life is an easy way to naturally upgrade your vitamin B12 intake and support your body's natural systems.
[02:06:35.880 --> 02:06:40.604]  It pairs two forms of vitamin B12 into one explosive formula.
[02:06:40.604 --> 02:06:46.468]  Vitamin B12 supports healthy energy levels through red blood cell formation and aiding in the body's natural processes.
[02:06:46.468 --> 02:06:49.630]  But it also assists with many other functions of the body.
[02:06:49.630 --> 02:06:52.852]  Electrify your mind and body and take your health to the next level.
[02:06:53.172 --> 02:06:57.063]  Experience the power of Secret 12 at InfoWarsLife.com.
[02:06:57.063 --> 02:06:58.407]  That's InfoWarsLife.com.
[02:07:00.987 --> 02:07:01.807]  Hey, everyone!
[02:07:01.807 --> 02:07:04.088]  Pharmacist Ben Fuchs here, host of The Bright Side.
[02:07:04.088 --> 02:07:07.929]  And as many of you know, I'm on a mission to help Americans get and stay healthy.
[02:07:07.929 --> 02:07:10.010]  You've all heard the shocking statistics.
[02:07:10.010 --> 02:07:20.294]  Despite spending trillions of dollars in health care, nearly $10,000 per man, woman, and child in this country, obesity, diabetes, cancer, heart disease, and autoimmune illnesses are rampant.
[02:07:20.294 --> 02:07:26.276]  One out of three or four people is dealing with some kind of health challenge, and everyone knows at least one person with a degenerative disease.
[02:07:26.676 --> 02:07:27.097]  We're good to go!
[02:07:41.673 --> 02:07:42.134]  Thank you.
[02:08:11.755 --> 02:08:12.595]  Woo!
[02:08:12.595 --> 02:08:16.697]  From the InfoWars.com studios, it's Alex Jones.
[02:08:16.697 --> 02:08:20.179]  Hard to believe you're steaming right towards 2017.
[02:08:20.179 --> 02:08:33.245]  And the Globalists are pulling out all the stops, trying to start a big fat war in the Middle East to derail Trump and hand him a big old hand grenade with that pin pulled.
[02:08:33.245 --> 02:08:40.729]  While the Globalists sit there across the room smiling as they jump in their escape hatch, waving the pin in our face.
[02:08:42.878 --> 02:08:52.026]  How many times have we laid out the fact that in the last month or so that Obama had, he will try to start a major war.
[02:08:52.026 --> 02:09:04.436]  You don't think that Russian passenger jet marked military flying the 90-plus members of the choir blew up over Sochi by itself, do you?
[02:09:04.436 --> 02:09:07.059]  They've given surface-to-air missiles, including Stingers.
[02:09:07.930 --> 02:09:13.031]  Not just the other systems that only go two miles, but the actual stingers that go five miles.
[02:09:13.031 --> 02:09:18.152]  They've given them to them, and they shot down earlier this year the Russian aircraft over Egypt.
[02:09:18.152 --> 02:09:23.633]  This is the third Russian aircraft they've shot down in the last few years as punishment for being in Syria.
[02:09:23.633 --> 02:09:27.854]  And they killed the Russian ambassador as punishment, and two other diplomats.
[02:09:27.854 --> 02:09:35.015]  And now, the head banker for NATO just got found dead behind a building in the middle of nowhere, shot by somebody else's gun.
[02:09:37.125 --> 02:09:39.847]  So the hot war is kicking off.
[02:09:39.847 --> 02:09:43.850]  The Russians are trying to say this stuff isn't terrorism because they don't want to have to respond.
[02:09:43.850 --> 02:09:46.071]  They're hoping Trump gets in.
[02:09:46.071 --> 02:09:49.674]  And now Israel has been told that, well, the U.S.
[02:09:49.674 --> 02:09:51.195]  abstains, so the U.N.
[02:09:51.195 --> 02:10:00.542]  universally votes to say that they've got to recognize the Palestinian state, basically, and have no right to settlements.
[02:10:00.542 --> 02:10:03.204]  And the word is John Kerry is preparing another U.N.
[02:10:03.204 --> 02:10:05.846]  resolution that would officially recognize the Palestinian state
[02:10:07.042 --> 02:10:14.629]  When the Palestinian state officially says they believe Israel has no right to exist and will quote, drive them into the sea.
[02:10:14.629 --> 02:10:18.033]  Now let's say I don't like Israel, which I don't dislike Israel.
[02:10:18.033 --> 02:10:23.418]  I also don't fawn after it because it's got some big leftist elements to it that are involved in our domestic operations.
[02:10:23.418 --> 02:10:25.420]  I don't like that.
[02:10:25.420 --> 02:10:26.861]  But let's just say I was against Israel.
[02:10:26.861 --> 02:10:28.263]  Would I still want them to be attacked?
[02:10:29.547 --> 02:10:31.691]  And to have the Arabs attack, they have nuclear weapons.
[02:10:31.691 --> 02:10:35.179]  400 to 600, it's estimated, of high-tech use.
[02:10:35.179 --> 02:10:36.603]  That means nuclear war.
[02:10:36.603 --> 02:10:38.026]  Just like I'm not a Russian agent.
[02:10:38.797 --> 02:10:40.178]  But let's say I hate Russia.
[02:10:40.178 --> 02:10:45.922]  I still would want to have a war with Russia, because I don't want to have the end of days take place.
[02:10:45.922 --> 02:10:48.404]  Now Matt Bracken joins us at the start of the next segment.
[02:10:48.404 --> 02:11:01.513]  I want to go to a few more of your phone calls right now, and then later, but I'm not going to push it back anymore, but about 45 after Bracken and I, so I know Bracken covers this subject as well, we'll get into AI being embedded in the home.
[02:11:01.513 --> 02:11:03.935]  Now what I'm telling you, I told you 20 years ago,
[02:11:05.131 --> 02:11:07.212]  Because MIT and others talked about it.
[02:11:07.212 --> 02:11:10.174]  Now the reason I'm covering it is it's ubiquitous.
[02:11:10.174 --> 02:11:12.815]  I have about 50 articles.
[02:11:12.815 --> 02:11:14.056]  Mainstream news, admitting.
[02:11:15.339 --> 02:11:37.604]  Two things that are key that I'll tell you coming up after we take a few of your calls and then cover geopolitics and what other crises Matt Bracken, former Navy SEAL, best-selling author, highly recommended patriot from my sources inside the intelligence community, to be able to talk about things that are open source info but are also the classified assessments that have been taking place.
[02:11:37.604 --> 02:11:42.805]  And again, the good news is our military and most intelligence agencies are awake and know what's happening.
[02:11:43.345 --> 02:11:46.346]  They know there's an attempt to bring down our country and cause a civil war.
[02:11:46.346 --> 02:11:57.830]  The problem is Obama is so arrogant, so full of himself, so delusional, and so is Hillary, they're going ahead with a plan to start a big fat war and then hand it to Trump.
