[00:00:11.814 --> 00:00:12.714]  June 7th, 2016.
[01:55:59.594 --> 01:56:00.455]  Which is not going to happen.
[01:56:02.978 --> 01:56:05.961]  And that's what's going on is we're just finding our conscience and saying no.
[01:56:06.441 --> 01:56:08.283]  And they've always denied this stuff's going on.
[01:56:08.303 --> 01:56:10.826]  We're forcing it out in the open to have a real discussion.
[01:56:11.730 --> 01:56:17.515]  Yes, Obama, you're shipping illegals in and legalizing them and letting them have TB and putting them in school next to kids.
[01:56:17.735 --> 01:56:18.996]  You're out of control!
[01:56:19.016 --> 01:56:20.537]  Oh, no, we're not.
[01:56:20.597 --> 01:56:20.978]  No, we're not.
[01:56:21.038 --> 01:56:21.598]  Yes, you are.
[01:56:21.638 --> 01:56:22.839]  Here it is in the Associated Press.
[01:56:23.119 --> 01:56:24.220]  We're forcing the issue.
[01:56:24.741 --> 01:56:29.504]  Rob, dude, tell me what you found inside the hotel, what else you're going to be covering, when you expect them to throw you out.
[01:56:30.005 --> 01:56:34.328]  Obviously, it kicks off officially Thursday, but they usually kick people out now on Tuesday or Wednesday.
[01:56:34.829 --> 01:56:36.990]  I'm thrown out a whole four or five days before.
[01:56:37.351 --> 01:56:38.712]  I'm not even allowed in the hotel.
[01:56:38.852 --> 01:56:39.833]  Rob, have you had any issues?
[01:56:40.871 --> 01:56:42.533]  We have not had any issues yet.
[01:56:42.573 --> 01:56:50.403]  I did have, I was in the lobby earlier today and talking with Luke Radowski and Dan Dix and the front counter guy was leering at us.
[01:56:50.945 --> 01:56:53.566]  And that's about as bad as it's gotten so far.
[01:56:53.886 --> 01:56:54.747]  We have been filming.
[01:56:55.027 --> 01:57:06.052]  We actually have a video coming up of shots from inside the hotel showing the indoor pool of this tanning bed that looks like some sort of weird oxygenation chamber that probably Hare Kissinger will be using.
[01:57:06.393 --> 01:57:10.275]  But going back to this triangle, and I see you have that logo behind you.
[01:57:10.615 --> 01:57:13.056]  Somebody made a triangle with a circle in it.
[01:57:13.276 --> 01:57:16.237]  There's a good shot of it right there from up where we're at.
[01:57:17.418 --> 01:57:19.979]  The Courtyard actually, from where the Presidential Palace is.
[01:57:20.019 --> 01:57:22.619]  The Presidential Palace is off to your left on the screen right there.
[01:57:23.300 --> 01:57:25.120]  The former Presidential Palace of the German King.
[01:57:25.480 --> 01:57:29.421]  And then right across is where the Bilderbergs will be meeting tomorrow.
[01:57:29.481 --> 01:57:31.522]  They'll start tomorrow at noon.
[01:57:31.542 --> 01:57:32.902]  They're supposed to start kicking us out.
[01:57:33.422 --> 01:57:34.603]  So that's what we're planning.
[01:57:34.623 --> 01:57:36.523]  I haven't had any issues since then.
[01:57:36.623 --> 01:57:37.584]  I've walked around and filmed.
[01:57:37.624 --> 01:57:39.004]  We went in the Courtyard.
[01:57:39.560 --> 01:57:48.284]  And they're actually erecting some shade structure for, I thought they were building a stage for a performance and I asked one of the waiters, I said, what's going on here?
[01:57:48.304 --> 01:57:51.265]  He said, they're building a tent, a big tent for everybody.
[01:57:51.305 --> 01:57:53.206]  So it's this weird looking dome tent.
[01:57:54.367 --> 01:57:55.187]  But there's a lot of history here.
[01:57:55.207 --> 01:57:57.408]  I gotta say though, you gotta love your job sometimes.
[01:57:57.548 --> 01:57:58.608]  Germany is just beautiful.
[01:57:58.728 --> 01:57:59.509]  Austria last year.
[01:58:00.376 --> 01:58:01.157]  Exactly, yeah.
[01:58:01.237 --> 01:58:01.958]  Let me tell you, Alex.
[01:58:02.038 --> 01:58:04.019]  Germany is blowing away my expectations.
[01:58:04.039 --> 01:58:05.601]  Here's the courtyard, right across the street.
[01:58:05.621 --> 01:58:09.784]  This is where the king used to have animal shows and circuses and parties.
[01:58:10.165 --> 01:58:11.125]  Pan over that way, Josh.
[01:58:11.145 --> 01:58:11.466]  Look at that.
[01:58:11.526 --> 01:58:12.547]  I mean, it's just amazing.
[01:58:12.787 --> 01:58:15.389]  And this is surrounded by like a giant castle wall.
[01:58:15.449 --> 01:58:16.590]  Looks like Versailles.
[01:58:17.331 --> 01:58:18.492]  Yeah, I don't know.
[01:58:18.552 --> 01:58:21.254]  Somebody might get some drone shots in a bit from this vantage point.
[01:58:21.274 --> 01:58:22.735]  I don't know if that's going to happen, though.
[01:58:23.576 --> 01:58:25.097]  It'd be a good spot to launch one.
[01:58:25.257 --> 01:58:26.378]  Help me, I'm weak.
[01:58:29.109 --> 01:58:31.190]  So that's what we're expecting.
[01:58:31.570 --> 01:58:34.993]  I'm also going to go meet with a guy who I interviewed yesterday.
[01:58:35.013 --> 01:58:35.674]  He's an Austrian.
[01:58:36.174 --> 01:58:43.780]  He was passing out flyers last night to people, and he got a ticket just for passing out flyers talking about illegal immigration.
[01:58:43.900 --> 01:58:44.440]  Wow!
[01:58:44.560 --> 01:58:46.762]  Again, tickets or arrest, that's admitted.
[01:58:46.782 --> 01:58:48.343]  This is the so-called free speech of the left.
[01:58:48.623 --> 01:58:50.404]  Now coming here back in 70 seconds with Rob Duke.
[01:58:50.645 --> 01:58:53.167]  Then we interviewed the expert on radical Islam.
[01:58:53.207 --> 01:58:54.147]  Coming up, you want him?
[01:58:54.387 --> 01:58:54.848]  You've got him.
[01:59:00.510 --> 01:59:09.718]  Hillary Clinton has no shortage of celebrity endorsements, including actress Eva Longoria, Snoop D-O-double-G, and Kim Kardashian.
[01:59:09.919 --> 01:59:15.044]  Now she's gaining support from an unlikely source for a very bizarre reason, Scott Adams.
[01:59:15.404 --> 01:59:22.012]  The creator of the long-lived comic strip series Dilbert is endorsing Hillary out of fear for his personal safety.
[01:59:22.212 --> 01:59:32.784]  Despite never having endorsed Donald Trump, Adams says he's already been on the receiving end of criticism from Hillary supporters labeling him a Trump apologist and Joseph Goebbels.
[01:59:32.944 --> 01:59:33.544]  We're good to go.
[02:00:02.370 --> 02:00:05.092]  You're listening to the Alex Jones Show.
[02:00:17.723 --> 02:00:21.266]  Resistance to tyrants is obedience to God.
[02:00:21.846 --> 02:00:23.568]  It's Alex Jones.
[02:00:31.736 --> 02:00:33.297]  We're identifying the globalists.
[02:00:33.377 --> 02:00:35.717]  We're identifying their plans.
[02:00:35.757 --> 02:00:38.398]  We're identifying for humanity that they have a choice.
[02:01:00.470 --> 02:01:10.237]  Let them run your destiny, which is right into hell, or rediscover the wonderment of the universe around you and seek God's spirit in your life.
[02:01:10.958 --> 02:01:12.319]  You're not going to find these big churches.
[02:01:13.720 --> 02:01:16.742]  And then you'll feel the urge to resist this and build a better world.
[02:01:18.550 --> 02:01:22.172]  Going back to Rob Dew and Josh Owens, you guys are doing an amazing job.
[02:01:22.252 --> 02:01:24.574]  I just want to let you go so you can get work done.
[02:01:24.954 --> 02:01:33.179]  Your Skype's degrading there as you're there in Dresden, outside the old presidential palace, overlooking the hotel where Bilderberg's going to be meeting this year.
[02:01:34.039 --> 02:01:36.400]  But get back to the censorship, Rabdu.
[02:01:36.720 --> 02:01:39.101]  They're arresting people that criticize the open borders.
[02:01:39.121 --> 02:01:43.862]  They're trying to say no marches are allowed, but tens of thousands of Germans in different towns every day just ignore it.
[02:01:44.142 --> 02:01:45.042]  You covered a march yesterday.
[02:01:45.063 --> 02:01:46.263]  It looked like it had 20,000 people.
[02:01:46.303 --> 02:01:46.623]  I don't know.
[02:01:46.683 --> 02:01:47.063]  It was huge.
[02:01:48.384 --> 02:01:49.684]  But you said you actually witnessed.
[02:01:49.704 --> 02:01:50.504]  I hope you got it on tape.
[02:01:50.524 --> 02:01:51.224]  If you didn't, I understand.
[02:01:51.905 --> 02:01:58.647]  Or you talked to somebody that was given a ticket for handing out flyers exposing that the sovereignty is being destroyed.
[02:01:58.667 --> 02:02:01.848]  I mean, is there any free speech left under the pig, goblin,
[02:02:03.188 --> 02:02:08.352]  Exactly.
[02:02:08.372 --> 02:02:10.553]  Yeah, he rolled the ticket out and he showed it to me.
[02:02:10.593 --> 02:02:12.154]  I couldn't read it and I had a guy next to me.
[02:02:12.174 --> 02:02:12.835]  I said, what does it say?
[02:02:12.855 --> 02:02:16.617]  He said, well, he's given a ticket for passing out flyers.
[02:02:16.757 --> 02:02:17.878]  Did you get a video of this?
[02:02:17.898 --> 02:02:18.739]  This is sensational.
[02:02:19.432 --> 02:02:19.672]  I do.
[02:02:19.732 --> 02:02:20.253]  It's going up.
[02:02:20.413 --> 02:02:21.654]  We're going to have that out.
[02:02:21.914 --> 02:02:27.838]  In fact, we're going to go meet him again to talk more about it, because he kind of left that as an aside on this short little video.
[02:02:27.858 --> 02:02:28.899]  I'm like, no, this is big news.
[02:02:28.919 --> 02:02:29.479]  You don't understand.
[02:02:29.499 --> 02:02:30.420]  Yeah, they're just used to it.
[02:02:30.440 --> 02:02:33.682]  They're just used to being given a ticket and running out of wire.
[02:02:33.702 --> 02:02:35.824]  But here's also something I want to talk about, Alex.
[02:02:36.104 --> 02:02:37.285]  Lindsey Graham is going to be here.
[02:02:37.305 --> 02:02:40.387]  We have a sitting senator that's going to be at the Bilderberg meeting.
[02:02:40.447 --> 02:02:42.249]  That's got to violate several laws.
[02:02:43.069 --> 02:02:43.930]  The Logan Act.
[02:02:44.110 --> 02:02:46.372]  Oh, Lindsey Graham loves you-know-whating in our face.
[02:02:47.242 --> 02:02:47.942]  Oh yeah, yeah.
[02:02:47.982 --> 02:02:49.163]  So it'll be interesting.
[02:02:49.243 --> 02:02:51.223]  I hope I can ask him a question or two.
[02:02:51.263 --> 02:02:52.944]  How does he feel about violating the Logan Act?
[02:02:53.624 --> 02:02:56.645]  Is he going to be in charge of picking the male escorts for this year's Bilderberg?
[02:02:56.945 --> 02:02:59.946]  You know, there's a lot of questions I have for Lindsey Graham and why he's even here.
[02:03:00.226 --> 02:03:04.768]  He's probably here to help steamroll our submarine Trump's candidacy, I think.
[02:03:04.808 --> 02:03:07.289]  I think that's the main reason they're going to come up with an anti-Trump plan.
[02:03:07.589 --> 02:03:09.389]  They've got a lot of big backers.
[02:03:09.409 --> 02:03:11.970]  They always had the big money guys showing up here, all these financial guys.
[02:03:11.990 --> 02:03:13.831]  Vernon Jordan's going to be here, James Johnson.
[02:03:14.191 --> 02:03:17.793]  So I'm sure they're going to be collating a plan to get rid of the Trump president.
[02:03:17.813 --> 02:03:19.094]  And you know what else is on it?
[02:03:19.114 --> 02:03:21.295]  We have sources connected to the inside.
[02:03:22.316 --> 02:03:24.317]  Getting that internet ID is their number one deal.
[02:03:24.357 --> 02:03:26.078]  Cashless Society, get ready for that.
[02:03:26.098 --> 02:03:28.479]  They're going to have Zuckerberg try to quarterback that.
[02:03:29.080 --> 02:03:30.681]  Zuckerberg goes to the meetings as well.
[02:03:30.781 --> 02:03:33.042]  I haven't seen him on the whole list yet.
[02:03:33.062 --> 02:03:33.562]  Just came out.
[02:03:33.622 --> 02:03:34.743]  Is Zuckerberg on the list this year?
[02:03:35.443 --> 02:03:38.985]  I didn't see him, but Eric Schmidt is here, Peter Thiel, and the head of LinkedIn.
[02:03:39.025 --> 02:03:41.867]  I forget his name right off the top of my head, but he's also here.
[02:03:41.887 --> 02:03:42.827]  Oh, Sean Parker!
[02:03:44.541 --> 02:03:46.562]  Uh, well, I don't think that's his name.
[02:03:46.582 --> 02:03:47.423]  I would have recognized him.
[02:03:47.663 --> 02:03:51.705]  No, the head of LinkedIn, uh, who, which is the, uh, business network.
[02:03:51.725 --> 02:03:52.586]  They just put Sean Parker on screen.
[02:03:52.606 --> 02:03:53.767]  They just put Sean Parker on screen.
[02:03:53.787 --> 02:03:55.568]  Oh, they put Sean Parker on screen.
[02:03:55.628 --> 02:03:55.828]  Okay.
[02:03:56.248 --> 02:03:56.488]  Yeah.
[02:03:56.688 --> 02:03:58.770]  And, uh, so it'll be interesting to see who shows up.
[02:03:58.790 --> 02:03:59.550]  We'll be here tomorrow.
[02:03:59.570 --> 02:04:01.011]  We're gonna have people also at the airport.
[02:04:01.451 --> 02:04:24.598]  Waiting to see who who pops in so it's it's gonna get start getting lively tomorrow here in Dresden Germany And who knows what it's gonna be like now that the military is coming in to run security because these guys don't play games And what I heard last year is if you think the Austrian military is bad Wait till you deal with the Germans because they're ten times worse So we're gonna find out in the next few days of what's gonna go on here in Dresden, Germany
[02:04:25.302 --> 02:04:29.084]  Yeah, well, these are imperious traitors when they try to violate Germans' free speech.
[02:04:29.445 --> 02:04:33.908]  This is what Hitler did, and if the Germans don't recognize how much trouble they're in, they're crazy.
[02:04:33.948 --> 02:04:34.368]  They do, though.
[02:04:34.588 --> 02:04:45.195]  The French have headlines in AFP, like, French scared as Shroud of Tyranny lowers, free speech banned, civil emergency, you know, for the darling little Muslims that are being brought in.
[02:04:46.158 --> 02:04:47.959]  It's all happening, and people need to get out here.
[02:04:48.039 --> 02:04:50.241]  If you're living anywhere in Germany, get out here now.
[02:04:50.681 --> 02:04:58.667]  I've got a guest coming on for about 40 minutes, and I'm airing a special Tim Kennedy interview that's four minutes long, but if you'd like to pop in right at the end of the show, if something else is developed, do that.
[02:04:58.707 --> 02:05:00.148]  If not, go get all those uploads up.
[02:05:00.468 --> 02:05:01.049]  Great job.
[02:05:01.109 --> 02:05:02.570]  How do folks follow you on Twitter, dude?
[02:05:03.351 --> 02:05:04.692]  Yeah, it's at Dews News.
[02:05:04.732 --> 02:05:06.433]  D-E-W-S-N-E-W-Z.
[02:05:06.914 --> 02:05:09.495]  You can find me there, and there you go.
[02:05:09.515 --> 02:05:09.856]  Stay there.
[02:05:09.936 --> 02:05:16.600]  I want to talk... This is the answer for your children to totally absorb the multivitamins, the minerals, the amino acids, everything at once.
[02:05:17.101 --> 02:05:17.621]  Unveiled!
[02:05:18.021 --> 02:05:21.103]  Vitamin Mineral Fusion Advanced Multi-Vitamin Formula.
[02:05:21.784 --> 02:05:22.224]  30 servings.
[02:05:22.424 --> 02:05:25.026]  Fruit punch flavor dietary supplement.
[02:05:25.326 --> 02:05:26.387]  It is simply amazing.
[02:05:26.447 --> 02:05:27.388]  Infowarslife.com.
[02:05:27.788 --> 02:05:32.190]  There's a million different products like this out there that they're, you know, they're good in different ways.
[02:05:32.710 --> 02:05:45.795]  But this takes all of the vitamins, all the essential amino acids, all the essential compounds and minerals that you need, puts it into something that's great tasting as opposed to like clumpy, gross stuff.
[02:05:45.815 --> 02:05:47.395]  And you can put it in your drink every morning.
[02:05:47.415 --> 02:05:48.596]  I put it in my protein shake.
[02:05:49.236 --> 02:05:54.720]  It is the platinum standard, in my view, of multivitamins in terms of an advanced multi-drink vitamin.
[02:05:54.740 --> 02:05:57.762]  The cleanest, the purest, new stuff had to be invented.
[02:05:57.802 --> 02:06:00.043]  That's why it took this long to even bring us something that's good.
[02:06:00.644 --> 02:06:06.788]  Some companies are gonna take a small amount of vitamins and make it, you know, so there's so much filler, it looks like there's a lot.
[02:06:07.008 --> 02:06:09.370]  This is ultra-concentrated, we're not playing games here.
[02:06:09.730 --> 02:06:11.751]  Okay, this... Well, that's my philosophy, that's your philosophy.
[02:06:11.911 --> 02:06:12.071]  Yeah.
[02:06:12.191 --> 02:06:13.933]  I wanna... But again, there's some great stuff out there.
[02:06:14.133 --> 02:06:14.333]  Yeah.
[02:06:14.533 --> 02:06:16.034]  And there's other, you know... No, of course.
[02:06:16.154 --> 02:06:18.916]  There's other powders I promote at InfoWarsHealth.com, they're excellent.
[02:06:19.276 --> 02:06:20.497]  I mean, there's some good stuff out there.
[02:06:20.637 --> 02:06:23.338]  This is just the very best we can bring you.
[02:06:23.358 --> 02:06:27.720]  And when you buy it, you support InfoWars, you support the reporters, you support yourself.
[02:06:28.921 --> 02:06:37.045]  Tell folks about some of these other things that are in this, and why this is just this total, complete package for your body.
[02:06:37.085 --> 02:06:48.511]  Because, again, we didn't put the synthetic amino acids, we didn't put the synthetic vitamins, we put the plant-based, high-quality, clean, natural ingredients into this.
[02:06:49.031 --> 02:06:49.632]  Yeah, exactly.
[02:06:49.672 --> 02:06:52.815]  So you've got your standard vitamins, vitamin C, vitamin E, the list goes on.
[02:06:52.915 --> 02:06:54.156]  A huge amount of vitamin C, by the way.
[02:06:54.176 --> 02:06:55.017]  Tell folks about that.
[02:06:55.037 --> 02:06:57.680]  Yeah, a thousand plus percent of your daily value, which is what you need.
[02:06:58.560 --> 02:07:01.183]  As the, you know, FDA guidelines, we all know about those.
[02:07:01.764 --> 02:07:08.090]  Zinc, magnesium, selenium, L-glutamine, each one of these you could go on for about ten minutes about the benefits of these things.
[02:07:08.530 --> 02:07:11.731]  Alpha lipoic acid, folic acid, calcium, and list goes on.
[02:07:11.991 --> 02:07:13.271]  34 other ones you can check out.
[02:07:13.471 --> 02:07:15.312]  Go to InfoWarsLife.com, the label's up there.
[02:07:15.332 --> 02:07:20.433]  You've got the entire ingredients list that you can neurotically examine for yourself.
[02:07:21.513 --> 02:07:25.934]  And just... By the way, look on the other side, too, because we're showing people the minerals and things.
[02:07:25.974 --> 02:07:27.835]  Let's look at the vitamins right there, Old Scott, in there.
[02:07:27.855 --> 02:07:28.515]  I mean, it's amazing.
[02:07:28.535 --> 02:07:28.755]  Top left.
[02:07:28.875 --> 02:07:32.436]  Again, if you're radio listeners, InfoWars.com forward slash show.
[02:07:32.816 --> 02:07:33.556]  Vitamin A has 4,333%.
[02:07:36.679 --> 02:07:39.251]  From Beta Carotene and what's that other source?
[02:07:39.272 --> 02:07:40.337]  I just know that's all the best sources.
[02:07:40.993 --> 02:07:41.413]  Retinol.
[02:07:41.433 --> 02:07:45.916]  So you've also got your vitamin D at a thousand IU, which is a large dose actually.
[02:07:46.256 --> 02:07:46.637]  And you know what?
[02:07:46.717 --> 02:07:48.878]  Some people could say, well isn't this competing with the other products?
[02:07:49.118 --> 02:07:49.698]  Well yeah, you know what?
[02:07:49.738 --> 02:07:56.743]  We could be like some people and just take all the stuff that we sell also at Infowarslife.com and not put any of it, but then it wouldn't be a balanced formula and we're not going to do that.
[02:07:57.063 --> 02:08:01.226]  And it might actually hurt us in the long run to put all the best stuff in here, but that's just the way we got to do it.
[02:08:01.266 --> 02:08:02.606]  Because we can't start thinking like that.
[02:08:03.107 --> 02:08:03.947]  So get them today!
[02:08:04.027 --> 02:08:06.069]  Infowarslife.com or call toll free 888-253-3139.
[02:08:27.245 --> 02:08:31.150]  If you are receiving this transmission, you are the resistance.
[02:08:32.752 --> 02:08:37.479]  Live from the InfoWars.com studios, it's Alex Jones.
[02:08:43.672 --> 02:08:56.400]  We have seen five million Muslims, most of them military-age men, brought in from war-torn zones where Saudi Arabia in the last five years has funded a multi-million person invasion of Syria.
[02:08:56.980 --> 02:09:01.343]  Most of them women and children as camp followers like the Huns behind the men.
[02:09:02.424 --> 02:09:06.946]  Killing even their fellow Sunnis and Shiites and Christians.
[02:09:07.547 --> 02:09:10.869]  Every several thousand allowed in, almost all of them are Wahhabist.
[02:09:12.534 --> 02:09:15.440]  You might have one Christian and it's what, 0.7%?
[02:09:15.981 --> 02:09:19.488]  And Obama tells jokes and says, we gotta let everybody in, not just the Christians.
[02:09:20.523 --> 02:09:23.825]  When he knows that, well, Syria was over 20% Christian, not now.
[02:09:23.865 --> 02:09:25.386]  They've killed hundreds of thousands of them.
[02:09:26.546 --> 02:09:30.208]  I'm somebody that was against all these wars in the Middle East because I knew it was part of a plan to destabilize it.
[02:09:30.809 --> 02:09:33.650]  Now the Bilderberg Group and globalist groups have funded the Arab Spring.
[02:09:33.931 --> 02:09:35.952]  Why is Merkel bringing in millions of these people?
[02:09:35.992 --> 02:09:36.772]  Why is Hollande?
[02:09:37.072 --> 02:09:39.574]  Why are the leaders of Sweden?
[02:09:40.214 --> 02:09:48.279]  We have our reporters in Germany right now filing a video report where citizens are handing out flyers at marches the German government has said is illegal.
[02:09:49.039 --> 02:09:55.485]  Saying, don't open our borders to these people, writing them tickets for handing out literature.
[02:09:57.626 --> 02:09:58.948]  Why are our governments doing this?
[02:09:58.988 --> 02:10:04.352]  Now, our guest, folks have wanted him on for years, I don't know why it's taken so long as I've read several of his books.
[02:10:04.813 --> 02:10:15.182]  Dr. Bill Warner has been a physicist, a businessman and professor, and I'm not going to go over his whole background, but he is now the director of the Center for the Study of Political Islam.
[02:10:16.289 --> 02:10:18.532]  And I've read some of his books, seen some of his talks.
[02:10:18.592 --> 02:10:20.795]  It's dead on from just my mainline study of history.
[02:10:21.516 --> 02:10:23.719]  But it's not well known by the public.
[02:10:24.119 --> 02:10:26.002]  Now he can go through a whole history treatise with us.
[02:10:26.022 --> 02:10:27.744]  You can go to his website and do that or read his books.
[02:10:28.085 --> 02:10:30.187]  But I'd like to just get the short and skinny of it.
[02:10:31.198 --> 02:10:47.047]  Why he thinks the elite is doing this, are doing this, where it's going, who's really in control of Islam right now, why would our elites ally with the most radical form out of Saudi Arabia, the Wahhabi, Sunni group, and how do we counter this and respond to it?
[02:10:47.107 --> 02:10:49.108]  Why is the left so in love with it?
[02:10:49.128 --> 02:10:55.572]  I mean you get some college student, might have raped a woman, six months isn't enough, okay fine, but then
[02:10:57.076 --> 02:10:59.497]  You got Muslims murdering their wives here in the U.S.
[02:10:59.557 --> 02:11:01.638]  and they get light sentences because, oh, it's their culture.
[02:11:01.979 --> 02:11:02.999]  What's going on?
[02:11:03.099 --> 02:11:05.680]  Why is the establishment so in love with it?
[02:11:06.521 --> 02:11:16.226]  There's a long history of it, but he argues there was no golden age, like Lord Monckton says there were some times when Islam was less destructive than some of the stuff in medieval Europe.
[02:11:16.706 --> 02:11:23.770]  Regardless, it's destructive now, and radical Islam used the new Islam, or was the old Islam, and is dominating Islam.
[02:11:24.310 --> 02:11:25.611]  So I think the debate is over.
[02:11:26.551 --> 02:11:30.793]  So what is the establishment going to do when there's more terror attacks in Europe and the West?
[02:11:31.293 --> 02:11:35.936]  Well, we know they're going to take our liberties, saying it's our fault that the Muslims attacked us.
[02:11:36.456 --> 02:11:40.658]  And so he joins us now via video Skype, PoliticalIslam.com.
[02:11:41.559 --> 02:11:44.160]  Thank you for joining us, Dr. Warner.
[02:11:44.900 --> 02:11:45.561]  Glad to be here.
[02:11:46.381 --> 02:11:48.142]  Okay, we got about 30-40 minutes here.
[02:11:49.223 --> 02:11:51.304]  Try to educate folks, try to educate myself.
[02:11:51.544 --> 02:11:53.625]  Give us the Dr. Bill Warner boil down.
[02:11:55.094 --> 02:12:01.238]  Well, first off, everything that Islam does is supremely logical, if you understand their logic.
[02:12:01.598 --> 02:12:06.281]  And their logic is laid out in the Qur'an, and it's laid out also in the words of Muhammad.
[02:12:07.001 --> 02:12:13.125]  And once you understand who Muhammad is, and who Allah is, everything makes sense.
[02:12:13.786 --> 02:12:18.188]  The reason it's so confusing is, you see, there's two different Muhammad's in two different Qur'ans.
[02:12:18.929 --> 02:12:20.830]  So, Islam is based on dualism.
[02:12:21.289 --> 02:12:25.172]  It's always got a nice peaceful side and a jihad side.
[02:12:25.793 --> 02:12:28.155]  And this is due to the very nature of who Mohammed was.
[02:12:28.915 --> 02:12:30.777]  I'll give you a real brief summary of his life.
[02:12:31.517 --> 02:12:37.082]  He preached the religion for 13 years in Mecca and converted 150 Arabs to Islam.
[02:12:37.842 --> 02:12:40.204]  They drove him out of Mecca because he brought in dissension.
[02:12:40.484 --> 02:12:41.125]  Sound familiar?
[02:12:41.865 --> 02:12:44.988]  And he went to Medina where he became a jihadist and a politician.
[02:12:45.842 --> 02:12:49.004]  He had 100 acts of Jihad in the last 9 years of his life.
[02:12:49.084 --> 02:12:50.565]  Not 101, not 99, but 100.
[02:12:51.585 --> 02:12:54.807]  But when he died, every Arab was a Muslim.
[02:12:56.067 --> 02:12:57.248]  So, here, what do we have?
[02:12:57.268 --> 02:13:01.370]  We have a peaceful preacher, Muhammad, and then we have a vicious Jihadist.
[02:13:01.831 --> 02:13:02.831]  But who was successful?
[02:13:03.071 --> 02:13:04.592]  It was the Jihad that was successful.
[02:13:04.652 --> 02:13:06.353]  It was the politics that was successful.
[02:13:07.268 --> 02:13:15.395]  So, this dualistic nature of Mohammed is reflected in the Quran, and so this is why you hear people say, oh no, Islam is the religion of peace.
[02:13:15.895 --> 02:13:18.337]  Well, yes it is, but it's the politics of jihad.
[02:13:19.058 --> 02:13:23.501]  So this dualism allows Islam to always come off exactly how it needs to be.
[02:13:23.741 --> 02:13:26.544]  Nice for the nice people, and not nice for the not nice people.
[02:13:26.564 --> 02:13:30.887]  So that's sort of the doctrine is at the basis of the confusion.
[02:13:33.650 --> 02:13:35.231]  Fundamentally deceptive.
[02:13:35.451 --> 02:13:36.472]  Break it down for us more.
[02:13:37.250 --> 02:13:37.470]  Yes.
[02:13:37.950 --> 02:13:43.294]  As a matter of fact, there are many hadiths which advocate deception.
[02:13:43.894 --> 02:13:46.696]  Who will kill Ashraf, who has offended Allah and His Prophet?
[02:13:46.736 --> 02:13:47.476]  This is a hadith.
[02:13:48.037 --> 02:13:49.998]  I will, Muhammad, but I will need to deceive him.
[02:13:50.018 --> 02:13:50.678]  May I do so?
[02:13:50.938 --> 02:13:51.279]  Yes.
[02:13:51.539 --> 02:13:52.159]  Deceive him.
[02:13:52.679 --> 02:13:55.801]  And these are the words of Muhammad, so these are doctrinal words.
[02:13:56.602 --> 02:14:00.804]  There are 12 verses in the Quran which say that a Muslim is never the true friend of a Kafir.
[02:14:01.265 --> 02:14:03.186]  I'm a Kafir, and I suspect you are too.
[02:14:04.146 --> 02:14:06.748]  So, here we have, you can be friendly,
[02:14:07.600 --> 02:14:08.941]  But you're not actually a friend.
[02:14:08.961 --> 02:14:11.002]  So this is, once again, the threat of deception.
[02:14:11.482 --> 02:14:18.466]  But it also explains why we see that we have vicious jihadists, and then we have Ahmed, who works at the fruit market, is a nice kind of guy.
[02:14:18.686 --> 02:14:19.726]  Which one's the real Muslim?
[02:14:20.226 --> 02:14:20.547]  Yes.
[02:14:20.967 --> 02:14:22.067]  They're both real Muslims.
[02:14:24.629 --> 02:14:25.409]  You've got the floor.
[02:14:26.550 --> 02:14:26.950]  Okay.
[02:14:27.924 --> 02:14:31.047]  So now, why is all this so hard to understand?
[02:14:31.127 --> 02:14:39.474]  Because what has happened is, is that our intellectual class, the universities, have decided to abandon reason and instead become politically correct.
[02:14:40.215 --> 02:14:44.498]  One of the greatest tragedies we have in our culture today is the fact that, well, I'm giving an example.
[02:14:45.179 --> 02:14:53.646]  I gave a talk in North Carolina and a president of a local community college said, this man is unbalanced, maybe, but he should never be allowed to speak.
[02:14:54.690 --> 02:14:55.450]  What do we have here?
[02:14:55.490 --> 02:15:00.734]  We have the president of a college saying that ideas should not be debated, but instead should just be suppressed.
[02:15:01.754 --> 02:15:08.098]  So this is what our root problem is, is we're giving up what is the cornerstone of our civilization, which is critical thought.
[02:15:08.858 --> 02:15:15.422]  I mean, Alex, once we throw our critical thought out and we have nothing in the world but ideological propaganda, we're already in the sluice.
[02:15:15.802 --> 02:15:19.425]  So our big problem is, is we've given up rational thought.
[02:15:20.085 --> 02:15:21.526]  My guess is this is no news to you.
[02:15:23.706 --> 02:15:34.750]  And all over the world they are banning so-called liberal democracies like Germany, even criticizing open borders, are saying mild things about controlling.
[02:15:35.710 --> 02:15:41.952]  So, at a certain point I agree that the politically correct are ignorant at the grassroots level, but above it there's a more sinister plan.
[02:15:43.293 --> 02:15:51.716]  Well, I think that power, everyone loves power, and the left has certainly taken over the universities and also
[02:15:52.589 --> 02:15:53.109]  The media.
[02:15:53.589 --> 02:15:56.290]  But now, you know, I don't just blame the left for taking over.
[02:15:56.410 --> 02:15:58.811]  I also blame the conservatives for having given up.
[02:15:59.571 --> 02:16:05.572]  I live in Nashville, Tennessee, which is a very religious town and fairly conservative, although not as much as the surrounding states.
[02:16:06.293 --> 02:16:10.574]  And there is no real cry for the ending of censorship.
[02:16:11.294 --> 02:16:15.755]  That is, the conservatives are not raising enough hell, Alex, just to put it bluntly, nor are the Christians.
