[00:00:11.803 --> 00:00:13.144]  ...is a complete idiot.
[02:04:39.255 --> 02:04:39.535]  OK.
[02:04:40.215 --> 02:04:41.356]  Especially in California.
[02:04:43.933 --> 02:04:48.556]  A lot of rare animals get, uh, get hunted by the trophy hunters.
[02:04:49.597 --> 02:04:54.280]  If there's one thing we can do, it would be, we want to just make sure to keep Bigfoot safe.
[02:04:54.440 --> 02:04:57.002]  You know, I realize we have some new lists for some maybe mainline people.
[02:04:57.502 --> 02:04:58.823]  Bigfoot doesn't exist.
[02:04:59.263 --> 02:05:02.725]  Just to shoot him, just because he's... The Yeti, whatever, it's never been proven.
[02:05:03.546 --> 02:05:05.647]  So, this is made up.
[02:05:05.767 --> 02:05:06.468]  This is satire.
[02:05:06.488 --> 02:05:09.430]  Before the news says that I believe that Bigfoot's about to be killed.
[02:05:10.177 --> 02:05:11.879]  Joe Banks here with InfoWars.com.
[02:05:12.019 --> 02:05:14.581]  FBI nabs latest Starbucks bombing suspect.
[02:05:14.721 --> 02:05:16.282]  ISIS linked to previous attacks.
[02:05:16.502 --> 02:05:18.164]  Article up by MRCTV.
[02:05:18.304 --> 02:05:22.528]  A suspect in the bombing of three Albuquerque, New Mexico Starbucks is now in federal custody.
[02:05:22.588 --> 02:05:24.749]  The FBI announced Monday.
[02:05:24.769 --> 02:05:30.274]  While the suspect's name has not yet been released, two other Starbucks bombings this year have been linked to the Islamic State.
[02:05:30.334 --> 02:05:33.577]  The explosive devices were detonated at three Starbucks coffee shops.
[02:05:33.737 --> 02:05:39.580]  Last Friday, and police found evidence of gunshots at two of the locations, according to the FBI's original release.
[02:05:39.740 --> 02:05:47.344]  Federal and Albuquerque law enforcement and fire officials are investigating the vandalism of three Albuquerque coffee shops that occurred after midnight on November 25th of 2016.
[02:05:47.845 --> 02:05:52.767]  Suspicious devices were placed at three closed Starbucks coffee shops, and one caused minimal damage.
[02:05:52.967 --> 02:05:59.851]  A bombing that left 34 people dead in March of this year at a Brussels airport, which included a Starbucks Target, was claimed by ISIS.
[02:06:00.111 --> 02:06:07.017]  This is why we need strong and secure borders, and that is why we, the people, have decided to put Donald J. Trump in the White House.
[02:06:07.117 --> 02:06:09.580]  This has been Joe Biggs with Infowars.com.
[02:06:10.340 --> 02:06:12.422]  Electrify your day with Secret 12.
[02:06:12.642 --> 02:06:14.003]  It's like lightning in a bottle!
[02:06:14.224 --> 02:06:17.687]  We all have days in which we just can't seem to perform at the level we'd like to.
[02:06:18.107 --> 02:06:25.851]  InfoWarsLive's Secret 12 is designed to naturally energize your body and mind with two great tasting and super high quality forms of vitamin B12.
[02:06:26.052 --> 02:06:30.854]  Proper vitamin and nutrient intake is essential to keep your body functioning at optimum levels.
[02:06:31.014 --> 02:06:36.497]  The reality is, it's hard to take in the proper amount of vitamins we need each day with our modern diets.
[02:06:36.838 --> 02:06:44.362]  Secret 12 by InfoWarsLive is an easy way to naturally upgrade your vitamin B12 intake and support your body's natural systems.
[02:06:44.602 --> 02:06:49.047]  It pairs two forms of vitamin B12 into one explosive formula.
[02:06:49.327 --> 02:06:58.156]  Vitamin B12 supports healthy energy levels through red blood cell formation and aiding in the body's natural processes, but it also assists with many other functions of the body.
[02:06:58.356 --> 02:07:01.639]  Electrify your mind and body and take your health to the next level.
[02:07:01.920 --> 02:07:05.583]  Experience the power of Secret 12 at InfoWarsLife.com.
[02:07:05.824 --> 02:07:07.425]  That's InfoWarsLife.com.
[02:07:09.522 --> 02:07:13.945]  We have the new product at Infowarsandlife.com, BioTrue Selenium.
[02:07:14.005 --> 02:07:25.053]  We've had so many requests over the years for selenium, and just recently we were able to source a certified organic bioavailable selenium from mustard seed extract.
[02:07:25.113 --> 02:07:30.057]  When you take selenium in the body, it actually benefits the detoxification systems in your body.
[02:07:30.157 --> 02:07:34.160]  It helps balance the thyroid gland, it helps detoxify,
[02:07:34.460 --> 02:07:37.281]  Selenium is another one of those absolute must-haves.
[02:07:37.321 --> 02:07:42.083]  The highest concentration of selenium is in the thyroid gland, but it's actually used all over the body.
[02:07:42.103 --> 02:07:48.326]  As a matter of fact, there's 25 genes in the body that are directly dependent upon selenium.
[02:07:48.366 --> 02:07:53.668]  So it really is a all-around nutrient that everybody really needs.
[02:07:53.788 --> 02:07:55.209]  I'm taking it now, every day.
[02:07:55.409 --> 02:07:56.129]  This is so key.
[02:07:56.409 --> 02:08:00.691]  BioTrue Selenium is the product, the best selenium that we could bring you.
[02:08:00.731 --> 02:08:02.792]  We believe it's the best out there at a very, very low price.
[02:08:02.912 --> 02:08:06.335]  Exclusively available at InfoWarsLive.com or by calling toll-free 888-253-3139.
[02:08:06.355 --> 02:08:07.716]  You're receiving it, if you figured it out.
[02:08:25.746 --> 02:08:29.647]  If you are receiving this transmission, you are the resistance.
[02:08:30.728 --> 02:08:35.290]  Live from the Infowars.com studios, it's Alex Jones.
[02:08:36.110 --> 02:08:39.691]  Ladies and gentlemen, the globalists are committed to anti-human operations.
[02:08:40.531 --> 02:08:42.112]  They want a system of conquest.
[02:08:43.533 --> 02:08:48.014]  And I want to make it very clear, we don't have to have some fancy pants system to oppose them.
[02:08:48.755 --> 02:08:52.496]  We're simply not trying to create poverty and enslave people.
[02:08:54.167 --> 02:09:05.956]  That's why what we're selling is like snow cones in hell, or thermal underwear at the North Pole, or iced tea in the middle of the Sahara.
[02:09:07.737 --> 02:09:08.578]  It sells itself.
[02:09:10.920 --> 02:09:16.284]  Globalism is an anti-human system designed to create poverty and control populations.
[02:09:19.588 --> 02:09:21.410]  And so all we've got to do is tell the truth, nothing more.
[02:09:22.231 --> 02:09:27.916]  That's why they want to get rid of venues where we can tell the truth, is because we're dominating them.
[02:09:29.718 --> 02:09:39.808]  Not just InfoWars, not just Drudge, not just WorldNetDaily or Daily Caller or Breitbart, but college students of every race, color and creed, high school kids.
[02:09:40.917 --> 02:09:42.478]  I see stuff everywhere.
[02:09:43.038 --> 02:09:45.600]  Oh, look, this girl's got 20 million views on this video.
[02:09:45.620 --> 02:09:46.340]  Let's go to her channel.
[02:09:46.860 --> 02:09:49.041]  This girl's got 200 million views in the last six months.
[02:09:49.722 --> 02:09:51.283]  Wow, we should get her on as a guest.
[02:09:53.344 --> 02:09:56.826]  I don't go, oh, look, this girl's got 100 million views.
[02:09:56.926 --> 02:09:58.526]  I'm like, oh, thank God.
[02:09:58.546 --> 02:10:00.668]  Thank God.
[02:10:02.328 --> 02:10:02.869]  Thank God.
[02:10:03.409 --> 02:10:05.090]  Oh, thank God, dredge is number one.
[02:10:05.310 --> 02:10:05.930]  Oh, good.
[02:10:06.150 --> 02:10:08.592]  Oh, because I'm so exhausted.
[02:10:13.643 --> 02:10:14.844]  I just want to beat these people bad.
[02:10:15.824 --> 02:10:16.484]  God, they're bad.
[02:10:16.504 --> 02:10:18.625]  I'm going to tell you something.
[02:10:18.645 --> 02:10:25.269]  I'm really ashamed watching mainstream media, the frothing, the lying, the spinning.
[02:10:25.389 --> 02:10:25.949]  I didn't even get to this.
[02:10:25.969 --> 02:10:27.209]  I was going to start the show with this today.
[02:10:28.050 --> 02:10:29.431]  Let me see if I can find it.
[02:10:30.711 --> 02:10:32.932]  Will you guys Google International Business Times or AP?
[02:10:35.493 --> 02:10:36.314]  Oh, guess what?
[02:10:36.394 --> 02:10:37.474]  Trump's mentally ill.
[02:10:37.815 --> 02:10:38.915]  He's mentally incompetent.
[02:10:38.935 --> 02:10:40.396]  We'll get rid of him via the 25th Amendment.
[02:10:41.664 --> 02:10:48.066]  And they've got all these articles where they say this, and then they say, oh, but no one wants to get rid of Trump, it's a conspiracy theory, and he's mentally ill.
[02:10:48.086 --> 02:10:54.828]  And then, panelists give Donald Trump his medication, CNN, he's a spoiled brat throwing fits.
[02:10:56.988 --> 02:11:06.571]  Meanwhile, they're running around burning things down, killing people, attacking people, throwing fits, and then saying things about Trump who has just inhuman stamina at 70.
[02:11:06.631 --> 02:11:09.992]  Let me tell you something.
[02:11:13.516 --> 02:11:23.503]  Trump's a weird mix of classic bravado, virile nature, but also OCD.
[02:11:24.264 --> 02:11:27.246]  I tell people that know him, he loves reading a complex contract.
[02:11:28.026 --> 02:11:30.028]  He loves making hundreds of phone calls.
[02:11:30.068 --> 02:11:32.229]  He loves working 20 hours a day.
[02:11:32.249 --> 02:11:33.190]  They call that mentally ill.
[02:11:33.250 --> 02:11:34.291]  I call that super male.
[02:11:35.575 --> 02:11:39.338]  And compared to most guys, I'm a super male, which I'm not proud of.
[02:11:39.358 --> 02:11:40.238]  I'm kind of like a weak guy.
[02:11:40.859 --> 02:11:44.481]  Trump at 70 completely trumps what I'm able to do.
[02:11:45.262 --> 02:11:48.584]  They want me to read contracts around here and make business calls, which I have to do every day after the show.
[02:11:48.644 --> 02:11:50.526]  I'm like, I've got to learn to be like Trump.
[02:11:50.566 --> 02:11:59.532]  He takes each one like, yes, let me enjoy this call and make sure I have the very best on the phone and sound just like I have perfect diction and have all the answers.
[02:11:59.552 --> 02:12:03.015]  And you talk to Trump, it sounds like you're talking to like a Hollywood movie star.
[02:12:03.955 --> 02:12:04.756]  Hello, Alex.
[02:12:04.816 --> 02:12:05.437]  Well, that's good.
[02:12:05.457 --> 02:12:06.098]  Let's discuss this.
[02:12:06.178 --> 02:12:06.559]  Oh, yes.
[02:12:07.059 --> 02:12:07.259]  Yes.
[02:12:07.400 --> 02:12:08.261]  Oh, yes.
[02:12:08.501 --> 02:12:09.042]  He talked to Trump.
[02:12:09.062 --> 02:12:10.543]  He has like every number, every fact.
[02:12:11.224 --> 02:12:12.566]  He comes right back with the answer.
[02:12:12.766 --> 02:12:14.148]  He finishes your sentences.
[02:12:14.588 --> 02:12:15.950]  It's like, is this even real?
[02:12:16.531 --> 02:12:17.051]  You know what?
[02:12:17.332 --> 02:12:19.534]  Trump is the greatest thing we've ever seen or he's the devil.
[02:12:20.676 --> 02:12:22.919]  I've said that before because talking to Trump off air.
[02:12:24.295 --> 02:12:25.356]  Which I've done some.
[02:12:26.096 --> 02:12:28.337]  They make a big deal of it so I won't even tempt the media with it.
[02:12:29.378 --> 02:12:35.181]  I'm sitting there talking to Trump and it's not annoying because it's so creepy.
[02:12:35.761 --> 02:12:38.643]  It's like, cool, he finishes your sentences.
[02:12:44.206 --> 02:12:47.248]  And then you're about to ask a question and he goes, and now you're gonna ask me this.
[02:12:48.513 --> 02:12:50.454]  And you're like, how the hell did you just do that?
[02:12:50.854 --> 02:12:51.894]  Let me just hear by a newsflash.
[02:12:51.914 --> 02:12:55.895]  The Trump you see on TV is the dumbed down Trump for the general population.
[02:12:56.315 --> 02:12:58.576]  The real Donald Trump is even scarier.
[02:13:00.497 --> 02:13:01.777]  And that's why they're so scared of him.
[02:13:01.917 --> 02:13:04.698]  Because I've talked to a lot of people.
[02:13:04.718 --> 02:13:05.978]  I've been around a lot of billionaires.
[02:13:06.619 --> 02:13:07.959]  I've been around a lot of smart people.
[02:13:07.979 --> 02:13:09.720]  And maybe he turns it up when he talks to me.
[02:13:10.280 --> 02:13:13.901]  But let me tell you, when I talk to Donald Trump, the guy's reading my mind.
[02:13:16.567 --> 02:13:17.507]  Maybe he's bad then.
[02:13:18.628 --> 02:13:19.768]  My gut tells me he's not.
[02:13:22.348 --> 02:13:24.329]  But Donald Trump's a whole nother ballgame.
[02:13:27.310 --> 02:13:28.090]  Whole nother ballgame.
[02:13:30.670 --> 02:13:31.531]  Whole nother enchilada.
[02:13:31.551 --> 02:13:35.012]  I want to go to your phone calls.
[02:13:35.052 --> 02:13:37.052]  I've got a lot of video clips I haven't gotten to as well.
[02:13:41.573 --> 02:13:44.874]  But don't think I take any pleasure
[02:13:47.879 --> 02:13:54.863]  Off of playing a clip of Mark Dice showing dozens of Californians thinking Bigfoot is real.
[02:13:55.644 --> 02:13:56.324]  We do that.
[02:13:56.424 --> 02:14:04.569]  He does that, too, to illustrate that those of us that are politically involved, we tend to back off and not be arrogant because we're not arrogant.
[02:14:05.970 --> 02:14:06.630]  Let me tell you something.
[02:14:06.650 --> 02:14:07.531]  We're talking to zombies.
[02:14:11.954 --> 02:14:15.536]  Sometimes all they listen to is arrogance, or you could call it confidence.
[02:14:23.049 --> 02:14:24.250]  But I'll ask this question again.
[02:14:24.270 --> 02:14:26.191]  Because it wasn't a foil.
[02:14:26.751 --> 02:14:27.552]  It wasn't a shill.
[02:14:27.612 --> 02:14:28.352]  It wasn't a feint.
[02:14:28.853 --> 02:14:29.633]  It wasn't a scam.
[02:14:29.673 --> 02:14:31.354]  It wasn't a neocon deep play.
[02:14:35.777 --> 02:14:37.879]  Why does Trump upset them so much?
[02:14:37.999 --> 02:14:39.640]  And then you'll have the answers to everything.
[02:14:40.652 --> 02:14:41.573]  I think about that a lot.
[02:14:42.214 --> 02:14:44.977]  Why does Trump upset them so much?
[02:14:45.037 --> 02:14:45.958]  And then you have the answers.
[02:14:46.659 --> 02:14:56.029]  Like a lot of the office crew, and I get what they're saying, Petraeus goes to Bilderberg, Petraeus has been a globalist, but I was told long before he got indicted they were going to indict him.
[02:14:56.049 --> 02:15:00.354]  He was trying to kick the CIA out of the Pentagon and actually try to get real intelligence.
[02:15:01.295 --> 02:15:02.576]  So I kind of get the inside baseball.
[02:15:03.376 --> 02:15:04.637]  And then I saw them indict him.
[02:15:05.437 --> 02:15:06.718]  And I know he goes to Bilderberg.
[02:15:06.738 --> 02:15:07.639]  I'm not defending Bilderberg.
[02:15:07.659 --> 02:15:08.719]  We helped expose Bilderberg.
[02:15:09.299 --> 02:15:10.400]  There are bad people running it.
[02:15:10.500 --> 02:15:13.682]  But because you're a guest at Bilderberg, like Peter Thiel, doesn't mean you're bad.
[02:15:14.822 --> 02:15:19.645]  It means that our movement's grown so much, they've got to invite people like that to Bilderberg.
[02:15:20.305 --> 02:15:21.766]  I mean, I've been invited to New York.
[02:15:24.288 --> 02:15:26.529]  I didn't do it because it was the Kissinger Group inviting me to it.
[02:15:28.570 --> 02:15:32.691]  If Petraeus was made Secretary of State and did bad things, then I'll go completely ape.
[02:15:34.411 --> 02:15:37.332]  What matters is the fruits of a tree.
[02:15:39.452 --> 02:15:40.853]  And that's not some apology for Trump.
[02:15:40.893 --> 02:15:41.993]  He's appointing a lot of good people.
[02:15:42.733 --> 02:15:44.693]  And that becomes a big circus in and of itself.
[02:15:45.233 --> 02:15:46.714]  All I care about is the results.
[02:15:47.414 --> 02:15:48.434]  Not in justifies and means.
[02:15:48.474 --> 02:15:50.235]  I'm not going to say do bad things or good things.
[02:15:50.295 --> 02:15:51.015]  No, no, no, no, no, no.
[02:15:53.362 --> 02:15:56.864]  You put people in, you actually run them, they actually deliver, they actually mea culpa.
[02:15:57.364 --> 02:15:59.986]  Let me tell you, one of our biggest weaknesses is we're not ready to win.
[02:16:03.988 --> 02:16:06.810]  This is one of the most important things I wanted to say today as I was driving into work.
[02:16:07.990 --> 02:16:08.711]  I'm gonna go to your calls.
[02:16:09.511 --> 02:16:14.354]  I envisioned everything that's basically happening now 25 years ago.
[02:16:15.395 --> 02:16:19.257]  And I was desperate in high school, 25 years ago, about to go to high school.
[02:16:20.609 --> 02:16:47.066]  I'm 42 now, that I had this mission, and I had to defend the republic, and I had to warn people, and I had to expose the globalists, and I'd read Barry Goldwater's book, and I'd read Tragedy and Hope, and I'd read books by the globalists, and books for the globalists, and books against the globalists, and just history books that reported on the globalists, and I knew their plan, I knew their program, and I had this sense, I've got to do this now, I've got to fight them, I've got to warn people, and it wasn't so I'd be on some TV show, or it wasn't so I'd make some money,
[02:16:50.179 --> 02:16:51.520]  Because I already had all that.
[02:16:51.540 --> 02:16:53.621]  I wasn't rich, but you know, things were taken care of.
[02:16:54.761 --> 02:16:56.362]  You know, family dies, you get stuff.
[02:16:58.283 --> 02:16:59.764]  Cattle die, kinsmen die.
[02:17:00.324 --> 02:17:04.426]  One thing that never dies is the fame of a dead man's deeds, as the old Norse saying goes.
[02:17:05.687 --> 02:17:11.610]  But I took my inheritance and put it into things that were real because I really cared about people.
[02:17:12.210 --> 02:17:18.193]  It's not about getting up and on about how I love people, but it's just, compare what we do to what they do, it's night and day.
[02:17:20.720 --> 02:17:27.508]  And I envisioned building the resistance and I envisioned, I've said this thousands of times, it never happened, it finally happened with Trump.
[02:17:29.110 --> 02:17:41.244]  I always thought in my spirit that I would expose this and then better men than me, smarter, stronger, more intuitive, more psychic, more aggressive, more male.
[02:17:42.762 --> 02:17:48.367]  Would hear my call as I blew the horn, that they would come, and that we would defeat it together.
[02:17:48.387 --> 02:17:52.410]  And that started to happen, finally.
[02:17:53.210 --> 02:17:54.792]  Up until about a year ago, I wasn't sure.
[02:17:54.812 --> 02:18:02.678]  I was like, my vision tells me that I'm not the one that's gonna lead all this stuff, that I'm like preparing the ground, and that's my job.
[02:18:03.399 --> 02:18:10.104]  I've said that over and over again, and then finally, I'm seeing it in different agencies, different corporations, different individuals.
[02:18:10.665 --> 02:18:12.226]  I'm seeing amazing people.
[02:18:13.916 --> 02:18:25.005]  That's why I said on election night when Trump had won, like, 3.30 in the morning after he'd won, I went there and shot a live video and I said, I'm gonna go on, I'm gonna work hard, I'm gonna continue on, but they could kill me now.
[02:18:25.806 --> 02:18:27.747]  Not that I would ever commit suicide, God, I'd never do that.
[02:18:28.328 --> 02:18:31.771]  I'm saying, they could kill me now, and my work would be done.
[02:18:34.491 --> 02:18:42.634]  Not just in Trump, but that nationalism, that wavelength, that awakening, the males and females awakening.
[02:18:43.554 --> 02:18:46.735]  I knew that with you, the listeners, that I was begging to help me.
[02:18:47.235 --> 02:18:54.477]  I didn't have the power as a Lilliputi to push the big domino over, but I asked you for help and together we pushed it.
[02:18:54.977 --> 02:18:57.098]  And now it's crashing into them.
[02:18:59.966 --> 02:19:02.807]  And as we have more success, it's only going to get more intense.
[02:19:03.527 --> 02:19:24.936]  And as long as we hold true to our doctrine of liberty, as long as we don't sell out, as long as we are true and promote free will and free market and free association and freedom of religion and everything America really is, we're going to win because we're promoting something that's so much more popular, so much cooler, so much more real than anything these people can sell.
[02:19:24.956 --> 02:19:28.998]  And in that is the essence of victory.
[02:19:35.299 --> 02:19:40.202]  So, Donald Trump, in history, is a key figure.
[02:19:40.242 --> 02:19:40.943]  I think that's clear.
[02:19:42.223 --> 02:19:45.766]  But what's more important is that you realize you are important.
[02:19:46.866 --> 02:19:54.051]  And that the light of God, shining through the space-time continuum, goes through your soul.
[02:19:55.451 --> 02:19:59.034]  And our flesh is like a rose colored darkly, through which it flows.
[02:20:01.957 --> 02:20:04.798]  The distortion only adds to the majesty of it, doesn't it?
[02:20:05.679 --> 02:20:08.880]  God's plan, like lightning from heaven, writ large.
[02:20:08.960 --> 02:20:10.121]  Your calls are straight ahead.
[02:20:10.461 --> 02:20:24.447]  The entire corporate dinosaur media, from the New York Times to the Washington Post, London Guardian, are coming out and saying the campaign is imploding, that the transition team is in total disarray, that everyone is involved in a mass exodus, that they can't
[02:20:24.707 --> 02:20:25.047]  You're fired!
[02:20:25.067 --> 02:20:26.468]  Trump under budget, ahead of schedule, Obama,
[02:20:55.023 --> 02:20:58.847]  Tripling the amount of money missing at the Pentagon when he was in office.
[02:20:59.387 --> 02:21:00.949]  Under budget, ahead of schedule.
[02:21:01.049 --> 02:21:01.870]  That's what this is.
[02:21:02.270 --> 02:21:05.433]  How are you liking the IRS fining you with penalties?
[02:21:05.674 --> 02:21:09.517]  How are you liking being raped by the so-called Democratic Party?
[02:21:09.698 --> 02:21:12.160]  You get a law which said healthy people are going to pay in.
[02:21:12.180 --> 02:21:14.903]  It made explicit that healthy people pay in and sick people get money.
[02:21:14.963 --> 02:21:15.704]  It would not have passed.
[02:21:16.423 --> 02:21:21.846]  Okay, just like people, lack of transparency is a huge political advantage.
[02:21:22.447 --> 02:21:25.589]  And basically, you know, call it the stupidity of the American voter or whatever.
[02:21:26.129 --> 02:21:30.092]  But basically, that was really, really critical to getting the thing to pass.
[02:21:30.172 --> 02:21:33.314]  The EPA was one of the biggest spills in our history.
[02:21:33.794 --> 02:21:38.477]  They didn't even try to contain it for several weeks because I guess it's okay when the government
[02:21:38.757 --> 02:21:40.399]  Dumps a bunch of cyanide in the river.
[02:21:40.460 --> 02:21:47.550]  And while Obama was vacationing and Hillary was napping during the floods in Louisiana and Mississippi, who came and visited?
[02:21:47.870 --> 02:21:49.713]  Who donated massive amounts of money?
[02:21:50.033 --> 02:21:54.940]  Who went through more than a dozen towns and hand-delivered the aid directly to the people?
[02:21:55.621 --> 02:21:58.081]  That's right, the incompetent Donald J. Trump.
[02:21:58.162 --> 02:22:07.303]  We have the vaccine makers of this country, who in the 1980s got Congress to pass a law shielding them from liability from their dangerous products.
[02:22:07.923 --> 02:22:20.706]  Well, Donald Trump has said vaccines should be investigated, that too many of them are being given, and that he is preparing for investigations into why so much autism is spreading across this country.
[02:22:20.726 --> 02:22:22.166]  It's part of population control.
[02:22:22.686 --> 02:22:35.959]  But when you look at the billions and billions of dollars paid out secretly through the vaccine damage fund that the media tries to keep from the public, it lets you know that the press certainly is incompetent for not doing their job and exposing how deep this rabbit hole goes.
[02:22:36.160 --> 02:22:46.130]  They're also saying fake news got him elected when it's mainstream media that's been caught lying and getting us into these wars and claiming Saddam Hussein had WMDs when he didn't.
[02:22:46.610 --> 02:22:53.560]  And it was basically only Donald Trump, back at the time, that was going on Fox News and CNN saying, don't get into these wars.
[02:22:53.821 --> 02:23:01.592]  And if Donald Trump can even halfway drain the swamp, deliver tax cuts, secure our border, and make America great again,
[02:23:02.313 --> 02:23:10.016]  Donald Trump will go down in history as the greatest president in our entire incredible experience.
[02:23:10.396 --> 02:23:11.776]  Clean, pure drinking water.
[02:23:12.056 --> 02:23:13.337]  You can't survive without it.
[02:23:13.537 --> 02:23:14.457]  But where do you get it?
[02:23:14.737 --> 02:23:20.499]  Alexa Pure Pro is a brand new groundbreaking gravity-fed water filtration system that is like no other.
[02:23:20.719 --> 02:23:26.441]  The Alexa Pure Pro transforms water from virtually any fresh source into clean, healthy drinking water.
[02:23:26.621 --> 02:23:43.486]  Pairing the unprecedented superfiltration power of an all-new Gravity Block Core with a hybrid chromatic shell, it removes up to 99.999% of impurities, including bacteria, viruses, fluoride, disinfectants, volatile organic contaminants, and hormones.
[02:23:43.886 --> 02:23:46.008]  Filter capacity up to 5,000 gallons.
[02:23:46.368 --> 02:23:47.569]  Stainless steel construction.
[02:23:47.850 --> 02:23:48.630]  Easy assembly.
[02:23:48.891 --> 02:23:49.511]  Low maintenance.
[02:23:49.791 --> 02:23:51.613]  Replacement filters are simple to install.
[02:23:51.893 --> 02:23:58.999]  And now, as part of an exclusive limited time introductory offer, you can save $20 off the retail price and get free shipping.
[02:23:59.180 --> 02:24:04.204]  This is a limited time offer, so order your unit today and receive free shipping and $20 off.
[02:24:04.364 --> 02:24:06.946]  Go to InfowarsStore.com or call 888-253-3139.
[02:24:17.836 --> 02:24:23.078]  What do you mean I don't believe in your system?
[02:24:23.358 --> 02:24:27.159]  I go to court when I have to.
[02:24:27.199 --> 02:24:29.259]  What do you mean I don't believe in God?
[02:24:29.399 --> 02:24:31.500]  I talk to him every day.
[02:24:31.580 --> 02:24:32.861]  Talk to him every day.
[02:24:32.901 --> 02:24:36.962]  What do you mean I don't support your system?
[02:24:37.102 --> 02:24:39.262]  I go to court when I have to.
[02:24:39.322 --> 02:24:42.143]  What do you mean I can't get to work on time?
[02:24:42.283 --> 02:24:45.144]  I've got nothing better to do.
[02:24:45.204 --> 02:24:47.445]  What do you mean I don't pay my bills?
[02:24:53.652 --> 02:24:58.394]  If there's a new way, I'll be the first in line.
[02:24:58.514 --> 02:25:00.055]  But it better work this time.
[02:25:00.515 --> 02:25:07.098]  Look, I'll just tell you, not in a bragging way, but I've already scaled the heights.
[02:25:08.238 --> 02:25:13.080]  I've already seen everything there is to see on this planet.
[02:25:13.340 --> 02:25:15.141]  There's nothing more.
[02:25:17.125 --> 02:25:18.566]  All there is is the things of God.
[02:25:19.186 --> 02:25:21.248]  And you won't learn that in a big fat evil church.
[02:25:21.268 --> 02:25:25.951]  I want to go to your phone calls right now and a bunch of news I haven't hit yet, breaking news.
[02:25:26.571 --> 02:25:31.715]  But right now we've got Tom and Dan and Charles and Jay and Jay and CJ and others.
[02:25:32.395 --> 02:25:34.677]  Tom in London, you're on the air, thanks for calling.
[02:25:34.697 --> 02:25:38.319]  Hi Alex, thanks for taking my call.
[02:25:38.880 --> 02:25:39.320]  Thank you, sir.
[02:25:41.041 --> 02:25:42.902]  I spoke to you two or three months ago.
[02:25:42.942 --> 02:25:46.144]  I said that I'd put a bet on Brexit
[02:25:47.780 --> 02:25:50.843]  And Trump, a combination, that was in the middle of 2015.
[02:25:50.983 --> 02:25:54.045]  I think you called, you bet both of them would pass.
[02:25:55.246 --> 02:25:57.388]  Yeah, both of them would pass as a combination.
[02:25:57.568 --> 02:25:59.690]  They gave me 220 to 1 at the time.
[02:25:59.710 --> 02:26:01.952]  I remember you called and said you made the bet.
[02:26:01.972 --> 02:26:02.712]  I was interested in that.
[02:26:02.732 --> 02:26:03.213]  Tell us about it.
[02:26:04.634 --> 02:26:06.475]  Yeah, well, it was in July 2015.
[02:26:06.915 --> 02:26:16.103]  It was a theory I had about the negative reinforcement phase that the establishment was going into.
[02:26:16.906 --> 02:26:24.913]  And how they had to do a controlled sort of detonation of these sort of patriotic nationalists.
[02:26:25.013 --> 02:26:25.433]  That's right.
[02:26:25.473 --> 02:26:27.975]  They couldn't control the patriotic wave taking place.
[02:26:27.995 --> 02:26:29.616]  They would create a false one to control it.
[02:26:30.997 --> 02:26:31.658]  Yeah, exactly.
[02:26:32.078 --> 02:26:33.579]  And that's what I think Brexit was.
[02:26:34.100 --> 02:26:35.721]  And that's what I think Trump is.
[02:26:35.801 --> 02:26:36.822]  That all makes sense.
[02:26:36.942 --> 02:26:37.743]  But here's the deal.
[02:26:37.783 --> 02:26:38.543]  It's all spiritual.
[02:26:39.024 --> 02:26:42.427]  People always tell me I'm controlled or I got some order or somebody runs me.
[02:26:42.567 --> 02:26:43.007]  I'm not.
[02:26:43.567 --> 02:26:44.788]  I mean, I really am independent.
[02:26:45.995 --> 02:26:48.517]  And so I know for a fact Trump is independent.
[02:26:49.598 --> 02:26:56.742]  I'm not saying some satanic great knowledge can be manipulating everything, but I just... Look, they tried to steal it from Trump.
[02:26:57.243 --> 02:26:58.243]  They did everything they could.
[02:26:58.283 --> 02:27:01.686]  They legitimately destroyed themselves trying to stop him.
[02:27:02.206 --> 02:27:05.748]  I just don't know if I can say there's total validity.
[02:27:05.768 --> 02:27:06.469]  I've even talked to him.
[02:27:07.984 --> 02:27:14.448]  A lot of folks who are smart people, government people, you know, they go, well, how do you know Trump's not a neocon deep play and all this stuff?
[02:27:14.468 --> 02:27:15.949]  I've heard that from multiple folks.
[02:27:15.969 --> 02:27:19.051]  And it's just like, they had their deep play.
[02:27:19.091 --> 02:27:19.992]  They think we're stupid.
[02:27:20.012 --> 02:27:22.833]  They want to sell us a woman because, you know, she's a woman.
[02:27:22.893 --> 02:27:23.474]  It must be OK.
[02:27:23.494 --> 02:27:32.880]  I mean, what's your what's your inalienable inner prima facie on its face proof that this is some type of synthetic BS?
[02:27:35.141 --> 02:27:36.302]  First, I mean, I do think
[02:27:37.031 --> 02:27:49.497]  Trump is a genuine player himself, but he's there to sort of bring out the ideas which got him where he is, and the same with Brexit, so then that all can be discredited.
[02:27:49.557 --> 02:28:00.282]  But the evidence that I would cite, starting with Brexit, I mean I think both elections were stolen for Brexit and for Trump.
[02:28:00.602 --> 02:28:01.663]  I mean starting with Brexit,
[02:28:02.812 --> 02:28:09.275]  There were no public exit polls for the first time in a very long time, and the exit polls are always extremely accurate.
[02:28:10.035 --> 02:28:11.376]  But there were private ones.
