[00:00:15.544 --> 00:00:20.526]  If you are receiving this transmission, you are the resistance.
[00:50:48.659 --> 00:50:52.701]  Now also the family was also not interested in doing that.
[00:50:52.701 --> 00:50:54.242]  But this was a local judge.
[00:50:54.242 --> 00:50:57.123]  Remember this is in a very, very remote part of Texas.
[00:50:57.123 --> 00:50:58.504]  I was just there last week.
[00:50:59.364 --> 00:51:04.665]  And when you go down to the Big Bend Park, you are hours and hours away from anything.
[00:51:04.665 --> 00:51:07.806]  It's about as remote as anything you're going to find in the United States.
[00:51:07.806 --> 00:51:17.407]  There's no cell phone service, there's no data service, not even in the hotels where we were saying, could we get any kind of data or telephone service.
[00:51:17.407 --> 00:51:23.968]  So this is a Presidio County Judge, Cinderella Guevara, that's actually her name, Cinderella Guevara.
[00:51:23.968 --> 00:51:26.689]  She called up and she says, well, were there any signs of foul play?
[00:51:26.689 --> 00:51:27.389]  And they said, no.
[00:51:28.149 --> 00:51:41.117]  So she said she called Scalia's doctor who informed her that Scalia had visited him for a shoulder injury last week but he also suffered from several chronic ailments and so then she just said well we're not going to do a
[00:51:42.669 --> 00:51:43.549]  An autopsy?
[00:51:43.549 --> 00:51:45.970]  I'm not even going to look at the body.
[00:51:45.970 --> 00:51:47.130]  How about that?
[00:51:47.130 --> 00:51:54.912]  So the judge, who did not see the body, indicated on his death certificate that it would be from a heart attack.
[00:51:54.912 --> 00:51:57.953]  Let me read you from the Washington Post how they phrase this.
[00:51:57.953 --> 00:52:03.654]  They say, of course, he died, yet the details of his sudden death trickled in on Sunday.
[00:52:03.654 --> 00:52:07.595]  As they did, it appeared that the hours afterward were anything but orderly.
[00:52:08.055 --> 00:52:10.837]  They say he was found dead in his room at a hunting resort by a ranch owner.
[00:52:10.837 --> 00:52:16.802]  It then took hours for the authorities in remote West Texas to find a Justice of the Peace official, said Sunday.
[00:52:16.802 --> 00:52:25.610]  When they did, she pronounced him dead of natural causes without seeing the body and decided not to order an autopsy.
[00:52:25.610 --> 00:52:31.555]  A second Justice of the Peace, who was called but couldn't get to his body in time, said she would have ordered an autopsy.
[00:52:31.555 --> 00:52:32.836]  That's from the Washington Post.
[00:52:33.541 --> 00:52:34.401]  Okay.
[00:52:34.401 --> 00:52:40.805]  Now, she goes on to say, if it had been me, I would want to know, said Juanita Bishop, a Justice of the Peace in Presidio, Texas.
[00:52:40.805 --> 00:52:48.529]  As late as Sunday afternoon, there were conflicting reports about whether or not an autopsy would be performed, though officials later said Scalia's body was being embalmed.
[00:52:48.529 --> 00:52:49.930]  There would be no autopsy.
[00:52:49.930 --> 00:52:56.373]  One report by WFAA-TV in Dallas said the death certificate would show death by heart attack.
[00:52:56.373 --> 00:52:57.194]  So I guess that's it.
[00:52:57.807 --> 00:53:02.739]  You know, we saw the liberal press come out and say, oh, Scalia died.
[00:53:02.739 --> 00:53:06.729]  Three, two, one, conspiracy theories.
[00:53:06.729 --> 00:53:06.869]  Now.
[00:53:07.881 --> 00:53:12.563]  Let me play for you a conspiracy fact from 41 years ago.
[00:53:12.563 --> 00:53:14.904]  I played this at the beginning of the broadcast.
[00:53:14.904 --> 00:53:16.705]  As I said, many of you may not have heard it.
[00:53:16.705 --> 00:53:18.546]  I want to play a little bit more of this again.
[00:53:18.546 --> 00:53:20.446]  This is 41 years ago.
[00:53:20.446 --> 00:53:25.028]  The Frank Church Committee hearings about abuses by the CIA.
[00:53:25.028 --> 00:53:33.372]  Frank Church is talking to William Colby, who was then director of the CIA, and listen to what they're talking about in terms of heart attacks.
[00:53:34.247 --> 00:53:42.574]  So I had to find, one time they wanted me to find, um, to find out if there was such a thing as, um, as a poison that was undetectable.
[00:53:42.574 --> 00:53:47.198]  Especially one that seemed to, uh, mimic a heart attack.
[00:53:47.198 --> 00:53:50.941]  That would kill someone, but it would appear that they had a heart attack.
[00:53:50.941 --> 00:53:52.182]  I did find such a thing.
[00:53:52.182 --> 00:53:56.386]  Does this pistol, uh, fire the dart?
[00:53:56.386 --> 00:53:58.267]  Yes, it does, Mr. Chairman.
[00:53:58.267 --> 00:54:00.149]  And a special one was developed, which
[00:54:00.951 --> 00:54:05.982]  Potentially would be able to enter the target without perception.
[00:54:05.982 --> 00:54:10.793]  The poison was frozen into some sort of dart and then it was shot at.
[00:54:11.654 --> 00:54:23.877]  Uh, very high speed into the person so when it reached the person it would melt inside them and the only thing would be like one little tiny red dot on their body which is hard to detect.
[00:54:23.877 --> 00:54:27.358]  There wouldn't be a needle left or anything like that in the person.
[00:54:27.358 --> 00:54:31.319]  But also the toxin itself would not appear in the autopsy?
[00:54:31.319 --> 00:54:37.200]  Yes, so that there was no way of perceiving that the target was him.
[00:54:37.200 --> 00:54:38.301]  Have you brought with you
[00:54:40.297 --> 00:54:49.148]  Some of those devices which would have enabled the CIA to use this poison for, we have indeed, for killing people.
[00:54:52.040 --> 00:54:54.883]  The round thing at the top is obviously the sight.
[00:54:54.883 --> 00:54:56.164]  It works by electricity.
[00:54:56.164 --> 00:55:00.948]  There's a battery in the handle and it fires a small dart.
[00:55:00.948 --> 00:55:03.410]  And again, what you're listening to, we'll go ahead and stop that now.
[00:55:03.410 --> 00:55:05.011]  We played that earlier in the broadcast.
[00:55:05.011 --> 00:55:08.214]  Many people were getting news broadcasts at the top of the hour.
[00:55:08.214 --> 00:55:09.275]  That was 41 years ago.
[00:55:09.275 --> 00:55:12.277]  And of course they're saying they could form a toxin.
[00:55:13.078 --> 00:55:16.320]  That would cause it to look like somebody had a natural heart attack.
[00:55:16.320 --> 00:55:18.821]  They could freeze it into a dart.
[00:55:18.821 --> 00:55:21.023]  It would leave no trace for an autopsy.
[00:55:21.023 --> 00:55:22.664]  You would not be able to trace the toxin.
[00:55:22.664 --> 00:55:24.505]  That was 41 years ago.
[00:55:24.505 --> 00:55:29.448]  The CIA has had a lot of practice since then assassinating people.
[00:55:29.448 --> 00:55:31.349]  So has this administration.
[00:55:32.369 --> 00:55:49.265]  When Obama's got a disposition matrix with his drones, with other issues, when they are openly doing what they were embarrassed and ashamed of because of war criminal actions possibly that people might take against them, they used to be ashamed of the fact that they would assassinate people as a matter of policy.
[00:55:49.765 --> 00:55:52.768]  Now they openly talk about it.
[00:55:52.768 --> 00:55:55.830]  We have seen the Supreme Court Justice Roberts.
[00:55:55.830 --> 00:56:03.456]  Many of us believe that he was being blackmailed when he wrote both the dissenting and the concurring opinion on Obamacare at the same time.
[00:56:03.456 --> 00:56:05.038]  That was pretty much unprecedented.
[00:56:05.618 --> 00:56:10.160]  That he would say it was both legal to do it, both also not legal to do it.
[00:56:10.160 --> 00:56:13.281]  He did both of those, and then ultimately sided with Obamacare.
[00:56:13.281 --> 00:56:16.322]  So many of us said, it looks like he was being blackmailed.
[00:56:16.322 --> 00:56:29.707]  And then we subsequently learned that Justice Roberts, as well as other Supreme Court justices like Ginsburg, were named by people as those that the NSA were intercepting their email, looking in detail at what they were saying.
[00:56:30.327 --> 00:56:35.509]  And I would say to those on the left who say, well, okay, Scalia was 79 years old.
[00:56:35.509 --> 00:56:38.410]  79-year-old people are going to die of heart attacks all the time.
[00:56:38.410 --> 00:56:48.553]  And yet, think about the fact that the guy that you're so excited about, Bernie Sanders, will be 75 when he becomes president, if he wins.
[00:56:48.553 --> 00:56:52.874]  He will be the same age as Justice Scalia at the end of the first term.
[00:56:52.874 --> 00:56:54.335]  You don't have a problem with that.
[00:56:54.335 --> 00:56:56.075]  You think, well, he's vital.
[00:56:56.075 --> 00:56:57.676]  If he were to die suddenly,
[00:56:58.416 --> 00:57:02.118]  Would you think that perhaps the Clinton gang had something to do with it?
[00:57:02.118 --> 00:57:12.862]  Why is it that when we have a government that increasingly acts like a banana republic, although with first world weapons, when they openly assassinate people, why would you say
[00:57:13.502 --> 00:57:25.886]  That we shouldn't question the death of someone as it is timed with the global takeover of our government using climate change, using the Trans-Pacific Partnership and other issues.
[00:57:25.886 --> 00:57:33.429]  The climate treaties are going to be a more direct path towards global governance than even the TPP and the TTIP.
[00:57:33.429 --> 00:57:34.769]  Stay with us when we come back.
[00:57:34.769 --> 00:57:39.171]  We're going to look at reactions and what may happen in the aftermath of Scalia's death.
[00:57:47.685 --> 00:57:48.806]  Brain Force is here.
[00:57:48.806 --> 00:57:51.008]  Ladies and gentlemen, I've been on this the last few months.
[00:57:51.008 --> 00:57:55.991]  You've probably noticed I've been more focused, less brain fog, more energy, and it's because of Brain Force.
[00:57:55.991 --> 00:57:59.274]  There's always hidden additives in your food, even organic food has hidden additives.
[00:57:59.274 --> 00:58:02.757]  Staring at the computer all day, working, doing good, you're still damaging your brain.
[00:58:02.757 --> 00:58:04.518]  Ultimately, we've all been dumbed down to some degree.
[00:58:04.738 --> 00:58:05.678]  It doesn't have stimulants.
[00:58:05.678 --> 00:58:06.839]  It doesn't have garbage in it.
[00:58:06.839 --> 00:58:08.839]  It has natural things that do it clean.
[00:58:08.839 --> 00:58:17.542]  You will find Brain Force and other game-changing products at Infowarslife.com or call 888-253-3139.
[00:58:17.542 --> 00:58:18.462]  Shower filters.
[00:58:18.462 --> 00:58:20.182]  We're introducing the best yet.
[00:58:20.182 --> 00:58:24.244]  The brand new ProPure ProMax high-performance shower filter.
[00:58:24.244 --> 00:58:28.825]  It removes and reduces over 200 contaminants while preserving a strong, powerful flow.
[00:58:29.065 --> 00:58:36.132]  This new four-stage filtration process helps protect the largest organ in your body, your skin, from the unhealthy contaminants in the water.
[00:58:36.132 --> 00:58:42.319]  You can find more details on this amazing new filter and free shipping at InfoWarsStore.com or call 888-253-3139 to order your ProMax shower filter from ProPure today!
[00:58:48.399 --> 00:58:55.606]  For all of recorded history, civilizations around the world praised the health benefits of silver.
[00:58:55.606 --> 00:59:05.296]  At InfoWarsLife, our mission is to bring you the highest quality, purest, cleanest, effective colloidal silver on the market today for the lowest price available.
[00:59:05.296 --> 00:59:12.163]  Now, InfoWarsLife.com has taken colloidal silver to the next level using a cutting-edge technique that is free of toxic artificial additives.
[00:59:12.623 --> 00:59:20.466]  Infowarslife.com developed Silver Bullet by closely working with one of the top silver manufacturing labs in the United States.
[00:59:20.466 --> 00:59:24.148]  We set out to bring you the very best at the lowest price.
[00:59:24.148 --> 00:59:29.110]  Find out more about the proprietary development of Silver Bullet at Infowarslife.com.
[00:59:29.110 --> 00:59:33.532]  In these times, it's essential to have high-quality, loyal silver on hand.
[00:59:33.532 --> 00:59:36.513]  No survival chest is complete without Silver Bullet.
[00:59:36.613 --> 00:59:39.676]  Exclusively available at Infowarslife.com.
[00:59:39.676 --> 00:59:44.161]  Secure your silver bullet today at Infowarslife.com or by calling toll free 888-253-3139.
[00:59:44.161 --> 00:59:45.623]  You're listening to the Alex Jones Show.
[01:00:01.354 --> 01:00:07.983]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[01:00:07.983 --> 01:00:10.966]  It's Alex Jones and the GCN Radio Network.
[01:00:13.857 --> 01:00:15.238]  Welcome back to the Alex Jones Show.
[01:00:15.238 --> 01:00:17.420]  I'm David Knight, your host this hour.
[01:00:17.420 --> 01:00:21.404]  We're going to talk now about what the death of Antonin Scalia means.
[01:00:21.404 --> 01:00:27.389]  And of course, later in the hour, we're going to talk about the debate last night in South Carolina with GOP candidates.
[01:00:27.389 --> 01:00:30.331]  A lot of very interesting things happened in that debate.
[01:00:30.331 --> 01:00:34.254]  But first, I want to talk about what's going to happen with Antonin Scalia.
[01:00:34.935 --> 01:00:44.883]  We have Barack Obama saying he's going to nominate Scalia's successor in due time, and it looks like we're going to be at loggerheads between the GOP.
[01:00:44.883 --> 01:00:51.589]  Mitch McConnell says no, we're going to let the next president nominate the replacement for Scalia.
[01:00:51.589 --> 01:00:53.690]  Democrats are saying they're not going to have any of it.
[01:00:53.690 --> 01:00:55.332]  Let's listen to what Obama had to say.
[01:00:58.450 --> 01:01:06.337]  Justice Antonin Nino Scalia was a larger-than-life president on the bench.
[01:01:06.337 --> 01:01:12.562]  A brilliant legal mind with an energetic style, incisive wit, and colorful opinions.
[01:01:13.908 --> 01:01:21.892]  He influenced a generation of judges, lawyers, and students, and profoundly shaped the legal landscape.
[01:01:21.892 --> 01:01:28.335]  He will no doubt be remembered as one of the most consequential judges and thinkers to serve on the Supreme Court.
[01:01:28.335 --> 01:01:36.878]  And tonight, we join his fellow justices in mourning this remarkable man.
[01:01:36.878 --> 01:01:42.061]  Obviously, today is a time to remember Justice Scalia's legacy.
[01:01:44.625 --> 01:01:52.049]  I plan to fulfill my constitutional responsibilities to nominate a successor in due time.
[01:01:52.049 --> 01:02:01.575]  There will be plenty of time for me to do so and for the Senate to fulfill its responsibility to give that person a fair hearing and a timely vote.
[01:02:01.575 --> 01:02:05.477]  These are responsibilities that I take seriously, as should everyone.
[01:02:05.477 --> 01:02:07.779]  They're bigger than any one party.
[01:02:07.779 --> 01:02:09.380]  They are about our democracy.
[01:02:10.322 --> 01:02:20.796]  They're about the institution to which Justice Scalia dedicated his professional life and making sure it continues to function as the beacon of justice that our founders envisioned.
[01:02:21.898 --> 01:02:27.162]  Okay, let's hold it right there, because one of the big issues that's coming up, of course, is climate change.
[01:02:27.162 --> 01:02:34.448]  And we just had the Supreme Court put a stay on the orders by the EPA to enforce Obama's promise.
[01:02:34.448 --> 01:02:40.913]  Remember, that was a promise before he got elected the very first time, that he was going to bankrupt the coal industry.
[01:02:40.913 --> 01:02:42.274]  They put a stay on that order.
[01:02:42.274 --> 01:02:43.895]  That's going to be in play now.
[01:02:43.895 --> 01:02:46.798]  And when we talk about replacements for the Supreme Court, remember,
[01:02:47.478 --> 01:02:54.621]  Democrat appointees have always been reliable for the socialist, partisan, liberal side.
[01:02:54.621 --> 01:03:00.243]  We have a very spotty record on the Republican side, just like we do on other issues.
[01:03:00.243 --> 01:03:02.884]  They say they're going to do one thing and they do something completely different.
[01:03:02.884 --> 01:03:05.125]  If you look at what's going on with the Supreme Court right now,
[01:03:05.805 --> 01:03:14.593]  You have four Supreme Court justices, two by Clinton, two by Obama, that always vote for big government.
[01:03:14.593 --> 01:03:22.280]  Then you have four that always voted for small government, for more of a conservative point of view.
[01:03:22.280 --> 01:03:25.222]  And you have one swing vote, which was Kennedy.
[01:03:25.222 --> 01:03:27.104]  And he was not reliable in terms of that.
[01:03:27.104 --> 01:03:29.406]  But let's take a look at some of the appointments that have been made.
[01:03:30.487 --> 01:03:37.252]  Reagan appointed Scalia, but he also appointed Sandra Day O'Connor, who was always reliably liberal.
[01:03:37.252 --> 01:03:41.554]  He also appointed Anthony Kennedy, who is essentially the swing vote.
[01:03:41.554 --> 01:03:43.936]  You can't understand which way he's going to go.
[01:03:43.936 --> 01:03:51.841]  And one of the reasons for that is because Anthony Kennedy interprets the Constitution according to international law.
[01:03:51.841 --> 01:03:56.344]  See, that was the key difference with Scalia and the rest of these judges.
[01:03:56.344 --> 01:04:00.207]  Scalia doesn't believe, or did not believe, in a living Constitution.
[01:04:00.747 --> 01:04:04.609]  He believed in a literal, written constitution.
[01:04:04.609 --> 01:04:15.254]  If you don't go with what's written, if you don't say we're going to go with the originalist terms, we're going to look at what was meant by militia, we're going to look at what was meant by natural-born citizen, etc., etc.
[01:04:15.254 --> 01:04:18.796]  We're going to go with the literal reading of the text.
[01:04:18.796 --> 01:04:24.538]  If you don't do that, then basically you have divorced yourself from legal guidelines.
[01:04:24.538 --> 01:04:25.159]  When you do that,
[01:04:25.905 --> 01:04:30.689]  The law is whatever the justices say, whatever the president says.
[01:04:30.689 --> 01:04:35.252]  So you then have something that is literally a dictatorship.
[01:04:35.252 --> 01:04:39.155]  The law comes out of their mouth, not off of the written paper.
[01:04:39.155 --> 01:04:42.177]  That was why Scalia's approach was so important.
[01:04:42.177 --> 01:04:46.741]  That's why it is so dangerous to have the kind of approach that we have from Kennedy and others.
[01:04:46.741 --> 01:04:48.022]  Stay with us, we'll be right back.
[01:04:58.655 --> 01:05:02.176]  When cells become toxic, they die early and aging sets in.
[01:05:02.176 --> 01:05:10.419]  No one has put together a formula that focuses directly on brain health, nerve growth factors, and optimizing your cellular energy at the same time.
[01:05:10.419 --> 01:05:15.840]  Just one of the key compounds, BioPQQ, is backed by major clinical studies.
[01:05:15.840 --> 01:05:18.361]  You want the best that's out there at the lowest price anywhere?
[01:05:18.361 --> 01:05:20.462]  We now have the synergistic solution.
[01:05:20.462 --> 01:05:24.663]  Secure your DNA force today at InfoWarsLife.com or call toll-free 888-253-3139.
[01:05:28.630 --> 01:05:29.530]  Shower Filters.
[01:05:29.530 --> 01:05:31.271]  We're introducing the best yet.
[01:05:31.271 --> 01:05:35.333]  The brand new ProPure ProMax High Performance Shower Filter.
[01:05:35.333 --> 01:05:40.155]  It removes and reduces over 200 contaminants while preserving a strong, powerful flow.
[01:05:40.155 --> 01:05:47.218]  This new 4-stage filtration process helps protect the largest organ in your body, your skin, from the unhealthy contaminants in the water.
[01:05:47.218 --> 01:05:53.000]  You can find more details on this amazing new filter and free shipping at InfowarsStore.com or call 888-253-3139 to order your ProMax Shower Filter from ProPure today.
[01:06:06.387 --> 01:06:21.499]  We now take you live to the Central Texas Command Center, in the heart of the resistance, rallying patriots worldwide.
[01:06:21.499 --> 01:06:24.121]  You're listening to the Alex Jones Show.
[01:06:28.018 --> 01:06:29.359]  Welcome back to the Alex Jones Show.
[01:06:29.359 --> 01:06:33.822]  I'm David Knight, your host on this February the 14th, 2016.
[01:06:33.822 --> 01:06:36.143]  We've been talking about the death of Antonin Scalia.
[01:06:36.143 --> 01:06:39.165]  We've been talking about global ruin being upon us.
[01:06:39.165 --> 01:06:41.607]  We had a special report from Alex Jones.
[01:06:41.607 --> 01:06:46.050]  And we're going to talk now about the GOP debate last night in South Carolina.
[01:06:46.050 --> 01:06:49.592]  Before we do, though, I want to just finish up on Justice Scalia.
[01:06:49.592 --> 01:06:51.153]  As I was pointing out in the last segment,
[01:06:52.130 --> 01:06:59.602]  Democrat appointees to the Supreme Court have been very reliable for the Democrats, just as they pretty much fulfill their promises to their constituents.
[01:06:59.602 --> 01:07:00.784]  It's on the GOP side.
[01:07:01.530 --> 01:07:03.631]  That they will say one thing and do another.
[01:07:03.631 --> 01:07:13.679]  For example, when we look at Reagan, as I point out, he appointed Justice Scalia, but then he also appointed Sandra Day O'Connor, who typically voted against everything that Ronald Reagan stood for.
[01:07:13.679 --> 01:07:18.122]  It was important for him to put a woman on the Supreme Court.
[01:07:18.122 --> 01:07:23.666]  It was more important for Reagan to put a woman on the Supreme Court than it was to get somebody who agreed with him ideologically.
[01:07:24.332 --> 01:07:26.113]  That's the sad truth.
[01:07:26.113 --> 01:07:27.254]  Understand that.
[01:07:27.254 --> 01:07:35.459]  Understand, just as we saw him compromise on the Supreme Court, we also saw Reagan compromise on the Second Amendment when his friend got shot.
[01:07:35.459 --> 01:07:39.221]  As a favor to Sarah Brady, he threw gun owners under the bus.
[01:07:39.221 --> 01:07:41.583]  That's the reality of Ronald Reagan.
[01:07:41.583 --> 01:07:45.165]  I am not as big a fan of Ronald Reagan as the Republicans are.
[01:07:45.165 --> 01:07:49.207]  Of course, we'll hear they invoke him over and over again in the debate last night.
[01:07:50.228 --> 01:07:54.490]  The other Supreme Court Justice that Ronald Reagan appointed, who is still with us, is Anthony Kennedy.
[01:07:54.490 --> 01:08:02.074]  And as I pointed out, this is Jeffrey Toobin and others have said that he uses international law to interpret the Constitution.
[01:08:02.074 --> 01:08:05.536]  He is a leading proponent of that, Anthony Kennedy is.
[01:08:05.536 --> 01:08:08.818]  And so that's why he seems to be all over the map for people.
[01:08:08.818 --> 01:08:13.280]  Because, quite frankly, he doesn't really care about the Constitution.
[01:08:13.280 --> 01:08:15.902]  International law is more important for Anthony Kennedy.
[01:08:15.902 --> 01:08:18.323]  That's the guy that was appointed by Ronald Reagan.
[01:08:19.087 --> 01:08:20.468]  Then we look at Richard Nixon.
[01:08:20.468 --> 01:08:26.012]  He appointed Harry Blackmun, who wrote Roe v. Wade, as well as Lewis Powell, who voted for Roe v. Wade.
[01:08:26.012 --> 01:08:30.015]  We look at George I. He appointed David Souter, a very liberal judge.
[01:08:30.015 --> 01:08:39.423]  He also appointed Clarence Thomas, who has, I think, voted, as I would agree with, as an originalist, as Scalia votes.
[01:08:39.423 --> 01:08:47.149]  I remember when there were confirmation hearings for Clarence Thomas, and I remember the person who opposed him the most was now Vice President Joe Biden.
[01:08:48.203 --> 01:08:50.084]  And I can recall exactly where we were.
[01:08:50.084 --> 01:08:51.304]  My wife and I were on vacation.
[01:08:51.304 --> 01:09:08.190]  We were traveling up the Appalachian Highway, and Joe Biden was dressing down Clarence Thomas because he had talked about natural law and our rights coming from God, not being privileges granted by government.
[01:09:09.218 --> 01:09:12.960]  I can remember I got so mad when I listened to this exchange.
[01:09:12.960 --> 01:09:20.484]  I drove a little bit faster than usual, especially because Clarence Thomas would not defend the Declaration of Independence.
[01:09:20.484 --> 01:09:25.807]  That's basically what the Declaration of Independence says, that our rights come from God, not from government.
[01:09:25.807 --> 01:09:29.189]  We create the government to protect those rights.
[01:09:29.189 --> 01:09:36.794]  When the government destroys those rights, we have a duty and a right to alter or abolish that government.
[01:09:37.634 --> 01:09:38.835]  Joe Biden doesn't think so.
[01:09:38.835 --> 01:09:42.417]  Joe Biden believes in privileges that are granted by government.
[01:09:42.417 --> 01:09:50.622]  So we got a mixed bag from George I. George II, W, appointed Roberts, who shepherded in Obamacare under suspicious circumstances.
[01:09:50.622 --> 01:09:52.804]  I pointed out he's done that twice.
[01:09:52.804 --> 01:09:59.868]  And the first time he wrote both opinions, both for and against, and then voted for Obamacare.
[01:09:59.868 --> 01:10:03.590]  So we've had a very mixed bag of justices from the GOP.
[01:10:04.551 --> 01:10:11.235]  But of course, if we see something coming from the Democrat side, you can bet that they are going to be reliably statist.
[01:10:11.235 --> 01:10:15.917]  Now, what is up before the Supreme Court that is important?
[01:10:15.917 --> 01:10:21.440]  Politico points out that Scalia's death could change the court on abortion, on race issues, and on climate.
[01:10:21.440 --> 01:10:23.661]  Climate is the key thing.
[01:10:23.661 --> 01:10:25.542]  And climate was what happened last week.
[01:10:25.542 --> 01:10:30.204]  And as I pointed out before, this was something we never got around to talking about in detail last week.
[01:10:30.204 --> 01:10:30.945]  I mentioned it briefly.
[01:10:31.909 --> 01:10:37.015]  But the Supreme Court put a stay on the White House's carbon pollution limits.
[01:10:37.015 --> 01:10:43.562]  This was Obama's effort, using the EPA, to shut down the coal industry, as he promised when he was running for president.
[01:10:44.241 --> 01:11:00.034]  And they point out on NPR, they say the heart of the Obama administration's Clean Power Plan is now on hold after the Supreme Court granted a stay request that blocks the EPA from moving ahead with rules that would lower carbon emissions from the nation's power plants.
[01:11:00.034 --> 01:11:02.996]  The case is scheduled to be argued in June in the U.S.
[01:11:02.996 --> 01:11:07.560]  Court of Appeals for the District of Columbia Circuit, a very liberal court.
[01:11:08.140 --> 01:11:20.729]  They say, but a decision could be a long time in coming, particularly if the case winds up in the Supreme Court, meaning the rule's fate might not be determined before a new presidential administration comes into power in 2017.
[01:11:20.729 --> 01:11:30.056]  Understand, however, that if we now have a 4-4 split in the Supreme Court, lower court's decisions will be upheld.
[01:11:30.056 --> 01:11:31.157]  Do you see how important that is?
[01:11:32.142 --> 01:11:32.882]  If the D.C.
[01:11:32.882 --> 01:11:36.403]  Supreme Court agrees with the liberal D.C.
[01:11:36.403 --> 01:11:39.544]  Supreme Court, or Court of Appeals, I should say.
[01:11:39.544 --> 01:11:41.644]  It's a district court, it's not a Supreme Court.
[01:11:41.644 --> 01:11:58.168]  If the District Court in the District of Columbia agrees with the Obama Administration, agrees with the Obama EPA on these rules, then basically the Supreme Court in a 4-4 split would not be able to stop it.
[01:11:58.168 --> 01:12:01.349]  They would still have to lift the stay, but who knows what they will do.
[01:12:02.179 --> 01:12:03.719]  They're not reliable.
[01:12:03.719 --> 01:12:05.500]  They don't have a backbone.
[01:12:05.500 --> 01:12:08.381]  We have seen them go wobbly over and over again.
[01:12:08.381 --> 01:12:22.224]  I mean, clearly when we look at the court, even the best of justices, even justices like Scalia that were appointed by Ronald Reagan, had no problem with the UN's war on drugs, had no problem with civil asset forfeiture.
[01:12:23.066 --> 01:12:26.969]  They've had no problem with the kind of torture that we see going on.
[01:12:26.969 --> 01:12:32.453]  When Scalia was questioned on torture, he said, well, the Constitution doesn't say anything about torture.
[01:12:32.453 --> 01:12:36.956]  And the person who was questioning him said, yeah, but it talks about cruel and unusual punishment.
[01:12:36.956 --> 01:12:38.917]  He goes, but that's not punishment.
[01:12:38.917 --> 01:12:39.478]  That's torture.
[01:12:40.768 --> 01:12:42.570]  I'm like, no, no.
[01:12:42.570 --> 01:12:44.992]  You have to give somebody their day in court.
[01:12:44.992 --> 01:12:50.256]  You have to give them due process before you enact a penalty, and that's the whole point.
[01:12:50.256 --> 01:13:03.687]  When we talk about waterboarding people, when we talk about waterboarding terrorists, okay, they're terrorists because we accused them of being terrorists, not because they were given due process and found to be a terrorist in a court of law.
[01:13:04.778 --> 01:13:22.014]  It's because we have these star chamber proceedings where all that has to happen is that the government accuses somebody of being a terrorist and then the media chimes in obediently and then we're allowed to torture them and we say that that's not punishment, that it's not cruel and unusual.
[01:13:22.014 --> 01:13:26.859]  So even Scalia was capable of twisting the law.
[01:13:28.246 --> 01:13:35.648]  Of ignoring the due process clauses and saying, well, okay, we're not punishing them because we haven't found them guilty of anything.
[01:13:35.648 --> 01:13:41.129]  It's like, yeah, well, you don't torture somebody when you haven't even given them a trial or charged them with something.
[01:13:41.129 --> 01:13:44.350]  But of course, they take people's property under civil asset forfeiture.
[01:13:44.350 --> 01:13:45.590]  They don't have a problem with that.
[01:13:45.590 --> 01:13:52.011]  So even the best of these guys really aren't up to snuff, okay?
[01:13:52.011 --> 01:13:52.851]  Look at the Patriot Act.
[01:13:52.851 --> 01:13:54.092]  Look at the war on drugs.
[01:13:54.092 --> 01:13:55.172]  Look at the war on terrorism.
[01:13:56.152 --> 01:14:04.060]  But they go on to point out, and this is NPR, last week before Scalia died, they said more than two dozen states went to court to challenge the EPA's action.
[01:14:04.060 --> 01:14:15.272]  And in a surprise decision, 5-4, which would now be 4-4, the Supreme Court agreed to block the measure at least until an appeals court can hear arguments in the case this summer.
[01:14:16.138 --> 01:14:28.638]  And speaking on NPR's Morning Edition, they said, Scott Horsley said, there's no question they were caught off guard by the decision, which could be seen as an ominous sign for the President's broader climate agenda.
[01:14:29.758 --> 01:14:33.640]  And understand how broad this climate agenda is.
[01:14:33.640 --> 01:14:40.224]  The climate agenda has the capability, whether or not the TPP goes through it, of course it will go through.
[01:14:40.224 --> 01:14:40.964]  They're well on the way.
[01:14:40.964 --> 01:14:41.584]  They've signed it.
[01:14:41.584 --> 01:14:46.927]  They haven't ratified it yet, but they have essentially gutted the ratification process.
[01:14:46.927 --> 01:14:50.589]  People like Ted Cruz voted to gut that ratification process.
[01:14:50.589 --> 01:14:54.031]  Marco Rubio did as well when they passed the Trade Promotion Authority.
[01:14:54.031 --> 01:14:54.812]  They said, we don't care.
[01:14:55.572 --> 01:14:58.873]  What the constitutional process for ratifying a treaty is.
[01:14:58.873 --> 01:15:02.714]  We don't want there to be a requirement of having 67 senators.
[01:15:02.714 --> 01:15:04.255]  We want a simple up and down vote.
[01:15:04.255 --> 01:15:10.177]  And oh by the way, to make you feel better about it, we'll throw in a simple up or down majority with the House as well.
[01:15:10.177 --> 01:15:12.698]  But we'll shut down all ability to make amendments.
[01:15:12.698 --> 01:15:16.539]  We will shut down any kind of debate for more than 20 hours.
[01:15:16.539 --> 01:15:17.980]  No filibusters.
[01:15:17.980 --> 01:15:18.760]  And oh by the way,
[01:15:19.440 --> 01:15:32.070]  The devil in the details is that it really doesn't matter what this agreement says, because the key thing that they're voting on is to establish an international commission that will manage, manage our trade.
[01:15:32.070 --> 01:15:33.351]  It is not free trade.
