[00:00:00.009 --> 00:00:01.731]  Brain Force is here.
[00:41:33.317 --> 00:41:36.079]  When I first started covering them, people were like, oh my god, I don't want to be called a racist.
[00:41:36.419 --> 00:41:40.763]  But then once the assault started happening and being spit on, it was almost like being jumped into a gang.
[00:41:41.124 --> 00:41:47.949]  You know, people walked through, because you have to walk through tons of people waving Mexican flags and screaming at you, calling you racist, spitting at you.
[00:41:48.270 --> 00:41:50.351]  Meanwhile, you've got your baby, your child, and their cousin.
[00:41:50.592 --> 00:41:51.392]  You effing racist!
[00:41:52.193 --> 00:41:53.354]  It doesn't matter in front of women and children.
[00:41:53.414 --> 00:41:54.854]  They will key your car and they'll egg you.
[00:41:54.894 --> 00:41:56.235]  And you would see people walking through.
[00:41:56.255 --> 00:41:58.356]  I remember Eugene, remember when we went to Oregon?
[00:41:58.677 --> 00:42:02.359]  There was just mobs of people on both sides and people were walking through like this.
[00:42:02.599 --> 00:42:07.641]  They were kind of getting there and then as they came through they just kind of felt like they put their chest out more and they're like, I just made it through.
[00:42:07.661 --> 00:42:08.462]  You know what?
[00:42:08.482 --> 00:42:10.123]  This makes me even more proud of Trump!
[00:42:12.731 --> 00:42:14.352]  It's like an initiation process.
[00:42:14.372 --> 00:42:15.252]  They're getting jumped in.
[00:42:15.272 --> 00:42:15.932]  They're like, you know what?
[00:42:16.213 --> 00:42:17.473]  This is why I'm going to do it.
[00:42:17.493 --> 00:42:20.634]  Because of these sniveling little pieces of trash.
[00:42:20.654 --> 00:42:21.054]  Exactly!
[00:42:21.254 --> 00:42:21.935]  Like the media.
[00:42:22.355 --> 00:42:23.395]  F you, I'm voting for Trump.
[00:42:23.495 --> 00:42:23.875]  Obama.
[00:42:24.296 --> 00:42:25.296]  F you, I'm voting for Trump.
[00:42:25.476 --> 00:42:26.436]  Dumbass protesters.
[00:42:26.696 --> 00:42:27.717]  F you, I'm voting for Trump.
[00:42:27.737 --> 00:42:27.997]  Go ahead.
[00:42:28.644 --> 00:42:29.404]  And guess who won?
[00:42:29.785 --> 00:42:31.265]  And the difference is night and day.
[00:42:31.345 --> 00:42:34.867]  When you go in, you see the pro-Trump supporters at these rallies.
[00:42:35.267 --> 00:42:38.588]  The most patriotic, diverse, you know, the very diverse crowd.
[00:42:38.608 --> 00:42:39.269]  Small business owners.
[00:42:39.629 --> 00:42:42.670]  And they're just, they're such good family, hard-working people.
[00:42:43.050 --> 00:42:45.971]  And on the outside, it is the total opposite.
[00:42:45.991 --> 00:42:50.773]  Not one single American flag, and just hate, and keying your cars, and egging people.
[00:42:50.834 --> 00:42:51.754]  It's just horrible.
[00:42:52.114 --> 00:42:58.842]  One of the points I was making to one of these reporters that came up to me, because they're all flabbergasted by me being out there in a Trump shirt, you know, they're like, aren't you scared you're going to get hurt?
[00:42:58.862 --> 00:43:01.665]  And I was like, yeah, they've never seen, they've never seen a man with courage.
[00:43:01.785 --> 00:43:01.965]  Yeah.
[00:43:02.286 --> 00:43:02.826]  I was like, whatever.
[00:43:02.847 --> 00:43:05.229]  It's like, if they hit me, man, I'll have it on camera, you know, we'll deal with it later.
[00:43:05.249 --> 00:43:06.310]  Most of them are just these clowns.
[00:43:06.411 --> 00:43:07.752]  I was like, but for me, this is fun.
[00:43:08.113 --> 00:43:10.515]  And she's like, she's like, she's like, why do you think these people are out here?
[00:43:10.535 --> 00:43:12.558]  I was like, honestly, because they don't have any freaking jobs.
[00:43:13.467 --> 00:43:15.128]  And they're mad because they don't have any jobs.
[00:43:15.148 --> 00:43:19.332]  What they don't understand is the people that they've elected in the past are the reasons they don't have any jobs.
[00:43:19.592 --> 00:43:23.195]  So they have nothing to do except go outside and cry and whine and ask for handouts.
[00:43:23.455 --> 00:43:23.916]  But guess what?
[00:43:23.936 --> 00:43:26.018]  Donald Trump's going to make America great again.
[00:43:26.058 --> 00:43:27.619]  He's going to bring jobs back to America.
[00:43:27.679 --> 00:43:32.343]  And everyone, every single one of those sniveling little bastards, you communist bastards, are going to have a job.
[00:43:32.563 --> 00:43:34.024]  And you're not going to be able to protest anymore.
[00:43:34.224 --> 00:43:35.466]  And you're going to have to pay your own rent.
[00:43:35.486 --> 00:43:41.771]  You're going to have to move out of your mom's basement where your face is covered in Cheetos every day like Glenn Beck, you sniveling little pieces of trash.
[00:43:42.011 --> 00:43:42.772]  You know what, guys?
[00:43:42.952 --> 00:43:44.213]  We're going to put you to work.
[00:43:44.253 --> 00:43:48.156]  We're going to put you to work because you know why Donald Trump protesters aren't taking to the streets all the time?
[00:43:48.356 --> 00:43:49.677]  You know why we don't run around all the time?
[00:43:49.897 --> 00:43:58.743]  Because we're too busy working, providing for our family, running small businesses, actually being successful, being entrepreneurs, and actually contributing to society.
[00:43:59.344 --> 00:44:04.688]  So we're going to take a break here in just a couple minutes, and then in the last hour of this broadcast, we're going to go to your phone calls.
[00:44:04.708 --> 00:44:08.351]  But I want to ask these two gentlemen, what do we do with these people?
[00:44:09.611 --> 00:44:10.191]  What do we do?
[00:44:10.452 --> 00:44:12.795]  I say we ignore them and don't give them the light of day.
[00:44:12.875 --> 00:44:14.157]  Don't shine the light on it anymore.
[00:44:14.177 --> 00:44:16.139]  And just, they're going to fade away.
[00:44:16.460 --> 00:44:21.166]  The more and more we shine lights on these mentally ill people, the more and more they're going to do it.
[00:44:21.206 --> 00:44:22.648]  Just like with what happened in Ferguson.
[00:44:22.668 --> 00:44:25.992]  That could have been over in a couple days, instead it went on for three, four months.
[00:44:26.953 --> 00:44:27.494]  Still going on.
[00:44:28.374 --> 00:44:30.195]  Yeah, there's still going to be a problem there.
[00:44:30.255 --> 00:44:31.855]  That's going to be an open wound for a long time.
[00:44:31.895 --> 00:44:33.736]  But I say just leave them alone.
[00:44:33.816 --> 00:44:34.056]  Screw it.
[00:44:34.076 --> 00:44:35.596]  Let's talk about how we move forward.
[00:44:35.916 --> 00:44:37.857]  Let's talk about the things we can do to support Trump.
[00:44:38.117 --> 00:44:43.398]  Let's talk about the problems we have in America and how we can get certain ways to fix those problems.
[00:44:43.518 --> 00:44:44.179]  That's what we do.
[00:44:44.499 --> 00:44:45.299]  So screw these people.
[00:44:45.339 --> 00:44:46.399]  Let them run around and cry.
[00:44:46.639 --> 00:44:47.720]  Let them have their cry-ins.
[00:44:47.740 --> 00:44:49.560]  Let them sit around at their universities and not go to school.
[00:44:49.580 --> 00:44:50.040]  That's okay.
[00:44:50.300 --> 00:44:50.921]  Don't get a job.
[00:44:51.061 --> 00:44:52.021]  I don't care what you do.
[00:44:53.735 --> 00:44:56.058]  The inauguration, that's going to be a protest.
[00:44:56.478 --> 00:44:58.080]  But I think it'll be heavy security.
[00:44:58.400 --> 00:45:02.865]  Once we get through that, we're going to slowly start rebuilding America and make America great again.
[00:45:02.885 --> 00:45:03.506]  That's the slogan.
[00:45:03.526 --> 00:45:06.489]  Well, first we have to... Americanism, not globalism.
[00:45:06.509 --> 00:45:09.833]  But these people really, I mean, essentially want to take down America.
[00:45:10.811 --> 00:45:11.251]  Well, you're right.
[00:45:11.551 --> 00:45:13.112]  Like I said, there's never a... So what do we do?
[00:45:13.132 --> 00:45:15.734]  If there is an American flag, they're burning it, you know?
[00:45:15.834 --> 00:45:19.656]  I hope Donald Trump does not do anything to put Hillary Clinton in jail right now.
[00:45:20.056 --> 00:45:22.017]  I hope he waits until after Obama's out.
[00:45:22.478 --> 00:45:26.880]  Because if he does it now, and she's quote-unquote about to go to jail, then Obama can pardon her.
[00:45:27.320 --> 00:45:27.701]  I hope he...
[00:45:28.701 --> 00:45:33.863]  Holds his composure, maintains that, waits till Obama's out, and then hits her with everything.
[00:45:34.204 --> 00:45:36.905]  And then when her ass is about to go to jail, that's when we go to the streets.
[00:45:37.085 --> 00:45:38.485]  Because I want to go to that courtroom.
[00:45:38.525 --> 00:45:39.546]  I want to stand outside.
[00:45:39.566 --> 00:45:41.447]  I want to wear my Hillary for Prison t-shirt.
[00:45:41.687 --> 00:45:42.907]  I want to watch everybody.
[00:45:42.927 --> 00:45:48.370]  I want to see everybody in America who's been a part of this Hillary for Prison movement to come out to D.C., to wherever it is.
[00:45:48.630 --> 00:45:55.053]  And we sit out there, we march on wherever, New York, D.C., wherever this happens, and we watch her shackled in chains.
[00:45:55.393 --> 00:46:05.343]  Get taken away in a van, not a van that she has where she can get jacked up to go to these little rallies for 15 minutes and speak, but an actual jail cell van, a paddy wagon.
[00:46:05.383 --> 00:46:05.724]  That's right.
[00:46:05.744 --> 00:46:09.367]  I want to see her in an orange jumpsuit, shackled up and going to prison.
[00:46:09.588 --> 00:46:11.790]  And that, that will be the greatest day of my life.
[00:46:11.810 --> 00:46:15.313]  And don't think just because Trump is president that we're all going to relax right now.
[00:46:15.934 --> 00:46:17.916]  Oh no, our work has just begun.
[00:46:17.956 --> 00:46:18.337]  That's right.
[00:46:18.937 --> 00:46:21.898]  Well, we just put our first foot forward yesterday.
[00:46:21.918 --> 00:46:22.318]  That was it.
[00:46:22.658 --> 00:46:25.919]  Last night was just, alright, we're in the door, now it's time to go to work.
[00:46:26.119 --> 00:46:27.079]  Yeah, that's exactly it.
[00:46:27.199 --> 00:46:29.819]  Trump puts us in the door, and now we gotta get to work.
[00:46:30.560 --> 00:46:32.580]  And we're gonna take your calls here in a minute, folks.
[00:46:32.600 --> 00:46:34.680]  Thank you for supporting us at InfoWars.com.
[00:46:34.700 --> 00:46:37.381]  Please go to InfoWarsStore.com.
[00:46:37.741 --> 00:46:39.041]  That's how you support this broadcast.
[00:46:39.061 --> 00:46:46.703]  And I think we're all hoping that whatever goes on with any investigation into Hillary Clinton, that it's a RICO case, so that we can put all of these people in jail.
[00:46:47.003 --> 00:46:51.145]  Once again, folks, Owen Schroer, Darren McBreen, Joe Biggs, we got one more hour left to broadcast.
[00:46:51.185 --> 00:46:51.925]  We'll take your calls.
[00:46:52.225 --> 00:46:54.826]  Infowarsstore.com, that's how you support this broadcast.
[00:46:55.067 --> 00:46:55.707]  We'll be right back.
[00:46:57.308 --> 00:46:58.708]  We will prevail!
[00:47:01.089 --> 00:47:01.689]  We beat them!
[00:47:02.450 --> 00:47:08.953]  We beat them!
[00:47:08.993 --> 00:47:11.374]  You're listening to Alex Jones.
[00:47:13.169 --> 00:47:14.170]  Brain Force is here.
[00:47:14.711 --> 00:47:16.993]  Ladies and gentlemen, I've been on this the last few months.
[00:47:17.253 --> 00:47:25.100]  You probably noticed I've been more crazed, more focused, less brain fog, more energy, more special reports, and it's because of Brain Force.
[00:47:25.861 --> 00:47:29.444]  One of the worst things with most energy products is it's not sustainable, right?
[00:47:29.464 --> 00:47:31.806]  You're gonna crash and gonna feel really bad afterwards.
[00:47:32.167 --> 00:47:35.690]  This has a bunch of different antioxidants and compounds and polyphenols.
[00:47:35.730 --> 00:47:38.853]  Everybody's on these drugs to knock their brain out because the brain's so fried.
[00:47:39.353 --> 00:47:44.119]  We kept changing this formula over and over and over again until it became sort of a grand puzzle.
[00:47:44.700 --> 00:47:46.542]  For example, the L-Theanine inside of it.
[00:47:46.863 --> 00:47:51.288]  That is activated by the different compounds in the Yerba Mate that we put inside of it as well.
[00:47:51.469 --> 00:47:53.471]  This just increases the compounds you already have.
[00:47:54.092 --> 00:47:55.554]  This is what you're actually designed to run on.
[00:47:55.714 --> 00:47:55.954]  Exactly.
[00:47:55.974 --> 00:47:59.779]  It's kind of like a car will run on one form of junky gas, but it runs really good on what it's designed for.
[00:48:00.260 --> 00:48:07.529]  You will find Brain Force, Survival Shield X2, and other game-changing products at InfoWarsLife.com.
[00:48:07.809 --> 00:48:08.249]  Or call 888-253-3139.
[00:48:13.254 --> 00:48:17.660]  We have the new product at Infowarsandlife.com, BioTrue Selenium.
[00:48:17.740 --> 00:48:28.674]  We've had so many requests over the years for selenium and just recently we were able to source a certified organic bioavailable selenium from mustard seed extract.
[00:48:28.834 --> 00:48:33.757]  When you take selenium in the body, it actually benefits the detoxification systems in your body.
[00:48:33.877 --> 00:48:36.379]  It helps balance the thyroid gland.
[00:48:36.459 --> 00:48:37.960]  It helps detoxify.
[00:48:38.180 --> 00:48:41.002]  Selenium is another one of those absolute must-haves.
[00:48:41.042 --> 00:48:45.805]  The highest concentration of selenium is in the thyroid gland, but it's actually used all over the body.
[00:48:45.845 --> 00:48:52.049]  As a matter of fact, there's 25 genes in the body that are directly dependent upon selenium.
[00:48:52.110 --> 00:48:57.373]  So it really is an all-around nutrient that everybody really needs.
[00:48:58.814 --> 00:48:59.855]  Okay, this is so key.
[00:49:00.095 --> 00:49:04.400]  BioTrue Selenium is the product, the best selenium that we could bring you.
[00:49:04.420 --> 00:49:06.522]  We believe it's the best out there at a very, very low price.
[00:49:06.642 --> 00:49:10.106]  Exclusively available at InfowarsLive.com or by calling toll-free 888-253-3139.
[00:49:22.682 --> 00:49:25.385]  Welcome back to the InfoWars election special.
[00:49:25.785 --> 00:49:32.272]  When it's all said and done I think we'll be live for 60 plus hours without taking a break.
[00:49:32.432 --> 00:49:35.195]  And we're exhausted but at the same time we're fired up.
[00:49:35.515 --> 00:49:38.078]  Of course we're fired up because we got mega high energy.
[00:49:38.578 --> 00:49:39.439]  Welcome back folks.
[00:49:39.599 --> 00:49:41.061]  We've got John Bowne on the phone.
[00:49:41.101 --> 00:49:41.682]  He was the one
[00:49:42.302 --> 00:49:51.004]  In the video that we showed earlier dealing with these Trump protesters in Texas, the absolute brainwashed masses, the frontal lobe damaged imbeciles.
[00:49:51.284 --> 00:49:54.185]  Let's go ahead and bring John Bowne on to talk about what he witnessed.
[00:49:54.745 --> 00:49:58.106]  Now, John, Joe Biggs was assaulted dealing with these people today.
[00:49:58.126 --> 00:49:59.866]  So was Josh Owens.
[00:49:59.926 --> 00:50:00.666]  Josh Owens as well.
[00:50:00.686 --> 00:50:01.826]  Were you also assaulted, John?
[00:50:02.887 --> 00:50:05.367]  I was assaulted by lunacy, yeah.
[00:50:10.830 --> 00:50:36.995]  Actually, in the beginning, when I first walked up to the event where it all began, I, you know, that first interview that I had with a kid in the mohair suit there, I obviously, the people around me, you know, it sparked their interest, what I was saying back about Robert Byrd and, you know, and all the crimes that Hillary is actually responsible for and no one will take responsibility for.
[00:50:37.655 --> 00:50:38.536]  She's with her.
[00:51:07.920 --> 00:51:28.040]  I owe it all to Brain Force, by the way, because I went down there with no coffee, and I had one of these last Brain Force, and I popped that Brain Force, and man, that whole thing took like an hour and a half to happen, and it was pretty intense.
[00:51:29.451 --> 00:51:30.792]  Well, what else do you expect to see?
[00:51:30.832 --> 00:51:32.613]  Are you going to go back out tonight and tomorrow?
[00:51:32.633 --> 00:51:34.715]  Because from what I understand, they're going to continue.
[00:51:35.035 --> 00:51:36.796]  Yeah, it's going to be big tonight on 6th Street.
[00:51:37.897 --> 00:51:40.399]  Yeah, I mean, if the bad signal goes up, I'll be out there.
[00:51:40.499 --> 00:51:41.680]  But, uh... You know what?
[00:51:41.760 --> 00:51:44.362]  I think I just came up with a brilliant idea.
[00:51:45.343 --> 00:51:46.824]  If we go out there tomorrow...
[00:51:48.055 --> 00:51:54.637]  I think we should go to the store, buy a bunch of bags of Huggies diapers, and let's hand them Huggies diapers.
[00:51:55.317 --> 00:52:01.199]  Let's walk around handing these people diapers, be like, oh hey little children, hey little kids, do you need a diaper?
[00:52:01.700 --> 00:52:02.640]  Need a little dipey?
[00:52:04.229 --> 00:52:04.970]  See how they like that?
[00:52:05.050 --> 00:52:07.191]  I mean, that's what we're dealing with.
[00:52:07.351 --> 00:52:09.513]  They have no facts to back anything up.
[00:52:10.293 --> 00:52:15.637]  And they're literally out there crying in the streets about things that don't exist.
[00:52:15.937 --> 00:52:17.158]  Aw, little baby.
[00:52:17.558 --> 00:52:19.360]  Little baby needs a diaper, John.
[00:52:19.740 --> 00:52:21.461]  Little baby just needs a little dipey.
[00:52:21.481 --> 00:52:23.062]  Maybe a little nap nap.
[00:52:23.643 --> 00:52:24.703]  We'll take out binkies.
[00:52:24.743 --> 00:52:25.304]  Let's do this.
[00:52:25.464 --> 00:52:28.426]  Let's take out binkies, diapers, blankets.
[00:52:28.726 --> 00:52:29.727]  These babies just need a nap!
[00:52:29.747 --> 00:52:34.612]  I wonder if we have any more of that, uh, quadruple XL whatever... Underwear?
[00:52:37.995 --> 00:52:38.936]  Parachute underwear.
[00:52:40.198 --> 00:52:41.959]  The same stuff that Alex put over his head, remember?
[00:52:43.377 --> 00:52:43.657]  Yeah.
[00:52:44.318 --> 00:52:45.980]  These guys are such wusses, though.
[00:52:46.060 --> 00:52:55.248]  I mean, they're the type of people that'll punch you when you're not looking, kick Josh in the back, and they're just these little wimpy guys with, and all wearing, covering up their faces and everything.
[00:52:55.308 --> 00:52:58.591]  I mean, these guys, if I smacked one of these dudes, they'd be a splat on the wall.
[00:52:59.321 --> 00:53:01.744]  Oh absolutely, and they're scared too.
[00:53:02.284 --> 00:53:09.753]  I was walking along the side of one of them and I was trying to talk to the communists with the bandanas on their face because I love bothering those people.
[00:53:09.813 --> 00:53:10.734]  I love going after them.
[00:53:11.175 --> 00:53:17.382]  Especially now, you know that song, How You Like Me Now, that's our theme song right now because
[00:53:18.124 --> 00:53:21.448]  Uh, you know, they no longer have this power behind them.
[00:53:21.488 --> 00:53:25.313]  They no longer have the corruption of Obama and Hillary behind them to back them up.
[00:53:25.393 --> 00:53:28.697]  They're, they're like, you know, deer in the headlights right now.
[00:53:28.777 --> 00:53:34.484]  So I roll up next to this guy and I'm like, Hey, can you tell me why Trump has to go?
[00:53:34.524 --> 00:53:34.925]  And he says,
[00:53:36.061 --> 00:53:36.741]  Get away from me.
[00:53:56.707 --> 00:53:57.807]  You're nothing but trash.
[00:53:58.348 --> 00:53:59.228]  Well, here's the problem.
[00:53:59.268 --> 00:54:00.748]  Here's the problem with these people, John.
[00:54:01.489 --> 00:54:05.030]  Most of these people have probably never accomplished anything in their entire lives.
[00:54:05.490 --> 00:54:07.871]  They've never done anything to empower themselves.
[00:54:08.291 --> 00:54:09.711]  So they're completely powerless.
[00:54:10.071 --> 00:54:11.932]  They're completely, they have nothing to cling to.
[00:54:12.012 --> 00:54:20.675]  So what they do is, they get in this groupthink mentality, and then they actually get into the herd, the actual herd, and this is the first time they've ever felt empowered.
[00:54:21.135 --> 00:54:39.936]  So, it doesn't matter that it's not their movement, it doesn't matter that they did no investigation into this for themselves, they're told this movement exists, they see their brainwashed friends doing it, their brainwashed masses, they're in the herd think mentality, so then they're out there, and then when John Bowne questions them on the street, they have nothing to say because it's not actually their movement!
[00:54:40.396 --> 00:54:43.678]  Well, they're miserable because Trump won, but they've always been miserable.
[00:54:43.698 --> 00:54:45.478]  Their whole pathetic lives have been miserable.
[00:54:45.498 --> 00:54:58.585]  Right, well, and you know, Owen, I saw the video where Alex was confronted by the stateness at the abortion clinic, and they roll up in Jaguars, you know, and $70,000 cars, and then begin protesting as communists.
[00:54:59.205 --> 00:55:05.468]  I guarantee the majority of these people are trust fund babies, and they're all just mad at mommy and daddy, you know?
[00:55:07.812 --> 00:55:11.714]  Well, nobody wants to talk about that.
[00:55:11.734 --> 00:55:13.254]  I mean, that's an issue.
[00:55:13.414 --> 00:55:21.377]  Who knows how many issues derive from the fact that the family in America is something that's been decaying over the last decades.
[00:55:22.117 --> 00:55:26.179]  Alex Jones would tell you that social engineering, whether it is or not, regardless, it's happening.
[00:55:26.899 --> 00:55:29.400]  And I think that you're onto something with that.
[00:55:30.905 --> 00:55:33.187]  Well, you know, I'm curious.
[00:55:33.708 --> 00:55:37.331]  What do parents think of their kids out here protesting?
[00:55:37.371 --> 00:55:38.712]  These are college university students.
[00:55:38.772 --> 00:55:39.954]  Somebody's paying for them to go there.
[00:55:39.994 --> 00:55:43.877]  I don't know who it is, whether it's their parents, the banks, who knows what it is.
[00:55:44.378 --> 00:55:50.383]  But they're out here, they're students, but instead of going to this university of higher education,
[00:55:51.144 --> 00:56:04.029]  They're going to degrade themselves as far as their intelligence is concerned and then expose it in public on the streets and not be able to address an answer to a simple question, why are you out here protesting?
[00:56:04.589 --> 00:56:07.070]  I mean, is this the death of higher education?
[00:56:07.290 --> 00:56:13.652]  And then you catch what you believe is a student, you know, someone involved with the university at a higher level out there protesting too.
[00:56:13.672 --> 00:56:15.153]  I mean, what the hell is going on?
[00:56:15.473 --> 00:56:17.554]  Yes, it is the death of higher education.
[00:56:17.574 --> 00:56:25.959]  I got a game called Far Cry Primal, and you're like a Neanderthal, and the guy just runs around the club like, because he doesn't really know how to speak.
[00:56:26.459 --> 00:56:28.100]  That's literally what this reminds me of.
[00:56:28.380 --> 00:56:30.361]  When I go to these protests, I'm like, so what do you think?
[00:56:30.421 --> 00:56:31.642]  Why is Donald Trump a racist?
[00:56:38.308 --> 00:56:48.920]  This is what's sad though, this is sad State of the Union right now because in the past if you went to, and they've always kind of been left-leaning, but if you went to a university in the 90s, in the 80s, in the 70s, 60s, 50s...
[00:56:51.583 --> 00:56:57.606]  You talked to the smartest young people in America, more often than not.
[00:56:57.666 --> 00:57:00.628]  And it was actually a liberal, open-minded conversation.
[00:57:00.668 --> 00:57:01.208]  Absolutely.
[00:57:01.328 --> 00:57:02.669]  And then something happened, man.
[00:57:02.689 --> 00:57:06.191]  I mean, we're talking now they are the dumbest people in the country.
[00:57:06.673 --> 00:57:10.657]  The one with any sense, and he's there in the video in the middle, was the Trump supporter.
[00:57:11.077 --> 00:57:18.664]  And he was going up against Owen Schreier style, against everybody else.
[00:57:18.704 --> 00:57:24.690]  Maybe he learned from you, Owen, but he was there right in the middle of it all, and he was surrounded by a crowd.
[00:57:24.790 --> 00:57:26.992]  And then I interviewed him, and he knew what he was talking about.
[00:57:27.032 --> 00:57:28.354]  He knew everything was going on.
[00:57:28.874 --> 00:57:30.075]  Yeah, there was a guy who ran up.
[00:57:30.115 --> 00:57:40.002]  He was, uh, I guess he was trying to drive through downtown and the traffic was all backed up because these little worthless garbage munchers were blocking traffic.
[00:57:40.262 --> 00:57:44.205]  So the guy jumped out of his car and he runs up and he goes, what the hell's going on?
[00:57:44.385 --> 00:57:45.666]  Why are you guys stopping traffic?
[00:57:45.686 --> 00:57:46.807]  He goes, and the lady's like,
[00:57:49.549 --> 00:57:51.530]  And he goes, Donald Trump's the president!
[00:57:51.550 --> 00:57:52.070]  Get over it!
[00:57:52.250 --> 00:57:52.530]  Trump!
[00:57:52.610 --> 00:57:52.890]  Trump!
[00:57:52.950 --> 00:57:53.210]  Trump!
[00:57:53.250 --> 00:57:59.192]  And this little lady with the red scarf, she's a little commie bastard, runs up and sucker punches this dude in the face.
[00:57:59.272 --> 00:57:59.612]  Oh my god.
[00:57:59.652 --> 00:58:00.352]  And runs off.
[00:58:00.952 --> 00:58:03.673]  And the dude's eyes just cut or whatever.
[00:58:03.693 --> 00:58:06.454]  And I'm like, wow, you're so tolerant, you nasty little...
[00:58:07.714 --> 00:58:09.655]  Well, we're talking about when we were in Eugene, Oregon.
[00:58:10.195 --> 00:58:15.137]  These protesters, they trapped the Trump supporters in the parking lot and wouldn't let them out.
[00:58:15.437 --> 00:58:17.438]  They were stuck there for hours and hours.
[00:58:17.458 --> 00:58:18.298]  They did that in Austin, too.
[00:58:18.318 --> 00:58:19.859]  That's what they did in Austin.
[00:58:20.079 --> 00:58:23.700]  And then when they finally let them out, they would throw shit and, you know, kick their cars and all that.
[00:58:23.720 --> 00:58:24.761]  That's exactly what they did in Austin.
[00:58:24.801 --> 00:58:25.861]  Absolutely ridiculous.
[00:58:25.881 --> 00:58:28.062]  How about the guy that went fishing with his daughter?
[00:58:28.362 --> 00:58:33.506]  Hey guys, by the way, before we go any further, we're on cable right now, so it's a family show.
[00:58:33.806 --> 00:58:33.886]  P.T.
[00:58:34.146 --> 00:58:34.567]  P.T.
[00:58:34.587 --> 00:58:37.309]  We're under federal regulations.
[00:58:37.889 --> 00:58:39.090]  Hello, Homeland Security.
[00:58:42.543 --> 00:58:46.845]  Yeah, this guy went fishing with his daughter and he hears some noises going on.
[00:58:46.865 --> 00:58:49.946]  He goes back, his truck's on fire because he had a Trump sticker on it.
[00:58:50.366 --> 00:58:51.746]  So, but here's the crazy thing, too.
[00:58:52.307 --> 00:58:54.888]  You know, because Obama's been in office for eight years, right?
[00:58:54.928 --> 00:58:56.588]  This wasn't going on after George Bush.
[00:58:56.628 --> 00:58:57.669]  People hated George Bush.
[00:58:57.969 --> 00:59:00.030]  This wasn't going on during Obama administration.
[00:59:00.070 --> 00:59:01.330]  People hated Obama, okay?
[00:59:01.650 --> 00:59:08.753]  I could sit here all day and come up with dozens, I mean, we've got lists over 70 plus times Barack Obama broke the law.
[00:59:09.213 --> 00:59:09.473]  Okay?
[00:59:09.753 --> 00:59:20.716]  You can sit here and make the case that it's Barack Obama's administration that has been one of the key factors in fomenting these protests and the racial tensions that have been happening in this country.
[00:59:20.736 --> 00:59:23.437]  But again, we're not out protesting, folks!
[00:59:23.997 --> 00:59:24.297]  Okay?
[00:59:24.717 --> 00:59:25.597]  I'm here working.
[00:59:25.737 --> 00:59:27.038]  I'm here trying to wake people up.
[00:59:27.338 --> 00:59:29.158]  But what do we see the Trump protesters do?
[00:59:29.558 --> 00:59:31.599]  Out on the streets with their signs, protesting.
[00:59:31.639 --> 00:59:32.779]  You try to ask them a question.
[00:59:33.059 --> 00:59:34.819]  They're completely clueless.
[00:59:34.980 --> 00:59:35.820]  Completely clueless.
[00:59:35.920 --> 00:59:36.220]  And then,
[00:59:37.000 --> 00:59:38.941]  They're being interviewed in the LA Times.
[00:59:39.402 --> 00:59:40.683]  Why are you out here protesting?
[00:59:40.943 --> 00:59:43.144]  Because of the devastation of a Trump election.
[00:59:43.164 --> 00:59:44.705]  The devastation, folks.
[00:59:44.745 --> 00:59:45.586]  I'm gonna throw up.
[00:59:45.746 --> 00:59:47.527]  Yeah, the devastation.
[00:59:47.767 --> 00:59:52.671]  I think, Owen, you got a great idea about the diapers because I seriously think... That's what we're gonna do.
[00:59:52.711 --> 00:59:55.653]  We're gonna hand these to... They're gonna begin wetting themselves.
[00:59:55.733 --> 00:59:57.314]  They're just completely afraid.
[00:59:58.004 --> 01:00:00.606]  You know, they're devastated by the reality.
[01:00:15.834 --> 01:00:16.775]  Maybe even Megyn Kelly.
[01:00:16.895 --> 01:00:17.516]  Megyn Kelly?
[01:00:17.576 --> 01:00:19.417]  She looks like she's a little upset.
[01:00:19.457 --> 01:00:20.018]  You know what though?
[01:00:20.078 --> 01:00:23.401]  I'll at least give Skeletor Megyn Kelly a little credit.
[01:00:23.601 --> 01:00:27.824]  When she was covering the election last night, she was at least the whole time like, Trump's kicking ass.
[01:00:27.864 --> 01:00:29.165]  Why are we not acting?
[01:00:29.206 --> 01:00:30.367]  Why haven't we announced Trump won?
[01:00:30.387 --> 01:00:31.247]  What are we doing up here?
[01:00:31.267 --> 01:00:31.668]  Trump won.
[01:00:32.543 --> 01:00:37.185]  And they were like, Trump can't win, it's not possible.
[01:00:37.245 --> 01:00:40.847]  We saw the polls, the polls, the polls, the polls, all the polls, all the polls.
[01:00:41.067 --> 01:00:46.049]  These people were running polls 24 hours before the election saying Hillary Clinton was going to win by double digits.
[01:00:46.590 --> 01:00:50.211]  New York Times 87% chance Hillary's going to win.
[01:00:50.231 --> 01:00:50.972]  What was the narrative?
[01:00:51.992 --> 01:00:58.095]  The narrative the morning of the election was it's going to be the earliest declaration ever for Hillary Clinton.
[01:00:58.435 --> 01:01:06.218]  New York Times have the polls literally Trump down by double digits and then at 830 literally Trump goes up double digits, Clinton goes down.
[01:01:06.258 --> 01:01:07.699]  These people are total phonies!
[01:01:07.939 --> 01:01:08.439]  John Bowne.
[01:01:09.000 --> 01:01:10.700]  Yeah, there's snide remarks.
[01:01:10.720 --> 01:01:14.222]  I was watching last night as the last votes were coming in and
