[00:00:02.040 --> 00:00:03.181]  All right, folks, we're live.
[02:07:16.115 --> 02:07:25.101]  With concentrated organic compounds like cilantro, milk thistle, fulvic acid, orange peel, zeolites, and others, Deep Cleanze doesn't hold back.
[02:07:25.541 --> 02:07:34.406]  Instead of buying five, six, or even seven different cleansing products, we use decades-old scientific research to put together the Rolls-Royce of all-in-one cleansing.
[02:07:34.406 --> 02:07:41.511]  Look, there's a reason Deep Cleanse is the only product on the market that uses our proprietary Spike G-Rex herbal processing technique.
[02:07:41.511 --> 02:07:46.894]  We use only the highest quality organic herbs backed by serious research, and we still bring it to you the best.
[02:07:47.174 --> 02:07:52.777]  If you wish to find deep cleanse and experience the all-in-one cleansing, visit Infowarslife.com.
[02:07:52.777 --> 02:07:54.718]  That's Infowarslife.com or call 888-253-3139.
[02:08:14.853 --> 02:08:18.235]  Ladies and gentlemen, we're getting former Congressman Ron Paul hooked up.
[02:08:18.235 --> 02:08:22.437]  We're getting former Congressman Ron Paul hooked up via Skype.
[02:08:29.770 --> 02:08:38.652]  Right now to get into election 2016 to break down the War Powers Act that they're trying to basically rewrite right now.
[02:08:38.652 --> 02:08:42.393]  Congress is writing the president a blank check for war.
[02:08:42.393 --> 02:08:50.155]  The legislation makes the unconstitutional Iraq war authorization of 2002 look like a walk in the park is his quote.
[02:08:50.155 --> 02:08:54.296]  And then last week a US senator
[02:08:55.575 --> 02:08:56.697]  That is just incredible.
[02:08:56.697 --> 02:09:03.808]  Chris Murphy of Connecticut came out and called it Worldwide Military Martial Law and it got no coverage.
[02:09:03.808 --> 02:09:09.418]  We're going to talk to the Congressman here in just a moment about this and just what's coming next.
[02:09:09.418 --> 02:09:09.818]  Here it is.
[02:09:10.945 --> 02:09:19.307]  Madam President, today I wanted to come down to the floor and speak very briefly about a resolution that the Majority Leader introduced, I believe, earlier today.
[02:09:19.307 --> 02:09:30.770]  This is an authorization for military force resolution that apparently purports to give the President legal authority to conduct military operations against ISIS.
[02:09:30.770 --> 02:09:38.272]  Before we break for the weekend, Madam President, I thought it was important to come to the floor to explain why, very briefly, to my colleagues,
[02:09:40.934 --> 02:09:46.259]  Excuse me, to explain what this resolution really is.
[02:09:46.259 --> 02:09:54.407]  This resolution is a total rewrite of the War Powers Clause of the United States Constitution.
[02:09:54.407 --> 02:09:56.249]  Let's be clear about that.
[02:09:56.249 --> 02:10:03.216]  It is essentially a declaration of international martial law, a sweeping transfer
[02:10:03.948 --> 02:10:06.789]  Now that is the sitting Senator from Connecticut, Chris Murphy.
[02:10:25.885 --> 02:10:27.527]  He came out last week with that.
[02:10:27.527 --> 02:10:28.548]  We came out.
[02:10:28.548 --> 02:10:30.150]  Ron Paul came out.
[02:10:30.150 --> 02:10:33.994]  No coverage other than Defense One of this.
[02:10:33.994 --> 02:10:36.336]  And this is by the Senate leader.
[02:10:36.336 --> 02:10:40.981]  So I really appreciate former Congressman Ron Paul joining us via video connection.
[02:10:40.981 --> 02:10:41.441]  We're good to go.
[02:11:01.354 --> 02:11:05.056]  Now, when I talk about this stuff, some people say, oh, that's Alex Jones, he's an alarmist.
[02:11:05.056 --> 02:11:06.177]  But what about when a U.S.
[02:11:06.177 --> 02:11:10.680]  Senator does it, or someone super respected like Ron Paul, Dr. Paul?
[02:11:10.680 --> 02:11:12.301]  In the past, this would have gotten covered.
[02:11:12.301 --> 02:11:20.006]  The fact that there's crickets chirping in the background tells me something big is going on.
[02:11:20.006 --> 02:11:22.488]  Former Congressman, thank you so much for taking time out to join us.
[02:11:26.545 --> 02:11:27.085]  You're welcome.
[02:11:27.085 --> 02:11:28.906]  It's good to be with you today, Alex.
[02:11:28.906 --> 02:11:32.387]  We've got about a three-second delay today, so I'm going to pretty much try to give you the floor, sir.
[02:11:32.387 --> 02:11:33.467]  Let's get into this.
[02:11:33.467 --> 02:11:35.348]  I mean, this is everything we've warned of.
[02:11:35.348 --> 02:11:41.350]  Obviously, we're not saying it's imminent tanks in the streets, but it's just part of this soft, creeping frog in the pot, sir.
[02:11:45.717 --> 02:11:51.341]  Yeah, this once again is giving more authority to the President and taking it away from the Congress.
[02:11:51.341 --> 02:11:53.823]  This is sort of a traditional trend.
[02:11:53.823 --> 02:11:59.907]  It means that the Congress is absent, AWOL, because they don't want the responsibility.
[02:11:59.907 --> 02:12:01.008]  This issue came up
[02:12:01.648 --> 02:12:13.712]  As we were talking about the authority to go into Iraq and other places, and it was always, even when we had a Republican president, Republican, the Congress didn't want to go along with it.
[02:12:13.712 --> 02:12:15.572]  The Democrats didn't want to go along with it.
[02:12:15.572 --> 02:12:19.454]  They don't want to assume any responsibility, so they'd rather give up their prerogatives.
[02:12:19.454 --> 02:12:29.617]  It's one of the main, major mysteries of our country, why the founders worked so hard to allow these powers to be put into the hands of the body that's supposed to be closest to the people.
[02:12:30.137 --> 02:12:30.457]  I think?
[02:13:00.337 --> 02:13:03.381]  But you know, they'll do pretty much what they want.
[02:13:03.381 --> 02:13:10.108]  Remember when we were opposing the Congress voting on an authorizing bombing of Syria and the people didn't want it?
[02:13:10.108 --> 02:13:13.032]  And Obama backed off.
[02:13:13.032 --> 02:13:14.634]  Yet he went ahead and did the bombing anyway.
[02:13:15.094 --> 02:13:16.935]  So, it's out of control.
[02:13:16.935 --> 02:13:24.901]  It's this endorsement and this fanaticism of endorsing this concept that actually was born with Woodrow Wilson.
[02:13:24.901 --> 02:13:27.804]  We're responsible for making the world safe for democracy.
[02:13:27.804 --> 02:13:40.073]  Now that we are the sole superpower and we have the sole control of the reserve currency of the world, and people do depend on us, at least for now, that we can get away with this.
[02:13:40.433 --> 02:13:41.714]  But it's very, very dangerous.
[02:13:41.714 --> 02:13:44.156]  That senator was very great on that statement.
[02:13:44.156 --> 02:13:50.242]  I wish he took that same non-interventionist policy with economic issues, but that's another story.
[02:13:50.242 --> 02:13:59.731]  But he was exactly right on that, and Connecticut must be pretty good because the former senator there voted against the war going into Iraq.
[02:13:59.731 --> 02:14:01.973]  I think he was the only senator that voted against it.
[02:14:02.333 --> 02:14:03.434]  I don't think so.
[02:14:19.480 --> 02:14:22.602]  They're thinking about how soon there's going to be a Republican president.
[02:14:22.602 --> 02:14:29.527]  And besides, I don't think whether you have the Republican president, at least tradition has it, or a Democratic president, they're all the same people.
[02:14:29.527 --> 02:14:36.813]  So whether they give it to Obama for a year, most people assume whether it's Hillary or a Republican.
[02:14:37.113 --> 02:14:42.596]  They're all, both sides will be authoritarian and they're going to make use of this.
[02:14:42.596 --> 02:14:44.437]  But it's very, very dangerous.
[02:14:44.437 --> 02:14:48.579]  It's an attack on liberty that should alert the American people.
[02:14:48.579 --> 02:14:55.062]  But unfortunately, we in the liberty movement have a lot of work to do to wake up the American people.
[02:14:58.208 --> 02:15:02.431]  This, for those that have read history like yourself, is just very obvious.
[02:15:02.431 --> 02:15:15.542]  It's confirmation of the march into totalitarianism, just like we saw the spending authorization that they put through that gave the president a blank check.
[02:15:15.542 --> 02:15:24.729]  They're doing all of these unprecedented things now, when there was months of debating, as you know, the big Iraq war resolution that you said was way too broad and opposed.
[02:15:25.550 --> 02:15:34.659]  And now they're just doing things that would, you know, turn heads if Putin did something like this, or if the Chinese did something like this.
[02:15:34.659 --> 02:15:38.142]  I mean, why do you think they're suddenly doing this?
[02:15:38.142 --> 02:15:43.627]  And why would Mitch McConnell want to put into something like this in place?
[02:15:43.627 --> 02:15:46.450]  And then why would the media not make a big deal out of it?
[02:15:50.267 --> 02:15:54.129]  Yes, and it wasn't up front, you know.
[02:15:54.129 --> 02:16:03.275]  It was done on a Friday in the middle of a snowstorm, hoping that it wouldn't be covered, and it wasn't covered, and yet he felt compelled to do this.
[02:16:03.275 --> 02:16:14.962]  So, yes, I think potentially there's always this waking up the next morning and a major conflict going on, but it's very suspicious that they're covering their bases because I think
[02:16:15.322 --> 02:16:23.087]  You know, there is talk about expanding the war, you know, in Syria and even in Libya again.
[02:16:23.087 --> 02:16:24.328]  And everything is breaking down.
[02:16:24.328 --> 02:16:28.070]  Nothing worked in Iraq and nothing worked in Afghanistan.
[02:16:28.070 --> 02:16:31.693]  And there's a lot of people now, you know, the Republicans aren't very good.
[02:16:32.193 --> 02:16:32.433]  I'm good.
[02:16:53.195 --> 02:16:54.256]  Anything at all.
[02:16:54.256 --> 02:17:14.428]  It's just an open-ended and this this is the reason why it it does raise the question is do we have we just gone along with at least the presentation of what would be a military dictatorship and they may well have either plans or fears that we're not all privy to.
[02:17:14.428 --> 02:17:17.490]  Of course those of us who have been concerned are always looking
[02:17:18.010 --> 02:17:21.913]  For the expansion of presidential powers and that's really the culprit.
[02:17:21.913 --> 02:17:44.651]  You mentioned the economic factors and how they get together and spend that money and you know it's just remember the pictures of Boehner and Pelosi's arm-in-arm and passing these budget and then our new speaker went along and and passed that budget which was atrocious budget and yet it was leadership on both sides and everybody wants reform.
[02:17:45.431 --> 02:17:48.974]  Uh, except, uh, in the areas that they don't want reform.
[02:17:48.974 --> 02:17:57.422]  Because, other than for Rand, I think he's the only one that's taken the position that we don't have to spend another trillion dollars on militarism.
[02:17:57.422 --> 02:17:59.043]  What we need is a common sense.
[02:17:59.043 --> 02:17:59.424]  Absolutely.
[02:17:59.424 --> 02:18:00.465]  You know what I'm saying?
[02:18:00.465 --> 02:18:03.988]  Get out of these hot spots and don't go aggravating people.
[02:18:04.528 --> 02:18:26.349]  Yes sir, Dr. Paul, I've supported your son, I was your president for the last two years, and he was still number one six, seven months ago, and then now the media and all the manipulation has helped try to push him out of there, but separately, the thing I'm most proud of what he did, and I wish that he may be doing, I don't see it in the media, is come back and say, you know, double down on what Trump said, say, look,
[02:18:27.270 --> 02:18:29.631]  Forget just not letting all Muslims in the country.
[02:18:29.631 --> 02:18:31.912]  We are going to end what's happening in Syria.
[02:18:31.912 --> 02:18:32.913]  Our government started it.
[02:18:32.913 --> 02:18:45.839]  Obama started it with the neocons and the rhinos and name the names of Graham and the other senators like McCain and say you helped fund Al Qaeda, you helped fund ISIS.
[02:18:45.839 --> 02:18:49.001]  That's what your son was saying boldly three years ago.
[02:18:49.001 --> 02:18:51.862]  Then Cruz followed him and said we're not Al Qaeda's air force.
[02:18:52.162 --> 02:18:56.887]  He helped lead the military to say no, and General Dempsey, the chairman, to say no.
[02:18:56.887 --> 02:19:05.116]  That was an incredible Americana moment of stopping boots on the ground, toppling Assad, putting Al-Qaeda, ISIS in control.
[02:19:05.116 --> 02:19:08.140]  And then, now, we haven't heard as much about that.
[02:19:08.140 --> 02:19:12.044]  I think that's something that could bring your son right back to the front of the race if he comes out.
[02:19:12.324 --> 02:19:16.167]  And says, look, I'm not the guy saying, you know, stop what's happening in Syria now.
[02:19:16.167 --> 02:19:19.869]  I'm the one that said three years ago, stop it, because that is so important.
[02:19:19.869 --> 02:19:21.571]  What do you say to that with election 2016 here, sir?
[02:19:27.318 --> 02:19:38.045]  Well, the whole thing is, is the American taxpayer and the American people suffer from the consequences of believing that it's necessary for our national security, which is a complete lie.
[02:19:38.045 --> 02:19:42.768]  You know, lies took us into the Iraq War, and the lies continue.
[02:19:42.768 --> 02:19:46.851]  Right now it's created this migration of millions of people.
[02:19:46.851 --> 02:19:49.413]  Europe is much more vulnerable than we are.
[02:19:49.413 --> 02:19:50.934]  We have our problems here.
[02:19:50.934 --> 02:19:55.217]  But the American taxpayer pays for this, and we pay for it by debt.
[02:19:55.217 --> 02:19:57.018]  And, you know, they claim we have a
[02:19:57.638 --> 02:20:03.105]  Decent economy, and we don't have to worry that much, and jobs are coming back, and all that nonsense.
[02:20:03.105 --> 02:20:15.801]  But we're paying for it, the militarism, and there's a huge debt, and Europe is breaking out with a major crisis, and you're going to see throngs of immigrants causing problems.
[02:20:16.261 --> 02:20:21.584]  And then the taxpayer, in our country especially, will be taxed for this.
[02:20:21.584 --> 02:20:25.927]  One of my approaches was quit subsidizing something, you won't have so much of it.
[02:20:25.927 --> 02:20:29.729]  And immigration is totally subsidized and rewarded, they come in.
[02:20:29.729 --> 02:20:33.572]  So I would say that you've got to cut off the subsidies.
[02:20:33.572 --> 02:20:44.699]  But right now, even if you cut off the freebies, like all free medical care and education, that we'll have to spend money for maintaining
[02:20:45.599 --> 02:20:49.620]  You know, law and order where people aren't burning our cities down.
[02:20:49.620 --> 02:20:56.023]  But that is, this is a predictable event because of the foreign policy.
[02:20:56.023 --> 02:21:02.085]  I really think that you cannot look at our economic problems without looking at the foreign policy.
[02:21:02.085 --> 02:21:07.247]  Because the foreign policy, so many of them are saying, you know what, we need more of the past.
[02:21:07.247 --> 02:21:08.247]  It's sort of like the Fed saying,
[02:21:08.547 --> 02:21:11.988]  Well, we have problems, so we have to print more money and use more debt.
[02:21:11.988 --> 02:21:20.691]  In foreign policy, we get involved over there and we precipitate the hatred and the blowback and all these events and then what do they say?
[02:21:20.691 --> 02:21:22.512]  Well, kill more Muslims!
[02:21:22.512 --> 02:21:24.632]  And I don't think that's going to be the solution.
[02:21:24.632 --> 02:21:26.333]  We need a new foreign policy.
[02:21:26.553 --> 02:21:34.316]  Dr. Paul, I want to, in the few minutes we have left, get into the economy that you predicted and a few other issues and get your take on election 2016 and some other points.
[02:21:34.316 --> 02:21:37.237]  But looking at Europe and the U.S.
[02:21:37.237 --> 02:21:43.079]  and others, he's stabilizing it, funding radicals in the Arab Spring, putting the radicals in Libya, Syria and Egypt.
[02:21:43.579 --> 02:21:47.621]  Now, bringing them in, knowing they're going to shoot and kill people and rape and murder every day.
[02:21:47.621 --> 02:21:49.642]  I mean, I have stacks of headlines and video.
[02:21:49.642 --> 02:21:50.582]  I know you're a newshound.
[02:21:50.582 --> 02:21:55.484]  You've never been on the show that you didn't know about a story I mentioned.
[02:21:55.484 --> 02:21:56.264]  So you're informed.
[02:21:56.264 --> 02:21:58.145]  You know how crazy it is.
[02:21:58.145 --> 02:21:59.646]  So it has to be a plan.
[02:21:59.646 --> 02:22:06.629]  Why would the socialists and the elites want to bring in dark age level, anti-female, anti-liberty
[02:22:07.609 --> 02:22:20.323]  Crazies not all the Middle East is like that, but we're bringing in you know from the really bad areas What is the collective West doing because it's the same policy as you know from the US to Canada to Germany to France What is happening dr. Paul?
[02:22:24.363 --> 02:22:32.949]  Well, this has always bothered me about the deliberate policy that seems to be evil and backfires and stupid.
[02:22:32.949 --> 02:22:42.175]  And it was, you know, even reading about the history of going into World War II, and it would say that, well, they knew what was going to happen to Pearl Harbor.
[02:22:42.175 --> 02:22:46.198]  That story, I said, nobody could conceivably allow that to happen.
[02:22:46.198 --> 02:22:49.280]  But when you read and study it, they have ulterior motives.
[02:22:49.560 --> 02:22:56.628]  They have ulterior motives, saying, well, how are we going to mobilize the American people to support it?
[02:22:56.628 --> 02:23:00.311]  How can we use our propaganda to support certain policy?
[02:23:00.311 --> 02:23:03.995]  And they get around to saying, well, if that's the price you have to pay, that's the price we have to pay.
[02:23:03.995 --> 02:23:06.918]  And we've heard, even heard... So it's a giant false flag.
[02:23:06.918 --> 02:23:09.721]  ...say that 500,000 children died in Obama.
[02:23:09.721 --> 02:23:11.023]  Yeah, yeah.
[02:23:11.023 --> 02:23:11.603]  So they do that.
[02:23:12.404 --> 02:23:16.107]  Chaos is a benefit to people who want a negative revolution.
[02:23:16.107 --> 02:23:18.669]  I want a peaceful revolution toward liberty.
[02:23:18.669 --> 02:23:26.236]  But there's others who would like to see revolution out of fear so that they succumb to saying, government take care of me, economically.
[02:23:26.236 --> 02:23:27.316]  I want to be the kingpin.
[02:23:27.316 --> 02:23:29.298]  I want to take over the world.
[02:23:29.298 --> 02:23:33.281]  So they actually use and deliberately cause this chaos.
[02:23:33.281 --> 02:23:37.425]  But a lot of people don't want to believe that because it's hard to
[02:23:37.745 --> 02:23:46.614]  You know, show the literal proof because what you're doing, what we're doing is talking about motivations and sometimes it's just as hard to believe that people like that exist in our government.
[02:23:46.614 --> 02:23:50.437]  But it's getting a little easier for me to accept that as the years go on.
[02:23:50.437 --> 02:23:52.839]  Dr. Ron Paul, we've only got a few minutes left.
[02:23:52.839 --> 02:24:00.767]  I want to ask you about a point that ties together and then ask you to promote the radio programs you're doing, the syndicated TV shows.
[02:24:00.767 --> 02:24:01.568]  It's really growing.
[02:24:02.088 --> 02:24:18.898]  The real revolution, though, is the grassroots now, not just coming 50,000 at a pop to your rallies, but actually sending your links out, your videos out, our videos out, subscribing to your newsletters, really continuing that awakening and that revolution against the socialist offering of Bernie Sanders and Hillary.
[02:24:18.898 --> 02:24:23.200]  They're going to use the crisis they helped create, as you've always warned, to bring in even more control.
[02:24:23.200 --> 02:24:27.763]  We've reached that crossroads where Donald Trump knows he can just go do his own debate
[02:24:28.143 --> 02:24:29.603]  Get more viewers.
[02:24:29.603 --> 02:24:32.164]  Well, we can do that, too, for our message.
[02:24:32.164 --> 02:24:35.065]  So I think we've reached the point where it's an information war.
[02:24:35.065 --> 02:24:38.386]  Can you speak to that and then tie it in to the economy?
[02:24:38.386 --> 02:24:40.126]  Royal Bank of Scotland, sell everything.
[02:24:40.126 --> 02:24:42.187]  George Soros, sell everything.
[02:24:42.187 --> 02:24:43.887]  New banker bailouts on the horizon.
[02:24:43.887 --> 02:24:47.308]  The big event you've warned of, it appears, is in with sites.
[02:24:47.308 --> 02:24:51.569]  So media revolution, A, websites we should visit, and then B, the economy, sir.
[02:24:55.680 --> 02:24:58.282]  Yeah, and I think we are moving rather rapidly.
[02:24:58.282 --> 02:25:10.751]  I was on an interview yesterday where they were trying to pin me down, and I don't like to do timing so much, but I really said by the end of this year it's going to be pretty evident to most Americans that we really are in a recession, depression.
[02:25:10.751 --> 02:25:21.438]  And we've always been, even though the government claims all things are okay, but they never look at the middle class and half of the population who is suffering, all the kids are still living at home, and all the debt that we have.
[02:25:21.438 --> 02:25:22.359]  So there's a big difference.
[02:25:22.779 --> 02:25:24.320]  I continue to work on this message.
[02:25:24.320 --> 02:25:33.605]  You've known me for a long time, and I've used various things, whether I'm as a congressman, or whether I'm a candidate on a national stage, or whether I'm writing newsletters.
[02:25:33.605 --> 02:25:38.648]  But right now, I'm spending a lot of time on trying to get this message out through the YouTube.
[02:25:38.648 --> 02:25:44.831]  Our YouTube channel is growing, and I'd like people to take a look at it, the Ron Paul Liberty Report on YouTube.
[02:25:45.671 --> 02:26:01.377]  Because numbers make a difference, and it's spreading, and it takes a while, but I think you alluded to the fact that when you're a politician or in office, you might get a little bit more attention, and I find that to be the case.
[02:26:01.377 --> 02:26:09.820]  But there's still millions of people out there that are looking for information, and you've done a great job in finding those people.
[02:26:10.200 --> 02:26:12.180]  But I know that it's a little more difficult.
[02:26:12.180 --> 02:26:22.323]  That is why I resort to getting our program out because the use of short videos in the campaign went very well in spreading a message.
[02:26:22.323 --> 02:26:24.323]  I'm going to continue to do that.
[02:26:24.323 --> 02:26:33.825]  But most important is trying to alert people to a philosophy of liberty and not for people to be despondent over this because I think we're making great inroads.
[02:26:33.825 --> 02:26:37.626]  We're making inroads on some nullification of federal laws.
[02:26:37.626 --> 02:26:38.986]  People are standing up against these
[02:26:39.266 --> 02:26:39.406]  Sure.
[02:26:39.406 --> 02:26:45.656]  Ridiculous drug laws that put people in prison for life or non-violent crime.
[02:26:45.656 --> 02:26:45.976]  Oh, I agree.
[02:26:45.976 --> 02:26:54.989]  People are waking up, but they have a long way to go and they have to realize that we have this obligation for our own sake as well as for the sake of our country.
[02:26:55.805 --> 02:27:02.186]  All right, well thank you so much for joining us and we're obviously going to be watching the debates and following everything that's happening.
[02:27:02.186 --> 02:27:11.268]  A lot can happen still as we go into these caucuses, but in the final equation out of all the candidates obviously we'd like, you know, Rand Paul to be in there.
[02:27:11.268 --> 02:27:15.149]  Is there anybody else that we know is a constitutionalist?
[02:27:15.149 --> 02:27:17.170]  I mean what about Hillary?
[02:27:17.170 --> 02:27:18.230]  Do you think the elite in
[02:27:18.410 --> 02:27:20.872]  Just a quick answer because I know you have to go to another program.
[02:27:20.872 --> 02:27:26.377]  Do you think that the establishment is getting ready to throw her overboard and bring in somebody like Sanders or Biden?
[02:27:26.377 --> 02:27:28.079]  Because it looks like they may indict her.
[02:27:32.344 --> 02:27:38.326]  Yeah, I think right now that looks like the case, and I thought they never would, so it must be pretty bad.
[02:27:38.326 --> 02:27:46.790]  I'm still suspecting that it'll be neither Sanders or Clinton that they'll, you know, bring in Biden or somebody else like that.
[02:27:46.790 --> 02:27:49.031]  You know, and people say, well, it's way, way too late.
[02:27:49.031 --> 02:28:01.236]  But, you know, back when Johnson was in office and, you know, said he wasn't going to run again, I think that might have been in March of the election year, and they put it together.
[02:28:01.596 --> 02:28:04.578]  So, yes, there's still time for them to do that.
[02:28:04.578 --> 02:28:19.068]  But to look for an alternative, the only one that even approaches it, even talks about it and understands what a non-interventionist foreign policy and an economic policy and anti-Fed position is, only Rand is talking about this.
[02:28:19.068 --> 02:28:23.752]  But then again, you know, that's the message that they don't want to have heard.
[02:28:23.752 --> 02:28:31.137]  And, of course, we faced that same problem when I was running, even when I would do well in election or in polling.
[02:28:31.477 --> 02:28:33.339]  You know, they just refuse it.
[02:28:33.339 --> 02:28:55.998]  But they are very, very fearful of anybody talking about a foreign policy that challenges a military-industrial complex, because they are very, very powerful, and they're in cahoots with the Federal Reserve, and that's how a lot of evil is done in this country, because of the corporatism in the Federal Reserve and the banking system, and now the medical system works with them too, and that's why they do so well.
[02:28:56.038 --> 02:28:57.799]  That's right, a takeover by the crony capitalists.
[02:28:57.799 --> 02:28:59.300]  Well, I just want to say this, sir.
[02:28:59.300 --> 02:29:00.781]  You look great for your age.
[02:29:00.781 --> 02:29:06.124]  You look even younger when I've seen you out there on the trail and in person and on TV than you looked even five years ago.
[02:29:06.124 --> 02:29:09.526]  So I guess it's been good being out of D.C.
[02:29:09.526 --> 02:29:12.408]  and we're so glad to see you looking so healthy and so young, sir.
[02:29:16.650 --> 02:29:17.410]  Thank you very much.
[02:29:17.410 --> 02:29:18.511]  It was nice being with you today.
[02:29:37.056 --> 02:29:38.698]  Election coverage from Iowa.
[02:29:38.698 --> 02:29:39.919]  Richard Reeves.
[02:29:39.919 --> 02:29:42.322]  And he's going to be telling us what's coming up tonight.
[02:29:42.322 --> 02:29:46.947]  7 o'clock to right into 11 o'clock or so with our live coverage of Trump.
[02:29:46.947 --> 02:29:47.387]  Everything.
[02:29:47.387 --> 02:29:48.268]  It's all coming up tonight.
[02:29:48.268 --> 02:29:49.329]  We're on the march.
[02:29:49.329 --> 02:29:51.852]  The empire's on the run.
[02:29:51.852 --> 02:29:54.535]  Alex Jones and the GCN Radio Network.
[02:29:59.759 --> 02:30:00.039]  U.S.
[02:30:00.039 --> 02:30:09.229]  scientists have urged the World Health Organization to take urgent action over the Zika virus, which they say has explosive pandemic potential.
[02:30:09.229 --> 02:30:15.955]  Zika is linked to shrunken brains in children, and it's causing panic in Brazil where thousands of people have already been infected.
[02:30:16.596 --> 02:30:22.841]  Some countries are urging women of childbearing age to wait until more is known about the virus to become pregnant.
[02:30:22.841 --> 02:30:26.745]  Microcephaly can cause brain damage in babies or even death.
[02:30:26.745 --> 02:30:37.474]  Health officials said 23 countries are affected by mosquitoes that are spreading the virus locally, while some people are transporting the virus after traveling to affected countries.
[02:30:37.474 --> 02:30:38.915]  The CDC said the U.S.
[02:30:38.915 --> 02:30:42.238]  has 31 confirmed cases in 11 states and D.C.
[02:30:43.619 --> 02:30:45.301]  There is no cure for Zika.
[02:30:45.301 --> 02:30:52.307]  For now, officials urge wearing mosquito repellent and absolutely leave no standing water on your property.
[02:30:52.307 --> 02:30:55.490]  Stay tuned to InfoWars.com for more updates.
[02:30:55.490 --> 02:30:57.371]  Leanne McAdoo for InfoWars.com
[02:30:58.413 --> 02:31:01.935]  When cells become toxic, they die early and aging sets in.
[02:31:01.935 --> 02:31:10.179]  No one has put together a formula that focuses directly on brain health, nerve growth factors, and optimizing your cellular energy at the same time.
[02:31:10.179 --> 02:31:15.582]  Just one of the key compounds, BioPQQ, is backed by major clinical studies.
[02:31:15.582 --> 02:31:18.103]  You want the best that's out there at the lowest price anywhere?
[02:31:18.103 --> 02:31:20.224]  We now have the synergistic solution.
[02:31:20.224 --> 02:31:24.407]  Secure your DNA force today at InfoWarsLife.com or call toll-free 888-253-3139.
[02:31:28.340 --> 02:31:29.241]  Shower Filters.
[02:31:29.241 --> 02:31:30.962]  We're introducing the best yet.
[02:31:30.962 --> 02:31:35.044]  The brand new ProPure ProMax High Performance Shower Filter.
[02:31:35.044 --> 02:31:39.867]  It removes and reduces over 200 contaminants while preserving a strong, powerful flow.
[02:31:39.867 --> 02:31:46.931]  This new 4-stage filtration process helps protect the largest organ in your body, your skin, from the unhealthy contaminants in the water.
[02:31:46.931 --> 02:31:53.876]  You can find more details on this amazing new filter and free shipping at InfowarsStore.com or call 888-253-3139 to order your ProMax Shower Filter from ProPure today.
[02:31:58.218 --> 02:32:05.425]  For all of recorded history, civilizations around the world praised the health benefits of silver.
[02:32:05.425 --> 02:32:14.834]  At InfoWars Life, our mission is to bring you the highest quality, purest, cleanest, effective colloidal silver on the market today for the lowest price available.
[02:32:15.114 --> 02:32:22.476]  Now, Infowarslife.com has taken colloidal silver to the next level using a cutting-edge technique that is free of toxic artificial additives.
[02:32:22.476 --> 02:32:30.278]  Infowarslife.com developed Silver Bullet by closely working with one of the top silver manufacturing labs in the United States.
[02:32:30.278 --> 02:32:33.559]  We set out to bring you the very best at the lowest price.
[02:32:33.959 --> 02:32:38.943]  Find out more about the proprietary development of Silver Bullet at Infowarslife.com.
[02:32:38.943 --> 02:32:43.346]  In these times, it's essential to have high-quality, loyal silver on hand.
[02:32:43.346 --> 02:32:46.369]  No survival chest is complete without Silver Bullet.
[02:32:46.369 --> 02:32:49.511]  Exclusively available at Infowarslife.com.
[02:32:49.511 --> 02:32:53.855]  Secure your Silver Bullet today at Infowarslife.com or by calling toll-free 888-253-3139.
[02:33:01.075 --> 02:33:04.680]  Crashing through the lies and disinformation.
[02:33:04.680 --> 02:33:08.825]  It's Alex Jones on the GCN Radio Network.
[02:33:39.850 --> 02:33:46.553]  We are back, ladies and gentlemen, from the Infowars News Center in Austin, Texas.
[02:33:46.553 --> 02:34:07.304]  Liberty, justice for all, goodwill, not wanting to have a war with the feds, not wanting to have a war with the white people, the black people, the whatevers, just wanting to have a free country, low taxes, good schools, decent court system, have a fair shake, level playing field, don't want to be run by George Soros and offshore banks that are tax-exempt,
[02:34:08.117 --> 02:34:22.561]  Trying to teach five-year-old sex education and growing chimeras inside cows and genetically engineering everything and trying to force inoculate us with stuff when we know the globalists are out there putting out zoological bioweapons through vaccines.
[02:34:22.561 --> 02:34:24.461]  I mean, you know, we're all in this together.
[02:34:24.461 --> 02:34:26.022]  That's all I'm telling you.
[02:34:26.022 --> 02:34:28.102]  And if they can get us fighting with each other, they win.
[02:34:28.102 --> 02:34:30.663]  If we wake up to that and transcend it, they lose.
[02:34:32.819 --> 02:34:37.880]  I, until about six, seven years ago, thought we'd still probably have to have some physical deal.
[02:34:37.880 --> 02:34:41.801]  That still may happen with the Feds and the military and the police.
[02:34:41.801 --> 02:34:54.405]  But the work of the Patriots, the Liberty Movement, and the fact that the globalists then started calling them into their training sessions and going, George Washington's bad, Second Amendment's bad, Christians are bad, and people get up in these.
[02:34:54.405 --> 02:34:57.426]  And I used to tell you about these when nobody knew it but us.
[02:34:57.426 --> 02:34:58.906]  And they would go, is this a joke?
[02:35:00.299 --> 02:35:04.926]  This is not a joke and if you don't like it we'll have you kicked out of here!
[02:35:04.926 --> 02:35:11.657]  And so they started sending me the footage of emergency management meetings and the rest of it behind closed doors and it's treason!
[02:35:13.171 --> 02:35:20.414]  So we told the police and military this was coming, then they were getting the classified briefings, being sold it, and went, wait a minute.
[02:35:20.414 --> 02:35:22.635]  And I tell you, the globalists were so weird.
