[00:00:14.375 --> 00:00:17.197]  Hard to believe!
[02:15:58.518 --> 02:16:07.368]  And so, just taking the foot off the troops' necks, and just allowing the actual funds to get to them, will bring in the doctors, bring in the people we need.
[02:16:07.969 --> 02:16:08.990]  So that's what this is about.
[02:16:09.030 --> 02:16:09.671]  It's like healthcare.
[02:16:09.871 --> 02:16:12.474]  We had the best in the world, until they started sabotaging it.
[02:16:13.643 --> 02:16:14.964]  I think that's exactly right.
[02:16:15.684 --> 02:16:18.406]  It is probably the number one national scandal.
[02:16:18.646 --> 02:16:21.408]  It's something that I know keeps Trump up late at night.
[02:16:21.909 --> 02:16:23.970]  It's something he feels very deeply about.
[02:16:23.990 --> 02:16:27.412]  And you're going to get progress in this area.
[02:16:27.492 --> 02:16:31.335]  But he's got an entire government to reform.
[02:16:31.615 --> 02:16:32.336]  For example,
[02:16:33.276 --> 02:16:42.963]  Under the Democrats, the Interior Department, specifically the Bureau of Indian Affairs, has become a money machine for the Democratic National Party.
[02:17:02.876 --> 02:17:05.379]  That's exactly right.
[02:17:05.499 --> 02:17:11.566]  So believe it or not, the number one donor to the Democratic National Party is a trial bar.
[02:17:12.086 --> 02:17:14.349]  Number two are the Indian casinos.
[02:17:14.869 --> 02:17:16.591]  Number three is organized labor.
[02:17:17.012 --> 02:17:19.234]  That is where we have gotten to.
[02:17:20.335 --> 02:17:21.577]  And the truth is that
[02:17:23.155 --> 02:17:26.296]  Ninety percent of the cash... Hold on, we got an emergency!
[02:17:26.356 --> 02:17:27.197]  We got an emergency!
[02:17:27.597 --> 02:17:28.777]  This is much worse than we thought.
[02:17:28.797 --> 02:17:30.238]  We knew they were trying to start a war with Russia.
[02:17:30.498 --> 02:17:35.400]  They've just expelled the Russian diplomats and closed Russian embassies here in the U.S.
[02:17:35.660 --> 02:17:38.701]  That was not even done during the Cuban Missile Crisis or during the Cold War.
[02:17:39.342 --> 02:17:46.865]  This is something you do when you go to DEFCON 2, Defense Condition 2, or maybe even 1, which means, I mean, this is total insanity, Reuters.
[02:17:47.225 --> 02:17:47.745]  Oh my God!
[02:17:47.785 --> 02:17:49.486]  This is a coup against America to stop Trump.
[02:17:50.347 --> 02:17:51.809]  This is ten times worse than I thought.
[02:17:52.069 --> 02:18:02.807]  The United States on Thursday expelled 35 Russian diplomats and closed two Russian compounds in New York and Maryland in response to a campaign of harassment by Russia against American diplomats in Moscow.
[02:18:04.301 --> 02:18:05.002]  A senior U.S.
[02:18:05.062 --> 02:18:08.504]  official said on Thursday, wow, the U.S.
[02:18:08.564 --> 02:18:10.426]  official speaking on condition of anonymity.
[02:18:11.106 --> 02:18:11.807]  We've seen U.S.
[02:18:11.827 --> 02:18:13.949]  diplomats trying to run into their embassies and infiltrate.
[02:18:14.229 --> 02:18:14.549]  The U.S.
[02:18:14.589 --> 02:18:19.633]  official speaking on condition of anonymity told Reuters the Russian diplomats would be given 72 hours to leave the United States.
[02:18:20.033 --> 02:18:22.655]  Access to two compounds will be denied to all Russian officials.
[02:18:22.976 --> 02:18:24.377]  As of noon Friday, the official added.
[02:18:24.737 --> 02:18:27.619]  So this is unprecedented, Roger.
[02:18:27.839 --> 02:18:29.241]  You were in the Nixon administration.
[02:18:29.261 --> 02:18:30.401]  You were in the Reagan administration.
[02:18:30.762 --> 02:18:31.482]  I mean, when we were
[02:18:32.992 --> 02:18:35.434]  On the edge of, you know, nuclear war, this crap didn't go on.
[02:18:35.454 --> 02:18:36.935]  This is unprecedented.
[02:18:37.556 --> 02:18:40.598]  The obviousness of it is what's so astounding.
[02:18:40.899 --> 02:18:42.720]  It is so blatant.
[02:18:42.740 --> 02:18:51.407]  I mean, this reminds me of Joe Biden chortling about the cyber war that we're going to use to provoke the Russians.
[02:18:52.729 --> 02:18:53.309]  They are so desperate.
[02:18:53.329 --> 02:18:55.271]  Doesn't Trump need to tell them, stop it right now?
[02:18:55.331 --> 02:18:59.514]  I mean, we need to start... I mean, this is an act of war right here.
[02:18:59.534 --> 02:19:00.575]  This is what... I mean...
[02:19:01.716 --> 02:19:03.677]  You shut down embassies once war starts!
[02:19:05.877 --> 02:19:09.018]  The problem, of course, is that the administration wouldn't listen.
[02:19:09.398 --> 02:19:19.541]  Just yesterday in an interview, President Obama says that had he run against Donald Trump, he's confident that he would have beaten him.
[02:19:20.061 --> 02:19:28.463]  What happened to the American tradition of the outgoing president not criticizing the incoming president and vice versa?
[02:19:28.823 --> 02:19:33.568]  It has been a bipartisan tradition in this country since the beginning of time.
[02:19:33.628 --> 02:19:34.309]  Roger, Roger.
[02:19:34.369 --> 02:19:41.597]  I mean, look, they would only invoke and claim the Russians had taken over through Trump if they were planning to engage COG and have martial law and war.
[02:19:41.957 --> 02:19:43.118]  I said that three weeks ago.
[02:19:43.138 --> 02:19:44.700]  It got picked up internationally.
[02:19:45.080 --> 02:19:45.821]  I mean, I've studied COG.
[02:19:45.841 --> 02:19:47.663]  We're going to skip this break, guys.
[02:19:48.706 --> 02:19:49.606]  I'm happy to skip all of them.
[02:19:49.626 --> 02:19:50.607]  We're about to have a nuclear war.
[02:19:50.687 --> 02:19:54.928]  This, in my knowledge, Roger, let's get on this right now and get Watson on it too.
[02:19:55.668 --> 02:20:05.832]  I don't believe they've ever done something like this where they close diplomatic compounds that are already established without having a congressional law that just changes where they can have them.
[02:20:06.052 --> 02:20:07.812]  And that's not been done even during the Cold War.
[02:20:08.193 --> 02:20:09.513]  Roger, this is unprecedented.
[02:20:09.753 --> 02:20:12.594]  These actions were taken to respond to Russian harassment of American diplomats.
[02:20:12.774 --> 02:20:13.394]  See, no proof.
[02:20:13.414 --> 02:20:14.235]  Now it's not hacking.
[02:20:14.455 --> 02:20:15.095]  Now it's harassment.
[02:20:15.765 --> 02:20:19.488]  Yeah, who exactly are these diplomats, and why was that not reported at the time?
[02:20:19.708 --> 02:20:26.554]  And the actions by diplomats that have been assessed to be not consistent with diplomatic practice, the officials told Russia.
[02:20:27.215 --> 02:20:28.836]  I mean, this is just the beginning.
[02:20:29.257 --> 02:20:38.325]  They're saying they're going to launch a cyber war on Russia, I guess turn their lights off, maybe turn a nuclear power plant off, and then we'll have another Chernobyl, what, just have a frickin' nuclear war here, Roger?
[02:20:39.136 --> 02:20:42.578]  Anything is possible under this administration.
[02:20:43.258 --> 02:20:50.002]  And the hysteria they are experienced because they see Donald Trump dissembling the New World Order.
[02:20:50.062 --> 02:20:59.767]  Well, I said last night, I watched CNN and they had the look of people around a death watch where they went, something big is about to happen, war, and it's Trump's fault, and they went.
[02:21:00.367 --> 02:21:02.252]  It's his fault, knowing it's all them doing it.
[02:21:02.773 --> 02:21:04.296]  And then they just went, so be it.
[02:21:04.396 --> 02:21:07.544]  And I was like watching what I saw before 9-11 on CNN again.
[02:21:10.970 --> 02:21:12.390]  And they said something big is going to happen.
[02:21:12.450 --> 02:21:13.631]  Big towers are going to come down.
[02:21:13.691 --> 02:21:14.571]  Our lives are going to be the same.
[02:21:14.791 --> 02:21:16.232]  We're going to change the way we have freedoms.
[02:21:16.412 --> 02:21:17.332]  There's going to be a big war.
[02:21:17.632 --> 02:21:22.594]  And it was the Hart-Rubin Commission, Gary Hart and Warren Rudman on... No, no, no.
[02:21:22.674 --> 02:21:23.514]  It was CNBC.
[02:21:23.534 --> 02:21:24.214]  It was Hardball.
[02:21:24.574 --> 02:21:29.696]  And they were telling that 9-11 was coming and the world would never be the same on July 24th.
[02:21:31.127 --> 02:21:33.729]  And I came out and said they're going to blow up the World Trade Center blaming him and Laden.
[02:21:34.069 --> 02:21:41.034]  I'm seeing the same weird criminal energy now on the TV channels as they prepare for something big, Roger.
[02:21:41.194 --> 02:21:42.615]  And Roger, you know I don't just say stuff.
[02:21:42.675 --> 02:21:44.096]  I mean, everything's aligning.
[02:21:44.196 --> 02:21:45.236]  I think they're going to try a coup.
[02:21:45.677 --> 02:21:47.498]  I think we're in an emergency situation right now.
[02:21:48.842 --> 02:21:50.403]  I agree with you.
[02:21:50.423 --> 02:21:54.485]  I'm particularly concerned about the President's security.
[02:21:54.505 --> 02:21:58.367]  He is hunkered down at his place in Palm Beach.
[02:21:59.467 --> 02:22:04.630]  But as each day gets closer to January 20th, the hysteria level
[02:22:05.450 --> 02:22:08.253]  Just ratchets up, up, up.
[02:22:08.333 --> 02:22:13.597]  So I think that these are desperate times and these are desperate people who will do desperate things.
[02:22:13.638 --> 02:22:14.158]  Let's be clear.
[02:22:14.478 --> 02:22:16.560]  If we were reading about this 50 years ago in U.S.
[02:22:16.580 --> 02:22:18.202]  history, there'd be thousands of books.
[02:22:18.222 --> 02:22:19.443]  It'd be the number one thing ever.
[02:22:19.763 --> 02:22:27.810]  The battle, the war, the Democrats not leaving, being funded by foreign powers, claiming that another president who wasn't was funded by it.
[02:22:28.211 --> 02:22:31.714]  I mean, they're the ones that have the Indian casinos putting money into Hillary.
[02:22:31.894 --> 02:22:34.615]  They're the ones with the Saudi Arabians bragging they gave 20%.
[02:22:35.375 --> 02:22:40.657]  They're the ones in the WikiLeaks involved in all the crime and all the foreign collusion and all the foreign money.
[02:22:40.997 --> 02:22:49.519]  Then they're blaming America, wanting our sovereignty back on the Russians and claiming if Merkel's voted out, they're going to ignore the vote because the Russians did that too!
[02:22:50.139 --> 02:22:51.480]  I mean, this is crazy!
[02:22:52.060 --> 02:23:04.570]  They have to be very disappointed in the fact that only 29% of the American people have bought the entire fraudulent argument that the Russians hacked and somehow affected our election.
[02:23:05.311 --> 02:23:10.435]  This was their big move and it has failed as a get prop.
[02:23:10.535 --> 02:23:14.538]  It has failed as a get prop and now they're going to take it to the next level.
[02:23:14.838 --> 02:23:16.679]  I agree, Roger, so let me ask you this question.
[02:23:17.820 --> 02:23:18.580]  What does Trump do?
[02:23:18.660 --> 02:23:19.261]  What do we do?
[02:23:19.301 --> 02:23:20.841]  These are abject lying criminals.
[02:23:20.861 --> 02:23:21.702]  We have the WikiLeaks.
[02:23:21.882 --> 02:23:23.083]  They're completely insane.
[02:23:23.283 --> 02:23:24.643]  They're trying to start a war with Russia.
[02:23:24.663 --> 02:23:28.165]  They clearly shot down the airplane and the other one as well, the service-to-air missile.
[02:23:28.185 --> 02:23:29.046]  There's footage of that.
[02:23:29.386 --> 02:23:30.507]  They're killing diplomats.
[02:23:30.547 --> 02:23:32.728]  They're hurdling towards war.
[02:23:32.968 --> 02:23:36.730]  They've got Keith Olbermann calling for war with Russia, screaming Russian scum.
[02:23:37.050 --> 02:23:37.871]  This is insane!
[02:23:39.056 --> 02:23:50.970]  Well, the good news, of course, is that the president has surrounded himself with a solid group of advisors like General James Mad Dog Mattis, General Flynn.
[02:23:51.410 --> 02:23:53.432]  So he's not out there alone.
[02:23:53.633 --> 02:23:56.115]  I guarantee you he is huddled with his advisors.
[02:23:56.876 --> 02:24:01.600]  I mean, do they understand the magnitude of what's currently happening?
[02:24:01.620 --> 02:24:11.629]  Because I understand they want to be, you know, fixing America, getting us jobs, trying to prove they're nice guys, while the frickin' demons are planning to start nuclear war and openly cause an Intifada to overthrow Israel.
[02:24:12.741 --> 02:24:23.384]  Again, I think that the establishment types have been so brazen, so obvious in their moves, that they're entirely on President Trump's radar screen now.
[02:24:23.845 --> 02:24:29.206]  I think he knows exactly what's going on, and I too am counting the minutes before he takes office.
[02:24:29.586 --> 02:24:29.966]  Gosh!
[02:24:31.047 --> 02:24:32.167]  I think they're crazy enough.
[02:24:32.387 --> 02:24:36.989]  I mean, they got Soros, who commands this whole thing, saying he's Hitler, and he must be stopped.
[02:24:37.009 --> 02:24:37.749]  What do you make of that?
[02:24:38.889 --> 02:24:41.250]  This has been a trend that you spotted from the beginning.
[02:24:42.617 --> 02:24:51.701]  All along the way, they have accused us of exactly what they are doing, at every step of the process, from the beginning.
[02:24:52.201 --> 02:24:59.564]  So they're the ones who would like to stage a Hitler-like coup, but we blame that on Donald Trump.
[02:24:59.724 --> 02:25:00.824]  It's Kafkaesque.
[02:25:00.984 --> 02:25:04.846]  I mean, it is, it's, it's Alice in Wonderland.
[02:25:04.906 --> 02:25:05.766]  It's upside down world.
[02:25:06.486 --> 02:25:07.026]  It really is.
[02:25:07.747 --> 02:25:08.207]  It really is.
[02:25:10.816 --> 02:25:13.739]  Roger, again, I don't want to be hysteric here.
[02:25:14.160 --> 02:25:15.361]  This is hysterical.
[02:25:16.963 --> 02:25:19.486]  I've read hundreds of books on the whole Russian thing, like you have.
[02:25:19.766 --> 02:25:20.808]  The Cold War, it's so interesting.
[02:25:21.068 --> 02:25:23.331]  I've seen countless Discovery Channel and History Channel shows.
[02:25:23.811 --> 02:25:27.055]  I've had a bunch of guests on about it, you know, the Venona Secrets and all of it.
[02:25:28.497 --> 02:25:30.139]  I mean, I've never seen them...
[02:25:32.133 --> 02:25:35.175]  Google expelling Russian diplomats in history.
[02:25:35.655 --> 02:25:36.436]  Or has the U.S.
[02:25:36.476 --> 02:25:37.457]  expelled diplomats before?
[02:25:37.677 --> 02:25:41.659]  They've expelled them that were known spies doing illegal things.
[02:25:42.200 --> 02:25:47.803]  But to just expel whole buildings, claiming some nebulous thing, Roger, have you ever heard of this?
[02:25:48.724 --> 02:25:49.685]  It's a provocation.
[02:25:49.725 --> 02:25:51.986]  I've never seen anything like it historically.
[02:25:53.367 --> 02:25:57.610]  And it is something that the President has to stay on top of.
[02:25:58.459 --> 02:25:59.440]  Well, they're planning something.
[02:25:59.480 --> 02:26:04.084]  I saw the arrogance return to the CNN operatives that we know are CIA, the bad group CIA.
[02:26:04.524 --> 02:26:07.167]  I saw the arrogance come back last night, and they're planning something big.
[02:26:07.187 --> 02:26:10.429]  And, you know, they're like, well, he's got to handle the fact that the Russians put him in.
[02:26:11.130 --> 02:26:12.932]  And there's about to be a big war, and it's his fault.
[02:26:12.952 --> 02:26:13.692]  They're all like, yep.
[02:26:14.373 --> 02:26:18.356]  And they look very satisfied talking about the president suddenly, and they've got some evil plan.
[02:26:19.157 --> 02:26:22.040]  And my God, I just, I don't know what to say, Roger.
[02:26:23.396 --> 02:26:29.343]  Alex, I'm going to head back to the computer because I've got a tight deadline for my book, The Making of the President 2016.
[02:26:29.563 --> 02:26:37.232]  And I should add, I'm trying to include these very events that we're talking about in the book.
[02:26:37.292 --> 02:26:42.738]  In other words, until the book closes, I am going to bring this right up to the second
[02:26:44.039 --> 02:26:45.820]  Sure, and it's historical and you've got a blueprint.
[02:26:45.840 --> 02:26:49.821]  But listen, before you go in the last few minutes we have left here, other things that are on the radar.
[02:26:50.101 --> 02:26:51.561]  What else can we as citizens do?
[02:26:52.402 --> 02:26:54.382]  Call in to talk radio, point this is happening.
[02:26:55.282 --> 02:26:57.763]  I mean, how do we expose this insanity?
[02:26:57.783 --> 02:27:02.364]  The best way, of course, is I think do exactly that.
[02:27:02.404 --> 02:27:05.205]  To call in to radio shows like this one.
[02:27:06.205 --> 02:27:11.107]  And to work the social media very hard while we still have it.
[02:27:11.977 --> 02:27:14.400]  Twitter, Facebook, Gab.
[02:27:14.560 --> 02:27:17.423]  These are powerful, powerful tools.
[02:27:18.504 --> 02:27:28.135]  And we know that our critics and those who would overturn this election would like to shut us down from these social media outlets.
[02:27:28.215 --> 02:27:29.957]  So take to the ramparts.
[02:27:30.638 --> 02:27:31.499]  Use your Twitter feed.
[02:27:31.699 --> 02:27:32.760]  Use your Facebook feed.
[02:27:32.800 --> 02:27:33.200]  That's right.
[02:27:33.420 --> 02:27:37.844]  And also our own URL, StoneColdTruth.com, InfoWars.com, PrisonPlanet.com.
[02:27:37.864 --> 02:27:42.067]  Those are going to become more and more important as they delist us, block us, and the rest of it.
[02:27:42.107 --> 02:27:42.787]  It's now here.
[02:27:43.047 --> 02:27:43.748]  Roger, thank you.
[02:27:44.308 --> 02:27:45.309]  Great to be here again.
[02:27:45.369 --> 02:27:45.529]  Thanks.
[02:27:45.569 --> 02:27:46.830]  You can pre-order the book.
[02:27:46.850 --> 02:27:48.692]  When's the book coming out in the next couple months?
[02:27:49.132 --> 02:27:54.856]  The book has to be turned in by the 1st, and it should be out around the time of the inauguration.
[02:27:55.036 --> 02:27:55.477]  Amazing.
[02:27:55.617 --> 02:27:55.837]  All right.
[02:27:55.877 --> 02:27:56.638]  Thank you so much.
[02:27:57.378 --> 02:27:57.878]  Thank you.
[02:27:58.479 --> 02:28:00.881]  You can pre-order the book now on Amazon.com, his website as well.
[02:28:00.921 --> 02:28:03.643]  We're now pre-selling it at InfoWareStore.com.
[02:28:03.943 --> 02:28:08.026]  Let me just state the most important thing of the broadcast today, okay?
[02:28:08.746 --> 02:28:09.607]  I'm going to state it right now.
[02:28:09.627 --> 02:28:11.148]  If everybody's about to go to break, come back.
[02:28:12.938 --> 02:28:21.207]  It looks comical for them saying the election was stolen by Russians and we're all Russian spies and they just passed a law last Friday to start censoring media they claim is connected to the Russians.
[02:28:21.947 --> 02:28:28.394]  And turn loose the Board of Governors under the FCC under CIA command to shut down the Internet, you name it.
[02:28:29.095 --> 02:28:30.616]  That's a huge story that the Internet
[02:28:31.337 --> 02:28:41.953]  Print media, satellite, all of what they're claiming is now under the FCC, under the National Offense Authorization Act of 2017, and they admit that they're going to censor.
[02:28:42.253 --> 02:28:45.238]  Now, the censorship's already beginning at Google, Facebook, and Twitter.
[02:28:46.613 --> 02:28:50.094]  They're not going to bring in total censorship until they start a war.
[02:28:50.474 --> 02:28:53.214]  And then it's, oh see, we're rounding up the Russian agents.
[02:28:53.274 --> 02:28:59.195]  This is just so historic, so brazen, so naked, so insane.
[02:28:59.795 --> 02:29:01.456]  And it's sure to cause a civil war.
[02:29:01.776 --> 02:29:03.196]  They miscalculated with Hillary.
[02:29:04.236 --> 02:29:05.556]  They miscalculated with the polls.
[02:29:05.897 --> 02:29:07.297]  They miscalculated on Wikileaks.
[02:29:07.737 --> 02:29:09.977]  They're run by this crazy old Nazi collaborator.
[02:29:10.437 --> 02:29:13.858]  And they're planning to not let Trump get into office and start a war with Russia.
[02:29:15.609 --> 02:29:17.250]  And they're willing to start a nuclear war before that.
[02:29:17.510 --> 02:29:18.690]  They're willing to overthrow Israel!
[02:29:19.790 --> 02:29:21.911]  Basically saying to the Arabs, start attacking Israel!
[02:29:24.352 --> 02:29:24.652]  U.S.
[02:29:24.752 --> 02:29:27.793]  expels 35 Russian diplomats, closes two compounds.
[02:29:27.813 --> 02:29:28.973]  Get me everything we've got on this.
[02:29:29.274 --> 02:29:30.634]  And they say more is going to start happening.
[02:29:30.874 --> 02:29:32.855]  This is unbelievable!
[02:29:35.336 --> 02:29:37.576]  Kicking Russians out of the United States from embassies.
[02:29:39.297 --> 02:29:39.617]  Wow!
[02:29:40.137 --> 02:29:41.978]  That is, that's what you do when you're in a war.
[02:29:43.436 --> 02:29:46.417]  In fact, you never do it until the war starts and then you close the embassy.
[02:29:47.397 --> 02:29:47.677]  Wow.
[02:29:48.737 --> 02:29:50.418]  So, I told you they're gonna start a war.
[02:29:51.138 --> 02:29:51.478]  This is it.
[02:29:51.538 --> 02:29:52.798]  It's what all the leftists want.
[02:29:52.818 --> 02:29:54.138]  They want nuclear war and death.
[02:29:54.418 --> 02:29:55.419]  They're a death cult.
[02:29:55.439 --> 02:29:56.339]  They love abortion.
[02:29:56.739 --> 02:29:57.559]  They're demons.
[02:29:59.579 --> 02:30:00.480]  We're on the march.
[02:30:00.960 --> 02:30:02.560]  The empire's on the run.
[02:30:03.480 --> 02:30:06.161]  Alex Jones and the GCN Radio Network.
[02:30:10.083 --> 02:30:13.924]  Introducing Vitamin Mineral Fusion from Infowarslife.com.
[02:30:14.245 --> 02:30:21.507]  We have worked for years with our chemists and scientists to create the most powerful and affordable, great-tasting multivitamin formula available.
[02:30:21.707 --> 02:30:32.671]  The all-new Vitamin Mineral Fusion drink mix at Infowarslife.com is loaded with a full month's supply of essential vitamins, minerals, and amino acids that your body absolutely needs.
[02:30:33.171 --> 02:30:40.715]  In the history of InfoWars life, we've brought out a lot of amazing products like Survival Shield X2, Super Metal Vitality, and so many others.
[02:30:40.995 --> 02:30:50.320]  But I am most proud of the product we're now launching today with its unique delivery system and proprietary manufacturing process designed for maximized effects.
[02:30:50.640 --> 02:30:54.823]  This formula is the platinum standard of multivitamin mineral products.
[02:30:55.063 --> 02:31:01.828]  The ingredients in Vitamin Mineral Fusion are either plant derived or of the highest quality lab standard.
[02:31:02.148 --> 02:31:03.289]  That means it's clean.
[02:31:03.609 --> 02:31:04.650]  That means it's pure.
[02:31:04.830 --> 02:31:07.552]  At SimpleWorstLife.com and Vitamin Mineral Fusion.
[02:31:07.672 --> 02:31:09.353]  Take action now before we sell out.
[02:31:10.020 --> 02:31:19.043]  Alex Jones here to tell you about how you can help spread liberty worldwide while also enjoying what I have found to be the best tasting, 100% organic coffee on the planet.
[02:31:19.103 --> 02:31:27.246]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[02:31:27.506 --> 02:31:32.208]  We have now managed to secure the sought-after beans in a highly customized blend.
[02:31:32.389 --> 02:31:39.092]  Discover and try a bag of the Patriot Blend 100% Organic Coffee at Infowarslife.com.
[02:31:39.172 --> 02:31:46.235]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[02:31:46.356 --> 02:31:53.199]  Hands down, this is my favorite coffee, and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[02:31:53.379 --> 02:31:57.725]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed.
[02:31:57.865 --> 02:32:01.129]  Available in original or with our immune support infusion blend.
[02:32:01.250 --> 02:32:07.378]  You will be supporting a free press, all the while enjoying a truly great tasting cup of my favorite coffee.
[02:32:07.558 --> 02:32:09.501]  Available at InfoWarsLife.com
[02:32:09.921 --> 02:32:21.094]  Would it surprise you to know that ISIS and Hezbollah are operating freely in Latin America, and these Islamic terrorists, they can raise money, and they're all planning to attack the United States while in Latin America.
[02:32:21.114 --> 02:32:24.678]  Now, this part of the world has become a hotbed for Islamic terrorism.
[02:32:24.698 --> 02:32:29.804]  Groups like ISIS operate freely, they're able to raise large sums of money to finance activities in other countries.
[02:32:29.824 --> 02:32:30.244]  We're good.
[02:32:49.591 --> 02:33:04.819]  But this specifically highlights the fact that ISIS and Hezbollah, they can operate freely in Spain, raise money, and their government in the region is considering ISIS to be a foreign problem, this report is saying, and intelligence agencies are ill-equipped to handle the threat that they represent.
[02:33:04.839 --> 02:33:07.521]  I'm Margaret Howe reporting for InfoWars.com.
[02:33:20.782 --> 02:33:21.502]  Big Brother.
[02:33:21.882 --> 02:33:23.122]  Mainstream media.
[02:33:23.783 --> 02:33:24.903]  Government cover-ups.
[02:33:25.403 --> 02:33:26.383]  You want answers?
[02:33:26.923 --> 02:33:28.104]  Well, so does he.
[02:33:28.544 --> 02:33:32.304]  It's Alex Jones on the GCN Radio Network.
[02:33:32.765 --> 02:33:34.105]  Okay, my memory did serve.
[02:33:34.165 --> 02:33:37.826]  I knew that there'd been expelling of diplomats going back during the Cold War back and forth.
[02:33:37.866 --> 02:33:40.366]  They said you're really a KGB agent or you're really CIA.
[02:33:41.026 --> 02:33:44.007]  But it's unprecedented to close entire buildings and entire centers.
[02:33:44.787 --> 02:33:45.447]  That's what's happening.
[02:33:45.467 --> 02:33:46.208]  This is just the beginning.
[02:33:46.248 --> 02:33:47.908]  Obama's saying cyber attacks, you name it.
[02:33:48.289 --> 02:33:50.850]  What really matters is Russia's not been proven.
[02:33:52.650 --> 02:33:54.611]  First, the intelligence agency said, no, that's not true.
[02:33:54.631 --> 02:33:55.272]  It's being made up.
[02:33:55.332 --> 02:34:00.114]  Then Obama went in and basically ordered them to say, well, they might have influenced things, but didn't physically hack.
[02:34:00.894 --> 02:34:08.497]  This is while we have everything from the Native American casinos being the, what, second or third biggest donor to the Democrats.
[02:34:08.717 --> 02:34:10.678]  That's a sovereign nation with money.
[02:34:11.559 --> 02:34:14.120]  To the communist Chinese and Saudi Arabians bragging
[02:34:15.455 --> 02:34:17.316]  I mean, look at all the world leaders saying you can't have Trump.
[02:34:17.636 --> 02:34:18.737]  It's just crazy!
[02:34:19.917 --> 02:34:23.819]  And now, oh, the Italians don't want the EU to take over because you're Russian agents.
[02:34:24.259 --> 02:34:26.120]  We may send in the EU army.
[02:34:26.721 --> 02:34:28.141]  You never voted to enter the EU.
[02:34:28.982 --> 02:34:31.503]  You say, we want out, and they go, you work for Russia.
[02:34:31.903 --> 02:34:33.164]  We have to send tanks in.
[02:34:33.304 --> 02:34:37.286]  No, globalists control the EU, the North American Union, and the rest of it.
[02:34:37.506 --> 02:34:38.386]  They're trying to take over.
[02:34:38.406 --> 02:34:40.387]  Meanwhile, they're the ones flooding us with jihadis.
[02:34:40.927 --> 02:34:41.568]  Now, I have
[02:34:42.488 --> 02:34:49.711]  The crew here, Ashley Begford and of course Leanne McAdoo and Margaret Howell here in our two studios.
[02:34:49.731 --> 02:34:52.292]  If you're a radio listener, you'll just think like we're all, you know, one big free-for-all.
[02:34:52.332 --> 02:34:57.114]  But for TV viewers, InfoWars.com forward slash show obviously has the 24-7 feed.
[02:34:57.154 --> 02:34:58.255]  When we're live, it's live.
[02:34:58.275 --> 02:35:01.676]  There's also free iPhone, Droid apps and so much more there on that page.
[02:35:02.196 --> 02:35:07.119]  It's a great page to send on to folks in the InfoWar since we're getting blocked and censored more and more because we're effective.
[02:35:07.359 --> 02:35:08.139]  So be sure and do that.
[02:35:08.819 --> 02:35:09.720]  We were going to get into
[02:35:10.620 --> 02:35:19.422]  What's in AP Reuters and others, I've got the article right here about how the Spanish government's saying ISIS and others are recruiting and getting money in Latin America.
[02:35:19.442 --> 02:35:21.802]  Well, that's what the head of South Com said two years ago.
[02:35:22.142 --> 02:35:27.083]  And the Border Patrol, thousands a month of other than Mexican coming across, mainly from the Middle East and China.
[02:35:27.703 --> 02:35:29.324]  So, the border's just wide open.
[02:35:29.404 --> 02:35:31.244]  Disease comes across, you name it.
[02:35:31.284 --> 02:35:33.344]  They know you have TB, they let you come across.
[02:35:33.684 --> 02:35:36.565]  If I had drug-resistant TB and I flew, it's a felony.
[02:35:37.418 --> 02:35:40.620]  But the Border Patrol is ordered to let people cross with leprosy!
[02:35:40.640 --> 02:35:43.622]  And I tell you this, years ago, you'd say, oh, that's not true.
[02:35:43.682 --> 02:35:44.823]  I was being told by the Border Patrol.
[02:35:45.003 --> 02:35:46.084]  We'd blow their faces out.
[02:35:46.645 --> 02:35:50.267]  Now the Border Patrol doesn't care, even if they get arrested by Obama.
[02:35:50.287 --> 02:35:52.529]  They go on TV and tell us what's happening.
[02:35:52.729 --> 02:35:55.691]  The head of the Border Patrol in South Texas comes on, because they care.
[02:35:55.931 --> 02:35:57.733]  They realize the country's so far gone.
[02:35:58.513 --> 02:36:00.194]  So, this is just crazy town.
[02:36:00.214 --> 02:36:04.397]  So to discuss what we think is behind all this are three of our great reporters.
[02:36:04.857 --> 02:36:07.098]  Leanne and everybody just chime in free for all here ladies.
[02:36:07.438 --> 02:36:09.180]  As you know, I'm like a warthog.
[02:36:09.200 --> 02:36:10.780]  I'll just get in here and keep ranting.
[02:36:11.201 --> 02:36:17.805]  What do you make of this Russia escalation and all the craziness and laws being signed saying basically we're Russian agents?
[02:36:18.550 --> 02:36:23.835]  Well, I think what people really need to understand is that we are being ruled by sociopaths.
[02:36:23.935 --> 02:36:31.361]  I mean, we have sociopaths in power who that's all they care about is power and control, and they're not willing to relinquish that.
[02:36:31.441 --> 02:36:38.387]  And they're freaking out over the fact that Donald Trump is going to take office, which means prison for them if he dares to come after them.
[02:36:38.628 --> 02:36:42.651]  Like you said earlier, he needs to let George Soros know, I'm coming after you.
[02:36:42.771 --> 02:36:44.433]  You're the number one priority on my list.
