[00:00:00.769 --> 00:00:04.033]  31 days, folks.
[02:04:16.539 --> 02:04:18.721]  Wow!
[02:04:18.721 --> 02:04:24.666]  That even discredits the religious people even more, because this is exactly what we've been saying all along.
[02:04:27.515 --> 02:04:29.436]  Every culture.
[02:04:29.436 --> 02:04:37.121]  So, we're here discovering that they never want you to look out at the night sky, never look out at the sun, never look out at, like, all the, like, where we're at, how incredible it is.
[02:04:37.121 --> 02:04:41.725]  It's just like, no, instead, let's look at how beautiful Chelsea is in that gown.
[02:04:41.725 --> 02:04:51.131]  It's all these, like, ring-wraith, skexy, weirdo psychos that are the opposite of, you know, God, telling us they're God because there is no God.
[02:04:52.190 --> 02:04:54.512]  Your call's coming up with Steve Quayle and a lot more.
[02:04:54.512 --> 02:04:55.193]  Stay with us.
[02:04:55.193 --> 02:04:58.475]  Chris and others, your calls are straight ahead on all shows.
[02:04:58.475 --> 02:04:59.796]  Drug Raid!
[02:04:59.796 --> 02:05:08.243]  81-year-old Margaret Holcomb was minding her own business in her humble home with her son, when all of the sudden, she was part of a full-blown drug raid.
[02:05:08.243 --> 02:05:13.348]  This wasn't a wrongful raid on an incorrect address, as we've seen in the past.
[02:05:13.348 --> 02:05:14.108]  No, no.
[02:05:14.108 --> 02:05:15.850]  They caught a fish with this one.
[02:05:15.850 --> 02:05:16.951]  Literally, one fish.
[02:05:17.691 --> 02:05:22.192]  After all, Margaret had one marijuana plant growing in her backyard garden.
[02:05:22.192 --> 02:05:23.412]  Get the choppers!
[02:05:23.412 --> 02:05:24.913]  Get the National Guard!
[02:05:24.913 --> 02:05:27.473]  Take this woman down!
[02:05:27.473 --> 02:05:38.775]  The joint raid between the National Guard and the Massachusetts State Police, which also included a military helicopter, was successful and they were able to take down the one marijuana plant.
[02:05:38.775 --> 02:05:40.556]  A job well done, boys.
[02:05:40.556 --> 02:05:46.037]  Now, Margaret will have to find a nice, legal pharmaceutical to ease her arthritis and glaucoma.
[02:05:46.357 --> 02:05:48.599]  Now does the war on drugs make sense to you?
[02:05:48.599 --> 02:05:51.481]  This is Owen Schroer from InfoWars.com.
[02:05:51.481 --> 02:05:54.023]  Be sure to download our new app, InfoWars Live.
[02:05:58.280 --> 02:06:03.942]  InfoWars is proud to announce the official InfoWars Live app, available now for iPhone and Android.
[02:06:03.942 --> 02:06:12.384]  InfoWars Live allows you to watch a live, high-definition feed of the Alex Jones Show 24-7 and get the latest breaking InfoWars reports straight to your phone.
[02:06:12.384 --> 02:06:15.405]  Want to read the latest exclusives on InfoWars.com?
[02:06:15.405 --> 02:06:17.226]  Or do you want to catch up on world news?
[02:06:17.226 --> 02:06:20.346]  Now you can do so with InfoWars Live anywhere you go.
[02:06:20.346 --> 02:06:22.667]  You can browse the news, share content, and more.
[02:06:22.667 --> 02:06:25.328]  And best of all, it's free to download at InfoWars.com.
[02:06:25.848 --> 02:06:27.248]  The app is brand new.
[02:06:27.248 --> 02:06:28.509]  This is the first release.
[02:06:28.509 --> 02:06:30.829]  And it was completely built from the ground up.
[02:06:30.829 --> 02:06:34.670]  We've seen example after example of cable news networks attempting to deceive you.
[02:06:34.670 --> 02:06:43.512]  In short, the mainstream media is being covertly manipulated by well-financed political forces who are trying to sway public opinion in an unnatural direction that only serves establishment agendas.
[02:06:43.512 --> 02:06:48.293]  But InfoWars Live is the solution to the controlled press that is rapidly losing influence.
[02:06:48.553 --> 02:06:58.095]  So download InfoWars Live today at InfoWars.com and learn what's really going on instead of being spoon-fed lies by the mainstream media.
[02:06:58.095 --> 02:07:02.056]  Secret 12, InfoWars Live's vitamin B12 formulation.
[02:07:02.056 --> 02:07:08.377]  Most forms of vitamin B12 are highly processed and synthetic and cannot be properly absorbed by the body.
[02:07:08.377 --> 02:07:15.358]  That's why for real results, so many are having to turn to painful B12 injections, which are known to have higher absorption rates.
[02:07:15.658 --> 02:07:24.781]  Infowarslife.com is excited to announce that we can bring you our most bioactive, powerful form of B12 that has been developed with our exclusive, perfected process.
[02:07:24.781 --> 02:07:30.943]  Secret 12 is a binary of nutrimedical-grade, bioavailable, coenzyme forms of B12.
[02:07:30.943 --> 02:07:33.624]  Methylcobalamin, the same kind used in B12 injections.
[02:07:34.324 --> 02:07:35.144]  We're good to go.
[02:08:02.618 --> 02:08:06.360]  It's Friday, October 7th, 2016.
[02:08:06.360 --> 02:08:11.282]  We are now only 31 days from the historic election.
[02:08:11.282 --> 02:08:13.943]  This is the Alex Jones Show.
[02:08:13.943 --> 02:08:20.065]  Alex Jones.
[02:08:20.065 --> 02:08:21.466]  This Sunday, 4 to 10.
[02:08:24.515 --> 02:08:24.875]  4 p.m.
[02:08:24.875 --> 02:08:25.476]  to 10 p.m.
[02:08:25.476 --> 02:08:28.777]  we're going to have a special live broadcast.
[02:08:28.777 --> 02:08:32.119]  The first two hours, of course, is the Sunday show I've been doing for 10 years.
[02:08:32.119 --> 02:08:33.500]  That's from 4 to 6 p.m.
[02:08:33.500 --> 02:08:38.363]  Then we'll have two hours of pregame ahead of it.
[02:08:38.363 --> 02:08:40.984]  We do have our guests, correct?
[02:08:40.984 --> 02:08:41.844]  Great.
[02:08:41.844 --> 02:08:44.166]  Forgot to ask during the break.
[02:08:44.166 --> 02:08:50.089]  And then we'll have live coverage during the debate and then phone calls for at least an hour or so and analysis and highlights afterwards.
[02:08:51.581 --> 02:08:54.604]  Now I promise Chris has been holding him to get to you soon.
[02:08:54.604 --> 02:08:55.384]  Steve Quayle won't mind.
[02:08:55.384 --> 02:08:57.366]  He can talk about any subject.
[02:08:57.366 --> 02:09:00.268]  And Steve in Florida and Cindy and Tim in August.
[02:09:00.268 --> 02:09:01.489]  I'm going to go to you very quickly.
[02:09:01.489 --> 02:09:07.554]  Get your calls out of the way because you've been holding and then get into all the other issues with Steve Quayle.
[02:09:07.554 --> 02:09:12.999]  But first off, I wanted to play a few clips here because Steve's really been warning
[02:09:14.329 --> 02:09:14.829]  We're good to go.
[02:09:48.243 --> 02:09:50.625]  Russia post provocative tweet warning U.S.
[02:09:50.625 --> 02:09:58.954]  on Syria, mocking the press secretary and basically saying we know that you run ISIS and Al Qaeda.
[02:09:58.954 --> 02:09:59.194]  U.S.
[02:09:59.194 --> 02:10:01.656]  Army chief three days ago threatens war with Russia.
[02:10:01.656 --> 02:10:04.199]  We've played that clip.
[02:10:04.199 --> 02:10:06.682]  Russia tells citizens prepare for nuclear war.
[02:10:06.682 --> 02:10:07.703]  Forty million are in a drill.
[02:10:10.353 --> 02:10:11.934]  So it goes on and on.
[02:10:11.934 --> 02:10:13.914]  Massive escalation.
[02:10:13.914 --> 02:10:14.414]  Here's another one.
[02:10:14.414 --> 02:10:15.255]  London Independent.
[02:10:15.255 --> 02:10:15.995]  Russia warns U.S.
[02:10:15.995 --> 02:10:16.875]  not to intervene in Syria.
[02:10:16.875 --> 02:10:19.036]  Threatens to shoot down any airstrike attempts.
[02:10:19.036 --> 02:10:21.097]  That was last night.
[02:10:21.097 --> 02:10:28.239]  Our headline on Infowars.com with a produced 11-minute report shows all the clips, all the facts.
[02:10:28.239 --> 02:10:32.321]  Russia said, oh, you're going to have a no-fly zone to back ISIS and al-Qaeda?
[02:10:32.321 --> 02:10:34.522]  With your own military help to expose and fight?
[02:10:34.522 --> 02:10:38.163]  We've got a no-fly zone up, and if we don't know who your aircraft is, you come in, we're going to shoot you down.
[02:10:38.843 --> 02:10:39.523]  Because U.S.
[02:10:39.523 --> 02:10:45.845]  and NATO aircraft suddenly aren't announcing who they are, and they're bombing the Syrian military that has Russian advisors inside of it.
[02:10:45.845 --> 02:10:48.506]  So, this is the deception that's going on.
[02:10:48.506 --> 02:10:51.887]  And our own military exposed this four years ago, did the right thing.
[02:10:51.887 --> 02:10:55.768]  Obama has now removed all the generals, put people in that'll follow their orders.
[02:10:55.768 --> 02:11:03.911]  I'm not saying they're excitedly following them, but you see the head of the Army and the Joint Chiefs Chairman saying, okay, we'll attack the Russians, but that means World War III.
[02:11:05.717 --> 02:11:08.900]  And the Army Chief said, this will be a war as big as World War II.
[02:11:08.900 --> 02:11:10.963]  And he said, we're ready to do it.
[02:11:10.963 --> 02:11:13.846]  But he said, Congress needs to have a debate about this.
[02:11:13.846 --> 02:11:21.513]  Both the Chairman of the Joint Chiefs, Dunford, and General Milley, the head of the Army, have said, we're ready for war.
[02:11:21.513 --> 02:11:22.434]  You're asking us to have war.
[02:11:23.609 --> 02:11:24.309]  We need to have a debate.
[02:11:24.309 --> 02:11:26.370]  So that's an alarm, folks, okay?
[02:11:26.370 --> 02:11:31.812]  Because the average American's busy calling Donald Trump racist and, you know, a warmonger because he doesn't want to have war with Russia.
[02:11:31.812 --> 02:11:35.133]  The truth is Russia is not advancing on us, China is.
[02:11:35.133 --> 02:11:36.133]  This is crazy.
[02:11:36.133 --> 02:11:37.834]  Could this be Hillary's October surprise?
[02:11:37.834 --> 02:11:48.677]  Because CNN two weeks ago said, hey, by the middle of October, and we're almost there, we're seven days in now, there will be an event, geopolitically so big, it will challenge both Hillary and Trump.
[02:11:48.677 --> 02:11:49.778]  Is it Deutsch Bank going under?
[02:11:51.004 --> 02:11:58.970]  I gotta hand it to him, like eight months ago Larry Nichols talked about, six months ago our current guest talked about, now that's going belly up bigger than 2007.
[02:11:58.970 --> 02:12:01.452]  I don't know, but things are crazy.
[02:12:01.452 --> 02:12:07.797]  I want to talk about all the bad stuff happening so cooler minds can prevail so it doesn't happen.
[02:12:07.797 --> 02:12:10.780]  I'm not a prophet of destruction, you know, hoping all this stuff happens.
[02:12:10.780 --> 02:12:14.383]  I'm telling you, if we don't admit these dangers are there, it could happen.
[02:12:14.383 --> 02:12:15.423]  And we've never been closer.
[02:12:15.423 --> 02:12:18.366]  Mainline analysts say this is the most danger we've ever been in.
[02:12:18.366 --> 02:12:18.526]  Ever!
[02:12:20.097 --> 02:12:22.038]  In the history of civilization.
[02:12:22.038 --> 02:12:28.781]  So let's go ahead and play this clip of the Chairman of the Joint Chiefs just two weeks ago, when Congress in the longer, hour-long interview was saying, we want you to hit the Russians.
[02:12:28.781 --> 02:12:31.802]  We want you to take out their airfields.
[02:12:31.802 --> 02:12:32.922]  This is our so-called ally.
[02:12:32.922 --> 02:12:34.403]  This is the new change.
[02:12:34.403 --> 02:12:35.304]  This is what Hillary wants.
[02:12:35.304 --> 02:12:36.584]  This is what Obama wants.
[02:12:36.584 --> 02:12:38.705]  And he says, OK, we can do that, but that means war with Russia.
[02:12:38.705 --> 02:12:39.725]  Here it is.
[02:12:39.725 --> 02:12:40.546]  We're Syria.
[02:12:40.546 --> 02:12:45.528]  What about the option of controlling the airspace so that barrel bombs cannot be dropped?
[02:12:47.900 --> 02:12:48.740]  All the options.
[02:12:48.740 --> 02:12:51.142]  What do you think of that option, sir?
[02:12:51.142 --> 02:13:01.709]  Right now, Senator, for us to control all of the airspace in Syria would require us to go to war against Syria and Russia.
[02:13:01.709 --> 02:13:03.831]  Okay, now I want to play.
[02:13:03.831 --> 02:13:05.072]  I'm sorry, I didn't know it was over.
[02:13:05.072 --> 02:13:06.433]  You guys popped in my ear and said it was over.
[02:13:06.433 --> 02:13:07.153]  Let's start it over again.
[02:13:07.153 --> 02:13:09.115]  I'm going to play it unedited one more time.
[02:13:09.115 --> 02:13:11.817]  This is important enough to play it one more time from the beginning for everybody.
[02:13:11.817 --> 02:13:12.057]  Here it is.
[02:13:13.532 --> 02:13:20.537]  What about the option of controlling the airspace so that barrel bombs cannot be dropped?
[02:13:20.537 --> 02:13:21.738]  All the options.
[02:13:21.738 --> 02:13:24.120]  What do you think of that option, sir?
[02:13:24.120 --> 02:13:35.248]  Right now, Senator, for us to control all of the airspace in Syria would require us to go to war against Syria and Russia.
[02:13:35.248 --> 02:13:38.531]  That's a pretty fundamental decision that certainly I'm not going to make.
[02:13:40.276 --> 02:13:43.700]  So this is the psychotic disconnect of Hillary and Obama and the neocons.
[02:13:45.049 --> 02:13:46.750]  And again, Russia's not doing anything.
[02:13:46.750 --> 02:13:49.953]  They were invited in four years ago to try to defeat these groups.
[02:13:49.953 --> 02:13:51.454]  They've almost beat ISIS.
[02:13:51.454 --> 02:13:54.336]  And now they don't want Assad in, so they want a double cross now.
[02:13:54.336 --> 02:13:56.778]  And Russia's like, Assad's going to leave as soon as this is done.
[02:13:56.778 --> 02:13:57.819]  We're going to keep our word.
[02:13:57.819 --> 02:14:01.722]  Now, if Russia doesn't, then we can say, oh, that was a big lie, or maybe sanctions.
[02:14:01.722 --> 02:14:03.564]  But no, no, they want big sanctions now.
[02:14:03.564 --> 02:14:05.365]  Outside the UN, it's all happening.
[02:14:05.365 --> 02:14:08.407]  Global crisis right out of Daniel, right out of Revelations.
[02:14:08.407 --> 02:14:11.370]  One more clip, and I'm going to Steve Quill of SteveQuill.com.
[02:14:11.370 --> 02:14:12.190]  Army Chief of Staff.
[02:14:12.190 --> 02:14:13.311]  This is two days ago.
[02:14:13.311 --> 02:14:13.952]  Mark Milley.
[02:14:15.945 --> 02:14:21.067]  Warned that the United States was ready to destroy its enemies and said we've never faced such a threat since World War II.
[02:14:21.067 --> 02:14:22.188]  Here it is.
[02:14:22.188 --> 02:14:28.010]  I want to be clear to those who try to oppose the United States.
[02:14:28.010 --> 02:14:32.152]  I want to be clear to those who wish to do us harm.
[02:14:32.152 --> 02:14:39.476]  I want to be clear to those around the world who want to destroy our way of life and that of our allies and friends.
[02:14:40.834 --> 02:14:55.305]  The United States military, despite all our challenges, despite our up-tempo, despite everything we've been doing, will stop you and we will beat you harder than you've ever been beaten before.
[02:14:55.305 --> 02:14:57.327]  Make no mistake about that.
[02:14:57.327 --> 02:15:01.930]  Other countries, Russia, China, Iran, and North Korea went to school on us.
[02:15:02.791 --> 02:15:06.373]  They closely watched how we fought in 91 and 03.
[02:15:06.373 --> 02:15:12.175]  They studied our doctrine, our tactics, our equipment, our organization, our training, and our leadership.
[02:15:12.175 --> 02:15:24.721]  And in turn, they revised their own doctrines, and they are rapidly modernizing their militaries today to avoid our strengths in hopes of defeating us at some point in the future.
[02:15:24.721 --> 02:15:30.464]  Recently, a senior Russian official, Ambassador to the United Kingdom Alexander Katamenko,
[02:15:31.519 --> 02:15:39.963]  He said, quote, the established world order is undergoing a foundational shakeup with the Crimea, Ukraine and Brexit.
[02:15:39.963 --> 02:15:44.665]  He went on to call for the dismantling of NATO and the European Union.
[02:15:45.669 --> 02:15:51.533]  And he said, quote, Russia can now fight a conventional war in Europe and win.
[02:15:51.533 --> 02:15:55.135]  Russia is the only country that will remain relevant forever.
[02:15:55.135 --> 02:15:59.878]  Any other country is dispensable, and that includes the United States.
[02:15:59.878 --> 02:16:03.020]  We are endgame now, end quote.
[02:16:03.020 --> 02:16:12.947]  We can now, and we will remain in the future, retain the capability to rapidly deploy, and we will destroy any enemy
[02:16:14.105 --> 02:16:16.467]  Anywhere, anytime.
[02:16:16.467 --> 02:16:32.678]  Additionally, the battlefield will be highly complex, almost certainly in dense urban areas and against an elusive, ambiguous enemy that combines terrorism and guerrilla warfare alongside conventional capabilities mixed with large civilian populations.
[02:16:34.622 --> 02:16:51.426]  And the one part we didn't get in the clip, the full videos on InfoWars.com is Millie cautioned that the next major conflict would be lethal, highly lethal, unlike any our army has experienced at least since World War II.
[02:16:51.426 --> 02:16:53.206]  And then it goes on from there.
[02:16:53.206 --> 02:16:54.026]  Now here's the issue.
[02:16:54.026 --> 02:16:55.707]  It's our government bringing in the jihadis.
[02:16:55.707 --> 02:16:57.687]  It's our government funding and financing these enemies.
[02:16:59.261 --> 02:17:11.633]  The EU is a private corporate takeover, so what he's saying is, I work for the globalists, and if you think the UK is going to leave and Russia is going to leave, no, you're going under a global empire, we're ready to attack you.
[02:17:11.633 --> 02:17:14.256]  It was a very treasonous statement to imply that
[02:17:15.410 --> 02:17:19.491]  The EU shouldn't break up, and that the UK shouldn't be free.
[02:17:19.491 --> 02:17:20.811]  This is globalism.
[02:17:20.811 --> 02:17:24.052]  Steve Quayle, Epoch Times, we're in, stevequayle.com.
[02:17:24.052 --> 02:17:32.754]  I've been talking about this for decades, best-selling author, don't really need an introduction, that's a long introduction to you, but I wanted to, you know, break down all this.
[02:17:32.754 --> 02:17:33.635]  What do you make of this?
[02:17:33.635 --> 02:17:34.515]  What are your sources saying?
[02:17:35.745 --> 02:17:44.612]  Well, first of all, Alex, I've never had so many insiders trying to get the attention of the American people as in the last probably two weeks.
[02:17:44.612 --> 02:17:46.113]  Number one, let's go to the bottom line.
[02:17:46.113 --> 02:17:51.978]  The bottom line, there has never been a 40 million person evacuation of any country
[02:17:52.558 --> 02:17:53.839]  In any drill ever.
[02:17:53.839 --> 02:17:57.180]  I'll go on record saying this is not a drill.
[02:17:57.180 --> 02:17:59.881]  This is the pre-placement of a population.
[02:17:59.881 --> 02:18:01.881]  Now, people have got to understand something.
[02:18:01.881 --> 02:18:03.742]  I used to write about Russian war doctrine.
[02:18:03.742 --> 02:18:12.885]  Civil defense is an integral part of their plan to both survive a nuclear war and thrive after a nuclear war.
[02:18:12.885 --> 02:18:18.887]  The population of Moscow is 12 million, so they have just basically moved close to 40 million.
[02:18:18.887 --> 02:18:21.048]  Three times the population of Moscow.
[02:18:21.568 --> 02:18:32.319]  Every subway, every underground Cold War bunker, Yamanto, the mountains in the Urals, everything is on a feverish pace.
[02:18:32.319 --> 02:18:43.510]  When you put frontline weapons into Syria, when you put frontline weapons bordering NATO, when multiple times the Russians have demonstrated their... And by the way, I hate to interrupt you, I'm going to give you the floor and I'm going to skip this break, it's so important.
[02:18:43.510 --> 02:18:45.451]  Steve Quill, I remember you saying 20 years ago,
[02:18:46.374 --> 02:18:46.714]  Absolutely.
[02:19:06.929 --> 02:19:07.990]  Well, here's the thing.
[02:19:07.990 --> 02:19:15.616]  It is not just a drill, and Alex, the thing that everyone's missing is China embarked on the same policy also.
[02:19:15.616 --> 02:19:21.640]  So the fact is that, understand this, understand a nuclear ultimatum.
[02:19:21.640 --> 02:19:25.183]  Let's say someone shoots the first missile, okay?
[02:19:25.823 --> 02:19:30.509]  The minute they make the first launch, then all hell breaks loose.
[02:19:30.509 --> 02:19:43.705]  But at some point, what happens when six cities in America, I'm just taking that arbitrary, six to thirteen cities in America, that's not arbitrary, disappear and quite candidly,
[02:19:44.465 --> 02:19:47.387]  Our whole, the rest of the population is at risk.
[02:19:47.387 --> 02:19:49.589]  See, this is insane.
[02:19:49.589 --> 02:19:56.033]  Americans who are listening to this from all over the world, this is a part of war doctrine.
[02:19:56.033 --> 02:19:59.955]  They can shield one-third to one-half of their population.
[02:19:59.955 --> 02:20:02.617]  There is no shielding for the American population.
[02:20:02.617 --> 02:20:09.702]  Alex, you and I did the show on the Deagle survey where they said at some point 65 million people are left.
[02:20:10.862 --> 02:20:14.243]  We have no COG for local government and the citizens.
[02:20:14.243 --> 02:20:15.104]  It's all for the elite.
[02:20:15.104 --> 02:20:17.064]  Russia has it for their citizens.
[02:20:17.064 --> 02:20:17.324]  Right.
[02:20:17.324 --> 02:20:24.107]  And we have multitudes of multiples in the hundreds of thousands of foreign UN troops here.
[02:20:24.107 --> 02:20:30.609]  And we're looking, listen, we're looking at a bunch of, I would say this, Democrats and Republican slime.
[02:20:31.320 --> 02:20:32.241]  We're good to go.
[02:20:54.000 --> 02:20:54.360]  I think so.
[02:21:10.869 --> 02:21:11.310]  I don't
[02:21:30.831 --> 02:21:33.276]  Can penetrate all our stealth capabilities.
[02:21:33.276 --> 02:21:34.879]  They've demonstrated before.
[02:21:34.879 --> 02:21:41.473]  Second of all, we can't do their stealth capabilities because they have a plasma absorption.
[02:21:42.282 --> 02:21:51.150]  Scream, which means that any signal sent at any frequency is automatically absorbed and does not feed back to the transmitter identifying its location.
[02:21:51.150 --> 02:22:05.042]  Remember, Alex, you and I did a show talking about, and you've done so many on your own, about talking about when the Russian makes old technology, flew over our aircraft carriers and the pilots went in burden, flipped off the guys on the flight deck.
[02:22:05.522 --> 02:22:10.626]  And they did it numerous times, that Donald Cook, which was, you know, forced it three times.
[02:22:10.626 --> 02:22:12.847]  I think it's not, I said two, it's three times.
[02:22:12.847 --> 02:22:16.610]  Sure, and Chinese subs popping up behind the submarines were clearly being set up.
[02:22:16.610 --> 02:22:27.118]  You know, it's just like a lot of other people have broken down the fact that they're trying to lure them into an attack to actually take out their enemy, the American people, our local governments, and our state governments.
[02:22:27.118 --> 02:22:32.962]  The globalists can't bring down America, so they want a war to finally bring it down, then say all of us that are patriots
[02:22:34.053 --> 02:22:39.317]  Against NAFTA, against GATT, against the EU, you know, for Brexit, we're now Russian agents.
[02:22:39.317 --> 02:22:39.977]  It's perfect.
[02:22:39.977 --> 02:22:46.041]  And you heard the General say, you're a Russian agent, basically, if you're for the Brexit or the breakup of the EU, and we'll get you.
[02:22:46.041 --> 02:22:47.903]  He's telling that to Donald Trump, basically.
[02:22:48.817 --> 02:22:51.438]  Absolutely, and they have a lot of Hellfire missiles.
[02:22:51.438 --> 02:22:54.919]  I want to explain something, how this will play out.
[02:22:54.919 --> 02:23:01.141]  Because it's not just the tanks, the armored personnel carriers, all of the stuff you see on the trains across the country.
[02:23:01.141 --> 02:23:08.083]  We have a vast amount of underground tunnels, bases, and deep underground military bunkers.
[02:23:08.083 --> 02:23:10.664]  A vast amount of helicopters loaded with Hellfire missiles.
[02:23:10.664 --> 02:23:15.305]  So everything you have watched in the Middle East is what they plan to use here.
[02:23:15.305 --> 02:23:15.905]  The U.S.
[02:23:15.905 --> 02:23:17.826]  military has a doctrine in yard farming.
[02:23:18.266 --> 02:23:19.847]  That means they're going against us.
[02:23:19.847 --> 02:23:22.189]  So, they're provoking Russia.
[02:23:22.189 --> 02:23:34.897]  And I can tell you this, Russian policy, every single general that's ever quoted, Medvedev, Putin, obviously, President Putin, they all have a, how do they say this, reserve first strike capability.
[02:23:34.897 --> 02:23:37.459]  Even our nuclear war doctrine has changed.
[02:23:37.459 --> 02:23:40.661]  But the problem is, when you have an entire
[02:23:41.381 --> 02:23:43.263]  Uh, uh, military congress.
[02:23:43.263 --> 02:23:44.583]  I'm talking about the U.S.
[02:23:44.583 --> 02:23:51.388]  All of our battle-hardened generals and admirals have been fired, dismissed, or basically embarrassed out of their positions.
[02:23:51.388 --> 02:23:52.148]  The U.S.
[02:23:52.148 --> 02:23:57.692]  military is suffering intentional, and I'm saying this, cutoffs of ammunition.
[02:23:57.692 --> 02:24:04.937]  There's even cases where the Navy pulls into Hong Kong or Singapore and they're not allowed to fuel their boats with any form of treasury instrument or anything.
[02:24:04.937 --> 02:24:07.138]  They have to produce either silver or gold.
[02:24:07.138 --> 02:24:09.380]  And that's a real true story.
[02:24:09.380 --> 02:24:10.741]  So, here's where we're at.
[02:24:11.241 --> 02:24:13.524]  We're at the escalation point.
[02:24:13.524 --> 02:24:26.699]  My number one goal is to warn the people as best as I can when all of the airborne command and control centers are up, the E6s, the 747s, all the AWACS planes are up, all our sub-hunters are up.
[02:24:26.699 --> 02:24:28.381]  The doomsday planes.
[02:24:28.381 --> 02:24:29.663]  The doomsday planes.
[02:24:30.433 --> 02:24:32.514]  That's never happened before.
[02:24:32.514 --> 02:24:37.897]  The thing that people ought to recognize is the Twitter feed coming out of the Russian Embassy.
[02:24:37.897 --> 02:24:44.501]  If you hear the Russian Embassy is vacating, or even they're threatening, then you know this thing is on.
[02:24:44.501 --> 02:24:50.165]  By the way, Pearl Harbor, from the time the Japanese broke off negotiations, I don't think most people recognize this.
[02:24:50.165 --> 02:24:51.125]  One day.
[02:24:51.125 --> 02:24:52.106]  That was actually 30 minutes.
[02:24:52.106 --> 02:24:53.267]  30 minutes.
[02:24:53.267 --> 02:24:55.348]  I know they try to pull it out quickly, but yeah.
[02:24:56.283 --> 02:24:56.743]  Yep, yep.
[02:24:56.743 --> 02:24:59.986]  But the deal is, what I'm saying is, we're the ones that broke up.
[02:24:59.986 --> 02:25:15.316]  Then you've got Kerry, you know, who's absolutely in another universe and an alternate space and, you know, quantum quagmire, Bill, basically saying that, you know, we've got to bring the Russians before the war crimes court.
[02:25:15.316 --> 02:25:16.397]  You're kidding me?
[02:25:16.397 --> 02:25:19.299]  When our government openly turns jihadis loose all over the world.
[02:25:20.291 --> 02:25:21.312]  Absolutely.
[02:25:21.312 --> 02:25:23.393]  And here's what's thinking.
[02:25:23.393 --> 02:25:26.835]  I mean, here's what people have to be thinking at this point.
[02:25:26.835 --> 02:25:31.939]  This is not a normal escalation of words.
[02:25:31.939 --> 02:25:32.639]  Stuff is moving.
[02:25:32.639 --> 02:25:38.103]  I got emails from... Well, what do you make of the Russians saying, any aircraft enter Syria, now we're going to shoot it down?
[02:25:38.103 --> 02:25:44.427]  That's a no-fly zone as a response to Obama and Hillary saying, we're going to start looking at shooting down aircraft.
[02:25:44.427 --> 02:25:46.088]  The Russians said, okay, let's get it going.
[02:25:46.088 --> 02:25:47.789]  I mean, this is just over-the-top insanity.
[02:25:48.786 --> 02:25:52.788]  Well, it's not only that... Where does Obama think his ESPN's gonna go if there's a nuclear war?
[02:25:53.911 --> 02:25:54.952]  Well, I got news for you.
[02:25:54.952 --> 02:25:57.413]  Where do you think the mainstream news is going to go?
[02:25:57.413 --> 02:26:07.958]  They'll be in bombed-out rubble platforms with no electricity, looking disheveled, and basically still preaching from their scripts when everything's gone.
[02:26:07.958 --> 02:26:09.979]  I mean, look, this is crazy.
[02:26:09.979 --> 02:26:17.843]  People have got to understand, you know, I think that you've got to recognize there's never been a time like this.
[02:26:17.843 --> 02:26:19.104]  There's never been so much
[02:26:19.846 --> 02:26:21.089]  And why is it happening now?
[02:26:21.089 --> 02:26:23.455]  Because we know they're getting ready for the economic collapse.
[02:26:23.455 --> 02:26:24.878]  We know all these other forces are moving.
[02:26:24.878 --> 02:26:26.502]  Why are they starting war with Russia now?
[02:26:27.594 --> 02:26:30.836]  Well, it covers up, number one, it covers up their crimes.
[02:26:30.836 --> 02:26:34.257]  Number two, it fulfills the thing that I think everybody's missing.
[02:26:34.257 --> 02:26:45.362]  The entire rearrangement of the highest command, the offices of the land, military, civilian population, everybody, they have embraced Islam.
[02:26:45.362 --> 02:26:51.165]  Islam demands a world war in order to bring about the Mahdi, and that's the Islamic
[02:26:51.365 --> 02:26:53.746]  Clearly they've made a deal with Islam.
[02:26:53.746 --> 02:26:55.026]  I guess there's a billion and a half of them.
[02:26:55.026 --> 02:26:56.647]  That's the new operating system.
[02:26:56.647 --> 02:26:57.787]  Is it so satanic?
[02:26:57.787 --> 02:27:07.771]  Have you seen the new video we released for World Net Daily of them in Libya chopping up the bodies of soldiers and making people, before they execute them, eat it so they go to hell in a satanic ritual?
[02:27:07.771 --> 02:27:10.371]  Well, I haven't seen that, but I mean, we watched that.
[02:27:10.371 --> 02:27:16.333]  Remember, about six months ago, they were chopping up Christians and literally hanging their remains in the meat markets.
[02:27:16.333 --> 02:27:17.494]  I think it was in Aleppo.
[02:27:17.494 --> 02:27:19.494]  And then Obama and others celebrate this.
[02:27:19.494 --> 02:27:20.675]  So this is about the rituals.
[02:27:21.627 --> 02:27:24.511]  It is, and that's something that people have got to understand.
[02:27:24.511 --> 02:27:29.117]  This is ritual sacrifice of the planetary population.
[02:27:29.117 --> 02:27:33.844]  Look, I used to write about throw weight, this nuclear weapon could do this.
[02:27:33.844 --> 02:27:38.731]  The Russians have been building while we've been decreasing in order to facilitate.
[02:27:39.131 --> 02:27:40.952]  The return of the Mahdi.
[02:27:40.952 --> 02:27:55.383]  You remember when Ahmadinejad made the statement, if it was necessary for, you know, 30 million Iranians to die and go out as martyrs to bring about the return of the Mahdi, it would be acceptable to Allah.
[02:27:55.383 --> 02:27:56.123]  Well, guess what?
[02:27:56.123 --> 02:28:02.488]  He left office pretty much after that because maybe more Muslims than he could imagine didn't want to go that way.
