[00:00:20.379 --> 00:00:22.721]  It's December 15th, 2016.
[00:53:39.301 --> 00:53:47.548]  That it would have been fake news that Barack Obama's birth certificate was forged, but it comes out that maybe that was real news.
[00:53:48.049 --> 00:53:51.812]  They said that Russia was responsible for the WikiLeaks hack.
[00:53:52.373 --> 00:53:56.076]  Well, it turns out that that might be the real fake news.
[00:53:56.456 --> 00:53:57.897]  This is a story out of Daily Mail.
[00:53:58.358 --> 00:54:04.343]  Exclusive ex-British ambassador who is now a WikiLeaks operative claims Russia did not provide Clinton even
[00:54:04.403 --> 00:54:05.164]  We're good to go.
[00:54:21.616 --> 00:54:27.564]  He claims he had a clandestine handoff in a wooded area near American University with one of the email sources.
[00:54:27.644 --> 00:54:31.128]  Man, this is starting to sound like some deep throat activity at Watergate.
[00:54:31.509 --> 00:54:36.395]  The leaker's motivation was discussed at the corruption of the Clinton Foundation and the
[00:54:37.455 --> 00:54:41.178]  Tilting of the primary election playing field against Bernie Sanders.
[00:54:41.258 --> 00:54:50.965]  Murray says the source had legal access to the information and the leaks came from inside which would mean that they were not hacks.
[00:54:51.685 --> 00:54:55.989]  Now obviously we're getting information from both sides.
[00:54:56.029 --> 00:54:57.189]  People saying it's Russia.
[00:54:57.229 --> 00:54:58.570]  People saying it's insiders.
[00:54:59.011 --> 00:55:04.054]  But I think most of the proof to the neutral observer with an open mind
[00:55:04.895 --> 00:55:07.217]  I would say that this came from an inside source.
[00:55:07.937 --> 00:55:09.898]  Now, we're gonna find out.
[00:55:10.018 --> 00:55:14.361]  Obviously, a lot of people think that Seth Rich may have been the source.
[00:55:14.481 --> 00:55:31.393]  Now, who knows if they'll ever tell us who the source was, but it is nice to at least have WikiLeaks coming out against the fake news that this was a Russian hack or this was some sort of a Russian plot to overthrow the election from Hillary Clinton.
[00:55:31.473 --> 00:55:32.634]  And even if it was, you know,
[00:55:33.294 --> 00:55:35.336]  I mean they couldn't even get the popular vote done.
[00:55:35.356 --> 00:55:43.363]  Of course it comes out in Detroit and in Wayne County in Michigan that those polls were actually rigged for Hillary.
[00:55:43.463 --> 00:55:58.196]  So again, all the proof is against the Russians meddling in this election and it would actually be people within the DNC who wanted to make sure Hillary Clinton would not get in or maybe just people within the DNC who didn't like seeing corruption period.
[00:55:58.736 --> 00:56:06.281]  It's amazing though how they want you to focus on who's responsible for getting this information out instead of the actual corruption within.
[00:56:06.681 --> 00:56:08.202]  But of course this goes on.
[00:56:08.222 --> 00:56:12.884]  They're going to do whatever they can to try to undermine Donald Trump and the movement that got him elected.
[00:56:13.645 --> 00:56:17.227]  Now electors are being harassed and threatened in a bid to stop Trump.
[00:56:17.267 --> 00:56:18.347]  This is ongoing.
[00:56:18.668 --> 00:56:24.071]  Electors around the country are being harassed with a barrage of emails, phone calls, letters, even death threats.
[00:56:24.591 --> 00:56:28.853]  Because remember, when they go low, well actually it turns out that they go lower.
[00:56:29.133 --> 00:56:34.716]  In an effort to block Donald Trump from being voted in as president by the Electoral College on Monday.
[00:56:34.756 --> 00:56:38.917]  Now Sharon Geis is a grandmother from Mesa, Arizona.
[00:56:38.978 --> 00:56:46.061]  Woke up on Wednesday morning with more than 1,500 emails demanding she not carry out her legal duty to vote for the president-elect.
[00:56:46.381 --> 00:56:48.382]  She said they just keep coming and coming.
[00:56:49.042 --> 00:56:53.404]  Estimating she's received more than 50,000 emails since the election.
[00:56:53.664 --> 00:57:00.106]  Despite the avalanche, however, she says her decision to back Donald Trump is stronger than ever!
[00:57:00.587 --> 00:57:01.547]  How do you like that?
[00:57:01.627 --> 00:57:03.188]  Now, you know what?
[00:57:03.248 --> 00:57:04.588]  I was going to play this video.
[00:57:05.088 --> 00:57:08.110]  If you just want to go ahead and roll this video real quick, we'll cut out early.
[00:57:08.670 --> 00:57:12.911]  But basically, these celebrities now are coming out saying that the electors shouldn't vote for Trump.
[00:57:12.931 --> 00:57:14.052]  You can go ahead and go to that clip right now.
[00:57:15.708 --> 00:57:18.710]  Members of the Electoral College, this message is for you.
[00:57:19.170 --> 00:57:27.895]  As you know, our founding fathers built the Electoral College to safeguard the American people from the dangers... From people like Hillary Clinton winning states like California.
[00:57:27.915 --> 00:57:28.575]  Yeah, we know.
[00:57:29.036 --> 00:57:29.476]  You don't.
[00:57:30.176 --> 00:57:35.399]  Okay, so these, you know, these little celebrity nitwits, you know what, just go ahead and cut them off.
[00:57:35.439 --> 00:57:36.020]  Just cut them out.
[00:57:36.120 --> 00:57:36.520]  I don't care.
[00:57:36.600 --> 00:57:37.100]  We're done with them.
[00:57:37.320 --> 00:57:37.821]  We're done with them.
[00:57:38.321 --> 00:57:39.342]  Here's headline.
[00:57:39.762 --> 00:57:41.243]  Celebrity nitwits
[00:57:42.063 --> 00:57:44.727]  Begging electors to break the law.
[00:57:45.227 --> 00:57:46.429]  Now here's the other thing about this.
[00:57:46.549 --> 00:57:50.133]  Donald Trump has been one step ahead of these people every time.
[00:57:50.173 --> 00:57:53.037]  So I would imagine he assumed something like this was coming.
[00:57:53.077 --> 00:57:55.140]  So I imagine he's one step ahead of these people.
[00:57:55.480 --> 00:57:56.341]  But don't they get it?
[00:57:56.722 --> 00:58:00.486]  Just like the elector just said, the more you push back,
[00:58:01.579 --> 00:58:02.820]  Against our support for Trump?
[00:58:03.160 --> 00:58:04.641]  The more we like Trump!
[00:58:04.901 --> 00:58:07.222]  That's how sick of you we are!
[00:58:07.482 --> 00:58:08.303]  But they don't get it!
[00:58:08.903 --> 00:58:10.464]  They really don't get it.
[00:58:10.564 --> 00:58:13.966]  Now, here is the latest push coming from the mainstream media.
[00:58:14.666 --> 00:58:15.667]  This is from CNN.
[00:58:16.187 --> 00:58:18.808]  White males dominate Trump's cabinet posts.
[00:58:19.188 --> 00:58:20.349]  And they sent out a tweet.
[00:58:21.930 --> 00:58:23.631]  Whitest White House ever.
[00:58:24.031 --> 00:58:25.152]  Now this is CNN, right?
[00:58:25.653 --> 00:58:27.135]  What did Martin Luther King say?
[00:58:27.195 --> 00:58:31.039]  We won't judge a man by the color of his skin, but by the content of his character.
[00:58:31.079 --> 00:58:32.040]  Well, where are you CNN?
[00:58:32.060 --> 00:58:33.862]  You're just judging the White House by the skin color.
[00:58:33.882 --> 00:58:34.643]  Same with Yahoo.
[00:58:34.903 --> 00:58:38.307]  Trump's cabinet is shaping up to be one of the whitest in history.
[00:58:38.968 --> 00:58:41.169]  I went ahead and I looked at Barack Obama's cabinet.
[00:58:41.449 --> 00:58:42.409]  Joe Biden, white.
[00:58:42.509 --> 00:58:43.429]  John Kerry, white.
[00:58:43.489 --> 00:58:44.370]  Jack Lew, white.
[00:58:44.530 --> 00:58:45.790]  Ashton Carter, white.
[00:58:46.510 --> 00:58:47.531]  Loretta Lynch, black.
[00:58:47.891 --> 00:58:49.091]  Sally Jewell, white.
[00:58:49.511 --> 00:58:50.852]  Thomas Vilsack, white.
[00:58:50.952 --> 00:58:52.152]  Penny Plitzer, white.
[00:58:52.372 --> 00:58:53.472]  White, white, white.
[00:58:53.512 --> 00:58:58.474]  You'd think that they would put out propaganda that actually made sense, but that's how real fake news works, folks.
[00:59:04.127 --> 00:59:09.934]  In the past decade, we have witnessed unparalleled scientific discoveries in the area of health.
[00:59:10.395 --> 00:59:20.087]  But no one has put together a formula that focuses directly on brain health, nerve growth factors, and optimizing your cellular energy at the same time.
[00:59:20.427 --> 00:59:24.170]  DNA Force is one of the most expensive formulas to produce.
[00:59:24.731 --> 00:59:29.395]  Some of the ingredients in DNA Force are $12,000 a kilogram.
[00:59:29.795 --> 00:59:36.020]  We are using the coveted, patented, only American source of PQQ, CoQ10, and more.
[00:59:36.320 --> 00:59:38.602]  You want the best that's out there at the lowest price anywhere?
[00:59:39.263 --> 00:59:41.705]  Well, we're bringing you a total win-win.
[00:59:42.105 --> 00:59:47.610]  The ultimate value, cutting-edge, trailblazing game-changer that also supports the info war.
[00:59:48.030 --> 00:59:54.693]  We have produced a limited run of DNA Force and it will take up to 12 weeks to produce more once we sell out.
[00:59:55.053 --> 00:59:59.895]  Secure your DNA Force today at InfoWarsLife.com or call toll-free 888-253-3139.
